-0.022907-0.019097i,-0.032211-0.033566i,-0.022444-0.019551i,-0.032556-0.020224i,-0.024049+0.0042747i,-0.028634-0.017618i,-0.057808-0.044151i,-0.040253-0.041261i,-0.032607-0.019067i,0.0055716+0.0054801i,-0.003506+0.005985i,-0.010667+0.010979i,0.0031636+0.0069739i,-0.0041858-0.0022521i,0.0028589+0.0017883i,0.004277+0.028i,0.025562+0.019529i,-0.00016446+0.00010357i,-0.0030973-0.0027431i,0.0078594+0.0043261i,0.0019586+0.0004822i,-0.00043202+0.0023308i,-0.00050692+0.00043263i,-0.030334-0.00040976i,-0.0037627-0.004788i,6.0593e-05+0.0024141i,0.0044121-0.00067967i,0.00080031-0.00018198i,-0.0004945-0.00057571i,-0.0012683-0.0017745i,-0.0022388-0.00030591i,-0.0038632-0.004602i,-0.0033693-0.0048102i,0.00052014-0.0011384i,0.00051452-0.002763i,-0.0054207+0.026304i,0.0020866-0.0031014i,0.002199-0.0037538i,0.0041719-0.0023958i,-0.0085317-0.0021514i,0.00067465+0.0011298i,0.012994-0.004053i,-0.0026363+0.00028503i,-0.0030995+0.0013119i,-0.009299-0.0031324i,-0.019503+0.022039i,-0.0076533-0.086047i,-0.0022167-0.060921i,-0.021399-0.053685i,-0.010891-0.045876i,0.054712-0.026178i,0.024304-0.067606i,0.040547-0.053315i,0.019143-0.038649i,0.025872-0.019846i,0.012244+0.012045i,0.026308-0.02995i,-0.0099089+7.2169e-05i,-0.00085323-0.0012883i,-0.0076404-0.0020491i,-0.0050933-0.028772i,-0.021416+0.026643i,0.0078-0.0092309i,-0.010137-0.0038242i,-0.0025481-0.0018279i,-0.00066466-0.014937i,-0.008123+0.0050217i,0.0051175+0.010688i,-0.010973+0.032819i,0.0064748+0.0076147i,-0.0038942-0.0016374i,-0.0022755-0.0015929i,-0.012424-0.0062639i,0.00045896-0.0040188i,-0.033772+0.0023748i,0.0032842-0.0084415i,-0.0076092-0.0023004i,-0.0050902-0.0027936i,0.0068136+0.0015877i,-0.010101+0.00037434i,0.0024868-0.00046242i,0.0066615+0.0077769i,0.0053541+0.0011398i,-0.0080499-0.010337i,0.0025629+0.0076477i,-0.01937+0.0095359i,0.0028553+0.005663i,-0.021178-0.0086007i,-0.02701-0.0052434i,0.01037-0.062671i,0.018469-0.014759i,-0.051675-0.028466i,-0.023361+0.0026027i,0.018807+0.010163i,-0.027067+0.012139i,-0.01255-0.0077042i
0.0058095+0.00475i,0.036926+0.01417i,0.019753-0.004368i,0.012915+0.0020026i,0.0085463-0.0018784i,0.015766-0.0075394i,0.012491+0.014215i,0.021249+0.020971i,0.001401-0.0023582i,0.0012076+0.0008893i,0.0023876-0.0013969i,0.0011309-0.0038123i,7.4367e-05-0.0012206i,0.0020979-7.92e-05i,0.0051396-0.0011995i,0.0059429+0.00040157i,0.005362-0.0046764i,4.1418e-05-0.0012363i,-0.0022405+1.2493e-06i,0.00035548+0.00073503i,0.0001706-0.00023059i,-0.0021484-0.00051331i,-0.0015344-6.3216e-05i,0.0060793+0.0070413i,-0.00061985+0.00023286i,0.00037009+0.0007866i,0.0010132+0.00093837i,0.00013129+0.0012312i,-0.00033833-0.00030428i,-0.0012401-5.8623e-05i,0.00075215-0.00084738i,-0.00043454+0.00056585i,0.00020135+0.00064706i,-5.8429e-05+0.00052901i,-0.00036-0.00098907i,-0.0093383+0.0041856i,0.0005376+0.00023059i,-0.00045568+5.5972e-05i,-0.00021183+0.0018394i,-0.00021065-0.0023659i,-0.00068142+0.00020056i,-0.00043956-0.00029029i,0.00093036+0.0012433i,0.0034559-0.0024227i,0.00044466+0.0027072i,-0.051068+0.0085696i,-0.0033386+0.029057i,-0.013977+0.041005i,-0.0087869+0.064731i,-0.017467+0.043853i,-0.005784+0.019378i,-0.0081249+0.013886i,-0.044735+0.0037049i,-0.024583-0.0084655i,0.015122+0.025737i,0.0006206+0.0056864i,-0.0075271+0.0012783i,-0.01435-0.0019844i,0.0038544-0.0003153i,0.0080031+0.012985i,-0.0058148+0.006386i,-0.0050349-0.0067094i,0.0055115-0.0026841i,-0.0065791-0.0052467i,0.0039138-0.00691i,0.0040103-0.0020351i,-0.0023196+0.010288i,0.011306-0.0055267i,0.0063976-0.0050524i,0.0050042-0.0079458i,0.003086+0.00083306i,-0.0023487-0.0058627i,-0.0039542-0.0015647i,0.0022637-0.0017874i,-0.013064+0.024311i,-0.0040114-0.0056178i,0.0032594+0.00018644i,-0.00035913-0.0068729i,0.0032778-0.0018134i,-0.012956-0.0063838i,0.0010771+0.00049172i,0.0045937-0.0015077i,0.0026308-0.00086566i,0.0012485-0.0056621i,-0.0022652+0.0053088i,-0.000745+0.0059963i,-0.0046661+0.0072169i,-0.004536+0.0026326i,-0.0055842-2.7119e-05i,-0.023791+0.019387i,-0.0085873+0.013908i,-0.022549-0.011718i,-0.0086605-0.0098361i,0.0088998+0.021017i,-0.00072116+0.019553i,-0.0085998-0.003394i
0.0061396+0.0027628i,0.038248+0.0067208i,0.018633-0.0082459i,0.013419+0.00071068i,0.0093566-0.0032765i,0.014205-0.010675i,0.013249+0.011192i,0.024058+0.016897i,0.00065838-0.0027164i,0.0016358+0.0003458i,0.0022426-0.0016666i,-0.00039765-0.0026332i,-9.8263e-05-0.00068718i,0.002045-0.00012557i,0.0044696-0.002319i,0.005383-0.00039002i,0.0031854-0.0051206i,5.3792e-05-0.0010337i,-0.0025643+0.00031036i,0.00081417+0.00019504i,2.905e-05-0.00059412i,-0.0022371+5.817e-05i,-0.0015084+0.00012939i,0.0093981+0.0039647i,-0.00098083+0.00098923i,0.0009254+0.00048619i,0.0010849+0.00035657i,0.0005942+0.0010792i,-0.00075823+0.00021246i,-0.0012773+0.00046458i,0.00011873-0.0018128i,-0.00050629+4.6927e-05i,0.00023358+0.00052749i,0.00031665+0.00041126i,-0.00070451-4.5337e-05i,-0.010335+0.0064244i,0.00030337+3.7521e-05i,-0.00030715+0.00039487i,0.00031128+0.0012775i,-0.00043706-0.0019625i,-0.00040532+0.00017609i,-0.00061866+4.3775e-05i,0.00099723+0.0010512i,0.0021996-0.0025605i,0.001593+0.0026101i,-0.045777+0.017306i,-0.00058536+0.02996i,-0.0052958+0.041447i,0.0074398+0.061533i,-0.0069212+0.043435i,-0.0076611+0.015477i,-0.011397+0.011171i,-0.046631+0.0065521i,-0.020793-0.010013i,0.021014+0.019923i,0.00051826+0.0052861i,-0.0066515+0.0067016i,-0.013972+0.0022497i,0.0022242-0.0020552i,0.010361+0.011146i,-0.0018774+0.010522i,-0.0089492-0.005402i,0.0023838-0.0043167i,-0.0065022-0.0017073i,-0.00080985-0.0066925i,0.0027839-0.0036926i,0.0025073+0.0080579i,0.0069476-0.0084205i,0.0020677-0.0067882i,0.00079804-0.0054763i,0.0042316-0.00019567i,-0.0036852-0.0046179i,-0.0020532+0.00073696i,0.002085-0.0020828i,0.004202+0.033204i,-0.0058763-0.004677i,0.003757-0.0017789i,-0.0036349-0.0060618i,0.0032713-0.0025226i,-0.013365+3.0921e-05i,0.001574+0.00070468i,0.0034234-0.0018538i,0.003136-0.0021425i,-0.00034927-0.0056519i,-0.0007483+0.0029238i,0.0018489+0.005135i,-0.00097822+0.0083153i,-0.0031735+0.0045242i,-0.0063356+0.00085036i,-0.018684+0.018109i,-0.0067831+0.016396i,-0.025349-0.0062761i,-0.01219-0.012496i,0.012117+0.020355i,0.0028502+0.021272i,-0.011266-0.0032696i
0.005714+0.0012522i,0.037847-0.0014777i,0.017108-0.012673i,0.014842-0.0019796i,0.010272-0.0054981i,0.011818-0.013771i,0.01316+0.0082222i,0.026923+0.010524i,0.00023426-0.0025942i,0.0013358-0.00031994i,0.0018184-0.0025423i,-0.00054526-0.0012265i,-6.9326e-05-0.00066741i,0.0020926-0.0005259i,0.0034897-0.0031563i,0.0046541-0.0011748i,0.0016461-0.0049925i,-0.00019033-0.0011681i,-0.0024802+0.001272i,0.0007444-0.00068042i,-0.00064394-0.00090307i,-0.001954+0.00068542i,-0.0015765+0.0004006i,0.0098061-0.00096673i,-0.00027424+0.0014877i,0.00086104-3.8454e-05i,0.00084883-8.2923e-05i,0.0009577+0.00057755i,-0.00041669+0.00064414i,-0.0011327+0.00094483i,-0.00086515-0.0012348i,-0.0011538+0.00060703i,0.00045211+0.00045068i,0.00041702+0.000192i,-0.00036143+0.00059208i,-0.0069976+0.012819i,0.00015636+0.00015052i,-4.3813e-05+0.00032242i,0.00053451+0.00096336i,-0.0017075-0.0019078i,-0.0002816+3.8542e-06i,-0.00045377+0.00032215i,0.0011351+0.0010183i,0.0016282-0.0025556i,0.0033854+0.0017112i,-0.038893+0.024161i,0.0036312+0.031123i,0.0036509+0.038482i,0.022401+0.053227i,0.003561+0.042735i,-0.01119+0.014202i,-0.014198+0.012013i,-0.048476+0.01265i,-0.019681-0.013154i,0.024043+0.011459i,0.00075257+0.0051275i,-0.0042196+0.0087274i,-0.012898+0.0063326i,-0.00013717-0.0037502i,0.012907+0.0080625i,0.0032487+0.011486i,-0.012172-0.0023873i,0.00060961-0.0030767i,-0.0058171+0.0010236i,-0.0029044-0.0040518i,0.0007997-0.0039257i,0.0048599+0.0069262i,0.0040649-0.0086164i,-0.0014863-0.0050373i,0.00050215-0.0028291i,0.0043861-0.0025305i,-0.0047907-0.0034608i,-0.00068047+0.00075103i,0.00091535-0.0024241i,0.018041+0.023349i,-0.0076376-0.0022175i,0.0031202-0.0033265i,-0.0038636-0.0041875i,0.0036106-0.0040821i,-0.010925+0.0054113i,0.003024+0.00057754i,0.0022645-0.0024816i,0.0021782-0.0027179i,-0.0021041-0.0045293i,-0.0013378+0.0026978i,0.0031595+0.0031702i,0.0031639+0.008065i,-0.001816+0.0046931i,-0.0069708+0.0026561i,-0.016345+0.016758i,-0.00024227+0.017581i,-0.026-0.0016715i,-0.016768-0.013214i,0.017014+0.016983i,0.008422+0.022749i,-0.013582-0.0013996i
0.0050713+0.00034144i,0.034662-0.0082329i,0.013609-0.016778i,0.014844-0.0062677i,0.010046-0.008637i,0.008606-0.015844i,0.012712+0.0062676i,0.026342+0.0042582i,9.9461e-05-0.0029158i,0.00072873-0.00031679i,0.00081754-0.0026359i,-0.00012668-0.00063298i,-0.00050608-0.00039607i,0.0017608-0.00074769i,0.0022688-0.0036307i,0.0039394-0.0013815i,0.00028323-0.0045059i,-0.00043942-0.0010893i,-0.0013652+0.001939i,3.9567e-05-0.0010847i,-0.0011241-0.0003951i,-0.0015757+0.0013966i,-0.0014778+0.00089023i,0.007605-0.0043686i,0.00034801+0.0014057i,0.00058559-0.00024199i,0.00064165-0.00013618i,0.00073923+1.8896e-05i,-6.5401e-05+0.00060584i,-0.0007517+0.0014762i,-0.0013132-0.00055339i,-0.00064301+0.0012157i,0.00059457+8.7334e-05i,0.00031594+4.5804e-05i,0.00014471+0.00072722i,-0.00025628+0.012101i,0.00038582+0.00014792i,-9.9918e-05+0.00014835i,0.00056458+0.00083489i,-0.0020407-0.0006276i,-0.00035411-4.7832e-05i,-0.0002765+0.00042196i,0.0013256+0.0009813i,0.0010446-0.0023155i,0.0048478-0.00023353i,-0.031109+0.028761i,0.0091195+0.031279i,0.0089058+0.034441i,0.034203+0.039901i,0.013409+0.037295i,-0.015255+0.016676i,-0.017254+0.01472i,-0.048068+0.020912i,-0.021349-0.016062i,0.02427+0.0032367i,0.0012568+0.0054075i,-0.0013309+0.011505i,-0.010722+0.010048i,-0.0043424-0.0029845i,0.014704+0.003065i,0.0085902+0.0097194i,-0.013702+0.0020748i,-0.00011639-0.0025481i,-0.0042021+0.0027072i,-0.0035071-0.0012893i,-0.00026006-0.003305i,0.0069549+0.0038052i,0.0011427-0.0087115i,-0.0033888-0.0018641i,0.0012117-0.001636i,0.0030633-0.0044024i,-0.0054822-0.00057037i,0.00041929+0.00090628i,0.00031292-0.0021109i,0.024977+0.011405i,-0.0078771+0.0015021i,0.0022805-0.0045662i,-0.0041597-0.0023312i,0.0021033-0.0063005i,-0.0062315+0.0079697i,0.0044159-0.00095093i,0.0011229-0.0021319i,0.0014034-0.0028266i,-0.0026743-0.0031104i,-0.0014946+0.0036365i,0.0031315+0.0011698i,0.0061778+0.0057492i,-0.00083396+0.004247i,-0.0070402+0.0049892i,-0.014705+0.017941i,0.0089001+0.012718i,-0.024667+0.003339i,-0.022228-0.01093i,0.018776+0.01197i,0.015434+0.020788i,-0.013262+0.0002571i
0.0049364-0.00014834i,0.031456-0.012885i,0.009421-0.019214i,0.013448-0.010342i,0.0085255-0.01164i,0.0054419-0.01697i,0.012564+0.0051736i,0.024535+5.7192e-05i,-9.5687e-05-0.0032943i,0.00031788-0.0001644i,-0.00018549-0.0026194i,0.00025589-0.00051678i,-0.00068635+0.00025352i,0.0014649-0.00098215i,0.0011634-0.0034862i,0.0036577-0.0012759i,-0.00053055-0.003692i,-0.0008862-0.00084834i,-0.00057262+0.0017978i,-0.00064446-0.00097129i,-0.0012129+5.8248e-05i,-0.00080106+0.0017622i,-0.0011377+0.001363i,0.004889-0.0063236i,0.00072877+0.0010952i,0.00039448-0.000298i,0.00049748-0.00030735i,0.00041976-0.00013531i,3.1845e-05+0.00058704i,4.7832e-06+0.0017353i,-0.0013262+0.00016441i,-0.00019984+0.0012352i,0.00040507-0.00024949i,0.00032533+0.00018905i,0.00069075+0.00064903i,0.0024417+0.0098328i,0.00022677+0.00015657i,-0.00027843+0.00021956i,0.00089617+0.00075693i,-0.0017208+0.00014537i,-0.00055819-0.00022888i,-8.3439e-05+0.0004698i,0.0014968+0.0006634i,0.00086903-0.0013523i,0.0049993-0.0029703i,-0.022657+0.030879i,0.015713+0.029452i,0.01429+0.031901i,0.03874+0.024598i,0.019248+0.030286i,-0.016235+0.022837i,-0.01784+0.02125i,-0.045484+0.030707i,-0.025575-0.017029i,0.020317-0.0037562i,0.0025743+0.0056273i,0.0041537+0.011472i,-0.0078177+0.012686i,-0.0060439+0.00068387i,0.013384-0.0033495i,0.012473+0.0058856i,-0.013309+0.0070635i,-0.00043186-0.0010319i,-0.0026617+0.0036704i,-0.001975+0.00048812i,-0.0019111-0.0022202i,0.0069884+0.00083321i,-0.0010474-0.0077232i,-0.0030854+0.0012545i,0.0027282-0.0019106i,0.0010881-0.0052826i,-0.0038296+0.0016535i,0.0016959+0.00045334i,0.00021446-0.0015455i,0.02657-0.00051261i,-0.0056799+0.0043646i,0.00052407-0.0052942i,-0.0033848-0.0015411i,-0.00029162-0.0070485i,-0.002221+0.0077978i,0.004226-0.0034523i,0.0012119-0.001094i,0.001267-0.0025448i,-0.0018152-0.0020782i,0.00024661+0.0050584i,0.0019118-5.9454e-06i,0.00729+0.0016776i,-0.00052036+0.0031913i,-0.0053782+0.0077165i,-0.011279+0.019254i,0.012081+0.0014787i,-0.02045+0.0053892i,-0.026373-0.0076239i,0.019605+0.0068665i,0.020622+0.014448i,-0.013947+0.00045624i
0.0050352-0.0010159i,0.028484-0.017259i,0.0056412-0.020824i,0.011106-0.014143i,0.0063617-0.014065i,0.0020337-0.017698i,0.013457+0.0043241i,0.022573-0.0035511i,-0.00028361-0.0040221i,-0.00011718+0.00017064i,-0.00090189-0.0017569i,0.00050886-0.00049817i,-0.00021692+0.00094324i,0.0011084-0.0010157i,0.00042014-0.0031501i,0.0038755-0.0013346i,-0.00085042-0.0032886i,-0.00086504-0.00051201i,7.2738e-05+0.0016573i,-0.0010004-0.00059751i,-0.00088055+0.00040931i,0.00012697+0.0015244i,-0.00057622+0.0016274i,0.0016869-0.006931i,0.0011185+0.00090056i,0.00023059-0.00036552i,0.0003568-0.00045384i,0.00025577-0.00019778i,0.00021885+0.00059198i,0.00069888+0.0013753i,-0.0010456+0.00061385i,0.00049289+0.0013651i,0.00019464-0.00019373i,0.00055164-3.3285e-05i,0.00086167-3.9876e-05i,0.0034524+0.0079274i,0.00030215+0.00023819i,-0.00015265+0.00046568i,0.00091556+0.0003829i,-0.001173+0.00051392i,-0.0011802-6.4044e-05i,9.1212e-05+0.00028329i,0.0015528+0.00042449i,-0.00077653-0.0050683i,0.0043654-0.0055524i,-0.015159+0.030532i,0.021637+0.025342i,0.020072+0.027909i,0.038852+0.010509i,0.022143+0.02343i,-0.013085+0.029866i,-0.014308+0.028789i,-0.037925+0.041676i,-0.030681-0.014994i,0.015341-0.0072738i,0.0040435+0.0046826i,0.007879+0.0089864i,-0.0039353+0.014702i,-0.0053095+0.0035683i,0.0091177-0.008887i,0.01357+0.00016776i,-0.01106+0.010758i,0.00056183-0.00026292i,-0.00085571+0.0032961i,-0.00053954+0.00053576i,-0.002095+5.3502e-05i,0.0055118-0.00083294i,-0.0029183-0.0061302i,-0.00094885+0.0030315i,0.0029672-0.0039076i,-0.001083-0.0051168i,-0.0026419+0.0020223i,0.0021435-0.00083372i,0.00078889-0.001488i,0.022385-0.010867i,-0.0026665+0.005615i,-0.001159-0.0049635i,-0.0030979-0.001141i,-0.0028869-0.006507i,0.00050556+0.0067883i,0.0031149-0.0049032i,0.0021419-0.0012102i,0.00092999-0.0032742i,-0.0011569-0.0024806i,0.0023398+0.0052742i,0.00084438+0.0002633i,0.0037684+0.0013195i,-0.0009774+0.0022851i,-0.0022983+0.0093787i,-0.0076086+0.019i,0.0077985-0.0078253i,-0.017974+0.0031993i,-0.031138-0.0018081i,0.018124+0.00033184i,0.021775+0.0075036i,-0.014945+0.0020455i
0.0049216-0.0018902i,0.024772-0.021539i,0.0012533-0.022401i,0.0071075-0.017798i,0.003608-0.016337i,-0.0015324-0.017536i,0.015064+0.0025248i,0.020957-0.0066933i,-0.00087002-0.0046617i,-0.00029741+0.0010529i,-0.0012154-0.0011587i,0.00065565-0.0011704i,0.00039314+0.0010377i,0.00072009-0.00090991i,-0.00011791-0.00273i,0.004158-0.0019233i,-0.0012352-0.0030417i,-0.001099-0.00033964i,0.00078606+0.0012834i,-0.0013622-0.00010796i,-0.0008302+0.00043424i,0.00062871+0.00087224i,-8.059e-05+0.0016468i,-0.0016363-0.0063169i,0.0015084+0.00014836i,-2.0534e-05-0.00018582i,-7.6918e-05-0.00064853i,0.0001035-9.7606e-05i,0.00052183+0.00040719i,0.0010086+0.00083551i,-0.00049242+0.00088181i,0.0005331+0.0021548i,-1.2978e-05-3.477e-05i,0.0004497-0.00019202i,0.00035784-0.00068126i,0.0038526+0.0063813i,0.00038912+0.00024642i,-5.2368e-05+0.00049227i,0.00097172+0.00021389i,-0.0005338+0.00061183i,-0.0012703+0.00080426i,0.00010954+0.00021943i,0.0016839-2.6685e-06i,-0.0009983-0.0026959i,0.0025517-0.0079845i,-0.0090409+0.028832i,0.025707+0.019762i,0.025311+0.022566i,0.034655-0.00093399i,0.023379+0.018047i,-0.0069856+0.03435i,-0.0053272+0.034076i,-0.025589+0.048673i,-0.035232-0.0098973i,0.010643-0.0087262i,0.0048684+0.0032786i,0.0096966+0.0049701i,0.00057973+0.014898i,-0.0043692+0.0051604i,0.0017664-0.010791i,0.011518-0.0047165i,-0.0072875+0.012857i,0.0015582-0.0010681i,0.0014852+0.0028752i,-0.00014264-0.0001754i,-0.00035635+0.0015677i,0.0045161-0.00071569i,-0.0036686-0.0047347i,0.0012101+0.0031891i,0.0014491-0.0060837i,-0.0025324-0.0040666i,-0.001714+0.0022702i,0.0016706-0.0023431i,0.00086439-0.0022521i,0.01454-0.017913i,0.00013177+0.0051223i,-0.0021549-0.0041674i,-0.0028909-0.0010478i,-0.0049161-0.0053598i,0.001976+0.005416i,0.0014832-0.0065613i,0.0025199-0.0020767i,-0.00027981-0.003648i,-0.0018895-0.0031995i,0.0038375+0.004604i,0.00057414+0.0013203i,0.0055777-0.00071779i,-0.0018675+0.0023518i,0.00063639+0.0087627i,-0.0040327+0.018905i,0.00073317-0.013734i,-0.020125+0.00049233i,-0.032019+0.0065452i,0.012161-0.0038558i,0.022223+0.001556i,-0.014344+0.0040581i
0.0049601-0.0029557i,0.020655-0.024438i,-0.0040621-0.022498i,0.0015852-0.019546i,-9.4425e-05-0.017685i,-0.0044074-0.016359i,0.016649-0.00035255i,0.01894-0.0091776i,-0.0014039-0.0054984i,0.00043138+0.0019702i,-0.0014075-0.00023539i,-0.00023084-0.0015992i,0.0009498+0.0010349i,0.00063935-0.00059675i,-0.00035185-0.0023282i,0.0040793-0.0024947i,-0.0021673-0.0026741i,-0.001207+0.00015693i,0.0010552+0.00047813i,-0.0013549+0.00073914i,-0.00062174+0.00087349i,0.00050211+0.00016088i,0.00036933+0.0015565i,-0.0043825-0.0039032i,0.00083824-0.00022306i,-7.3254e-05-1.6944e-05i,-0.00060462+0.00015516i,4.8603e-05+2.14e-05i,0.00046952+2.9582e-05i,0.0010682+0.00043676i,-1.1031e-05+0.00084878i,0.00091391+0.00051867i,7.9242e-05+0.00015117i,0.00034246-0.00024221i,-0.00025139-0.00039325i,0.0047023+0.0053638i,0.00048134+0.00010886i,2.6936e-05+0.00067184i,0.0010224+1.4107e-05i,8.7023e-05+0.00035036i,-0.00092874+0.00089275i,0.0002231+0.00016623i,0.0014394-0.00056455i,-0.0014597-0.0016798i,4.2898e-05-0.0094108i,-0.0043742+0.02606i,0.028005+0.014033i,0.029443+0.015963i,0.028851-0.0086032i,0.023506+0.013902i,0.00070304+0.036622i,0.0042103+0.033787i,-0.011482+0.050939i,-0.036311-0.0029865i,0.0075406-0.0084827i,0.0054888+0.0018496i,0.009329+0.0014583i,0.005296+0.013511i,-0.0027694+0.006948i,-0.0047633-0.0078198i,0.0080032-0.0073688i,-0.0043402+0.013463i,0.0010853-0.0027605i,0.0006644+0.0012756i,-0.00044054-0.00018959i,0.0016589+0.0014821i,0.0042368-0.0010775i,-0.0044371-0.003174i,0.002869+0.0022524i,-0.0017249-0.0071493i,-0.0031674-0.0026568i,-0.00022179+0.0017595i,0.00097879-0.0032604i,0.00035615-0.003372i,0.005895-0.019613i,0.0017543+0.0038755i,-0.0028721-0.0035597i,-0.0036592-0.0010425i,-0.0062481-0.0033134i,0.0027301+0.004387i,-0.0010501-0.0075639i,0.0025826-0.0033675i,-0.0010458-0.00312i,-0.0025082-0.0030442i,0.0050495+0.0031295i,0.0011619+0.0020628i,0.0047066-0.0022693i,-0.0021644+0.0034101i,0.0027457+0.0072822i,0.00059895+0.018429i,-0.008914-0.016506i,-0.024094+0.00058097i,-0.028385+0.013956i,0.0072303-0.0031938i,0.01901-0.0053407i,-0.013023+0.0042697i
0.0047617-0.0045802i,0.016638-0.027296i,-0.0085469-0.020802i,-0.003407-0.018938i,-0.0038146-0.018014i,-0.006629-0.015141i,0.017456-0.0044017i,0.017236-0.011513i,-0.0023076-0.0063175i,0.0017006+0.0018993i,-0.00096564+0.00049793i,-0.0010197-0.00097056i,0.0014769+0.00051701i,0.00071112-0.00053962i,-0.00051578-0.0021159i,0.0040776-0.0030345i,-0.0027133-0.0016081i,-0.00086553+0.00040612i,0.00074128-0.00010958i,-0.00079483+0.0012049i,-0.00056092+0.0011468i,0.00012239-0.00023873i,0.00078071+0.0013168i,-0.0055062-0.0013994i,4.9338e-05-0.00016858i,-4.1798e-05+6.4974e-05i,-0.00056779+4.0334e-05i,7.3528e-05+8.3447e-05i,0.00021765+1.9866e-05i,0.0010217-2.5123e-05i,0.00046397+0.00061004i,0.00094315+0.00039362i,0.00023929+0.00011965i,0.00039952-0.00018038i,-0.00032216+0.00012269i,0.0064395+0.0054175i,0.00038327+4.8344e-05i,0.00041614+0.00072878i,0.0010214-0.00044982i,0.00042081-0.00012277i,-0.00061884+0.00082953i,0.00021282-9.7699e-05i,0.00094486-0.00099271i,-0.0016128-0.00087419i,-0.0028588-0.010075i,-0.0017046+0.022913i,0.029062+0.0088199i,0.031283+0.0080065i,0.022485-0.013866i,0.023617+0.011857i,0.0089316+0.036475i,0.012251+0.031828i,0.0013519+0.048318i,-0.035255+0.0035222i,0.0051501-0.0089301i,0.0058397-0.00016979i,0.0088689-0.0010671i,0.0090982+0.010293i,5.4661e-05+0.0073767i,-0.0077994-0.0028482i,0.0041273-0.0082481i,-0.00084214+0.014029i,-0.00042881-0.0036929i,-0.00011339+0.0013112i,-0.00042612+9.6781e-05i,0.0027992+0.00019492i,0.00387-0.00096647i,-0.0044398-0.0013344i,0.0034099+0.00060913i,-0.0047107-0.0056375i,-0.003271-0.0012556i,0.00010384+0.0004992i,-7.4724e-05-0.0040828i,-0.00094736-0.0036531i,-0.0011213-0.017979i,0.0030799+0.0021873i,-0.004007-0.0027516i,-0.0040449+0.00048551i,-0.006628-0.0010954i,0.00348+0.003438i,-0.0047148-0.0072209i,0.002079-0.0046919i,-0.0014973-0.0028635i,-0.0031078-0.0031875i,0.0062574+0.002026i,0.0019575+0.0021958i,0.0030158-0.0024128i,-0.0018529+0.0042285i,0.0038497+0.0054111i,0.0055197+0.015955i,-0.019478-0.013989i,-0.027926+0.0033896i,-0.024445+0.017379i,0.0052576-0.0019736i,0.012634-0.0079838i,-0.014127+0.0048337i
0.0037198-0.0061928i,0.012072-0.029838i,-0.012004-0.018641i,-0.0073991-0.017179i,-0.0075792-0.017576i,-0.0088157-0.014004i,0.016905-0.0094443i,0.015022-0.014207i,-0.0038523-0.0070825i,0.0029515+0.0011552i,-0.00029362+0.00073844i,-0.0011895+5.8816e-06i,0.0015703-0.0001489i,0.00078439-0.00059532i,-0.00084921-0.0020338i,0.003945-0.0039142i,-0.0028568-0.00053121i,-0.00063644+0.00025566i,0.00052775-0.00034011i,-0.0002441+0.0013778i,-0.00035542+0.0010665i,-0.0002103-0.00027586i,0.0010584+0.00092415i,-0.0045961+0.0013078i,-0.00015533+6.4965e-05i,3.5817e-06+0.00014366i,-0.00042228+0.00025279i,0.00014228+0.00013099i,0.000204+6.804e-05i,0.00067719-0.00040567i,0.00059725+7.5323e-05i,0.0011273+0.00047436i,0.00032624+5.3927e-05i,0.00042134-0.00056641i,3.1998e-05+0.00044022i,0.0080361+0.002261i,0.00044349+3.5063e-05i,0.0007248+0.00061694i,0.00027527-0.0010233i,0.00067417-0.00047609i,-0.00010259+0.00061029i,1.2426e-05-0.00016929i,0.00027369-0.0010276i,-0.0015381+0.00021618i,-0.0056573-0.0095733i,-0.00078056+0.021297i,0.029636+0.0040553i,0.030319+0.0017036i,0.015456-0.017493i,0.026035+0.010699i,0.016376+0.033662i,0.020521+0.027535i,0.012362+0.041884i,-0.031522+0.0093738i,0.0026903-0.0088477i,0.0049498-0.0030639i,0.0081306-0.0040049i,0.01037+0.0057008i,0.0017964+0.0064279i,-0.0080572+0.0024884i,0.00037709-0.0075454i,0.0026034+0.011598i,-0.0025829-0.0032516i,-0.00031703+0.0019829i,-0.00033616+0.00031488i,0.003389-0.0016046i,0.0045614-0.00029166i,-0.003363-0.00032565i,0.0036708+0.00019926i,-0.0061276-0.0031252i,-0.0021433-0.00088477i,-0.00030093+0.00017859i,-0.0022727-0.0045449i,-0.0021429-0.0030034i,-0.0069974-0.015495i,0.0033589-4.6539e-06i,-0.0046265-0.001408i,-0.0030199+0.001663i,-0.0061758+0.00072643i,0.0042409+0.0026091i,-0.0072386-0.0045367i,0.00021419-0.0062931i,-0.0022726-0.0024085i,-0.004751-0.002681i,0.0070421-0.00028124i,0.0029691+0.0023352i,0.0025522-0.0021487i,-0.00065077+0.0053284i,0.0039678+0.003356i,0.0093706+0.011647i,-0.025272-0.0055599i,-0.030979+0.0088117i,-0.020161+0.021433i,0.0036331-0.00016873i,0.0080756-0.0075124i,-0.014433+0.0064918i
