-0.024353-0.0046806i,-0.021269-0.0073689i,-0.012188-0.013211i,-0.034998-0.0075043i,-0.027067+0.0018536i,-0.035477-0.0026512i,-0.066472-0.038703i,-0.032346-0.014739i,-0.021477+0.0025157i,0.0059509+0.006323i,-0.0049744+0.0074215i,-0.0086292+0.017713i,0.0058094+0.0080751i,-0.0011627+0.0030492i,0.0041736+0.0037076i,0.0043838+0.025796i,0.022031+0.019881i,0.0012148-0.00064502i,0.0012752-0.0044543i,0.0087498+9.1906e-05i,0.0050822-0.00048617i,0.002096+0.0014113i,0.0012932-0.00064803i,-0.024218-0.002198i,-0.0048055-0.0040626i,-0.0003019+0.0032115i,0.004445-0.0044585i,-0.0019785-0.00056116i,-0.00030689+0.0010789i,-0.0019053-0.0013672i,-0.0036692-0.00031041i,-0.0069089-0.008591i,-0.0048415-0.0073847i,-0.00062294+0.0001638i,-0.00023616-0.002169i,0.00054885+0.021864i,0.0027501-0.0039749i,0.00078643-0.004408i,0.0029012-0.0019749i,-0.0030986-0.0032039i,0.0010068-0.00013204i,0.0080578-0.0020218i,0.0030437-0.002304i,7.754e-05+0.0025948i,-0.013198+0.015491i,-0.026781+0.054333i,-0.0050793-0.037262i,-0.014825-0.018625i,-0.039889-0.016493i,-0.026972-0.012573i,0.037337-0.011572i,0.0065447-0.030039i,0.012977-0.038065i,-0.0078416-0.029584i,0.02538-0.022887i,0.013268+0.0073248i,0.028131-0.036011i,-0.0018034-0.0044789i,0.0062223-0.0090861i,-0.0011661-0.0058703i,-4.3093e-05-0.035871i,-0.014221+0.029721i,0.0086733-0.011395i,-0.0088611-0.0048716i,-0.0025446-0.0022197i,3.7058e-05-0.015734i,-0.007487+0.0060381i,0.0041182+0.0063191i,-0.0018064+0.029125i,0.0022968+0.0010563i,-0.0072283-0.0043875i,-0.0038583-0.0064844i,-0.014546-0.010017i,-0.0023005-0.0057167i,-0.03459+0.0061713i,-0.0048115-0.0085505i,-0.012934-0.0012122i,-0.010291-0.0057642i,0.0019623-0.0017454i,-0.013985+0.0024512i,-0.001793-0.00072952i,0.0056379+0.0062991i,0.0039288-0.0052187i,-0.013999-0.013956i,0.0076873+0.0083277i,-0.016435+0.0051291i,0.004869+3.9952e-05i,-0.01889-0.0032713i,-0.016744-0.0046892i,-0.014349-0.035533i,0.019844-0.0097291i,-0.039612-0.024758i,-0.01051+0.0047189i,0.017582+0.015589i,-0.022633+0.016997i,-0.004214-0.003873i
0.0064684-0.010387i,0.010764+0.0018942i,0.0073346+0.003538i,0.014474-0.0035109i,0.018499-0.0018992i,0.015978-0.013583i,0.01589-0.0051737i,0.012614-0.0018874i,0.0011844-0.0089628i,-0.0030295+0.0032514i,-0.00080404-0.00018743i,-0.0014716+0.00022524i,-0.00080645+0.004046i,-0.0015745+0.0025804i,0.0005051+0.0024387i,0.00082558-0.00022163i,0.0029634-0.00148i,0.00069206-0.001233i,-0.00043257-0.00049955i,-5.304e-05+8.1383e-05i,0.00081137-0.0024051i,-0.001189-0.0013032i,-0.00058996-0.00050872i,0.0035196+0.0046395i,-0.0017789+0.0009352i,-0.0013965+0.0015493i,-0.0025606+0.00061682i,-0.0020721+7.1738e-05i,-0.0025292-0.00089562i,-0.0020404+0.00053063i,0.0013927-0.0010408i,0.00049096+0.0013137i,0.0011586+8.025e-05i,0.0013568-0.0002552i,0.0010629-0.00042694i,-0.010658+0.0067574i,-0.0015725-0.00029365i,-0.0011044+0.00033442i,-0.0028655+1.3108e-05i,0.0015347-0.0029966i,-0.00011916-0.0010703i,0.0003568-0.0013077i,-0.0014519+0.0019032i,0.0021515+7.284e-05i,0.0011172-0.013407i,-0.025544-0.0087252i,-0.0028356-0.0061485i,-0.0073217+0.0014231i,0.017445+0.021729i,0.0014772+0.00491i,0.012724-0.013964i,-0.012175-0.027384i,-0.0044682-0.013085i,0.0076074-0.0082704i,0.018382+0.018068i,0.0020219+0.0014132i,-0.00074789+0.00047134i,-0.0059997-0.00086689i,0.010628-0.0031818i,0.013737+0.0088586i,0.002778+0.0049938i,-0.0052126-0.0072792i,0.0062202-0.0034518i,-0.0041575-0.0067131i,0.0029197-0.011266i,0.0066897-0.0062732i,-0.00042487+0.0075492i,0.010222-0.0082361i,0.0037915-0.0082775i,0.00098166-0.0068809i,-0.0026841-0.0014777i,-0.0063189-0.006752i,-0.0086987-0.00066485i,-4.4125e-05-0.0012494i,-0.0087255+0.028376i,-0.0096849-0.0027949i,0.00040162+0.0032833i,-0.0035917-0.0048326i,0.00025943+0.00081051i,-0.016529+0.0010189i,-0.0031059+0.0018523i,-0.0016846-0.0020821i,-0.0038518-0.0004004i,-0.0057743-0.0038226i,-0.0013317+0.0051119i,-0.0016905+0.0020335i,-0.0053938+0.0064675i,-0.0055202+0.00032847i,-0.002505-0.0017034i,0.0072573-0.0013761i,-0.0059719+0.018621i,-0.028752-0.0023925i,-0.010879-0.0028098i,0.012367+0.016504i,-0.0022343+0.017019i,-0.0066557-0.0044778i
0.0048853-0.011978i,0.011326-0.0018563i,0.0079311+0.0025525i,0.013221-0.0051491i,0.018127-0.0049859i,0.013384-0.016181i,0.013162-0.0081217i,0.011937-0.0039664i,-0.00055506-0.0093043i,-0.0018891+0.0035668i,-0.00048105+0.00030598i,-0.0015126+0.0014623i,0.00035104+0.0040612i,-0.00047827+0.0031154i,0.0010664+0.0023104i,0.00065663+0.00022236i,0.0019342-0.0021325i,0.00075198-0.0012619i,-0.00050445-0.001049i,0.00040573-0.00047607i,0.00016401-0.0026438i,-0.0014366-0.00093503i,-0.00064366-0.00072786i,0.0058415+0.0027679i,-0.0017888+0.0021429i,-0.00057352+0.0020266i,-0.0024773+0.001448i,-0.002146+0.0009681i,-0.0032373+0.0004353i,-0.0017872+0.0016069i,0.00078719-0.0012893i,0.00062971+0.00028412i,0.00068889-0.00037632i,0.00094161-0.00071762i,0.0007016-0.00032135i,-0.0076258+0.0096942i,-0.0020341+0.00041705i,-0.0011245+0.0010198i,-0.0027371+0.0012772i,0.00059183-0.0030249i,-0.00023524-0.0011068i,-0.00018658-0.0012933i,-0.0011426+0.0022601i,0.0014759+1.9544e-05i,-0.00065926-0.012826i,-0.02342-0.0055629i,-0.0044568-0.0031815i,-0.0047302-0.00014253i,0.026371+0.014557i,0.0051822+0.0023757i,0.0062794-0.017002i,-0.020222-0.026596i,-0.0093657-0.013928i,0.01062-0.015601i,0.019941+0.011344i,0.00054417+0.00025905i,-0.00016196+0.0027802i,-0.0058305+0.0011134i,0.0077044-0.0067805i,0.015375+0.0043913i,0.0057133+0.0056456i,-0.0090316-0.0055569i,0.0026469-0.0050846i,-0.0052531-0.00424i,-0.00259-0.010133i,0.0037592-0.0078709i,0.0032106+0.0055796i,0.0052918-0.010043i,-0.00028573-0.0075892i,-0.0024974-0.0038017i,-0.0019065-0.00054493i,-0.0077532-0.0043233i,-0.0061153+0.0032422i,0.00032239-0.00071268i,0.0053806+0.02737i,-0.010578+0.00056617i,0.0011962+0.0018858i,-0.0059891-0.002563i,0.0006418+0.00037884i,-0.014321+0.0084352i,-0.0020209+0.0030424i,-0.0022968-0.00047881i,-0.0027399+0.00040839i,-0.0066992-0.0014669i,6.6182e-05+0.0022494i,-0.00068778+0.0016888i,-0.0013147+0.0080417i,-0.0038801+0.0019788i,-0.0037875-0.0016243i,0.0084022-0.0075473i,-0.0017493+0.020943i,-0.028748+0.0032872i,-0.011937-0.0043263i,0.014506+0.014021i,0.00087997+0.018713i,-0.0088453-0.0035438i
0.0023085-0.013056i,0.0094691-0.0061607i,0.0090097+0.00067034i,0.012461-0.006942i,0.017568-0.0081022i,0.010262-0.018676i,0.0099618-0.010632i,0.011059-0.0061708i,-0.0022145-0.008705i,-0.0012496+0.0037524i,-0.00024367+0.00012701i,-0.00078957+0.002451i,0.0013805+0.0034986i,0.00054301+0.0026709i,0.0016288+0.0020204i,0.00069681+0.00053258i,0.00078397-0.002307i,0.00069512-0.0017222i,-0.0010065-0.0011437i,0.0001305-0.0013661i,-0.00074493-0.0028338i,-0.0013268-0.00052459i,-0.0010292-0.00088679i,0.0063272-0.00031797i,-0.00070524+0.0030548i,2.9796e-05+0.0020956i,-0.0020874+0.0026644i,-0.0016873+0.0018022i,-0.0029671+0.0022511i,-0.00101+0.0024145i,0.00021408-0.0012438i,-0.0001348+0.00057701i,0.00036155-0.00040398i,0.00044925-0.00091451i,0.0006789-0.00019977i,-0.0041153+0.011393i,-0.001994+0.0017458i,-0.00060411+0.0014675i,-0.0020502+0.0025763i,-0.00027277-0.0030126i,-0.00034551-0.001195i,-0.00043313-0.0011117i,-0.00073679+0.0027937i,0.0014766+0.00047839i,-0.0015755-0.011955i,-0.02183-0.0018525i,-0.0031619+0.0006234i,-0.0024316-0.0025852i,0.033322+0.0039648i,0.0081257+0.00053185i,-0.00014344-0.017048i,-0.026712-0.023028i,-0.013389-0.011341i,0.0091486-0.024111i,0.019338+0.0048439i,-0.0011107+0.00040078i,-0.00040109+0.002076i,-0.0059789+0.0023051i,0.0025572-0.009908i,0.015472-0.00073969i,0.0081341+0.0041743i,-0.011512-0.0021699i,0.00084943-0.0040717i,-0.0055824-0.0015488i,-0.0053187-0.0069673i,0.00098053-0.0077903i,0.0051675+0.0043771i,0.0020358-0.0095375i,-0.0033049-0.0053363i,-0.0022664-0.00045462i,-0.001809-0.00070868i,-0.0095226-0.0010659i,-0.0030742+0.0040055i,-0.00034772-0.0013192i,0.015781+0.020217i,-0.010227+0.0049314i,0.0017261+0.0011113i,-0.0048655+7.6874e-05i,0.0011455-0.00065082i,-0.0079457+0.013563i,-0.00033724+0.0039606i,-0.0025732+0.00038364i,-0.0024176+0.0015874i,-0.0069318+0.0019223i,-0.00086076+0.0021701i,-0.00021488+0.0012429i,0.0020201+0.0073802i,-0.0027799+0.0016428i,-0.0052296-6.1644e-05i,0.005705-0.012786i,0.0079801+0.019667i,-0.02693+0.0067945i,-0.013628-0.0050916i,0.017284+0.0093172i,0.0055565+0.019789i,-0.010063-0.002164i
-0.0004243-0.012988i,0.0058399-0.0079796i,0.0089159-0.0018578i,0.01123-0.0090738i,0.016074-0.011352i,0.0063387-0.020185i,0.006321-0.011703i,0.0096397-0.0081529i,-0.0032644-0.0080058i,-0.00064891+0.0042125i,-0.00043998+0.00015614i,0.00035099+0.0027092i,0.001726+0.0027791i,0.00087445+0.0023558i,0.0019557+0.0015631i,0.00082272+0.00084127i,-0.00024201-0.0017474i,0.00038927-0.0020427i,-0.0010264-0.0010792i,-0.00074156-0.0017296i,-0.0015901-0.0023835i,-0.0013517-0.00035058i,-0.00154-0.00070756i,0.0052447-0.0027444i,0.00062229+0.0031721i,0.00071317+0.0022186i,-0.0006827+0.003675i,-0.0010288+0.0023655i,-0.0016167+0.0034421i,8.0485e-05+0.0026742i,-0.00022537-0.0010453i,0.00033111+0.0011516i,0.0001273-0.0003865i,-9.946e-05-0.00089178i,0.00065924-0.00028307i,-0.00031791+0.011875i,-0.0010352+0.0027867i,-0.00015762+0.0015492i,-0.00089539+0.0034361i,-0.0012101-0.0027923i,-0.00072636-0.0013255i,-0.00051534-0.0010411i,2.6694e-05+0.0032761i,0.0017388+0.0006157i,-0.0019135-0.012047i,-0.017789+0.0014284i,0.0004481+0.0027711i,-0.0034384-0.0059658i,0.03597-0.010201i,0.010355-0.0039823i,-0.0060106-0.014131i,-0.032699-0.016796i,-0.01558-0.0063439i,0.0030287-0.030979i,0.017344-0.00059096i,-0.0019097+0.0017763i,-0.00035589+0.0043518i,-0.0055118+0.0042725i,-0.0038971-0.0084681i,0.013862-0.0062163i,0.0099958+0.0015891i,-0.012439+0.0021952i,-0.0003447-0.0038109i,-0.0045665+0.00057747i,-0.006332-0.00325i,-0.0011292-0.0075356i,0.0064042+0.0014057i,-0.00056216-0.0089252i,-0.0042164-0.0014906i,-0.00084242+0.0011985i,-0.0021644-0.00045434i,-0.008963+0.0031054i,-0.00049207+0.0044413i,-0.001094-0.0013855i,0.021033+0.010022i,-0.0070977+0.0095296i,0.0019147-8.2647e-06i,-0.0035213+0.0019177i,0.00042056-0.0018394i,-0.0011032+0.013727i,0.0018665+0.0034031i,-0.0021754+0.0022199i,-0.0013406+0.0028069i,-0.0043966+0.0050412i,-0.00076789+0.0027953i,-0.00042364+0.0007754i,0.0049708+0.0061033i,-0.002836+0.00088334i,-0.0061381+0.0021365i,0.0019837-0.014339i,0.017851+0.010147i,-0.023585+0.010836i,-0.017006-0.0043114i,0.015797+0.0045638i,0.01068+0.018557i,-0.0096488-0.00086039i
-0.0024936-0.012375i,0.0034785-0.0077735i,0.0080747-0.0037138i,0.0098034-0.010933i,0.01401-0.014141i,0.0026014-0.020924i,0.0033281-0.011456i,0.0078749-0.009587i,-0.0040139-0.0072464i,0.0002455+0.0044377i,-0.00068673+0.00034748i,0.0013107+0.0024109i,0.0018+0.0024788i,0.0010869+0.0021014i,0.0021801+0.0011937i,0.0013026+0.0012598i,-0.00050727-0.0010008i,-0.00020636-0.0023791i,-0.0014408-0.00125i,-0.0016325-0.0014797i,-0.002181-0.0019863i,-0.0013082-0.00012316i,-0.0019123-0.00020103i,0.0033763-0.0041813i,0.0017934+0.0028196i,0.0016108+0.0020765i,0.0008431+0.0038061i,-0.00028363+0.0027758i,-6.3448e-05+0.0038826i,0.0012021+0.0025067i,-0.00035097-0.000795i,0.00074549+0.0012155i,-0.00013543-0.00025181i,-0.0005682-0.00032917i,0.00069704-0.00027008i,0.0032341+0.011387i,0.00014189+0.003282i,0.00022106+0.0017121i,0.00062764+0.0037825i,-0.0018395-0.0022193i,-0.0010839-0.0013397i,-0.00080609-0.0010303i,0.0010137+0.0033061i,0.0018628+0.00028909i,-0.0031437-0.012636i,-0.012886+0.002197i,0.0050274+0.0022346i,-0.0055483-0.0064569i,0.031778-0.023536i,0.0098259-0.0086528i,-0.0085389-0.0092006i,-0.035038-0.0077919i,-0.015343-0.00012931i,-0.0056154-0.033209i,0.013467-0.0040467i,-0.0012639+0.0031002i,0.0024572+0.0048807i,-0.0043048+0.0058864i,-0.0067396-0.0040964i,0.009662-0.011534i,0.010767-0.0020734i,-0.011634+0.0063587i,-0.0012391-0.0022322i,-0.0031433+0.0015507i,-0.0048929-0.00082609i,-0.0039949-0.0061159i,0.0058026-0.00084933i,-0.0027589-0.0075127i,-0.0028903+0.0011526i,0.00086142+0.0014797i,-0.002314+4.5449e-05i,-0.0061089+0.0059482i,0.0021714+0.0032576i,-0.001555-0.000371i,0.021065+5.5903e-05i,-0.001605+0.011194i,0.0013427-0.00077605i,-0.0015401+0.0020647i,-0.00069598-0.0015286i,0.0034349+0.011397i,0.0027913+0.0020648i,-0.00054476+0.00412i,0.00087332+0.0034495i,-0.00043887+0.0055931i,0.00038845+0.0032558i,-0.0013599+0.00092688i,0.006535+0.0033939i,-0.0037168+0.00065328i,-0.0050913+0.0048809i,-0.00012107-0.014337i,0.019159-0.0047961i,-0.018183+0.010898i,-0.019801-0.0017522i,0.015127+0.0011679i,0.014974+0.014028i,-0.01016-0.00097987i
-0.0041574-0.011558i,0.0023676-0.0076444i,0.0074352-0.005228i,0.0081483-0.012924i,0.011637-0.016603i,-0.0014259-0.021157i,0.0013711-0.010601i,0.0061329-0.010602i,-0.0043883-0.0066227i,0.0010136+0.0043828i,-0.00069136+0.00083389i,0.0020851+0.0019616i,0.0021798+0.0024615i,0.0013705+0.0020215i,0.0024584+0.00069258i,0.0022119+0.001445i,-0.00036098-0.00067894i,-0.0010351-0.0025213i,-0.0021725-0.0010128i,-0.0022978-0.00089333i,-0.0026367-0.0014507i,-0.0011092-4.0163e-05i,-0.0020293+0.00043947i,0.001103-0.0048178i,0.0028656+0.0020193i,0.0024395+0.0014146i,0.0022792+0.003281i,0.00080759+0.0030231i,0.0014728+0.0036801i,0.0021507+0.0018656i,-0.00043768-0.00064509i,0.0013872+0.0011449i,-0.00020802+0.00022737i,-0.00044697+0.00025618i,0.00077044-0.00048283i,0.0062966+0.0098749i,0.0015985+0.0032049i,0.00092069+0.0018262i,0.002121+0.0032789i,-0.0021472-0.0016354i,-0.0016302-0.0011444i,-0.0012674-0.00096623i,0.0018843+0.0030478i,0.0018831+0.00015511i,-0.0045924-0.013028i,-0.0091148+0.00076191i,0.0086986-0.0010188i,-0.0067921-0.0054961i,0.024152-0.033854i,0.0073678-0.011957i,-0.0080459-0.0047555i,-0.032928+0.0010132i,-0.010775+0.0064616i,-0.013417-0.031004i,0.010089-0.0054012i,-6.8884e-05+0.0036864i,0.0041857+0.0034144i,-0.0027008+0.0075061i,-0.0072914-0.00059732i,0.0029169-0.014529i,0.0089541-0.0062931i,-0.0097814+0.0092018i,-0.00053239-0.001294i,-0.0021459+0.0014419i,-0.0037747-0.00011358i,-0.0050691-0.0032729i,0.0043121-0.0019913i,-0.0038784-0.0056749i,-0.00056055+0.0019665i,0.0023997+0.00022886i,-0.0021109+0.00084841i,-0.0031621+0.0068802i,0.0029249+0.0011681i,-0.00075351+0.00058051i,0.01727-0.0077831i,0.0033017+0.010227i,0.00086472-0.00038064i,-0.00067254+0.0018035i,-0.0014033-0.00046622i,0.0065044+0.0084466i,0.0036215+0.0010021i,0.0024491+0.0040245i,0.0024042+0.0020531i,0.0026995+0.0042344i,0.0012859+0.0031325i,-0.0015786+0.0022601i,0.0064187+0.00092359i,-0.0050871+0.0012569i,-0.0026617+0.0064014i,-0.0014262-0.014928i,0.01149-0.015516i,-0.015637+0.0069454i,-0.022483+0.0024891i,0.012691-0.0035196i,0.016551+0.0091358i,-0.011389+0.00012666i
-0.0057294-0.010303i,0.0010137-0.0079218i,0.0062685-0.0074914i,0.0055939-0.015035i,0.0087542-0.018859i,-0.0057073-0.020247i,0.00021894-0.0099032i,0.0044378-0.011582i,-0.0047153-0.0061521i,0.0016598+0.0046913i,-0.00062425+0.0012111i,0.0023687+0.00096893i,0.0027013+0.0022009i,0.0016583+0.0018765i,0.0025588+0.00014709i,0.0031266+0.00090471i,-0.00045948-0.00055265i,-0.0020737-0.0023611i,-0.0025563-0.00026692i,-0.0028819+6.0276e-06i,-0.0032215-0.00082789i,-0.001066-0.00021552i,-0.0019609+0.0010917i,-0.0011616-0.0044823i,0.0035402+0.00048513i,0.0028237+0.00049649i,0.0032044+0.0023507i,0.0020556+0.002645i,0.0029761+0.0028075i,0.0027214+0.00086177i,-0.0004609-0.00052989i,0.0018112+0.0007658i,-3.5147e-05+0.0005846i,-3.7223e-05+0.00060256i,0.00067527-0.00084792i,0.0086886+0.0073713i,0.0027604+0.0023778i,0.0015866+0.001467i,0.0033566+0.0022115i,-0.0022372-0.0011112i,-0.0021244-0.00055066i,-0.0015388-0.00051575i,0.0028222+0.0024618i,0.0018307-5.4051e-05i,-0.0065538-0.013135i,-0.0069008-0.001848i,0.010097-0.0052848i,-0.0060984-0.0038051i,0.013946-0.040599i,0.0043189-0.013635i,-0.0062762-0.0025596i,-0.027696+0.0067406i,-0.0027198+0.0088884i,-0.019395-0.026093i,0.0074181-0.0056792i,0.0010125+0.0035187i,0.004152+0.0013648i,-0.00025041+0.0080765i,-0.0072397+0.0026078i,-0.0051064-0.013249i,0.0054124-0.008397i,-0.0072634+0.0118i,0.00011079-0.0020624i,-0.0018031+0.0013367i,-0.0035656+3.4108e-05i,-0.0044885-0.001123i,0.0032275-0.0021976i,-0.0045341-0.0045845i,0.00075324+0.0012938i,0.002612-0.0020375i,-0.0017258+0.0016288i,-1.6336e-05+0.0068322i,0.0023092-0.00018653i,-6.5428e-05+0.0002275i,0.011497-0.012259i,0.0070426+0.0076003i,0.0013538-0.00044394i,0.00044886+0.0009935i,-0.00065362+0.00017778i,0.0080457+0.0051782i,0.0044363-0.0011666i,0.0044592+0.0025677i,0.0028122+0.00097068i,0.0041122+0.0017938i,0.0030708+0.0029583i,-0.00048701+0.0036968i,0.0060958-0.00074402i,-0.0057901+0.003177i,-0.00034373+0.0061154i,-0.0026215-0.014975i,0.0012209-0.021988i,-0.018343+0.0036872i,-0.022297+0.0083025i,0.0062317-0.0060756i,0.01717+0.0048302i,-0.01126+0.0012108i
-0.0064303-0.0088945i,0.00035175-0.0074822i,0.0041129-0.0088604i,0.0020923-0.016277i,0.0052696-0.020473i,-0.0092741-0.018144i,-0.00035082-0.0094357i,0.0025951-0.01225i,-0.004983-0.0059951i,0.0030668+0.0049474i,-0.00032477+0.0018964i,0.002305+0.00032494i,0.0032556+0.0017649i,0.002106+0.0017722i,0.0025108-0.00042212i,0.0035765+0.00020739i,-0.00071366-0.00022237i,-0.0030458-0.0015256i,-0.0024646+0.00044096i,-0.0029198+0.0012784i,-0.0035607+0.00024766i,-0.0015849-0.00038187i,-0.0016098+0.0017398i,-0.0030034-0.0030948i,0.0031536-0.0010038i,0.0027889-0.00053717i,0.0039963+0.001i,0.0029796+0.0017961i,0.0038101+0.0012351i,0.0027923-0.00023327i,-0.00049639-0.0004589i,0.002017-5.8743e-05i,0.0005266+0.0007826i,0.00052719+0.00063395i,0.00029789-0.00090224i,0.010069+0.0041907i,0.0034499+0.0011023i,0.002084+0.00092859i,0.0040376+0.00064133i,-0.0023013-0.00050926i,-0.0022971+0.00029313i,-0.001606-0.00011451i,0.0033548+0.0014465i,0.0017979-0.00036317i,-0.0086402-0.012716i,-0.0061166-0.0051117i,0.0093639-0.0093083i,-0.0042135-0.0036833i,0.0032033-0.042678i,0.0010482-0.01378i,-0.0048157-0.0014623i,-0.022687+0.0090543i,0.0052575+0.0068074i,-0.022026-0.019716i,0.0060227-0.0056712i,0.002035+0.0026942i,0.0034633+0.00026136i,0.002627+0.00747i,-0.0056008+0.0060144i,-0.010655-0.0077689i,0.0019461-0.0085949i,-0.0039074+0.013206i,-0.00087357-0.0032213i,-0.0016341+0.0014827i,-0.0037917+0.00065289i,-0.0033466+0.00011647i,0.0021811-0.0022201i,-0.0054076-0.0031696i,0.0012361+0.00046128i,0.00038248-0.003702i,-0.00072034+0.0021789i,0.0027345+0.0051643i,0.002369-0.00090525i,0.00014345-6.3003e-05i,0.0053676-0.013792i,0.0091852+0.0037956i,0.0014914-0.0012616i,0.00026809+1.7782e-05i,0.00027659+0.00021742i,0.0081013+0.0021205i,0.0034893-0.0039664i,0.0059554+0.00043108i,0.0034393-7.013e-05i,0.0044983-0.00064093i,0.0041836+0.0015586i,0.0013593+0.0039407i,0.0048058-0.0021304i,-0.0050786+0.0055994i,0.0012754+0.0048881i,-0.0033116-0.014936i,-0.011401-0.023126i,-0.022001+0.0042148i,-0.019007+0.013449i,0.0015052-0.0034774i,0.015978-0.00018091i,-0.010915+0.001324i
-0.0066124-0.0082069i,0.00022304-0.0080468i,0.002186-0.0091686i,-0.0014598-0.016082i,0.0016932-0.02138i,-0.011769-0.015732i,-0.00046133-0.0098573i,0.00061063-0.012799i,-0.0054377-0.0058817i,0.0047443+0.0042204i,0.0005251+0.0023345i,0.0021156+5.7441e-05i,0.0038048+0.00095337i,0.0026134+0.0013861i,0.0023761-0.00097948i,0.0039319-0.00037526i,-0.00068469+0.00015461i,-0.0033264-0.0004576i,-0.0023701+0.00096288i,-0.0023212+0.0022735i,-0.003472+0.001279i,-0.0021123+0.00012164i,-0.00098748+0.0022241i,-0.0041005-0.00099497i,0.0023519-0.0018672i,0.0023925-0.0014245i,0.0040673-0.00069119i,0.0035589+0.00055471i,0.0037105-0.00020203i,0.0025271-0.0012139i,-0.00045274-0.00028072i,0.0015349-0.00073758i,0.0011599+0.00044606i,0.00099475+0.00038412i,5.2947e-05-0.0007431i,0.0099665+0.00093603i,0.0035107-0.00032085i,0.0024838+0.00018797i,0.0039088-0.0010595i,-0.0020887+0.00019169i,-0.0019729+0.0011378i,-0.0016516+0.0002616i,0.0033365+0.00033198i,0.0017141-0.00059618i,-0.01071-0.011698i,-0.0083235-0.0080844i,0.0071849-0.012211i,-0.0032282-0.0049252i,-0.0059599-0.041807i,-0.0011562-0.011896i,-0.003129-0.00061514i,-0.018672+0.010614i,0.010144+0.0018256i,-0.021324-0.013836i,0.0048863-0.006569i,0.0025871+0.0011659i,0.003429-0.0007069i,0.004987+0.0053102i,-0.002429+0.0073488i,-0.012283-0.001551i,-0.0010775-0.0079387i,-5.2952e-05+0.012963i,-0.0029496-0.00323i,-0.0018929+0.002173i,-0.0036639+0.0017576i,-0.0024939+0.0008641i,0.0016121-0.0013519i,-0.0057475-0.0012081i,0.0010451-0.0002544i,-0.001749-0.0028639i,0.00042459+0.0021375i,0.0038771+0.0027016i,0.0023289-0.0020486i,0.00019514+0.00014766i,3.4085e-05-0.012886i,0.0095037-0.00043273i,0.00094498-0.0018774i,-2.7501e-05+3.4545e-05i,0.0009769-0.00049929i,0.0076565-0.00016949i,0.0007776-0.0056678i,0.0060753-0.0026415i,0.0032578-0.0019816i,0.0036554-0.0032779i,0.0046629+0.00031726i,0.0027805+0.0032923i,0.0032062-0.0022639i,-0.0033745+0.0070139i,0.0020955+0.0033938i,-0.0034285-0.015644i,-0.02277-0.017498i,-0.025212+0.0069036i,-0.013948+0.015112i,0.00075608-0.00095897i,0.012755-0.0037089i,-0.012337+0.0015667i
-0.0074162-0.007644i,-0.00056079-0.009352i,0.00083069-0.0092469i,-0.0044769-0.014965i,-0.0020787-0.021869i,-0.013981-0.0132i,-0.0011915-0.011457i,-0.0014884-0.013009i,-0.0061944-0.0056781i,0.0059961+0.002924i,0.0015879+0.00221i,0.0020302-5.8014e-05i,0.0039614-0.00013848i,0.0030892+0.00083386i,0.0020598-0.0015667i,0.0040678-0.0011497i,-0.00053131+0.00047538i,-0.0033301+0.00052169i,-0.0020793+0.001633i,-0.0014674+0.0028977i,-0.0031048+0.0024219i,-0.00221+0.0010062i,-0.00035238+0.0023921i,-0.0039746+0.0013325i,0.0015428-0.0023825i,0.0017382-0.0020991i,0.0034046-0.0022205i,0.0035056-0.00090912i,0.0033063-0.001418i,0.0018969-0.0020871i,-0.00029857-0.0002445i,0.0011651-0.00088224i,0.0014156-0.00015884i,0.0013033-0.00027009i,1.8971e-05-0.00064923i,0.0090034-0.0018121i,0.0031693-0.001595i,0.0025852-0.00079148i,0.0030702-0.0025151i,-0.0015216+0.00078673i,-0.0014053+0.0018109i,-0.0016033+0.00069134i,0.0029196-0.00040189i,0.0016101-0.00052436i,-0.012666-0.01033i,-0.012225-0.0081328i,0.0046775-0.013674i,-0.0033659-0.0053285i,-0.01446-0.039993i,-0.0010994-0.0097933i,-0.0012562-0.00092918i,-0.014132+0.011241i,0.013276-0.0045404i,-0.018615-0.010313i,0.0031036-0.0074175i,0.0016214-0.0010534i,0.003071-0.002042i,0.0053037+0.0023644i,-0.00039468+0.0069238i,-0.011364+0.0042646i,-0.0038684-0.0062111i,0.0027182+0.010864i,-0.0045513-0.0015883i,-0.0014438+0.0034528i,-0.0030161+0.0028231i,-0.0011208+0.0010706i,0.0024596+0.00011616i,-0.0048579+0.00029052i,0.0010448-7.275e-05i,-0.0023737-0.0017603i,0.0014236+0.0015938i,0.0038394+0.00084769i,0.00066485-0.0033539i,0.00061721+3.3943e-06i,-0.004257-0.01089i,0.0082289-0.0040642i,0.00032063-0.0021517i,0.00043667-0.00010089i,0.00084064-0.001549i,0.0071008-0.002184i,-0.0018015-0.0051629i,0.0045922-0.0055009i,0.001772-0.0030494i,0.0012861-0.0045704i,0.0048583-0.0014752i,0.0038432+0.0024199i,0.0026703-0.0021797i,-0.00095938+0.0076181i,0.001702+0.0016428i,-0.0042368-0.017527i,-0.027803-0.0074817i,-0.027555+0.01171i,-0.0099366+0.015218i,0.00010063+0.00078114i,0.0093295-0.0048433i,-0.013475+0.0032592i
