-0.0089164-0.039617i,-0.013685-0.042741i,0.00081794-0.045836i,-0.026322-0.027853i,-0.020397+0.014217i,-0.032881-0.030549i,-0.05977-0.058804i,-0.022821-0.070188i,-0.034175-0.057567i,0.0025078+0.015199i,-0.0072587+0.010104i,-0.014334+0.01359i,0.0014347+0.016666i,-0.0035772-0.0032523i,0.00080442+0.0064677i,-0.00012275+0.036813i,0.021707+0.057612i,0.0008578-0.0002905i,-0.0053499-0.0082379i,0.0081176+0.0053184i,0.0016683+0.00097946i,-0.0016912+0.0040326i,-6.1543e-06-0.0011542i,-0.033446-0.0095847i,-0.0029165-0.007802i,-0.00022913+0.0044673i,0.0031741-0.0023392i,-0.00013244+0.00081533i,-0.00016729-0.00079439i,2.0289e-06-0.0030288i,-0.0012306-0.0052526i,-0.0023473-0.0038842i,-0.0013287-0.0077117i,0.0033053-0.00093885i,0.0029127-0.0026536i,-0.0027882+0.033132i,0.0063976-0.0047081i,0.0034456-0.0018i,0.0046077-0.0005726i,-0.017929+0.010652i,-0.00020194+0.00010979i,0.0079092+0.00012355i,0.0061001-4.1787e-05i,-0.0033521+0.0035332i,0.0022932+0.0014583i,-0.00324+0.0072277i,0.012821-0.087993i,-0.0074541-0.048744i,-0.025004-0.040631i,-0.020203-0.041554i,0.06188-0.017959i,0.02626-0.061193i,0.038275-0.045682i,0.0286-0.058298i,0.019372-0.015888i,0.0084126+0.0099343i,0.023825-0.031455i,-0.0077214-0.0050686i,0.0022056-0.0027146i,-0.0049679-0.0066424i,0.00069162-0.031852i,-0.024031+0.031025i,0.0079036-0.010716i,-0.010671-0.00097667i,-0.0050826-0.0011582i,-0.00086921-0.014006i,-0.010048+0.0042353i,0.0037668+0.0080991i,-0.01047+0.029099i,0.0053172+0.0068889i,-0.005444-0.001503i,-0.0020014-0.002396i,-0.011608-0.007212i,0.000662-0.0035761i,-0.038105+0.0070055i,0.0022008-0.012727i,-0.0095085-0.0014919i,-0.0062432-0.0029572i,0.0066967+0.001466i,-0.0088952+0.0015567i,0.0011304+0.00079298i,0.0060978+0.0085711i,0.0046845+0.00049208i,-0.0093676-0.0098299i,0.0026577+0.008874i,-0.019+0.0077574i,0.0059335+0.0026525i,-0.029386-0.0080283i,-0.033577+0.003596i,0.023535-0.079671i,0.012277-0.010681i,-0.042661-0.026257i,-0.023343-0.0032715i,0.018722+0.01244i,-0.025568+0.01186i,-0.012017-0.008228i
-0.013454+0.018403i,0.013291+0.045319i,0.026258+0.042716i,-0.00015112+0.017534i,-0.0022767+0.0064874i,0.026217+0.00067613i,0.014162+0.016059i,0.012021+0.044143i,0.0070758+0.019188i,-0.0032755+0.0066902i,0.0010795+0.001469i,0.0026684-0.0042306i,0.0026822-0.0023194i,0.0034905-0.00062133i,0.0030918-0.0021952i,0.0051164-0.0007056i,0.01304-0.006587i,-0.00063786-0.00052968i,-0.0046481+0.00012614i,-0.00024456+0.0025956i,-0.00046839-0.0010476i,-0.0052467-0.0014124i,-0.0025075+0.00061859i,0.0040711+0.01066i,0.0028464+0.0016165i,0.002133+0.00054351i,0.0019735+0.0015967i,-0.0014376+0.003368i,-0.00031788+0.00077074i,-0.00090909+0.0012733i,0.00089879-0.003694i,-0.00081374-0.0010756i,-0.0009858-0.00049875i,-0.00015578+0.00057416i,-0.00067084-0.0018171i,-0.00621+0.0091256i,0.0030473-0.00019359i,0.00093425+4.1651e-05i,-0.0012208+0.0020796i,-0.0008663-0.0024332i,-0.0020576+0.0005816i,-0.0017142-0.0021403i,0.0023296+0.0079082i,0.0030747+0.00097306i,-0.026737+0.024807i,-0.053296+0.026427i,-0.029046+0.047323i,-0.017532+0.033344i,-0.0032664+0.050453i,-0.0066099+0.031445i,0.010089+0.012133i,-0.0049761-0.0061838i,-0.036997-0.0064092i,-0.042208+0.017615i,0.010377+0.020269i,-0.0017165+0.0028054i,-0.005089+0.0021411i,-0.011923-0.0028922i,0.0096845+0.0016519i,0.012558+0.013864i,-0.0025191+0.0082673i,-0.0066431-0.011495i,0.0053351-0.002721i,-0.0044213-0.0041429i,0.0038988-0.0075384i,0.0050219-0.002558i,-0.0009756+0.0097486i,0.01234-0.0049347i,0.0074105-0.0065988i,0.0054935-0.0071877i,0.0032398-0.00071674i,-0.0030662-0.0065435i,-0.0037513-0.0013537i,0.002921-0.001147i,-0.013174+0.035258i,-0.0048577-0.0058424i,0.0015628+0.00060911i,-0.00073211-0.0070521i,0.0034029-0.0010069i,-0.013687-0.0050217i,0.0011751-0.00068446i,0.0030643-0.0029439i,0.0024337-0.0023509i,-0.00025279-0.0061487i,-0.0011739+0.0062566i,-0.00034076+0.0033276i,-0.0020213+0.0054627i,-0.011232-0.0015485i,-0.0086884+0.0027322i,-0.038829+0.040032i,-0.0071663+0.016932i,-0.023317-0.0039528i,-0.00025597-0.001352i,0.010208+0.019073i,-0.0011366+0.019495i,-0.0057334-0.0005724i
-0.01133+0.01827i,0.019954+0.040954i,0.033237+0.037845i,0.0038224+0.019564i,0.0014196+0.0067625i,0.026009-0.0048797i,0.015258+0.012536i,0.019666+0.04002i,0.0095916+0.016993i,-0.00067376+0.0067529i,0.001959+0.0014428i,0.00027576-0.0031328i,0.0014068-0.002398i,0.0031767-0.00073788i,0.0024759-0.0027372i,0.0043259-0.0008172i,0.0095627-0.009108i,1.8258e-06-0.00020511i,-0.0044868+0.00073563i,0.00071639+0.0016165i,-0.00094262-0.0013153i,-0.0054564-1.0956e-05i,-0.0022987+0.00072187i,0.010412+0.0080989i,0.0024928+0.0017781i,0.0025529-0.00044918i,0.0020574+0.00061024i,-3.9664e-05+0.0034998i,-0.00050619+0.0013306i,-0.00054331+0.001613i,-0.00060652-0.0036792i,-0.0016059-0.00091054i,-0.0012285-0.00022691i,0.00019181+0.00037009i,-0.001373-0.00038762i,-0.0029686+0.009487i,0.0024168-0.0012165i,0.0010257-7.9701e-05i,1.3529e-05+0.0021309i,-0.0010991-0.0015866i,-0.0017215+0.00087537i,-0.0035453-0.003282i,0.0043541+0.0073625i,0.0025037+0.00047849i,-0.020498+0.028687i,-0.045243+0.034604i,-0.022751+0.052227i,-0.010296+0.034568i,0.0095748+0.046003i,0.00196+0.028536i,0.0054906+0.0048412i,-0.011377-0.010014i,-0.040272-0.0048099i,-0.033551+0.01851i,0.014338+0.015546i,-0.0023972+0.0032934i,-0.0041241+0.0060444i,-0.012082+0.002193i,0.0080767-0.0019264i,0.014892+0.010769i,0.0017409+0.01162i,-0.012252-0.0096526i,0.0021313-0.0036514i,-0.0042208-0.0016612i,-0.00084433-0.0070916i,0.0034756-0.0042555i,0.0034831+0.0075218i,0.0080539-0.0078247i,0.0028025-0.0085878i,0.0016349-0.0055833i,0.0039533-0.0017024i,-0.004808-0.0050759i,-0.0017051+0.00075324i,0.0030646-0.0018103i,0.0073041+0.038198i,-0.0064809-0.0043939i,0.0021216-0.0011351i,-0.0037959-0.0057791i,0.0038542-0.0020609i,-0.013477+0.0015167i,0.0012737-0.00038914i,0.0015212-0.0026705i,0.0024735-0.0036356i,-0.0017411-0.0054306i,0.0009448+0.0033706i,0.0011458+0.0026784i,0.00075397+0.0062305i,-0.010376+0.0021864i,-0.0085482+0.0042087i,-0.030874+0.041175i,-0.0039749+0.019275i,-0.024031-0.00017894i,-0.0016078-0.005529i,0.012777+0.018534i,0.0030609+0.021081i,-0.0078657-0.00044677i
-0.0099777+0.018682i,0.025124+0.035604i,0.040994+0.030668i,0.010887+0.017665i,0.0055836+0.005467i,0.02436-0.010476i,0.015476+0.0088372i,0.026378+0.033876i,0.012324+0.015528i,0.00085305+0.0062719i,0.0026148+0.00014282i,-3.8372e-05-0.0011897i,0.00020826-0.0023636i,0.003212-0.0011893i,0.0016529-0.0029336i,0.0035758-0.00091682i,0.0061357-0.010822i,8.0947e-05-0.00055183i,-0.0039647+0.0021842i,0.00089159+0.00037446i,-0.0018248-0.0014854i,-0.0049424+0.0016359i,-0.0024119+0.00099049i,0.012135+0.0013859i,0.0035341+0.00096043i,0.0019055-0.0015538i,0.0018988-6.8955e-05i,0.0015298+0.0029442i,0.00022566+0.0016252i,-0.00012387+0.0018797i,-0.0021168-0.0027585i,-0.0020811+0.0001352i,-0.0021612-5.9387e-05i,7.2632e-05+1.7858e-05i,-0.00086619+0.00063749i,2.2599e-05+0.0089998i,0.0016447-0.0017517i,0.00096309-0.00074737i,0.00051148+0.0013202i,-0.0013811-0.0012017i,-0.0014307+0.0011837i,-0.0035259-0.00015586i,0.0060689+0.0060678i,0.0025586+0.00039354i,-0.012707+0.030578i,-0.036662+0.040369i,-0.013733+0.056037i,-0.0026513+0.033066i,0.020769+0.037823i,0.0090478+0.026688i,-0.00084729+0.0020796i,-0.017838-0.0093934i,-0.043188-0.00039046i,-0.026947+0.016636i,0.016663+0.0098903i,-0.0024746+0.0040624i,-0.0023443+0.0072396i,-0.011126+0.0059114i,0.0048141-0.0054465i,0.017091+0.0069125i,0.0070727+0.011594i,-0.015824-0.0054176i,0.00094846-0.0021219i,-0.0037603+0.00033326i,-0.0030604-0.0048224i,0.0012999-0.0046993i,0.0056012+0.006076i,0.0052612-0.0081577i,-0.0028384-0.0074954i,0.0010687-0.0035802i,0.003729-0.0040102i,-0.0056742-0.0039392i,-0.00014535+0.0006081i,0.0019291-0.0028185i,0.021351+0.026012i,-0.0085166-0.0014609i,0.001895-0.0021082i,-0.0037505-0.0037912i,0.0042011-0.0039599i,-0.009877+0.0068089i,0.0023357-0.00039902i,0.00029749-0.0029593i,0.00068678-0.0036842i,-0.0032804-0.0040666i,0.0001622+0.0022727i,0.0019715+0.0016005i,0.0034323+0.0054435i,-0.0091533+0.0045136i,-0.0082219+0.0063665i,-0.024759+0.041776i,0.0034621+0.020093i,-0.02399+0.0041633i,-0.0040276-0.0087102i,0.017299+0.014999i,0.0087933+0.022457i,-0.0093264+0.0014302i
-0.0084863+0.019677i,0.028177+0.030566i,0.045815+0.020354i,0.015296+0.012093i,0.00875+0.0017374i,0.02098-0.015363i,0.014787+0.0062532i,0.03033+0.026418i,0.015484+0.01236i,0.0024166+0.0059968i,0.0016015-0.00019361i,0.00067868-0.00037793i,-0.0012083-0.0012588i,0.0026977-0.0016303i,0.00085007-0.0030928i,0.0030859-0.00060361i,0.0021434-0.01064i,0.00021226-0.00055941i,-0.0011581+0.0043878i,0.00018205-0.00024025i,-0.0025523-0.00052252i,-0.0040257+0.0031723i,-0.0022507+0.001632i,0.0097652-0.0045915i,0.0035227-0.00024905i,0.00093817-0.001733i,0.0015757-0.00064141i,0.0021213+0.0016701i,0.0008675+0.00098128i,0.00060753+0.0022208i,-0.0030131-0.0011514i,-0.0017466+0.000966i,-0.00037008+0.00087743i,-0.00014151+0.00014457i,-0.00012776+0.00085895i,0.0024054+0.0079555i,0.00092045-0.0020578i,0.00031295-0.0010739i,0.0006208+0.0012455i,-0.0015448-0.0008666i,-0.0010639+0.0013861i,-0.0031979+0.0011392i,0.0072214+0.004668i,0.002668+0.00012432i,-0.0055151+0.028913i,-0.026777+0.04448i,-0.0042033+0.057688i,0.0021252+0.030399i,0.029029+0.025983i,0.017219+0.020682i,-0.0078318+0.0038844i,-0.02493-0.0054716i,-0.045475+0.0062988i,-0.023342+0.012892i,0.017285+0.0038466i,-0.0018064+0.0054555i,-9.7676e-05+0.0095327i,-0.00921+0.0092212i,-0.00057751-0.0053885i,0.01875+0.00058498i,0.01224+0.0091408i,-0.017859-0.00044907i,0.00053194-0.0017518i,-0.0025048+0.001594i,-0.0038164-0.0017724i,-0.00029794-0.0044245i,0.0072656+0.0028239i,0.0025407-0.0087011i,-0.0045776-0.002165i,0.0015044-0.0029062i,0.0018284-0.0057982i,-0.0060187-0.00049253i,0.00084523+0.00052782i,0.001039-0.0029285i,0.028226+0.013973i,-0.0084417+0.0028894i,0.0014637-0.0031421i,-0.0039258-0.002386i,0.0023743-0.0064185i,-0.00482+0.0082127i,0.0029511-0.001588i,-0.00095256-0.0022193i,-0.00029553-0.0030914i,-0.0036045-0.0018894i,-0.00017262+0.0027472i,0.0020291+0.00026632i,0.0055534+0.0041969i,-0.0076106+0.0063548i,-0.0071866+0.00849i,-0.01892+0.043721i,0.013869+0.014765i,-0.021508+0.0084483i,-0.0099078-0.010589i,0.018724+0.0097012i,0.015603+0.020829i,-0.0082373+0.0026815i
-0.006229+0.020859i,0.031486+0.026415i,0.04696+0.011126i,0.017632+0.0058086i,0.0091963-0.0030351i,0.017437-0.018866i,0.014216+0.0048264i,0.032313+0.019953i,0.017653+0.0083755i,0.0038555+0.0050923i,0.0016388+0.00010727i,0.0015472-0.00047652i,-0.0013843+0.00067648i,0.0021384-0.0019307i,7.4275e-05-0.0027308i,0.0032001-0.00013033i,-0.00057758-0.0090033i,-8.3745e-05-0.00070871i,-0.0012781+0.0047648i,-0.00045529-0.0001595i,-0.0026675+0.00044046i,-0.0023215+0.0040644i,-0.0016302+0.0022438i,0.0054785-0.0078963i,0.002976-0.0014267i,0.00027772-0.0017788i,0.00099501-0.001118i,0.001935+0.00076195i,0.00080379+0.00043981i,0.00167+0.0020299i,-0.0027208+0.00015832i,-0.0012016+0.0013722i,-0.0005686+0.00092219i,0.0002002+0.00070115i,0.00061613+0.0008987i,0.0040906+0.0063735i,9.7629e-05-0.0020767i,-0.00015243-0.00095214i,0.0011733+0.0011095i,-0.0015435-0.00049796i,-0.00082873+0.0013696i,-0.0023874+0.0018731i,0.0085744+0.0021191i,0.0022795-0.00052863i,-0.0011476+0.026034i,-0.016311+0.045652i,0.0069685+0.058032i,0.0067479+0.028514i,0.03122+0.013177i,0.020183+0.013051i,-0.010992+0.010541i,-0.029395+0.0033259i,-0.046814+0.016951i,-0.02383+0.0098774i,0.014518-0.0012239i,-7.457e-05+0.006419i,0.0044289+0.0091247i,-0.0063349+0.012246i,-0.0031279-0.0024007i,0.016948-0.0069404i,0.015794+0.0043838i,-0.018104+0.0057491i,0.00057173-0.00056841i,-0.0013582+0.0021163i,-0.0023556+0.00013334i,-0.0022694-0.0030554i,0.0069022+0.00044631i,-0.00022088-0.0081741i,-0.0039404+0.0012415i,0.0021791-0.0034076i,-0.00074723-0.0063147i,-0.0041928+0.0022227i,0.0018847-0.00023673i,0.00041708-0.0024193i,0.030584+8.2529e-06i,-0.0052676+0.0056299i,0.00014009-0.0039686i,-0.0032499-0.0017545i,-0.00019758-0.0072825i,-0.0012779+0.0073148i,0.0019848-0.0026732i,-0.0010075-0.00049859i,-0.00036409-0.002229i,-0.0021686-0.00090783i,0.0010345+0.0032772i,0.00094041-0.00081536i,0.007876+0.0021323i,-0.0061623+0.0068964i,-0.0047303+0.010802i,-0.011693+0.044669i,0.017948+0.0019696i,-0.016929+0.0095616i,-0.016409-0.008856i,0.019358+0.0050734i,0.02121+0.013774i,-0.008384+0.0023839i
-0.003388+0.021248i,0.034947+0.021538i,0.047555+0.0024216i,0.01833-0.0008306i,0.0085088-0.0067898i,0.0131-0.02182i,0.014932+0.0038268i,0.033448+0.013223i,0.019101+0.003624i,0.004271+0.0039212i,0.0020451+0.00014972i,0.0021223-0.00085749i,3.2026e-05+0.0020167i,0.0017272-0.002056i,-0.00025127-0.0022926i,0.0038736+0.00021991i,-0.0017676-0.0076931i,0.00016331-0.00081562i,-0.00026313+0.0040269i,-0.00082493+0.0002644i,-0.0021154+0.0010617i,-0.00030212+0.0037847i,-0.00088746+0.0023923i,-0.0010819-0.0094368i,0.0024768-0.0020283i,-0.00046619-0.0016643i,0.00044266-0.0012141i,0.001718+0.00018072i,0.00069432+0.00027343i,0.0023233+0.0010559i,-0.0022266+0.0011269i,-0.00060381+0.0017526i,-0.00024395+0.001293i,0.00083564+0.00030613i,0.00082715+0.00011948i,0.0049084+0.0046734i,-0.00064399-0.0018425i,-0.00037327-0.00056956i,0.0011816+0.0003744i,-0.0012304-0.00039274i,-0.00078268+0.001595i,-0.0015187+0.0021669i,0.0073481-0.00050491i,0.0017906-0.00052849i,0.0019904+0.023131i,-0.0070318+0.044009i,0.018583+0.054013i,0.011431+0.026381i,0.029507+0.0018302i,0.020086+0.0064164i,-0.0089668+0.017901i,-0.028305+0.014886i,-0.041599+0.03045i,-0.02646+0.010657i,0.010832-0.0038983i,0.0018876+0.00602i,0.0073793+0.0068247i,-0.0022985+0.014331i,-0.0034963-3.479e-05i,0.011419-0.013943i,0.016146-0.0022728i,-0.015873+0.010192i,0.0014126-0.0002457i,-0.00032481+0.0021265i,-0.00089567+0.00026296i,-0.0022639-0.00060531i,0.0056681-0.0012243i,-0.0022614-0.0069146i,-0.0013051+0.0033053i,0.0018496-0.0047555i,-0.0031923-0.0048487i,-0.0028521+0.0025035i,0.0018301-0.0017597i,0.00068603-0.0020175i,0.024998-0.012588i,-0.0018475+0.0062321i,-0.0015866-0.0038449i,-0.0032336-0.0011499i,-0.0031506-0.0068398i,0.00060257+0.0059846i,0.0059958-0.0099136i,0.00021002+4.9248e-05i,-2.1168e-05-0.0026349i,-0.00092307-0.0013516i,0.002632+0.003604i,-0.000355-0.00024697i,0.0060427-0.0012324i,-0.0051818+0.0072892i,-0.0011205+0.011683i,-0.0045036+0.044078i,0.013701-0.0090258i,-0.014284+0.0063602i,-0.021396-0.0035019i,0.017941-0.0013325i,0.021559+0.0065518i,-0.0091212+0.0037468i
-0.00052477+0.021384i,0.037259+0.015691i,0.046295-0.0074886i,0.015973-0.0083478i,0.006993-0.010713i,0.008236-0.023725i,0.016453+0.0018405i,0.033551+0.0070181i,0.018411-0.0012292i,0.0045871+0.0033216i,0.0021941-0.00039331i,0.00234-0.0022953i,0.0014551+0.0020348i,0.001194-0.0021045i,-0.00043319-0.002005i,0.0049689-0.00032055i,-0.003015-0.006791i,-0.00039216-0.0011795i,0.00092977+0.0034114i,-0.0010716+0.00083854i,-0.001835+0.0013306i,0.00083953+0.0025678i,-0.00045904+0.0023542i,-0.0076811-0.0042685i,0.0015701-0.0033775i,-0.0011454-0.0010418i,-0.00021146-0.0012438i,0.0016242-7.6701e-05i,0.0008746-7.4418e-06i,0.0022254-5.9663e-05i,-0.0012581+0.0017892i,0.00023254+0.0019074i,-9.9037e-05+0.0016078i,0.00082984+3.5079e-05i,0.00029757-0.00045136i,0.0050926+0.0031104i,-0.0012452-0.0014318i,-0.00051068-0.00034571i,0.0010493+2.1996e-05i,-0.00087825-0.00043411i,-0.00035901+0.0019188i,-0.00089534+0.002653i,0.0054149-0.0011314i,0.0014526-0.0003503i,0.0044216+0.020635i,0.00085774+0.041078i,0.027459+0.046764i,0.016457+0.023591i,0.024931-0.0070035i,0.018301+0.0019258i,-0.0031554+0.022357i,-0.019883+0.024054i,-0.029246+0.039534i,-0.0278+0.015005i,0.0074973-0.0046801i,0.0033632+0.0049643i,0.0086298+0.0034062i,0.0027441+0.013811i,-0.0037979+0.0016483i,0.001545-0.016397i,0.013135-0.0077631i,-0.01329+0.014122i,0.0020572-0.0014752i,0.00071768+0.0016244i,-0.00062631-0.00039036i,-0.00081798+0.00077753i,0.0045506-0.0013969i,-0.0034239-0.0058476i,0.001388+0.0033229i,0.00043009-0.0062219i,-0.00441-0.0032127i,-0.001353+0.0028314i,0.00094356-0.0031286i,0.00077672-0.0027423i,0.015359-0.019738i,0.00072892+0.0056267i,-0.002687-0.002862i,-0.0027758-0.00095072i,-0.0051699-0.0054243i,0.001666+0.0047486i,0.0019973-0.007248i,0.0011612-0.00032356i,-0.00074011-0.0029278i,-0.0014203-0.0023173i,0.0033703+0.0038492i,-0.00070378+0.0010953i,0.004756-0.0021453i,-0.0043931+0.0080459i,0.0019266+0.010691i,0.0024233+0.042923i,0.0060223-0.015834i,-0.016239+0.0031099i,-0.022916+0.0034977i,0.012366-0.0057771i,0.021216+0.00075712i,-0.0075807+0.0049147i
0.0025417+0.020834i,0.039037+0.010237i,0.0422-0.016246i,0.0099508-0.013306i,0.0036527-0.014049i,0.0035722-0.024223i,0.01796-0.001156i,0.032525+0.0013603i,0.016904-0.0057736i,0.0054686+0.0029693i,0.0020557-0.00059214i,0.00098259-0.0034205i,0.0026814+0.0014166i,0.00074746-0.0020288i,-0.00039987-0.0019621i,0.0053669-0.0012216i,-0.0049123-0.0050777i,-0.00092484-0.00088044i,0.0016276+0.0023474i,-0.00075333+0.0017583i,-0.0014913+0.0019024i,0.00084291+0.0011524i,4.2273e-05+0.0024457i,-0.0046658+0.0029498i,-0.00071265-0.0034469i,-0.0013798-0.00032991i,-0.00069286-0.00091304i,0.0014903-0.00032217i,0.00055185-0.00053972i,0.0016958-0.00082887i,-0.00020309+0.0018158i,0.00089206+0.0015898i,0.00080591+0.001773i,0.00074576+0.0018097i,-6.1443e-05+2.595e-05i,0.0048435+0.0015326i,-0.0018234-0.00073056i,-0.00053426+6.5899e-05i,0.00097838-2.5042e-05i,-0.00061942-0.00077442i,0.00023318+0.0021576i,0.00014436+0.0027038i,0.0046678+0.0007008i,0.0012428-0.00015313i,0.0064676+0.018003i,0.007317+0.036792i,0.033311+0.039016i,0.021403+0.01912i,0.019004-0.012419i,0.01617-0.0008231i,0.0033815+0.023893i,-0.0097875+0.026828i,-0.015022+0.043099i,-0.026247+0.02073i,0.0056492-0.0043572i,0.0044889+0.0034951i,0.0081728+0.0006431i,0.006807+0.010858i,-0.0031792+0.0041656i,-0.0073439-0.012733i,0.0085497-0.010632i,-0.0091925+0.017054i,0.0014203-0.0029832i,0.0011362+0.00091048i,-0.00095412-0.00040129i,0.0010984+0.00099743i,0.0042852-0.001791i,-0.00489-0.0046754i,0.003177+0.0018021i,-0.0025144-0.006691i,-0.0048668-0.0011542i,0.00012371+0.0019851i,2.0929e-05-0.0037301i,0.0001903-0.0038182i,0.0056185-0.021164i,0.0026796+0.00435i,-0.0030267-0.0022227i,-0.0035183-0.00079111i,-0.0066137-0.0032758i,0.0020315+0.0038179i,-0.0012886-0.0083761i,0.0020316-0.0012469i,-0.0012563-0.0025268i,-0.0019487-0.0022453i,0.0048214+0.0029392i,-0.00011614+0.0020118i,0.0035742-0.0027833i,-0.0033018+0.0091352i,0.0044841+0.0089393i,0.0098723+0.040743i,-0.0041656-0.019365i,-0.019998+0.0031118i,-0.020774+0.010372i,0.0073219-0.0055485i,0.01785-0.005966i,-0.0061031+0.0037446i
0.0053396+0.019314i,0.040505+0.0037444i,0.036897-0.022889i,0.0043096-0.014152i,-0.000393-0.015809i,-0.00035892-0.024098i,0.018861-0.0055751i,0.031454-0.0036477i,0.014179-0.0093646i,0.0066255+0.0016378i,0.0024015-0.00082588i,-0.00045592-0.0031376i,0.0033793-0.00019181i,0.0004895-0.001933i,-0.00064565-0.0020451i,0.0058593-0.0019756i,-0.0053676-0.0026049i,-0.0010518-0.00087487i,0.0015496+0.0013162i,0.00010973+0.0020266i,-0.00084469+0.0025815i,0.00036267+0.00038116i,0.00063176+0.0023429i,-0.00076262+0.0024343i,-0.0020719-0.0020273i,-0.0013883+0.000221i,-0.00091444-0.00044763i,0.0010743-0.00063943i,8.2517e-06-0.0003245i,0.0008815-0.0013762i,0.00072876+0.0014405i,0.0013091+0.0011821i,0.0014834+0.001173i,0.00060451+0.0002396i,0.00026574+0.0004669i,0.0044714+0.00020795i,-0.0020817+0.00037726i,-0.00031897+0.00034353i,0.0008684-0.00041041i,-0.00054833-0.0011657i,0.001104+0.0019816i,0.0010019+0.0022401i,0.0070982+0.00074484i,0.0011563+8.598e-05i,0.0076467+0.015615i,0.011418+0.031677i,0.03742+0.031592i,0.024677+0.012712i,0.01317-0.015458i,0.014597-0.0010655i,0.010481+0.023427i,-0.00065805+0.027139i,-0.0018614+0.041471i,-0.02225+0.026537i,0.0045823-0.0048711i,0.0050844+0.0013754i,0.0077226-0.0016768i,0.0098491+0.0072834i,-0.00070788+0.0050168i,-0.011874-0.0059655i,0.0035548-0.011834i,-0.0038282+0.018134i,0.00010435-0.0040345i,0.00055861+0.00062725i,-0.0011395-0.00010249i,0.0021932-5.5555e-05i,0.0038935-0.0015622i,-0.0056227-0.0021781i,0.0034364+0.00020777i,-0.0050916-0.0046663i,-0.0041159+0.00045455i,0.00041946+0.00071044i,-0.00088358-0.004249i,-0.0012442-0.0042468i,-0.0023781-0.019731i,0.0043362+0.00203i,-0.0038639-0.0014613i,-0.0038545+0.00082308i,-0.0066216-0.00060548i,0.0027162+0.00371i,-0.0051216-0.0077829i,0.0021865-0.0028798i,-0.0017298-0.0023543i,-0.0024656-0.0027966i,0.0063846+0.0015652i,0.00076388+0.0022971i,0.0022101-0.0023648i,-0.0016899+0.0094509i,0.0060549+0.0066888i,0.017345+0.036618i,-0.015413-0.017221i,-0.023219+0.0054569i,-0.01509+0.013967i,0.0045967-0.0042282i,0.012255-0.0094402i,-0.0075861+0.0028837i
0.0072942+0.017737i,0.040557-0.0032001i,0.031107-0.028256i,0.00040551-0.01353i,-0.0043959-0.016317i,-0.0046449-0.023959i,0.018164-0.011152i,0.029976-0.0090021i,0.010991-0.011858i,0.0070456-9.172e-05i,0.0027643-0.0018288i,-0.0013648-0.0023132i,0.0028224-0.0018264i,0.00030159-0.0018488i,-0.0012197-0.0021184i,0.0060928-0.0033886i,-0.0050589-0.00083922i,-0.0013868-0.00089327i,0.0014287+0.00077203i,0.00080419+0.0018817i,-0.00042442+0.0020433i,-0.00024045+0.00031171i,0.0010342+0.0020045i,-0.00087207+0.0013693i,-0.0021351-0.00041176i,-0.0011309+0.00087073i,-0.00093211-3.2047e-05i,0.00022739-0.00078122i,-9.1052e-05-9.405e-05i,-7.5082e-05-0.0014158i,0.0012861+0.00082454i,0.0016934+0.00085324i,0.0019188+0.00065856i,0.00070457-0.0004544i,0.00084838+0.00029373i,0.0040055-0.00082032i,-0.0015227+0.0014338i,-6.5083e-05+0.00048921i,0.00016652-0.00057619i,-0.00053801-0.0016366i,0.0018612+0.0013953i,0.0016166+0.0016265i,0.010166-0.0041865i,0.0012292+0.00069292i,0.0086045+0.013645i,0.01371+0.027839i,0.040329+0.024145i,0.025294+0.0073642i,0.0071569-0.017502i,0.016007-0.00069309i,0.016971+0.020083i,0.009215+0.024327i,0.0098977+0.035443i,-0.014961+0.030756i,0.0030896-0.0055622i,0.0044681-0.0015084i,0.006725-0.0040335i,0.010654+0.0021255i,0.00052913+0.0044673i,-0.012883+0.001518i,-0.0013227-0.010976i,0.00017505+0.016175i,-0.0024504-0.0029357i,0.00028463+0.0012367i,-0.001208+0.00030852i,0.0027382-0.001449i,0.004712-0.00092175i,-0.0043161-0.00063944i,0.0036121-0.00039102i,-0.0060531-0.0021452i,-0.0027012+0.0015715i,5.7916e-05+0.00031236i,-0.0031375-0.0046675i,-0.0026772-0.0035708i,-0.0089947-0.016283i,0.0044561-0.00057615i,-0.0042022-0.00014751i,-0.0026393+0.0019592i,-0.0058176+0.0014861i,0.0040379+0.0033061i,-0.0077157-0.0050502i,0.0010409-0.0047724i,-0.0024524-0.0017093i,-0.0042982-0.0023074i,0.0072014-0.0015094i,0.0015776+0.0027486i,0.0023384-0.0022193i,0.00076102+0.010047i,0.0062491+0.0041724i,0.023679+0.030341i,-0.021988-0.0092929i,-0.025849+0.01026i,-0.0099626+0.014727i,0.0022178-0.0025241i,0.0072425-0.008408i,-0.0084365+0.0035374i
