-0.022629-0.03742i,-0.012252-0.050029i,-0.01839-0.044107i,-0.030751-0.035414i,-0.030316-0.015564i,-0.049931-0.026931i,-0.057241-0.02593i,-0.044856-0.036526i,-0.028431-0.032425i,0.0073953+0.012085i,-0.0052629+0.015682i,-0.0046408+0.01401i,0.012325+0.021722i,0.00059044+0.0039413i,0.0031657+0.0035306i,0.0066433+0.018191i,0.023338+0.043194i,-0.0020163-0.0015686i,-0.004766-0.006029i,0.0065102+0.0011051i,-3.4112e-05-0.00094305i,-0.0008426+0.00094275i,-5.8077e-05-0.00045199i,-0.028558-0.0031316i,-0.0028014-0.0059031i,0.0016149+0.0044231i,0.0028095-0.000209i,-0.00050538+0.00053671i,0.00061731-0.00039145i,-0.00078284-0.0026342i,-0.0013554-0.0060966i,-0.0048074-0.0043637i,-0.0021724-0.0038199i,0.0023766-0.00057503i,0.0017703-0.0028929i,0.001213+0.024999i,0.0015995-0.0034243i,0.0027051+0.00084475i,0.0051978+0.0014498i,-0.010723-0.0039016i,-0.0034154+0.00013884i,0.0055334-0.0014651i,0.0066177-0.0002429i,-0.002819+0.0049856i,0.00092766-0.0094584i,-0.011257+0.017558i,0.035442-0.091291i,0.011858-0.070211i,-0.016193-0.059453i,-0.016852-0.055194i,0.038729-0.045474i,0.01658-0.061501i,0.033911-0.05489i,0.03042-0.059928i,0.016988-0.01373i,0.0047758+0.016498i,0.016038-0.025729i,-0.011331+0.0051212i,-0.00048338+0.0059836i,-0.005146-0.0013775i,-0.001409-0.029199i,-0.023809+0.031438i,0.010127-0.012712i,-0.011978-0.0027509i,-0.00015495-0.0050591i,-0.0015834-0.015999i,-0.0072489+0.0044466i,0.005523+0.006525i,-0.0081652+0.031043i,0.0053038+0.0061787i,-0.0050594-0.00063636i,-0.0033104-0.000812i,-0.012965-0.007353i,-0.0010571-0.0045773i,-0.043642-0.024418i,-0.00031524-0.0099812i,-0.0092756-0.0023801i,-0.0066744-0.0024098i,0.0069485+0.0027903i,-0.0079427+0.00075023i,6.7527e-05+0.00022691i,0.006793+0.010459i,0.004115+0.0020707i,-0.0093929-0.009241i,0.0027522+0.0079332i,-0.020838+0.0056589i,0.0080102+0.0008814i,-0.028008-0.0038239i,-0.04422+0.0036874i,0.019177-0.099243i,-0.00073802-0.012898i,-0.052524-0.021571i,-0.021816-0.0017825i,0.017869+0.010247i,-0.026119+0.012924i,-0.018023-0.013413i
0.008714+0.021365i,0.015498+0.051242i,0.024492+0.034188i,0.017126+0.026676i,0.024414+0.026258i,0.031745-0.014674i,0.016966-0.0092893i,0.028919+0.0049323i,0.011684+0.012333i,0.0027343+0.0039533i,0.00508+0.0026954i,0.0043817+0.003295i,0.0058391+0.0027482i,0.0050744+0.0033644i,0.0029905-0.0033179i,0.0076346-0.0012238i,0.011404-0.0029785i,-0.0015545-0.001324i,-0.003342+0.0006637i,-0.00010764+0.0015435i,-0.00096741-8.7387e-05i,-0.0026939+0.0012662i,-0.0018728+0.00093959i,0.0042572+0.0081731i,0.0013604+0.00098528i,0.002558+0.0003677i,0.0016797+0.0012286i,0.0011896+0.0012508i,0.00060178-2.0988e-05i,-0.00037679+0.00088542i,-0.0020606-0.0038405i,-0.00083373-0.00034144i,-0.0010672+0.00074176i,-0.0010364+0.00019059i,-0.00047168-0.0015312i,-0.0080012+0.0081966i,0.0011375+0.0002447i,0.0014849-0.00058567i,-0.00080218+0.0024562i,-0.00017389-0.0039288i,-0.001194+0.00024686i,-0.0020326-0.00053249i,0.0016698+0.00063642i,0.0071209+0.0059425i,-0.012929+0.031424i,-0.080971+0.034227i,-0.050983+0.038058i,-0.03656+0.059774i,-0.017965+0.072595i,-0.0087489+0.05072i,0.013528+0.037577i,0.0023883-0.002446i,-0.0373+0.009496i,-0.044358+0.020212i,0.0011664+0.023131i,-0.0080338+0.0027329i,-0.010394-0.00091362i,-0.014279-0.0028401i,0.0022772+0.00059957i,0.0053059+0.010731i,-0.001689+0.0082771i,-0.006339-0.012544i,0.0053117-0.0067581i,-0.0063877-0.0066844i,0.002203-0.0065499i,0.0038247-0.0039933i,-0.0017549+0.010009i,0.0098563-0.004221i,0.005241-0.0058364i,0.0025514-0.0064659i,0.0030486-0.00031145i,-0.0017943-0.0045509i,-0.0031899-0.00094044i,0.0026786-0.00068024i,-0.0085702+0.030666i,-0.0043536-0.0038558i,0.0020603+0.00029105i,0.00050116-0.0065476i,0.0025658-0.0017201i,-0.014318-0.0028168i,0.00041119+0.00014647i,0.0054409-0.0036319i,0.0027795-0.0015857i,0.00086908-0.0042676i,-0.00032509+0.0061778i,-0.00047782+0.0056498i,-0.0031507+0.0051852i,-0.011149+0.0029269i,-0.01629-0.0027946i,-0.040903+0.057049i,0.0022785+0.0040895i,-0.025848-0.016166i,-0.016759-0.0057855i,0.00869+0.019884i,-0.002123+0.022654i,-0.00031603-0.00050268i
0.011298+0.01766i,0.0235+0.046236i,0.029989+0.029897i,0.02183+0.024336i,0.030091+0.022288i,0.028347-0.020226i,0.01426-0.012485i,0.029224-0.00022644i,0.013162+0.0097496i,0.0039601+0.0028232i,0.0056297+0.0015229i,0.0043042+0.0030341i,0.0059325+0.0017198i,0.0055433+0.0020507i,0.0018818-0.0038451i,0.0063199-0.0024993i,0.0091348-0.0067728i,-0.0013074-0.0010085i,-0.0031231+0.0004815i,0.0006912+0.00061488i,-0.0012128-0.0001528i,-0.0022318+0.0017576i,-0.0015911+0.0010434i,0.008109+0.0057981i,0.0013821+0.0010836i,0.0027651-0.00071923i,0.001889+0.00021498i,0.0015217+0.00033301i,0.00025154-3.1322e-05i,-0.00023599+0.00089984i,-0.0034708-0.0021412i,-0.0012058-0.00037566i,-0.00087765+0.0010936i,-0.00079668+0.0005641i,-0.0011864-0.00054439i,-0.0048484+0.0098725i,0.00084937-0.00018749i,0.0010998-0.00094692i,0.00048941+0.002131i,-0.0015961-0.0032618i,-0.00099595+0.00034162i,-0.0024398+7.0746e-05i,0.0014274+0.00071385i,0.0077691+0.0046762i,-0.0070457+0.033021i,-0.069913+0.047926i,-0.046671+0.047232i,-0.026566+0.063267i,-0.0020206+0.069693i,0.0021683+0.048967i,0.011182+0.034067i,-0.0032545-0.0060989i,-0.038201+0.012233i,-0.035374+0.021853i,0.0070391+0.02155i,-0.008062+0.0051214i,-0.0098754+0.0047858i,-0.014542+0.00083526i,0.0012261-0.00076186i,0.0078226+0.0098561i,0.0026439+0.010956i,-0.012702-0.010588i,0.00077052-0.0082759i,-0.0057618-0.0031306i,-0.0013793-0.0059986i,0.0014404-0.0054807i,0.0028482+0.0077942i,0.0065886-0.0072487i,0.001237-0.0060152i,-0.00023649-0.0041966i,0.0038838-0.0014179i,-0.0029519-0.0036i,-0.0017217+0.00091227i,0.0026844-0.00071671i,0.0048326+0.025474i,-0.0054042-0.0031084i,0.0025407-0.0017314i,-0.0028689-0.0058707i,0.0028842-0.0025605i,-0.013455+0.0032357i,0.00085383+0.0004911i,0.0028747-0.0033691i,0.0026964-0.0025466i,2.1034e-05-0.0038166i,0.0020487+0.0028956i,0.0017027+0.0047132i,-0.00014234+0.0060285i,-0.0096133+0.0059086i,-0.017633+0.0014154i,-0.029498+0.058847i,0.0014906+0.0038331i,-0.028183-0.011074i,-0.010692-0.0087402i,0.011519+0.019274i,0.0022736+0.024506i,-0.0022823-0.0021291i
0.012714+0.014559i,0.029545+0.039524i,0.03527+0.023191i,0.027437+0.019854i,0.035677+0.016679i,0.023921-0.025398i,0.010723-0.015246i,0.028749-0.0057692i,0.014466+0.0073396i,0.004025+0.0013695i,0.0054822-0.00030812i,0.0049834+0.0028479i,0.0059992+0.00011462i,0.0058572+0.00032244i,0.00065689-0.004001i,0.0049213-0.0033743i,0.0048868-0.0087403i,-0.0015358-0.0010882i,-0.0025881+0.00095348i,0.00052694-0.00043467i,-0.0017051-0.00010342i,-0.0016802+0.0022427i,-0.0014696+0.0011705i,0.0093221+0.0011374i,0.0020069+0.00047493i,0.0018151-0.0017674i,0.0015705-0.00052782i,0.0012203+6.7281e-05i,0.00023781+6.4135e-05i,-0.00020335+0.0010614i,-0.0038282-0.00016985i,-0.0017198+0.00043056i,-0.00025893+0.0015465i,-0.00041032+0.00076628i,-0.0009298+0.00033117i,-0.0013122+0.010252i,0.0006652-0.00026938i,0.00060481-0.0011631i,0.0010977+0.0014993i,-0.0024286-0.0021678i,-0.00092878+0.00040559i,-0.0020709+0.0010446i,0.0015613+0.0011951i,0.0089223+0.0032129i,-6.9943e-05+0.03288i,-0.058104+0.059402i,-0.038051+0.055091i,-0.015545+0.064108i,0.012202+0.062667i,0.012077+0.046669i,0.010896+0.029201i,-0.008486-0.006609i,-0.038105+0.018107i,-0.028317+0.020154i,0.011992+0.017321i,-0.0071533+0.0071222i,-0.0074852+0.0078128i,-0.012093+0.004255i,-0.00068995-0.0026062i,0.010456+0.0078095i,0.0075167+0.010319i,-0.017072-0.00621i,-0.0023103-0.0055918i,-0.0049766-0.00070096i,-0.003195-0.0039771i,-0.0010496-0.004845i,0.0052204+0.006592i,0.0039712-0.0076244i,-0.0020344-0.0052039i,-0.0002302-0.0017072i,0.0035071-0.0038951i,-0.0051054-0.0032102i,-0.00044191+0.00082478i,0.0022936-0.0014697i,0.014933+0.01996i,-0.0066442-0.0012605i,0.002185-0.0027248i,-0.0032541-0.0042549i,0.0028098-0.0040506i,-0.00961+0.0080192i,0.0022328+0.0005455i,0.0017173-0.0031361i,0.0015113-0.0026921i,-0.00010541-0.0039668i,0.0012619+0.0015856i,0.0035331+0.0028558i,0.002438+0.0052674i,-0.007883+0.0077919i,-0.017436+0.0065608i,-0.020391+0.058261i,0.0042946+0.003562i,-0.030131-0.0065421i,-0.013843-0.010093i,0.015725+0.016508i,0.0091221+0.025361i,-0.0047099-0.0021675i
0.013454+0.012068i,0.03303+0.033054i,0.037893+0.015511i,0.031161+0.012793i,0.039496+0.0085862i,0.018096-0.029181i,0.0066543-0.016656i,0.026671-0.01131i,0.015586+0.0047843i,0.0035894+0.0005141i,0.0046647-0.0010983i,0.0058686+0.0019812i,0.0051873-0.00092359i,0.0051881-0.0012856i,-0.00063598-0.0038304i,0.0035489-0.0037984i,0.0016917-0.0080927i,-0.0017566-0.00070755i,-0.0013682+0.0019316i,-0.00027404-0.00085281i,-0.0020341+0.00069007i,-0.0011268+0.0027148i,-0.0012974+0.0014856i,0.0076676-0.002482i,0.0018356-0.00030365i,0.00077804-0.001744i,0.0011019-0.00088152i,0.0009418-0.00054152i,0.00023623-5.3458e-05i,8.6589e-05+0.0013285i,-0.0034882+0.0018047i,-0.001239+0.0012455i,0.00045833+0.0013352i,-0.00019282+0.00093553i,-0.00047685+0.0007175i,0.0027405+0.0092269i,0.00058158-0.00045892i,0.00015311-0.0014693i,0.0011412+0.0011237i,-0.0030211-0.0012828i,-0.00080554+0.00062642i,-0.0016174+0.0015257i,0.0022346+0.0012896i,0.009889+0.0011264i,0.0061912+0.030176i,-0.042547+0.068055i,-0.028887+0.060591i,-0.0063642+0.063188i,0.023951+0.051938i,0.021469+0.040558i,0.0095255+0.026603i,-0.014926-0.0046243i,-0.035758+0.025103i,-0.024382+0.017035i,0.01524+0.01156i,-0.0054632+0.0094483i,-0.0043673+0.011153i,-0.010678+0.0071496i,-0.0044099-0.0015947i,0.013221+0.0039772i,0.011451+0.0075981i,-0.0197+0.00025725i,-0.0032049-0.0040336i,-0.0032836+0.00088385i,-0.003795-0.0014362i,-0.0024725-0.0035814i,0.0070593+0.0033455i,0.0017159-0.007531i,-0.005727-0.00098374i,0.00082413-0.00093262i,0.0014552-0.0056211i,-0.0048916-0.00060097i,0.00074984+0.0011711i,0.0021156-0.0020372i,0.020346+0.0099167i,-0.0068241+0.001983i,0.0018008-0.0041145i,-0.003801-0.0025595i,0.0012064-0.0058087i,-0.004588+0.0093144i,0.0033284-0.00069793i,0.0010469-0.002501i,0.00074596-0.0024604i,-0.001685-0.0040326i,0.00051619+0.0013376i,0.0032258+0.00071552i,0.0043102+0.0041615i,-0.00579+0.0090772i,-0.015198+0.011618i,-0.012555+0.058769i,0.0097385-0.00038437i,-0.029536-0.00087911i,-0.018769-0.010166i,0.017651+0.011751i,0.016153+0.022605i,-0.0048562-0.0010272i
0.014558+0.010095i,0.036219+0.027838i,0.038957+0.0086505i,0.032522+0.0053475i,0.040801-9.3719e-05i,0.012126-0.031406i,0.0027751-0.016608i,0.023872-0.015633i,0.016756+0.0020261i,0.0032329+2.0525e-05i,0.0040884-0.0015121i,0.0065206+0.0005717i,0.0046037-0.0012352i,0.004377-0.0023308i,-0.0017066-0.0028787i,0.0024965-0.0034892i,-0.00034811-0.0070051i,-0.0019689-0.00013838i,-0.00076263+0.001973i,-0.0010411-0.00073417i,-0.0018485+0.0013505i,2.6643e-06+0.0030273i,-0.00096108+0.0019539i,0.0053873-0.0048744i,0.0012881-0.00062406i,0.00028046-0.0015335i,0.00074194-0.0010969i,0.00047118-0.00010829i,0.00010156-3.1334e-05i,0.0007379+0.0013022i,-0.002097+0.0031334i,-0.00058143+0.0016547i,0.0008149+0.00086836i,0.00014702+0.0012334i,0.0001767+0.00092817i,0.0055085+0.0064502i,0.00028268-0.0005345i,-0.00047207-0.0014282i,0.0016018+0.00080067i,-0.0029742-2.0834e-05i,-0.00054185+0.00070042i,-0.0011105+0.0019301i,0.002797+0.0008287i,0.0099533-0.0017188i,0.010862+0.026699i,-0.025419+0.071253i,-0.017291+0.065115i,0.002755+0.062344i,0.03006+0.039053i,0.027433+0.033136i,0.0098925+0.027937i,-0.018307+0.002609i,-0.031801+0.03257i,-0.023954+0.015053i,0.01423+0.0053667i,-0.0024932+0.011256i,0.00081822+0.011609i,-0.0086919+0.010596i,-0.0054748+0.0014904i,0.013342-0.0022578i,0.01421+0.0029221i,-0.019473+0.0067509i,-0.0030851-0.0016308i,-0.0022671+0.0015268i,-0.0026542+7.329e-05i,-0.0038166-0.0015217i,0.007075+0.00063703i,-0.00032095-0.0065169i,-0.00357+0.0042744i,0.0020366-0.0013247i,-0.0010536-0.005853i,-0.0032737+0.0011603i,0.0024133+0.0003593i,0.0016316-0.0023341i,0.020302+0.00063664i,-0.0046952+0.004537i,0.00017652-0.0051474i,-0.0031157-0.0017766i,-0.001131-0.0061272i,-0.00081032+0.0083751i,0.0033755-0.002461i,0.0012503-0.0013167i,0.0011238-0.0022107i,-0.0015198-0.0022404i,0.00071669+0.0017966i,0.0017827-0.00021536i,0.0051861+0.0018804i,-0.0036596+0.0089107i,-0.011294+0.016292i,-0.0037955+0.058213i,0.010509-0.010197i,-0.026273+0.0018026i,-0.02376-0.0070468i,0.01849+0.0069045i,0.021178+0.01618i,-0.0058781-0.0015491i
0.015804+0.0076427i,0.039482+0.022168i,0.039866+0.0014508i,0.032411-0.0020977i,0.04054-0.008516i,0.0059676-0.032739i,-1.1832e-05-0.015867i,0.020479-0.019525i,0.017625-0.0017964i,0.0027026-0.00033158i,0.0039633-0.0019181i,0.0066259-0.00096221i,0.0048527-0.0016873i,0.0033898-0.0031066i,-0.0021361-0.0019634i,0.0020238-0.0030945i,-0.0015189-0.0062655i,-0.0016696+0.00035849i,-0.00027746+0.0019481i,-0.001535-0.00018732i,-0.0013003+0.001836i,0.0012586+0.0026199i,-0.00024774+0.002259i,0.0025849-0.0056628i,0.0010879-0.00074604i,-0.00018763-0.001471i,0.00028385-0.0012456i,0.0001798-0.0015578i,3.9114e-05+0.00010585i,0.001231+0.00082598i,-0.00038307+0.0035332i,0.00014065+0.0018172i,0.0009494+0.00049i,0.00080224+0.00098417i,0.00061205+0.00047813i,0.006014+0.0034487i,0.00010289-0.0004622i,-0.0008469-0.00096897i,0.0016622+0.00016746i,-0.0021159+0.00069629i,-0.00038445+0.00067775i,-0.00042631+0.0021293i,0.0031774+0.00019063i,0.0092186-0.0040237i,0.014416+0.022489i,-0.0099377+0.069433i,-0.0038317+0.065387i,0.012435+0.060348i,0.032004+0.02695i,0.031261+0.025329i,0.013032+0.030113i,-0.016546+0.010994i,-0.023523+0.040713i,-0.025069+0.015919i,0.011796+0.0023509i,0.001102+0.01138i,0.0046845+0.0098689i,-0.0054073+0.012853i,-0.0048012+0.0037841i,0.010031-0.0081546i,0.013865-0.002893i,-0.016739+0.011771i,-0.0019568-0.00037042i,-0.0011689+0.0012297i,-0.0016713+0.00040912i,-0.0032136+0.0014239i,0.0055951-0.0013525i,-0.0015868-0.0046844i,0.00077126+0.005321i,0.0022769-0.0027709i,-0.0031818-0.0047519i,-0.0023085+0.0017536i,0.0025967-0.0013916i,0.0016423-0.0025953i,0.017158-0.0075038i,-0.0018693+0.0052102i,-0.001828-0.005118i,-0.0029383-0.0012509i,-0.003236-0.0053047i,0.0016989+0.0069909i,0.0024237-0.0042127i,0.0027417-0.0016599i,0.0010202-0.0031197i,-0.00074902-0.0027086i,0.0012449+0.0024999i,0.00069484+0.00050555i,0.0050196+0.00011799i,-0.0023534+0.0083708i,-0.0051255+0.018917i,0.0046241+0.056459i,0.0048259-0.01803i,-0.024572+0.00067034i,-0.027619-0.0022052i,0.017314+0.00059107i,0.022346+0.009739i,-0.0072026-0.00048132i
0.016966+0.0048707i,0.041776+0.015812i,0.038546-0.0067766i,0.029922-0.0098775i,0.038614-0.01734i,-0.00047146-0.032594i,-0.0021127-0.015031i,0.016449-0.023058i,0.016961-0.0056879i,0.0021771+6.8841e-06i,0.0033783-0.0025632i,0.0063243-0.0029153i,0.004721-0.0029089i,0.0021746-0.0035391i,-0.0023705-0.0010263i,0.0018378-0.0030991i,-0.002854-0.0054701i,-0.0016883+0.00071336i,0.00038671+0.0017029i,-0.0019896+0.00054913i,-0.00088035+0.0019862i,0.0021601+0.0017504i,0.00037089+0.0022132i,-0.00061496-0.0054138i,0.00070275-0.0014265i,-0.00073406-0.0010853i,-0.00032516-0.0011563i,-0.0003446-0.0010073i,0.00022033+0.00016223i,0.0012361+0.00018086i,0.0012587+0.0030308i,0.00081072+0.0016102i,0.0008257+0.00015079i,0.0012737+0.00046519i,0.00052549-4.6874e-05i,0.0057631+0.0020513i,-9.1058e-05-0.00037844i,-0.001093-0.00064858i,0.0014807-0.00016073i,-0.001658+0.00075371i,-0.00025575+0.00064223i,0.0002562+0.0019728i,0.0033583-0.00070635i,0.0075389-0.0073707i,0.016528+0.018246i,0.003069+0.06548i,0.0080038+0.061415i,0.021722+0.056493i,0.03044+0.016843i,0.032898+0.018601i,0.018974+0.030225i,-0.0094001+0.016254i,-0.011292+0.044844i,-0.025395+0.01922i,0.0097011+0.00086539i,0.0044193+0.010003i,0.0068337+0.0067056i,-0.001813+0.013288i,-0.0040294+0.0054283i,0.0031549-0.010586i,0.01058-0.0074504i,-0.013216+0.015833i,-0.00079553-0.00068186i,-0.0010646+0.00062235i,-0.0012219+0.0002953i,-0.0007361+0.0028367i,0.004161-0.0013765i,-0.0019385-0.0037585i,0.0037407+0.0036164i,0.0011164-0.0045436i,-0.0044938-0.0029905i,-0.0012632+0.0021026i,0.0017827-0.0027933i,0.0011352-0.0036324i,0.011324-0.012468i,0.00044243+0.0048361i,-0.0032248-0.00441i,-0.0022744-0.00097858i,-0.0046644-0.0041849i,0.0034147+0.0053347i,0.0010557-0.0053308i,0.0031898-0.0032549i,-0.00029475-0.0038564i,-0.0014911-0.0035039i,0.0029108+0.0024853i,0.00057642+0.0018451i,0.0056916-0.001927i,-0.0016625+0.0083984i,0.00076827+0.017856i,0.012547+0.054251i,-0.0028156-0.022583i,-0.027375-0.00035926i,-0.029168+0.0050706i,0.012021-0.0036815i,0.022524+0.0037741i,-0.0066961+0.00036796i
0.01781+0.0013879i,0.043593+0.0099436i,0.035003-0.013512i,0.024673-0.015752i,0.033931-0.025504i,-0.0061863-0.030703i,-0.0036325-0.014193i,0.011658-0.02548i,0.015821-0.0094542i,0.0024999+0.00066326i,0.0028688-0.0027464i,0.0048967-0.0046653i,0.0040148-0.0039478i,0.001155-0.0034127i,-0.0021152-0.0001081i,0.001508-0.0030023i,-0.0043599-0.0039041i,-0.0014747+0.0013968i,0.00073965+0.0010552i,-0.0018032+0.0017497i,-0.00029068+0.002324i,0.0023332+0.00047757i,0.00092379+0.0020353i,-0.0029093-0.0033092i,-0.0003591-0.001502i,-0.00089251-0.0005522i,-0.00072105-0.00081793i,-0.00069775-0.00062987i,0.00024812-4.6856e-05i,0.0011772-0.00022214i,0.0023178+0.0019854i,0.0012866+0.0011875i,0.00074993-6.361e-05i,0.00084804-0.00054773i,0.00017339+5.1322e-05i,0.0042575+0.00012794i,-0.00017626-0.00025036i,-0.0013673-0.00031993i,0.0011267-0.00044342i,-0.001307+0.00096703i,-0.00020789+0.00070582i,0.00062427+0.0015209i,0.0030182-0.0017709i,0.0028982-0.0081423i,0.017798+0.014135i,0.014454+0.058661i,0.016392+0.055904i,0.030787+0.051019i,0.0272+0.0099064i,0.033332+0.012517i,0.024555+0.027175i,-0.0021522+0.016782i,0.0013212+0.044108i,-0.023699+0.023999i,0.0088579+0.00014301i,0.0069227+0.0075673i,0.0072663+0.0038578i,0.0020789+0.012653i,-0.0024766+0.0072655i,-0.0029791-0.0087812i,0.0064118-0.0093202i,-0.0078154+0.01875i,-0.00077525-0.0017973i,-0.0017282+0.00063715i,-0.0011094+0.00046674i,0.0015454+0.0025944i,0.0035066-0.0014866i,-0.0026418-0.0029751i,0.0049265+0.0011463i,-0.0015523-0.0053584i,-0.0045927-0.00088527i,-6.0353e-05+0.0017928i,0.001069-0.0035158i,-1.9508e-05-0.0047685i,0.0047739-0.013877i,0.0021864+0.0039163i,-0.0043606-0.0033727i,-0.0028757-0.0013048i,-0.0055457-0.0023078i,0.0038705+0.0038775i,-0.00088054-0.0062108i,0.0026032-0.0049717i,-0.0013333-0.003235i,-0.0022509-0.003307i,0.0037149+0.0015435i,0.0014885+0.0027398i,0.0030333-0.0030654i,-0.0006507+0.0089254i,0.0049969+0.014855i,0.021768+0.051183i,-0.012596-0.024447i,-0.030813+0.0017648i,-0.02749+0.013398i,0.0072357-0.0038585i,0.019127-0.0021305i,-0.006114-0.00071736i
0.017685-0.0027002i,0.045116+0.002749i,0.030945-0.018539i,0.0193-0.018766i,0.027834-0.031843i,-0.010582-0.028262i,-0.0047986-0.013835i,0.0071738-0.026987i,0.013615-0.013147i,0.0034361+0.0004938i,0.0026564-0.0030976i,0.0030891-0.0053729i,0.0030206-0.0051015i,0.00043216-0.003197i,-0.0016089+0.00045295i,0.0012317-0.0026941i,-0.0048886-0.001817i,-0.00069767+0.0017035i,0.0005198+0.00049164i,-0.00086164+0.0024604i,0.0003829+0.0022094i,0.0019845-0.00041252i,0.0014846+0.0016429i,-0.003549-0.0008039i,-0.00095968-0.00091422i,-0.00088795-0.00018877i,-0.00098549-0.00048239i,-0.0001993+5.6982e-05i,3.7139e-05-7.2067e-06i,0.00083981-0.00071517i,0.0029321+0.00062137i,0.001361+0.00074599i,0.00073535-0.00027928i,0.00091466-0.00010379i,0.00024665+0.00034981i,0.0049382-0.0033428i,-0.00021624-1.4827e-05i,-0.0014399+0.00031646i,0.00083675-0.00078308i,-0.00061674+0.0012323i,-0.00011867+0.00067506i,0.00076542+0.001008i,0.0022192-0.0025742i,0.00040544-0.0066218i,0.018232+0.010345i,0.02185+0.050093i,0.023194+0.050782i,0.037892+0.043345i,0.024037+0.0048161i,0.033021+0.0083205i,0.029147+0.023514i,0.0040237+0.015416i,0.01215+0.040261i,-0.019436+0.029047i,0.0084622-0.0011048i,0.0082252+0.0041018i,0.0075543+0.0016152i,0.005484+0.010581i,0.00030748+0.0077815i,-0.0066073-0.00505i,0.0021953-0.0099079i,-0.0017824+0.018215i,-0.0021351-0.0022701i,-0.0024856+0.0017997i,-0.00094864+0.00076944i,0.0031447+0.0011107i,0.0029519-0.00055861i,-0.0030261-0.0018665i,0.0046179-0.00088382i,-0.0038681-0.0038929i,-0.0034305+0.00068308i,0.00044179+0.00074119i,0.00021627-0.0043689i,-0.0018465-0.0048608i,0.0001694-0.012925i,0.0036214+0.0022016i,-0.0053966-0.0018025i,-0.0035315-0.00021142i,-0.0054939-1.9367e-05i,0.004602+0.0030959i,-0.0039368-0.0061148i,0.0014272-0.0064864i,-0.0018686-0.0028043i,-0.0029987-0.0032811i,0.004485+0.0006473i,0.0026957+0.0030246i,0.001669-0.0019741i,0.00062008+0.0090061i,0.0071666+0.011368i,0.030816+0.045013i,-0.023712-0.021451i,-0.033751+0.0051413i,-0.02181+0.017805i,0.0047021-0.0025383i,0.014519-0.0047398i,-0.0083367-0.0014776i
0.016267-0.0065559i,0.045083-0.005085i,0.026927-0.022892i,0.014764-0.020334i,0.020851-0.036572i,-0.014839-0.025709i,-0.0062275-0.014213i,0.0024671-0.028093i,0.010256-0.016206i,0.0041524-0.00027792i,0.0024209-0.0038025i,0.0013821-0.0054027i,0.0012776-0.0058195i,-0.00026672-0.0030948i,-0.0012606+0.00054309i,0.0012901-0.0026339i,-0.0047054+0.00013913i,-0.00031509+0.0011424i,0.00040106+0.00033558i,0.00012169+0.0026034i,0.00092708+0.0020448i,0.0015364-0.00088804i,0.0018461+0.001009i,-0.0025698+0.0014712i,-0.00098657-0.00024656i,-0.00086066+0.00012422i,-0.0010841-0.0001001i,-0.00072385-0.00013932i,6.1426e-05+9.3158e-05i,0.00010955-0.00083612i,0.0028885-0.00073319i,0.0015302+0.00045087i,0.00057689-0.00050202i,0.00098374-0.00072246i,0.00048516+0.00043935i,0.0059911-0.0049045i,-7.3454e-05+0.00012227i,-0.001208+0.00084008i,0.00013816-0.00077381i,0.000109+0.00096324i,-0.00011561+0.00086619i,0.00082098+0.00073498i,0.0012564-0.0027387i,-0.00072945-0.0046292i,0.018152+0.0070393i,0.025888+0.042938i,0.029689+0.045575i,0.042362+0.036142i,0.020161+0.00042237i,0.034214+0.0047265i,0.033068+0.018212i,0.009838+0.012169i,0.021816+0.033067i,-0.012499+0.032433i,0.0076598-0.0026788i,0.0079045-0.00015864i,0.0076287-0.00097992i,0.0073603+0.007074i,0.0020066+0.0070061i,-0.0080458-0.00016235i,-0.0016337-0.0088014i,0.0020106+0.014906i,-0.0035983-0.0014036i,-0.002113+0.0037869i,-0.00081628+0.0010196i,0.0038163-0.00088602i,0.0040637+0.00084284i,-0.0028219-0.0010257i,0.0036497-0.001501i,-0.004516-0.0019564i,-0.0016175+0.0010485i,0.00018393+0.00027897i,-0.0021472-0.0050525i,-0.0035184-0.0038495i,-0.0038408-0.0117i,0.0039497-1.372e-05i,-0.0056035+0.00021057i,-0.0030897+0.00091214i,-0.0046176+0.0014915i,0.005795+0.0023402i,-0.0060876-0.0041749i,-0.001164-0.0077466i,-0.0026078-0.0021047i,-0.0046809-0.0028447i,0.0051868-0.001156i,0.004613+0.0031188i,0.002028-0.0014414i,0.0020647+0.0093016i,0.0079752+0.007907i,0.03793+0.036859i,-0.030184-0.012506i,-0.036249+0.011044i,-0.016361+0.020941i,0.0028689-0.00080476i,0.010958-0.0040899i,-0.0098007-0.00061103i
