-0.023643-0.037965i,-0.011271-0.050655i,-0.018194-0.044881i,-0.031079-0.035854i,-0.029999-0.016375i,-0.0506-0.027973i,-0.058376-0.025982i,-0.044738-0.037959i,-0.027143-0.031575i,0.0085544+0.011564i,-0.0065382+0.015545i,-0.0044563+0.014521i,0.010643+0.020741i,0.00045364+0.0044129i,0.0035306+0.0034821i,0.0065462+0.01811i,0.026945+0.041115i,-0.00266-0.0015892i,-0.0051198-0.0057617i,0.0067669+0.0045326i,-0.00028818-0.00073291i,-0.0011387+0.0018561i,0.00010808-0.0003062i,-0.029269-0.0021614i,-0.0021075-0.0059058i,0.001349+0.0049186i,0.003373-0.00077098i,-0.00030913+0.0004949i,0.00060355-0.00040222i,-0.00085705-0.0027323i,-0.0018123-0.0058223i,-0.0045878-0.004573i,-0.002038-0.0047743i,0.0025071-0.00034221i,0.0020162-0.0029039i,-0.00098064+0.028549i,0.001436-0.0031505i,0.002858+0.00086937i,0.0055151+0.00082717i,-0.010303-0.0026931i,-0.0037804-2.3965e-05i,0.0050785-0.00054014i,0.0053427+0.0001398i,-0.0039089+0.0059223i,0.0021982-0.0096369i,-0.011876+0.017571i,0.034952-0.091045i,0.012456-0.070737i,-0.015747-0.059873i,-0.016799-0.055718i,0.038871-0.046717i,0.016489-0.062985i,0.034088-0.056071i,0.031231-0.060145i,0.01569-0.013735i,0.0041574+0.016754i,0.015816-0.026513i,-0.011692+0.0057429i,-0.00040403+0.0054704i,-0.0054293-0.0010717i,-0.0022691-0.02862i,-0.023991+0.031075i,0.010443-0.011259i,-0.01328-0.0023937i,-0.0001564-0.0050834i,-0.001588-0.015652i,-0.0082188+0.0046272i,0.0051347+0.0061529i,-0.0085313+0.031947i,0.0051575+0.0061387i,-0.0049422-0.00088246i,-0.0032699-0.00021285i,-0.012722-0.0067744i,-0.00058367-0.0043866i,-0.038912+0.0089405i,-0.00020445-0.0098232i,-0.0095934-0.0017163i,-0.0064972-0.0029417i,0.0069699+0.0027704i,-0.0077526+0.0010267i,3.2653e-05+0.00043868i,0.0064635+0.010215i,0.0038339+0.001682i,-0.0091786-0.0091121i,0.0031517+0.008003i,-0.02086+0.006934i,0.0085465+0.00055646i,-0.029342-0.0029618i,-0.043153+0.0025703i,0.018195-0.097413i,-0.0019318-0.012224i,-0.053558-0.022138i,-0.023236+0.0010297i,0.017911+0.010475i,-0.025573+0.012857i,-0.018382-0.012786i
0.0080384+0.022034i,0.014156+0.052188i,0.024575+0.035031i,0.01771+0.027561i,0.024694+0.027113i,0.033171-0.014564i,0.017991-0.0088838i,0.029979+0.0057473i,0.012264+0.014619i,0.0032016+0.0041275i,0.0048802+0.0029226i,0.0044558+0.0034067i,0.006038+0.0028441i,0.0051004+0.0036591i,0.0031178-0.0033151i,0.0082217-0.0016441i,0.010156-0.0050018i,-0.0016424-0.0011388i,-0.0032003+0.00082858i,1.3102e-05+0.0014645i,-0.0010182-0.00018701i,-0.0027931+0.0011079i,-0.0018885+0.0010651i,0.0044883+0.0078184i,0.0015453+0.0010105i,0.0024259+0.00045871i,0.0018115+0.0011318i,0.001187+0.0014052i,0.00057349-5.4171e-06i,-0.00055603+0.00095424i,-0.0017728-0.0028467i,-0.00084826-0.00048473i,-0.0011218+0.00094634i,-0.0011073+0.00020325i,-0.00066046-0.0016514i,-0.0074208+0.0064586i,0.0013386+0.00029511i,0.0013916-0.00059676i,-0.00093691+0.0024621i,-0.00012816-0.0035945i,-0.0011041+0.00042854i,-0.0021431-0.00030379i,0.0020192+0.00063903i,0.0066322+0.0052455i,-0.013565+0.034262i,-0.081263+0.035708i,-0.051788+0.038936i,-0.036922+0.059878i,-0.018626+0.072648i,-0.0085326+0.051187i,0.012457+0.03689i,0.0035371-0.0012938i,-0.036811+0.0093867i,-0.046784+0.019881i,0.0013745+0.023695i,-0.0084796+0.0024175i,-0.010508-0.00056348i,-0.014218-0.0024038i,0.0022658+0.00056154i,0.0060994+0.0095188i,-0.0019239+0.0083595i,-0.0062109-0.012219i,0.0055284-0.0070645i,-0.0061838-0.0068267i,0.0019839-0.0063656i,0.0035084-0.0040994i,-0.0018011+0.010336i,0.0094556-0.0042565i,0.005198-0.0059543i,0.0032157-0.0068034i,0.0030685-0.00035415i,-0.0014105-0.0046329i,-0.0035145-0.00053886i,0.0025794-0.00037199i,-0.012607+0.017909i,-0.0040265-0.0044435i,0.0019912+0.00026581i,0.00060187-0.0063294i,0.0025044-0.0016178i,-0.014912-0.0026925i,0.00057841-7.3967e-05i,0.0055446-0.0030376i,0.0030776-0.0010072i,0.00039492-0.0043468i,-0.00041205+0.0059988i,-0.0011092+0.0064429i,-0.0029879+0.004178i,-0.012483+0.0031961i,-0.015117-0.002206i,-0.039922+0.058044i,0.00078576+0.0048326i,-0.024802-0.01761i,-0.0073399-0.0039365i,0.0094102+0.020321i,-0.0013208+0.022883i,-0.00040803-0.0010257i
0.010781+0.018439i,0.022555+0.047688i,0.030086+0.030686i,0.0226+0.025128i,0.030547+0.023075i,0.029711-0.020429i,0.015155-0.012349i,0.030388+6.5368e-05i,0.014409+0.011717i,0.0044086+0.0027043i,0.0055493+0.0017565i,0.0043469+0.0031833i,0.0061831+0.0016254i,0.0057158+0.002376i,0.0020267-0.0038764i,0.0068199-0.0030742i,0.0070157-0.0069251i,-0.0011748-0.00094616i,-0.002978+0.0010781i,0.00072451+0.00056712i,-0.0012311-0.00020717i,-0.0024891+0.0016854i,-0.0014895+0.0011098i,0.0079343+0.0050943i,0.001437+0.0011251i,0.0027086-0.00064214i,0.0019722+7.2097e-05i,0.0015586+0.00064862i,0.00025102-4.4506e-06i,-0.00032088+0.0010101i,-0.0030013-0.0018703i,-0.0012832-0.00051572i,-0.00088709+0.0012062i,-0.00089354+0.00064279i,-0.0013698-0.00054229i,-0.0048394+0.0078275i,0.0010848-0.00028844i,0.0011011-0.00095414i,0.00034925+0.0021874i,-0.0012314-0.0031416i,-0.00098504+0.00047107i,-0.0022519+0.00048409i,0.0017171+0.00057157i,0.0072542+0.0042513i,-0.0071311+0.035421i,-0.069745+0.049917i,-0.047481+0.048034i,-0.026884+0.063677i,-0.0027031+0.070066i,0.002241+0.049223i,0.012461+0.033719i,-0.0020557-0.005777i,-0.037796+0.011711i,-0.037851+0.022143i,0.0068663+0.021793i,-0.0086182+0.0051127i,-0.0096599+0.0049675i,-0.014197+0.002039i,0.0012669-0.00078056i,0.0077265+0.0088491i,0.0020846+0.011122i,-0.012608-0.010372i,0.00085016-0.0080052i,-0.0060578-0.002921i,-0.001458-0.0059378i,0.0013459-0.0053022i,0.0028472+0.0081151i,0.006155-0.0069543i,0.00070822-0.0060559i,3.4101e-05-0.0043684i,0.0040334-0.0013699i,-0.0027172-0.0040081i,-0.0013078+0.0013326i,0.0028532-0.0007203i,0.0057967+0.025204i,-0.0051268-0.0032371i,0.0024966-0.0019237i,-0.0025622-0.0058066i,0.0028492-0.0024287i,-0.013837+0.0034675i,0.00082727+0.00051534i,0.0037281-0.0031592i,0.0030451-0.0023942i,-0.00033974-0.0037635i,0.0016134+0.0028932i,0.0016786+0.0052523i,-0.00034558+0.0052281i,-0.010722+0.0069508i,-0.01643+0.0012406i,-0.028734+0.059062i,0.0010684+0.005605i,-0.028924-0.011748i,-0.01003-0.0091939i,0.012469+0.018975i,0.0029667+0.024319i,-0.0027645-0.0022135i
0.012309+0.015537i,0.02913+0.041197i,0.035613+0.024013i,0.028204+0.02025i,0.03636+0.017388i,0.024991-0.02587i,0.011543-0.015352i,0.029878-0.0058911i,0.016102+0.0088356i,0.0044374+0.0010888i,0.0055235-7.7475e-05i,0.0051587+0.0029072i,0.0060095-1.1177e-05i,0.0061191+0.00060154i,0.00082176-0.0040671i,0.0051473-0.0041012i,0.0042033-0.0080943i,-0.0014819-0.0010318i,-0.002581+0.0015568i,0.0004896-0.00056642i,-0.001791-0.00013203i,-0.0018926+0.0023167i,-0.0013888+0.0011984i,0.0088927+0.00079293i,0.0021471+0.00061047i,0.0018549-0.0016927i,0.0016065-0.00069865i,0.001614-5.0259e-05i,0.00019631+0.0001121i,-0.00018086+0.001135i,-0.0036706-0.00028298i,-0.0019328+0.00045618i,-0.00020385+0.0015341i,-0.00058664+0.00095554i,-0.0010362+0.00045102i,-0.0024364+0.0081386i,0.00077389-0.00048329i,0.00067561-0.0012443i,0.00092342+0.0015474i,-0.0022118-0.0023929i,-0.00096023+0.0005508i,-0.001939+0.0011992i,0.0016604+0.00091515i,0.0082867+0.0029096i,0.00055251+0.035375i,-0.05673+0.060434i,-0.03875+0.056136i,-0.015782+0.064476i,0.011784+0.063322i,0.011972+0.047398i,0.011184+0.029701i,-0.0074943-0.0065447i,-0.038236+0.01705i,-0.030529+0.021369i,0.011722+0.017612i,-0.0078454+0.0070897i,-0.0075344+0.0080441i,-0.012621+0.0047567i,-0.00067063-0.0025119i,0.0099091+0.0070231i,0.0070046+0.010835i,-0.016846-0.0057314i,-0.0015847-0.005555i,-0.0050743-0.00034795i,-0.0033245-0.0038766i,-0.0010949-0.0047883i,0.0049713+0.0067506i,0.0037318-0.0074017i,-0.0026941-0.0043424i,-9.244e-05-0.0019351i,0.0037949-0.0040047i,-0.0050034-0.003091i,-6.5711e-05+0.0007517i,0.0023252-0.0015364i,0.014775+0.01875i,-0.0066922-0.0012835i,0.0021194-0.0028973i,-0.0031075-0.0038494i,0.0031442-0.0039311i,-0.0097427+0.0084098i,0.0019937+0.00046914i,0.0022043-0.0036754i,0.0018903-0.0028359i,-0.00058431-0.0034677i,0.0010084+0.0017047i,0.0035418+0.0034566i,0.0021024+0.004826i,-0.0083467+0.0090417i,-0.016623+0.0063118i,-0.019992+0.05834i,0.0050278+0.0054297i,-0.030036-0.0062048i,-0.012922-0.010879i,0.016923+0.015221i,0.0087418+0.02485i,-0.0048146-0.0016301i
0.013356+0.013186i,0.032941+0.034911i,0.038313+0.01615i,0.031828+0.012914i,0.040319+0.0092574i,0.018907-0.029767i,0.0072719-0.016947i,0.027673-0.011635i,0.017377+0.0055587i,0.0038991+0.00022763i,0.0048507-0.00084706i,0.0059221+0.0018511i,0.0051681-0.00093205i,0.0055783-0.0010643i,-0.00048681-0.0038607i,0.0035491-0.0043609i,0.0011561-0.00767i,-0.0016386-0.00049424i,-0.0015664+0.0022024i,-0.0003786-0.00092069i,-0.0020888+0.00069308i,-0.0012078+0.0028998i,-0.0012347+0.0014507i,0.0074569-0.002644i,0.001993-0.00019503i,0.00092684-0.0017845i,0.0011151-0.00094583i,0.0011787-0.0011869i,0.00025042-4.9708e-05i,0.00015347+0.0012997i,-0.0034149+0.0016555i,-0.0014347+0.0014128i,0.00046079+0.0012097i,-0.00029813+0.0010302i,-0.00050898+0.00097638i,0.00052091+0.0088754i,0.00050628-0.00064464i,0.00011781-0.0013969i,0.0010558+0.0012273i,-0.0026797-0.0013746i,-0.0009202+0.00079224i,-0.0016248+0.0015697i,0.0021488+0.0011498i,0.0092915+0.00088569i,0.0074319+0.032318i,-0.041337+0.067933i,-0.029264+0.06173i,-0.0068113+0.063906i,0.023831+0.052565i,0.021891+0.041506i,0.010061+0.027723i,-0.013931-0.0048197i,-0.037248+0.023824i,-0.026014+0.018953i,0.014872+0.011441i,-0.0061465+0.0096504i,-0.0042593+0.011517i,-0.010824+0.0074524i,-0.0042922-0.0015044i,0.011881+0.003845i,0.011369+0.0080681i,-0.018937+0.0002256i,-0.0025706-0.0039135i,-0.0034456+0.0010013i,-0.0039336-0.0013839i,-0.0025176-0.0035194i,0.0070389+0.0034571i,0.0019016-0.0074488i,-0.0040905-0.00034235i,0.00090535-0.00084388i,0.0015274-0.0057333i,-0.0049337-0.00072362i,0.00084352+0.00087255i,0.0020319-0.001986i,0.020556+0.0097155i,-0.0067411+0.0021062i,0.001861-0.0042777i,-0.003182-0.0022721i,0.0015344-0.006309i,-0.0043002+0.0097322i,0.0029811-0.0006105i,0.00098244-0.0027981i,0.00088237-0.0027855i,-0.0021376-0.0037305i,0.00064956+0.0017375i,0.0036461+0.00099196i,0.004316+0.0040241i,-0.0057476+0.010256i,-0.014906+0.011314i,-0.012375+0.059022i,0.011279+0.0005948i,-0.029063-0.00046394i,-0.019121-0.010815i,0.017544+0.010242i,0.015946+0.022522i,-0.0049078-0.0010004i
0.014757+0.0111i,0.036553+0.029829i,0.039451+0.0091811i,0.033025+0.0053715i,0.041666+0.00049192i,0.012831-0.032069i,0.0033001-0.016911i,0.024534-0.016298i,0.018298+0.0021968i,0.0033649-0.00027584i,0.0043368-0.0014206i,0.0065378+0.00046281i,0.0046285-0.0012777i,0.0046758-0.0022369i,-0.0015917-0.0029823i,0.0022361-0.0038505i,-0.00055286-0.0064526i,-0.0018709-5.3957e-05i,-0.00093779+0.0020551i,-0.0011312-0.00070369i,-0.001879+0.0013491i,4.1483e-05+0.0032283i,-0.00095834+0.0018598i,0.0052605-0.005119i,0.0014823-0.00062057i,0.00041475-0.0017276i,0.00068294-0.0010915i,2.7894e-05-0.00093301i,8.6967e-05-1.5123e-05i,0.0009193+0.0012717i,-0.0019962+0.0029648i,-0.00064301+0.001827i,0.00074848+0.00077185i,0.00015762+0.0013233i,0.00019038+0.0011232i,0.0031716+0.0081591i,0.00018551-0.00059978i,-0.00047745-0.0012901i,0.0015981+0.00085563i,-0.0027335-0.00035923i,-0.00067337+0.00078906i,-0.001047+0.0019622i,0.0028185+0.00078687i,0.0090581-0.0018311i,0.012175+0.027795i,-0.02507+0.070675i,-0.017523+0.066344i,0.0026381+0.063379i,0.029963+0.039573i,0.028043+0.033772i,0.010824+0.028785i,-0.017874+0.0017995i,-0.0336+0.033215i,-0.024847+0.016734i,0.014177+0.0055989i,-0.0028908+0.011645i,0.0010542+0.011851i,-0.0085984+0.0097825i,-0.0053873+0.0018353i,0.012272-0.0014062i,0.01413+0.0033634i,-0.018792+0.0063123i,-0.002496-0.0017896i,-0.0023313+0.0014898i,-0.0027403+0.00023265i,-0.0038746-0.0014657i,0.0068455+0.0005344i,-1.0553e-05-0.0068081i,-0.0030018+0.0027788i,0.0023381-0.0014296i,-0.00097772-0.0060049i,-0.0036106+0.00087543i,0.0020866+0.00014528i,0.0016466-0.0023842i,0.021338+0.0012103i,-0.004541+0.0045103i,0.00021624-0.0053969i,-0.0025645-0.0018682i,-0.00095479-0.0068181i,-0.00029427+0.0086586i,0.0026274-0.002024i,0.00091152-0.0014101i,0.00081537-0.0022519i,-0.0012375-0.0019643i,0.0011549+0.0019414i,0.0022081-0.00041817i,0.0051698+0.0015933i,-0.0033707+0.010031i,-0.010822+0.015685i,-0.0037696+0.058567i,0.012453-0.010239i,-0.025817+0.0017875i,-0.023974-0.0078563i,0.017988+0.0058815i,0.021142+0.015997i,-0.0062202-0.0012873i
0.016319+0.0084646i,0.040231+0.023979i,0.040374+0.0020499i,0.032808-0.0021326i,0.041504-0.0080159i,0.0064011-0.03357i,0.00044848-0.0161i,0.020957-0.020214i,0.018626-0.0017206i,0.0027251-0.00055714i,0.004181-0.0019111i,0.0066701-0.0011047i,0.0048786-0.001749i,0.0036324-0.0030091i,-0.0021789-0.0020859i,0.0017-0.0031974i,-0.0014172-0.005804i,-0.0016421+0.00035896i,-0.00037772+0.0020273i,-0.0015763-0.00013794i,-0.0013161+0.0018338i,0.0014305+0.0027254i,-0.00035233+0.002146i,0.0022863-0.0061405i,0.0012557-0.00084722i,-0.00020461-0.0017029i,0.00032504-0.0012052i,0.00032363-0.0012578i,1.0105e-05+9.7841e-05i,0.001353+0.00068879i,-0.000456+0.0032241i,0.00022391+0.0019479i,0.00085802+0.00048222i,0.00088675+0.0011321i,0.00064582+0.000613i,0.0048384+0.0054127i,3.3111e-05-0.00045893i,-0.0007628-0.00080181i,0.0015209+0.00013944i,-0.0024406+0.00039872i,-0.00048733+0.00082203i,-0.00040844+0.0018763i,0.0033513+0.00024657i,0.0080148-0.0039666i,0.015369+0.023451i,-0.010501+0.069314i,-0.0036737+0.06654i,0.012456+0.061123i,0.032168+0.027516i,0.031808+0.02591i,0.013925+0.030643i,-0.016781+0.010676i,-0.024787+0.042793i,-0.025844+0.017219i,0.012163+0.0024645i,0.0010477+0.011773i,0.0048753+0.0098955i,-0.0057796+0.012105i,-0.0045035+0.0041083i,0.0098357-0.0070082i,0.014178-0.0025384i,-0.016331+0.011098i,-0.001649-0.00076703i,-0.0012879+0.0012411i,-0.0016913+0.00049622i,-0.003289+0.0012732i,0.0055391-0.0013611i,-0.0016379-0.0054932i,-0.0001197+0.0042778i,0.0024444-0.0031485i,-0.0031823-0.004614i,-0.0025463+0.0017168i,0.0022901-0.0012217i,0.0015608-0.0026027i,0.018242-0.0072556i,-0.0018468+0.005277i,-0.0018633-0.0053061i,-0.002856-0.0015921i,-0.0033459-0.0059346i,0.0020358+0.0072572i,0.0022148-0.0034038i,0.002401-0.0014198i,0.00092247-0.0031103i,-0.00056397-0.0026458i,0.0023628+0.0029521i,0.00059205+6.2611e-05i,0.0045882+0.00035552i,-0.001837+0.0094291i,-0.0049322+0.017814i,0.0047288+0.056707i,0.0063404-0.019094i,-0.024124+0.00085501i,-0.028736-0.0027327i,0.016508+0.00020703i,0.022256+0.0092503i,-0.0072121+3.309e-05i
0.017667+0.0054858i,0.042724+0.017305i,0.039243-0.0062949i,0.030239-0.0099177i,0.03959-0.017028i,-0.00025822-0.033428i,-0.0016091-0.015284i,0.016907-0.023625i,0.017784-0.0056322i,0.0021638-0.00015451i,0.0035971-0.0025564i,0.0063195-0.0031147i,0.0047204-0.002979i,0.002443-0.0035586i,-0.0024442-0.0010844i,0.0015832-0.0029012i,-0.0025944-0.0052034i,-0.0017616+0.00078833i,0.00035719+0.0017595i,-0.001972+0.00060707i,-0.00092521+0.0019769i,0.0022501+0.0016675i,0.00025829+0.0022117i,-0.00073117-0.0056275i,0.00086588-0.0014889i,-0.00081533-0.0011622i,-0.00026526-0.0012297i,-0.00033028-0.00086933i,0.00024557+0.00021801i,0.0011586-3.577e-05i,0.00093101+0.0029579i,0.00089195+0.0017236i,0.00084288+0.00018222i,0.0013312+0.00083918i,0.00052359-2.0065e-06i,0.0060144+0.0036108i,-0.00013846-0.00029544i,-0.00098949-0.00054081i,0.0013474-0.00025342i,-0.0018932+0.00089204i,-0.00028655+0.00088958i,0.00012661+0.0016473i,0.0037201-0.00084984i,0.0065508-0.0063494i,0.01747+0.01909i,0.0022879+0.065604i,0.0083961+0.062362i,0.021926+0.057131i,0.030764+0.017395i,0.033638+0.019055i,0.019738+0.030754i,-0.0095519+0.016733i,-0.011736+0.047724i,-0.026183+0.020797i,0.010356+0.0008336i,0.0043023+0.010255i,0.0070764+0.0067989i,-0.0021612+0.013018i,-0.0038213+0.0055934i,0.0034075-0.0096164i,0.010973-0.0073488i,-0.012585+0.014997i,-0.00065603-0.0011477i,-0.00093797+0.0005742i,-0.0012546+0.00036773i,-0.0010028+0.0028357i,0.0042845-0.001448i,-0.0023936-0.0044492i,0.0025755+0.0034937i,0.0012202-0.0049293i,-0.0043814-0.0028392i,-0.0013489+0.0021978i,0.0014515-0.0024307i,0.0011195-0.0035449i,0.011774-0.012115i,0.00041804+0.0049891i,-0.0031963-0.004322i,-0.0026111-0.0012845i,-0.0048596-0.0045324i,0.003512+0.0055123i,0.0015792-0.0050455i,0.0030142-0.0030561i,-0.00023106-0.0034815i,-0.0015255-0.0033715i,0.0035693+0.0018732i,0.0005688+0.0018145i,0.0046731-0.0011439i,-0.00088245+0.0091907i,0.00026003+0.016791i,0.012721+0.054618i,-0.0024852-0.02395i,-0.026637-0.00056929i,-0.03048+0.005229i,0.011355-0.0034425i,0.02265+0.0029622i,-0.0064087+0.00066092i
0.018619+0.0017141i,0.044775+0.011129i,0.035829-0.01328i,0.025015-0.015716i,0.034903-0.025347i,-0.0061056-0.031579i,-0.0031229-0.014458i,0.01217-0.025956i,0.016449-0.0093121i,0.0025316+0.00046509i,0.0030795-0.0027701i,0.0048501-0.0048531i,0.0040367-0.0040286i,0.0013258-0.0035537i,-0.002223-0.00013213i,0.0014525-0.0027409i,-0.0042726-0.0038055i,-0.0014167+0.0016055i,0.00069301+0.0010903i,-0.0017147+0.0018628i,-0.00033366+0.0023166i,0.0023115+0.00044182i,0.00091517+0.0021008i,-0.0029254-0.0035302i,-0.0002541-0.0015536i,-0.00093828-0.00059961i,-0.00075954-0.00095661i,-0.00057161-0.00052281i,0.00036624-0.00012648i,0.0008836-0.00035423i,0.0020892+0.0021297i,0.0013414+0.0011599i,0.00080868-7.8881e-05i,0.0021025-0.00062059i,0.00010664+7.8267e-05i,0.0055742+0.0017386i,-0.00016288-0.00010535i,-0.0011916-0.00016292i,0.0011872-0.00055713i,-0.0013047+0.0011082i,-3.7938e-05+0.00094572i,0.00043596+0.0013774i,0.0031842-0.0021945i,0.0033812-0.007163i,0.018627+0.014949i,0.013419+0.059561i,0.017014+0.05678i,0.030661+0.051685i,0.027807+0.010181i,0.03402+0.012556i,0.025836+0.028175i,-0.0019022+0.017316i,0.0022204+0.047073i,-0.024098+0.025417i,0.0095491-1.2121e-05i,0.0068284+0.0078047i,0.0074501+0.0039252i,0.0017745+0.012502i,-0.0023365+0.0074606i,-0.0024136-0.0080483i,0.0067825-0.0093544i,-0.0081874+0.017654i,-0.0011216-0.0020929i,-0.0014572+0.00056146i,-0.0011369+0.00057944i,0.001629+0.0026113i,0.0036495-0.0016859i,-0.0034999-0.0035135i,0.004056+0.0015414i,-0.0015722-0.0058105i,-0.0043622-0.00087512i,-7.375e-06+0.0017009i,0.00094725-0.0030602i,-9.3721e-06-0.0047422i,0.005824-0.013577i,0.0021598+0.0039326i,-0.0042083-0.0036242i,-0.0032706-0.0012839i,-0.006047-0.002659i,0.0040148+0.0040866i,-0.00052458-0.0064742i,0.0026889-0.0048081i,-0.0012003-0.0031089i,-0.0022187-0.0030262i,0.0038921+0.0016204i,0.0017494+0.0025854i,0.0032395-0.0017281i,0.00026072+0.0094072i,0.0043293+0.01407i,0.021787+0.051546i,-0.012746-0.025418i,-0.030647+0.0011542i,-0.027856+0.014401i,0.0068241-0.0030227i,0.019557-0.0036368i,-0.0057584-0.00086836i
0.018513-0.0027389i,0.046374+0.0036747i,0.031838-0.018557i,0.019742-0.018684i,0.028761-0.031785i,-0.010729-0.029208i,-0.0042061-0.014196i,0.0074945-0.02736i,0.014532-0.012813i,0.003398+0.00027344i,0.0029461-0.0032035i,0.0029972-0.0055195i,0.002951-0.0052392i,0.00050742-0.0033553i,-0.0017662+0.00043825i,0.0014754-0.002502i,-0.0048547-0.0016571i,-0.0006556+0.0016394i,0.00058102+0.00048081i,-0.00080673+0.0024167i,0.00041352+0.0022895i,0.0019263-0.00043335i,0.0015442+0.0016927i,-0.0039126-0.00098531i,-0.00082479-0.00098713i,-0.00093983-0.00019487i,-0.0010457-0.00065156i,-0.00024561-6.1833e-05i,5.4193e-05-7.1776e-05i,0.00053807-0.00057604i,0.0028524+0.00072282i,0.0014088+0.00071669i,0.0007861-0.00025578i,0.0011737-0.00030281i,0.00015209+0.00038238i,0.0059825+9.4161e-05i,-9.6409e-05+9.8399e-05i,-0.0011652+0.00039067i,0.00094666-0.00095563i,-0.00061243+0.0011982i,0.00028207+0.00080641i,0.0006249+0.0010428i,0.0022229-0.0029753i,0.00088378-0.0063064i,0.019082+0.011027i,0.021094+0.051546i,0.023943+0.051437i,0.03797+0.044215i,0.024455+0.0048491i,0.033484+0.008207i,0.030783+0.024102i,0.0045776+0.016089i,0.01443+0.041822i,-0.019666+0.029859i,0.0091026-0.0013082i,0.0084118+0.0043739i,0.0077178+0.0016774i,0.0054045+0.010476i,0.00044976+0.007898i,-0.0057127-0.0046727i,0.0025713-0.0098089i,-0.0029836+0.017937i,-0.0025987-0.0022442i,-0.0023212+0.0016508i,-0.00096204+0.00078687i,0.0030528+0.0010585i,0.0030623-0.001044i,-0.0038952-0.0020247i,0.0040054-0.00052996i,-0.0042439-0.0043836i,-0.0030993+0.00060583i,0.0003179+0.00059113i,0.00029335-0.0040395i,-0.0019534-0.0048326i,0.00074967-0.013149i,0.0034626+0.0022675i,-0.0055962-0.0021375i,-0.0038578-1.6171e-06i,-0.0058713-8.8724e-05i,0.0048008+0.0031768i,-0.0037627-0.0065532i,0.0014036-0.0066059i,-0.0016713-0.0028488i,-0.0027607-0.0031057i,0.0046305+0.00080642i,0.0030159+0.0024144i,0.0022396-0.001219i,0.0019338+0.0093105i,0.0063768+0.010923i,0.030896+0.045489i,-0.023641-0.022028i,-0.033804+0.0048243i,-0.021279+0.018426i,0.004891-0.0019606i,0.01371-0.0063555i,-0.0081647-0.0017265i
0.016951-0.0067608i,0.046409-0.004612i,0.027718-0.023124i,0.015254-0.020331i,0.021815-0.036757i,-0.01512-0.026595i,-0.0057257-0.014843i,0.0027703-0.02818i,0.01146-0.015875i,0.0040486-0.00044835i,0.0026563-0.0040694i,0.0012737-0.0054869i,0.0012044-0.0059564i,-0.0001893-0.0032211i,-0.0014156+0.00057424i,0.0015961-0.0026618i,-0.0045587+0.00013834i,-0.00018143+0.0012835i,0.00047137+0.00031044i,3.0674e-05+0.0025119i,0.0010663+0.0020898i,0.0014602-0.00085417i,0.001955+0.0010101i,-0.0029833+0.0015467i,-0.00094026-0.00035948i,-0.00080202+0.00021639i,-0.0012423-0.00031052i,-0.00081738-6.6236e-05i,4.7053e-05+9.763e-05i,-8.0429e-06-0.00065344i,0.002763-0.00062805i,0.0015782+0.00044882i,0.00067049-0.00049607i,0.0010681-0.00076787i,0.00043465+0.00054368i,0.0063265+0.00018428i,4.435e-05+0.00011098i,-0.00076828+0.00073502i,0.00021416-0.00094932i,0.00010387+0.0010026i,0.00038355+0.00074216i,0.00071638+0.00080618i,0.0011059-0.0030995i,-0.00043898-0.0045463i,0.019078+0.0079119i,0.025607+0.044767i,0.030351+0.045851i,0.042963+0.036715i,0.020444+0.00056662i,0.034503+0.0046434i,0.034955+0.018572i,0.010851+0.012572i,0.023796+0.033379i,-0.012713+0.033171i,0.0081779-0.0028474i,0.0079937-0.00017585i,0.0078454-0.0010096i,0.0073086+0.0070725i,0.0022802+0.007138i,-0.007201-0.00027575i,-0.0012069-0.0086301i,0.0012383+0.015626i,-0.0040289-0.0010939i,-0.0021171+0.0036795i,-0.00083198+0.0010067i,0.0037813-0.00080416i,0.0040528+0.00035688i,-0.0033344-0.00077497i,0.0037295-0.0014279i,-0.005075-0.0022783i,-0.0015872+0.00069046i,2.6024e-05+0.00026689i,-0.0020544-0.0047195i,-0.0035467-0.0037178i,-0.0033003-0.012092i,0.0038621+0.00022185i,-0.0059458+2.695e-07i,-0.002996+0.0011874i,-0.0049303+0.001594i,0.0057637+0.00208i,-0.0060745-0.0043045i,-0.00098519-0.0079504i,-0.0025837-0.0022652i,-0.0043556-0.0028753i,0.0053737-0.0010362i,0.0043747+0.0023334i,0.002608-0.0010159i,0.0040615+0.0092567i,0.0067311+0.0078667i,0.038171+0.037341i,-0.030682-0.013068i,-0.036452+0.011004i,-0.01582+0.020609i,0.0030051-0.0002966i,0.0089463-0.0055482i,-0.0097696-0.00077949i
