-0.0085676-0.039433i,-0.010764-0.044138i,0.0030944-0.04617i,-0.026911-0.027292i,-0.020551+0.014109i,-0.032566-0.033282i,-0.060986-0.062474i,-0.022022-0.072308i,-0.042215-0.065692i,0.00056218+0.016417i,-0.0066893+0.010326i,-0.015035+0.013978i,0.00052103+0.016509i,-0.0040764-0.0031871i,0.00019981+0.007003i,0.00067055+0.039602i,0.017536+0.057297i,0.0009184-0.00052357i,-0.0050867-0.0085669i,0.009386+0.0076759i,0.0015277+0.00044223i,-0.0016039+0.0039853i,-5.6155e-05-0.0013853i,-0.034999-0.0088082i,-0.0019168-0.0071618i,-6.6075e-05+0.0049777i,0.0042094-0.00069022i,2.0695e-05+0.0011214i,-2.8868e-05-0.00090111i,-0.00017329-0.002912i,-0.001201-0.0058645i,-0.0024403-0.0043798i,-0.000762-0.0079365i,0.0032098-0.0010092i,0.0031524-0.0026223i,-0.0031311+0.034464i,0.0065053-0.0041699i,0.0039014-0.002461i,0.0052392+0.0002722i,-0.034801-0.0207i,-2.5528e-05+0.00015489i,0.01353-0.00073659i,0.0062104-0.00059962i,-0.0034104+0.0038214i,0.0027868+0.0018295i,-0.0038816+0.0093715i,0.016371-0.087661i,-0.005507-0.048453i,-0.024145-0.039032i,-0.018767-0.041473i,0.064625-0.014566i,0.028225-0.060738i,0.039217-0.044434i,0.029902-0.05514i,0.019528-0.015169i,0.0082662+0.010022i,0.026688-0.034615i,-0.0074068-0.0054062i,0.0020455-0.0027196i,-0.0044327-0.006251i,0.0014787-0.031984i,-0.024454+0.030775i,0.0078449-0.010391i,-0.010974-0.0021113i,-0.0053496-0.0013519i,-0.00072924-0.014053i,-0.0098883+0.0041504i,0.0034136+0.007846i,-0.012154+0.031183i,0.0059992+0.0077327i,-0.0055401-0.0018533i,-0.0017629-0.0020767i,-0.01115-0.0086437i,0.00052475-0.0034239i,-0.037215+0.0034897i,0.0024363-0.012344i,-0.0096164-0.0024397i,-0.0064518-0.0032197i,0.0062707+0.0017907i,-0.0093602+0.0015311i,0.001127+0.00081938i,0.0052418+0.0093475i,0.0046147+0.00075653i,-0.0087035-0.010419i,0.0027062+0.0082762i,-0.019954+0.0070915i,0.0067909+0.0034022i,-0.028308-0.0086021i,-0.034523+0.0025405i,0.024564-0.075773i,0.012346-0.0094601i,-0.043342-0.028192i,-0.022987-0.0040904i,0.01794+0.012514i,-0.026717+0.011741i,-0.012371-0.008885i
-0.013655+0.018113i,0.012227+0.047681i,0.026143+0.04666i,-4.5653e-05+0.017812i,-0.0027668+0.0078674i,0.027231+0.0025313i,0.012788+0.018292i,0.01057+0.045989i,0.0053753+0.019723i,-0.0023207+0.0059888i,0.00097525+0.001488i,0.00272-0.0044543i,0.0026239-0.0025423i,0.0037115-0.0005196i,0.00313-0.0023389i,0.0052128-0.0013914i,0.013358-0.0064957i,-0.00062693-0.00059161i,-0.004746+0.00050007i,-0.00012488+0.0026516i,-0.00044916-0.0010083i,-0.0051002-0.0017615i,-0.0027004+0.00063582i,0.0051207+0.010954i,0.0025223+0.0021687i,0.0022311+0.00062881i,0.001927+0.0016646i,-0.0016237+0.003656i,-0.00038839+0.00085434i,-0.0010251+0.0013579i,0.0010039-0.0039034i,-0.00052988-0.00094542i,-0.00073161-0.00083924i,-5.1928e-05+0.00060732i,-0.00081141-0.0019874i,-0.0060895+0.0095525i,0.0031304-0.00017663i,0.00088492+6.2976e-05i,-0.0008842+0.0018377i,-0.00091704-0.0027255i,-0.0019239+0.00059863i,-0.0010897-0.0019586i,0.002101+0.0081479i,0.0034216+0.00089355i,-0.028825+0.023767i,-0.057996+0.024379i,-0.030879+0.046252i,-0.019538+0.032147i,-0.0048264+0.049738i,-0.0091093+0.032147i,0.0088781+0.010724i,-0.0064481-0.0070857i,-0.0373-0.0077937i,-0.042786+0.016279i,0.010222+0.022107i,-0.0015813+0.0031516i,-0.0057194+0.002111i,-0.011783-0.0033712i,0.0098984+0.0016674i,0.012263+0.015323i,-0.0026641+0.0078883i,-0.0065908-0.011907i,0.0053354-0.0027208i,-0.0052002-0.0044013i,0.0043695-0.0076093i,0.0053932-0.0026161i,-0.00071008+0.0097315i,0.012823-0.0049206i,0.008025-0.0063411i,0.0051538-0.0070172i,0.0034741-0.00059565i,-0.0027279-0.0066208i,-0.0038082-0.0016183i,0.0030143-0.0012263i,-0.014336+0.035664i,-0.0059994-0.0058939i,0.0014376+0.00077318i,-0.00074197-0.0080282i,0.0031683-0.0011483i,-0.013999-0.0048152i,0.0012465-0.00052512i,0.0035478-0.0032234i,0.0022224-0.001845i,0.0001447-0.006264i,-0.00092266+0.0062505i,-0.00050546+0.0032259i,-0.0026782+0.0061311i,-0.011198-0.0015303i,-0.009016+0.0029181i,-0.038748+0.038932i,-0.0076292+0.016262i,-0.023118-0.0066254i,-0.00029045-0.0010593i,0.0095909+0.020032i,-0.00139+0.01958i,-0.0058827-0.00054335i
-0.01154+0.017832i,0.019143+0.043138i,0.034179+0.041319i,0.00415+0.019844i,0.0013309+0.0082503i,0.027129-0.0033378i,0.014255+0.01492i,0.018485+0.041775i,0.0077528+0.018093i,-0.00053828+0.0055518i,0.0017826+0.0015548i,0.00027775-0.0032364i,0.001478-0.0025676i,0.0033278-0.00067484i,0.002443-0.0027969i,0.0042321-0.0014029i,0.0095799-0.009165i,0.00011217-0.00020955i,-0.0045777+0.0011869i,0.0009191+0.0015318i,-0.00093514-0.001297i,-0.0053817-0.00044563i,-0.0024778+0.00078985i,0.011042+0.0074551i,0.0024791+0.0022046i,0.0027636-0.0003083i,0.0020649+0.00061051i,3.17e-05+0.0037493i,-0.00047583+0.0014316i,-0.00064298+0.0016668i,-0.00069913-0.0036981i,-0.0011583-0.0010575i,-0.0015837-0.00087767i,0.00026087+0.00023718i,-0.0014031-0.00033006i,-0.0025709+0.01049i,0.0024225-0.0012496i,0.00092545-7.108e-05i,-0.00019221+0.0018345i,-0.0012175-0.0019476i,-0.0016345+0.00086385i,-0.0039171-0.0036791i,0.0040486+0.0077133i,0.0026777+0.00043863i,-0.022638+0.028496i,-0.050089+0.033681i,-0.025165+0.050932i,-0.01236+0.033946i,0.0083891+0.045707i,-0.00012095+0.031093i,0.0038436+0.0035053i,-0.013303-0.010863i,-0.04063-0.0063389i,-0.034201+0.017305i,0.014985+0.017883i,-0.0021534+0.0033369i,-0.0047047+0.006363i,-0.012115+0.0015429i,0.0082638-0.0020414i,0.01509+0.01207i,0.0014157+0.011694i,-0.011866-0.010083i,0.0019919-0.0036244i,-0.0047544-0.0016574i,-0.00053743-0.0074266i,0.0036851-0.0045179i,0.00386+0.007392i,0.0087363-0.008444i,0.0036662-0.0082847i,0.0017651-0.0051639i,0.0042658-0.0018054i,-0.0043992-0.0052608i,-0.00201+0.00083319i,0.0032153-0.0017894i,0.0051956+0.035848i,-0.0076027-0.0043525i,0.0021356-0.00095153i,-0.0045228-0.0066329i,0.00351-0.0019614i,-0.013229+0.0013307i,0.0013822-0.00022077i,0.0018766-0.002937i,0.0023286-0.0030627i,-0.001966-0.0061232i,0.0010848+0.0031597i,0.00088618+0.0028126i,0.00010485+0.0070054i,-0.010562+0.0023713i,-0.0085445+0.0044521i,-0.030942+0.040045i,-0.0048089+0.019059i,-0.024897-0.00069539i,-0.0015826-0.0055591i,0.012465+0.019008i,0.0023557+0.021605i,-0.0079842-0.00031513i
-0.010283+0.018157i,0.024467+0.037793i,0.042681+0.032772i,0.010975+0.018418i,0.0059971+0.0068049i,0.025735-0.009424i,0.014785+0.011406i,0.02562+0.035907i,0.010784+0.017234i,0.00055735+0.0054484i,0.0023126+0.00073086i,-0.00011208-0.001289i,0.00022581-0.0026501i,0.0033384-0.0011836i,0.0016883-0.0029834i,0.003355-0.0014544i,0.0059522-0.010345i,0.00023158-0.00069704i,-0.003984+0.0031712i,0.00086094+0.00022221i,-0.0018328-0.0014259i,-0.0051309+0.0013061i,-0.0025331+0.0011156i,0.012278+0.00086342i,0.0036424+0.0012167i,0.0020984-0.0015753i,0.0018874-7.3392e-05i,0.0017493+0.0030864i,0.00042801+0.0016512i,-0.00028419+0.0019645i,-0.0021371-0.002741i,-0.0018888-0.00026707i,-0.003568-0.0025818i,5.5747e-05-3.3755e-05i,-0.00077203+0.0005697i,0.0007341+0.0097919i,0.0017371-0.0017599i,0.00085706-0.00071734i,0.00040472+0.0013075i,-0.0016387-0.0015226i,-0.0014138+0.001085i,-0.0033685-0.00033911i,0.0061367+0.0068028i,0.0025429+0.00030628i,-0.014685+0.031127i,-0.041121+0.040938i,-0.017204+0.055232i,-0.004812+0.032851i,0.019958+0.037565i,0.0098404+0.025654i,-0.0029502+0.00070628i,-0.020119-0.0099658i,-0.044102-0.0014909i,-0.027488+0.015231i,0.017666+0.011668i,-0.0024591+0.0040003i,-0.0026109+0.007757i,-0.011682+0.0056131i,0.0051522-0.0055199i,0.017778+0.0074496i,0.0068853+0.012106i,-0.015957-0.0060909i,0.00069117-0.0021475i,-0.0041264+0.00043746i,-0.0030806-0.0052318i,0.0014385-0.0046951i,0.0057205+0.0059427i,0.0053209-0.0091344i,-0.001703-0.0078007i,0.0012121-0.0034763i,0.0038679-0.0042597i,-0.0058651-0.0032945i,-0.00034202+0.00070052i,0.0019499-0.0027904i,0.022474+0.030528i,-0.0091098-0.00072036i,0.0021356-0.0020186i,-0.0044192-0.0039871i,0.0039437-0.0038366i,-0.010034+0.0061973i,0.0024826-0.00029283i,0.00037699-0.003271i,0.00098023-0.0032813i,-0.0038739-0.0043874i,0.00028005+0.0023171i,0.0019443+0.0017495i,0.0036386+0.0067543i,-0.0091741+0.0049812i,-0.0077433+0.0064781i,-0.025098+0.040219i,0.0026068+0.020401i,-0.024584+0.0038247i,-0.0041857-0.0089781i,0.017399+0.015716i,0.0079659+0.023114i,-0.0097142+0.0012935i
-0.0089124+0.019094i,0.027781+0.032744i,0.047199+0.021686i,0.016112+0.012886i,0.0095749+0.0028032i,0.022305-0.014662i,0.014498+0.0089593i,0.03024+0.028449i,0.014699+0.014541i,0.001314+0.0053197i,0.002076-0.00021079i,0.00066453-0.00045381i,-0.0013603-0.0014521i,0.0029894-0.0016622i,0.00084147-0.0030603i,0.0028745-0.00097701i,0.0023543-0.010086i,0.00022994-0.0007693i,-0.0025936+0.0060504i,1.27e-05-0.0003653i,-0.0025754-0.00051346i,-0.004296+0.0030879i,-0.0023395+0.0017731i,0.010125-0.0045989i,0.0036603-0.0002164i,0.00099924-0.0017833i,0.0014764-0.00058592i,0.0023991+0.0016809i,0.0010161+0.0010109i,0.00044706+0.0023437i,-0.003066-0.0011848i,-0.0015645+0.00081837i,0.00040036+0.00028048i,-0.00013219+9.3033e-05i,-0.00018186+0.00084847i,0.0032583+0.0083084i,0.001052-0.0020076i,0.00026989-0.00097505i,0.00039716+0.0012547i,-0.0018817-0.001086i,-0.0010491+0.0012829i,-0.0031561+0.00085019i,0.0074369+0.0050249i,0.0026603+0.00016821i,-0.0069296+0.029882i,-0.030718+0.045795i,-0.0078956+0.058347i,-8.3489e-05+0.030677i,0.028253+0.025695i,0.016145+0.021356i,-0.010491+0.00268i,-0.027358-0.0059012i,-0.046316+0.0059875i,-0.024124+0.011781i,0.018309+0.0047976i,-0.0018623+0.0053499i,-2.3177e-05+0.0099241i,-0.0097525+0.0092813i,-0.00035818-0.0057319i,0.019508+0.00085296i,0.012179+0.0095659i,-0.018254-0.00073001i,0.00037278-0.0017745i,-0.0027574+0.0016746i,-0.0041493-0.0019597i,-8.9569e-05-0.0042521i,0.0074005+0.0027889i,0.0022453-0.0092475i,-0.0049-0.002765i,0.0017821-0.0027351i,0.0017543-0.00629i,-0.0056717+0.00080503i,0.00079434+0.00062905i,0.001154-0.0028181i,0.031261+0.014111i,-0.0082102+0.0034969i,0.0017806-0.0032592i,-0.0043445-0.0020878i,0.0024737-0.0062165i,-0.0054276+0.0078593i,0.0035174-0.0016731i,-0.00086802-0.0023042i,0.00017401-0.0031267i,-0.0039937-0.0016985i,-0.00014203+0.0028261i,0.0020375+0.00042484i,0.0070386+0.004183i,-0.0073683+0.00648i,-0.0067325+0.0083018i,-0.019652+0.041891i,0.012883+0.015848i,-0.022093+0.0080925i,-0.0099723-0.010838i,0.019463+0.010273i,0.014765+0.021646i,-0.00888+0.0028983i
-0.0067717+0.020377i,0.031306+0.028672i,0.0485+0.011565i,0.018344+0.0059477i,0.010321-0.0023753i,0.018635-0.018407i,0.01441+0.0075823i,0.032489+0.021615i,0.017879+0.010471i,0.0025591+0.0051836i,0.0015562-6.5084e-05i,0.0015789-0.00054641i,-0.0015742+0.00059365i,0.0024891-0.0020387i,7.5006e-05-0.0025811i,0.0030415-0.00040453i,-0.00017776-0.0085982i,-0.00011408-0.00069762i,-0.0019471+0.0046718i,-0.00071222-0.00020804i,-0.0026663+0.00046321i,-0.0025995+0.0041675i,-0.0016413+0.0023372i,0.0060486-0.0081635i,0.0031035-0.0012637i,0.00036346-0.0018794i,0.0010821-0.0010129i,0.0018919+0.00060111i,0.00094337+0.00047271i,0.0016219+0.002196i,-0.0027557+0.00024582i,-0.0010101+0.0013574i,-0.00032837+0.00080305i,0.0002497+0.0007327i,0.00054586+0.00084256i,0.0047814+0.0065762i,0.00016237-0.0020479i,-0.00019682-0.00086657i,0.001002+0.0011683i,-0.0017903-0.00054649i,-0.00083176+0.0012692i,-0.0029871+0.0021633i,0.0084901+0.0019923i,0.0023351-0.00057084i,-0.0019381+0.027217i,-0.019389+0.047798i,0.0039062+0.059168i,0.004686+0.029301i,0.030342+0.01288i,0.019718+0.013341i,-0.014179+0.010061i,-0.031793+0.0032081i,-0.047179+0.016284i,-0.024795+0.009235i,0.015299-0.0010028i,-0.00025305+0.0062394i,0.004714+0.0096166i,-0.0066872+0.011624i,-0.0033282-0.002536i,0.017572-0.0072175i,0.016053+0.0047402i,-0.018603+0.0051095i,0.00029898-0.00042617i,-0.0015388+0.0024383i,-0.0024708+5.1813e-05i,-0.0021718-0.0029585i,0.0068876+0.00019379i,-0.00067761-0.0086973i,-0.0042218+0.0014821i,0.0025507-0.0033527i,-0.0010976-0.0067314i,-0.0041924+0.0021276i,0.0018412-0.00021006i,0.00061685-0.0023286i,0.032767-0.001172i,-0.0049772+0.0059461i,0.00043836-0.0045152i,-0.0034847-0.0015081i,1.0592e-05-0.0069169i,-0.0018807+0.0073052i,0.0026635-0.0031572i,-0.0010113-0.00061883i,0.00015471-0.0024079i,-0.00224-0.00076992i,0.0010207+0.0032213i,0.001007-0.00053485i,0.0085951-0.00081418i,-0.0059127+0.0068482i,-0.0046673+0.010728i,-0.013247+0.043131i,0.018295+0.0038999i,-0.017459+0.0094845i,-0.016447-0.0093827i,0.0202+0.0049837i,0.020887+0.015485i,-0.0091537+0.0028754i
-0.0041495+0.02085i,0.035049+0.023802i,0.048971+0.0022475i,0.018885-0.00087101i,0.009743-0.0065254i,0.014441-0.021488i,0.015624+0.0064285i,0.034014+0.015166i,0.020003+0.0050505i,0.0032326+0.0045226i,0.0019748-3.0867e-05i,0.0021233-0.00085136i,-6.5299e-05+0.0021812i,0.0019015-0.0021219i,-0.00017764-0.0022257i,0.003643-9.4884e-05i,-0.0013841-0.0074489i,0.00024047-0.00086806i,-0.00062314+0.004468i,-0.0010357+0.00025899i,-0.0020435+0.0012001i,-0.00056173+0.0038805i,-0.00082274+0.0024991i,0.00017907-0.010087i,0.0026205-0.0021429i,-0.00044201-0.001825i,0.00045307-0.0012489i,0.001704+0.00026286i,0.00081794+0.00027468i,0.0022927+0.0011827i,-0.0022564+0.0011376i,-0.00040427+0.001489i,-4.3801e-05+0.0012591i,0.0008497+0.00017797i,0.00079013+8.3823e-05i,0.0054312+0.0047909i,-0.00071558-0.0017469i,-0.00033611-0.00044128i,0.0010782+0.00042472i,-0.0014563-0.00022669i,-0.00087501+0.0015043i,-0.0011056+0.0023159i,0.0072336-0.00031725i,0.0018041-0.00055673i,0.0020972+0.024054i,-0.0090755+0.046316i,0.015675+0.055815i,0.0096817+0.027266i,0.028903+0.0018018i,0.019654+0.0063233i,-0.011929+0.018303i,-0.030909+0.014929i,-0.042063+0.029245i,-0.027378+0.0099605i,0.011522-0.0037509i,0.0017235+0.0059727i,0.0077468+0.0069723i,-0.0028981+0.013394i,-0.0037167+0.00018988i,0.011629-0.014314i,0.016545-0.0022622i,-0.01684+0.0099291i,0.0013413-0.00024533i,-7.5875e-05+0.0023753i,-0.0010225+0.00021366i,-0.0023681-0.00038901i,0.0056057-0.0012456i,-0.0024379-0.0072424i,-0.0010591+0.0035915i,0.0021195-0.0048463i,-0.0036297-0.0052648i,-0.0029839+0.0025865i,0.0020465-0.0015122i,0.00081085-0.0019221i,0.026039-0.013448i,-0.0017921+0.0067333i,-0.0015607-0.0042707i,-0.0034486-0.0010701i,-0.0027574-0.0064702i,0.00033961+0.0060914i,0.0064676-0.0084587i,0.00022101+6.687e-05i,0.00016898-0.002953i,-0.0010894-0.0011789i,0.0027241+0.0049003i,-0.00024332-7.5398e-05i,0.0049862-0.0010715i,-0.0050952+0.0070672i,-0.00093564+0.011752i,-0.0065177+0.04317i,0.015131-0.0077621i,-0.014218+0.0065517i,-0.022032-0.0042768i,0.018593-0.0015346i,0.02221+0.0079727i,-0.0095273+0.0046205i
-0.0012672+0.021147i,0.037988+0.018008i,0.047336-0.0078039i,0.016229-0.0085409i,0.0082261-0.010873i,0.0095335-0.023598i,0.017584+0.0043596i,0.034405+0.0088986i,0.020004-0.0004048i,0.0040293+0.0043395i,0.0020313-0.00043522i,0.0023958-0.0022574i,0.0016389+0.002182i,0.001368-0.0022103i,-0.0002902-0.0019128i,0.0044562-0.00058839i,-0.002586-0.0067574i,-0.00039714-0.0012785i,0.00095806+0.0036403i,-0.0013187+0.0009049i,-0.0017994+0.0014355i,0.00069245+0.0027618i,-0.00032374+0.0023574i,-0.0076638-0.0071697i,0.0014791-0.0036845i,-0.0011735-0.0012129i,-0.0001629-0.0011712i,0.0015615-0.00010648i,0.00096178+3.2697e-05i,0.0023116+6.3476e-06i,-0.0013409+0.0017618i,9.3339e-05+0.0017645i,0.00037178+0.0013846i,0.00094289-6.156e-05i,0.0001854-0.00044668i,0.0055857+0.0031219i,-0.001336-0.00099486i,-0.00035733-0.00022673i,0.00099374+0.00013639i,-0.001022-0.00024401i,-0.00050157+0.0019379i,-0.00065839+0.0025316i,0.0055666-0.00065371i,0.0015384-0.00037621i,0.004732+0.021224i,-0.00064358+0.043228i,0.025433+0.049117i,0.014906+0.024462i,0.024306-0.0070036i,0.017897+0.0020482i,-0.0059774+0.023302i,-0.022385+0.024656i,-0.030476+0.038545i,-0.029232+0.014331i,0.0081388-0.0044868i,0.0033381+0.0049028i,0.0090727+0.0033637i,0.0019736+0.013489i,-0.0038994+0.0019956i,0.0013427-0.016814i,0.013315-0.0079592i,-0.013877+0.014205i,0.0019346-0.0015246i,0.0005954+0.0014824i,-0.00065067-0.0004708i,-0.00091285+0.00098696i,0.0044969-0.0013938i,-0.0031398-0.0062976i,0.001592+0.0031652i,0.00049076-0.006256i,-0.0048907-0.0032907i,-0.0014988+0.0029445i,0.0010832-0.0030961i,0.00098136-0.0026948i,0.016233-0.020189i,0.00098462+0.0059435i,-0.0026125-0.003277i,-0.0029653-0.00082314i,-0.0048963-0.0053708i,0.001453+0.004901i,0.0023324-0.0075837i,0.0011679-0.0003891i,-0.0011425-0.0031311i,-0.0013176-0.0020293i,0.0037637+0.0040859i,-0.00052978+0.0011418i,0.0049366-0.0019428i,-0.004452+0.0078357i,0.002369+0.010606i,0.00049787+0.042512i,0.0075521-0.016133i,-0.016132+0.0028476i,-0.023683+0.003411i,0.012794-0.0062089i,0.022181+0.001964i,-0.0078859+0.0054727i
0.0018345+0.020673i,0.040333+0.012387i,0.042603-0.016487i,0.010256-0.013497i,0.0047053-0.014485i,0.004881-0.024316i,0.019602+0.0009775i,0.033529+0.0030243i,0.018635-0.0059514i,0.0055255+0.0039047i,0.0018873-0.00052648i,0.0011214-0.0035254i,0.0031248+0.0014104i,0.00087238-0.002118i,-0.00013855-0.0019942i,0.0049644-0.0012849i,-0.0044847-0.0053883i,-0.00095742-0.00092566i,0.0017215+0.0023951i,-0.00094431+0.0019747i,-0.0013769+0.0019565i,0.0007364+0.0013489i,0.00015796+0.002343i,-0.0075233+0.0038282i,-0.00089836-0.0035156i,-0.0014183-0.00045176i,-0.00058899-0.0009085i,0.0013714-0.00047623i,0.00059935-0.00051777i,0.0018453-0.0008678i,-0.0003154+0.001846i,0.00080805+0.0016764i,0.00088277+0.0012835i,0.00061121+0.0018609i,-6.6502e-05+8.7594e-05i,0.0054516+0.0017829i,-0.0019045-0.00019774i,-0.00043409+0.00010656i,0.00095261+7.3654e-05i,-0.00066069-0.00059169i,0.00017376+0.002279i,0.00019789+0.0026369i,0.0053285+0.0011857i,0.0013878-0.00014637i,0.0067062+0.018173i,0.0063124+0.0386i,0.031943+0.04143i,0.020062+0.020158i,0.018301-0.012391i,0.015771-0.00064278i,0.0010523+0.025622i,-0.011984+0.028011i,-0.016493+0.042305i,-0.027996+0.020356i,0.006461-0.0043138i,0.0046081+0.0033871i,0.0084295+0.00030826i,0.0071612+0.011499i,-0.0032246+0.0043287i,-0.0079336-0.012714i,0.008668-0.010992i,-0.0096687+0.016899i,0.0011444-0.0030234i,0.00075199+0.00095167i,-0.001078-0.00043174i,0.0010042+0.0011318i,0.0041748-0.0016597i,-0.0048589-0.0047852i,0.0033652+0.0017815i,-0.0025511-0.0065986i,-0.0051106-0.0011627i,0.00017068+0.0021033i,0.00014736-0.003559i,0.00042434-0.0039887i,0.0061726-0.022504i,0.0029472+0.0044596i,-0.0031765-0.0024202i,-0.0036419-0.00084532i,-0.0065873-0.0032228i,0.0017361+0.0040261i,-0.00079228-0.0084897i,0.0020267-0.0012383i,-0.0017051-0.0022004i,-0.0017319-0.0022297i,0.0049358+0.0027861i,0.00012421+0.0022205i,0.0032078-0.0029956i,-0.0034711+0.0089988i,0.0045628+0.0085691i,0.0084565+0.041037i,-0.0035171-0.020315i,-0.020094+0.0027169i,-0.021234+0.010499i,0.0072523-0.0061068i,0.019607-0.004637i,-0.0063739+0.0039753i
0.0045489+0.019332i,0.042071+0.0055882i,0.036968-0.02261i,0.0044583-0.014361i,0.00048582-0.016474i,0.00095579-0.024442i,0.020843-0.0039009i,0.032236-0.0019106i,0.015492-0.01042i,0.0069361+0.0024047i,0.0023112-0.0007524i,-0.00046797-0.0032999i,0.0037501-0.00036143i,0.0005359-0.0019565i,-0.00042807-0.0023078i,0.0053772-0.0020806i,-0.0051388-0.0030755i,-0.0010555-0.00087646i,0.001565+0.0012941i,5.8059e-05+0.0022357i,-0.00079533+0.0024646i,0.00029377+0.00046315i,0.00066158+0.0022181i,-0.00048218+0.004275i,-0.0021647-0.002129i,-0.0012968+0.00018939i,-0.00085215-0.00066006i,0.00066916-0.00095912i,1.9081e-05-0.00028822i,0.001065-0.0014868i,0.0005903+0.0014881i,0.0012474+0.0012547i,0.0014219+0.0010204i,0.0007146+0.00031344i,0.00045961+0.00046987i,0.0050009+0.00046561i,-0.002124+0.00081806i,-0.0002283+0.00035136i,0.00091504-0.00042832i,-0.00061706-0.0010063i,0.00096452+0.0020649i,0.00096102+0.0020646i,0.0083601+0.001054i,0.0012243-4.6599e-05i,0.0078293+0.015558i,0.010567+0.033227i,0.036649+0.03412i,0.023449+0.013841i,0.012484-0.015552i,0.014236-0.00082091i,0.0086815+0.025776i,-0.0024716+0.028766i,-0.0032609+0.04098i,-0.024148+0.026144i,0.0053666-0.0050034i,0.0053668+0.001294i,0.007851-0.0020364i,0.010077+0.0071599i,-0.00083498+0.0053267i,-0.012509-0.0056249i,0.0035399-0.01226i,-0.0044841+0.018088i,-0.00081576-0.0031831i,0.000216+0.00091762i,-0.0012706-4.0996e-05i,0.0022286-3.2188e-06i,0.003935-0.0013687i,-0.00533-0.0023661i,0.0037647+0.00032617i,-0.0051515-0.0049651i,-0.0039876+0.00090976i,0.00037139+0.00074882i,-0.00075935-0.0042702i,-0.0011076-0.0044304i,-0.0019852-0.020659i,0.0042453+0.0021914i,-0.004053-0.0014602i,-0.0040692+0.00052198i,-0.0068878-0.00021394i,0.0025358+0.0039374i,-0.0048261-0.0081254i,0.0022209-0.0028973i,-0.0018385-0.0019425i,-0.0023589-0.0027127i,0.0062016+0.0017013i,0.001279+0.0024661i,0.0019265-0.0022051i,-0.0016928+0.0095859i,0.0058085+0.0062625i,0.016344+0.036936i,-0.015059-0.018051i,-0.023688+0.0050322i,-0.015873+0.014522i,0.0041202-0.0047475i,0.014807-0.0087853i,-0.0079315+0.0029388i
0.0066314+0.017886i,0.042326-0.0018797i,0.031542-0.027484i,0.00046104-0.013635i,-0.0037322-0.01719i,-0.0034144-0.02459i,0.020328-0.0099929i,0.030941-0.0069427i,0.011499-0.013333i,0.0075276+0.00031894i,0.0026433-0.0017076i,-0.0015163-0.0024282i,0.0030976-0.0019551i,0.00025274-0.0018881i,-0.0011013-0.0025073i,0.0056602-0.0033251i,-0.0050804-0.0012711i,-0.0014497-0.00091218i,0.0014589+0.00081054i,0.00086238+0.0020553i,-6.1609e-05+0.0020001i,-0.00044829+0.00033961i,0.00099628+0.0019322i,0.00018421+0.0014975i,-0.0021812-0.00057018i,-0.0010763+0.00081427i,-0.0010443-0.00023152i,-0.00016986-0.00093045i,-4.7856e-05-6.2984e-05i,-1.3887e-05-0.0015949i,0.0011825+0.0008862i,0.0015939+0.00079394i,0.0018516+0.00049104i,0.00071933-0.00043176i,0.0011507+0.0002198i,0.0044516-0.00065731i,-0.0018125+0.0016998i,8.1852e-05+0.00044724i,0.00015958-0.00059146i,-0.00057414-0.0015437i,0.0016187+0.0016074i,0.0013181+0.0015413i,0.010856-0.005463i,0.0013032+0.00069781i,0.0083874+0.013622i,0.012793+0.029282i,0.040002+0.026471i,0.024336+0.0085934i,0.0062593-0.017478i,0.015712-0.0001443i,0.015718+0.022512i,0.0079028+0.026499i,0.0086493+0.035201i,-0.016855+0.030728i,0.0038212-0.0056621i,0.0047034-0.0017873i,0.0066995-0.0045443i,0.010311+0.0021693i,0.0005126+0.0047152i,-0.013338+0.0021502i,-0.0017587-0.01123i,-0.00014088+0.016377i,-0.0017469-0.0028773i,4.1996e-05+0.0016118i,-0.0012989+0.00049776i,0.0028884-0.0015076i,0.0047536-0.00060822i,-0.0041723-0.0006851i,0.003852-0.00026274i,-0.0062087-0.0024606i,-0.0019289+0.00083018i,2.4637e-05+0.00035594i,-0.0032145-0.004841i,-0.0025653-0.0036912i,-0.0090168-0.017618i,0.0044557-0.00019628i,-0.0042561+0.00022309i,-0.0029608+0.0017735i,-0.0058833+0.0017019i,0.0040395+0.0034421i,-0.0075981-0.0052889i,0.00077168-0.0045706i,-0.0025545-0.0016103i,-0.0043052-0.0023382i,0.0071059-0.00092116i,0.0025028+0.0024263i,0.0022737-0.0017711i,0.00060344+0.010401i,0.0061156+0.0037647i,0.022983+0.030523i,-0.021962-0.0099137i,-0.026556+0.0096757i,-0.010317+0.016006i,0.001863-0.0026184i,0.0085999-0.0096358i,-0.008653+0.0033525i
