-0.026222-0.0042852i,-0.021447-0.0082562i,-0.015451-0.015685i,-0.037075-0.010778i,-0.027325+0.00096966i,-0.036933-0.002907i,-0.068714-0.03624i,-0.034747-0.014471i,-0.024478+0.0039224i,0.0073809+0.0062288i,-0.0051884+0.0075605i,-0.0079559+0.019223i,0.0068017+0.0075294i,-0.0010679+0.0039101i,0.0043043+0.0044375i,0.0050476+0.026087i,0.021155+0.021096i,0.0010409-0.0007171i,0.00042007-0.0055459i,0.0090367+0.00017065i,0.0056222-0.0012167i,0.0026561+0.0019227i,0.0010929-0.00034819i,-0.022304-8.1599e-05i,-0.0061479-0.0036962i,-0.0011582+0.003293i,0.0030482-0.0032893i,-0.0020019+5.3865e-05i,-0.00086465+0.0010036i,-0.0026863-0.0016255i,-0.0040186-0.00020145i,-0.0063838-0.0085343i,-0.0065994-0.0035697i,-0.00069502-0.0001805i,-0.00057564-0.0023324i,-0.0022305+0.018656i,0.0027975-0.0041143i,0.0013461-0.0045557i,0.0027758-0.0021813i,-0.0012942-0.0038276i,0.001046-0.00024386i,0.0085103+6.9285e-05i,0.0046093-0.0031424i,0.00040708+0.002233i,-0.014625+0.016003i,-0.024331+0.052233i,-0.0098031-0.036446i,-0.016985-0.01917i,-0.040658-0.016144i,-0.028642-0.011174i,0.029825-0.012637i,0.0039376-0.029555i,0.010681-0.038142i,-0.011042-0.029494i,0.024862-0.023627i,0.013836+0.0065006i,0.028481-0.038331i,-0.0013447-0.003931i,0.0054166-0.008742i,-0.00057557-0.0055741i,-0.0015377-0.034445i,-0.010906+0.028713i,0.0083913-0.01228i,-0.0079571-0.0046032i,-0.0026367-0.0022919i,-0.00091057-0.015357i,-0.0074069+0.0065299i,0.0040093+0.005841i,0.0013398+0.02643i,0.0022537-0.0001067i,-0.007104-0.0037956i,-0.0045547-0.0063493i,-0.014664-0.010211i,-0.0030464-0.0056976i,-0.033136+0.0055565i,-0.0057594-0.0081232i,-0.013398-0.00038723i,-0.009267-0.0065205i,0.0011622-0.0018292i,-0.014108+0.0032404i,-0.0016642-0.00066929i,0.0054273+0.0055162i,0.0029238-0.0056174i,-0.010328-0.011721i,0.0080376+0.0079378i,-0.016022+0.005362i,0.0052286-0.00083133i,-0.018642-0.0017942i,-0.015325-0.0031878i,-0.019001-0.034532i,0.019892-0.011044i,-0.040668-0.021674i,-0.0090255+0.0047916i,0.018332+0.015015i,-0.019898+0.017984i,-0.0046998-0.0020239i
0.0078987-0.010761i,0.011853+0.00085994i,0.010258+0.0034985i,0.017394-0.0029105i,0.020135-0.00091384i,0.017188-0.013655i,0.017906-0.0057737i,0.013071-0.00087867i,0.0018772-0.010473i,-0.0013079+0.0026518i,-0.0010437-0.00036424i,-0.0013507+0.00044294i,-0.00075558+0.0045745i,-0.0019347+0.0025915i,0.00073095+0.0024763i,0.00091457-9.0714e-05i,0.0024563-0.0025187i,0.00036961-0.00147i,0.00042855+0.0031837i,2.8692e-05+7.5701e-06i,0.00060036-0.0026835i,-0.0010701-0.0016238i,-0.00065746-0.00028898i,0.0022895+0.0044585i,-0.0020964+0.00061412i,-0.0016386+0.0014929i,-0.0024078+0.00027884i,-0.0019705+0.00019899i,-0.0024774-0.001076i,-0.0025015+0.00058178i,0.00065041-0.0016436i,0.00022468+0.0013808i,0.001421+0.00035341i,0.0016042+0.0004831i,0.00077184-0.00044306i,-0.0082147+0.0060327i,-0.001547-0.00058645i,-0.0012753+0.00027628i,-0.003026-0.00016124i,0.0013075-0.0022181i,0.00015027-0.0012575i,0.00061788-0.0014741i,-0.0013462+0.0015209i,0.002748+6.0745e-05i,0.002013-0.013571i,-0.019909-0.005859i,0.00037225-0.0047513i,-0.0053138+0.0032172i,0.017143+0.020958i,0.0029163+0.0033928i,0.015352-0.013132i,-0.010308-0.025886i,-0.0038859-0.011252i,0.0084996-0.0081666i,0.017595+0.0184i,0.0027059+0.0013201i,-0.0010769+0.00068914i,-0.0050697-0.00045004i,0.010189-0.0034858i,0.012743+0.0081593i,0.0031483+0.0046786i,-0.0038456-0.006138i,0.0056679-0.0035081i,-0.003307-0.0061795i,0.0029974-0.010935i,0.0060476-0.0063785i,-0.00081758+0.0071073i,0.0080587-0.0081436i,0.0042984-0.0078692i,-0.00048545-0.0065219i,-0.0034957-0.0012176i,-0.0063636-0.0061736i,-0.0069739-0.0013505i,-0.00089627-0.0014394i,-0.0072144+0.028651i,-0.0099853-0.0025213i,-0.00011107+0.0029746i,-0.0057743-0.0048168i,-0.00022512+0.00065196i,-0.016111+0.0024119i,-0.0034325+0.0014346i,-0.0019453-0.0017968i,-0.0042598-6.9243e-05i,-0.0060877-0.0035707i,-0.00177+0.0050853i,-0.0013347+0.00185i,-0.0047187+0.0058329i,-0.0061665+0.00062539i,-0.0021537-0.00088455i,0.0096155-0.0029409i,-0.0048614+0.016822i,-0.027691-0.0025081i,-0.0093044-0.003604i,0.010986+0.0153i,-0.0023244+0.01628i,-0.0074947-0.004213i
0.0059095-0.012608i,0.012014-0.0028838i,0.010795+0.002011i,0.016152-0.0050976i,0.019922-0.0044081i,0.014553-0.016404i,0.014793-0.0090311i,0.012696-0.0030515i,-0.00013622-0.010768i,-0.00022671+0.0027568i,-0.00082273+0.00035457i,-0.0013187+0.0016782i,0.00063761+0.0045146i,-0.00090298+0.0031684i,0.0012341+0.0019866i,0.00069752+0.00036502i,0.00099911-0.0028312i,0.00042468-0.0015432i,-0.0010235-0.00082255i,0.00043507-0.00060309i,-0.00011517-0.0027772i,-0.0014851-0.0011922i,-0.00063041-0.00054579i,0.0045981+0.0030825i,-0.0021438+0.0019263i,-0.00087081+0.0021802i,-0.0024424+0.0010208i,-0.0020244+0.00095564i,-0.0033068+0.00026503i,-0.0022051+0.0018564i,-0.00054103-0.0016121i,0.00032261+0.00055167i,0.00097145-0.0002373i,0.0022184-0.00052788i,0.00033385-0.00014448i,-0.0060506+0.008814i,-0.0021979+0.00013204i,-0.0012505+0.0010029i,-0.0031786+0.0011913i,0.00075848-0.0024905i,-5.354e-05-0.0012926i,8.8837e-05-0.0015631i,-0.0012643+0.0018538i,0.0020793-6.8844e-05i,0.00022664-0.013131i,-0.018415-0.0026985i,-0.00063014-0.002585i,-0.0020741+0.0012097i,0.025684+0.013451i,0.0060283+0.00076671i,0.0093965-0.016584i,-0.017912-0.025726i,-0.0079016-0.012036i,0.011032-0.015239i,0.020801+0.01712i,0.00068205+0.0003722i,-0.00015091+0.0029899i,-0.0046413+0.00098213i,0.0072113-0.0068758i,0.014122+0.0040912i,0.005669+0.0049143i,-0.0076537-0.005411i,0.0022127-0.004807i,-0.0043956-0.0042501i,-0.0024168-0.0098988i,0.003202-0.0077782i,0.0025445+0.0054059i,0.0035941-0.0091926i,0.00099814-0.0071004i,-0.0033639-0.003173i,-0.0026042+5.9217e-05i,-0.0078108-0.004026i,-0.0057416+0.00070386i,-0.00048153-0.0008448i,0.0063482+0.027238i,-0.011098+0.0011215i,0.00060502+0.0020818i,-0.0074702-0.0021999i,0.00021898+0.00035147i,-0.013452+0.0092265i,-0.002541+0.002735i,-0.0024212-0.00024228i,-0.0030743+0.00095051i,-0.0067881-0.0006595i,0.00027866+0.0026049i,-0.00044448+0.0014224i,-0.00087524+0.0069384i,-0.00406+0.0024358i,-0.0032162-0.00063447i,0.010097-0.0094696i,-0.0015365+0.018687i,-0.028451+0.0029285i,-0.010538-0.0049193i,0.012717+0.013407i,0.00030002+0.018024i,-0.0093842-0.0031086i
0.0029832-0.013757i,0.0099738-0.0071548i,0.011615-0.00041963i,0.015252-0.0074369i,0.019346-0.0079235i,0.011416-0.019032i,0.011242-0.011694i,0.012062-0.0053134i,-0.0019941-0.010157i,-1.0844e-05+0.0019483i,-0.00051535+0.00033172i,-0.00048559+0.0025348i,0.0017828+0.0037462i,0.00016007+0.0029205i,0.0014353+0.0016694i,0.00071938+0.0006664i,-0.00021886-0.0023983i,0.00021439-0.0018816i,-0.0013752-0.00081305i,6.7777e-05-0.001472i,-0.001071-0.0027989i,-0.001415-0.00063142i,-0.00093891-0.00077151i,0.0052449+0.00040881i,-0.0011923+0.0029457i,-0.00016251+0.0024393i,-0.0022818+0.0022687i,-0.0016362+0.0017432i,-0.0030958+0.0021349i,-0.0013008+0.0028421i,-0.00037513-0.00059044i,-9.5619e-05+0.0011571i,0.00070417-0.00034441i,0.00021-0.001539i,0.00033811+0.00023525i,-0.0031825+0.010467i,-0.0021831+0.0015138i,-0.00073117+0.0014789i,-0.0025633+0.0027265i,-6.116e-05-0.0027706i,-0.00018566-0.001357i,-0.00027495-0.0015282i,-0.00092366+0.002579i,0.0020742+0.0003009i,-0.00085046-0.012485i,-0.012828-0.026088i,0.00033007+0.00019061i,0.00065583-0.0020293i,0.032501+0.0034617i,0.0084275-0.0011766i,0.0033433-0.017355i,-0.024554-0.022562i,-0.01149-0.0099845i,0.0091873-0.02343i,0.018378+0.0001027i,-0.0011227+0.00031167i,-0.00037264+0.0021201i,-0.0048444+0.0017667i,0.0021119-0.0096812i,0.014326-0.00063855i,0.0077941+0.0037096i,-0.011412-0.0028506i,0.00067589-0.0038735i,-0.0049271-0.00178i,-0.0050573-0.0067349i,0.00063927-0.0078041i,0.0044728+0.0045878i,0.00087509-0.0084392i,-0.0023183-0.0060576i,-0.0027558-0.00019944i,-0.0022677+0.00013994i,-0.0093884-0.00096205i,-0.0034983+0.0030426i,-0.0010829-0.0011343i,0.015577+0.01945i,-0.010306+0.0059627i,0.0011944+0.0017066i,-0.0048514+0.00031585i,0.00068631-0.00051566i,-0.006858+0.013577i,-0.00092032+0.0038915i,-0.0027371+0.00052707i,-0.0024576+0.0019942i,-0.0063035+0.0028138i,-0.00071793+0.002118i,-0.00015438+0.00089907i,0.002074+0.0063208i,-0.0027923+0.0017408i,-0.0042311+0.00052138i,0.0067668-0.014678i,0.007269+0.017569i,-0.026636+0.0066153i,-0.012425-0.005729i,0.015562+0.009466i,0.0047687+0.019416i,-0.010448-0.0017244i
9.689e-05-0.013748i,0.0060973-0.009008i,0.011105-0.0032494i,0.013748-0.010128i,0.01781-0.011515i,0.0074421-0.020756i,0.0074346-0.012868i,0.010851-0.0075107i,-0.0033008-0.0094524i,-0.00015829+0.0025445i,-0.00057692+0.00041782i,0.0006058+0.0026993i,0.0020647+0.0028572i,0.00063986+0.002678i,0.0016445+0.0015542i,0.00073627+0.0010243i,-0.00099709-0.0014317i,7.4645e-05-0.0021162i,-0.0011986-0.00059857i,-0.00086649-0.0017896i,-0.0018455-0.0022166i,-0.0013791-0.00044717i,-0.0014528-0.00066286i,0.0045475-0.0017227i,1.1166e-05+0.0033033i,0.00070508+0.0026417i,-0.0010889+0.0034786i,-0.0010268+0.0022378i,-0.0018037+0.0034541i,-1.189e-05+0.0032089i,-0.00049764-0.00033188i,0.00086507+0.0014069i,0.00048231-0.00043828i,-0.00056735-0.00089856i,0.0004187+0.00041489i,-0.000125+0.01112i,-0.0013001+0.0025778i,-0.00026735+0.001646i,-0.0012822+0.0037873i,-0.0011094-0.0026643i,-0.0006011-0.0014906i,-0.00051063-0.0014987i,-0.00014881+0.0030879i,0.0023819+0.00032462i,-0.0013845-0.012619i,-0.013424-0.0032109i,0.0036969+0.0015187i,-0.00034692-0.006363i,0.035081-0.010154i,0.01007-0.0053479i,-0.0023429-0.015269i,-0.03045-0.016832i,-0.01331-0.0054278i,0.003052-0.029713i,0.016346-0.0021874i,-0.0018905+0.0017398i,-0.00040067+0.0043595i,-0.0047833+0.003329i,-0.0040172-0.0079375i,0.012826-0.0058693i,0.0095853+0.0012863i,-0.012439+0.0023145i,-0.00045437-0.0038284i,-0.0040863+0.00023582i,-0.0058361-0.0031391i,-0.001274-0.0073974i,0.0059904+0.0014696i,-0.0015015-0.0077914i,-0.0038742-0.0023583i,-0.0015001+0.0014745i,-0.0023214+0.00059918i,-0.0085988+0.0031116i,-0.0016719+0.0039586i,-0.0018252-0.00085176i,0.02025+0.010192i,-0.0072027+0.010391i,0.0016878+0.00085095i,-0.0033864+0.0018226i,-8.4565e-05-0.0014218i,-0.00043662+0.013249i,0.0014325+0.0034907i,-0.0025133+0.0024388i,-0.001488+0.0030308i,-0.0032551+0.0056511i,-0.00013796+0.0037745i,-0.00045459+0.00030898i,0.004974+0.0048689i,-0.0029869+0.00092738i,-0.0049781+0.0023144i,0.0028334-0.016274i,0.016308+0.0087772i,-0.023443+0.010426i,-0.01579-0.0050396i,0.014624+0.0054152i,0.009898+0.018098i,-0.010188-0.00061638i
-0.0020721-0.013174i,0.0034241-0.008718i,0.0099084-0.0053759i,0.011961-0.012441i,0.015676-0.014594i,0.0036188-0.021677i,0.0041335-0.012782i,0.0093115-0.009215i,-0.0043325-0.0085982i,0.00028606+0.0031162i,-0.00070309+0.00063649i,0.0015482+0.002362i,0.0021141+0.0024792i,0.00094906+0.0024761i,0.0020132+0.0013496i,0.00093663+0.0016614i,-0.0010982-0.00051277i,-0.00052019-0.0025255i,-0.0013839-0.00076317i,-0.0018251-0.0015515i,-0.0023511-0.0017151i,-0.0013385-0.00026984i,-0.0018349-0.00019346i,0.0032328-0.0030837i,0.0012156+0.0032132i,0.0017321+0.0024049i,0.00043637+0.0038834i,-0.00034254+0.0026108i,-0.00017868+0.0039895i,0.0013493+0.0030768i,-0.00034556-8.6732e-05i,0.0020584+0.00056064i,0.00031058-0.00031367i,-0.0004514+3.5122e-05i,0.00061242+0.00093837i,0.0031267+0.010849i,-0.00020546+0.0032034i,0.00011845+0.0018875i,0.00041133+0.0042063i,-0.0018118-0.0021459i,-0.0010418-0.0014805i,-0.0010249-0.0015191i,0.00065029+0.0030765i,0.0025003-0.00025672i,-0.0027244-0.013177i,-0.010327-0.0019227i,0.0077383+0.00044416i,-0.0027658-0.0076185i,0.031404-0.023036i,0.0092735-0.0094995i,-0.0050787-0.01144i,-0.03337-0.008843i,-0.012765+0.00022124i,-0.004954-0.031701i,0.012265-0.0052849i,-0.0014351+0.0029551i,0.0023778+0.0046952i,-0.0041351+0.0047712i,-0.0066924-0.0037083i,0.0089515-0.010645i,0.010103-0.0022631i,-0.011133+0.006018i,-0.0012395-0.002674i,-0.0027483+0.0011708i,-0.0046809-0.0010675i,-0.0038186-0.0062842i,0.0053771-0.00083128i,-0.0037959-0.0062874i,-0.0030963-4.0261e-05i,0.00031187+0.0020159i,-0.0019284+0.0010639i,-0.0057153+0.0059921i,0.0011818+0.0034372i,-0.0019488+0.00044281i,0.020849+0.00076126i,-0.0020823+0.013179i,0.0014001+0.00012616i,-0.0014103+0.0022013i,-0.00091598-0.00095738i,0.0037243+0.011124i,0.0023734+0.0023937i,-0.00068264+0.0042895i,0.00053652+0.0038541i,0.00049744+0.005755i,0.0013144+0.0026649i,-0.0014513+0.00054572i,0.0059634+0.00185i,-0.0038718+0.0011134i,-0.0041599+0.0046101i,0.00022465-0.016407i,0.017189-0.0048831i,-0.017934+0.010801i,-0.018665-0.0027827i,0.014219+0.0023837i,0.014237+0.01395i,-0.011095-0.00068125i
-0.0038338-0.012409i,0.0021206-0.0085066i,0.0088649-0.0071419i,0.0098375-0.014802i,0.013238-0.017362i,-0.00041418-0.022148i,0.0019346-0.011962i,0.0077721-0.01059i,-0.0049694-0.0077684i,0.00093714+0.0032517i,-0.00062903+0.0011357i,0.0023096+0.0018784i,0.002451+0.0024287i,0.0013608+0.0024461i,0.0023885+0.00094045i,0.001458+0.0025319i,-0.00068496+4.3918e-05i,-0.0014982-0.002632i,-0.0019443-0.00059348i,-0.002549-0.00089306i,-0.002622-0.001185i,-0.0012657-0.00015289i,-0.0019795+0.00041566i,0.0014426-0.0039205i,0.0024832+0.0026295i,0.0026355+0.0017507i,0.002028+0.0035198i,0.00063186+0.0028887i,0.0014067+0.003828i,0.0025145+0.0023164i,-0.00017608-4.6804e-06i,-0.0016675+0.0019661i,5.9951e-06+0.00020994i,-3.7262e-05+0.00037552i,0.0018856+0.0017414i,0.0062468+0.0094197i,0.0012612+0.0032778i,0.00085172+0.002045i,0.0020754+0.0038009i,-0.0022577-0.0015382i,-0.001615-0.0012805i,-0.0015738-0.0013139i,0.0013603+0.0029789i,0.0024621-0.00063212i,-0.004257-0.013485i,-0.0077844-0.0028909i,0.010841-0.0030967i,-0.004542-0.0072568i,0.024334-0.033045i,0.006835-0.012366i,-0.0053008-0.0077162i,-0.032398-0.00069564i,-0.0081066+0.0058153i,-0.011855-0.029793i,0.0087657-0.0060182i,-0.00043902+0.0036241i,0.0040563+0.0032358i,-0.0030799+0.0063414i,-0.00726-0.00030749i,0.0027772-0.01356i,0.0081334-0.0061261i,-0.0092378+0.0086885i,-0.00099683-0.0016996i,-0.0018717+0.0010259i,-0.0038069-0.0003614i,-0.0051065-0.003487i,0.0040519-0.0017591i,-0.0056631-0.0038157i,-0.0014556+0.00092999i,0.0019851+0.00092244i,-0.0015055+0.0015904i,-0.0029156+0.0069652i,0.0022847+0.0014951i,-0.00091361+0.0014546i,0.017321-0.0065738i,0.0047274+0.011447i,0.0013406+0.00030453i,-0.00012171+0.0019972i,-0.0011502+0.00020517i,0.0068713+0.0084283i,0.0034773+0.0014104i,0.0022981+0.004034i,0.0021915+0.0029008i,0.0033096+0.0045375i,0.0018657+0.0021096i,-0.0017106+0.0019386i,0.0050782-0.0003301i,-0.0049327+0.0019319i,-0.0021312+0.0056972i,-0.0022802-0.016534i,0.0096638-0.015091i,-0.015242+0.0066053i,-0.021321+0.0012599i,0.012327-0.002221i,0.016151+0.0091898i,-0.012514+0.00038437i
-0.0054069-0.011244i,0.00052048-0.0085992i,0.0072153-0.0095237i,0.0067601-0.017089i,0.010203-0.019913i,-0.004899-0.021539i,0.00063192-0.011271i,0.0060653-0.01209i,-0.005463-0.0070515i,0.0013774+0.0035035i,-0.00043008+0.0014194i,0.0025667+0.00080416i,0.0029522+0.0021315i,0.0018041+0.0023232i,0.0025898+0.00040639i,0.0019883+0.0030605i,-0.00038735+0.00025802i,-0.0026481-0.0023425i,-0.0022257-7.9836e-06i,-0.0031238+0.00013683i,-0.0030694-0.00067727i,-0.0012787-0.00025968i,-0.0019659+0.0010666i,-0.00046945-0.0039137i,0.0033754+0.001274i,0.0031821+0.00077603i,0.0030871+0.0026261i,0.0018218+0.0026769i,0.002981+0.0029956i,0.0032198+0.0010873i,3.2402e-05-3.357e-05i,0.0013421+0.0019292i,5.5072e-06+0.00044833i,0.00043558+0.00045032i,-0.0038656-0.0081392i,0.0088194+0.0067824i,0.0025271+0.0025692i,0.0016128+0.0017108i,0.003586+0.0026829i,-0.0023365-0.00086114i,-0.0021716-0.00073314i,-0.0019784-0.00078509i,0.0023046+0.0026456i,0.0021932-0.00094093i,-0.0062348-0.013542i,-0.006199-0.004809i,0.011549-0.0075417i,-0.0047794-0.0058556i,0.014656-0.039681i,0.0039084-0.013698i,-0.0043813-0.0060571i,-0.028388+0.0042496i,-0.00059701+0.0073306i,-0.016969-0.025614i,0.006298-0.0060252i,0.00075851+0.0035808i,0.0040689+0.0013898i,-0.0012176+0.0071614i,-0.007201+0.0029577i,-0.0047684-0.012598i,0.0047397-0.0078432i,-0.0065872+0.011016i,-0.00031862-0.0022131i,-0.0015547+0.00087775i,-0.0036552-0.00011365i,-0.0047862-0.0013166i,0.0031412-0.0019728i,-0.0072827-0.001156i,-0.00037942+0.000927i,0.0023299-0.0012249i,-0.00099513+0.0020096i,0.00025381+0.0071183i,0.0017731+2.3412e-05i,5.5165e-05+0.0010737i,0.011864-0.010696i,0.0080101+0.0075492i,0.0020232+5.5305e-05i,0.0011028+0.0010574i,-6.9738e-05+0.00074408i,0.0083838+0.0050206i,0.0045454-0.00066551i,0.0041332+0.0026326i,0.0030914+0.0018616i,0.0045204+0.002238i,0.0027912+0.0019056i,-0.00071614+0.0032625i,0.0045263-0.00047049i,-0.0053171+0.0036793i,-0.00030994+0.0054717i,-0.0038781-0.015652i,-0.00072998-0.020579i,-0.018251+0.0033948i,-0.021567+0.0063802i,0.0067871-0.004765i,0.017057+0.0041856i,-0.012312+0.0016337i
-0.0061683-0.010065i,-0.00025659-0.0078667i,0.0046275-0.010911i,0.0027111-0.018416i,0.0065181-0.021758i,-0.0087506-0.019586i,-0.00012631-0.010843i,0.0040453-0.013334i,-0.0057978-0.0066367i,0.0025366+0.0039258i,-0.00019834+0.0019597i,0.0024144+0.00018184i,0.0034759+0.0016726i,0.0023845+0.0021554i,0.0026597-0.00020784i,0.003296+0.002355i,-0.0004027+0.0003869i,-0.0037069-0.0012813i,-0.0021474+0.00056176i,-0.0030338+0.0014949i,-0.0034116+0.00027264i,-0.0018162-0.00037219i,-0.0017052+0.0017446i,-0.0022298-0.0029959i,0.0033694-0.00017585i,0.0031745-0.00041251i,0.0040592+0.0013135i,0.002828+0.0019499i,0.0039026+0.0014088i,0.0033211-0.00022279i,0.00014331-0.00020187i,0.0020343+0.00065343i,0.00041597+0.00068082i,0.00083626+0.00017378i,-0.0007212-0.0012682i,0.010197+0.0034795i,0.0032768+0.0013844i,0.0022167+0.0011757i,0.0044569+0.00088273i,-0.0022624-0.0001749i,-0.0025217+6.3198e-05i,-0.0021348-0.00022562i,0.0030372+0.0018208i,0.0019396-0.0012317i,-0.0082743-0.013013i,-0.0059173-0.007717i,0.010493-0.011143i,-0.0036506-0.0056195i,0.0043185-0.041839i,0.00099859-0.013838i,-0.0038635-0.0050486i,-0.022799+0.0058467i,0.0065166+0.0046653i,-0.019385-0.020288i,0.0048646-0.0056759i,0.0018947+0.0028075i,0.0035978+0.0003874i,0.0013113+0.0070523i,-0.0054863+0.0062617i,-0.010214-0.0075407i,0.0013296-0.0079073i,-0.0032416+0.012188i,-0.0013342-0.0033252i,-0.0015101+0.00098811i,-0.0037859+0.00057803i,-0.0037685+0.00024727i,0.0020964-0.0021138i,-0.0094565+0.0017236i,0.0002269+0.00049037i,0.0004375-0.0026279i,4.2909e-05+0.0022854i,0.003131+0.005296i,0.0016174-0.00088353i,0.00048644+0.0005843i,0.0060618-0.01179i,0.009708+0.0035069i,0.0022352-0.00085287i,0.00083433+3.9057e-05i,0.0010617+0.00050576i,0.0083664+0.0020369i,0.003805-0.0035855i,0.0056607+0.0007997i,0.0039807+0.00058453i,0.0048384-8.872e-05i,0.0034927+0.00089106i,0.0008968+0.0035414i,0.0038776-0.0020066i,-0.0046643+0.0057858i,0.0012619+0.004637i,-0.0039753-0.015001i,-0.012496-0.02072i,-0.022178+0.004254i,-0.018762+0.011319i,0.002414-0.002958i,0.014709-0.0020609i,-0.011717+0.0019606i
-0.0066793-0.0094212i,-0.00037386-0.0082126i,0.0022961-0.011162i,-0.0012803-0.018157i,0.0026236-0.022817i,-0.011486-0.017251i,-0.000559-0.011249i,0.0017567-0.014239i,-0.0062847-0.0062771i,0.0040133+0.0033724i,0.00060443+0.0024364i,0.0022648-9.7794e-05i,0.0040176+0.00082949i,0.002932+0.001686i,0.0026046-0.00086708i,0.0036631+0.0015128i,-0.00021712+0.00066309i,-0.0039441+0.00017437i,-0.0020989+0.00098251i,-0.002326+0.002435i,-0.0033391+0.0012499i,-0.0023678+0.00025566i,-0.0011423+0.0023016i,-0.0034869-0.0013288i,0.0029009-0.0012521i,0.0027819-0.0014462i,0.004302-0.00049608i,0.0034754+0.00079951i,0.0038778-9.5564e-05i,0.0029916-0.0014175i,0.00018874-0.00029689i,0.0017918-0.0002762i,0.0010325+0.00047284i,0.00090341-0.00024444i,-0.00043787-0.00051755i,0.0099856+0.0002174i,0.0034572+3.4697e-05i,0.0026902+0.00035451i,0.004301-0.0010567i,-0.0019299+0.00043686i,-0.0023137+0.00097652i,-0.0021881+0.0003028i,0.0032847+0.00076906i,0.0015796-0.0014632i,-0.010268-0.012182i,-0.008384-0.010315i,0.0082374-0.014434i,-0.0031309-0.0065546i,-0.0043744-0.041251i,-0.0010824-0.012273i,-0.0029523-0.0041356i,-0.018797+0.0077526i,0.010517-0.00046089i,-0.019192-0.015234i,0.0037632-0.0064777i,0.0023494+0.001411i,0.0035994-0.00069788i,0.003716+0.0056663i,-0.0022745+0.0073786i,-0.011821-0.0015473i,-0.0015083-0.0069904i,7.8248e-05+0.011929i,-0.0034744-0.0030155i,-0.0018494+0.0015161i,-0.0036699+0.0016125i,-0.0028556+0.0011181i,0.0015087-0.0010994i,-0.036672+0.0060602i,8.8465e-05-1.046e-05i,-0.00099145-0.0018146i,0.0011009+0.0019818i,0.0042057+0.0028316i,0.0018844-0.0015255i,0.00086972+0.00050363i,0.0013309-0.011085i,0.009918-0.00082734i,0.0018938-0.0018405i,0.00052029+1.2845e-06i,0.0018247-0.00044586i,0.0081139-0.00013015i,0.0012722-0.0052621i,0.0061104-0.002215i,0.0039781-0.00141i,0.0042104-0.0027698i,0.0038579-0.00033917i,0.0020809+0.0032372i,0.0023505-0.0022651i,-0.0029112+0.0070572i,0.0020751+0.0032849i,-0.0039493-0.016082i,-0.022702-0.015036i,-0.025227+0.0073671i,-0.014395+0.012975i,0.0015591-0.0010235i,0.0084424-0.0030886i,-0.012969+0.0025504i
-0.0079456-0.0089308i,-0.0011156-0.0092394i,0.00055156-0.011097i,-0.0047012-0.016917i,-0.0014455-0.023379i,-0.014059-0.014757i,-0.0014494-0.012683i,-0.00086518-0.014725i,-0.0070023-0.0059159i,0.0050426+0.0022722i,0.0017381+0.0024054i,0.0022032-0.00025797i,0.0041823-0.00032106i,0.0034764+0.0010611i,0.0023183-0.0015393i,0.004286+0.0007562i,5.664e-05+0.00081838i,-0.0037083+0.0013744i,-0.0018745+0.0016134i,-0.0013884+0.003041i,-0.0029822+0.0023527i,-0.0023707+0.0013003i,-0.00053555+0.0025644i,-0.0037295+0.00069688i,0.0022851-0.0020313i,0.0020094-0.0022307i,0.0036527-0.002207i,0.0035397-0.00056133i,0.0034651-0.0014078i,0.0022131-0.0024555i,0.00024159-0.00048028i,0.0014749-0.00061392i,0.0012613-0.00012765i,0.00083825-0.00058636i,-6.3297e-05-0.00046703i,0.0089439-0.0024433i,0.0032579-0.0012739i,0.002898-0.00074892i,0.0033198-0.0025995i,-0.0013765+0.00095572i,-0.0018426+0.0018336i,-0.0020615+0.00092606i,0.0031138-0.00013549i,0.0012158-0.0012197i,-0.012264-0.011014i,-0.012203-0.010148i,0.0054222-0.016192i,-0.003495-0.006703i,-0.012569-0.039962i,-0.0013076-0.01038i,-0.0018449-0.0041794i,-0.014402+0.0091847i,0.012621-0.0065658i,-0.017187-0.012267i,0.0022463-0.0074558i,0.0017314-0.00059101i,0.0030955-0.002049i,0.0044869+0.003181i,-0.0002107+0.006887i,-0.01119+0.0038731i,-0.0038436-0.0051035i,0.0025062+0.010131i,-0.0050919-0.0012281i,-0.0017456+0.0027667i,-0.0031406+0.0027511i,-0.0013265+0.0015365i,0.002365+0.00036316i,-0.002278+0.004206i,0.00016168+0.00043929i,-0.0013703-0.0010745i,0.0018334+0.0013436i,0.0041796+0.00068812i,0.00068844-0.0028878i,0.0013053-3.7486e-06i,-0.0024375-0.0097892i,0.0083505-0.0044292i,0.0010528-0.0025597i,0.0010625-0.00031363i,0.0015752-0.001665i,0.0077053-0.002452i,-0.0012126-0.0049177i,0.0047233-0.0051433i,0.0026024-0.0027239i,0.0018905-0.0044328i,0.0037262-0.0017284i,0.0031768+0.0024942i,0.0018654-0.0019741i,-0.00075774+0.007296i,0.0017628+0.0017693i,-0.005001-0.017934i,-0.02706-0.0056675i,-0.027096+0.012376i,-0.011124+0.013468i,0.00066154+0.00037641i,0.010214+0.0067726i,-0.013446+0.0043047i
