-0.030374-0.04139i,-0.021689-0.020239i,-0.012791-0.036862i,-0.030094-0.021079i,-0.022457-0.001078i,-0.014469-0.0067728i,-0.056096-0.061946i,-0.047898-0.018952i,-0.038231-0.014759i,0.011218+0.013034i,-0.0077408+0.0053913i,-0.020413+0.019344i,0.0024875+0.011971i,-0.0060763-0.0034817i,0.00021692+0.0013518i,-0.0018351+0.031332i,0.028459+0.028828i,0.0027134-0.0020953i,-0.0019536-0.006836i,0.0082685+0.0027163i,0.0028249+0.0011525i,8.4773e-05+0.0039866i,-0.00029037+0.00020049i,-0.037762-0.012205i,0.00029576-0.0079479i,0.0015145+0.0023433i,0.0066466+0.001682i,0.0020561+0.00054674i,0.0013493-0.00057716i,-0.00031563-0.00271i,0.001638-0.0026088i,-0.0026447-0.0060066i,-0.00063274-0.005045i,0.0030474-0.0007782i,0.00482-0.0027433i,0.0021347+0.031815i,0.0044778-0.0036657i,0.0032917-0.0017321i,0.0085286-0.0011395i,-0.0051746-0.0022833i,-0.00010504+0.0010148i,0.009766+0.00021348i,0.0043624-0.0022302i,-0.0018917+0.0096204i,-0.018026-0.0070747i,-0.018236+0.015869i,-0.0014465-0.062479i,-0.0045095-0.0272i,-0.025827-0.033128i,-0.010865-0.027036i,0.056589-0.018844i,0.018341-0.042882i,0.023271-0.048801i,0.0063411-0.055025i,0.026899-0.020756i,0.0084087+0.0062803i,0.025724-0.033623i,-0.0081015-0.0069334i,0.0035452-0.0047203i,-0.0044235-0.0073446i,-0.0016129-0.03396i,-0.018465+0.029829i,0.0086797-0.011758i,-0.0095111-0.0041496i,-0.0041652-0.0019259i,0.0010522-0.013352i,-0.011162+0.0040895i,0.0026594+0.010158i,-0.0051973+0.027554i,0.0044712+0.0025826i,-0.0054605-0.0017259i,-0.0018716-0.0024598i,-0.012337-0.0078327i,-0.00037942-0.0045619i,-0.036352+0.00048825i,0.0012886-0.010511i,-0.0084969-8.3009e-05i,-0.006952-0.0023819i,0.0053461+0.0013548i,-0.0083109-0.00061443i,0.002491+5.877e-05i,0.0035772+0.0074641i,0.0043639+0.00059041i,-0.0076013-0.013454i,0.0023478+0.0094842i,-0.015553+0.0046151i,0.0071727-0.00036354i,-0.02236-2.2547e-05i,-0.017988+0.0059356i,-0.0073874-0.066618i,0.0083353-0.012575i,-0.048572-0.023835i,-0.021489+0.00032791i,0.017621+0.01188i,-0.023529+0.014616i,-0.019232-0.0055462i
0.029918+0.035348i,0.013752+0.016822i,0.01752+0.025836i,0.00685+0.02031i,0.008948+0.0083395i,0.0048804-0.00059683i,0.015328+0.014057i,0.016542-0.0013851i,0.0078655-0.0077679i,0.0013833+0.0037786i,0.0022771-0.0024284i,0.00084647-0.0053555i,-0.0017514+0.00064097i,0.0014957-0.0014687i,0.0020185-0.0007001i,0.0055268-0.0028041i,0.0056817-0.0073892i,0.00020276+0.00070292i,-0.0040255+0.00086855i,0.00010439+0.00057914i,-0.00090882-0.0014193i,-0.0025839-0.0011544i,-0.0016472+0.00087225i,0.0065133+0.010145i,-0.0011524+0.0018934i,0.00078489+0.00191i,0.0011882+0.0010303i,-0.0018489+0.0027852i,-0.0010903+0.00019495i,-0.0012868+0.00057274i,-0.0012831-0.0013028i,-0.0018367-0.00092648i,-9.3516e-05+0.00037575i,0.00057276+0.0006394i,-7.5238e-05-0.00083053i,-0.0094169+0.010893i,0.0017447+0.00010029i,0.00072366+0.00089379i,0.00071712+0.0023904i,0.00091038-0.0012509i,-8.4918e-05-0.00042929i,-0.0009262-0.00037063i,-7.8736e-05+0.001562i,-0.00018774+0.0013935i,0.019525+0.0144i,-0.026085+0.014492i,-0.013203+0.017373i,-0.023116+0.010815i,-0.0044989+0.038599i,-0.021157+0.017708i,0.0021254-0.0049581i,-0.012235-0.017354i,-0.018683-0.00037453i,-0.0069943+0.015807i,0.017854+0.021233i,-0.00041665+0.0025066i,-0.0038805+0.0011304i,-0.01279-0.0046786i,0.011721+0.0014392i,0.012408+0.010152i,-0.00070035+0.0056517i,-0.004708-0.0071254i,0.005839-0.0030583i,-0.0032902-0.0041735i,0.0037374-0.0085736i,0.0090294-0.002615i,-0.0015211+0.010594i,0.012507-0.0063545i,0.0035696-0.0081157i,0.0030738-0.0086218i,0.0024083+0.0006867i,-0.0025294-0.0058857i,-0.0037077-0.0017361i,0.0024661+3.7164e-05i,-0.0095158+0.037028i,-0.007253-0.005748i,0.00014611+0.001238i,-0.00099911-0.0073204i,0.003265-0.00027257i,-0.018371-0.0072862i,-0.0018341-0.003749i,0.0029592-0.002309i,0.0034494-0.0014494i,-0.0031271-0.0081871i,-0.00032552+0.007364i,0.00016944+0.0033632i,-0.0031714+0.0049436i,-0.0077557+0.0011954i,-0.0068929-0.00075837i,-0.0077416+0.025655i,-0.00261+0.01494i,-0.02666-0.010668i,-0.001303-0.0027334i,0.014456+0.018624i,-0.00066851+0.018832i,-0.00045201-0.0047129i
0.035073+0.028536i,0.016797+0.013131i,0.021964+0.022793i,0.010267+0.019771i,0.01121+0.0069594i,0.0050968-0.0020819i,0.015635+0.010412i,0.016005-0.0041337i,0.0058863-0.0092737i,0.0023432+0.0029277i,0.0021385-0.0025915i,-0.0012343-0.0037073i,-0.0012535+0.0013646i,0.001243-0.00041644i,0.0018342-0.0010335i,0.0042692-0.0031948i,0.0029742-0.0078066i,0.00074333+0.00062386i,-0.0035359+0.001473i,0.00038463-3.5199e-05i,-0.0010848-0.0014865i,-0.0026777-0.0005839i,-0.0013037+0.0010132i,0.011627+0.0065135i,-0.00089828+0.0029811i,0.0016953+0.0013446i,0.0010629+3.6535e-05i,-0.00065267+0.0030381i,-0.0015657+0.00073533i,-0.0010857+0.0012094i,-0.0017826-0.00056946i,-0.0023333-0.00079205i,-0.00021552+0.00025265i,0.00070021+0.00040259i,-0.00087976-7.1239e-05i,-0.0051564+0.012693i,0.0013454-0.00055878i,0.0010173+0.00076311i,0.0014135+0.0015923i,0.00039887-0.0011931i,-0.00017434-0.00069084i,-0.0012316-4.8784e-05i,8.4983e-05+0.0017413i,-0.00038422+0.0017077i,0.022786+0.011229i,-0.02103+0.018372i,-0.012042+0.020326i,-0.01843+0.012781i,0.0074157+0.034742i,-0.013587+0.017972i,-0.0048973-0.0086236i,-0.019843-0.018326i,-0.021708-0.0001591i,-0.0005091+0.011024i,0.021465+0.014206i,-0.00078828+0.002409i,-0.0026541+0.0048144i,-0.01282-8.0616e-05i,0.010355-0.0028379i,0.014148+0.0066721i,0.0023357+0.00835i,-0.0087246-0.0059949i,0.0016893-0.0045912i,-0.0034399-0.0021155i,-0.0014295-0.0079629i,0.0071989-0.0054068i,0.003264+0.0086448i,0.0073918-0.008956i,-0.0010958-0.007682i,-0.0010114-0.0057289i,0.0038345-9.1202e-05i,-0.0038697-0.0048922i,-0.0021968+0.00084062i,0.0031233-0.00029024i,0.0096277+0.03524i,-0.008993-0.0037278i,0.0010053+0.00049584i,-0.004157-0.0058668i,0.0038209-0.0015765i,-0.018966+0.0013284i,-0.0023445-0.0026657i,0.0016198-0.0023771i,0.0033924-0.0031049i,-0.00528-0.0064778i,0.0020136+0.0037591i,0.0014635+0.0025889i,-0.00025899+0.0061955i,-0.0061112+0.0039555i,-0.0074757+0.00046505i,-0.0021684+0.022254i,-9.3763e-05+0.016381i,-0.028846-0.0044424i,-0.0029752-0.0066209i,0.017135+0.01566i,0.0026961+0.020067i,-0.0030282-0.0051893i
0.038418+0.020964i,0.018078+0.0083102i,0.026714+0.017272i,0.015109+0.017061i,0.013642+0.0047749i,0.004798-0.0038469i,0.015238+0.0067314i,0.01517-0.0072312i,0.0039071-0.0096309i,0.0025489+0.0020891i,0.0015628-0.0034857i,-0.0015204-0.0017421i,-0.00068074+0.0014274i,0.0019817-0.00040824i,0.0015771-0.0013491i,0.0031533-0.0034834i,0.00057927-0.0076306i,0.0008185+3.4398e-05i,-0.0029356+0.0023253i,2.3623e-05-0.00078882i,-0.0020285-0.0017733i,-0.0023887-1.2651e-05i,-0.001066+0.0011175i,0.01298+0.00028934i,0.00035377+0.0034554i,0.0018574+0.00033886i,0.00047816-0.00041554i,0.0005179+0.0027182i,-0.0012878+0.0016105i,-0.00060235+0.0017493i,-0.0018956+0.00044952i,-0.0033093+0.00068688i,-0.00018948+0.00028272i,0.00072418+0.00016283i,-0.00073079+0.00098709i,-0.0010438+0.012996i,0.00088954-0.00065167i,0.001258+0.000236i,0.0015588+0.0010234i,-9.728e-05-0.0011495i,-0.00055579-0.00093048i,-0.0013351+0.00019889i,0.00041237+0.002147i,5.9474e-05+0.0022719i,0.026431+0.0068649i,-0.015689+0.020966i,-0.0088075+0.02369i,-0.01283+0.012718i,0.018021+0.027223i,-0.0070453+0.018253i,-0.012636-0.007738i,-0.026576-0.015662i,-0.023788+0.003449i,0.0026086+0.0040513i,0.022045+0.0063996i,-0.0012012+0.0022412i,-0.00099946+0.0049631i,-0.012773+0.003046i,0.0065178-0.0074219i,0.014726+0.0023208i,0.0062033+0.008313i,-0.011714-0.0030038i,-0.00022757-0.0027608i,-0.003362-0.00036319i,-0.0039573-0.0052068i,0.0049112-0.0067228i,0.0062067+0.0074619i,0.0043476-0.0086528i,-0.0046305-0.0049205i,-0.0011683-0.0026236i,0.0043408-0.0024086i,-0.0061415-0.0032006i,-8.4603e-05+0.00092356i,0.0025727-0.0016296i,0.023514+0.024657i,-0.010509-0.00012657i,0.0015273-0.00015569i,-0.0039712-0.0036715i,0.0041143-0.0037162i,-0.014716+0.0090058i,-0.0023053-0.001624i,0.00058149-0.0025138i,0.0017588-0.0038259i,-0.0072556-0.0036805i,0.0014754+0.0025304i,0.0020352+0.0014688i,0.0026784+0.0054783i,-0.0038397+0.0047309i,-0.0078302+0.0024741i,0.00016894+0.018177i,0.0070916+0.016094i,-0.028622+0.00015516i,-0.006013-0.0092899i,0.020039+0.010301i,0.0077172+0.020606i,-0.0052861-0.0043667i
0.03964+0.013753i,0.017424+0.004559i,0.028526+0.010263i,0.018222+0.011834i,0.015238+0.001315i,0.0035662-0.0053545i,0.014078+0.0042302i,0.013251-0.010194i,0.0026514-0.010045i,0.0024525+0.0017455i,0.00022405-0.0034182i,-0.00086737-0.00081674i,-0.00054275+0.0015381i,0.0019375-0.00056483i,0.0010987-0.0015501i,0.001983-0.0032762i,-0.0013064-0.0063676i,0.00080331-0.00015754i,-0.001522+0.0028886i,-0.00073268-0.00094582i,-0.0026716-0.00070691i,-0.0022825+0.00051063i,-0.00082761+0.001246i,0.010805-0.004849i,0.0015557+0.0032601i,0.0015045-0.00027655i,0.00016838-0.00028906i,0.0010775+0.0020126i,-0.00047987+0.0017593i,0.00014341+0.0018793i,-0.0015261+0.0014345i,-0.0024864+0.0023502i,-0.00014443+0.00025313i,0.00052269-3.9901e-05i,-0.00016175+0.0014093i,0.0028055+0.012059i,0.00072601-0.00069027i,0.0010418-0.00032486i,0.0013958+0.00091753i,-0.00073442-0.00095695i,-0.0011378-0.00080123i,-0.001406+0.00044787i,0.0010354+0.0024287i,0.00080298+0.0025171i,0.028837+0.00016941i,-0.0096895+0.022543i,-0.0039766+0.026238i,-0.010348+0.010118i,0.025793+0.015292i,-0.00032093+0.014596i,-0.019453-0.0025392i,-0.033336-0.0098741i,-0.023919+0.0085805i,0.0013434-0.0025657i,0.020491-0.00081867i,-0.0015229+0.0030638i,0.00019943+0.0065083i,-0.012027+0.0070694i,0.0001104-0.0076232i,0.014138-0.0026084i,0.0097995+0.006405i,-0.013096+0.0015399i,-0.0010296-0.0019439i,-0.0025197+0.00097672i,-0.0050082-0.0017175i,0.0028371-0.0075544i,0.0087382+0.0038474i,0.0020969-0.0087222i,-0.0056663-0.00030313i,-0.00012462-0.00147i,0.0029184-0.0046849i,-0.0066829+4.2543e-05i,0.00095783+0.0005775i,0.0017135-0.0025991i,0.029797+0.010036i,-0.009425+0.0047397i,0.0018016-0.0012726i,-0.0040181-0.002135i,0.0023729-0.006142i,-0.0082663+0.011713i,-0.0019591-0.0010272i,-0.00014262-0.0017386i,0.00047735-0.0037436i,-0.0069435-0.00018988i,0.0013969+0.0021638i,0.0018202+0.00041075i,0.0050689+0.0037931i,-0.0017962+0.0040982i,-0.0077386+0.0044534i,0.0013709+0.016641i,0.015766+0.0092707i,-0.026537+0.0050531i,-0.011317-0.010198i,0.018902+0.0047539i,0.013215+0.01861i,-0.0056727-0.0032701i
0.040366+0.0072456i,0.017312+0.0022525i,0.028616+0.0044035i,0.019518+0.0064914i,0.015551-0.0023408i,0.0022069-0.0063056i,0.013251+0.0029988i,0.010803-0.012384i,0.0014709-0.010737i,0.002664+0.0014178i,-0.00075602-0.0027624i,-0.00024909-0.00073141i,-0.00032543+0.0019672i,0.0019249-0.0010014i,0.00067885-0.0014465i,0.0015054-0.0024671i,-0.0020123-0.0051804i,0.00062064-0.00028312i,-0.00034631+0.0025687i,-0.0013437-0.00060575i,-0.0027679+3.3717e-05i,-0.001797+0.0011414i,-0.00051989+0.0014079i,0.0070984-0.0078887i,0.0025806+0.0027065i,0.0012444-0.00063145i,-0.00011113-0.00012201i,0.0013746+0.0014637i,-2.1487e-05+0.0017349i,0.00094391+0.0017278i,-0.0006554+0.0020072i,-0.0013199+0.0032109i,-0.00026289+0.00022614i,0.00040635+9.8991e-05i,0.00059634+0.0016231i,0.0056635+0.010294i,0.00035063-0.00076708i,0.00062844-0.00065905i,0.0015711+0.00084111i,-0.00094711-0.0004451i,-0.001484-0.00056779i,-0.001534+0.00087563i,0.0018686+0.0022316i,0.0011264+0.0019931i,0.028417-0.007157i,-0.0031232+0.022271i,0.002702+0.027016i,-0.0096353+0.0095564i,0.026659+0.0021151i,0.0022823+0.0092047i,-0.022062+0.006169i,-0.036546-4.1554e-05i,-0.022561+0.01488i,-0.003155-0.0064006i,0.015446-0.0057122i,-0.00087966+0.0040665i,0.0038487+0.0062517i,-0.0093974+0.010654i,-0.0033602-0.004233i,0.011104-0.0084092i,0.012545+0.0027413i,-0.012989+0.005706i,-0.0010713-0.00018461i,-0.0014315+0.0016403i,-0.0031475+0.00046331i,-0.00046061-0.0072885i,0.0088659+0.00046821i,-0.00024118-0.0080862i,-0.0036616+0.0030388i,0.0008128-0.0017314i,0.00065898-0.0056592i,-0.0050173+0.0026239i,0.0020633-0.00038534i,0.001038-0.0027031i,0.028563-0.0036965i,-0.005306+0.0075613i,0.0012122-0.002384i,-0.0031632-0.0016348i,-0.00016622-0.0070116i,-0.0035652+0.011438i,-0.0019212-0.00050543i,-0.00010253-0.00045936i,0.00019007-0.0031438i,-0.0046871+0.0020251i,0.001858+0.0020654i,0.00099717-0.00013019i,0.0058683+0.0010693i,-0.001304+0.0023734i,-0.0065732+0.0067704i,0.0032876+0.015999i,0.017858-0.0033097i,-0.022253+0.0063446i,-0.016532-0.0081862i,0.017596+0.0004217i,0.0173+0.013146i,-0.006445-0.0032194i
0.040352+0.00047916i,0.017608-0.00056608i,0.028516-0.0013687i,0.019946+0.0010121i,0.01536-0.0057679i,0.00065885-0.0069764i,0.013683+0.0021102i,0.0082042-0.014054i,-4.3593e-05-0.011635i,0.0025332+0.00088535i,-0.00091027-0.0020249i,6.1206e-05-0.0008361i,0.00041616+0.0024319i,0.0016823-0.0012281i,0.0004912-0.0013832i,0.0018353-0.0018044i,-0.0024865-0.00482i,0.00069286-0.00040409i,0.00034045+0.0019302i,-0.0016368-7.3054e-05i,-0.0022959+0.00071843i,-0.0010109+0.0013189i,-0.00013931+0.0014637i,0.002582-0.0091744i,0.0035708+0.0017535i,0.00090165-0.00099515i,-0.00016288-5.9278e-05i,0.0015583+0.0010045i,0.00044709+0.0017026i,0.0015047+0.0011107i,0.00034274+0.0020857i,0.00011434+0.0035797i,-0.00029198+0.00050952i,0.00058163+4.8214e-05i,0.0011871+0.0012221i,0.0074362+0.0081181i,4.2575e-05-0.00065002i,0.0002659-0.00062984i,0.0015665+0.0004554i,-0.00068691-5.3573e-05i,-0.0019093-5.2162e-05i,-0.0014098+0.0011816i,0.0024957+0.0018314i,0.0013833+0.0019355i,0.026025-0.013942i,0.0026508+0.01993i,0.0091337+0.024861i,-0.0085339+0.010221i,0.023466-0.0086759i,0.0019623+0.0055038i,-0.019402+0.015132i,-0.034263+0.010843i,-0.017022+0.022236i,-0.0082046-0.0056847i,0.010758-0.0071859i,0.00041939+0.0044871i,0.0060927+0.0037862i,-0.0056807+0.013628i,-0.0044621-0.001465i,0.0050428-0.012863i,0.01266-0.0025674i,-0.011452+0.0093299i,0.0001458+0.00085214i,-0.00040055+0.0016073i,-0.0015629+0.00086449i,-0.0022018-0.005293i,0.0075384-0.0020547i,-0.0018161-0.0067151i,-0.00071291+0.0040093i,0.0010534-0.0030541i,-0.0015415-0.0051726i,-0.0032425+0.0034376i,0.00187-0.0020257i,0.00083025-0.0029048i,0.022188-0.014342i,-0.0011852+0.0078793i,0.0001288-0.0024664i,-0.0035136-0.0011633i,-0.0031013-0.0063664i,-9.7159e-05+0.010651i,-0.0012821+6.1998e-06i,0.0011496-0.00027512i,-0.00025984-0.0037421i,-0.0021912+0.0025487i,0.0020766+0.0017951i,0.00027375+0.00031891i,0.0049884-0.00075855i,-0.0022651+0.0013163i,-0.0041994+0.0083056i,0.0057957+0.014787i,0.012115-0.013396i,-0.020439+0.003358i,-0.021175-0.0034917i,0.014205-0.0044643i,0.018188+0.007673i,-0.0072923-0.0023366i
0.039065-0.0061899i,0.016988-0.0038838i,0.026302-0.0081908i,0.018159-0.0053058i,0.014476-0.0096078i,-0.0011173-0.007049i,0.014865+0.00043109i,0.0053667-0.015508i,-0.0020717-0.011959i,0.0021886+0.0011176i,-0.0012858-0.0017427i,-1.5406e-05-0.0016248i,0.0012527+0.0023374i,0.0013575-0.0015375i,0.0002806-0.0013183i,0.0023401-0.0018696i,-0.0036325-0.0043954i,0.00029239-0.00074508i,0.00082244+0.0012338i,-0.0018385+0.0005369i,-0.0021483+0.00095816i,-0.00037912+0.00094685i,0.00020217+0.0014047i,-0.0017337-0.0084296i,0.0040253-8.5146e-05i,0.00037327-0.0010902i,-0.00054394+0.00016822i,0.0015764+0.00056376i,0.0011303+0.0014231i,0.0016709+0.00035795i,0.0012709+0.0017433i,0.0012995+0.0035014i,-0.00027105+0.0008083i,0.00058897-4.4125e-05i,0.0013524+0.00063588i,0.0085683+0.0060012i,-0.00022707-0.00051474i,-0.00011591-0.00057261i,0.0017447+0.00019342i,-0.0002173+5.8573e-05i,-0.0020145+0.0007687i,-0.0011627+0.0016366i,0.0031685+0.0011266i,0.0014718+0.0018251i,0.022104-0.019803i,0.0070176+0.016064i,0.013934+0.021081i,-0.0058682+0.011393i,0.017422-0.01665i,0.00066497+0.0038002i,-0.013216+0.020724i,-0.026943+0.018543i,-0.0077918+0.026034i,-0.011217-0.002146i,0.0073341-0.0070683i,0.0016742+0.0041148i,0.005885+0.00063586i,-0.00091416+0.01444i,-0.0050011+0.00093816i,-0.0038255-0.012745i,0.01003-0.0067509i,-0.00865+0.012187i,0.001754-0.00022716i,0.00034685+0.0013059i,-0.0010599+0.00031662i,-0.0022521-0.0036866i,0.0060328-0.0029631i,-0.0026869-0.0060978i,0.0012852+0.0034781i,6.7136e-06-0.0048859i,-0.0032375-0.003919i,-0.001307+0.0039485i,0.00054215-0.0031894i,0.00038543-0.0036285i,0.013021-0.01977i,0.0020802+0.0066191i,-0.0003713-0.0023644i,-0.0030061-0.00096368i,-0.0049622-0.0049473i,0.0024569+0.009323i,-0.00049667-0.00064419i,0.0018154-0.0010174i,-0.001607-0.0037353i,-0.0008148+0.001892i,0.003068+0.0015414i,0.00029478+0.0013077i,0.0041544-0.0017365i,-0.003494+0.0015802i,-0.0019933+0.0084775i,0.0085306+0.013753i,0.0035915-0.019443i,-0.023738+0.0012399i,-0.022332+0.0033296i,0.0077313-0.0066478i,0.018205+0.0026749i,-0.007114-0.0020429i
0.036862-0.012224i,0.01641-0.0062615i,0.022091-0.012774i,0.013565-0.0098132i,0.012303-0.013244i,-0.0026117-0.006603i,0.016152-0.0020899i,0.0020973-0.016262i,-0.0038756-0.012151i,0.0027669+0.0015781i,-0.0016054-0.00090822i,-0.00095809-0.0018496i,0.0020277+0.0019925i,0.00094287-0.0016198i,0.00010592-0.0012393i,0.0026268-0.0021872i,-0.0050306-0.0031244i,-5.0666e-05-0.00064515i,0.00092707+0.00057306i,-0.0015935+0.0013588i,-0.0017921+0.0016373i,-0.00053457+0.00039361i,0.00051803+0.0012893i,-0.0049271-0.0056299i,0.0031827-0.0016139i,-5.4552e-05-0.00096523i,-0.00052714+0.00064945i,0.0015015+0.00028268i,0.0013781+0.00068452i,0.0014993-0.00028194i,0.0019377+0.00099198i,0.0025112+0.0027664i,0.00012255+0.0011965i,0.00059865-0.00011892i,0.0010762+0.00065418i,0.0092143+0.0036455i,-0.00037328-0.00036173i,-0.00035407-0.00028439i,0.0018981-0.00017506i,0.00016745+2.3453e-05i,-0.0016542+0.0016457i,-0.00051951+0.0020434i,0.0033873+1.2751e-05i,0.0016037+0.0018188i,0.016755-0.024272i,0.0097072+0.011456i,0.017053+0.016904i,-0.0022912+0.010899i,0.01029-0.02093i,-0.00048922+0.0038952i,-0.0061547+0.023211i,-0.018907+0.021426i,0.0022704+0.025503i,-0.011128+0.0026943i,0.0055939-0.006734i,0.002859+0.0033761i,0.0045125-0.0012802i,0.004389+0.013262i,-0.0042388+0.004111i,-0.01047-0.0072153i,0.0061988-0.0089388i,-0.005096+0.013865i,0.0014094-0.0021963i,0.00076988+0.00082408i,-0.0012175+0.00026779i,-0.0018579-0.0027299i,0.0047904-0.0037028i,-0.0040864-0.0051328i,0.0025317+0.0022433i,-0.0032215-0.0055744i,-0.0039303-0.0021643i,0.0010404+0.0030039i,-0.00036623-0.0035333i,-0.0007539-0.0041078i,0.003911-0.020544i,0.0040593+0.0045686i,-0.00090645-0.0025051i,-0.0038325-0.00074819i,-0.0062185-0.0026328i,0.0040902+0.0078505i,-0.00093663-0.001853i,0.0021527-0.0019701i,-0.0023223-0.0027989i,9.9078e-05+0.00097023i,0.003479+0.00065388i,0.0011831+0.0017895i,0.0026881-0.002394i,-0.0043757+0.0027213i,-0.00014087+0.0078857i,0.012392+0.012424i,-0.0075472-0.021585i,-0.027595+0.0032184i,-0.019712+0.0096566i,0.0029365-0.0041593i,0.015948-0.002214i,-0.007237-0.0030749i
0.034042-0.018049i,0.015907-0.0094323i,0.018378-0.01543i,0.0090369-0.011148i,0.0092934-0.016187i,-0.003622-0.0059356i,0.017366-0.0058703i,-0.0011592-0.016232i,-0.0059279-0.012023i,0.0037673+0.0011664i,-0.0011289-0.00023978i,-0.0017104-0.0010131i,0.0026026+0.0011735i,0.000579-0.0016795i,2.2529e-05-0.0011951i,0.0028975-0.0025052i,-0.00568-0.0014037i,-2.853e-05-0.00074734i,0.00073891+3.488e-05i,-0.00096846+0.0017858i,-0.0012601+0.0018128i,-0.00074078+0.00034949i,0.00084185+0.0010947i,-0.0062119-0.0017598i,0.0021526-0.0022854i,-0.00030915-0.00075768i,-0.00023704+0.00080632i,0.0015554-6.4716e-05i,0.0011016+0.00048265i,0.0012029-0.00075353i,0.002306+0.00014848i,0.003076+0.0018294i,0.00080059+0.0011781i,0.00075068-0.00019211i,0.0013618+0.0010057i,0.008947+0.0014206i,-0.00058738-9.3535e-05i,-0.00034416-4.2276e-06i,0.001756-0.00090877i,0.00068909-0.00019127i,-0.00088796+0.0021317i,0.00011207+0.0020407i,0.0030379-0.0010446i,0.0017587+0.0018557i,0.01076-0.026828i,0.010211+0.0068282i,0.018964+0.012801i,0.00028093+0.0091072i,0.0037798-0.022598i,-0.00041687+0.0059334i,0.00097083+0.023454i,-0.011646+0.022388i,0.010296+0.021427i,-0.0078759+0.0067425i,0.004308-0.0072156i,0.0039447+0.001779i,0.0036164-0.0023818i,0.0088011+0.0095341i,-0.0015578+0.0053299i,-0.0124-0.00033179i,0.0023659-0.0097019i,-0.0011192+0.01373i,-0.00028094-0.0030716i,0.00032917+0.0004518i,-0.0012863+0.0007068i,-0.0017819-0.0023748i,0.0035733-0.003334i,-0.0049888-0.0032879i,0.0029352+0.001044i,-0.0060431-0.0031359i,-0.0034548-0.00054697i,0.0018142+0.0010216i,-0.0012353-0.0038079i,-0.0021251-0.0035505i,-0.0034896-0.018206i,0.0051605+0.0020363i,-0.001857-0.0023721i,-0.0040592+0.00080391i,-0.0059907+8.7679e-05i,0.0055274+0.0066593i,-0.0025361-0.0024028i,0.0018348-0.0034549i,-0.0025787-0.0023609i,0.00018129-0.00045434i,0.0040545+2.2504e-05i,0.0021073+0.0016055i,0.0013525-0.0016511i,-0.0047743+0.0041902i,0.0012891+0.0069622i,0.016548+0.0090826i,-0.018074-0.018038i,-0.03033+0.0068259i,-0.014625+0.012475i,0.0017431-0.0020402i,0.011839-0.0049975i,-0.0095347-0.0033989i
0.029908-0.0234i,0.014421-0.013159i,0.015127-0.017718i,0.0057441-0.011262i,0.0055579-0.018336i,-0.0045126-0.0052537i,0.017308-0.011384i,-0.0041953-0.015549i,-0.0083258-0.011298i,0.0044409+0.00015936i,-0.00051062-0.00024643i,-0.0019124+9.2363e-05i,0.0026264+0.00025748i,0.00027132-0.0013928i,-0.00011484-0.0012684i,0.0028779-0.003237i,-0.0057056+0.00040756i,-0.00025889-0.00096092i,0.0004851-0.00020588i,-0.00033192+0.0019033i,-0.0008543+0.0021474i,-0.00093129+0.00052686i,0.0010495+0.00077159i,-0.0051861+0.0018675i,0.0013105-0.0024882i,-0.00050551-0.00047836i,2.8101e-05+0.00071431i,0.0012694-0.00050626i,0.0011984+0.00039209i,0.00072921-0.0010942i,0.0023798-0.00079209i,0.0035902+0.00088515i,0.0012991+0.00086002i,0.00078532-0.00062424i,0.0022479+0.00084056i,0.0084676-0.00040824i,-0.00045985+0.00031914i,-0.00023629+0.0002807i,0.0011333-0.0014109i,0.0010477-0.00068075i,-0.00012357+0.0024622i,0.00077351+0.0019801i,0.0023082-0.0016713i,0.0021666+0.0022536i,0.0048198-0.027719i,0.0089785+0.0037857i,0.020103+0.0090031i,0.0018006+0.008202i,-0.0022994-0.023643i,0.0026154+0.0082858i,0.0074988+0.021071i,-0.0040422+0.02131i,0.016573+0.014769i,-0.0026167+0.0084514i,0.0027788-0.0076029i,0.0038655-0.00094188i,0.0026998-0.0036834i,0.0099876+0.0043204i,2.985e-05+0.0047615i,-0.011485+0.0064153i,-0.0015163-0.0089199i,0.0020689+0.011855i,-0.0022166-0.0024653i,-0.00016602+0.00094159i,-0.00097662+0.0012467i,-0.0013761-0.0023681i,0.0036322-0.0020883i,-0.0045432-0.0017878i,0.0031198+0.00081175i,-0.0065492-2.2102e-06i,-0.0024596+0.00025293i,0.0014533-0.0002132i,-0.0031758-0.0039789i,-0.003241-0.0025237i,-0.0092329-0.014709i,0.0050143-0.00063165i,-0.0027234-0.0016456i,-0.0029623+0.0019458i,-0.0047475+0.0020178i,0.0073521+0.0052979i,-0.004042-0.0010854i,0.00046798-0.0047535i,-0.0034313-0.001663i,-0.0010244-0.0012125i,0.0046131-0.0018105i,0.002845+0.0011917i,0.001409-0.0010597i,-0.0035523+0.0061688i,0.0020841+0.0056961i,0.019618+0.0036129i,-0.023533-0.0096459i,-0.032609+0.012579i,-0.010151+0.013403i,0.00084741-5.0712e-05i,0.0083316-0.0050457i,-0.011338-0.0023116i
