-0.0077973-0.039679i,-0.013003-0.043353i,0.00071713-0.046035i,-0.027854-0.026996i,-0.02054+0.014035i,-0.033152-0.030721i,-0.06039-0.059476i,-0.022735-0.071702i,-0.034532-0.050574i,0.0017638+0.015172i,-0.0069281+0.010674i,-0.014451+0.013461i,0.002013+0.015749i,-0.0037729-0.0034678i,0.00085523+0.0062155i,0.0015824+0.037545i,0.020123+0.057657i,0.00099316-0.00025967i,-0.004697-0.0081467i,0.00805+0.0044907i,0.0016527+0.0009397i,-0.00097063+0.0034758i,5.6025e-05-0.0013435i,-0.035899-0.0089459i,-0.0023659-0.0072242i,-7.8584e-05+0.0045061i,0.004976+9.8157e-05i,0.00020842+0.00076344i,-0.00011723-0.0011349i,8.1211e-05-0.0027682i,-0.0012022-0.0057577i,-0.0024143-0.0039847i,-0.00055308-0.0074291i,0.0033637-0.0010553i,0.0030579-0.0025531i,-0.00090415+0.034032i,0.0062762-0.0042894i,0.0033687-0.0022327i,0.0047662-0.00021519i,-0.013433-0.0044011i,6.1182e-05+0.00043095i,0.010023-0.00091841i,0.0061297-9.4726e-05i,-0.0036288+0.0039026i,0.0036433+0.0018093i,-0.0026391+0.0071123i,0.012744-0.087881i,-0.0075368-0.048679i,-0.025464-0.039281i,-0.020601-0.041698i,0.062011-0.018933i,0.0264-0.062095i,0.03795-0.045742i,0.029317-0.05732i,0.018837-0.01568i,0.0085715+0.0096938i,0.023626-0.032642i,-0.0074934-0.0045088i,0.002317-0.0029842i,-0.0047911-0.0061512i,0.00070482-0.031468i,-0.023348+0.03149i,0.0077336-0.010554i,-0.011115-0.0014319i,-0.005362-0.0010677i,-0.0013989-0.013767i,-0.010177+0.0043475i,0.0039094+0.0080437i,-0.01053+0.030706i,0.0056913+0.0076169i,-0.0052185-0.0013103i,-0.001821-0.0017809i,-0.011271-0.007329i,0.00060417-0.003554i,-0.034983+0.0052832i,0.0022034-0.012576i,-0.0089322-0.001862i,-0.0064979-0.0027136i,0.0066195+0.0013402i,-0.0094792+0.00174i,0.0011814+0.00077108i,0.005433+0.0087259i,0.0043056+0.00029403i,-0.0089248-0.009788i,0.0028585+0.0084115i,-0.019111+0.0065605i,0.0065744+0.0025023i,-0.029176-0.0083111i,-0.033872+0.0032779i,0.024574-0.079251i,0.012154-0.010425i,-0.043593-0.026629i,-0.023556-0.0035843i,0.018197+0.012577i,-0.026434+0.012472i,-0.012079-0.0086152i
-0.033671+0.00068614i,-0.047151+0.017658i,-0.047885+0.043066i,-0.027641+0.0062043i,-0.0047643+0.014437i,-0.0079093+0.031281i,-0.029054+0.018615i,-0.057535+0.025139i,-0.0208+0.02064i,0.0013386-0.0088806i,0.0015574-0.0017273i,0.0034979+0.00010917i,0.0029339+0.0086985i,-0.0037985+0.0016212i,0.0015317+0.0022664i,0.0013986-0.0089132i,-0.012381-0.0088311i,-0.0045822+0.00042435i,0.0044144-0.0025032i,0.0012307-0.0013649i,0.0023958-0.0042439i,0.0017317-0.0040401i,0.0021301-0.0034077i,-0.011044-0.010901i,-0.0021039+0.00025501i,-0.0039284-0.00026836i,-0.0033658-0.00096763i,-0.005096-0.0017016i,-0.0011382-0.0023528i,0.0010577-0.0017408i,-0.0037133+0.0046957i,0.0012925+0.0017777i,0.0022667+0.0016668i,0.0020531+0.00019948i,-0.0016224+0.0029758i,-0.0034235-0.0081418i,-0.0031201+0.0013506i,0.0013331-5.4515e-05i,-0.00070298+0.003962i,0.010077+0.0068684i,0.0012811-0.0025783i,0.0007881-0.00035514i,-0.0045303-0.0045491i,0.0023079+0.0041869i,-0.020015-0.017352i,-0.0017261-0.062139i,-0.089374-0.0085041i,-0.023521-0.019819i,-0.047638-0.039578i,-0.043562-0.0056315i,-0.093336+0.015178i,-0.062419+0.002043i,-0.037233-0.027948i,-0.03078-0.054967i,-0.033931-0.024886i,-0.00037795+0.0021684i,-0.024526+0.013497i,0.0045489+0.016391i,0.0043611+0.0072107i,-0.00045164-0.0067628i,0.0088324+0.003962i,-0.010178-0.0041142i,0.0024785+0.011467i,-0.0011328+0.0077037i,-0.0011826-0.0024896i,0.0055413+0.0020866i,0.0033399-0.0011197i,-0.0039796+0.019617i,0.00035903+0.013027i,0.0011641-0.0039011i,0.010489-0.007393i,0.0033228+0.0034671i,-0.0081675-0.0072778i,-0.0021799-0.0013555i,0.026139-0.03304i,0.0084994+0.0083022i,0.0038052+0.0025405i,-0.001749+0.0028691i,0.0031946-0.0042945i,0.020561+0.001906i,0.0015845-0.0021328i,-0.0012425-0.0067574i,0.0013407-0.0026584i,0.011798+0.0048195i,0.0053727+0.00040688i,0.0029381-0.0057249i,0.0035157+0.0072357i,0.0043769+0.003243i,0.017276+0.00088431i,-0.066641-0.043054i,-0.010215+0.009947i,-0.0064852-0.004205i,-0.0058053+0.0044229i,-0.036048+0.010788i,-0.005485+0.0080761i,-0.014685+0.0041786i
-0.031574+0.0045755i,-0.043593+0.022048i,-0.035298+0.044905i,-0.026385+0.012014i,-0.0032471+0.011791i,-0.0023227+0.031307i,-0.026596+0.022965i,-0.049392+0.03267i,-0.016394+0.017238i,-0.0014252-0.0078713i,0.0011283-0.0010968i,0.003116-0.0014908i,0.0050521+0.0059263i,-0.0020302+0.0034353i,0.001807+0.0024158i,-0.0038892-0.0064197i,-0.017406-0.0015341i,-0.004016+0.0023946i,0.0045215-0.0032909i,0.0012292-0.0019355i,0.0010305-0.0044182i,0.0017611-0.0030393i,0.0015603-0.003553i,-0.012764-0.0065082i,-0.0016446+0.00017716i,-0.0041599+0.0010735i,-0.0029768+0.00024889i,-0.004419+0.00023987i,-0.001745-0.0022781i,0.00068076-0.0016335i,-0.0017813+0.0060763i,0.0014477+0.0015603i,0.0024977+0.00035494i,0.00028689-0.000149i,-0.0020929+0.0025906i,-0.0035737-0.0067804i,-0.0027048+0.0018484i,-0.00014738-0.00072635i,-0.00059205+0.0049569i,0.010341+0.0010153i,0.00069092-0.0029702i,-0.00013847-0.00097446i,-0.0064926-0.0035517i,0.0034775+0.0034368i,-0.021788-0.019089i,-0.020277-0.068035i,-0.08351+0.0076814i,-0.030186-0.021107i,-0.059218-0.032144i,-0.041201+0.0038694i,-0.081255+0.035368i,-0.059379+0.015721i,-0.0287-0.027945i,-0.037644-0.050777i,-0.040196-0.010616i,-0.00072827+0.00031742i,-0.017139+0.023349i,0.0086314+0.011043i,0.0060725+0.0025234i,-0.0060589-0.011918i,0.0048456+0.0030502i,-0.010596+0.0026445i,0.0073541+0.0087993i,0.0015602+0.0091557i,-0.0016338-0.0016362i,0.0065769+0.0025731i,0.0034389-0.00093821i,0.0055992+0.01597i,0.0061516+0.0083354i,-0.0031096-0.0053301i,0.0030162-0.0083959i,0.004219+0.003537i,-0.010919+4.3362e-05i,-0.0020775+0.001339i,0.010543-0.035784i,0.011112+0.0058656i,0.006245+0.0010406i,0.0014667+0.0019856i,-5.7343e-05-0.0019426i,0.017924-0.0071793i,-9.7159e-05-0.0025964i,-0.0042825-0.0049067i,-0.0019296-0.0021638i,0.010877+0.00038123i,0.0048902+0.00043824i,0.00079851-0.0035871i,0.0059747+0.0060024i,0.0040088+0.0025651i,0.015284-0.0044859i,-0.072719-0.033922i,-0.0033733-0.00087181i,-0.0070173-0.0031991i,-0.0046623+0.0033572i,-0.029764+0.021365i,-0.0032553+0.0091428i,-0.013193+0.0065957i
-0.028647+0.0073084i,-0.040791+0.026689i,-0.027111+0.043564i,-0.023431+0.01513i,-0.00081307+0.011484i,0.0031923+0.030049i,-0.022794+0.027119i,-0.040939+0.036798i,-0.017125+0.014729i,-0.0034268-0.0062882i,0.0016777-0.00066582i,-0.00058429-0.0022403i,0.0058805+0.0038998i,-0.0012693+0.0038533i,0.0024896+0.0025679i,-0.007075-0.0012005i,-0.017289+0.0079004i,-0.0015797+0.0037726i,0.0044232-0.0055275i,0.0011777-0.0030341i,-0.00049079-0.004435i,0.0020617-0.0041554i,0.0010587-0.0038784i,-0.013566-0.00278i,-0.0018349+0.00059323i,-0.0033833+0.0030377i,-0.0022823+0.00071877i,-0.0030696+0.0019828i,-0.0022337-0.0021034i,-0.00018182-0.0024456i,0.00067295+0.0062164i,0.0017394+0.0011305i,0.0020276-0.00031402i,0.00018302-0.00018909i,-0.0013764+0.0043163i,-0.0035989-0.0064613i,-0.0027218+0.002143i,-0.00098296-0.00045234i,0.0035844+0.0043743i,0.0080293-0.0022924i,-0.00023097-0.0030372i,0.00036263-0.00019066i,-0.0087256-0.0020516i,0.0042792+0.0014425i,-0.025738-0.018884i,-0.041977-0.064263i,-0.073158+0.019032i,-0.036934-0.017815i,-0.065655-0.020069i,-0.034462+0.01034i,-0.061707+0.048776i,-0.044709+0.02778i,-0.030466-0.032944i,-0.043596-0.047196i,-0.038404+0.0033231i,-0.0013712-0.00052035i,-0.0062464+0.026273i,0.0099635+0.0062143i,0.0031898-0.0015537i,-0.018341-0.011216i,0.0041312+0.0020379i,-0.0066977+0.007362i,0.0093466+0.003926i,0.0043555+0.0089165i,-0.0038144+0.00033757i,0.0070462-0.0013304i,0.003767-0.002682i,0.0089406+0.0089874i,0.0061841+0.0031907i,-0.0079069-0.0018839i,0.00025358-0.0060575i,0.0065306+0.0025431i,-0.0073035+0.0091215i,-0.00024975+0.0026204i,-0.0018852-0.032558i,0.013985+0.0007065i,0.0058307-0.0018844i,0.0012116+0.00046048i,0.00088476-5.8146e-05i,0.011217-0.011811i,-0.0030508+0.000613i,-0.0059276-0.0019574i,-0.0033234+0.0017533i,0.0080094-0.0022814i,0.008206-0.0017125i,0.0016108-0.0032882i,0.0091832+0.0028922i,0.0059515+0.0013058i,0.011964-0.0089195i,-0.076576-0.020774i,-0.0081504-0.010141i,-0.0051418-0.0035015i,-0.0044895+0.0019213i,-0.02045+0.025877i,-0.0021745+0.0036037i,-0.010297+0.003554i
-0.026027+0.0084802i,-0.036953+0.032057i,-0.021276+0.042271i,-0.019377+0.0192i,0.0028999+0.0087284i,0.0080882+0.027473i,-0.01744+0.030671i,-0.033878+0.038176i,-0.018504+0.016575i,-0.0046003-0.0045085i,0.0019148-0.0017014i,-0.0024472+0.0012111i,0.0054963+0.0019355i,-0.00088193+0.0051746i,0.0030166+0.0019564i,-0.0059496+0.0048148i,-0.011823+0.015755i,0.00041056+0.0028498i,0.0018395-0.0069928i,-0.00019146-0.0042084i,-0.0016914-0.003743i,0.0012706-0.004784i,0.00018326-0.0048247i,-0.013315+0.0014404i,-0.0012983+0.00082333i,-0.0011552+0.0031979i,-0.002018+0.00081177i,-0.0011967+0.0019735i,-0.0031778-0.00088524i,-0.001732-0.0019089i,0.0027053+0.0053522i,0.0016589+0.000584i,0.0013729-0.000671i,8.5747e-05+0.00028188i,0.0013452+0.0045201i,-0.0046283-0.0071857i,-0.0018474+0.0033253i,-0.0014057+0.00025714i,0.0040344+0.00030994i,0.0061304-0.00367i,-0.00069608-0.0026823i,0.0010455-0.00074141i,-0.0099157+0.0015978i,0.0023308-0.0013858i,-0.030971-0.016614i,-0.059089-0.049044i,-0.062912+0.024023i,-0.042307-0.011929i,-0.069251-0.0078047i,-0.02663+0.0123i,-0.043163+0.05196i,-0.028941+0.027094i,-0.035024-0.03078i,-0.050264-0.040371i,-0.03326+0.012638i,-0.002826-0.00064543i,0.0031564+0.024477i,0.010115+0.0021163i,-0.0012718-0.0018092i,-0.027182+6.0508e-06i,0.0011984+0.0026023i,-0.0019372+0.008133i,0.0078627-0.0011687i,0.007769+0.0078166i,-0.0035018+0.0035787i,0.003626-0.0026113i,0.0028469-0.0049042i,0.0078364+0.0024529i,0.0036701+0.00084666i,-0.0079962+0.0019695i,-0.0015002-0.0043819i,0.0072984+0.00022743i,0.002298+0.011023i,0.0013475+0.0017881i,-0.0092949-0.026222i,0.012294-0.0042367i,0.004858-0.0036407i,0.0016339+0.0015689i,0.0016868-0.00041408i,0.005687-0.011757i,-0.00014001+0.0032107i,-0.0062221+0.00115i,-0.0008063+0.004172i,0.0057312-0.0027048i,0.0072854-0.0064678i,6.5557e-05-0.0033442i,0.0085644-0.002914i,0.0055436-0.002022i,0.0078866-0.012387i,-0.074239-0.007195i,-0.017158-0.012437i,-0.005915-0.0069618i,-0.0050073+0.00063518i,-0.013605+0.025882i,-0.0062936+0.0026509i,-0.012747+0.0034967i
-0.024725+0.0094614i,-0.032646+0.036535i,-0.017664+0.04181i,-0.013733+0.021399i,0.0048856+0.0045365i,0.011547+0.024768i,-0.011229+0.03224i,-0.028555+0.03976i,-0.016549+0.020694i,-0.0047498-0.002613i,0.00088227-0.002232i,-0.0012761+0.0040326i,0.0048599+0.00066738i,0.0014735+0.0062747i,0.0036248+0.0014512i,-0.0020862+0.0079377i,-0.0035064+0.019301i,0.0011049+0.0019318i,-0.00013601-0.0065177i,-0.0021105-0.004142i,-0.0026981-0.0031471i,0.00026813-0.0049886i,-0.0019038-0.0048638i,-0.010534+0.0048436i,-0.0015417+0.00045397i,-0.00056647+0.0021433i,-0.0018344+0.0011273i,-0.0002271+0.0011329i,-0.0030473+0.00063318i,-0.0019643-0.00055338i,0.004156+0.0038556i,0.0016449-0.00018267i,0.00076274-0.00066607i,2.2563e-05+0.0002218i,0.0024167+0.0032223i,-0.0071115-0.0071488i,-0.00070472+0.003845i,-0.0012261+0.0014355i,0.0018999-0.0010784i,0.0040878-0.0038666i,-0.0010993-0.0026286i,0.00091454-0.0014413i,-0.0085206+0.0049527i,-0.00029372-0.00029145i,-0.035035-0.01106i,-0.063188-0.029233i,-0.05641+0.025885i,-0.046362-0.0044135i,-0.070365+0.0063428i,-0.022076+0.0097236i,-0.027507+0.050698i,-0.019553+0.022851i,-0.037663-0.028391i,-0.053425-0.033492i,-0.026636+0.020146i,-0.0037404+0.00019948i,0.012769+0.019448i,0.0092745-0.0006841i,-0.0044947+0.00067467i,-0.027622+0.012598i,0.00092846+0.0046089i,0.0018649+0.0079044i,0.0033947-0.0028024i,0.010624+0.0047769i,-0.0015935+0.0056438i,0.0015602-0.0012545i,0.0013217-0.0065849i,0.0032004+0.0014889i,0.0011683+0.0017504i,-0.007456+0.0068626i,-0.0027789-0.0018702i,0.0069367-0.002379i,0.0072817+0.0066337i,0.0019081+0.00076559i,-0.01339-0.02358i,0.009041-0.0080433i,0.0031913-0.005152i,0.0043243+0.0015107i,0.0014148-0.00048631i,0.0029841-0.010633i,0.0023366+0.0027275i,-0.0041378+0.0046782i,0.0020932+0.0040995i,0.0050627-0.002888i,0.0031504-0.010959i,0.00018825-0.0025463i,0.0046674-0.0059873i,0.0031312-0.0038985i,0.0017935-0.01493i,-0.069199+0.0010416i,-0.027485-0.0065406i,-0.0084228-0.0086518i,-0.0057923-0.00018335i,-0.0083923+0.025484i,-0.0096117+0.0054032i,-0.013115+0.0067648i
-0.023885+0.010947i,-0.027751+0.041111i,-0.0148+0.043918i,-0.0078872+0.02088i,0.0037451-0.00043161i,0.015261+0.022366i,-0.004764+0.031895i,-0.023627+0.04187i,-0.012432+0.022266i,-0.0047762-0.0017166i,-0.00096617-0.0019319i,0.0010164+0.0054254i,0.0040155+0.00011113i,0.0038784+0.0050437i,0.0038364+0.00071404i,0.0019138+0.0085551i,0.0057515+0.018775i,0.0016506+0.0015509i,-0.0017837-0.0061756i,-0.0038095-0.0031761i,-0.0032228-0.0016144i,-0.00045144-0.0053685i,-0.0031758-0.0034803i,-0.0080604+0.0056205i,-0.0022962+0.0011061i,-0.00063533+0.0020255i,-0.0016086+0.0014799i,0.00031104+3.0186e-05i,-0.0019605+0.0015079i,-0.0016703-2.3651e-06i,0.0052126+0.0021546i,0.0012555-0.00079013i,0.00036308-0.00063558i,-0.00027238+1.8421e-05i,0.0027764+0.0026153i,-0.0097635-0.0055829i,0.00028094+0.0034647i,-0.00025584+0.0020007i,0.00086947-0.0011226i,0.0026782-0.0035705i,-0.0016968-0.0021659i,0.00035172-0.0017636i,-0.005941+0.0069225i,-0.00048386+0.0018385i,-0.037115-0.0038321i,-0.058963-0.016327i,-0.052469+0.028528i,-0.047358+0.0063932i,-0.065937+0.02291i,-0.023542+0.0076832i,-0.015897+0.045744i,-0.012883+0.018122i,-0.03989-0.024271i,-0.057364-0.026886i,-0.018757+0.023603i,-0.0047714+0.0017044i,0.016625+0.007544i,0.0085199-0.0043677i,-0.0058295+0.0048085i,-0.020391+0.023975i,0.0026194+0.0047941i,0.0059098+0.0055178i,0.0010554-0.00080942i,0.012157-0.00054203i,0.00076401+0.0070352i,0.001264-0.00021913i,-0.003083-0.0081083i,0.0016366+0.0042127i,0.0011674+0.0039432i,-0.0023052+0.011107i,-0.0015697+0.00036997i,0.0055109-0.0039059i,0.0092983+0.0019125i,0.0026172-0.00079832i,-0.020855-0.022107i,0.0046843-0.0094973i,0.00033359-0.005705i,0.0041609-0.00095367i,0.001256+0.00025111i,0.0017299-0.0089169i,0.0034025+0.00083624i,-0.00085042+0.005688i,0.0035645+0.0018642i,0.0041657-0.0040473i,-0.0033731-0.010501i,-7.9841e-05-0.0032561i,0.0010992-0.0058626i,0.0020881-0.0049913i,-0.0053341-0.013324i,-0.06676+0.0078795i,-0.026323+0.0070461i,-0.012459-0.0088603i,-0.0071986+0.0002364i,-0.0049533+0.025258i,-0.0084944+0.010211i,-0.0087263+0.0088048i
-0.022887+0.013071i,-0.021553+0.045671i,-0.009555+0.047342i,-0.0044116+0.017851i,6.2773e-05-0.0027856i,0.018876+0.018978i,0.0010574+0.030424i,-0.018437+0.044519i,-0.0086083+0.023495i,-0.0052054-0.00043176i,-0.0018315+9.4433e-05i,0.0039743+0.0055958i,0.0033864+0.00015442i,0.0049+0.0028835i,0.0036249+7.121e-05i,0.0053741+0.0074448i,0.012784+0.014301i,0.002167+0.00097752i,-0.0031231-0.0055182i,-0.004624-0.0012153i,-0.0025948-0.00043502i,-0.0019468-0.005571i,-0.0035618-0.0021852i,-0.0072478+0.0070028i,-0.0019973+0.0022467i,-0.00027073+0.0025933i,-0.0012142+0.0019769i,-0.00084173-0.0011013i,-0.0016691+0.0013691i,-0.001489+0.00022787i,0.0055268+0.00016308i,0.0011041-0.00096213i,0.00057591-0.00064426i,-0.00019503+0.0003293i,0.0038262+0.00089462i,-0.011804-0.0029152i,0.0013498+0.0032843i,0.00047854+0.0015472i,-6.2286e-05-0.0011868i,0.0018193-0.0033367i,-0.0020787-0.0015361i,-0.00010542-0.0018995i,-0.0039342+0.0071022i,0.00049516+0.0025766i,-0.036356+0.0021871i,-0.055998-0.010857i,-0.048719+0.033398i,-0.042992+0.016083i,-0.056268+0.036793i,-0.024469+0.010748i,-0.0075475+0.041482i,-0.010074+0.012819i,-0.040993-0.02005i,-0.059804-0.018031i,-0.012374+0.024921i,-0.0035958+0.0024677i,0.010887-0.0027686i,0.0051314-0.0082994i,-0.0042715+0.0079238i,-0.0097587+0.027849i,0.0029752+0.0034536i,0.0077501+0.00086312i,0.0017942+0.00041384i,0.010223-0.0042925i,0.0050727+0.0067459i,0.0013669+0.0016747i,-0.0076032-0.0029393i,0.0032487+0.0059725i,0.0028457+0.0053109i,0.0037536+0.011003i,-0.00074552+0.00044411i,0.0041804-0.0051099i,0.0091453-0.0042732i,0.00067979-0.0015992i,-0.029189-0.014424i,0.0013458-0.0090897i,-0.0017399-0.0039775i,0.0046374-0.00044694i,0.0015153-0.00048974i,0.00153-0.009684i,0.0031068-0.0010279i,0.00157+0.0040905i,0.003591+0.00099236i,0.0034832-0.0036569i,-0.0070616-0.0062193i,-0.0018452-0.0037126i,-0.0016945-0.004668i,0.00018507-0.0061476i,-0.0092678-0.0089982i,-0.062723+0.015687i,-0.021147+0.0092244i,-0.01281-0.0070148i,-0.007713+0.0011789i,-5.0594e-05+0.023388i,-0.0069766+0.011599i,-0.0064685+0.0075356i
-0.021473+0.015117i,-0.013927+0.049117i,-0.0023281+0.050465i,-0.0033028+0.016236i,-0.0038162-0.0023087i,0.02155+0.015099i,0.0062708+0.027878i,-0.011807+0.047153i,-0.004543+0.023617i,-0.0051262+0.0011658i,-0.00072971+0.0017442i,0.007055+0.003294i,0.0033177+0.00024727i,0.0044172+0.0014607i,0.00368-0.0002341i,0.0078866+0.0047098i,0.016244+0.0082567i,0.002575-0.00028424i,-0.0044038-0.0046169i,-0.0042634+0.00093277i,-0.0017467+0.00019787i,-0.0033235-0.0044402i,-0.0035867-0.0012387i,-0.0044145+0.008583i,-0.0011974+0.0033364i,0.00090966+0.0027061i,-0.00067233+0.0024402i,-0.0026661-0.00073973i,-0.0015125+0.0017628i,-0.001245+0.00058946i,0.0048915-0.0017844i,0.0010029-0.0016626i,0.00018031-0.00098656i,9.9834e-05+0.00033962i,0.003189-0.00083549i,-0.012578+0.0010455i,0.002226+0.0028364i,0.00074543+0.0012749i,-0.0012006-0.0010116i,0.001494-0.0029254i,-0.0020002-0.0011291i,-0.00060052-0.0019578i,-0.002811+0.0073184i,0.0014725+0.0029467i,-0.035216+0.0067569i,-0.057262-0.0062231i,-0.043733+0.038159i,-0.038138+0.023258i,-0.043107+0.045144i,-0.024818+0.014019i,0.00063432+0.036213i,-0.00894+0.010437i,-0.041844-0.015546i,-0.060513-0.008099i,-0.0068609+0.025405i,-0.0027134+0.0028613i,0.0039547-0.0039642i,0.00055545-0.010014i,-0.00082778+0.010912i,0.00023802+0.026309i,0.0023935+0.0021736i,0.0067203-0.0045385i,0.0016472+0.00029137i,0.0074283-0.0076857i,0.0086045+0.0039196i,0.002996+0.0023167i,-0.0072063+0.0009757i,0.0056085+0.0067883i,0.0053752+0.0057925i,0.0090611+0.0079417i,-0.00026263+0.00089623i,0.0034268-0.0060296i,0.0057922-0.0082073i,1.8452e-05+0.00012273i,-0.033682-0.0029065i,-0.00062395-0.008307i,-0.002302-0.0020822i,0.005556-0.001256i,0.0010244-0.00057149i,-9.107e-05-0.011763i,0.0017633-0.0018172i,0.0033592+0.0032069i,0.0041541-0.00047355i,0.0039196-0.0043005i,-0.0087842-0.0029257i,-0.0040595-0.0018572i,-0.0040033-0.0027144i,-0.0016882-0.0068103i,-0.010974-0.0047623i,-0.058249+0.021789i,-0.019946+0.010307i,-0.012771-0.0078944i,-0.0078609+0.0023564i,0.0011013+0.021895i,-0.0065144+0.012467i,-0.0051208+0.0067229i
-0.019521+0.017393i,-0.0046159+0.050864i,0.0072328+0.051838i,-0.0027395+0.015777i,-0.005718+0.00076581i,0.023795+0.011069i,0.010269+0.024029i,-0.0033619+0.048577i,-0.00063755+0.023078i,-0.0045634+0.002699i,0.00042672+0.0015925i,0.0074093-0.00073351i,0.0038629-0.0001056i,0.0043216+0.00067839i,0.0038088-0.00081271i,0.0079615+0.0013242i,0.01694+0.0021428i,0.0013143-0.0014495i,-0.0059435-0.0028632i,-0.0028621+0.0021736i,-0.00086301-4.4119e-06i,-0.003823-0.0035795i,-0.0035688-0.00028581i,-0.0012463+0.0086234i,0.00038649+0.0035934i,0.0018284+0.0019744i,0.00033576+0.0026389i,-0.0032787+0.00089393i,-0.00071374+0.0018192i,-0.00095714+0.00072988i,0.0036115-0.0033046i,0.00012973-0.0020088i,-0.0002974-0.0010236i,5.8617e-05-7.7303e-05i,0.0019027-0.0017616i,-0.011546+0.0050903i,0.0028021+0.0020188i,0.0011023+0.00099125i,-0.0019647-0.00018626i,0.0011296-0.0028412i,-0.0023605-0.00079833i,-0.00095541-0.0019891i,-0.0016496+0.0077159i,0.0027435+0.0028862i,-0.034228+0.011957i,-0.060909+0.0024778i,-0.037272+0.041511i,-0.030672+0.028582i,-0.029933+0.050146i,-0.023819+0.020718i,0.0075787+0.028866i,-0.0046197+0.0078979i,-0.04151-0.010472i,-0.057986+0.002311i,-0.0018639+0.025489i,-0.0023599+0.002685i,-0.00016415-0.0032123i,-0.0048625-0.0097109i,0.0049467+0.010679i,0.0062534+0.021782i,0.00043526+0.0016857i,0.0037796-0.0085283i,0.0024319+0.0018504i,0.0028319-0.0093374i,0.0098225-0.0014043i,0.0047227+0.0017101i,-0.0065577+0.0044007i,0.0098462+0.0062131i,0.0091558+0.0037486i,0.011785+0.0026128i,0.00079726+0.0013493i,0.0015901-0.0069796i,-0.00024123-0.0094163i,0.0014143+0.0017388i,-0.033567+0.0098616i,-0.0024662-0.0077844i,-0.0018302-0.00026925i,0.0059662-0.0051437i,0.0012178+5.4099e-05i,-0.0051202-0.012995i,0.00086912-0.001373i,0.0043583+0.0012119i,0.0037938-0.0013412i,0.0030473-0.0056561i,-0.0086849+0.0019068i,-0.0040552+0.00091334i,-0.0050657+3.8816e-05i,-0.0045811-0.006895i,-0.010883-0.0010087i,-0.054619+0.027577i,-0.019555+0.01555i,-0.014966-0.010221i,-0.0051564+0.0036845i,0.0040579+0.021685i,-0.0062944+0.015267i,-0.0032305+0.0048366i
-0.016886+0.019139i,0.0044314+0.049813i,0.017553+0.049691i,-0.0015536+0.016332i,-0.0050643+0.004036i,0.025787+0.0065211i,0.012859+0.01985i,0.0052845+0.047423i,0.0027264+0.021717i,-0.0037567+0.0040714i,0.00062151+0.0013473i,0.0055263-0.0034042i,0.0038703-0.0013843i,0.0039503-3.6705e-05i,0.0035634-0.001551i,0.0063173-0.00061855i,0.015539-0.0025721i,0.00027925-0.0012554i,-0.0059437-0.0006624i,-0.0013892+0.0025029i,-0.00020987-0.00042619i,-0.0043599-0.0029342i,-0.00301+0.00052329i,0.0013657+0.0081288i,0.001744+0.0029464i,0.0021698+0.0012816i,0.0012963+0.0021732i,-0.0025095+0.0024638i,-0.00011387+0.0015138i,-0.00088781+0.0010128i,0.001793-0.0039392i,-0.00077141-0.0017591i,-0.00058901-0.00076074i,-0.00030768-3.7125e-05i,0.00086223-0.0021216i,-0.0092154+0.0082502i,0.0031184+0.00087567i,0.0011518+0.0004433i,-0.0020803+0.0011141i,0.00071052-0.0031785i,-0.0024735-1.2225e-05i,-0.0015113-0.0022258i,-0.00023011+0.0082818i,0.0037811+0.0021023i,-0.031725+0.016975i,-0.060478+0.015134i,-0.032742+0.04381i,-0.023741+0.03114i,-0.015819+0.052029i,-0.017934+0.028326i,0.0105+0.019879i,-0.0023667+0.0012767i,-0.038907-0.0064788i,-0.052228+0.012407i,0.0046301+0.02375i,-0.0024844+0.003024i,-0.003917-0.0012179i,-0.0088668-0.0067598i,0.0087472+0.0066528i,0.01016+0.017725i,-0.0021809+0.0032157i,-0.00039867-0.011216i,0.0047025+0.00085358i,-0.0016409-0.0082065i,0.007291-0.0051987i,0.0060258-0.0005706i,-0.0050055+0.0070406i,0.013355+0.001185i,0.010546-0.0017064i,0.010926-0.0039837i,0.002553+0.00087464i,-0.00094796-0.0070798i,-0.0041095-0.0059774i,0.0035517+0.000597i,-0.027328+0.024104i,-0.0044982-0.0063117i,-0.00049317+0.0008657i,0.002244-0.0072302i,0.0020707-6.4854e-05i,-0.011154-0.010109i,0.0010428-0.0008087i,0.0043882-0.0011892i,0.0030468-0.002621i,0.0015243-0.0061048i,-0.0060863+0.0059112i,-0.0026173+0.002695i,-0.0044828+0.0033571i,-0.0078862-0.005655i,-0.0098804+0.0017367i,-0.048757+0.035229i,-0.011689+0.020856i,-0.020276-0.0095496i,-0.0025448+0.0020403i,0.0062594+0.020498i,-0.0033808+0.018437i,-0.0029206+0.0015182i
