-0.023992-0.037634i,-0.012329-0.049933i,-0.018562-0.04401i,-0.030726-0.035212i,-0.030122-0.015845i,-0.050612-0.026949i,-0.056946-0.026725i,-0.045466-0.036258i,-0.029089-0.034554i,0.0080667+0.011129i,-0.0058613+0.015585i,-0.0045413+0.014123i,0.0094139+0.02089i,0.00086353+0.0042857i,0.0031943+0.0036866i,0.005784+0.018461i,0.022612+0.036161i,-0.0026992-0.0017174i,-0.0047767-0.0054443i,0.0070838+0.0012498i,-0.00032632-0.00088832i,-0.0010232+0.0020229i,-2.5897e-05-0.00045083i,-0.029034-0.0031135i,-0.0022-0.0060169i,0.0010626+0.0043168i,0.0035425-0.00075618i,-0.00049442+0.00046726i,0.00055912-0.00041897i,-0.0008991-0.0028589i,-0.0018269-0.006068i,-0.0046924-0.0042753i,-0.0019556-0.0041529i,0.002369-0.00079292i,0.0018275-0.0030659i,-0.00017373+0.024198i,0.0012931-0.0033625i,0.0026207+0.00067364i,0.0058534+0.00093211i,-0.009361-0.0029648i,-0.0037879+0.00010666i,0.0051236-0.00036575i,0.0064827-0.00086849i,-0.003407+0.0048116i,0.00083123-0.0097827i,-0.011375+0.017678i,0.035692-0.091121i,0.011846-0.069832i,-0.01537-0.059994i,-0.015878-0.055046i,0.038124-0.045515i,0.017306-0.061906i,0.034211-0.05546i,0.029532-0.060143i,0.016395-0.013712i,0.0046481+0.016326i,0.016832-0.02558i,-0.011449+0.0061886i,-0.00047299+0.0059974i,-0.0048714-0.0012553i,-0.0021961-0.028549i,-0.025216+0.03175i,0.010557-0.011388i,-0.01289-0.0030268i,-0.00020536-0.0050044i,-0.0006687-0.016225i,-0.0070732+0.0048096i,0.004995+0.0062791i,-0.0096384+0.030988i,0.0045492+0.006381i,-0.0051194-0.00064906i,-0.0029915-0.00054923i,-0.011947-0.0075427i,-0.0012295-0.0047734i,-0.071113-0.10082i,0.00023501-0.010116i,-0.0091163-0.0013559i,-0.0066519-0.0028344i,0.0073412+0.0025118i,-0.0081467+0.0010299i,5.3709e-05+1.1483e-05i,0.0063547+0.010722i,0.0042415+0.0016967i,-0.0096063-0.0095852i,0.003177+0.0080505i,-0.020405+0.0042957i,0.0084898+0.00035939i,-0.029544-0.0037704i,-0.041827+0.0027842i,0.019136-0.098854i,-0.0019024-0.012602i,-0.051951-0.020861i,-0.023126-0.0020491i,0.018176+0.010281i,-0.02572+0.012094i,-0.018385-0.012423i
0.0086228+0.021225i,0.014953+0.051328i,0.024021+0.034126i,0.017575+0.026982i,0.02432+0.026248i,0.032219-0.014392i,0.017242-0.0092337i,0.029193+0.00529i,0.011996+0.013389i,0.002946+0.0039285i,0.0048813+0.0027867i,0.0043071+0.0033809i,0.0059792+0.0026717i,0.0050639+0.0035231i,0.002984-0.0032988i,0.0083173-0.0011709i,0.011012-0.0045569i,-0.001469-0.0011532i,-0.0034078+0.00068698i,-6.983e-05+0.0013463i,-0.001062-0.00014262i,-0.0025044+0.0011808i,-0.0019102+0.0010063i,0.0044333+0.008129i,0.0013967+0.0008618i,0.0024037+0.00057229i,0.0017988+0.0011302i,0.0012685+0.0014174i,0.00065988+0.00013556i,-0.00035692+0.000802i,-0.0021442-0.0031332i,-0.00090171-0.00043571i,-0.00090581+0.0008738i,-0.0010763+0.00016154i,-0.00055035-0.0013828i,-0.0069233+0.0073207i,0.0012427+0.0002632i,0.0014462-0.00049275i,-0.00062246+0.0027153i,6.3997e-05-0.0036548i,-0.0010655+0.00031933i,-0.0021783-0.00051371i,0.0017585+0.00050525i,0.0068055+0.0053704i,-0.012782+0.033485i,-0.080389+0.034889i,-0.051779+0.038186i,-0.037055+0.059011i,-0.018537+0.072549i,-0.008666+0.05065i,0.012608+0.037634i,0.0029777-0.0025094i,-0.036721+0.0098747i,-0.044948+0.019838i,0.0021536+0.023698i,-0.007775+0.0025446i,-0.010448-0.0008403i,-0.012734-0.0037904i,0.0025302+0.00034589i,0.0063638+0.0096575i,-0.002225+0.0088082i,-0.0066408-0.011524i,0.0053305-0.0074861i,-0.0063022-0.0066604i,0.0019856-0.0062718i,0.0037324-0.0042204i,-0.0019657+0.010216i,0.0096823-0.004508i,0.0059459-0.0057059i,0.0034208-0.007013i,0.003035-0.00059507i,-0.0012996-0.0044854i,-0.0036427-0.00061975i,0.0025639-0.00029912i,0.0016314+0.026601i,-0.0046292-0.0039643i,0.0022126+0.00036366i,0.00044367-0.0061814i,0.0023593-0.0015766i,-0.01476-0.0031322i,0.00031821+0.00021017i,0.0047983-0.0026383i,0.0031287-0.0014878i,0.00062153-0.0043114i,-0.00024537+0.0045125i,-0.00093547+0.0064797i,-0.0030469+0.0039488i,-0.011958+0.0024708i,-0.01538-0.0022143i,-0.039031+0.057418i,0.00081498+0.0046959i,-0.02492-0.016069i,-0.0054252-0.0069036i,0.0091203+0.020255i,-0.0014945+0.022282i,-0.00050991-0.00060791i
0.011272+0.017573i,0.023233+0.046514i,0.029654+0.029952i,0.022177+0.024545i,0.030045+0.022179i,0.028959-0.019995i,0.014465-0.012469i,0.029493-0.00034535i,0.013815+0.010691i,0.0041435+0.0026591i,0.0054741+0.001754i,0.0042158+0.003001i,0.0060707+0.0015702i,0.0056118+0.0022042i,0.0018633-0.0037756i,0.0069271-0.0028025i,0.0086427-0.0071905i,-0.0011057-0.00092404i,-0.0029803+0.00071243i,0.00059068+0.00057509i,-0.0012548-0.00021127i,-0.0021775+0.0017023i,-0.0015374+0.0010774i,0.008102+0.0054641i,0.0013071+0.00096838i,0.002749-0.00049641i,0.0019716+0.00010894i,0.0016768+0.00053813i,0.00028457+1.8755e-05i,-0.00023587+0.00091578i,-0.0033074-0.0015542i,-0.0012542-0.00062111i,-0.00068355+0.0011589i,-0.00086537+0.00060324i,-0.0011197-0.00042481i,-0.003948+0.0092352i,0.00093354-0.00018881i,0.0010293-0.00098103i,0.00059972+0.0022739i,-0.0011956-0.0033996i,-0.00092488+0.00039783i,-0.0024396+0.00021137i,0.0015075+0.00049949i,0.0072034+0.0042973i,-0.0066025+0.034781i,-0.069115+0.048827i,-0.047258+0.047442i,-0.02695+0.06284i,-0.002725+0.069877i,0.0016085+0.048755i,0.011415+0.031909i,-0.0029124-0.0068099i,-0.037509+0.01174i,-0.036355+0.02157i,0.0080705+0.02143i,-0.0080691+0.0047803i,-0.0097082+0.0047545i,-0.013371+0.0018149i,0.0012951-0.00088208i,0.0084731+0.0090083i,0.0021432+0.011501i,-0.012708-0.0097731i,0.00053174-0.0082008i,-0.0058254-0.0029247i,-0.0015585-0.0059032i,0.0014788-0.0057359i,0.002563+0.0078307i,0.0062873-0.0068683i,0.0024482-0.0067763i,-0.00015159-0.0045347i,0.0038534-0.001468i,-0.0027922-0.00371i,-0.0017255+0.0013017i,0.0029327-0.00054492i,0.005863+0.019221i,-0.0056343-0.0030596i,0.0027491-0.0018653i,-0.0027573-0.0062644i,0.0025865-0.0023215i,-0.013852+0.0031178i,0.00089489+0.00065206i,0.0032357-0.0024194i,0.0028831-0.0027074i,-3.0183e-05-0.0038639i,0.0011298+0.0020632i,0.0020839+0.0054177i,-0.00061646+0.0052945i,-0.010569+0.0060892i,-0.017073+0.0011945i,-0.027954+0.058399i,0.00096195+0.005443i,-0.028396-0.010905i,-0.0097018-0.010702i,0.01199+0.019033i,0.0027777+0.023697i,-0.0026429-0.0020037i
0.012607+0.014478i,0.029449+0.03994i,0.035094+0.023263i,0.027565+0.019942i,0.035668+0.016542i,0.024319-0.025311i,0.011001-0.01545i,0.029056-0.0063132i,0.015256+0.0079618i,0.0042079+0.001261i,0.0055042-8.349e-05i,0.0049372+0.0027713i,0.0060009+6.8994e-05i,0.0059179+0.00047223i,0.00070865-0.003941i,0.0051053-0.003675i,0.0045969-0.0089503i,-0.0013576-0.0010148i,-0.0024054+0.0012749i,0.00046264-0.00053274i,-0.001793-0.00016716i,-0.0016464+0.0022747i,-0.0014007+0.0011639i,0.0089867+0.00096868i,0.0018157+0.00045879i,0.0019913-0.0016314i,0.0015411-0.00065551i,0.0012938-6.0731e-05i,0.00021071+0.00013494i,-0.00011238+0.0011358i,-0.0037738+4.2662e-05i,-0.0019573+0.00028622i,-0.00013566+0.0013905i,-0.0005864+0.00079539i,-0.00089433+0.00041522i,-0.00040994+0.0097317i,0.00067532-0.00030173i,0.00064629-0.0011746i,0.00111+0.0014811i,-0.0024273-0.0024649i,-0.00085463+0.00051683i,-0.0021616+0.0010788i,0.001512+0.00088169i,0.0081151+0.0028503i,0.00072017+0.034613i,-0.056803+0.05951i,-0.03854+0.055364i,-0.015754+0.063669i,0.011615+0.063297i,0.011408+0.046786i,0.011156+0.028154i,-0.008422-0.0071484i,-0.038082+0.017228i,-0.029426+0.020371i,0.012146+0.017119i,-0.0075402+0.0070719i,-0.0074267+0.0077912i,-0.012086+0.00514i,-0.00059216-0.0026542i,0.010542+0.0066058i,0.0071607+0.011052i,-0.017025-0.0053698i,-0.0018092-0.0053274i,-0.0051242-0.00035014i,-0.0031313-0.0037834i,-0.0011963-0.0049041i,0.0049165+0.0066439i,0.0040544-0.007436i,-0.002469-0.0056736i,-0.00019875-0.0018226i,0.0037058-0.0040786i,-0.0047103-0.0023775i,-0.00028304+0.0010548i,0.0023988-0.0015056i,0.013691+0.019793i,-0.0069636-0.0011146i,0.0022973-0.0027444i,-0.0033075-0.0042329i,0.0028532-0.0039795i,-0.0095623+0.0083022i,0.0020192+0.0004708i,0.002265-0.0029264i,0.0015636-0.003054i,0.00013124-0.0040758i,0.00057923+0.0015366i,0.0036779+0.0034634i,0.0019971+0.0054667i,-0.0085701+0.0083094i,-0.017132+0.0064869i,-0.019625+0.057175i,0.0045345+0.0051096i,-0.02995-0.005813i,-0.013093-0.011232i,0.016372+0.015658i,0.0084695+0.02433i,-0.0049974-0.0015648i
0.013406+0.012034i,0.032919+0.033545i,0.037846+0.015569i,0.031081+0.012928i,0.039573+0.0084969i,0.018295-0.029145i,0.0067586-0.016948i,0.026746-0.011934i,0.016332+0.0050194i,0.0037129+0.00044804i,0.0048506-0.00086263i,0.0057554+0.0018337i,0.005135-0.00098905i,0.0053789-0.0010413i,-0.00060509-0.0037297i,0.0035574-0.0038241i,0.0013567-0.0084006i,-0.0015877-0.00064387i,-0.0012169+0.0018972i,-0.00040121-0.00092761i,-0.0020836+0.0006609i,-0.00096848+0.0027667i,-0.0012906+0.0014378i,0.0074237-0.0024695i,0.0016139-0.00027202i,0.00097116-0.0018126i,0.0010404-0.0009219i,0.00076526-0.00063869i,0.00030265+4.8128e-06i,0.0002284+0.0014118i,-0.0033932+0.0017279i,-0.0013468+0.0014077i,0.00041731+0.00118i,-0.00032194+0.00094616i,-0.00038359+0.00082642i,0.0026428+0.0089143i,0.00052986-0.00047936i,0.00012348-0.0015309i,0.0010035+0.001217i,-0.0031719-0.001209i,-0.00077788+0.0007315i,-0.0016716+0.0014802i,0.0019511+0.0011196i,0.0090621+0.0010636i,0.0075887+0.031666i,-0.041598+0.067239i,-0.029045+0.06083i,-0.007073+0.06305i,0.023834+0.052342i,0.020727+0.040833i,0.0097218+0.026907i,-0.014532-0.0046889i,-0.036411+0.024197i,-0.0252+0.017662i,0.015188+0.011431i,-0.005736+0.0096832i,-0.0043717+0.011249i,-0.010724+0.0077966i,-0.0044158-0.0016139i,0.012466+0.0032154i,0.011744+0.0081348i,-0.018754+0.00068282i,-0.0022717-0.0035682i,-0.0035902+0.0011914i,-0.0037662-0.00131i,-0.0026461-0.0034496i,0.0070958+0.0034515i,0.0021238-0.0076259i,-0.0048598-0.00064007i,0.0010882-0.00077424i,0.0014032-0.0058742i,-0.0048306-0.00031775i,0.00082961+0.0010968i,0.0021253-0.0019956i,0.02044+0.0095364i,-0.006865+0.0021047i,0.0017917-0.0041548i,-0.0036009-0.0027272i,0.0012312-0.0059223i,-0.0042227+0.0094i,0.0032467-0.00062143i,0.0014193-0.0023577i,0.0011114-0.0026028i,-0.0031253-0.0031554i,0.0003924+0.0014575i,0.0035905+0.0011905i,0.004173+0.0045743i,-0.0059772+0.0099126i,-0.015139+0.011276i,-0.012246+0.057738i,0.010953+0.00075153i,-0.028945-0.00011605i,-0.018135-0.010698i,0.017699+0.010737i,0.014921+0.022222i,-0.0049692-0.00074009i
0.014648+0.010089i,0.036249+0.028504i,0.039034+0.0085802i,0.032344+0.0056042i,0.040794-0.00013606i,0.012404-0.031437i,0.0027683-0.016761i,0.023507-0.016394i,0.017355+0.0019694i,0.0033274-6.888e-05i,0.0042229-0.0013746i,0.0064129+0.00048064i,0.0045376-0.0012625i,0.0044881-0.0022091i,-0.0016795-0.0028258i,0.0024192-0.0035132i,-0.00042628-0.0070377i,-0.0018515-0.00015715i,-0.00091461+0.0018524i,-0.0011788-0.00063961i,-0.0018483+0.001326i,0.00011239+0.0031087i,-0.00097586+0.0019108i,0.0050248-0.004641i,0.0012042-0.00060735i,0.00035055-0.0018455i,0.00062941-0.0010346i,0.00018923+3.8759e-05i,0.00013555-2.9822e-05i,0.00087652+0.0012561i,-0.002137+0.0028863i,-0.00054549+0.0017479i,0.00068569+0.00080545i,6.087e-05+0.0012583i,0.00028661+0.00093712i,0.0058677+0.0070518i,0.00020271-0.00047102i,-0.0004996-0.0013982i,0.001512+0.00084446i,-0.003014+0.00013409i,-0.0005692+0.00072248i,-0.0011524+0.0017927i,0.0025829+0.00087813i,0.0091182-0.0014937i,0.01203+0.027487i,-0.025195+0.070061i,-0.017417+0.06533i,0.0023611+0.062773i,0.029715+0.039261i,0.026876+0.0336i,0.010135+0.028409i,-0.018081+0.0019418i,-0.032697+0.032831i,-0.024595+0.015308i,0.014348+0.005575i,-0.0024749+0.011731i,0.00095707+0.011791i,-0.0086874+0.01021i,-0.0055552+0.0016789i,0.012421-0.0018847i,0.014655+0.0032213i,-0.018643+0.0064196i,-0.0024309-0.0017772i,-0.0025145+0.0017922i,-0.0024666+0.00024i,-0.0038831-0.0012926i,0.0070486+0.00027234i,-0.00051048-0.0067249i,-0.0032014+0.0033374i,0.002389-0.0013389i,-0.0013613-0.0058844i,-0.0035661+0.0012982i,0.0021043+0.00043949i,0.0016737-0.0024283i,0.020474-0.0007301i,-0.0044552+0.0046779i,0.00030089-0.005385i,-0.0028188-0.0019896i,-0.00090295-0.0061152i,-0.00055986+0.0083309i,0.0029268-0.0026677i,0.0013712-0.001253i,0.00124-0.00254i,-0.0014334-0.0016378i,0.00052311+0.0018382i,0.002066-9.829e-05i,0.0053936+0.0023499i,-0.0034553+0.0099103i,-0.011112+0.015529i,-0.0038328+0.057554i,0.01263-0.010028i,-0.0258+0.0023354i,-0.023007-0.0076511i,0.018595+0.0063966i,0.019599+0.016071i,-0.0059667-0.0012851i
0.015969+0.0074619i,0.039777+0.022773i,0.039837+0.0016647i,0.032317-0.0018686i,0.04047-0.0084864i,0.006267-0.032816i,-4.2904e-05-0.015954i,0.020084-0.02004i,0.017865-0.0019705i,0.002724-0.00051977i,0.0041418-0.0018317i,0.0064733-0.0010433i,0.004827-0.0016368i,0.003382-0.0029878i,-0.0021108-0.0019158i,0.0018578-0.0029364i,-0.0016986-0.0063045i,-0.0016287+0.00029734i,-0.00050411+0.0018953i,-0.0015346-1.9418e-05i,-0.0012754+0.0018179i,0.0013195+0.0027072i,-0.00031087+0.0021583i,0.0021496-0.0055105i,0.001073-0.00080169i,-0.00024577-0.0017749i,0.00023672-0.0010898i,0.00148-0.001312i,3.8814e-05+8.0087e-05i,0.0012326+0.00072972i,-0.00059363+0.0033011i,0.00035742+0.0017425i,0.00073246+0.00057905i,0.00073593+0.00097519i,0.0006432+0.00044923i,0.006786+0.0050283i,3.1863e-05-0.00038789i,-0.0010078-0.0010239i,0.0012964+0.00017952i,-0.0022574+0.00065387i,-0.00042184+0.0007636i,-0.00055288+0.0019539i,0.0031788+0.00047262i,0.0084248-0.0033889i,0.015502+0.023053i,-0.010657+0.068825i,-0.0037851+0.065431i,0.012245+0.060482i,0.031982+0.027366i,0.030813+0.026052i,0.013465+0.030551i,-0.016911+0.010522i,-0.024569+0.041486i,-0.02557+0.016365i,0.012218+0.0023695i,0.0014923+0.011709i,0.0047993+0.0099986i,-0.0058712+0.012248i,-0.0046589+0.0041546i,0.0096446-0.0073369i,0.014292-0.003025i,-0.01691+0.011154i,-0.0016377-0.00042718i,-0.0012023+0.0014146i,-0.0015424+0.00043434i,-0.0032246+0.0014648i,0.0054438-0.0014155i,-0.0023487-0.0048149i,6.8079e-05+0.0051956i,0.0024907-0.0031093i,-0.0033798-0.0046005i,-0.0024876+0.0018436i,0.0025376-0.0010306i,0.0016312-0.0027569i,0.016658-0.0077787i,-0.001716+0.0053036i,-0.0018949-0.0052354i,-0.0027647-0.0015982i,-0.0031786-0.0055269i,0.0017166+0.0070193i,0.0024869-0.0037421i,0.0027524-0.0015242i,0.00085055-0.0031788i,-0.00067024-0.0023813i,0.00099933+0.0029175i,0.00083695+0.00052168i,0.0055091+0.00085987i,-0.0019469+0.0093832i,-0.0051711+0.018004i,0.0043639+0.055653i,0.006854-0.019111i,-0.024211+0.00098311i,-0.027356-0.0019695i,0.017126+0.00021037i,0.021295+0.0098883i,-0.0073042-0.00033905i
0.01715+0.0047294i,0.042141+0.016202i,0.03859-0.0066224i,0.029961-0.0096278i,0.038501-0.01731i,-0.00025888-0.032664i,-0.0021685-0.015034i,0.016127-0.023317i,0.017054-0.005772i,0.0021259-0.00010147i,0.0036033-0.0025168i,0.0061686-0.0029544i,0.0046481-0.0027728i,0.0022359-0.0034239i,-0.0023263-0.0010319i,0.0017877-0.0026623i,-0.0031768-0.0054924i,-0.0017393+0.0007111i,0.00026706+0.0017691i,-0.0018875+0.00069296i,-0.00089346+0.0020014i,0.0021454+0.0017737i,0.00023413+0.0021307i,-0.00081972-0.00503i,0.00076613-0.0014814i,-0.00083855-0.0012473i,-0.0003619-0.0010917i,-0.00016461-0.00093329i,0.00024353+0.00014919i,0.001199+0.00014798i,0.0010648+0.0029496i,0.00089344+0.0015944i,0.00080783+0.00027307i,0.0011401+0.00057427i,0.00047252-7.0378e-05i,0.0070611+0.0021567i,-7.9782e-05-0.00029522i,-0.0012044-0.00069437i,0.0011987-0.00022404i,-0.0016849+0.00085839i,-0.0002959+0.00077828i,0.00019755+0.0017824i,0.0036494-0.00051099i,0.0070122-0.0064156i,0.017875+0.018469i,0.0022038+0.065189i,0.007932+0.06117i,0.021817+0.05668i,0.030423+0.017129i,0.03286+0.019084i,0.018962+0.030447i,-0.0098851+0.016538i,-0.011175+0.046483i,-0.025844+0.01997i,0.010141+0.0006895i,0.0044974+0.010004i,0.0069569+0.0067645i,-0.0022957+0.013211i,-0.003788+0.0055654i,0.0033207-0.0099308i,0.011076-0.0078925i,-0.013357+0.015778i,-0.00071846-0.00077871i,-0.00093584+0.00055509i,-0.0011789+0.00038121i,-0.00084141+0.002768i,0.0042911-0.0013039i,-0.0026923-0.0036019i,0.0030222+0.0042034i,0.001203-0.0049218i,-0.0044527-0.0028689i,-0.0013755+0.0021672i,0.0018527-0.0027407i,0.0010439-0.003808i,0.011817-0.012052i,0.00051889+0.0048924i,-0.0032479-0.0041433i,-0.0024755-0.0011658i,-0.0046654-0.0044113i,0.0032291+0.0052258i,0.0014394-0.005035i,0.0032222-0.0032729i,-0.00013665-0.0039078i,-0.0015077-0.0030596i,0.0029259+0.0022594i,0.00096884+0.0020601i,0.0052149-0.0009511i,-0.0009487+0.0092518i,0.00065558+0.016924i,0.012403+0.053511i,-0.002062-0.023911i,-0.026884-0.00054393i,-0.028086+0.0055897i,0.011622-0.0037229i,0.021546+0.004349i,-0.0066768+0.00046146i
0.018021+0.0011861i,0.043992+0.010054i,0.035023-0.013366i,0.024811-0.015625i,0.033789-0.025355i,-0.0059466-0.030867i,-0.0036514-0.014079i,0.011439-0.025571i,0.015873-0.0093511i,0.0024657+0.00057184i,0.0030183-0.0027162i,0.0048432-0.0046869i,0.0040192-0.0038471i,0.0011982-0.003358i,-0.0021321-0.00014787i,0.0017141-0.0025855i,-0.0048472-0.00378i,-0.0014673+0.0013374i,0.00073805+0.0011494i,-0.001638+0.001842i,-0.00029355+0.0023493i,0.0023521+0.00052562i,0.00081476+0.0020981i,-0.0027899-0.003077i,-0.00023437-0.0014915i,-0.0010173-0.00065183i,-0.00075035-0.00083136i,-0.00052867-0.00052634i,0.00026933-7.2796e-05i,0.0010437-0.00028128i,0.002199+0.0019874i,0.0013668+0.0010656i,0.0008019-8.7645e-06i,0.00081554-0.00017019i,0.00014432+8.576e-05i,0.0063962-0.0006575i,-0.00011489-0.00017618i,-0.0014199-0.00030981i,0.0010445-0.00056862i,-0.0011668+0.0010159i,-0.00018126+0.00080557i,0.00061241+0.0014512i,0.0033748-0.0017575i,0.0032573-0.0073609i,0.01911+0.013901i,0.013561+0.058947i,0.016333+0.055797i,0.030557+0.051186i,0.027389+0.0099643i,0.033388+0.01275i,0.024486+0.027941i,-0.0022428+0.017066i,0.0022838+0.045681i,-0.023474+0.024633i,0.0093621-0.00016808i,0.0069435+0.0076605i,0.0073048+0.0038976i,0.0016964+0.012545i,-0.0022463+0.0073701i,-0.0023943-0.008204i,0.0067608-0.0099904i,-0.0078057+0.018559i,-0.0010864-0.0018782i,-0.0016505+0.00034396i,-0.001021+0.00043932i,0.0015341+0.0024524i,0.0037143-0.0015248i,-0.0033296-0.0029238i,0.0049483+0.0020902i,-0.0015504-0.005666i,-0.004724-0.00077829i,-4.1556e-05+0.001616i,0.0009799-0.003724i,-6.9664e-05-0.0048716i,0.0055954-0.014037i,0.0021762+0.0038645i,-0.0043108-0.0033738i,-0.0030443-0.0011601i,-0.0057251-0.0022971i,0.0037686+0.0036652i,-0.00055978-0.0062256i,0.0028787-0.0049292i,-0.0013051-0.0035223i,-0.0020933-0.0028547i,0.0036839+0.001513i,0.0022143+0.0025699i,0.0035519-0.0020832i,0.00036645+0.0094986i,0.0045814+0.01411i,0.021379+0.050845i,-0.012475-0.025443i,-0.030667+0.0013941i,-0.026394+0.012167i,0.0068594-0.0031771i,0.019728-0.0016279i,-0.0060761-0.00084347i
0.01792-0.0029253i,0.045508+0.0029108i,0.031046-0.01844i,0.019408-0.018667i,0.027656-0.031597i,-0.010423-0.028587i,-0.0046743-0.013692i,0.0069105-0.026863i,0.014051-0.012918i,0.0033799+0.0003699i,0.0028493-0.003117i,0.0030875-0.0053754i,0.0029269-0.0051099i,0.00043439-0.0032079i,-0.0016871+0.00043i,0.0016908-0.0025129i,-0.0053313-0.001484i,-0.00064629+0.0015042i,0.00053594+0.00054799i,-0.00077632+0.002369i,0.00047703+0.0022473i,0.002027-0.00033166i,0.0015394+0.001772i,-0.0034373-0.00068826i,-0.00080262-0.0009804i,-0.00097402-0.00020136i,-0.0010296-0.00051348i,-0.00056899-0.0010373i,1.7097e-05-2.3001e-05i,0.00066198-0.00071671i,0.0028715+0.00074728i,0.0013816+0.00058461i,0.00075964-0.00024876i,0.001096-8.8707e-05i,0.00019203+0.00031472i,0.0060576-0.0013813i,-0.0001901+3.3842e-05i,-0.001467+0.00040076i,0.00077004-0.00090773i,-0.00048786+0.0010339i,-3.7009e-05+0.00072883i,0.00082092+0.0010233i,0.002449-0.0026802i,0.00088488-0.0063657i,0.019287+0.0097656i,0.021234+0.0506i,0.02312+0.050854i,0.037978+0.043669i,0.024041+0.0047749i,0.033024+0.0085157i,0.029566+0.024103i,0.0038708+0.015602i,0.013824+0.040749i,-0.019203+0.029218i,0.00882-0.0017008i,0.0085128+0.0042337i,0.0076249+0.0016438i,0.0053117+0.010487i,0.00048015+0.0077956i,-0.0057568-0.0050497i,0.0022983-0.010204i,-0.0022044+0.018242i,-0.0025697-0.0020956i,-0.0024353+0.0019261i,-0.00090281+0.00053888i,0.0030282+0.0011168i,0.0030071-0.00092279i,-0.0035706-0.0019348i,0.0048275-0.00047758i,-0.0040718-0.0041537i,-0.0036081+0.00076253i,0.0003029+0.0005674i,-1.5759e-05-0.0044853i,-0.0020071-0.0048432i,0.00051323-0.013104i,0.0035487+0.0022094i,-0.0055483-0.0017318i,-0.003482-3.8091e-06i,-0.0055216-3.3768e-05i,0.0042876+0.002777i,-0.0035725-0.0063272i,0.0015399-0.0066534i,-0.0019991-0.0028475i,-0.002576-0.0032482i,0.0045887+0.00066039i,0.0037589+0.0020738i,0.0023803-0.0013184i,0.0017875+0.009128i,0.0067844+0.010974i,0.030417+0.044942i,-0.023478-0.022084i,-0.03392+0.0050914i,-0.021583+0.016815i,0.0047517-0.0019932i,0.015345-0.0051384i,-0.0084059-0.0017135i
0.016449-0.0068228i,0.045541-0.0051296i,0.026962-0.02284i,0.014872-0.020281i,0.020687-0.036311i,-0.014725-0.026134i,-0.0059897-0.014279i,0.00223-0.027805i,0.010844-0.016025i,0.0039887-0.00045452i,0.002678-0.0039223i,0.0014268-0.0054219i,0.0011921-0.0058356i,-0.00023297-0.0030237i,-0.00133+0.00057742i,0.0017813-0.0027676i,-0.0047304+0.00043934i,-0.00035306+0.0010669i,0.00046531+0.00039258i,0.00011601+0.0024071i,0.0010476+0.0020235i,0.0016003-0.00083285i,0.0020351+0.0010475i,-0.0026842+0.0014447i,-0.00091406-0.0003677i,-0.00076137+0.00023483i,-0.001133-0.00012599i,-0.00059609+0.00020901i,5.1779e-05+9.8134e-05i,5.2257e-05-0.00077549i,0.0028964-0.00070241i,0.0014763+0.00031432i,0.00064041-0.00049861i,0.00098271-0.00055072i,0.00047376+0.00036583i,0.0062979-0.0036452i,-3.5979e-05+0.00011515i,-0.001044+0.0010123i,0.00014777-0.00086295i,0.00012637+0.00074367i,-1.7005e-05+0.00089385i,0.00086953+0.00069582i,0.0013864-0.0029712i,-0.0003648-0.0046115i,0.019071+0.0064426i,0.025233+0.043809i,0.029539+0.045485i,0.042579+0.035878i,0.020156+0.0005007i,0.034159+0.0050206i,0.033899+0.019185i,0.009994+0.012318i,0.022893+0.032621i,-0.012053+0.032723i,0.007862-0.0033019i,0.0080089-0.00030656i,0.0076336-0.00098739i,0.0072991+0.0069642i,0.0021848+0.0071092i,-0.007385-0.0007649i,-0.001662-0.0088089i,0.0018239+0.015642i,-0.0037479-0.00092285i,-0.0018048+0.0038235i,-0.00088199+0.00081421i,0.003916-0.00076742i,0.0038252+0.00070921i,-0.0031704-0.00070662i,0.003982-0.0011559i,-0.0048706-0.0022668i,-0.0016273+0.00085863i,8.7044e-05+0.00018934i,-0.0023072-0.0050995i,-0.0035266-0.0036752i,-0.0035948-0.0116i,0.0039134+8.3642e-05i,-0.0056801+0.00041423i,-0.002796+0.0010581i,-0.004787+0.0012684i,0.0052999+0.001908i,-0.006004-0.0043529i,-0.0012614-0.0079714i,-0.0026211-0.0021657i,-0.0044085-0.0030394i,0.0053901-0.0012117i,0.0050781+0.0014687i,0.0026375-0.0010183i,0.0038951+0.0089014i,0.0071134+0.0081213i,0.037481+0.036698i,-0.030599-0.013118i,-0.036376+0.011249i,-0.016519+0.019815i,0.0027837-0.00058256i,0.012654-0.0058182i,-0.0097869-0.00081374i
