-0.005871-0.039489i,-0.0092604-0.043976i,0.0040394-0.045479i,-0.027404-0.028586i,-0.02192+0.012559i,-0.03142-0.035621i,-0.059422-0.066238i,-0.02056-0.073044i,-0.039846-0.054093i,0.00037883+0.015905i,-0.0078519+0.0112i,-0.016638+0.014489i,0.0012369+0.015803i,-0.0042062-0.0034775i,1.6255e-05+0.0072898i,-0.0019548+0.041528i,0.026765+0.038125i,0.00069097-0.00056765i,-0.0047913-0.0092787i,0.0088579+0.0073369i,0.0013905+0.00079451i,-0.0021465+0.0035088i,0.00010376-0.001432i,-0.038131-0.011743i,-0.0031233-0.0074696i,-0.00036507+0.0049627i,0.0053908-0.0028568i,2.4411e-05+0.0010894i,-0.00026162-0.00065375i,-5.5324e-05-0.0028379i,-0.00085838-0.0060323i,-0.0020044-0.0044254i,-0.00093266-0.0093732i,0.003228-0.00059404i,0.0027254-0.0030479i,-0.005176+0.034013i,0.0069843-0.0036508i,0.0041459-0.0017737i,0.005185-0.0001648i,-0.012112-0.029745i,0.00027175+0.00034174i,0.007015+0.0016985i,0.010514+0.0021048i,-0.0034214+0.0030925i,0.0027352+0.0024544i,-0.003705+0.010534i,0.018799-0.086367i,-0.0043588-0.0494i,-0.023636-0.040958i,-0.017775-0.042839i,0.066198-0.014824i,0.029947-0.060315i,0.039358-0.044475i,0.030948-0.055528i,0.019016-0.015858i,0.0083185+0.010395i,0.027327-0.030176i,-0.00732-0.0044565i,0.0028426-0.0020703i,-0.0047669-0.0061533i,0.0022293-0.032566i,-0.026447+0.030716i,0.0080521-0.010496i,-0.011039-0.0013859i,-0.0054465-0.0015927i,-0.00078962-0.014735i,-0.0099887+0.0039425i,0.0033133+0.0085488i,-0.012392+0.029897i,0.004977+0.0085449i,-0.0053582-0.0021936i,-0.0021236-0.0021484i,-0.011097-0.0074262i,0.00076934-0.0040429i,-0.036955-0.00171i,0.0028886-0.0128i,-0.0088732-0.0022332i,-0.0068321-0.0030232i,0.00649+0.0017318i,-0.0091635+0.0014046i,0.0011899+0.0008555i,0.0061873+0.0090114i,0.0049285+0.00075518i,-0.0086224-0.0093537i,0.0026217+0.0088873i,-0.01992+0.0051871i,0.0068592+0.0037105i,-0.02865-0.0090243i,-0.036245+0.0010237i,0.028614-0.080391i,0.013601-0.010326i,-0.041043-0.027958i,-0.023032-0.0043654i,0.018271+0.012743i,-0.02731+0.01068i,-0.010552-0.0087179i
-0.014659+0.017701i,0.010717+0.049087i,0.0253+0.047977i,-0.00076752+0.02i,-0.0023725+0.0087658i,0.02803+0.0045124i,0.011539+0.020113i,0.0052495+0.048791i,0.006514+0.019129i,-0.0021265+0.0066746i,0.00091479+0.0013731i,0.0031138-0.0045662i,0.0030586-0.0027017i,0.0038408-0.00055124i,0.0032975-0.0026521i,0.0052805-0.0017231i,0.012322-0.005194i,-0.00048225-0.00051667i,-0.005103+0.00034102i,-0.00019635+0.0026387i,-0.00038139-0.0011111i,-0.0056601-0.0014497i,-0.002669+0.0007333i,0.010654+0.011305i,0.0026217+0.0021109i,0.0023047+0.0007124i,0.0018936+0.0019026i,-0.0017816+0.0032608i,-0.00036051+0.00060966i,-0.0011716+0.0015235i,0.0015035-0.0040676i,-0.00041734-0.0011372i,-0.00060044-0.0010857i,-0.00010302+0.00069573i,-0.00032886-0.0014416i,-0.0087764+0.0092919i,0.0036492-0.00024875i,0.00093825+1.7307e-05i,-0.0018812+0.0017784i,-0.00096959-0.0030632i,-0.0015233+0.00057941i,-0.0039856-0.0033991i,0.0027186+0.0063i,0.0029502+0.0016734i,-0.024653+0.024561i,-0.059722+0.023063i,-0.033443+0.044756i,-0.020906+0.033454i,-0.0055496+0.051998i,-0.0093066+0.031983i,0.0070109+0.0098994i,-0.0072338-0.0079576i,-0.037356-0.0086182i,-0.04382+0.016206i,0.010779+0.021441i,-0.0019488+0.0032164i,-0.0056724+0.002212i,-0.012627-0.0035424i,0.0097051+0.001866i,0.01204+0.013626i,-0.0033706+0.0083819i,-0.0065562-0.012569i,0.0055155-0.0034265i,-0.0047994-0.0047911i,0.0042221-0.0079496i,0.0057791-0.0025674i,-0.0011152+0.010115i,0.012916-0.0045518i,0.0084623-0.0067483i,0.0054195-0.0075709i,0.0032881-0.00073166i,-0.0038201-0.0069524i,-0.0037195-0.0018164i,0.0031797-0.0013524i,-0.021627+0.038844i,-0.0066259-0.0055256i,0.0015026+0.00092165i,-0.0003571-0.0079064i,0.0030183-0.0011445i,-0.014082-0.0055144i,0.001219-0.0004891i,0.0035791-0.0031658i,0.0026405-0.001966i,0.00043974-0.0063814i,-0.0016441+0.0061974i,-0.00042789+0.0032323i,-0.0031284+0.0063303i,-0.011091-0.001325i,-0.0094474+0.0023666i,-0.040105+0.038069i,-0.0080119+0.016708i,-0.022118-0.00034721i,-0.00036496-0.00085371i,0.0092741+0.020533i,-0.0010914+0.020222i,-0.0060886-0.00087696i
-0.012547+0.01758i,0.017994+0.045001i,0.033312+0.042668i,0.0037044+0.02201i,0.0020149+0.0091058i,0.028375-0.0014991i,0.013335+0.016767i,0.014104+0.045164i,0.0091656+0.017065i,-0.00025585+0.006434i,0.0016667+0.0014881i,0.00032847-0.0034482i,0.0016942-0.0026667i,0.0035666-0.00070882i,0.0024663-0.0031408i,0.0041434-0.0015726i,0.0093366-0.0079115i,0.00025626-0.00014181i,-0.0047563+0.0010628i,0.00088028+0.0016036i,-0.00087465-0.0015113i,-0.0056457-3.0528e-05i,-0.0025299+0.0008127i,0.015931+0.003375i,0.0027455+0.0021288i,0.0027363-0.00027701i,0.0021619+0.00084149i,-0.0004283+0.0038409i,-0.00053497+0.0010036i,-0.00067935+0.0018734i,-0.00043068-0.0040951i,-0.00089551-0.0012898i,-0.0015606-0.00084928i,0.00016467+0.00039285i,-0.00087994-0.0004613i,-0.0050674+0.010732i,0.0029956-0.0015209i,0.0010239-9.3499e-05i,-0.00077014+0.0024474i,-0.0014869-0.0022731i,-0.0013001+0.00070039i,-0.00072387+0.0044426i,0.0034311+0.0046562i,0.0023415+0.0012649i,-0.017936+0.027138i,-0.052326+0.032241i,-0.027179+0.050228i,-0.013388+0.035002i,0.0082846+0.047921i,-0.00025953+0.025448i,0.0021276+0.0032932i,-0.014222-0.0116i,-0.041122-0.0074701i,-0.035077+0.017769i,0.013789+0.016192i,-0.0023079+0.0037042i,-0.004701+0.0064123i,-0.013063+0.0021068i,0.0081763-0.0015728i,0.014731+0.011058i,0.0010027+0.012591i,-0.012505-0.010363i,0.0019102-0.0045757i,-0.0044019-0.0018308i,-0.00077067-0.0079351i,0.0041215-0.0044901i,0.0039221+0.0077952i,0.008572-0.0076145i,0.003203-0.010258i,0.0013628-0.0056595i,0.004194-0.001694i,-0.0049697-0.0049562i,-0.0023586+0.00069558i,0.0030536-0.0019579i,0.0033977+0.041858i,-0.0076732-0.004535i,0.0022632-0.001024i,-0.0042476-0.0067633i,0.003639-0.0018009i,-0.013679+0.0014308i,0.0014289-0.00019936i,0.0019282-0.0030104i,0.0026979-0.0033712i,-0.0010317-0.0064328i,0.00045536+0.0031183i,0.000975+0.0028624i,0.00012671+0.006904i,-0.010307+0.0023301i,-0.0092819+0.0041663i,-0.03204+0.039478i,-0.0052378+0.019883i,-0.024309-0.00048614i,-0.0013684-0.0052669i,0.01242+0.019843i,0.0031153+0.021854i,-0.0084594-0.00061855i
-0.011423+0.018009i,0.02379+0.039575i,0.042029+0.034804i,0.01126+0.020222i,0.0067995+0.0074924i,0.027258-0.007778i,0.01408+0.013327i,0.021946+0.039385i,0.012203+0.015367i,0.0012635+0.0061227i,0.0020348+0.00035779i,-0.00010579-0.0014798i,0.00044635-0.0027972i,0.0034721-0.0013624i,0.0016277-0.0032001i,0.0032575-0.0014996i,0.0061435-0.0095574i,0.00037072-0.00066061i,-0.003885+0.0030164i,0.00087215+0.00023156i,-0.0019101-0.0017003i,-0.0051875+0.0014948i,-0.0026766+0.0011836i,0.014231-0.0042194i,0.0037977+0.00097052i,0.0021997-0.0014847i,0.0019968+4.2653e-05i,0.0013812+0.0033397i,7.9829e-05+0.0013928i,-0.00022807+0.0021258i,-0.0020082-0.0031107i,-0.0016414-0.0004941i,-0.0016812+0.00010216i,0.00012615+4.772e-05i,-0.00057133+0.00023853i,-0.0019192+0.010843i,0.0020893-0.0022753i,0.00099994-0.00076212i,0.00019418+0.0018461i,-0.0020551-0.0014948i,-0.0012705+0.00087459i,-0.0018276+0.0020209i,0.0032423+0.0043949i,0.0024896+0.0012843i,-0.010917+0.027452i,-0.043956+0.039897i,-0.018839+0.054619i,-0.0054455+0.03394i,0.020268+0.03945i,0.0064262+0.03109i,-0.004875+0.0009266i,-0.021274-0.010579i,-0.045091-0.0026503i,-0.027683+0.016091i,0.016106+0.01125i,-0.0023719+0.0042308i,-0.0027307+0.0079002i,-0.012112+0.0061468i,0.0052409-0.0053972i,0.01723+0.0073409i,0.0071986+0.01298i,-0.016633-0.0063735i,0.0002796-0.0024924i,-0.003795+0.00023064i,-0.003232-0.0054065i,0.001628-0.0051044i,0.0057195+0.0061513i,0.0054345-0.0084894i,-0.0033643-0.0068657i,0.00084818-0.0033216i,0.0039946-0.0043474i,-0.0057742-0.0046498i,-0.00038627+0.00088102i,0.0017936-0.0027376i,0.021035+0.029321i,-0.0095629-0.0016545i,0.0021486-0.0021051i,-0.0043296-0.0040466i,0.0044349-0.0038625i,-0.010078+0.0061896i,0.0023267-0.00029979i,0.00058998-0.003615i,0.00090261-0.0037421i,-0.0038498-0.0051881i,-0.00037166+0.002777i,0.0021558+0.0016906i,0.0027205+0.0070448i,-0.0090014+0.0044634i,-0.0086755+0.0067458i,-0.02619+0.039573i,0.0027768+0.021819i,-0.023867+0.0036184i,-0.0037378-0.008947i,0.017447+0.016463i,0.0089746+0.023268i,-0.0099527+0.0013566i
-0.010104+0.019232i,0.027256+0.034528i,0.046953+0.024394i,0.016929+0.01423i,0.01055+0.0033316i,0.024301-0.013228i,0.014113+0.011027i,0.026867+0.032088i,0.015476+0.011824i,0.0024353+0.0052776i,0.0018055+0.00010358i,0.00070294-0.00050148i,-0.0013319-0.001632i,0.002909-0.0017508i,0.00069712-0.0032333i,0.002751-0.00081545i,0.0026224-0.0095885i,0.00034138-0.00074978i,-0.003135+0.0067461i,-1.8079e-05-0.00036593i,-0.0027124-0.00073904i,-0.0043698+0.0030844i,-0.0024896+0.0019205i,0.0092549-0.0094011i,0.003731-0.00050295i,0.0011194-0.0018344i,0.0016639-0.00056931i,0.0019457+0.0020133i,0.00074355+0.00092187i,0.00050766+0.0025398i,-0.002976-0.0014991i,-0.001618+0.00041181i,0.0019509-0.00077204i,2.3099e-06+1.2765e-05i,-0.0002318+0.00046942i,0.0010512+0.010776i,0.0012926-0.0026974i,0.00028152-0.0011935i,0.00030979+0.0017571i,-0.0023735-0.00084703i,-0.0009453+0.0011083i,-0.00074073+0.0020168i,0.003624+0.0044067i,0.0029516+0.0010069i,-0.0051144+0.025151i,-0.033657+0.045877i,-0.01019+0.057905i,-0.00018266+0.03159i,0.029207+0.02713i,0.0156+0.022947i,-0.012372+0.0036382i,-0.028811-0.0061441i,-0.047568+0.0054843i,-0.02408+0.012061i,0.017449+0.0048507i,-0.0019747+0.0056019i,0.00026341+0.010132i,-0.009736+0.0096132i,-0.00048336-0.0057526i,0.019367+0.0012461i,0.012814+0.010158i,-0.019689-0.00038076i,5.2011e-05-0.0017766i,-0.0026211+0.0014039i,-0.0043315-0.0021671i,-0.00016608-0.0047945i,0.0073515+0.0029318i,0.0020916-0.0093443i,-0.0051869-0.0022217i,0.001749-0.0025524i,0.0018651-0.0063734i,-0.0053377-0.0019908i,0.00094061+0.00050535i,0.0010563-0.0028541i,0.028827+0.015078i,-0.0089138+0.0034131i,0.001867-0.0034901i,-0.0041626-0.0023055i,0.0026721-0.0066213i,-0.0057261+0.008033i,0.0031407-0.0015558i,-0.0010068-0.0025989i,-0.00014357-0.0033077i,-0.0041576-0.0019733i,-0.0002364+0.0029979i,0.0021592+0.00027771i,0.0064779+0.0054441i,-0.007598+0.0059955i,-0.0073613+0.0087742i,-0.021059+0.041109i,0.014046+0.016249i,-0.021748+0.0081115i,-0.0095689-0.011275i,0.019629+0.011037i,0.015805+0.021078i,-0.0090122+0.0026874i
-0.0078618+0.020634i,0.030919+0.030592i,0.048911+0.013928i,0.019454+0.0072766i,0.011291-0.0021212i,0.020952-0.017508i,0.014362+0.0098512i,0.029703+0.025586i,0.017201+0.0073541i,0.0028695+0.004169i,0.0016511+0.0002073i,0.0018656-0.00048401i,-0.0016073+0.00055151i,0.0022035-0.0021662i,0.00011985-0.0026835i,0.0029754-4.5383e-05i,2.7501e-05-0.0082706i,-1.872e-05-0.00078764i,-0.0021984+0.0052193i,-0.00075181-0.00020789i,-0.0029129+0.00020611i,-0.0024572+0.004168i,-0.0017776+0.0025959i,0.002929-0.011825i,0.0029805-0.0015335i,0.00045241-0.0017909i,0.0012169-0.0010874i,0.0016954+0.00085968i,0.00071685+0.00050374i,0.0017781+0.0023187i,-0.0028392-2.9626e-05i,-0.0012675+0.00097728i,-0.00035424+0.00090774i,0.0002819+0.00036491i,0.0001753+0.00054127i,0.0037465+0.0095467i,0.00034116-0.0027175i,-0.0003178-0.00078661i,0.0011544+0.0020031i,-0.0023085+2.8812e-05i,-0.00074874+0.0010015i,0.00023474+0.0022252i,0.0041783+0.0029209i,0.0028383+9.7775e-05i,-0.0018358+0.02262i,-0.022296+0.048508i,0.0018314+0.059668i,0.0047472+0.029875i,0.031549+0.013749i,0.019014+0.015193i,-0.015585+0.01148i,-0.03356+0.0038643i,-0.048687+0.016162i,-0.024669+0.0091366i,0.014706-0.00070207i,-0.00019012+0.0067388i,0.0049317+0.0094916i,-0.0065528+0.012101i,-0.003521-0.0025993i,0.017677-0.0068313i,0.016837+0.0048391i,-0.019516+0.0065284i,0.00017164-0.00031541i,-0.0016432+0.0022568i,-0.002546+6.646e-05i,-0.0023045-0.0032448i,0.0072793+0.00035512i,-0.0010604-0.0092955i,-0.0041386+0.0019611i,0.0026061-0.0031483i,-0.0010369-0.0069084i,-0.0043526+0.0019467i,0.0021321-0.00016723i,0.00046273-0.0024477i,0.030026+0.00071839i,-0.0054238+0.0062588i,0.0002841-0.0046658i,-0.0034327-0.0019414i,-0.00020458-0.0075304i,-0.0020186+0.0075528i,0.0020845-0.0027355i,-0.0012294-0.00057207i,3.763e-05-0.0022883i,-0.0024964-0.00078192i,0.00094417+0.0032232i,0.0010081-0.00075564i,0.011159+0.0008454i,-0.0061901+0.006624i,-0.0053362+0.011249i,-0.014652+0.042558i,0.018571+0.0033309i,-0.017201+0.0095532i,-0.01612-0.0099265i,0.020373+0.0056736i,0.021312+0.014647i,-0.0094299+0.0028495i
-0.0050811+0.021231i,0.035156+0.025871i,0.0495+0.0042669i,0.020205-7.3883e-05i,0.010719-0.0063954i,0.01681-0.021232i,0.015987+0.0087179i,0.031666+0.019071i,0.017809+0.0023299i,0.0032836+0.0037716i,0.0020806+0.0002145i,0.002374-0.00083583i,-7.4019e-05+0.0021691i,0.0015867-0.0020448i,-3.5929e-05-0.0023597i,0.0039159+0.00040184i,-0.0012665-0.0072403i,0.00022226-0.00096304i,-0.00075467+0.00466i,-0.0010771+0.00023339i,-0.0025204+0.0010077i,-0.00036789+0.0036932i,-0.00091954+0.0027983i,-0.0054429-0.01048i,0.0024501-0.0022043i,-0.00029374-0.0017057i,0.00053783-0.0013852i,0.0013878+0.00048633i,0.00071876+0.00038059i,0.0024987+0.0011964i,-0.0023331+0.00099693i,-0.00066311+0.0016025i,-0.00016195+0.0012961i,0.00064777-0.00022832i,0.00032738+0.00012561i,0.0054072+0.0072042i,-0.00086062-0.0026463i,-0.00038892-0.0004182i,0.001553+0.00095584i,-0.0016315+0.00024545i,-0.00086481+0.0011131i,-0.00010228+0.00064347i,0.0024076+0.0032746i,0.002293-0.00021869i,0.00083753+0.020032i,-0.011695+0.047981i,0.014056+0.056126i,0.0099035+0.027688i,0.029922+0.0021487i,0.019589+0.0082348i,-0.013309+0.019996i,-0.031949+0.016409i,-0.04356+0.030368i,-0.02741+0.0096631i,0.011262-0.0033706i,0.0018617+0.0064575i,0.0078536+0.0069736i,-0.002955+0.014811i,-0.003877+0.00029909i,0.0119-0.013712i,0.017377-0.0025889i,-0.016362+0.011605i,0.0015267-0.00017372i,-0.00021158+0.0022044i,-0.0011109+0.00022133i,-0.0025095-0.00060858i,0.0058891-0.0013726i,-0.0030236-0.0077437i,-0.0010658+0.0036456i,0.0021576-0.0047663i,-0.0033293-0.0056204i,-0.0026193+0.0027063i,0.0023378-0.0018777i,0.00066923-0.0020138i,0.025799-0.013388i,-0.0018339+0.0066676i,-0.0016899-0.0043198i,-0.0037051-0.0013172i,-0.003147-0.006866i,0.00036218+0.0063569i,0.0047006-0.0082707i,0.00032649+8.4823e-05i,0.00033368-0.003714i,-0.0011575-0.0010989i,0.0030815+0.0030109i,-0.00021209-0.00016419i,0.0051809-0.0011415i,-0.0053028+0.0068285i,-0.0015708+0.012611i,-0.008008+0.042746i,0.014762-0.0081509i,-0.014001+0.0067994i,-0.022142-0.0049635i,0.018705-0.0010736i,0.022518+0.0075112i,-0.0098983+0.0043838i
-0.0021744+0.021592i,0.038287+0.019826i,0.048012-0.006564i,0.017695-0.0082981i,0.0091332-0.011017i,0.011792-0.023941i,0.018318+0.0066219i,0.032635+0.013049i,0.016448-0.0019701i,0.0037047+0.0035199i,0.0022216-0.00037462i,0.0028078-0.0023557i,0.0015856+0.0022769i,0.001073-0.0019566i,-0.00012931-0.0021043i,0.0051523-0.00019729i,-0.0025589-0.0064473i,-0.0004146-0.0013697i,0.00090967+0.0037743i,-0.0014617+0.00091434i,-0.0023442+0.0014639i,0.0006555+0.0024924i,-0.00039317+0.0027049i,-0.012577-0.0022657i,0.0012146-0.0035821i,-0.0009976-0.0012446i,-0.00026-0.001303i,0.0015463+0.00033538i,0.00091562+0.0001527i,0.0023987-3.6739e-05i,-0.0014862+0.00169i,-2.4044e-05+0.001979i,0.00020227+0.0014827i,0.00077485-0.00088957i,7.0055e-05-0.00015587i,0.0059877+0.0048903i,-0.0021243-0.0018957i,-0.0004392-0.0002994i,0.0012992+0.00048178i,-0.0010658+9.4308e-05i,-0.00063662+0.0015247i,1.7844e-05+0.0012886i,0.0024815+0.0071021i,0.0019216-0.00031939i,0.0026309+0.017932i,-0.0023626+0.045421i,0.023521+0.049341i,0.015135+0.02486i,0.025071-0.0070221i,0.018297+0.003495i,-0.0068984+0.025075i,-0.022917+0.026337i,-0.030928+0.040131i,-0.029274+0.013928i,0.0079719-0.0041468i,0.0034996+0.005335i,0.0089547+0.003349i,0.0030049+0.015065i,-0.0039293+0.002091i,0.0020679-0.0165i,0.013706-0.0088365i,-0.013117+0.014289i,0.0024363-0.0015232i,0.000359+0.001399i,-0.00070985-0.00045832i,-0.00086205+0.0010544i,0.0046362-0.001435i,-0.003772-0.006189i,0.0017356+0.0036208i,0.00046225-0.0062183i,-0.0047592-0.0037431i,-0.0012474+0.002999i,0.0012785-0.0034622i,0.00096316-0.0027004i,0.015844-0.020823i,0.00080348+0.0059095i,-0.002736-0.0033212i,-0.0031908-0.00070645i,-0.0050301-0.0057568i,0.0016073+0.0049905i,0.0021856-0.0078317i,0.0012367-0.00050734i,-0.0010662-0.003721i,-0.0014561-0.0019047i,0.0040004+0.0038618i,-0.00066308+0.0011098i,0.0045167-0.0020864i,-0.0048592+0.0076182i,0.0022522+0.011905i,-0.0011745+0.042385i,0.0076821-0.016114i,-0.015881+0.0031489i,-0.024191+0.0028381i,0.013114-0.005756i,0.022316+0.00128i,-0.0082665+0.0054533i
0.0010127+0.021233i,0.0408+0.014171i,0.043213-0.015707i,0.011464-0.013491i,0.0056158-0.014919i,0.0068446-0.024993i,0.02086+0.0031692i,0.03265+0.0072102i,0.01451-0.0055715i,0.0045637+0.0034636i,0.0020951-0.00049962i,0.0012641-0.0038228i,0.0030248+0.001561i,0.00092117-0.0019371i,-1.0919e-06-0.0021729i,0.0057984-0.0011709i,-0.0044111-0.0049437i,-0.0010301-0.0010192i,0.00161+0.0025397i,-0.0010374+0.0020905i,-0.0021119+0.0020929i,0.00070811+0.0011467i,0.00014051+0.0026473i,-0.0021322+0.010411i,-0.0010876-0.0033589i,-0.0012891-0.00058652i,-0.00074066-0.00090782i,0.0014679+3.6555e-05i,0.00064929-0.00039361i,0.0019037-0.00079454i,-0.00047085+0.0018685i,0.0007693+0.0017642i,0.0010761+0.0011818i,0.00069502+0.00072325i,-1.8192e-05+0.00012851i,0.0058421+0.0030527i,-0.0027521-0.00082568i,-0.0004658+0.00016207i,0.0011757+0.00048954i,-0.00066954-0.00041282i,-6.6568e-06+0.001908i,0.00049098+0.0013205i,0.0084864+0.011653i,0.0015176-0.00019546i,0.0042351+0.015708i,0.0054897+0.040877i,0.029616+0.041959i,0.020319+0.020611i,0.018946-0.012776i,0.016027+0.00054444i,0.00046621+0.027429i,-0.011994+0.029715i,-0.016562+0.044103i,-0.028093+0.019544i,0.006409-0.0039164i,0.0048358+0.0038038i,0.0082064+0.00052705i,0.0076759+0.012357i,-0.0031781+0.0045382i,-0.0072843-0.012863i,0.0084967-0.011483i,-0.0093399+0.017437i,0.0019335-0.0038549i,0.00069961+0.0010272i,-0.00085176-0.00032458i,0.001065+0.0012i,0.0043956-0.0018973i,-0.0050163-0.0048392i,0.0036626+0.0018308i,-0.0026938-0.006683i,-0.0051665-0.0015132i,0.00020451+0.0021825i,0.00025626-0.0040717i,0.00039428-0.0040095i,0.0060792-0.022982i,0.0027955+0.004723i,-0.003501-0.0026418i,-0.0036243-0.00061882i,-0.0066242-0.0036486i,0.0017772+0.0042447i,-0.0013319-0.0093418i,0.0019523-0.0014386i,-0.001705-0.0026264i,-0.0018074-0.0021987i,0.005223+0.0031054i,-0.00018074+0.002022i,0.0030048-0.0032513i,-0.0038405+0.0088809i,0.0052156+0.0097577i,0.0066035+0.041528i,-0.0029044-0.02085i,-0.019847+0.0029938i,-0.02229+0.010833i,0.0074298-0.0060887i,0.019551-0.0052943i,-0.006283+0.0037819i
0.0039218+0.019889i,0.043027+0.0072213i,0.037874-0.022133i,0.0055057-0.014692i,0.0012381-0.017105i,0.0026519-0.025415i,0.02256-0.0021278i,0.032436+0.0022813i,0.011875-0.0080483i,0.0061697+0.0026228i,0.0025378-0.00080197i,-0.00041533-0.0036119i,0.0036744-0.00024254i,0.00067468-0.002069i,-0.0003353-0.0024674i,0.0062853-0.0021444i,-0.0049277-0.0025706i,-0.0010251-0.0008555i,0.0015775+0.0015471i,6.1275e-05+0.0023825i,-0.0019649+0.0031113i,0.00026207+0.0003784i,0.00065935+0.002507i,0.0044407+0.00041191i,-0.0022916-0.0019116i,-0.0013995+8.9661e-05i,-0.00084833-0.00048772i,0.0011331-5.52e-05i,0.00013935-0.00020468i,0.0011353-0.0015149i,0.00050055+0.0015762i,0.0011828+0.0014054i,0.0013154+0.00096351i,0.00069589+0.00034859i,0.00041915+0.00012926i,0.0054377+0.0012736i,-0.0032815+0.00030421i,-0.00015534+0.00036584i,0.0012403+1.9559e-05i,-0.00062119-0.00092791i,0.00071376+0.001805i,0.00050695+0.0011495i,0.019771+0.0074197i,0.0013043+4.3736e-06i,0.0050525+0.013619i,0.010418+0.035119i,0.034312+0.035109i,0.023734+0.014291i,0.012591-0.015883i,0.014485+0.00036069i,0.008446+0.027287i,-0.0021555+0.030267i,-0.0029661+0.042803i,-0.024552+0.025425i,0.0055635-0.0046529i,0.0056974+0.0015076i,0.0075838-0.0015508i,0.010946+0.0078259i,-0.00053598+0.0054254i,-0.012072-0.0059821i,0.0032235-0.012316i,-0.0040781+0.018402i,-0.00088071-0.0049853i,0.00020555+0.00090993i,-0.0011525-2.1578e-05i,0.0023073+0.00017424i,0.0037887-0.0016779i,-0.005858-0.0023316i,0.0037914-9.2e-05i,-0.0054002-0.0045744i,-0.0042004+0.0006266i,0.00053259+0.00074504i,-0.00090657-0.0046013i,-0.0011472-0.0043171i,-0.002609-0.021625i,0.0045495+0.0023877i,-0.0044851-0.0016133i,-0.0039723+0.00093863i,-0.0067499-0.00084691i,0.0026552+0.0040903i,-0.00546-0.0087113i,0.0021954-0.0029571i,-0.0019238-0.0022344i,-0.0023815-0.0028209i,0.0069001+0.0020483i,0.00049556+0.0026315i,0.0016545-0.0025045i,-0.0018861+0.0095871i,0.0067544+0.0070715i,0.014747+0.038001i,-0.015528-0.018768i,-0.023364+0.0046702i,-0.015881+0.015041i,0.0041519-0.0045843i,0.014027-0.0096689i,-0.0079153+0.002452i
0.0060166+0.018455i,0.043601-0.00046892i,0.032522-0.027705i,0.0012013-0.014242i,-0.0031805-0.017949i,-0.0018455-0.02579i,0.022378-0.0087395i,0.032115-0.0034549i,0.0094839-0.0097868i,0.0072093+0.00099729i,0.0028422-0.001837i,-0.0015467-0.0026406i,0.0031198-0.0019871i,0.00039237-0.0020074i,-0.0011108-0.002687i,0.0066078-0.0035076i,-0.0045673-0.00076375i,-0.0012805-0.00091899i,0.0015388+0.00098736i,0.00090063+0.0022125i,0.00066859+0.0023608i,-0.00048726+0.00029016i,0.0010228+0.0020934i,-0.001273-0.0022055i,-0.0022741-0.00046507i,-0.001229+0.00078264i,-0.00091047-0.00013717i,0.00093864+0.00061443i,4.066e-05-8.4637e-05i,5.8531e-05-0.0016626i,0.0011242+0.00096247i,0.0016612+0.001021i,0.0017432+0.0005926i,0.0007887-0.00026714i,0.00073904-0.00037641i,0.0048482+2.9775e-05i,-0.0026641+0.00097142i,0.00023233+0.000402i,0.00062083-0.00045803i,-0.00064252-0.0014404i,0.0013142+0.0014685i,0.00074026+0.0011815i,0.019113-0.010154i,0.0014022+0.00085816i,0.0054635+0.012233i,0.013021+0.030839i,0.038041+0.028114i,0.024844+0.0089578i,0.0061025-0.017624i,0.016182+0.00088703i,0.015909+0.02422i,0.008465+0.027503i,0.0094843+0.036487i,-0.017785+0.030085i,0.0040316-0.005501i,0.0049617-0.0018458i,0.006786-0.00382i,0.01121+0.0028457i,0.0010074+0.0047829i,-0.013102+0.0017902i,-0.0018004-0.010972i,2.4647e-05+0.016747i,-0.0030334-0.0034691i,0.00014146+0.0016336i,-0.0012669+0.00039416i,0.0032729-0.0014349i,0.0042772-0.00077561i,-0.0045035-0.00046055i,0.0036602-0.00087041i,-0.0064632-0.0018256i,-0.0018939+0.001227i,7.098e-05+0.00033102i,-0.0033567-0.005009i,-0.0025388-0.0035806i,-0.0098547-0.01785i,0.0047627-0.0003823i,-0.0048001+0.00022357i,-0.0027341+0.0019279i,-0.0058256+0.0013996i,0.0041281+0.0035723i,-0.0085878-0.0057678i,0.0010367-0.004824i,-0.0025122-0.0016501i,-0.0042248-0.0026777i,0.0079751-0.00055022i,0.0021597+0.003475i,0.0019353-0.0019695i,0.00061091+0.010007i,0.0069446+0.0040354i,0.02174+0.031744i,-0.022492-0.010061i,-0.026695+0.0095953i,-0.010549+0.01671i,0.0019231-0.0023216i,0.0087424-0.010337i,-0.0088077+0.0030618i
