-0.023964-0.038712i,-0.010457-0.049961i,-0.017363-0.045582i,-0.030489-0.035289i,-0.029867-0.01695i,-0.050647-0.028649i,-0.058132-0.026511i,-0.044047-0.038252i,-0.024043-0.029293i,0.0078995+0.012853i,-0.005784+0.015749i,-0.0049461+0.014712i,0.0094018+0.020952i,0.00032363+0.0045972i,0.0035405+0.0034895i,0.0063588+0.018043i,0.024693+0.034046i,-0.0027869-0.0011156i,-0.0048936-0.0062901i,0.0066367+0.0028419i,-0.0002172-0.00086076i,-0.0012737+0.0016044i,0.00020486-0.00043853i,-0.029081-0.0025958i,-0.0014578-0.0057288i,0.0018809+0.0045774i,0.0032028-0.00039225i,-0.00023971+0.00076645i,0.00059591-0.00032936i,-0.00084252-0.0027118i,-0.0018885-0.0058331i,-0.0043552-0.0048093i,-0.0023872-0.0043012i,0.0024709-0.00042296i,0.0021828-0.0028564i,-0.0028299+0.025713i,0.001293-0.003463i,0.0028101+0.00088622i,0.0057975+0.0011967i,-0.011215-0.0018866i,-0.0039222+1.6434e-05i,0.0057005+0.00040457i,0.0063851+0.00054648i,-0.0035438+0.004851i,0.0021346-0.0095513i,-0.011651+0.017751i,0.035488-0.090124i,0.0125-0.07013i,-0.015465-0.059759i,-0.015024-0.056701i,0.039388-0.046336i,0.016708-0.062739i,0.034613-0.056011i,0.030881-0.060115i,0.015302-0.013265i,0.0044803+0.01736i,0.017579-0.026331i,-0.011769+0.0059675i,-0.00082882+0.0053253i,-0.0054047-0.0010397i,-0.0019038-0.028766i,-0.023538+0.031827i,0.010183-0.011269i,-0.012909-0.002944i,-0.00036033-0.0050201i,-0.0012263-0.016346i,-0.0079235+0.0044895i,0.0053661+0.0061025i,-0.008499+0.029639i,0.0052747+0.0057303i,-0.0052829-0.00071039i,-0.0031499-0.00026497i,-0.011532-0.0085353i,-0.00082483-0.0041978i,-0.033615+0.027974i,0.00029263-0.0098952i,-0.0089966-0.002303i,-0.0064712-0.0030117i,0.0063881+0.0032009i,-0.0074439+0.001592i,-8.8321e-06+0.0004513i,0.0062975+0.011715i,0.0036153+0.0012069i,-0.0092746-0.01008i,0.0032766+0.0081045i,-0.022664+0.0045032i,0.0080164-0.00011648i,-0.028907-0.003767i,-0.042036+0.0043115i,0.021135-0.098272i,-0.0016874-0.012387i,-0.052837-0.022214i,-0.02281+0.00063067i,0.018116+0.010954i,-0.024509+0.012968i,-0.019632-0.012028i
0.0080021+0.021913i,0.013807+0.052082i,0.024224+0.035992i,0.016986+0.027869i,0.024522+0.027768i,0.033238-0.014053i,0.01798-0.0085822i,0.029472+0.0065988i,0.01196+0.014261i,0.0029613+0.0038683i,0.0050815+0.0030999i,0.0043333+0.0032312i,0.0058575+0.0028097i,0.0049944+0.0038537i,0.0030908-0.0033799i,0.0081755-0.0015959i,0.010252-0.0015819i,-0.0016971-0.0014141i,-0.0031766+0.00067524i,7.373e-06+0.0013107i,-0.0011199-0.0002195i,-0.0027571+0.0011126i,-0.0019626+0.0010791i,0.0045547+0.0084322i,0.0017071+0.0012211i,0.0023911+0.00045961i,0.0018751+0.0011233i,0.001169+0.0013738i,0.00058593+9.263e-05i,-0.00054817+0.00094246i,-0.0019841-0.0031586i,-0.00087036-0.00046919i,-0.0010124+0.0009281i,-0.00099083+0.00023716i,-0.00045247-0.0016344i,-0.0063575+0.0079428i,0.0011569+0.00037206i,0.0013595-0.00050961i,-0.00081223+0.0022475i,-0.00011849-0.003682i,-0.0012067+0.00025506i,-0.0018936-0.00049608i,0.0021855+0.00050497i,0.0066913+0.0058321i,-0.01365+0.032728i,-0.08101+0.035197i,-0.051442+0.038271i,-0.037582+0.059805i,-0.019697+0.072617i,-0.0091478+0.050329i,0.015745+0.032809i,0.0034971-0.0010547i,-0.036302+0.0089321i,-0.045225+0.019658i,0.0016835+0.023993i,-0.0081958+0.0027024i,-0.010756-0.00088475i,-0.014346-0.0019815i,0.0021722+0.00052961i,0.0059444+0.0095226i,-0.0018412+0.0083744i,-0.0065683-0.011638i,0.0055492-0.0068167i,-0.0068158-0.0067576i,0.0019814-0.0061311i,0.0036002-0.0041434i,-0.0016662+0.01016i,0.0096304-0.0041892i,0.0051315-0.0057938i,0.003389-0.006904i,0.0031238-0.00029566i,-0.0012643-0.004469i,-0.0033916-0.00060587i,0.0026504-0.00060543i,-0.0089918+0.028873i,-0.0041704-0.0039028i,0.0020528+0.00032675i,0.00028198-0.0070931i,0.0025175-0.0014591i,-0.015405-0.0020985i,0.00051312+3.9012e-05i,0.0054359-0.0029066i,0.0030778-0.0010682i,0.0004368-0.0044107i,-0.00024957+0.005861i,-0.0012991+0.0069745i,-0.003142+0.0044144i,-0.012343+0.0028247i,-0.015332-0.0018146i,-0.04013+0.057222i,0.00060844+0.005103i,-0.024922-0.017184i,-0.0054295-0.0059874i,0.0097483+0.020049i,-0.001531+0.022222i,-0.00054768-0.0010398i
0.010682+0.018241i,0.022158+0.047457i,0.030137+0.031419i,0.021956+0.025635i,0.030435+0.023666i,0.029938-0.020003i,0.015225-0.012036i,0.030287+0.0010356i,0.013841+0.011259i,0.0040563+0.0026279i,0.0058863+0.0017253i,0.0041233+0.0031041i,0.0059843+0.0017055i,0.0056999+0.0025462i,0.0019881-0.0039161i,0.0067531-0.0030348i,0.009662-0.004892i,-0.0013575-0.001216i,-0.0024987+0.00081512i,0.00065071+0.0005573i,-0.0013497-0.0002484i,-0.0024932+0.0016704i,-0.0015725+0.0011216i,0.0084268+0.0058952i,0.0016228+0.0012047i,0.0027448-0.00059436i,0.0019477+7.1763e-05i,0.0014601+0.00063001i,0.00026084+2.3514e-05i,-0.00040388+0.00099976i,-0.0032906-0.0019595i,-0.0012651-0.00043514i,-0.00071767+0.0011344i,-0.00074825+0.00066182i,-0.0011877-0.00063708i,-0.0036356+0.0093427i,0.00095438-0.00017791i,0.0010121-0.00085835i,0.00023226+0.0021658i,-0.0012982-0.0030686i,-0.0010889+0.0003554i,-0.0021243+4.9525e-05i,0.0017601+0.00050932i,0.0072333+0.0048555i,-0.0073632+0.034044i,-0.06946+0.049334i,-0.047308+0.04682i,-0.027453+0.063939i,-0.0035728+0.070221i,0.001213+0.048292i,0.01484+0.03458i,-0.0018345-0.0057176i,-0.037482+0.011049i,-0.036631+0.02142i,0.0074795+0.021997i,-0.0082547+0.0049481i,-0.010026+0.0050153i,-0.013851+0.0016552i,0.0012222-0.0008661i,0.0077114+0.0088655i,0.0022949+0.011223i,-0.012266-0.0097707i,0.00085354-0.0074816i,-0.0063664-0.0029457i,-0.0013065-0.0059385i,0.0011802-0.0053376i,0.0028031+0.0080826i,0.0063791-0.0067642i,0.0012673-0.0058379i,-2.1188e-05-0.0042074i,0.0039914-0.0015581i,-0.0022584-0.0038721i,-0.0013328+0.0013883i,0.0028214-0.00086732i,0.0017298+0.025377i,-0.0052796-0.002951i,0.0026487-0.0016781i,-0.0034633-0.0062937i,0.0028344-0.002273i,-0.013533+0.0040151i,0.00097056+0.00049896i,0.0036798-0.0029132i,0.0033397-0.0021916i,-0.0007409-0.0041047i,0.0017013+0.0026886i,0.0017052+0.0059799i,-0.00046278+0.0054828i,-0.010567+0.0067097i,-0.016412+0.0018257i,-0.029263+0.058323i,0.00092137+0.0056908i,-0.028759-0.011882i,-0.009149-0.0094916i,0.012324+0.018851i,0.003016+0.023721i,-0.0031753-0.0019534i
0.01201+0.015306i,0.028557+0.04092i,0.035869+0.024543i,0.02781+0.020936i,0.036218+0.017917i,0.025341-0.025493i,0.011664-0.01508i,0.029996-0.0048705i,0.015415+0.0084356i,0.0041542+0.001272i,0.0055828-0.00033748i,0.0049716+0.0029534i,0.0060036+0.00013577i,0.0061009+0.00075008i,0.00077864-0.0040732i,0.0051668-0.0039241i,0.0068849-0.0088215i,-0.0018279-0.0012319i,-0.0020727+0.0016037i,0.00047141-0.00052465i,-0.0018727-0.0001947i,-0.0019182+0.0022693i,-0.0014133+0.0012155i,0.0094274+0.0014411i,0.0022958+0.00049945i,0.001963-0.0015723i,0.0015469-0.00063874i,0.0016699+4.7639e-05i,0.00021151+0.00015869i,-0.00016644+0.001147i,-0.0036195-0.00017928i,-0.0018995+0.00049271i,-0.00011424+0.0014778i,-0.0004417+0.00097668i,-0.00095536+0.00034632i,-0.00013583+0.0088204i,0.00071573-0.00031857i,0.00064116-0.001181i,0.00097749+0.0015503i,-0.0022845-0.0023559i,-0.00096489+0.00042738i,-0.0019839+0.00078156i,0.0017187+0.00091333i,0.0084223+0.0035099i,0.00024584+0.034041i,-0.056433+0.059741i,-0.039471+0.054877i,-0.015855+0.064821i,0.011015+0.063681i,0.010368+0.046511i,0.011935+0.030269i,-0.0072562-0.0067757i,-0.037938+0.016105i,-0.029601+0.020537i,0.012362+0.017649i,-0.007802+0.0069834i,-0.0075642+0.0081035i,-0.01211+0.00438i,-0.00074951-0.0026092i,0.0099091+0.0071188i,0.0071073+0.010818i,-0.016164-0.0053537i,-0.0013469-0.0050481i,-0.005413-0.00025276i,-0.0032727-0.0039678i,-0.0010311-0.0046763i,0.005184+0.0068826i,0.0040798-0.0071961i,-0.0018165-0.0050376i,0.00013419-0.0019711i,0.0035449-0.0042271i,-0.0042392-0.0030045i,-4.8798e-05+0.00076421i,0.0024629-0.0015998i,0.015512+0.019104i,-0.0064022-0.0009759i,0.0024674-0.0029118i,-0.0033429-0.0037229i,0.0031615-0.0037896i,-0.0094644+0.0086217i,0.0021456+0.00048927i,0.0022192-0.003571i,0.0022342-0.0027948i,-0.0014036-0.0032837i,0.0011102+0.0015828i,0.0037562+0.0038499i,0.0019964+0.0051977i,-0.0083185+0.0088079i,-0.016115+0.0065597i,-0.020633+0.058153i,0.0046072+0.0059046i,-0.030406-0.0062348i,-0.012787-0.011042i,0.016563+0.015297i,0.008573+0.024166i,-0.0050439-0.0011015i
0.013015+0.012965i,0.032204+0.034728i,0.038499+0.016504i,0.031721+0.013554i,0.040244+0.0097957i,0.019279-0.029459i,0.0074427-0.016763i,0.028052-0.010724i,0.016545+0.0053783i,0.0037592+0.00055946i,0.0047862-0.001129i,0.0058166+0.0019674i,0.0052371-0.00083248i,0.0056389-0.00091758i,-0.00054222-0.0038296i,0.0034949-0.0042862i,0.0022439-0.0089169i,-0.0019059-0.00057716i,-0.001402+0.0021198i,-0.00037845-0.00089634i,-0.0021508+0.00065575i,-0.0012535+0.0029219i,-0.0012748+0.0015116i,0.0082575-0.0022931i,0.0020165-0.00036638i,0.0010415-0.0016926i,0.0010856-0.00093413i,0.0011687-0.00081151i,0.00026833+5.3237e-06i,0.00028033+0.0013581i,-0.0033613+0.0016749i,-0.0013569+0.0014292i,0.00052832+0.0011355i,-0.00014617+0.0010949i,-0.00051222+0.00086956i,0.0025055+0.008033i,0.00055637-0.00052049i,0.00017028-0.0013612i,0.0011105+0.0012609i,-0.0027189-0.0013573i,-0.00089497+0.00062944i,-0.0017926+0.0012223i,0.0022167+0.001099i,0.009576+0.0015403i,0.0067531+0.03096i,-0.041094+0.067173i,-0.030345+0.061106i,-0.0066957+0.064057i,0.023444+0.052926i,0.019791+0.041561i,0.010281+0.028087i,-0.013804-0.0051394i,-0.036969+0.022831i,-0.025223+0.017979i,0.015197+0.01133i,-0.0061789+0.0099267i,-0.0042551+0.011261i,-0.010607+0.0074376i,-0.0044612-0.0015752i,0.011945+0.0038444i,0.011506+0.0080574i,-0.018338+0.00027486i,-0.0021378-0.003832i,-0.0035529+0.0013226i,-0.0039676-0.0015391i,-0.0025034-0.0033542i,0.0073336+0.0036078i,0.0018841-0.0072773i,-0.00471-0.0014498i,0.0011592-0.0011503i,0.0012949-0.0058973i,-0.0047354-0.00072829i,0.00077749+0.00093136i,0.0021427-0.0021225i,0.020429+0.0097389i,-0.0065291+0.00217i,0.0020493-0.0042855i,-0.0032184-0.0023364i,0.0015974-0.0061045i,-0.0041926+0.0095805i,0.0031558-0.00060151i,0.00081628-0.0027226i,0.0014686-0.0027738i,-0.0019441-0.0026032i,0.00064019+0.0014866i,0.003923+0.0012152i,0.0043119+0.0042944i,-0.0056102+0.010049i,-0.014493+0.011147i,-0.012799+0.059013i,0.011126+0.0013731i,-0.029199-0.00026203i,-0.01812-0.011384i,0.017642+0.010389i,0.015089+0.022309i,-0.0051392-0.00041977i
0.014446+0.010899i,0.035719+0.029793i,0.039538+0.0092521i,0.033089+0.0060018i,0.041697+0.0010079i,0.013329-0.031771i,0.0034148-0.016777i,0.025081-0.015636i,0.017228+0.0021873i,0.0033454+8.9395e-05i,0.0041872-0.0017144i,0.0064066+0.00059217i,0.0047863-0.0011201i,0.004741-0.0021785i,-0.0015807-0.0029884i,0.00218-0.0038408i,-0.00036457-0.0075851i,-0.0020449+5.9961e-05i,-0.00079365+0.0019587i,-0.0011373-0.00073091i,-0.0019116+0.0013581i,-4.1917e-05+0.0032831i,-0.00097785+0.0019406i,0.0061007-0.0049158i,0.0014392-0.00073808i,0.00047634-0.0016852i,0.00065338-0.0010992i,0.00017272-0.0005924i,9.3188e-05-6.3205e-06i,0.0010537+0.0012943i,-0.0020817+0.0030047i,-0.00046186+0.0018357i,0.00078242+0.0007848i,0.00030421+0.0013281i,0.00012044+0.0010314i,0.0048848+0.0066037i,0.00020818-0.00054122i,-0.00044046-0.0013097i,0.001594+0.00089468i,-0.0028323-0.0001306i,-0.00064732+0.00064475i,-0.0014372+0.0016494i,0.0028166+0.00083591i,0.0096425-0.0012649i,0.011129+0.026642i,-0.024924+0.070007i,-0.018443+0.065973i,0.003007+0.06328i,0.02947+0.03997i,0.026396+0.034458i,0.010584+0.029191i,-0.01786+0.0015873i,-0.034034+0.03185i,-0.024015+0.015786i,0.014036+0.0056183i,-0.0028732+0.012001i,0.00099618+0.011616i,-0.0088001+0.0099878i,-0.005512+0.001832i,0.012274-0.0014027i,0.014541+0.0034423i,-0.018266+0.0061342i,-0.0023816-0.0018091i,-0.0023635+0.0017369i,-0.0028477+6.8555e-05i,-0.0038158-0.0012417i,0.0070003+0.00071754i,-0.00013639-0.006724i,-0.0038433+0.002729i,0.0024305-0.0017739i,-0.0012698-0.006122i,-0.0037219+0.00083913i,0.0021197+0.00023i,0.0016613-0.002457i,0.021082+0.00086682i,-0.0042887+0.0044928i,0.00047136-0.0055967i,-0.0026805-0.0019581i,-0.00089698-0.006712i,-0.00036882+0.0084746i,0.003124-0.0020729i,0.00087334-0.0013357i,0.0012633-0.0026731i,-0.0011687-0.0016215i,0.0011596+0.0018304i,0.0023103-0.00028317i,0.0052417+0.0018755i,-0.0032394+0.0096899i,-0.010473+0.015776i,-0.0043623+0.058874i,0.012876-0.0094593i,-0.025713+0.0020635i,-0.024175-0.008413i,0.01803+0.0056412i,0.020345+0.016904i,-0.0062618-0.00076006i
0.015977+0.0083118i,0.039328+0.024211i,0.040284+0.0020367i,0.033147-0.0015674i,0.041629-0.0074574i,0.0070831-0.033295i,0.00052261-0.015981i,0.02159-0.019786i,0.017581-0.0014155i,0.0027845-0.00025912i,0.0039868-0.0021123i,0.0067101-0.00084476i,0.0050391-0.0016917i,0.0037339-0.0029611i,-0.0021401-0.0021145i,0.0016559-0.0031406i,-0.0016239-0.0066648i,-0.0016879+0.00050922i,-0.00036248+0.0019523i,-0.0015843-0.00018306i,-0.0012764+0.0018167i,0.0014063+0.0028415i,-0.00031825+0.002238i,0.003028-0.0062132i,0.0012141-0.00098251i,-0.00016861-0.0015974i,0.00023242-0.001246i,0.00053815-0.00095854i,2.7701e-05+0.00012884i,0.0014776+0.00059063i,-0.00060164+0.0033634i,0.00039339+0.0017169i,0.00088831+0.00045954i,0.00089323+0.00096838i,0.00057207+0.00058338i,0.0062208+0.003368i,5.3333e-05-0.00038711i,-0.0007934-0.0010098i,0.0015101+0.00023103i,-0.0024255+0.00060487i,-0.00054078+0.00074263i,-0.00089505+0.0017174i,0.0032974+0.0003178i,0.0090446-0.0037713i,0.014253+0.022576i,-0.010413+0.06843i,-0.0048374+0.066447i,0.012827+0.060831i,0.031716+0.028059i,0.0306+0.026983i,0.013623+0.031401i,-0.01685+0.010401i,-0.025786+0.041694i,-0.024902+0.016387i,0.012132+0.0025924i,0.0013412+0.012015i,0.0047273+0.0098497i,-0.0058686+0.012349i,-0.0045589+0.004118i,0.0097171-0.0070231i,0.014556-0.0025247i,-0.016056+0.011002i,-0.0014166-0.00086232i,-0.001257+0.0014391i,-0.0016941+0.0003565i,-0.0032298+0.001402i,0.0056042-0.0012469i,-0.0016813-0.0054074i,-0.0001823+0.0047656i,0.0024288-0.0033808i,-0.003544-0.0046806i,-0.0027131+0.0015609i,0.0023082-0.0012884i,0.0015943-0.0026803i,0.017868-0.0073651i,-0.0017764+0.0052911i,-0.0019454-0.0055343i,-0.002925-0.0016627i,-0.0032844-0.0058323i,0.0018995+0.0067177i,0.00258-0.003563i,0.0025526-0.0014443i,0.00052777-0.0036046i,-0.0003011-0.0024617i,0.0022237+0.0025584i,0.00063489+0.00027672i,0.0050671+0.00010365i,-0.001909+0.0091013i,-0.0043105+0.017297i,0.0043747+0.057222i,0.006787-0.018844i,-0.02392+0.00080292i,-0.028927-0.0024869i,0.01643+9.4187e-05i,0.022099+0.009984i,-0.0072858+0.0003135i
0.017288+0.00532i,0.042016+0.017796i,0.039009-0.0061321i,0.030646-0.0095592i,0.039905-0.016505i,0.00050522-0.033219i,-0.0015127-0.015153i,0.01739-0.023385i,0.016884-0.0050411i,0.0022842+6.7482e-05i,0.0033367-0.0026211i,0.0064973-0.0029804i,0.0048571-0.0029539i,0.0025218-0.003488i,-0.0024898-0.0011195i,0.0015729-0.002882i,-0.0029338-0.005918i,-0.0017268+0.00094669i,0.00033948+0.0017056i,-0.0020009+0.00051075i,-0.00084232+0.0019679i,0.0023104+0.0017955i,0.00028266+0.0022615i,-0.00041895-0.0059774i,0.00070115-0.0017714i,-0.00073241-0.0010914i,-0.00029584-0.0012357i,-0.00024525-0.00083918i,0.00026339+0.00024722i,0.0013481-6.0273e-05i,0.00097119+0.0030442i,0.00081831+0.0015324i,0.00079891+0.00015043i,0.0012798+0.00063609i,0.00048777-3.532e-05i,0.0065009+0.0010296i,-0.00011893-0.0002689i,-0.0010632-0.00073745i,0.0013332-0.00010003i,-0.0018797+0.00092095i,-0.00040285+0.00082765i,-0.00028723+0.0017218i,0.0036093-0.00071969i,0.0076145-0.0068656i,0.016352+0.01859i,0.0019807+0.064594i,0.0073633+0.062794i,0.022117+0.056577i,0.030498+0.017932i,0.032976+0.020109i,0.019492+0.031535i,-0.0098302+0.016543i,-0.012578+0.046725i,-0.025178+0.019798i,0.010367+0.00092186i,0.0047257+0.010101i,0.0069188+0.0068297i,-0.0019972+0.013237i,-0.0038509+0.0056486i,0.0033892-0.0096268i,0.011318-0.007395i,-0.012773+0.014375i,-0.00052081-0.001554i,-0.00081495+0.00083587i,-0.001287+0.00025642i,-0.00094853+0.0028707i,0.0042883-0.0014824i,-0.0025016-0.004425i,0.0028688+0.0037173i,0.001077-0.0051534i,-0.004677-0.0026501i,-0.0015473+0.0020909i,0.001468-0.0025194i,0.0010905-0.0036772i,0.011996-0.012367i,0.00040072+0.0050077i,-0.0034537-0.0043458i,-0.0025744-0.0012499i,-0.0046376-0.0044686i,0.0033538+0.0051652i,0.0016855-0.0050931i,0.0031222-0.0031719i,-0.00057533-0.0036892i,-0.0013325-0.0034752i,0.0032941+0.0022244i,0.00066697+0.0018388i,0.0042668-0.00088947i,-0.00093433+0.0089107i,0.00069768+0.016045i,0.013078+0.054951i,-0.0021171-0.023762i,-0.026485-0.0006703i,-0.030452+0.0059869i,0.011291-0.0036745i,0.022203+0.0041361i,-0.0064558+0.00082874i
0.018254+0.0016629i,0.044283+0.0117i,0.035477-0.01294i,0.025344-0.01553i,0.035424-0.024942i,-0.0052761-0.031471i,-0.0030111-0.014417i,0.01251-0.02589i,0.01573-0.0083528i,0.0027192+0.00055887i,0.0029084-0.0026064i,0.0050235-0.0047924i,0.004099-0.0040736i,0.0014466-0.0035016i,-0.0022966-0.00013638i,0.0014288-0.0027371i,-0.0048566-0.0044257i,-0.0012188+0.00171i,0.00069082+0.0010796i,-0.0018003+0.0017396i,-0.00025412+0.0023138i,0.0023893+0.00051904i,0.00091063+0.0021668i,-0.0029185-0.0041926i,-0.00066894-0.0016354i,-0.00087197-0.0005874i,-0.00069464-0.00093181i,-0.00054594-0.00048222i,0.00035795-0.00010274i,0.0010842-0.00042123i,0.0020497+0.0021302i,0.0014087+0.0010733i,0.00075924-7.1868e-05i,0.0017639-0.00035238i,0.00011714-4.0737e-06i,0.0058551-0.00063144i,-0.00018122-0.00012013i,-0.0013678-0.00033098i,0.001151-0.00037575i,-0.0012368+0.0010643i,-0.00023993+0.00094548i,0.00019013+0.0015412i,0.0031476-0.0019475i,0.0038196-0.007767i,0.017715+0.014522i,0.012778+0.058681i,0.016501+0.057301i,0.030714+0.051033i,0.02768+0.010625i,0.033474+0.013625i,0.025384+0.029241i,-0.0019664+0.017208i,0.0013418+0.046473i,-0.023266+0.02421i,0.0094817-0.00012047i,0.007127+0.0075024i,0.0074+0.0040499i,0.0019651+0.012668i,-0.002306+0.0074595i,-0.0024725-0.0080655i,0.0071415-0.0096677i,-0.0086388+0.016659i,-0.0011585-0.002652i,-0.001197+0.00084435i,-0.0011971+0.00054649i,0.0016526+0.0026794i,0.0035121-0.0016821i,-0.0034025-0.003566i,0.0042226+0.0018138i,-0.0017457-0.0058099i,-0.0046644-0.00069934i,-0.00010638+0.0017006i,0.00094572-0.003181i,-9.0744e-05-0.0048112i,0.0057958-0.013963i,0.0020974+0.0040528i,-0.0044234-0.0033515i,-0.003218-0.0013694i,-0.0058358-0.0027701i,0.0038036+0.0037671i,-0.00040286-0.0064751i,0.0029482-0.0049652i,-0.0013168-0.0029822i,-0.0022872-0.0032464i,0.0037514+0.0015068i,0.0018313+0.0027062i,0.0032554-0.00157i,0.00026714+0.0092804i,0.004249+0.013457i,0.022236+0.051421i,-0.012649-0.025487i,-0.030679+0.0011264i,-0.027222+0.014211i,0.0066121-0.0032036i,0.020225-0.0022473i,-0.005965-0.00067347i
0.018157-0.0026665i,0.046042+0.0041665i,0.031695-0.018079i,0.019955-0.018539i,0.029352-0.031582i,-0.009957-0.029283i,-0.0040805-0.014103i,0.0077249-0.027353i,0.013953-0.011793i,0.0035469+0.00023564i,0.0028799-0.0030041i,0.0032197-0.0055377i,0.0029579-0.0052534i,0.00061395-0.0033734i,-0.001776+0.0004289i,0.0014366-0.0024973i,-0.0055444-0.0021003i,-0.00042878+0.0015125i,0.00059414+0.00053393i,-0.00092559+0.0023709i,0.00042341+0.0022881i,0.0019908-0.00040648i,0.0016018+0.0017608i,-0.0041532-0.0013394i,-0.0011636-0.00084662i,-0.00085128-0.00023135i,-0.00093891-0.00062529i,-0.00016564-0.00012619i,4.114e-05-4.2272e-05i,0.00061637-0.00073553i,0.0028233+0.00089592i,0.0015262+0.00059202i,0.00074602-0.00024381i,0.00097407-0.0001195i,0.00013921+0.00027228i,0.0071912-0.0020311i,-0.00013472+7.93e-05i,-0.0014391+0.00028802i,0.00088609-0.00076866i,-0.0006425+0.0011712i,5.0777e-05+0.00091719i,0.00051854+0.0012465i,0.0021963-0.0027784i,0.0011591-0.0068217i,0.018197+0.010529i,0.020232+0.050838i,0.02364+0.051813i,0.038108+0.043367i,0.024375+0.0052832i,0.033227+0.009116i,0.030256+0.025276i,0.0045321+0.016025i,0.013394+0.041631i,-0.019169+0.028745i,0.0089977-0.0014352i,0.0085965+0.0040004i,0.0077596+0.0018211i,0.0055868+0.010543i,0.00062967+0.0079356i,-0.0057814-0.0047449i,0.0027102-0.010014i,-0.0033509+0.017178i,-0.0028469-0.0025225i,-0.0019769+0.0016755i,-0.0010406+0.0008421i,0.0031733+0.001159i,0.0028826-0.00099406i,-0.0039665-0.0020502i,0.0042162-0.00020724i,-0.0042206-0.0042061i,-0.0036117+0.0010449i,0.00025437+0.00059532i,0.00021254-0.0041449i,-0.0020335-0.0048972i,0.00076944-0.013411i,0.0036043+0.0024056i,-0.0055626-0.0019434i,-0.0038557+1.9524e-05i,-0.0058097-0.0001272i,0.0045024+0.0030566i,-0.0035807-0.006496i,0.001871-0.0070016i,-0.0017185-0.002705i,-0.0030486-0.0033814i,0.0046584+0.00076589i,0.0031651+0.0024212i,0.0023212-0.00107i,0.0015768+0.0091874i,0.00621+0.01029i,0.030885+0.045075i,-0.023749-0.021941i,-0.033828+0.0049035i,-0.021211+0.018616i,0.004601-0.0020643i,0.015139-0.0061366i,-0.0082003-0.0014928i
0.016646-0.0066368i,0.04609-0.004052i,0.027778-0.022538i,0.015449-0.020208i,0.022413-0.036663i,-0.014437-0.026896i,-0.0055212-0.01473i,0.0028586-0.02811i,0.011435-0.014832i,0.0041645-0.00059217i,0.0026506-0.003798i,0.0014883-0.005605i,0.0012011-0.0059842i,-9.4626e-05-0.0031756i,-0.0014221+0.00057092i,0.0015838-0.0026465i,-0.0052067-4.6742e-05i,-0.000129+0.001199i,0.00047298+0.0003289i,-4.4473e-05+0.0025799i,0.001026+0.0020764i,0.0014884-0.00086242i,0.0020015+0.0010328i,-0.0036153+0.001462i,-0.001083-0.00022077i,-0.00079579+0.00013889i,-0.0010449-0.00031607i,-0.0007113-0.00015664i,5.9208e-05+0.0001227i,-6.2308e-05-0.00081256i,0.002927-0.00056855i,0.0014884+0.00025969i,0.00065679-0.00048464i,0.0010653-0.00059287i,0.00042973+0.00044349i,0.0088324-0.0012634i,2.8235e-05+0.00011194i,-0.0011857+0.00066202i,0.00018322-0.00075479i,2.3073e-05+0.00093209i,0.00027024+0.0010583i,0.00064443+0.001027i,0.001039-0.0029087i,-0.00018608-0.005058i,0.018153+0.0074601i,0.024497+0.044206i,0.030209+0.046224i,0.042602+0.035419i,0.02048+0.00092737i,0.034362+0.0054893i,0.034448+0.019895i,0.010826+0.012408i,0.023154+0.033385i,-0.0125+0.031927i,0.0080843-0.0029497i,0.0080403-0.00058325i,0.0079525-0.00096168i,0.0074144+0.0071428i,0.0025516+0.0069995i,-0.007294-0.00040974i,-0.0012553-0.0088496i,0.00073971+0.015047i,-0.0041533-0.0012653i,-0.00176+0.003473i,-0.00089781+0.001089i,0.0039498-0.00095521i,0.0039458+0.00046854i,-0.0033317-0.00076721i,0.0038953-0.001049i,-0.0051495-0.0018752i,-0.0017481+0.0013739i,-3.4803e-05+0.00026873i,-0.0020044-0.0048645i,-0.0036039-0.0037094i,-0.0034929-0.012413i,0.0039942+0.00021917i,-0.0056916+0.00017068i,-0.0030049+0.0011661i,-0.0048563+0.0015312i,0.0056815+0.0019999i,-0.0060399-0.0043475i,-0.00088136-0.0083532i,-0.0024328-0.0022324i,-0.0047454-0.003045i,0.0054206-0.0010389i,0.004568+0.0018459i,0.0027094-0.00081349i,0.0033871+0.0091808i,0.0064615+0.0071732i,0.038237+0.036971i,-0.030458-0.013172i,-0.03643+0.010938i,-0.015382+0.02091i,0.002872-0.00029845i,0.00953-0.006467i,-0.0097598-0.0006786i
