-0.024402-0.0046875i,-0.02125-0.0072964i,-0.012953-0.013597i,-0.035778-0.0080605i,-0.026833+0.0016189i,-0.035446-0.0024227i,-0.065869-0.037745i,-0.033281-0.014556i,-0.021755+0.0030285i,0.0062267+0.0051226i,-0.0053184+0.0073088i,-0.0082511+0.017927i,0.0054766+0.0073234i,-0.00090834+0.0035853i,0.0040849+0.0040486i,0.0040657+0.025891i,0.019834+0.019978i,0.0012043-0.00084387i,0.00025157-0.005098i,0.0082677+0.00045381i,0.0051516-0.0016388i,0.0023184+0.0021156i,0.0010543-0.0004522i,-0.023335-0.0019315i,-0.0060072-0.0030472i,-0.0011382+0.0030223i,0.0032357-0.0036123i,-0.0019929+5.4907e-05i,-0.00061664+0.0010052i,-0.0025593-0.0016625i,-0.0038968-0.00040571i,-0.0067138-0.0087849i,-0.0053536-0.0058547i,-0.00069419+3.3654e-05i,-0.00084757-0.0024034i,-0.00073268+0.020873i,0.0024384-0.0041019i,0.0011385-0.0043155i,0.0025692-0.0022386i,-0.0024743-0.0030873i,0.0010931-0.00015811i,0.0076124+0.00026214i,0.0033272-0.0028127i,0.00018491+0.0023694i,-0.013951+0.015269i,-0.027212+0.052677i,-0.0062616-0.037175i,-0.015325-0.018462i,-0.040237-0.016632i,-0.027425-0.012319i,0.036074-0.012122i,0.0058247-0.029854i,0.013562-0.038114i,-0.0088393-0.030156i,0.024877-0.023762i,0.013206+0.00738i,0.030199-0.034454i,-0.0019698-0.0045151i,0.005789-0.0091332i,-0.00067566-0.0059365i,0.00028883-0.035417i,-0.014208+0.029056i,0.0083605-0.011883i,-0.0086988-0.0048553i,-0.0025268-0.0021638i,-0.00045839-0.015858i,-0.0078861+0.005884i,0.0044124+0.0065063i,9.9659e-05+0.027859i,0.0023887+0.00050378i,-0.0072469-0.0042424i,-0.0042073-0.0063492i,-0.01467-0.0096844i,-0.002305-0.005974i,-0.043804+0.00025135i,-0.0048348-0.0087679i,-0.013096-0.0005608i,-0.010482-0.0064559i,0.0017473-0.0016025i,-0.013343+0.0021034i,-0.0015617-0.00043492i,0.0060832+0.0059142i,0.0036925-0.0053411i,-0.012653-0.013959i,0.0075122+0.0086039i,-0.014709+0.0075499i,0.0051071+0.00031897i,-0.019853-0.0024368i,-0.015712-0.003831i,-0.015971-0.034796i,0.019468-0.0099162i,-0.040036-0.024974i,-0.0098193+0.004808i,0.018054+0.015678i,-0.022413+0.017453i,-0.0040832-0.0036936i
0.0082462-0.010158i,0.010957+0.00061696i,0.0078544+0.00359i,0.014815-0.0035316i,0.018737-0.0018543i,0.015727-0.013446i,0.01663-0.0055891i,0.012335-0.0015389i,0.0015091-0.0095468i,-0.0012569+0.0021141i,-0.0012309-0.0002767i,-0.0013241+0.000314i,-0.00061323+0.0041497i,-0.0017096+0.002448i,0.0011988+0.0021285i,0.00089531+6.9954e-05i,0.0032351-0.0020048i,0.00056968-0.0010355i,-0.00019023-1.5938e-06i,6.1132e-05-1.6517e-05i,0.00060682-0.0026165i,-0.00096584-0.0016419i,-0.00066482-0.00041728i,0.0024814+0.0042689i,-0.0019367+0.00063392i,-0.0017448+0.0016431i,-0.0025083+0.00034806i,-0.0018784+0.00016371i,-0.0022191-0.00070991i,-0.002365+0.00068457i,0.00059768-0.0015941i,0.00037004+0.0014472i,0.0014402+0.0004145i,0.0017487+0.00037921i,0.00087961-0.00042874i,-0.00733+0.0074148i,-0.0016144-0.00034767i,-0.0011469+0.00043377i,-0.0026817+0.00018955i,0.00063361-0.0022274i,6.7947e-05-0.0010492i,0.0007301-0.0012417i,-0.0010465+0.0015422i,0.0028494+0.00011017i,0.0013715-0.013082i,-0.024896-0.007524i,-0.0020169-0.0057192i,-0.0066336+0.0016425i,0.016266+0.022401i,0.001828+0.004605i,0.01341-0.013878i,-0.012347-0.027209i,-0.003983-0.01282i,0.0074173-0.007734i,0.019728+0.016366i,0.0015291+0.0019505i,-0.00098937+0.00036871i,-0.0058327-0.00071163i,0.010808-0.003325i,0.013455+0.00944i,0.0032064+0.0048612i,-0.0043391-0.0070198i,0.0063952-0.0038638i,-0.0040268-0.0064108i,0.0028849-0.011409i,0.0062724-0.0064048i,-0.0005775+0.0076139i,0.009063-0.0081059i,0.005443-0.0085872i,0.00066939-0.0067712i,-0.0030665-0.0015893i,-0.0062024-0.0063511i,-0.0068164-0.0021166i,-0.00060431-0.0014228i,-0.0074274+0.033739i,-0.010731-0.0025485i,0.00011351+0.0030152i,-0.0066339-0.0093139i,0.00024275+0.00047706i,-0.015895+0.0011445i,-0.0027522+0.0013192i,-0.002044-0.0021516i,-0.0037011-0.00049058i,-0.0052528-0.0038074i,-0.001936+0.0054569i,-0.0012932+0.0020422i,-0.0055626+0.0056102i,-0.0060473+0.00013536i,-0.0024628-0.0011649i,0.0083319-0.0018726i,-0.0054595+0.018284i,-0.028172-0.0023839i,-0.010034-0.0029183i,0.011716+0.015937i,-0.0020607+0.017045i,-0.0072551-0.0044968i
0.0063464-0.012041i,0.011011-0.0029635i,0.0084569+0.0024238i,0.013622-0.0052314i,0.018346-0.0049936i,0.013246-0.015968i,0.013599-0.0086546i,0.011895-0.0034971i,-0.00042181-0.0099278i,0.00011201+0.0022582i,-0.00087575+0.00029887i,-0.0013212+0.0015187i,0.00049835+0.0040609i,-0.00071542+0.0030421i,0.0010238+0.0016918i,0.00070924+0.00045685i,0.002013-0.00264i,0.00082859-0.001366i,-0.00073841-0.00087055i,0.00045631-0.00057775i,-0.00020159-0.0026783i,-0.0014563-0.0013577i,-0.00067271-0.0006511i,0.0046024+0.0027933i,-0.0019345+0.0019253i,-0.00088426+0.002305i,-0.0025078+0.0011167i,-0.0019218+0.00094204i,-0.0028051+0.0005054i,-0.0020339+0.0018875i,-0.00072868-0.0019081i,0.00046287+0.00049391i,0.00096416-0.00016522i,0.0022845-0.00067508i,0.00039975-0.00017776i,-0.0048821+0.0094073i,-0.0021491+0.00039037i,-0.0010644+0.0011223i,-0.0027211+0.0012939i,0.00019181-0.0022459i,-0.00011721-0.0010627i,0.00032946-0.0014974i,-0.00082398+0.0017316i,0.0021571+2.9811e-05i,-0.00035598-0.012575i,-0.023939-0.0052802i,-0.0035539-0.0025959i,-0.0039504-0.00016631i,0.024693+0.015955i,0.0054872+0.0018873i,0.0069563-0.017014i,-0.020482-0.026461i,-0.0090272-0.013677i,0.010733-0.014797i,0.020377+0.0077518i,0.00051935+0.0004672i,-0.00045545+0.0028342i,-0.0055025+0.0011224i,0.0078469-0.0069672i,0.015532+0.0047575i,0.0058755+0.0054163i,-0.0084876-0.0056163i,0.0025272-0.0055337i,-0.004982-0.0040846i,-0.0026349-0.010046i,0.0033129-0.0079789i,0.0029727+0.0056572i,0.0044088-0.0093965i,0.00079108-0.0084464i,-0.0024646-0.0037641i,-0.0022917-0.00044869i,-0.0076453-0.0039698i,-0.0062546-0.00073474i,-0.00024889-0.00080123i,0.0098312+0.029727i,-0.011779+0.0011171i,0.00083592+0.0017592i,-0.0080467-0.0077121i,0.00061587+6.8063e-05i,-0.013956+0.0082585i,-0.0020877+0.0025496i,-0.0026161-0.00014773i,-0.0026077+0.00032329i,-0.0057511-0.0015115i,-0.00015625+0.0026705i,-0.00036057+0.0015705i,-0.002089+0.007339i,-0.004168+0.0020526i,-0.0035537-0.0010918i,0.0089861-0.0087442i,-0.0014693+0.019746i,-0.029008+0.0032467i,-0.011294-0.0043251i,0.01354+0.013957i,0.00098964+0.018337i,-0.0094479-0.0034437i
0.003705-0.013259i,0.0089921-0.0069147i,0.0094639+0.0004207i,0.012781-0.0070945i,0.017747-0.0081276i,0.01021-0.018373i,0.010254-0.011174i,0.011201-0.0056706i,-0.0022555-0.0093301i,0.00065732+0.000962i,-0.00066194+0.00024021i,-0.00059072+0.0023685i,0.0014928+0.0034387i,0.0002924+0.0027459i,0.0012725+0.0016489i,0.00072506+0.00074028i,0.00058137-0.0028051i,0.00071224-0.0020358i,-0.0011434-0.00082139i,0.00016841-0.0014469i,-0.0010197-0.0028401i,-0.0014393-0.00077294i,-0.0010212-0.00085048i,0.0051304+0.00025961i,-0.0010104+0.002802i,-0.00014131+0.0024725i,-0.0023426+0.0023547i,-0.0014581+0.0016996i,-0.0025224+0.0020799i,-0.0011092+0.002779i,-0.00040497-0.00047756i,0.00012714+0.0011638i,0.00068797-0.00022796i,8.1319e-05-0.0018642i,0.00038037+0.00023854i,-0.0023625+0.010976i,-0.0020212+0.0017684i,-0.00048874+0.0015237i,-0.0020995+0.0026496i,-0.00027669-0.0023674i,-0.0002493-0.0011455i,-7.0768e-05-0.0015424i,-0.00062702+0.0021437i,0.0022638+0.00032581i,-0.0012726-0.011783i,-0.025729-0.0052569i,-0.0017078+0.00075276i,-0.0018839-0.0029096i,0.03297+0.0052584i,0.0082342-2.7035e-05i,0.00041566-0.017342i,-0.026919-0.022689i,-0.01311-0.01098i,0.0095153-0.023444i,0.01924+0.004761i,-0.00099047+0.00036569i,-0.00052481+0.0021708i,-0.0056151+0.0021888i,0.0024484-0.010028i,0.015775-0.00050728i,0.0080998+0.004149i,-0.011021-0.0026073i,0.00080008-0.0044388i,-0.0055189-0.001429i,-0.0053112-0.0068486i,0.00095519-0.0076927i,0.0050133+0.0045467i,0.0011248-0.0088951i,-0.0023808-0.0063651i,-0.0024693-0.00094961i,-0.0020665-0.0004454i,-0.0093239-0.00055363i,-0.0039567+0.0022787i,-0.00093823-0.0012062i,0.018087+0.020346i,-0.011757+0.0067321i,0.0011742+0.0011935i,-0.0051183-0.0017938i,0.00089718-0.00098213i,-0.0075517+0.013123i,-0.00038044+0.0036155i,-0.0026664+0.00084374i,-0.002342+0.0014939i,-0.0054733+0.0014324i,-0.0012556+0.0024441i,2.6794e-05+0.0010541i,0.0013248+0.0075852i,-0.0030117+0.0016285i,-0.0048565+0.00041304i,0.0055171-0.013858i,0.0074214+0.01865i,-0.02725+0.0070994i,-0.01276-0.0051674i,0.016155+0.0098437i,0.0056154+0.019612i,-0.010682-0.0018462i
0.0010006-0.013468i,0.0052806-0.0085456i,0.0093061-0.0021761i,0.011524-0.0092179i,0.016267-0.011414i,0.0063533-0.01983i,0.0064705-0.012235i,0.0099592-0.0076469i,-0.0034942-0.0086313i,-0.00035268+0.0010337i,-0.00077011+0.00046278i,0.00044235+0.002574i,0.0017733+0.0026859i,0.00072235+0.0025184i,0.0015985+0.0015467i,0.00071794+0.0010181i,-0.00066938-0.0020294i,0.00022938-0.0024917i,-0.0010096-0.00073332i,-0.00073877-0.0018454i,-0.0018375-0.0023551i,-0.0014841-0.00052223i,-0.0015509-0.00072739i,0.0043643-0.001749i,9.3087e-05+0.0031128i,0.00070256+0.0026249i,-0.0010694+0.0036419i,-0.00088084+0.0021244i,-0.0012971+0.0030723i,0.00015102+0.0030731i,-0.00049072-0.00031891i,0.0010887+0.0012218i,0.00057255-0.00032153i,-0.00080448-0.00083201i,0.00046862+0.00045422i,0.0011441+0.011398i,-0.0010482+0.0027968i,-5.2981e-05+0.0015885i,-0.00084629+0.0034666i,-0.0011188-0.002298i,-0.00061307-0.0012287i,-0.00033101-0.0016118i,-0.00012236+0.0024634i,0.0025303+0.00024704i,-0.001592-0.011866i,-0.015515-0.0021612i,0.0017453+0.0026613i,-0.003059-0.0063331i,0.035953-0.0095271i,0.010293-0.0043672i,-0.0055726-0.014365i,-0.032922-0.016262i,-0.015085-0.0059492i,0.0036769-0.030206i,0.016793-0.001594i,-0.0018162+0.0016671i,-0.00053936+0.0043855i,-0.0054535+0.0040424i,-0.0040715-0.0081401i,0.014268-0.0059616i,0.010117+0.0015964i,-0.011978+0.0015219i,-0.00069257-0.0045411i,-0.0043393+0.0007219i,-0.006177-0.0030159i,-0.0013752-0.0078542i,0.0061258+0.0015768i,-0.0015069-0.0080062i,-0.0042244-0.0029805i,-0.0016156+0.0008884i,-0.002333-0.00013413i,-0.0085338+0.0031505i,-0.0015579+0.0040106i,-0.0015732-0.0010305i,0.022579+0.011265i,-0.0069165+0.012617i,0.0014839+0.0004614i,-0.0040102+0.0010075i,-0.00018717-0.0018006i,-0.0010886+0.013064i,0.0018792+0.0030407i,-0.0020847+0.0026796i,-0.001421+0.002754i,-0.0024226+0.0044585i,-0.00030725+0.0043472i,-0.00034168+0.00042616i,0.0047061+0.0062362i,-0.0030753+0.00091869i,-0.0055189+0.0024229i,0.001715-0.015138i,0.017379+0.0096309i,-0.024142+0.011064i,-0.016015-0.0046841i,0.01525+0.0055161i,0.011028+0.018248i,-0.010116-0.00071404i
-0.0011858-0.013144i,0.0029242-0.0081452i,0.0083556-0.0041298i,0.010082-0.01113i,0.01421-0.014252i,0.0027548-0.020601i,0.0032794-0.011933i,0.0083997-0.0091637i,-0.0044434-0.0077584i,-0.00072987+0.0021114i,-0.0008273+0.00067745i,0.0013126+0.002261i,0.0018147+0.0024576i,0.0010199+0.0022915i,0.0019776+0.0013095i,0.00085174+0.0015099i,-0.0010198-0.0010253i,-0.00065034-0.0026593i,-0.0013361-0.00094583i,-0.0016947-0.0016114i,-0.0023734-0.0017982i,-0.0014804-0.00026283i,-0.0019485-0.00023199i,0.003035-0.0029262i,0.0012599+0.0030118i,0.0017594+0.0023853i,0.0006146+0.0039504i,-0.00022687+0.0024658i,0.00010346+0.0034321i,0.0014447+0.0028516i,-0.00035069-0.00010091i,0.0018224+0.00033072i,0.00039081-0.0002643i,-0.00051659+0.00020402i,0.00074599+0.00114i,0.0043716+0.010829i,0.00026362+0.0032569i,0.00032161+0.0017517i,0.00069773+0.0037189i,-0.0017318-0.0018799i,-0.00093749-0.0012045i,-0.00089375-0.0016859i,0.0005188+0.0025013i,0.0025463-0.00035421i,-0.0028039-0.012433i,-0.011444+0.0004649i,0.0062213+0.0018814i,-0.0052702-0.0067609i,0.032308-0.023151i,0.0095235-0.0089716i,-0.0080766-0.0096297i,-0.03508-0.007434i,-0.01468-2.3654e-05i,-0.0047451-0.032669i,0.013126-0.005398i,-0.0012782+0.0028154i,0.0024254+0.0049617i,-0.0043851+0.0056011i,-0.006751-0.0038037i,0.010143-0.011429i,0.010832-0.0022118i,-0.011192+0.0055846i,-0.0019101-0.00262i,-0.0029027+0.0015491i,-0.0047263-0.00068768i,-0.004041-0.0059661i,0.0057872-0.00061457i,-0.0038303-0.0064185i,-0.0035795+0.00033222i,-9.4603e-05+0.0017433i,-0.0022557+0.00040068i,-0.0057318+0.0059546i,0.00098272+0.0034259i,-0.0018194+0.00014572i,0.022877+0.0007671i,-0.00021222+0.014239i,0.0011397-0.00026359i,-0.002081+0.001515i,-0.0011319-0.0011717i,0.003186+0.011107i,0.0027913+0.0016774i,-0.00027264+0.0044634i,0.00092265+0.0035406i,0.0016535+0.0047712i,0.001424+0.0027851i,-0.0014548+0.0005638i,0.0057225+0.0036449i,-0.0040025+0.00084402i,-0.004599+0.0047569i,-0.0004585-0.015179i,0.018192-0.0051359i,-0.01861+0.011232i,-0.019031-0.0026051i,0.015083+0.0022401i,0.015029+0.013279i,-0.010893-0.00095779i
-0.0030528-0.012465i,0.0018037-0.0079998i,0.0075879-0.0056322i,0.0083546-0.013209i,0.01184-0.016793i,-0.0011245-0.020977i,0.0012518-0.010994i,0.0068395-0.010379i,-0.0048972-0.0069591i,2.1413e-05+0.0027671i,-0.0007874+0.0011445i,0.0020454+0.0018581i,0.0021802+0.0024534i,0.0014109+0.0022325i,0.0022892+0.00085582i,0.0011547+0.0023889i,-0.00078206-0.00042839i,-0.0016398-0.0026225i,-0.0019694-0.00076718i,-0.0024296-0.0009507i,-0.0025856-0.001258i,-0.0013627-7.9938e-05i,-0.0021219+0.00038274i,0.0014298-0.0035818i,0.0024136+0.0024314i,0.0026591+0.0016258i,0.0021508+0.0034864i,0.00069941+0.0026902i,0.001445+0.003215i,0.0024881+0.0020754i,-0.00020018-1.0819e-05i,-0.0031101+0.0028723i,-7.6262e-06+0.00010634i,3.2902e-06+0.00051486i,0.0023077+0.0021359i,0.0072147+0.0090606i,0.0016661+0.0030994i,0.0010274+0.0018432i,0.0022057+0.0032048i,-0.0021096-0.001398i,-0.0014509-0.0011433i,-0.0015274-0.0015578i,0.0011039+0.0024852i,0.0024642-0.00067145i,-0.0041834-0.012802i,-0.008435-0.00030352i,0.009686-0.0013964i,-0.0064706-0.0058381i,0.024594-0.034053i,0.0070548-0.012001i,-0.0076692-0.0051822i,-0.033258+0.0014965i,-0.010016+0.0062983i,-0.012337-0.030763i,0.0090659-0.0066807i,-0.00037064+0.0034216i,0.0042073+0.0034744i,-0.0028608+0.0071682i,-0.0073904-0.0004132i,0.0031908-0.014719i,0.0087607-0.0063937i,-0.0093303+0.0083819i,-0.0011548-0.0012481i,-0.0018011+0.001296i,-0.0035778-0.00010212i,-0.0050106-0.0031602i,0.004341-0.0017713i,-0.0055069-0.0044562i,-0.0012146+0.0016714i,0.001762+0.0009477i,-0.0019374+0.0011992i,-0.0024989+0.0066231i,0.0017091+0.0015995i,-0.00084864+0.0011578i,0.018784-0.0081578i,0.006911+0.011062i,0.00080549-4.1737e-06i,-0.0010929+0.001386i,-0.0014359+2.9208e-05i,0.0064646+0.0084985i,0.0034206+0.000708i,0.0028422+0.0042286i,0.0026389+0.0021727i,0.0036104+0.0035354i,0.0019052+0.0027003i,-0.0017757+0.0020258i,0.006421+0.0023917i,-0.0052135+0.0015317i,-0.0025709+0.0059761i,-0.0025682-0.015408i,0.010223-0.015528i,-0.015936+0.0071708i,-0.021858+0.0015077i,0.013153-0.0028081i,0.016015+0.0084177i,-0.012168-2.9748e-05i
-0.0048197-0.011466i,0.00045163-0.0080823i,0.0064076-0.0078819i,0.0056744-0.015279i,0.0089492-0.019106i,-0.0054569-0.020227i,6.8439e-05-0.010172i,0.0051902-0.011642i,-0.0052602-0.0063224i,0.00043185+0.0033427i,-0.00062488+0.0015208i,0.0023276+0.00092295i,0.0026632+0.0022617i,0.0018026+0.0020337i,0.0024371+0.0003637i,0.0019922+0.002791i,-0.00077389-0.00010357i,-0.0027253-0.0022757i,-0.0023015-0.00011359i,-0.0030153+3.469e-05i,-0.0031124-0.00079276i,-0.0012988-0.00017368i,-0.0021218+0.0010681i,-0.00021086-0.0035735i,0.003238+0.0011061i,0.0030917+0.000615i,0.0031188+0.0025665i,0.0018072+0.0024264i,0.0027162+0.0023957i,0.0031084+0.00088224i,-1.1802e-05-3.8705e-05i,0.0012242+0.0017948i,-1.7533e-05+0.0003564i,0.00055311+0.00053745i,0.010008-0.014435i,0.0093472+0.0062262i,0.0027365+0.0022778i,0.0017465+0.0014635i,0.0035114+0.0020703i,-0.0022212-0.00080113i,-0.0020018-0.00067263i,-0.0019636-0.00098214i,0.0017852+0.0023156i,0.0021324-0.00096556i,-0.0060419-0.012957i,-0.0064033-0.0023663i,0.011059-0.0056384i,-0.0060125-0.0040883i,0.014106-0.041185i,0.0040011-0.013603i,-0.0059004-0.0030574i,-0.028641+0.0071899i,-0.0020444+0.0084371i,-0.01843-0.026437i,0.0060201-0.0061974i,0.00063715+0.0034351i,0.0043291+0.0012952i,-0.0004158+0.0077804i,-0.0074076+0.0029136i,-0.0050348-0.013496i,0.0051914-0.0082772i,-0.0068167+0.010898i,-0.00019106-0.0020955i,-0.001581+0.0010557i,-0.003471-0.00014591i,-0.0043683-0.0010526i,0.0033513-0.0020503i,-0.007027-0.0037516i,0.00018677+0.0012443i,0.0025024-0.001164i,-0.0014193+0.0018836i,0.00054343+0.0065562i,0.00086887+0.00045397i,7.3447e-05+0.00067198i,0.012023-0.012756i,0.0087822+0.0070999i,0.0012485-0.00023699i,1.8953e-05+0.00071768i,-0.00049826+0.00061385i,0.0081287+0.0052179i,0.0042584-0.0012785i,0.0049608+0.0025438i,0.003134+0.00099658i,0.0042261+0.0015974i,0.0033552+0.0024961i,-0.00076774+0.0035452i,0.006583-0.0011769i,-0.0058372+0.0034944i,-0.000635+0.0061054i,-0.0038221-0.014662i,0.00021257-0.021144i,-0.018511+0.0037241i,-0.021828+0.0068448i,0.0071293-0.0057513i,0.016289+0.003809i,-0.012145+0.0013973i
-0.0058943-0.01037i,-0.00016932-0.0074067i,0.0041369-0.009302i,0.0020814-0.016508i,0.0054204-0.020764i,-0.009063-0.018208i,-0.0005345-0.0096144i,0.0033006-0.012552i,-0.0055285-0.0060101i,0.0014553+0.0040793i,-0.0003233+0.0021741i,0.0022731+0.00029249i,0.0032563+0.0018742i,0.00233+0.0018888i,0.0024539-0.00017664i,0.0025239+0.0020535i,-0.00082296+0.00037084i,-0.0036844-0.0012276i,-0.0021891+0.00051388i,-0.0029818+0.0013241i,-0.0034602+0.00028349i,-0.001871-0.00025985i,-0.0018232+0.0017763i,-0.0017234-0.0029089i,0.0031628-0.00026279i,0.0030808-0.00053849i,0.0040418+0.0012041i,0.0026417+0.0016991i,0.0034287+0.00098695i,0.0031308-0.00037887i,7.3045e-05-0.00019544i,0.00179+0.00069956i,0.00039896+0.00052958i,0.0010041+6.607e-05i,-0.0014459-0.0025312i,0.010436+0.0028952i,0.0033509+0.0010323i,0.0022153+0.00087158i,0.0041161+0.00032251i,-0.002219-7.5969e-05i,-0.0022559+9.2147e-05i,-0.0021466-0.00041158i,0.002368+0.0017494i,0.0018008-0.0012316i,-0.0080818-0.012685i,-0.0055391-0.0056813i,0.010612-0.010139i,-0.0040918-0.0038095i,0.0031326-0.043132i,0.0007117-0.013767i,-0.0044994-0.0018954i,-0.024145+0.0089001i,0.0056566+0.0060473i,-0.021475-0.02034i,0.0048998-0.005832i,0.0015489+0.0027283i,0.0036726+5.4368e-05i,0.0023464+0.0072792i,-0.0056199+0.0062778i,-0.010803-0.0080898i,0.0017034-0.008501i,-0.0036913+0.012403i,-0.0014927-0.0033292i,-0.001512+0.0012314i,-0.0037625+0.00045634i,-0.0033828+0.00010386i,0.0023063-0.0022557i,-0.010435-0.0033945i,0.00072051+0.00047014i,0.00067414-0.0029298i,-0.00033103+0.0022952i,0.0029629+0.0049508i,-0.00054273-0.000774i,0.00027978+0.00021215i,0.0054109-0.013642i,0.0099896+0.0027284i,0.00036606-0.0011384i,0.0003008-3.6436e-05i,0.00059812+0.00051031i,0.0083764+0.002278i,0.003362-0.0041653i,0.0061532+0.00035531i,0.0037593-0.00011326i,0.0046185-0.00044623i,0.0041722+0.001152i,0.0010695+0.003874i,0.0048803-0.0024398i,-0.0051626+0.005945i,0.0012209+0.005085i,-0.0039416-0.014295i,-0.011961-0.02224i,-0.022201+0.0044402i,-0.0193+0.012022i,0.0022676-0.0036538i,0.013615-0.0013201i,-0.011503+0.0019587i
-0.0067395-0.0096083i,-0.00014131-0.0078088i,0.0020702-0.0095768i,-0.0014777-0.016327i,0.0017951-0.021667i,-0.011545-0.015876i,-0.00066933-0.0099114i,0.0012727-0.013319i,-0.0059247-0.0057244i,0.0030999+0.0039854i,0.00058821+0.0026823i,0.0020928-1.1345e-06i,0.0038836+0.0010319i,0.0028201+0.0014366i,0.0024149-0.00072706i,0.0029416+0.0015756i,-0.00048177+0.00076296i,-0.0039054+8.7489e-05i,-0.0020814+0.00095157i,-0.0023481+0.0023362i,-0.0033989+0.0012599i,-0.002372+0.00043339i,-0.0012675+0.0023472i,-0.0029123-0.0015211i,0.0026958-0.0012721i,0.0026699-0.0015547i,0.0041784-0.00060969i,0.0032003+0.00067219i,0.0033063-0.0002612i,0.0027364-0.0015207i,0.0001001-0.00027433i,0.0016511-0.00014836i,0.00088717+0.00029739i,0.00094186-0.00053675i,-0.0012117-0.00087788i,0.010092-0.00030894i,0.0033812-0.000418i,0.002588+8.3703e-05i,0.0037424-0.0013417i,-0.0018046+0.0006198i,-0.0020402+0.0007956i,-0.0022467+0.00015473i,0.0027274+0.0010889i,0.0014406-0.0013699i,-0.010166-0.011895i,-0.0077946-0.0085901i,0.0079186-0.013735i,-0.0030683-0.005007i,-0.0061983-0.042391i,-0.0016037-0.012031i,-0.0028081-0.0011423i,-0.019619+0.010268i,0.010187+0.0010722i,-0.021002-0.014414i,0.0034223-0.0063958i,0.0022242+0.0015719i,0.0035039-0.00098001i,0.0048145+0.0053126i,-0.0023885+0.0073837i,-0.012475-0.0018395i,-0.0013356-0.0077611i,-0.00034909+0.012348i,-0.003596-0.0026509i,-0.0018904+0.0017762i,-0.0037784+0.0014926i,-0.002319+0.0010711i,0.0017157-0.0013345i,-0.011802-0.0025158i,0.00057709-0.00020168i,-0.0010794-0.0022611i,0.00075915+0.0021244i,0.0039705+0.0025552i,0.00040501-0.00096668i,0.0004852+0.00029539i,0.0002928-0.012771i,0.0097022-0.0015587i,7.5587e-05-9.0393e-05i,0.00024173+0.00012138i,0.0013546-0.0003037i,0.0080716-6.7882e-05i,0.00054611-0.005789i,0.0061773-0.0027449i,0.0035147-0.0019579i,0.0040238-0.003253i,0.0045214-0.00017389i,0.0023135+0.0033525i,0.0030132-0.0027289i,-0.0032509+0.00742i,0.002031+0.0035839i,-0.0040843-0.015292i,-0.023205-0.016741i,-0.024974+0.0073629i,-0.014609+0.013817i,0.0012041-0.0014361i,0.0078053-0.0012977i,-0.01281+0.0023801i
-0.0079-0.0089256i,-0.00076403-0.0090499i,0.00063714-0.0095544i,-0.0045571-0.015215i,-0.0020047-0.022141i,-0.013812-0.013389i,-0.0012848-0.011375i,-0.0010204-0.013757i,-0.0065931-0.0054061i,0.0044738+0.0030984i,0.0017854+0.0026313i,0.0020123-0.00013012i,0.0041071-0.00014641i,0.0032708+0.00085938i,0.0022077-0.0013623i,0.0034839+0.0008162i,-0.00014527+0.0010033i,-0.0037221+0.0012189i,-0.0017833+0.0015489i,-0.0014405+0.0029865i,-0.0030599+0.0024048i,-0.0023156+0.0014313i,-0.00065322+0.0026051i,-0.0031432+0.00019466i,0.0020575-0.0019583i,0.0019369-0.0022991i,0.0034645-0.0022257i,0.0032107-0.00059313i,0.0028994-0.0013801i,0.0019084-0.0024633i,0.00014149-0.00042407i,0.0014969-0.00055433i,0.001081-0.00022105i,0.00058968-0.00083345i,-0.00054722-0.00039683i,0.0089022-0.0030711i,0.0029524-0.0016128i,0.0026936-0.00097792i,0.0027264-0.0026297i,-0.0011532+0.0010771i,-0.0017064+0.0014289i,-0.0021871+0.00078648i,0.002907+0.00046744i,0.0011116-0.0011032i,-0.01208-0.01067i,-0.011445-0.0086585i,0.00453-0.015378i,-0.0030728-0.0054963i,-0.014969-0.040244i,-0.0016782-0.0095651i,-0.001063-0.001483i,-0.014648+0.010852i,0.013092-0.0051547i,-0.01834-0.010761i,0.0010391-0.0070647i,0.0017004-0.00064813i,0.002933-0.0023246i,0.0052049+0.0024875i,-0.00039717+0.0068631i,-0.01166+0.004002i,-0.0040555-0.0059043i,0.002161+0.01058i,-0.0047914-0.00089993i,-0.0016999+0.0032133i,-0.0033071+0.0026239i,-0.0012461+0.0010867i,0.0024207+0.00015927i,-0.0080509+0.0051224i,0.00045117+0.0001218i,-0.0015202-0.0013013i,0.0016159+0.0015542i,0.0039373+0.0005785i,0.00012234-0.0022156i,0.00093866+3.3621e-05i,-0.0037937-0.011005i,0.0080578-0.0050073i,8.7917e-05-0.0016582i,0.00079636-0.00018918i,0.0011293-0.0014403i,0.0074834-0.002304i,-0.002088-0.0050117i,0.0046187-0.0054987i,0.0021231-0.0030652i,0.0015402-0.0051799i,0.0044327-0.0015723i,0.0038584+0.0028695i,0.0023226-0.0022626i,-0.00048208+0.0072358i,0.0016952+0.002114i,-0.0050286-0.017177i,-0.027851-0.0066763i,-0.027017+0.012026i,-0.01106+0.014379i,0.00014176+0.00015869i,0.044111+0.00021178i,-0.013635+0.0042685i
