-0.025237-0.0048678i,-0.021141-0.0072122i,-0.0128-0.013245i,-0.035153-0.0075815i,-0.027103+0.0016591i,-0.035526-0.002634i,-0.066426-0.039095i,-0.03268-0.014931i,-0.021611+0.0027961i,0.0062809+0.006331i,-0.0048761+0.0072366i,-0.0084479+0.017961i,0.005848+0.0081774i,-0.00099656+0.0032525i,0.0043244+0.0035806i,0.0046126+0.025703i,0.022199+0.019795i,0.0012742-0.00057281i,0.0010536-0.0045422i,0.0088037+3.1213e-05i,0.0050311-0.00032664i,0.0021968+0.0014266i,0.0013623-0.00064823i,-0.023967-0.0018846i,-0.0048113-0.0040712i,-0.00028869+0.0032068i,0.0043395-0.0041515i,-0.0018917-0.00044421i,-0.00028017+0.0011246i,-0.0020588-0.00144i,-0.0037639-0.00016089i,-0.0069555-0.0086677i,-0.0049591-0.0072531i,-0.00069712+0.00023751i,-0.00025753-0.0022333i,0.00070145+0.021806i,0.0026368-0.0040912i,0.00066586-0.0043706i,0.00291-0.002014i,-0.003079-0.0031557i,0.00093485-9.0527e-05i,0.0079942-0.0022006i,0.0031742-0.002265i,0.00031182+0.002359i,-0.013595+0.015642i,-0.026139+0.053382i,-0.0058251-0.037362i,-0.015211-0.01834i,-0.040228-0.016451i,-0.027383-0.012401i,0.036002-0.012442i,0.0059758-0.029962i,0.012801-0.038306i,-0.0084636-0.029876i,0.025381-0.02308i,0.013448+0.007054i,0.028195-0.035703i,-0.0016056-0.0044834i,0.0060145-0.0093659i,-0.00081084-0.0059498i,-0.00025595-0.035908i,-0.013439+0.029344i,0.00873-0.011778i,-0.008844-0.0048503i,-0.0025384-0.0021223i,-0.0001252-0.015927i,-0.0078193+0.00612i,0.0042389+0.0064445i,-0.0010567+0.029007i,0.0023024+0.00062747i,-0.0072029-0.0043217i,-0.0041256-0.0062051i,-0.014718-0.010066i,-0.002421-0.0057826i,-0.034559+0.0062598i,-0.0050077-0.008729i,-0.012935-0.0013202i,-0.01041-0.0056077i,0.0017766-0.001572i,-0.013931+0.0022271i,-0.0018374-0.00091534i,0.0056498+0.0055923i,0.0037048-0.0055174i,-0.014672-0.014094i,0.0077563+0.0079747i,-0.016219+0.0052515i,0.0048153-0.00049505i,-0.019025-0.0030042i,-0.016198-0.0040903i,-0.015299-0.035582i,0.020325-0.0097975i,-0.038923-0.024243i,-0.0096724+0.0047389i,0.018356+0.015526i,-0.022512+0.017069i,-0.0042076-0.0036485i
0.0068991-0.010433i,0.011148+0.0016285i,0.0078151+0.0035462i,0.014709-0.0035009i,0.018692-0.0019351i,0.016028-0.013767i,0.016446-0.0050887i,0.013055-0.0019353i,0.0015527-0.0091297i,-0.0030225+0.0032496i,-0.00075554+7.5387e-06i,-0.0013915+0.0003216i,-0.00084713+0.0040692i,-0.0015336+0.0025418i,0.00054086+0.0024029i,0.00082355-0.00028712i,0.0030023-0.0015416i,0.00065164-0.0011945i,-0.00032907-0.00047319i,7.8252e-06-9.6469e-06i,0.00079335-0.0025497i,-0.0012125-0.0013113i,-0.00057416-0.00051523i,0.0034526+0.0046688i,-0.0017038+0.0009167i,-0.0013077+0.0015128i,-0.0024467+0.00054858i,-0.0019916-4.4797e-06i,-0.0025303-0.00096991i,-0.0020718+0.00052512i,0.0014752-0.0010744i,0.00057914+0.0014545i,0.0013547+0.00017663i,0.001469-0.00025922i,0.0010691-0.00041283i,-0.010559+0.0066744i,-0.0016582-0.00011773i,-0.0011142+0.00035917i,-0.0027914+6.4026e-05i,0.0015313-0.0029884i,-4.854e-05-0.00094171i,0.0003258-0.0013069i,-0.0013045+0.0020858i,0.0022025+0.00030673i,0.0014619-0.013276i,-0.024244-0.0089608i,-0.0023745-0.0056693i,-0.0068871+0.0018367i,0.017152+0.021381i,0.0014939+0.0047422i,0.01305-0.01395i,-0.011625-0.027137i,-0.0044193-0.012627i,0.0079091-0.0083387i,0.018549+0.018222i,0.0020634+0.0013741i,-0.0010015+0.00010163i,-0.005971-0.00080442i,0.010811-0.003289i,0.013749+0.0083757i,0.0028279+0.0049696i,-0.0053283-0.0072089i,0.006429-0.0033411i,-0.0040083-0.0066584i,0.0029229-0.011469i,0.0064738-0.006405i,-0.0003222+0.0074771i,0.0098287-0.0084136i,0.0039885-0.0079785i,0.00088478-0.0066335i,-0.0027324-0.0014788i,-0.0062844-0.0067013i,-0.008294-0.00051285i,-0.00021752-0.001231i,-0.0085049+0.027988i,-0.0095736-0.002578i,0.00033011+0.0033123i,-0.0037016-0.0044513i,0.00037154+0.00097298i,-0.016276+0.0011579i,-0.0034578+0.0018878i,-0.0016204-0.0020473i,-0.0040521-0.00022096i,-0.0062033-0.0036373i,-0.0013217+0.0053339i,-0.0017719+0.0019975i,-0.0053976+0.0060389i,-0.0053523+0.00044553i,-0.0025309-0.0015424i,0.0076764-0.0015175i,-0.0051154+0.018332i,-0.028232-0.0021796i,-0.010689-0.0032315i,0.011912+0.016124i,-0.0020717+0.016813i,-0.0067345-0.004314i
0.0052913-0.012098i,0.011443-0.0022824i,0.008367+0.0024122i,0.013486-0.0052418i,0.018309-0.005062i,0.013365-0.016318i,0.013754-0.0081623i,0.012309-0.0040673i,-0.00023142-0.0095745i,-0.0018446+0.003567i,-0.00036973+0.00046381i,-0.0013767+0.0014927i,0.00033182+0.0040883i,-0.0005435+0.0030132i,0.0010883+0.0022586i,0.00061956+0.00022267i,0.0019673-0.0021647i,0.0007239-0.001234i,-0.00032121-0.0010344i,0.00041946-0.00058813i,0.0001054-0.0027682i,-0.0014298-0.00092369i,-0.00062622-0.0007525i,0.0058134+0.0027845i,-0.0017436+0.0021142i,-0.00050476+0.0019714i,-0.0024406+0.0012857i,-0.0020829+0.00085502i,-0.0032766+0.00039689i,-0.0018114+0.0016123i,0.00082877-0.001366i,0.00079985+0.00044268i,0.00084583-0.00038758i,0.0010555-0.00077494i,0.00072611-0.00031588i,-0.0075737+0.0095686i,-0.002048+0.00062649i,-0.0011328+0.0010456i,-0.0027251+0.0013128i,0.00059183-0.0030246i,-0.00013157-0.0010402i,-0.00019806-0.0012237i,-0.00091479+0.0024001i,0.0016159+0.0002677i,-0.00031989-0.012709i,-0.022384-0.0058908i,-0.003932-0.0027636i,-0.0040398+4.4979e-05i,0.026092+0.014395i,0.0051851+0.0023346i,0.0066792-0.017054i,-0.019593-0.026364i,-0.0093319-0.013599i,0.010738-0.015584i,0.020574+0.011129i,0.00061214+0.0003642i,-0.00060738+0.0024305i,-0.0057851+0.0011109i,0.0078173-0.0069469i,0.015248+0.0040102i,0.0057716+0.0056384i,-0.0092829-0.0054184i,0.0028275-0.0051014i,-0.005008-0.0042906i,-0.0026444-0.010167i,0.0035516-0.0078068i,0.003218+0.0054667i,0.0049357-0.0099497i,-0.00013182-0.0073851i,-0.0026267-0.0037046i,-0.0019088-0.00055926i,-0.0077057-0.0044669i,-0.0057423+0.0031684i,0.0002132-0.0007193i,0.005375+0.026932i,-0.010515+0.0006663i,0.0010795+0.0019817i,-0.0057167-0.0022104i,0.00092576+0.00054712i,-0.01413+0.0084601i,-0.0022846+0.0032048i,-0.0023286-0.00042348i,-0.0027612+0.000773i,-0.0068695-0.0010947i,0.00012223+0.0025084i,-0.00071626+0.0016627i,-0.0016252+0.0077716i,-0.0037406+0.001898i,-0.0037692-0.0013353i,0.0087952-0.0078037i,-0.001177+0.020233i,-0.028316+0.0035139i,-0.012024-0.0046767i,0.01388+0.013767i,0.00063414+0.018254i,-0.0087751-0.0034288i
0.0027519-0.013245i,0.0095223-0.0065284i,0.0093807+0.0004661i,0.012615-0.0070583i,0.017701-0.0081735i,0.010235-0.018759i,0.010527-0.010817i,0.011443-0.0062638i,-0.001995-0.0090488i,-0.0012164+0.0037072i,-6.0301e-05+0.00023738i,-0.00066221+0.0023738i,0.0013276+0.0035193i,0.00044935+0.0026674i,0.0016062+0.001958i,0.00065754+0.00054033i,0.00078581-0.0023509i,0.00067782-0.0016729i,-0.00084295-0.0012201i,6.9512e-05-0.0014616i,-0.00086598-0.0029352i,-0.0013301-0.00059966i,-0.0010096-0.00093184i,0.0062516-0.00030388i,-0.00067417+0.0030541i,7.8311e-05+0.0020344i,-0.0021702+0.0025149i,-0.0016715+0.00166i,-0.003003+0.0022162i,-0.0010296+0.0024458i,0.00023574-0.0013091i,7.7893e-05+0.00059956i,0.00048371-0.00042603i,0.00051248-0.0010296i,0.00070035-0.00023604i,-0.0040965+0.01127i,-0.0019718+0.0019132i,-0.00058902+0.0014981i,-0.00206+0.002634i,-0.00027484-0.0029708i,-0.00021732-0.0012115i,-0.00042051-0.0010833i,-0.00045488+0.0028454i,0.0016781+0.0005756i,-0.0012243-0.01186i,-0.020925-0.0022346i,-0.002472+0.00092174i,-0.0017125-0.0026634i,0.033211+0.0040211i,0.0081976+0.00043897i,0.00014132-0.017229i,-0.026042-0.02292i,-0.013471-0.010931i,0.0092733-0.023936i,0.019468+0.0041604i,-0.0010443+0.00044573i,-0.00070485+0.0018604i,-0.0058007+0.0023879i,0.0024586-0.009948i,0.015283-0.00094077i,0.0081954+0.0042694i,-0.01174-0.0020917i,0.0009786-0.0044136i,-0.0054058-0.0016938i,-0.0053586-0.0069952i,0.00089656-0.0077424i,0.0050002+0.0044237i,0.0018324-0.0093104i,-0.0032405-0.0050954i,-0.0023508-0.00047764i,-0.0017597-0.00070999i,-0.0096816-0.0011621i,-0.0028867+0.0039232i,-0.00037857-0.0012798i,0.015487+0.019892i,-0.010011+0.0050375i,0.0016385+0.0013337i,-0.0045899+0.00011576i,0.0013618-0.00059698i,-0.00767+0.013274i,-0.00050254+0.0040825i,-0.0025637+0.00057286i,-0.0021784+0.0018395i,-0.0067142+0.0022075i,-0.0008405+0.0023011i,-0.00026089+0.0012241i,0.0016779+0.0075209i,-0.0028052+0.001506i,-0.0050861+0.00019749i,0.00583-0.013077i,0.008199+0.018581i,-0.026634+0.0067121i,-0.013872-0.005194i,0.016483+0.0094524i,0.0050697+0.019668i,-0.009947-0.002293i
5.4737e-06-0.013259i,0.0058554-0.0083937i,0.0092229-0.0021242i,0.011382-0.0091636i,0.016233-0.011385i,0.0063476-0.020249i,0.0067927-0.012i,0.0099743-0.008302i,-0.0031358-0.0084158i,-0.00064378+0.004148i,-0.00024141+0.0001197i,0.00037888+0.002573i,0.0016724+0.0028332i,0.00081449+0.0023973i,0.0019075+0.0015292i,0.00077802+0.00085988i,-0.00022486-0.001795i,0.00039645-0.001976i,-0.00088536-0.0011563i,-0.00085113-0.0017959i,-0.0017242-0.0024054i,-0.0013928-0.00042785i,-0.0015512-0.00076088i,0.0051657-0.0026965i,0.00066369+0.0031886i,0.00071987+0.0021776i,-0.00082148+0.0035571i,-0.0011044+0.0022347i,-0.0016599+0.0034128i,8.028e-05+0.0027385i,-0.0002079-0.0011019i,0.00047233+0.0010152i,0.00024009-0.00044194i,-9.0362e-05-0.00099358i,0.00068111-0.00032124i,-0.0003285+0.011758i,-0.00098381+0.0029371i,-0.00012521+0.0015924i,-0.00090142+0.0034601i,-0.001186-0.0027295i,-0.00068511-0.0013443i,-0.00055974-0.0010532i,0.00029187+0.0032157i,0.0018743+0.00062699i,-0.0015264-0.011993i,-0.01695+0.00071735i,0.0012716+0.002742i,-0.0030095-0.0063206i,0.036052-0.010075i,0.01037-0.0040642i,-0.0056292-0.01422i,-0.031972-0.01676i,-0.015499-0.0057298i,0.0031729-0.030605i,0.017014-0.0010061i,-0.0017322+0.0017421i,-0.00080049+0.0042135i,-0.0053149+0.0042794i,-0.0039357-0.0082857i,0.013585-0.0062669i,0.01006+0.0016647i,-0.01251+0.002252i,-0.00054958-0.0041928i,-0.0044872+0.00062363i,-0.0063351-0.0032562i,-0.0011468-0.0075473i,0.0064154+0.0013457i,-0.00056759-0.0086461i,-0.0041281-0.0012669i,-0.00098991+0.0012367i,-0.0021233-0.00046505i,-0.0090056+0.0031972i,-0.00049672+0.0042733i,-0.0011684-0.0012754i,0.020575+0.0098787i,-0.0068121+0.0094989i,0.0019608+0.00025749i,-0.0034074+0.0019271i,0.00039305-0.0017761i,-0.0010737+0.013289i,0.0018264+0.0036028i,-0.0021285+0.0024481i,-0.0012738+0.0029584i,-0.0040195+0.0050771i,-0.00074259+0.0030273i,-0.00054283+0.00066683i,0.0050073+0.0062576i,-0.0029849+0.00087056i,-0.0057699+0.0022789i,0.0022044-0.014605i,0.017477+0.0093598i,-0.02387+0.010722i,-0.017179-0.004287i,0.01539+0.0049836i,0.01043+0.018659i,-0.009653-0.0011381i
-0.0021506-0.012719i,0.0034242-0.0081815i,0.0082705-0.0040428i,0.0099589-0.011055i,0.0142-0.014189i,0.0026073-0.02099i,0.0036825-0.011822i,0.0081505-0.0097669i,-0.004031-0.0076726i,0.00024747+0.0043951i,-0.00057001+0.00023616i,0.0012547+0.0022728i,0.0017768+0.0025474i,0.0010389+0.0022041i,0.0021322+0.001202i,0.001262+0.0012696i,-0.00052692-0.0010653i,-0.00015285-0.0023349i,-0.001324-0.0013383i,-0.0017842-0.0015328i,-0.0022495-0.0019331i,-0.0013659-0.00017062i,-0.0019427-0.00025751i,0.0033236-0.0041159i,0.0018355+0.0027988i,0.0016116+0.0020086i,0.00071992+0.003733i,-0.00034787+0.0026869i,-8.5522e-05+0.0038758i,0.0012455+0.0025747i,-0.00035156-0.00084879i,0.00084965+0.0010072i,-7.6897e-05-0.00033541i,-0.0005838-0.0004272i,0.00073736-0.00031355i,0.0032045+0.011279i,0.00026581+0.0033955i,0.00028611+0.0017631i,0.00062216+0.0038i,-0.0018077-0.0022094i,-0.0010667-0.0013169i,-0.00090295-0.0010194i,0.0012575+0.0031475i,0.0019685+0.00024408i,-0.0027384-0.012614i,-0.012464+0.0014356i,0.0058373+0.0020435i,-0.0052355-0.0066629i,0.031984-0.023433i,0.0098861-0.0086932i,-0.0081316-0.0093776i,-0.034414-0.0080824i,-0.014938+0.00027449i,-0.0052953-0.032926i,0.013187-0.0042631i,-0.0011128+0.0029774i,0.0020466+0.0049349i,-0.0041835+0.0058662i,-0.0067404-0.0039298i,0.0094027-0.011344i,0.010734-0.001972i,-0.011764+0.006416i,-0.0014046-0.0024963i,-0.002907+0.0014809i,-0.0050458-0.00084096i,-0.003985-0.0060939i,0.0055992-0.00089919i,-0.0026513-0.0072696i,-0.002741+0.0012269i,0.00088428+0.0014992i,-0.0022794+3.9693e-05i,-0.0060329+0.0060318i,0.002016+0.0033022i,-0.0015295-0.00027486i,0.020585+0.00018573i,-0.0014242+0.011147i,0.0014814-0.00059576i,-0.0015343+0.0020029i,-0.00063696-0.0013976i,0.0033122+0.011122i,0.002882+0.0021099i,-0.00029588+0.0043622i,0.00090257+0.0036018i,-2.2703e-05+0.0054456i,0.00050459+0.0034042i,-0.0013551+0.0008945i,0.0065959+0.0033956i,-0.0038736+0.00087442i,-0.004804+0.0047371i,0.00015747-0.014674i,0.018417-0.0050124i,-0.018456+0.010998i,-0.020056-0.0016952i,0.014817+0.0016315i,0.014852+0.014156i,-0.010377-0.0012988i
-0.0039248-0.011943i,0.002186-0.0079736i,0.0075562-0.0055606i,0.0082488-0.013115i,0.011862-0.01672i,-0.0013891-0.021242i,0.0016213-0.011054i,0.0063947-0.010812i,-0.0045027-0.0070378i,0.0010137+0.0043301i,-0.00064737+0.00074546i,0.0019505+0.0018661i,0.0021889+0.0025372i,0.001361+0.0021578i,0.0024308+0.00073297i,0.002134+0.0014685i,-0.00038284-0.00068469i,-0.00096581-0.0025166i,-0.0021102-0.0011197i,-0.0025003-0.00088339i,-0.0027056-0.0013895i,-0.0011843-7.1776e-05i,-0.0020949+0.00038354i,0.001117-0.0047583i,0.00292+0.0019751i,0.0023988+0.001363i,0.0020944+0.0032057i,0.00068652+0.0029612i,0.0014624+0.0036913i,0.0022001+0.0019275i,-0.00045145-0.00069575i,0.0013913+0.00091636i,-0.0001908+9.5726e-05i,-0.00047489+0.00019823i,0.00079814-0.00054119i,0.0062538+0.0097711i,0.0017001+0.003228i,0.00099252+0.0018532i,0.0021582+0.0033337i,-0.0021251-0.001639i,-0.0016118-0.0011823i,-0.0013507-0.00094586i,0.0020092+0.0028107i,0.0020467+5.7552e-05i,-0.0041084-0.013049i,-0.0090071+0.00039049i,0.0093941-0.0012695i,-0.0063221-0.0057907i,0.024383-0.033776i,0.0074553-0.012012i,-0.0076388-0.0049926i,-0.032501+0.00066356i,-0.010093+0.0066634i,-0.013101-0.030899i,0.0097668-0.0054922i,-3.7014e-05+0.0034903i,0.0039118+0.0035646i,-0.0027227+0.0073927i,-0.0073448-0.00038607i,0.0028323-0.014256i,0.0088105-0.0061826i,-0.0098324+0.0093299i,-0.000777-0.0014629i,-0.0018793+0.0012483i,-0.003822-3.1017e-05i,-0.0049824-0.0032854i,0.0040934-0.0019004i,-0.0037909-0.0055332i,-0.00049013+0.0018757i,0.0023306+9.6327e-05i,-0.002071+0.00085333i,-0.0031982+0.0068627i,0.0026819+0.0012731i,-0.00077536+0.00065378i,0.016961-0.0074234i,0.0034033+0.010234i,0.0010592-0.00030583i,-0.0007023+0.0017584i,-0.0011332-0.00036708i,0.0064788+0.0083814i,0.0036871+0.00097083i,0.0026523+0.0041419i,0.0024935+0.0023122i,0.0029101+0.00389i,0.001524+0.0032423i,-0.0015032+0.0023031i,0.006711+0.0010727i,-0.004983+0.001519i,-0.0025604+0.0060874i,-0.0014278-0.015226i,0.010964-0.015206i,-0.015858+0.007115i,-0.022685+0.002773i,0.012487-0.0031227i,0.01642+0.0093717i,-0.01163-0.00013632i
-0.0055937-0.01074i,0.00088746-0.0081186i,0.0063509-0.007806i,0.0056372-0.015185i,0.0089792-0.019021i,-0.005673-0.020372i,0.00030548-0.010346i,0.0046581-0.011845i,-0.0049439-0.0064997i,0.0016679+0.0046335i,-0.00057076+0.0011398i,0.0021747+0.00098514i,0.0027451+0.0023025i,0.0017194+0.0020188i,0.0025434+0.00023254i,0.0030455+0.00095393i,-0.00049235-0.0005199i,-0.0020218-0.0023555i,-0.0025445-0.00042302i,-0.003074+0.0001074i,-0.0032715-0.00071929i,-0.0011531-0.00022335i,-0.0020472+0.0010765i,-0.0011538-0.0044257i,0.0035762+0.00041819i,0.0027594+0.00045595i,0.0029801+0.0023665i,0.0018883+0.0026547i,0.0029613+0.0028292i,0.0027729+0.00088992i,-0.00048486-0.00058302i,0.0017431+0.00057729i,-6.3335e-05+0.00047027i,-7.2023e-05+0.00055185i,0.00065502-0.00091968i,0.0086473+0.007267i,0.002849+0.0023436i,0.0016812+0.0014642i,0.0034741+0.0022534i,-0.0022239-0.0011152i,-0.0021321-0.00062851i,-0.0016215-0.00052531i,0.0028466+0.0022301i,0.001975-0.00013854i,-0.0059924-0.013271i,-0.0066989-0.0019492i,0.010777-0.0056445i,-0.0058572-0.0041366i,0.014223-0.040452i,0.0044367-0.013749i,-0.0059298-0.002868i,-0.02746+0.006243i,-0.0020015+0.0088816i,-0.019107-0.026144i,0.0070307-0.0056411i,0.00096311+0.0033035i,0.0041556+0.0014825i,-0.00028333+0.0079843i,-0.0072295+0.0029022i,-0.0050963-0.012943i,0.0053554-0.0082957i,-0.0070467+0.011704i,-0.00020119-0.0021435i,-0.0016804+0.00098264i,-0.0036085+1.5033e-05i,-0.0044558-0.0012751i,0.0031102-0.0020686i,-0.0044574-0.0044997i,0.00072016+0.0012206i,0.0025139-0.0020823i,-0.0016898+0.001662i,-5.8735e-05+0.0069378i,0.0022585+7.4444e-06i,-7.249e-05+0.00025411i,0.011314-0.011904i,0.0071883+0.0076626i,0.0016111-0.00043144i,0.0005002+0.00089053i,-0.00041586+0.00020445i,0.0080348+0.0050155i,0.0045258-0.0012572i,0.0046061+0.0026464i,0.0030337+0.0010627i,0.004044+0.0015514i,0.00324+0.0030184i,-0.00049983+0.0036938i,0.0063674-0.00089375i,-0.0056577+0.0033757i,-0.00044755+0.0060544i,-0.002771-0.01509i,0.00092721-0.021469i,-0.018424+0.003741i,-0.022308+0.0084756i,0.0063788-0.0057334i,0.017154+0.00499i,-0.011538+0.0010011i
-0.0064205-0.0093382i,0.00030926-0.0076094i,0.0040812-0.009242i,0.002081-0.016359i,0.0054499-0.020722i,-0.00925-0.018309i,-0.00035434-0.0097996i,0.0027279-0.012592i,-0.0052805-0.0062469i,0.0031088+0.0048981i,-0.00034215+0.0017657i,0.0021399+0.00045852i,0.0033514+0.0018521i,0.0022109+0.001868i,0.0025794-0.0003212i,0.0035026+0.00027065i,-0.00069024-0.00014496i,-0.0029974-0.0015344i,-0.0025157+0.00024309i,-0.0030159+0.0014379i,-0.0035556+0.00038205i,-0.0016722-0.00031769i,-0.0017015+0.0017862i,-0.0030162-0.0030662i,0.0031638-0.0010802i,0.002703-0.00056556i,0.0038266+0.0011032i,0.0028216+0.0018786i,0.0037969+0.0012897i,0.0028384-0.00024295i,-0.00054318-0.00050478i,0.0018965-0.00020287i,0.00042668+0.00066793i,0.00045355+0.00056223i,0.00022551-0.00093697i,0.010019+0.0040818i,0.0035475+0.0010132i,0.0021406+0.00089815i,0.0041384+0.00062649i,-0.0023069-0.00052813i,-0.0023546+0.00025414i,-0.0017083-0.00010558i,0.0032941+0.0012577i,0.0019418-0.00040982i,-0.0081206-0.013033i,-0.0057828-0.0054174i,0.0099798-0.0098502i,-0.0040894-0.0039667i,0.0034083-0.042659i,0.001102-0.013941i,-0.0045125-0.0017479i,-0.022678+0.0086334i,0.0058991+0.0065292i,-0.02193-0.019818i,0.0058303-0.005554i,0.0019035+0.0025475i,0.0035004+0.00034242i,0.0025495+0.0073316i,-0.0054958+0.0061975i,-0.010584-0.0075616i,0.0018865-0.0085304i,-0.0036627+0.0132i,-0.0012632-0.0030444i,-0.0016978+0.0012389i,-0.0038839+0.00065988i,-0.0034617+1.6789e-05i,0.0021834-0.0022206i,-0.005343-0.0031207i,0.0013185+0.00037625i,0.0001889-0.0035465i,-0.00073364+0.0022347i,0.0028312+0.0051821i,0.00243-0.00075813i,3.52e-05-0.0001138i,0.005298-0.013501i,0.0093131+0.0037652i,0.0016973-0.0013874i,0.00022418-7.3004e-05i,0.00057832+0.00013323i,0.0080219+0.0020753i,0.003572-0.004093i,0.0061213+0.00042023i,0.0035198-5.531e-05i,0.0043664-0.0006392i,0.0043016+0.0016617i,0.0012754+0.0039538i,0.0049082-0.0025195i,-0.0051087+0.0058234i,0.0012994+0.0048811i,-0.0032863-0.014952i,-0.011603-0.022384i,-0.022293+0.0044354i,-0.018875+0.013457i,0.0016709-0.0032804i,0.015978-0.00019477i,-0.011334+0.0013966i
-0.0067312-0.0086243i,0.00016448-0.00815i,0.002015-0.009529i,-0.0014289-0.016127i,0.0018138-0.021682i,-0.01177-0.015917i,-0.00048398-0.01011i,0.00072063-0.013128i,-0.005791-0.0060326i,0.0047666+0.0041369i,0.00047075+0.002258i,0.0020488+0.00021411i,0.0039409+0.0010058i,0.002733+0.0014261i,0.0024753-0.00090384i,0.003846-0.00026881i,-0.00061266+0.00024921i,-0.0033002-0.00049423i,-0.002544+0.00079637i,-0.0023417+0.0024355i,-0.0034201+0.0014121i,-0.0021505+0.00025487i,-0.0010505+0.002321i,-0.0041243-0.00095101i,0.0023598-0.0019604i,0.002306-0.0014639i,0.0039484-0.00056938i,0.0034759+0.00071178i,0.0037074-0.0001263i,0.002561-0.001245i,-0.00052229-0.00030971i,0.0013664-0.00081978i,0.00099427+0.0003838i,0.00088162+0.00033222i,-2.3696e-05-0.0007552i,0.00988+0.00084153i,0.003592-0.00048565i,0.0025184+0.0001144i,0.0039723-0.0010873i,-0.002081+0.00018396i,-0.0019619+0.0010651i,-0.0017397+0.0002836i,0.0032482+0.00015469i,0.0018709-0.00068284i,-0.010307-0.0122i,-0.0082065-0.0084287i,0.0075496-0.012914i,-0.0031708-0.0051846i,-0.0058426-0.041899i,-0.0011008-0.012044i,-0.0028808-0.0010129i,-0.018827+0.010239i,0.010584+0.0013885i,-0.021246-0.013913i,0.0044898-0.006461i,0.0023363+0.0011523i,0.0036139-0.00067702i,0.0048165+0.0052162i,-0.0023033+0.0074161i,-0.012134-0.0013857i,-0.0010006-0.0077764i,0.00011409+0.012988i,-0.0030882-0.0028195i,-0.0019442+0.0018848i,-0.0037079+0.0017853i,-0.0026761+0.00086333i,0.0014323-0.0013954i,-0.0056833-0.001183i,0.0010519-0.0004659i,-0.0016447-0.0026394i,0.00041478+0.0021941i,0.003936+0.0026399i,0.0024388-0.0020445i,0.0001675+5.7662e-06i,9.2964e-05-0.012647i,0.009523-0.00054688i,0.0010369-0.0020972i,1.1806e-05+1.0263e-05i,0.0013388-0.00051438i,0.0076831-0.00016405i,0.00081902-0.0058459i,0.006259-0.0027646i,0.003295-0.0019067i,0.0035798-0.0031692i,0.0047924+0.00025502i,0.0027109+0.0034769i,0.0029608-0.0025431i,-0.0033546+0.0074437i,0.0019421+0.0033593i,-0.0035047-0.015654i,-0.022868-0.017196i,-0.025099+0.0073827i,-0.01385+0.014952i,0.00080785-0.00076364i,0.012817-0.0036938i,-0.012672+0.0017613i
-0.0075448-0.0080756i,-0.00057966-0.0094352i,0.00055581-0.0095159i,-0.0043817-0.015045i,-0.0020312-0.022156i,-0.013996-0.013419i,-0.0011859-0.011644i,-0.0014175-0.013392i,-0.0065493-0.0057549i,0.005973+0.0028282i,0.001554+0.0021644i,0.0020325+0.00011548i,0.004134-0.0001351i,0.0032395+0.00081633i,0.002188-0.0015185i,0.0040508-0.00098674i,-0.00045878+0.00056434i,-0.0033433+0.00047248i,-0.0023298+0.0015539i,-0.0014001+0.0030824i,-0.0030219+0.0025348i,-0.0021751+0.0011345i,-0.00037211+0.0025101i,-0.0039979+0.001426i,0.001518-0.002464i,0.0016048-0.002079i,0.0033069-0.0020849i,0.0034755-0.00074008i,0.0033032-0.0013366i,0.0019056-0.0021512i,-0.00036137-0.00024874i,0.0009514-0.00085979i,0.001274-0.00019806i,0.0011774-0.00027616i,-2.8617e-05-0.00061875i,0.0088625-0.0019171i,0.0031618-0.001806i,0.0026-0.00090128i,0.0031059-0.0025552i,-0.0015383+0.00075313i,-0.0013936+0.0016711i,-0.0016589+0.00071011i,0.0027987-0.00054945i,0.0017213-0.00066413i,-0.012404-0.010905i,-0.012018-0.0084434i,0.0048385-0.014271i,-0.0033625-0.0056227i,-0.014426-0.040004i,-0.0010928-0.010018i,-0.0011261-0.001342i,-0.014267+0.011014i,0.013534-0.0049033i,-0.018586-0.010342i,0.0026963-0.0070149i,0.0014442-0.0010253i,0.0031592-0.0021084i,0.0051831+0.002434i,-0.00030473+0.0068759i,-0.011172+0.0043126i,-0.0036047-0.0060705i,0.003004+0.010856i,-0.0046197-0.0012944i,-0.0017285+0.0032148i,-0.0030907+0.0029093i,-0.0012932+0.0011532i,0.0023142+0.00018302i,-0.0048422+0.00027618i,0.00082802-0.00024615i,-0.0022846-0.0015883i,0.001363+0.0016364i,0.0038419+0.00076671i,0.00071769-0.0034553i,0.000541-8.9728e-05i,-0.0041604-0.010724i,0.0081675-0.0041405i,0.00029788-0.0023261i,0.00056263-0.00018631i,0.0011051-0.0015984i,0.0071127-0.0022953i,-0.0017827-0.0052508i,0.0045215-0.0056217i,0.0019478-0.0029513i,0.0013415-0.0044521i,0.0047829-0.0015399i,0.0038304+0.0025892i,0.0025234-0.0022386i,-0.00079949+0.0079206i,0.0015389+0.0018316i,-0.0043285-0.017383i,-0.027972-0.0072807i,-0.02716+0.012117i,-0.0098808+0.015091i,0.00023685+0.00084166i,0.0095602-0.0048829i,-0.013732+0.0034471i
