-0.02294-0.018495i,-0.032616-0.032953i,-0.022311-0.019375i,-0.032835-0.020696i,-0.02369+0.0042154i,-0.028761-0.017449i,-0.058237-0.044174i,-0.040788-0.040877i,-0.030608-0.020082i,0.0049159+0.0048424i,-0.0039918+0.0064697i,-0.010937+0.011063i,0.0040787+0.0068198i,-0.0038916-0.0027266i,0.0027117+0.0017181i,0.0044995+0.028771i,0.021313+0.027311i,-0.00020663+0.00016856i,-0.0033223-0.0027048i,0.0073715+0.0041696i,0.0020185+0.00051922i,-0.00059841+0.0024626i,-0.00053556+0.00048178i,-0.030618-0.00079325i,-0.0036589-0.0050343i,-0.00025624+0.0026352i,0.0043837-0.002024i,0.00058586-0.00028433i,-0.00042378-0.00056054i,-0.0012454-0.0017464i,-0.0022686-0.00059428i,-0.0038116-0.003591i,-0.0028553-0.0052884i,0.00041099-0.0012023i,0.00044681-0.0028785i,-0.0034781+0.02552i,0.0019416-0.0031608i,0.0023371-0.0037986i,0.0040865-0.0024867i,-0.008471-0.0014704i,0.00057586+0.0011268i,0.0062774-0.0083908i,-0.0025463-5.1995e-05i,-0.0032633+0.00099446i,-0.0093902-0.0033842i,-0.019058+0.022036i,-0.0079455-0.086324i,-0.0024462-0.06114i,-0.021435-0.053343i,-0.010952-0.045707i,0.05428-0.025572i,0.024766-0.066689i,0.040761-0.053312i,0.019197-0.039938i,0.025819-0.020482i,0.012043+0.01183i,0.025904-0.029967i,-0.0096636-0.0035487i,-0.0010209-0.0008876i,-0.0071202-0.001663i,-0.0057096-0.029189i,-0.02213+0.027266i,0.0072894-0.0095236i,-0.0097983-0.0028419i,-0.0026011-0.0020267i,-0.00074085-0.014586i,-0.0082851+0.004971i,0.0048925+0.010287i,-0.011725+0.031057i,0.0064972+0.007905i,-0.003628-0.0017334i,-0.0025266-0.0015907i,-0.012797-0.0058648i,0.00026529-0.0039203i,-0.036644+0.0042175i,0.0029232-0.0087516i,-0.0073371-0.0016017i,-0.0049269-0.0031108i,0.0070212+0.0017875i,-0.010578+0.00053642i,0.0022813-7.798e-05i,0.0061827+0.0077029i,0.005846+0.0009589i,-0.0076323-0.0097558i,0.0026812+0.008003i,-0.020331+0.0069695i,0.0029865+0.0056709i,-0.021653-0.008795i,-0.026795-0.0050788i,0.0096158-0.059524i,0.018449-0.014852i,-0.051612-0.029711i,-0.024102+0.0006044i,0.018539+0.010533i,-0.027028+0.013i,-0.012795-0.007705i
0.0059132+0.0048381i,0.036508+0.014307i,0.01931-0.0046805i,0.013208+0.002272i,0.0084829-0.0018824i,0.015912-0.0074543i,0.012086+0.014226i,0.019438+0.020777i,0.00066559-0.0025404i,0.0011689+0.0009765i,0.0022284-0.0014285i,0.001216-0.0039083i,8.9569e-05-0.0012023i,0.0021384-0.00010482i,0.0051718-0.0012363i,0.0056125+0.00070547i,0.0048449-0.0049318i,7.4645e-05-0.0010749i,-0.002303-0.0001717i,0.00076568+0.00066063i,0.00018625-9.9536e-05i,-0.0021619-0.00061816i,-0.0015597-8.195e-05i,0.006257+0.0075792i,-0.00069573+0.00018948i,0.00040156+0.0008194i,0.00098206+0.00085015i,-0.00020262+0.0012354i,-0.00042937-0.0003389i,-0.0011857-1.5518e-05i,0.00071008-0.0010365i,-0.00052843+0.00044397i,0.00015768+0.0006305i,-0.00011937+0.00055539i,-0.00052119-0.00096911i,-0.0099038+0.0033751i,0.00061507+0.00012661i,-0.00047736-9.6584e-06i,-0.00023406+0.001433i,7.5444e-05-0.0028591i,-0.00055868+0.00037199i,-0.00039643-0.00023318i,0.00068303+0.0013867i,0.0035336-0.0022512i,7.6329e-05+0.0026551i,-0.050003+0.009127i,-0.003458+0.0292i,-0.013905+0.040648i,-0.0092724+0.065033i,-0.017157+0.044453i,-0.0059423+0.019122i,-0.0092423+0.013639i,-0.04546+0.0044118i,-0.024713-0.0075046i,0.015194+0.02514i,0.00060378+0.0055917i,-0.007253+0.0016487i,-0.013708-0.0022149i,0.0039773-0.000237i,0.0070784+0.014253i,-0.0058489+0.0068928i,-0.0054314-0.0073339i,0.0059897-0.0028058i,-0.0064865-0.0052961i,0.0036112-0.0069073i,0.0042678-0.0021824i,-0.0023504+0.010115i,0.011877-0.0057559i,0.0060894-0.0048641i,0.0052186-0.0081179i,0.0030247+0.00074264i,-0.0019501-0.0061111i,-0.0035464-0.0017874i,0.0020581-0.001783i,-0.01033+0.032206i,-0.0042533-0.0051209i,0.0034+8.697e-05i,-0.00038854-0.0066969i,0.0034873-0.0017658i,-0.013058-0.0062589i,0.00078917+0.0008825i,0.0042076-0.0017747i,0.0024655-0.00099141i,0.0012661-0.0053182i,-0.0020456+0.0058047i,-0.00014662+0.0057756i,-0.0047384+0.0062941i,-0.0048472+0.0024144i,-0.0054381-0.00020316i,-0.023675+0.019479i,-0.0083851+0.014588i,-0.021993-0.011044i,-0.0096631-0.0099055i,0.008402+0.020142i,-0.0001867+0.020432i,-0.0082912-0.0040594i
0.0062973+0.00282i,0.038085+0.0067931i,0.018048-0.0082659i,0.01385+0.00085358i,0.0092351-0.0032865i,0.014415-0.010708i,0.012831+0.011307i,0.022002+0.015847i,0.00011379-0.0025906i,0.0015662+0.00047168i,0.001986-0.0016962i,-0.00041497-0.002748i,-8.0734e-05-0.00065722i,0.002007-9.0431e-05i,0.0044345-0.0023133i,0.0051926+0.00010958i,0.002852-0.0052477i,6.8512e-05-0.00088858i,-0.0024496+0.00012486i,0.00093377+2.6215e-05i,0.00010077-0.0005178i,-0.0022665+5.095e-06i,-0.001542+0.00011663i,0.009945+0.0042658i,-0.00093668+0.0011188i,0.00091723+0.00052861i,0.0010969+0.00027227i,0.00039025+0.0010877i,-0.00086337+0.00031688i,-0.0012202+0.00045282i,8.1486e-06-0.0015054i,-0.00056685+2.794e-05i,0.00015487+0.00053546i,0.00022524+0.0004973i,-0.00078204+0.0001097i,-0.0070946+0.0016694i,0.0002546-0.00014291i,-0.00034447+0.00041333i,0.00014865+0.0011727i,-0.00075809-0.0024572i,-0.00037092+0.00022281i,-0.00058059+1.8955e-05i,0.00082698+0.0012457i,0.0024497-0.0025751i,0.00131+0.0027735i,-0.044601+0.017143i,-0.00056649+0.030211i,-0.005278+0.041072i,0.0075437+0.062231i,-0.005956+0.043719i,-0.0081818+0.015375i,-0.012088+0.011597i,-0.047282+0.0078189i,-0.020558-0.0092036i,0.020578+0.019648i,0.00064546+0.0053433i,-0.0061839+0.00687i,-0.013553+0.0028062i,0.0024252-0.0019162i,0.010147+0.012043i,-0.0017639+0.011097i,-0.0093179-0.0053057i,0.0027275-0.0047727i,-0.006526-0.0018248i,-0.00090255-0.0065468i,0.0027699-0.0040408i,0.0023856+0.0079673i,0.0074176-0.0087019i,0.0020816-0.0062589i,0.00088831-0.0057043i,0.0040627-0.00016734i,-0.0035093-0.0046168i,-0.0022746+0.00054259i,0.0019499-0.0018542i,0.0053316+0.031914i,-0.0056692-0.0041764i,0.0036881-0.001832i,-0.0034192-0.0061116i,0.0033497-0.0026555i,-0.01356+0.00033796i,0.001707+0.0012998i,0.0029687-0.0018172i,0.0029251-0.002163i,6.2991e-05-0.0054159i,-0.00046957+0.0029471i,0.0021067+0.0045465i,-0.0015502+0.0074451i,-0.0035787+0.0045242i,-0.0063618+0.00056654i,-0.018406+0.018379i,-0.0058411+0.016649i,-0.025095-0.0062033i,-0.012315-0.012486i,0.011496+0.020077i,0.003871+0.021625i,-0.01136-0.00389i
0.0058632+0.0011864i,0.03768-0.0015585i,0.016651-0.012367i,0.015169-0.0021155i,0.010138-0.0054232i,0.011932-0.013884i,0.01284+0.0085627i,0.02404+0.011039i,-6.9608e-05-0.002331i,0.0014102-0.00017508i,0.0015607-0.002197i,-0.00055117-0.0013352i,-6.5425e-05-0.00063709i,0.0020678-0.00046412i,0.0034565-0.0030824i,0.0047373-0.00057599i,0.0012607-0.0052136i,-0.00011082-0.0010716i,-0.0025258+0.0010675i,0.00072776-0.00078065i,-0.00055954-0.00087416i,-0.0019924+0.00072408i,-0.0016221+0.00040471i,0.010436-0.00081836i,-0.00018446+0.0014976i,0.00088393-6.7701e-05i,0.00085774-0.00013012i,0.0008987+0.00060965i,-0.00045017+0.00074852i,-0.0010773+0.00090417i,-0.00072375-0.0010945i,-0.00115+0.0006254i,0.00035805+0.00052614i,0.00039851+0.00022642i,-0.00034459+0.00070039i,0.00046947-0.00049132i,-3.6997e-05-2.7149e-06i,-5.5109e-05+0.00033948i,0.00042985+0.00091898i,-0.0018071-0.001753i,-0.00027571+7.4912e-05i,-0.00046393+0.00026362i,0.00099392+0.0012758i,0.0018149-0.002639i,0.0032647+0.0019399i,-0.038553+0.023266i,0.0039469+0.031266i,0.003371+0.038176i,0.022835+0.05359i,0.0040551+0.042504i,-0.011538+0.014771i,-0.014386+0.012128i,-0.047867+0.014512i,-0.019383-0.01275i,0.023357+0.012374i,0.00090744+0.0049741i,-0.0037632+0.0087435i,-0.013077+0.0062293i,6.7881e-05-0.0037224i,0.0129+0.0089994i,0.0036226+0.011894i,-0.011494-0.0021589i,0.00065189-0.0034637i,-0.005926+0.00090262i,-0.0029305-0.0041824i,0.00063858-0.0038917i,0.0048468+0.0070126i,0.0044985-0.0089811i,-0.0016938-0.0046198i,0.00053107-0.0029618i,0.0043674-0.0023285i,-0.0057367-0.0021079i,-0.00093881+0.0005257i,0.00092321-0.0022061i,0.019853+0.022435i,-0.0075569-0.0020613i,0.0031467-0.0031426i,-0.0037807-0.0043281i,0.0035462-0.0041079i,-0.010468+0.0057302i,0.0034899+0.0011407i,0.0020411-0.0021671i,0.0019309-0.0026231i,-0.001706-0.0050177i,-0.0015872+0.0026793i,0.0030115+0.002812i,0.0018047+0.0075282i,-0.0021487+0.0049789i,-0.0071743+0.0025725i,-0.015729+0.016859i,0.00030906+0.017079i,-0.025951-0.001479i,-0.016098-0.013303i,0.016639+0.017014i,0.0090275+0.022447i,-0.013984-0.0016931i
0.0052004+0.00024772i,0.034409-0.008408i,0.013412-0.016464i,0.014937-0.006294i,0.009965-0.0085709i,0.0085514-0.015974i,0.012607+0.0067383i,0.024756+0.0059062i,0.00012762-0.0025738i,0.00084602-0.00027164i,0.0010755-0.0021781i,-0.00026416-0.00067721i,-0.00050078-0.00037281i,0.0017776-0.00067493i,0.0022862-0.0035421i,0.0042831-0.00088105i,6.4262e-05-0.0045163i,-0.00041994-0.0010202i,-0.001526+0.0019606i,4.5478e-05-0.0011026i,-0.0010785-0.00040432i,-0.0015397+0.0013917i,-0.0015264+0.00090235i,0.0083649-0.0047485i,0.00026904+0.0013441i,0.00051579-0.00028704i,0.00072058-0.00014065i,0.00080083+3.0039e-05i,-6.2211e-05+0.00064247i,-0.00071704+0.0013923i,-0.0011976-0.00050522i,-0.00071477+0.0012945i,0.00050367+0.00028232i,0.00031241-2.0476e-05i,0.0002036+0.00074832i,0.0075417+0.0076693i,8.1391e-05+0.00022322i,-8.5059e-05+0.00018797i,0.00052013+0.00084841i,-0.0019917-0.00044645i,-0.0003106+0.00010063i,-0.00036032+0.00025817i,0.001356+0.001262i,0.0012862-0.0024273i,0.0049919-0.0001655i,-0.031481+0.027867i,0.0094403+0.03108i,0.0084947+0.034456i,0.035036+0.040142i,0.013661+0.037035i,-0.014923+0.017336i,-0.017471+0.014915i,-0.046529+0.021802i,-0.021517-0.015722i,0.025091+0.0042716i,0.0012507+0.005227i,-0.00083929+0.011395i,-0.011316+0.0099237i,-0.0042141-0.0027911i,0.015338+0.003831i,0.008798+0.0096834i,-0.012862+0.0016441i,-0.00028109-0.0027522i,-0.0042641+0.0027357i,-0.0036355-0.0012297i,-0.00021129-0.0033939i,0.0068936+0.0034885i,0.0015496-0.0090971i,-0.0033935-0.001608i,0.0014645-0.0017736i,0.0030928-0.004445i,-0.0064411+0.00029165i,0.00028082+0.00092502i,0.00051485-0.0019661i,0.026966+0.010834i,-0.0078755+0.0015206i,0.0022898-0.0044397i,-0.0042548-0.0025693i,0.0020167-0.0061975i,-0.0058614+0.0077569i,0.004608-0.00075509i,0.0011907-0.0018916i,0.0013434-0.0026951i,-0.0025397-0.0030407i,-0.0015683+0.0037971i,0.0029545+0.0012189i,0.0048466+0.0063574i,-0.0010182+0.0044826i,-0.0072288+0.0050964i,-0.0139+0.017705i,0.0091013+0.012263i,-0.02444+0.0034772i,-0.021616-0.011787i,0.018673+0.01208i,0.015483+0.020558i,-0.013714+7.0239e-05i
0.0050381-0.00032174i,0.031092-0.013043i,0.0095287-0.018954i,0.013523-0.010336i,0.0084319-0.011616i,0.0053275-0.017105i,0.012636+0.0055983i,0.024228+0.0017587i,0.00026148-0.0030521i,0.00040918-0.00016583i,0.00023417-0.0027966i,7.4943e-05-0.00049465i,-0.00067258+0.00027299i,0.0014754-0.0008627i,0.0011893-0.0034355i,0.0041697-0.00097904i,-0.00065759-0.0037579i,-0.00084819-0.00087095i,-0.00063078+0.0018399i,-0.00063372-0.00091712i,-0.0012042+3.1518e-05i,-0.00081945+0.0017805i,-0.0011612+0.0013903i,0.0053569-0.0073476i,0.00061976+0.001192i,0.00029116-0.00031639i,0.00061903-0.00021959i,0.00044888-0.00019298i,3.2872e-05+0.00061516i,-3.9672e-06+0.0016587i,-0.0012123+0.00012667i,-0.00010641+0.0014473i,0.00050849-8.4677e-05i,0.00033275+0.00014498i,0.00072116+0.00059718i,0.004151+0.0067726i,5.5579e-05+0.00028866i,-0.00025225+0.0002895i,0.00081932+0.00069358i,-0.0015315+0.0003384i,-0.00048096+4.9942e-05i,-0.00028981+0.00030218i,0.0016537+0.00086327i,0.00073924-0.0022213i,0.0050972-0.0031465i,-0.02341+0.030292i,0.015906+0.029367i,0.014041+0.032037i,0.039735+0.024331i,0.019229+0.029891i,-0.016002+0.023343i,-0.017807+0.021721i,-0.043657+0.030727i,-0.026138-0.016276i,0.021334-0.0038393i,0.0024379+0.0053539i,0.0042832+0.011314i,-0.0080351+0.0127i,-0.0058976+0.00078881i,0.014283-0.0031384i,0.012561+0.0058401i,-0.011996+0.0058247i,-0.00057566-0.0011406i,-0.002495+0.0035212i,-0.0019147+0.00069053i,-0.001915-0.0024623i,0.0065413+0.00060901i,-0.00129-0.0078839i,-0.0029507+0.0014195i,0.002784-0.0023384i,0.0011714-0.0055108i,-0.0039104+0.0019141i,0.0016872+0.00035458i,0.00033823-0.0016169i,0.027528-0.0012466i,-0.0055931+0.0044181i,0.00070772-0.0051633i,-0.0036984-0.0017455i,-0.00038317-0.0067273i,-0.0022377+0.0075269i,0.0042685-0.0029876i,0.0012419-0.00095539i,0.0013687-0.0023131i,-0.0014925-0.0023232i,0.00018413+0.0049376i,0.0018517+0.00012793i,0.0058137+0.002561i,-0.00075129+0.0035174i,-0.0055928+0.0077373i,-0.010799+0.018691i,0.011882+0.0010786i,-0.020431+0.0054791i,-0.026577-0.0086623i,0.019973+0.0070032i,0.020124+0.014366i,-0.014346+0.00026894i
0.0050161-0.0012418i,0.028189-0.01733i,0.0057441-0.020503i,0.01117-0.014226i,0.0062508-0.014067i,0.0019301-0.017815i,0.013651+0.0045886i,0.023394-0.0018593i,0.0001559-0.004005i,-0.00013735+0.00017306i,-0.0011127-0.0020717i,0.0003277-0.00043302i,-0.00020045+0.00094805i,0.0011423-0.00089201i,0.00040318-0.0031255i,0.0044884-0.0013532i,-0.00095579-0.0032966i,-0.000885-0.00049964i,2.2058e-05+0.0017085i,-0.00095819-0.0005031i,-0.00095011+0.00034599i,0.00015189+0.001589i,-0.00056509+0.0016654i,0.0013167-0.0085807i,0.0012185+0.0009805i,0.00014301-0.00033492i,0.00052772-0.00043345i,0.00024705-0.00022015i,0.00025318+0.00060115i,0.00064784+0.0013814i,-0.00098458+0.00061464i,0.00048624+0.0012284i,0.00030771-0.00021143i,0.00053137-1.8131e-05i,0.00086196-6.2483e-05i,0.0043666+0.0059225i,0.00019607+0.00035205i,-0.00011063+0.00047718i,0.00085795+0.00035037i,-0.0010054+0.00052756i,-0.00075289+0.00035598i,-0.00013137+0.00026452i,0.0018237+0.00051063i,-0.00072123-0.003885i,0.0043097-0.0058822i,-0.015931+0.030248i,0.021747+0.025248i,0.019852+0.028019i,0.039623+0.0099773i,0.02226+0.023272i,-0.012842+0.030035i,-0.013603+0.029335i,-0.036633+0.0408i,-0.031031-0.013739i,0.016014-0.0077978i,0.0036962+0.0045128i,0.0079343+0.0087718i,-0.0042805+0.014923i,-0.0052249+0.0035862i,0.0098096-0.0093049i,0.013662+0.00013046i,-0.010455+0.0083605i,0.00034411-0.00012333i,-0.00071292+0.0033551i,-0.00037882+0.00053381i,-0.00225-3.0555e-05i,0.0052578-0.00083595i,-0.0029688-0.0058935i,-0.00083454+0.0032823i,0.0026198-0.0041377i,-0.0010857-0.0051481i,-0.0025542+0.0020457i,0.0020596-0.00095381i,0.00083155-0.001589i,0.022969-0.011644i,-0.0024882+0.0052939i,-0.00096333-0.005042i,-0.0034693-0.00099898i,-0.0027018-0.0063742i,0.00048973+0.0066042i,0.0031191-0.0046642i,0.0021662-0.0011704i,0.0011484-0.0030989i,-0.0010109-0.0029643i,0.0019333+0.00467i,0.0008285+0.00039737i,0.010687+0.0042123i,-0.0010947+0.0028408i,-0.0025718+0.0093975i,-0.0072035+0.018621i,0.0075584-0.0080093i,-0.017991+0.0031405i,-0.031965-0.0027747i,0.018739+0.00034888i,0.020839+0.0075601i,-0.015197+0.0016228i
0.0048253-0.0020536i,0.02424-0.021526i,0.0014436-0.022192i,0.0070548-0.017895i,0.003543-0.016295i,-0.0016916-0.017622i,0.015348+0.0027368i,0.022417-0.0056748i,-0.00054761-0.0048159i,-0.00032207+0.0011251i,-0.0013214-0.0012226i,0.00049475-0.0010264i,0.00040541+0.001066i,0.00079982-0.00084017i,-0.00015563-0.0026886i,0.0047213-0.002269i,-0.0013911-0.0029946i,-0.0010814-0.00035995i,0.00076625+0.0012743i,-0.0013063-5.4053e-05i,-0.00095719+0.00042297i,0.0006908+0.00088614i,-3.9158e-05+0.0016818i,-0.0034217-0.0079365i,0.0013768+8.5326e-05i,-6.4703e-05-0.00019i,5.7891e-05-0.00074135i,8.3484e-05-0.00015094i,0.00058248+0.00031794i,0.00095766+0.00088152i,-0.00043349+0.00089146i,0.00075531+0.0011388i,3.7122e-05-0.00013902i,0.00043702-0.0001536i,0.0003479-0.00072091i,0.0050038+0.004337i,0.00036557+0.00037794i,-6.8351e-05+0.0004461i,0.00096992+0.00023129i,-0.00040128+0.00050684i,-0.0010314+0.00073589i,8.4922e-06+0.00028862i,0.0019375-9.115e-07i,-0.00095269-0.0025078i,0.0022994-0.0083751i,-0.0097421+0.028981i,0.025938+0.019726i,0.025+0.022683i,0.035159-0.0016275i,0.023279+0.017964i,-0.006485+0.0345i,-0.0046247+0.033883i,-0.025047+0.047258i,-0.034989-0.0084959i,0.010552-0.0094455i,0.0044437+0.0033566i,0.0095284+0.0047485i,0.00037662+0.015114i,-0.004314+0.0052087i,0.0020493-0.011383i,0.011427-0.0048704i,-0.0090669+0.011389i,0.001531-0.0010198i,0.00084391+0.0021195i,2.5993e-05-0.00024699i,-0.00044803+0.0015308i,0.0043128-0.0010383i,-0.0035194-0.0044124i,0.0017215+0.0033471i,0.0012016-0.0060979i,-0.0026196-0.0041107i,-0.001529+0.0022961i,0.0015774-0.0023328i,0.00080618-0.0023217i,0.014279-0.017963i,1.2634e-05+0.0048798i,-0.0021331-0.0042885i,-0.0030214-0.00083414i,-0.0045681-0.0053018i,0.0020684+0.0053252i,0.0015256-0.0063292i,0.0024886-0.0020306i,-8.2257e-05-0.0035861i,-0.0019603-0.0036185i,0.0031352+0.0041393i,0.0005955+0.0014724i,0.0071179-0.0012416i,-0.0017729+0.0028257i,0.00049961+0.0091144i,-0.003683+0.018373i,0.00076485-0.013852i,-0.020277+0.00047147i,-0.033491+0.0059451i,0.012724-0.0041684i,0.020734+0.0023252i,-0.014208+0.003824i
0.0048712-0.0030193i,0.02016-0.024162i,-0.003914-0.022465i,0.0015038-0.019516i,-0.00017149-0.017657i,-0.0045337-0.016428i,0.016982-0.00029564i,0.020407-0.0094316i,-0.0011675-0.0056562i,0.0004443+0.0021438i,-0.0014707-0.00030295i,-0.00028165-0.0013777i,0.0010102+0.001046i,0.00071661-0.0005884i,-0.00036589-0.0023061i,0.0042746-0.0030636i,-0.002352-0.0024898i,-0.0013035+0.00012052i,0.0010266+0.00048983i,-0.0012715+0.00074923i,-0.00082409+0.00082521i,0.00055929+7.9546e-05i,0.00042923+0.0015894i,-0.0057956-0.010076i,0.00056242-0.00032903i,-0.00011887-3.3126e-05i,3.7496e-05-0.00051109i,1.4082e-05-2.511e-05i,0.00046498-8.1473e-05i,0.0010548+0.00050261i,8.049e-06+0.00078385i,0.0008268+0.00035326i,7.1034e-05+3.7575e-05i,0.00029759-0.00016457i,-0.00026932-0.00040487i,0.0054567+0.0035999i,0.00055984+0.00018666i,-3.6707e-05+0.0006398i,0.0010922+5.3161e-05i,0.00014878+0.00016447i,-0.00092691+0.00082411i,0.00025027+0.00020329i,0.0016617-0.00066778i,-0.0013249-0.00159i,-0.00042274-0.0095589i,-0.0046869+0.026597i,0.028083+0.013957i,0.02928+0.016294i,0.029056-0.0093948i,0.023422+0.013844i,0.0011665+0.036289i,0.0044874+0.033755i,-0.012038+0.049292i,-0.036286-0.0014247i,0.0072744-0.0094022i,0.0051479+0.0022266i,0.0091004+0.0012831i,0.0051258+0.01373i,-0.0027884+0.0069402i,-0.004611-0.0086181i,0.0077951-0.0072126i,-0.0053007+0.014063i,0.0011316-0.0029316i,0.00095521+0.0014814i,-0.00025554-0.0002926i,0.0016599+0.0014105i,0.003894-0.0013039i,-0.0041851-0.0030644i,0.0032105+0.0019604i,-0.0021349-0.0071942i,-0.0031692-0.0025059i,-0.00014424+0.0017163i,0.00087924-0.0031488i,0.00032764-0.0034232i,0.0057237-0.018962i,0.0015165+0.0037378i,-0.0029446-0.0035567i,-0.0036895-0.00072892i,-0.0059603-0.003419i,0.0026875+0.00428i,-0.001182-0.0074853i,0.0026061-0.0032241i,-0.0010064-0.0031056i,-0.0027582-0.0031532i,0.0045482+0.0030824i,0.0012055+0.0021546i,0.0051273-0.0027831i,-0.0020322+0.0036596i,0.0028197+0.0074886i,0.00049228+0.017816i,-0.0088286-0.016576i,-0.024142+0.00081911i,-0.030705+0.014389i,0.0075233-0.003744i,0.01829-0.0034304i,-0.012999+0.0041924i
0.0046906-0.0046246i,0.016328-0.026785i,-0.0084725-0.020834i,-0.0034796-0.018868i,-0.0039555-0.017919i,-0.0065938-0.015194i,0.017799-0.0045758i,0.017908-0.012302i,-0.0021674-0.0065714i,0.0017883+0.0020334i,-0.0010028+0.00044856i,-0.00091954-0.0008458i,0.0015542+0.00049791i,0.00072892-0.00055173i,-0.0005152-0.0020787i,0.0038175-0.0036286i,-0.0029223-0.0013392i,-0.00087238+0.00041702i,0.00079287-0.00014529i,-0.00077221+0.0012172i,-0.00053112+0.0011445i,0.00015653-0.00027528i,0.00084509+0.0013277i,-0.004904-0.003081i,7.9741e-05-0.00016725i,-6.531e-05+4.9094e-05i,-0.00039927+3.7635e-05i,6.9581e-05+5.5728e-05i,0.00014792-2.1781e-06i,0.0010277+9.1025e-07i,0.00038665+0.00052972i,0.0007621+0.00031945i,0.00021694+6.6716e-05i,0.00030131-0.00011124i,-0.00032574+9.6542e-05i,0.0055329+0.0033058i,0.00044296+2.987e-05i,0.00034266+0.00075198i,0.0011694-0.00041753i,0.00035319-0.00032799i,-0.00045566+0.0007388i,0.00031722-0.00010206i,0.0010528-0.0011093i,-0.0015149-0.00087293i,-0.0032942-0.0099527i,-0.0016528+0.023471i,0.029215+0.0087515i,0.031237+0.0084304i,0.022259-0.014608i,0.023468+0.011847i,0.0088586+0.035855i,0.012561+0.031604i,0.00013535+0.047369i,-0.034449+0.0054583i,0.004446-0.0093953i,0.0058863+0.00040693i,0.0086327-0.0012036i,0.0090391+0.010132i,5.1085e-06+0.0074309i,-0.0080152-0.0037777i,0.0040626-0.0080514i,-0.00065484+0.014i,-0.0010434-0.0037858i,0.00015368+0.0014527i,-0.00035325-2.5753e-05i,0.0026349+6.4827e-05i,0.0037362-0.00086783i,-0.0041233-0.0015334i,0.0034528+0.00028649i,-0.005213-0.0052904i,-0.0027092-0.0012811i,0.0001857+0.00047185i,8.9425e-05-0.0039685i,-0.00099398-0.0038175i,-0.0013883-0.017579i,0.002891+0.0023003i,-0.003923-0.0027282i,-0.0038895+0.000678i,-0.0063275-0.0011183i,0.0033169+0.0033269i,-0.0045427-0.0072046i,0.0020367-0.00462i,-0.0014818-0.0028568i,-0.0032931-0.0030803i,0.0057669+0.0020243i,0.0020526+0.0022844i,0.0033202-0.0027171i,-0.0017314+0.0045593i,0.0039836+0.0054512i,0.0049676+0.015674i,-0.019653-0.013776i,-0.028001+0.0034431i,-0.025172+0.018871i,0.0050124-0.0026279i,0.013254-0.0065995i,-0.014451+0.004711i
0.0036309-0.0061686i,0.012055-0.029337i,-0.012017-0.018664i,-0.0074377-0.017091i,-0.0076382-0.017426i,-0.0087624-0.01405i,0.017173-0.00975i,0.015185-0.014784i,-0.0039675-0.0073396i,0.0027803+0.0013374i,-0.00030648+0.00076873i,-0.0010717+2.4003e-05i,0.0015839-0.00020327i,0.00079999-0.00060415i,-0.00081801-0.0019926i,0.0034182-0.0042613i,-0.0028218-4.6102e-05i,-0.00064008+0.00026281i,0.00054265-0.00036464i,-0.00021508+0.0013538i,-0.0004292+0.0012428i,-0.00020707-0.00027294i,0.001088+0.00091647i,-0.0051045+0.00085433i,-8.743e-05+7.0482e-05i,-7.7908e-06+0.00013307i,-0.00041788+8.9919e-05i,0.00010139+0.00011464i,0.00018952+0.00011389i,0.00066646-0.00039537i,0.00050988+0.00015519i,0.00085898+0.0004826i,0.00028164+1.2232e-05i,0.0003543-0.00049768i,-2.7058e-05+0.00038971i,0.0065443+0.0021472i,0.00047441-1.7166e-06i,0.00070413+0.00063557i,0.00046962-0.00083611i,0.00056133-0.00058057i,-3.6182e-05+0.00059387i,0.00014842-0.00028469i,0.00037465-0.0010371i,-0.0014806+0.00019464i,-0.0058242-0.0092968i,-0.0005709+0.021692i,0.029725+0.003706i,0.030367+0.0022363i,0.014884-0.017871i,0.025962+0.010707i,0.016239+0.033116i,0.02064+0.027139i,0.010797+0.041771i,-0.029708+0.011052i,0.0019626-0.008925i,0.0052934-0.0026582i,0.0078891-0.0041415i,0.010245+0.0055281i,0.0017841+0.006415i,-0.0087398+0.0017989i,0.00028029-0.007527i,0.0023151+0.011969i,-0.0028741-0.0027948i,-0.000335+0.0024694i,-0.00027375+0.00025616i,0.0030708-0.0015234i,0.004737-0.00012453i,-0.0032365-0.00042136i,0.0034255-1.5806e-05i,-0.0062341-0.0027935i,-0.0020397-0.00056439i,-0.00025134+0.00011877i,-0.0020943-0.0046207i,-0.002287-0.0030577i,-0.0070739-0.014925i,0.0033808+0.00019689i,-0.0046249-0.0013263i,-0.0028907+0.0016214i,-0.0060336+0.00066168i,0.0040876+0.0025603i,-0.0070737-0.0047522i,0.00022933-0.0062022i,-0.0023773-0.0024264i,-0.0047094-0.002446i,0.0067464-0.00028777i,0.0030859+0.0024573i,0.0027738-0.0024093i,-0.00025474+0.005471i,0.0040777+0.0033816i,0.0088995+0.011802i,-0.025438-0.0053955i,-0.030977+0.009055i,-0.019944+0.022198i,0.002953-0.00054268i,0.0096675-0.0081781i,-0.014592+0.0067235i
