-0.029629-0.041131i,-0.022542-0.01926i,-0.013496-0.03587i,-0.03008-0.019998i,-0.022687-0.00029642i,-0.014135-0.0057353i,-0.056016-0.059185i,-0.047724-0.017302i,-0.038664-0.014228i,0.010533+0.011859i,-0.0074504+0.0053296i,-0.019387+0.018853i,0.0025759+0.011539i,-0.0060248-0.0031535i,0.0002914+0.0012872i,-0.00090603+0.030173i,0.028019+0.027765i,0.0024231-0.0023271i,-0.0020906-0.0067093i,0.007782+0.0025067i,0.0029087+0.00081885i,0.00016347+0.0037488i,-0.00038779+0.00026021i,-0.037336-0.011738i,-0.00017513-0.0078138i,0.0014634+0.0022223i,0.0060334+0.0016381i,0.0018822+0.00065985i,0.0011911-0.00056799i,-0.00055007-0.0026044i,0.0015652-0.0027218i,-0.0026904-0.0058801i,-0.00041309-0.0048228i,0.0029477-0.00087015i,0.0045248-0.0029332i,0.0025469+0.030223i,0.0039313-0.0034963i,0.0030612-0.001743i,0.0079921-0.0013315i,-0.0054103-0.0023525i,-0.00032648+0.0011235i,0.0094309-0.00017211i,0.0042118-0.0026778i,-0.0012887+0.0091182i,-0.017783-0.0074362i,-0.018393+0.014466i,-0.0035859-0.061459i,-0.0054506-0.027172i,-0.026699-0.032319i,-0.011237-0.027106i,0.054454-0.021225i,0.016121-0.043114i,0.022208-0.049195i,0.0055214-0.056031i,0.026143-0.021076i,0.0083949+0.0061009i,0.024798-0.034262i,-0.0080601-0.0062929i,0.003796-0.0047226i,-0.0044223-0.0073881i,-0.002361-0.032777i,-0.018267+0.029869i,0.0080712-0.011739i,-0.0090078-0.0039243i,-0.004325-0.001329i,0.0008568-0.012805i,-0.011181+0.0044157i,0.0024933+0.0098706i,-0.0046465+0.026713i,0.0053638+0.0025491i,-0.0053876-0.0020208i,-0.0020852-0.0020069i,-0.012214-0.0073182i,-0.00070805-0.0040859i,-0.03608+0.0018819i,0.0012234-0.010789i,-0.0084388+1.1951e-05i,-0.0066289-0.0022569i,0.005211+0.0011089i,-0.0083322-0.0003522i,0.0018134-0.00039401i,0.0037848+0.0068459i,0.0039527+0.00050554i,-0.0086523-0.013205i,0.0024267+0.0089622i,-0.015557+0.0047649i,0.0065635-0.00021547i,-0.022369+0.0002969i,-0.017162+0.0054278i,-0.0090454-0.065047i,0.0078108-0.012781i,-0.050164-0.02281i,-0.021798+0.0012374i,0.01744+0.011749i,-0.022744+0.014472i,-0.019666-0.0048363i
0.031287+0.03521i,0.014025+0.01597i,0.01734+0.024722i,0.0067893+0.019144i,0.0088883+0.0069364i,0.0048469-0.001023i,0.015692+0.012217i,0.016069-0.0022268i,0.0076788-0.0082733i,0.00043714+0.0035081i,0.0024327-0.0025829i,0.00040761-0.0049852i,-0.0018364+0.00080744i,0.0013606-0.0013258i,0.0019809-0.00062157i,0.0053214-0.0025464i,0.0056882-0.0074708i,0.0002429+0.00081654i,-0.0034893+0.00030216i,1.0785e-05+0.00068942i,-0.00098815-0.0010707i,-0.0025827-0.0010647i,-0.0015881+0.00081481i,0.0059887+0.0096629i,-0.00073796+0.0020803i,0.00090887+0.0014618i,0.0012+0.00093507i,-0.0018435+0.0027188i,-0.0010673+0.00011115i,-0.0011207+0.00053628i,-0.00089018-0.00099757i,-0.0015638-0.00084348i,-9.8016e-05+0.00036639i,0.00056872+0.00063647i,0.00014811-0.00087482i,-0.0088503+0.010536i,0.0017235+2.599e-05i,0.00079256+0.00074389i,0.00085609+0.0026067i,0.0010369-0.0012457i,-0.00022077-0.00035212i,-0.0013195-0.00022395i,-0.00015301+0.0013094i,0.00095304+0.0014371i,0.020538+0.016164i,-0.023509+0.013892i,-0.011544+0.01748i,-0.022161+0.011749i,-0.0038262+0.037681i,-0.019955+0.018129i,0.0026205-0.0036163i,-0.011667-0.016319i,-0.019093+0.00066705i,-0.006758+0.016384i,0.017353+0.021395i,-0.00022998+0.0021994i,-0.003864+0.00083042i,-0.012476-0.0043306i,0.011371+0.0012619i,0.012649+0.010113i,-0.00040829+0.005603i,-0.0051592-0.0070694i,0.0062653-0.0024822i,-0.0031208-0.0044018i,0.0036884-0.0085i,0.0088172-0.0028729i,-0.0014265+0.010406i,0.012313-0.0065073i,0.0035503-0.0071265i,0.0035058-0.0078211i,0.0022214+0.00055271i,-0.0023632-0.0056447i,-0.0035196-0.0014677i,0.002575-0.00013456i,-0.0084743+0.036497i,-0.0067454-0.0055799i,0.00026375+0.001014i,-0.0014029-0.0072188i,0.0030549-0.00029146i,-0.017766-0.0057729i,-0.0016794-0.0030049i,0.002988-0.0021251i,0.0032672-0.0013856i,-0.0032612-0.0069482i,-0.00011952+0.0074376i,0.00028502+0.0033688i,-0.0030937+0.0041088i,-0.0076808+0.0017502i,-0.0068253+0.00062929i,-0.01056+0.024535i,-0.0019157+0.014381i,-0.02635-0.010484i,-0.0013251-0.0026719i,0.013823+0.017156i,-0.00049073+0.018403i,-0.00061714-0.0046875i
0.036271+0.028145i,0.016947+0.012152i,0.021514+0.021705i,0.0101+0.018691i,0.010827+0.0055964i,0.0049187-0.0024509i,0.015779+0.0085601i,0.015452-0.0048299i,0.0055349-0.0096505i,0.0014038+0.0030508i,0.0022034-0.0028615i,-0.0013944-0.0032974i,-0.0013014+0.0014919i,0.0011292-0.00044294i,0.0018206-0.00096564i,0.0041788-0.0028687i,0.0029757-0.0079644i,0.00087475+0.00074989i,-0.0031142+0.00077105i,0.0003721+0.00012324i,-0.0010564-0.0011829i,-0.002702-0.00047911i,-0.0012572+0.00095597i,0.011101+0.0063572i,-0.00037729+0.0029395i,0.0016236+0.00090008i,0.0011231+2.7439e-05i,-0.00064981+0.002968i,-0.0015639+0.00062299i,-0.00090996+0.0010554i,-0.0013159-0.00041506i,-0.0020491-0.00067783i,-0.00019764+0.00020829i,0.00064795+0.00041788i,-0.00061155-6.6612e-05i,-0.0048299+0.012081i,0.0012727-0.0006113i,0.00099509+0.00057723i,0.001573+0.0017893i,0.00055048-0.0012309i,-0.00034467-0.00050182i,-0.0014813+0.00026533i,-8.4813e-05+0.0015298i,0.0006978+0.0014554i,0.024184+0.012736i,-0.018761+0.017111i,-0.010413+0.020142i,-0.017329+0.013481i,0.0076751+0.033854i,-0.012497+0.018171i,-0.0037367-0.0069865i,-0.019045-0.017174i,-0.021472+0.00090672i,-9.588e-05+0.011275i,0.021461+0.014479i,-0.00082991+0.0020318i,-0.0026767+0.0045654i,-0.012576+2.8874e-05i,0.0099486-0.0029432i,0.014374+0.0063845i,0.0025037+0.0080048i,-0.0092632-0.005429i,0.0023501-0.0041633i,-0.0034536-0.0023099i,-0.0013569-0.0078543i,0.0069714-0.0054711i,0.0033221+0.0083092i,0.0072658-0.0090362i,-0.00059851-0.0068228i,-0.00032949-0.005355i,0.0035327-0.0001637i,-0.0037498-0.0048444i,-0.0019602+0.00097813i,0.003149-0.00049161i,0.010278+0.034266i,-0.0084123-0.0035866i,0.0010062+0.00031876i,-0.0042319-0.0056167i,0.003793-0.0016038i,-0.018079+0.0025063i,-0.0020611-0.0021446i,0.0017433-0.0021973i,0.0033101-0.0028007i,-0.0051119-0.0052228i,0.002351+0.0038863i,0.001579+0.0024894i,-0.00048513+0.0054166i,-0.0058741+0.0045975i,-0.0070788+0.0018493i,-0.0050114+0.021812i,0.00050625+0.015592i,-0.028624-0.0043547i,-0.0029856-0.006478i,0.016232+0.014654i,0.0027408+0.019621i,-0.0032189-0.0049572i
0.039368+0.020418i,0.018137+0.0072068i,0.026106+0.016372i,0.014659+0.015949i,0.012963+0.0035736i,0.0045466-0.0041594i,0.015148+0.0049153i,0.014438-0.0077507i,0.0035853-0.0099609i,0.0016875+0.0025047i,0.0015266-0.0037419i,-0.0014023-0.0014572i,-0.00066743+0.0015423i,0.0017642-0.00045415i,0.0015652-0.0012784i,0.0032272-0.0032649i,0.00052662-0.0078339i,0.0010136+0.00022949i,-0.0028855+0.0016166i,9.811e-05-0.00060024i,-0.0018502-0.0015644i,-0.0024+0.00014956i,-0.0010397+0.0010834i,0.012355+0.00018191i,0.00091631+0.0032361i,0.0016228-1.4029e-05i,0.00052113-0.00034002i,0.00055107+0.0025995i,-0.0012523+0.0015212i,-0.00042728+0.0014248i,-0.0014339+0.0003503i,-0.002949+0.00072244i,-0.00015144+0.00019394i,0.00070568+0.00011175i,-0.00047585+0.00073316i,-0.00091905+0.012274i,0.00080627-0.00067891i,0.0011584+3.304e-05i,0.0016949+0.0010296i,4.7865e-05-0.001324i,-0.00061607-0.00064378i,-0.0013725+0.00063154i,0.00017365+0.0019794i,0.0010016+0.0017047i,0.028248+0.008042i,-0.013876+0.019249i,-0.0072158+0.023364i,-0.011624+0.01296i,0.017955+0.026499i,-0.0059941+0.018168i,-0.011033-0.0063492i,-0.025482-0.014393i,-0.023158+0.0044117i,0.0029697+0.0044971i,0.022096+0.0063489i,-0.0014128+0.0020499i,-0.0010024+0.0046828i,-0.012433+0.0031781i,0.0061353-0.0072969i,0.014914+0.0018798i,0.0060581+0.0079279i,-0.012147-0.0022464i,0.00068207-0.0028023i,-0.0034911-0.00047201i,-0.0038766-0.0050745i,0.0047382-0.0066889i,0.0059605+0.0071651i,0.0041851-0.0087234i,-0.0038465-0.0042826i,-0.00048742-0.0027523i,0.0039625-0.002332i,-0.005988-0.0031082i,-7.1652e-05+0.00078361i,0.0027517-0.0019412i,0.02365+0.023446i,-0.0099237-2.2559e-05i,0.001462-0.00035585i,-0.0040531-0.0037291i,0.0042153-0.0035112i,-0.013533+0.0095622i,-0.0018849-0.001312i,0.00077368-0.0023328i,0.0019271-0.0036177i,-0.0064883-0.0025964i,0.0015358+0.0026099i,0.0021572+0.0014536i,0.0021461+0.0050773i,-0.0036564+0.0053291i,-0.0070985+0.0035892i,-0.0024798+0.018579i,0.0074322+0.014946i,-0.028328+0.00020585i,-0.005844-0.0090354i,0.018854+0.0096355i,0.0077231+0.020107i,-0.0052823-0.0040805i
0.040353+0.013147i,0.017352+0.003409i,0.027879+0.0095891i,0.017654+0.010882i,0.014364+0.00042312i,0.003298-0.0056099i,0.013731+0.0023683i,0.01248-0.010477i,0.0021982-0.010235i,0.0018451+0.0023697i,0.00021589-0.0037032i,-0.00066811-0.00066694i,-0.00050097+0.0016226i,0.0016891-0.00063237i,0.0011117-0.0015077i,0.0020963-0.0031889i,-0.0015215-0.0064332i,0.0010674-1.1042e-05i,-0.0017573+0.0023753i,-0.00056121-0.0007838i,-0.0024266-0.00067056i,-0.0023419+0.00069889i,-0.00082306+0.0012321i,0.010349-0.0047172i,0.0020121+0.0028653i,0.0011609-0.00049611i,6.9467e-05-0.00014449i,0.0010775+0.0020078i,-0.0004937+0.0017186i,0.00017074+0.0015226i,-0.0011466+0.0011067i,-0.002226+0.0021956i,-0.00015416+0.00019188i,0.0005235-6.4364e-05i,-2.6697e-05+0.0010655i,0.0026801+0.011412i,0.00062438-0.00075563i,0.0008911-0.00053132i,0.0015548+0.00083567i,-0.00051653-0.0011169i,-0.0010678-0.00050137i,-0.0013031+0.00094846i,0.00075215+0.0022957i,0.0015675+0.0015564i,0.030709+0.0011304i,-0.0084123+0.020425i,-0.0022632+0.025598i,-0.0092968+0.0099635i,0.025505+0.014935i,0.00038874+0.014412i,-0.017485-0.0016862i,-0.031675-0.0088652i,-0.023043+0.009348i,0.0016381-0.001967i,0.020114-0.0008547i,-0.0016903+0.0030524i,2.7974e-05+0.006287i,-0.01163+0.007114i,-0.00018545-0.0074845i,0.014105-0.0031723i,0.009435+0.00602i,-0.013274+0.001976i,-0.0002623-0.0023656i,-0.0026948+0.00098328i,-0.0048065-0.0015912i,0.0026482-0.0074636i,0.0084964+0.0036842i,0.0020126-0.0084811i,-0.0047763-0.00014401i,0.00041318-0.0017632i,0.0026226-0.0044032i,-0.0064564+0.00026175i,0.00092787+0.00042947i,0.0017046-0.002742i,0.029394+0.0089138i,-0.0088261+0.0045731i,0.00157-0.0013866i,-0.0041791-0.0020188i,0.0024872-0.006096i,-0.0071882+0.011724i,-0.0013645-0.00076878i,8.4785e-05-0.0016637i,0.00062466-0.0037733i,-0.0058249+0.00062245i,0.0013821+0.0024308i,0.0019184+0.00034828i,0.0045704+0.0040362i,-0.0015862+0.0045736i,-0.006683+0.0053388i,-0.0012332+0.017825i,0.015589+0.0080416i,-0.026282+0.0048247i,-0.01103-0.0099578i,0.017555+0.0044896i,0.013097+0.018018i,-0.0054527-0.0030996i
0.040839+0.0064864i,0.016942+0.0010213i,0.027961+0.0038254i,0.018902+0.0056781i,0.014594-0.0029547i,0.0019337-0.0064382i,0.012628+0.001209i,0.010071-0.012465i,0.00097485-0.010739i,0.0022655+0.0020755i,-0.00084667-0.0030996i,-6.3131e-05-0.00073505i,-0.00028778+0.0020075i,0.0016604-0.0010216i,0.00068888-0.001407i,0.0015543-0.0024594i,-0.0022043-0.005177i,0.00094707-0.00024883i,-0.00073776+0.0022205i,-0.0011147-0.00058446i,-0.0025204-1.6061e-05i,-0.0018028+0.0012818i,-0.00049691+0.0014016i,0.0068844-0.0076162i,0.0028866+0.002181i,0.00083914-0.00073628i,-7.8872e-05-8.4663e-06i,0.0014173+0.0014354i,-3.307e-05+0.001717i,0.00084767+0.0013662i,-0.00042643+0.0015392i,-0.0011952+0.0029741i,-0.00028781+0.0001495i,0.00042912+7.9073e-05i,0.00059335+0.0013162i,0.0053727+0.0096538i,0.00025026-0.00083484i,0.0004056-0.00076894i,0.0018086+0.00058008i,-0.00078531-0.00064912i,-0.0012842-0.00028054i,-0.0011418+0.0013408i,0.0015085+0.0021983i,0.0016345+0.0010004i,0.030495-0.0065456i,-0.0025034+0.020066i,0.0041045+0.025967i,-0.0089106+0.0093683i,0.026368+0.0022203i,0.0028754+0.0090903i,-0.019653+0.0063662i,-0.034384+0.00046441i,-0.021293+0.015626i,-0.0028098-0.0055993i,0.015209-0.0055309i,-0.00094232+0.0041164i,0.0035862+0.0061948i,-0.0089996+0.010492i,-0.003388-0.0041664i,0.010904-0.0087682i,0.01215+0.0023869i,-0.013188+0.0063064i,-0.00089081-0.00077097i,-0.0016592+0.0017588i,-0.0031005+0.00057042i,-0.00050041-0.0069825i,0.0085594+0.00033121i,-0.00016899-0.0078876i,-0.0029505+0.0028415i,0.0012784-0.0020684i,0.00056513-0.0052978i,-0.0046771+0.0026424i,0.0019481-0.00041363i,0.0010013-0.0027507i,0.027813-0.0043285i,-0.0050038+0.0072479i,0.00090964-0.002354i,-0.0032919-0.0016176i,-0.00015846-0.0069234i,-0.0027512+0.011186i,-0.0012793-0.00052487i,0.00010772-0.00054986i,0.00023836-0.0032766i,-0.003407+0.0021835i,0.0020704+0.0021332i,0.0010025-0.00018004i,0.0056277+0.0014667i,-0.0013386+0.002952i,-0.0053267+0.0073607i,0.0012919+0.017802i,0.01706-0.0043411i,-0.022167+0.0060244i,-0.01611-0.0080159i,0.016508+0.00076043i,0.01715+0.012645i,-0.006278-0.0033104i
0.040618-0.00025322i,0.016865-0.0017211i,0.02782-0.0017931i,0.019199+0.00029435i,0.014352-0.0061889i,0.00042384-0.0070063i,0.012724+0.00036618i,0.0075902-0.013991i,-0.00046671-0.011428i,0.0023215+0.0016259i,-0.0011381-0.0022879i,0.00022723-0.00091696i,0.00041408+0.0024393i,0.0014523-0.0011308i,0.00049651-0.0013446i,0.0017673-0.0018452i,-0.0026473-0.0048769i,0.0010268-0.00057938i,-8.9119e-05+0.0018259i,-0.0014231-0.00014237i,-0.0020225+0.00060358i,-0.00099767+0.0013761i,-0.00010111+0.0014628i,0.0026501-0.0089001i,0.0037073+0.0011501i,0.00047629-0.00091182i,-0.00019076+6.5758e-05i,0.0015518+0.00094246i,0.00044805+0.0017046i,0.0012593+0.00077926i,0.00034799+0.0015428i,9.2963e-05+0.0032693i,-0.00035326+0.00043659i,0.00058014+2.8096e-05i,0.0010914+0.00093173i,0.0069813+0.0075583i,-8.73e-05-0.00069801i,1.899e-05-0.00068552i,0.0017493+0.00013843i,-0.00058915-0.0002369i,-0.001572+0.0001183i,-0.0008346+0.0015323i,0.002121+0.0019307i,0.0016281+0.00075107i,0.028294-0.013638i,0.0027736+0.017888i,0.010149+0.023686i,-0.0076839+0.010045i,0.023355-0.0084038i,0.0025379+0.0053355i,-0.016933+0.014607i,-0.032173+0.010566i,-0.015712+0.022404i,-0.0079508-0.0049542i,0.010696-0.0071116i,0.00031413+0.0043771i,0.0057359+0.0037675i,-0.005306+0.013252i,-0.0044546-0.0014721i,0.0048324-0.013101i,0.012143-0.0027796i,-0.011253+0.0098448i,0.0001358+0.00023577i,-0.00053573+0.0018306i,-0.0015317+0.00078645i,-0.0021813-0.005069i,0.0070875-0.0019932i,-0.0015882-0.0065883i,-0.00021328+0.0037406i,0.0013929-0.0035188i,-0.001473-0.0048701i,-0.0029537+0.003416i,0.001823-0.0019738i,0.00082266-0.0028354i,0.021306-0.014512i,-0.0011386+0.0075669i,-1.8969e-05-0.0023751i,-0.0035951-0.0010674i,-0.0029632-0.0062145i,0.00072541+0.010283i,-0.00072461-0.00031955i,0.0012646-0.00045677i,-0.00019118-0.0037168i,-0.0010405+0.0019649i,0.0023758+0.0017984i,0.00026287+0.00027626i,0.004923-0.00031952i,-0.0021888+0.0020678i,-0.002818+0.0084652i,0.0042818+0.016755i,0.011017-0.013738i,-0.020482+0.0033085i,-0.020468-0.0033907i,0.013403-0.0039065i,0.017833+0.0072975i,-0.0071696-0.0024993i
0.039157-0.0068939i,0.015939-0.0047493i,0.025695-0.0084362i,0.017196-0.0058075i,0.013465-0.0097859i,-0.0012799-0.0071062i,0.013569-0.0011079i,0.0047812-0.015362i,-0.0023622-0.011697i,0.0022107+0.0018211i,-0.0015876-0.0018678i,1.4819e-05-0.001699i,0.0012162+0.0023673i,0.0011261-0.0013538i,0.00028316-0.0012869i,0.0022264-0.0019484i,-0.0036964-0.0043974i,0.00057762-0.0010416i,0.00035043+0.0013112i,-0.001672+0.00040084i,-0.0019664+0.00078249i,-0.00037177+0.00097083i,0.00023397+0.0013836i,-0.0016771-0.0080535i,0.0039344-0.00064032i,-7.2774e-06-0.00084331i,-0.00056263+0.00025432i,0.0015347+0.00056963i,0.0010946+0.0013954i,0.0012736+0.0001784i,0.0011044+0.0012198i,0.0011504+0.0032284i,-0.00032497+0.00079277i,0.00064393-7.083e-05i,0.0011346+0.00026759i,0.0080523+0.0056713i,-0.00033709-0.00048478i,-0.00031879-0.00052708i,0.0018037-0.00013887i,-0.00025337-0.00015433i,-0.0016124+0.00079874i,-0.00048579+0.0019106i,0.0028244+0.0013615i,0.0014219+0.00058381i,0.024235-0.019815i,0.0067403+0.014281i,0.01469+0.019783i,-0.0050892+0.01098i,0.017469-0.016362i,0.0012648+0.003692i,-0.011201+0.019566i,-0.025135+0.017675i,-0.0066814+0.025588i,-0.01095-0.0011618i,0.0071204-0.0071192i,0.0015452+0.0040286i,0.0057717+0.00079063i,-0.0006558+0.01393i,-0.0051653+0.00090684i,-0.0040112-0.012666i,0.0096383-0.0068301i,-0.0083636+0.012553i,0.0015287-0.00083297i,0.00033025+0.0014537i,-0.0010559+0.0002391i,-0.0023094-0.0035557i,0.0055669-0.0027814i,-0.0026405-0.0059262i,0.001569+0.0032577i,-5.4386e-05-0.0054946i,-0.0030331-0.0037807i,-0.00098985+0.003946i,0.00048959-0.0030025i,0.0002286-0.0034715i,0.01224-0.019685i,0.0018747+0.0063182i,-0.00046802-0.0022682i,-0.0030506-0.00079776i,-0.0048056-0.0047485i,0.0032562+0.0086455i,0.00010413-0.0011121i,0.0018911-0.0012235i,-0.001379-0.0035658i,-2.8311e-05+0.0010524i,0.0034039+0.001605i,0.00028999+0.0011982i,0.0043282-0.0014264i,-0.002975+0.0022773i,-0.00055849+0.008394i,0.0072823+0.015858i,0.0026542-0.019446i,-0.023643+0.0017046i,-0.021719+0.0031918i,0.0073322-0.0058077i,0.017737+0.0026239i,-0.0068748-0.0022022i
0.036851-0.012827i,0.01509-0.0068331i,0.021527-0.012991i,0.012595-0.0099653i,0.011344-0.013224i,-0.0027333-0.0066419i,0.014513-0.0033318i,0.0015759-0.015988i,-0.0041361-0.011739i,0.0030334+0.002154i,-0.0019244-0.00091713i,-0.0010069-0.0018384i,0.001989+0.0020653i,0.00075642-0.0013721i,0.00012901-0.0012279i,0.002434-0.0021762i,-0.0049664-0.0030323i,0.00013637-0.00099539i,0.0005162+0.0007868i,-0.0015163+0.0011815i,-0.0016906+0.0014458i,-0.00052442+0.00038472i,0.00054162+0.0012593i,-0.0047329-0.0052478i,0.0029162-0.0020514i,-0.00030178-0.00060374i,-0.0004913+0.00065298i,0.001479+0.00031442i,0.0012849+0.00067544i,0.0010675-0.00023227i,0.0015869+0.00060964i,0.0022836+0.002576i,9.235e-05+0.0012221i,0.00061498-0.00014404i,0.00075367+0.00036776i,0.0086446+0.0035014i,-0.00042697-0.00029292i,-0.00051966-0.00014736i,0.0018511-0.00060215i,0.00010023-0.0001153i,-0.0012898+0.0015178i,0.00023835+0.002125i,0.0031256+0.00036521i,0.0012106+0.00065833i,0.018675-0.024626i,0.009064+0.010041i,0.017542+0.01546i,-0.0017728+0.010552i,0.01045-0.020573i,7.9422e-05+0.0037308i,-0.0044907+0.021765i,-0.017447+0.020196i,0.0029102+0.024844i,-0.010904+0.0038017i,0.0053911-0.0067002i,0.0027489+0.0032945i,0.0045603-0.0010706i,0.0043442+0.012669i,-0.0043635+0.0040239i,-0.010454-0.0070871i,0.0060997-0.0089172i,-0.0047654+0.014168i,0.0009326-0.0025615i,0.0008182+0.0009754i,-0.0011824+0.00024429i,-0.0019999-0.0025455i,0.0045346-0.0035923i,-0.0040947-0.004894i,0.0027264+0.0020241i,-0.0035993-0.0060308i,-0.0037443-0.0020796i,0.001254+0.0028978i,-0.00022826-0.0032215i,-0.00091793-0.0039271i,0.0032959-0.020283i,0.0037319+0.0042307i,-0.0010243-0.0023624i,-0.0037901-0.00054576i,-0.0061035-0.0026235i,0.0045722+0.0069449i,-0.00035556-0.0023657i,0.0022075-0.0022342i,-0.0020771-0.002648i,0.0003569+0.00015586i,0.0039118+0.00061722i,0.0010575+0.0015853i,0.0029242-0.0023011i,-0.0035728+0.0032383i,0.0012713+0.0074972i,0.011546+0.014409i,-0.0080118-0.021209i,-0.027479+0.003739i,-0.019221+0.0093297i,0.0030058-0.0033342i,0.015511-0.0022488i,-0.007025-0.0033068i
0.034011-0.018509i,0.014418-0.0096675i,0.017765-0.015669i,0.0081797-0.011111i,0.0083949-0.015981i,-0.0037471-0.005942i,0.015469-0.0066604i,-0.0016273-0.015912i,-0.006108-0.01161i,0.0041732+0.0016294i,-0.0014491-0.00010409i,-0.0017218-0.00098271i,0.0026022+0.0013076i,0.00045145-0.0013723i,4.2341e-05-0.0011691i,0.0026736-0.0024664i,-0.0055561-0.0013278i,-1.1118e-05-0.0011468i,0.00043627+0.00030536i,-0.00099053+0.0016267i,-0.0012576+0.0016816i,-0.00074989+0.0003333i,0.00086197+0.0010507i,-0.0059672-0.0014617i,0.0017905-0.0025896i,-0.00042222-0.00035055i,-9.6988e-05+0.00071255i,0.001563-5.0665e-05i,0.0010378+0.00048756i,0.00080458-0.00051413i,0.0018389-7.5236e-05i,0.0028311+0.0017229i,0.00076667+0.0011832i,0.00072846-0.00022473i,0.0010487+0.0008487i,0.008433+0.0013712i,-0.00064526+4.6905e-06i,-0.00041857+0.00015591i,0.0015816-0.0013447i,0.00052498-0.00025207i,-0.00053512+0.0019079i,0.00091143+0.0018281i,0.0029892-0.00061553i,0.0010984+0.00088675i,0.01248-0.027618i,0.009423+0.005606i,0.019172+0.01134i,0.0006556+0.008726i,0.0041135-0.022187i,0.00019585+0.005661i,0.0022275+0.021834i,-0.010754+0.021122i,0.01087+0.020661i,-0.0073811+0.0076828i,0.0040494-0.0071365i,0.0037688+0.0016915i,0.0037684-0.0022745i,0.0084249+0.0090146i,-0.0017033+0.0052552i,-0.012279-0.00039491i,0.0022408-0.0096088i,-0.00085762+0.014175i,-0.00076888-0.0032038i,0.00048067+0.00053539i,-0.0011265+0.00072552i,-0.0018679-0.0021561i,0.0032481-0.0033475i,-0.0049109-0.0031162i,0.0031101+0.00081497i,-0.0064764-0.0035024i,-0.0032994-0.00053637i,0.0019202+0.00083543i,-0.00089793-0.0035125i,-0.0021565-0.0034391i,-0.0038423-0.017907i,0.0047727+0.0018393i,-0.0018767-0.0022115i,-0.0039695+0.00094668i,-0.0059532-6.4009e-05i,0.0057691+0.0056364i,-0.0022358-0.0030394i,0.0018404-0.0036568i,-0.0024652-0.0022496i,0.00025624-0.0011143i,0.0044294-6.6351e-05i,0.0018724+0.0014797i,0.0015113-0.0016659i,-0.0038588+0.0045113i,0.0024928+0.006268i,0.016141+0.010795i,-0.018261-0.017487i,-0.030127+0.0075475i,-0.014397+0.012157i,0.0022781-0.0012034i,0.01142-0.0048314i,-0.0094425-0.00364i
0.02994-0.023782i,0.012924-0.01298i,0.014403-0.017845i,0.0050076-0.011075i,0.004782-0.01793i,-0.0046129-0.0052779i,0.015285-0.011677i,-0.0046101-0.01524i,-0.0083422-0.010941i,0.0049626+0.00048671i,-0.00076993+2.9552e-05i,-0.001864+0.00017458i,0.0027138+0.00039454i,0.00020025-0.0010689i,-0.0001037-0.0012484i,0.0026478-0.0031488i,-0.0056706+0.00051439i,-0.00038517-0.0013708i,0.00031628+0.00012146i,-0.00039705+0.0018057i,-0.00086399+0.0020054i,-0.00092905+0.00050138i,0.0010481+0.00071592i,-0.0048958+0.001934i,0.00090757-0.0026814i,-0.00047911-5.6278e-05i,9.5112e-05+0.00065967i,0.0012774-0.00053879i,0.0011503+0.00037982i,0.00043913-0.00077589i,0.0018351-0.00082043i,0.0033304+0.00084475i,0.0012839+0.0009108i,0.00070787-0.0006693i,0.0019451+0.00073656i,0.0079933-0.00026761i,-0.00049236+0.00043493i,-0.00022761+0.00041977i,0.00078182-0.0017001i,0.00087368-0.00067147i,0.00015107+0.0020827i,0.0013779+0.0014377i,0.002401-0.0012294i,0.0012135+0.0013883i,0.0064421-0.028746i,0.0080756+0.0028107i,0.020002+0.0076426i,0.002172+0.0077495i,-0.0019369-0.023316i,0.0031287+0.0078438i,0.0082311+0.01948i,-0.0037379+0.020064i,0.016824+0.014021i,-0.0020313+0.0090462i,0.0025979-0.007495i,0.0036956-0.00098713i,0.0028363-0.0037916i,0.0094254+0.0040611i,-0.00016318+0.0046607i,-0.011286+0.006287i,-0.0016967-0.0086488i,0.0026426+0.012083i,-0.0025413-0.0024989i,-3.4386e-05+0.00091553i,-0.00078075+0.0012038i,-0.0014745-0.0021744i,0.0033589-0.0021692i,-0.004489-0.0016347i,0.0033254+0.00042214i,-0.0069398-0.00022603i,-0.0023518+0.00017208i,0.001446-0.0003762i,-0.0026966-0.0038799i,-0.0031707-0.0023501i,-0.0093857-0.014387i,0.0046242-0.00065087i,-0.0025894-0.0014537i,-0.002819+0.0020732i,-0.0047879+0.0017852i,0.0074701+0.0042072i,-0.0039033-0.0018487i,0.00045097-0.0049595i,-0.0033375-0.0014489i,-0.00109-0.0016925i,0.0048856-0.0018849i,0.0026288+0.001136i,0.0015389-0.0010379i,-0.0025404+0.0062194i,0.0030817+0.004698i,0.019524+0.0049871i,-0.023533-0.0091015i,-0.031998+0.013294i,-0.010025+0.013001i,0.0014787+0.00044838i,0.0080393-0.0047684i,-0.011181-0.0024697i
