-0.026646-0.043027i,-0.021194-0.021492i,-0.012105-0.037769i,-0.030072-0.021535i,-0.024244-0.001797i,-0.013263-0.0039724i,-0.05263-0.053879i,-0.047138-0.016857i,-0.038115-0.015919i,0.010121+0.01415i,-0.008778+0.0058638i,-0.020038+0.019246i,0.0021814+0.012208i,-0.0040298-0.0025578i,0.00094187+0.00092872i,-0.00015152+0.028593i,0.025838+0.026582i,0.002851-0.0019247i,-0.0020212-0.0067205i,0.0079049+0.0027539i,0.0028104+0.00088051i,0.00010518+0.0036201i,-0.00038697-1.3834e-05i,-0.035174-0.010237i,0.00039084-0.007739i,0.0016192+0.0024431i,0.0057448+0.0011873i,0.0021755+0.00032534i,0.001284-0.00055946i,-0.00011083-0.0026873i,0.0017861-0.0022151i,-0.0024916-0.0055128i,-0.00041369-0.0046537i,0.0032681-0.0007018i,0.0050418-0.0027897i,0.0029423+0.029515i,0.0041213-0.0033801i,0.0030612-0.0015961i,0.0085169-0.00061378i,-0.0050453-0.0022513i,-0.00027226+0.00097815i,0.01015+0.00079551i,0.0047235-0.0017451i,-0.0029189+0.0089929i,-0.016703-0.0077594i,-0.017936+0.016663i,6.6567e-05-0.062326i,-0.0042908-0.027329i,-0.025609-0.034385i,-0.010246-0.026811i,0.052439-0.023539i,0.016818-0.043639i,0.02509-0.048121i,0.0092119-0.054272i,0.027878-0.019643i,0.0088715+0.0064865i,0.026865-0.033246i,-0.0083264-0.0061194i,0.0028999-0.0040228i,-0.0049989-0.006802i,-0.0014857-0.033524i,-0.020909+0.029408i,0.0094153-0.011837i,-0.0093602-0.0038092i,-0.0041037-0.0017578i,0.00062828-0.013095i,-0.011017+0.0042384i,0.0025941+0.010584i,-0.0059271+0.027121i,0.0047306+0.0027315i,-0.0054965-0.0017277i,-0.0019036-0.0021524i,-0.013057-0.0076292i,-0.00011401-0.0046267i,-0.036295-0.0011295i,0.0014051-0.010792i,-0.0087585-2.2706e-05i,-0.0072106-0.0023585i,0.0055244+0.0012102i,-0.0080521-0.00098105i,0.0019055+0.00019523i,0.0040329+0.0073482i,0.0046655+0.00065675i,-0.0074865-0.013876i,0.0027667+0.0096008i,-0.015265+0.0046198i,0.0073445+0.0002688i,-0.022913-0.0010394i,-0.01836+0.0051088i,-0.0036721-0.066283i,0.0075973-0.012359i,-0.047342-0.025325i,-0.02012-0.0012396i,0.016347+0.013136i,-0.024068+0.014241i,-0.01942-0.0061742i
0.024874+0.038016i,0.014254+0.01852i,0.016786+0.026471i,0.0073945+0.020295i,0.010143+0.0070374i,0.0054081-0.0015199i,0.02049+0.011304i,0.017177-0.0032415i,0.0082119-0.0070553i,0.0018876+0.0040385i,0.002191-0.0027077i,0.0009262-0.0052551i,-0.0023842+0.00060504i,0.00058213-0.00096384i,0.0021854-0.00041492i,0.004343-0.0021963i,0.0054332-0.0060251i,-0.00030513+0.00042443i,-0.0040047+0.0010205i,8.1617e-05+0.00067i,-0.00053361-0.00096782i,-0.0023548-0.00067251i,-0.0017089+0.0008792i,0.0050478+0.0090876i,-0.0014402+0.0017709i,0.00070006+0.0018751i,0.0011527+0.00073153i,-0.0016819+0.0026872i,-0.00094869+0.00018135i,-0.0013992+0.00048224i,-0.0013393-0.0015727i,-0.0017527-0.0013498i,-0.00024326+0.00027035i,0.00070577+0.00054927i,-0.00017975-0.0010034i,-0.0083394+0.0093416i,0.001745+8.3057e-05i,0.00070727+0.0011001i,0.00055169+0.0027231i,0.00090764-0.0011584i,-0.00019551-0.00077403i,-0.00083006-0.00095687i,0.00031395+0.0014194i,0.00053933+0.0016553i,0.016003+0.018931i,-0.027438+0.014979i,-0.015149+0.016223i,-0.024333+0.01079i,-0.0046148+0.039628i,-0.02149+0.018414i,0.00022698-0.0010272i,-0.012363-0.01596i,-0.021317-0.0017941i,-0.0083857+0.013864i,0.017733+0.022886i,-0.00042286+0.0025083i,-0.003873+0.0010035i,-0.012226-0.00461i,0.011193+0.0010761i,0.010966+0.0099238i,-0.0015349+0.0058738i,-0.0053538-0.0084841i,0.006225-0.002766i,-0.0033075-0.0040132i,0.003918-0.0086147i,0.008914-0.002895i,-0.0017651+0.010655i,0.013047-0.005661i,0.0035166-0.0085818i,0.0034322-0.0088905i,0.0022616+0.00056602i,-0.0024142-0.0060027i,-0.0039473-0.0013389i,0.0025578+6.3713e-05i,-0.01101+0.037294i,-0.0071276-0.0056651i,0.00023603+0.0011189i,-0.0008729-0.0074769i,0.0034547-0.00039767i,-0.019162-0.0085418i,-0.0019848-0.0039488i,0.002957-0.0024276i,0.0034791-0.0018711i,-0.0028438-0.0088985i,-0.00042+0.0072927i,0.00034664+0.0035173i,-0.0033732+0.0049214i,-0.0079986+0.0010147i,-0.0070707-0.0012515i,-0.0091932+0.023088i,-0.0027807+0.014454i,-0.026574-0.010906i,-0.0024795-0.0026809i,0.01406+0.019422i,-0.00083152+0.0192i,-0.00047637-0.0047106i
0.030487+0.031753i,0.017507+0.014557i,0.021327+0.023574i,0.01072+0.019682i,0.011983+0.0055985i,0.0054909-0.0028778i,0.020616+0.0069784i,0.016245-0.0061207i,0.0064107-0.0088204i,0.0029208+0.0030514i,0.0020282-0.0028111i,-0.001105-0.0036926i,-0.0019039+0.0014504i,0.00043536-9.7571e-06i,0.0020695-0.00084157i,0.0033921-0.002333i,0.0033697-0.0064747i,0.00019078+0.00052361i,-0.0034898+0.0015607i,0.00041443+0.0001167i,-0.00066384-0.0011285i,-0.002332-0.00029869i,-0.0013704+0.0010543i,0.0094544+0.0060152i,-0.0011956+0.0029949i,0.001616+0.0013648i,0.0010019-0.00010036i,-0.00051623+0.0029338i,-0.0013589+0.00065807i,-0.0012093+0.0011933i,-0.00199-0.00081045i,-0.0023495-0.0011268i,-0.00035076+0.00017299i,0.00076524+0.00028541i,-0.00099579-0.00017412i,-0.0047921+0.011009i,0.0013887-0.00060782i,0.0010678+0.00096101i,0.0013023+0.0021192i,0.00041898-0.0010905i,-0.00031767-0.0010596i,-0.0013877-0.00057349i,0.00027278+0.0015396i,0.00035522+0.0019848i,0.020279+0.016364i,-0.022118+0.019012i,-0.01427+0.019565i,-0.01951+0.012887i,0.0074899+0.035667i,-0.013876+0.018803i,-0.0058308-0.0035879i,-0.019976-0.016391i,-0.024691-0.00080342i,-0.0013326+0.0089i,0.021909+0.015787i,-0.00089476+0.0023277i,-0.0026694+0.0048607i,-0.012335-0.00019376i,0.0097431-0.003062i,0.013059+0.0071326i,0.0020583+0.0088045i,-0.0097727-0.0069378i,0.0021124-0.004306i,-0.003438-0.002027i,-0.0013683-0.008014i,0.0069914-0.005789i,0.0031003+0.0087561i,0.0082172-0.0088871i,-0.0017266-0.0080064i,-0.00074055-0.0060264i,0.0036495-0.00029629i,-0.0038215-0.0050926i,-0.00223+0.0013233i,0.0032603-0.00028777i,0.0087122+0.036294i,-0.0088587-0.0035543i,0.0010216+0.0003583i,-0.004148-0.0059796i,0.0039341-0.0016224i,-0.020326+0.00067132i,-0.0025768-0.0027107i,0.0015889-0.0025325i,0.0033046-0.0034862i,-0.005306-0.0071341i,0.0018073+0.0039386i,0.0016846+0.002655i,-0.00017805+0.0063769i,-0.0063302+0.0039523i,-0.0078211+4.9123e-05i,-0.0039514+0.020014i,-0.00025618+0.016042i,-0.02865-0.0045886i,-0.0038336-0.006059i,0.01679+0.016723i,0.0028912+0.02048i,-0.0030436-0.0051876i
0.034329+0.024778i,0.01883+0.0094284i,0.026301+0.018199i,0.015428+0.016997i,0.014065+0.0035839i,0.0051658-0.0045046i,0.020019+0.0026525i,0.014855-0.0092495i,0.0044585-0.0094833i,0.0031081+0.0020315i,0.0014361-0.0036821i,-0.0013603-0.0018478i,-0.0012676+0.001693i,0.0012212+0.00011431i,0.0018224-0.0012676i,0.0026046-0.0024224i,0.001611-0.0068234i,0.00031279+6.9981e-05i,-0.0028727+0.0023953i,0.00021206-0.00062289i,-0.0014168-0.0014846i,-0.0021793+9.4e-05i,-0.0010967+0.0011715i,0.010619+0.00068178i,0.00012739+0.00357i,0.0018428+0.00036259i,0.00046897-0.00049677i,0.00061473+0.0025972i,-0.0011337+0.0014447i,-0.00077138+0.0017116i,-0.0022337+0.00032912i,-0.0033454+0.00024004i,-0.00033595+0.00026713i,0.00070342-1.3783e-05i,-0.00094322+0.00095235i,-0.0012534+0.011346i,0.00089703-0.00074005i,0.0014032+0.00041693i,0.001463+0.001599i,-8.8926e-05-0.00098565i,-0.00080576-0.0012571i,-0.0017035-0.00021347i,0.00042155+0.0019719i,0.00081717+0.0023596i,0.024921+0.012226i,-0.016675+0.021747i,-0.011002+0.023394i,-0.013621+0.012652i,0.018365+0.027789i,-0.0071583+0.019219i,-0.012093-0.0021537i,-0.026369-0.013295i,-0.026699+0.0036166i,0.0016688+0.0013471i,0.02298+0.0077299i,-0.0014009+0.002366i,-0.00082882+0.0051638i,-0.012384+0.0027588i,0.0058644-0.0073827i,0.014176+0.0031095i,0.0062875+0.0086311i,-0.012953-0.0034779i,0.00016738-0.0029163i,-0.0033652-0.00028544i,-0.0039436-0.0053241i,0.0045481-0.0070665i,0.0060226+0.0076432i,0.0049702-0.0091572i,-0.005361-0.0045933i,-0.0010101-0.0031029i,0.0039243-0.0026044i,-0.0061293-0.0033878i,-1.123e-05+0.0011894i,0.0026807-0.001683i,0.023433+0.026013i,-0.010055+1.2042e-05i,0.0014916-0.00032404i,-0.0039089-0.0038709i,0.0042212-0.0038262i,-0.015874+0.0090008i,-0.0026402-0.0015996i,0.00048247-0.0026472i,0.0015008-0.0040332i,-0.0074199-0.0041023i,0.0014641+0.0029095i,0.0023283+0.0014723i,0.0029005+0.0058481i,-0.0041542+0.0049056i,-0.0082752+0.0021787i,-0.0017966+0.01624i,0.0069313+0.015942i,-0.028319+0.00024839i,-0.0062347-0.0083107i,0.020159+0.011533i,0.0081954+0.020807i,-0.0052683-0.0043412i
0.036227+0.018038i,0.018163+0.0055115i,0.028422+0.011159i,0.018562+0.011899i,0.015452+0.00043458i,0.0040274-0.0059591i,0.018526-0.00069811i,0.012515-0.011925i,0.0029754-0.010088i,0.0029106+0.0016232i,8.7725e-05-0.0035814i,-0.0007444-0.00099056i,-0.0010379+0.0018509i,0.001384-2.0504e-05i,0.0013439-0.0016021i,0.0017819-0.0021648i,-0.00020161-0.0061656i,0.0003225-1.4799e-05i,-0.0013922+0.0029522i,-0.00043358-0.00089266i,-0.0020822-0.00067419i,-0.0021774+0.00054519i,-0.00084516+0.0013086i,0.0087171-0.0035295i,0.0013606+0.0034455i,0.0014923-0.00024683i,4.5936e-06-0.00035853i,0.0011113+0.0018358i,-0.00049687+0.001558i,-4.515e-05+0.0019664i,-0.0018893+0.001478i,-0.0028044+0.0019404i,-0.00023329+0.00029494i,0.00041646-0.00025927i,-0.00028005+0.0014681i,0.0020756+0.010667i,0.00067858-0.00078704i,0.0012457-0.0002163i,0.0014704+0.0014465i,-0.00059618-0.00073738i,-0.0015206-0.00102i,-0.0020091+0.00013329i,0.00097133+0.0023707i,0.0014605+0.0023134i,0.02832+0.0056371i,-0.01054+0.023475i,-0.0060133+0.026396i,-0.011097+0.009863i,0.026021+0.015695i,-0.00037504+0.015559i,-0.017205+0.0026731i,-0.032555-0.0070206i,-0.026757+0.0096036i,-5.1715e-05-0.005686i,0.021699-0.00019565i,-0.0015707+0.0033237i,0.00020619+0.006668i,-0.011708+0.0068052i,-0.00023781-0.0073488i,0.014322-0.0017297i,0.010129+0.0063911i,-0.01435+0.0014991i,-0.00074531-0.0022698i,-0.0024276+0.0010517i,-0.0050488-0.0017451i,0.0023572-0.0077891i,0.0086549+0.0040107i,0.0022623-0.009454i,-0.0058685+0.00039199i,-6.5453e-05-0.001906i,0.0024097-0.0046349i,-0.0067461-0.00011931i,0.0010103+0.00079137i,0.0019915-0.0025378i,0.030492+0.01107i,-0.0088943+0.0046387i,0.0016597-0.0013583i,-0.0040753-0.0025129i,0.002454-0.0062342i,-0.0091324+0.01197i,-0.0022771-0.00096649i,-0.00028322-0.001834i,0.00034981-0.0036529i,-0.0070956-0.00044901i,0.0015864+0.0023267i,0.0019913+0.00028758i,0.005472+0.0043295i,-0.0020429+0.0043372i,-0.0082096+0.0043267i,-0.00098959+0.014918i,0.015634+0.0092505i,-0.025998+0.0052338i,-0.011018-0.009396i,0.01963+0.0055892i,0.013704+0.018648i,-0.0055908-0.0033281i
0.037626+0.01193i,0.018074+0.0030263i,0.028572+0.0051652i,0.019896+0.006468i,0.015743-0.0029514i,0.0027343-0.006929i,0.01697-0.0029609i,0.0098816-0.013717i,0.0016065-0.010638i,0.0030435+0.0012262i,-0.00094029-0.0028618i,-0.00022047-0.00091977i,-0.00078738+0.0023169i,0.001488-0.00039976i,0.00084589-0.0016464i,0.0015914-0.0015295i,-0.0011998-0.0054667i,0.00019176+5.673e-05i,-0.00025465+0.0025517i,-0.0010281-0.00071237i,-0.0022723-3.6229e-07i,-0.0017904+0.0011898i,-0.00054039+0.001447i,0.0057631-0.0059404i,0.002427+0.0030172i,0.0012415-0.00059573i,-0.00029989-0.00014835i,0.0013624+0.0012913i,-8.3827e-05+0.001609i,0.00086219+0.0018811i,-0.00096942+0.0022143i,-0.0017888+0.0029831i,-0.00026858+0.00031162i,0.00019376-5.5138e-06i,0.00051266+0.0016861i,0.0046889+0.0091774i,0.00029554-0.00078652i,0.000847-0.00058576i,0.0017691+0.001151i,-0.00068623-0.0002418i,-0.001837-0.00058772i,-0.0022756+0.00070246i,0.0017698+0.002309i,0.0015744+0.0016895i,0.028854-0.0016671i,-0.0037505+0.023175i,0.00086+0.027424i,-0.010439+0.0092296i,0.026989+0.0023379i,0.0022749+0.010294i,-0.018467+0.010394i,-0.034819+0.0028755i,-0.024938+0.016718i,-0.0051977-0.0098324i,0.016372-0.0056383i,-0.00077234+0.0044264i,0.0039595+0.0066204i,-0.0093056+0.010305i,-0.0034551-0.0040479i,0.011913-0.0079132i,0.012807+0.0024276i,-0.013803+0.006328i,-0.00097203-0.00038302i,-0.0013249+0.0016604i,-0.003122+0.00058581i,-0.00082622-0.0074159i,0.0088893+0.000481i,-0.00069494-0.0087289i,-0.0035013+0.003557i,0.00080608-0.0022327i,0.00024009-0.0053904i,-0.0051501+0.0025204i,0.0023576-0.00022297i,0.0013483-0.0026514i,0.029638-0.0032241i,-0.0050761+0.0073456i,0.0008894-0.0023891i,-0.0034651-0.0019791i,-0.0002854-0.0071735i,-0.0042077+0.011689i,-0.002207-0.00029185i,-0.00015713-0.00050851i,0.00025315-0.0030234i,-0.0048217+0.0018942i,0.0019523+0.0020711i,0.0010097-0.00025475i,0.0065582+0.0013585i,-0.0014848+0.0026713i,-0.0071155+0.0068708i,0.00048106+0.014758i,0.018274-0.0034357i,-0.021449+0.0062027i,-0.015972-0.0076609i,0.01838+0.00098675i,0.017638+0.013101i,-0.0063869-0.0033723i
0.038413+0.0054997i,0.018354+5.0374e-05i,0.028583-0.00063861i,0.020264+0.00096718i,0.015599-0.0061836i,0.0012476-0.0076785i,0.01614-0.0046173i,0.0071865-0.015052i,0.00010627-0.011404i,0.0028735+0.00066957i,-0.0010909-0.0020602i,4.6675e-05-0.00095754i,-3.494e-05+0.0028771i,0.0014062-0.00065398i,0.00052-0.0016389i,0.0020837-0.0010999i,-0.0019598-0.0052843i,0.00043706+1.4492e-05i,0.00038079+0.001949i,-0.0013511-0.00028593i,-0.0018524+0.00064527i,-0.0010943+0.0014173i,-0.00017476+0.0015121i,0.002218-0.0070216i,0.0036007+0.0021747i,0.00092384-0.0009498i,-0.00033789+6.2771e-05i,0.0014985+0.00081337i,0.00039651+0.0016079i,0.0014983+0.0012538i,0.0001592+0.0024411i,-0.00037488+0.0035677i,-0.0002572+0.00054909i,0.00033941+7.2418e-05i,0.0011433+0.0012925i,0.0062775+0.0072433i,2.6689e-05-0.000647i,0.00050322-0.00063552i,0.0017743+0.00059899i,-0.00035104+4.9289e-05i,-0.0022081+1.0875e-06i,-0.0022321+0.0012904i,0.0025227+0.0019928i,0.0016588+0.0015189i,0.027516-0.0087149i,0.0021333+0.020772i,0.0074409+0.025371i,-0.009359+0.01007i,0.023706-0.0085416i,0.0021328+0.0067016i,-0.015062+0.018024i,-0.031382+0.013396i,-0.01847+0.024436i,-0.011286-0.0088018i,0.011514-0.0071345i,0.00062551+0.0047623i,0.0063746+0.003964i,-0.0057007+0.013242i,-0.0044026-0.0013665i,0.0057973-0.013018i,0.012773-0.0032323i,-0.011807+0.009858i,0.00024008+0.00062031i,-0.00023167+0.0016197i,-0.001517+0.00079736i,-0.0026728-0.0054515i,0.0073829-0.0020038i,-0.0025455-0.0067939i,-0.00035558+0.0045196i,0.00092729-0.0036118i,-0.0017765-0.0047944i,-0.0033271+0.0034553i,0.0021828-0.0020861i,0.0011149-0.0029084i,0.02329-0.014505i,-0.0011606+0.0076813i,-0.00017956-0.0022575i,-0.0038018-0.0011378i,-0.0032472-0.0065435i,-0.00064128+0.010924i,-0.0014043+0.00027879i,0.0010881-0.00039763i,-0.00013786-0.0037875i,-0.0022333+0.0025904i,0.0020237+0.0017157i,0.00018456+0.00028545i,0.0055342-0.00077032i,-0.0024122+0.0015778i,-0.0046119+0.0085458i,0.0029497+0.014072i,0.012537-0.013884i,-0.019694+0.0029613i,-0.0206-0.003369i,0.015196-0.0041335i,0.018288+0.0075858i,-0.0074804-0.0025095i
0.038021-0.00095794i,0.017668-0.0033734i,0.026399-0.0075674i,0.018474-0.0053703i,0.014855-0.0098326i,-0.0005268-0.007925i,0.015747-0.0065376i,0.0043054-0.016226i,-0.0017881-0.011724i,0.0025764+0.00087381i,-0.0014555-0.0017145i,-4.4715e-05-0.0017321i,0.000874+0.0029027i,0.0011903-0.0010055i,0.00017133-0.0015588i,0.0026365-0.0013923i,-0.0033531-0.0050575i,0.00016671-0.00029999i,0.00083011+0.0012675i,-0.0016327+0.00022135i,-0.0016809+0.00085346i,-0.00043393+0.0012101i,0.00016186+0.0014676i,-0.0012311-0.0063133i,0.0042111+0.00026014i,0.00038459-0.0010789i,-0.00061845+0.00028918i,0.001471+0.0004335i,0.0010465+0.0013319i,0.001725+0.00047728i,0.0012606+0.0021467i,0.00085496+0.003637i,-0.00025326+0.00084175i,0.00043972+6.1586e-05i,0.0013446+0.00061511i,0.0072477+0.005334i,-0.00024984-0.00053298i,9.0432e-05-0.00069188i,0.001967+0.00026132i,7.5098e-05+4.4826e-05i,-0.0022777+0.00088472i,-0.0018374+0.0019626i,0.0032855+0.0011455i,0.0016247+0.00144i,0.024545-0.014995i,0.0067108+0.016905i,0.012372+0.021665i,-0.0065488+0.011424i,0.017509-0.016566i,0.0011257+0.0050202i,-0.0087798+0.022239i,-0.023392+0.020068i,-0.0083814+0.027906i,-0.0153-0.0042931i,0.0080041-0.0070734i,0.0018998+0.0043391i,0.0061537+0.00061225i,-0.00099043+0.014029i,-0.0048813+0.00087615i,-0.0031377-0.012989i,0.0097017-0.0074437i,-0.0090834+0.012729i,0.0016824-0.00050697i,0.00051306+0.0012146i,-0.0010615+0.00024881i,-0.0028403-0.0036019i,0.0058781-0.0029564i,-0.0032651-0.0057712i,0.0019894+0.0036385i,-0.00024102-0.0053816i,-0.003237-0.0034582i,-0.0013035+0.0041117i,0.00069571-0.0034273i,0.00051858-0.0036785i,0.013665-0.020374i,0.0019287+0.0064507i,-0.00060964-0.0020815i,-0.0032135-0.00086248i,-0.0052436-0.0049819i,0.0020134+0.0096599i,-0.0003917-0.00041696i,0.0016951-0.0011165i,-0.0016246-0.0038718i,-0.00069029+0.0016522i,0.0029123+0.0016068i,0.00028345+0.0013506i,0.0046099-0.0019082i,-0.003737+0.0017267i,-0.0022501+0.0086581i,0.0057938+0.01359i,0.0038794-0.020195i,-0.023263+0.00068276i,-0.02217+0.0030362i,0.0089668-0.0067611i,0.018179+0.0028534i,-0.0071771-0.0021904i
0.036725-0.0071106i,0.017078-0.0058389i,0.022188-0.01221i,0.013904-0.0099772i,0.012886-0.013387i,-0.0020931-0.0076546i,0.01545-0.0087634i,0.0011751-0.016668i,-0.0035094-0.011916i,0.0031538+0.001266i,-0.0016912-0.00078231i,-0.0010471-0.001913i,0.0017502+0.0026307i,0.00079444-0.0011333i,-0.00010573-0.0014079i,0.0028241-0.001952i,-0.005132-0.0038207i,-5.1262e-05-0.00023706i,0.00092904+0.00064341i,-0.0015818+0.00096675i,-0.0014067+0.0013757i,-0.00038299+0.0007119i,0.00047503+0.0014061i,-0.0037469-0.0039663i,0.0034574-0.0013972i,-6.6182e-05-0.00096072i,-0.00051795+0.00073194i,0.0013624+0.00018927i,0.0013146+0.00064148i,0.0016263-0.00013349i,0.0021016+0.0013566i,0.0021336+0.0031153i,0.0001122+0.001236i,0.00052418-3.242e-05i,0.0011082+0.00057474i,0.0076983+0.0033155i,-0.00041149-0.00034856i,-0.00023762-0.00045797i,0.0021754-0.00018682i,0.00041142-5.5289e-05i,-0.0018803+0.0017776i,-0.0010468+0.0024957i,0.0034719-5.582e-05i,0.001764+0.0015098i,0.020069-0.020103i,0.0095096+0.012086i,0.015473+0.017535i,-0.002844+0.011114i,0.010221-0.020703i,0.00019829+0.0049955i,-0.0020436+0.023592i,-0.015178+0.021911i,0.0022828+0.026799i,-0.015466+0.0015369i,0.0063324-0.0067695i,0.0031624+0.0034177i,0.0046695-0.0013971i,0.0041082+0.012752i,-0.0040974+0.0037639i,-0.0096847-0.0075579i,0.0056245-0.0092558i,-0.0053672+0.01474i,0.001225-0.0023578i,0.00087933+0.00070028i,-0.0011733+0.00026844i,-0.0023112-0.0024401i,0.004582-0.0037249i,-0.0043521-0.0046797i,0.0032362+0.0019272i,-0.003699-0.0059005i,-0.003713-0.001755i,0.0010387+0.0031468i,-0.00037155-0.0037439i,-0.00063005-0.0041105i,0.0042347-0.021242i,0.0037683+0.0045545i,-0.001113-0.0020238i,-0.0040433-0.00055195i,-0.0064737-0.0025054i,0.0036114+0.0082001i,-0.00061639-0.0016987i,0.0020309-0.002121i,-0.0024324-0.0027856i,3.8251e-05+0.00050327i,0.0034656+0.00070221i,0.0012021+0.0018063i,0.0029141-0.0026499i,-0.0045621+0.0029156i,-0.00033784+0.0079893i,0.009881+0.012611i,-0.0073417-0.022529i,-0.027442+0.0024849i,-0.019949+0.0093951i,0.0041311-0.0046989i,0.016022-0.0019645i,-0.007388-0.0034703i
0.034575-0.013185i,0.016576-0.0091779i,0.018423-0.014897i,0.0093662-0.011479i,0.010157-0.016359i,-0.0032919-0.0071308i,0.01531-0.011707i,-0.0018644-0.016508i,-0.0054487-0.011897i,0.0041528+0.00072678i,-0.0010935-0.00010397i,-0.001838-0.0010422i,0.0024829+0.0019055i,0.00046207-0.0011292i,-0.00023829-0.0012304i,0.0028995-0.0024563i,-0.00615-0.0018792i,7.7544e-05-0.00041061i,0.0007736+6.5132e-05i,-0.0011216+0.0014659i,-0.00095258+0.0015286i,-0.00047692+0.00061163i,0.00085474+0.0012482i,-0.0045895-0.00086306i,0.0024754-0.002211i,-0.00032498-0.00074276i,-0.0001352+0.00084437i,0.0013775-7.7806e-05i,0.0010771+0.00044854i,0.0014026-0.00066046i,0.0025955+0.00040572i,0.002922+0.0022254i,0.00076324+0.0012114i,0.00068022-6.4145e-05i,0.0013872+0.00089401i,0.0074612+0.0015369i,-0.00066121-4.3463e-05i,-0.00032032-0.00019891i,0.0019413-0.0010139i,0.00083537-0.00033833i,-0.0010729+0.0022861i,-0.00022546+0.0026348i,0.0029966-0.0011279i,0.0019524+0.0016978i,0.014733-0.023526i,0.0099659+0.007401i,0.017365+0.013587i,-1.573e-05+0.0092966i,0.0039591-0.022315i,0.00051961+0.0068774i,0.0043381+0.02311i,-0.0080275+0.021707i,0.010458+0.022011i,-0.012241+0.006528i,0.0048776-0.0073729i,0.004088+0.0016318i,0.0038684-0.0025409i,0.008261+0.0089629i,-0.0016717+0.0049087i,-0.011737-0.0010004i,0.0018758-0.0096051i,-0.00087111+0.014779i,-0.0005625-0.0031723i,0.00038095+0.00032315i,-0.0011892+0.0006974i,-0.0020809-0.0019524i,0.003405-0.0033484i,-0.0050544-0.0028792i,0.0031005+0.00044846i,-0.0066958-0.0033561i,-0.003143-0.00026012i,0.001798+0.0011855i,-0.0013807-0.0039001i,-0.0020509-0.0037386i,-0.0033602-0.01887i,0.0049266+0.0021906i,-0.0018427-0.001775i,-0.0041822+0.0010483i,-0.0061328+0.00030889i,0.0051868+0.0072105i,-0.0022107-0.0022647i,0.0016585-0.0035163i,-0.0027724-0.0023502i,-0.00011651-0.00088327i,0.0039745-6.3029e-06i,0.0021303+0.0016304i,0.0014612-0.0019532i,-0.0048647+0.0043693i,0.0010526+0.0070782i,0.014475+0.0095803i,-0.018216-0.018895i,-0.030614+0.0062204i,-0.015077+0.012403i,0.0025703-0.0026293i,0.011953-0.0047906i,-0.010009-0.0037415i
0.031033-0.018843i,0.014967-0.013018i,0.015248-0.017183i,0.0059552-0.011655i,0.0067292-0.018705i,-0.0044168-0.0065554i,0.014408-0.015982i,-0.0047734-0.015841i,-0.0078163-0.011383i,0.0047173-0.00036389i,-0.0003886-0.00016652i,-0.0020219+0.00015129i,0.0026883+0.0010224i,0.00024579-0.00084574i,-0.00033902-0.0011934i,0.0026566-0.0032318i,-0.0063097+0.00031913i,-9.5543e-05-0.00072454i,0.00051962-0.00017468i,-0.00055576+0.0016965i,-0.00058068+0.0017456i,-0.0005695+0.0007166i,0.0011351+0.00090604i,-0.0036699+0.0019109i,0.0016181-0.0025752i,-0.00052801-0.00046194i,0.00017597+0.00068781i,0.0011113-0.0004391i,0.0011655+0.00035009i,0.00092224-0.0011282i,0.0027506-0.00066954i,0.0035853+0.00123i,0.0012644+0.00091745i,0.0007787-0.00051907i,0.002228+0.00070792i,0.007127+0.00010672i,-0.00054893+0.00037228i,-0.00029001+7.6688e-05i,0.0012553-0.0014976i,0.0011251-0.00083613i,-0.00033461+0.0026362i,0.00068938+0.002616i,0.0022284-0.0017002i,0.0024793+0.0020737i,0.0092556-0.025486i,0.0087582+0.00445i,0.018569+0.010091i,0.0015274+0.0083007i,-0.0022719-0.023561i,0.0036023+0.0088849i,0.010174+0.020437i,-0.0011101+0.019674i,0.016444+0.014984i,-0.0069049+0.0093377i,0.0033289-0.0078511i,0.0036952-0.0010871i,0.0028511-0.003993i,0.0093435+0.0039345i,-0.0001915+0.0043999i,-0.011159+0.0054295i,-0.001805-0.0088216i,0.0024667+0.01227i,-0.0025639-0.0025547i,-4.5809e-05+0.00090696i,-0.00097095+0.0012051i,-0.0017355-0.0018667i,0.0034772-0.002077i,-0.0043856-0.0014416i,0.0029697+0.00048016i,-0.0071722+0.0001507i,-0.0021302+0.00038235i,0.0015128+1.7499e-05i,-0.0033876-0.0038583i,-0.0032238-0.0026621i,-0.0093711-0.015277i,0.0049221-0.0003647i,-0.0023704-0.0010664i,-0.0029831+0.0021381i,-0.0047688+0.0020815i,0.0071958+0.0061237i,-0.0036132-0.0010343i,0.00030579-0.0047797i,-0.0036896-0.0016457i,-0.0014799-0.0015261i,0.004498-0.001841i,0.0029697+0.0012426i,0.0013616-0.0013112i,-0.0035838+0.0062477i,0.0018414+0.0057856i,0.018184+0.0042287i,-0.024126-0.010343i,-0.032994+0.012404i,-0.010725+0.013474i,0.0015284-0.00079198i,0.0085624-0.0048686i,-0.011972-0.0024174i
