-0.023402-0.019158i,-0.031881-0.034662i,-0.02271-0.020054i,-0.032034-0.020526i,-0.024145+0.0039457i,-0.028957-0.017957i,-0.055318-0.048129i,-0.039781-0.044156i,-0.031568-0.011658i,0.0056153+0.0051524i,-0.0035914+0.0060395i,-0.010793+0.01153i,0.0039279+0.0070766i,-0.0037666-0.0025092i,0.0029361+0.001859i,0.0018588+0.028728i,0.010503-0.00079836i,-0.00018364+0.00019145i,-0.0032258-0.0028452i,0.008089+0.003763i,0.0018084+0.00052812i,-0.00046622+0.0021083i,-0.00059885+0.00029442i,-0.028172-0.0038906i,-0.0035705-0.0050124i,-0.00022647+0.0024922i,0.0042664-0.0012936i,0.00076734-0.00012645i,-0.00066859-0.00049056i,-0.00107-0.001883i,-0.0024401-0.00037025i,-0.0038798-0.0041856i,-0.0030411-0.0052649i,0.00061242-0.0011364i,0.00060874-0.0028063i,-0.0054122+0.026026i,0.0017205-0.0032779i,0.0023434-0.0038072i,0.0040374-0.0024196i,-0.0085805-0.00059508i,0.00050368+0.0013712i,0.010353+0.0118i,-0.0026938+0.00095916i,-0.0033072+0.0008793i,-0.0096186-0.0032822i,-0.018588+0.021561i,-0.0084058-0.086947i,-0.0022253-0.061519i,-0.021104-0.05383i,-0.011608-0.04574i,0.053363-0.027798i,0.023675-0.067798i,0.039316-0.052265i,0.0192-0.040914i,0.026343-0.019988i,0.01218+0.011957i,0.025261-0.029194i,-0.011414+0.00018256i,-0.0014049-0.00088071i,-0.0085083-0.0015077i,-0.0053985-0.029666i,-0.022069+0.027346i,0.007367-0.0097472i,-0.011031-0.0039368i,-0.0028454-0.0017902i,-0.00021635-0.014339i,-0.0084429+0.0055301i,0.0062136+0.010812i,-0.011409+0.030537i,0.0062761+0.0072281i,-0.0036546-0.0016623i,-0.00226-0.0014481i,-0.013162-0.0058213i,0.00058829-0.004389i,-0.03517+0.00013622i,0.0032603-0.0086569i,-0.0078954-0.0018251i,-0.0051274-0.0032109i,0.0071269+0.0015248i,-0.010099+0.00020772i,0.0021549-0.00029472i,0.0065901+0.0079162i,0.0055321+0.0014622i,-0.0075269-0.0099435i,0.0029375+0.0074616i,-0.018675+0.0090316i,0.0030204+0.0057346i,-0.021801-0.0083125i,-0.026936-0.0056875i,0.011368-0.061681i,0.018548-0.015193i,-0.050082-0.028127i,-0.021918+0.0025032i,0.019274+0.0099018i,-0.026827+0.01078i,-0.012405-0.007812i
0.0059996+0.0052039i,0.037914+0.015298i,0.020276-0.0041705i,0.013284+0.0020414i,0.0088274-0.0018294i,0.015858-0.007479i,0.011949+0.014494i,0.01688+0.020683i,0.0016317-0.0026174i,0.001307+0.00075823i,0.0024619-0.00131i,0.0012801-0.0040675i,9.4591e-05-0.0012395i,0.00221-0.0001855i,0.0052915-0.0011832i,0.0052302+0.00073693i,0.0044537-0.0046352i,5.9829e-06-0.0011703i,-0.0024421+3.164e-05i,0.00066192+0.00063682i,0.0001795-0.00012596i,-0.0021411-0.00048487i,-0.0015954-0.00013134i,0.0063444+0.0075141i,-0.00069289+0.00034219i,0.00031996+0.00085509i,0.00098028+0.00092921i,2.226e-05+0.0011724i,-0.00040991-0.00037485i,-0.0012083+4.8933e-05i,0.0010409-0.0012627i,-0.00066842+0.00050776i,0.00018878+0.0005622i,-7.9613e-05+0.00053732i,-0.00021921-0.001088i,-0.0099088+0.0053788i,0.00068605+0.0001653i,-0.00053669+1.8181e-06i,-0.00063271+0.001726i,0.00047692-0.0036656i,-0.00065083+0.00029071i,-0.00043052-0.00019371i,0.00057838+0.0013887i,0.0034-0.0026987i,0.00012608+0.0031626i,-0.050803+0.010466i,-0.0033264+0.029858i,-0.013503+0.041398i,-0.0081121+0.065005i,-0.017245+0.044638i,-0.0063811+0.019184i,-0.0088719+0.013059i,-0.047922+0.0025724i,-0.024301-0.0080271i,0.015019+0.025093i,0.00059862+0.0057371i,-0.007162+0.0014445i,-0.013789-0.001732i,0.0037085-0.00028301i,0.0058929+0.014022i,-0.0065461+0.0074198i,-0.0056033-0.0072016i,0.0055733-0.0028502i,-0.0064863-0.0052669i,0.0036754-0.0067289i,0.0043331-0.0021107i,-0.0021531+0.010491i,0.011766-0.0055072i,0.0056968-0.0049646i,0.005604-0.0080325i,0.0031339+0.00082709i,-0.0019053-0.0056236i,-0.0035766-0.0014915i,0.0020616-0.0016754i,-0.011787+0.031582i,-0.0042743-0.0052146i,0.0033543+0.0002456i,-0.00012487-0.0068438i,0.0033744-0.0015971i,-0.013256-0.0060085i,0.0009451+0.00087313i,0.0041209-0.0020323i,0.0029726-0.0012672i,0.0011238-0.0053721i,-0.0023489+0.0054343i,-0.00027921+0.0064844i,-0.0042443+0.0069747i,-0.0042325+0.0028092i,-0.0056028-0.00014479i,-0.024068+0.019925i,-0.0087826+0.013557i,-0.022076-0.011554i,-0.010292-0.0090679i,0.0088792+0.020212i,-0.00053363+0.020094i,-0.0087249-0.0032981i
0.0063752+0.0030469i,0.0394+0.0076255i,0.019263-0.0082203i,0.013699+0.0006405i,0.009614-0.0033405i,0.014388-0.010616i,0.012784+0.011726i,0.020414+0.016892i,0.0004368-0.0028864i,0.0015934+0.0002027i,0.0023484-0.001589i,-0.00043308-0.0029877i,-8.1007e-05-0.00067624i,0.0020631-0.00015635i,0.0045613-0.0022965i,0.0048607+0.00026168i,0.0028587-0.0048314i,4.0639e-05-0.00098447i,-0.0026807+0.00030447i,0.00091426+0.00016509i,2.8961e-05-0.00053697i,-0.0022129+0.0001112i,-0.0015879+0.00010544i,0.009665+0.0043089i,-0.0008465+0.001133i,0.00094401+0.00057058i,0.0010512+0.00027939i,0.00052262+0.0010409i,-0.00084647+0.00020188i,-0.0012283+0.00048937i,-0.00029516-0.0019916i,-0.00062524+8.2036e-06i,0.00015897+0.0004393i,0.00030454+0.00041596i,-0.00076574-0.0001544i,-0.0077518+0.0065357i,0.00031865-0.00010954i,-0.00041735+0.00046983i,0.00012521+0.001463i,-0.0012539-0.0034247i,-0.00058341+0.00017546i,-0.00059021+5.0444e-05i,0.00067418+0.0013479i,0.0022423-0.0027448i,0.0012457+0.0032184i,-0.045303+0.018654i,-0.00043226+0.030792i,-0.0047148+0.041744i,0.0080782+0.061726i,-0.0060604+0.043791i,-0.0086957+0.015926i,-0.012299+0.011207i,-0.049991+0.0068508i,-0.020295-0.0095689i,0.020293+0.01982i,0.00062575+0.0053463i,-0.0061893+0.0067274i,-0.013588+0.002491i,0.0022643-0.0019387i,0.0095711+0.012478i,-0.0019136+0.011731i,-0.009741-0.0052547i,0.0022251-0.0045328i,-0.006659-0.0018071i,-0.00080974-0.0065491i,0.0025754-0.0040186i,0.0025594+0.0080856i,0.0072383-0.008769i,0.0020627-0.0056511i,0.0010671-0.0057253i,0.0041922-0.00022388i,-0.0030125-0.0044045i,-0.0018575+0.000776i,0.0018025-0.0015511i,0.0064255+0.032683i,-0.0057609-0.0043788i,0.0036732-0.0017204i,-0.0034706-0.0061319i,0.0035174-0.0025425i,-0.013504+0.00037721i,0.0017639+0.0012886i,0.0028225-0.0021914i,0.0030766-0.0024261i,-0.00027892-0.0053938i,-0.00045739+0.0031422i,0.0023809+0.0051485i,-0.00093133+0.0079739i,-0.0030792+0.0045443i,-0.0062914+0.00073892i,-0.018656+0.018761i,-0.0068258+0.016158i,-0.024986-0.0061539i,-0.012437-0.011634i,0.011992+0.01976i,0.003504+0.02176i,-0.011202-0.0033448i
0.0059766+0.0013915i,0.039109-0.0007223i,0.017521-0.012806i,0.015028-0.0020871i,0.010516-0.0056115i,0.012001-0.01371i,0.012942+0.0089792i,0.023339+0.01285i,-0.00030062-0.002443i,0.001332-0.00042287i,0.0020112-0.0024584i,-0.00065045-0.0013998i,-8.1514e-05-0.00062686i,0.0020879-0.00053686i,0.003638-0.0031244i,0.0045039-0.00020146i,0.0015431-0.0051552i,-0.00020486-0.0011495i,-0.0025177+0.0012244i,0.0007449-0.00070097i,-0.00063716-0.00088037i,-0.0019675+0.00067223i,-0.0016599+0.00041782i,0.010067-0.00049649i,-0.00013027+0.0014653i,0.00097026-9.432e-05i,0.00078684-0.00010113i,0.00097651+0.00052921i,-0.00051738+0.00067105i,-0.0010843+0.0009667i,-0.00095477-0.0011817i,-0.0011987+0.00054809i,0.00035503+0.00039644i,0.00055252+0.00013436i,-0.0003141+0.00053472i,-0.0018617+0.01539i,4.2479e-05+0.00013752i,-9.9792e-05+0.00046829i,0.00044673+0.0011303i,-0.0027577-0.0018557i,-0.0005137+6.7138e-05i,-0.00047358+0.00027506i,0.00095133+0.0015447i,0.0016483-0.0028589i,0.0030477+0.0026039i,-0.03889+0.025005i,0.00412+0.031853i,0.0040672+0.038729i,0.023095+0.053183i,0.0037516+0.042714i,-0.011722+0.015471i,-0.014891+0.012269i,-0.050805+0.014864i,-0.019001-0.01306i,0.023795+0.012067i,0.00089943+0.0051596i,-0.0038037+0.008645i,-0.013115+0.005444i,-0.00023219-0.0037622i,0.012605+0.0093338i,0.0037913+0.012353i,-0.012596-0.0018623i,0.00021678-0.0031358i,-0.005877+0.00098423i,-0.0028848-0.0040645i,0.00055395-0.0038572i,0.004925+0.0070116i,0.004094-0.0093836i,-0.0015615-0.0047879i,0.00050976-0.0029621i,0.0043794-0.0025136i,-0.0046445-0.003023i,-0.00058912+0.00064748i,0.0011171-0.0019829i,0.0197+0.024231i,-0.0077241-0.0021007i,0.003132-0.0030269i,-0.0036714-0.004386i,0.0038175-0.0043134i,-0.010654+0.0056129i,0.0035273+0.00086872i,0.0017993-0.0023114i,0.0017845-0.0028409i,-0.0019068-0.0044994i,-0.0010694+0.0024949i,0.0034503+0.002971i,0.0026558+0.0079918i,-0.0017075+0.0050669i,-0.0070146+0.00258i,-0.015917+0.017192i,-0.00027638+0.01723i,-0.025583-0.001502i,-0.015691-0.012681i,0.017151+0.016606i,0.0089909+0.022709i,-0.013697-0.0018466i
0.0053169+0.00039254i,0.035936-0.0078311i,0.014008-0.017004i,0.014955-0.0064126i,0.010266-0.0088019i,0.0086974-0.015836i,0.012786+0.0070877i,0.024587+0.0073205i,-0.00030872-0.0023391i,0.00074841-0.00046803i,0.0010966-0.0029206i,-0.00019836-0.00073552i,-0.00049677-0.00038323i,0.001747-0.00077671i,0.0023971-0.0036339i,0.0041898-0.00050142i,0.00014444-0.0045184i,-0.00044061-0.001074i,-0.0014068+0.0019186i,1.8149e-05-0.0011044i,-0.0011246-0.00037433i,-0.0016404+0.0012484i,-0.0015697+0.00094144i,0.0081615-0.0040823i,0.0003481+0.0012163i,0.00061361-0.0003276i,0.00069023-0.0001871i,0.00075815-5.0395e-05i,-0.00013622+0.0006265i,-0.00068564+0.0014681i,-0.0013639-0.00050021i,-0.00066458+0.0012062i,0.00051879+0.00020319i,0.00037451-3.7327e-05i,0.0002129+0.00064362i,0.0021393+0.010006i,0.00015287+0.00030234i,-8.5178e-05+0.00030938i,0.00055879+0.00097165i,-0.0026245-0.00030427i,-0.00051745+6.3383e-05i,-0.00033359+0.00035988i,0.0014654+0.0015336i,0.00089101-0.0027017i,0.0047799+0.00080037i,-0.03115+0.029741i,0.0098726+0.031713i,0.0092472+0.034629i,0.034693+0.039754i,0.013615+0.037308i,-0.015124+0.018054i,-0.017795+0.015616i,-0.048751+0.023662i,-0.020877-0.016294i,0.024268+0.0036549i,0.0014783+0.0054189i,-0.0010039+0.011381i,-0.011316+0.0095614i,-0.0043584-0.0027475i,0.015168+0.0042782i,0.0091972+0.010088i,-0.013842+0.0027434i,-0.00049767-0.0024338i,-0.0041215+0.0025512i,-0.0035766-0.0011796i,-0.00036237-0.0033872i,0.0069406+0.0036871i,0.0012262-0.0094471i,-0.0032813-0.0013193i,0.0013419-0.0018209i,0.0029223-0.0045451i,-0.0053935-0.00045923i,0.00042551+0.00093542i,0.0006738-0.0019955i,0.026598+0.011436i,-0.0077989+0.0014347i,0.0022794-0.0044512i,-0.004196-0.0027904i,0.0020468-0.0066881i,-0.0060567+0.0078766i,0.0047565-0.0011715i,0.001115-0.0017283i,0.0012674-0.0025938i,-0.0025099-0.0031669i,-0.0014182+0.0033079i,0.0031325+0.0009954i,0.006075+0.0063209i,-0.00048373+0.0047175i,-0.0072188+0.0050029i,-0.014173+0.017982i,0.0088972+0.012574i,-0.024139+0.0035834i,-0.020855-0.011969i,0.01877+0.01157i,0.01565+0.020786i,-0.013255+9.2407e-05i
0.0051947-0.00011116i,0.032608-0.012594i,0.0098127-0.019578i,0.013534-0.010429i,0.0087107-0.011873i,0.0054822-0.017016i,0.012893+0.0059776i,0.023998+0.0029565i,1.627e-05-0.0025761i,0.00031879-0.00029838i,-0.00041805-0.0029091i,0.00023022-0.0005521i,-0.0006856+0.0002641i,0.0014186-0.00092581i,0.0012445-0.0035315i,0.0042858-0.00063006i,-0.00055567-0.003755i,-0.00084419-0.00087062i,-0.00058148+0.0018351i,-0.0006658-0.00094499i,-0.0012432+4.9013e-05i,-0.00091168+0.001723i,-0.0011987+0.0014544i,0.0053959-0.0063628i,0.00059544+0.0010014i,0.00037934-0.00034373i,0.00052044-0.00040048i,0.00042131-0.00013124i,-5.2993e-06+0.00061364i,5.364e-05+0.001682i,-0.0013356+0.00020122i,-0.00017062+0.0012375i,0.00051911-0.00014891i,0.00038296+0.00016593i,0.00065537+0.00055138i,0.0023239+0.0084115i,0.00016389+0.00037578i,-0.00023351+0.00036064i,0.00091585+0.0007633i,-0.0017453+0.000563i,-0.00067301-4.7738e-05i,-0.00023414+0.00037995i,0.0019547+0.0010179i,-0.00027214-0.0020465i,0.0053291-0.0018656i,-0.022422+0.031986i,0.016432+0.029788i,0.014777+0.032141i,0.038969+0.024487i,0.019259+0.030203i,-0.015853+0.024008i,-0.017734+0.022827i,-0.044491+0.032995i,-0.025333-0.017354i,0.020595-0.0035588i,0.0027449+0.0055252i,0.0041773+0.011383i,-0.0078636+0.012891i,-0.0058085+0.00079532i,0.01458-0.0028343i,0.012829+0.0059886i,-0.0129+0.0073664i,-0.00069295-0.00077271i,-0.0024675+0.0033101i,-0.0018871+0.00060912i,-0.0021229-0.0023926i,0.0069728+0.00082738i,-0.0017532-0.0083658i,-0.0027268+0.0014109i,0.0026012-0.002176i,0.00094436-0.0054175i,-0.0039563+0.0014888i,0.0017613+0.00028288i,0.00033709-0.0018253i,0.027519-0.00087536i,-0.0054993+0.0041872i,0.00053716-0.0053125i,-0.0037367-0.0019643i,-0.00064127-0.0072969i,-0.0020417+0.007654i,0.0039805-0.0036075i,0.0013065-0.00084986i,0.0013904-0.0023639i,-0.0018158-0.0023199i,0.00021754+0.004656i,0.0017997-9.2432e-05i,0.006555+0.0017902i,-8.6435e-05+0.0035112i,-0.0056222+0.0077846i,-0.010705+0.019241i,0.012112+0.0012904i,-0.01982+0.0053947i,-0.026103-0.0092914i,0.019917+0.0069813i,0.020553+0.013927i,-0.013696+0.00038413i
0.0052561-0.0010622i,0.0298-0.017031i,0.0058508-0.021236i,0.011169-0.014159i,0.0065407-0.014288i,0.0021414-0.017842i,0.01401+0.0048313i,0.02346-0.00084913i,0.00012994-0.0035356i,-0.00014525+2.108e-05i,-0.0010545-0.0018868i,0.00043367-0.00052309i,-0.0001902+0.00095706i,0.0010867-0.00091289i,0.00044209-0.0032468i,0.0048506-0.0010004i,-0.00093311-0.0034107i,-0.00089339-0.0005479i,5.4655e-05+0.0016742i,-0.0010228-0.00059109i,-0.00096604+0.00043505i,6.3057e-05+0.0015449i,-0.00058258+0.0017177i,0.0019544-0.0071089i,0.0010548+0.00081834i,0.00020872-0.00038075i,0.00030002-0.00053949i,0.00027828-0.00016746i,0.00028591+0.0006293i,0.00069183+0.0013727i,-0.001016+0.0006537i,0.0004234+0.001172i,0.00027879-0.00019278i,0.00061538-4.5488e-05i,0.00083667-3.8653e-06i,0.0034695+0.0082685i,0.00029879+0.00038357i,-7.1652e-05+0.00056197i,0.00094244+0.00042121i,-0.0010368+0.00075107i,-0.00097455+3.8491e-05i,-2.8417e-05+0.00027157i,0.0021589+0.00053619i,-0.0029979-0.0054786i,0.0049711-0.0045297i,-0.014684+0.031452i,0.022286+0.025471i,0.020587+0.028005i,0.03908+0.010681i,0.022193+0.023467i,-0.012342+0.030751i,-0.012786+0.030358i,-0.036305+0.042553i,-0.030629-0.015163i,0.015714-0.0072054i,0.0040865+0.0046875i,0.0078078+0.0088049i,-0.0035645+0.014763i,-0.0050883+0.0034917i,0.010091-0.009355i,0.01377-6.5109e-05i,-0.010947+0.010833i,0.00040359-1.4123e-05i,-0.00064565+0.0030579i,-0.00038743+0.00051921i,-0.0023107+3.8724e-05i,0.0056098-0.0010023i,-0.0033001-0.0058411i,-0.00068043+0.0032221i,0.0027179-0.0041399i,-0.0012115-0.0051268i,-0.0026823+0.0019559i,0.002111-0.00084505i,0.00076981-0.0016666i,0.023144-0.011838i,-0.0026388+0.0052215i,-0.0011105-0.0049506i,-0.0037221-0.0010839i,-0.0033061-0.006369i,0.00040685+0.006571i,0.0027804-0.0048994i,0.0023339-0.0012581i,0.0011115-0.00317i,-0.0011382-0.0027656i,0.0020062+0.0041915i,0.00075034+0.00028661i,0.010933+0.0032231i,-0.00068269+0.0025973i,-0.0025186+0.0094781i,-0.0069151+0.019046i,0.0077382-0.0081286i,-0.017659+0.0027281i,-0.031754-0.0037132i,0.018442+0.00035477i,0.021139+0.007318i,-0.014425+0.0021831i
0.0051609-0.0019292i,0.025978-0.021683i,0.0013672-0.022826i,0.0072529-0.017866i,0.0037824-0.016549i,-0.0014697-0.017675i,0.015653+0.0028368i,0.022554-0.0048173i,-0.00037-0.0044432i,-0.00031656+0.00090185i,-0.0013626-0.0012651i,0.00054009-0.0010655i,0.00036797+0.0010402i,0.00073866-0.00082369i,-0.00014448-0.0028292i,0.0051864-0.0020826i,-0.0014902-0.003204i,-0.0011831-0.00034773i,0.0008282+0.0012506i,-0.0014629-7.0565e-05i,-0.0009194+0.00048676i,0.00060372+0.00090312i,-5.7131e-05+0.0017249i,-0.0014079-0.0063837i,0.0012123-0.00012237i,-4.1965e-05-0.00021596i,-0.00017115-0.00060468i,0.00011836-0.00013594i,0.00065765+0.00030903i,0.00099057+0.00090531i,-0.00045349+0.00089825i,0.00064696+0.0012189i,4.7884e-05-0.00012144i,0.00052248-0.00024004i,0.00041487-0.00061786i,0.0049813+0.007605i,0.0004494+0.00028647i,-8.2081e-06+0.00048098i,0.00097472+0.00025207i,-0.00041696+0.00067574i,-0.00090046+0.00026902i,1.3954e-05+0.00023844i,0.0021965-9.3748e-05i,-0.0011936-0.0027794i,0.0035279-0.0072026i,-0.0084907+0.029568i,0.02634+0.01977i,0.025639+0.022794i,0.034849-0.00094316i,0.02335+0.018253i,-0.0058046+0.034748i,-0.0032263+0.034436i,-0.024018+0.048478i,-0.03541-0.0095291i,0.010844-0.0087601i,0.0048234+0.0032726i,0.0094892+0.0049004i,0.0005415+0.014909i,-0.0042639+0.0052094i,0.0020281-0.011425i,0.011225-0.0049124i,-0.0071503+0.013357i,0.0016155-0.00074308i,0.0011541+0.0024979i,3.4008e-05-0.00018688i,-0.00042407+0.0014488i,0.0044904-0.0013356i,-0.0034026-0.0041778i,0.0018023+0.0032505i,0.0012778-0.0060779i,-0.0026701-0.0039993i,-0.0016701+0.002202i,0.001499-0.0023242i,0.00082691-0.0024966i,0.014566-0.018159i,1.9321e-05+0.0049604i,-0.0020143-0.0042662i,-0.0031465-0.00072951i,-0.0048614-0.0051573i,0.001914+0.0051727i,0.0012625-0.0065049i,0.0027461-0.0023148i,-8.8158e-05-0.0036827i,-0.0019044-0.0034897i,0.0032939+0.0039266i,0.00060142+0.0014094i,0.0070783-0.0013934i,-0.0015759+0.0026252i,0.00055163+0.0090466i,-0.0035572+0.018789i,0.00056587-0.014124i,-0.020251+6.8163e-05i,-0.03396+0.0050871i,0.012583-0.0039444i,0.020878+0.0016108i,-0.014031+0.0040569i
0.0052236-0.0029688i,0.021725-0.024857i,-0.0039824-0.02291i,0.001789-0.019734i,1.3598e-05-0.017907i,-0.0043653-0.016553i,0.017168-0.00015999i,0.020646-0.0084321i,-0.00082829-0.0055394i,0.00046995+0.0019041i,-0.0015315-0.00041059i,-0.00025122-0.0015119i,0.00092014+0.0010735i,0.00073398-0.00054842i,-0.00042595-0.0024292i,0.0048252-0.0031958i,-0.0024949-0.0025259i,-0.0013062+0.00019114i,0.0010591+0.00044638i,-0.0014156+0.00080147i,-0.00072865+0.00076094i,0.00052667+0.0001284i,0.00043588+0.001612i,-0.0037314-0.0039383i,0.00044888-0.00020473i,-9.0408e-05-4.0104e-05i,-0.00063052+7.1091e-05i,3.1765e-05+2.1456e-05i,0.00051674-0.00015173i,0.0011069+0.00051174i,-2.595e-05+0.00081502i,0.00074616+0.00028011i,7.7193e-05+5.1517e-05i,0.00031163-0.00022717i,-0.00021626-0.00037177i,0.0058145+0.0059241i,0.00053377+0.0001081i,2.3708e-06+0.00064894i,0.0010275+9.1699e-05i,0.00014335+0.00034641i,-0.0010152+0.00049567i,0.00016755+0.00022161i,0.0018048-0.00085751i,-0.0014445-0.0017009i,0.0011102-0.0090826i,-0.0038091+0.026707i,0.028422+0.014014i,0.029967+0.016257i,0.028919-0.0086211i,0.023702+0.013994i,0.0017282+0.036533i,0.0060429+0.033617i,-0.01094+0.04982i,-0.036459-0.0014776i,0.0076028-0.0087714i,0.0054542+0.0019735i,0.0090879+0.0014491i,0.0052167+0.013601i,-0.0027207+0.006986i,-0.0044892-0.0084379i,0.0077295-0.0071628i,-0.0037905+0.013974i,0.0016239-0.0027263i,0.00061838+0.0013059i,-0.0002055-0.00033901i,0.0016217+0.0012174i,0.0038852-0.0016082i,-0.0040612-0.0031917i,0.003152+0.0016932i,-0.0018229-0.006944i,-0.0032948-0.0023523i,-0.00024081+0.0017412i,0.00072505-0.0031165i,0.00022537-0.0034578i,0.0057683-0.019317i,0.0016669+0.0037915i,-0.0029883-0.0036829i,-0.003613-0.00060993i,-0.0061697-0.0032044i,0.0024109+0.0040107i,-0.0012552-0.0077723i,0.0027221-0.0035415i,-0.00094078-0.0031126i,-0.0027219-0.0032248i,0.0048361+0.0030746i,0.0012577+0.0020968i,0.00492-0.0027549i,-0.0018232+0.0035338i,0.0028126+0.0074397i,0.00083641+0.018384i,-0.0093683-0.01667i,-0.024269+0.0005656i,-0.031702+0.01398i,0.0073002-0.0032854i,0.018175-0.0043318i,-0.013076+0.0043895i
0.0050285-0.0046309i,0.017639-0.027836i,-0.0086624-0.021229i,-0.0032934-0.019095i,-0.0037844-0.018245i,-0.0065477-0.015365i,0.018105-0.0042265i,0.018799-0.011343i,-0.0018904-0.0066851i,0.0018192+0.0019017i,-0.0010933+0.00036176i,-0.0010238-0.00095706i,0.0014839+0.00052707i,0.00084489-0.00051861i,-0.00061076-0.0021655i,0.0043141-0.0039475i,-0.0029772-0.0014687i,-0.00092938+0.00039837i,0.00075737-0.00014759i,-0.000854+0.0012777i,-0.0003657+0.00092085i,0.0001617-0.00019538i,0.00087615+0.0013131i,-0.0049084-0.0014476i,5.5318e-05+7.9736e-05i,-5.4768e-05+3.433e-05i,-0.00040075+5.0451e-08i,8.1448e-05+0.00010617i,0.00017894-5.7976e-05i,0.001075-9.9944e-06i,0.00044637+0.00060128i,0.00067615+0.00041446i,0.00025466+3.827e-05i,0.00032879-0.00012339i,-0.00028949+0.00013521i,0.0066353+0.0058815i,0.00039971+4.8253e-05i,0.00033507+0.00078092i,0.0010057-0.00020667i,0.00048332-9.2505e-05i,-0.00066353+0.00055374i,0.00021003-3.5249e-05i,0.0010614-0.0013723i,-0.0015973-0.00092159i,-0.0018883-0.0099072i,-0.0011635+0.023475i,0.029414+0.008858i,0.03197+0.0080868i,0.022591-0.013772i,0.023819+0.01188i,0.0095462+0.036127i,0.013796+0.030903i,0.00089848+0.047353i,-0.034431+0.0055919i,0.00506-0.0091555i,0.0059216+3.3248e-07i,0.0086146-0.00094556i,0.0091246+0.010206i,-4.2839e-05+0.0073466i,-0.0077063-0.0037437i,0.0039439-0.0079447i,-0.0002988+0.013487i,-0.0002744-0.0039283i,6.2356e-05+0.0014017i,-0.00036075-0.00015058i,0.0026676-3.543e-05i,0.0034084-0.0010793i,-0.0042977-0.0016187i,0.0033175+0.0002991i,-0.0047942-0.005178i,-0.0026171-0.00082425i,0.00017511+0.00055821i,-0.00025657-0.0037776i,-0.0010882-0.0037005i,-0.0011058-0.017494i,0.0029235+0.0022435i,-0.0039839-0.0026494i,-0.003779+0.00069618i,-0.0061747-0.00077267i,0.0031196+0.0033516i,-0.0048601-0.0071983i,0.0021589-0.0049926i,-0.0015237-0.0028309i,-0.0032248-0.003185i,0.006142+0.0017025i,0.0021308+0.0021653i,0.0029322-0.002491i,-0.0014368+0.0042476i,0.0040469+0.0054237i,0.0057458+0.015998i,-0.019731-0.013807i,-0.028039+0.0035866i,-0.026385+0.019258i,0.0051886-0.0019864i,0.012624-0.0077165i,-0.014485+0.0047499i
0.0039216-0.0062363i,0.013069-0.030637i,-0.01221-0.018978i,-0.0073209-0.017368i,-0.0076139-0.01776i,-0.0087259-0.014225i,0.01767-0.0094955i,0.016498-0.014365i,-0.0037503-0.0075353i,0.0028332+0.001261i,-0.00038967+0.00070447i,-0.0012236+1.1051e-05i,0.0015071-0.0001614i,0.00086128-0.00061025i,-0.00093054-0.0020423i,0.0036387-0.0047828i,-0.0030007-0.00025454i,-0.00069491+0.0002512i,0.00052894-0.00037481i,-0.00028302+0.0013663i,-0.00025522+0.001147i,-0.00017054-0.00025329i,0.0011002+0.00086144i,-0.0044799+0.00086154i,3.5459e-05+0.00014788i,-1.2739e-05+9.4613e-05i,-0.00032748+0.00014442i,0.00011558+0.00011207i,0.00020272+4.971e-05i,0.0006847-0.0004182i,0.00058047+0.0001122i,0.00088935+0.00043435i,0.00027088+1.515e-05i,0.00041718-0.00051034i,3.068e-05+0.00039099i,0.0080082+0.0039675i,0.00045125+6.4583e-06i,0.00066251+0.0007268i,0.00032948-0.00074454i,0.00073285-0.00051761i,-0.00034475+0.00060571i,0.00011409-0.00010679i,0.00019997-0.0012264i,-0.0015352+0.0001653i,-0.0046647-0.0095311i,-0.00023707+0.0217i,0.029985+0.004026i,0.030836+0.0016823i,0.015644-0.017411i,0.0263+0.010558i,0.016906+0.03329i,0.021542+0.026179i,0.011231+0.04163i,-0.029903+0.011324i,0.0024909-0.0089188i,0.0051043-0.0028998i,0.0080154-0.0036942i,0.010232+0.0054191i,0.00164+0.0064083i,-0.0084554+0.001676i,0.00048563-0.0073201i,0.0024963+0.011499i,-0.0026513-0.0032656i,1.6143e-06+0.002333i,-0.00036021+0.00012048i,0.0029509-0.0016022i,0.0042629-6.6235e-05i,-0.0032974-0.00036287i,0.0034675+1.5649e-05i,-0.005741-0.0028604i,-0.0013249-0.0015157i,-0.00016381+0.00014478i,-0.0022701-0.0042408i,-0.0022404-0.0029255i,-0.0068485-0.014984i,0.0032648+1.7971e-05i,-0.0045107-0.0013347i,-0.0029149+0.001684i,-0.0056489+0.00083695i,0.0039849+0.002616i,-0.0071211-0.0045222i,0.00040002-0.006529i,-0.0023979-0.0022997i,-0.0047432-0.0026759i,0.006849-0.00062819i,0.0032342+0.0021749i,0.0026232-0.0019873i,-0.00023673+0.0051455i,0.0040701+0.0032652i,0.0093826+0.011872i,-0.02549-0.0053797i,-0.03105+0.0091576i,-0.020406+0.023219i,0.0035165-0.00061365i,0.0084021-0.0066047i,-0.014819+0.0068217i
