-0.022953-0.018953i,-0.03238-0.033345i,-0.022464-0.01974i,-0.032625-0.020563i,-0.023926+0.0041329i,-0.028597-0.018082i,-0.057187-0.045686i,-0.040406-0.042884i,-0.029345-0.019212i,0.0049801+0.0048294i,-0.0038253+0.0066327i,-0.010957+0.011029i,0.0038184+0.0071012i,-0.003958-0.0025826i,0.0028623+0.0016442i,0.0026442+0.027404i,0.018754+0.024796i,-0.00027119+4.4533e-05i,-0.0032343-0.0027388i,0.00842+0.0040935i,0.0020094+0.00051458i,-0.00049101+0.0025399i,-0.00045964+0.00034583i,-0.029815-0.00085958i,-0.0038692-0.0045164i,-0.00029765+0.0024263i,0.005178-0.0015988i,0.00086937-0.00015197i,-0.00057316-0.00058872i,-0.0012986-0.0018427i,-0.0023504-0.00050119i,-0.0036921-0.0039462i,-0.0033988-0.0059847i,0.00060306-0.0012179i,0.00052153-0.002891i,-0.0037961+0.026538i,0.0018531-0.0033915i,0.0023442-0.0038832i,0.0042191-0.002016i,-0.0082306-4.148e-05i,0.00052306+0.0012758i,-0.0011642-0.009455i,-0.0023384+0.00073432i,-0.0031834+0.00087491i,-0.0096396-0.0034833i,-0.018722+0.021874i,-0.0085037-0.086648i,-0.0023213-0.061158i,-0.021257-0.053769i,-0.0112-0.045909i,0.05378-0.027085i,0.023801-0.067284i,0.041403-0.05458i,0.018688-0.039606i,0.025797-0.019944i,0.012242+0.011931i,0.025907-0.028598i,-0.011459-0.0012389i,-0.0014358-0.0010981i,-0.0082141-0.0017846i,-0.0049472-0.029168i,-0.021615+0.025626i,0.0075145-0.0095615i,-0.010429-0.0033788i,-0.0027277-0.0018134i,-0.00076064-0.014672i,-0.0084822+0.0054694i,0.0060664+0.010861i,-0.011012+0.029168i,0.0063611+0.0074588i,-0.0033372-0.0016781i,-0.0023887-0.0012908i,-0.01305-0.0059118i,0.00072811-0.0046876i,-0.031024+0.0027643i,0.0035937-0.0086316i,-0.0071973-0.0019406i,-0.005321-0.0030893i,0.0069962+0.0016192i,-0.010172+0.00045482i,0.0025055-0.00032584i,0.0063587+0.007942i,0.0055301+0.00096423i,-0.0076529-0.010202i,0.0031328+0.0079157i,-0.019844+0.0070812i,0.0032928+0.0057499i,-0.020999-0.0087627i,-0.026977-0.0053012i,0.0099226-0.060338i,0.018936-0.014895i,-0.051134-0.028222i,-0.022613+0.0034896i,0.01894+0.010436i,-0.027098+0.011681i,-0.012027-0.0075557i
0.0059643+0.0051251i,0.036963+0.014553i,0.019721-0.0045426i,0.013155+0.0021822i,0.0086295-0.0017915i,0.01597-0.0072886i,0.012374+0.014141i,0.019213+0.019864i,0.0018717-0.0031207i,0.0012456+0.00082553i,0.0023307-0.0013104i,0.0010974-0.0038986i,8.8076e-05-0.0013016i,0.0021609-5.9785e-05i,0.0052753-0.0012658i,0.0055233-1.7071e-05i,0.0062219-0.0063661i,8.23e-05-0.0010441i,-0.0023487-7.3669e-05i,0.00058709+0.00074983i,0.00011286-0.00014207i,-0.0021949-0.00049321i,-0.001483-0.00011474i,0.0064665+0.0075943i,-0.00062995+0.00027322i,0.00034208+0.00080534i,0.00092531+0.00092195i,-0.00023544+0.0011813i,-0.00037373-0.00038383i,-0.0012304+7.4536e-05i,0.00073548-0.0011664i,-0.00062059+0.00039662i,0.00018951+0.00063599i,-6.9643e-05+0.00057359i,-0.00024949-0.001056i,-0.0097122+0.0057037i,0.00060836+0.00021213i,-0.00050223+5.0026e-05i,-0.0005917+0.0013179i,-0.00022111-0.0033182i,-0.00049247+0.00030986i,-0.00054263-0.00013138i,0.00071715+0.0011046i,0.0035601-0.0023096i,0.00087697+0.0030779i,-0.05011+0.0095185i,-0.0033091+0.029774i,-0.013713+0.040867i,-0.0086624+0.06511i,-0.017319+0.044155i,-0.0055916+0.018808i,-0.0080795+0.01283i,-0.046265+0.0018729i,-0.024716-0.0076151i,0.015325+0.024738i,0.00070824+0.0055457i,-0.0076185+0.0013818i,-0.013896-0.0018967i,0.0037295-0.00031708i,0.0057805+0.012584i,-0.0066063+0.0062969i,-0.0054439-0.007347i,0.005909-0.003096i,-0.0064898-0.0051836i,0.0039006-0.0067337i,0.0040586-0.0020699i,-0.0025052+0.010488i,0.011536-0.004906i,0.0067183-0.0052624i,0.0051146-0.0081052i,0.0030796+0.00093422i,-0.0020754-0.0056246i,-0.0035069-0.0016155i,0.0020315-0.0019438i,-0.0072555+0.032354i,-0.0043843-0.0052927i,0.0033048+0.00011449i,-0.00019581-0.0067852i,0.0033413-0.0018273i,-0.013218-0.0062859i,0.00074419+0.00090313i,0.0039504-0.0019062i,0.0029387-0.0011343i,0.0013137-0.0055587i,-0.0024591+0.0056399i,-0.00029846+0.005902i,-0.0049179+0.006624i,-0.0046832+0.002326i,-0.0056292-0.00024151i,-0.023627+0.019855i,-0.00789+0.01396i,-0.022024-0.011771i,-0.0097607-0.01078i,0.0085573+0.020159i,-2.8342e-05+0.020111i,-0.0090108-0.0036674i
0.006378+0.0029639i,0.038635+0.0071197i,0.01852-0.0081201i,0.013838+0.00074248i,0.0094446-0.003266i,0.014465-0.010461i,0.012945+0.011165i,0.021905+0.015545i,0.00060557-0.0037044i,0.0016183+0.00028365i,0.0020737-0.001558i,-0.00045485-0.0027526i,-0.00011171-0.00068191i,0.0020903-0.00013314i,0.0045359-0.0024013i,0.0048215-0.00061435i,0.0029293-0.0065334i,0.00010586-0.0009545i,-0.0025823+0.00028103i,0.00085921+0.0001207i,-8.5308e-06-0.00055414i,-0.0022534+6.4192e-05i,-0.001507+6.287e-05i,0.0099412+0.0041615i,-0.00094339+0.0011248i,0.00090655+0.00049294i,0.0010819+0.00030168i,0.00040644+0.001067i,-0.00084159+0.00015923i,-0.0012294+0.00055566i,-0.00016088-0.0015539i,-0.00069099-4.3139e-05i,0.00020534+0.00044648i,0.00032652+0.00047777i,-0.00073674-0.00012502i,-0.0083709+0.0078796i,0.00032427-6.554e-05i,-0.00038896+0.00044657i,1.5813e-05+0.0012363i,-0.0013471-0.0029058i,-0.00040879+9.9929e-05i,-0.00056807+0.00016642i,0.00068713+0.0010749i,0.0024956-0.0025843i,0.0019367+0.0028386i,-0.044962+0.017504i,-0.00032424+0.030664i,-0.0051107+0.041289i,0.0077535+0.061798i,-0.0061691+0.043458i,-0.0081677+0.015126i,-0.011817+0.010503i,-0.049233+0.0060973i,-0.020593-0.0090058i,0.020538+0.019378i,0.00069383+0.0051834i,-0.0065063+0.0067739i,-0.013335+0.002818i,0.0022224-0.0019941i,0.0085199+0.011657i,-0.0026722+0.010985i,-0.0095479-0.0052602i,0.0024041-0.0046786i,-0.00663-0.0017945i,-0.0007969-0.0065406i,0.0025678-0.0038809i,0.0024807+0.0084196i,0.0076474-0.008096i,0.0018617-0.0068961i,0.00084776-0.005556i,0.0042769-3.4176e-05i,-0.0030211-0.0041495i,-0.0019673+0.00077909i,0.001576-0.0019046i,0.0041679+0.030424i,-0.0059845-0.004159i,0.0035618-0.0017395i,-0.0035144-0.0061714i,0.0033564-0.0026747i,-0.013649+0.00021883i,0.0018036+0.0012859i,0.0028215-0.0021563i,0.0030412-0.0023888i,0.00019791-0.0057363i,-0.0007442+0.0032716i,0.0021285+0.0046236i,-0.0015083+0.0081624i,-0.003669+0.0045759i,-0.0063644+0.00069035i,-0.018435+0.018616i,-0.0062011+0.015818i,-0.025409-0.0064395i,-0.013201-0.012924i,0.01183+0.019813i,0.0038073+0.021515i,-0.011502-0.0032529i
0.0060074+0.0013153i,0.038225-0.0012465i,0.017147-0.012396i,0.015153-0.0021966i,0.010387-0.0055093i,0.012112-0.013623i,0.012712+0.0083878i,0.023766+0.010748i,-0.00038072-0.0035313i,0.001395-0.0003294i,0.0017008-0.0021529i,-0.00064656-0.00133i,-0.00010395-0.0006302i,0.002127-0.00050056i,0.0035178-0.0032125i,0.0040431-0.00095818i,0.0010596-0.0059425i,-0.0001735-0.001129i,-0.0026184+0.0011954i,0.00069088-0.0006919i,-0.0006878-0.00088432i,-0.0020077+0.00069303i,-0.0016098+0.0003391i,0.010338-0.00095794i,-0.00024179+0.0015363i,0.00085395-0.00014514i,0.00081098-7.9713e-05i,0.00088771+0.00061021i,-0.00050427+0.00063735i,-0.0010536+0.00097412i,-0.000877-0.0010903i,-0.001295+0.00049306i,0.00040152+0.00045066i,0.00052741+0.00023113i,-0.00035242+0.00057552i,-0.0065745+0.016962i,7.9022e-05+7.2434e-05i,-8.604e-05+0.00037889i,0.0003632+0.0010976i,-0.0021684-0.0014109i,-0.0004453-6.1226e-05i,-0.00040129+0.00033683i,0.00086977+0.0012756i,0.0018866-0.0026806i,0.0035871+0.0019273i,-0.039101+0.023816i,0.0042058+0.031451i,0.0036723+0.038429i,0.022941+0.053277i,0.0035568+0.042234i,-0.011671+0.014547i,-0.014712+0.011396i,-0.050568+0.014302i,-0.019103-0.012202i,0.023439+0.012007i,0.00079889+0.0049951i,-0.0038936+0.0089535i,-0.012505+0.0058068i,-0.00027399-0.0037696i,0.011371+0.0091261i,0.0029417+0.012079i,-0.012317-0.0022553i,0.00028087-0.003343i,-0.0058627+0.00098718i,-0.0029535-0.004119i,0.00069727-0.0038204i,0.0049972+0.0071941i,0.004986-0.008969i,-0.0017838-0.0046488i,0.00049042-0.0028824i,0.0046263-0.0024111i,-0.004398-0.0026253i,-0.00062642+0.00060072i,0.00072722-0.002003i,0.01769+0.024342i,-0.0076522-0.0018825i,0.0030081-0.0029041i,-0.003739-0.004253i,0.0035865-0.0042425i,-0.010768+0.0058389i,0.0035967+0.00083766i,0.0018248-0.0023012i,0.0018204-0.0029567i,-0.0016675-0.0051648i,-0.0014403+0.0029854i,0.0032241+0.0027708i,0.0016843+0.0081656i,-0.0020768+0.0050927i,-0.0071282+0.0025368i,-0.015683+0.017136i,-0.00028947+0.016635i,-0.02612-0.0016014i,-0.017263-0.012975i,0.016675+0.01688i,0.0092982+0.022092i,-0.01367-0.001427i
0.0053047+0.00033467i,0.034885-0.0081357i,0.01394-0.016617i,0.014931-0.0063682i,0.010121-0.0087237i,0.0088066-0.015796i,0.012274+0.0067643i,0.024068+0.0058694i,-0.00089778-0.0033902i,0.00085073-0.00039298i,0.0011751-0.0024289i,-0.00024516-0.00062502i,-0.0005686-0.00037853i,0.0018049-0.00073132i,0.0023054-0.0036113i,0.003475-0.0008903i,-0.00037264-0.0050503i,-0.0004079-0.0010729i,-0.0016061+0.0019727i,2.8274e-05-0.001031i,-0.0011878-0.00036883i,-0.0015959+0.0013469i,-0.0015408+0.00082843i,0.0081575-0.0047389i,0.00032132+0.0014509i,0.00049339-0.0002754i,0.00071464-9.8704e-05i,0.00083697+3.6562e-05i,-0.00010478+0.00058898i,-0.00067384+0.001432i,-0.0013268-0.00041399i,-0.00075829+0.0012418i,0.00057147+0.00023122i,0.00039645-2.6376e-05i,0.00016474+0.00070292i,0.0025295+0.010324i,0.00016218+0.00021194i,-9.8528e-05+0.0002332i,0.00054662+0.00092135i,-0.0021233-0.00036343i,-0.00057999+8.5047e-06i,-0.00026993+0.00034047i,0.0012761+0.0013394i,0.0012346-0.0026079i,0.0050247-3.7181e-05i,-0.031723+0.028786i,0.0096598+0.031303i,0.0089055+0.034462i,0.034744+0.039937i,0.013206+0.037189i,-0.015363+0.017136i,-0.018082+0.014583i,-0.048571+0.023561i,-0.020811-0.015622i,0.024743+0.0035148i,0.0013027+0.0052876i,-0.00092341+0.011621i,-0.011061+0.0092784i,-0.0044876-0.0025872i,0.014022+0.0046775i,0.008318+0.010332i,-0.013521+0.0022864i,-0.00055168-0.0024707i,-0.0040393+0.0027457i,-0.0035994-0.0012409i,-0.00020698-0.00342i,0.00708+0.0036818i,0.0023252-0.0094386i,-0.0035384-0.0017088i,0.0012845-0.0017939i,0.0032007-0.0045799i,-0.00499+0.00064967i,0.00021635+0.0010489i,0.00042699-0.0018405i,0.025737+0.012087i,-0.007687+0.0016008i,0.0022504-0.0042846i,-0.0039574-0.0028601i,0.0019867-0.006353i,-0.0058531+0.008007i,0.0047931-0.0011813i,0.0010882-0.0016521i,0.00093924-0.0026121i,-0.00266-0.0032559i,-0.0013816+0.0036927i,0.0030788+0.00095091i,0.0049769+0.0075442i,-0.00080518+0.0047499i,-0.0073179+0.0049191i,-0.013725+0.017986i,0.008409+0.012012i,-0.024643+0.0036969i,-0.02253-0.011041i,0.018916+0.012038i,0.015094+0.020079i,-0.013705+0.00034544i
0.005143-0.00018966i,0.031622-0.012875i,0.009793-0.019378i,0.013567-0.010305i,0.0085778-0.011776i,0.0056389-0.016956i,0.012308+0.0059238i,0.023585+0.0019966i,-0.00089931-0.0031302i,0.00039128-0.00027207i,-0.00014761-0.0029711i,0.00018066-0.000461i,-0.00069862+0.00029926i,0.0014681-0.0009313i,0.001194-0.003486i,0.0035006-0.00053677i,-0.0012262-0.0038832i,-0.00085273-0.00092592i,-0.00072225+0.0018714i,-0.00061537-0.00091383i,-0.0012684+0.00011708i,-0.00085361+0.0017074i,-0.0012443+0.0013505i,0.0050577-0.0068842i,0.000632+0.001219i,0.0003041-0.00029891i,0.0006474-0.00028654i,0.00043886-0.00017741i,-5.1121e-06+0.00060521i,4.7635e-05+0.0016584i,-0.0012796+0.00022853i,-9.2964e-05+0.0014272i,0.00050809-0.00011648i,0.00039026+0.00013566i,0.00067279+0.00060213i,0.0029032+0.0090084i,0.00011485+0.0003299i,-0.00022858+0.00027569i,0.0009658+0.00084143i,-0.0016752+0.0003164i,-0.0006916-6.1112e-05i,-0.00018228+0.00035488i,0.0017062+0.0010327i,0.0006254-0.0021131i,0.0051051-0.0027446i,-0.023268+0.031442i,0.016161+0.029498i,0.014258+0.031921i,0.039391+0.024408i,0.019056+0.030264i,-0.016316+0.023342i,-0.018813+0.021883i,-0.044141+0.033342i,-0.025725-0.016606i,0.02081-0.0040732i,0.002591+0.0054551i,0.0044402+0.01161i,-0.008218+0.012305i,-0.0059108+0.0010039i,0.014-0.0019432i,0.012409+0.0065595i,-0.012626+0.0068588i,-0.00073241-0.00079678i,-0.0024533+0.0033974i,-0.0019436+0.00064387i,-0.0019755-0.0024075i,0.0069157+0.00084486i,-0.00046557-0.0086324i,-0.0032025+0.0017415i,0.0025608-0.0022236i,0.0010997-0.0056138i,-0.0036418+0.0019927i,0.0016856+0.00053332i,0.00033243-0.0015134i,0.026473-7.1967e-05i,-0.0054014+0.0043318i,0.0008067-0.0052646i,-0.0036318-0.0022165i,-0.00054673-0.0069398i,-0.0021237+0.0077127i,0.0039136-0.0036451i,0.0013932-0.00067934i,0.0011251-0.0020983i,-0.0017289-0.0024204i,0.00016095+0.0047818i,0.0017826-0.00016202i,0.0066861+0.0048469i,-0.00046414+0.0034648i,-0.0057593+0.0077041i,-0.010475+0.018857i,0.011324+0.0010312i,-0.020262+0.0057795i,-0.026976-0.0075907i,0.02007+0.0068602i,0.019771+0.014122i,-0.014537+0.00050988i
0.0051466-0.0011256i,0.02865-0.017288i,0.0058767-0.021022i,0.011263-0.014131i,0.0064127-0.014203i,0.002311-0.01781i,0.013435+0.0051251i,0.02284-0.0016058i,-0.00071013-0.0036397i,-0.000139+7.8883e-05i,-0.0011252-0.0020195i,0.00040735-0.00044549i,-0.00022141+0.00095846i,0.0011072-0.00090342i,0.00041935-0.0031674i,0.0041668-0.00063426i,-0.0013188-0.0033023i,-0.00093713-0.00054963i,-3.15e-05+0.0017281i,-0.00097204-0.00054852i,-0.00096894+0.00043537i,8.7467e-05+0.0015213i,-0.00066038+0.0016826i,0.0015849-0.0075448i,0.0010773+0.0010698i,0.00014947-0.00036438i,0.00056413-0.00059266i,0.00025997-0.00017686i,0.00024487+0.00063429i,0.00068447+0.0013366i,-0.000983+0.00066449i,0.00063291+0.0013512i,0.00030092-0.00011997i,0.00060179-5.7044e-05i,0.00083318-1.3806e-05i,0.0043708+0.0081327i,0.00023653+0.0003511i,-8.681e-05+0.00052066i,0.0010203+0.00043117i,-0.0011851+0.00066936i,-0.00090631+0.0001377i,-5.4348e-05+0.00024169i,0.0020658+0.00066489i,-0.0022634-0.0051201i,0.0044646-0.0052632i,-0.015532+0.0313i,0.022013+0.025286i,0.02005+0.028113i,0.039217+0.010486i,0.022176+0.023489i,-0.013091+0.030314i,-0.014424+0.030212i,-0.035552+0.043086i,-0.030647-0.013651i,0.015573-0.0076756i,0.0039109+0.0046438i,0.0080932+0.0088812i,-0.0042234+0.014685i,-0.0051391+0.0037085i,0.010244-0.0082994i,0.013865+0.00066615i,-0.010645+0.0097749i,0.00039214+7.4459e-05i,-0.00067486+0.0030955i,-0.00043317+0.00058862i,-0.0021685-6.4552e-05i,0.0056516-0.00090618i,-0.002984-0.0066516i,-0.00092999+0.0036524i,0.0026608-0.0040522i,-0.0012198-0.0053071i,-0.002543+0.0019301i,0.002208-0.00077444i,0.00096211-0.0014442i,0.022676-0.010895i,-0.0024029+0.005302i,-0.00094575-0.0050699i,-0.0037656-0.0014106i,-0.003006-0.0062927i,0.00047229+0.0066225i,0.0029369-0.0047722i,0.0024502-0.0011079i,0.001073-0.003056i,-0.0011128-0.0028334i,0.002801+0.0049704i,0.00055323+0.00021183i,0.0088875-0.0021783i,-0.0010662+0.0025937i,-0.0027892+0.0094689i,-0.0072+0.018659i,0.0071968-0.0079759i,-0.017543+0.0032999i,-0.031484-0.0018075i,0.018395+0.00038174i,0.020786+0.0075929i,-0.015542+0.0018976i
0.0050046-0.0019576i,0.0247-0.021683i,0.0014437-0.022731i,0.0072172-0.017842i,0.0036836-0.016407i,-0.0013482-0.017692i,0.015345+0.0033484i,0.021832-0.0050359i,-0.0010464-0.0042904i,-0.00026046+0.00099049i,-0.0013861-0.00131i,0.00051448-0.0010459i,0.0003842+0.0010805i,0.00077932-0.00080019i,-0.00016626-0.0027432i,0.0047551-0.0015146i,-0.001677-0.0030096i,-0.0011819-0.00033588i,0.00072894+0.0012908i,-0.0013157-9.8744e-05i,-0.0010016+0.00050436i,0.00061885+0.00089281i,-0.00011911+0.0017246i,-0.0017103-0.0067824i,0.001261+0.00031267i,-9.808e-05-0.00020411i,-0.00028274-0.00076944i,0.00012993-0.00011822i,0.0006653+0.00041769i,0.00095171+0.00083101i,-0.00042993+0.00086907i,0.0012294+0.00126i,0.00011311-4.8988e-05i,0.00053014-0.00024004i,0.0003991-0.00064422i,0.0055838+0.0068266i,0.00034824+0.00036093i,4.2748e-05+0.00046604i,0.0010436+0.00021083i,-0.00045815+0.00075415i,-0.0011293+0.00057846i,-1.7922e-05+0.00017548i,0.0022571-3.3497e-05i,-0.0012652-0.0028031i,0.002742-0.0076241i,-0.0092097+0.029683i,0.026043+0.019632i,0.025282+0.022943i,0.035008-0.001085i,0.023294+0.018138i,-0.0064888+0.034688i,-0.0045839+0.035262i,-0.022881+0.048441i,-0.034281-0.0083127i,0.010583-0.0090214i,0.0046954+0.0033687i,0.0097245+0.004843i,0.0004432+0.015043i,-0.0042588+0.0053448i,0.0026872-0.010771i,0.011672-0.0047131i,-0.0075291+0.012253i,0.0015222-0.00085987i,0.00053708+0.0025909i,3.0867e-05-0.00013751i,-0.00046599+0.0013457i,0.0046343-0.001258i,-0.0039036-0.0047187i,0.001695+0.0036498i,0.0012125-0.0060257i,-0.0028124-0.0040512i,-0.0016954+0.0021657i,0.0015749-0.0023942i,0.0009646-0.0023907i,0.014584-0.017545i,0.00015492+0.0048561i,-0.0020408-0.0043969i,-0.0032664-0.00089653i,-0.0046949-0.0051937i,0.0019923+0.0052192i,0.0015804-0.0064086i,0.0028336-0.0022008i,-6.9053e-05-0.0036905i,-0.0019207-0.0035086i,0.0036872+0.0037159i,0.00029771+0.0015404i,0.0067414-0.001591i,-0.0020502+0.0027463i,0.0002721+0.0091992i,-0.0038542+0.018653i,0.00064056-0.013846i,-0.019787+0.000406i,-0.032496+0.0061431i,0.012484-0.0038164i,0.020778+0.0020935i,-0.014466+0.0041284i
0.00501-0.0029582i,0.02067-0.024464i,-0.0040286-0.022922i,0.0016566-0.019586i,1.0232e-05-0.017775i,-0.0043149-0.016523i,0.017241+0.00028788i,0.020375-0.0085388i,-0.0012126-0.0051669i,0.00052232+0.0019397i,-0.0015261-0.00033568i,-0.00025287-0.0014258i,0.00096764+0.0010419i,0.00074697-0.00056376i,-0.00039478-0.0023417i,0.0047824-0.0025807i,-0.0026315-0.0024413i,-0.0013349+0.00020776i,0.0010199+0.00049573i,-0.0013277+0.00068769i,-0.00082706+0.00089756i,0.0005453+0.00013082i,0.00038354+0.0016454i,-0.0041809-0.0045535i,0.0005033-0.00016266i,-0.00012293-2.6649e-05i,-0.00062316-0.00013874i,6.7529e-05-2.2933e-05i,0.00059866-8.3051e-05i,0.0010221+0.00049968i,-8.4537e-06+0.00078352i,0.0012746+0.00034061i,0.00014535+7.2934e-05i,0.00028749-0.00028706i,-0.00018748-0.00040475i,0.0068542+0.0051772i,0.00050985+0.00022251i,6.7411e-05+0.00053982i,0.0011152+8.639e-06i,0.00021334+0.00036634i,-0.00087977+0.0010838i,0.00010269+0.00018493i,0.0018658-0.00078821i,-0.0016468-0.0016945i,0.00038671-0.0091441i,-0.0040331+0.0269i,0.028195+0.014002i,0.029687+0.016339i,0.028865-0.0088413i,0.02359+0.013968i,0.0011186+0.03663i,0.005321+0.034828i,-0.0096491+0.049275i,-0.035154-0.0016162i,0.0074445-0.0091369i,0.0053621+0.0021281i,0.0093015+0.0013797i,0.0050348+0.01351i,-0.0026266+0.0070388i,-0.0037248-0.0081244i,0.0081491-0.0072863i,-0.0041983+0.013605i,0.0012298-0.0027259i,0.00090884+0.0012535i,-0.00018807-0.00024683i,0.001586+0.0012105i,0.0040075-0.0016539i,-0.0046793-0.0032051i,0.0034124+0.0021387i,-0.0020404-0.006896i,-0.0034888-0.002399i,-0.00034754+0.0016708i,0.00070191-0.0032013i,0.00032327-0.0035044i,0.0058651-0.01949i,0.0016724+0.0037099i,-0.0030016-0.003857i,-0.0038028-0.00063219i,-0.0061033-0.0034905i,0.0026175+0.0039351i,-0.0011344-0.0076352i,0.0029369-0.0034023i,-0.00098468-0.003087i,-0.0026749-0.0033382i,0.0048211+0.0028192i,0.0010457+0.0024499i,0.0049392-0.0031542i,-0.002288+0.0037369i,0.0027622+0.0077094i,0.00054399+0.018428i,-0.0089399-0.016721i,-0.023849+0.00050682i,-0.029803+0.013808i,0.0075142-0.0034298i,0.018168-0.0035175i,-0.013144+0.0042721i
0.0048273-0.0045584i,0.016867-0.027219i,-0.0086682-0.021199i,-0.0034002-0.018974i,-0.0037477-0.018123i,-0.0064724-0.015361i,0.018315-0.0040246i,0.018505-0.011758i,-0.0018955-0.0063496i,0.0019084+0.0019072i,-0.00096201+0.00042465i,-0.00092927-0.0008998i,0.0015156+0.00049775i,0.00078395-0.00054313i,-0.00053355-0.0021263i,0.0046309-0.0034873i,-0.0030105-0.001273i,-0.00093804+0.00048204i,0.00077145-0.00013251i,-0.00086656+0.0011684i,-0.0005367+0.0010268i,0.00013131-0.0002492i,0.00084349+0.0013984i,-0.0050563-0.001744i,-1.7749e-05-0.00010453i,-8.3503e-05+4.5404e-05i,-0.00054201+0.00010559i,6.2351e-05+3.8776e-05i,0.00023105-6.5675e-05i,0.0010354+4.7274e-05i,0.00040228+0.00054874i,0.00087779+0.00036786i,0.00027211+2.1232e-05i,0.00028152-0.00016061i,-0.00027336+8.6264e-05i,0.0071958+0.004252i,0.00040576+9.2597e-05i,0.00034171+0.00068803i,0.0010406-0.00043736i,0.00048196-0.00021863i,-0.0005254+0.0010658i,0.00017668-3.2785e-06i,0.0011333-0.0012828i,-0.0017323-0.00086206i,-0.0024434-0.0098688i,-0.0010235+0.023476i,0.029355+0.0089234i,0.031722+0.0083213i,0.022344-0.014059i,0.023703+0.011856i,0.0091095+0.036344i,0.013734+0.03216i,0.0016717+0.046102i,-0.033717+0.0053289i,0.0047186-0.0092631i,0.0060213+0.0002014i,0.0087892-0.0011972i,0.0089055+0.010253i,0.00015342+0.0073218i,-0.0067843-0.0037413i,0.0042274-0.0083326i,-9.8886e-05+0.013671i,-0.00078417-0.0034651i,-6.9736e-05+0.0013367i,-0.00033909-7.0823e-05i,0.0026019-6.2142e-05i,0.0034908-0.0012042i,-0.0047307-0.0013346i,0.0037639+0.00026415i,-0.0049231-0.0051072i,-0.0033027-0.00080042i,1.8837e-05+0.0005146i,-0.0001182-0.0041059i,-0.0010477-0.003767i,-0.0015348-0.017899i,0.0029014+0.0022122i,-0.004136-0.0028347i,-0.0039121+0.0008691i,-0.0066617-0.0010805i,0.0030616+0.0032315i,-0.0046377-0.0072106i,0.0023683-0.0051684i,-0.0014171-0.0029206i,-0.0033678-0.0032996i,0.0058722+0.0019491i,0.0021327+0.0027608i,0.0030375-0.0029001i,-0.0018884+0.0045057i,0.0042185+0.0056449i,0.0053027+0.016164i,-0.01956-0.013918i,-0.027852+0.00319i,-0.024952+0.017735i,0.0050891-0.0024226i,0.013642-0.0069391i,-0.01456+0.004855i
0.0037584-0.006097i,0.012491-0.029875i,-0.012227-0.018905i,-0.0073691-0.017276i,-0.0075115-0.017635i,-0.0087073-0.014292i,0.017884-0.0093737i,0.015829-0.014707i,-0.0036814-0.0075377i,0.0030489+0.0011651i,-0.00023827+0.00070118i,-0.0011258-4.7601e-05i,0.0015224-0.00019482i,0.00085896-0.00062345i,-0.00084902-0.0020375i,0.0041492-0.0046134i,-0.0028731-1.9411e-05i,-0.00065177+0.00034172i,0.0005034-0.00036564i,-0.00028088+0.0013177i,-0.00033669+0.0011945i,-0.00020159-0.00025083i,0.0011616+0.00095262i,-0.0044617+0.001051i,-8.2092e-05+0.00010197i,-3.123e-05+0.00012841i,-0.00042704+0.00021066i,7.5322e-05+0.00010104i,0.00020745+4.1876e-05i,0.00071079-0.00038205i,0.00054458+0.00013405i,0.00097119+0.00055516i,0.00028388-5.8269e-05i,0.00037172-0.0005049i,-1.8118e-06+0.00039521i,0.0075531+0.0023525i,0.00047183-2.0826e-05i,0.00066164+0.0005961i,0.0004281-0.00079578i,0.00070246-0.00062299i,-0.00033325+0.00082529i,0.00010952-8.767e-05i,0.00029145-0.0011861i,-0.0016126+0.00025565i,-0.0051789-0.0095177i,-0.00015429+0.02142i,0.030001+0.0040076i,0.030862+0.0020061i,0.015158-0.017495i,0.026149+0.010677i,0.016782+0.033476i,0.021973+0.027282i,0.011341+0.040141i,-0.029449+0.010898i,0.0023911-0.0090053i,0.0052634-0.0029613i,0.0079871-0.0040033i,0.010333+0.0055274i,0.0018117+0.0063109i,-0.0076272+0.0013131i,0.00046429-0.0077555i,0.0028334+0.011495i,-0.0025582-0.0026001i,-0.0003155+0.0023679i,-0.00034791+0.00018713i,0.003062-0.0016501i,0.0043253-0.00022488i,-0.0036325-5.8242e-05i,0.003554-0.00029966i,-0.0057831-0.0027287i,-0.0018296-0.00043516i,-0.00031381+0.00020178i,-0.0023759-0.0045859i,-0.0022376-0.0030034i,-0.0073811-0.015247i,0.003287+0.0001098i,-0.0047064-0.0011989i,-0.0028978+0.0018387i,-0.0061392+0.00087462i,0.0039133+0.0026533i,-0.0071719-0.0047065i,0.00027329-0.0066675i,-0.002336-0.0025468i,-0.0049627-0.0024462i,0.0068192-0.00049138i,0.0037052+0.002852i,0.0026414-0.0023515i,-0.00051607+0.0056008i,0.0042451+0.0033445i,0.0093253+0.012114i,-0.025162-0.0054204i,-0.031043+0.0087789i,-0.020388+0.021462i,0.0031485-0.00063238i,0.0092073-0.0077491i,-0.014805+0.0068877i
