-0.024338-0.039203i,-0.012181-0.048391i,-0.017735-0.044771i,-0.030907-0.035322i,-0.029888-0.016414i,-0.050342-0.02777i,-0.05671-0.026917i,-0.043888-0.037514i,-0.029487-0.036325i,0.0070247+0.012593i,-0.0052843+0.015955i,-0.0047026+0.014144i,0.0098653+0.021667i,0.0004626+0.0042838i,0.0033792+0.0033342i,0.0063003+0.018048i,0.025579+0.038442i,-0.0025106-0.00087505i,-0.0044339-0.005859i,0.0080002+0.0015629i,-9.7706e-05-0.00084177i,-0.0010959+0.0013671i,0.00015435-0.000438i,-0.030171-0.0036939i,-0.0013042-0.0057525i,0.0012864+0.0047374i,0.003582-0.00019995i,-0.00060535+0.00052907i,0.00054943-0.00063657i,-0.00037104-0.002552i,-0.0017887-0.0061273i,-0.0045726-0.0042651i,-0.0017553-0.0047347i,0.002167-0.0007825i,0.0022807-0.0028701i,0.0024318+0.025705i,0.0019713-0.0026317i,0.0028223+0.000454i,0.0060414+0.00091333i,-0.01036-0.0041735i,-0.0029234+0.00089322i,0.0067601+0.0015144i,0.0050648+0.00042337i,-0.0039759+0.0057471i,0.0011003-0.0088025i,-0.012233+0.017691i,0.036003-0.09052i,0.012456-0.070015i,-0.015845-0.05972i,-0.016213-0.055523i,0.040268-0.045779i,0.017179-0.062519i,0.034309-0.054848i,0.029869-0.060316i,0.015502-0.013431i,0.0045659+0.016372i,0.016485-0.02639i,-0.011475+0.0057863i,-0.00037738+0.00546i,-0.005068-0.0018742i,-0.002255-0.029188i,-0.023831+0.031928i,0.010064-0.011221i,-0.013085-0.0024406i,-0.00011192-0.0049438i,-0.0010666-0.015943i,-0.0073208+0.0040327i,0.005066+0.0067015i,-0.0084937+0.031017i,0.004901+0.0060619i,-0.0050445-0.00070829i,-0.0031757-0.00052754i,-0.012064-0.0075648i,-0.0008918-0.0042357i,-0.029973+0.0063621i,-5.1265e-05-0.010061i,-0.0095531-0.0018449i,-0.0068284-0.002755i,0.0069626+0.0026617i,-0.0078284+0.0012076i,-0.00019808+0.00053432i,0.005912+0.01075i,0.0042927+0.0014101i,-0.0092492-0.0099281i,0.0028877+0.0079619i,-0.021425+0.0063686i,0.0084562+0.00060042i,-0.02889-0.0040683i,-0.042166+0.0019772i,0.020158-0.09623i,-0.0020152-0.012572i,-0.053092-0.021818i,-0.023386+0.00027383i,0.01799+0.010682i,-0.024944+0.013433i,-0.018377-0.012701i
0.0082017+0.01924i,0.01522+0.051196i,0.024324+0.034841i,0.01719+0.027466i,0.024498+0.027137i,0.032454-0.014307i,0.017687-0.0088515i,0.029411+0.0062141i,0.011802+0.01338i,0.0019552+0.0054862i,0.0047796+0.0025897i,0.0044296+0.0033276i,0.0060145+0.0027788i,0.0049565+0.0035105i,0.0030026-0.0033315i,0.0082-0.0012522i,0.0087201-0.0048029i,-0.0010234-0.0013908i,-0.003302+0.0010167i,-3.6338e-05+0.0013843i,-0.0010585-0.00014966i,-0.0027711+0.0012694i,-0.0018438+0.00094313i,0.004719+0.0080207i,0.0013077+0.0010101i,0.0021577+0.00029892i,0.0018994+0.0012468i,0.0010193+0.0013674i,0.00067513+0.00014617i,-0.00045021+0.00072149i,-0.0012791-0.0024564i,-0.00079447-0.00055619i,-0.0011176+0.00085243i,-0.0010531+0.00021872i,-0.00072896-0.0018791i,-0.0066931+0.0075725i,0.0013485+0.00040297i,0.0011479-0.00043379i,-0.00082622+0.0023268i,-0.00021079-0.003378i,-0.0014269+0.00022383i,-0.0016299-0.00029285i,0.0024978+0.0011902i,0.0063449+0.0041953i,-0.013727+0.034019i,-0.081664+0.034759i,-0.051456+0.037813i,-0.036884+0.059225i,-0.018966+0.072736i,-0.0090544+0.051407i,0.0097516+0.037029i,0.0027462-0.0019483i,-0.035735+0.010246i,-0.044874+0.018832i,0.0020132+0.024302i,-0.0078894+0.0024761i,-0.010286-0.00053505i,-0.01366-0.0022693i,0.002478+0.00049203i,0.0068617+0.01024i,-0.0022842+0.0083725i,-0.0072765-0.011832i,0.0055218-0.0069633i,-0.0063979-0.0068991i,0.0019959-0.0063833i,0.0037019-0.004197i,-0.001673+0.010135i,0.0096643-0.004523i,0.0052222-0.0059593i,0.0033306-0.0059371i,0.0031709-0.00055718i,-0.0012186-0.0048226i,-0.003668-0.00084975i,0.0025125-0.00019i,-0.008851+0.025652i,-0.0038856-0.0032888i,0.0020538+0.00027819i,0.00030261-0.0066486i,0.0022913-0.0014459i,-0.015348-0.003641i,0.00059844+0.00028576i,0.0050422-0.0028832i,0.0029922-0.00106i,0.00060939-0.0046236i,-0.00068181+0.0055033i,-0.001288+0.0063976i,-0.0032161+0.0045603i,-0.011901+0.0017983i,-0.014584-0.0012088i,-0.040942+0.056139i,0.00084014+0.0053059i,-0.024795-0.016991i,-0.0066685-0.0071202i,0.0099313+0.019456i,-0.0020631+0.022891i,-0.00075869-0.00035378i
0.010264+0.015759i,0.023229+0.046231i,0.029899+0.030463i,0.022157+0.025152i,0.030353+0.023048i,0.029222-0.020051i,0.015017-0.012244i,0.030106+0.00066601i,0.01384+0.010705i,0.00367+0.0044692i,0.0053375+0.0014429i,0.0043387+0.0030547i,0.0061268+0.0016608i,0.0055605+0.0022767i,0.0019104-0.003813i,0.006915-0.0027696i,0.0064235-0.0064248i,-0.00074331-0.0012959i,-0.0028008+0.0012252i,0.00061637+0.00065121i,-0.0013097-0.00023957i,-0.0023884+0.0018049i,-0.0015131+0.00099283i,0.0083574+0.0053263i,0.0011918+0.0011754i,0.0024613-0.00062839i,0.0020607+0.00013366i,0.0015347+0.00082689i,0.00029732+1.2498e-05i,-0.00043438+0.00082126i,-0.0021248-0.001512i,-0.0012615-0.00057269i,-0.00084445+0.0011549i,-0.00086196+0.0005873i,-0.0014643-0.00057251i,-0.0038977+0.0088005i,0.0011316-0.00023502i,0.00084902-0.00075333i,0.00018211+0.0019323i,-0.0011786-0.0028601i,-0.0012654+0.0004266i,-0.0017912+0.00021353i,0.0023073+0.00091452i,0.0068593+0.0032804i,-0.0072666+0.035428i,-0.069879+0.048932i,-0.047374+0.046794i,-0.027136+0.062935i,-0.0028522+0.070229i,0.0017019+0.049475i,0.010701+0.031011i,-0.0029149-0.0062454i,-0.036531+0.011891i,-0.036416+0.02047i,0.0079615+0.021915i,-0.0082552+0.0048593i,-0.0095619+0.0049633i,-0.013249+0.0018518i,0.0013944-0.00087831i,0.0087126+0.0089905i,0.0020379+0.01149i,-0.013087-0.0097201i,0.00085494-0.0074743i,-0.0061052-0.0031238i,-0.0014249-0.0059213i,0.0013912-0.0054835i,0.0027231+0.0080126i,0.0062057-0.0068323i,0.0010128-0.0065492i,0.00051489-0.0036913i,0.003922-0.0015694i,-0.0025965-0.0040782i,-0.0018263+0.0015474i,0.0029018-0.00063785i,0.0043734+0.025565i,-0.0045645-0.0028234i,0.0025879-0.0019055i,-0.0028202-0.0060894i,0.0026102-0.0022703i,-0.014444+0.0034072i,0.00094643+0.00065289i,0.0034752-0.0026769i,0.0030207-0.0023157i,-0.00065871-0.0047037i,0.00088433+0.0024753i,0.001501+0.0053497i,-0.00036563+0.0057689i,-0.010689+0.0055538i,-0.01561+0.0016997i,-0.02979+0.057895i,0.0011152+0.0059537i,-0.028722-0.011826i,-0.0093902-0.010118i,0.012509+0.017901i,0.0020645+0.024655i,-0.0031805-0.0014663i
0.01106+0.013041i,0.029396+0.039623i,0.035461+0.023796i,0.02788+0.020319i,0.036118+0.017338i,0.024662-0.025472i,0.011537-0.015349i,0.029825-0.0054558i,0.015746+0.0078918i,0.0042925+0.0031168i,0.0050987-0.00027491i,0.0050803+0.0026904i,0.0060393-5.6886e-07i,0.00593+0.00056112i,0.00076222-0.0039817i,0.0053902-0.0038579i,0.004178-0.0076001i,-0.0011474-0.0015312i,-0.0024999+0.0019388i,0.00052571-0.00039482i,-0.0018503-0.00019758i,-0.0017406+0.0023931i,-0.0014568+0.0011054i,0.0092005+0.00095865i,0.0019549+0.00068721i,0.0016992-0.0015388i,0.0016066-0.00062558i,0.0018881-1.3131e-05i,0.00022052+9.2083e-05i,-0.0003176+0.0010376i,-0.0025052-0.00032392i,-0.0019507+0.00034955i,-0.0002094+0.0014929i,-0.00053664+0.00091828i,-0.0011767+0.00055353i,-0.0010643+0.0092728i,0.00086986-0.00041307i,0.00047849-0.0010602i,0.00067806+0.0013542i,-0.0021439-0.002316i,-0.0011218+0.00060948i,-0.001504+0.00081205i,0.0022057+0.0010615i,0.007662+0.001873i,0.00064038+0.035337i,-0.057037+0.059519i,-0.038893+0.054986i,-0.016057+0.064009i,0.011798+0.063374i,0.011441+0.047524i,0.010187+0.027572i,-0.0083676-0.0068045i,-0.036985+0.016587i,-0.029748+0.019506i,0.012342+0.017207i,-0.0075724+0.0069746i,-0.0074469+0.0079307i,-0.012352+0.0048957i,-0.00050856-0.0026213i,0.01068+0.0066933i,0.0073507+0.011042i,-0.017178-0.0052458i,-0.0012598-0.0051704i,-0.0052977-0.000445i,-0.0032681-0.0039328i,-0.0012154-0.0047506i,0.0048964+0.0068721i,0.0037181-0.0070919i,-0.0028645-0.004791i,0.00071894-0.0017404i,0.0035541-0.0040944i,-0.0042696-0.0028526i,-5.0626e-05+0.0011893i,0.002305-0.001463i,0.014924+0.019244i,-0.0059786-0.0012701i,0.0023352-0.0030509i,-0.0033091-0.0041565i,0.0029814-0.0038107i,-0.010064+0.0085491i,0.0022023+0.00049593i,0.002338-0.0034746i,0.0017817-0.0026974i,-0.002131-0.0037915i,0.0001436+0.00209i,0.0033165+0.0035131i,0.0023915+0.005405i,-0.0088261+0.0078122i,-0.015671+0.0062517i,-0.02105+0.057579i,0.0048594+0.0057482i,-0.030467-0.0061935i,-0.012876-0.011498i,0.016449+0.014515i,0.0082918+0.025471i,-0.0051258-0.00070869i
0.011463+0.01109i,0.032784+0.033301i,0.038099+0.015788i,0.031581+0.012981i,0.040053+0.0091668i,0.018601-0.029353i,0.0072384-0.017118i,0.027735-0.011288i,0.016988+0.0045881i,0.004483+0.0021857i,0.0042835-0.00085303i,0.0058089+0.0017139i,0.0051634-0.00096313i,0.0054105-0.0010478i,-0.00055793-0.00382i,0.0038077-0.0042787i,0.0013393-0.007471i,-0.0014649-0.0011757i,-0.0013728+0.0023843i,-0.00027021-0.00080863i,-0.0021306+0.00064627i,-0.0010244+0.0029025i,-0.0013514+0.0014288i,0.0078366-0.0026372i,0.0018615-0.00018451i,0.00075747-0.0015669i,0.0010563-0.00090593i,0.0013956-0.0010097i,0.00025898-5.0543e-05i,6.3956e-05+0.0013467i,-0.0023385+0.0009925i,-0.0014338+0.0013393i,0.00047591+0.0012759i,-0.00021453+0.0009931i,-0.00058724+0.0011681i,0.0018421+0.008907i,0.00063366-0.0006642i,-3.191e-05-0.0012619i,0.00079358+0.0011369i,-0.002694-0.001424i,-0.0009691+0.00085967i,-0.00119+0.0010519i,0.0027201+0.0011081i,0.0081035+4.7195e-05i,0.0075956+0.03203i,-0.041659+0.067252i,-0.029531+0.060672i,-0.0071686+0.063403i,0.023941+0.052329i,0.021254+0.041661i,0.0089597+0.026141i,-0.014583-0.0049301i,-0.036079+0.022782i,-0.025883+0.017411i,0.015144+0.011212i,-0.0058914+0.0096209i,-0.0043393+0.011322i,-0.010848+0.0078316i,-0.0042497-0.0017217i,0.012493+0.0032893i,0.011848+0.0079843i,-0.019394+0.00087241i,-0.0022033-0.003894i,-0.0035517+0.00099137i,-0.0038572-0.001443i,-0.0024781-0.003339i,0.0069015+0.0035422i,0.0013402-0.0071093i,-0.0045186-0.00050169i,0.0017794-0.0010201i,0.0013276-0.0058026i,-0.0046864-0.00051507i,0.0010565+0.00092429i,0.0020982-0.0018639i,0.020653+0.0092894i,-0.0062293+0.0017824i,0.0017841-0.0043653i,-0.0036344-0.0023692i,0.001485-0.0059803i,-0.0045711+0.0097903i,0.0032907-0.00089655i,0.001077-0.0029691i,0.0010441-0.0026067i,-0.0022474-0.0022328i,0.00012939+0.0023395i,0.0034685+0.0013843i,0.0047492+0.0041891i,-0.0065101+0.0092883i,-0.013921+0.01074i,-0.013457+0.058281i,0.011234+0.0013325i,-0.029415-0.00041442i,-0.018554-0.01131i,0.017141+0.0095656i,0.015304+0.02346i,-0.004958-0.00010733i
0.0125+0.0096362i,0.035934+0.028207i,0.039163+0.0088052i,0.03276+0.005422i,0.041425+0.00042913i,0.012641-0.03162i,0.0031378-0.017108i,0.024629-0.016023i,0.017691+0.0011141i,0.0046033+0.0013206i,0.0038795-0.001198i,0.0063073+0.00041002i,0.004548-0.0012511i,0.004542-0.0022288i,-0.0015942-0.0029304i,0.0024905-0.0040276i,-0.00044881-0.0066212i,-0.0019653-0.00072133i,-0.0006582+0.0021417i,-0.000985-0.00066152i,-0.0018976+0.0012748i,0.00014236+0.003109i,-0.0010369+0.0018938i,0.0054237-0.0049791i,0.0013259-0.00058175i,0.0002932-0.0014619i,0.00064737-0.001106i,0.00054189-0.0012132i,8.1901e-05-4.6531e-05i,0.0007473+0.0013838i,-0.0014494+0.0018771i,-0.00065674+0.0017823i,0.00083281+0.0008531i,0.00019979+0.0012057i,0.00027951+0.0013542i,0.0042157+0.0075641i,0.00027896-0.00062344i,-0.00064269-0.0011235i,0.0013086+0.00088231i,-0.0028425-0.0003684i,-0.00061124+0.00085314i,-0.00086993+0.0011673i,0.0032817+0.00071067i,0.0074843-0.0020832i,0.012199+0.027317i,-0.025331+0.070027i,-0.017911+0.06515i,0.0021411+0.063005i,0.030002+0.039247i,0.027506+0.033966i,0.0093707+0.027695i,-0.01842+0.0017782i,-0.033302+0.031579i,-0.024907+0.015706i,0.01413+0.0055028i,-0.0026484+0.011458i,0.00097117+0.011811i,-0.0086262+0.010224i,-0.0054869+0.0016524i,0.012437-0.0021543i,0.014711+0.0030406i,-0.019043+0.0072704i,-0.0025482-0.0018366i,-0.0025008+0.0014432i,-0.0026888+0.00015439i,-0.0037723-0.0013534i,0.0067209+0.00053575i,-0.00068599-0.006418i,-0.0029767+0.0030975i,0.0030862-0.0017992i,-0.0013198-0.0059813i,-0.0036466+0.0011715i,0.0020647-7.1862e-06i,0.0018564-0.0023059i,0.02084-0.00046609i,-0.0040316+0.0042227i,0.00018872-0.0055253i,-0.002772-0.0016714i,-0.00081974-0.0065742i,-0.00062822+0.0086446i,0.0028424-0.0026393i,0.0010416-0.0016328i,0.0010731-0.0022489i,-0.0012943-0.0017578i,0.00094724+0.0026618i,0.002156+0.00012794i,0.0055677+0.0018326i,-0.0042622+0.0093347i,-0.010313+0.014924i,-0.0049937+0.058127i,0.012843-0.0094443i,-0.026024+0.0020332i,-0.024103-0.0083306i,0.017701+0.0054i,0.020746+0.017153i,-0.0058733-0.00073321i
0.013838+0.007709i,0.039222+0.02258i,0.040041+0.0017392i,0.032566-0.0020756i,0.0412-0.0079971i,0.006436-0.033057i,0.00012869-0.016304i,0.021085-0.020043i,0.017822-0.0027031i,0.0043621+0.0004329i,0.0039229-0.0015582i,0.0064511-0.00099404i,0.0047793-0.0016848i,0.0035178-0.0030382i,-0.0021087-0.0020677i,0.0017805-0.003452i,-0.0016368-0.0059844i,-0.0019562-0.00022511i,-0.00017246+0.0019887i,-0.0013843-0.00017843i,-0.0013352+0.0017562i,0.0014186+0.0026307i,-0.00036446+0.0022089i,0.0023865-0.0058615i,0.0010981-0.00076735i,-0.00016444-0.001386i,0.00020679-0.0012291i,5.3743e-05-0.0011063i,-3.0725e-05+0.00012215i,0.0012711+0.0009088i,-0.00046405+0.0021223i,0.0001909+0.0018746i,0.00095267+0.00054524i,0.00078466+0.00096678i,0.0008646+0.00066518i,0.0056162+0.005686i,5.7575e-05-0.00050543i,-0.0009702-0.00067025i,0.0012764+0.00040324i,-0.0025343+0.00036066i,-0.00041985+0.00086118i,-0.00054433+0.0010725i,0.0036186+7.4517e-05i,0.0064258-0.003643i,0.015243+0.022761i,-0.010673+0.068564i,-0.0044201+0.065456i,0.012012+0.060908i,0.03211+0.027192i,0.031359+0.026169i,0.01252+0.029738i,-0.01731+0.010528i,-0.025479+0.041449i,-0.025641+0.016511i,0.012078+0.0023961i,0.0012005+0.011582i,0.0048102+0.0098489i,-0.0057321+0.012345i,-0.0047165+0.0040685i,0.009344-0.0077244i,0.014633-0.003158i,-0.016237+0.012379i,-0.0015752-0.00071113i,-0.0014279+0.0012721i,-0.0016539+0.00045849i,-0.0032193+0.0015057i,0.0054483-0.0011645i,-0.0019337-0.0049453i,0.00022985+0.0045214i,0.0030905-0.0037818i,-0.0035266-0.0045823i,-0.0026277+0.0018654i,0.002257-0.0012808i,0.0017567-0.0026435i,0.017172-0.0084598i,-0.0015642+0.0048336i,-0.0019034-0.0053075i,-0.0027056-0.0014978i,-0.0031286-0.0059861i,0.0017472+0.0071301i,0.0023095-0.0037688i,0.0024241-0.0016401i,0.00097193-0.0031012i,-0.00081278-0.0023814i,0.0015498+0.002753i,0.0009928+0.00035454i,0.0051161+0.00025066i,-0.0028932+0.0089413i,-0.0046688+0.016904i,0.0036014+0.056419i,0.0068547-0.018505i,-0.024145+0.0009315i,-0.028952-0.0022176i,0.016347-0.00032577i,0.022153+0.010441i,-0.0069602+0.0001357i
0.015128+0.0054085i,0.041539+0.016218i,0.038894-0.0065034i,0.030002-0.0098125i,0.039372-0.016935i,-0.00017669-0.03294i,-0.0020848-0.015393i,0.016918-0.023558i,0.016838-0.0065925i,0.0039965+0.00026781i,0.0034714-0.0021799i,0.0061848-0.0029449i,0.0046183-0.0028709i,0.002287-0.0035257i,-0.0024147-0.0011312i,0.0015062-0.0031246i,-0.0031874-0.0052015i,-0.0021986+0.0002727i,0.00050864+0.0017388i,-0.0017864+0.0004596i,-0.00091981+0.0019613i,0.0022393+0.0016207i,0.0002355+0.00223i,-0.00063654-0.0053442i,0.00074631-0.00146i,-0.00064922-0.00091455i,-0.00032807-0.0011654i,-0.00037747-0.0008178i,0.00021064+0.00024425i,0.0013333+0.00029542i,0.00062191+0.001922i,0.00083118+0.0017027i,0.0009055+0.00021025i,0.0010526+0.00062006i,0.00070161-0.00013763i,0.0063202+0.0038537i,-0.00018449-0.00033557i,-0.0011413-0.00027861i,0.0013243+0.00013916i,-0.0020947+0.00079324i,-0.00026037+0.00092174i,-0.00021705+0.00099355i,0.0038799-0.00098705i,0.0049204-0.0046804i,0.017242+0.018382i,0.0020192+0.064732i,0.0075005+0.061567i,0.021625+0.057067i,0.030637+0.016934i,0.033254+0.019348i,0.018231+0.03004i,-0.010405+0.016476i,-0.012294+0.046908i,-0.02581+0.020117i,0.010125+0.00070979i,0.0043992+0.010063i,0.0070021+0.0067288i,-0.001982+0.013223i,-0.004054+0.005534i,0.0026999-0.010003i,0.010906-0.0080436i,-0.012297+0.01606i,-0.00058971-0.0012683i,-0.0010205+0.00069041i,-0.0012809+0.00032155i,-0.00089273+0.0029441i,0.0042701-0.0013639i,-0.0024061-0.0040824i,0.002944+0.0036501i,0.0016108-0.005683i,-0.0046021-0.0026881i,-0.0012982+0.0022789i,0.0017495-0.0025506i,0.001214-0.0036051i,0.01117-0.012951i,0.00039444+0.0044489i,-0.0032253-0.0042767i,-0.00255-0.0013585i,-0.004762-0.0048353i,0.0033384+0.0054449i,0.0015443-0.0052646i,0.0030071-0.0031829i,-8.4246e-05-0.0036772i,-0.0016534-0.0029391i,0.0028976+0.0028583i,0.00086422+0.0017913i,0.0045826-0.00095852i,-0.0019185+0.0089529i,0.00050081+0.016079i,0.011735+0.054483i,-0.0019858-0.023586i,-0.026638-0.00029061i,-0.030123+0.0060054i,0.011036-0.0039867i,0.02261+0.0046098i,-0.0063895+0.00073305i
0.016291+0.0023551i,0.04337+0.010335i,0.035377-0.01346i,0.024782-0.015615i,0.034749-0.02524i,-0.0059024-0.031113i,-0.0036912-0.01436i,0.012018-0.025892i,0.015251-0.010166i,0.0045115+0.00020599i,0.0031072-0.002376i,0.0048145-0.0045873i,0.0039878-0.0039301i,0.0012236-0.0034585i,-0.0022475-0.0001961i,0.0012809-0.0028071i,-0.0047752-0.0033054i,-0.0020736+0.0011624i,0.00083098+0.0010229i,-0.0016385+0.0015973i,-0.00031298+0.0022936i,0.0022885+0.00041582i,0.00088207+0.0021315i,-0.0026927-0.0035361i,-0.00047573-0.0014454i,-0.00072123-0.00046443i,-0.00072778-0.00090405i,-0.00061376-0.00046724i,0.00030976-4.2051e-05i,0.0012393-0.00015654i,0.0013906+0.0012888i,0.0013408+0.0011809i,0.00085157-3.4566e-05i,0.0011395+0.00021498i,0.00010999-6.3136e-05i,0.0063992+0.0019822i,-0.00024426-0.00013056i,-0.001234+0.00021984i,0.0012971-0.00014809i,-0.0014675+0.0011558i,-1.682e-05+0.0010918i,-0.00011638+0.00082642i,0.0034016-0.0022769i,0.0033293-0.0049035i,0.018199+0.014332i,0.01288+0.0586i,0.016087+0.056081i,0.0305+0.051589i,0.027528+0.0097528i,0.033737+0.012982i,0.024253+0.027693i,-0.0028866+0.0172i,0.0016503+0.046658i,-0.023753+0.024718i,0.0092192-0.0001324i,0.0068596+0.0075962i,0.0074278+0.0038905i,0.0019818+0.012627i,-0.0026356+0.007401i,-0.0031758-0.007902i,0.0064183-0.0097793i,-0.0073289+0.018479i,-0.0012013-0.0023573i,-0.0014187+0.00067521i,-0.0011638+0.00050623i,0.0016857+0.0026883i,0.0037389-0.0017576i,-0.0031424-0.0032899i,0.0044676+0.001596i,-0.0014797-0.0064432i,-0.0044819-0.00076505i,4.8576e-05+0.0017003i,0.0010931-0.0034085i,0.0001007-0.0047319i,0.0049995-0.014207i,0.0019692+0.0036008i,-0.0042173-0.0034339i,-0.0032767-0.0013597i,-0.0060842-0.0029546i,0.003716+0.0039485i,-0.00047456-0.0065249i,0.0027341-0.0047706i,-0.0010667-0.0032752i,-0.0022266-0.0026321i,0.003684+0.0021626i,0.0017552+0.0025973i,0.003431-0.0018719i,-0.00067899+0.0095517i,0.0042084+0.013571i,0.020895+0.051389i,-0.012314-0.025071i,-0.030227+0.0013116i,-0.027217+0.013757i,0.0062605-0.0034996i,0.020466-0.001591i,-0.0057792-0.00055391i
0.016586-0.0015078i,0.044931+0.0032167i,0.031333-0.018617i,0.019516-0.018533i,0.028636-0.031653i,-0.010378-0.028784i,-0.0047136-0.013826i,0.0072326-0.02731i,0.012916-0.013494i,0.005101-0.00072639i,0.0030994-0.0028275i,0.0030924-0.0052801i,0.0029123-0.0051328i,0.0004747-0.003253i,-0.0017376+0.0004204i,0.0012886-0.0024675i,-0.0049216-0.0011281i,-0.0015035+0.0014245i,0.00060617+0.00041057i,-0.00083601+0.0021837i,0.00039679+0.0022408i,0.0018909-0.0004363i,0.0015539+0.0017554i,-0.0036676-0.00098303i,-0.00099009-0.00073623i,-0.00065198-0.00019965i,-0.00097172-0.0006116i,-0.00057836-0.00012021i,3.862e-05+1.2329e-05i,0.00093093-0.00059315i,0.0018935+0.00040747i,0.0014034+0.00069214i,0.0008549-0.00025613i,0.0012012-0.00013294i,6.4642e-05+0.00033543i,0.0058319+0.00038013i,-0.00020467+0.00015374i,-0.0010569+0.00074062i,0.0011797-0.00064274i,-0.00074212+0.0013469i,0.00041462+0.0010359i,-0.00010023+0.00066574i,0.0023525-0.003163i,0.0019118-0.0047375i,0.018541+0.010656i,0.020272+0.050492i,0.022934+0.050862i,0.037943+0.043794i,0.024169+0.0045886i,0.033327+0.0086563i,0.029383+0.02408i,0.0033987+0.016238i,0.013764+0.042086i,-0.019203+0.029155i,0.0088017-0.0014602i,0.008462+0.0042665i,0.0076933+0.0016191i,0.005585+0.010497i,0.00018108+0.0079936i,-0.006358-0.0042165i,0.0020886-0.0099269i,-0.0015227+0.018301i,-0.0027016-0.0023608i,-0.002259+0.0017427i,-0.00098567+0.00071737i,0.0031448+0.0011643i,0.0031439-0.0010984i,-0.0035023-0.0020338i,0.0045078-0.00056854i,-0.0040839-0.0050191i,-0.0034896+0.00053873i,0.00038808+0.0005435i,0.00018386-0.0042831i,-0.001755-0.0048808i,-8.1344e-05-0.013321i,0.0033356+0.0019036i,-0.0054323-0.0020074i,-0.003847-4.8652e-05i,-0.0060842-0.00034513i,0.004226+0.0032511i,-0.0035284-0.0064799i,0.001665-0.0066146i,-0.0017401-0.0029753i,-0.0028122-0.0027821i,0.0046644+0.0014484i,0.0029959+0.0024165i,0.0023489-0.0013577i,0.00087274+0.0095285i,0.0062847+0.010518i,0.029971+0.045443i,-0.023301-0.021936i,-0.033238+0.0049756i,-0.021637+0.018234i,0.0043623-0.0019679i,0.015827-0.0055956i,-0.0080376-0.0014146i
0.015525-0.0052299i,0.045018-0.0046453i,0.027174-0.023036i,0.015095-0.020169i,0.0217-0.036592i,-0.014704-0.026266i,-0.0060247-0.014311i,0.0024701-0.02812i,0.0098061-0.01612i,0.0051836-0.001981i,0.0029078-0.0037459i,0.0014647-0.0053384i,0.0011717-0.0058775i,-0.00017184-0.0030693i,-0.0013917+0.0005609i,0.0015245-0.0025034i,-0.0042576+0.00064064i,-0.0011235+0.0014471i,0.00039893+0.00022775i,-5.9278e-05+0.0023572i,0.0010024+0.0020768i,0.0014236-0.00086167i,0.0019401+0.0010599i,-0.0029295+0.0014199i,-0.00082933-0.00011782i,-0.00058291+0.00016156i,-0.0010995-0.00025617i,-0.00054814-8.4786e-06i,0.00010053+0.00011418i,0.00037508-0.00078705i,0.0019458-0.00063603i,0.001525+0.00034591i,0.00071654-0.00050323i,0.0011034-0.00072658i,0.00031039+0.00058346i,0.0052482-0.00064572i,-4.2487e-05+0.00023307i,-0.00065995+0.0011677i,0.00059565-0.00081243i,7.1036e-05+0.0010532i,0.00071389+0.00092299i,-0.00012722+0.00076138i,0.0010426-0.0033423i,0.0010023-0.0039651i,0.018492+0.0077796i,0.024376+0.043919i,0.029413+0.045602i,0.042606+0.036164i,0.020142+0.00029695i,0.034462+0.0051416i,0.033781+0.019024i,0.009803+0.01296i,0.023852+0.03385i,-0.01238+0.032195i,0.0079787-0.002943i,0.0079992-0.00027561i,0.0076494-0.0010771i,0.0074314+0.0070932i,0.0020549+0.0072321i,-0.0075477+0.00049692i,-0.0017044-0.0084299i,0.002506+0.015319i,-0.003949-0.0010188i,-0.0019328+0.0037664i,-0.0008636+0.00097446i,0.0039088-0.0008473i,0.003963+0.00019366i,-0.0030971-0.0010038i,0.0041308-0.0014777i,-0.0052239-0.0030184i,-0.0023805+0.00091844i,4.8357e-05+0.00010517i,-0.0020278-0.0048397i,-0.0033705-0.0037451i,-0.004123-0.011864i,0.003448-0.00016889i,-0.0057074+7.2839e-05i,-0.0029615+0.0010981i,-0.0052441+0.0014258i,0.0052914+0.0027584i,-0.0059772-0.0044868i,-0.0010901-0.0080376i,-0.0026457-0.0023515i,-0.0043427-0.0026176i,0.0057532-0.00046692i,0.0045202+0.0022026i,0.0027048-0.0010781i,0.0029382+0.0095923i,0.0066962+0.0074479i,0.03735+0.03733i,-0.03031-0.013258i,-0.035994+0.010746i,-0.015984+0.02067i,0.0024118-0.00022117i,0.011614-0.0061907i,-0.0095518-0.0006268i
