-0.02388-0.019034i,-0.032289-0.032885i,-0.022237-0.019723i,-0.032526-0.020399i,-0.023933+0.0041473i,-0.028794-0.017805i,-0.058435-0.043881i,-0.041293-0.041449i,-0.031025-0.024167i,0.0050819+0.0058345i,-0.0035624+0.0066908i,-0.010895+0.010852i,0.0039612+0.0069094i,-0.003945-0.0028255i,0.0027999+0.0017414i,0.0041158+0.028554i,0.026514+0.032721i,-7.709e-05+6.7424e-05i,-0.0029618-0.0026868i,0.0075787+0.0039161i,0.0020299+0.00068796i,-5.3888e-05+0.0028063i,-0.00055187+0.00032909i,-0.032737-0.00061611i,-0.0033542-0.0049973i,1.6086e-05+0.0026296i,0.0035869-0.00091617i,0.00080477-0.00026385i,-0.00052514-0.00055616i,-0.0011442-0.0018999i,-0.002113-0.00064611i,-0.0041817-0.0040203i,-0.0031086-0.0054608i,0.00030717-0.0012594i,0.00059007-0.0029595i,-0.0015442+0.025428i,0.0022752-0.002949i,0.0022019-0.0040009i,0.0044699-0.002509i,-0.006619-0.0016769i,0.0009625+0.0012944i,0.010246-0.00053768i,-0.0018491-0.00025148i,-0.0033444+0.0016386i,-0.0089036-0.0021105i,-0.019454+0.021232i,-0.0074656-0.086128i,-0.0021679-0.060822i,-0.02127-0.053661i,-0.010985-0.045624i,0.054126-0.025435i,0.024531-0.067287i,0.041385-0.053792i,0.018432-0.038743i,0.026295-0.019339i,0.012201+0.012031i,0.025643-0.029375i,-0.01095-0.0010554i,-0.00084896-0.0010623i,-0.0073394-0.0019528i,-0.0050416-0.029229i,-0.020872+0.026871i,0.0075698-0.0091018i,-0.010584-0.003504i,-0.0022565-0.0017256i,-0.00061355-0.014412i,-0.0076721+0.004704i,0.0051596+0.010573i,-0.010178+0.031298i,0.0066666+0.0075617i,-0.0035284-0.0017033i,-0.0021686-0.001724i,-0.012568-0.0059119i,0.00022247-0.0040087i,-0.033172+0.0029276i,0.0033456-0.0087118i,-0.0072435-0.0020421i,-0.0054797-0.0028096i,0.0069404+0.0018086i,-0.010377+0.00055404i,0.0022363-0.00045364i,0.005938+0.0077957i,0.0057179+0.0010039i,-0.0079224-0.01017i,0.0024624+0.0080377i,-0.019489+0.0076032i,0.0034006+0.0055874i,-0.021272-0.0090252i,-0.027385-0.0050334i,0.0097254-0.061478i,0.018492-0.015166i,-0.051048-0.02889i,-0.023798+0.0018082i,0.018624+0.010347i,-0.027318+0.012032i,-0.012607-0.0078441i
0.005523+0.0048068i,0.036708+0.015013i,0.019579-0.0043278i,0.012953+0.0021557i,0.0085363-0.0017428i,0.015858-0.0074345i,0.012087+0.014225i,0.018215+0.020136i,0.00086806-0.0025309i,0.0011819+0.00079675i,0.0023861-0.001399i,0.0011064-0.0038647i,5.1602e-05-0.0012689i,0.0020278-0.00012352i,0.0051905-0.0012356i,0.0057473+0.0004689i,0.0056482-0.0053455i,0.00016711-0.00107i,-0.0021988-0.0001735i,0.00045759+0.00075475i,0.0001939-0.0002087i,-0.0021702-0.00055466i,-0.0015609-8.4893e-05i,0.0062+0.0076797i,-0.00067308+0.00033786i,0.00042327+0.00077909i,0.00094758+0.0011198i,-2.1224e-06+0.0012912i,-0.00038748-0.00033947i,-0.0011645-8.319e-06i,0.0005474-0.0011321i,-0.00056025+0.00040014i,0.00014318+0.00073489i,-3.4121e-05+0.00062126i,-0.0002949-0.0010589i,-0.008925+0.0069437i,0.00060454+0.00016267i,-0.00049768+3.3451e-05i,-0.00042182+0.0015695i,-0.00027616-0.0029516i,-0.00069158+0.00014913i,-0.00049827-0.00017633i,0.00054268+0.0014935i,0.0034727-0.0022079i,0.00018961+0.0027777i,-0.050283+0.0084166i,-0.0036863+0.029146i,-0.01425+0.040929i,-0.0088358+0.064627i,-0.017451+0.044129i,-0.006325+0.019268i,-0.0089748+0.013392i,-0.046327+0.0046615i,-0.024344-0.0077128i,0.015555+0.025691i,0.0005986+0.0055227i,-0.0076551+0.0013641i,-0.013915-0.0020104i,0.0037348-0.00042401i,0.0069075+0.0143i,-0.0059044+0.0065559i,-0.0053848-0.0063651i,0.0055945-0.0028787i,-0.0066684-0.0053899i,0.0037198-0.0068171i,0.0042466-0.0020949i,-0.0023031+0.010255i,0.011709-0.0053625i,0.0060514-0.0049754i,0.0052833-0.0082545i,0.003196+0.00079116i,-0.0021602-0.0060441i,-0.0037079-0.0016513i,0.0021832-0.0017085i,-0.010531+0.031405i,-0.0041754-0.0054224i,0.003387+0.00015034i,-0.0001307-0.0072183i,0.0034219-0.0018273i,-0.013312-0.0060154i,0.00083078+0.00078615i,0.0040033-0.0014964i,0.002528-0.00099213i,0.0014671-0.0056178i,-0.0021041+0.0051757i,-0.00016429+0.0056187i,-0.0051566+0.0071952i,-0.0050679+0.0021526i,-0.0056644+0.00025808i,-0.023789+0.018994i,-0.0090532+0.014155i,-0.022467-0.011615i,-0.0091171-0.0093724i,0.0082496+0.020573i,-0.00034405+0.020057i,-0.0088027-0.0034499i
0.005902+0.0028427i,0.03827+0.0073471i,0.018456-0.0079442i,0.013526+0.00091158i,0.0093657-0.0031603i,0.014342-0.010627i,0.012846+0.011368i,0.021112+0.016348i,6.7135e-05-0.002693i,0.001484+0.00023032i,0.0021873-0.0016894i,-0.00052399-0.0025938i,-0.00010465-0.00068914i,0.0019737-0.00010429i,0.0044323-0.0023495i,0.0052384-0.00016979i,0.003152-0.0057582i,0.00018743-0.00094758i,-0.0023908+0.00026839i,0.00093775+0.00017159i,5.9525e-05-0.00057113i,-0.0021795-1.9384e-05i,-0.0015455+0.00012451i,0.0097991+0.004436i,-0.00092254+0.0011664i,0.00095666+0.00046554i,0.0011368+0.00048133i,0.00051686+0.0010435i,-0.00085448+0.00025413i,-0.0012305+0.00047979i,-0.00012313-0.0011959i,-0.0005629+6.5532e-05i,0.00022534+0.00059024i,0.0002828+0.00052197i,-0.00073289-5.6534e-05i,-0.0060575+0.0088957i,0.00030408-3.1893e-05i,-0.00036812+0.00043909i,0.00023239+0.0013232i,-0.0010781-0.0022863i,-0.00053095+9.3902e-05i,-0.00067438+0.00023039i,0.00073979+0.0014434i,0.0023606-0.0023824i,0.001433+0.0027938i,-0.045304+0.016574i,-0.00065588+0.030231i,-0.0054923+0.041398i,0.0074749+0.061462i,-0.0063098+0.043526i,-0.0083721+0.015636i,-0.012171+0.011279i,-0.047445+0.0082337i,-0.020444-0.0096629i,0.020977+0.019608i,0.000536+0.005169i,-0.0068326+0.0067895i,-0.013388+0.00264i,0.0022155-0.0019613i,0.010216+0.012119i,-0.0019651+0.010885i,-0.0088942-0.0046926i,0.0023421-0.00442i,-0.006643-0.0018124i,-0.0007779-0.0065625i,0.0027496-0.0038957i,0.0025668+0.0082595i,0.0075023-0.0083244i,0.0023049-0.0061411i,0.00076846-0.0057299i,0.004205-0.00029769i,-0.0033759-0.0047052i,-0.0022896+0.00077499i,0.0019754-0.0018944i,0.0057435+0.031562i,-0.0057412-0.0045017i,0.0036595-0.0018428i,-0.0035289-0.0064205i,0.0032595-0.0025876i,-0.013537+0.00048446i,0.0018814+0.0012499i,0.0031173-0.0017482i,0.0028074-0.0021509i,-0.00011808-0.0059684i,-0.00071041+0.0027193i,0.0020064+0.004428i,-0.0011087+0.0086927i,-0.0039661+0.0044301i,-0.0062545+0.001133i,-0.018482+0.017822i,-0.0069465+0.016366i,-0.025795-0.0061969i,-0.012067-0.012114i,0.011452+0.020301i,0.0035892+0.021554i,-0.011458-0.003302i
0.0054724+0.0012861i,0.037921-0.00088706i,0.017169-0.012285i,0.015-0.0018938i,0.010325-0.0053745i,0.011926-0.013741i,0.012854+0.0086223i,0.023457+0.011885i,-0.00032361-0.0024068i,0.0012049-0.00029151i,0.0016826-0.0025247i,-0.00053869-0.0012103i,-8.2061e-05-0.00068087i,0.0020967-0.00047546i,0.0034607-0.003113i,0.0046992-0.00080757i,0.0013446-0.005498i,-6.8654e-05-0.0011459i,-0.0023046+0.0011635i,0.00078148-0.00076753i,-0.00060735-0.00088987i,-0.0019562+0.00056145i,-0.0016215+0.00042118i,0.010335-0.00051056i,-0.00013695+0.0015373i,0.00088282-0.00016423i,0.00092264+6.8091e-06i,0.00089959+0.00057159i,-0.00047697+0.00071263i,-0.0010735+0.00093762i,-0.00071317-0.00094358i,-0.0010942+0.00059149i,0.00047233+0.00046291i,0.0004328+0.00025893i,-0.00035534+0.00065084i,-0.0030227+0.009883i,0.0001897+8.7098e-05i,-5.2008e-05+0.00036772i,0.00050747+0.0010077i,-0.0017486-0.0014577i,-0.00048626+1.207e-05i,-0.0003961+0.00048632i,0.0010348+0.0015459i,0.0018751-0.0024041i,0.0033545+0.0018742i,-0.039381+0.02324i,0.0038941+0.031155i,0.0035116+0.038498i,0.02241+0.053127i,0.0034946+0.042443i,-0.011552+0.014907i,-0.014706+0.012168i,-0.047854+0.01469i,-0.019304-0.013121i,0.023716+0.01164i,0.00071907+0.0049207i,-0.004201+0.0090178i,-0.012698+0.0058665i,-0.00027855-0.0038312i,0.012969+0.0089338i,0.0034203+0.011697i,-0.011391-0.0018502i,0.00053095-0.0031026i,-0.0058855+0.00090368i,-0.0029098-0.0042145i,0.00071923-0.0038432i,0.0051521+0.0070885i,0.0044749-0.0089267i,-0.0014381-0.004963i,0.00049337-0.0029202i,0.0044729-0.0024655i,-0.0051688-0.0031982i,-0.00079674+0.00076742i,0.0009304-0.0022563i,0.018955+0.024045i,-0.0075485-0.0023514i,0.0031425-0.0032189i,-0.0039536-0.0044245i,0.0035336-0.0040289i,-0.010658+0.0059197i,0.0036562+0.0006287i,0.0021515-0.0022477i,0.0018235-0.002589i,-0.0022467-0.0050459i,-0.0013829+0.0027839i,0.0030504+0.0026778i,0.0028331+0.0084205i,-0.0024281+0.0050531i,-0.0068101+0.0029492i,-0.01602+0.016253i,-0.00079068+0.017476i,-0.026271-0.0016803i,-0.016018-0.012993i,0.01699+0.017473i,0.0090138+0.022207i,-0.013832-0.001352i
0.0048546+0.00042067i,0.034868-0.0077286i,0.013793-0.016471i,0.01494-0.0061366i,0.01008-0.0086292i,0.0085705-0.015844i,0.012598+0.00682i,0.024278+0.0070983i,-0.00028054-0.0025446i,0.00065685-0.00025316i,0.00057884-0.0027148i,-0.00016737-0.00064945i,-0.0005549-0.00039673i,0.0017947-0.00072948i,0.0023103-0.0035531i,0.0041844-0.001032i,-3.2597e-05-0.0047176i,-0.00034095-0.0010509i,-0.0013649+0.0019511i,2.5549e-05-0.0011256i,-0.0011384-0.00038298i,-0.0016156+0.0013252i,-0.0015152+0.000923i,0.0081844-0.0042932i,0.00038487+0.0013526i,0.00051719-0.000307i,0.00073071-0.00013219i,0.00077701+4.4322e-05i,-7.2567e-05+0.00066116i,-0.00072147+0.0014354i,-0.0011186-0.00037504i,-0.00059224+0.0012203i,0.00058677+0.0001197i,0.00037034+2.8379e-05i,0.00016681+0.0007961i,0.00013255+0.0099185i,0.00022518+0.00014248i,-7.3472e-05+0.0001988i,0.00057562+0.000881i,-0.0018352-0.00053207i,-0.00052609+4.9531e-05i,-0.00020209+0.00044879i,0.001511+0.0014708i,0.0014754-0.0024671i,0.0049114-0.00032967i,-0.031972+0.02844i,0.0093067+0.030997i,0.008857+0.03443i,0.034381+0.040005i,0.01325+0.037272i,-0.015198+0.017239i,-0.017789+0.014996i,-0.046275+0.022094i,-0.021498-0.016592i,0.024249+0.0031817i,0.0010389+0.0052539i,-0.0010248+0.011691i,-0.011037+0.0095745i,-0.004443-0.0029058i,0.01544+0.0038555i,0.008631+0.0098282i,-0.012595+0.0020684i,-0.00022342-0.002416i,-0.0041263+0.0025618i,-0.0036273-0.0014046i,-0.00025226-0.0032564i,0.0070215+0.0036101i,0.0014541-0.0090378i,-0.0034559-0.0017772i,0.0013474-0.0017709i,0.0031894-0.0044155i,-0.0056023-0.00028144i,0.00029986+0.00095795i,0.00040567-0.0020602i,0.026424+0.012004i,-0.0079429+0.0013048i,0.002263-0.0045363i,-0.0043996-0.0025233i,0.0020675-0.0061708i,-0.0058869+0.008129i,0.0047606-0.0015112i,0.001388-0.001914i,0.0011978-0.0025984i,-0.0029155-0.003131i,-0.0013954+0.0036635i,0.0029588+0.0010067i,0.0062505+0.0065604i,-0.0011384+0.0046972i,-0.0069349+0.0052262i,-0.014492+0.017192i,0.0083777+0.013236i,-0.024676+0.003324i,-0.021304-0.011796i,0.01939+0.012089i,0.015056+0.020382i,-0.013467+0.00055314i
0.0047218-9.826e-05i,0.031634-0.012461i,0.0097314-0.019051i,0.013553-0.01014i,0.0085213-0.011666i,0.005386-0.016948i,0.012672+0.0056774i,0.024238+0.00287i,-0.00013196-0.0029426i,0.00023746-7.623e-05i,-0.00040463-0.0023281i,0.00020825-0.00054465i,-0.00070745+0.00029116i,0.0015147-0.00096607i,0.0012044-0.003467i,0.0041089-0.0010522i,-0.00076708-0.0038028i,-0.00077779-0.00092036i,-0.00050927+0.0018876i,-0.00061342-0.00097855i,-0.001267+0.00011504i,-0.00076601+0.0017593i,-0.0011588+0.0014269i,0.0052244-0.0064894i,0.00071833+0.0010629i,0.00034041-0.00032396i,0.00056983-0.00034954i,0.00047117-0.00017453i,4.119e-05+0.00062176i,2.3891e-05+0.0016823i,-0.0010709+0.00021793i,1.6686e-05+0.001332i,0.00045796-0.00016228i,0.0003408+0.00015752i,0.00073266+0.00073875i,0.0029136+0.0091018i,0.00013721+0.00023664i,-0.00021754+0.00024979i,0.00091371+0.00079762i,-0.0015769+0.00012774i,-0.00058577-9.8885e-05i,-6.2132e-05+0.00041065i,0.0018691+0.0010038i,0.00084211-0.0027889i,0.0049107-0.0032281i,-0.023335+0.031188i,0.015673+0.029144i,0.014259+0.031829i,0.039054+0.024463i,0.018964+0.030148i,-0.016139+0.023109i,-0.018275+0.021827i,-0.043215+0.030705i,-0.026735-0.017276i,0.02007-0.0040618i,0.0023113+0.0055836i,0.0043878+0.011388i,-0.0079986+0.012405i,-0.0060169+0.00074617i,0.014668-0.0029962i,0.012487+0.0060063i,-0.012285+0.0061221i,-0.00042415-0.00088876i,-0.0025826+0.0033495i,-0.0019834+0.00049393i,-0.0019199-0.0022166i,0.0069207+0.00078126i,-0.0012693-0.0079922i,-0.0030417+0.0014593i,0.0028281-0.0022068i,0.0011669-0.0054814i,-0.0040088+0.001652i,0.0016982+0.00042114i,0.0002714-0.0015698i,0.02719-0.00079941i,-0.0057984+0.0043953i,0.00051637-0.0053216i,-0.0037325-0.0015184i,-0.00026342-0.0068561i,-0.0020235+0.0078424i,0.003934-0.00372i,0.001429-0.001152i,0.0012968-0.0022578i,-0.0020403-0.0021637i,0.00027083+0.0045793i,0.0017747-8.9066e-05i,0.0077574+0.002937i,-0.00074744+0.0034868i,-0.0053138+0.0079296i,-0.011366+0.018428i,0.011787+0.0020013i,-0.020567+0.0053818i,-0.026334-0.0090955i,0.020313+0.0066905i,0.020009+0.014366i,-0.014031+0.00089861i
0.0047692-0.00095991i,0.028751-0.016814i,0.0059134-0.020706i,0.011295-0.013966i,0.0063598-0.014055i,0.0019915-0.01769i,0.013715+0.004647i,0.023823-0.0012147i,-0.00020083-0.0038749i,-0.00019214+0.00030095i,-0.00079257-0.0016544i,0.00047462-0.00052649i,-0.00023788+0.00094378i,0.0011381-0.00099888i,0.00039581-0.0031364i,0.0044352-0.0013993i,-0.00097476-0.0033509i,-0.00084466-0.0005634i,0.00013793+0.0016689i,-0.00098007-0.00062867i,-0.0009733+0.00041713i,0.00021584+0.0015222i,-0.00055798+0.0016972i,0.0018925-0.0073104i,0.0011647+0.00075317i,0.00016848-0.00037544i,0.00040947-0.00054271i,0.00027841-0.0002333i,0.00024686+0.00060028i,0.00068387+0.0013674i,-0.00082517+0.00058779i,0.00054659+0.0011879i,0.00024835-0.00023451i,0.0005162-2.5788e-05i,0.00097448+4.7655e-05i,0.0047624+0.0074518i,0.00023806+0.00025948i,-0.00010783+0.00044949i,0.00095358+0.00040152i,-0.0011045+0.00049053i,-0.00082594-3.5055e-05i,8.633e-05+0.00023018i,0.002061+0.00062249i,8.0069e-05-0.0026106i,0.0040487-0.0058602i,-0.015403+0.031005i,0.021397+0.025068i,0.01998+0.027826i,0.039006+0.010406i,0.022053+0.023434i,-0.012921+0.029965i,-0.014043+0.029519i,-0.036338+0.040513i,-0.031897-0.01432i,0.015057-0.0075241i,0.0037395+0.0047087i,0.0080726+0.0087711i,-0.0040313+0.014637i,-0.0052094+0.0035494i,0.010252-0.009334i,0.0137+0.00026419i,-0.010512+0.0090958i,0.0005856-0.00011558i,-0.00081017+0.0032814i,-0.00047782+0.00052794i,-0.0021159+6.8987e-05i,0.0055855-0.00084341i,-0.0030272-0.0060189i,-0.0008394+0.0032487i,0.0029154-0.0041236i,-0.0011263-0.0052103i,-0.0026809+0.0018969i,0.0021328-0.0010184i,0.00080196-0.0015154i,0.02246-0.011642i,-0.0026505+0.0054735i,-0.0012141-0.0049405i,-0.0033848-0.00085017i,-0.0028133-0.0063937i,0.00068548+0.0067229i,0.0030099-0.0050316i,0.0022229-0.0013511i,0.0012347-0.0032128i,-0.0014122-0.0025286i,0.0016123+0.0046977i,0.0007099+0.0002863i,0.0070262+0.00020996i,-0.0012573+0.002644i,-0.0022266+0.0096004i,-0.0078234+0.018307i,0.0077822-0.0072979i,-0.01782+0.0030517i,-0.031778-0.0031611i,0.018659+0.00012357i,0.020929+0.0076906i,-0.015071+0.0026473i
0.0046733-0.0017585i,0.024997-0.021111i,0.0015006-0.022462i,0.0073832-0.017701i,0.003659-0.016286i,-0.0015808-0.017533i,0.015421+0.0027362i,0.022744-0.0053743i,-0.00076273-0.0046545i,-0.00033622+0.0012476i,-0.0011839-0.0011983i,0.0006206-0.0011591i,0.00034243+0.001055i,0.0007749-0.00089668i,-0.00015979-0.0026805i,0.0046322-0.0023261i,-0.0013802-0.003202i,-0.0011167-0.00040143i,0.00080907+0.0012421i,-0.0014151-0.00017059i,-0.00096881+0.00048358i,0.00065793+0.0008354i,-3.2509e-05+0.0016947i,-0.001509-0.00664i,0.0012874-0.00026897i,-6.5348e-05-0.00019468i,-0.00015379-0.00065419i,0.00010642-0.00013961i,0.00056537+0.00035196i,0.0010116+0.0008447i,-0.00036851+0.00075485i,0.00070314+0.00095011i,1.8155e-05-0.00010657i,0.00041977-0.00018462i,0.00052676-0.00073234i,0.005928+0.0058137i,0.00028306+0.00025691i,-3.9333e-05+0.00044724i,0.0010197+0.00020145i,-0.00048806+0.0005797i,-0.00099824+0.00034566i,0.00011823+0.00013999i,0.0021593+3.4306e-05i,-0.00054857-0.0022152i,0.0020743-0.0081385i,-0.0089201+0.029072i,0.025393+0.019557i,0.025121+0.022599i,0.034871-0.0011056i,0.023154+0.018127i,-0.0065288+0.034289i,-0.004806+0.034257i,-0.024841+0.047008i,-0.035851-0.0087667i,0.010301-0.0086657i,0.0046202+0.0034542i,0.0097114+0.0047255i,0.00042614+0.014913i,-0.0043671+0.0050626i,0.0022609-0.011388i,0.011414-0.0048881i,-0.0081292+0.011652i,0.0015666-0.00096097i,0.00030602+0.0025007i,-0.00014986-0.00021685i,-0.00047109+0.001567i,0.0044342-0.001007i,-0.0035817-0.0044328i,0.0015416+0.003229i,0.0013936-0.0061753i,-0.0026157-0.0039706i,-0.0016772+0.0021777i,0.0015216-0.0024048i,0.00088141-0.0022355i,0.014177-0.017859i,3.2852e-05+0.0050974i,-0.0022091-0.0041423i,-0.0029162-0.00083637i,-0.004564-0.0054297i,0.00214+0.0052633i,0.0014836-0.0066507i,0.0024934-0.0022758i,-9.6106e-06-0.003797i,-0.0020631-0.0031807i,0.0037411+0.0044748i,0.00051675+0.001456i,0.0062169-0.0015068i,-0.0020269+0.0028931i,0.00084837+0.009013i,-0.0044452+0.018405i,0.0011-0.013443i,-0.01993+0.00043638i,-0.033151+0.0054192i,0.012826-0.0042373i,0.020879+0.0022667i,-0.014349+0.0046349i
0.0047606-0.0027402i,0.020975-0.024156i,-0.003951-0.02264i,0.0018079-0.019509i,-8.4055e-06-0.017714i,-0.0044786-0.016369i,0.017005-0.00031185i,0.020716-0.0090847i,-0.0012945-0.0056044i,0.00044345+0.0022271i,-0.0014375-0.00031695i,-0.00024616-0.0015229i,0.00089396+0.0010723i,0.00068511-0.00061718i,-0.00035749-0.0022949i,0.0043008-0.0030911i,-0.0024563-0.0027634i,-0.0012355+0.00010498i,0.0010651+0.00046563i,-0.0014146+0.00072401i,-0.00084431+0.00084354i,0.00050313+0.00012485i,0.00043935+0.001593i,-0.0038235-0.0043909i,0.00040568-0.00071668i,-8.5152e-05-2.4765e-05i,-0.00050558-0.00030985i,4.6584e-05-3.5344e-05i,0.00048207-4.0315e-05i,0.0010706+0.0004304i,1.1038e-07+0.00068765i,0.00084204+0.00066476i,0.00010671+9.1221e-05i,0.00027935-0.00020054i,-0.00019679-0.00049005i,0.0065944+0.0040186i,0.00037057+0.00019591i,-4.6025e-06+0.00064855i,0.0011034-8.8629e-06i,0.00013042+0.00028649i,-0.00084516+0.00088267i,0.00015864+0.00012983i,0.0018458-0.00063982i,-0.0009949-0.0015903i,-0.00050184-0.0093586i,-0.0040257+0.025919i,0.027511+0.014056i,0.029309+0.016085i,0.028858-0.0088617i,0.023365+0.013947i,0.00085473+0.036153i,0.0047377+0.033869i,-0.011849+0.049155i,-0.036802-0.0016087i,0.007492-0.0086188i,0.0053555+0.0021042i,0.0092666+0.001303i,0.0050693+0.013424i,-0.0028266+0.0069259i,-0.0045284-0.0086041i,0.0078111-0.0072542i,-0.0048002+0.013468i,0.0012477-0.0026891i,0.00054271+0.0016258i,-0.00043643-0.00023764i,0.0015934+0.0015532i,0.0038843-0.0013071i,-0.0043599-0.0029779i,0.0031124+0.0019485i,-0.0018413-0.0070792i,-0.0031517-0.0023979i,-0.00023546+0.0017446i,0.00078402-0.0032482i,0.00038104-0.0034025i,0.0055351-0.019473i,0.0017013+0.0039224i,-0.0029664-0.0034652i,-0.0035523-0.00080367i,-0.0060687-0.0036316i,0.0027066+0.0041476i,-0.0011123-0.0076859i,0.0025477-0.0033862i,-0.0010303-0.0032755i,-0.0027219-0.0030958i,0.0050054+0.0032502i,0.0011536+0.0022177i,0.0044379-0.002823i,-0.0021119+0.0038704i,0.0029507+0.0073851i,5.9593e-05+0.018202i,-0.008501-0.016518i,-0.023991+0.00069544i,-0.030485+0.013628i,0.007586-0.0039251i,0.018486-0.0036i,-0.013021+0.0046825i
0.0046294-0.0043582i,0.016993-0.027063i,-0.008545-0.020949i,-0.0032433-0.018901i,-0.0037579-0.018042i,-0.0065919-0.015151i,0.017818-0.0045198i,0.018324-0.012194i,-0.0023375-0.0065841i,0.0018371+0.0022542i,-0.00099241+0.0004662i,-0.00094787-0.00096042i,0.0014625+0.00054293i,0.0007266-0.00056989i,-0.00050463-0.002095i,0.0039607-0.0036298i,-0.0030475-0.0015573i,-0.00085231+0.00034412i,0.0007924-0.00017581i,-0.00089157+0.0012293i,-0.0005473+0.00098695i,0.0001094-0.00024643i,0.00086237+0.0013348i,-0.0047937-0.0016511i,-0.00018533-0.00035199i,-4.9295e-05+3.3264e-05i,-0.00051111-0.00016732i,8.8202e-05+8.9129e-06i,0.00015147-1.5207e-05i,0.0010399-5.1061e-05i,0.00033627+0.00049765i,0.00071585+0.00046935i,0.00027795+2.7795e-05i,0.00034217-0.00014745i,-0.00034471+3.6967e-05i,0.0066666+0.0023121i,0.00032189+0.00013054i,0.00041912+0.00076827i,0.001132-0.00048112i,0.00039854-0.00020561i,-0.00036733+0.0010872i,0.00017356-5.7387e-05i,0.0012627-0.00115i,-0.0011932-0.00095088i,-0.0032674-0.009796i,-0.0015081+0.022497i,0.028725+0.0091292i,0.03116+0.0081314i,0.022311-0.013992i,0.02345+0.011956i,0.0086496+0.036097i,0.012779+0.031553i,2.6848e-05+0.047191i,-0.035134+0.0055011i,0.0051311-0.0089533i,0.0059904+7.2968e-05i,0.0086668-0.0011237i,0.0088712+0.010167i,-3.9578e-05+0.0074135i,-0.0079757-0.0038915i,0.0040046-0.008171i,-0.00065373+0.01361i,-0.00058723-0.003672i,-0.00016534+0.0015419i,-0.00047784+5.1373e-05i,0.0027077+0.00022192i,0.003577-0.00080567i,-0.0042807-0.0012246i,0.0034298+0.00037256i,-0.0046561-0.0053634i,-0.002735-0.0013003i,0.00015029+0.00055789i,-0.00016507-0.0040272i,-0.00089793-0.0036832i,-0.0016349-0.017925i,0.003021+0.002358i,-0.0039143-0.0026581i,-0.0037667+0.00059163i,-0.0065159-0.0012777i,0.0033739+0.003324i,-0.0044992-0.007161i,0.0020412-0.0047648i,-0.0015343-0.0029536i,-0.0033491-0.0031369i,0.0062719+0.0020591i,0.0021533+0.0023391i,0.0027316-0.0024875i,-0.0017148+0.0045464i,0.0042237+0.0054569i,0.0050269+0.015939i,-0.019185-0.014042i,-0.02793+0.0034633i,-0.025505+0.018175i,0.0048774-0.0023881i,0.013518-0.0071099i,-0.01433+0.0051916i
0.0036248-0.0058875i,0.012548-0.029749i,-0.012057-0.018692i,-0.0072198-0.017175i,-0.0075025-0.017547i,-0.0087947-0.014065i,0.017198-0.0096516i,0.015616-0.014883i,-0.0041478-0.0072902i,0.0030096+0.0016811i,-0.00030326+0.00074614i,-0.0011985-4.7996e-05i,0.0015063-0.0001639i,0.00079907-0.00059366i,-0.00081449-0.0020164i,0.0035795-0.0043084i,-0.0031347-0.00031906i,-0.00065539+0.00027921i,0.00054287-0.00042376i,-0.0003232+0.0014203i,-0.00032055+0.0010755i,-0.00025891-0.00027858i,0.0011107+0.00092159i,-0.0043678+0.001066i,-0.00014042+0.00015953i,-3.2112e-05+0.0001241i,-0.00051919+5.5413e-05i,9.4282e-05+4.761e-05i,0.0001835+8.7313e-05i,0.00066589-0.00043292i,0.00048148+0.00013613i,0.0008341+0.0005475i,0.00029376-3.8269e-05i,0.0003902-0.00046454i,-7.7498e-05+0.0004444i,0.0065361+0.0009751i,0.00039889+6.4487e-05i,0.00079968+0.00059666i,0.00060301-0.00085551i,0.00060907-0.0005486i,0.0001428+0.001171i,5.105e-05-0.0001151i,0.00051309-0.001136i,-0.001255+1.0651e-05i,-0.005838-0.0091952i,-0.00089537+0.020798i,0.029512+0.0043505i,0.03016+0.0017998i,0.015334-0.017369i,0.02597+0.010905i,0.016111+0.033499i,0.020894+0.027171i,0.010781+0.04171i,-0.030404+0.011173i,0.0028708-0.0089195i,0.0051357-0.0031067i,0.0079556-0.0038415i,0.010151+0.0056446i,0.001724+0.0063834i,-0.0088613+0.0017056i,0.00026383-0.0075451i,0.0024518+0.011396i,-0.0027755-0.0028258i,-0.00034182+0.0024005i,-0.00039915+0.00036918i,0.0032401-0.001476i,0.0045216-8.9234e-05i,-0.0032263-0.00023069i,0.0035216+8.3353e-05i,-0.005708-0.0030471i,-0.0021696-0.00082699i,-0.00022807+0.00019337i,-0.0022939-0.0044131i,-0.0022059-0.0030356i,-0.0072915-0.015086i,0.0035083+0.0001529i,-0.0044682-0.0013135i,-0.0029132+0.0015293i,-0.0061238+0.00060361i,0.0041561+0.0025565i,-0.007025-0.0047328i,0.00021551-0.0062721i,-0.0023932-0.002498i,-0.0049129-0.0025314i,0.0071494-0.00048294i,0.003262+0.0024064i,0.0025142-0.0019833i,-0.00048033+0.0056006i,0.0043153+0.003116i,0.0089085+0.011738i,-0.024826-0.0057279i,-0.030966+0.009029i,-0.0204+0.021895i,0.0032183-0.00022348i,0.0091835-0.0071383i,-0.014444+0.0070961i
