-0.023931-0.039335i,-0.012272-0.048794i,-0.018238-0.044789i,-0.031293-0.03492i,-0.030182-0.016233i,-0.050609-0.027394i,-0.057884-0.025629i,-0.044578-0.037527i,-0.029449-0.036216i,0.0070943+0.012632i,-0.0048644+0.015544i,-0.0047204+0.014023i,0.009822+0.021508i,0.00042196+0.0044451i,0.0034525+0.0032169i,0.006437+0.017296i,0.026808+0.038352i,-0.0026271-0.00071028i,-0.0042104-0.0059793i,0.0077414+0.0015328i,-1.0424e-05-0.00091868i,-0.001039+0.001499i,0.000128-0.00039712i,-0.030388-0.0029485i,-0.0013748-0.0057693i,0.0015747+0.0046133i,0.0036119-3.9271e-05i,-0.00039823+0.00066027i,0.00040783-0.00057129i,-0.00010598-0.0026271i,-0.0019381-0.0062134i,-0.0044238-0.004105i,-0.0019016-0.0048371i,0.0022972-0.00080697i,0.0021406-0.0029245i,0.0027301+0.02557i,0.0018536-0.0026668i,0.0027684+0.00065836i,0.0059406+0.0011034i,-0.010396-0.0035133i,-0.0032565+0.0008447i,0.0066826+0.0013645i,0.0049951+0.00033064i,-0.0035588+0.0055247i,0.0012842-0.0093429i,-0.011657+0.017595i,0.035733-0.090254i,0.012249-0.070393i,-0.016154-0.059483i,-0.0164-0.055663i,0.039432-0.046252i,0.016923-0.062425i,0.03403-0.05586i,0.031265-0.059938i,0.015375-0.013441i,0.0047764+0.016529i,0.016449-0.026418i,-0.011312+0.0059251i,-0.00052554+0.005117i,-0.005246-0.0012859i,-0.0022389-0.028817i,-0.023738+0.031932i,0.010276-0.011195i,-0.012918-0.0024999i,-0.00019813-0.0049472i,-0.0011192-0.016112i,-0.0076747+0.0045829i,0.0050681+0.0062584i,-0.0083846+0.03062i,0.005534+0.0058017i,-0.0050445-0.00061634i,-0.0031032-0.00042044i,-0.012292-0.0075357i,-0.00082003-0.004286i,-0.029961+0.0065057i,0.0001898-0.009981i,-0.0096466-0.0018736i,-0.0064565-0.0024928i,0.0067284+0.0027575i,-0.0080116+0.0016577i,-0.00021016+0.00076031i,0.0060758+0.010708i,0.0041036+0.0013905i,-0.0097651-0.01021i,0.0031782+0.0078645i,-0.021586+0.0061968i,0.0079951+0.0004749i,-0.028642-0.0041973i,-0.042179+0.0016507i,0.019445-0.096191i,-0.001962-0.012462i,-0.053224-0.021764i,-0.023382+0.00044448i,0.017985+0.011037i,-0.024957+0.012889i,-0.018387-0.013337i
0.0093275+0.019654i,0.015347+0.051263i,0.024497+0.034839i,0.017205+0.027147i,0.024713+0.026725i,0.032464-0.014586i,0.017641-0.009032i,0.029673+0.0057886i,0.012517+0.013579i,0.0017764+0.0049719i,0.004811+0.0027376i,0.0042206+0.0032752i,0.0060283+0.0028419i,0.0050105+0.0035211i,0.0030363-0.0033542i,0.008055-0.0014586i,0.0087397-0.0049114i,-0.0012816-0.0012285i,-0.0029811+0.0011973i,-1.3938e-05+0.0013522i,-0.0010844-0.00022425i,-0.0027224+0.0012795i,-0.0017885+0.00088193i,0.004734+0.0077221i,0.0016067+0.0010407i,0.0021716+0.00044611i,0.0018714+0.0011637i,0.0010061+0.0013517i,0.00073027+0.00010235i,-0.00027612+0.00065407i,-0.0012528-0.0022749i,-0.00079486-0.00051981i,-0.0011439+0.00095386i,-0.001128+0.00030342i,-0.00066122-0.0019755i,-0.0066284+0.0074598i,0.0014277+0.00032942i,0.0011612-0.00052463i,-0.00072847+0.0023387i,-7.0786e-05-0.0034491i,-0.0013409+0.00035923i,-0.0017047-9.9927e-05i,0.002389+0.0012861i,0.0062704+0.0036883i,-0.013305+0.034711i,-0.081711+0.035224i,-0.051414+0.037953i,-0.037157+0.059483i,-0.01872+0.072484i,-0.0087104+0.051342i,0.010055+0.036962i,0.0033008-0.0021891i,-0.036362+0.0094116i,-0.045611+0.019294i,0.0017349+0.024581i,-0.0079663+0.0023688i,-0.010566-0.0007163i,-0.01362-0.002286i,0.0024426+0.00053801i,0.0062565+0.0097801i,-0.0022148+0.0082613i,-0.007454-0.012569i,0.0055506-0.0065968i,-0.0065783-0.0068769i,0.0019903-0.0063605i,0.0036454-0.0041616i,-0.0016985+0.0101i,0.0096414-0.0040803i,0.0050461-0.0059917i,0.0035118-0.0057386i,0.0032018-0.00034184i,-0.0011834-0.0046117i,-0.0036089-0.00062193i,0.0024586-0.0003034i,-0.0089435+0.025627i,-0.0038128-0.0033086i,0.0020581+0.00038545i,6.7978e-05-0.0067518i,0.0023425-0.0011246i,-0.015262-0.0033209i,0.00065174+0.00013244i,0.0052371-0.0030255i,0.0031442-0.0010428i,0.00043511-0.0048296i,-0.0008629+0.0056628i,-0.001331+0.0064987i,-0.0029078+0.0044655i,-0.011771+0.0017593i,-0.014916-0.0011558i,-0.042226+0.054792i,0.00078772+0.0052361i,-0.024694-0.017023i,-0.0066536-0.0071971i,0.010185+0.019274i,-0.0023633+0.022775i,-0.00064404-0.00052473i
0.011417+0.015812i,0.023483+0.046366i,0.03005+0.030329i,0.022185+0.024982i,0.030425+0.022593i,0.029176-0.020316i,0.014868-0.012397i,0.030148+0.00016861i,0.014496+0.010569i,0.0032754+0.0040182i,0.0054316+0.0015683i,0.0041191+0.0031021i,0.0061748+0.0016659i,0.005638+0.0021895i,0.0019284-0.0038752i,0.0066928-0.0029332i,0.0062971-0.006566i,-0.00083957-0.0010788i,-0.0023993+0.0012041i,0.00064896+0.00062235i,-0.0013544-0.00023668i,-0.0023708+0.0018339i,-0.0015079+0.00092408i,0.008162+0.0051642i,0.0014444+0.0010243i,0.0025419-0.00050757i,0.0020031+0.00011744i,0.0014643+0.00085143i,0.00028411-9.322e-05i,-0.00033094+0.00067621i,-0.0020374-0.0013631i,-0.0012176-0.00051413i,-0.0008426+0.0012193i,-0.0008467+0.00069682i,-0.0015178-0.0006722i,-0.003935+0.0087123i,0.0011843-0.00034456i,0.0008292-0.00083071i,0.0003563+0.0020349i,-0.0011217-0.0029853i,-0.0011759+0.00048178i,-0.0016955+0.00043008i,0.0022306+0.0010359i,0.0066506+0.002815i,-0.006699+0.036098i,-0.06988+0.04928i,-0.047337+0.046733i,-0.027174+0.063394i,-0.0026667+0.069975i,0.0020519+0.049468i,0.010911+0.031063i,-0.0026145-0.0066893i,-0.037534+0.01154i,-0.036793+0.021136i,0.0077984+0.022466i,-0.0082812+0.004858i,-0.009846+0.0050752i,-0.013271+0.0018296i,0.0013753-0.00083972i,0.0080356+0.0089516i,0.002046+0.011378i,-0.013622-0.010292i,0.0010674-0.0073671i,-0.0063442-0.0031463i,-0.0013646-0.006008i,0.0013196-0.0054036i,0.0028916+0.0080438i,0.0063828-0.0066184i,0.00084545-0.0064715i,0.00089901-0.0034591i,0.0040362-0.0014965i,-0.0024629-0.0040256i,-0.0013334+0.0015401i,0.0027492-0.0005323i,0.0043493+0.025676i,-0.0045749-0.0028029i,0.0026751-0.0017562i,-0.0031258-0.00594i,0.0027827-0.0019936i,-0.014346+0.0035544i,0.00093517+0.00048252i,0.0034125-0.002909i,0.0031475-0.0023033i,-0.0009586-0.0046767i,0.00096998+0.0027033i,0.0016431+0.0054667i,-0.00017781+0.0053914i,-0.010613+0.0055579i,-0.016069+0.002112i,-0.031364+0.05679i,0.0010451+0.0057902i,-0.028915-0.01166i,-0.0093048-0.010101i,0.012671+0.017583i,0.0018179+0.024776i,-0.0030418-0.0018625i
0.012202+0.012872i,0.029682+0.039652i,0.03554+0.023628i,0.027931+0.020156i,0.035969+0.016864i,0.024572-0.025672i,0.0113-0.015371i,0.02965-0.0058452i,0.016079+0.0076253i,0.0038279+0.0028387i,0.0052717-0.00015327i,0.005012+0.0028581i,0.0060896-1.1688e-05i,0.0059083+0.0004531i,0.00073552-0.0040334i,0.0050943-0.0038999i,0.0039119-0.0075011i,-0.0012281-0.0012835i,-0.0022821+0.0017209i,0.0005232-0.00041026i,-0.001813-0.00017293i,-0.0016929+0.002395i,-0.0014569+0.0010357i,0.0089489+0.00081121i,0.0020321+0.00041627i,0.0018215-0.0014467i,0.0016145-0.00063078i,0.001856+2.3183e-05i,0.00016778+6.1397e-05i,-0.00027562+0.00089922i,-0.0024111-0.00022158i,-0.001901+0.00042007i,-0.00022397+0.0015422i,-0.00050051+0.00092759i,-0.001163+0.00052677i,-0.0011004+0.0092491i,0.00082317-0.00053256i,0.00040974-0.0011251i,0.00095004+0.0014084i,-0.0022002-0.0023357i,-0.0010325+0.00064114i,-0.0013487+0.00091991i,0.0021687+0.001186i,0.0074012+0.0015411i,0.0013832+0.036037i,-0.056982+0.059683i,-0.039109+0.054854i,-0.015819+0.064376i,0.011766+0.06315i,0.011809+0.04745i,0.010502+0.027729i,-0.0082259-0.0071376i,-0.038081+0.01683i,-0.029863+0.020067i,0.012588+0.017751i,-0.007563+0.0069526i,-0.0074845+0.0081891i,-0.012321+0.004926i,-0.00056378-0.0026225i,0.010054+0.0070118i,0.0071218+0.010924i,-0.017762-0.0051731i,-0.0010958-0.0051556i,-0.0054455-0.00035505i,-0.0032134-0.0040676i,-0.0011654-0.0047226i,0.0052232+0.006748i,0.0039927-0.0070144i,-0.0029978-0.0046285i,0.0010405-0.0017856i,0.0036476-0.0041036i,-0.0042355-0.0028827i,0.00020825+0.00091961i,0.0024181-0.0013526i,0.01496+0.019286i,-0.0058871-0.0011866i,0.0023534-0.0029246i,-0.0032299-0.0038064i,0.0032532-0.0036891i,-0.0098844+0.0087259i,0.0022099+0.00045643i,0.0021406-0.0034766i,0.0019068-0.0027463i,-0.0022357-0.0035203i,0.00033858+0.0020019i,0.003491+0.0035149i,0.0022758+0.0050981i,-0.0086876+0.0078429i,-0.016018+0.0067697i,-0.022745+0.056895i,0.004646+0.0057689i,-0.030488-0.0059601i,-0.012737-0.011516i,0.016486+0.013931i,0.0080718+0.025535i,-0.005056-0.0011363i
0.012612+0.010607i,0.033124+0.033256i,0.038097+0.015727i,0.031535+0.012851i,0.039781+0.0088255i,0.018499-0.029507i,0.0070246-0.017022i,0.027468-0.011543i,0.017083+0.004432i,0.0039649+0.0021511i,0.0044743-0.00090034i,0.0058299+0.0019062i,0.0051998-0.00099986i,0.0053698-0.0011146i,-0.00057008-0.0038105i,0.003527-0.0042074i,0.0010865-0.0072267i,-0.0014232-0.00089112i,-0.0013718+0.002207i,-0.00030031-0.00082512i,-0.0021314+0.00063453i,-0.00099426+0.0028761i,-0.0013577+0.0013874i,0.0075447-0.0026464i,0.0018223-0.00036645i,0.00092436-0.0015436i,0.0010279-0.00090329i,0.0013692-0.00099734i,0.00023877-6.1832e-05i,1.6848e-05+0.0011856i,-0.0022184+0.0010271i,-0.0013744+0.0013877i,0.00049891+0.001301i,-0.00022787+0.00098359i,-0.0006166+0.0011305i,0.0018394+0.0089475i,0.00056004-0.00069721i,-0.00012417-0.0012735i,0.00091608+0.0010689i,-0.0027153-0.001425i,-0.0008548+0.00090809i,-0.0010772+0.0010957i,0.0027297+0.0012285i,0.0078133-0.00018834i,0.0087065+0.032612i,-0.041668+0.067424i,-0.029859+0.060792i,-0.0068365+0.063565i,0.023953+0.05235i,0.021643+0.041507i,0.0093921+0.026335i,-0.014692-0.0051667i,-0.037066+0.023701i,-0.025898+0.017863i,0.015566+0.011492i,-0.0058792+0.0097108i,-0.0042367+0.011433i,-0.010788+0.0078514i,-0.0043279-0.0016479i,0.012143+0.0038078i,0.011463+0.008079i,-0.019531+0.0011498i,-0.0020145-0.0038765i,-0.0036731+0.0011954i,-0.0038691-0.0015088i,-0.0024998-0.0033745i,0.0071891+0.003327i,0.0016848-0.0072276i,-0.0045803-0.00031708i,0.0019869-0.0012277i,0.0013843-0.0058608i,-0.0046637-0.0005692i,0.00098693+0.00079043i,0.0021837-0.0018726i,0.020614+0.0093407i,-0.0059732+0.0017345i,0.0018547-0.0043464i,-0.0033364-0.0023829i,0.0016032-0.0061322i,-0.004307+0.0098327i,0.0032163-0.0007668i,0.00088857-0.0028656i,0.00094824-0.0026595i,-0.0021568-0.0019972i,6.6556e-05+0.002128i,0.0035332+0.0011677i,0.0044514+0.0040563i,-0.0062746+0.0092146i,-0.014088+0.011245i,-0.015132+0.05813i,0.011011+0.0012192i,-0.029346-0.00010231i,-0.018406-0.011399i,0.016961+0.0091954i,0.015057+0.023453i,-0.0051132-0.00053684i
0.01346+0.0087876i,0.036231+0.028057i,0.03924+0.0086864i,0.03282+0.0054324i,0.041098+0.00024827i,0.012555-0.031742i,0.0029882-0.016964i,0.024299-0.016147i,0.017761+0.0010722i,0.0041396+0.0014517i,0.0040095-0.0013226i,0.0064368+0.00060417i,0.0046115-0.0012914i,0.0044964-0.0022806i,-0.0015842-0.0029479i,0.002282-0.0038135i,-0.0005289-0.0062526i,-0.0017718-0.00046992i,-0.00079224+0.0020262i,-0.001004-0.00064093i,-0.001899+0.001312i,0.00014638+0.0030885i,-0.0010577+0.0018767i,0.0052838-0.0048231i,0.0012809-0.00071389i,0.00048102-0.0015062i,0.00063152-0.0010574i,0.00053204-0.0011929i,4.0507e-05-4.6479e-05i,0.00063985+0.0011804i,-0.0013151+0.0018455i,-0.00057585+0.0017924i,0.00086015+0.00086654i,0.00021363+0.0011973i,0.00023137+0.0013341i,0.004298+0.0076141i,0.00017063-0.00063582i,-0.00072295-0.0011088i,0.001357+0.00088247i,-0.0028901-0.00041614i,-0.00050157+0.00087699i,-0.00077763+0.0012093i,0.0033923+0.0007672i,0.0071176-0.0022727i,0.01352+0.027502i,-0.025378+0.070147i,-0.01818+0.06542i,0.0024632+0.063048i,0.03007+0.039194i,0.027837+0.033781i,0.0099442+0.027791i,-0.018518+0.0018327i,-0.033498+0.032737i,-0.024963+0.016033i,0.014483+0.005658i,-0.0025365+0.01171i,0.00093479+0.011775i,-0.0086287+0.010236i,-0.0055041+0.0017067i,0.012392-0.0015913i,0.014373+0.0033341i,-0.019027+0.007581i,-0.0024031-0.0019687i,-0.0025371+0.001643i,-0.0027165+0.00010524i,-0.0037896-0.001301i,0.006914+0.00048001i,-0.00043659-0.0067087i,-0.0029095+0.0031521i,0.0031374-0.0020699i,-0.0012586-0.0059851i,-0.0036347+0.0010687i,0.0019848+0.00012065i,0.0018823-0.0022778i,0.020844-0.00029301i,-0.0039016+0.0039501i,0.0002426-0.0055984i,-0.0025975-0.001947i,-0.00090538-0.0067386i,-0.00045083+0.0086339i,0.0028285-0.0023726i,0.00092973-0.0013891i,0.00092438-0.0022664i,-0.00095191-0.0016547i,0.00089048+0.00245i,0.0021314-0.0001484i,0.0052+0.001679i,-0.0041042+0.0091343i,-0.01029+0.015557i,-0.0065495+0.058234i,0.012861-0.0094368i,-0.025738+0.0020465i,-0.024011-0.008589i,0.017332+0.0050484i,0.020489+0.017195i,-0.0061341-0.001045i
0.014479+0.006604i,0.03945+0.022401i,0.040023+0.0014948i,0.032737-0.0020989i,0.040943-0.0080939i,0.0063297-0.033178i,5.2599e-05-0.016104i,0.020787-0.020024i,0.017853-0.0026961i,0.0039931+0.00069406i,0.0039791-0.0016784i,0.0066866-0.00088845i,0.0048116-0.0017882i,0.0034566-0.0030294i,-0.0020985-0.002092i,0.0016848-0.0031761i,-0.0015269-0.0056063i,-0.0016539-9.3793e-05i,-0.0003402+0.0019701i,-0.0014105-0.00017456i,-0.0013346+0.0017921i,0.0014339+0.0026448i,-0.00039689+0.0022157i,0.0023569-0.005711i,0.001024-0.00086199i,-3.66e-05-0.0014985i,0.00021936-0.0011815i,3.1753e-05-0.0010946i,-7.9194e-05+0.00016259i,0.0010702+0.00076212i,-0.00038074+0.0020353i,0.00025724+0.00183i,0.00097823+0.00052529i,0.00076419+0.00093916i,0.00086478+0.00071877i,0.0057776+0.0056757i,-1.9165e-05-0.00043605i,-0.001036-0.00061257i,0.0013184+0.00033253i,-0.0025727+0.00036386i,-0.00033172+0.0008849i,-0.00042702+0.0010769i,0.0037827+6.242e-05i,0.0060088-0.0037391i,0.016572+0.022452i,-0.010818+0.068662i,-0.0045849+0.065916i,0.012332+0.06093i,0.032089+0.0272i,0.031675+0.025951i,0.013107+0.029831i,-0.017242+0.010888i,-0.025001+0.042289i,-0.025842+0.016724i,0.012384+0.0024021i,0.0013989+0.011677i,0.0047171+0.0098872i,-0.0056698+0.012392i,-0.0046775+0.0040431i,0.0096226-0.007293i,0.014443-0.0028246i,-0.016162+0.012482i,-0.0016257-0.00091636i,-0.0013054+0.0014454i,-0.0016499+0.00044907i,-0.0031562+0.0014186i,0.0055492-0.0012947i,-0.001956-0.0053336i,0.00024838+0.0045342i,0.003068-0.0039631i,-0.0034908-0.0046567i,-0.0026823+0.0017692i,0.0022204-0.0011985i,0.0018219-0.002589i,0.017277-0.0083833i,-0.001598+0.0046626i,-0.0019908-0.0053915i,-0.0028362-0.0017221i,-0.003204-0.0060782i,0.0019298+0.0070425i,0.0023619-0.003539i,0.0025771-0.0015213i,0.0008916-0.0030771i,-0.00040326-0.002385i,0.0015802+0.0025675i,0.00081483+0.00027043i,0.0047073+0.00026433i,-0.002853+0.0087414i,-0.0044103+0.017487i,0.0021759+0.056695i,0.0069524-0.018614i,-0.023943+0.00078021i,-0.029-0.0025091i,0.015882-0.00018629i,0.022006+0.010581i,-0.0072374+5.0384e-05i
0.015384+0.0041748i,0.041696+0.016056i,0.038807-0.0066219i,0.030106-0.0099723i,0.039155-0.017028i,-0.0003039-0.033034i,-0.0020169-0.015194i,0.016695-0.023423i,0.016865-0.006457i,0.003771+0.0006542i,0.0034899-0.0022588i,0.0064612-0.0029736i,0.004591-0.0030018i,0.0022591-0.003475i,-0.0024386-0.0011299i,0.001589-0.0028578i,-0.0028159-0.0049335i,-0.0019264+0.0003002i,0.00033791+0.0017729i,-0.0018453+0.00049163i,-0.00088119+0.0019673i,0.0022735+0.0016413i,0.00023616+0.0022644i,-0.00062736-0.005263i,0.00061819-0.0015312i,-0.00058025-0.0010413i,-0.00031701-0.001159i,-0.00034938-0.00080049i,0.00021243+0.00031956i,0.0011469+0.00025358i,0.00064666+0.00181i,0.00085512+0.0016082i,0.00090138+0.00016561i,0.0010381+0.00056216i,0.00076135-9.4977e-05i,0.0064817+0.0037615i,-0.00018731-0.00024918i,-0.0011463-0.00023046i,0.0012166+2.8338e-05i,-0.0021056+0.00081607i,-0.00013402+0.00090735i,-0.00012836+0.0010119i,0.0039951-0.0010676i,0.0045356-0.0046182i,0.018355+0.017761i,0.0017959+0.065019i,0.0075605+0.062054i,0.02186+0.056949i,0.03069+0.017044i,0.033542+0.019058i,0.01888+0.029964i,-0.0099882+0.016912i,-0.011535+0.04729i,-0.026145+0.020423i,0.01036+0.00063201i,0.0045604+0.0099794i,0.0069393+0.0068597i,-0.0019892+0.013207i,-0.0040912+0.0055118i,0.0030763-0.0097783i,0.01089-0.0077536i,-0.012183+0.015955i,-0.00088174-0.0013616i,-0.00080452+0.00076208i,-0.0012768+0.00030188i,-0.00075722+0.0027504i,0.0041823-0.0014538i,-0.0025604-0.0042929i,0.0029024+0.0037173i,0.0015338-0.005816i,-0.0045786-0.0027426i,-0.0013926+0.0022468i,0.0015042-0.0025007i,0.001326-0.0035964i,0.01128-0.012911i,0.0003259+0.0043232i,-0.0033783-0.0042576i,-0.0026201-0.0013846i,-0.0047589-0.0048797i,0.0034525+0.0053012i,0.0016721-0.005091i,0.0031108-0.0031507i,-0.0001619-0.0036146i,-0.0014481-0.0031073i,0.0028484+0.0025927i,0.00065154+0.001709i,0.0042856-0.00075297i,-0.0018121+0.0088354i,0.00091177+0.016548i,0.010339+0.05483i,-0.0017753-0.023728i,-0.026296-0.00070964i,-0.03031+0.0056267i,0.010718-0.0037522i,0.022528+0.0047991i,-0.0065269+0.00079331i
0.016161+0.0010797i,0.043496+0.010125i,0.035268-0.01347i,0.024794-0.015834i,0.03455-0.025295i,-0.0060269-0.031199i,-0.0035259-0.014298i,0.01194-0.025714i,0.01544-0.0099431i,0.0043851+0.00065241i,0.0031299-0.0024139i,0.0049544-0.0047704i,0.0038897-0.0040353i,0.0012312-0.0034407i,-0.0022376-0.00015205i,0.0014756-0.0026813i,-0.0043701-0.003373i,-0.0018129+0.0011018i,0.00069916+0.0011445i,-0.0016896+0.0016798i,-0.00030732+0.0022753i,0.0023451+0.00039998i,0.00088564+0.0021836i,-0.0027-0.0034182i,-0.00057217-0.001428i,-0.00071056-0.00060012i,-0.00074413-0.0009061i,-0.00059216-0.00047178i,0.00036273-1.4212e-05i,0.0011098-0.00010867i,0.0013827+0.00115i,0.0013494+0.0010909i,0.00084141-5.6424e-05i,0.0011252+0.00015649i,0.00013219-6.602e-05i,0.0065072+0.0018498i,-0.00020003-4.2249e-05i,-0.0012389+0.00026509i,0.0011798-0.00017475i,-0.0014023+0.0011065i,8.7422e-05+0.0010036i,2.4704e-05+0.00084445i,0.0034699-0.0023953i,0.0030253-0.0047292i,0.018978+0.013366i,0.012766+0.059056i,0.016339+0.056522i,0.030598+0.051468i,0.027662+0.0098555i,0.033953+0.012641i,0.024768+0.027476i,-0.0022071+0.017389i,0.0024772+0.046734i,-0.024013+0.025172i,0.0094035-0.00024872i,0.0069251+0.0076131i,0.0074356+0.0040029i,0.0019749+0.012586i,-0.002639+0.0074443i,-0.002773-0.0079043i,0.0066051-0.0095775i,-0.0073992+0.018227i,-0.0014812-0.0022692i,-0.001276+0.0006991i,-0.0012191+0.00048702i,0.0017214+0.0025497i,0.0034969-0.0016805i,-0.0034118-0.0033499i,0.0044869+0.0016435i,-0.0015895-0.0066264i,-0.0044751-0.00081683i,-2.3547e-05+0.0016922i,0.00087731-0.003206i,0.00012851-0.0048375i,0.0050933-0.014191i,0.0018511+0.00347i,-0.0042712-0.0033789i,-0.0033108-0.0013324i,-0.0060991-0.0029342i,0.0037046+0.0037707i,-0.00040079-0.0064871i,0.0027484-0.0048311i,-0.001124-0.0032156i,-0.0022396-0.002796i,0.0035339+0.0020508i,0.0017099+0.0026498i,0.0032707-0.0016405i,-0.00053739+0.0093732i,0.0048261+0.013897i,0.019491+0.051912i,-0.012171-0.025414i,-0.030273+0.00088288i,-0.027642+0.013555i,0.0061086-0.0030367i,0.020474-0.0014442i,-0.0059313-0.00067675i
0.0161-0.0026692i,0.044962+0.0030138i,0.031275-0.018548i,0.019411-0.018758i,0.028436-0.03175i,-0.010526-0.028842i,-0.0045437-0.01391i,0.0072856-0.027144i,0.013349-0.01332i,0.0051546-0.00026593i,0.0031614-0.0028977i,0.003116-0.005463i,0.0027785-0.0051463i,0.00046925-0.0032599i,-0.0017293+0.0004408i,0.0015077-0.0025047i,-0.0046831-0.0012779i,-0.0012787+0.0012772i,0.00060487+0.00052905i,-0.00081315+0.0022725i,0.00038148+0.0022331i,0.001935-0.00047139i,0.0015607+0.0017911i,-0.0035778-0.00089349i,-0.001019-0.00066779i,-0.00070696-0.00033173i,-0.00097502-0.00062226i,-0.00060144-0.00013205i,5.7522e-05-4.138e-06i,0.00086787-0.00052101i,0.0018422+0.00026974i,0.0013902+0.00058384i,0.00081502-0.000282i,0.0012188-0.00015116i,0.00011497+0.00034096i,0.0058709+0.0001905i,-0.00015461+0.00020277i,-0.0010286+0.00077199i,0.0010388-0.00068626i,-0.00071747+0.0012653i,0.00044146+0.00087166i,3.9229e-05+0.00061787i,0.0024006-0.0032995i,0.0016844-0.0044607i,0.018901+0.0094767i,0.020353+0.051069i,0.023318+0.051242i,0.03799+0.043804i,0.024329+0.0045798i,0.033432+0.008251i,0.029885+0.023761i,0.0041398+0.016097i,0.014664+0.041679i,-0.01945+0.029628i,0.0088509-0.001637i,0.0084632+0.0042355i,0.0077444+0.0017195i,0.0055395+0.010421i,0.00019216+0.0079685i,-0.0060374-0.0044331i,0.0023587-0.0098635i,-0.0019582+0.018253i,-0.0029154-0.002127i,-0.0021015+0.0017221i,-0.0010125+0.00074732i,0.0031755+0.0011334i,0.0028517-0.0010314i,-0.0037215-0.0019018i,0.0045557-0.00057468i,-0.0042266-0.0050638i,-0.00348+0.00055143i,0.00028068+0.00059174i,5.9697e-05-0.0040184i,-0.0018064-0.0049694i,2.1662e-05-0.013398i,0.0031626+0.0019282i,-0.0054413-0.0019524i,-0.003794+3.3819e-05i,-0.006083-0.00024467i,0.0042109+0.0031774i,-0.0034646-0.0064734i,0.001634-0.0066351i,-0.0017397-0.0029226i,-0.0029217-0.0027415i,0.0045635+0.0013914i,0.003158+0.0025404i,0.0023139-0.0011069i,0.00095874+0.0093259i,0.0068456+0.010574i,0.028644+0.046221i,-0.023226-0.022274i,-0.033414+0.004711i,-0.02215+0.018406i,0.0044318-0.0017707i,0.015849-0.0054185i,-0.0081894-0.0015343i
0.014748-0.0061578i,0.045042-0.0047845i,0.027193-0.022893i,0.014896-0.020329i,0.021443-0.03666i,-0.014893-0.026289i,-0.0059176-0.014472i,0.0026075-0.028045i,0.010262-0.016183i,0.0054279-0.0015716i,0.0029327-0.0038336i,0.0014436-0.0054861i,0.0010673-0.0058239i,-0.00020746-0.0030584i,-0.0013879+0.00058906i,0.0016434-0.0026607i,-0.0042305+0.00044675i,-0.00099264+0.0012817i,0.00045939+0.00030764i,6.2505e-07+0.0024267i,0.0010034+0.0020378i,0.0014317-0.00088207i,0.001962+0.0010708i,-0.0028239+0.0014407i,-0.00084365-5.7376e-05i,-0.00072895+5.8898e-05i,-0.0011094-0.00027035i,-0.00055222+1.4285e-05i,0.0001006+0.00010516i,0.00036385-0.00072632i,0.0018551-0.00074266i,0.0014586+0.00025491i,0.00066997-0.00052684i,0.0010915-0.00077669i,0.00036087+0.00055907i,0.0051466-0.00083264i,4.5041e-05+0.00025586i,-0.0006149+0.0011996i,0.00043187-0.00078309i,6.555e-05+0.00096202i,0.0006759+0.00074838i,-1.4466e-05+0.00063908i,0.0010249-0.0034331i,0.00088003-0.0036068i,0.018595+0.0066467i,0.024639+0.044425i,0.029892+0.04579i,0.042664+0.036256i,0.020277+0.00041978i,0.034514+0.0047447i,0.034236+0.018692i,0.010341+0.012512i,0.024297+0.03314i,-0.012501+0.032743i,0.0079191-0.0030417i,0.0079823-0.00040099i,0.0078663-0.0010729i,0.0073975+0.0070362i,0.0020905+0.0071328i,-0.0073859+8.7005e-05i,-0.00141-0.0084929i,0.0021493+0.015461i,-0.0040073-0.00083344i,-0.0018527+0.0036232i,-0.00084424+0.0010391i,0.0039032-0.00088763i,0.0036611+0.00039098i,-0.0031663-0.00077837i,0.0041158-0.0015512i,-0.0053703-0.0029252i,-0.0023189+0.00090304i,-1.4434e-05+0.0001859i,-0.001955-0.0046711i,-0.0034971-0.0039102i,-0.0041599-0.01204i,0.0033684-2.4723e-05i,-0.0057387+0.00013014i,-0.0029212+0.0011711i,-0.0051482+0.001565i,0.0053814+0.0026444i,-0.0058658-0.0044639i,-0.0010891-0.0080817i,-0.0026114-0.0023147i,-0.004428-0.0023771i,0.0054894-0.00048814i,0.0046545+0.0021881i,0.0027954-0.0008531i,0.0028735+0.0094822i,0.0071225+0.0073325i,0.036242+0.038271i,-0.030347-0.013511i,-0.036233+0.010775i,-0.016162+0.021185i,0.0026768-4.5538e-05i,0.011733-0.0061046i,-0.0096952-0.00075113i
