-0.0090972-0.038357i,-0.013783-0.043759i,0.00089924-0.046408i,-0.026436-0.02726i,-0.020391+0.014427i,-0.032806-0.030642i,-0.060234-0.059653i,-0.023001-0.071302i,-0.021223-0.083534i,0.0026725+0.015145i,-0.0074747+0.0096788i,-0.014562+0.01283i,0.0012339+0.015907i,-0.0037079-0.0033039i,0.000751+0.0063259i,0.00065155+0.037154i,0.032575+0.054142i,0.001017-0.00065526i,-0.0051396-0.008167i,0.0081961+0.0045153i,0.0017415+0.00059003i,-0.0014792+0.0037294i,5.8024e-05-0.0012281i,-0.031538-0.0077446i,-0.0027048-0.0074106i,0.00018781+0.0039242i,0.0042343+0.0008942i,-0.00016077+0.00065684i,-9.7452e-05-0.00073018i,-0.00012104-0.0026784i,-0.0015545-0.0052761i,-0.0023087-0.0041196i,-0.00035092-0.0077687i,0.0033095-0.00094202i,0.0035102-0.002514i,-0.001339+0.033363i,0.0071063-0.0044998i,0.0033603-0.0022977i,0.0049137-0.00031492i,-0.0063181-0.0036141i,-0.00027822+0.00022537i,0.0052363-5.664e-05i,0.0046231+0.0010196i,-0.0030511+0.004609i,0.0029875+0.0012962i,-0.002792+0.0068795i,0.012692-0.08808i,-0.0073401-0.049676i,-0.025555-0.039612i,-0.020191-0.041868i,0.062328-0.018372i,0.026475-0.060571i,0.037788-0.045756i,0.03024-0.05879i,0.018128-0.015506i,0.0084296+0.010042i,0.022288-0.033413i,-0.0068157-0.0063402i,0.0020854-0.0030204i,-0.0045984-0.0060368i,0.00089833-0.031565i,-0.023985+0.031672i,0.0078985-0.011426i,-0.0092149-0.00086382i,-0.0052438-0.0011102i,-0.0017214-0.013881i,-0.0098975+0.0035201i,0.0039905+0.0079393i,-0.010092+0.030091i,0.0061097+0.0078995i,-0.005684-0.001968i,-0.0019804-0.0019764i,-0.013233-0.0065949i,0.00058215-0.003468i,-0.034299+0.017962i,0.0021267-0.011874i,-0.0099424-0.0012176i,-0.006142-0.0026886i,0.0067004+0.0013548i,-0.010318+0.00042935i,0.0010794+0.00083029i,0.0075923+0.010568i,0.0042067+0.00073934i,-0.010553-0.0088007i,0.0027094+0.0083813i,-0.018089+0.0088292i,0.0060575+0.0027903i,-0.028918-0.0079357i,-0.034319+0.0032856i,0.020777-0.091716i,0.01161-0.010339i,-0.04316-0.027703i,-0.023826-0.0035791i,0.01784+0.012177i,-0.026491+0.013555i,-0.012872-0.0081049i
-0.013427+0.018687i,0.013372+0.045506i,0.02633+0.04264i,1.2565e-05+0.018068i,-0.0023362+0.006221i,0.026252+0.00085586i,0.014216+0.01641i,0.011089+0.04413i,0.0077299+0.021068i,-0.0025062+0.0066279i,0.00098741+0.0014605i,0.0024043-0.0045894i,0.002345-0.0022812i,0.0035851-0.00067226i,0.0028523-0.0022195i,0.0053397-0.00058591i,0.013099-0.0058807i,-0.00058503-0.00053676i,-0.0045209-2.516e-05i,-0.00042771+0.0026579i,-0.00044942-0.0010289i,-0.0053304-0.0017432i,-0.0024374+0.00062984i,0.0043864+0.012492i,0.0031407+0.0015124i,0.0023713+0.00056478i,0.0017931+0.0014819i,-0.001428+0.0034702i,-0.00026378+0.00079304i,-0.00099491+0.0012821i,0.00089459-0.0032397i,-0.00097986-0.0012557i,-0.00098785-0.00079784i,-0.00012436+0.00055472i,-0.00089225-0.0016434i,-0.0070642+0.0084857i,0.0026681-0.00035791i,0.001097+0.0001262i,-0.0012931+0.0015133i,-0.00080221-0.0022152i,-0.0022412+0.00070984i,-0.0017068-0.0034216i,0.0021036+0.0073397i,0.0028086+0.00096332i,-0.028014+0.026665i,-0.053373+0.025951i,-0.028181+0.047564i,-0.017659+0.033842i,-0.0035657+0.050148i,-0.0071085+0.031058i,0.010019+0.012157i,-0.0047155-0.0055863i,-0.036955-0.0051365i,-0.043709+0.017953i,0.011003+0.020474i,-0.0017409+0.0026929i,-0.0052318+0.0022975i,-0.012064-0.0029643i,0.0092768+0.0017167i,0.012119+0.013822i,-0.0029624+0.008314i,-0.0066067-0.011475i,0.0052308-0.0021586i,-0.0044907-0.0041996i,0.0037199-0.0076956i,0.004926-0.0024894i,-0.00068547+0.0096246i,0.012167-0.0056323i,0.0081449-0.0066554i,0.0054276-0.0072151i,0.003299-0.00062281i,-0.0031312-0.0056947i,-0.0038357-0.001658i,0.0029462-0.0011324i,-0.024951+0.023438i,-0.0061436-0.0049867i,0.0013821+0.00066078i,-0.0010526-0.0070772i,0.0031835-0.0010532i,-0.011906-0.0038609i,0.0010526-0.001007i,0.0024611-0.0038465i,0.0022115-0.001493i,-0.00051833-0.0063876i,-0.0010755+0.0053876i,-0.00087116+0.0034509i,-0.0018359+0.0059197i,-0.010074-4.283e-05i,-0.0086871+0.002682i,-0.038302+0.041166i,-0.0073678+0.016602i,-0.017176-0.0027285i,-0.00050077-0.0017134i,0.0094569+0.019792i,-0.00036565+0.019533i,-0.0056799-3.8247e-05i
-0.011251+0.01851i,0.019812+0.041385i,0.032816+0.037849i,0.0043889+0.019978i,0.0012365+0.0065972i,0.02588-0.0046538i,0.015345+0.012847i,0.018502+0.040117i,0.010449+0.018684i,-0.00034655+0.006246i,0.0018844+0.0014826i,3.44e-06-0.0032018i,0.0012017-0.002216i,0.0032442-0.00076524i,0.0022595-0.0027346i,0.0044532-0.00076894i,0.01003-0.008628i,2.5687e-05-0.00019057i,-0.0043126+0.00059595i,0.00076909+0.0017333i,-0.0009509-0.0012903i,-0.0055006-0.00019606i,-0.0022862+0.00075825i,0.012136+0.0099773i,0.0027718+0.0017224i,0.0027392-0.00055516i,0.0019424+0.00052221i,-2.1558e-06+0.0034952i,-0.00047512+0.0012333i,-0.00065682+0.0016503i,-0.0004765-0.0035536i,-0.0017885-0.0010056i,-0.0012116-0.00062557i,0.00026309+0.0003787i,-0.0013721-0.00018605i,-0.0036268+0.0091424i,0.0022586-0.0010913i,0.0013668-4.1073e-05i,-0.0004002+0.0018842i,-0.0010232-0.0015214i,-0.0018237+0.0011699i,-0.01078-0.00081641i,0.0036927+0.0071902i,0.0021769+0.00047069i,-0.021071+0.031367i,-0.045614+0.034453i,-0.022074+0.052231i,-0.010444+0.034898i,0.0094074+0.045711i,0.0017571+0.028934i,0.0059006+0.0054218i,-0.010927-0.0095375i,-0.039986-0.0042259i,-0.034511+0.019358i,0.013478+0.015759i,-0.0025234+0.0032278i,-0.0041431+0.0061819i,-0.012525+0.001917i,0.0079939-0.0018456i,0.014773+0.011304i,0.001233+0.011749i,-0.011388-0.01004i,0.0024691-0.0034667i,-0.0043263-0.0016332i,-0.0007747-0.0071145i,0.0035673-0.0043181i,0.0036787+0.0072153i,0.0070769-0.0083677i,0.0037605-0.0088268i,0.0018622-0.0055807i,0.0039111-0.0017368i,-0.0040903-0.0041422i,-0.0017383+0.00080628i,0.0031737-0.0017069i,-0.0061437+0.04607i,-0.0072951-0.003445i,0.0021463-0.0010402i,-0.0038135-0.0057128i,0.0038243-0.0020393i,-0.01175+0.0010587i,0.001005-0.00057113i,0.001327-0.0028701i,0.0023896-0.0027059i,-0.0019222-0.0056572i,0.00072996+0.0027232i,0.00091808+0.0028811i,0.0010597+0.0058967i,-0.0087963+0.0029117i,-0.0086517+0.0040165i,-0.029821+0.042098i,-0.004159+0.019074i,-0.024324-0.00076758i,-0.0020596-0.0056806i,0.012654+0.018858i,0.0031675+0.020789i,-0.0076101-0.0001857i
-0.0098636+0.018886i,0.025143+0.036005i,0.040468+0.030556i,0.011203+0.017755i,0.0053834+0.0053661i,0.024316-0.010119i,0.015539+0.009095i,0.025642+0.034493i,0.013486+0.017083i,0.00086064+0.0060133i,0.0025086+0.00048374i,-0.00013912-0.001184i,0.00012754-0.0022837i,0.0031241-0.0011361i,0.0015592-0.0029647i,0.0036024-0.00091747i,0.0067057-0.010776i,0.00011469-0.00057893i,-0.0037195+0.0021589i,0.00094821+0.00038979i,-0.0018386-0.0014164i,-0.0049462+0.0014936i,-0.0024197+0.0010617i,0.014744+0.0020124i,0.0036591+0.00093416i,0.0018679-0.0016356i,0.0017383-0.00016239i,0.0014838+0.0028277i,0.00031961+0.0015316i,-0.00019967+0.0018975i,-0.0021561-0.0028052i,-0.002337+0.00016022i,-0.0016724-0.00068663i,0.00014193+2.0053e-05i,-0.0007583+0.00068328i,-0.0012767+0.009327i,0.0014456-0.0015439i,0.001325-0.00082025i,0.00039073+0.0013156i,-0.0013177-0.0011372i,-0.0013875+0.0014577i,-0.0045287+0.0020741i,0.0061245+0.0068158i,0.001994+0.00041712i,-0.012022+0.033131i,-0.03671+0.040836i,-0.013553+0.055803i,-0.002806+0.033335i,0.020699+0.037742i,0.0057056+0.025282i,-0.00045183+0.0024547i,-0.017461-0.0090022i,-0.042903+0.00022406i,-0.027355+0.017383i,0.015844+0.011484i,-0.0025782+0.0041834i,-0.0022323+0.0074296i,-0.011555+0.0060873i,0.0048074-0.0054935i,0.017246+0.0074596i,0.0064798+0.012139i,-0.015905-0.006501i,0.001105-0.0023061i,-0.0037984+0.00029693i,-0.003023-0.0049929i,0.0014551-0.004956i,0.0055969+0.0056589i,0.0044137-0.0083819i,-0.002343-0.0081203i,0.0012695-0.0036586i,0.0034675-0.0039655i,-0.0041182-0.0036832i,-0.0002049+0.00043729i,0.0021327-0.0028838i,0.028212+0.031299i,-0.0081183-0.00050264i,0.0018943-0.0022119i,-0.0038459-0.0038133i,0.0043033-0.0040743i,-0.0095603+0.0053734i,0.0019193-0.00020842i,-4.3718e-05-0.0028871i,0.0011149-0.0030544i,-0.0035787-0.0042452i,-7.4672e-06+0.0018406i,0.0018459+0.0016869i,0.0031653+0.0049195i,-0.0074404+0.0043455i,-0.0082128+0.0062516i,-0.023916+0.041898i,0.0035071+0.019844i,-0.024441+0.0041824i,-0.0045499-0.0086171i,0.017454+0.015566i,0.0085796+0.021795i,-0.0090996+0.001376i
-0.0083954+0.019751i,0.028301+0.030792i,0.044542+0.020935i,0.01591+0.01214i,0.0084912+0.0016967i,0.02127-0.01492i,0.01482+0.0064414i,0.030005+0.027113i,0.016969+0.013658i,0.0021234+0.0059241i,0.0017069-7.9664e-05i,0.00072008-0.0004145i,-0.0012483-0.0011898i,0.002698-0.0014821i,0.00068666-0.0030672i,0.0031599-0.00059802i,0.0024726-0.010808i,0.00027979-0.00052926i,-0.00051527+0.003648i,0.00022649-0.00022852i,-0.0025388-0.00042098i,-0.0041075+0.0031962i,-0.0022736+0.0016655i,0.012287-0.0050589i,0.0035842-0.00056597i,0.0008425-0.0017579i,0.0012979-0.00052038i,0.0020011+0.0016038i,0.00098656+0.00084162i,0.00035709+0.0021368i,-0.0030149-0.0011687i,-0.001758+0.0010016i,-0.00088922+0.002163i,1.9069e-07+0.00010428i,-0.000103+0.0008221i,0.0012404+0.0092908i,0.00079505-0.0017592i,0.00036954-0.0013479i,0.00031991+0.0011141i,-0.0014478-0.00081641i,-0.00088998+0.0016812i,-0.00214+0.0033127i,0.0081608+0.0048846i,0.0022204+0.00030087i,-0.0038371+0.030779i,-0.026322+0.044828i,-0.0043931+0.058084i,0.0020145+0.030709i,0.028858+0.025937i,0.016528+0.022199i,-0.0074888+0.0042728i,-0.024569-0.0052274i,-0.044814+0.006849i,-0.023753+0.013593i,0.017452+0.005595i,-0.0016783+0.0054854i,-6.4294e-06+0.0097838i,-0.0088299+0.0096264i,-0.00053629-0.0054274i,0.019006+0.0011986i,0.011951+0.0098721i,-0.018588-0.0002375i,0.00045244-0.0018867i,-0.0025664+0.0014499i,-0.0040656-0.0019458i,-0.00039587-0.0044943i,0.0072444+0.0025751i,0.0019464-0.008483i,-0.0052564-0.0019514i,0.0017368-0.0030406i,0.0016375-0.0055795i,-0.0063853-0.000269i,0.00070416+0.00053251i,0.0011034-0.0029375i,0.031993+0.012882i,-0.0075757+0.0032326i,0.00131-0.0031293i,-0.0040498-0.0022576i,0.0023309-0.0068048i,-0.0053433+0.0075425i,0.0029142-0.0011972i,-0.0010186-0.0017662i,0.00039836-0.0028104i,-0.0033961-0.0014536i,-0.00040836+0.0020384i,0.0019438+0.00047561i,0.0054341+0.0046215i,-0.0066375+0.0051535i,-0.0070413+0.0084018i,-0.018746+0.043628i,0.013692+0.014654i,-0.021504+0.0081945i,-0.010207-0.010317i,0.019312+0.0099494i,0.014884+0.020128i,-0.0081569+0.002606i
-0.0060822+0.020845i,0.031472+0.026487i,0.046413+0.011815i,0.018144+0.005681i,0.0090152-0.0029913i,0.017586-0.018689i,0.014217+0.0050851i,0.032368+0.020265i,0.019585+0.0092219i,0.0033308+0.0048874i,0.0017356+8.705e-05i,0.0017766-0.00044402i,-0.0013921+0.00071488i,0.0021464-0.0018686i,8.3762e-05-0.0025968i,0.0033794-0.00010181i,-0.0003542-0.0091505i,-6.8854e-05-0.00064341i,-0.0012077+0.0041846i,-0.00047994-0.00014529i,-0.0025895+0.0004562i,-0.0023756+0.0043377i,-0.001636+0.0022012i,0.0074761-0.0093693i,0.0027979-0.0015757i,0.00017011-0.0017723i,0.00092857-0.00083424i,0.0017202+0.00073257i,0.00078213+0.00035336i,0.0014972+0.0020124i,-0.0027254+0.00028214i,-0.0011355+0.0014423i,-0.00068197+0.0013745i,0.00025758+0.00059061i,0.00066958+0.00070067i,0.0039141+0.0080077i,2.792e-05-0.0016558i,-0.00029904-0.00098365i,0.0007538+0.0014402i,-0.0014401-0.00038256i,-0.00064513+0.0014599i,-0.0015458+0.0036675i,0.0094623+0.0012007i,0.0020595-0.00025276i,0.00078979+0.027448i,-0.015652+0.045749i,0.0069932+0.058308i,0.006774+0.028762i,0.031167+0.013212i,0.020322+0.013658i,-0.010588+0.010529i,-0.029152+0.0034379i,-0.046273+0.01718i,-0.0243+0.010378i,0.015026-0.00040783i,-3.297e-05+0.0062929i,0.0045835+0.0092157i,-0.0062659+0.011211i,-0.003187-0.0023052i,0.017354-0.0069743i,0.015691+0.0048162i,-0.01858+0.0056524i,0.00048847-0.00064822i,-0.0015386+0.0019394i,-0.0023947+0.00028199i,-0.0020789-0.002909i,0.0068648+0.00011813i,-0.00088428-0.0080525i,-0.003317+0.0015498i,0.0022345-0.0035849i,-0.0008327-0.0061897i,-0.0046456+0.0024952i,0.00188-0.00010619i,0.00060429-0.002445i,0.031893-0.00083091i,-0.004702+0.0056091i,0.00025203-0.0041019i,-0.0033673-0.0016482i,-0.00052477-0.0072179i,-0.0018465+0.0071024i,0.0021673-0.0026077i,-0.00063488-0.00033239i,0.00026058-0.0024925i,-0.0019067-0.00097333i,0.00086319+0.002002i,0.0010252-0.00049468i,0.0080888+0.0017221i,-0.0058542+0.0055087i,-0.004821+0.01073i,-0.011926+0.04503i,0.017933+0.0019856i,-0.017116+0.0092137i,-0.015928-0.0081972i,0.019665+0.0046316i,0.020445+0.014127i,-0.0083803+0.0024191i
-0.0033234+0.021138i,0.034855+0.021656i,0.047054+0.0031476i,0.01867-0.0009226i,0.0084169-0.0067351i,0.013687-0.021593i,0.01493+0.0039788i,0.033705+0.013401i,0.020988+0.0036067i,0.0036999+0.0038565i,0.0021269+0.00012055i,0.0022138-0.00088002i,4.0769e-05+0.0020616i,0.0016396-0.001939i,-0.00021381-0.0023422i,0.0041062+0.00010365i,-0.0016768-0.0077947i,0.00017779-0.00070974i,-0.0007856+0.0036064i,-0.0007779+0.00029895i,-0.00209+0.0011808i,-0.00019205+0.003996i,-0.00094078+0.0024317i,-0.00021934-0.011089i,0.0022185-0.0020153i,-0.00056043-0.0015872i,0.00052747-0.0010478i,0.0015401+0.00061667i,0.00068308+0.00018125i,0.0021579+0.0010697i,-0.0022023+0.0012439i,-0.00050579+0.0018468i,-0.00031913+0.0016689i,0.00072549+0.00016168i,0.00082278-8.9603e-05i,0.0052548+0.0056674i,-0.00050217-0.0013307i,-0.00053601-0.0006177i,0.0011885+0.00074645i,-0.0012457-0.00031227i,-0.00056887+0.0015798i,0.00041457+0.0023854i,0.0074405-0.0019412i,0.0016796-0.00029358i,0.0042781+0.023981i,-0.0061948+0.043781i,0.018702+0.054412i,0.011421+0.026575i,0.029449+0.0018336i,0.020014+0.0062662i,-0.009022+0.018015i,-0.027958+0.015098i,-0.041276+0.030858i,-0.026901+0.011153i,0.011386-0.0033692i,0.0019993+0.0059624i,0.0074411+0.0067392i,-0.0028738+0.013566i,-0.0035887-6.3691e-06i,0.011419-0.014041i,0.016283-0.0022584i,-0.016799+0.010549i,0.0014291-0.00049418i,-0.00074075+0.0020457i,-0.00083382+0.00032535i,-0.0022481-0.00065714i,0.0054605-0.001444i,-0.0030967-0.0062858i,-0.00098912+0.0029525i,0.0017906-0.0048539i,-0.0030442-0.0050454i,-0.002892+0.0027529i,0.0019718-0.0018374i,0.00085312-0.0021232i,0.027065-0.0151i,-0.0014991+0.0061823i,-0.0016322-0.004018i,-0.0032578-0.0011173i,-0.003139-0.006413i,5.1716e-05+0.0058461i,0.00345-0.0068818i,0.00028971+0.00010866i,4.0561e-05-0.0029659i,-0.00097338-0.001464i,0.010157+0.0047562i,-0.000261-5.3774e-05i,0.006751-0.0013336i,-0.0054568+0.0059245i,-0.0013323+0.011724i,-0.0045798+0.044787i,0.013746-0.0084282i,-0.014427+0.0064653i,-0.020288-0.0034952i,0.017931-0.0016607i,0.021383+0.0073044i,-0.0089096+0.0041637i
-0.00039139+0.021254i,0.037434+0.015715i,0.045818-0.006713i,0.01604-0.0086287i,0.0069567-0.010651i,0.0088873-0.023753i,0.016466+0.0020867i,0.03392+0.0070673i,0.020233-0.0018624i,0.0041867+0.0034007i,0.0023238-0.00047663i,0.0023533-0.0022621i,0.0015021+0.0021053i,0.0011104-0.0019834i,-0.00040869-0.0020444i,0.0050702-0.00060714i,-0.0030758-0.0069359i,-0.00028132-0.0010954i,0.00040226+0.0033186i,-0.0010462+0.00089229i,-0.001684+0.0014283i,0.00093209+0.0026626i,-0.00041063+0.0024186i,-0.008951-0.0066556i,0.0010901-0.0034001i,-0.0011733-0.0010024i,-0.00012838-0.001124i,0.0014866+0.00040869i,0.00087409-3.3544e-05i,0.0021699-1.6907e-06i,-0.0012078+0.0018322i,0.00040246+0.0019397i,0.00032544+0.0020786i,0.0007198-1.2558e-05i,0.00017849-0.00059036i,0.0053294+0.0038124i,-0.0010626-0.00090764i,-0.00074174-0.00029936i,0.0010678+0.00032957i,-0.00090714-0.00036861i,-0.00023795+0.0017728i,0.00025393+0.0023126i,0.003133-0.0029865i,0.001403-0.00027475i,0.0066091+0.02077i,0.0015253+0.040286i,0.027804+0.046889i,0.016523+0.02382i,0.024769-0.0067988i,0.018227+0.001993i,-0.0028412+0.022671i,-0.01952+0.024137i,-0.028798+0.03987i,-0.028601+0.015687i,0.0081685-0.0048519i,0.0033582+0.0047993i,0.0086324+0.0033006i,0.0022212+0.013808i,-0.0039468+0.0018756i,0.0012353-0.016598i,0.01322-0.0079736i,-0.013634+0.015185i,0.0022865-0.0017523i,0.00082595+0.001646i,-0.00078022-0.00023434i,-0.00075279+0.00080679i,0.0044425-0.0014504i,-0.0043217-0.0048862i,0.0012502+0.0031032i,0.00021171-0.0063294i,-0.0043176-0.0035274i,-0.0013693+0.0027481i,0.00087201-0.0032388i,0.00096285-0.0027137i,0.014988-0.022086i,0.001033+0.0055237i,-0.0026443-0.002799i,-0.0027172-0.00094305i,-0.0050894-0.0052307i,0.001161+0.0048032i,0.0012403-0.0066022i,0.0011891-0.00012367i,-0.00076546-0.00288i,-0.0015636-0.0023092i,0.0062516+0.0038143i,-0.00067812+0.0011376i,0.0051866-0.0028316i,-0.0053932+0.0068874i,0.0015232+0.011017i,0.0024579+0.043826i,0.0065085-0.016075i,-0.01614+0.0030618i,-0.021563+0.0028314i,0.012292-0.0057936i,0.021042+0.00088394i,-0.0074161+0.005535i
0.0026455+0.02055i,0.039195+0.010171i,0.041591-0.015642i,0.010036-0.013421i,0.0036552-0.013945i,0.0040616-0.024466i,0.01807-0.00099516i,0.032693+0.0013835i,0.018259-0.0067959i,0.0053138+0.0027181i,0.0020939-0.00063162i,0.0010058-0.0034957i,0.0028266+0.0014864i,0.00076733-0.0018904i,-0.00043505-0.0020278i,0.0055315-0.0015421i,-0.0049778-0.0050006i,-0.00077477-0.00090707i,0.001266+0.002418i,-0.00071653+0.0018597i,-0.0012536+0.0019524i,0.00084861+0.0012701i,0.0001647+0.0024287i,-0.0066633+0.0036748i,-0.00116-0.0031648i,-0.0013731-0.00037326i,-0.00063092-0.0008522i,0.0012753+0.00015643i,0.00052658-0.00056347i,0.0017943-0.00081955i,-0.0001187+0.0018645i,0.0010846+0.0015546i,0.0013151+0.0015761i,0.00093828+0.00070844i,-0.00012624+2.4834e-05i,0.0054145+0.0022237i,-0.0014609-5.9767e-05i,-0.00058733+0.00019252i,0.00093548+0.00023528i,-0.00070007-0.00071262i,0.0003239+0.0019704i,0.00099001+0.0020854i,0.00081575+0.0023885i,0.0012515+5.4674e-05i,0.0084078+0.017687i,0.0073786+0.035653i,0.033474+0.038858i,0.021582+0.019231i,0.019136-0.012298i,0.016205-0.00094359i,0.004103+0.024063i,-0.0095415+0.026784i,-0.014844+0.043296i,-0.027147+0.021853i,0.0059071-0.0047895i,0.0045455+0.0033898i,0.00817+0.00037572i,0.0069956+0.011115i,-0.0031223+0.0042742i,-0.0079744-0.012595i,0.0085683-0.011058i,-0.0083807+0.017823i,0.0016839-0.0031514i,0.0010779+0.00098969i,-0.001111-0.0003481i,0.0011384+0.0009498i,0.0041983-0.0016658i,-0.0051498-0.0034455i,0.0031631+0.0018895i,-0.0028625-0.0065482i,-0.0047205-0.0015329i,0.00017368+0.0019631i,-7.4551e-05-0.0038295i,0.00036285-0.003823i,0.0045226-0.022114i,0.002746+0.0040282i,-0.002881-0.0021091i,-0.0034797-0.00093251i,-0.0062666-0.0029225i,0.0015478+0.0044849i,-0.00084177-0.0074916i,0.0021065-0.0011096i,-0.0011088-0.0021909i,-0.0020195-0.0023272i,0.0067781+0.00208i,-0.00011987+0.0021251i,0.0033385-0.0033681i,-0.0047393+0.0084617i,0.0042042+0.0099744i,0.010436+0.042008i,-0.0044922-0.019764i,-0.019745+0.0029869i,-0.019855+0.0088566i,0.0071197-0.0056603i,0.017647-0.0052162i,-0.0059952+0.0040565i
0.0053428+0.019123i,0.040498+0.0036384i,0.036619-0.022346i,0.0043164-0.014277i,-0.00028462-0.015727i,-2.8035e-05-0.024377i,0.018961-0.0054886i,0.031458-0.0035828i,0.015081-0.010548i,0.0062177+0.0014293i,0.0025286-0.00092812i,-0.00054044-0.0031364i,0.0035628-0.00014709i,0.00055323-0.0019069i,-0.00067701-0.0020462i,0.0057801-0.0025735i,-0.0052851-0.0026354i,-0.00097791-0.0010161i,0.0013737+0.0014127i,0.0002113+0.0020906i,-0.00037968+0.0023136i,0.00034928+0.00049892i,0.00071336+0.002266i,-0.00046641+0.0041082i,-0.0021663-0.001539i,-0.0013145+0.00019741i,-0.00086668-0.0005837i,0.00073633+9.6454e-05i,-2.7717e-05-0.00029316i,0.0011738-0.0014518i,0.00073398+0.0014258i,0.0015218+0.0011678i,0.0014189+0.00081397i,0.00086752+0.00046997i,0.0004789+0.00045888i,0.0049856+0.00049422i,-0.0014709+0.0010441i,-0.00031937+0.00030287i,0.0010292-0.0001523i,-0.00062481-0.0010742i,0.00098146+0.0016599i,0.0011427+0.0013732i,0.0073041+0.0064442i,0.0010762+0.00018153i,0.0092206+0.014673i,0.011007+0.03079i,0.037518+0.031355i,0.024589+0.012714i,0.013585-0.015763i,0.014624-0.0012792i,0.011165+0.02324i,-0.00027483+0.027121i,-0.0016348+0.041615i,-0.022699+0.028087i,0.0045309-0.0051087i,0.0051624+0.0012314i,0.0076947-0.001911i,0.010264+0.0068684i,-0.00090591+0.0049709i,-0.012421-0.0056332i,0.0032241-0.01224i,-0.0033229+0.017747i,-0.00011135-0.0042668i,0.00064193+0.0008275i,-0.0010758-5.2942e-05i,0.0021929-0.0001055i,0.0039112-0.0015383i,-0.0047353-0.0016111i,0.003593+0.00026966i,-0.0052501-0.0045347i,-0.0040449-5.238e-05i,0.00044164+0.00069324i,-0.0011099-0.0042907i,-0.0011203-0.0043298i,-0.0027897-0.019676i,0.0039939+0.0020005i,-0.0036971-0.0014239i,-0.0037828+0.00053969i,-0.0064046-0.00067405i,0.0024853+0.0043625i,-0.0043827-0.0074273i,0.0022578-0.0028194i,-0.0013614-0.0023584i,-0.0025077-0.0028681i,0.0076218+0.00023948i,0.0010133+0.002658i,0.0019276-0.0023611i,-0.0032049+0.00975i,0.0065841+0.0077148i,0.018754+0.037603i,-0.015647-0.017225i,-0.023359+0.0049304i,-0.015606+0.013111i,0.0045694-0.0042504i,0.01261-0.0080272i,-0.0074188+0.0030805i
0.0072405+0.017583i,0.040431-0.0031485i,0.031118-0.027507i,0.00032735-0.013629i,-0.0042984-0.016267i,-0.0042712-0.024151i,0.018301-0.011098i,0.029925-0.0087157i,0.011415-0.013066i,0.0068647-4.6453e-05i,0.002681-0.0019386i,-0.0014351-0.0023312i,0.0029219-0.0017814i,0.00033574-0.0018307i,-0.0012759-0.0021384i,0.0057939-0.0039905i,-0.0049687-0.0009451i,-0.0013094-0.0011804i,0.0014027+0.00086651i,0.00092238+0.0017801i,-0.00028015+0.002228i,-0.00026006+0.00038048i,0.0011008+0.0019338i,0.00056276+0.0017815i,-0.0021441-9.7895e-05i,-0.0010131+0.00076379i,-0.0010626-0.00021001i,-0.00052288+0.00070728i,-8.2129e-05-4.5134e-05i,9.1613e-05-0.0016104i,0.0012622+0.00073059i,0.0019199+0.0007001i,0.0018508+0.00040937i,0.00080121-0.0003003i,0.0011863+9.0137e-05i,0.0043123-0.00073504i,-0.0010982+0.0020126i,-2.2887e-05+0.00043672i,0.00041286-0.00048359i,-0.0006237-0.0015403i,0.0016049+0.001341i,0.0012498+0.0010342i,0.013483-0.0030722i,0.0011711+0.00080711i,0.0095901+0.012237i,0.013097+0.027234i,0.040332+0.023863i,0.024958+0.0073253i,0.0071864-0.017934i,0.016011-0.0008323i,0.017217+0.019949i,0.0097159+0.024223i,0.010191+0.035205i,-0.014941+0.032838i,0.0031881-0.0054615i,0.0044184-0.0015809i,0.0066764-0.0043538i,0.010506+0.0020961i,0.00042224+0.0045203i,-0.012865+0.0019753i,-0.0018222-0.01082i,0.00019612+0.016021i,-0.0032995-0.0030554i,0.00044002+0.0016215i,-0.0010515+0.00035805i,0.0026903-0.0014572i,0.0044513-0.00084546i,-0.0037222-0.00073865i,0.0035853-0.00022031i,-0.0058487-0.002169i,-0.0035231+0.0012938i,3.0182e-05+0.00026316i,-0.0034044-0.0046112i,-0.0025912-0.0036505i,-0.0089287-0.01638i,0.0043001-0.0003885i,-0.0041387-0.00014048i,-0.0025897+0.0016593i,-0.0059137+0.0014253i,0.0040136+0.0037442i,-0.0072381-0.0049494i,0.0010722-0.0045134i,-0.002429-0.0019949i,-0.0043654-0.002452i,0.0074584-0.0028608i,0.0021124+0.0026751i,0.0023499-0.0020482i,-0.00092076+0.011623i,0.0072553+0.0043321i,0.02517+0.030341i,-0.022-0.0088682i,-0.026516+0.0097736i,-0.010569+0.015085i,0.0022779-0.0025123i,0.0086335-0.0081023i,-0.0082619+0.0034014i
