-0.02534-0.0039913i,-0.021647-0.0065464i,-0.012066-0.012696i,-0.035028-0.0069501i,-0.02709+0.0017705i,-0.035846-0.0028897i,-0.066519-0.040107i,-0.032377-0.014982i,-0.022431+0.0030042i,0.0059427+0.0066774i,-0.0046008+0.0075634i,-0.008002+0.017982i,0.0059707+0.0079944i,-0.0011437+0.0033394i,0.0043094+0.0038368i,0.0043267+0.026155i,0.021712+0.020603i,0.0012975-9.8846e-05i,0.0015236-0.0046183i,0.0087237-6.0971e-05i,0.005286-0.00035273i,0.00236+0.0015661i,0.0014902-0.00062793i,-0.024813-0.0019815i,-0.0044207-0.0038054i,-0.00017151+0.0030862i,0.0049854-0.0039717i,-0.0017442-0.00033485i,-0.0002428+0.0011341i,-0.0018889-0.0013824i,-0.0033853-0.0002793i,-0.0069579-0.0085827i,-0.0051304-0.006783i,-0.00055224+0.00044702i,-0.0001592-0.0021554i,0.00010887+0.022112i,0.0026348-0.0037882i,0.00059027-0.0040607i,0.0030448-0.0016885i,-0.0031349-0.0025237i,0.00073974+0.00018528i,0.0079477-0.001504i,0.0026227-0.0017772i,-0.00041244+0.0029866i,-0.014573+0.015876i,-0.026728+0.053797i,-0.0051943-0.037195i,-0.014245-0.018288i,-0.039359-0.016941i,-0.027141-0.012944i,0.037603-0.0111i,0.0067895-0.030206i,0.013056-0.037842i,-0.0082874-0.029961i,0.025797-0.022522i,0.013201+0.0075086i,0.028234-0.03505i,-0.0014399-0.004545i,0.0064531-0.0087909i,-0.00096116-0.0059855i,0.00023715-0.035436i,-0.014355+0.02956i,0.0088993-0.011119i,-0.008167-0.0046062i,-0.0022477-0.0019575i,0.00048153-0.015624i,-0.0078273+0.0058636i,0.0040568+0.0068104i,-0.0023199+0.029522i,0.002754+0.00086956i,-0.0070493-0.0043646i,-0.0037534-0.0061503i,-0.014929-0.0094368i,-0.0020048-0.0058583i,-0.034791+0.0057441i,-0.0045868-0.0084708i,-0.012826-0.00084089i,-0.010511-0.0055634i,0.0016955-0.0013455i,-0.013655+0.0022405i,-0.0017575+2.6403e-07i,0.0052936+0.0063581i,0.0038257-0.0048379i,-0.013963-0.014395i,0.0067602+0.0089459i,-0.016496+0.0054183i,0.0048479+0.00016888i,-0.019809-0.0033222i,-0.016394-0.004255i,-0.015054-0.035878i,0.020844-0.0094934i,-0.038544-0.024571i,-0.010522+0.0043251i,0.017997+0.015928i,-0.023159+0.016913i,-0.0039436-0.0041204i
0.0072649-0.0092083i,0.011918+0.0010446i,0.007634+0.0026306i,0.01414-0.0045057i,0.018468-0.001954i,0.016134-0.01347i,0.016513-0.005169i,0.012909-0.0015716i,0.001731-0.0089515i,-0.0022754+0.003318i,-0.00056266-0.00063498i,-0.0017215-0.0003431i,-0.0014211+0.0040564i,-0.0022392+0.0024201i,0.00031211+0.0022476i,0.0011141-0.00034416i,0.003048-0.0016473i,0.0013495-0.00161i,5.9985e-05-0.0012263i,-0.00029499-0.0003792i,0.0004696-0.0030377i,-0.0013064-0.001706i,-0.00059824-0.00083525i,0.0038271+0.0048151i,-0.0011109+0.00046545i,-0.0013631+0.00092342i,-0.0024748-5.134e-05i,-0.0018361-0.00023738i,-0.0022977-0.0012302i,-0.0019681+4.5716e-05i,0.0016658-0.0017481i,0.0010522+0.00093711i,0.0016442+0.00012872i,0.0018426-0.00039056i,0.0015478-0.0007457i,-0.010226+0.0061901i,-0.0012662-0.00026596i,-0.00071351+0.00043111i,-0.0023053-0.00010449i,0.0021649-0.0028131i,0.00037126-0.0004572i,0.0010031-0.0012596i,-0.0010943+0.0028664i,0.0022626+0.0011343i,0.00084566-0.012322i,-0.024603-0.0085273i,-0.0022434-0.0061534i,-0.0082702+0.0038234i,0.017488+0.020604i,0.00047941+0.0050339i,0.012549-0.01415i,-0.011413-0.027341i,-0.0045085-0.012346i,0.0069875-0.0076742i,0.018438+0.017831i,0.002065+0.0011177i,-0.0010478-0.00056242i,-0.006625-0.00043676i,0.010689-0.0035283i,0.014313+0.0083495i,0.0029639+0.005392i,-0.0048372-0.0067444i,0.0069596-0.0031076i,-0.0037905-0.0071494i,0.0032165-0.011573i,0.0065034-0.0066464i,-0.00025692+0.0072161i,0.010789-0.0079539i,0.0049636-0.0076753i,0.001693-0.0072855i,-0.0024885-0.0020582i,-0.0060793-0.0071056i,-0.0083186-0.0010116i,0.00057298-0.0015209i,-0.0080428+0.028588i,-0.0088136-0.0027048i,0.00094785+0.003117i,-0.0034091-0.0050032i,0.0008896+0.00079587i,-0.016043+0.00057427i,-0.0024382+0.0023277i,-0.0010532-0.0014069i,-0.0035309-0.00018647i,-0.0050571-0.0041836i,-0.001479+0.0060096i,-0.0019526+0.002784i,-0.0045009+0.0061244i,-0.0064657+0.00084892i,-0.0024446-0.0014052i,0.0071892-0.0019727i,-0.0053682+0.018658i,-0.028887-0.0016861i,-0.010867-0.0030095i,0.012249+0.016609i,-0.0018755+0.017147i,-0.0071265-0.0050194i
0.0059826-0.011067i,0.012251-0.0028867i,0.0079377+0.0016519i,0.012516-0.0059102i,0.018181-0.0049437i,0.01364-0.016016i,0.013627-0.0082724i,0.012388-0.0037013i,7.5003e-05-0.0092866i,-0.0011739+0.0034314i,-0.00045146-0.00016913i,-0.0020496+0.0011279i,-0.00021579+0.0043067i,-0.0011434+0.0032057i,0.00082605+0.0022101i,0.00083865+4.9623e-05i,0.0020138-0.0021895i,0.0012285-0.0018322i,-0.00033002-0.0018344i,6.2633e-06-0.00081741i,-0.00035735-0.0030503i,-0.0016447-0.0013381i,-0.00078312-0.0010309i,0.0061746+0.0027676i,-0.0013673+0.0013749i,-0.00077932+0.0014587i,-0.0026051+0.00076249i,-0.0019995+0.00052884i,-0.0031676-1.0456e-05i,-0.0019338+0.0011823i,0.00075454-0.0020595i,0.0010171-0.00027596i,0.0011249-0.00058146i,0.0013755-0.0010603i,0.0010251-0.00082285i,-0.0074773+0.0090208i,-0.0017446+0.00036523i,-0.00069757+0.00099542i,-0.0022859+0.00098406i,0.0012828-0.0030736i,0.0004223-0.00065701i,0.0003994-0.0014036i,-0.00042336+0.0030675i,0.0018965+0.0010062i,-0.00058324-0.011514i,-0.022326-0.0056997i,-0.0040323-0.0034203i,-0.0042513+0.0024862i,0.025735+0.013484i,0.0044945+0.002907i,0.0059925-0.017095i,-0.019543-0.026904i,-0.0088479-0.013371i,0.010249-0.014665i,0.020528+0.01119i,0.00051317+1.7426e-05i,-0.00092487+0.0021783i,-0.00585+0.001743i,0.0075984-0.0070342i,0.015618+0.0037983i,0.0060053+0.0060331i,-0.0087001-0.0051003i,0.0034165-0.0052138i,-0.0050405-0.0048682i,-0.0024156-0.010675i,0.0034563-0.0082264i,0.0031682+0.0052965i,0.0059328-0.010036i,0.00068686-0.0075612i,-0.0022841-0.00442i,-0.0018129-0.0011334i,-0.0077559-0.0049414i,-0.0059555+0.0026454i,0.00080582-0.0015088i,0.0061261+0.027327i,-0.0097952+0.00020684i,0.0017487+0.0014893i,-0.0056433-0.0027225i,0.00127+9.9734e-05i,-0.013942+0.0078294i,-0.0012073+0.0032203i,-0.0014023-8.5913e-05i,-0.0022782+0.00072223i,-0.0061275-0.0017659i,0.00036258+0.0032872i,-0.00066842+0.0023702i,-0.0011573+0.0071929i,-0.0044921+0.0027953i,-0.0037961-0.0014579i,0.008181-0.0078867i,-0.0016802+0.020627i,-0.028644+0.0041023i,-0.011993-0.004446i,0.01439+0.014195i,0.00077201+0.018601i,-0.0094105-0.0041708i
0.0036247-0.012503i,0.010237-0.0073799i,0.0087974-0.00011438i,0.011481-0.0072503i,0.017712-0.0080236i,0.010659-0.018501i,0.0103-0.010911i,0.011652-0.0060172i,-0.0014866-0.0088111i,-0.00061476+0.0034279i,-0.00031332-0.00026126i,-0.0013028+0.0023424i,0.00091821+0.0039308i,5.0658e-08+0.0030791i,0.0013566+0.0020185i,0.000843+0.0003119i,0.000857-0.0023703i,0.00098309-0.0024088i,-0.001158-0.001887i,-0.00041076-0.0015172i,-0.0013691-0.003004i,-0.0016948-0.00085922i,-0.0012579-0.0011325i,0.0066553-0.00041772i,-0.00060706+0.0022759i,-0.00038872+0.0016688i,-0.0024613+0.0020391i,-0.0017568+0.0013198i,-0.0030869+0.0017989i,-0.0013077+0.0021418i,-0.00010788-0.001939i,-1.4507e-05-6.048e-05i,0.00066301-0.00079466i,0.00071724-0.0014049i,0.00079682-0.00078705i,-0.0041981+0.010718i,-0.001744+0.0015641i,-0.00017205+0.001293i,-0.0017845+0.0021582i,0.00036077-0.003294i,0.00045765-0.00098075i,9.2948e-05-0.0014019i,0.00026522+0.00327i,0.0022507+0.0012934i,-0.00098094-0.010583i,-0.020746-0.0023504i,-0.0030002+0.0004313i,-0.0006155-0.00046579i,0.032373+0.0035406i,0.0078598+0.0011625i,-0.00054976-0.017126i,-0.026228-0.023632i,-0.012794-0.011512i,0.0090842-0.023263i,0.019904+0.0043255i,-0.0013645+5.3133e-05i,-0.00087804+0.001941i,-0.0056583+0.0027318i,0.0024176-0.0099996i,0.01545-0.0012683i,0.0086103+0.0046039i,-0.011138-0.0019076i,0.0016416-0.0044256i,-0.0057383-0.00211i,-0.0054537-0.0076633i,0.00069238-0.008035i,0.0050548+0.0043285i,0.0025808-0.0097506i,-0.0025183-0.0054225i,-0.0022938-0.0010142i,-0.0018859-0.0013435i,-0.0096903-0.001695i,-0.0031979+0.0035863i,-0.00027904-0.0021456i,0.016674+0.019854i,-0.0096533+0.0042297i,0.0020821+0.00049722i,-0.0045463-0.00040312i,0.0017043-0.0010975i,-0.0076821+0.01298i,0.00070393+0.0038157i,-0.0015444+0.00029092i,-0.0016305+0.0016689i,-0.0065371+0.0012968i,-0.00020477+0.0030732i,0.00027096+0.0019546i,0.0015061+0.0071678i,-0.0029372+0.0025078i,-0.0053405+0.00012131i,0.0051222-0.01323i,0.0080208+0.019386i,-0.026606+0.0076704i,-0.013749-0.0051662i,0.017168+0.0094865i,0.0054431+0.020001i,-0.010885-0.0025547i
0.0010604-0.012843i,0.0062964-0.0093943i,0.0084957-0.0025054i,0.01037-0.0088942i,0.016357-0.011291i,0.0068961-0.020099i,0.0064323-0.012i,0.01031-0.0081883i,-0.0024942-0.0083506i,-0.00013339+0.0035985i,-0.00058804-0.00022792i,-0.00014656+0.0027749i,0.0014719+0.0033648i,0.00056591+0.0029135i,0.0017063+0.0017123i,0.00081775+0.00056263i,-0.00021154-0.0017898i,0.00046101-0.0028346i,-0.0014811-0.0016107i,-0.0013159-0.0016325i,-0.002222-0.0022956i,-0.001778-0.00044533i,-0.0018395-0.00087172i,0.0054666-0.0030577i,0.00043211+0.0024016i,0.0001654+0.0019896i,-0.0013087+0.003233i,-0.0013146+0.0019279i,-0.001874+0.0030717i,-0.00026517+0.0025548i,-0.00076321-0.0015138i,0.00027552+0.00047169i,0.00028306-0.00091621i,-1.2785e-05-0.0014642i,0.00055256-0.00086808i,-0.00057543+0.011291i,-0.00082041+0.0024857i,0.00019606+0.0012115i,-0.00082341+0.0029014i,-0.00073937-0.0033007i,0.00010945-0.0014306i,-9.7851e-05-0.001505i,0.0011323+0.0033833i,0.0027996+0.0011895i,-0.00080395-0.01085i,-0.017033+0.00066838i,0.00055836+0.0027355i,-0.00058412-0.0052703i,0.035059-0.010286i,0.010312-0.0034973i,-0.0065028-0.014089i,-0.03259-0.017621i,-0.015379-0.0068442i,0.003281-0.030182i,0.017534-0.0011747i,-0.0022969+0.0016554i,-0.00076183+0.0040569i,-0.0051947+0.0044831i,-0.0040013-0.0083834i,0.013672-0.0065849i,0.010729+0.0018546i,-0.011876+0.0026983i,0.00020273-0.004676i,-0.004989+0.00019284i,-0.0066896-0.0037798i,-0.0012706-0.0075578i,0.0062792+0.0012472i,-9.5194e-06-0.0093051i,-0.0037433-0.0019188i,-0.00099723+0.00090635i,-0.002578-0.0010465i,-0.0091965+0.0025417i,-0.00091594+0.0039926i,-0.0014072-0.001865i,0.02174+0.0093309i,-0.0069785+0.0086616i,0.0020525-0.00068212i,-0.00353+0.0014881i,0.00061695-0.0024385i,-0.0008453+0.012946i,0.0027709+0.0028017i,-0.0013904+0.0017331i,-0.00069238+0.0025462i,-0.0042792+0.0043655i,0.00017022+0.0035323i,0.00035749+0.0010782i,0.0047156+0.0066547i,-0.0027783+0.0015106i,-0.0062111+0.0024158i,0.0013276-0.014507i,0.017874+0.00989i,-0.02329+0.011547i,-0.017215-0.0042669i,0.015737+0.0049323i,0.010793+0.019007i,-0.010476-0.0011432i
-0.00096218-0.01262i,0.0035673-0.0092834i,0.0074724-0.0041828i,0.0092434-0.010461i,0.014449-0.01421i,0.0032137-0.020985i,0.0032058-0.011627i,0.0085087-0.0098262i,-0.003332-0.007821i,0.00061164+0.0036884i,-0.00092855+1.8152e-06i,0.00081428+0.0026298i,0.0017948+0.0031154i,0.0010344+0.0027166i,0.0020126+0.0014911i,0.0010967+0.00099732i,-0.00051434-0.0010668i,-0.00040174-0.003165i,-0.0020267-0.001511i,-0.0021586-0.0012004i,-0.0027195-0.0016687i,-0.0017032-3.567e-05i,-0.0022487-0.00026949i,0.0034633-0.0046295i,0.001264+0.0021563i,0.0009992+0.0020239i,9.7311e-05+0.0036218i,-0.00071735+0.0024669i,-0.00042298+0.0036388i,0.00085228+0.0025265i,-0.0010101-0.001024i,0.00052129+0.0004865i,-0.00019927-0.0008966i,-0.00066848-0.00093752i,0.00037726-0.00076412i,0.0028172+0.010909i,0.00029683+0.0028622i,0.00045026+0.0012412i,0.00053026+0.003231i,-0.0015861-0.0028851i,-0.00031338-0.0017034i,-0.00052804-0.0016508i,0.0021001+0.003031i,0.0030655+0.00047879i,-0.0015999-0.011761i,-0.012588+0.0012741i,0.0050938+0.002398i,-0.0028885-0.007286i,0.031009-0.023403i,0.0099239-0.0081785i,-0.009054-0.0091076i,-0.035404-0.0086961i,-0.015454-0.00062687i,-0.0051106-0.032709i,0.013781-0.0045701i,-0.0016306+0.0032155i,0.0016244+0.0048549i,-0.0039824+0.0059014i,-0.0069417-0.0039495i,0.0093983-0.011729i,0.011552-0.0020783i,-0.011075+0.0065725i,-0.0010649-0.0034056i,-0.0035871+0.0014617i,-0.0055817-0.0011732i,-0.004027-0.006216i,0.0056515-0.00098622i,-0.002408-0.0081985i,-0.0027379+0.00073797i,0.00076457+0.001319i,-0.0027775-0.00028714i,-0.0065839+0.0055134i,0.0016303+0.0032102i,-0.0018158-0.00073492i,0.02138-0.00074055i,-0.0019306+0.010376i,0.0012085-0.0014856i,-0.0014743+0.0017431i,-0.00064756-0.0021617i,0.0033666+0.010698i,0.0033791+0.0012936i,-9.4745e-05+0.0036011i,0.0012355+0.0029775i,-0.00067249+0.0050991i,0.0015502+0.0037082i,-0.00057346+0.00089644i,0.0068851+0.0039421i,-0.00366+0.0012482i,-0.0051299+0.0051702i,-0.00074099-0.014201i,0.018792-0.0050122i,-0.017737+0.011645i,-0.020018-0.001626i,0.015425+0.0015318i,0.015254+0.014332i,-0.011197-0.0011298i
-0.0027538-0.012285i,0.0020119-0.0091823i,0.00676-0.0054231i,0.0078306-0.012278i,0.012167-0.01687i,-0.00074979-0.021399i,0.001145-0.010555i,0.006652-0.011033i,-0.0038842-0.0073911i,0.001143+0.0035187i,-0.0010996+0.00058622i,0.0016974+0.002371i,0.0024101+0.0030632i,0.0015535+0.0026244i,0.0024374+0.0010757i,0.0018599+0.001304i,-0.00034188-0.00076458i,-0.0014711-0.0032464i,-0.0027328-0.0010532i,-0.0027001-0.00044405i,-0.0030254-0.00090596i,-0.0014927+0.00022282i,-0.0023848+0.00049489i,0.001001-0.0053795i,0.0021306+0.0016579i,0.0018462+0.0015847i,0.0015265+0.003368i,0.00021246+0.0028938i,0.0010495+0.0035864i,0.0018156+0.0020115i,-0.0011301-0.00061519i,0.00086658+0.00046992i,-0.00054636-0.00038543i,-0.0007718-0.00029203i,0.00029712-0.00081157i,0.0057801+0.0094604i,0.0015646+0.0026974i,0.0009395+0.0012859i,0.0018852+0.0028004i,-0.0021436-0.0023583i,-0.00098177-0.0017602i,-0.0011945-0.0016858i,0.0028083+0.0024212i,0.003224-0.00011711i,-0.0027921-0.012587i,-0.0092629-8.4287e-05i,0.0087181-0.00069855i,-0.0050704-0.0073293i,0.023414-0.033193i,0.007533-0.011583i,-0.0085706-0.0044623i,-0.033679+0.00041783i,-0.010917+0.0062421i,-0.013084-0.03084i,0.010212-0.0060864i,-0.0003566+0.0039403i,0.0034084+0.0037382i,-0.0025672+0.0072156i,-0.0075337-0.00037638i,0.002702-0.014736i,0.0097726-0.0066103i,-0.0091581+0.0095457i,-0.0010951-0.0023645i,-0.0024281+0.0016002i,-0.0045605-0.00026406i,-0.0050595-0.0034826i,0.0040978-0.0021627i,-0.0039108-0.0064941i,-0.00050109+0.0016114i,0.0023027-3.263e-05i,-0.002686+0.00070583i,-0.0038386+0.0066652i,0.0024481+0.0013052i,-0.0012271+0.00024496i,0.01726-0.0085369i,0.0027797+0.0096697i,0.00045193-0.00095089i,-0.00050807+0.0014457i,-0.0015279-0.0010738i,0.0063265+0.0079159i,0.0038762+0.00015049i,0.0026003+0.00345i,0.0025027+0.0017003i,0.0024759+0.0040294i,0.0024435+0.0030056i,-0.00082319+0.0020379i,0.0069753+0.0013288i,-0.004824+0.0017555i,-0.0027695+0.0068193i,-0.0020648-0.014698i,0.011099-0.015508i,-0.015094+0.0072289i,-0.022829+0.0027284i,0.013136-0.0033888i,0.01692+0.0092951i,-0.01234+0.00033466i
-0.004562-0.011483i,0.0001895-0.0091994i,0.0056349-0.0074753i,0.0056431-0.014287i,0.009266-0.019355i,-0.0050474-0.020729i,7.9513e-05-0.0096709i,0.0047546-0.012205i,-0.0044501-0.0070357i,0.0015284+0.0037651i,-0.0011583+0.001088i,0.0021901+0.0014264i,0.0031647+0.0026733i,0.0020627+0.0023466i,0.0027038+0.00054222i,0.0027323+0.00098703i,-0.00049694-0.00066594i,-0.0027634-0.0029162i,-0.0030802-0.00016931i,-0.0030915+0.00056757i,-0.00338-0.00017391i,-0.0012691+0.00021899i,-0.0022558+0.0012917i,-0.0014987-0.0049718i,0.0026749+0.00048119i,0.0023412+0.00088459i,0.0025026+0.0027162i,0.0014196+0.0028279i,0.0025459+0.0029185i,0.0024799+0.0010732i,-0.0011035-0.00024085i,0.0009891+0.00031003i,-0.00052402+0.00019263i,-0.00056391+0.00023064i,0.00012068-0.00099663i,0.0080617+0.0071087i,0.0025522+0.0018933i,0.0014304+0.00093815i,0.0030148+0.0018314i,-0.0025561-0.0017937i,-0.0017492-0.0014493i,-0.0016534-0.0012862i,0.0034814+0.0015902i,0.0031047-0.00079193i,-0.0046135-0.013196i,-0.0072434-0.0021261i,0.010336-0.0048479i,-0.0056421-0.005911i,0.013501-0.039556i,0.0044697-0.01338i,-0.006673-0.0021585i,-0.028615+0.0065533i,-0.0029623+0.0089562i,-0.019182-0.025963i,0.0070273-0.0063662i,0.00088684+0.0037901i,0.0035931+0.0018484i,-0.0003543+0.0077018i,-0.0073579+0.002889i,-0.0053768-0.013437i,0.0060322-0.0090463i,-0.0062694+0.011801i,-0.00074136-0.0025441i,-0.0018763+0.0014874i,-0.0043152+0.0002006i,-0.004672-0.0012972i,0.0028929-0.0022786i,-0.0048818-0.0052674i,0.00075322+0.00082349i,0.002386-0.0023621i,-0.0023557+0.0016994i,-0.00065241+0.0070687i,0.0019957-0.00010278i,-0.0005313+0.00013654i,0.011159-0.012933i,0.0064499+0.0073015i,0.00079983-0.00072096i,0.0003942+0.00053879i,-0.00091235-0.00033106i,0.0076969+0.0047652i,0.0044728-0.0020848i,0.0044367+0.0019254i,0.0028353+0.00058956i,0.0038612+0.0016039i,0.0039248+0.0024328i,2.6242e-05+0.0033637i,0.0068574-0.0007285i,-0.0056228+0.0035643i,-0.00038284+0.006877i,-0.0034101-0.014847i,0.0010407-0.021752i,-0.018091+0.00354i,-0.022566+0.0085836i,0.0067594-0.0061751i,0.017798+0.0047109i,-0.012093+0.0016877i
-0.0056224-0.010349i,-0.00081915-0.0083132i,0.0034952-0.008684i,0.0025001-0.015648i,0.0056746-0.021172i,-0.0087417-0.018828i,-0.00033172-0.0090864i,0.0026525-0.012943i,-0.0049894-0.0069559i,0.0026355+0.0040317i,-0.00096627+0.0019388i,0.0021665+0.00086563i,0.0038789+0.0019948i,0.0026469+0.0019901i,0.0028249-0.00011045i,0.0032396+0.00045161i,-0.0008006-0.00029716i,-0.0039189-0.0018154i,-0.0029449+0.00068908i,-0.0028512+0.0018723i,-0.0034427+0.00092199i,-0.0015728+0.00011529i,-0.0017988+0.002046i,-0.003541-0.0033952i,0.0023407-0.0007202i,0.002507-1.4722e-05i,0.0034527+0.0016662i,0.0025118+0.0022247i,0.0034717+0.0015376i,0.0026309+6.0106e-05i,-0.0009936+4.283e-05i,0.0011197-0.00018156i,-7.9411e-05+0.00060263i,-0.00011728+0.00047763i,-0.00032896-0.00082774i,0.0093546+0.0041287i,0.0031216+0.00074085i,0.0017525+0.0004693i,0.0035675+0.0003906i,-0.0029025-0.0010244i,-0.0022752-0.00072749i,-0.0019591-0.00086125i,0.0036896+0.00042346i,0.0028018-0.0014139i,-0.0067872-0.01332i,-0.0063588-0.0050748i,0.0099376-0.0089455i,-0.0048773-0.005414i,0.0029959-0.041471i,0.0011674-0.013593i,-0.005109-0.00088867i,-0.023627+0.0091595i,0.0052903+0.0072209i,-0.021905-0.019546i,0.0053469-0.0059752i,0.0020626+0.0029865i,0.0033379+0.000867i,0.0023141+0.0072594i,-0.0057081+0.0062526i,-0.011-0.0078531i,0.0021898-0.0095315i,-0.0030875+0.012931i,-0.0017236-0.0032647i,-0.0016298+0.0016248i,-0.0043216+0.001224i,-0.0036644+0.00024914i,0.001937-0.0021779i,-0.0059512-0.0036827i,0.0011309-0.00022827i,-0.00010178-0.0039483i,-0.0012422+0.0024652i,0.0023676+0.0056036i,0.0021025-0.00090213i,-0.00032457-0.00011021i,0.0046666-0.014234i,0.0084924+0.0037721i,0.00091599-0.0013214i,1.324e-05-0.00037048i,-8.0665e-05-7.1913e-05i,0.0075298+0.0019878i,0.0031161-0.004837i,0.005638-0.00015842i,0.0033011-0.00040853i,0.0042953-0.00083168i,0.0046532+0.00093032i,0.0015452+0.0035434i,0.0055552-0.0026283i,-0.0050958+0.0058501i,0.0017268+0.0053851i,-0.0039318-0.014528i,-0.011622-0.02297i,-0.022007+0.0040862i,-0.019134+0.01381i,0.0018102-0.0037304i,0.016407-0.00070326i,-0.011526+0.0018946i
-0.0063174-0.0098076i,-0.0010833-0.008398i,0.0016854-0.0087844i,-0.00082059-0.015737i,0.0018477-0.02225i,-0.011457-0.016564i,-0.00015932-0.0095155i,0.0004212-0.01341i,-0.0057711-0.0067871i,0.0039906+0.0034951i,-0.0001141+0.0026931i,0.0021848+0.00062218i,0.0044388+0.00090584i,0.0031917+0.0013425i,0.0027651-0.00084576i,0.003701+3.4423e-05i,-0.0007464+9.8926e-05i,-0.0043037-0.00041451i,-0.0027703+0.0013533i,-0.0020025+0.0027683i,-0.0030981+0.0018641i,-0.0019293+0.0005655i,-0.0010458+0.0026084i,-0.0047084-0.00096639i,0.0017414-0.0013291i,0.0023506-0.00085638i,0.0038414+0.0001582i,0.0033272+0.0011576i,0.0035224+0.00022506i,0.0024644-0.00089875i,-0.00074614+0.00033525i,0.00060138-0.00049066i,0.00051616+0.00053315i,0.00033324+0.0004698i,-0.00051483-0.00043119i,0.0091995+0.0010837i,0.0030875-0.00052443i,0.0019981-0.00014429i,0.0033836-0.0011176i,-0.0027641-3.7067e-05i,-0.0022916+0.00015692i,-0.0022738-0.00039018i,0.0033519-0.00072072i,0.0022954-0.0018752i,-0.009165-0.012877i,-0.0082437-0.0079684i,0.0078907-0.012148i,-0.0046866-0.0059342i,-0.0056019-0.040324i,-0.00099603-0.011679i,-0.0032347+5.3741e-05i,-0.019461+0.011019i,0.010673+0.002396i,-0.021211-0.013738i,0.004031-0.0065301i,0.0026542+0.0013461i,0.0036201-5.3531e-05i,0.0047628+0.0053799i,-0.0025047+0.0075312i,-0.012598-0.0014741i,-0.0012452-0.0087752i,0.00040379+0.012602i,-0.0034764-0.0027174i,-0.0017781+0.0022062i,-0.0038368+0.0024487i,-0.0027524+0.0012308i,0.0013764-0.0012545i,-0.006364-0.0014884i,0.0007462-0.00081814i,-0.002308-0.0029435i,0.00010518+0.0025633i,0.0036192+0.0031819i,0.0021216-0.0019746i,-8.7901e-05+4.6481e-05i,-0.00082784-0.013032i,0.008971-0.00028304i,0.00033382-0.0017689i,-0.00041199-0.00012289i,0.00065052-0.00033711i,0.0071732+0.00010057i,0.00021009-0.0061834i,0.0056961-0.0029897i,0.0031038-0.0022571i,0.0034669-0.0033958i,0.0048732-0.00046016i,0.0027025+0.0029897i,0.0034923-0.0032887i,-0.0033819+0.0074434i,0.0024525+0.00358i,-0.0037665-0.015053i,-0.022928-0.017392i,-0.025087+0.0069315i,-0.013924+0.01536i,0.00087988-0.0013215i,0.012889-0.0044117i,-0.012882+0.0023504i
-0.0076259-0.009298i,-0.0018494-0.0092417i,0.00051888-0.0086918i,-0.0037721-0.014954i,-0.0022441-0.022677i,-0.013887-0.014103i,-0.00063365-0.011293i,-0.0018516-0.01351i,-0.0067668-0.0064226i,0.0049407+0.0024811i,0.0011622+0.0028228i,0.0023085+0.00043578i,0.0045272-0.00041497i,0.0035915+0.00056192i,0.002441-0.0016073i,0.0040611-0.00065953i,-0.00059438+0.00043525i,-0.0042418+0.00091934i,-0.0023469+0.0021771i,-0.00094241+0.0032528i,-0.0025147+0.0027912i,-0.0018894+0.0013087i,-0.00027445+0.0027771i,-0.0044797+0.0016639i,0.0011873-0.0017184i,0.0019292-0.0015306i,0.0035631-0.0013282i,0.0035409-0.00029224i,0.0032765-0.00097759i,0.0019333-0.0017971i,-0.00036276+0.00043745i,0.00039133-0.00020007i,0.00087696+0.00017856i,0.00071475+5.0803e-05i,-0.00035789-0.00014694i,0.0082533-0.0013704i,0.0026731-0.0015666i,0.0019962-0.00095953i,0.0025086-0.0023878i,-0.0021891+0.00080627i,-0.0020517+0.00095784i,-0.002435+0.00029342i,0.0026362-0.0014867i,0.0017249-0.0019273i,-0.01151-0.011911i,-0.011783-0.0079929i,0.0053426-0.013806i,-0.0051302-0.0053695i,-0.013272-0.038941i,-0.00092173-0.0096481i,-0.001148-0.00017096i,-0.014616+0.011865i,0.014155-0.0043014i,-0.018486-0.010201i,0.0023496-0.0069814i,0.0017745-0.00094792i,0.0036011-0.0016772i,0.0052466+0.0025815i,-0.00035642+0.0070965i,-0.011604+0.0044325i,-0.0042112-0.0068903i,0.0031089+0.010446i,-0.0049211-0.0011134i,-0.0014616+0.0033304i,-0.0029258+0.0035087i,-0.0011652+0.0015987i,0.002133+0.00027956i,-0.0054467+0.00022184i,0.0006185-0.00065405i,-0.0031127-0.001538i,0.001218+0.0020582i,0.003722+0.0013283i,0.00057949-0.0033765i,0.00022982+6.1019e-07i,-0.0051757-0.01078i,0.0077962-0.0038121i,-0.00020447-0.0017856i,-2.9463e-05-9.0319e-05i,0.00076727-0.0012877i,0.0068549-0.0019612i,-0.002457-0.005515i,0.0042108-0.0057951i,0.0015997-0.0032727i,0.0010745-0.0046825i,0.0048382-0.0022406i,0.0037585+0.0022257i,0.0023066-0.0031457i,-0.00074147+0.0081476i,0.001822+0.0018368i,-0.004349-0.017037i,-0.027874-0.007339i,-0.027437+0.011585i,-0.0097653+0.015401i,8.9626e-05+0.00044491i,0.0093513-0.0054911i,-0.013668+0.0041631i
