-0.029347-0.042677i,-0.022327-0.020808i,-0.013558-0.037129i,-0.02999-0.021153i,-0.022979-0.001054i,-0.01436-0.0059274i,-0.055463-0.059423i,-0.048667-0.017937i,-0.039135-0.015038i,0.011197+0.012793i,-0.0080178+0.005508i,-0.019657+0.019431i,0.0025099+0.012078i,-0.0056435-0.0031131i,0.00043146+0.0011858i,-0.0014447+0.030748i,0.027519+0.027862i,0.0027827-0.0021189i,-0.0021043-0.0069425i,0.0079158+0.0025116i,0.0027137+0.001401i,6.0313e-05+0.0039313i,-0.00040063+0.0001651i,-0.037309-0.011045i,0.000283-0.0079456i,0.0015866+0.0022213i,0.0062358+0.0015698i,0.0021845+0.0006124i,0.0013213-0.00062396i,-0.00029901-0.0027395i,0.0017253-0.0025874i,-0.0028872-0.00611i,-0.0006538-0.0046416i,0.0030448-0.0010369i,0.0048955-0.0030215i,0.0027025+0.031099i,0.0041153-0.0038804i,0.0030422-0.0016472i,0.0087952-0.0013677i,-0.0048528-0.0023162i,-0.00031388+0.00096364i,0.0095748+5.0947e-05i,0.0045591-0.0023363i,-0.0019479+0.0093805i,-0.017706-0.0074967i,-0.017954+0.01384i,-0.0040804-0.062716i,-0.005322-0.0274i,-0.026027-0.033467i,-0.011203-0.027128i,0.053326-0.022266i,0.016554-0.04377i,0.02214-0.049961i,0.0057622-0.056464i,0.02623-0.020512i,0.0085364+0.0060776i,0.024668-0.034143i,-0.0080693-0.0063224i,0.0029989-0.0045624i,-0.0048525-0.0067717i,-0.002804-0.033259i,-0.018474+0.029282i,0.0085735-0.012136i,-0.0091472-0.0039326i,-0.0042963-0.0016713i,0.00038142-0.012945i,-0.010943+0.0042782i,0.0029734+0.010144i,-0.0045575+0.026779i,0.0050074+0.0020553i,-0.005418-0.0016227i,-0.002-0.0022121i,-0.012816-0.0073478i,-0.00081967-0.0042984i,-0.036212+0.0010396i,0.0010188-0.010762i,-0.0084583+1.5225e-05i,-0.0068576-0.0019958i,0.0050184+0.0010308i,-0.0084119-0.00062226i,0.0021712-0.00044955i,0.0038872+0.0072434i,0.0040071+0.00028332i,-0.0081374-0.013323i,0.0031232+0.0092991i,-0.015342+0.0048956i,0.0070346-0.0005058i,-0.022491+0.00068219i,-0.017298+0.0062404i,-0.0092984-0.066825i,0.0074598-0.012033i,-0.049778-0.022771i,-0.020971+0.00064572i,0.017359+0.012116i,-0.022691+0.014691i,-0.020214-0.0051175i
0.029227+0.037127i,0.014546+0.0169i,0.017926+0.025954i,0.0071117+0.020326i,0.0093167+0.0075584i,0.0052352-0.00091953i,0.016898+0.013222i,0.017116-0.0022472i,0.0082745-0.0074883i,0.0013487+0.0036171i,0.0022865-0.0026799i,0.00073523-0.0051443i,-0.0019313+0.00074977i,0.0013311-0.0014436i,0.0020608-0.00059767i,0.0049315-0.0030506i,0.0053843-0.0069812i,1.0685e-05+0.00070207i,-0.0039351+0.00089877i,5.3313e-05+0.00058657i,-0.0010901-0.0012786i,-0.0025594-0.00099857i,-0.001614+0.00081875i,0.0063259+0.0096218i,-0.0012075+0.0020166i,0.00082428+0.0018875i,0.0013253+0.00068942i,-0.0019618+0.0026925i,-0.0010408+0.00014955i,-0.0011788+0.00056234i,-0.0012112-0.0011229i,-0.0018024-0.00076866i,-2.6471e-05+0.00030095i,0.00059978+0.00070872i,-0.00019318-0.00087161i,-0.0092258+0.010306i,0.001527+0.00014417i,0.000782+0.000707i,0.00078075+0.0026035i,0.0010168-0.0012881i,-0.00012458-0.00035566i,-0.0010903-0.0004548i,0.0001459+0.0014923i,0.00025349+0.0013697i,0.018872+0.016617i,-0.02327+0.015367i,-0.012019+0.018972i,-0.022532+0.01204i,-0.0043061+0.038329i,-0.020394+0.018789i,0.0020847-0.0027756i,-0.011223-0.016622i,-0.019591+0.00040462i,-0.0068144+0.016138i,0.017514+0.021016i,-0.00039815+0.0023388i,-0.0039044+0.00098115i,-0.012377-0.0043932i,0.011204+0.0012353i,0.011196+0.0099139i,-0.0012755+0.0060699i,-0.0051938-0.0077132i,0.0058451-0.0024854i,-0.0031846-0.0039883i,0.0035198-0.0085234i,0.0087665-0.0028261i,-0.0015133+0.010433i,0.012449-0.0062274i,0.0035838-0.0080646i,0.0027479-0.008219i,0.0023659+0.00069259i,-0.0023928-0.0056673i,-0.0036883-0.0012742i,0.0024356-4.9518e-05i,-0.0092979+0.036527i,-0.0070485-0.0053697i,0.00010763+0.0012252i,-0.0011797-0.0070711i,0.003414-0.00023316i,-0.018457-0.0068804i,-0.0024703-0.0036161i,0.0030128-0.0022288i,0.0032565-0.0014753i,-0.0033676-0.0077949i,-0.00022034+0.0073692i,0.00029493+0.0034137i,-0.0031821+0.0044979i,-0.00764+0.0014527i,-0.007239-0.00028481i,-0.0074391+0.024486i,-0.0019658+0.013789i,-0.026242-0.01047i,-0.0014052-0.0031348i,0.014364+0.017815i,-0.00034849+0.018425i,-0.00032548-0.0052889i
0.034622+0.030309i,0.017468+0.013049i,0.022305+0.022881i,0.010573+0.019782i,0.011346+0.0061829i,0.0053875-0.0024326i,0.017078+0.009361i,0.016355-0.0051868i,0.0064376-0.0091158i,0.0022647+0.002858i,0.0021182-0.0028404i,-0.0011863-0.0035635i,-0.0014098+0.0014623i,0.00099353-0.00050744i,0.0019093-0.00095232i,0.0036224-0.0031562i,0.0029973-0.0073065i,0.00051867+0.00074356i,-0.0034571+0.0013197i,0.00033419-9.9028e-07i,-0.0011683-0.0013487i,-0.0025664-0.00048565i,-0.0013141+0.00097814i,0.011203+0.0059778i,-0.00089362+0.0030867i,0.0017567+0.001305i,0.0011071-0.000209i,-0.00078203+0.0029989i,-0.0014977+0.00067794i,-0.00096167+0.0011677i,-0.0016572-0.00042609i,-0.0022312-0.00063822i,-0.00016417+0.00013705i,0.00074331+0.00045995i,-0.00087434+5.5393e-05i,-0.0053103+0.012198i,0.0011877-0.00046335i,0.00096787+0.00053655i,0.0015084+0.001898i,0.0004866-0.0013007i,-0.00014769-0.00061814i,-0.0013983+1.2534e-05i,0.00020155+0.0016627i,-4.1764e-05+0.0017156i,0.022723+0.013572i,-0.018258+0.018523i,-0.010646+0.021724i,-0.017537+0.013925i,0.0074534+0.034665i,-0.012786+0.018947i,-0.00444-0.0057746i,-0.019021-0.017434i,-0.022556+0.0013261i,-0.00018547+0.011156i,0.021507+0.013936i,-0.0008711+0.002274i,-0.0026603+0.0047017i,-0.012431-3.7969e-05i,0.0096727-0.0029599i,0.013198+0.0071121i,0.0023858+0.0088554i,-0.0093786-0.0061944i,0.0020457-0.0041499i,-0.0033286-0.0020414i,-0.0016148-0.0078471i,0.0068953-0.0056034i,0.003121+0.0084215i,0.0075167-0.0090853i,-0.0013168-0.0077296i,-0.00099673-0.0053931i,0.0037855-0.00017241i,-0.0038211-0.0048925i,-0.0020441+0.00095835i,0.003157-0.00035336i,0.0097496+0.034813i,-0.0089014-0.0032647i,0.00097771+0.00054561i,-0.0040519-0.0055453i,0.0039727-0.0016075i,-0.01905+0.0017552i,-0.0029225-0.0022759i,0.0017152-0.0024218i,0.0032217-0.0030606i,-0.0053498-0.0059048i,0.0022343+0.0039292i,0.0015864+0.0026565i,-0.00040382+0.0058693i,-0.0059092+0.0041245i,-0.0076214+0.0010429i,-0.0022729+0.02139i,0.0003652+0.015187i,-0.028325-0.0044066i,-0.0031541-0.0065279i,0.01682+0.015031i,0.0030889+0.019588i,-0.0030551-0.0056588i
0.038141+0.022759i,0.01867+0.0080712i,0.02713+0.017366i,0.015435+0.017031i,0.013616+0.0041018i,0.0050498-0.0042209i,0.016575+0.0055423i,0.015097-0.0084307i,0.0045861-0.0097938i,0.0024472+0.00211i,0.0014843-0.003735i,-0.0013994-0.001758i,-0.00080538+0.0015751i,0.0016926-0.00040762i,0.0016652-0.0013081i,0.0026067-0.0031549i,0.00094183-0.0073058i,0.00070321+0.00032875i,-0.0029175+0.0022219i,1.1865e-05-0.0007319i,-0.0019724-0.0016261i,-0.0023584-4.4486e-05i,-0.001082+0.0010981i,0.012237-0.00012238i,0.00050615+0.0035955i,0.0019275+0.00025314i,0.00047345-0.00059904i,0.00039293+0.0026988i,-0.0012277+0.0015255i,-0.00051429+0.0016073i,-0.0017298+0.00054265i,-0.003187+0.00079799i,-0.00020762+0.00018244i,0.00080876+0.00014357i,-0.00065691+0.00095435i,-0.0012755+0.01267i,0.00081916-0.00055365i,0.0011489+4.2118e-05i,0.0015918+0.0012791i,-0.00012118-0.0013075i,-0.00045605-0.00089083i,-0.0014862+0.00037465i,0.00045977+0.0020763i,0.00034331+0.0021785i,0.026855+0.0089917i,-0.013295+0.020507i,-0.0072445+0.024853i,-0.011739+0.013328i,0.017914+0.027269i,-0.0060721+0.018989i,-0.011179-0.0047058i,-0.025737-0.014692i,-0.024185+0.0053154i,0.0028973+0.0039443i,0.021944+0.0059319i,-0.0012325+0.0023308i,-0.001108+0.0047604i,-0.012362+0.0029553i,0.0058606-0.007183i,0.014285+0.0030294i,0.006548+0.0085584i,-0.012215-0.0029896i,0.00012831-0.0028246i,-0.0032536-0.00030948i,-0.0040811-0.005022i,0.004569-0.006816i,0.0059522+0.007325i,0.0043657-0.0090451i,-0.0049709-0.0046096i,-0.0011552-0.002574i,0.0041192-0.0025189i,-0.0061097-0.0031509i,-5.5948e-05+0.00094032i,0.0026175-0.0017681i,0.023526+0.024357i,-0.0099308+0.00039859i,0.0015392-9.5776e-05i,-0.0036405-0.0038301i,0.0040615-0.0037967i,-0.014471+0.0094712i,-0.0027879-0.00096875i,0.00068578-0.0025366i,0.0016859-0.0038115i,-0.0068784-0.0030362i,0.0015945+0.0026951i,0.002224+0.0015522i,0.0023681+0.005574i,-0.0037751+0.0048373i,-0.007718+0.0030755i,-0.00015538+0.017768i,0.0072347+0.014559i,-0.028042+5.7832e-05i,-0.0057833-0.0088494i,0.019466+0.0098091i,0.0080102+0.019965i,-0.0053418-0.0047831i
0.039582+0.015507i,0.017863+0.0042714i,0.029046+0.010288i,0.018626+0.011786i,0.015132+0.00083143i,0.0037836-0.0057317i,0.015329+0.0029122i,0.012812-0.011237i,0.0030715-0.010514i,0.0023706+0.0017981i,7.9065e-05-0.0036248i,-0.00078965-0.00090787i,-0.00064894+0.0016975i,0.0017154-0.00044868i,0.0011886-0.0015547i,0.00162-0.0027214i,-0.00089796-0.0063022i,0.00081176+0.00012005i,-0.0014849+0.0028634i,-0.00072145-0.00086054i,-0.0025376-0.0006225i,-0.0023148+0.00050248i,-0.00084467+0.0012641i,0.0099206-0.0048596i,0.0017559+0.0032999i,0.0015263-0.00036986i,-2.1529e-06-0.00041339i,0.00096113+0.0020457i,-0.0005213+0.0016755i,0.00012835+0.0017442i,-0.0013476+0.0014412i,-0.0023765+0.0024245i,-0.00018339+0.00017687i,0.00060049-0.00015244i,-0.00017938+0.0013069i,0.0025261+0.011832i,0.00068929-0.00062432i,0.00084306-0.00045698i,0.0015343+0.0010978i,-0.00079908-0.0010441i,-0.0010325-0.00082492i,-0.001496+0.00062216i,0.0010578+0.0024461i,0.00095285+0.0023523i,0.029575+0.0021436i,-0.0076912+0.021647i,-0.0021475+0.027052i,-0.0094727+0.010411i,0.025482+0.015567i,0.00053575+0.015039i,-0.016934+2.315e-05i,-0.032239-0.0086511i,-0.024022+0.010673i,0.0015343-0.0028428i,0.020047-0.0012162i,-0.0013695+0.0031952i,-0.00010327+0.0064413i,-0.011605+0.0069416i,-0.00012597-0.007088i,0.014186-0.0017813i,0.010229+0.006218i,-0.013522+0.0016231i,-0.00080504-0.0021001i,-0.0023685+0.00099557i,-0.0048324-0.0016234i,0.002448-0.0075828i,0.008645+0.0036488i,0.0019124-0.0090564i,-0.005546+0.0002439i,-6.5963e-05-0.0012472i,0.0026011-0.0045634i,-0.0065526+0.00016733i,0.00097017+0.00048801i,0.0017459-0.0025218i,0.02978+0.0097588i,-0.0084621+0.004788i,0.0017796-0.0012146i,-0.0039413-0.0024586i,0.0023364-0.0060892i,-0.00801+0.011917i,-0.0021295-0.00010525i,-3.7646e-05-0.0018683i,0.00040237-0.0037354i,-0.0061785+0.00025974i,0.0015467+0.0023614i,0.0019647+0.00040078i,0.0049549+0.0042879i,-0.001844+0.0042657i,-0.0074361+0.0049541i,0.00098022+0.016489i,0.014821+0.0078005i,-0.025944+0.0048359i,-0.010778-0.0097394i,0.018431+0.0044329i,0.013283+0.017905i,-0.0058555-0.00369i
0.040514+0.0089807i,0.017598+0.0019516i,0.029136+0.0042908i,0.019943+0.0063195i,0.015467-0.0027177i,0.0023863-0.0066472i,0.014457+0.0014431i,0.010209-0.013077i,0.0015459-0.011143i,0.0025873+0.0014802i,-0.00093341-0.0029359i,-0.00019865-0.00083033i,-0.00037251+0.002116i,0.0017315-0.00084507i,0.00075043-0.0015048i,0.001384-0.0018803i,-0.0017251-0.0053289i,0.00069394-4.5096e-05i,-0.00034641+0.0025353i,-0.001275-0.00052362i,-0.0025904+5.7888e-05i,-0.0017956+0.0011702i,-0.00053083+0.0014308i,0.0063461-0.0075627i,0.0027709+0.0026617i,0.0012357-0.00073417i,-0.00027416-0.00017421i,0.0013151+0.0015157i,-6.355e-05+0.0017083i,0.00090887+0.0015964i,-0.0005084+0.0019088i,-0.0011927+0.0032387i,-0.00030094+0.00018348i,0.00042825+2.008e-05i,0.00051495+0.0015183i,0.0053802+0.010143i,0.00038126-0.0006421i,0.00034236-0.00064625i,0.0017086+0.00085846i,-0.00096687-0.00044009i,-0.0013551-0.0005374i,-0.0015715+0.0010024i,0.0019105+0.0023329i,0.0011016+0.0018504i,0.029459-0.0053736i,-0.0016767+0.021037i,0.0044708+0.027378i,-0.0088188+0.0098895i,0.026615+0.0026778i,0.0031283+0.0096708i,-0.018828+0.007915i,-0.035091+0.0012501i,-0.022071+0.017079i,-0.0031114-0.0066856i,0.015038-0.0058803i,-0.00064492+0.0041639i,0.0035944+0.0062522i,-0.0090837+0.010494i,-0.003232-0.0039296i,0.011781-0.0077141i,0.012805+0.0022298i,-0.013036+0.0061735i,-0.00091092-0.00035236i,-0.0012578+0.0016403i,-0.0029798+0.00049299i,-0.0006787-0.0072646i,0.0086376+0.00029577i,-0.00077872-0.0084112i,-0.0033685+0.0033056i,0.0010393-0.0017067i,0.0004841-0.0053874i,-0.0049185+0.0025536i,0.0019596-0.00044507i,0.0012062-0.0025174i,0.028549-0.0038945i,-0.0046831+0.0071872i,0.0011157-0.0022594i,-0.0032282-0.0019031i,-0.00034691-0.0068426i,-0.0033845+0.011533i,-0.0016878+0.00044558i,-5.3142e-06-0.0006132i,9.803e-05-0.0030342i,-0.0038708+0.0019694i,0.0021117+0.0020844i,0.0011384-0.00014665i,0.0059886+0.0014934i,-0.0014657+0.0028166i,-0.0061574+0.0071865i,0.00295+0.016131i,0.016611-0.003914i,-0.021737+0.0058365i,-0.015717-0.0078305i,0.017201+0.00025374i,0.017117+0.012556i,-0.0068234-0.0035727i
0.040732+0.002245i,0.017719-0.00077232i,0.029002-0.0015107i,0.020291+0.00071826i,0.01531-0.0060888i,0.00084875-0.0073026i,0.014623+0.00026936i,0.0075381-0.014456i,-0.00014149-0.011906i,0.0024806+0.00099248i,-0.0011008-0.0021708i,4.4392e-05-0.00091676i,0.00036216+0.0025708i,0.0015527-0.0010111i,0.0005284-0.0014663i,0.0019787-0.0013232i,-0.0023127-0.0050647i,0.0008366-0.00025965i,0.00031145+0.0019477i,-0.0015292-6.858e-06i,-0.0021292+0.00071319i,-0.0010408+0.0013528i,-0.00013456+0.0014891i,0.0020771-0.0086071i,0.0037516+0.0016233i,0.00083712-0.0010555i,-0.00036098-3.5081e-05i,0.0015308+0.0010237i,0.00044722+0.0016765i,0.0013972+0.00096035i,0.00041171+0.001935i,0.00026179+0.0035787i,-0.00035597+0.00046781i,0.00057362+3.048e-05i,0.0011685+0.0011081i,0.0071733+0.007998i,0.00016416-0.00053323i,4.5395e-05-0.00046751i,0.0016159+0.00034692i,-0.00066296-2.2472e-05i,-0.0017167-2.2438e-05i,-0.0014756+0.0013202i,0.0026647+0.0019686i,0.0012321+0.0017778i,0.027387-0.012338i,0.0035061+0.018688i,0.010752+0.025022i,-0.0074574+0.010517i,0.023621-0.0079434i,0.0027104+0.005933i,-0.015845+0.015961i,-0.032166+0.01199i,-0.015767+0.024164i,-0.0082059-0.0058309i,0.010402-0.0073757i,0.00063001+0.0044378i,0.0058451+0.0037727i,-0.0055061+0.013209i,-0.0041762-0.0013071i,0.0058742-0.012833i,0.012691-0.0033238i,-0.011159+0.0096734i,0.00026165+0.00062391i,-0.00013448+0.0015537i,-0.0013857+0.00073853i,-0.0024004-0.005341i,0.0071399-0.002102i,-0.0025879-0.0066346i,-0.00039649+0.0042535i,0.0012174-0.0032073i,-0.0015661-0.0048619i,-0.0031753+0.0033587i,0.0017113-0.002156i,0.00092829-0.0027654i,0.022154-0.014632i,-0.00087639+0.0074258i,0.00012949-0.0022591i,-0.0035998-0.0010922i,-0.0031648-0.0061763i,0.00010708+0.01067i,-0.00071867+0.00074409i,0.0011427-0.00050237i,-0.00024973-0.003549i,-0.0015642+0.0022272i,0.0022683+0.0015765i,0.00044376+0.00029357i,0.005097-0.00041916i,-0.0023249+0.0019283i,-0.0037073+0.0085104i,0.0054895+0.015099i,0.010718-0.013366i,-0.020286+0.0029537i,-0.020192-0.0034482i,0.013825-0.0045223i,0.017734+0.0072014i,-0.007929-0.0024734i
0.03972-0.0044644i,0.017009-0.0039613i,0.026853-0.0083979i,0.018337-0.0056325i,0.014451-0.0098903i,-0.00092834-0.0074278i,0.015456-0.0015465i,0.0046829-0.015672i,-0.0022386-0.012152i,0.0022662+0.0012139i,-0.0015136-0.001792i,-0.00010781-0.0015913i,0.0011986+0.0025305i,0.0013292-0.0013285i,0.00026904-0.0014072i,0.0026768-0.0015935i,-0.0036121-0.0047322i,0.0004937-0.00064898i,0.00078397+0.0012729i,-0.0017122+0.00060674i,-0.0019781+0.00093841i,-0.00040097+0.001038i,0.00018675+0.0014272i,-0.0019977-0.0075493i,0.0041326-0.00031202i,0.00027872-0.0011235i,-0.00073273+0.00019851i,0.0015809+0.00060097i,0.0011139+0.0013659i,0.0015173+0.00025806i,0.0012572+0.0015661i,0.001414+0.0034303i,-0.00032841+0.0007955i,0.00062693-5.6528e-05i,0.0013088+0.00044449i,0.0083312+0.0058363i,-7.197e-05-0.00044103i,-0.00022879-0.00037174i,0.001728+4.718e-05i,-0.0002033+7.978e-05i,-0.0018009+0.00066334i,-0.0011018+0.001788i,0.0033886+0.0010797i,0.0012789+0.0017965i,0.023728-0.018444i,0.0074873+0.015062i,0.015418+0.020988i,-0.0048259+0.011375i,0.017727-0.015959i,0.0015211+0.0042062i,-0.0096773+0.020437i,-0.024415+0.019016i,-0.005994+0.027228i,-0.01126-0.0019781i,0.006735-0.0071874i,0.0018024+0.0039878i,0.0057344+0.00064981i,-0.00084354+0.01395i,-0.0047042+0.00092396i,-0.0031582-0.01293i,0.0095477-0.0075395i,-0.0084836+0.012398i,0.00165-0.00039252i,0.00055997+0.0010996i,-0.0010475+0.0002012i,-0.0025804-0.0037202i,0.0057411-0.0030302i,-0.0033288-0.005554i,0.0018502+0.0035914i,7.9161e-05-0.0049575i,-0.0031583-0.0036491i,-0.0011936+0.0039704i,0.00036948-0.0031913i,0.00034634-0.0034803i,0.01262-0.020164i,0.0022234+0.0061428i,-0.00029998-0.002195i,-0.0030073-0.00090276i,-0.0049623-0.0047102i,0.002709+0.009167i,0.00026904-0.00017395i,0.0017143-0.0011953i,-0.0015753-0.0035164i,-0.0004528+0.0013143i,0.0031173+0.0013022i,0.00047694+0.0011862i,0.0044542-0.0015159i,-0.003317+0.0021793i,-0.0014009+0.0084513i,0.0084635+0.014237i,0.0025162-0.018754i,-0.02366+0.0011822i,-0.021502+0.0028661i,0.0076168-0.0066921i,0.017564+0.0026377i,-0.0075703-0.0020235i
0.037795-0.010654i,0.016316-0.006246i,0.02262-0.013075i,0.01368-0.010049i,0.012311-0.013519i,-0.0024588-0.0070249i,0.016304-0.0040954i,0.0015082-0.016178i,-0.0041201-0.012205i,0.0029379+0.0015964i,-0.0017877-0.00083115i,-0.0010361-0.0016755i,0.0020124+0.0022159i,0.00090284-0.0014617i,5.6989e-05-0.0013012i,0.002911-0.0021482i,-0.0051999-0.003442i,0.00019599-0.00067291i,0.00086963+0.0006138i,-0.0014731+0.0014116i,-0.0016564+0.0015647i,-0.00045504+0.00051379i,0.00051082+0.0013552i,-0.0047704-0.0046351i,0.0031388-0.0018811i,-0.0001605-0.00096992i,-0.00066845+0.0007064i,0.0015269+0.00030985i,0.0013233+0.00064169i,0.0013571-0.00024364i,0.0018284+0.00084169i,0.002556+0.0027056i,4.4727e-05+0.0011703i,0.00058177-0.00019749i,0.00099484+0.0005452i,0.0088426+0.0034521i,-0.00025958-0.00032836i,-0.00041173-4.628e-05i,0.0018981-0.00040163i,0.00016864+4.5229e-05i,-0.0014893+0.001422i,-0.00040965+0.0020225i,0.0035503-0.00013935i,0.0015004+0.0019052i,0.01863-0.02323i,0.0099883+0.010711i,0.018313+0.016665i,-0.0014599+0.010786i,0.010705-0.020218i,0.00036489+0.00417i,-0.0031527+0.022084i,-0.016294+0.021271i,0.0043255+0.025862i,-0.011003+0.0028084i,0.0050841-0.0066381i,0.0029399+0.0032096i,0.0045243-0.0011638i,0.0041469+0.012622i,-0.0039223+0.0037718i,-0.0097959-0.0074558i,0.0054525-0.0093246i,-0.0049651+0.014281i,0.0012211-0.0020695i,0.00092048+0.0005449i,-0.0012331+0.00024709i,-0.0021755-0.0026414i,0.0044671-0.0037796i,-0.0042903-0.0044227i,0.0032673+0.0019492i,-0.0031439-0.0054337i,-0.0037736-0.0019408i,0.001101+0.0029326i,-0.00048166-0.0034408i,-0.00073722-0.0039216i,0.0034135-0.020708i,0.0040109+0.0041684i,-0.00083718-0.0023053i,-0.0038282-0.00053337i,-0.0060462-0.0023551i,0.0041662+0.0075319i,8.9617e-06-0.001664i,0.0019666-0.0022079i,-0.002202-0.0025498i,0.00017574+0.00035941i,0.0034561+0.000409i,0.0012079+0.0015727i,0.0029017-0.0022928i,-0.0039066+0.0031985i,0.00043479+0.0076332i,0.012715+0.012627i,-0.007967-0.02047i,-0.027604+0.0033185i,-0.019173+0.0089824i,0.0031845-0.0043518i,0.015432-0.0021277i,-0.0077547-0.0029983i
0.035171-0.016606i,0.015868-0.0092801i,0.018768-0.015817i,0.0091121-0.011345i,0.0092954-0.016455i,-0.0035593-0.00641i,0.017116-0.0078063i,-0.0015817-0.016002i,-0.006105-0.012007i,0.0039567+0.0011014i,-0.0012126-0.00010487i,-0.0016792-0.00084265i,0.0026674+0.0014083i,0.00050023-0.0015022i,-3.3855e-05-0.0012256i,0.0030335-0.0026435i,-0.0060019-0.0016071i,0.00013861-0.00093168i,0.0006612+5.4321e-05i,-0.00083692+0.0017771i,-0.0011291+0.0017276i,-0.00065062+0.00045416i,0.00087499+0.001169i,-0.0056331-0.0010148i,0.0020375-0.0025162i,-0.00042246-0.00072415i,-0.00029148+0.00089086i,0.0015882-4.0805e-05i,0.0010636+0.00048169i,0.0011277-0.00067421i,0.0021244+3.1334e-05i,0.0031035+0.0017594i,0.00068111+0.0011636i,0.00070095-0.00022276i,0.001359+0.00093489i,0.0084997+0.0014075i,-0.0005006-5.3283e-05i,-0.00030145+0.00022986i,0.0016008-0.0011111i,0.00066865-0.00018901i,-0.00081317+0.0018494i,0.00018783+0.0019859i,0.0030822-0.001238i,0.0018398+0.0020541i,0.012809-0.026237i,0.010372+0.0061705i,0.020133+0.012444i,0.0010792+0.0089809i,0.0043642-0.021928i,0.00047289+0.0061076i,0.0032065+0.021854i,-0.0091425+0.021519i,0.012194+0.020986i,-0.0077212+0.0066681i,0.0036462-0.0069366i,0.003914+0.0016266i,0.0037879-0.0023501i,0.0081404+0.0089613i,-0.0014808+0.0048536i,-0.011852-0.00092402i,0.0016267-0.0095627i,-0.00076621+0.014277i,-0.00037932-0.0028568i,0.00043841+8.3731e-05i,-0.001242+0.0007684i,-0.0019929-0.0021674i,0.0032358-0.003402i,-0.0048815-0.0027225i,0.0031778+0.00035974i,-0.0059086-0.0030509i,-0.0032722-0.00041413i,0.0017953+0.00095229i,-0.0013177-0.0035985i,-0.0021381-0.0036404i,-0.0038942-0.018161i,0.0049548+0.0017023i,-0.0016889-0.0021534i,-0.00388+0.001065i,-0.0056177+0.00026401i,0.0056477+0.0063364i,-0.0015554-0.0024754i,0.0015794-0.0035118i,-0.0025807-0.002216i,2.7926e-05-0.00089494i,0.0038178-0.00017635i,0.0020498+0.0014261i,0.0015299-0.0016307i,-0.0042027+0.0043655i,0.0016827+0.0065372i,0.017148+0.009027i,-0.01774-0.016852i,-0.030299+0.007203i,-0.014324+0.011834i,0.0019315-0.002224i,0.011413-0.0048329i,-0.010023-0.0030925i
0.03122-0.022118i,0.01449-0.012901i,0.01536-0.018114i,0.0058361-0.011466i,0.0055881-0.01856i,-0.00454-0.0057903i,0.016697-0.013081i,-0.0045178-0.015353i,-0.008459-0.011374i,0.0046056+3.1138e-05i,-0.0005443-0.00013835i,-0.0017984+0.00020645i,0.0027576+0.00044661i,0.00021269-0.0012129i,-0.00016609-0.0012812i,0.0028304-0.0034515i,-0.006094+0.00043878i,-0.00022297-0.0012175i,0.00039833-0.00017599i,-0.00022416+0.0018328i,-0.00071066+0.002i,-0.00080154+0.00059954i,0.0011077+0.00081143i,-0.0044379+0.0021906i,0.0011349-0.0026818i,-0.00060697-0.00040267i,8.7748e-06+0.00079958i,0.0013128-0.00050599i,0.0011738+0.00040246i,0.00068286-0.0010202i,0.002158-0.00082198i,0.0035653+0.00080863i,0.0011708+0.0009i,0.00074084-0.00068497i,0.0022492+0.0007459i,0.008069-0.00024916i,-0.00041186+0.00029241i,-5.0917e-05+0.00044257i,0.0009239-0.0014855i,0.00099554-0.00068124i,-0.00016198+0.0021256i,0.000831+0.0018884i,0.0022675-0.0018372i,0.0024538+0.0023677i,0.0068968-0.027665i,0.0090592+0.0032477i,0.021094+0.008569i,0.002611+0.007924i,-0.001801-0.023034i,0.0034197+0.0082302i,0.0090524+0.019327i,-0.0019284+0.019699i,0.017961+0.013804i,-0.0025954+0.0082728i,0.0022141-0.0071669i,0.0036965-0.0010578i,0.0027325-0.003788i,0.0092394+0.0040126i,-7.5306e-05+0.0042329i,-0.011224+0.0055952i,-0.0019419-0.0085082i,0.0023625+0.012008i,-0.0022431-0.0022099i,-0.00021587+0.0005713i,-0.00087932+0.0012618i,-0.0015907-0.0020983i,0.0032661-0.0021452i,-0.0042553-0.0013283i,0.0030432+0.00024538i,-0.0063183+0.00014583i,-0.0023458+0.00028071i,0.0014856-0.00017234i,-0.0031007-0.0037261i,-0.0032924-0.002503i,-0.0095993-0.014476i,0.0046934-0.00080862i,-0.0023793-0.0014851i,-0.0026351+0.0020323i,-0.0042773+0.0019142i,0.0073313+0.0049423i,-0.0030368-0.0015561i,0.0002391-0.0047979i,-0.0033495-0.0015004i,-0.0011553-0.0014878i,0.0042637-0.001809i,0.0027671+0.0010521i,0.0015178-0.0010157i,-0.0030841+0.0060738i,0.0023145+0.0052368i,0.020459+0.0032163i,-0.023033-0.0088111i,-0.032314+0.013129i,-0.01002+0.012633i,0.00092649-0.0003433i,0.0079742-0.0047807i,-0.01158-0.001795i
