-0.023194-0.018548i,-0.032691-0.033382i,-0.022525-0.019641i,-0.032411-0.020531i,-0.023896+0.0042438i,-0.028795-0.017615i,-0.05776-0.044608i,-0.041017-0.042973i,-0.028985-0.0193i,0.0050501+0.0048675i,-0.0040824+0.0065057i,-0.010969+0.011134i,0.0040635+0.0069989i,-0.0039289-0.002608i,0.0028773+0.0016056i,0.0030712+0.027052i,0.023755+0.022766i,-0.00016166+5.1724e-06i,-0.0033127-0.002691i,0.0076058+0.0039584i,0.0020069+0.00056533i,-0.00027927+0.0027743i,-0.00047201+0.0003817i,-0.030287-0.0007142i,-0.0037735-0.0048291i,-0.00019616+0.0024499i,0.0044615-0.0015936i,0.00082345-0.00010856i,-0.00062218-0.00057395i,-0.0012059-0.0018213i,-0.0022795-0.00050773i,-0.0039062-0.0039279i,-0.0023948-0.0057864i,0.00039916-0.0013386i,0.00047218-0.0029637i,-0.0020027+0.026113i,0.0017499-0.0032433i,0.0021501-0.0038322i,0.0040488-0.0023082i,-0.0069257-0.00048639i,0.0004761+0.0013057i,0.0043506-0.0098009i,-0.0020787+0.0004357i,-0.0031071+0.0011244i,-0.0097861-0.0032096i,-0.018841+0.021574i,-0.0081858-0.086664i,-0.001956-0.061275i,-0.021438-0.053979i,-0.01134-0.045874i,0.053741-0.027343i,0.023889-0.067085i,0.041398-0.053924i,0.019056-0.039807i,0.026259-0.020056i,0.012211+0.011953i,0.025186-0.028559i,-0.011475-0.00019999i,-0.0014989-0.001246i,-0.008045-0.0017021i,-0.0044986-0.029105i,-0.021586+0.026337i,0.007696-0.0094368i,-0.010629-0.0033455i,-0.0027048-0.0017918i,-0.00058624-0.01464i,-0.0085305+0.0053769i,0.0059246+0.011023i,-0.0096127+0.029625i,0.0065637+0.0076279i,-0.0034025-0.0017932i,-0.0023735-0.0013817i,-0.012218-0.0054875i,0.00075023-0.0046193i,-0.032133+0.0037902i,0.0033902-0.0088362i,-0.0070944-0.0021108i,-0.0052672-0.003072i,0.0068886+0.0015026i,-0.010241+0.00017182i,0.0025818-0.00026399i,0.0063263+0.0077098i,0.0057493+0.0010258i,-0.0078435-0.0095792i,0.0028627+0.0079861i,-0.018718+0.0073191i,0.0032604+0.0059124i,-0.021231-0.0087023i,-0.026871-0.0051024i,0.0090786-0.060884i,0.019041-0.014389i,-0.051838-0.028265i,-0.02203+0.0035331i,0.018842+0.010421i,-0.02713+0.011506i,-0.01265-0.0071872i
0.0059241+0.0047969i,0.036821+0.014561i,0.019704-0.0044717i,0.013024+0.0023288i,0.0085783-0.001833i,0.015748-0.0076236i,0.012483+0.013794i,0.020407+0.018527i,0.0020856-0.0028975i,0.0013482+0.00087536i,0.0023282-0.0013396i,0.0011123-0.0038038i,0.00014367-0.0012293i,0.002184-0.00016238i,0.0052276-0.0011851i,0.005423-0.00014974i,0.0046101-0.0026458i,0.00011659-0.0010408i,-0.0022925-9.9522e-05i,0.00058435+0.00082337i,0.00010778-0.00012434i,-0.0022052-0.00049498i,-0.001458-0.00010208i,0.0065138+0.0075373i,-0.00056539+0.00019363i,0.00027646+0.00080328i,0.00095966+0.00089855i,-0.00017326+0.0011087i,-0.0004093-0.00039317i,-0.0012477+2.6878e-05i,0.00080895-0.0013503i,-0.0005386+0.00036411i,7.8585e-05+0.00065018i,-1.6866e-05+0.00055383i,-0.00034516-0.001091i,-0.0090526+0.0065763i,0.00058163+0.0003178i,-0.00044579+3.4776e-05i,-0.00061402+0.0013571i,0.00017003-0.0031126i,-0.00048657+0.00028456i,-0.00044647-0.00018944i,0.00098934+0.0011494i,0.0031091-0.0022052i,0.00065394+0.0029447i,-0.049792+0.0093137i,-0.0036693+0.029532i,-0.013908+0.040779i,-0.0086916+0.064954i,-0.017421+0.044194i,-0.0054522+0.018872i,-0.0080685+0.012762i,-0.046024+0.0018762i,-0.024643-0.007647i,0.015094+0.025474i,0.00057924+0.0057393i,-0.0074637+0.0013565i,-0.014071-0.0018552i,0.0037761-0.00040651i,0.0055303+0.012245i,-0.0066768+0.0065481i,-0.0050318-0.0073728i,0.0060726-0.002976i,-0.0063486-0.0053323i,0.0039398-0.0069187i,0.0040675-0.0020079i,-0.0023523+0.010464i,0.011779-0.0048514i,0.0063899-0.0052438i,0.0052748-0.0082981i,0.0030975+0.00090893i,-0.0019662-0.005876i,-0.0033068-0.0013347i,0.0022005-0.0019592i,-0.010676+0.030436i,-0.0042311-0.0054163i,0.0033975+0.00016716i,-0.00027258-0.0067066i,0.0033393-0.0017682i,-0.013411-0.006063i,0.00079573+0.00069277i,0.004082-0.0017605i,0.0029208-0.0011042i,0.0011764-0.0055067i,-0.0023227+0.0056673i,-0.00035694+0.0060872i,-0.0050451+0.0067818i,-0.0047059+0.0024658i,-0.0056792-0.00026682i,-0.023812+0.01998i,-0.0080978+0.01463i,-0.021867-0.011717i,-0.0099207-0.010998i,0.0089349+0.019927i,-0.00040508+0.020059i,-0.0088247-0.0032854i
0.0062509+0.0027041i,0.038342+0.0069412i,0.018735-0.0082777i,0.013658+0.00097887i,0.0093691-0.0032748i,0.01421-0.010755i,0.012999+0.010791i,0.022592+0.014152i,0.0008421-0.003595i,0.0016825+0.0002398i,0.0021212-0.0016023i,-0.00039983-0.0026623i,-8.3382e-05-0.00064649i,0.0020726-0.00021832i,0.0045387-0.0023239i,0.0046865-0.00071135i,0.0044244-0.0040174i,0.00015619-0.00094816i,-0.0025552+0.00021122i,0.00090274+0.00014488i,-3.763e-06-0.00054431i,-0.0022504+7.2703e-05i,-0.0014726+6.5315e-05i,0.0099842+0.0040353i,-0.00093054+0.00098444i,0.00090161+0.00050477i,0.0010347+0.00028317i,0.00047029+0.0010156i,-0.00090611+0.00012905i,-0.0012167+0.00051666i,-0.00026831-0.0014915i,-0.00065027+1.2174e-05i,0.00012786+0.00046575i,0.00030423+0.00048563i,-0.00085317-9.476e-05i,-0.007108+0.0088186i,0.00034824-5.9425e-06i,-0.00033593+0.00037868i,2.3996e-05+0.0012605i,-0.0009241-0.0027461i,-0.0004272+9.041e-05i,-0.00057061+9.1693e-05i,0.00088721+0.00096652i,0.0021959-0.0023519i,0.0017874+0.0028402i,-0.044557+0.017237i,-0.00071902+0.030565i,-0.0053684+0.041142i,0.0078074+0.061849i,-0.0062629+0.043439i,-0.0080693+0.015115i,-0.011768+0.010497i,-0.048604+0.0057639i,-0.020553-0.009062i,0.021186+0.019883i,0.00040499+0.0053527i,-0.006379+0.0066938i,-0.013549+0.0030895i,0.0022526-0.002055i,0.0081289+0.011525i,-0.0026046+0.011326i,-0.0091493-0.0054795i,0.0025129-0.0047605i,-0.0066231-0.001858i,-0.00075847-0.0067157i,0.0025946-0.0038339i,0.0024927+0.0081673i,0.0078275-0.0081551i,0.0018787-0.0065132i,0.00097308-0.0057583i,0.004297-0.00014117i,-0.0029717-0.0046613i,-0.001667+0.00074999i,0.0017613-0.0020067i,0.004567+0.032651i,-0.0059115-0.004295i,0.0037258-0.0017321i,-0.0035899-0.0058661i,0.0034125-0.0026152i,-0.013426+0.00027577i,0.0015957+0.0011513i,0.0029979-0.0021291i,0.0030964-0.0023021i,-0.00010358-0.0055956i,-0.00067987+0.0033002i,0.0021463+0.0048762i,-0.001557+0.0081174i,-0.0035629+0.0046378i,-0.0063932+0.00071274i,-0.018473+0.018734i,-0.0059793+0.01648i,-0.025106-0.0063714i,-0.01339-0.012981i,0.011828+0.019453i,0.0035253+0.021809i,-0.011154-0.0030641i
0.0058074+0.0011203i,0.037914-0.0013295i,0.017106-0.012634i,0.015126-0.001894i,0.010298-0.0054974i,0.011803-0.013814i,0.012753+0.008011i,0.02376+0.0091744i,-0.00027772-0.0034249i,0.0013771-0.00038143i,0.0016649-0.0023422i,-0.00056125-0.0013174i,-7.818e-05-0.00062932i,0.0020785-0.00052447i,0.0035998-0.0031765i,0.0038635-0.0010375i,0.0024755-0.00555i,-6.9875e-05-0.00118i,-0.0025379+0.001173i,0.00071295-0.00074408i,-0.00068684-0.00085696i,-0.0020253+0.00071794i,-0.0015941+0.00032637i,0.010246-0.0011101i,-0.00025339+0.00138i,0.00087288-0.00013822i,0.00076553-9.8147e-05i,0.00088403+0.00055049i,-0.00060001+0.00063684i,-0.001008+0.00093935i,-0.00082706-0.0010551i,-0.0011366+0.00063954i,0.00031949+0.00050923i,0.00049578+0.00024459i,-0.00037745+0.00061887i,-0.0010728+0.012128i,7.5691e-05+0.00011188i,-8.2468e-05+0.00036822i,0.00039879+0.0010783i,-0.001802-0.0018317i,-0.00041595-5.7526e-05i,-0.00038831+0.00033193i,0.00092713+0.0011616i,0.001642-0.0024508i,0.0036415+0.0019989i,-0.03882+0.023547i,0.0038438+0.031559i,0.0032902+0.038313i,0.022773+0.053308i,0.0037236+0.042466i,-0.011448+0.014544i,-0.014611+0.011398i,-0.050139+0.013586i,-0.019197-0.012258i,0.024346+0.011734i,0.00064358+0.0052229i,-0.0040062+0.0087753i,-0.012824+0.0060778i,-0.00027707-0.0037461i,0.011091+0.0092291i,0.0030102+0.012362i,-0.012029-0.0026356i,0.00051307-0.0033606i,-0.0058929+0.0010261i,-0.0030154-0.0042644i,0.00066626-0.0038386i,0.0048998+0.0070296i,0.0049386-0.0089618i,-0.0018071-0.0047849i,0.00049837-0.0030182i,0.0045571-0.0024712i,-0.0053894-0.0040729i,-0.00049853+0.00046603i,0.00079422-0.0021436i,0.018038+0.023671i,-0.0076978-0.0019647i,0.0030602-0.0030131i,-0.0036587-0.0041771i,0.0036683-0.0042323i,-0.010572+0.0055486i,0.0035112+0.00089764i,0.0018612-0.0024118i,0.0018869-0.0028545i,-0.0019603-0.0049711i,-0.0012793+0.0029845i,0.0033237+0.0030448i,0.0018036+0.0085881i,-0.0020372+0.0050206i,-0.0070304+0.0027027i,-0.015794+0.017133i,0.00027841+0.017104i,-0.025755-0.0015846i,-0.017514-0.013101i,0.016499+0.016559i,0.0091163+0.022569i,-0.013245-0.0015338i
0.0051298+0.00019917i,0.034668-0.0081431i,0.013706-0.016528i,0.015111-0.0062139i,0.010042-0.0087118i,0.008464-0.015887i,0.012308+0.0063651i,0.023371+0.0050404i,-0.00090053-0.0032871i,0.00079062-0.00038103i,0.00093894-0.0026798i,-0.00019168-0.00066597i,-0.00052378-0.00036698i,0.0017983-0.0007484i,0.0023745-0.0036638i,0.0033083-0.00090399i,0.00019547-0.0051563i,-0.00033775-0.0011209i,-0.0014635+0.0019334i,7.547e-06-0.0011016i,-0.0011732-0.00035658i,-0.0015783+0.0013547i,-0.001537+0.00083042i,0.0078453-0.0047306i,0.00023016+0.0012507i,0.00052504-0.00028701i,0.0006766-0.00017281i,0.00078838+4.3709e-05i,-0.00015767+0.00060673i,-0.00064543+0.0014156i,-0.0012789-0.000396i,-0.00065509+0.0012802i,0.00053267+0.00025051i,0.00038644+1.0779e-05i,0.00019757+0.00068868i,0.0016984+0.0082608i,0.00010208+0.00024839i,-6.5412e-05+0.00023187i,0.00054708+0.00096392i,-0.0019607-0.00062635i,-0.00052836-3.905e-05i,-0.00024664+0.0003434i,0.0012881+0.0013175i,0.0011187-0.002271i,0.0053161-7.4458e-05i,-0.031577+0.028488i,0.0094492+0.031366i,0.0086395+0.034557i,0.034465+0.040099i,0.013582+0.037262i,-0.015194+0.017038i,-0.017917+0.014613i,-0.048521+0.02258i,-0.020896-0.015686i,0.025117+0.0031257i,0.0013398+0.0054393i,-0.0012383+0.011597i,-0.010802+0.0096063i,-0.0043746-0.0027431i,0.014028+0.0047536i,0.0084573+0.010543i,-0.013517+0.0019298i,-0.00041786-0.0026504i,-0.004171+0.0027429i,-0.0036922-0.0013682i,-0.00029371-0.0033377i,0.0070433+0.0035896i,0.0020383-0.0093208i,-0.0036054-0.0015011i,0.0013017-0.0017937i,0.0030987-0.0045887i,-0.0053893-0.00022535i,0.00030397+0.00091919i,0.00045263-0.0018483i,0.025186+0.011669i,-0.0076654+0.0015974i,0.0023001-0.0043289i,-0.0039426-0.002855i,0.0020188-0.0064736i,-0.0058627+0.0077819i,0.0046781-0.0012383i,0.0010493-0.001805i,0.0010912-0.0025345i,-0.0028555-0.003001i,-0.0012941+0.0037283i,0.0032388+0.0010387i,0.0057849+0.0074469i,-0.00078992+0.004638i,-0.0071522+0.0051019i,-0.014017+0.018004i,0.0091302+0.012197i,-0.024243+0.0034602i,-0.022731-0.011004i,0.018565+0.012052i,0.015257+0.0204i,-0.013284+6.596e-05i
0.0049977-0.00027964i,0.031476-0.012832i,0.0097325-0.019139i,0.013713-0.010294i,0.0084995-0.01173i,0.0052777-0.017037i,0.012274+0.0054719i,0.022579+0.0014935i,-0.00091848-0.0030095i,0.00036838-0.0002164i,-0.0004033-0.0026217i,0.00022613-0.00057129i,-0.00067686+0.00026822i,0.001439-0.00094162i,0.0011836-0.0035235i,0.0033619-0.00057661i,-0.00083367-0.0040599i,-0.00078203-0.00093566i,-0.00060347+0.0018374i,-0.00064809-0.00094558i,-0.0012449+0.00012117i,-0.00086258+0.0016943i,-0.0012212+0.001352i,0.0047137-0.0067729i,0.00056728+0.0010899i,0.00035199-0.00032209i,0.00057906-0.00035885i,0.00042594-0.00014717i,-3.2998e-05+0.00062244i,7.7545e-05+0.0016629i,-0.0011874+0.00026726i,-8.2843e-05+0.0014469i,0.00051794-0.00011068i,0.00035875+0.00013895i,0.00069056+0.00057086i,0.0010969+0.0079173i,7.9316e-05+0.00034862i,-0.00020341+0.00031565i,0.00092333+0.00075996i,-0.0018237+0.00018514i,-0.00061912-0.00014117i,-0.00018399+0.00032371i,0.0016835+0.00097833i,0.00054928-0.0017488i,0.0054299-0.0031929i,-0.023172+0.031104i,0.015931+0.0296i,0.014168+0.031979i,0.039281+0.024704i,0.019341+0.0301i,-0.01616+0.02321i,-0.018665+0.021976i,-0.04471+0.032424i,-0.025612-0.0166i,0.021154-0.0045117i,0.0026069+0.0055692i,0.0041632+0.011574i,-0.0078023+0.01232i,-0.0059393+0.00085165i,0.013968-0.0018702i,0.012525+0.0065606i,-0.013069+0.0064191i,-0.0006625-0.00087953i,-0.0024482+0.0034968i,-0.0021092+0.00057547i,-0.0019081-0.0023578i,0.006911+0.00069703i,-0.00081969-0.0086141i,-0.0030465+0.0016689i,0.0026474-0.0023191i,0.0010317-0.0055135i,-0.0036904+0.0016894i,0.0016883+0.00049981i,0.00036735-0.0015555i,0.026702-0.00023994i,-0.0054872+0.0043161i,0.00078647-0.0053294i,-0.0036526-0.0022184i,-0.00050324-0.007157i,-0.0020543+0.0075621i,0.0037992-0.0032116i,0.0013639-0.00078131i,0.0012403-0.0020737i,-0.0016869-0.0022125i,0.00052526+0.0046857i,0.0018505-0.00015614i,0.0081101+0.0042059i,-0.00041806+0.0033089i,-0.0055584+0.0078953i,-0.010709+0.01902i,0.011921+0.00066627i,-0.020197+0.0054704i,-0.02718-0.0075628i,0.019928+0.0070772i,0.020083+0.014166i,-0.014157+0.00048092i
0.005014-0.0012106i,0.028526-0.017208i,0.0058986-0.020843i,0.0114-0.014194i,0.0063512-0.014154i,0.0019366-0.017763i,0.013398+0.0046607i,0.021963-0.00132i,-0.00070228-0.0035317i,-0.00010995+0.00012368i,-0.0008868-0.0016943i,0.00042805-0.0005475i,-0.00021606+0.00095793i,0.0010793-0.00090144i,0.00040032-0.0031811i,0.0040709-0.00061825i,-0.0011241-0.003461i,-0.00086257-0.00056765i,6.6362e-05+0.0016505i,-0.00099778-0.00057555i,-0.00092058+0.00042438i,7.6064e-05+0.0015468i,-0.00064021+0.0016524i,0.0011034-0.0072482i,0.0010511+0.00082957i,0.00020393-0.00037952i,0.00042294-0.00060642i,0.00024285-0.0001611i,0.00023811+0.00064829i,0.00070984+0.0013533i,-0.00087864+0.00062923i,0.00062674+0.0013255i,0.00031119-0.00013894i,0.00054731-6.719e-05i,0.00088168-5.7603e-05i,0.0037236+0.0082037i,0.00020912+0.00036109i,-6.156e-05+0.00053477i,0.00094203+0.00039331i,-0.0012686+0.00066356i,-0.00082601-2.3937e-06i,-0.00010285+0.00021754i,0.0019066+0.00060721i,-0.0012826-0.0060091i,0.0045507-0.0059665i,-0.015575+0.030951i,0.021851+0.025441i,0.019889+0.028054i,0.039237+0.010567i,0.02231+0.023398i,-0.01294+0.030145i,-0.01438+0.030298i,-0.036381+0.042544i,-0.030652-0.014061i,0.015756-0.0084073i,0.0039536+0.0047069i,0.0079162+0.0090035i,-0.0038525+0.014779i,-0.0051082+0.0035737i,0.010377-0.0081479i,0.013861+0.0005064i,-0.011125+0.0098371i,0.00041777+3.3205e-05i,-0.00080516+0.0031851i,-0.00050267+0.00062542i,-0.0020787-6.6619e-05i,0.0055122-0.0009789i,-0.0030241-0.0067536i,-0.00079789+0.0035794i,0.0027232-0.0042424i,-0.0011372-0.0051657i,-0.002578+0.0018313i,0.0022367-0.00074844i,0.00095385-0.0015041i,0.022784-0.011818i,-0.002577+0.005366i,-0.0010742-0.0050437i,-0.0037555-0.0013906i,-0.0031072-0.0064267i,0.00055108+0.0065668i,0.003237-0.0044633i,0.0024572-0.0012356i,0.0011747-0.0030038i,-0.0011732-0.0028584i,0.0025017+0.0041508i,0.00057589+0.00022078i,0.006574-0.0021366i,-0.0010936+0.0024963i,-0.002332+0.009541i,-0.007241+0.018802i,0.0072159-0.008426i,-0.01771+0.0031373i,-0.031636-0.0016369i,0.018387+0.00056111i,0.020995+0.0073972i,-0.015126+0.0021849i
0.0048547-0.0020455i,0.024619-0.021536i,0.001368-0.022569i,0.007376-0.017876i,0.0036214-0.016398i,-0.0016604-0.017472i,0.015271+0.0028687i,0.021578-0.0046986i,-0.00098978-0.0042167i,-0.00021941+0.0010095i,-0.0012154-0.0012178i,0.00048058-0.0011203i,0.00034305+0.0010647i,0.00074822-0.00078612i,-0.00017647-0.0027367i,0.0047545-0.0014668i,-0.0015866-0.0031315i,-0.0010879-0.00038729i,0.00077995+0.0012221i,-0.0013841-0.00010387i,-0.00097588+0.00050255i,0.00061233+0.0008934i,-0.00012968+0.0016949i,-0.0023969-0.0063033i,0.0012748-6.7743e-05i,-6.1495e-05-0.000214i,-0.0001852-0.00078067i,8.4721e-05-0.00011008i,0.0006481+0.00044709i,0.00099078+0.00082785i,-0.00038613+0.00080101i,0.0011062+0.0011357i,0.00011411-5.482e-05i,0.00043561-0.0002723i,0.00047236-0.00069866i,0.0050189+0.0067639i,0.00035515+0.00031009i,3.3903e-05+0.00053579i,0.00095854+0.00022957i,-0.00047437+0.00074109i,-0.00080144+0.0003204i,-3.0666e-05+0.00022266i,0.0020386+3.4878e-05i,-0.0012348-0.0027673i,0.0025322-0.0083701i,-0.0093892+0.029436i,0.026051+0.019703i,0.025079+0.022888i,0.034982-0.0010476i,0.02347+0.018097i,-0.0064445+0.034552i,-0.0045044+0.035274i,-0.023567+0.04834i,-0.034574-0.0086889i,0.010296-0.0096879i,0.0048045+0.0034513i,0.0096384+0.0049478i,0.00084492+0.014864i,-0.0042391+0.0052988i,0.0029466-0.010659i,0.011646-0.0048537i,-0.0079074+0.012276i,0.0015917-0.00094404i,0.00089865+0.0015874i,2.9201e-05-0.00017144i,-0.0004872+0.001274i,0.0044657-0.0012262i,-0.0039304-0.004789i,0.001794+0.0036303i,0.0012434-0.0063253i,-0.0025855-0.004049i,-0.0017835+0.0022014i,0.00155-0.0023471i,0.00099054-0.0024093i,0.01415-0.01844i,4.2971e-05+0.0049913i,-0.0022102-0.0042613i,-0.0032434-0.0009478i,-0.0047337-0.0052662i,0.002089+0.0051643i,0.001832-0.0064373i,0.0028399-0.0023152i,7.678e-05-0.0036759i,-0.0020337-0.0034195i,0.0033877+0.0037669i,0.00037155+0.0016028i,0.0061182-0.0017673i,-0.0020014+0.0026915i,0.00076104+0.0089615i,-0.0039571+0.01873i,0.00020873-0.014007i,-0.019976+0.00040216i,-0.03252+0.0064459i,0.012673-0.0036466i,0.020762+0.0017247i,-0.014225+0.0038809i
0.00487-0.0030541i,0.020485-0.02438i,-0.0040107-0.022779i,0.0017443-0.019608i,-6.3356e-05-0.01777i,-0.0045502-0.016267i,0.017032-0.00022262i,0.020527-0.0083505i,-0.0011588-0.0051345i,0.00054354+0.0019167i,-0.0014351-0.00033045i,-0.00031437-0.0014525i,0.00092438+0.0010822i,0.00072491-0.00056134i,-0.00041456-0.0023144i,0.0047802-0.0024933i,-0.0024425-0.002512i,-0.0012571+0.00013303i,0.0010371+0.00043527i,-0.0013628+0.00075696i,-0.000837+0.00089016i,0.0005395+0.00011946i,0.00035688+0.0016505i,-0.0054753-0.0044199i,0.00052236-0.00052362i,-8.3175e-05-2.9945e-05i,-0.00081726-0.00020599i,3.7882e-05+4.1522e-06i,0.00060981-7.0549e-05i,0.001039+0.00048221i,-3.0688e-06+0.00073273i,0.0009889+0.00054511i,0.00016763+3.5141e-05i,0.00022603-0.00029781i,-0.0001371-0.000444i,0.0062617+0.0048803i,0.00049298+0.00016436i,8.8329e-05+0.00062752i,0.0010407+4.1024e-05i,0.00022691+0.0003254i,-0.0007687+0.00074389i,9.824e-05+0.00018687i,0.0017249-0.0007137i,-0.0015872-0.0016938i,-3.7492e-05-0.0096902i,-0.0042482+0.026815i,0.028189+0.013951i,0.029562+0.016233i,0.028963-0.0088084i,0.023681+0.0139i,0.0011109+0.036493i,0.0054365+0.034814i,-0.010203+0.049326i,-0.035419-0.0018396i,0.0070612-0.0093456i,0.0055596+0.0020297i,0.0092667+0.0015735i,0.0052512+0.01345i,-0.0025354+0.007013i,-0.0035381-0.0082072i,0.0080148-0.007453i,-0.0044256+0.014012i,0.0011788-0.0027738i,0.00061549+0.0013763i,-0.00020957-0.00022402i,0.0015618+0.0011904i,0.0039191-0.0015902i,-0.0047034-0.0031801i,0.0035488+0.0021209i,-0.0020227-0.0072222i,-0.0033016-0.0025651i,-0.00035921+0.001784i,0.00074021-0.003124i,0.00035812-0.0035553i,0.0054397-0.019759i,0.0016639+0.0037747i,-0.0029626-0.0036782i,-0.003897-0.00066671i,-0.0061043-0.0034503i,0.0025753+0.004002i,-0.00097962-0.007665i,0.0029247-0.0034712i,-0.00087026-0.003214i,-0.0027989-0.0031673i,0.0046509+0.0029421i,0.001119+0.0024202i,0.0045881-0.0030872i,-0.0022775+0.0036867i,0.0029032+0.0072903i,0.00051538+0.018572i,-0.0094814-0.01659i,-0.023885+0.00045634i,-0.0295+0.014101i,0.0077594-0.0032741i,0.017992-0.0042469i,-0.013119+0.0040348i
0.0046295-0.004644i,0.016612-0.02708i,-0.0086165-0.021144i,-0.0033891-0.018901i,-0.0038263-0.018113i,-0.0066702-0.015073i,0.017931-0.0044887i,0.018552-0.011808i,-0.0018087-0.0063882i,0.0018461+0.0018358i,-0.00096275+0.00043701i,-0.00099091-0.00087002i,0.0014959+0.00057012i,0.00076597-0.00053959i,-0.00056884-0.0020709i,0.0046428-0.0033862i,-0.0027359-0.0014i,-0.00088918+0.00040602i,0.00075689-0.00014636i,-0.00084321+0.0012236i,-0.00056473+0.0010426i,0.00014078-0.00026086i,0.00083221+0.0014069i,-0.005569-0.0021533i,-1.4083e-05-0.00018097i,-5.8593e-05+4.8914e-05i,-0.00057639-4.2457e-05i,6.0065e-05+5.8226e-05i,0.00022503-5.2412e-05i,0.0010253+2.5392e-05i,0.00037557+0.00049838i,0.00078298+0.00044586i,0.00025945+2.6825e-05i,0.00027193-0.0002432i,-0.00025956+5.4359e-05i,0.0069566+0.0035858i,0.00039309+6.2782e-05i,0.00038602+0.00073011i,0.0011062-0.00033571i,0.00048968-0.00027797i,-0.0002821+0.00082658i,0.00013726-6.2837e-06i,0.00094953-0.0012563i,-0.0016971-0.00095372i,-0.0028871-0.010345i,-0.0013267+0.023483i,0.029287+0.0088043i,0.031536+0.0082264i,0.022506-0.014074i,0.023726+0.011823i,0.0090714+0.036252i,0.013799+0.032105i,0.0012981+0.046403i,-0.034119+0.0049786i,0.0044247-0.0094238i,0.0060788-5.9686e-05i,0.0089831-0.0010084i,0.0090674+0.010007i,0.00014465+0.0073059i,-0.0067637-0.0038264i,0.0040413-0.0083858i,6.4236e-06+0.014064i,-0.00058243-0.0035378i,5.568e-06+0.0013292i,-0.00028291-7.4121e-05i,0.0025916-5.0076e-06i,0.0034321-0.0011976i,-0.0047097-0.0012022i,0.0038431+0.00032678i,-0.0050421-0.0052813i,-0.0029066-0.0011464i,6.8277e-05+0.00057534i,-0.00014277-0.0040026i,-0.0010544-0.00388i,-0.0016652-0.018033i,0.0028715+0.0022586i,-0.0040282-0.0027522i,-0.0040001+0.00093842i,-0.0065004-0.0011038i,0.0031748+0.0032969i,-0.0044868-0.007202i,0.0024001-0.005182i,-0.0014319-0.0030075i,-0.0033708-0.0031608i,0.0060656+0.0019868i,0.0021251+0.0026383i,0.0030452-0.0027628i,-0.0019223+0.0044981i,0.0040969+0.005236i,0.0056873+0.016221i,-0.019855-0.013673i,-0.027987+0.0032125i,-0.024709+0.017929i,0.0053249-0.0024002i,0.013148-0.007491i,-0.014601+0.0045606i
0.0035482-0.006124i,0.012289-0.029695i,-0.012144-0.018824i,-0.0073963-0.017156i,-0.0075814-0.017623i,-0.0088595-0.013951i,0.017418-0.0097527i,0.015867-0.014775i,-0.0036325-0.0076406i,0.0029568+0.0010317i,-0.00026406+0.00072455i,-0.0011487+4.9225e-05i,0.0015331-0.00014821i,0.00082821-0.0006324i,-0.00087006-0.0019788i,0.0042462-0.004464i,-0.0026218-0.0004873i,-0.0006477+0.0003003i,0.00049912-0.00037791i,-0.00027896+0.0013517i,-0.00030772+0.0011606i,-0.00020679-0.00028597i,0.0011405+0.00095036i,-0.0047157+0.0011253i,-0.00012728+7.407e-05i,-2.0468e-05+0.00013484i,-0.00049283+0.00017975i,9.4094e-05+9.4835e-05i,0.00021626+5.8538e-05i,0.00069369-0.0003754i,0.0005046+0.00012827i,0.00089559+0.00057038i,0.00027857-5.3869e-05i,0.00035878-0.00055242i,-2.0982e-05+0.00036509i,0.0073158+0.0020104i,0.000452-3.0079e-05i,0.00067308+0.00063087i,0.00037997-0.00071806i,0.00069949-0.00069855i,0.0001844+0.00075858i,8.9368e-05-5.8139e-05i,0.00010988-0.0010925i,-0.0016233+0.00017878i,-0.0056794-0.009815i,-0.00031207+0.021611i,0.029824+0.0038655i,0.030618+0.0018205i,0.015367-0.017591i,0.026215+0.010641i,0.016645+0.033386i,0.022052+0.027064i,0.011315+0.04043i,-0.029757+0.010514i,0.001958-0.0090414i,0.005172-0.0031374i,0.008262-0.0039716i,0.010149+0.0053732i,0.0018331+0.0063706i,-0.007683+0.0012592i,0.00037244-0.0077121i,0.002962+0.011562i,-0.0025439-0.003129i,-0.00014339+0.0021188i,-0.00030974+0.00011323i,0.0030654-0.001617i,0.0042106-0.00021172i,-0.003531+4.5025e-05i,0.0036754-0.00026933i,-0.0058554-0.0027457i,-0.0020652-0.0010714i,-0.00027461+0.0002098i,-0.0023816-0.0044628i,-0.0022881-0.0030879i,-0.0073884-0.015327i,0.0033011+0.00016143i,-0.0046842-0.0012259i,-0.0028472+0.0018456i,-0.0060195+0.00077272i,0.0040837+0.0026031i,-0.0070618-0.004712i,0.00029526-0.0067196i,-0.0023442-0.0024926i,-0.0049373-0.0023829i,0.006949-0.00061202i,0.0034729+0.0027149i,0.0026875-0.0025635i,-0.00053311+0.005636i,0.0040188+0.0030911i,0.0096929+0.011795i,-0.025216-0.0051655i,-0.031147+0.0088616i,-0.020082+0.021632i,0.003269-0.00079337i,0.008344-0.0071322i,-0.014971+0.0067328i
