-0.022987-0.019309i,-0.031456-0.034484i,-0.022871-0.020056i,-0.032114-0.020528i,-0.024128+0.0040181i,-0.029028-0.018104i,-0.055538-0.048156i,-0.040193-0.044373i,-0.030837-0.016346i,0.0054547+0.0054682i,-0.003606+0.0060383i,-0.01052+0.011596i,0.0036468+0.007236i,-0.0037901-0.0025263i,0.0029136+0.0018874i,0.0022249+0.028684i,0.020308+0.021044i,-0.00013133+0.00021101i,-0.0031554-0.0027654i,0.0075658+0.0038137i,0.0019716+0.00042542i,-0.00033106+0.0022453i,-0.00061689+0.000252i,-0.029751-0.0022014i,-0.0033564-0.0048516i,-9.9238e-05+0.0025657i,0.0051441-0.0015299i,0.00071129+5.688e-05i,-0.0006158-0.00042235i,-0.0011908-0.0018508i,-0.0023726-0.0003849i,-0.0036376-0.0042179i,-0.0025005-0.0041919i,0.00066681-0.0015627i,0.00048543-0.0027636i,-0.005074+0.025392i,0.0017511-0.0032827i,0.0023761-0.0038398i,0.004332-0.0025004i,-0.0069295-0.001151i,0.00043441+0.00144i,0.0038585-0.0053567i,-0.0021044+0.00033638i,-0.0031657+0.0010818i,-0.0087176-0.0036891i,-0.018083+0.021692i,-0.0079525-0.086773i,-0.0025306-0.06133i,-0.020734-0.054194i,-0.011427-0.045782i,0.053605-0.026997i,0.024101-0.067486i,0.039857-0.054026i,0.019427-0.040116i,0.02565-0.020028i,0.012209+0.012091i,0.024805-0.028373i,-0.011287-0.00073469i,-0.0014065-0.00070324i,-0.0088543-0.0014781i,-0.0044194-0.029629i,-0.021596+0.026387i,0.0077333-0.00942i,-0.010864-0.0031501i,-0.0026027-0.0018925i,-0.00090282-0.014356i,-0.0088324+0.0049589i,0.0063111+0.01068i,-0.011672+0.029808i,0.0065091+0.0076602i,-0.003528-0.0013523i,-0.0022061-0.0015271i,-0.012325-0.0053129i,0.00069002-0.0044669i,-0.03354+0.0044781i,0.0034203-0.0088304i,-0.0073344-0.0021899i,-0.0050048-0.0031674i,0.006636+0.0018926i,-0.01075+0.00052308i,0.0023711-0.00019364i,0.006051+0.0073263i,0.0056074+0.0013634i,-0.0075173-0.0094582i,0.0029608+0.0077329i,-0.020284+0.0092153i,0.0030919+0.0056279i,-0.02125-0.0092165i,-0.026876-0.0052302i,0.01095-0.060697i,0.01931-0.015098i,-0.049917-0.028235i,-0.021941+0.0017084i,0.019044+0.010276i,-0.027159+0.011762i,-0.012278-0.0077528i
0.0050724-0.0010678i,0.029359-0.01684i,0.0059322-0.021438i,0.011341-0.014225i,0.0065736-0.014288i,0.0022688-0.017963i,0.014036+0.0049822i,0.02266-0.0013048i,-7.8036e-05-0.0035899i,-0.00016107+6.1282e-05i,-0.0012409-0.0021365i,0.00046092-0.0005199i,-0.00024175+0.0009089i,0.0010666-0.00092855i,0.00048391-0.0032363i,0.0047367-0.001075i,-0.0013108-0.0035856i,-0.00086808-0.00060467i,4.1284e-05+0.0018792i,-0.00094315-0.00058486i,-0.00096838+0.00049473i,4.352e-05+0.0015222i,-0.00062455+0.0017346i,0.0019146-0.0072302i,0.0009566+0.00097783i,0.00015713-0.00045766i,0.0002855-0.00058365i,0.00028548-0.0001258i,0.00036644+0.00061581i,0.00063871+0.001364i,-0.00097686+0.00066888i,0.0008856+0.00139i,0.00029647-0.0001292i,0.00062444-0.00011231i,0.00082311-1.2734e-05i,0.0042959+0.0087621i,0.0002784+0.0003485i,-8.2417e-05+0.00046555i,0.00093584+0.00043143i,-0.0010757+0.00070633i,-0.0012108-4.3532e-05i,1.836e-05+0.00029051i,0.0021876+0.00039885i,-0.001398-0.004543i,0.0047626-0.0049116i,-0.014823+0.031592i,0.022156+0.025248i,0.020184+0.02837i,0.038931+0.010424i,0.022199+0.023783i,-0.013041+0.030403i,-0.013261+0.030424i,-0.036144+0.041984i,-0.030132-0.01396i,0.014981-0.0074014i,0.0041405+0.0048329i,0.0077445+0.008949i,-0.0036805+0.015168i,-0.0051914+0.0034541i,0.010204-0.0092156i,0.013761-4.2296e-05i,-0.011455+0.0091587i,0.00043644+2.1667e-06i,-0.0010803+0.0041803i,-0.00036721+0.0004968i,-0.0021855+3.3136e-06i,0.0055993-0.00083429i,-0.0033859-0.0059834i,-0.00080402+0.0032661i,0.0028443-0.0040865i,-0.0013696-0.0052657i,-0.0025641+0.0019259i,0.0020092-0.0010601i,0.0008338-0.0016692i,0.023503-0.011914i,-0.0026706+0.0050659i,-0.001348-0.005056i,-0.003703-0.0010515i,-0.0029833-0.0065947i,0.00051735+0.0066021i,0.0032696-0.004735i,0.0022945-0.0011515i,0.0014286-0.0034391i,-0.0010243-0.002538i,0.0023614+0.0044947i,0.00075303+0.00027851i,0.0050125+0.0019068i,-0.00084173+0.002686i,-0.0023438+0.0096302i,-0.0072823+0.018863i,0.00805-0.0078817i,-0.017646+0.0027723i,-0.031726-0.0037085i,0.018344+0.00035531i,0.020818+0.0082536i,-0.015199+0.0033834i
0.0049587-0.0018963i,0.025589-0.021138i,0.0013022-0.023158i,0.0073841-0.017959i,0.0037239-0.016589i,-0.0013508-0.017793i,0.015726+0.002969i,0.021943-0.0049848i,-0.00052983-0.0044681i,-0.00032965+0.00092574i,-0.0015208-0.0012663i,0.00053061-0.0010754i,0.00029928+0.0010339i,0.00073631-0.00086585i,-0.00010795-0.0028016i,0.0051167-0.0022323i,-0.0018698-0.0031826i,-0.0011258-0.00038436i,0.00091347+0.001486i,-0.0013411-7.0916e-05i,-0.00091822+0.00056219i,0.00056347+0.0008803i,-7.8305e-05+0.0017351i,-0.0014521-0.0067823i,0.0011357+0.00017561i,-4.0486e-05-0.00027633i,-0.00037613-0.00057811i,0.00014261-0.00010297i,0.00068435+0.00033618i,0.00094581+0.00088138i,-0.00043892+0.00086455i,0.0018906+0.0012208i,8.0892e-05-4.4948e-05i,0.00045961-0.00029477i,0.00043594-0.00065784i,0.0050752+0.0072165i,0.00045048+0.00037806i,-2.0391e-05+0.00044533i,0.00093112+0.00028597i,-0.00043343+0.00066845i,-0.0013019+0.00046676i,3.5065e-05+0.0002845i,0.0021309-0.00030639i,-0.0011362-0.0027379i,0.0031839-0.0074569i,-0.0083505+0.029705i,0.026067+0.019615i,0.02557+0.023227i,0.034659-0.0010018i,0.023177+0.018523i,-0.0064291+0.034645i,-0.0037965+0.034654i,-0.02412+0.047952i,-0.033812-0.0088853i,0.010488-0.0086856i,0.0049683+0.0033466i,0.0095888+0.0050188i,0.00088371+0.015423i,-0.0043587+0.0050994i,0.0022003-0.011382i,0.011199-0.0050257i,-0.0090306+0.012362i,0.0016197-0.00076823i,0.00073827+0.0010406i,1.0489e-05-0.00013714i,-0.00038189+0.001449i,0.0045085-0.0011474i,-0.0035016-0.0042112i,0.0016397+0.0031405i,0.0014502-0.0061042i,-0.0029095-0.0039732i,-0.0015858+0.0021587i,0.0014352-0.0024487i,0.00084915-0.0024914i,0.014422-0.018525i,-0.0001241+0.0047694i,-0.0023155-0.0041574i,-0.0030829-0.00068043i,-0.0048184-0.005468i,0.0020672+0.0052417i,0.001738-0.0064871i,0.0027178-0.0021329i,7.7632e-05-0.0040935i,-0.0019637-0.0032871i,0.0038362+0.0035705i,0.00052535+0.001532i,0.0065614-0.00077435i,-0.0015885+0.0027893i,0.00074816+0.0090078i,-0.0037607+0.018927i,0.0007034-0.0144i,-0.020275-3.4183e-06i,-0.03386+0.0045269i,0.012421-0.0040108i,0.021125+0.0027569i,-0.014233+0.0050115i
0.0050087-0.0028961i,0.021603-0.024291i,-0.0041455-0.023141i,0.0018372-0.019844i,-5.8276e-05-0.017915i,-0.0043009-0.016636i,0.017245-6.3878e-05i,0.020489-0.0081715i,-0.00098801-0.0055649i,0.00029465+0.0018982i,-0.0015215-0.00027538i,-0.00026773-0.0015175i,0.00090195+0.0010381i,0.00072897-0.00056108i,-0.00037255-0.0024217i,0.0047665-0.0033017i,-0.0027093-0.0022186i,-0.0012945+0.00015946i,0.0011643+0.00053712i,-0.0013245+0.0007911i,-0.0007204+0.00091593i,0.00045841+0.00015269i,0.00043148+0.0016134i,-0.0039675-0.0052689i,0.00054013-0.00013647i,-0.00011537-0.00010735i,-0.00036594+0.00027057i,3.9017e-05+1.9402e-05i,0.00054236-7.8167e-05i,0.0010888+0.00047455i,-1.8689e-05+0.00077676i,0.0010253+0.00019195i,8.8041e-05+0.00016286i,0.0002321-0.00027355i,-0.00021275-0.00040256i,0.0056964+0.0053463i,0.00057688+0.00015104i,-1.4031e-05+0.00066442i,0.00095045+0.00012068i,0.00012672+0.00031984i,-0.0012435+0.0011045i,0.00017209+0.00023487i,0.0016884-0.0010361i,-0.0015183-0.0017632i,0.00075768-0.0091661i,-0.0034537+0.026725i,0.028201+0.014069i,0.030061+0.016579i,0.028684-0.0085878i,0.023602+0.014372i,0.001055+0.03652i,0.0056379+0.033953i,-0.011206+0.049679i,-0.035263-0.0022465i,0.0074161-0.0089559i,0.0055599+0.0019949i,0.0093763+0.001562i,0.0052675+0.014017i,-0.0027136+0.006972i,-0.0044657-0.0083837i,0.0077198-0.0072217i,-0.0050434+0.014303i,0.0014353-0.0027198i,0.0007612+0.0010845i,-0.00016865-0.00027951i,0.0016993+0.0012565i,0.0038826-0.0014953i,-0.0042291-0.0031836i,0.0030982+0.0017571i,-0.001861-0.0070905i,-0.0035643-0.0024331i,-0.00025816+0.0017079i,0.00066748-0.003275i,0.00029121-0.0034384i,0.0055755-0.019856i,0.0014798+0.0037342i,-0.0030609-0.0035574i,-0.0036148-0.00057715i,-0.0063603-0.0035634i,0.0026753+0.0039923i,-0.0011804-0.0076081i,0.0028445-0.0034572i,-0.001068-0.0033601i,-0.0027103-0.0030668i,0.0048309+0.0028218i,0.0013985+0.0023716i,0.0048124-0.0028154i,-0.0017191+0.003524i,0.0029531+0.0071863i,0.00098663+0.0185i,-0.0097595-0.016826i,-0.02433+0.00047261i,-0.031886+0.013657i,0.0072053-0.0034089i,0.019449-0.0033142i,-0.013031+0.0047377i
0.0048044-0.0045186i,0.01773-0.027399i,-0.0087932-0.021336i,-0.0033207-0.019257i,-0.0038353-0.018227i,-0.0064964-0.015446i,0.018164-0.0041641i,0.018763-0.011272i,-0.0021178-0.0067386i,0.0016365+0.0020569i,-0.0010217+0.00043406i,-0.0010133-0.00094365i,0.001471+0.00051041i,0.00081824-0.00055904i,-0.00056201-0.0021891i,0.0043288-0.0040974i,-0.0028422-0.00099051i,-0.00093543+0.00041235i,0.00078734-0.00015679i,-0.00079595+0.0012738i,-0.00041506+0.0010743i,0.00011374-0.00017091i,0.00086384+0.001334i,-0.0047231-0.0022358i,0.00018207-0.00011102i,-9.4664e-05+2.1225e-06i,-0.00056718+4.795e-05i,5.4659e-05+9.7946e-05i,0.00019905-2.7819e-05i,0.001073-4.9484e-05i,0.00036298+0.00057015i,0.00079513+0.00031516i,0.00035971+8.1458e-05i,0.00030963-9.394e-05i,-0.00029338+0.00012851i,0.0063589+0.0048059i,0.00040483+5.0746e-05i,0.00032086+0.00084049i,0.00085075-0.00030152i,0.00046644-9.2899e-05i,-0.00077584+0.0010562i,0.0002511-1.479e-05i,0.00095502-0.0015377i,-0.0016399-0.0010035i,-0.0020989-0.010002i,-0.00066927+0.023292i,0.029285+0.0089802i,0.032255+0.0084003i,0.02249-0.013656i,0.0238+0.012191i,0.0090349+0.036354i,0.013486+0.031151i,0.00077893+0.047455i,-0.03393+0.0050457i,0.004862-0.0091804i,0.0060866-2.941e-05i,0.0089452-0.0010705i,0.0092001+0.010602i,-1.5095e-05+0.0073441i,-0.0075123-0.0037333i,0.0039205-0.0080487i,-0.00073533+0.013727i,-0.00038907-0.0035845i,2.2143e-05+0.0011876i,-0.00031971-8.2823e-05i,0.0026785-0.00010744i,0.0034836-0.0010648i,-0.0043485-0.0016043i,0.0034121+4.3649e-05i,-0.0049018-0.0052879i,-0.0034772-0.00085636i,0.00015709+0.00055527i,-0.00030236-0.0039298i,-0.00095685-0.0036955i,-0.0014232-0.017828i,0.0029432+0.0022629i,-0.0040874-0.0025838i,-0.0038081+0.00071717i,-0.0065258-0.00094718i,0.0031542+0.0033557i,-0.0045547-0.0068249i,0.0022955-0.0051894i,-0.0015407-0.0028748i,-0.0032507-0.0030599i,0.0059952+0.0018483i,0.0025758+0.0023859i,0.003065-0.0025796i,-0.0016181+0.0041218i,0.0041913+0.0051613i,0.0059247+0.015986i,-0.019847-0.013718i,-0.028267+0.0035584i,-0.026498+0.019i,0.0051264-0.0020877i,0.014212-0.0084882i,-0.01442+0.0051967i
0.0037577-0.0060457i,0.013268-0.030283i,-0.012264-0.018939i,-0.0074032-0.017515i,-0.0076252-0.017736i,-0.0086868-0.014304i,0.017731-0.0094235i,0.016545-0.014298i,-0.0040282-0.007566i,0.0027012+0.0012254i,-0.0003244+0.00069694i,-0.0012324-1.0443e-05i,0.0014848-0.00021409i,0.00084742-0.00061479i,-0.00090334-0.0020577i,0.003626-0.0048641i,-0.0026078+9.8966e-05i,-0.00067632+0.00034037i,0.00051579-0.00036007i,-0.00020053+0.0013883i,-0.00025367+0.0013234i,-0.00016376-0.0002161i,0.0011152+0.00087694i,-0.0044118+0.00075548i,-4.3785e-05+3.4581e-05i,-2.8843e-05+0.00010652i,-0.00040726+0.00026782i,7.3416e-05+0.00015578i,0.00019564+1.9934e-05i,0.00070637-0.00039811i,0.00054046+0.00015169i,0.0010004+0.00035346i,0.00032691+2.3458e-07i,0.00044221-0.00044218i,2.5756e-05+0.0004072i,0.0077635+0.0028977i,0.00044243+1.3989e-05i,0.00064537+0.00077577i,0.00014132-0.00075361i,0.00079993-0.00048912i,-0.00065801+0.00096029i,0.00012326-0.00012493i,9.5857e-05-0.0014075i,-0.0016132+7.8896e-05i,-0.0049356-0.0095402i,0.00022562+0.021314i,0.029921+0.0040967i,0.031273+0.0018363i,0.015614-0.017366i,0.026256+0.010882i,0.016477+0.033534i,0.021314+0.026409i,0.011363+0.041687i,-0.029373+0.011119i,0.0025415-0.0090364i,0.0051813-0.0031048i,0.008169-0.0039241i,0.010451+0.0055955i,0.0016965+0.0064614i,-0.0083623+0.0016629i,0.00044299-0.0072639i,0.0023966+0.011568i,-0.0023638-0.0028914i,-0.0003498+0.0016507i,-0.00031456+0.0002233i,0.0030919-0.0016117i,0.0043136-9.2419e-05i,-0.0033586-0.00033273i,0.0034366-0.00024328i,-0.0058244-0.0029066i,-0.00079324-0.00023947i,-0.00017964+0.00015949i,-0.0023411-0.0043078i,-0.0021395-0.0029902i,-0.0071536-0.014986i,0.0033907+5.4973e-05i,-0.004556-0.0011152i,-0.002952+0.00162i,-0.0058964+0.00094787i,0.0039896+0.0027193i,-0.0068773-0.00444i,0.00026903-0.0068712i,-0.0022952-0.0023361i,-0.0048183-0.002424i,0.0070505-0.0003638i,0.0038366+0.0020348i,0.0028824-0.0021999i,-0.00056582+0.0052686i,0.004078+0.0029559i,0.0096031+0.011644i,-0.025303-0.0053094i,-0.031307+0.0092882i,-0.02053+0.022742i,0.0034204-0.00065399i,0.007837-0.0078209i,-0.014656+0.0073132i
0.0021262-0.0069406i,0.0077945-0.032474i,-0.015246-0.016571i,-0.010754-0.015418i,-0.011217-0.016435i,-0.010704-0.01253i,0.014782-0.014334i,0.013519-0.016714i,-0.0061881-0.0072919i,0.003159+0.00012804i,0.00012075+0.00055323i,-0.00088589+0.00065721i,0.0011822-0.00072561i,0.00077634-0.00068491i,-0.0012457-0.001614i,0.0024407-0.0054462i,-0.0021764+0.001007i,-0.00067832+0.00035291i,0.00018895-0.00046445i,8.7555e-05+0.0012064i,-0.00021925+0.0013513i,-0.00041547-5.1395e-05i,0.0012375+0.00059279i,-0.0028572+0.002498i,-3.8698e-05+0.00023928i,4.0704e-05+0.00018182i,-0.00064457+0.00032583i,-4.1044e-05+0.00030944i,0.00016903+1.159e-05i,0.00041198-0.0002654i,0.00042657-0.00015146i,0.0012665+6.9014e-05i,0.00020948-3.9152e-05i,5.478e-05-0.0006552i,0.00040613+0.0004943i,0.0076021+0.00083259i,0.00034911-0.00014347i,0.00088576+0.000616i,2.3551e-05-0.00065624i,0.00080563-0.0011316i,-0.00023281+0.0011439i,5.6979e-05-0.00018906i,-0.00046775-0.0010362i,-0.00086215+0.00093491i,-0.0072634-0.0080851i,0.0015215+0.021613i,0.029971-0.00037479i,0.030625-0.003842i,0.0085464-0.017198i,0.030083+0.0074812i,0.022811+0.029505i,0.026794+0.018962i,0.018123+0.033237i,-0.023016+0.014303i,4.8992e-05-0.0088208i,0.0023169-0.0050983i,0.0060605-0.0066163i,0.0097887+0.00169i,0.0030387+0.0055108i,-0.0063652+0.0064593i,-0.0019798-0.0049778i,0.0038402+0.0097853i,-0.0029156-0.0015886i,0.00068306+0.0025012i,5.4638e-05+0.00066171i,0.0016647-0.0034323i,0.0066758-0.001548i,-0.0026742-0.00051467i,0.0044272-0.0010649i,-0.0066685-0.00031564i,-0.0020429+0.00030737i,0.00015957+7.2903e-05i,-0.004734-0.0022221i,-0.0029267-0.0019498i,-0.011507-0.010276i,0.0025155-0.0019324i,-0.0042638+5.8837e-05i,-0.0015522+0.0013798i,-0.0049761+0.0027733i,0.0051439+0.0015906i,-0.0080688-0.0014697i,-0.0023025-0.0067326i,-0.0024809-0.0015179i,-0.0057979-0.00039417i,0.0061971-0.0034364i,0.0046182+0.0010312i,0.0028215-0.0024465i,0.00088504+0.0053783i,0.003133+0.0013114i,0.011422+0.0062168i,-0.025603+0.0021227i,-0.031707+0.01606i,-0.014268+0.023295i,0.0027078+0.0021502i,0.0065165-0.0059606i,-0.014255+0.0086509i
0.00079734-0.0071968i,0.0021317-0.033478i,-0.017902-0.013566i,-0.013321-0.012536i,-0.014317-0.014429i,-0.012052-0.010671i,0.010704-0.017499i,0.010353-0.01813i,-0.0078176-0.0062849i,0.0032737-0.0011944i,0.00047951+0.0002236i,-0.00030516+0.0011247i,0.00072516-0.00098899i,0.00076361-0.00064737i,-0.0013148-0.0012781i,0.0012855-0.0053902i,-0.0014824+0.0016322i,-0.0006784+0.00028784i,-0.00012535-0.00052109i,0.00039652+0.0010974i,0.00022462+0.0014572i,-0.00036286+0.0001386i,0.0013344+0.0001285i,-0.0010771+0.0030212i,0.00016604+0.00036514i,0.00018457+0.00012637i,-0.000318+0.0008318i,0.00013098+0.00052015i,0.00016402+1.2595e-05i,0.00045522-0.00017141i,0.00022937-0.00029883i,0.0013515-0.00024969i,0.0003146-3.6313e-05i,-0.00035277-0.00048884i,0.0008667+0.0003713i,0.011105-0.0026142i,0.00012775-4.9524e-05i,0.0013603+0.00039255i,1.5546e-05-0.00040569i,0.00045373-0.0018582i,0.00033619+0.00078649i,-1.8734e-05-0.00036021i,-0.00068573-0.00038572i,0.00020919+0.0010344i,-0.0082837-0.0061974i,0.0047488+0.022416i,0.029914-0.0046239i,0.029292-0.010119i,0.003518-0.014564i,0.033115+0.0018821i,0.028134+0.024022i,0.029301+0.011441i,0.020728+0.024925i,-0.017271+0.013877i,-0.0023148-0.0079133i,-0.0011093-0.0051557i,0.0029022-0.0086302i,0.0080446-0.0011586i,0.003978+0.0041456i,-0.0026639+0.0090707i,-0.0025348-0.0022631i,0.005244+0.0078181i,-0.0036007-0.00064116i,0.002196+0.0035013i,0.00097941+0.00053851i,-0.00045006-0.003307i,0.0069529-0.0052467i,-0.0032706-0.00016207i,0.0042547-0.0030807i,-0.0062065+0.0025893i,-0.0024176-0.001605i,1.5917e-05-0.00057065i,-0.0044223+0.00060765i,-0.0030546-0.0011316i,-0.012956-0.0048881i,0.00092421-0.0024571i,-0.0039502+0.0010884i,-0.0017551+0.00099039i,-0.0034126+0.0042821i,0.0063077-0.00064468i,-0.0076677+0.0017635i,-0.0044567-0.0055673i,-0.0023165-0.001187i,-0.0052993+0.0016489i,0.0031865-0.0045371i,0.0048182-0.00059243i,0.0022525-0.0028376i,0.0023875+0.0046085i,0.0018638+0.0010304i,0.010609+0.0014733i,-0.024278+0.0077721i,-0.030213+0.023441i,-0.0097435+0.022645i,0.0042423+0.004776i,0.0044508-0.0063058i,-0.014044+0.010784i
-0.00010435-0.0074672i,-0.0040222-0.033428i,-0.019706-0.010173i,-0.014725-0.0093003i,-0.017264-0.011919i,-0.013147-0.0088731i,0.0065112-0.019536i,0.0074635-0.01926i,-0.0093017-0.0046541i,0.0028888-0.0024919i,0.00037264-0.00016051i,0.00048746+0.001363i,0.00019273-0.00087032i,0.00087917-0.00076596i,-0.0014811-0.0010251i,0.00055744-0.0052178i,-0.00042179+0.0016944i,-0.00093838+0.00035006i,-0.00035713-0.00031392i,0.00069328+0.00075747i,0.00081826+0.0012015i,-0.00039094+0.0001672i,0.0012476-0.0003509i,0.0005735+0.0026565i,0.00063906+0.0003766i,0.00029832-1.3642e-05i,0.00019621+0.00092661i,0.00037788+0.0005392i,0.00016138+1.1481e-05i,0.00046264-0.00029973i,4.2283e-05-0.00029625i,0.0013661-0.00076343i,0.00026441-0.00018644i,-0.00048941-0.00016862i,0.0012376-0.00041871i,0.0067047-0.0061758i,0.00027606+8.7627e-05i,0.00122-0.00042492i,0.00011651-0.00045581i,-0.00031288-0.0022858i,0.00070658+0.00047503i,-0.00029324-0.00037508i,-0.00065063+5.494e-05i,0.00075118+0.00047397i,-0.0086868-0.0046685i,0.010082+0.022289i,0.02967-0.009338i,0.026442-0.015308i,0.00072271-0.011128i,0.035175-0.0048018i,0.031488+0.017652i,0.030859+0.004687i,0.020773+0.018461i,-0.013508+0.014082i,-0.0043962-0.0060574i,-0.0041192-0.0033515i,-0.0015485-0.0092491i,0.0056381-0.0026456i,0.0040337+0.0028186i,0.0010513+0.0092768i,-0.0016446-0.0007334i,0.0056582+0.0056618i,-0.0041367+0.0016916i,0.0037402+0.0034176i,0.0012798-0.00021115i,-0.0017369-0.0021909i,0.005139-0.0078861i,-0.0030956+0.00075875i,0.0036505-0.004232i,-0.0033276+0.0044398i,-0.0031313-0.0018488i,-0.00052197-0.00072275i,-0.0029539+0.0023247i,-0.0025942-0.00043985i,-0.01232-0.00015453i,0.00011375-0.0026143i,-0.0031165+0.0019495i,-0.0018444+0.0015731i,-0.0012744+0.0044384i,0.0061993-0.0032578i,-0.0059042+0.0040734i,-0.0059416-0.0036274i,-0.0025098-0.0011024i,-0.0042975+0.0029557i,0.0016952-0.0041312i,0.0041715-0.0018049i,0.0019731-0.0032773i,0.0022162+0.0020828i,0.0011774+0.0012719i,0.0099012-0.0011928i,-0.020728+0.01219i,-0.02497+0.030858i,-0.0064168+0.021586i,0.0074425+0.004998i,0.0022323-0.0049768i,-0.012653+0.013159i
-0.0011837-0.0079077i,-0.0098667-0.031665i,-0.020971-0.0069706i,-0.015158-0.0065029i,-0.019652-0.0082346i,-0.014103-0.0070118i,0.0018128-0.020431i,0.0044852-0.020011i,-0.0097174-0.0026498i,0.0020197-0.0047617i,4.0986e-05-9.0009e-05i,0.0014925+0.00073624i,-7.2669e-06-0.00052833i,0.00080303-0.0011937i,-0.0016108-0.00055716i,-0.00026566-0.0050595i,-0.00015595+0.0013294i,-0.0010714+0.00083698i,-0.00030823+1.1692e-05i,0.00076884+0.00027092i,0.0012216+0.00066087i,-0.00057103+0.00028143i,0.00094593-0.00071475i,0.0018046+0.0013094i,0.001153-4.6999e-05i,0.00020897-0.00020099i,0.00044751+0.00078918i,0.00066212+0.00027207i,0.00020859+5.8877e-06i,0.00030801-0.00037688i,-8.0142e-05-0.0002546i,0.0011626-0.0011465i,0.00019837-0.00023969i,-0.00042249-1.6192e-05i,0.00090635-0.0013352i,0.0040322-0.006484i,0.00059252-6.0325e-05i,0.00097626-0.00087433i,1.4235e-05-0.00047441i,-0.0012284-0.002371i,0.0007508-1.7663e-05i,-0.00055752-0.0001672i,-0.00063002+0.00074963i,0.00075986+0.00012737i,-0.0086419-0.0036105i,0.016002+0.018828i,0.028757-0.014144i,0.023967-0.019325i,0.00091928-0.0067208i,0.035269-0.013025i,0.03353+0.011199i,0.031344-0.002738i,0.020608+0.013668i,-0.0088856+0.013872i,-0.0051198-0.0036508i,-0.005919-0.00032712i,-0.0061072-0.0082059i,0.0037623-0.0030293i,0.0037451+0.002225i,0.0042979+0.0086871i,-0.00072786-0.00017936i,0.0052912+0.0033172i,-0.0020916+0.0043049i,0.0052661+0.0026554i,0.0015995-0.00069462i,-0.0022678-0.00090207i,0.0025939-0.0097211i,-0.0026621+0.00134i,0.0024311-0.0055656i,-0.0010302+0.0036181i,-0.0041174-0.0011372i,-0.00084037-0.00068653i,-0.001273+0.003446i,-0.0022758-0.00039003i,-0.01017+0.0037899i,-0.0010841-0.0029771i,-0.001918+0.0022502i,-0.001452+0.0017287i,0.00039798+0.0036204i,0.0054251-0.0057934i,-0.0034118+0.0054136i,-0.0058384-0.0013933i,-0.0032041-0.00076708i,-0.0031542+0.0040465i,0.00063379-0.0038232i,0.0034788-0.002408i,0.0015094-0.0038705i,0.00075196+0.0017719i,0.00087589+0.0019113i,0.0088061-0.0041648i,-0.017444+0.013102i,-0.016472+0.034439i,-0.003156+0.021154i,0.009314+0.0039381i,0.0016302-0.0030346i,-0.010076+0.014539i
-0.0026514-0.0082818i,-0.014957-0.028704i,-0.021913-0.0034882i,-0.01543-0.0042255i,-0.020485-0.0043254i,-0.014917-0.0050131i,-0.0024537-0.019764i,0.0015813-0.02019i,-0.0091337-0.0011099i,0.0011939-0.0018355i,5.0167e-05+0.00015449i,0.0015123-0.00029434i,1.2744e-05-0.00033109i,0.00022919-0.0012885i,-0.0013728-2.0486e-05i,-0.001184-0.0046622i,0.00011814+0.0013156i,-0.00058629+0.0011587i,-0.00026376+8.5375e-05i,0.00049466-9.5702e-05i,0.0012622+2.5927e-05i,-0.00056207+0.00051714i,0.00059543-0.00087604i,0.001731-0.00015885i,0.0011948-0.00084483i,-1.1604e-05-0.00028301i,0.00073999+0.0007019i,0.00061798-2.2762e-06i,0.00025543-0.00010387i,0.00012654-0.00039866i,-0.00011339-7.2147e-05i,0.00074325-0.0014429i,1.5378e-05-0.0003053i,-0.00044225+0.00017689i,0.00021369-0.001648i,0.0024697-0.0070722i,0.00053546-0.00043915i,0.00040765-0.0014286i,2.0644e-05-0.00039866i,-0.0022802-0.0021464i,0.00051009-0.00037733i,-0.00058945+0.00015415i,-0.00040222+0.0012063i,0.00087997-0.0001366i,-0.008211-0.0031396i,0.019798+0.013159i,0.027025-0.019083i,0.021214-0.024747i,0.0042661-0.0036242i,0.032605-0.021572i,0.034425+0.0050276i,0.029248-0.0097937i,0.01955+0.010165i,-0.0046145+0.011762i,-0.0047147-0.0022942i,-0.0057032+0.0033492i,-0.01057-0.0047117i,0.0023673-0.0030726i,0.0035326+0.0017031i,0.0063726+0.006594i,0.00024502-0.00041014i,0.0035762+0.0020098i,0.0011863+0.0037444i,0.0066708+0.00063772i,0.0016831-0.0015508i,-0.0020006+0.00074893i,-0.0010262-0.011216i,-0.0026214+0.0023318i,0.00065123-0.0066656i,-0.00089168+0.0031318i,-0.0047677+0.00036539i,-0.0011437-0.00053231i,0.0011675+0.0035521i,-0.0024186-0.00059889i,-0.0068241+0.0062368i,-0.0029317-0.0025693i,-0.00090769+0.0020051i,-0.00096941+0.0018442i,0.0011492+0.0024635i,0.0033709-0.0083311i,-0.00091731+0.0053459i,-0.0048241-6.4351e-05i,-0.0032762+0.00010444i,-0.0015093+0.0053584i,-0.00049988-0.0030377i,0.0026744-0.0027933i,0.0004234-0.0043417i,8.452e-05+0.0023487i,0.0010246+0.0022351i,0.0071039-0.0065103i,-0.017664+0.012787i,-0.0089697+0.033926i,0.00058743+0.019256i,0.010656+0.0020957i,0.0021827-0.0017897i,-0.007349+0.015189i
