-0.022661-0.019161i,-0.032209-0.034228i,-0.022536-0.020073i,-0.032142-0.020395i,-0.024273+0.0038437i,-0.029161-0.017745i,-0.056693-0.046329i,-0.03879-0.043856i,-0.027466-0.015316i,0.0044071+0.0047607i,-0.0038059+0.0069796i,-0.011478+0.01137i,0.0038852+0.006731i,-0.0039205-0.0030295i,0.0028117+0.0014436i,0.00092141+0.031069i,0.019556+0.0076399i,-0.00032728+0.00029526i,-0.0031604-0.0025439i,0.0077626+0.0053317i,0.0019776+0.00051988i,-0.00016996+0.002162i,-0.00059927+0.00034152i,-0.02852-0.0008291i,-0.0035431-0.0042985i,-0.00013626+0.0024089i,0.0046933-0.00089129i,0.00072228-0.00025601i,-0.0004769-0.00061641i,-0.0014115-0.0016507i,-0.0022943-0.00040368i,-0.0038868-0.004228i,-0.0020169-0.004417i,0.00064439-0.0014632i,0.00073552-0.0027088i,-0.0028427+0.027157i,0.002019-0.0028424i,0.0024671-0.00426i,0.0039461-0.0025416i,-0.011942+0.0027296i,0.00018215+0.0011999i,0.0032167+0.00084642i,-0.0036143+0.00013552i,-0.0027258+0.0010199i,-0.010275-0.0030097i,-0.018491+0.021271i,-0.0084113-0.086518i,-0.0022328-0.06057i,-0.021246-0.054376i,-0.010598-0.046852i,0.05304-0.027637i,0.02529-0.068183i,0.039618-0.051932i,0.018268-0.040227i,0.025702-0.019624i,0.012204+0.012066i,0.026255-0.028407i,-0.013849-0.0030062i,-0.0013249-0.0009634i,-0.0082247-0.0021548i,-0.0038663-0.028651i,-0.020698+0.026468i,0.0072169-0.0096412i,-0.0103-0.0031241i,-0.0025814-0.0020593i,-0.00095813-0.014137i,-0.0088654+0.0047372i,0.006817+0.010587i,-0.0088584+0.029942i,0.0069416+0.0070616i,-0.0035021-0.0016536i,-0.0022797-0.0014701i,-0.012592-0.0095321i,-9.7027e-05-0.0040051i,-0.032545+0.00075147i,0.0035918-0.00923i,-0.0070509-0.0018773i,-0.0053282-0.0028018i,0.006535+0.001746i,-0.010341+0.00025291i,0.0027553-0.00049793i,0.0051324+0.0084185i,0.0057073+0.00034811i,-0.007489-0.009843i,0.0028647+0.0081032i,-0.021081+0.0076179i,0.0032016+0.0055507i,-0.021628-0.0077062i,-0.027277-0.005507i,0.010354-0.062854i,0.018569-0.015215i,-0.052413-0.027836i,-0.023142+0.0028559i,0.019558+0.010697i,-0.026557+0.012127i,-0.012566-0.0072638i
0.0060489+0.0051329i,0.037114+0.015728i,0.019993-0.0039172i,0.012904+0.0024761i,0.0087854-0.0017729i,0.016062-0.0073877i,0.012524+0.013993i,0.018863+0.019656i,0.0022833-0.0026859i,0.0015052+0.00082304i,0.0024352-0.0013553i,0.0012242-0.0039842i,0.00015456-0.0012605i,0.0021572-0.00015545i,0.0043324-0.0019045i,0.0057352+0.0012208i,0.0056808-0.0049249i,0.00013496-0.0010463i,-0.002396-1.4752e-05i,0.00073883+0.00093773i,0.00016232-0.00014472i,-0.0021143-0.00056795i,-0.0014534-0.00012262i,0.0060014+0.0086982i,-0.00061082+0.00029813i,0.00037606+0.0008188i,0.00093886+0.00098237i,-9.3385e-05+0.0011782i,-0.00028328-0.00041882i,-0.0013286+0.00015144i,0.00088035-0.0013308i,-0.00041866+0.00041813i,1.8632e-05+0.00071132i,-0.00013384+0.00060482i,-0.00044839-0.0010794i,-0.0095874+0.0098185i,0.0006254+0.00022129i,-0.00048314-0.00012953i,-0.00052134+0.0014914i,0.001218-0.0043965i,-0.00032404+0.00027895i,-0.0004957-0.00022064i,0.00056775+0.0011276i,0.0041632-0.0020749i,0.00060814+0.0032498i,-0.049252+0.0092257i,-0.003581+0.030019i,-0.013549+0.041528i,-0.0090426+0.065065i,-0.017438+0.042956i,-0.006471+0.01868i,-0.0081885+0.012307i,-0.04838+0.00325i,-0.025126-0.0077675i,0.014783+0.02484i,0.00053358+0.0056208i,-0.0074618+0.0012566i,-0.014439-0.0016237i,0.0036416-0.00045548i,0.0057328+0.011138i,-0.0081056+0.0067195i,-0.0065232-0.0069167i,0.005937-0.0029233i,-0.0062454-0.0052447i,0.0038071-0.0070815i,0.0041778-0.002109i,-0.0025992+0.010295i,0.01224-0.0050558i,0.0060063-0.0053106i,0.0053731-0.0083145i,0.0030949+0.00093685i,-0.0019934-0.0059154i,-0.0028155-0.001386i,0.0022241-0.0024504i,-0.0078769+0.035065i,-0.0041876-0.005525i,0.0032778+8.8997e-05i,0.00037318-0.0064698i,0.0034627-0.0021643i,-0.012883-0.0063068i,0.00084479+0.00082908i,0.0049288-0.0016107i,0.0026611-0.0012303i,0.00117-0.0053603i,-0.0026453+0.0048593i,0.00015401+0.0064579i,-0.0049127+0.0067465i,-0.004314+0.0023425i,-0.0057443-0.00010055i,-0.024046+0.020044i,-0.0080605+0.013729i,-0.022249-0.012257i,-0.0098495-0.010679i,0.0081817+0.020299i,0.00046961+0.020158i,-0.0089166-0.0034964i
0.0064111+0.002949i,0.038953+0.00823i,0.018978-0.0076623i,0.013592+0.0010935i,0.0095748-0.0033056i,0.014558-0.010569i,0.013118+0.010923i,0.022543+0.015531i,0.0008981-0.0032001i,0.0017792+0.00010542i,0.0022533-0.0016716i,-0.00047581-0.0028374i,-9.6194e-05-0.00073582i,0.0019605-0.00011328i,0.0034166-0.0024145i,0.0055453+0.0003303i,0.0036925-0.0050402i,0.00018603-0.00092636i,-0.0026328+0.00026644i,0.00097998+0.00015812i,2.6571e-05-0.00052875i,-0.0022329-3.4401e-05i,-0.0014885+8.8899e-05i,0.0099757+0.0054626i,-0.00087793+0.0011856i,0.0010026+0.00050898i,0.0010389+0.00037455i,0.00045813+0.0010994i,-0.00076907+6.8539e-05i,-0.0013158+0.00062696i,-0.00037476-0.0015115i,-0.0004912+7.8347e-05i,-2.6392e-05+0.00057137i,0.00021797+0.00048776i,-0.00095672-6.3378e-05i,-0.0077409+0.015035i,0.00028038-7.5778e-05i,-0.00046114+0.00028177i,0.00024051+0.0013519i,-0.0017013-0.0041305i,-0.00029346+0.00010567i,-0.00065063+0.00017442i,0.0005648+0.0011875i,0.0032293-0.0025212i,0.001804+0.0032627i,-0.044473+0.017078i,-0.00056308+0.030879i,-0.0048152+0.041799i,0.0072475+0.061992i,-0.0074007+0.041871i,-0.0090922+0.015352i,-0.011712+0.010316i,-0.050366+0.0083126i,-0.020957-0.0094692i,0.020357+0.019579i,0.00054069+0.0052729i,-0.006586+0.0068557i,-0.013149+0.0023819i,0.0021724-0.0020612i,0.0085611+0.01023i,-0.0032164+0.012319i,-0.010043-0.0048455i,0.0024484-0.0046462i,-0.006409-0.0018443i,-0.00094423-0.0068445i,0.0025136-0.0038932i,0.0023241+0.0083348i,0.008205-0.0092784i,0.0018564-0.0061654i,0.00075928-0.0058395i,0.0043231-1.3198e-05i,-0.0033785-0.0048429i,-0.001654+0.0005545i,0.0015418-0.0023308i,0.0071558+0.030572i,-0.0059916-0.0043775i,0.0037098-0.0018605i,-0.0027705-0.006268i,0.0032714-0.0030151i,-0.013755+0.0002782i,0.0016391+0.0012295i,0.0033567-0.0021865i,0.0028178-0.0023878i,-0.00011989-0.0053553i,-0.00082675+0.0028482i,0.0027273+0.0046855i,-0.0015344+0.0082314i,-0.0035084+0.0043757i,-0.0062676+0.00085623i,-0.018553+0.018874i,-0.006308+0.015581i,-0.025863-0.0065487i,-0.012938-0.01263i,0.011941+0.019879i,0.0038569+0.021406i,-0.011574-0.0034965i
0.005993+0.0012921i,0.038817-0.0002915i,0.017668-0.01201i,0.015073-0.0018076i,0.010446-0.0055683i,0.012209-0.013635i,0.012903+0.0079941i,0.025034+0.010739i,-1.8665e-05-0.0031283i,0.0013873-0.00055687i,0.0018906-0.0023859i,-0.00065712-0.0012945i,-0.00011018-0.00067707i,0.0020353-0.00048347i,0.0025984-0.0026226i,0.0052557-0.00067703i,0.0022585-0.0052419i,-8.9581e-05-0.0011268i,-0.0025879+0.0011565i,0.00072459-0.000753i,-0.00065353-0.000881i,-0.0019684+0.00060565i,-0.0016284+0.00038725i,0.010745+0.00030555i,-7.7614e-05+0.0015484i,0.00083326-0.00015123i,0.00087972-9.9357e-06i,0.0010179+0.00052273i,-0.0005511+0.00054096i,-0.0010923+0.0010646i,-0.00087778-0.001003i,-0.0010476+0.00071386i,0.00011833+0.00064486i,0.00045433+0.00015035i,-0.00048965+0.00069459i,0.011653-0.00028484i,-4.6556e-06+8.4124e-05i,-0.00021998+0.000378i,0.00069998+0.001024i,-0.0032078-0.0010649i,-0.00029105+2.9147e-05i,-0.00046138+0.00038841i,0.00079556+0.0014239i,0.0028033-0.0028176i,0.0037992+0.0023989i,-0.038532+0.023453i,0.0040394+0.03178i,0.0040324+0.038777i,0.022521+0.053697i,0.0015862+0.042041i,-0.012345+0.01493i,-0.014372+0.011363i,-0.050971+0.015964i,-0.019649-0.012635i,0.023335+0.011762i,0.0007179+0.005146i,-0.0038896+0.009041i,-0.012273+0.0058756i,-0.00027821-0.0038668i,0.010882+0.0075837i,0.0027459+0.013449i,-0.012466-0.001584i,0.00044932-0.0033394i,-0.0056198+0.00085174i,-0.0032104-0.0043146i,0.00062376-0.003722i,0.0047881+0.0072458i,0.0044644-0.010288i,-0.0015887-0.004337i,0.00032953-0.0029974i,0.0047803-0.0024282i,-0.005973-0.0032514i,-0.0005098+0.00040342i,0.0006049-0.0024105i,0.01958+0.022169i,-0.0077235-0.0020956i,0.0030899-0.0032382i,-0.0033063-0.0044197i,0.003407-0.0045296i,-0.010792+0.0058806i,0.0033733+0.0010199i,0.0022532-0.0024924i,0.0013018-0.0029095i,-0.0015789-0.0046472i,-0.0014736+0.0026495i,0.0036415+0.0025787i,0.0022175+0.0079492i,-0.0021351+0.0050527i,-0.0069417+0.0026336i,-0.016047+0.017396i,-0.00022409+0.016549i,-0.026406-0.0014286i,-0.016609-0.01296i,0.017118+0.017073i,0.0090635+0.021646i,-0.014056-0.0018176i
0.0052264+0.00038482i,0.035627-0.0074039i,0.014436-0.016431i,0.015039-0.0060434i,0.010158-0.0087506i,0.0089883-0.015836i,0.012314+0.0062268i,0.026194+0.0056913i,-0.0005873-0.0030432i,0.00066641-0.00056819i,0.0012528-0.0027725i,-0.00023253-0.00061784i,-0.00054854-0.00038364i,0.0017215-0.00071734i,0.0019637-0.0027039i,0.0046886-0.0014444i,0.00078173-0.0050796i,-0.00036231-0.0010546i,-0.0015169+0.0019293i,1.8102e-05-0.0011104i,-0.0011591-0.00035139i,-0.001603+0.0012479i,-0.0015355+0.00092565i,0.0092416-0.0039038i,0.00047396+0.0013043i,0.00052815-0.00023907i,0.00078902-0.00017543i,0.00074337-0.00013274i,-0.00021762+0.00057858i,-0.00062905+0.0015386i,-0.0012037-0.00031408i,-0.00063732+0.0013855i,0.00038712+0.00051091i,0.00031033-0.0001074i,0.00014979+0.00086316i,0.002128+0.0030833i,2.9768e-05+0.00024085i,-0.00013254+0.00030542i,0.00064877+0.0007406i,-0.0018963+0.00032658i,-0.00043845+2.7569e-05i,-0.0002948+0.00038961i,0.00125+0.0013987i,0.0027292-0.0029345i,0.0057004+0.00011586i,-0.031416+0.028369i,0.0096294+0.031627i,0.0092748+0.03475i,0.034411+0.040207i,0.011937+0.038127i,-0.015653+0.017534i,-0.017692+0.014406i,-0.048901+0.024805i,-0.021573-0.015846i,0.024249+0.0035594i,0.001335+0.005532i,-0.0008696+0.011642i,-0.011111+0.0097638i,-0.0044602-0.0027351i,0.013097+0.0036111i,0.008821+0.011753i,-0.013534+0.0025458i,-0.00048935-0.0026143i,-0.004108+0.0027824i,-0.0036899-0.001328i,-0.00030695-0.0032683i,0.0066977+0.0038755i,0.0014557-0.010638i,-0.0031522-0.0013475i,0.0012012-0.0019081i,0.0033577-0.0047174i,-0.0054114-0.00030762i,0.00017353+0.00085916i,0.00019911-0.0021352i,0.026224+0.01083i,-0.007779+0.0015636i,0.0022955-0.0045287i,-0.0037003-0.0029737i,0.0015993-0.0065717i,-0.0061194+0.0081961i,0.0048347-0.0010385i,0.0012799-0.0021379i,0.0006734-0.0022473i,-0.0020551-0.0031609i,-0.0014443+0.0035039i,0.0032866+0.00079473i,0.0054563+0.0065167i,-0.00072389+0.0047257i,-0.0070462+0.0050905i,-0.014439+0.018168i,0.0086408+0.011674i,-0.024949+0.0037755i,-0.022012-0.011387i,0.019209+0.012067i,0.014958+0.019863i,-0.013892-0.00028014i
0.0050762-9.8579e-05i,0.03244-0.012179i,0.010173-0.019303i,0.013689-0.010088i,0.0086324-0.011782i,0.0058111-0.01711i,0.012184+0.0053906i,0.024819+3.8529e-05i,-0.00066343-0.0031333i,0.00021562-0.00031193i,-0.00015332-0.0029777i,0.00017534-0.00049911i,-0.00068363+0.00028951i,0.0014186-0.00091459i,0.0014068-0.002733i,0.0042935-0.0016637i,-0.00017936-0.0043412i,-0.00078586-0.00091624i,-0.00062633+0.0018721i,-0.00060997-0.00099286i,-0.0012228+0.0001016i,-0.00090226+0.0017641i,-0.0011531+0.0014067i,0.0069797-0.0070664i,0.00073865+0.0010271i,0.00035736-0.00031754i,0.0005661-0.00036301i,0.00036785-0.00014873i,-0.00010156+0.00062768i,0.00015962+0.0017285i,-0.0011024+0.00025189i,-0.0001582+0.0015642i,0.00058075-6.8924e-05i,0.00030367+0.00011825i,0.00078107+0.00074443i,-0.001459+0.005527i,7.4841e-05+0.00044306i,-0.00022963+0.00036092i,0.00088209+0.00063545i,-0.0010762+0.0004792i,-0.00052902-2.3676e-05i,-0.00020353+0.00037185i,0.0016734+0.0010142i,0.0029464-0.0031231i,0.0056828-0.0029471i,-0.02297+0.030974i,0.016221+0.029776i,0.014714+0.032024i,0.038918+0.024846i,0.018441+0.031122i,-0.016524+0.023573i,-0.018316+0.021562i,-0.04478+0.034228i,-0.02629-0.016426i,0.020452-0.0040173i,0.0026393+0.0055233i,0.0042567+0.011646i,-0.0081189+0.012645i,-0.0058758+0.00096638i,0.013-0.0022976i,0.013857+0.007269i,-0.013164+0.0062595i,-0.0006461-0.00087667i,-0.0022861+0.0035567i,-0.0019479+0.00044223i,-0.002066-0.0022803i,0.0068274+0.0010946i,-0.0011502-0.0094013i,-0.002725+0.0017128i,0.0024596-0.0022518i,0.0012122-0.0057127i,-0.0037008+0.0017169i,0.0015788+0.00072553i,-6.2605e-05-0.0017883i,0.027148-0.00078463i,-0.0054982+0.0042947i,0.00057328-0.0053842i,-0.003455-0.0024237i,-0.0010003-0.0067939i,-0.002168+0.0078846i,0.0039125-0.0033777i,0.0011824-0.0010249i,0.00127-0.0019446i,-0.0015165-0.0026457i,-0.00018273+0.0046895i,0.0017403-0.00047236i,0.0075658+0.0032424i,-0.000169+0.0034379i,-0.0054304+0.0077101i,-0.011108+0.019402i,0.011099+0.0010157i,-0.020608+0.0059417i,-0.026882-0.0080331i,0.020259+0.0069332i,0.01963+0.013813i,-0.01477+1.8987e-05i
0.0051509-0.00095548i,0.02962-0.016766i,0.0061719-0.021006i,0.0114-0.013968i,0.0064641-0.014235i,0.0024316-0.017878i,0.013274+0.0045675i,0.022634-0.0035796i,-0.0005891-0.0038215i,-0.00022612+0.00015433i,-0.00081794-0.0020201i,0.00042723-0.00052215i,-0.00019903+0.00095579i,0.001045-0.00087099i,0.00088102-0.0027816i,0.0043454-0.0019159i,-0.00075102-0.0040106i,-0.00090907-0.00051322i,-1.8106e-05+0.0016888i,-0.0010124-0.00066116i,-0.00092228+0.00038625i,0.0001552+0.001616i,-0.00057525+0.0016513i,0.0042392-0.0090787i,0.0011119+0.00077471i,0.00017092-0.00045517i,0.0004292-0.00045316i,0.00024055-0.00016045i,0.00012011+0.00068927i,0.00086809+0.0013449i,-0.00079576+0.00058766i,0.00033581+0.0014173i,0.00032017-0.00015902i,0.00046865-6.531e-05i,0.00099657-1.4521e-05i,0.0014636+0.0061334i,0.00029188+0.00047477i,-3.9277e-05+0.00063043i,0.00081928+0.00031584i,-0.00069417+0.00047231i,-0.00048175+6.6625e-05i,-5.4023e-05+0.00031354i,0.0019107+0.00060259i,-0.001871-0.0027886i,0.0047575-0.0054791i,-0.01532+0.030892i,0.022146+0.025471i,0.020422+0.027877i,0.03907+0.011007i,0.021871+0.024287i,-0.013395+0.030555i,-0.013861+0.029978i,-0.036166+0.043661i,-0.031321-0.013755i,0.01534-0.007637i,0.0039486+0.0046852i,0.0080643+0.0090288i,-0.0040831+0.014893i,-0.0050446+0.0036927i,0.009224-0.0082552i,0.015036+0.00032796i,-0.011808+0.0096695i,0.00037859-2.1776e-06i,-0.0003671+0.0030615i,-0.00049272+0.00047298i,-0.0022802+0.00013845i,0.005665-0.0007828i,-0.0029369-0.0070302i,-0.00041529+0.0033826i,0.0026382-0.0040632i,-0.0010785-0.0054298i,-0.0024583+0.0018265i,0.0027588-0.00056153i,0.00050118-0.0014675i,0.022749-0.011093i,-0.0025755+0.0053031i,-0.0011005-0.0050408i,-0.0038914-0.0015433i,-0.0031257-0.0058766i,0.00054414+0.0067145i,0.0031878-0.0047025i,0.0022344-0.0012908i,0.0011558-0.0029201i,-0.0011018-0.0030161i,-0.00072618+0.0086704i,0.00030117-9.651e-05i,0.0096935-0.0015521i,-0.00066109+0.0023636i,-0.002597+0.0092676i,-0.0072284+0.019283i,0.0070847-0.0074854i,-0.017646+0.0036824i,-0.031295-0.0021224i,0.01868+0.00013909i,0.020392+0.0076064i,-0.016135+0.0016746i
0.0050619-0.0018081i,0.025736-0.021405i,0.0016713-0.022738i,0.0074729-0.017752i,0.0036979-0.016423i,-0.0012343-0.017812i,0.014973+0.0027504i,0.020869-0.0064189i,-0.00095243-0.0046343i,-0.00027227+0.0011721i,-0.0012283-0.0014357i,0.00050244-0.0011128i,0.00032922+0.0010482i,0.000746-0.00079124i,0.00034489-0.0026586i,0.0043023-0.0027456i,-0.0015547-0.0037369i,-0.0011764-0.00035763i,0.00074624+0.0012941i,-0.0014156-7.877e-05i,-0.0009285+0.00041273i,0.00069746+0.00088538i,-8.7921e-05+0.0016839i,0.00274-0.0095573i,0.0011608-0.00026809i,-0.00010881-0.00026328i,-0.00021809-0.00070658i,0.0001255-8.1123e-05i,0.00055609+0.00052499i,0.0011216+0.00077913i,-0.00036936+0.00073381i,0.0002588+0.0015092i,9.1773e-05-0.00010229i,0.00031812-0.00023903i,0.0006036-0.00076562i,0.0029403+0.0054878i,0.00050147+0.00037235i,7.091e-05+0.00049871i,0.00088216+0.00030161i,-0.00019929+0.00045629i,-0.00081331+0.00018936i,3.5206e-05+0.00020859i,0.0020061-3.8908e-05i,-0.0014887-0.0029752i,0.0029352-0.0077276i,-0.0089453+0.029329i,0.026373+0.019796i,0.025639+0.022557i,0.03497-0.00060212i,0.023215+0.018965i,-0.0066688+0.03502i,-0.0039435+0.034472i,-0.023605+0.04938i,-0.035226-0.008246i,0.010379-0.0089068i,0.0047486+0.003292i,0.009856+0.0050162i,-4.2576e-05+0.014889i,-0.0040169+0.0055087i,0.0019005-0.010231i,0.011938-0.0049272i,-0.009011+0.012708i,0.001628-0.00082867i,0.00097357+0.0019627i,4.7935e-06-0.00016479i,-0.00033154+0.0015461i,0.004762-0.0012946i,-0.0032689-0.0050834i,0.0020967+0.0029578i,0.0012622-0.0060346i,-0.0026812-0.0042504i,-0.0016058+0.0021411i,0.0018342-0.0026453i,0.00074447-0.0023567i,0.014677-0.017311i,7.7923e-05+0.0049502i,-0.0021392-0.0043429i,-0.0035846-0.00083303i,-0.0043074-0.0047675i,0.0020816+0.0052911i,0.0015559-0.0065873i,0.0027291-0.0022269i,-4.6452e-05-0.00366i,-0.0020138-0.0034603i,0.0048052+0.0036975i,-7.5009e-05+0.0013489i,0.0067781-0.0021863i,-0.0015982+0.0023913i,0.00026731+0.0091051i,-0.0036703+0.018956i,0.00044165-0.013675i,-0.019563+0.00056603i,-0.032223+0.0058947i,0.012694-0.0041048i,0.020481+0.0020725i,-0.015244+0.003855i
0.0051315-0.0028862i,0.021637-0.024305i,-0.0038702-0.022999i,0.0019468-0.019585i,2.083e-05-0.017758i,-0.0042554-0.016741i,0.016538-6.5259e-05i,0.01952-0.0087808i,-0.001312-0.0056607i,0.00064955+0.0021548i,-0.0015071-0.00049151i,-0.00032162-0.0014639i,0.00091453+0.0011707i,0.00066523-0.00053786i,1.3515e-05-0.002454i,0.0035301-0.0036484i,-0.0026402-0.003132i,-0.0012866+0.00015232i,0.0010065+0.00051431i,-0.0013915+0.00077653i,-0.00077286+0.00073844i,0.00058879+0.00013239i,0.00036597+0.001608i,0.00019922-0.0042614i,0.00016034-0.00067076i,-0.00011814-5.2929e-05i,-0.00073057+7.9784e-05i,3.5516e-05+1.5554e-05i,0.00058972+2.7957e-05i,0.0011611+0.00034551i,-3.7452e-05+0.00069567i,0.0010854+0.0005611i,0.00018862+7.195e-05i,0.00012938-0.00019125i,-0.00014582-0.00052891i,0.0041362+0.0046072i,0.00059447+0.00013371i,0.00011927+0.00059964i,0.0010062+0.00017675i,0.00031393+9.5365e-05i,-0.00089374+0.00057295i,0.00012957+0.00011892i,0.0016133-0.00065471i,-0.0019078-0.0021778i,0.00065825-0.0091737i,-0.003971+0.02663i,0.028419+0.014031i,0.029987+0.01577i,0.029097-0.0083263i,0.023608+0.014609i,0.0010707+0.036743i,0.0054316+0.033827i,-0.010136+0.050527i,-0.035906-0.0010543i,0.0074427-0.00887i,0.0053927+0.0019259i,0.009397+0.001451i,0.004734+0.013516i,-0.002413+0.0072628i,-0.0038122-0.0072171i,0.0083394-0.0075887i,-0.0048832+0.01337i,0.0013479-0.0027256i,0.00099991+0.0010228i,-0.00014909-0.00036014i,0.0016643+0.0012073i,0.0042243-0.0017732i,-0.0044218-0.003534i,0.00315+0.0016843i,-0.0021245-0.0069443i,-0.0032196-0.0026545i,-0.00022873+0.0017253i,0.00091396-0.0034265i,0.00014602-0.0033284i,0.0061909-0.019088i,0.0016718+0.0037928i,-0.0031288-0.0037018i,-0.0040989-0.00040644i,-0.0053285-0.0032655i,0.002754+0.0041276i,-0.0012274-0.0077299i,0.0026613-0.0034141i,-0.00099798-0.0033671i,-0.0026218-0.0031063i,0.0053173+0.0025787i,0.00065989+0.0024567i,0.0049729-0.003388i,-0.001924+0.0035418i,0.002644+0.0076578i,0.00072237+0.018539i,-0.0092401-0.016588i,-0.023713+0.00065813i,-0.029584+0.013216i,0.0074867-0.0036765i,0.017964-0.0031468i,-0.01388+0.0042673i
0.0049731-0.0045742i,0.017736-0.027267i,-0.0085771-0.021299i,-0.0031352-0.019104i,-0.0037038-0.018084i,-0.0065023-0.0155i,0.017616-0.0040029i,0.017815-0.011473i,-0.0021181-0.0068671i,0.002152+0.0020004i,-0.0011196+0.00032909i,-0.00094187-0.00087014i,0.0015772+0.00057105i,0.0007826-0.00051919i,-0.00021145-0.0023483i,0.0026672-0.0039371i,-0.0031933-0.0017251i,-0.00083398+0.00038395i,0.00080694-0.00014832i,-0.00087277+0.0012873i,-0.00038897+0.00099164i,0.00015607-0.00023615i,0.00079299+0.0013764i,-0.0029865-0.0016133i,-0.00052235-0.00020725i,-6.3477e-05+2.3396e-05i,-0.00059516-6.9765e-05i,7.2842e-05+8.4518e-05i,0.00026596-3.2509e-05i,0.0010729-0.00015182i,0.00030755+0.00056722i,0.00063862+0.000337i,0.00034634-0.00010566i,0.00028067-5.9899e-05i,-0.00032801+4.5302e-05i,0.0051476+0.0046745i,0.00044091+3.4216e-05i,0.00044314+0.00069583i,0.00096269-0.00011278i,0.00049451-0.0003339i,-0.00029923+0.00091003i,0.00015319-6.963e-05i,0.0010713-0.00098723i,-0.0022923-0.0011836i,-0.0021441-0.0099064i,-0.0010751+0.023352i,0.029414+0.0088969i,0.031878+0.0076604i,0.022775-0.013612i,0.023799+0.012355i,0.0087469+0.036434i,0.01344+0.031221i,0.0016556+0.047719i,-0.033559+0.0055215i,0.0049226-0.009252i,0.0058748-1.1685e-07i,0.0087788-0.0010589i,0.0088234+0.010184i,0.00023578+0.0074977i,-0.0063679-0.0032944i,0.0041334-0.0086401i,-0.00063608+0.013359i,-0.00050487-0.003792i,0.00048806+0.0011509i,-0.00030071-0.00025287i,0.0025556-7.2792e-06i,0.0037137-0.0013678i,-0.0046402-0.0014202i,0.0035026+0.00022323i,-0.0050569-0.0049223i,-0.0030109-0.0011679i,7.7259e-05+0.00056601i,-2.9466e-05-0.0041234i,-0.0011101-0.0036556i,-0.0011657-0.017788i,0.0029474+0.0023082i,-0.0042461-0.0026238i,-0.0041732+0.0011703i,-0.005658-0.0013491i,0.0034537+0.00326i,-0.0047423-0.0070563i,0.0021107-0.0047341i,-0.0016339-0.003184i,-0.0032718-0.0031294i,0.0061828+0.0013124i,0.0017455+0.0029637i,0.0028993-0.003009i,-0.0015531+0.0042996i,0.0040179+0.0056859i,0.0057203+0.016408i,-0.01984-0.013703i,-0.027464+0.0033491i,-0.025275+0.017485i,0.0051462-0.0023778i,0.014041-0.0068756i,-0.01516+0.0049114i
0.0038571-0.0061772i,0.013401-0.030132i,-0.012205-0.018954i,-0.0071843-0.017463i,-0.0074271-0.017622i,-0.0087888-0.014315i,0.017345-0.009206i,0.016204-0.014148i,-0.0041194-0.0078583i,0.0032424+0.0012571i,-0.00046596+0.00071664i,-0.0010954-3.775e-05i,0.0015954-0.0002754i,0.00085058-0.00055793i,-0.00060922-0.0023923i,0.0020238-0.0040697i,-0.0030285-0.00054595i,-0.00062715+0.00028964i,0.00056483-0.00041346i,-0.00027456+0.0014259i,-7.6193e-05+0.0012848i,-0.00016556-0.00028323i,0.001078+0.00098014i,-0.0036852+0.0002624i,-0.00031555+0.0003408i,-1.7558e-05+9.8971e-05i,-0.00053469+0.00024417i,8.1586e-05+0.00011022i,0.00022223+2.7483e-05i,0.00066037-0.0005399i,0.00050849+0.00019615i,0.00076183+0.00069476i,0.00026855-0.00014209i,0.00038814-0.00043997i,-3.0341e-05+0.00037806i,0.0067379+0.0033297i,0.0004491-5.1726e-05i,0.00078124+0.00055177i,0.00031915-0.00060072i,0.00061832-0.00067568i,0.00024118+0.00087669i,0.00011559-9.7078e-05i,0.00033345-0.0010089i,-0.0021709+0.00022419i,-0.004644-0.0096529i,-0.00015241+0.021485i,0.029967+0.0040723i,0.030883+0.00091982i,0.015959-0.01715i,0.026296+0.011103i,0.016329+0.033674i,0.020977+0.026623i,0.012445+0.041822i,-0.028952+0.010747i,0.0024057-0.0088087i,0.0051308-0.0029716i,0.0080773-0.0038711i,0.010129+0.0056062i,0.0018685+0.0063952i,-0.0071629+0.0011384i,1.0429e-05-0.0076311i,0.0021254+0.011852i,-0.0028041-0.0029228i,0.00044143+0.0027295i,-0.00034405+6.0001e-05i,0.0031327-0.0015126i,0.0045925-0.00028318i,-0.0034098+3.3613e-05i,0.0034181+2.7508e-05i,-0.0056742-0.002533i,-0.0018522-0.00051695i,-0.00027148+0.00026145i,-0.002284-0.0043324i,-0.0022647-0.0029725i,-0.0072377-0.015221i,0.0034441+0.00013578i,-0.0046957-0.0011848i,-0.0030031+0.0020912i,-0.0055226+0.00025372i,0.004188+0.0025519i,-0.0070234-0.0045164i,0.0004235-0.0061301i,-0.0025902-0.0025738i,-0.0049729-0.0024662i,0.0065548-0.0011229i,0.0034291+0.0030912i,0.0026991-0.0024227i,-0.00022835+0.0051678i,0.0042228+0.0036i,0.0096809+0.012216i,-0.025234-0.0050779i,-0.030749+0.0086002i,-0.020332+0.021368i,0.0033831-0.00062065i,0.0093191-0.0081322i,-0.015371+0.0071827i
