-0.03269-0.039241i,-0.021529-0.019169i,-0.013085-0.035857i,-0.029586-0.019491i,-0.022358-8.6447e-05i,-0.013863-0.0055153i,-0.055757-0.057764i,-0.047182-0.016458i,-0.036703-0.014436i,0.012256+0.011863i,-0.0076394+0.0045557i,-0.01939+0.019277i,0.0024467+0.011526i,-0.0057996-0.0028615i,0.00016349+0.001359i,-0.0014099+0.030576i,0.028561+0.027187i,0.0024039-0.0024838i,-0.0023233-0.0071535i,0.0080664+0.0013991i,0.0025236+0.0010493i,0.00016097+0.0034137i,-0.00037261+0.00032257i,-0.037688-0.010849i,0.00057666-0.0078419i,0.0014675+0.002116i,0.0071606+0.00059541i,0.0016948+0.00083622i,0.0010619-0.00046112i,-0.00052815-0.0026087i,0.0014096-0.0023928i,-0.0022618-0.0061551i,-0.00063362-0.0047331i,0.0028061-0.00073829i,0.0042862-0.0031456i,0.0012459+0.029204i,0.0039635-0.0035384i,0.0028353-0.0015401i,0.008467-0.0017463i,-0.0058403-0.0039484i,-4.7089e-05+0.00092191i,0.0083611-0.00058437i,0.004384-0.0027123i,-0.0014659+0.0083547i,-0.017908-0.0073897i,-0.018834+0.014925i,-0.0041384-0.061062i,-0.0053332-0.026812i,-0.0268-0.032951i,-0.011115-0.026758i,0.054686-0.021497i,0.016221-0.04343i,0.022828-0.049414i,0.0047578-0.053635i,0.02564-0.021602i,0.0083087+0.0061214i,0.024412-0.036247i,-0.0076435-0.0068244i,0.0037236-0.0048871i,-0.0039582-0.0071227i,-0.002251-0.032452i,-0.017686+0.030106i,0.0084516-0.011657i,-0.0092182-0.0035764i,-0.0042342-0.0016335i,0.00048537-0.012703i,-0.011242+0.0048263i,0.0023133+0.010062i,-0.0034345+0.02756i,0.0051627+0.0028131i,-0.0054239-0.0018654i,-0.002212-0.0021527i,-0.012976-0.007717i,-0.00048875-0.0040177i,-0.039197+0.0067321i,0.00067107-0.010538i,-0.008259+5.6402e-05i,-0.007057-0.0026549i,0.0051509+0.0012661i,-0.0086305-0.00016547i,0.0021579-3.4043e-05i,0.003395+0.0073272i,0.0040178+0.00021796i,-0.0080699-0.012382i,0.0027099+0.0092149i,-0.015606+0.0044802i,0.0070842-0.00035251i,-0.021553-0.00018271i,-0.017014+0.0062842i,-0.0076277-0.065426i,0.0081517-0.012054i,-0.049134-0.021604i,-0.021272+0.0013011i,0.017257+0.011367i,-0.023012+0.014792i,-0.020243-0.0040345i
0.027208+0.034171i,0.013956+0.014084i,0.017333+0.025165i,0.0060911+0.019063i,0.0083621+0.0068717i,0.0045119-0.0010289i,0.015317+0.011774i,0.015391-0.0026902i,0.0082235-0.008537i,0.0022296+0.003747i,0.001862-0.0027302i,0.00064806-0.0048898i,-0.0019406+0.00097651i,0.0011755-0.0013579i,0.001866-0.00059562i,0.0054257-0.0024294i,0.0070929-0.0058602i,0.00018415+0.00015665i,-0.0043151+0.0002669i,1.7288e-05+0.00062376i,-0.00076574-0.0010799i,-0.0025945-0.0011763i,-0.0015804+0.0009006i,0.0043217+0.0097492i,-0.0012577+0.0012236i,0.00050031+0.001643i,0.0011212+0.00082048i,-0.0018493+0.0026737i,-0.00094972+0.00027106i,-0.0014436+0.00045928i,-0.0013727-0.0015061i,-0.0037144-0.00054467i,-0.00013076+0.00016441i,0.00026266+0.0004673i,-0.00021081-0.0009003i,-0.0098561+0.0096755i,0.0016025-0.00019298i,0.00075844+0.00099707i,0.0021443+0.0023121i,0.00015894-0.0012537i,-0.00050166-0.00074632i,-0.00034743-0.0019007i,0.00087691+0.0012368i,-0.00056554+0.0011339i,0.019903+0.012863i,-0.022547+0.012476i,-0.010931+0.017086i,-0.022279+0.011621i,-0.0037281+0.037806i,-0.019261+0.018092i,0.0027205-0.0040138i,-0.012666-0.016481i,-0.019278+0.00057103i,-0.0077386+0.014074i,0.017816+0.020194i,-0.00033468+0.002319i,-0.0040041+0.00093799i,-0.012448-0.0042663i,0.01136+0.001266i,0.013415+0.010518i,-0.00037327+0.0052819i,-0.0055594-0.0070515i,0.0061174-0.0028451i,-0.0034275-0.0041327i,0.0035385-0.0084037i,0.00881-0.0030949i,-0.0014315+0.010497i,0.012197-0.00626i,0.0036688-0.0075972i,0.0025846-0.0095571i,0.0023099+0.00080845i,-0.0017909-0.0054859i,-0.0036567-0.0013893i,0.0024988-0.0001319i,-0.0036133+0.03511i,-0.0080516-0.0053183i,0.00013429+0.0011175i,-0.0015965-0.0072699i,0.0031355-0.00045088i,-0.016617-0.0061825i,-0.0013398-0.003624i,0.0027618-0.0023403i,0.0030407-0.0014958i,-0.0024113-0.0074143i,0.0004301+0.0070725i,-2.5247e-05+0.0031362i,-0.0034496+0.0044914i,-0.0068961+0.0026955i,-0.0060408-0.0012942i,-0.0037809+0.028228i,-0.0023957+0.014256i,-0.028233-0.014158i,-0.0015239-0.0025107i,0.013565+0.018931i,0.00025209+0.017916i,-0.00083772-0.0048357i
0.03262+0.028083i,0.016273+0.010377i,0.021525+0.022031i,0.0093505+0.018642i,0.010347+0.0056206i,0.004636-0.0023772i,0.015311+0.0081303i,0.014681-0.0051451i,0.0059484-0.010098i,0.003304+0.0025584i,0.001614-0.0027839i,-0.0012414-0.0034525i,-0.0014377+0.0015633i,0.00094773-0.00035866i,0.0016935-0.0008943i,0.004282-0.002914i,0.004856-0.0070927i,0.0006006+0.00010096i,-0.0037006+0.00046098i,0.00029794+2.9522e-05i,-0.0009176-0.0013038i,-0.00272-0.00051135i,-0.0012357+0.0010027i,0.0093944+0.0073297i,-0.0011676+0.0024167i,0.0014458+0.0013174i,0.00099089-2.8974e-05i,-0.00064823+0.0030087i,-0.0013069+0.00072515i,-0.0012703+0.0011326i,-0.001961-0.00078247i,-0.0025821+0.00033768i,-0.00031156+8.6854e-05i,0.00047278+0.00010833i,-0.00078844-0.00014074i,-0.0057545+0.011433i,0.0011168-0.00076496i,0.0010383+0.00091278i,0.0021982+0.0012587i,-2.4088e-05-0.0010445i,-0.00088268-0.00096382i,-0.00084139-0.0011547i,0.00092785+0.0012018i,-0.00089325+0.0012986i,0.022803+0.0096183i,-0.018037+0.015692i,-0.010033+0.019419i,-0.017334+0.013452i,0.0079194+0.033809i,-0.012084+0.018168i,-0.0038466-0.0074692i,-0.020174-0.016682i,-0.021998+6.5523e-05i,-0.0011575+0.010228i,0.020773+0.01216i,-0.0009667+0.0022433i,-0.0025762+0.004686i,-0.012595+9.831e-05i,0.0098325-0.0029494i,0.014668+0.0065651i,0.0024022+0.0078407i,-0.0095556-0.0055169i,0.0022001-0.0044122i,-0.0035898-0.0019449i,-0.0014726-0.0077314i,0.0067939-0.0057436i,0.0033628+0.008492i,0.0070327-0.0090372i,-0.00096233-0.0073801i,-0.0013834-0.0061818i,0.003753+3.8975e-05i,-0.0029385-0.0046539i,-0.0020749+0.0011038i,0.0031661-0.0005282i,0.014091+0.030702i,-0.010596-0.0031175i,0.00087693+0.00044708i,-0.0047849-0.0055538i,0.0037411-0.0017258i,-0.017034+0.0014547i,-0.0018164-0.002705i,0.0014861-0.0022449i,0.0030531-0.0029942i,-0.0045567-0.0053933i,0.0023545+0.0033704i,0.001267+0.0025309i,-0.00041737+0.0059905i,-0.0047399+0.0049683i,-0.0068475-0.00026476i,0.0020174+0.024028i,0.0001337+0.015933i,-0.029924-0.0046546i,-0.0032674-0.006282i,0.016768+0.016118i,0.0034053+0.018663i,-0.0033265-0.0048866i
0.036189+0.021052i,0.017001+0.0057801i,0.026235+0.016402i,0.014059+0.016194i,0.012549+0.0036504i,0.0043276-0.0040131i,0.014653+0.0045414i,0.013631-0.0078591i,0.0038177-0.01038i,0.0033074+0.0012794i,0.00084187-0.0034595i,-0.0014898-0.0016586i,-0.00083777+0.0016839i,0.0016613-0.00042515i,0.0014392-0.0011619i,0.0032333-0.0033583i,0.0024986-0.0079307i,0.00057654-0.00033955i,-0.0028342+0.0018108i,7.2769e-06-0.00066803i,-0.0018079-0.0016246i,-0.0024844+7.9411e-05i,-0.00098754+0.0010856i,0.01134+0.0019475i,7.1414e-05+0.0031688i,0.0016127+0.00059447i,0.00045586-0.00042673i,0.000535+0.0026565i,-0.00091857+0.0014367i,-0.00081891+0.0016543i,-0.0022189+0.00026791i,-0.0028393+0.0020011i,-0.00031565+0.00017544i,0.0005679-0.00014371i,-0.00064106+0.00064186i,-0.0018661+0.011619i,0.00062376-0.00078983i,0.0013722+0.00044037i,0.0018896+0.00054901i,-0.00034469-0.0010196i,-0.0013861-0.00077472i,-0.00086444-0.00098769i,0.0011901+0.0013425i,-0.00091034+0.0018474i,0.026135+0.0052662i,-0.013609+0.01787i,-0.0072432+0.022476i,-0.011655+0.012847i,0.018293+0.026626i,-0.0055417+0.018186i,-0.01108-0.0066231i,-0.02644-0.013683i,-0.023959+0.0020137i,0.00243+0.0043999i,0.020234+0.0057214i,-0.0014368+0.0022038i,-0.00094953+0.0047618i,-0.012736+0.0032559i,0.0058935-0.0073772i,0.015108+0.0019747i,0.0059644+0.0078947i,-0.012436-0.0027963i,0.00036666-0.0030197i,-0.0034162-0.00013553i,-0.0039712-0.0050061i,0.0045799-0.0068765i,0.006241+0.0074163i,0.0039243-0.0087743i,-0.0046179-0.0049005i,-0.0016099-0.0030658i,0.0043683-0.0023501i,-0.0052369-0.0027278i,-9.3938e-05+0.00092051i,0.0026314-0.0017698i,0.024093+0.017015i,-0.011177+0.00093682i,0.0014704-0.00013712i,-0.0044265-0.0035177i,0.0039283-0.0036901i,-0.013403+0.0081199i,-0.0019697-0.0019309i,0.00048764-0.002258i,0.0016667-0.0036446i,-0.0054256-0.0027406i,0.0014062+0.0022331i,0.0020224+0.0014712i,0.0021866+0.0053584i,-0.0023051+0.0052515i,-0.0072942+0.0015787i,0.0042475+0.019516i,0.0072423+0.015277i,-0.029527+0.00062656i,-0.0059833-0.0084104i,0.019765+0.010452i,0.0077715+0.019351i,-0.0054603-0.0040418i
0.037925+0.014372i,0.015861+0.0024149i,0.027729+0.0093329i,0.017343+0.011207i,0.014041+0.00053247i,0.0031579-0.0054183i,0.013282+0.0021193i,0.011658-0.010315i,0.0023915-0.010741i,0.0028818+0.00070334i,-0.00033382-0.002842i,-0.00089167-0.00082018i,-0.00058225+0.0018095i,0.0016092-0.0005336i,0.0010249-0.0013336i,0.0019994-0.0032169i,3.8528e-05-0.0071543i,0.0004397-0.00046255i,-0.0015492+0.0026316i,-0.00064734-0.00083662i,-0.0024991-0.00065314i,-0.0023902+0.00062375i,-0.00075851+0.0011693i,0.010316-0.002943i,0.0014209+0.00318i,0.0012178+0.00048961i,5.9468e-05-0.00026838i,0.0011153+0.0020375i,-0.00023662+0.0014987i,-0.00014216+0.0019079i,-0.0019341+0.0013997i,-0.001375+0.0028295i,-0.00032172+0.00024784i,0.00034968-0.00026661i,-0.00022781+0.001042i,0.0014661+0.010805i,0.00040186-0.00086797i,0.0013125-0.00031364i,0.0014702+0.00043456i,-0.0007736-0.00072245i,-0.0016829-0.00030958i,-0.0013296-0.0010987i,0.0016747+0.0013661i,-0.00064783+0.0024754i,0.028171-0.0013853i,-0.0084493+0.019201i,-0.0024748+0.024901i,-0.0095177+0.009967i,0.025635+0.014676i,0.00070362+0.014331i,-0.017446-0.0019025i,-0.032205-0.0075284i,-0.018238+0.0073319i,0.0024488-0.0017284i,0.018718-0.00044504i,-0.0016497+0.0030935i,0.00030792+0.0063007i,-0.011876+0.0071174i,-0.00025556-0.0074928i,0.01411-0.0031727i,0.0094349+0.0061371i,-0.013945+0.0013363i,-0.00067503-0.0022744i,-0.0024617+0.0011962i,-0.004873-0.0016889i,0.0025311-0.0074961i,0.0089563+0.0036461i,0.0019223-0.0087467i,-0.0058658+2.518e-05i,-0.0005519-0.001862i,0.0029073-0.0045879i,-0.0057474+0.00070248i,0.00096194+0.00061369i,0.0017466-0.0026366i,0.025193+0.0032772i,-0.0094619+0.0055098i,0.0017063-0.0011296i,-0.0043517-0.0017452i,0.0022505-0.0060478i,-0.0075542+0.010701i,-0.0016511-0.0013725i,-0.00012251-0.0015073i,0.00040294-0.0035555i,-0.0049121-0.00089989i,0.0011746+0.0020471i,0.0017764+0.00031862i,0.004224+0.0043021i,-0.00056818+0.0039563i,-0.007469+0.0034151i,0.0054412+0.017506i,0.015275+0.0085172i,-0.026773+0.0059404i,-0.010614-0.0090535i,0.018673+0.0048191i,0.01289+0.017634i,-0.0057167-0.0030796i
0.039069+0.0078758i,0.0154+0.00042905i,0.027642+0.0036604i,0.01858+0.0058476i,0.014273-0.0028675i,0.0019143-0.0062865i,0.012167+0.00091456i,0.0093781-0.01211i,0.0010361-0.011362i,0.0027003+0.00031263i,-0.00051044-0.0021706i,-0.00032771-0.00072987i,-0.00032865+0.0021241i,0.0016718-0.00094028i,0.0006711-0.0012659i,0.0014141-0.0024627i,-0.0012644-0.006031i,0.00018163-0.00044409i,-0.00049679+0.0024225i,-0.0012073-0.00058652i,-0.0025424+3.8863e-05i,-0.0018319+0.0013095i,-0.00048651+0.0013254i,0.0072147-0.0061596i,0.0027217+0.0026081i,9.5612e-05-4.3581e-05i,-0.00019065-7.8269e-05i,0.0014354+0.001468i,0.00015106+0.0014239i,0.00071559+0.0018258i,-0.0010946+0.002157i,-0.00044663+0.0025795i,-0.00046006+0.00031498i,0.00027029-4.2586e-05i,0.00043479+0.0012331i,0.0039796+0.0097963i,-1.3578e-05-0.00085755i,0.00071507-0.00067919i,0.0016473+0.00043121i,-0.00080197-0.00028874i,-0.0018188+5.3185e-05i,-0.0019241-0.0010642i,0.0021131+0.0009812i,-0.00017666+0.0025339i,0.027268-0.0084509i,-0.0026626+0.019072i,0.0036581+0.025215i,-0.0090101+0.0094748i,0.026237+0.0020569i,0.0031029+0.0089473i,-0.019638+0.0062195i,-0.034274+0.0017465i,-0.018287+0.016591i,-0.0010007-0.0062685i,0.014539-0.0048123i,-0.00091424+0.0040764i,0.0037569+0.0060251i,-0.0092846+0.010238i,-0.0036-0.0042526i,0.01059-0.0087278i,0.012198+0.0024297i,-0.015877+0.0076696i,-0.0009863-0.00062155i,-0.0013765+0.0018039i,-0.003194+0.00042394i,-0.00064358-0.0070412i,0.0088028+0.00022054i,-0.00040071-0.0084717i,-0.0031729+0.0032668i,0.00028657-0.0020129i,0.000824-0.0058264i,-0.004354+0.0026783i,0.0019462-0.00036306i,0.0010931-0.0026984i,0.021366-0.0073644i,-0.005291+0.0082897i,0.0012315-0.0021735i,-0.0033505-0.0013867i,-0.00043394-0.0068232i,-0.0032332+0.010463i,-0.0019291-0.0018288i,-8.8579e-05-0.00030873i,4.432e-05-0.0028824i,-0.0041848+0.00093886i,0.0018181+0.0020201i,0.00085541-0.00018093i,0.0047156+0.0014149i,-0.00082916+0.0021886i,-0.0066267+0.0055899i,0.0074297+0.016667i,0.017098-0.0038522i,-0.022153+0.0068919i,-0.015318-0.007284i,0.017309+0.00052864i,0.01679+0.012609i,-0.0064652-0.003294i
0.039447+0.00097866i,0.015339-0.0018697i,0.027406-0.0019924i,0.018816+0.00050291i,0.014037-0.006091i,0.00043371-0.0069106i,0.012248+9.1262e-05i,0.0069835-0.01348i,-0.00053661-0.012111i,0.0021732-0.00010041i,-0.00056293-0.0021392i,-6.7379e-05-0.00073874i,0.0004246+0.0026883i,0.0014033-0.0011018i,0.00055653-0.0012625i,0.0016428-0.0018111i,-0.0020933-0.0056771i,0.0002003-0.00045856i,0.00023333+0.0019674i,-0.0015412-0.00010127i,-0.0020702+0.00061285i,-0.0009454+0.0014302i,-0.00014722+0.0013854i,0.0037002-0.0071054i,0.0039983+0.0015231i,0.00012826-0.00038344i,-0.00021761+7.5952e-05i,0.0015767+0.00098145i,0.00057175+0.0013502i,0.0013218+0.0012541i,1.8405e-05+0.0023681i,0.00020533+0.0030516i,-0.00047272+0.00070884i,0.0004222-7.6705e-05i,0.00088736+0.0008665i,0.0062134+0.0078779i,-0.00032287-0.00061682i,0.00040079-0.00065393i,0.0015919+7.1227e-05i,-0.00055571+2.6531e-06i,-0.0018641+0.00067537i,-0.0025228-0.00025366i,0.002353+0.00059439i,6.9969e-05+0.0028637i,0.024674-0.014759i,0.0024724+0.016856i,0.0094526+0.023471i,-0.0077448+0.010092i,0.02319-0.0085105i,0.0025169+0.0051839i,-0.016862+0.014513i,-0.031689+0.011559i,-0.013584+0.023132i,-0.0057171-0.0067918i,0.010506-0.00638i,0.00016021+0.0044126i,0.0058558+0.0036569i,-0.0057475+0.013116i,-0.004639-0.0014467i,0.0043475-0.013017i,0.012062-0.0025218i,-0.009905+0.013918i,3.893e-05+0.00044776i,-0.00019413+0.0017908i,-0.0016005+0.00074782i,-0.0023737-0.005008i,0.0073694-0.0021781i,-0.0019523-0.007532i,-6.0121e-05+0.0033378i,0.00035707-0.0031308i,-0.0016668-0.0053303i,-0.0029112+0.0031752i,0.0016416-0.002058i,0.00089881-0.0028214i,0.010265-0.014559i,-0.0011511+0.0086032i,0.00030465-0.0023386i,-0.0035908-0.00093683i,-0.0033519-0.0060107i,-0.00012806+0.0098391i,-0.0012388-0.00042371i,0.0011798-0.00013699i,-0.00016773-0.0036029i,-0.0020423+0.0017141i,0.0022161+0.00082342i,9.0701e-05+0.00029136i,0.0057071-0.001392i,-0.0020873+0.0013511i,-0.0045486+0.0070754i,0.010182+0.015133i,0.010984-0.013689i,-0.020334+0.0039979i,-0.019264-0.0028189i,0.013894-0.004292i,0.017574+0.0072497i,-0.0073259-0.0023988i
0.038319-0.0058442i,0.014614-0.0045774i,0.025232-0.0085314i,0.016874-0.0055293i,0.013134-0.009674i,-0.0012694-0.0069914i,0.013109-0.0013315i,0.0042999-0.01476i,-0.0026188-0.012341i,0.0015772+0.00033073i,-0.001289-0.0018855i,-0.00016714-0.001373i,0.0013819+0.0026213i,0.0010989-0.0013628i,0.0003567-0.0012401i,0.0021348-0.001856i,-0.003299-0.0051866i,-0.00012196-0.00061217i,0.00073043+0.0013188i,-0.0017601+0.00049182i,-0.0019088+0.0007915i,-0.00031342+0.00101i,0.00016434+0.0013407i,0.0031511-0.0060817i,0.0043638-0.00062337i,0.00025327-0.00071929i,-0.00050634+0.00027472i,0.0016089+0.0005639i,0.0011101+0.0010311i,0.0015222+0.00053344i,0.0011374+0.0021047i,0.0012739+0.0030843i,-0.00046998+0.0010496i,0.0004573-0.00017768i,0.00097947+0.00035045i,0.0072468+0.0056999i,-0.00056537-0.00038554i,2.4464e-05-0.00063379i,0.0017908-0.00013261i,-0.0002087+4.6947e-05i,-0.0017251+0.0014042i,-0.002305+0.00063216i,0.0024533-8.5248e-06i,0.00081385+0.0037975i,0.0206-0.02013i,0.0062297+0.013301i,0.014324+0.019938i,-0.0052134+0.010935i,0.017451-0.016024i,0.0012052+0.003557i,-0.011002+0.019599i,-0.024515+0.018375i,-0.0047163+0.026149i,-0.0091535-0.0040918i,0.0073848-0.0064601i,0.0014362+0.0041543i,0.0057+0.00065389i,-0.0011074+0.013743i,-0.0051699+0.00091079i,-0.0043253-0.012615i,0.0097664-0.0067132i,-0.005629+0.014477i,0.0013811-0.00030588i,0.00052046+0.0012064i,-0.0011018+0.0002632i,-0.0024262-0.0034425i,0.0056339-0.003019i,-0.0030608-0.0068657i,0.0012373+0.0025956i,-0.00082784-0.0046133i,-0.0033546-0.0040278i,-0.0011765+0.0036872i,0.00026899-0.0031973i,0.00039251-0.0033883i,0.010299-0.010092i,0.0024175+0.007222i,-0.00011869-0.0023279i,-0.0029787-0.00066403i,-0.0051116-0.004535i,0.0022105+0.0086454i,-0.00055391-0.0012795i,0.0018754-0.00088735i,-0.0015667-0.0043131i,-0.00063595+0.0010425i,0.0029254+0.0013354i,9.0265e-05+0.0013554i,0.0049317-0.00092569i,-0.0032136+0.0018678i,-0.0024881+0.0072652i,0.013274+0.01377i,0.0022505-0.019381i,-0.02347+0.0021928i,-0.020259+0.0029087i,0.0075619-0.006309i,0.017214+0.0026794i,-0.0069472-0.0021554i
0.036127-0.012106i,0.014001-0.0064454i,0.020849-0.012862i,0.012441-0.0097946i,0.011009-0.012991i,-0.0027617-0.0065413i,0.014042-0.0034052i,0.0012379-0.015369i,-0.0044331-0.012404i,0.0019492+0.0010196i,-0.0016669-0.0008827i,-0.00099381-0.0015618i,0.0023314+0.0023271i,0.00070438-0.0013061i,0.00019663-0.0012183i,0.0023579-0.0020383i,-0.0048506-0.0039633i,-0.00033795-0.00038418i,0.00082583+0.00066081i,-0.0015893+0.0012811i,-0.0019657+0.0012743i,-0.00043065+0.00043108i,0.00045283+0.0012781i,-0.0086708-0.00040941i,0.0032409-0.0022877i,-8.565e-05-0.00069285i,-0.00044006+0.00064016i,0.0015256+0.00031847i,0.0011625+0.000418i,0.0014876-2.4135e-05i,0.0020023+0.0014019i,0.0023373+0.0023397i,-3.768e-05+0.0015211i,0.00039374-0.00017823i,0.00087009+0.00043911i,0.0073708+0.0037625i,-0.00072847-4.1053e-05i,-0.00023577-0.0003838i,0.0019602-0.00060791i,0.00011621-4.1356e-06i,-0.0010709+0.002102i,-0.0020393+0.0012613i,0.0022561-0.00061232i,0.0022721+0.0034253i,0.015249-0.024167i,0.00849+0.0091704i,0.017435+0.015542i,-0.0019211+0.010497i,0.01004-0.020348i,-7.2648e-05+0.0035421i,-0.004441+0.021657i,-0.016778+0.020788i,0.0047047+0.02531i,-0.010148+0.00048999i,0.0057395-0.0063765i,0.0027692+0.0035684i,0.004437-0.001146i,0.0040248+0.012688i,-0.0043491+0.0040305i,-0.010874-0.0070953i,0.0060987-0.0088973i,-0.001679+0.015102i,0.00092406-0.0019121i,0.00078128+0.00067627i,-0.0011635+0.0002429i,-0.0021708-0.0024389i,0.0044571-0.0037039i,-0.0048333-0.0061449i,0.002036+0.0013988i,-0.0038575-0.0049974i,-0.0042436-0.0022585i,0.00097733+0.0027905i,-0.00039846-0.0034719i,-0.00077129-0.0038813i,0.0055533-0.01517i,0.0043253+0.004651i,-0.00069338-0.0024722i,-0.0036017-0.0004887i,-0.0063682-0.0022062i,0.0037126+0.0074661i,-0.0013114-0.0023828i,0.0024625-0.0018778i,-0.0099622-0.0042439i,-0.00010717+0.00013347i,0.0035026+0.00046091i,0.00094943+0.0018171i,0.0032912-0.0018296i,-0.0039618+0.0030964i,-0.00094673+0.0066802i,0.017727+0.011684i,-0.0085308-0.02091i,-0.027116+0.0042762i,-0.018506+0.008741i,0.0032588-0.0037112i,0.015098-0.0021507i,-0.0070458-0.0034212i
0.033184-0.017971i,0.013569-0.0091864i,0.017068-0.015121i,0.0080291-0.010981i,0.0080749-0.015762i,-0.0037418-0.0058341i,0.014946-0.0066685i,-0.0017616-0.015338i,-0.006627-0.012135i,0.0027698+0.0010633i,-0.0011971-0.00014544i,-0.0016413-0.00078357i,0.0029575+0.0014176i,0.00042512-0.0012988i,7.7798e-05-0.0011877i,0.0026567-0.0022707i,-0.0058235-0.002163i,-0.00022151-0.0003612i,0.00067361+0.00010575i,-0.00099889+0.0017443i,-0.0014354+0.0018085i,-0.00064197+0.00035367i,0.00077166+0.0011173i,-0.005841-0.0010832i,0.0019051-0.0031847i,-0.00024666-0.00052399i,-8.9931e-05+0.00070682i,0.001564-3.8001e-05i,0.00091623+0.00032849i,0.0012907-0.00053405i,0.0025711+0.00044699i,0.0027487+0.0015224i,0.00083369+0.001466i,0.00055244-0.00015085i,0.0012516+0.00064205i,0.0075079+0.0021442i,-0.00067306+0.00065403i,-0.00023976-0.00018291i,0.0017209-0.0014096i,0.00053089-0.00028019i,-0.00021284+0.0022986i,-0.0012835+0.0024788i,0.0019288-0.0011298i,0.0027588+0.0028881i,0.0092552-0.026374i,0.0087151+0.0048955i,0.019519+0.011399i,0.00056425+0.0087032i,0.0041655-0.022159i,6.2697e-05+0.0055137i,0.0021958+0.021726i,-0.010077+0.021235i,0.012787+0.021381i,-0.0073532+0.0046063i,0.0044705-0.0071242i,0.0039999+0.0019178i,0.0036128-0.0022971i,0.0082348+0.0091389i,-0.0017358+0.0052911i,-0.012611-0.00037144i,0.0023012-0.0097537i,0.0018919+0.01388i,8.2275e-05-0.0020829i,0.00036573+0.0003457i,-0.0011321+0.00069958i,-0.0019296-0.0021001i,0.0032558-0.0033236i,-0.0063619-0.0039695i,0.0021239+0.00045156i,-0.0064518-0.0025637i,-0.0038617-0.00049937i,0.0016029+0.00088119i,-0.0011532-0.0039217i,-0.0021063-0.0032579i,-0.0013257-0.014852i,0.0052342+0.0021451i,-0.0016561-0.0024266i,-0.0036679+0.00093246i,-0.0059976+0.00047036i,0.0051546+0.0063435i,-0.0031991-0.002623i,0.0021813-0.0035893i,-0.001146-0.0017039i,-0.00020342-0.00097351i,0.0040746-7.3428e-05i,0.0018545+0.0014989i,0.002044-0.0015081i,-0.0039475+0.0048972i,0.00013429+0.0059484i,0.022257+0.0074805i,-0.018736-0.017141i,-0.029484+0.0079162i,-0.013893+0.011799i,0.0022666-0.0016175i,0.010551-0.0048549i,-0.0093807-0.0038345i
0.029045-0.023197i,0.012243-0.012402i,0.013859-0.017021i,0.004872-0.010973i,0.0045165-0.017718i,-0.0045925-0.0051382i,0.014725-0.011558i,-0.004608-0.014641i,-0.0089685-0.011333i,0.0038639+0.00084988i,-0.00053379-3.8241e-05i,-0.0017575+0.00027339i,0.0030648+0.00033493i,0.00021049-0.0010231i,-9.3155e-05-0.0012662i,0.0027331-0.0029885i,-0.0061109-0.00031145i,-0.0002978-0.00046425i,0.00046832-0.0001389i,-0.0003481+0.0018942i,-0.00091351+0.0021999i,-0.00081889+0.00050043i,0.0010051+0.00079542i,-0.0047265+0.0019024i,0.00082669-0.0035768i,-0.00038668-0.00030228i,0.00012306+0.00055106i,0.0013154-0.00055836i,0.0009562+0.0002462i,0.00084555-0.00098128i,0.0027256-0.00071598i,0.003211+0.00073553i,0.0013156+0.0011136i,0.0006095-0.00055739i,0.0019271+0.00032687i,0.007397+0.0003389i,-0.00042459+0.0013671i,-0.00018937+4.8332e-05i,0.00088525-0.0017718i,0.00080997-0.00074378i,0.00054152+0.0022783i,-2.6613e-05+0.002799i,0.0014361-0.0014127i,0.0031586+0.0029826i,0.0036248-0.027004i,0.0072484+0.0022241i,0.020491+0.0073208i,0.002022+0.007842i,-0.0021463-0.023438i,0.0029317+0.0077221i,0.0082314+0.019352i,-0.0031657+0.019986i,0.019053+0.014963i,-0.0026236+0.006559i,0.0028755-0.0076527i,0.003947-0.00098277i,0.0026322-0.0036547i,0.0093693+0.0040356i,-0.00012309+0.0047381i,-0.011561+0.0064619i,-0.001704-0.0088182i,0.0044187+0.011283i,-0.0022427-0.003371i,-0.00010197+0.00071965i,-0.00075309+0.001246i,-0.0015139-0.0020826i,0.0034312-0.0020584i,-0.0059352-0.0013825i,0.00221+0.0005116i,-0.0067787+0.00049147i,-0.002866+0.00042012i,0.0013123-0.00023256i,-0.0030808-0.0041376i,-0.0030299-0.0021537i,-0.0065949-0.012257i,0.0051362-0.00063471i,-0.0025992-0.0017151i,-0.0025117+0.001882i,-0.0046172+0.0021554i,0.0070042+0.005081i,-0.0045685-0.0010508i,0.00067693-0.0050586i,-0.0023564-0.001382i,-0.0012628-0.001538i,0.0047128-0.001808i,0.0023036+0.0011779i,0.0019499-0.0011707i,-0.0017398+0.0065369i,0.00065602+0.0050153i,0.026329+0.00042037i,-0.02368-0.0084182i,-0.031254+0.013403i,-0.0096687+0.012649i,0.0015772+0.00010631i,0.0063736-0.0029506i,-0.011299-0.0028921i
