-0.023258-0.038983i,-0.010121-0.049265i,-0.016908-0.046129i,-0.03106-0.035815i,-0.029656-0.017248i,-0.050729-0.028766i,-0.05929-0.0264i,-0.044988-0.039257i,-0.029557-0.036912i,0.0070259+0.013286i,-0.0053423+0.015707i,-0.005031+0.01487i,0.0098107+0.021859i,6.9813e-05+0.0050415i,0.0036126+0.0032252i,0.0066603+0.018243i,0.027857+0.039172i,-0.0021762-0.00050154i,-0.0043018-0.0062242i,0.008307+0.0016978i,-0.00015204-0.00094378i,-0.00081578+0.0014834i,0.00018986-0.00044007i,-0.030827-0.0021994i,-0.0012439-0.0058671i,0.0017445+0.0046864i,0.0039898-0.00052969i,-0.00020524+0.00072814i,0.00054166-0.0006028i,2.641e-05-0.0024827i,-0.0015461-0.0062144i,-0.0045634-0.0042203i,-0.0018324-0.0051806i,0.0021862-0.00092902i,0.0024919-0.0027478i,0.0027052+0.02655i,0.001968-0.0029811i,0.002823+0.00054882i,0.0064274+0.0011102i,-0.010094-0.0032684i,-0.0029701+0.00087282i,0.0069118+0.0018126i,0.0050132+0.0004069i,-0.0039248+0.0056586i,0.0015581-0.0077518i,-0.011764+0.018732i,0.036662-0.090718i,0.012556-0.070588i,-0.015896-0.059848i,-0.016898-0.055992i,0.038934-0.047143i,0.01725-0.063024i,0.034538-0.056093i,0.03166-0.05966i,0.015397-0.013722i,0.0046562+0.016654i,0.016477-0.026627i,-0.011373+0.0060732i,-0.0008059+0.0054369i,-0.0054217-0.00067705i,-0.0025727-0.028745i,-0.023829+0.031587i,0.010547-0.011174i,-0.013096-0.0026087i,-0.00011205-0.0049671i,-0.0011628-0.016197i,-0.0073211+0.0051255i,0.0052189+0.0061158i,-0.008166+0.030955i,0.0050614+0.0060524i,-0.0051847-0.0007323i,-0.0032619-0.00038537i,-0.012151-0.0074538i,-0.00024704-0.0044053i,-0.029471+0.0064371i,0.00013399-0.0099583i,-0.0094516-0.0019718i,-0.0065237-0.0027543i,0.007087+0.003021i,-0.0075959+0.0010713i,0.00015506+0.0003136i,0.0058248+0.010782i,0.0038051+0.0014081i,-0.0093491-0.010395i,0.0032332+0.0080428i,-0.021602+0.0060436i,0.0081275+0.00014965i,-0.029117-0.004065i,-0.042194+0.0022687i,0.019776-0.09613i,-0.0019161-0.011748i,-0.053144-0.021848i,-0.023464+0.0011064i,0.018387+0.011017i,-0.024931+0.012732i,-0.018843-0.013216i
0.007652+0.019952i,0.013785+0.052927i,0.024293+0.036326i,0.01764+0.028105i,0.025186+0.02809i,0.033874-0.014402i,0.018498-0.0085984i,0.030029+0.0070007i,0.012236+0.014219i,0.0022227+0.005094i,0.0045968+0.0028946i,0.0042969+0.0033295i,0.0061751+0.0029156i,0.0050369+0.0037905i,0.0032438-0.003412i,0.0083334-0.0015068i,0.0089298-0.0050677i,-0.0015249-0.001501i,-0.0031827+0.0014658i,-0.0001651+0.0013329i,-0.0011315-0.00029499i,-0.0028695+0.0013498i,-0.0018068+0.00097303i,0.0048548+0.0077812i,0.001535+0.0013689i,0.0024117+0.00077014i,0.0018983+0.0012162i,0.0011012+0.0014683i,0.000713+0.00017052i,-0.00023086+0.00090912i,-0.0015616-0.002321i,-0.00078897-0.00048173i,-0.001183+0.0010201i,-0.0010991+0.00032684i,-0.0005936-0.0018926i,-0.0065832+0.0078165i,0.0013702+0.00038496i,0.0011486-0.00044753i,-0.00087527+0.0025833i,-0.00019873-0.0034905i,-0.0013026+0.00021628i,-0.0020798-0.00036287i,0.0025538+0.001077i,0.0060049+0.0039882i,-0.015282+0.034668i,-0.083008+0.034381i,-0.052118+0.037861i,-0.037497+0.060135i,-0.018676+0.07305i,-0.008374+0.051638i,0.01049+0.038032i,0.0034069-0.00064151i,-0.036749+0.0094531i,-0.045712+0.019363i,0.0012718+0.024506i,-0.0081848+0.0021892i,-0.010634-0.00042826i,-0.013727-0.002261i,0.0021731+0.00065953i,0.0063444+0.0097618i,-0.0018043+0.0079531i,-0.0074623-0.012293i,0.0052652-0.006704i,-0.0065908-0.0069378i,0.001893-0.0063426i,0.0036201-0.0042804i,-0.0019158+0.010167i,0.0091225-0.0041109i,0.0050539-0.0061282i,0.0033132-0.0055332i,0.0032136-0.00042922i,-0.0012555-0.0044737i,-0.0035864-0.00064206i,0.0024223-0.00031662i,-0.0091934+0.02536i,-0.0040532-0.003211i,0.0019588+0.00048514i,0.00012197-0.0066085i,0.0024803-0.0017269i,-0.015825-0.0036811i,0.00062012-7.1739e-05i,0.0051677-0.0029122i,0.0031003-0.0010736i,0.00051746-0.005007i,-0.00068711+0.0059222i,-0.0013595+0.0066167i,-0.0030654+0.0045699i,-0.011776+0.0017827i,-0.014868-0.0010067i,-0.041278+0.053961i,0.00025783+0.0053374i,-0.025007-0.016882i,-0.006753-0.0073155i,0.010732+0.019448i,-0.0023835+0.022563i,-0.00071834-0.0011202i
0.0098226+0.016346i,0.022278+0.048073i,0.030137+0.031979i,0.022551+0.025772i,0.03116+0.023914i,0.030543-0.020413i,0.015696-0.012146i,0.030848+0.001411i,0.014322+0.011125i,0.0037305+0.0039981i,0.0054175+0.0017423i,0.0040931+0.0031549i,0.0063124+0.0017251i,0.0057145+0.0024393i,0.0021339-0.0039872i,0.0069051-0.0030852i,0.0061783-0.0067953i,-0.0012188-0.0012253i,-0.002615+0.0014825i,0.00051071+0.00063248i,-0.0013214-0.00028286i,-0.0025258+0.0019667i,-0.0014871+0.0010015i,0.0083917+0.0050906i,0.0016155+0.0015095i,0.0028425-0.00035134i,0.0020257+0.00011549i,0.0015768+0.00092773i,0.00029099+1.1414e-05i,-0.00018286+0.00093652i,-0.0023154-0.0013195i,-0.0012217-0.00056561i,-0.00081624+0.0012704i,-0.00086478+0.00072088i,-0.0014412-0.00065896i,-0.0037755+0.0090754i,0.0011433-0.00022522i,0.00084925-0.00072025i,0.0004468+0.002279i,-0.0012741-0.0029971i,-0.0011691+0.00034338i,-0.002177+0.00029813i,0.0022024+0.00094304i,0.0063868+0.0032701i,-0.0085613+0.036393i,-0.071219+0.04904i,-0.048069+0.046887i,-0.027365+0.063981i,-0.0026328+0.070275i,0.002377+0.049722i,0.01139+0.031913i,-0.0018432-0.0052568i,-0.038089+0.011834i,-0.037171+0.021257i,0.0072267+0.022616i,-0.0087035+0.0047125i,-0.0097892+0.0051852i,-0.013288+0.001907i,0.0011897-0.00077389i,0.0079641+0.0090192i,0.0021676+0.010888i,-0.013563-0.0099614i,0.0010611-0.0072243i,-0.0062579-0.0031795i,-0.001539-0.0059932i,0.0012563-0.005437i,0.0027167+0.0079498i,0.0059611-0.006375i,0.00064852-0.0067609i,0.00058636-0.0033566i,0.0039594-0.0015193i,-0.0023593-0.0037111i,-0.0013841+0.001431i,0.0026807-0.00069926i,0.0039713+0.025584i,-0.0047563-0.0026762i,0.0026409-0.0016609i,-0.0032066-0.0060726i,0.0029556-0.0023854i,-0.014803+0.0035217i,0.0010218+0.00038329i,0.0034877-0.0028005i,0.0030363-0.0024129i,-0.00093265-0.0048488i,0.0013535+0.0026978i,0.0016101+0.0057132i,-8.6236e-05+0.0056808i,-0.01066+0.0053884i,-0.015685+0.0021891i,-0.031008+0.055757i,0.00091572+0.0060619i,-0.02877-0.011358i,-0.0092478-0.0101i,0.013339+0.017888i,0.0021553+0.024487i,-0.0033091-0.0021361i
0.010772+0.013618i,0.028727+0.041401i,0.035945+0.02518i,0.028504+0.020923i,0.037005+0.018013i,0.025818-0.026009i,0.012092-0.015253i,0.030809-0.0047123i,0.015895+0.0081956i,0.0041955+0.0026543i,0.00533-0.000252i,0.004969+0.002988i,0.006202+5.3875e-05i,0.0061161+0.00064927i,0.00087911-0.004166i,0.0052328-0.0040958i,0.0035903-0.0075386i,-0.0015801-0.001304i,-0.002376+0.0019373i,0.00043364-0.00034745i,-0.0018873-0.00021446i,-0.0018077+0.0025238i,-0.0014005+0.0010922i,0.0090899+0.00071651i,0.0024029+0.00073299i,0.0021309-0.0015002i,0.0016242-0.00069972i,0.0019709+8.1345e-06i,0.00021116+8.7868e-05i,-7.8726e-05+0.001108i,-0.002654-5.938e-05i,-0.0018703+0.00036099i,-0.00019078+0.0015666i,-0.0005061+0.00094225i,-0.0012239+0.00051836i,-0.00095591+0.0095843i,0.00080736-0.00040865i,0.00050313-0.0010391i,0.00097101+0.0014951i,-0.0022052-0.0023325i,-0.0011043+0.00051334i,-0.0018468+0.00080877i,0.0021674+0.0012804i,0.0073485+0.0019448i,-0.00039012+0.036629i,-0.058269+0.059922i,-0.039712+0.055063i,-0.016177+0.064994i,0.011746+0.063451i,0.012113+0.047661i,0.010982+0.028432i,-0.0070338-0.0063305i,-0.038638+0.017489i,-0.03012+0.02029i,0.012146+0.018154i,-0.0080426+0.0070259i,-0.0076375+0.0082517i,-0.012258+0.004957i,-0.00074197-0.0024965i,0.010049+0.0070858i,0.0069959+0.010534i,-0.01753-0.0050231i,-0.001101-0.0051166i,-0.0054707-0.00036924i,-0.0032815-0.0039917i,-0.0011328-0.0047447i,0.0049527+0.0066178i,0.0037583-0.006683i,-0.0032353-0.0047023i,0.00085382-0.0014318i,0.00364-0.0040868i,-0.0040075-0.0026968i,-6.5863e-05+0.00093892i,0.0023107-0.0013265i,0.014491+0.019543i,-0.005984-0.0010259i,0.0023684-0.0028802i,-0.0033681-0.0039113i,0.003299-0.0038192i,-0.010353+0.008879i,0.0020741+0.00033098i,0.0021695-0.0034235i,0.0017174-0.0028459i,-0.0025568-0.003766i,0.00071555+0.0018059i,0.0035544+0.0037434i,0.0025802+0.0050023i,-0.0088562+0.0076901i,-0.015715+0.0067653i,-0.022521+0.056182i,0.0046178+0.0058945i,-0.030412-0.005875i,-0.012806-0.011621i,0.017118+0.014002i,0.0081771+0.025249i,-0.0053802-0.0011649i
0.01121+0.011619i,0.032345+0.035095i,0.03884+0.017119i,0.032225+0.013372i,0.040963+0.0097366i,0.019588-0.030009i,0.0078154-0.01696i,0.028896-0.010739i,0.017033+0.0050085i,0.0042495+0.0018994i,0.0044318-0.00090433i,0.0059097+0.002002i,0.0053768-0.0010095i,0.0056068-0.0009698i,-0.00045716-0.0039727i,0.0035538-0.004388i,0.00099701-0.0070248i,-0.0018358-0.00080327i,-0.0012783+0.0023937i,-0.00027434-0.00070289i,-0.0022058+0.00067822i,-0.0010754+0.002928i,-0.0013029+0.0014102i,0.0076701-0.0026724i,0.0021894-0.00028726i,0.0011777-0.0017124i,0.0011278-0.00093597i,0.001427-0.0010003i,0.00022451-5.1051e-05i,0.00034559+0.001331i,-0.0024462+0.0013649i,-0.0013783+0.0013912i,0.00044529+0.0013256i,-0.00018524+0.00095287i,-0.00065667+0.0011087i,0.0020559+0.0092075i,0.00055853-0.00061629i,-1.6122e-05-0.0012312i,0.00099261+0.0012216i,-0.0027251-0.0014482i,-0.0010026+0.00081632i,-0.0015688+0.0011794i,0.002742+0.0012985i,0.0079555+0.00022336i,0.006994+0.033657i,-0.042599+0.067636i,-0.030502+0.061126i,-0.0070681+0.064545i,0.023921+0.052603i,0.021868+0.04174i,0.010042+0.027049i,-0.013439-0.004663i,-0.037296+0.024554i,-0.025814+0.017554i,0.015402+0.011961i,-0.0062003+0.0097569i,-0.0042907+0.011573i,-0.010667+0.0078648i,-0.0043319-0.0015846i,0.012007+0.0036801i,0.0113+0.0077511i,-0.019434+0.001166i,-0.0022239-0.0037359i,-0.0036896+0.00099929i,-0.0039598-0.001586i,-0.0027183-0.0034495i,0.0070169+0.0033747i,0.001591-0.0068227i,-0.0048072-0.00030346i,0.0019169-0.00084703i,0.001414-0.0058895i,-0.0045688-0.00053786i,0.00083442+0.00095198i,0.0022601-0.001903i,0.020407+0.0097871i,-0.0061318+0.0017994i,0.0017735-0.004367i,-0.0033166-0.0024019i,0.0016916-0.0059845i,-0.0045327+0.010059i,0.0031498-0.00085233i,0.00088696-0.0025968i,0.00093956-0.0028125i,-0.0025464-0.0020156i,0.00053137+0.0016948i,0.0035736+0.0012241i,0.0046886+0.0039611i,-0.0063746+0.0093029i,-0.014237+0.011462i,-0.014724+0.056939i,0.010996+0.0016126i,-0.029401+0.00018026i,-0.018404-0.011251i,0.017741+0.0090508i,0.015054+0.023359i,-0.0055045-0.00041057i
0.012336+0.010086i,0.035853+0.030044i,0.04016+0.0099346i,0.033348+0.0057388i,0.042319+0.00093117i,0.013481-0.03248i,0.0037801-0.016968i,0.025886-0.015718i,0.017798+0.0016448i,0.004289+0.0011528i,0.0039476-0.0011968i,0.0064924+0.0005793i,0.0047889-0.0013899i,0.0047256-0.0021668i,-0.0015956-0.0031339i,0.0022311-0.0039893i,-0.00060621-0.0060544i,-0.0021287-0.00021527i,-0.00065622+0.0021131i,-0.00093333-0.00050808i,-0.0019062+0.0013828i,6.4281e-05+0.0031598i,-0.0010538+0.0018708i,0.0054347-0.004831i,0.0015061-0.00075011i,0.00064103-0.0016904i,0.00069794-0.001112i,0.00058915-0.001212i,3.7e-05-4.5329e-06i,0.0010741+0.001234i,-0.0013847+0.0022974i,-0.0005806+0.0018565i,0.00083023+0.00090403i,0.00021217+0.0011468i,0.00018492+0.0013732i,0.0045761+0.0077882i,0.00015447-0.0005343i,-0.00060532-0.0010848i,0.0014812+0.00098858i,-0.0029765-0.00041922i,-0.00070316+0.00080146i,-0.0011884+0.001403i,0.0033898+0.00083613i,0.0075128-0.0019272i,0.012116+0.028916i,-0.026126+0.070456i,-0.018719+0.065951i,0.0025488+0.064066i,0.029932+0.039635i,0.02815+0.03408i,0.010674+0.028365i,-0.01747+0.0019393i,-0.033618+0.033602i,-0.024994+0.015535i,0.014396+0.0059137i,-0.0029521+0.011809i,0.00093291+0.011788i,-0.0086197+0.010248i,-0.0055937+0.0017044i,0.012211-0.0015513i,0.014099+0.0032548i,-0.019135+0.0072728i,-0.0022817-0.0018111i,-0.0026678+0.0015871i,-0.0027344+0.00014519i,-0.004056-0.0011732i,0.0068808+0.00064423i,-0.00037115-0.0064223i,-0.0030979+0.0032656i,0.0030751-0.001808i,-0.0013244-0.0060417i,-0.0036053+0.0011066i,0.0020609+0.0001854i,0.0018773-0.0024857i,0.020787+6.1653e-05i,-0.0039695+0.004101i,0.00020154-0.0055814i,-0.002547-0.0019222i,-0.00068504-0.006676i,-0.00057155+0.0089448i,0.0028016-0.0022393i,0.00094356-0.0013399i,0.00079904-0.0023233i,-0.0014815-0.0013799i,0.0010224+0.0020576i,0.0022853-0.0001292i,0.0054665+0.0016943i,-0.0040406+0.0091838i,-0.010219+0.015774i,-0.0065666+0.05703i,0.01272-0.0089886i,-0.025703+0.0023458i,-0.024043-0.008433i,0.017999+0.0048267i,0.020606+0.017092i,-0.0065288-0.00051747i
0.013725+0.0080804i,0.039369+0.024253i,0.041139+0.0025324i,0.033258-0.0017767i,0.04217-0.0075961i,0.007067-0.034029i,0.00091329-0.016249i,0.022323-0.019976i,0.018178-0.0022239i,0.003995+0.00038898i,0.0039637-0.0014835i,0.0067036-0.0008608i,0.0049923-0.0019403i,0.0036818-0.0029959i,-0.0021802-0.0022571i,0.0016045-0.0033196i,-0.001552-0.0054546i,-0.0018884+0.00031916i,-0.00019255+0.0020163i,-0.0012739-8.3205e-05i,-0.0012868+0.0018634i,0.0013808+0.0026576i,-0.0004288+0.0022405i,0.0023814-0.005833i,0.0012904-0.00090811i,5.0391e-05-0.001684i,0.00027752-0.001197i,5.0857e-05-0.0011109i,2.9529e-06+0.00017178i,0.0015074+0.00064907i,-0.00021832+0.0025025i,0.00028177+0.0018906i,0.00095944+0.00056328i,0.00076685+0.00089732i,0.00080059+0.00079433i,0.0060668+0.0058074i,1.7311e-05-0.00032861i,-0.0009052-0.00063006i,0.0015762+0.00038881i,-0.0026854+0.00037999i,-0.00054466+0.00088111i,-0.0007056+0.0013861i,0.0037934+0.00023114i,0.0064856-0.0035767i,0.015563+0.024006i,-0.011513+0.068855i,-0.0050876+0.066511i,0.012498+0.061846i,0.031921+0.027765i,0.031976+0.026268i,0.01396+0.030224i,-0.01647+0.010709i,-0.02497+0.043057i,-0.025972+0.016467i,0.012352+0.0028591i,0.0011077+0.01217i,0.0046496+0.0099425i,-0.0058016+0.012444i,-0.0047061+0.0040972i,0.0095116-0.0069272i,0.014263-0.0025801i,-0.016468+0.01215i,-0.0014157-0.0010309i,-0.0014626+0.0014851i,-0.0017063+0.00044901i,-0.0032296+0.0015894i,0.0055094-0.001324i,-0.0017522-0.0052723i,0.00028357+0.0045746i,0.0030625-0.0037074i,-0.0034513-0.004489i,-0.0026428+0.0018048i,0.0023439-0.0013153i,0.0017897-0.0027041i,0.017266-0.0080253i,-0.0015375+0.0047376i,-0.0020548-0.0054242i,-0.0027343-0.0017073i,-0.0031578-0.0059852i,0.0018908+0.0071999i,0.0024998-0.0033801i,0.0024042-0.0015536i,0.00080841-0.0031737i,-0.0008859-0.0021374i,0.0016974+0.0021387i,0.00090254+0.00038165i,0.0049983+0.00021757i,-0.0027727+0.0086956i,-0.0043615+0.017559i,0.0018564+0.055784i,0.0071141-0.018327i,-0.024033+0.00087042i,-0.028944-0.0024616i,0.016146-0.00074436i,0.022044+0.010377i,-0.0074269+0.00061449i
0.014986+0.0057749i,0.041787+0.017743i,0.039964-0.0059802i,0.030776-0.0096792i,0.04043-0.016654i,0.00023323-0.033924i,-0.0011467-0.015524i,0.018118-0.023747i,0.017241-0.0061079i,0.0036593+0.00040828i,0.0035461-0.0019845i,0.0065616-0.0029399i,0.0047456-0.0032014i,0.0024561-0.0035191i,-0.0025243-0.0012471i,0.0014626-0.0029476i,-0.0025895-0.0048713i,-0.0019624+0.00075938i,0.00047747+0.0017142i,-0.0016926+0.00049236i,-0.00087237+0.0020243i,0.0021985+0.0016196i,0.00019239+0.0023015i,-0.00073828-0.0053655i,0.00082415-0.0017292i,-0.00056487-0.0012823i,-0.00026053-0.0011803i,-0.00031441-0.00088417i,0.00028954+0.00026134i,0.001381+9.151e-06i,0.0010137+0.002203i,0.00088313+0.0016716i,0.00087823+0.0002077i,0.0010107+0.00048334i,0.00068401+4.2859e-05i,0.0068218+0.0038149i,-0.00012523-0.00021247i,-0.0010737-0.00030592i,0.0014148+1.86e-05i,-0.0021341+0.00088084i,-0.00035196+0.00097268i,-0.00029697+0.0012362i,0.0041515-0.00092495i,0.0050381-0.0047504i,0.017576+0.019589i,0.0010908+0.065118i,0.007136+0.062744i,0.02211+0.057979i,0.030679+0.017699i,0.033828+0.019237i,0.019848+0.030372i,-0.0095619+0.016686i,-0.01161+0.047742i,-0.025892+0.020077i,0.010604+0.0010897i,0.004629+0.010401i,0.0067917+0.0068608i,-0.0021126+0.013333i,-0.0039432+0.0055621i,0.0031777-0.0094981i,0.01097-0.0073795i,-0.012535+0.01576i,-0.00081973-0.0015639i,-0.00099526+0.00084686i,-0.0013077+0.00035583i,-0.00086856+0.0028014i,0.0041841-0.0014477i,-0.0025172-0.0044298i,0.003101+0.0038135i,0.0015379-0.0055505i,-0.0044302-0.00268i,-0.0013652+0.0022183i,0.0014618-0.0026482i,0.0014059-0.0036859i,0.011399-0.01267i,0.00048212+0.0044879i,-0.0034055-0.0043367i,-0.0025541-0.0013655i,-0.0047632-0.004678i,0.0033056+0.0054175i,0.0016039-0.0049522i,0.0028514-0.0031816i,-0.0002307-0.0037212i,-0.0015422-0.0029501i,0.0029423+0.0022039i,0.00093572+0.0018561i,0.004384-0.00078547i,-0.0020306+0.008791i,0.00067948+0.016632i,0.010139+0.054147i,-0.0017652-0.023501i,-0.026611-0.0007487i,-0.030349+0.0056924i,0.010643-0.0043216i,0.022492+0.0045739i,-0.0064781+0.0013068i
0.016185+0.0026553i,0.043731+0.011766i,0.036493-0.013019i,0.02548-0.015643i,0.035854-0.025046i,-0.0057222-0.032133i,-0.0026841-0.014843i,0.013152-0.02626i,0.01578-0.0096808i,0.0042287+0.00049074i,0.0032907-0.002166i,0.0051051-0.0048135i,0.0039522-0.0042665i,0.0013729-0.0034865i,-0.0023468-0.00025348i,0.0013282-0.0026983i,-0.0041569-0.00355i,-0.0016882+0.001535i,0.00080943+0.0010583i,-0.0015942+0.0015921i,-0.00027803+0.0023493i,0.0022659+0.00041618i,0.00084538+0.0022315i,-0.0028916-0.0034995i,-0.00055293-0.0015962i,-0.00075752-0.00077001i,-0.00065724-0.0009132i,-0.00061087-0.00052608i,0.00035399-6.1764e-05i,0.001161-0.00039221i,0.0018873+0.0014057i,0.0013633+0.0011284i,0.00085625-2.1065e-05i,0.0010845+0.00011081i,0.00022684-3.5213e-05i,0.0069019+0.0017605i,-0.00017264-5.8832e-05i,-0.0012467+0.00013426i,0.0012895-0.00019026i,-0.0014484+0.0011521i,-0.0001035+0.0011498i,-0.00011297+0.0011187i,0.0036897-0.0023961i,0.0033515-0.0049973i,0.018754+0.015228i,0.012061+0.059252i,0.016013+0.057398i,0.031105+0.052319i,0.027926+0.01052i,0.034249+0.012769i,0.025847+0.027738i,-0.0018879+0.017489i,0.0024358+0.047115i,-0.023727+0.024684i,0.0096877+6.6246e-06i,0.0071171+0.0078709i,0.0072752+0.0040567i,0.0018976+0.012723i,-0.0025808+0.007381i,-0.0025397-0.0078256i,0.0068477-0.0094285i,-0.0078326+0.017932i,-0.0013364-0.0024315i,-0.0014156+0.00075324i,-0.0012128+0.00053699i,0.0015813+0.002585i,0.0035622-0.0017091i,-0.003538-0.0036253i,0.0046353+0.0017028i,-0.001461-0.0063114i,-0.0044563-0.00089165i,-3.122e-05+0.0016538i,0.00095977-0.0033028i,0.00021073-0.0049282i,0.0053405-0.014034i,0.0020109+0.0035806i,-0.0043373-0.0033337i,-0.0033025-0.0013692i,-0.0061335-0.0028273i,0.0038089+0.0038804i,-0.00035442-0.0063181i,0.0026106-0.0048666i,-0.001162-0.0032674i,-0.00218-0.0028738i,0.0035718+0.0017069i,0.001957+0.0025497i,0.0033326-0.0014572i,-0.00079184+0.0095067i,0.0046577+0.014129i,0.019098+0.051163i,-0.012104-0.025093i,-0.030601+0.00097038i,-0.027485+0.013718i,0.0059927-0.0034704i,0.020495-0.0017009i,-0.0058027-0.00028947i
0.016497-0.0011862i,0.045366+0.0046245i,0.032547-0.01833i,0.020169-0.018671i,0.029881-0.031725i,-0.010385-0.029825i,-0.0038688-0.014677i,0.0083151-0.027822i,0.013597-0.013061i,0.004976-0.00042736i,0.0033999-0.0027507i,0.0032006-0.005574i,0.0027475-0.0054137i,0.00058946-0.0033337i,-0.0018739+0.00037646i,0.0013899-0.002466i,-0.0047491-0.0015759i,-0.0010311+0.0016336i,0.00061649+0.00040996i,-0.00085984+0.002154i,0.00045253+0.0023071i,0.0019126-0.00038835i,0.0015286+0.0018357i,-0.0038029-0.00089272i,-0.0010691-0.00078521i,-0.00078221-0.00041776i,-0.00092732-0.00066307i,-0.00060097-0.00016761i,6.3739e-05-1.7681e-05i,0.00072492-0.00076714i,0.002432+0.00033781i,0.0014584+0.00059719i,0.00087629-0.00024514i,0.0011624-0.00015254i,0.00015227+0.00030409i,0.0061644+4.409e-05i,-0.00014771+0.00016437i,-0.0011313+0.00066938i,0.0011782-0.00058273i,-0.00072362+0.0013424i,0.00036696+0.0010214i,4.4532e-05+0.00092i,0.0025509-0.0033602i,0.0018602-0.0047494i,0.019179+0.011197i,0.019569+0.05141i,0.023113+0.052121i,0.038576+0.044568i,0.02467+0.0050713i,0.033792+0.0083293i,0.030957+0.023719i,0.0046069+0.016249i,0.014631+0.041915i,-0.019319+0.029432i,0.0090882-0.0014042i,0.008637+0.0044431i,0.0076885+0.0018753i,0.0054683+0.010534i,0.0001866+0.0079673i,-0.0057452-0.0043655i,0.0025959-0.0098391i,-0.0024218+0.018005i,-0.0027148-0.0023448i,-0.0021809+0.0018714i,-0.0010011+0.0007831i,0.0032023+0.0011554i,0.0029712-0.0010136i,-0.0040019-0.0021387i,0.004695-0.00060132i,-0.0041185-0.0050431i,-0.0034489+0.0005251i,0.00030641+0.0005744i,0.00015242-0.0041812i,-0.0017501-0.0050367i,0.00024286-0.013271i,0.0032478+0.0020704i,-0.005408-0.0018589i,-0.0038638-3.2824e-05i,-0.0061918-0.00029289i,0.004233+0.0032051i,-0.0034644-0.006384i,0.0015362-0.0068657i,-0.0017783-0.0029661i,-0.0029463-0.0030131i,0.0044595+0.0013585i,0.0032251+0.0025283i,0.0024434-0.0010008i,0.00088791+0.0094442i,0.007054+0.010557i,0.027824+0.045859i,-0.022959-0.021957i,-0.033643+0.0046563i,-0.021858+0.018369i,0.0040778-0.0020653i,0.015976-0.0057299i,-0.0079061-0.00099023i
0.01538-0.0048806i,0.045557-0.0033002i,0.028393-0.022919i,0.01571-0.020443i,0.022894-0.036954i,-0.014926-0.02726i,-0.0054647-0.015363i,0.0034832-0.028804i,0.010561-0.015979i,0.0052511-0.0016634i,0.0032129-0.0038419i,0.0014587-0.0056001i,0.00092682-0.005988i,-8.1131e-05-0.0032151i,-0.0015125+0.00058824i,0.0016335-0.0025826i,-0.004405+0.0001948i,-0.00068893+0.0014951i,0.00046762+0.00023991i,-8.0642e-05+0.0023219i,0.0010537+0.0021057i,0.0014553-0.00079102i,0.0019911+0.0011212i,-0.003044+0.0015104i,-0.00092073-0.00011619i,-0.00082337-2.2678e-05i,-0.0010973-0.00035778i,-0.00057246+3.4724e-05i,8.7706e-05+8.786e-05i,0.00016556-0.00087412i,0.002442-0.00086073i,0.0015338+0.00024884i,0.00073739-0.00053265i,0.0010375-0.00072177i,0.00040067+0.00050436i,0.0053996-0.0010505i,7.3208e-05+0.00016702i,-0.00072652+0.0011306i,0.00051463-0.00067681i,0.00010161+0.0011298i,0.000715+0.0009048i,1.2895e-05+0.00092872i,0.001043-0.0035502i,0.00087016-0.0038901i,0.018957+0.0080113i,0.023941+0.044916i,0.029771+0.046758i,0.043399+0.036921i,0.020643+0.00069245i,0.034828+0.0046802i,0.035205+0.018404i,0.011058+0.012625i,0.024471+0.033376i,-0.012386+0.032683i,0.0081712-0.0029183i,0.0082111-0.00018106i,0.0078747-0.00080113i,0.0073942+0.0071482i,0.0020611+0.0071901i,-0.0071343-5.9672e-06i,-0.0012089-0.0086277i,0.0017372+0.015501i,-0.0038988-0.0010056i,-0.0018036+0.0036936i,-0.00084148+0.0010353i,0.0039477-0.00097543i,0.0039488+0.0003115i,-0.0034734-0.00088156i,0.0041768-0.0014813i,-0.0052866-0.0030141i,-0.0023123+0.0010137i,5.6503e-05+0.0002451i,-0.0020217-0.004789i,-0.003425-0.0037786i,-0.0039164-0.011951i,0.0035101+0.00010237i,-0.0057084+0.00010944i,-0.0030631+0.0011247i,-0.0052778+0.0015906i,0.0054109+0.0025637i,-0.0058955-0.0044794i,-0.0010535-0.0081774i,-0.0025825-0.0024314i,-0.0045761-0.002649i,0.0055504-0.00040872i,0.0047732+0.0021401i,0.0029065-0.000739i,0.0027977+0.0095193i,0.0070923+0.0071505i,0.03534+0.038306i,-0.029862-0.013185i,-0.036468+0.010751i,-0.015943+0.020987i,0.0023765-0.00037894i,0.011681-0.0063442i,-0.0093302-0.00041399i
