-0.025221-0.0043408i,-0.023936+0.0022735i,-0.017419-0.0073189i,-0.030044-0.012515i,-0.029076+0.0032326i,-0.039528-0.005169i,-0.061807-0.029125i,-0.032672-0.014667i,-0.029671-0.0032353i,0.0064145+0.0039539i,-0.0034939+0.007499i,-0.0056608+0.014196i,0.0062966+0.011117i,-0.0013912+0.0037774i,0.005103+0.0039979i,0.0052162+0.024998i,0.024912+0.023008i,0.0013827-0.00058577i,0.00088661-0.0052142i,0.0070011-0.0011472i,0.0055232+0.00084938i,0.0027346+0.001239i,0.0014766-0.000611i,-0.030632-0.0015093i,-0.0044142-0.0056509i,-0.00044274+0.003129i,0.0030077-0.0024279i,-0.00076712+0.00050255i,-0.00065699+0.0011339i,-0.0014608-0.0029661i,-0.0037124-0.0018312i,-0.0066695-0.0061336i,-0.0045563-0.0023238i,-0.00027336+0.00016256i,0.002151-0.0031121i,0.0024326+0.022471i,0.0014524-0.0027263i,0.00028343-0.0023833i,0.004773-0.0023864i,-0.0025102-0.0012842i,0.00084536+0.00079432i,0.0071724-0.0018207i,0.0032941-0.001965i,-0.00089271+0.0031521i,-0.013504+0.017275i,-0.0282+0.055716i,-0.0041096-0.038078i,-0.014461-0.017802i,-0.037093-0.015645i,-0.027048-0.012221i,0.032787-0.010555i,0.0067279-0.030949i,0.012785-0.040816i,-0.011334-0.029415i,0.024625-0.023248i,0.013229+0.006727i,0.027863-0.033795i,-0.0019165-0.0039765i,0.0069053-0.0086001i,0.00035676-0.0049752i,0.0019897-0.036311i,-0.011802+0.030577i,0.0074871-0.012099i,-0.0098477-0.0047457i,-0.0023391-0.0021588i,0.00068023-0.014607i,-0.0077666+0.0050034i,0.0036008+0.0052796i,-0.00042711+0.029293i,0.0020437-9.0635e-05i,-0.0070951-0.0044519i,-0.0030297-0.0058905i,-0.014114-0.0093455i,-0.0028095-0.0058957i,-0.032401+0.0074358i,-0.0052328-0.0081291i,-0.013113-0.0015169i,-0.010467-0.0059616i,0.0011797-0.0022231i,-0.013285+0.0017768i,-0.0017294-0.00021806i,0.0065826+0.00656i,0.0035957-0.0054307i,-0.013726-0.012199i,0.0079248+0.0086694i,-0.016778+0.0057981i,0.005507+1.7905e-05i,-0.018884-0.0015847i,-0.017821-0.0037565i,-0.017949-0.033222i,0.020718-0.010483i,-0.038623-0.023009i,-0.0093822+0.0052829i,0.017878+0.014873i,-0.021764+0.017833i,-0.0032973-0.0037547i
0.0056653-0.0094127i,0.0095321-0.0077954i,0.0095025-0.0027703i,0.01265+0.0028747i,0.0172-0.0036888i,0.013468-0.016511i,0.019588-0.0038241i,0.01364+0.0013672i,0.0046415-0.0086045i,-0.0017399+0.0025623i,-0.00064232+0.00070042i,-0.0020567-0.00010152i,-0.0011072+0.0036422i,-0.0022182+0.002892i,0.0014248+0.0024123i,0.0010952-0.00071217i,0.0026726-0.0015387i,0.00066118-0.0014619i,0.00011223-0.00042801i,-0.00028873-0.00044015i,0.00016227-0.0017323i,-0.0018554-0.0010489i,-0.0017597-0.00034148i,0.0061385+0.0052161i,-0.0022751+8.376e-05i,-0.0010853+0.0020527i,-0.0020215+0.00040233i,-0.0022734+0.00016551i,-0.0018552-0.0018758i,-0.0032931+0.00078123i,0.0012661-0.0016918i,0.0002221+0.00063853i,0.0010218-0.00084344i,0.0014818+0.00011989i,0.00078673+0.00039236i,-0.010176+0.0061283i,-0.0019012-0.0004155i,-0.0011608+0.00031513i,-0.0020686+0.000342i,0.001621-0.0022245i,0.00047404-0.00052831i,0.00036797-0.0011609i,-0.0017694+0.0023968i,0.0036228+0.0008999i,-0.0025108-0.014178i,-0.027739-0.0063278i,-0.0047593-0.0080566i,-0.0067358+0.0038755i,0.016763+0.022204i,0.0022518+0.0032399i,0.013542-0.016007i,-0.0099268-0.027519i,-0.0047326-0.012831i,0.0084465-0.0081121i,0.018062+0.017725i,0.0019473+0.0022642i,-0.00070317+0.00028063i,-0.0052495-0.00074466i,0.01144-0.0026932i,0.013181+0.0080778i,0.0025876+0.0052642i,-0.0049304-0.0061185i,0.0056157-0.0028068i,-0.0040744-0.0063874i,0.0028407-0.010423i,0.0064463-0.0067492i,-0.00039427+0.0069055i,0.0091741-0.0079016i,0.0040776-0.0077736i,0.00048896-0.0063361i,-0.0029712-0.0013296i,-0.0065551-0.0065882i,-0.0082877-0.00093944i,-0.00044859-0.0015539i,-0.0078313+0.024743i,-0.0093052-0.0017905i,0.00044425+0.0030976i,-0.0037442-0.0050879i,0.00020511+0.001199i,-0.016201+0.0022208i,-0.0035654+0.0017674i,-0.0015446-0.0030224i,-0.0042097-0.00081419i,-0.0062781-0.0029925i,-0.00095653+0.0052503i,-0.0019296+0.0022255i,-0.0056212+0.006031i,-0.0055379+0.00023413i,-0.0033316-0.002411i,0.0081921-0.0037932i,-0.0048839+0.018167i,-0.027131-0.0023485i,-0.010036-0.0019262i,0.011725+0.015713i,-0.0023058+0.016504i,-0.0069122-0.0053248i
0.0043241-0.010974i,0.0083139-0.009856i,0.0090339-0.0041276i,0.012557+0.0012859i,0.017081-0.0066861i,0.010221-0.018836i,0.017409-0.0073286i,0.013268-0.00083336i,0.0028934-0.0096225i,-0.00088118+0.0027882i,-3.0879e-05+0.001001i,-0.0024618+0.0011892i,0.00012138+0.0038216i,-0.00098225+0.0037209i,0.0019129+0.0020911i,0.00068325-0.00025944i,0.0015423-0.0020577i,0.00067453-0.0014884i,2.4499e-05-0.001123i,-5.34e-05-0.00085967i,-0.00018708-0.0018707i,-0.0020243-0.00064361i,-0.0017102-0.00030963i,0.0088058+0.0019319i,-0.0027285+0.0016848i,8.7161e-07+0.0023498i,-0.0019798+0.0012372i,-0.0021915+0.0011051i,-0.0031882-0.00073652i,-0.0029559+0.0024679i,0.00029497-0.0018084i,0.00015129+5.9071e-05i,0.0004099-0.0011184i,0.001265-0.00045986i,0.00065405+0.00077036i,-0.0074921+0.0088749i,-0.0022945+0.00038586i,-0.0011601+0.00095156i,-0.0020385+0.0010626i,0.00080647-0.0024355i,0.0005309-0.00080903i,-0.00011735-0.0011462i,-0.0013032+0.0028484i,0.003156+0.00043355i,-0.0038447-0.013082i,-0.025442-0.0034168i,-0.0066795-0.0045365i,-0.0030963+0.0020413i,0.025203+0.015322i,0.0057605+0.0010663i,0.0069678-0.018922i,-0.018159-0.02746i,-0.0097627-0.013773i,0.010949-0.014911i,0.019904+0.010604i,0.00095978+0.0010798i,-0.00011051+0.0024352i,-0.0047504+0.00079434i,0.0085209-0.0065759i,0.014517+0.004159i,0.0055875+0.0060227i,-0.008647-0.0043897i,0.0022654-0.0045935i,-0.0048958-0.0040356i,-0.00223-0.0094359i,0.003359-0.0080928i,0.0030377+0.0049878i,0.0046504-0.0092487i,0.00023094-0.0073119i,-0.0027798-0.003574i,-0.0020984-0.00033063i,-0.0080429-0.0042615i,-0.0060918+0.002599i,-2.1847e-05-0.0010173i,0.0043468+0.023714i,-0.0099079+0.0013796i,0.0011001+0.001369i,-0.0058667-0.0028562i,0.00091855+0.00050642i,-0.013695+0.0093111i,-0.0025102+0.0029419i,-0.0023204-0.0010238i,-0.0030167+0.00048583i,-0.0065881-0.00046826i,0.00056431+0.0023322i,-0.00089507+0.0019048i,-0.0019928+0.0078295i,-0.0039932+0.0020162i,-0.0049265-0.00167i,0.0087235-0.0096848i,-0.0009876+0.019724i,-0.026941+0.0024936i,-0.011057-0.0034066i,0.01336+0.013201i,-6.1951e-05+0.018211i,-0.0093077-0.0047542i
0.00196-0.012091i,0.0060174-0.012275i,0.0084939-0.0060129i,0.012861-0.00086018i,0.016788-0.010027i,0.0065215-0.02078i,0.014706-0.010563i,0.012634-0.0030407i,0.0010296-0.0095613i,-0.00043587+0.0027796i,0.00025455+0.00053833i,-0.0019584+0.002459i,0.0010229+0.0032788i,0.0002815+0.0035966i,0.0023464+0.0016701i,0.00052859+0.00016176i,0.00051756-0.0020372i,0.00045719-0.0019614i,-0.00049929-0.0013096i,-0.00050294-0.0014969i,-0.00086973-0.0020076i,-0.0018597-6.1413e-05i,-0.0019569-0.00024869i,0.0084674-0.0025768i,-0.001713+0.0030506i,0.00066266+0.0021334i,-0.0016012+0.0023012i,-0.0016811+0.0020071i,-0.003536+0.001252i,-0.0017972+0.0037937i,-0.00047182-0.0014066i,-0.00047673+0.00040304i,-0.00016397-0.00098764i,0.00085658-0.00084618i,0.0010258+0.0010091i,-0.004366+0.010607i,-0.0022254+0.0016665i,-0.00066599+0.0014187i,-0.0017322+0.0021047i,2.2378e-05-0.0024547i,0.00057124-0.0011739i,-0.00033352-0.0010016i,-0.00066039+0.0034192i,0.0031319+0.00044041i,-0.0040928-0.011948i,-0.023729+0.00055187i,-0.0051353+0.00010538i,-0.0004646-0.001039i,0.032139+0.0053044i,0.0085875-0.00058614i,0.00023085-0.019069i,-0.025292-0.024138i,-0.014164-0.010898i,0.0093821-0.022934i,0.018726+0.0037296i,-0.00072951+0.0009577i,-0.00029832+0.001643i,-0.004838+0.0015434i,0.0034399-0.0099739i,0.014772-0.0006689i,0.0082515+0.0046151i,-0.010866-0.0014022i,0.00062877-0.0036351i,-0.0052745-0.0014367i,-0.0048047-0.0067005i,0.00051164-0.0078869i,0.0049397+0.0042305i,0.0018747-0.0086978i,-0.0028741-0.0054223i,-0.0024639-0.00020504i,-0.0019291-0.00065877i,-0.0097503-0.0010443i,-0.0036437+0.0035577i,-0.00056393-0.0016058i,0.013286+0.017655i,-0.0092576+0.0054087i,0.0013522+0.00074417i,-0.0049632-0.00029733i,0.0013495-0.00075926i,-0.0069753+0.013828i,-0.00068511+0.0038886i,-0.0028741-0.00016543i,-0.0025336+0.0017547i,-0.0061012+0.0024383i,-0.00037704+0.0020154i,-0.00048347+0.00141i,0.0013457+0.0075531i,-0.0028683+0.0019147i,-0.006143+0.00026765i,0.0054795-0.014791i,0.0082801+0.018109i,-0.025328+0.005674i,-0.012705-0.0043747i,0.015608+0.0089396i,0.0045895+0.019931i,-0.010925-0.0032394i
-0.00053301-0.012176i,0.0025468-0.013164i,0.0070961-0.0077569i,0.01261-0.0036492i,0.015288-0.013926i,0.0021864-0.021706i,0.011337-0.012636i,0.011535-0.0049425i,-0.00013015-0.0094974i,-3.6946e-05+0.0029505i,0.00011752+0.00042933i,-0.00083873+0.0032505i,0.0013279+0.0029268i,0.00095321+0.0034458i,0.0025755+0.0011487i,0.00058959+0.00065109i,-0.00028216-0.001504i,7.1467e-05-0.0021323i,-0.00061345-0.0011964i,-0.0013997-0.0015512i,-0.0013779-0.0015958i,-0.0017535+0.00025518i,-0.0023039+0.00015895i,0.0058299-0.0056793i,-0.00031201+0.003636i,0.0012754+0.0020267i,-0.00052708+0.0030972i,-0.00087743+0.0025908i,-0.0025835+0.0028356i,-3.1735e-05+0.0043552i,-0.00089281-0.00081537i,-0.00012149+0.00095332i,-0.00049608-0.00064526i,0.00026042-0.0010256i,0.0014032+0.00069161i,-0.00081017+0.011325i,-0.0012902+0.0027985i,-0.00017548+0.0015175i,-0.00086393+0.0029757i,-0.0006827-0.0023789i,8.2141e-05-0.0016502i,-0.0004712-0.00094045i,0.00027255+0.0037993i,0.0032455+0.00024099i,-0.0038483-0.012234i,-0.019422+0.0042215i,-0.001266+0.0025829i,-0.00095705-0.0051275i,0.035063-0.0083456i,0.010851-0.0049938i,-0.005869-0.016042i,-0.031743-0.018062i,-0.016346-0.0053183i,0.0036682-0.029211i,0.016159-0.0010716i,-0.0013466+0.0024405i,-0.00077169+0.0037505i,-0.0047071+0.0029522i,-0.0031222-0.0087711i,0.013206-0.0059972i,0.010267+0.0018618i,-0.011806+0.0026501i,-0.00052786-0.0033391i,-0.0041495+0.00065605i,-0.005902-0.0031869i,-0.0015715-0.007437i,0.0060928+0.0010451i,-0.00043856-0.008233i,-0.0039849-0.0017556i,-0.0010075+0.0015215i,-0.0025234-0.00034377i,-0.0091279+0.0031429i,-0.0013971+0.0042868i,-0.0013913-0.0014816i,0.017685+0.0091446i,-0.0061529+0.0095404i,0.0016454-8.6722e-05i,-0.0040467+0.0016978i,0.00039288-0.0018151i,-0.00041325+0.013307i,0.0016435+0.0032676i,-0.0028036+0.0019622i,-0.0015471+0.0029336i,-0.0035611+0.0049099i,-0.00035933+0.0024826i,-0.00057907+0.00095161i,0.0048517+0.006288i,-0.0026781+0.0010957i,-0.0067383+0.0028301i,0.0014151-0.015862i,0.017605+0.0086842i,-0.022619+0.009313i,-0.01586-0.0036044i,0.014332+0.004726i,0.010292+0.018863i,-0.010621-0.0019896i
-0.0025886-0.011598i,-0.0003367-0.012554i,0.0054216-0.0088354i,0.011777-0.0062775i,0.012693-0.017318i,-0.0018928-0.021738i,0.0081311-0.013467i,0.010338-0.0063695i,-0.0010655-0.0094564i,0.0005782+0.003009i,-8.582e-05+0.00049579i,0.00037225+0.0034374i,0.0016521+0.0029547i,0.0015997+0.0031882i,0.0027055+0.00072519i,0.0010949+0.0012387i,-0.00042658-0.00083182i,-0.00050051-0.0023093i,-0.00093719-0.0014601i,-0.0021727-0.0010422i,-0.0018345-0.0013835i,-0.0015593+0.00056025i,-0.0024216+0.000879i,0.0026044-0.0069725i,0.001061+0.003668i,0.0020868+0.0016131i,0.00080422+0.0032689i,8.1069e-05+0.0028924i,-0.001209+0.0037444i,0.0018105+0.0041821i,-0.00081298-0.00028227i,0.00038008+0.0011047i,-0.00063596-0.00027931i,-0.00031417-0.00061838i,0.0016873+0.00049898i,0.0026135+0.01103i,3.5773e-06+0.003273i,0.00026506+0.0015796i,0.00039639+0.0034474i,-0.0013002-0.0020641i,-0.00039615-0.0018099i,-0.00071098-0.00090162i,0.0014451+0.0037227i,0.0032201-0.00032667i,-0.0049809-0.013111i,-0.014083+0.0050234i,0.0038578+0.0024266i,-0.0030249-0.0063192i,0.031163-0.021258i,0.010365-0.0095851i,-0.0085944-0.011178i,-0.034654-0.0091498i,-0.015539+0.0011277i,-0.0043827-0.031306i,0.012571-0.0039372i,-0.00047881+0.0035485i,0.0018283+0.0045321i,-0.0040358+0.0042203i,-0.0064142-0.0044762i,0.0090854-0.011035i,0.011047-0.0019478i,-0.01112+0.0065916i,-0.0011834-0.002125i,-0.0025555+0.0013907i,-0.0047018-0.00093021i,-0.0043988-0.0058628i,0.0053556-0.0011342i,-0.0023955-0.0070042i,-0.0025598+0.00096145i,0.00086252+0.0019822i,-0.0025449+0.00041831i,-0.0064261+0.006034i,0.0012738+0.0037578i,-0.0018927-0.00028857i,0.017808+0.00089671i,-0.00097308+0.010915i,0.0010651-0.00092709i,-0.0021883+0.0022129i,-0.00063416-0.0015715i,0.0036855+0.010902i,0.0026429+0.0020262i,-0.00095899+0.0043217i,0.00057181+0.0036099i,-0.00016799+0.0052106i,0.00054057+0.0030184i,-0.0014796+0.0012896i,0.0066337+0.0035696i,-0.0037705+0.00085027i,-0.0052916+0.0058602i,-0.00095416-0.01556i,0.01782-0.0058727i,-0.017612+0.0096597i,-0.018489-0.0013588i,0.013805+0.0017498i,0.014804+0.014244i,-0.011537-0.0019354i
-0.0042706-0.010767i,-0.0022548-0.011586i,0.0038972-0.0095252i,0.010568-0.0090289i,0.009644-0.020082i,-0.0061205-0.021183i,0.005657-0.013535i,0.009239-0.007598i,-0.0018549-0.0097178i,0.0010725+0.0027873i,-7.7373e-05+0.00077442i,0.0014979+0.0032249i,0.0025097+0.0029793i,0.0022804+0.0030342i,0.0029372+0.00022732i,0.0021248+0.0015065i,-0.00021356-0.000601i,-0.0012395-0.0023455i,-0.0015971-0.0014507i,-0.0026812-0.00021669i,-0.0023025-0.0010291i,-0.0012167+0.00073186i,-0.0021689+0.0016392i,-0.00078925-0.0068604i,0.0025569+0.0031198i,0.0026493+0.00075213i,0.0021084+0.0028453i,0.0012064+0.0029376i,0.00036501+0.0040446i,0.0033189+0.0031964i,-0.0006735-3.3088e-05i,0.00092243+0.0010694i,-0.00061095+0.00016326i,-0.0003549-0.00013167i,0.0019481-7.0944e-05i,0.0055945+0.009673i,0.0014602+0.0031588i,0.00085259+0.0015467i,0.0016841+0.0032561i,-0.001748-0.0015835i,-0.0010266-0.0018366i,-0.0010444-0.00076836i,0.0024108+0.0032682i,0.0031774-0.00056335i,-0.0064308-0.01373i,-0.0099204+0.0036325i,0.0081198-0.00072014i,-0.0046202-0.0061349i,0.024104-0.031114i,0.0081834-0.012872i,-0.008409-0.0066996i,-0.032951+0.00014036i,-0.010546+0.0076894i,-0.011445-0.029311i,0.009362-0.0051893i,0.00084212+0.0036629i,0.0036718+0.0034129i,-0.0031702+0.0056651i,-0.0072216-0.00095868i,0.0026712-0.014061i,0.009136-0.0063761i,-0.0091732+0.0093585i,-0.0007994-0.0012459i,-0.0014184+0.00099335i,-0.0036719-0.00012938i,-0.0052979-0.0028465i,0.0039714-0.0020588i,-0.0035023-0.0053342i,-0.00026811+0.0014446i,0.0026956+0.00072803i,-0.0022365+0.0011871i,-0.0035035+0.0072034i,0.0023268+0.0020428i,-0.0011506+0.00095852i,0.015012-0.0056393i,0.0035782+0.0099493i,0.00047363-0.00050889i,-0.0011741+0.0022584i,-0.0012876-0.0003143i,0.0068051+0.0081137i,0.0037599+0.0010217i,0.0023667+0.004346i,0.0021585+0.0025041i,0.0024892+0.0039682i,0.0013558+0.0030171i,-0.0017177+0.0026971i,0.0065931+0.0012241i,-0.005025+0.0016132i,-0.0024717+0.0070745i,-0.0024983-0.015815i,0.010113-0.016065i,-0.015487+0.0059957i,-0.021139+0.0025827i,0.011441-0.002731i,0.016393+0.0093592i,-0.012845-0.00053536i
-0.0056489-0.0094951i,-0.0040256-0.010714i,0.0021975-0.010449i,0.0080856-0.011937i,0.0059198-0.022585i,-0.010287-0.019347i,0.0037318-0.013555i,0.0081284-0.0089349i,-0.0030455-0.0098892i,0.0013545+0.0027724i,-7.8108e-05+0.00087583i,0.002406+0.0024092i,0.0033466+0.0024763i,0.0029579+0.0025982i,0.0030457-0.00033114i,0.0031474+0.00093819i,-0.00031328-0.00061979i,-0.0022256-0.0020967i,-0.0021687-0.00099314i,-0.0029688+0.00087327i,-0.0028606-0.0004053i,-0.00092336+0.00062728i,-0.0017038+0.0023143i,-0.0038359-0.0054262i,0.003666+0.0015232i,0.0027424-0.00018555i,0.0030693+0.0019393i,0.0023821+0.0024388i,0.0021534+0.0036193i,0.0043089+0.001605i,-0.00038966+9.4099e-05i,0.0013177+0.00085685i,-0.00041004+0.00050521i,-0.00019247+0.00020967i,0.0017283-0.00089234i,0.0079892+0.0074201i,0.0026632+0.0023351i,0.0014067+0.0011966i,0.0029836+0.0025242i,-0.0019536-0.0010036i,-0.0017578-0.0014653i,-0.0012905-0.00043439i,0.0033228+0.0024533i,0.0030334-0.00094365i,-0.0085431-0.013986i,-0.0072752+0.0015267i,0.0099615-0.0052723i,-0.0048946-0.0048375i,0.01464-0.037593i,0.0052325-0.014863i,-0.0070275-0.0045255i,-0.027884+0.0061227i,-0.002227+0.0098884i,-0.016776-0.025193i,0.0068481-0.0052418i,0.0019701+0.0030843i,0.0040099+0.0013714i,-0.0013937+0.0066819i,-0.0073962+0.0023019i,-0.0051004-0.01296i,0.0054607-0.0085554i,-0.0066463+0.011478i,-5.6592e-05-0.0017141i,-0.0012889+0.00052811i,-0.0035325+5.4413e-05i,-0.0046099-0.00061409i,0.0029588-0.0021779i,-0.0042044-0.0043983i,0.00075766+0.00062529i,0.0028987-0.0017241i,-0.0017197+0.0019722i,3.3155e-06+0.0074682i,0.0021638+0.00075789i,-0.0002723+0.00070632i,0.010438-0.009715i,0.0073122+0.0073561i,0.00099195-0.00017002i,0.00023718+0.0015831i,-0.00059447+0.00029347i,0.008254+0.0047575i,0.0046029-0.001255i,0.0043087+0.0026834i,0.0026513+0.0015811i,0.0037925+0.0017894i,0.0028403+0.0028002i,-0.00041727+0.0039902i,0.0063362-0.00060441i,-0.0055027+0.0033709i,-9.3643e-05+0.0066647i,-0.0040371-0.015524i,-0.00016179-0.021723i,-0.018422+0.0032608i,-0.020901+0.0078443i,0.0056734-0.0047751i,0.017096+0.0048451i,-0.012736+0.00088348i
-0.006135-0.0081247i,-0.005343-0.0091239i,1.1311e-05-0.010675i,0.0044473-0.01365i,0.0012714-0.024249i,-0.013508-0.016594i,0.0022346-0.013488i,0.006846-0.010192i,-0.0042109-0.010181i,0.0020862+0.0029009i,7.4083e-05+0.0013597i,0.0027821+0.0016188i,0.0041405+0.0017116i,0.0037234+0.0020185i,0.0030693-0.0010593i,0.0036371+0.00012969i,-0.00078807-0.00042835i,-0.0030538-0.0011866i,-0.0024071-0.00040135i,-0.002566+0.0022247i,-0.0030333+0.00065283i,-0.0011758+0.00037065i,-0.00091519+0.0028271i,-0.0058494-0.0026825i,0.0035554-0.00012203i,0.0025011-0.0011161i,0.0037809+0.00059873i,0.0032695+0.0014095i,0.0034302+0.0022234i,0.0045626-0.00010473i,-0.00019396+3.8443e-06i,0.0016475+0.00017499i,3.8196e-05+0.00069472i,0.00015335+0.00035501i,0.0011129-0.0010886i,0.0094043+0.0044255i,0.0033673+0.0010352i,0.0018009+0.00072207i,0.0039153+0.001148i,-0.0020324-0.00035347i,-0.002252-0.00069527i,-0.0014198-0.00010331i,0.0037341+0.0012016i,0.0028489-0.0015006i,-0.010798-0.013606i,-0.005798-0.00205i,0.0093113-0.0098137i,-0.0037358-0.0044891i,0.0045681-0.039943i,0.0017458-0.01545i,-0.0059446-0.0031919i,-0.022469+0.0084983i,0.0058661+0.0073918i,-0.019216-0.019694i,0.0057272-0.0052213i,0.0028214+0.0017601i,0.0033592+0.00037619i,0.0010569+0.0067306i,-0.0059084+0.0057806i,-0.010764-0.0077101i,0.0017683-0.0084903i,-0.0035044+0.012968i,-0.00084501-0.002686i,-0.0015887+0.00060347i,-0.0036065+0.00077403i,-0.0033275+0.00076169i,0.0018501-0.0023664i,-0.0050492-0.0031944i,0.0011701-0.00022063i,0.00063198-0.0034819i,-0.00050272+0.0026414i,0.0031024+0.0057578i,0.0024207-6.2436e-05i,6.0067e-05+0.00041551i,0.0052601-0.011322i,0.0093734+0.0033845i,0.0013611-0.0010039i,0.00027852+0.00063989i,0.00036838+0.00036861i,0.0080408+0.001862i,0.0036077-0.0039657i,0.0058364+0.00064033i,0.0033851+0.00061019i,0.0043001-0.00045192i,0.0037791+0.0016734i,0.0014126+0.0042439i,0.005081-0.0023578i,-0.005154+0.0055489i,0.001626+0.0054034i,-0.0045048-0.015068i,-0.012464-0.022308i,-0.022426+0.0041317i,-0.017848+0.012794i,0.001441-0.0024216i,0.015754-0.00027669i,-0.012457+0.0011411i
-0.0061479-0.0075022i,-0.005762-0.0077995i,-0.0018054-0.010099i,0.00097057-0.013699i,-0.0035857-0.024665i,-0.015711-0.01363i,0.0012354-0.013916i,0.0053112-0.011463i,-0.005801-0.010165i,0.0030043+0.0024961i,0.00070693+0.0016626i,0.0029647+0.00094095i,0.0046359+0.00040764i,0.004354+0.0010306i,0.0028226-0.0018763i,0.0038727-0.00051963i,-0.00088179+0.00021307i,-0.0032523-0.00019308i,-0.0026305+0.00016292i,-0.0015536+0.0030526i,-0.0028712+0.0015578i,-0.0015224+0.00078828i,6.4827e-05+0.0029578i,-0.0062928+0.00069464i,0.0029641-0.0012439i,0.0019639-0.001939i,0.0037987-0.0010053i,0.00362+3.7776e-05i,0.003677+0.0008214i,0.004176-0.0018289i,-4.5756e-05-1.3713e-05i,0.0012946-0.00037741i,0.00049696+0.00056234i,0.00053228+0.0003019i,0.00077133-0.00089364i,0.0093682+0.0013639i,0.0033431-0.00036826i,0.0021063+9.6264e-05i,0.0039526-0.00047525i,-0.0018178+0.00042108i,-0.0021936+0.00013832i,-0.0014452+0.00028623i,0.0035413-4.229e-05i,0.0024632-0.0019514i,-0.013144-0.012742i,-0.0078086-0.0055437i,0.0068885-0.013055i,-0.003227-0.0053993i,-0.0040079-0.039466i,-0.00078207-0.013788i,-0.0045425-0.0020953i,-0.018575+0.0098831i,0.010717+0.0016988i,-0.018771-0.01457i,0.0046123-0.0061476i,0.0029381-0.0001756i,0.0033178-0.00047874i,0.003334+0.0053559i,-0.0027554+0.0071807i,-0.012369-0.0014623i,-0.0012354-0.0074926i,0.00033061+0.012671i,-0.0023939-0.002663i,-0.0022496+0.0014372i,-0.003313+0.0017594i,-0.0023518+0.0014843i,0.0011945-0.0011024i,-0.0054021-0.0012933i,0.00073397-0.0010904i,-0.0014069-0.0027218i,0.00092396+0.0024267i,0.0043509+0.0031515i,0.0026186-0.0013887i,0.00023317+0.00045443i,0.00089404-0.010773i,0.009575-0.00087763i,0.00078499-0.0016838i,0.0003426+0.00069336i,0.0013648-0.00024931i,0.0076575-0.00012641i,0.00077182-0.0055394i,0.0061789-0.0024832i,0.0033967-0.0011981i,0.0036938-0.0030592i,0.0043443+0.00048725i,0.002792+0.0036546i,0.0032208-0.0027081i,-0.0037553+0.0071789i,0.0022676+0.0037012i,-0.0045486-0.016137i,-0.023473-0.016679i,-0.024955+0.0071724i,-0.013138+0.014346i,0.00090144-0.00016642i,0.012426-0.0036499i,-0.014022+0.0016779i
-0.0067096-0.0073074i,-0.0059998-0.0071457i,-0.0031118-0.0093933i,-0.0017915-0.012899i,-0.0085594-0.024116i,-0.017591-0.010605i,-0.00013971-0.015373i,0.003368-0.012583i,-0.0077163-0.0096782i,0.0037234+0.0017946i,0.0015226+0.0014366i,0.0030039+0.00030902i,0.0045585-0.0010233i,0.0046504-0.00012617i,0.0022693-0.0025452i,0.0040211-0.0013005i,-0.0006582+0.00068694i,-0.003227+0.00072021i,-0.0026277+0.0010636i,-0.00042205+0.0033981i,-0.002375+0.0025464i,-0.0014084+0.0014905i,0.00085719+0.0026893i,-0.004971+0.0037057i,0.0022719-0.0019798i,0.0011013-0.0024384i,0.003122-0.0024724i,0.0033348-0.0013333i,0.0036493-0.00045827i,0.0030464-0.0033421i,0.00013545-0.00018612i,0.0010647-0.0004965i,0.00078018+0.00020064i,0.00084088-0.00011644i,0.00085918-0.00089166i,0.0085564-0.0011936i,0.0028698-0.0014388i,0.0021514-0.00068907i,0.0033577-0.0018557i,-0.0011698+0.0010436i,-0.0020446+0.00083789i,-0.0013813+0.00072595i,0.0028422-0.00084435i,0.0018901-0.0019933i,-0.015443-0.011378i,-0.011551-0.0055318i,0.0041045-0.014541i,-0.0035403-0.0054741i,-0.011921-0.038356i,-0.0012582-0.01194i,-0.0030033-0.002011i,-0.013991+0.010625i,0.013357-0.0047688i,-0.01642-0.011809i,0.0028952-0.0068374i,0.001621-0.002465i,0.0031175-0.0016711i,0.0039924+0.0032821i,-0.00063495+0.0068243i,-0.011526+0.0041668i,-0.0037144-0.005765i,0.0030976+0.010394i,-0.0040091-0.0015145i,-0.0022394+0.0031122i,-0.0028163+0.0026543i,-0.00088666+0.0016104i,0.0021242+0.00067656i,-0.0046002+0.00018133i,0.0002701-0.0009068i,-0.0020443-0.0015725i,0.0019369+0.0016462i,0.0043322+0.001045i,0.0011316-0.0030823i,0.00074993+0.00025935i,-0.0027801-0.0093603i,0.008091-0.0043829i,0.0001425-0.0018169i,0.0011861+0.00045218i,0.0013094-0.0013814i,0.0073209-0.0021622i,-0.0018967-0.0050177i,0.0045008-0.0055391i,0.0021917-0.0022164i,0.0015607-0.004477i,0.0046015-0.0012771i,0.0040548+0.0026281i,0.0024852-0.0025868i,-0.0011975+0.007705i,0.0016818+0.0020944i,-0.0055271-0.018014i,-0.027965-0.0071838i,-0.026712+0.011715i,-0.0093477+0.0147i,0.00021909+0.0014015i,0.009252-0.004483i,-0.014962+0.0036159i
