-0.02919-0.040688i,-0.02226-0.019188i,-0.01288-0.035669i,-0.029821-0.020258i,-0.022163-0.00019016i,-0.013882-0.0058633i,-0.055552-0.059213i,-0.046893-0.017679i,-0.037991-0.014238i,0.010001+0.011492i,-0.0081113+0.0054422i,-0.019597+0.018962i,0.0025589+0.011452i,-0.0060708-0.0031665i,0.00025785+0.0012225i,-0.0016776+0.030706i,0.027693+0.02818i,0.0023768-0.0022155i,-0.0024068-0.0065852i,0.0080163+0.0026386i,0.0025421+0.00081193i,0.00016204+0.0036725i,-0.00030479+0.00030732i,-0.037558-0.011666i,-0.00019259-0.0078722i,0.0011868+0.0022406i,0.006328+0.0014368i,0.0020093+0.00054803i,0.0011515-0.00053326i,-0.00055505-0.0025542i,0.0014604-0.0027116i,-0.0025505-0.0057022i,-0.00032209-0.004894i,0.0029163-0.00091794i,0.0044588-0.0028027i,0.0017998+0.030611i,0.0038391-0.003352i,0.0031331-0.0015833i,0.0082808-0.0014263i,-0.0054297-0.0023608i,-0.00022366+0.0012148i,0.0092526+0.00035156i,0.0038929-0.0026194i,-0.0017862+0.0084563i,-0.017283-0.0073325i,-0.018655+0.014938i,-0.0026273-0.06116i,-0.0050228-0.02685i,-0.026213-0.032627i,-0.010818-0.027008i,0.055551-0.019963i,0.017319-0.042837i,0.022765-0.04867i,0.0058785-0.055286i,0.02592-0.021076i,0.0083247+0.006185i,0.025306-0.034293i,-0.0081202-0.0067722i,0.0040911-0.0047574i,-0.0041608-0.0072982i,-0.0018613-0.033396i,-0.019299+0.03026i,0.0081682-0.011857i,-0.0092384-0.0038928i,-0.0040475-0.0015811i,0.0009332-0.013092i,-0.011163+0.004762i,0.0027116+0.010268i,-0.0053899+0.026838i,0.004402+0.0026227i,-0.0054224-0.0018342i,-0.0021097-0.0023517i,-0.012763-0.0075498i,-0.00025718-0.0043561i,-0.036013+0.0015945i,0.00082141-0.010737i,-0.0084493-0.00015163i,-0.0066769-0.0025054i,0.0055618+0.0012032i,-0.0080267-0.00030887i,0.0018667-0.00036044i,0.0037851+0.0070466i,0.0042689+0.00068274i,-0.0083599-0.012831i,0.0023476+0.009162i,-0.015521+0.0049913i,0.006752+0.00056768i,-0.022426-0.00015433i,-0.017804+0.0047796i,-0.0077155-0.064612i,0.0077462-0.012874i,-0.049348-0.023166i,-0.021657+0.00091189i,0.018029+0.011105i,-0.023234+0.014292i,-0.019028-0.0052496i
0.031578+0.033382i,0.013139+0.016107i,0.017041+0.02497i,0.0063715+0.01942i,0.0083616+0.0071396i,0.0046193-0.00094542i,0.015408+0.012282i,0.015763-0.0020463i,0.0073518-0.0079231i,-0.00033396+0.0038395i,0.0023457-0.0025891i,0.00044807-0.0051772i,-0.0017546+0.00073825i,0.0012553-0.0014302i,0.001943-0.00060492i,0.0054023-0.0025845i,0.0055839-0.0073851i,0.00038645+0.00068532i,-0.0034633+0.00045487i,-8.6272e-05+0.00068287i,-0.00075796-0.0012048i,-0.0025776-0.0010491i,-0.0016286+0.00081752i,0.0061288+0.0098267i,-0.00075971+0.0020558i,0.0010127+0.0016157i,0.0010932+0.0011062i,-0.001773+0.0027084i,-0.0011495+0.00015124i,-0.0010092+0.00047021i,-0.0007458-0.00092043i,-0.0016192-0.00090938i,-4.4921e-05+0.00041413i,0.00054654+0.00065006i,0.00011728-0.00083225i,-0.0089362+0.01065i,0.0016662+7.5304e-05i,0.00081969+0.00068844i,0.00096861+0.0025139i,0.00098576-0.001269i,-0.00023124-0.00016547i,-0.0011673+0.00011829i,-0.00049782+0.0014891i,0.00081863+0.00062065i,0.020522+0.014126i,-0.023834+0.013421i,-0.012264+0.016795i,-0.02264+0.011321i,-0.0041015+0.038065i,-0.020246+0.017708i,0.002233-0.0047671i,-0.012213-0.017045i,-0.018878-0.00013371i,-0.0069222+0.014814i,0.017715+0.021462i,-0.00028955+0.0022831i,-0.0039525+0.0010146i,-0.012601-0.0044839i,0.011595+0.0012842i,0.012564+0.0098516i,-0.00048476+0.0053627i,-0.0053351-0.0073317i,0.006702-0.0027229i,-0.0031487-0.0043811i,0.0037427-0.0084384i,0.0089448-0.0028738i,-0.0013487+0.010601i,0.012342-0.0064346i,0.0039316-0.0070107i,0.0036124-0.0079676i,0.0023127+0.00048069i,-0.0023169-0.005842i,-0.0035401-0.0013717i,0.0025431-0.00017184i,-0.0086017+0.036722i,-0.0067268-0.0057836i,0.00043206+0.00092586i,-0.0012669-0.0071514i,0.0033039-0.00044804i,-0.017786-0.0063829i,-0.0015729-0.0028133i,0.0029766-0.0020869i,0.0033649-0.0013952i,-0.0028911-0.0073987i,-0.0003676+0.0075777i,0.00012249+0.0033491i,-0.0033611+0.0044079i,-0.0073325+0.0012568i,-0.0063264+3.624e-05i,-0.0098003+0.025217i,-0.0017097+0.01487i,-0.026533-0.010204i,-0.0014692-0.0026823i,0.014033+0.017014i,-0.00071959+0.018619i,-0.00076024-0.0046302i
0.036195+0.026184i,0.016203+0.012464i,0.021264+0.021978i,0.0096879+0.018943i,0.010386+0.0059167i,0.0047425-0.0023571i,0.015456+0.0085901i,0.015216-0.0046195i,0.0053845-0.0093242i,0.0008566+0.0036143i,0.0021327-0.0028422i,-0.0014084-0.0034799i,-0.0012413+0.0014032i,0.00099429-0.00039893i,0.0017627-0.00093481i,0.0042243-0.0029679i,0.0029472-0.0078069i,0.00093145+0.00062566i,-0.003165+0.00080541i,0.00026731+0.00015047i,-0.00092841-0.001376i,-0.0026567-0.00047048i,-0.0012912+0.00097574i,0.011312+0.0065053i,-0.00035514+0.0029538i,0.0017974+0.00097377i,0.0011282+0.00016081i,-0.00059185+0.0029628i,-0.0016011+0.0006716i,-0.00085209+0.00098471i,-0.0011479-0.00042541i,-0.0020841-0.00076379i,-0.00014615+0.00024577i,0.00067303+0.00037827i,-0.00053459-5.8871e-05i,-0.0048739+0.012247i,0.001268-0.00055567i,0.0010371+0.0005066i,0.0016263+0.0017607i,0.00049492-0.0012552i,-0.00025238-0.00035772i,-0.0012105+0.00048597i,-0.00037076+0.0017796i,0.00031177+0.00077639i,0.023777+0.010597i,-0.018953+0.016632i,-0.011207+0.019686i,-0.017834+0.012974i,0.0076346+0.034157i,-0.012704+0.017838i,-0.0044967-0.0082394i,-0.019645-0.017951i,-0.021608-6.5361e-05i,-0.00049571+0.0099482i,0.021651+0.014199i,-0.0008162+0.0021516i,-0.0027303+0.0046661i,-0.012633+0.00012744i,0.010093-0.0029976i,0.014176+0.0064425i,0.0023457+0.0079819i,-0.0093815-0.0056485i,0.0024997-0.0045837i,-0.0034088-0.0022819i,-0.0013938-0.0077706i,0.0070556-0.0055301i,0.0034055+0.0084871i,0.0073072-0.0090459i,-0.00046728-0.0069124i,-0.00042125-0.0055244i,0.0035676-0.00026616i,-0.0037641-0.004963i,-0.0020101+0.0010001i,0.0032734-0.00060585i,0.010311+0.034597i,-0.0083963-0.0038043i,0.0010977+7.2427e-05i,-0.0042535-0.0056882i,0.0040542-0.0018326i,-0.018067+0.0020829i,-0.0018181-0.0018886i,0.0018129-0.0021442i,0.0034537-0.0029899i,-0.0047483-0.0054555i,0.0018755+0.003911i,0.0014255+0.0025225i,-0.00067274+0.0058571i,-0.0056222+0.004064i,-0.0067379+0.001062i,-0.0040283+0.022354i,0.00090214+0.016154i,-0.0285-0.0042108i,-0.0030884-0.0065819i,0.01633+0.014391i,0.0029805+0.019758i,-0.0032534-0.0048064i
0.038864+0.018441i,0.017488+0.0076571i,0.025911+0.016715i,0.014435+0.016211i,0.012664+0.0039857i,0.0044027-0.004044i,0.014832+0.0049674i,0.014307-0.0075904i,0.0034751-0.0096046i,0.0013969+0.0031857i,0.0014284-0.0037676i,-0.0015727-0.0015316i,-0.00064555+0.0014564i,0.0017638-0.00038454i,0.0015072-0.0012329i,0.0032083-0.0033832i,0.00062791-0.0076607i,0.0010183+9.876e-05i,-0.0029382+0.001714i,4.6347e-05-0.00057419i,-0.0018882-0.0016937i,-0.0023794+0.00011085i,-0.0010497+0.0011032i,0.01267+0.00030258i,0.00089589+0.0032173i,0.0018346-6.0937e-05i,0.00059791-0.0002944i,0.00059188+0.0026409i,-0.0012688+0.001551i,-0.0004749+0.0013511i,-0.0012738+0.00026641i,-0.0029674+0.00061931i,-0.00010762+0.00028075i,0.0006811+7.0415e-05i,-0.00039598+0.00073185i,-0.00097049+0.012422i,0.00078713-0.00061593i,0.0011502-3.3407e-05i,0.0016476+0.0010371i,-9.6877e-06-0.001288i,-0.00049382-0.0005869i,-0.0010195+0.00074764i,-4.1708e-05+0.0022993i,0.00050866+0.0011482i,0.027303+0.0059286i,-0.014221+0.018726i,-0.0079352+0.023048i,-0.01231+0.012527i,0.018034+0.026781i,-0.0062805+0.017971i,-0.011963-0.0073746i,-0.02626-0.015323i,-0.023625+0.0034071i,0.0024761+0.0033595i,0.022044+0.0062907i,-0.001337+0.0021156i,-0.0012299+0.0048176i,-0.012442+0.0032648i,0.0061685-0.0074499i,0.01482+0.001998i,0.0059496+0.0080538i,-0.012221-0.0025548i,0.00054828-0.0031625i,-0.0033344-0.00052375i,-0.0039181-0.0050564i,0.0048569-0.0068192i,0.0060806+0.0073925i,0.0042554-0.0086223i,-0.0038908-0.0043598i,-0.0007492-0.0026527i,0.0039993-0.0023809i,-0.0061475-0.0031169i,-0.00023627+0.00099908i,0.002664-0.0019594i,0.023767+0.023714i,-0.0099711-0.00035071i,0.0014966-0.00060548i,-0.0041074-0.0037895i,0.0042637-0.0038204i,-0.013615+0.0091622i,-0.0014421-0.0010975i,0.00084522-0.0023321i,0.0019525-0.0037846i,-0.0060363-0.0030045i,0.0011517+0.0029179i,0.002076+0.001453i,0.0021121+0.0056776i,-0.0035055+0.004788i,-0.0068667+0.0028304i,-0.001487+0.018786i,0.0080462+0.015397i,-0.028197+0.00031054i,-0.0060049-0.0091362i,0.018796+0.0095252i,0.0079909+0.020445i,-0.0053589-0.0039223i
0.039484+0.011257i,0.016796+0.0039929i,0.027797+0.0098811i,0.017455+0.011119i,0.014162+0.00080307i,0.0031778-0.0054896i,0.013489+0.0025026i,0.012379-0.010349i,0.0021934-0.0099104i,0.0018134+0.0030653i,0.00010781-0.0036293i,-0.00076385-0.00064711i,-0.00053301+0.0015362i,0.0017296-0.00050745i,0.0010511-0.0014531i,0.0019659-0.0031892i,-0.0012466-0.0063777i,0.0010465-0.00013593i,-0.0016508+0.002427i,-0.00056001-0.00076841i,-0.0025256-0.0006965i,-0.0022935+0.00061721i,-0.00080785+0.001232i,0.010623-0.0047439i,0.0019447+0.0029027i,0.0013414-0.00062079i,0.0002262-0.00014199i,0.001131+0.0020322i,-0.00048877+0.0017554i,3.0216e-05+0.0014861i,-0.001029+0.00096579i,-0.0022377+0.0021623i,-8.1809e-05+0.00026678i,0.0004938-0.00010214i,-1.3073e-06+0.0010415i,0.0026852+0.011541i,0.00061872-0.00067738i,0.00085296-0.00055915i,0.0014917+0.00075176i,-0.0006419-0.0010627i,-0.00092718-0.00048845i,-0.00092946+0.00089701i,0.00065284+0.0027275i,0.00084513+0.0012137i,0.029427-0.000991i,-0.0088858+0.020066i,-0.002951+0.025375i,-0.010058+0.0097756i,0.025879+0.015013i,0.00018754+0.014218i,-0.018589-0.0023236i,-0.032742-0.0095698i,-0.02386+0.0084203i,0.00094339-0.0031041i,0.02015-0.00081025i,-0.0016137+0.0029824i,-5.1267e-06+0.0064751i,-0.011506+0.0072004i,-8.7661e-05-0.0076456i,0.014155-0.0030442i,0.0094794+0.0061179i,-0.013361+0.0019474i,-0.00053945-0.0024258i,-0.0026233+0.00083998i,-0.0049629-0.0016537i,0.0027363-0.0075774i,0.0086089+0.0038617i,0.0021412-0.0084916i,-0.0048635-0.00013776i,0.00032241-0.0015535i,0.0026287-0.0044782i,-0.0064908+0.00031951i,0.00098709+0.00060699i,0.0016818-0.0028029i,0.029657+0.0090049i,-0.0090283+0.0043176i,0.0015694-0.0015935i,-0.0042333-0.002129i,0.0024078-0.0062174i,-0.0072744+0.011429i,-0.00085621-0.00080614i,0.00015933-0.0017006i,0.00061387-0.0038162i,-0.0055944-5.9351e-06i,0.0011059+0.0027872i,0.0018458+0.00036527i,0.0046468+0.0045431i,-0.00154+0.0040728i,-0.0066978+0.0045036i,-9.2596e-05+0.01757i,0.016137+0.008352i,-0.026214+0.0049378i,-0.011309-0.01009i,0.017644+0.0046352i,0.013503+0.018471i,-0.0055837-0.0028439i
0.039622+0.0048048i,0.016576+0.0016445i,0.02788+0.0040791i,0.018708+0.0058711i,0.01444-0.0026296i,0.0018316-0.0063309i,0.012354+0.0013581i,0.0099706-0.012376i,0.001041-0.010454i,0.0024439+0.002707i,-0.00090472-0.0029837i,-8.6653e-05-0.00067922i,-0.0003452+0.0019298i,0.0017263-0.00090407i,0.00064069-0.0013782i,0.0014308-0.0024052i,-0.0020367-0.0051684i,0.00085099-0.00036625i,-0.00057591+0.0021491i,-0.0010751-0.00056626i,-0.0026113+3.2782e-06i,-0.0017816+0.0012103i,-0.00048395+0.0014007i,0.0069991-0.0077583i,0.0028185+0.0022644i,0.00093055-0.00093405i,3.7151e-07-3.7519e-05i,0.0014351+0.0014552i,-1.5736e-05+0.0017415i,0.00067573+0.0013662i,-0.00039348+0.00137i,-0.0012225+0.0029206i,-0.00020419+0.000203i,0.00036092+8.709e-05i,0.00056027+0.0012846i,0.0054151+0.0098152i,0.00025033-0.00075692i,0.00034687-0.00076858i,0.0016858+0.00061493i,-0.00084238-0.00057116i,-0.0011501-0.00031108i,-0.00082856+0.0011557i,0.0015557+0.0026399i,0.00087407+0.00077885i,0.028662-0.0084038i,-0.0030453+0.019835i,0.0035479+0.025904i,-0.0094733+0.0092435i,0.02685+0.0019399i,0.0025991+0.008784i,-0.020948+0.0060229i,-0.03567+4.292e-05i,-0.02229+0.014977i,-0.0037472-0.0067181i,0.015304-0.0055985i,-0.00093915+0.0039146i,0.003514+0.0064111i,-0.0089008+0.010636i,-0.0034927-0.0043529i,0.01095-0.0086597i,0.012256+0.0023773i,-0.013185+0.0063102i,-0.00087894-0.00056506i,-0.001658+0.0016031i,-0.0032311+0.00050812i,-0.00047918-0.0071556i,0.008671+0.00041586i,-0.0001577-0.0078948i,-0.0030991+0.0029466i,0.0012092-0.0019998i,0.00056116-0.0053907i,-0.0047889+0.0027892i,0.0019621-0.00033966i,0.00096212-0.0027621i,0.028136-0.0044509i,-0.0051135+0.0072859i,0.00087229-0.0025759i,-0.0033421-0.0017458i,-0.00025786-0.0069723i,-0.0027393+0.010934i,-0.00079224-0.00073634i,7.1928e-05-0.0004995i,0.00025664-0.0032213i,-0.0034917+0.0016796i,0.0019957+0.0024749i,0.00095061-0.00018522i,0.0057054+0.0018292i,-0.0014059+0.0024553i,-0.0055077+0.0065864i,0.0023533+0.017226i,0.017549-0.0041531i,-0.022284+0.0062134i,-0.016473-0.0080712i,0.016576+0.00087153i,0.017531+0.012974i,-0.0063262-0.002901i
0.039101-0.0017148i,0.016704-0.0011005i,0.027759-0.0015046i,0.018984+0.00049985i,0.014255-0.0058484i,0.00033218-0.0068966i,0.012491+0.00057145i,0.0074208-0.013855i,-0.00038827-0.011179i,0.0026388+0.0021126i,-0.0011294-0.0021811i,0.00019902-0.00086926i,0.00033524+0.0024012i,0.001556-0.0010706i,0.00046559-0.0013358i,0.0016976-0.0017794i,-0.0025406-0.0048877i,0.00085982-0.00064884i,1.7684e-05+0.0016502i,-0.0013926-0.00013836i,-0.0022041+0.00064627i,-0.00097236+0.0013001i,-0.00010656+0.0014429i,0.0026391-0.0090025i,0.0036441+0.001275i,0.00048406-0.0011358i,-0.00010154-1.4911e-05i,0.0015353+0.00097779i,0.0004924+0.0016876i,0.0010732+0.00085435i,0.00029343+0.0013696i,6.2735e-05+0.0032404i,-0.0003223+0.00047266i,0.0005439+8.0911e-05i,0.00095567+0.00085054i,0.0070586+0.0076912i,-5.9318e-05-0.00067029i,-2.3809e-05-0.00060462i,0.0016559+0.00015053i,-0.00062659-0.0001626i,-0.0014635+5.8116e-05i,-0.0005838+0.0012318i,0.0023319+0.0023572i,0.00081542+0.00070057i,0.026071-0.015114i,0.0021135+0.017668i,0.0098367+0.02366i,-0.0084142+0.0098626i,0.02361-0.0088937i,0.0021694+0.0051944i,-0.018409+0.014633i,-0.033316+0.010602i,-0.016751+0.022015i,-0.0089732-0.0060314i,0.010641-0.0071002i,0.00020523+0.004284i,0.0058654+0.0041439i,-0.0053272+0.013419i,-0.0045216-0.0015658i,0.0048415-0.012991i,0.012275-0.0028295i,-0.011292+0.009922i,0.0003+0.00051694i,-0.00053862+0.0016523i,-0.0016083+0.00089698i,-0.002191-0.0052213i,0.0072871-0.0019009i,-0.0016252-0.0066307i,-0.00034711+0.0037739i,0.0013528-0.0034056i,-0.0015124-0.0049034i,-0.0029807+0.0035888i,0.0018333-0.0020659i,0.00078325-0.0028583i,0.021688-0.014715i,-0.0011214+0.0076293i,-0.00018696-0.0025396i,-0.0036784-0.0011393i,-0.0031677-0.0062879i,0.00064817+0.01009i,-0.00023544-0.00058224i,0.0013223-0.00038903i,-0.00010653-0.0038104i,-0.0014748+0.001725i,0.0022209+0.0019573i,0.00020379+0.00026488i,0.0051476+0.00013324i,-0.002256+0.0016425i,-0.0031874+0.0077514i,0.0051935+0.016154i,0.011197-0.01382i,-0.020564+0.0035246i,-0.020926-0.0033106i,0.013506-0.0039174i,0.018304+0.0074709i,-0.0070342-0.0020009i
0.037384-0.0080081i,0.016015-0.004208i,0.025687-0.0081488i,0.01703-0.0055611i,0.013418-0.009487i,-0.0013853-0.006952i,0.013398-0.00084546i,0.0046568-0.015183i,-0.0022475-0.011432i,0.0026395+0.0021701i,-0.0015321-0.0018099i,-8.5829e-06-0.0016625i,0.0011542+0.0023885i,0.0012646-0.0013729i,0.00027612-0.0012779i,0.0021881-0.0018374i,-0.0036111-0.0044413i,0.00035341-0.001079i,0.0004115+0.0011344i,-0.0016412+0.00039882i,-0.0021254+0.0009021i,-0.00036067+0.00089001i,0.00022874+0.0013596i,-0.0016678-0.0081827i,0.0038955-0.00052292i,-8.3953e-05-0.0010671i,-0.00057272+0.00014303i,0.0015457+0.00058435i,0.0011236+0.0013733i,0.0011287+0.00027878i,0.00096636+0.0010964i,0.0011532+0.0032044i,-0.00030698+0.00082199i,0.00062376+2.2718e-05i,0.00098078+0.00024513i,0.0081319+0.0057575i,-0.0002958-0.00052838i,-0.00036241-0.00039586i,0.0017581-9.1156e-05i,-0.00026614-5.4619e-05i,-0.0015688+0.00071575i,-0.00037463+0.0015339i,0.0031686+0.0016648i,0.00062555+0.00073246i,0.021865-0.020853i,0.0061169+0.014245i,0.014481+0.01968i,-0.0058318+0.011047i,0.017452-0.016898i,0.00090747+0.0035943i,-0.012425+0.02003i,-0.026126+0.017978i,-0.0074815+0.025636i,-0.012073-0.0020298i,0.0070117-0.0071374i,0.001359+0.0039935i,0.0059584+0.00094147i,-0.00062053+0.014128i,-0.0050929+0.00083139i,-0.0039554-0.012733i,0.0097447-0.0070367i,-0.0082742+0.012641i,0.0018719-0.00041007i,0.00017954+0.0012488i,-0.0010069+0.00031704i,-0.0024115-0.0035979i,0.0058538-0.0028016i,-0.0027203-0.0058708i,0.0015248+0.0031762i,0.00010958-0.0053049i,-0.0030655-0.0037259i,-0.0010141+0.0040745i,0.00046061-0.0032545i,0.0001881-0.0034263i,0.012578-0.020029i,0.0019524+0.0063371i,-0.0006804-0.0022909i,-0.0031076-0.00085091i,-0.0050512-0.0048588i,0.0030575+0.0085114i,0.00034716-0.0015483i,0.0019443-0.0012449i,-0.0013401-0.0036711i,-0.0004884+0.00097439i,0.0032781+0.0017682i,0.00023422+0.0013187i,0.0047508-0.0011296i,-0.0032676+0.001886i,-0.001077+0.0076802i,0.0080514+0.015221i,0.0025395-0.019478i,-0.023748+0.0018479i,-0.022159+0.0034243i,0.007302-0.0060526i,0.018093+0.0026236i,-0.0067201-0.0017407i
0.034956-0.013587i,0.01534-0.0064769i,0.021485-0.012795i,0.012463-0.0097332i,0.011307-0.012971i,-0.0028117-0.0064801i,0.014445-0.0030205i,0.0014837-0.015765i,-0.0038923-0.011605i,0.0034973+0.0023715i,-0.0018283-0.00084608i,-0.00096903-0.0018286i,0.0019404+0.0020983i,0.00088415-0.001444i,0.00013912-0.0012145i,0.0024389-0.0020397i,-0.0049371-0.0030883i,-0.000109-0.00098302i,0.0005617+0.00061388i,-0.0014858+0.0011843i,-0.0017812+0.001584i,-0.00051289+0.00032296i,0.00052138+0.0012386i,-0.0047387-0.0053378i,0.0029134-0.0019357i,-0.00046986-0.00077819i,-0.00053193+0.00057794i,0.0014637+0.00033556i,0.0013271+0.0006631i,0.0010147-9.711e-05i,0.0014294+0.00053477i,0.0022862+0.0025439i,7.1584e-05+0.0012036i,0.00064011-8.2666e-05i,0.00059199+0.00043996i,0.0087709+0.0035625i,-0.00041467-0.00035124i,-0.00050103-2.3052e-05i,0.0018923-0.00055246i,9.951e-05-5.4098e-05i,-0.0012443+0.00147i,0.0002436+0.0016225i,0.0035039+0.00052308i,0.00051491+0.00091022i,0.016224-0.025188i,0.0087365+0.010061i,0.017374+0.015311i,-0.0023233+0.010793i,0.010319-0.021085i,-0.00027591+0.0035698i,-0.0056485+0.02231i,-0.018267+0.020844i,0.0023427+0.02505i,-0.01208+0.0030361i,0.0052505-0.006688i,0.0026042+0.0033337i,0.0047972-0.0010959i,0.0044339+0.012949i,-0.0043362+0.00401i,-0.010555-0.007168i,0.0060836-0.0091587i,-0.0046805+0.014375i,0.00137-0.002277i,0.00059099+0.00078663i,-0.00111+0.00022116i,-0.0020892-0.0025373i,0.0048411-0.0037249i,-0.0040564-0.0049234i,0.002717+0.0017146i,-0.0032599-0.0059744i,-0.0037334-0.0020755i,0.0012855+0.0029947i,-0.00026065-0.0036015i,-0.00088273-0.0039108i,0.0035762-0.02061i,0.0037442+0.0043934i,-0.0011644-0.0022984i,-0.0038312-0.00051995i,-0.0063075-0.0026279i,0.0044617+0.0070308i,-0.00044779-0.002769i,0.0022242-0.0022722i,-0.0020025-0.0027746i,1.9974e-05+0.00029313i,0.0038735+0.0008205i,0.0010364+0.0017935i,0.0033485-0.0022443i,-0.0040111+0.0029035i,0.00048714+0.0068497i,0.012379+0.013965i,-0.0082073-0.021097i,-0.027514+0.0037694i,-0.019563+0.009728i,0.0029314-0.0037493i,0.01575-0.0023397i,-0.0067836-0.002753i
0.032029-0.018993i,0.014787-0.0094286i,0.017687-0.015433i,0.0080663-0.010847i,0.0084-0.015752i,-0.0037856-0.0057727i,0.015449-0.0063465i,-0.0015922-0.015667i,-0.005889-0.011513i,0.0046432+0.0016518i,-0.0013121-0.00011775i,-0.0017186-0.00099869i,0.0025726+0.0013404i,0.00051652-0.0014833i,5.6702e-05-0.0011661i,0.0027451-0.0023615i,-0.0055554-0.0013513i,-0.00022331-0.0010643i,0.00042357+0.00016774i,-0.00098001+0.0015808i,-0.0012612+0.0017829i,-0.00072231+0.00030162i,0.00082807+0.0010486i,-0.0059725-0.0015852i,0.0018094-0.0025333i,-0.0006509-0.00043128i,-0.00020006+0.00067394i,0.001523+1.3394e-05i,0.0010605+0.000475i,0.00086501-0.00038135i,0.0016697-9.3785e-05i,0.0028127+0.0016449i,0.0006959+0.0011792i,0.00075278-0.00018972i,0.00092521+0.00099729i,0.0085329+0.0014461i,-0.00063062-7.5051e-05i,-0.00036756+0.00027556i,0.0016361-0.0012711i,0.00059169-0.00025009i,-0.00052693+0.0018314i,0.0007474+0.0013915i,0.0032928-0.00058623i,0.00059527+0.0012534i,0.0099175-0.027564i,0.0091324+0.0055751i,0.018974+0.011099i,0.00035919+0.0090668i,0.0037369-0.022676i,-0.00021188+0.0056002i,0.0012201+0.022483i,-0.011312+0.021758i,0.010446+0.021003i,-0.0085426+0.0071017i,0.003919-0.0070934i,0.0036692+0.0018124i,0.0039623-0.0024315i,0.0086443+0.0092804i,-0.0016514+0.0052756i,-0.012448-0.00039261i,0.0022072-0.0098276i,-0.00072601+0.014269i,-0.00019769-0.0031843i,0.0002007+0.00037831i,-0.0010961+0.00065774i,-0.0018755-0.0021641i,0.0035976-0.0034701i,-0.004948-0.003153i,0.0030495+0.00038282i,-0.0062646-0.0035255i,-0.0032732-0.00053294i,0.0019563+0.0008049i,-0.0010491-0.0039056i,-0.0022471-0.0033478i,-0.0037366-0.018254i,0.0048999+0.0019855i,-0.0020261-0.0021164i,-0.0039268+0.0010784i,-0.006075+3.019e-05i,0.0057143+0.005706i,-0.0023374-0.003312i,0.0017867-0.0037071i,-0.0023601-0.0023718i,9.8355e-05-0.0010211i,0.004438+7.1795e-05i,0.0019022+0.0016752i,0.0019453-0.001749i,-0.0044103+0.0042198i,0.0015558+0.0058098i,0.016904+0.01045i,-0.01812-0.017371i,-0.030208+0.0076036i,-0.014492+0.012595i,0.0017572-0.0017366i,0.011519-0.0050242i,-0.0090639-0.0031645i
0.027834-0.023915i,0.013334-0.012878i,0.014377-0.017583i,0.0049397-0.010828i,0.0048383-0.017742i,-0.0046098-0.0051004i,0.01534-0.011418i,-0.0045142-0.014978i,-0.0081614-0.010932i,0.0053224+0.00037116i,-0.0006583-1.5171e-05i,-0.0018964+0.00014394i,0.002705+0.00041893i,0.00026904-0.0012068i,-8.8977e-05-0.0012419i,0.0027739-0.003084i,-0.0056477+0.00051879i,-0.000518-0.001281i,0.00029335+1.0462e-05i,-0.00045059+0.00176i,-0.00080799+0.0021306i,-0.00088857+0.00045315i,0.001013+0.00072028i,-0.0049025+0.0018776i,0.00095403-0.0026469i,-0.00070082-1.4698e-05i,5.7352e-05+0.00060552i,0.0012743-0.00047941i,0.001148+0.00036944i,0.00056763-0.00065391i,0.0016998-0.00077438i,0.0033211+0.00082974i,0.001221+0.00089919i,0.0007524-0.00065177i,0.0018672+0.00088351i,0.0081074-0.0002222i,-0.00045168+0.00031763i,-0.00013713+0.00051412i,0.00086714-0.0016045i,0.00094456-0.00068494i,0.00013166+0.0020178i,0.0010386+0.0011098i,0.0026622-0.0012854i,0.00077665+0.0018856i,0.003983-0.028325i,0.007782+0.0027617i,0.019704+0.0073478i,0.0019631+0.0080911i,-0.002466-0.023822i,0.0027503+0.0078719i,0.007522+0.020198i,-0.0040276+0.020601i,0.016417+0.01437i,-0.0031084+0.0089113i,0.002373-0.0073368i,0.0036433-0.00080505i,0.0029396-0.0040386i,0.0096584+0.0040975i,-3.2924e-05+0.0046653i,-0.011557+0.0063852i,-0.0017237-0.0087997i,0.0027059+0.012092i,-0.0022071-0.0027303i,-0.00033699+0.0008982i,-0.00077881+0.001127i,-0.001464-0.0021743i,0.0036689-0.002205i,-0.0045187-0.0016197i,0.0031536-9.4187e-05i,-0.0068254-0.0002969i,-0.0023553+0.0002085i,0.0015026-0.0004302i,-0.0029746-0.0042159i,-0.0032358-0.002188i,-0.0094366-0.014718i,0.0046616-0.00072202i,-0.0027834-0.0013094i,-0.0027427+0.0022036i,-0.0047722+0.0018925i,0.0072149+0.0043571i,-0.0040717-0.0020815i,0.00041463-0.004992i,-0.0032691-0.0016457i,-0.0011508-0.0017823i,0.0049759-0.0016137i,0.0027058+0.001372i,0.0019045-0.0012552i,-0.0030205+0.006213i,0.0020364+0.004482i,0.020075+0.0046479i,-0.023261-0.0091498i,-0.032026+0.013372i,-0.010012+0.013339i,0.00072459+0.0001476i,0.0080371-0.0049343i,-0.010817-0.0020931i
