-0.023716-0.037936i,-0.0127-0.049032i,-0.017883-0.04398i,-0.030801-0.034884i,-0.03-0.015834i,-0.049949-0.027308i,-0.057397-0.025369i,-0.044355-0.035864i,-0.029611-0.036585i,0.0074572+0.012822i,-0.0049976+0.015426i,-0.0046778+0.014239i,0.0098405+0.021547i,0.00058032+0.004176i,0.0032658+0.0034287i,0.0066444+0.018427i,0.026519+0.038206i,-0.0021976-0.00069196i,-0.0042597-0.0060142i,0.008307+0.001459i,-0.00014022-0.00071348i,-0.00095376+0.0013963i,0.00013604-0.00026564i,-0.031189-0.0034726i,-0.0015115-0.0057238i,0.0014784+0.0042424i,0.0035568-0.00054634i,-0.00058058+0.00055213i,0.00051371-0.00059504i,-0.00063272-0.0027091i,-0.0017961-0.0062314i,-0.0046411-0.0042283i,-0.0018336-0.0046756i,0.0020659-0.00057956i,0.0022112-0.0029095i,0.0022603+0.025249i,0.0019206-0.0024583i,0.0027356+0.00065956i,0.0060959+0.0010094i,-0.010146-0.0042711i,-0.0030994+0.00071186i,0.0065339+0.0013645i,0.0049724-0.00059607i,-0.0034424+0.0051339i,0.00058437-0.0077315i,-0.012826+0.018166i,0.036398-0.089808i,0.01225-0.069638i,-0.016076-0.059578i,-0.016006-0.055253i,0.040298-0.044468i,0.017704-0.061767i,0.034225-0.054613i,0.029154-0.059359i,0.016265-0.014032i,0.0045235+0.016256i,0.016906-0.026631i,-0.011422+0.0052878i,-0.00018113+0.0055593i,-0.0045047-0.0016685i,-0.0023903-0.02949i,-0.024377+0.032494i,0.0097007-0.011081i,-0.013519-0.0025018i,4.3103e-05-0.0050194i,-0.00077369-0.01614i,-0.0074957+0.0045036i,0.0045973+0.0066643i,-0.0089851+0.030631i,0.0045222+0.0061339i,-0.0051157-0.0011397i,-0.0032669-0.00067053i,-0.012135-0.0077395i,-0.00071177-0.0042881i,-0.030245+0.0064335i,-0.00031799-0.0096402i,-0.0093975-0.0021602i,-0.0067691-0.0029619i,0.0072294+0.0027833i,-0.0081394+0.0012944i,6.0044e-06+0.00025675i,0.0058222+0.010804i,0.0042643+0.0014963i,-0.0093736-0.0096513i,0.0033901+0.0078961i,-0.021643+0.0059959i,0.0084209+0.00051761i,-0.028317-0.0038787i,-0.041669+0.0020323i,0.01928-0.095547i,-0.00081295-0.012421i,-0.052437-0.022404i,-0.02383-0.0016342i,0.017737+0.010977i,-0.024747+0.013527i,-0.017771-0.012547i
0.0083868+0.020013i,0.014837+0.050465i,0.023992+0.034556i,0.01718+0.02674i,0.024171+0.026468i,0.031845-0.014236i,0.01715-0.0087741i,0.02832+0.0055144i,0.01133+0.012554i,0.0023273+0.0044351i,0.0046754+0.0028578i,0.0043407+0.0030541i,0.005821+0.0026458i,0.0048833+0.0034689i,0.0029307-0.0033295i,0.0079127-0.00085798i,0.0083112-0.004986i,-0.0013714-0.0015031i,-0.0030887+0.0011618i,-3.2084e-06+0.0012732i,-0.000984-0.00024135i,-0.0027768+0.0012424i,-0.0019774+0.00086101i,0.0046471+0.0080711i,0.0016253+0.0011326i,0.0024591+0.00056251i,0.0018+0.0011649i,0.0010931+0.0014191i,0.00062129+0.00018755i,-0.00017701+0.00072522i,-0.0017536-0.002313i,-0.00081433-0.00034864i,-0.00098558+0.00094847i,-0.0010283+0.00021701i,-0.00074119-0.0019879i,-0.0068852+0.0076101i,0.0012284+0.00024307i,0.0012591-0.00057267i,-0.0004973+0.0026445i,-0.00045462-0.0033918i,-0.0013956+0.00036285i,-0.0019526-0.00031546i,0.0017417+0.0013545i,0.0066762+0.003648i,-0.013818+0.03404i,-0.082121+0.032457i,-0.051426+0.036511i,-0.037229+0.058835i,-0.018481+0.072177i,-0.0090644+0.051156i,0.0092577+0.036617i,0.001888-0.0023635i,-0.036789+0.011645i,-0.04291+0.019058i,0.0021871+0.024392i,-0.0078884+0.0024906i,-0.0102-0.0006554i,-0.0137-0.002657i,0.0023631+0.00065216i,0.0068174+0.011689i,-0.0018214+0.0082759i,-0.00701-0.011072i,0.0046577-0.0066399i,-0.0067138-0.0070192i,0.0017687-0.0063005i,0.0039371-0.0042585i,-0.0013151+0.0099555i,0.010097-0.0048534i,0.0047148-0.0057593i,0.0033769-0.006056i,0.0029346-0.00044722i,-0.0012258-0.0046182i,-0.0039774-0.0010879i,0.0025577-0.00014631i,-0.0090594+0.026199i,-0.0040677-0.0034945i,0.0022711+0.00017019i,0.00036959-0.0068706i,0.0023947-0.0016072i,-0.015823-0.0034616i,0.00032846-1.8408e-05i,0.0048109-0.0029794i,0.0024959-0.0011244i,0.00017378-0.0049932i,-0.00061475+0.0058384i,-0.0010019+0.0057548i,-0.0030001+0.0046874i,-0.011734+0.002034i,-0.014799-0.0011147i,-0.03999+0.053323i,0.00011947+0.006172i,-0.024812-0.015984i,-0.0071902-0.005685i,0.010218+0.019929i,-0.0023429+0.022538i,-0.00046316-0.0003015i
0.010776+0.016552i,0.022796+0.045609i,0.02958+0.030231i,0.0217+0.024424i,0.029861+0.022494i,0.028633-0.019865i,0.01449-0.01202i,0.028995+0.00039255i,0.013113+0.010321i,0.0036651+0.0033061i,0.0054059+0.0016195i,0.0040483+0.0027955i,0.0059327+0.0015883i,0.0055333+0.0021958i,0.0018652-0.0037807i,0.0067799-0.0023467i,0.0058748-0.0063001i,-0.0012143-0.0011819i,-0.0024799+0.0011853i,0.00058419+0.00056838i,-0.0012619-0.00026963i,-0.0023616+0.0018018i,-0.0016661+0.00098794i,0.0083655+0.0053002i,0.0016018+0.0011014i,0.0027572-0.00051009i,0.0019418+0.00017934i,0.0016223+0.00077293i,0.00024618+6.5656e-05i,-0.00011826+0.00074971i,-0.0024959-0.0012172i,-0.0011512-0.00045699i,-0.00073161+0.0012091i,-0.00080751+0.00053954i,-0.0014515-0.00061949i,-0.0039722+0.0089226i,0.00090443-0.00015723i,0.00092468-0.00091507i,0.00065036+0.0021549i,-0.0013859-0.0028458i,-0.0012024+0.00056615i,-0.002049+0.00025977i,0.0018061+0.0013371i,0.0068435+0.0024808i,-0.0071338+0.035644i,-0.070817+0.047351i,-0.047478+0.045542i,-0.027353+0.062595i,-0.0025645+0.069683i,0.0017513+0.049205i,0.010297+0.030882i,-0.0035873-0.0063511i,-0.036467+0.01361i,-0.034659+0.019989i,0.0078074+0.022081i,-0.0080759+0.0049298i,-0.009619+0.0047619i,-0.013374+0.0015954i,0.0012945-0.00055738i,0.0093081+0.010115i,0.0023716+0.011339i,-0.012172-0.0091897i,0.0004741-0.0069613i,-0.0060394-0.0030096i,-0.001539-0.0058202i,0.0014029-0.005544i,0.0029773+0.0075418i,0.0063548-0.0074099i,0.00073889-0.0061224i,0.00016656-0.0038283i,0.0037191-0.0014537i,-0.0025195-0.0039794i,-0.0020085+0.0014506i,0.0029584-0.00056813i,0.004444+0.02613i,-0.004798-0.0027814i,0.002788-0.0019674i,-0.0028747-0.0062605i,0.0027505-0.0023564i,-0.014494+0.003564i,0.00076197+0.00049196i,0.0031329-0.0024061i,0.0024614-0.0022505i,-0.0012372-0.0048188i,0.0015829+0.0024265i,0.0016375+0.0050298i,-1.9891e-06+0.0057569i,-0.0099978+0.0056083i,-0.015798+0.0017258i,-0.029424+0.054993i,0.00088454+0.0072196i,-0.028293-0.011179i,-0.0090832-0.008879i,0.012894+0.018379i,0.0022436+0.024298i,-0.0027792-0.0018979i
0.012024+0.013588i,0.028851+0.039164i,0.035165+0.023692i,0.027237+0.019956i,0.035538+0.016864i,0.024147-0.025171i,0.011251-0.014914i,0.028927-0.0053382i,0.014944+0.0079998i,0.0038603+0.0020363i,0.0053439-0.0002041i,0.0047961+0.0027397i,0.0058927+3.2017e-05i,0.0057925+0.00041062i,0.00074847-0.0039099i,0.0054779-0.0034402i,0.0038471-0.0071585i,-0.0015636-0.0011154i,-0.0022725+0.0016158i,0.00046438-0.00042593i,-0.0017975-0.00023297i,-0.0017004+0.0023663i,-0.0015571+0.00114i,0.009094+0.00088127i,0.0022394+0.00039106i,0.0019803-0.0015919i,0.0015914-0.00062196i,0.0018944-0.00012138i,0.0002121+0.00019546i,-0.00010634+0.0010423i,-0.0027218+7.2664e-05i,-0.0018349+0.00035869i,-0.00017708+0.0014981i,-0.00053431+0.00076503i,-0.0011992+0.00047903i,-0.0010952+0.0093662i,0.00072288-0.00019472i,0.00049906-0.0012237i,0.0010994+0.0013697i,-0.0022337-0.0021442i,-0.0010218+0.00071548i,-0.0018499+0.00087735i,0.002141+0.0015288i,0.0074328+0.0011465i,0.00099758+0.035584i,-0.057871+0.058397i,-0.039246+0.053865i,-0.016223+0.063527i,0.011784+0.062843i,0.011478+0.047225i,0.010038+0.027464i,-0.0090124-0.0067241i,-0.035789+0.017859i,-0.028607+0.018402i,0.012495+0.017652i,-0.0073988+0.0069837i,-0.0075843+0.0077714i,-0.012485+0.004684i,-0.00037519-0.0024376i,0.011622+0.0074348i,0.0076265+0.010828i,-0.015885-0.0050404i,-0.001324-0.0044187i,-0.0052518-0.00039236i,-0.0032006-0.0039621i,-0.0011985-0.0047025i,0.0051433+0.0063685i,0.0034588-0.0077106i,-0.0026079-0.004354i,0.00047964-0.0014973i,0.0033736-0.0039557i,-0.004214-0.0028891i,-0.00035947+0.0011178i,0.0024062-0.00143i,0.015353+0.019799i,-0.0060728-0.0011418i,0.0023274-0.0030894i,-0.003321-0.0043434i,0.0030606-0.0037298i,-0.010066+0.0086401i,0.0021968+0.00063482i,0.0023977-0.0030687i,0.00151-0.0023576i,-0.0025331-0.0038009i,0.00064098+0.001469i,0.0032351+0.0033373i,0.0025054+0.0052049i,-0.0081052+0.0077182i,-0.016297+0.0064054i,-0.021108+0.054484i,0.005445+0.0065186i,-0.030048-0.0058775i,-0.012072-0.010933i,0.016898+0.014713i,0.0081553+0.02516i,-0.0052465-0.0012892i
0.012623+0.011289i,0.032324+0.032951i,0.037855+0.015771i,0.030992+0.012909i,0.039381+0.0088015i,0.01818-0.028997i,0.0071956-0.016642i,0.027048-0.011025i,0.01647+0.0049677i,0.0036091+0.0013585i,0.0045586-0.0010847i,0.0056105+0.00193i,0.0050948-0.00095472i,0.0052276-0.001092i,-0.00050757-0.0037911i,0.0040435-0.0039077i,0.0015312-0.0070857i,-0.0016837-0.00056894i,-0.0013968+0.0020021i,-0.00029327-0.00083518i,-0.0020953+0.00059164i,-0.00099674+0.0029073i,-0.0014176+0.0015067i,0.007674-0.0026475i,0.0019303-0.00041646i,0.00097752-0.0017657i,0.0010023-0.00094573i,0.0013456-0.0010128i,0.00029144+2.9296e-05i,0.00021128+0.001323i,-0.0023721+0.0014335i,-0.0013669+0.0013247i,0.00041973+0.001286i,-0.00030553+0.0008949i,-0.00066037+0.0010587i,0.0018153+0.00896i,0.00065437-0.00044588i,-4.4756e-05-0.0013981i,0.0010784+0.0010363i,-0.0027176-0.0012871i,-0.00077759+0.00096424i,-0.0014981+0.0013207i,0.0028034+0.0013248i,0.0076867-0.00046863i,0.0084041+0.03235i,-0.042761+0.066031i,-0.0303+0.05983i,-0.0072714+0.062967i,0.023947+0.051939i,0.02125+0.041298i,0.0088894+0.025956i,-0.014914-0.0042136i,-0.034067+0.023382i,-0.025088+0.015852i,0.015787+0.011622i,-0.0059321+0.0096333i,-0.0044629+0.011238i,-0.010973+0.0077796i,-0.0041855-0.0017801i,0.013763+0.0030919i,0.012083+0.007678i,-0.018306+0.00035751i,-0.0016469-0.0033122i,-0.003551+0.0011391i,-0.0038841-0.0014586i,-0.0025822-0.0034587i,0.0069227+0.0031218i,0.00084058-0.0074035i,-0.0042488-0.00043313i,0.001711-0.00079629i,0.0014049-0.0056806i,-0.0048047-0.00055832i,0.0010879+0.0012054i,0.0021873-0.001943i,0.02121+0.0095098i,-0.0063604+0.001895i,0.0017505-0.0044091i,-0.0037851-0.002481i,0.0014591-0.0058505i,-0.0045616+0.009986i,0.0033657-0.00085522i,0.0013743-0.0027978i,0.0010762-0.0022866i,-0.0026004-0.002035i,0.00011375+0.0015853i,0.0032324+0.0013759i,0.004527+0.0041539i,-0.0058524+0.0089447i,-0.01452+0.011203i,-0.014248+0.055096i,0.011678+0.0013253i,-0.029045-0.00041208i,-0.017805-0.011287i,0.017713+0.009627i,0.0149+0.023571i,-0.0052762-0.00026432i
0.013749+0.009386i,0.03554+0.027846i,0.038988+0.0087278i,0.032384+0.0055417i,0.040614+0.00021653i,0.012293-0.031249i,0.0032634-0.01673i,0.024104-0.015676i,0.017541+0.0013923i,0.0035177+0.00081553i,0.0039256-0.0015299i,0.0062357+0.00068735i,0.0045313-0.0012267i,0.0043985-0.0022229i,-0.0015868-0.0029461i,0.0028165-0.0038134i,-0.00034008-0.0063767i,-0.001932-2.7322e-05i,-0.00087449+0.0018721i,-0.0010149-0.00066428i,-0.0019053+0.0012917i,0.00014945+0.0031557i,-0.0010423+0.0020381i,0.0053093-0.0048674i,0.0013913-0.00084669i,0.0003852-0.0016795i,0.00057592-0.0010761i,0.00056971-0.0011769i,0.00012104-1.1145e-05i,0.00081563+0.0013518i,-0.0012617+0.0022788i,-0.00054503+0.0017218i,0.00072753+0.00091245i,0.00014266+0.0011944i,0.00014829+0.0014094i,0.0042506+0.0076107i,0.00032815-0.00048334i,-0.00068257-0.0012477i,0.0013806+0.00063873i,-0.0027975-0.00032566i,-0.00038317+0.00088491i,-0.0009973+0.0016323i,0.0033377+0.00065498i,0.0069622-0.0024007i,0.013489+0.027661i,-0.026677+0.069066i,-0.01854+0.064744i,0.0020844+0.06253i,0.029828+0.038909i,0.027455+0.033658i,0.0092988+0.02739i,-0.017944+0.0024392i,-0.030991+0.030639i,-0.024769+0.013892i,0.01463+0.0055794i,-0.0026102+0.011703i,0.00087554+0.011683i,-0.0086872+0.010363i,-0.0056012+0.0015083i,0.013249-0.003081i,0.01449+0.0028059i,-0.018513+0.0063754i,-0.0017158-0.0017969i,-0.0024997+0.001778i,-0.0025789+0.00013796i,-0.0040041-0.0013258i,0.0066427+0.00051729i,-0.0010968-0.0063213i,-0.0028255+0.0029253i,0.0029314-0.0015533i,-0.0011349-0.0059331i,-0.0037183+0.0012559i,0.0022367-0.00014567i,0.0018414-0.0023374i,0.021274-0.00048624i,-0.0042277+0.004395i,4.7364e-05-0.005526i,-0.0029954-0.0015776i,-0.00083594-0.0062541i,-0.00034429+0.0089878i,0.0030743-0.0026739i,0.0011258-0.001779i,0.0012222-0.0021771i,-0.0012261-0.0013286i,0.00068206+0.002013i,0.0021862+0.00015576i,0.0054582+0.0017633i,-0.0038401+0.0088495i,-0.010505+0.01577i,-0.0062603+0.055298i,0.012868-0.0095628i,-0.025751+0.0015813i,-0.02346-0.0088582i,0.018075+0.0052425i,0.020445+0.017518i,-0.0060378-0.00084478i
0.014919+0.0069426i,0.038806+0.022255i,0.03972+0.0015548i,0.032323-0.0018675i,0.040435-0.0080532i,0.0061471-0.032629i,0.00042686-0.016073i,0.020689-0.019621i,0.017838-0.0026834i,0.0030807+0.00035096i,0.0037372-0.0017926i,0.0065278-0.0007339i,0.0048511-0.0016886i,0.003376-0.0030123i,-0.002073-0.0020565i,0.0021004-0.0035254i,-0.0013849-0.0057063i,-0.0016066+0.00049947i,-0.00043556+0.0019086i,-0.0014145-0.00016162i,-0.0013051+0.0018184i,0.0014688+0.0027042i,-0.0003075+0.0023346i,0.0023763-0.0058175i,0.0011329-0.0010265i,-0.00022116-0.0016004i,0.00019126-0.0011677i,4.5035e-05-0.001089i,4.3057e-05+9.0348e-05i,0.0012874+0.00084245i,-0.00011418+0.0024483i,0.00021637+0.001723i,0.00081518+0.00054483i,0.00071797+0.00099342i,0.00087567+0.00081376i,0.0056211+0.0056836i,0.0001138-0.00047054i,-0.0010615-0.00080018i,0.0012183+3.7025e-05i,-0.0025206+0.00034065i,-0.0002047+0.0007499i,-0.00041924+0.0016125i,0.0035529-7.0697e-05i,0.0058145-0.0036871i,0.016829+0.02247i,-0.011981+0.067729i,-0.0048949+0.065239i,0.011786+0.060489i,0.031879+0.027163i,0.031224+0.025992i,0.012443+0.029362i,-0.016462+0.010446i,-0.02402+0.039099i,-0.025921+0.01494i,0.012509+0.0025289i,0.0015053+0.011737i,0.0046663+0.0097633i,-0.0056295+0.012565i,-0.0047685+0.0039578i,0.0096162-0.0087192i,0.014135-0.0032922i,-0.016862+0.011218i,-0.00109-0.0010552i,-0.0012912+0.0015687i,-0.0015874+0.00035937i,-0.0032857+0.0015651i,0.0052106-0.0011321i,-0.002215-0.0046185i,0.00049216+0.0041195i,0.0029864-0.0032999i,-0.0033084-0.0047332i,-0.0026604+0.0019383i,0.0022014-0.001409i,0.0017086-0.0026816i,0.017403-0.0085988i,-0.0015912+0.0051056i,-0.0021231-0.0051333i,-0.0026846-0.0012996i,-0.0029802-0.0058402i,0.0020912+0.0071518i,0.002514-0.0036806i,0.0022613-0.0018513i,0.0011062-0.0031934i,-0.00033061-0.0020929i,0.0011769+0.0021177i,0.0012306+0.00062052i,0.0050084+0.00025445i,-0.0025985+0.0083532i,-0.0046396+0.017713i,0.0020329+0.054081i,0.0068036-0.018798i,-0.024296+0.00032479i,-0.028845-0.0030431i,0.016471-0.00051351i,0.02226+0.010652i,-0.0073425+1.6273e-05i
0.015918+0.0042512i,0.040978+0.015979i,0.038418-0.0065718i,0.029953-0.0096623i,0.038627-0.016895i,-0.00032312-0.032442i,-0.0017176-0.015346i,0.01665-0.023209i,0.016863-0.0067731i,0.0027461+0.0006317i,0.0032454-0.0022154i,0.0064189-0.0027413i,0.0046587-0.0028942i,0.0021246-0.0034628i,-0.0023334-0.0011119i,0.0016686-0.0033681i,-0.0026864-0.0050601i,-0.0015932+0.00076752i,0.00024272+0.0017784i,-0.0018296+0.00048602i,-0.00088781+0.0019553i,0.0023105+0.0016179i,0.00036524+0.0023137i,-0.00073495-0.0053136i,0.000626-0.001739i,-0.00075043-0.0010978i,-0.00035343-0.001137i,-0.00034494-0.00079624i,0.00025046+0.00013095i,0.001289+0.00026697i,0.0011236+0.0021002i,0.0007599+0.0015596i,0.0007774+0.00023398i,0.0010325+0.00066743i,0.0007867-1.649e-05i,0.0063103+0.0038507i,-0.00010308-0.00037093i,-0.00135-0.00037186i,0.0011861-9.4252e-05i,-0.0020418+0.00083433i,-0.00012468+0.00071688i,7.6061e-06+0.0014785i,0.0036197-0.0010826i,0.0043333-0.004577i,0.01864+0.017517i,0.00055623+0.064242i,0.0071188+0.061439i,0.021266+0.056749i,0.030491+0.016947i,0.033017+0.019127i,0.017974+0.02953i,-0.0098176+0.015826i,-0.012394+0.044283i,-0.026269+0.018657i,0.01079+0.00072257i,0.0047976+0.0098992i,0.0067683+0.0067655i,-0.0018569+0.013304i,-0.0039418+0.0053433i,0.0025201-0.011012i,0.010516-0.0079749i,-0.013356+0.015591i,-0.00059291-0.0016614i,-0.00085785+0.00093985i,-0.0012841+0.00023861i,-0.00077536+0.0029859i,0.0039878-0.0011546i,-0.0025079-0.0036105i,0.0029559+0.0032242i,0.001759-0.0052033i,-0.0045513-0.002935i,-0.0013961+0.0023989i,0.0013719-0.0026089i,0.0012872-0.0036131i,0.011397-0.013178i,0.00059835+0.0046865i,-0.0033892-0.0040083i,-0.0022601-0.0012207i,-0.0046454-0.0048499i,0.0034109+0.0053895i,0.0015863-0.0051125i,0.0026864-0.0031602i,-6.8244e-05-0.0036668i,-0.0011265-0.0030049i,0.0023945+0.0022971i,0.0012079+0.0018343i,0.0044238-0.0007818i,-0.0020003+0.0084595i,0.00074823+0.016677i,0.01001+0.052103i,-0.002095-0.023934i,-0.026945-0.00049615i,-0.030494+0.0052716i,0.011035-0.0042817i,0.02267+0.0048405i,-0.0069345+0.00095661i
0.01663+0.00095742i,0.042758+0.010107i,0.034891-0.013362i,0.024732-0.015618i,0.033991-0.025061i,-0.0059425-0.030605i,-0.0034475-0.014507i,0.011788-0.025692i,0.01519-0.010469i,0.0033793+0.00099109i,0.0028796-0.0022692i,0.0050007-0.0046437i,0.0040128-0.0039165i,0.0011269-0.0033276i,-0.0021317-0.00022604i,0.0011936-0.0030713i,-0.0044527-0.0035147i,-0.0013324+0.0012731i,0.00067336+0.0012064i,-0.0016907+0.0016805i,-0.00032855+0.0023168i,0.0023088+0.00038579i,0.00099792+0.0021469i,-0.0027371-0.0034208i,-0.00067179-0.0015858i,-0.00084159-0.00060219i,-0.00075129-0.00082422i,-0.00055022-0.00044949i,0.00027274-0.00013056i,0.0011382-0.00022012i,0.0019525+0.0012472i,0.00124+0.0011231i,0.00077507-2.8231e-05i,0.0011723+0.00026681i,0.00022888-1.9501e-05i,0.0064002+0.0019971i,-0.00015411-0.00023644i,-0.0014625+0.00021174i,0.0010896-0.0003144i,-0.0014201+0.0011353i,-6.1207e-07+0.00082918i,0.00035498+0.0012028i,0.0030751-0.0022021i,0.0026052-0.0046743i,0.019373+0.012884i,0.011553+0.058387i,0.015823+0.055855i,0.030049+0.051384i,0.027394+0.0098141i,0.033462+0.012781i,0.02369+0.027312i,-0.0027781+0.016321i,0.00051708+0.04474i,-0.024001+0.023654i,0.0096866-0.00053658i,0.0072009+0.0072837i,0.0072888+0.0040412i,0.0021381+0.012611i,-0.0027371+0.0072109i,-0.0038217-0.0088577i,0.0060686-0.0097039i,-0.0083116+0.018169i,-0.0013153-0.0026103i,-0.0012553+0.000779i,-0.0012144+0.00043775i,0.001691+0.0026312i,0.0034084-0.001216i,-0.0030124-0.0028275i,0.0040877+0.001285i,-0.0010358-0.0063449i,-0.0044353-0.00092918i,3.8624e-06+0.0018824i,0.00081095-0.0032486i,0.00015165-0.0048308i,0.0050617-0.014506i,0.0022371+0.0037096i,-0.0042288-0.0030387i,-0.0028943-0.0013677i,-0.0060103-0.0030993i,0.0037028+0.004014i,-0.00044741-0.0064541i,0.0023407-0.004764i,-0.0011434-0.0032028i,-0.0019288-0.0029355i,0.0032364+0.0018048i,0.0021421+0.0023403i,0.0034237-0.0015604i,-0.00081411+0.0090453i,0.0049713+0.01394i,0.018773+0.049231i,-0.012801-0.025424i,-0.030518+0.0013431i,-0.027815+0.013398i,0.0062668-0.0036461i,0.020747-0.0014466i,-0.0061377-0.00012738i
0.016513-0.002995i,0.044188+0.0031517i,0.030918-0.018338i,0.019286-0.018664i,0.027968-0.031418i,-0.010341-0.028328i,-0.0045984-0.014067i,0.0070152-0.02716i,0.012698-0.013734i,0.0043102+0.00036808i,0.0029375-0.0026435i,0.0031924-0.0054061i,0.0029497-0.0051026i,0.00041815-0.0031336i,-0.0016675+0.00038906i,0.0010297-0.0026543i,-0.0048921-0.0012499i,-0.00084497+0.0012508i,0.0006128+0.00061414i,-0.00083368+0.002299i,0.00042872+0.0022871i,0.0019556-0.0004056i,0.0016178+0.001717i,-0.0036574-0.00092333i,-0.0011811-0.00075002i,-0.00086535-0.00028135i,-0.00089037-0.00048986i,-0.00058158-0.00011857i,-3.7847e-06-3.5717e-05i,0.00080143-0.00063375i,0.0023851+0.00015735i,0.0013379+0.00067236i,0.00077831-0.0002586i,0.0013011-6.3747e-05i,0.00011866+0.00038423i,0.0058829+0.00044505i,-0.00021889+1.8796e-05i,-0.0012676+0.00084096i,0.00091876-0.00065577i,-0.00075536+0.0012741i,0.0002972+0.00080809i,0.00049309+0.00078824i,0.0020952-0.0028581i,0.0012568-0.004301i,0.019145+0.0088499i,0.019226+0.050559i,0.02265+0.050653i,0.037425+0.043833i,0.023968+0.0045908i,0.033071+0.0085187i,0.028831+0.023812i,0.0029405+0.015279i,0.012123+0.040915i,-0.019684+0.028468i,0.0088131-0.0021079i,0.0086037+0.0037868i,0.007722+0.0017581i,0.005579+0.010386i,-1.5048e-05+0.0079718i,-0.0073996-0.0047578i,0.0018791-0.0098473i,-0.0024134+0.018348i,-0.0028811-0.0023775i,-0.0020463+0.0017662i,-0.0010064+0.00071846i,0.0031132+0.0011807i,0.0033009-0.00039857i,-0.0031737-0.0017491i,0.0042068-0.0005573i,-0.0038648-0.0051047i,-0.0034108+0.00037414i,0.00046243+0.00068637i,-4.4009e-05-0.0041582i,-0.0017567-0.0049048i,-7.0067e-05-0.0134i,0.0036404+0.002005i,-0.0052332-0.0017121i,-0.0034842-0.00037295i,-0.0061176-0.00043299i,0.0042549+0.0033538i,-0.0034951-0.0062745i,0.0013191-0.0062643i,-0.0016786-0.0028759i,-0.0026772-0.0031062i,0.0040399+0.001118i,0.0033183+0.0020469i,0.0024273-0.0010833i,0.00076547+0.0089852i,0.007023+0.010398i,0.027384+0.043878i,-0.02381-0.021752i,-0.033595+0.0051425i,-0.022273+0.018132i,0.0043454-0.0021118i,0.016268-0.0058193i,-0.008189-0.00097877i
0.014997-0.0067067i,0.044178-0.0044951i,0.026901-0.022626i,0.014645-0.020215i,0.021052-0.036257i,-0.014564-0.025857i,-0.0061132-0.014495i,0.0021862-0.027985i,0.0093651-0.01627i,0.004851-0.00069138i,0.00286-0.003513i,0.0014816-0.0054553i,0.001229-0.0058456i,-0.00022011-0.0029623i,-0.0013097+0.0005701i,0.0011869-0.0024968i,-0.0042465+0.00060947i,-0.00061074+0.0011067i,0.00049709+0.00036648i,5.7972e-06+0.0024321i,0.00098357+0.002062i,0.0014918-0.00087911i,0.0019337+0.0010004i,-0.0029449+0.001415i,-0.00097017-5.3792e-05i,-0.00082007+0.00012444i,-0.00098609-0.00021908i,-0.00052305+4.1145e-05i,7.3222e-05+0.00010962i,0.00025998-0.00075565i,0.002308-0.0010376i,0.0014254+0.00036243i,0.0006606-0.00048884i,0.0011913-0.00073702i,0.0003556+0.00059607i,0.0053072-0.00062268i,-8.1388e-05+0.00017194i,-0.00077479+0.0013486i,0.00035792-0.00072869i,3.5156e-05+0.0010845i,0.00054514+0.00077952i,0.00039744+0.00052595i,0.000993-0.0028577i,0.00042588-0.0033915i,0.018469+0.0055689i,0.023573+0.044185i,0.02909+0.045407i,0.042139+0.036266i,0.020008+0.00028686i,0.034228+0.0050725i,0.033239+0.018873i,0.008696+0.012365i,0.022001+0.033808i,-0.012458+0.031842i,0.0077229-0.0035328i,0.0079386-0.00063664i,0.0077545-0.00096095i,0.0074028+0.0070365i,0.0019805+0.0072865i,-0.0086468+0.00052066i,-0.0016498-0.0085695i,0.0016443+0.015595i,-0.0040112-0.00099202i,-0.0016384+0.0035905i,-0.00085577+0.00099445i,0.0038525-0.00076072i,0.0044217+0.00058703i,-0.002783-0.0010461i,0.0039079-0.0011435i,-0.0051066-0.0031915i,-0.0023745+0.00061316i,0.00012562+0.00017205i,-0.0020112-0.0045949i,-0.0033985-0.0037311i,-0.004103-0.011904i,0.0038555-0.00025365i,-0.0054785+0.00014641i,-0.0030154+0.00077355i,-0.0052698+0.0014223i,0.0054405+0.0025611i,-0.0058203-0.0042455i,-0.0010678-0.0076438i,-0.0025491-0.002265i,-0.0043636-0.0026965i,0.0051767-0.0005215i,0.0044345+0.0019203i,0.0027574-0.00073929i,0.0026223+0.0090135i,0.0069493+0.0069929i,0.034616+0.036324i,-0.030335-0.012725i,-0.036094+0.01106i,-0.016498+0.020948i,0.002504-0.00033734i,0.011759-0.0065533i,-0.0095934-2.4089e-06i
