-0.007167-0.039464i,-0.012279-0.043561i,0.0028786-0.045963i,-0.02699-0.028082i,-0.020513+0.014016i,-0.03232-0.033285i,-0.061247-0.061898i,-0.02192-0.073021i,-0.033781-0.051839i,0.0009229+0.015152i,-0.0074406+0.010871i,-0.015245+0.013994i,0.0017224+0.016605i,-0.0038659-0.0035581i,0.00036823+0.0066345i,0.00076432+0.039279i,0.01948+0.060236i,0.0012416-0.00064361i,-0.0049123-0.0083508i,0.0089544+0.0049338i,0.0017969+0.0009122i,-0.0010165+0.0035794i,7.1906e-05-0.0015191i,-0.036415-0.0092248i,-0.0020521-0.0075292i,-0.00031756+0.0045461i,0.0053792+8.9726e-05i,0.00015419+0.00080137i,-0.00012344-0.0010967i,3.7144e-05-0.0028492i,-0.0012376-0.0061581i,-0.0025305-0.0042236i,-0.00028596-0.0078971i,0.0031975-0.0013194i,0.003131-0.0023281i,-0.0013153+0.034225i,0.006411-0.0039675i,0.003672-0.0024231i,0.005379+0.00033729i,-0.013654-0.0045451i,-0.00014521+0.00039073i,0.010333-0.0006291i,0.0057721-0.00055379i,-0.0037296+0.0039268i,0.0035227+0.0022942i,-0.0037523+0.0090688i,0.016068-0.086709i,-0.0057883-0.048526i,-0.024174-0.039576i,-0.018821-0.041874i,0.064381-0.014968i,0.028163-0.060654i,0.038875-0.044439i,0.030176-0.055815i,0.019321-0.0155i,0.0082536+0.010126i,0.025214-0.032823i,-0.0072952-0.0053681i,0.0022882-0.0029726i,-0.0043251-0.0059502i,0.001341-0.032212i,-0.024394+0.030726i,0.007856-0.010365i,-0.011386-0.0015053i,-0.0051391-0.0014426i,-0.00082955-0.014244i,-0.0098981+0.0041281i,0.0033948+0.0079457i,-0.011429+0.031394i,0.0054507+0.0083398i,-0.0055109-0.0015898i,-0.0017287-0.0021794i,-0.011056-0.0076821i,0.00071244-0.0035765i,-0.03493+0.0044891i,0.0025541-0.012097i,-0.0091675-0.0021234i,-0.0065352-0.0031208i,0.0064288+0.001848i,-0.0097837+0.0013689i,0.0011629+0.00094767i,0.0053926+0.0090804i,0.0045536+0.00066667i,-0.0090711-0.0099554i,0.0025126+0.0084867i,-0.019145+0.0062463i,0.0069324+0.0034416i,-0.028565-0.0087587i,-0.034142+0.0021419i,0.02596-0.076938i,0.012634-0.010035i,-0.043078-0.027974i,-0.023462-0.0040213i,0.017916+0.012523i,-0.026723+0.01178i,-0.011567-0.008743i
-0.013156+0.020535i,0.01177+0.048047i,0.026217+0.046452i,-2.9586e-05+0.018181i,-0.0027179+0.00775i,0.027335+0.0026909i,0.012814+0.018044i,0.011215+0.045772i,0.0042673+0.020027i,-0.0024822+0.0052052i,0.0011059+0.0013263i,0.003043-0.0044163i,0.0028109-0.002743i,0.0034988-0.00045123i,0.0031021-0.0024337i,0.0050704-0.0015297i,0.013341-0.0068192i,-0.0003055-0.0005572i,-0.0049817+0.00041844i,-2.1651e-05+0.0023954i,-0.00053366-0.0010239i,-0.0051712-0.0019186i,-0.0026389+0.00058409i,0.0046541+0.0082267i,0.0015302+0.0014679i,0.0025362+0.00091256i,0.0020332+0.0016806i,-0.0015115+0.0033328i,-0.00057733+0.0010283i,-0.00068983+0.0012524i,0.00024983-0.0037652i,-0.00103-0.0012703i,-0.00032076-0.00045591i,-0.00017856+0.00082592i,-0.00056418-0.0021036i,-0.0060557+0.010616i,0.0030954+0.00025623i,0.00085494+8.0572e-05i,-0.00074033+0.0025652i,-0.00066068-0.003659i,-0.0021552+0.00046303i,-0.0022653-0.0016502i,0.00083625+0.0091023i,0.0035556+0.00052778i,-0.027363+0.021205i,-0.056939+0.023931i,-0.031+0.045669i,-0.019231+0.032275i,-0.0047138+0.050413i,-0.0084997+0.032343i,0.0083703+0.010247i,-0.0067293-0.0074622i,-0.038257-0.0075293i,-0.042213+0.015543i,0.0098666+0.021838i,-0.0017458+0.0030911i,-0.005612+0.0023716i,-0.012092-0.0031834i,0.0096946+0.0016555i,0.012544+0.015476i,-0.0026982+0.0077193i,-0.0068943-0.012048i,0.0058509-0.0030227i,-0.0049629-0.0045485i,0.0040507-0.0077961i,0.0053869-0.0024558i,-0.00083579+0.0097777i,0.01282-0.0049802i,0.0077117-0.0065367i,0.0053871-0.007291i,0.0033745-0.0005936i,-0.0031284-0.0066096i,-0.0036467-0.001846i,0.0029918-0.0012479i,-0.012934+0.03643i,-0.0058835-0.0051083i,0.0014845+0.00087306i,-0.00039594-0.0076619i,0.0033506-0.0012691i,-0.014165-0.0048442i,0.0013828-0.00048076i,0.0030741-0.003174i,0.0024414-0.0019077i,0.00016629-0.0057241i,-0.0012175+0.00697i,-0.00037321+0.0029088i,-0.0025556+0.0056668i,-0.011164-0.0020786i,-0.0088207+0.0031434i,-0.039704+0.03884i,-0.0069258+0.016813i,-0.023335-0.0053935i,-0.00022938-0.0010693i,0.0095054+0.019712i,-0.0014663+0.019867i,-0.0058497-0.00081603i
-0.010307+0.02017i,0.018949+0.043738i,0.034091+0.040852i,0.004159+0.020048i,0.0013289+0.0081954i,0.027375-0.0033097i,0.014169+0.01474i,0.019144+0.041331i,0.006688+0.018597i,-0.00074659+0.0051376i,0.0017388+0.0012335i,0.00050308-0.0034223i,0.0014231-0.0027023i,0.0032856-0.00043036i,0.002315-0.0029237i,0.0041248-0.0014533i,0.0095701-0.0093541i,0.00031974-0.00025404i,-0.0048424+0.0010395i,0.00092657+0.0013657i,-0.0010107-0.001281i,-0.0054354-0.00040989i,-0.00241+0.00071338i,0.0086635+0.0049501i,0.0013005+0.0020691i,0.0030693-0.00024917i,0.0022067+0.00066449i,-4.8833e-05+0.0034606i,-0.00066998+0.001643i,-0.00034811+0.0015111i,-0.0013064-0.0032406i,-0.0016276-0.0011022i,-0.00079792-0.00042958i,0.00030072+0.00054026i,-0.0013719-0.00035684i,-0.0021138+0.011292i,0.0027278-0.00094188i,0.00086902-4.9803e-05i,0.00057633+0.0020348i,-0.0013138-0.0029284i,-0.0017684+0.00070125i,-0.0029048-0.00065863i,0.0029288+0.0093318i,0.0027044+5.7017e-05i,-0.022525+0.02535i,-0.049335+0.032929i,-0.025015+0.050747i,-0.012222+0.033754i,0.0087586+0.046383i,0.00086554+0.029792i,0.0038359+0.003732i,-0.013499-0.010947i,-0.041752-0.0059064i,-0.033738+0.016405i,0.014575+0.017323i,-0.0023258+0.0034937i,-0.0044378+0.0062371i,-0.012254+0.0017884i,0.0082202-0.0019211i,0.015327+0.011966i,0.0013482+0.011458i,-0.012331-0.0099292i,0.0024884-0.0038735i,-0.0045158-0.0018116i,-0.00082658-0.0073189i,0.0037856-0.0044847i,0.0037992+0.0074303i,0.0085491-0.0083126i,0.0029633-0.008209i,0.0016683-0.0055006i,0.0041409-0.0016801i,-0.0046288-0.0048799i,-0.002167+0.00074234i,0.0031245-0.0017582i,0.0063509+0.036679i,-0.0068843-0.0037899i,0.0022623-0.0010024i,-0.0037048-0.0066351i,0.0036371-0.0021997i,-0.013856+0.0019531i,0.0015228-0.0001533i,0.0015175-0.002791i,0.0025562-0.0032157i,-0.0015275-0.0055542i,0.00094646+0.0036987i,0.00092264+0.0024984i,0.00048562+0.0066762i,-0.010721+0.0017298i,-0.0084602+0.0045597i,-0.03156+0.040256i,-0.0039518+0.019011i,-0.024735-0.00063659i,-0.0015287-0.0054734i,0.012262+0.018919i,0.0024928+0.02177i,-0.008257-0.00065284i
-0.0083654+0.020205i,0.024567+0.038283i,0.042128+0.032806i,0.011245+0.018322i,0.0059525+0.0068362i,0.025929-0.0094528i,0.014704+0.011317i,0.026039+0.035116i,0.0098024+0.018055i,0.00026975+0.0048085i,0.0020952+0.00033382i,5.7226e-05-0.0014613i,9.8862e-05-0.0027209i,0.0034825-0.00093618i,0.0015103-0.0030025i,0.0033092-0.0014742i,0.006074-0.010572i,0.00035088-0.00077648i,-0.0047051+0.0026034i,0.00080691+5.9414e-05i,-0.001934-0.0013569i,-0.005139+0.0012397i,-0.0024782+0.0010438i,0.0091107-5.5941e-06i,0.0025027+0.0016603i,0.0024052-0.0016202i,0.0020146-8.893e-05i,0.0014769+0.0028808i,0.00042615+0.0019654i,-1.3357e-05+0.0017286i,-0.002487-0.0020719i,-0.0022558+5.7259e-05i,-0.00089521+4.5999e-05i,0.00027182+0.0001553i,-0.00071083+0.00067208i,0.0012565+0.010791i,0.0018879-0.0015247i,0.00083086-0.00059269i,0.0010279+0.0012127i,-0.0020783-0.0024134i,-0.0015851+0.00086495i,-0.0028423+0.00048495i,0.0055008+0.0090708i,0.0024595-0.00015641i,-0.016094+0.028368i,-0.040631+0.039938i,-0.016553+0.054833i,-0.0048167+0.032714i,0.020399+0.038186i,0.0089237+0.027606i,-0.0027287+0.00082716i,-0.020287-0.010057i,-0.045174-0.00059331i,-0.027327+0.014262i,0.017242+0.011392i,-0.0024113+0.0041161i,-0.0027272+0.0076231i,-0.011488+0.0054876i,0.0051275-0.0057534i,0.017809+0.0076838i,0.0068271+0.011743i,-0.016332-0.005772i,0.0009568-0.0024534i,-0.0039854+0.00020814i,-0.0031171-0.0051149i,0.001393-0.0047643i,0.0056402+0.0060633i,0.0053874-0.0088739i,-0.0020611-0.0068339i,0.0011828-0.0035343i,0.004006-0.0041842i,-0.006445-0.0028286i,-0.00038519+0.00063574i,0.0019454-0.0027783i,0.021776+0.027722i,-0.0085222-0.0013305i,0.0019889-0.0021666i,-0.0041052-0.004337i,0.0039452-0.0040105i,-0.009944+0.0070158i,0.0028989-0.0002999i,0.0002795-0.0031176i,0.0010112-0.0034269i,-0.0033979-0.0041607i,0.00010193+0.00288i,0.0019204+0.0014526i,0.0034966+0.0058738i,-0.0094652+0.0043174i,-0.007783+0.0068187i,-0.02556+0.040508i,0.0031708+0.02013i,-0.024298+0.0035438i,-0.0040888-0.0089227i,0.017031+0.015919i,0.0084068+0.023108i,-0.010043+0.001205i
-0.0064321+0.020497i,0.028032+0.033095i,0.046779+0.02214i,0.016406+0.012624i,0.0095126+0.0028528i,0.022603-0.014628i,0.014447+0.008819i,0.030246+0.027635i,0.013867+0.015668i,0.0010292+0.0046878i,0.001763+7.0805e-05i,0.00068932-0.00059313i,-0.0014866-0.0014448i,0.0031056-0.0014584i,0.00073667-0.0030643i,0.0028353-0.0010493i,0.0023729-0.010385i,0.00030592-0.00085559i,-0.0027686+0.003865i,-9.7931e-05-0.00047429i,-0.0026206-0.00035686i,-0.0043988+0.0030074i,-0.0022975+0.0016983i,0.0070059-0.0035726i,0.0027575+0.00056112i,0.001296-0.002068i,0.0015738-0.00061455i,0.0019594+0.0017302i,0.0012326+0.0010766i,0.00057717+0.0020105i,-0.0029526-0.00038219i,-0.0018007+0.0011727i,-0.00067069+0.00038261i,5.4376e-05+7.6867e-05i,-9.1702e-05+0.00086419i,0.0041982+0.0094855i,0.001233-0.0018543i,0.00032578-0.0009i,0.00091546+0.0010535i,-0.0026482-0.0017828i,-0.001293+0.0011565i,-0.0025157+0.0012068i,0.0083347+0.0077737i,0.0023369-0.00025696i,-0.0090416+0.028525i,-0.03051+0.044784i,-0.007464+0.057564i,3.1906e-05+0.030591i,0.028931+0.026292i,0.016348+0.021184i,-0.010359+0.0026703i,-0.02759-0.0061413i,-0.04701+0.0073871i,-0.024169+0.010824i,0.018158+0.0047394i,-0.0018526+0.0053285i,-5.4111e-05+0.009938i,-0.0094409+0.0090399i,-0.00048436-0.0058862i,0.019522+0.0012599i,0.012044+0.0092648i,-0.018682-0.00036132i,0.00037615-0.001985i,-0.0027895+0.0016156i,-0.0042054-0.001935i,-0.00011715-0.004282i,0.0074017+0.0028805i,0.0024939-0.0090923i,-0.0046214-0.0025901i,0.0016434-0.002846i,0.0019704-0.0062164i,-0.0064036+0.00040528i,0.00076592+0.00054653i,0.00099086-0.0027786i,0.030209+0.013549i,-0.0082916+0.0028642i,0.001461-0.0032029i,-0.0042693-0.0024583i,0.0023956-0.0063775i,-0.0051616+0.0083883i,0.0038249-0.0019932i,-0.00083413-0.0022267i,0.00012049-0.0032394i,-0.0035353-0.0019053i,-0.0002543+0.0032158i,0.0019163+0.00016194i,0.0060226+0.0041797i,-0.0077626+0.0058723i,-0.0064698+0.0087143i,-0.019908+0.042216i,0.013441+0.015346i,-0.021984+0.0077525i,-0.010002-0.010791i,0.01901+0.011004i,0.015628+0.021094i,-0.0090619+0.0026759i
-0.003948+0.021i,0.031617+0.028981i,0.04843+0.012173i,0.018604+0.0057376i,0.010162-0.0023274i,0.018917-0.018463i,0.014372+0.0074751i,0.032271+0.020855i,0.017371+0.012072i,0.0019661+0.0045082i,0.0015972+0.00012594i,0.0014625-0.00063628i,-0.0016125+0.00071809i,0.0026141-0.0019563i,3.5669e-05-0.0025426i,0.0030185-0.00046882i,-0.0002267-0.0089143i,-0.00017203-0.00093014i,-0.0013791+0.0036913i,-0.00085191-0.00026401i,-0.0026644+0.00051682i,-0.002563+0.0042328i,-0.0016219+0.0022773i,0.0040814-0.005403i,0.0024164-0.00020458i,0.00051149-0.0022235i,0.0011315-0.0010384i,0.0018274+0.00080851i,0.00098875+0.00039915i,0.0016049+0.0018649i,-0.0022513+0.00089168i,-0.0010672+0.001751i,-0.00046109+0.00052069i,0.00021389+0.00068398i,0.00067481+0.0010829i,0.0064831+0.0075511i,0.00045515-0.0019132i,-0.00018756-0.00075884i,0.001592+0.00088277i,-0.0028454-0.00087838i,-0.0010329+0.0011143i,-0.002071+0.0018766i,0.010272+0.0050279i,0.0017811-0.00096892i,-0.0038058+0.026741i,-0.019671+0.04675i,0.0041237+0.05848i,0.0047913+0.029081i,0.031233+0.013169i,0.019419+0.013378i,-0.013996+0.010095i,-0.032145+0.0033834i,-0.047082+0.017889i,-0.025122+0.0083357i,0.015223-0.0010166i,-0.00024571+0.0062868i,0.0045909+0.0095139i,-0.0064574+0.011685i,-0.0033175-0.0025875i,0.017762-0.0071475i,0.01575+0.0043965i,-0.019041+0.0057868i,0.00030203-0.00065651i,-0.0014127+0.0022594i,-0.0025702+0.00027775i,-0.0019759-0.0030039i,0.0070987+0.00019866i,-0.00025979-0.0084204i,-0.0038559+0.001347i,0.0024226-0.0032578i,-0.00086159-0.0067606i,-0.0044723+0.0024618i,0.0018482-0.00014899i,0.00048754-0.0021945i,0.031034-0.0011365i,-0.005182+0.0058307i,0.00021182-0.0040715i,-0.0034703-0.0017815i,-7.4893e-05-0.0072477i,-0.0016467+0.0075786i,0.0030581-0.0037396i,-0.00096664-0.00055636i,2.9096e-05-0.0024825i,-0.0020397-0.0009666i,0.0010862+0.0039091i,0.00084834-0.00062236i,0.0063996+0.0012101i,-0.0064436+0.0063372i,-0.0041674+0.010874i,-0.01315+0.043308i,0.018099+0.0028146i,-0.017603+0.0090821i,-0.01638-0.0093805i,0.020321+0.0058187i,0.021108+0.014475i,-0.0094988+0.0026448i
-0.0012126+0.020656i,0.035506+0.023984i,0.048913+0.0026778i,0.01902-0.0010361i,0.0096012-0.0064249i,0.014682-0.02168i,0.015597+0.0063337i,0.033501+0.014519i,0.020288+0.00701i,0.0025869+0.0039255i,0.0020901+0.00021952i,0.0019336-0.00095752i,-1.0161e-05+0.0022107i,0.0020708-0.0021898i,-0.00014654-0.0021367i,0.0036312-0.00021758i,-0.0014662-0.0077511i,1.7611e-05-0.0009211i,-0.00048644+0.003516i,-0.0012043+0.000307i,-0.0020957+0.0012106i,-0.00036529+0.0038632i,-0.00086005+0.0024303i,0.00077306-0.005926i,0.0022027-0.00077777i,-0.00050893-0.0021676i,0.00054495-0.001292i,0.0016884+0.00042398i,0.00083224+0.00020784i,0.0021627+0.00090564i,-0.0014631+0.0015874i,-0.00026176+0.0019471i,-0.00032455+0.00073938i,0.00084825+0.00022195i,0.0011109+0.00018899i,0.0075241+0.0050964i,-0.00015994-0.0018478i,-0.00034286-0.00033151i,0.0013825+2.1443e-05i,-0.0026049-0.00016143i,-0.001116+0.0013327i,-0.0013459+0.0022801i,0.011121+0.002299i,0.0010933-0.00075144i,0.00051647+0.024047i,-0.009654+0.045639i,0.015982+0.054799i,0.009762+0.027114i,0.029616+0.0018276i,0.019497+0.0067016i,-0.011784+0.018311i,-0.030741+0.015427i,-0.041481+0.030589i,-0.027913+0.009128i,0.011461-0.0037962i,0.0017699+0.0060605i,0.0076242+0.006839i,-0.0024965+0.013899i,-0.0036608+3.7031e-05i,0.011488-0.014247i,0.016218-0.0024246i,-0.016691+0.010724i,0.0013348-0.00033253i,-0.00017577+0.0020346i,-0.0010364+0.00038115i,-0.0023663-0.00060121i,0.0056308-0.0013412i,-0.0020552-0.0069307i,-0.0012699+0.0034744i,0.002053-0.004749i,-0.0032926-0.0054844i,-0.0027828+0.0028259i,0.0020576-0.0016607i,0.00088654-0.0017982i,0.025562-0.013566i,-0.0018144+0.0063233i,-0.0014909-0.0038928i,-0.0035787-0.0012977i,-0.0029064-0.0066998i,0.00064289+0.0064043i,0.0024562-0.0046779i,0.00041834+0.00020284i,-2.3047e-05-0.0030799i,-0.00096255-0.0012653i,0.0023082+0.0038654i,-0.00032164-6.9311e-05i,0.0055647-0.00059758i,-0.0056893+0.006677i,-0.00067176+0.011725i,-0.0063225+0.043i,0.013953-0.0084109i,-0.014594+0.006289i,-0.021945-0.0043632i,0.018876-0.0010681i,0.022116+0.0072951i,-0.010006+0.0043796i
0.0015171+0.020184i,0.038328+0.017904i,0.047217-0.0075984i,0.016404-0.008611i,0.0081003-0.010775i,0.0097945-0.023766i,0.017549+0.004205i,0.033805+0.0084644i,0.021064+0.0013471i,0.0030827+0.003878i,0.0022796-0.00034143i,0.0022181-0.0021952i,0.00162+0.0021446i,0.0013915-0.002381i,-0.00020568-0.0018482i,0.0044879-0.00078486i,-0.0026653-0.006941i,-0.00060631-0.0012979i,0.00073349+0.0031186i,-0.0013861+0.0010501i,-0.0018338+0.0014521i,0.00078848+0.0026171i,-0.00043303+0.0023937i,-0.0023772-0.0047314i,0.0016543-0.0021316i,-0.0013866-0.0014553i,-0.00015128-0.0012573i,0.0015708+0.00017425i,0.00094746-6.5618e-05i,0.0020809-0.00012775i,-0.00029984+0.0018375i,0.00044582+0.0019969i,-0.00023437+0.0010859i,0.00071218-6.4436e-05i,0.00048418-0.00070324i,0.0078023+0.0029548i,-0.00092138-0.0014983i,-0.00033099-9.7781e-05i,0.0011368-0.00015007i,-0.0021325+0.0002216i,-0.00084487+0.00185i,-0.00055799+0.0024693i,0.011448-0.00095475i,0.0007864-0.00029286i,0.0033952+0.021555i,-0.0011554+0.042852i,0.025176+0.047941i,0.014999+0.024351i,0.024921-0.0073125i,0.017879+0.0023283i,-0.0057843+0.023188i,-0.02221+0.024916i,-0.029407+0.039578i,-0.029969+0.013504i,0.0079591-0.0045401i,0.0033516+0.0049329i,0.0088586+0.0032729i,0.0023534+0.013812i,-0.0039407+0.0019114i,0.001241-0.01656i,0.013094-0.0079264i,-0.013813+0.014456i,0.0020602-0.0016465i,0.00054861+0.0015292i,-0.00064718-0.00038187i,-0.00095526+0.00093453i,0.0045671-0.001392i,-0.0030863-0.0059125i,0.001355+0.0034012i,0.00035288-0.0062705i,-0.0046285-0.0036716i,-0.001238+0.0030517i,0.0011306-0.003126i,0.00099296-0.0026593i,0.016011-0.020661i,0.00068487+0.0055139i,-0.0024321-0.0030103i,-0.003161-0.0009458i,-0.004906-0.0056019i,0.0019336+0.0051087i,0.0015066-0.0062627i,0.0014521-0.00037005i,-0.0011791-0.0031673i,-0.0012457-0.0020369i,0.0041252+0.0036093i,-0.0005771+0.0011417i,0.0049223-0.0018546i,-0.0049155+0.0076781i,0.0025657+0.010743i,0.00044982+0.042311i,0.0066297-0.015517i,-0.016485+0.002926i,-0.023837+0.0031979i,0.013083-0.0057832i,0.022105+0.0011657i,-0.0082438+0.0054173i
0.0041898+0.019009i,0.040438+0.012179i,0.0427-0.016339i,0.010285-0.013528i,0.0046544-0.014435i,0.0050357-0.024461i,0.019577+0.00084053i,0.032951+0.0029492i,0.020403-0.0046772i,0.0042989+0.0038805i,0.0021348-0.00054147i,0.00096562-0.003358i,0.0029882+0.0014772i,0.00078414-0.002286i,-4.0831e-05-0.0019436i,0.0050074-0.0015349i,-0.0046666-0.00544i,-0.001232-0.00092459i,0.0014573+0.0021092i,-0.00090708+0.0020909i,-0.0014039+0.0019733i,0.00078944+0.0012545i,5.0597e-06+0.0024325i,-0.0042529-0.0022124i,-0.00012713-0.0022955i,-0.0016649-0.00057771i,-0.00062875-0.00094994i,0.0014329-4.8029e-05i,0.00049489-0.00065085i,0.0016165-0.0008127i,0.00071773+0.0014444i,0.0010989+0.001654i,0.00034455+0.0014171i,0.00058571-7.6018e-05i,-0.0003211-0.00026985i,0.0075875+0.0009657i,-0.0013409-0.00092155i,-0.00035093+0.00025689i,0.0012186-0.00013835i,-0.0015304+0.00034274i,-0.00018483+0.0023827i,0.00021298+0.0023709i,0.010314-0.0041337i,0.00066228+0.00029284i,0.0058202+0.01864i,0.005841+0.038483i,0.031169+0.040431i,0.020224+0.01998i,0.018725-0.012877i,0.015731-0.00044877i,0.0011469+0.025389i,-0.011892+0.028358i,-0.015354+0.042831i,-0.028869+0.019693i,0.0062392-0.0042769i,0.0045463+0.0034183i,0.0083465+0.00029606i,0.0070481+0.011516i,-0.0031757+0.0044497i,-0.0078717-0.012752i,0.0084727-0.010802i,-0.0098142+0.017372i,0.0012364-0.0032479i,0.00077189+0.00097009i,-0.00095637-0.00037823i,0.0010165+0.0011393i,0.0043251-0.0018404i,-0.0045651-0.0045475i,0.0034244+0.0019562i,-0.0027447-0.0066325i,-0.0051096-0.0015693i,0.0003405+0.002089i,0.00021767-0.0036175i,0.00036726-0.0038795i,0.0060541-0.022712i,0.0025116+0.0043864i,-0.0028851-0.0023178i,-0.0038279-0.00077214i,-0.0065184-0.0034897i,0.0022972+0.0041616i,-0.0010435-0.0077012i,0.0021958-0.0012798i,-0.0017096-0.0023845i,-0.0016031-0.0021201i,0.0052186+0.0024799i,6.7894e-05+0.0021449i,0.0033618-0.0028987i,-0.0038967+0.0088183i,0.0049507+0.0086678i,0.0083697+0.040745i,-0.0033834-0.019719i,-0.02037+0.0030019i,-0.021457+0.010689i,0.0075396-0.0058516i,0.019275-0.0053788i,-0.0064444+0.0039008i
0.0064025+0.017202i,0.042107+0.0054271i,0.037257-0.022654i,0.0044679-0.01427i,0.00042241-0.016435i,0.0010552-0.024588i,0.020818-0.0040034i,0.031903-0.0018975i,0.017827-0.0099181i,0.0057532+0.0028446i,0.0025899-0.00083223i,-0.00046423-0.0031048i,0.0036747-0.00026851i,0.00044772-0.0021331i,-0.00030575-0.0022082i,0.005417-0.0023598i,-0.0053041-0.0030082i,-0.0012641-0.0008202i,0.0013477+0.001105i,0.00013255+0.0023654i,-0.00080961+0.0021715i,0.00036269+0.00045992i,0.00055583+0.002351i,-0.0046604+0.00088213i,-0.0010477-0.0012826i,-0.0016471+0.000138i,-0.00086348-0.00058788i,0.0012673-0.0003458i,-0.00013638-0.00026052i,0.00092025-0.0013293i,0.0014114+0.00069335i,0.0014409+0.0012001i,0.0010402+0.0011661i,0.00080372-0.00011985i,-0.00026312+0.00063004i,0.0068499-0.0007841i,-0.0016197-0.00019374i,-7.2521e-05+0.00045777i,0.0012865-0.00073743i,-0.0010187+0.00026951i,0.00073002+0.0022925i,0.00086427+0.0020233i,0.007945-0.0065302i,0.00079412+0.00068102i,0.0070953+0.015826i,0.010369+0.033253i,0.035562+0.033205i,0.023629+0.013682i,0.012621-0.016018i,0.014209-0.00058795i,0.0087449+0.025471i,-0.0022985+0.029275i,-0.0023574+0.041138i,-0.025022+0.025765i,0.0050983-0.0048189i,0.0052812+0.0013109i,0.007805-0.0020091i,0.010353+0.0074947i,-0.00071301+0.0052202i,-0.012589-0.005792i,0.0033812-0.012003i,-0.0042647+0.018598i,-0.00063266-0.0038698i,0.00028463+0.00081118i,-0.0011784-4.4532e-05i,0.002248+8.3633e-05i,0.0038743-0.0016436i,-0.0051079-0.0025129i,0.0037796+0.00027572i,-0.0052432-0.0046277i,-0.0043316+0.00013568i,0.00051483+0.00066298i,-0.00064563-0.0043087i,-0.0011172-0.0043231i,-0.002463-0.020982i,0.0041088+0.002325i,-0.0036285-0.0016019i,-0.0042004+0.00075831i,-0.0068259-0.00072745i,0.0032196+0.0037835i,-0.0046078-0.0075752i,0.0023411-0.0028736i,-0.0019837-0.0021248i,-0.0021311-0.0025805i,0.0065365+0.0013818i,0.00099421+0.0024669i,0.0018744-0.0022432i,-0.0022721+0.0094515i,0.0063136+0.0063279i,0.015995+0.036591i,-0.014968-0.018i,-0.023755+0.0052409i,-0.015907+0.014589i,0.0046194-0.0047512i,0.013553-0.0091193i,-0.0079245+0.0028699i
0.007809+0.015371i,0.042337-0.0019777i,0.031824-0.027903i,0.00055802-0.013504i,-0.0038302-0.017099i,-0.003254-0.02469i,0.020285-0.010172i,0.030789-0.0068905i,0.013834-0.014103i,0.0066198+0.0011785i,0.0029177-0.0019074i,-0.0013909-0.0022728i,0.0030826-0.001936i,0.00019963-0.0019554i,-0.0010249-0.0024687i,0.0057306-0.0036814i,-0.0051488-0.0010624i,-0.0015981-0.0008501i,0.0012661+0.00065608i,0.0010054+0.0021472i,-0.00031532+0.0022876i,-0.00032381+0.00032838i,0.00092515+0.0020594i,-0.0032606+0.0036906i,-0.00093088-0.00026117i,-0.0013887+0.00090302i,-0.00099423-0.00020134i,0.00097862-0.00050506i,-0.00010552+2.3177e-06i,-1.5276e-05-0.0014064i,0.0016331-0.00022432i,0.00182+0.00074238i,0.0013919+0.00066759i,0.00071316-0.00077281i,0.00039036+0.00085732i,0.005923-0.0021584i,-0.0014128+0.00057362i,0.00027989+0.00053148i,0.00027448-0.0010813i,-0.00045724-0.00016736i,0.0015+0.0019689i,0.0013207+0.0015719i,0.005325-0.0073434i,0.0012475+0.0016443i,0.0075163+0.013887i,0.012867+0.029348i,0.038787+0.026009i,0.024493+0.0082506i,0.0063044-0.017731i,0.015761-6.1313e-06i,0.015762+0.022402i,0.0081524+0.026763i,0.0094453+0.035198i,-0.017719+0.03034i,0.0036875-0.0054132i,0.0046362-0.0017691i,0.006722-0.0044465i,0.01088+0.0023793i,0.00054956+0.004551i,-0.01341+0.0022141i,-0.0017453-0.010889i,0.00033356+0.016772i,-0.002484-0.0031376i,-3.9133e-05+0.0015536i,-0.001205+0.00040629i,0.0028984-0.0014668i,0.0046452-0.00076828i,-0.0041144-0.00088113i,0.0038253-0.00032979i,-0.0060785-0.0022818i,-0.0030904+0.00095621i,5.0946e-05+0.00023986i,-0.0030598-0.0048788i,-0.0025883-0.0036958i,-0.0094631-0.01741i,0.0043277-0.0003308i,-0.0040687-0.00032544i,-0.0029104+0.0020053i,-0.0060972+0.0015385i,0.0043599+0.0032088i,-0.0074981-0.005082i,0.0010211-0.00448i,-0.0027761-0.0016414i,-0.003951-0.0023872i,0.0073489-0.0013273i,0.0022359+0.002717i,0.0020659-0.0017348i,-5.7936e-05+0.010238i,0.0066185+0.0037334i,0.022508+0.030339i,-0.021858-0.0099474i,-0.026543+0.0099068i,-0.010356+0.016241i,0.0018345-0.0027885i,0.0086032-0.0089709i,-0.0085941+0.0032352i
