-0.0080276-0.039273i,-0.012694-0.042982i,0.0019153-0.045943i,-0.027563-0.02647i,-0.020534+0.014341i,-0.033207-0.031022i,-0.061007-0.059694i,-0.022743-0.071499i,-0.034747-0.076963i,0.00085181+0.015892i,-0.0068457+0.010137i,-0.0147+0.013552i,0.0015329+0.015871i,-0.0040244-0.0034164i,0.00072718+0.006385i,0.00068869+0.0371i,0.022903+0.05605i,0.00070517-0.00020193i,-0.005095-0.008291i,0.0086267+0.0043446i,0.0017773+0.00075841i,-0.0012823+0.0033739i,-0.00012305-0.0014142i,-0.034796-0.0094264i,-0.0023275-0.0070118i,-6.5727e-05+0.0041617i,0.0044727-3.1624e-05i,8.9178e-05+0.001202i,-0.00022567-0.00098323i,-0.00022258-0.0026361i,-0.0013628-0.0054172i,-0.0023544-0.004174i,-0.0015561-0.0082614i,0.0032415-0.0010585i,0.0032364-0.0027049i,-0.0023082+0.033774i,0.0064638-0.0048206i,0.0038555-0.0021672i,0.0046318+0.00010048i,-0.031913-0.004627i,-0.0001591+0.0001523i,0.01371-0.0060154i,0.0061254-5.6633e-05i,-0.0030961+0.0040417i,0.0025501+0.0015488i,-0.0035584+0.0073548i,0.012981-0.086969i,-0.007254-0.048634i,-0.024786-0.039066i,-0.020234-0.041816i,0.061935-0.018446i,0.026502-0.06244i,0.038192-0.045657i,0.028621-0.056487i,0.018788-0.01551i,0.0088238+0.0099997i,0.024962-0.034103i,-0.0079018-0.0048607i,0.001989-0.0031256i,-0.0051695-0.0063367i,0.0013676-0.031837i,-0.023838+0.030693i,0.0078783-0.010046i,-0.010728-0.0020448i,-0.0053448-0.00099756i,-0.0015808-0.014365i,-0.010306+0.0039539i,0.004215+0.0079699i,-0.011551+0.030245i,0.0059559+0.0075737i,-0.0053517-0.0013063i,-0.0016523-0.00181i,-0.0099452-0.0082598i,0.00069194-0.0037194i,-0.019538+0.012344i,0.0023782-0.012604i,-0.0091083-0.0025063i,-0.0059549-0.0027826i,0.0062992+0.0016977i,-0.0097307+0.0019524i,0.00112+0.00067615i,0.0055077+0.0092794i,0.0041712+0.00065788i,-0.0092338-0.010147i,0.0028245+0.0085066i,-0.020129+0.0067413i,0.0067652+0.002921i,-0.028816-0.0078401i,-0.033972+0.003473i,0.029239-0.086212i,0.01156-0.0098598i,-0.042978-0.026606i,-0.022182-0.0025406i,0.017988+0.011974i,-0.027127+0.012275i,-0.01184-0.0084582i
-0.033036+0.0015772i,-0.046616+0.017785i,-0.046438+0.042885i,-0.027791+0.0048105i,-0.00512+0.014059i,-0.0081668+0.031598i,-0.02922+0.018112i,-0.055605+0.023362i,-0.020703+0.021629i,0.0015716-0.0089041i,0.0015451-0.0016051i,0.0035671+0.00030939i,0.0026914+0.0080248i,-0.0041308+0.0013406i,0.001709+0.0023233i,0.00079766-0.0092334i,-0.011936-0.010009i,-0.0042796+0.0008765i,0.0045442-0.0021145i,0.0012619-0.0013256i,0.0022686-0.0044383i,0.0017846-0.0040281i,0.001964-0.0035119i,-0.010566-0.011277i,-0.0024467-0.00027283i,-0.0040977+0.00014105i,-0.0033357-0.0012051i,-0.005157-0.0011598i,-0.0012938-0.0023504i,0.0012911-0.0018022i,-0.0036874+0.00394i,0.00097914+0.0017011i,0.0022765+0.0020093i,0.0018737+0.00063729i,-0.0015035+0.0029298i,-0.0032945-0.0084329i,-0.0028361+0.0012504i,0.0013663+2.82e-06i,-0.00037921+0.0042014i,0.011041+0.0077487i,0.00073852-0.0033586i,0.00074283-0.00016636i,-0.0044701-0.004183i,0.0017935+0.0038045i,-0.018967-0.016791i,-0.00053979-0.061459i,-0.087353-0.0098617i,-0.023093-0.020128i,-0.04779-0.040043i,-0.043624-0.0060678i,-0.093596+0.014484i,-0.062252+0.001077i,-0.037069-0.027758i,-0.029946-0.054806i,-0.030493-0.030346i,-0.00057141+0.0020041i,-0.02553+0.013541i,0.0043671+0.017173i,0.0043563+0.0074336i,-0.00055413-0.0076747i,0.0082599+0.0033185i,-0.0099431-0.005528i,0.0025489+0.012153i,-0.0016414+0.0081221i,-0.0012573-0.0024558i,0.00593+0.0026544i,0.0032746-0.0010101i,-0.0039607+0.019744i,0.00096817+0.013528i,0.0013437-0.0039079i,0.010474-0.0074814i,0.0033026+0.0034231i,-0.0071981-0.0079583i,-0.0025876-0.0013851i,0.02745-0.023486i,0.0084824+0.0085533i,0.0042718+0.0027209i,-0.0019296+0.0027568i,0.0030332-0.0041955i,0.020318+0.0020678i,0.0017421-0.002081i,-0.0017006-0.0067938i,0.0012116-0.0025911i,0.012748+0.0042255i,0.0049861+0.00053943i,0.0033465-0.0063978i,0.0032917+0.0065085i,0.0043191+0.0028991i,0.017333+0.0012469i,-0.066954-0.0433i,-0.010434+0.010434i,-0.0056967-0.0041417i,-0.0060836+0.0032334i,-0.035963+0.010618i,-0.005973+0.0082148i,-0.01516+0.0039097i
-0.030704+0.0054913i,-0.042708+0.02212i,-0.034429+0.043864i,-0.027184+0.011097i,-0.0036512+0.011489i,-0.0024877+0.031348i,-0.027088+0.022401i,-0.047861+0.030209i,-0.015291+0.018195i,-0.0017505-0.0081868i,0.0012617-0.00087984i,0.0033002-0.001538i,0.0050086+0.0057049i,-0.0024609+0.0033204i,0.001995+0.0023241i,-0.0045326-0.0064775i,-0.018071-0.0018304i,-0.0034829+0.0022178i,0.0046866-0.0029834i,0.0013094-0.0018802i,0.00085844-0.0044171i,0.0018993-0.0031973i,0.0014857-0.0035154i,-0.012087-0.0065933i,-0.0019711-3.4516e-05i,-0.004157+0.0014856i,-0.0028063+9.3583e-05i,-0.0043682+0.00042409i,-0.0017579-0.0020886i,0.00081388-0.0018636i,-0.0021224+0.0052937i,0.001086+0.0014944i,0.0036925+0.0012474i,0.00054917+7.2354e-05i,-0.0019339+0.0026213i,-0.0035585-0.0071364i,-0.0018361+0.001669i,7.0343e-05-0.0006941i,8.1985e-05+0.0050228i,0.011689+0.00038954i,0.00032458-0.0042893i,0.00019898-0.00069943i,-0.0062739-0.0031795i,0.0028997+0.0034059i,-0.020489-0.01881i,-0.018994-0.067582i,-0.082749+0.005685i,-0.029664-0.021315i,-0.058985-0.0323i,-0.041132+0.0034995i,-0.081602+0.035236i,-0.059238+0.014672i,-0.028589-0.028272i,-0.03692-0.050482i,-0.061177-0.019404i,-0.00084433+0.00018865i,-0.017866+0.02377i,0.0091286+0.011483i,0.0061478+0.0029406i,-0.0061986-0.012845i,0.0043014+0.0027526i,-0.011574+0.0016712i,0.0075092+0.0091205i,0.0018896+0.0097276i,-0.0018889-0.0015397i,0.006509+0.0033176i,0.0033942-0.00090528i,0.0056351+0.01606i,0.0065765+0.0079056i,-0.0029716-0.0055429i,0.002839-0.0086965i,0.0041578+0.0034662i,-0.0098747-0.00055172i,-0.0024108+0.001448i,0.012965-0.029693i,0.011165+0.0057816i,0.006979+0.0017971i,0.0008749+0.0020352i,-0.00019797-0.0020413i,0.017589-0.0065736i,-0.00011458-0.0026045i,-0.0046812-0.0050594i,-0.0020804-0.0019887i,0.011716+0.00014988i,0.0046589+0.00066155i,0.00094516-0.0041878i,0.0052988+0.0055151i,0.0037042+0.0022114i,0.015732-0.0042599i,-0.072712-0.033649i,-0.0029822-0.00070389i,-0.0062383-0.0035055i,-0.0057033+0.0024742i,-0.030361+0.020869i,-0.003467+0.0090087i,-0.015824+0.0049253i
-0.027561+0.0081809i,-0.039698+0.026899i,-0.026673+0.042035i,-0.024003+0.015018i,-0.0012646+0.011326i,0.0029946+0.029888i,-0.023479+0.02676i,-0.040653+0.034045i,-0.015636+0.014907i,-0.0032112-0.0055368i,0.0020403-0.0004468i,-0.00048659-0.0023106i,0.0056728+0.0036797i,-0.001599+0.0038815i,0.0027374+0.0023199i,-0.0076294-0.00094155i,-0.017637+0.0081646i,-0.0013327+0.0034642i,0.0045388-0.0051055i,0.0013799-0.003006i,-0.00051247-0.0043187i,0.002121-0.0042437i,0.0010646-0.0040549i,-0.012669-0.003364i,-0.0023937+0.0004313i,-0.0029687+0.0032205i,-0.0022333+0.00058695i,-0.0028821+0.0018548i,-0.0022902-0.0019594i,-3.0391e-05-0.0026604i,-0.00013431+0.0057216i,0.0014387+0.0011331i,0.0036423+0.0010179i,0.00050921-0.00016651i,-0.0011202+0.0044252i,-0.0037393-0.0065232i,-0.0019721+0.0021648i,-0.00088885-0.00054377i,0.0040027+0.0033909i,0.0085373-0.0035136i,-0.0013087-0.0018566i,0.00055891-2.0111e-05i,-0.0087055-0.0017149i,0.0037429+0.0015992i,-0.024414-0.019067i,-0.040644-0.064156i,-0.07273+0.017125i,-0.036144-0.018321i,-0.065376-0.020835i,-0.034111+0.010075i,-0.061886+0.048623i,-0.044707+0.027i,-0.031304-0.033005i,-0.043067-0.047084i,-0.042664+0.015119i,-0.0015815-0.00068158i,-0.0062246+0.027182i,0.010276+0.0064311i,0.0032958-0.0013622i,-0.02008-0.011441i,0.0034429+0.0022801i,-0.0076589+0.0070621i,0.0094584+0.0038955i,0.0046278+0.0093673i,-0.0040816+0.00052529i,0.0074691-0.00039301i,0.003743-0.0026187i,0.008575+0.0095941i,0.0061601+0.0028943i,-0.0077302-0.0024723i,0.00013222-0.0059657i,0.0065605+0.002563i,-0.0071695+0.0086147i,-0.00021968+0.0026709i,-0.0051241-0.027675i,0.013531+0.0005697i,0.0088981-0.0021967i,0.00098371+9.3634e-05i,0.00080808+7.1809e-05i,0.01142-0.011237i,-0.0029546+0.00071393i,-0.0060476-0.0019696i,-0.0034539+0.0017371i,0.0085632-0.0026544i,0.0077868-0.0014699i,0.0016571-0.003694i,0.0089744+0.0025774i,0.0054593+0.00089161i,0.012571-0.0090295i,-0.076234-0.020751i,-0.0088662-0.011659i,-0.0045623-0.0037921i,-0.005984+0.0018679i,-0.021277+0.026461i,-0.002329+0.0038213i,-0.011013+0.0037846i
-0.024554+0.0093127i,-0.035795+0.032201i,-0.021471+0.040814i,-0.019637+0.019225i,0.0024905+0.0086417i,0.0076873+0.027302i,-0.0181+0.030528i,-0.03456+0.036058i,-0.017258+0.016131i,-0.0041153-0.0043166i,0.0020851-0.0015809i,-0.0024743+0.0010292i,0.0054731+0.0018366i,-0.0010833+0.005303i,0.0031786+0.0017418i,-0.0060955+0.0054059i,-0.011819+0.016527i,0.00051992+0.0026479i,0.0019316-0.0067004i,1.2448e-05-0.0042404i,-0.0016111-0.0038027i,0.0013862-0.0050293i,-9.1027e-05-0.0050638i,-0.012477+0.00031381i,-0.0018746+0.00084519i,-0.0011144+0.0031222i,-0.0019857+0.00069708i,-0.00094269+0.0018323i,-0.0030404-0.00062576i,-0.001583-0.0023689i,0.0021123+0.0055271i,0.0013871+0.00052401i,0.0020129-0.0014439i,0.00043077+6.2415e-05i,0.0016012+0.0044495i,-0.0045256-0.0069048i,-0.0014889+0.0033356i,-0.0014953+0.00012675i,0.0034164-0.00035744i,0.0063051-0.0050977i,-0.00092217-0.0017915i,0.0013413-0.00036876i,-0.0096702+0.00088677i,0.002087-0.0011808i,-0.029829-0.017604i,-0.057544-0.048904i,-0.063355+0.022435i,-0.041457-0.01289i,-0.068956-0.0086885i,-0.026273+0.01183i,-0.043331+0.0521i,-0.029212+0.026542i,-0.035376-0.030216i,-0.049742-0.040281i,-0.032293+0.016639i,-0.0030337-0.00065751i,0.0032209+0.02545i,0.010809+0.0019272i,-0.00121-0.0018241i,-0.027779-0.00021583i,0.0011486+0.0030972i,-0.002966+0.0077868i,0.0076045-0.0011601i,0.007917+0.0083755i,-0.0035884+0.0037625i,0.0039163-0.0023903i,0.0030318-0.0049486i,0.007901+0.0031175i,0.0033118+0.00085311i,-0.0080932+0.0015351i,-0.0014769-0.0043804i,0.0072731+0.00030937i,0.0025343+0.010008i,0.0012712+0.001631i,-0.011446-0.024665i,0.01234-0.00405i,0.004681-0.0043684i,0.0016488+0.0012995i,0.0018043-0.00037844i,0.00596-0.011745i,-3.3019e-05+0.0032247i,-0.0059053+0.00098946i,-0.0008545+0.0041907i,0.0062089-0.0029571i,0.0064979-0.0063782i,1.1494e-05-0.0037348i,0.0084658-0.0030987i,0.0050737-0.0020096i,0.0083231-0.012821i,-0.074178-0.0071249i,-0.018026-0.013459i,-0.0053665-0.0075303i,-0.0059761+0.0014334i,-0.013212+0.026124i,-0.0063443+0.0025868i,-0.013211+0.0040112i
-0.022883+0.0099399i,-0.03151+0.036749i,-0.018398+0.040422i,-0.013526+0.021125i,0.004545+0.0044443i,0.011081+0.0248i,-0.011757+0.032311i,-0.029206+0.038594i,-0.015756+0.020019i,-0.0042178-0.0026098i,0.00096439-0.0021439i,-0.0012622+0.0039966i,0.0048225+0.00065977i,0.0014384+0.0065108i,0.0037006+0.0012389i,-0.0019987+0.0084236i,-0.0032448+0.020021i,0.0012224+0.0015434i,9.8258e-05-0.0062906i,-0.001886-0.0042762i,-0.0027927-0.0032726i,0.00021499-0.0051269i,-0.0022858-0.0049104i,-0.0099687+0.0036494i,-0.0022136+0.00064413i,-0.00037577+0.0020643i,-0.0020816+0.0010803i,-0.0001832+0.00091531i,-0.0027643+0.00084092i,-0.0018605-0.0010032i,0.0038218+0.004254i,0.00096964-7.4407e-05i,0.00091221-0.0013688i,0.00018989+3.3284e-05i,0.0025883+0.0030118i,-0.0065455-0.0069848i,-0.00041718+0.0041408i,-0.0012481+0.0014067i,0.0012774-0.00087338i,0.0035797-0.0053574i,-0.00098912-0.0020214i,0.0014241-0.001143i,-0.0016745+0.0013472i,-0.00033315-6.4439e-05i,-0.034497-0.012314i,-0.062035-0.029467i,-0.056765+0.024791i,-0.04626-0.0057985i,-0.071011+0.0051664i,-0.021642+0.0088323i,-0.027136+0.050912i,-0.019893+0.022575i,-0.037551-0.027083i,-0.052572-0.033789i,-0.026127+0.022567i,-0.0039793+0.00028101i,0.013575+0.020462i,0.0097516-0.00067351i,-0.0045313+0.00062131i,-0.028354+0.012941i,0.0013232+0.0049261i,0.00061557+0.0084602i,0.0032506-0.0023204i,0.011083+0.0054597i,-0.0017698+0.0057886i,0.0017002-0.0012001i,0.0017139-0.0068405i,0.0031537+0.0017453i,0.0012508+0.0020976i,-0.007685+0.0064788i,-0.0027084-0.0018486i,0.0069855-0.0023065i,0.0063154+0.0051361i,0.0018664+0.00079495i,-0.014593-0.021982i,0.009274-0.0078197i,0.0030614-0.0055329i,0.0040305+0.0010205i,0.0017031-0.00080949i,0.0030793-0.010516i,0.0023444+0.0026928i,-0.0038252+0.0042622i,0.0022166+0.004145i,0.0055683-0.0031925i,0.0028014-0.010578i,3.9927e-05-0.0028334i,0.0041501-0.0064452i,0.0029516-0.0035752i,0.0020649-0.015096i,-0.068484+0.0014778i,-0.029142-0.0061659i,-0.0086447-0.0094978i,-0.0057227+0.00054903i,-0.0077684+0.025341i,-0.0095976+0.0054598i,-0.013202+0.0071688i
-0.021823+0.010933i,-0.026481+0.041089i,-0.015797+0.042613i,-0.0071953+0.020787i,0.0034706-0.00048589i,0.014824+0.022405i,-0.0052182+0.032027i,-0.024012+0.041172i,-0.012177+0.021486i,-0.0046757-0.0017187i,-0.0007277-0.0019725i,0.0011538+0.0053411i,0.0039048+0.00010191i,0.0040438+0.0053477i,0.0037422+0.00050409i,0.0021356+0.0089905i,0.0059562+0.019594i,0.0015898+0.001052i,-0.0016316-0.0060358i,-0.0036912-0.0033145i,-0.0033142-0.0017925i,-0.00054434-0.0053076i,-0.0033635-0.003502i,-0.0081329+0.0042192i,-0.0027675+0.0016351i,-0.00036326+0.0018535i,-0.0026848+0.0010132i,0.00013992-0.00015558i,-0.001559+0.0015968i,-0.001632-0.00042283i,0.0046747+0.0026401i,0.00077792-0.00039872i,0.00040083-0.0010042i,-0.00011104-0.00022579i,0.0031119+0.0023364i,-0.0089958-0.0056681i,0.00061578+0.0036134i,2.6516e-07+0.0016965i,0.00054349-0.00086938i,0.0018278-0.0045033i,-0.0015411-0.0018455i,0.00072185-0.0017361i,-0.0044955+0.0066917i,-0.00045011+0.0018835i,-0.037319-0.0052686i,-0.057784-0.016451i,-0.05279+0.027849i,-0.047927+0.0052073i,-0.06612+0.021932i,-0.023529+0.0067994i,-0.015131+0.045546i,-0.012934+0.018012i,-0.038929-0.022744i,-0.056671-0.027215i,-0.01781+0.024645i,-0.0047781+0.0020193i,0.017522+0.0074766i,0.0087407-0.0045895i,-0.0057834+0.0047886i,-0.019615+0.024878i,0.0030384+0.0049463i,0.0055201+0.0066298i,0.0011869-0.00031646i,0.012734-0.00064167i,0.00044636+0.0068907i,0.0012104-0.00028005i,-0.0032791-0.0089119i,0.0016812+0.0039607i,0.0016909+0.0040177i,-0.0018134+0.01123i,-0.0014737+0.00025671i,0.0054503-0.0037945i,0.0086256+0.0017169i,0.0025124-0.00065258i,-0.021344-0.020525i,0.0050659-0.0092716i,0.00028344-0.0058993i,0.0029902-0.0011611i,0.0012276-0.00031801i,0.0019478-0.0089761i,0.0034352+0.00076104i,-0.00066366+0.0055249i,0.0036012+0.0013031i,0.0044626-0.004134i,-0.0038695-0.010128i,-8.7027e-05-0.0035707i,0.00060752-0.0045295i,0.0019558-0.004871i,-0.0048524-0.013574i,-0.065851+0.0080368i,-0.026809+0.0073147i,-0.012819-0.0096665i,-0.0065476+0.00051888i,-0.004928+0.024931i,-0.0084669+0.010125i,-0.0087386+0.0087059i
-0.020743+0.012583i,-0.020431+0.045346i,-0.011031+0.045995i,-0.0043078+0.018566i,-0.00026809-0.0028654i,0.018393+0.019087i,0.00078254+0.030573i,-0.01875+0.043659i,-0.0088397+0.023167i,-0.0054685-1.9033e-05i,-0.0016604-9.4741e-05i,0.0041741+0.0054024i,0.0032702+0.00015363i,0.0051474+0.0029634i,0.0034586+3.8382e-05i,0.0057535+0.0078003i,0.01366+0.014611i,0.0017871+0.00079088i,-0.0028205-0.0054796i,-0.0047158-0.0012975i,-0.0026426-0.00051439i,-0.0020675-0.0056703i,-0.0038069-0.0021836i,-0.0081757+0.0051888i,-0.0022704+0.0028399i,-4.2321e-05+0.0021861i,-0.001289+0.0016406i,-0.0010029-0.0013274i,-0.0013671+0.0013867i,-0.0015243-0.00010679i,0.0053479+0.00094337i,0.0011088-0.00066158i,0.00053663-0.0019872i,-0.00019169+3.0955e-05i,0.0040304+0.00032513i,-0.011153-0.0034938i,0.0015357+0.0033484i,0.00046254+0.0011999i,-2.0772e-05-0.0010251i,0.00082797-0.0037278i,-0.0018926-0.00125i,0.00016212-0.0018195i,-0.0033575+0.0068321i,0.00039779+0.0023674i,-0.037158+0.0014562i,-0.054873-0.01114i,-0.048585+0.033208i,-0.04367+0.015043i,-0.056728+0.036013i,-0.024805+0.010166i,-0.0069007+0.040718i,-0.0099566+0.012743i,-0.039604-0.01875i,-0.059228-0.019067i,-0.012271+0.024944i,-0.0034847+0.002692i,0.010988-0.0032221i,0.0055141-0.0084135i,-0.0042333+0.0078608i,-0.0086701+0.027221i,0.0034096+0.0033725i,0.0080248+0.0012993i,0.0021979+0.00061592i,0.010391-0.004647i,0.0049957+0.0069584i,0.0013959+0.0015594i,-0.0082969-0.003305i,0.0031109+0.0054586i,0.0032602+0.0053656i,0.0047+0.010966i,-0.00067709+0.00037153i,0.0041579-0.0050055i,0.0080553-0.0043119i,0.0007464-0.001544i,-0.029656-0.01254i,0.001806-0.0091175i,-0.0017808-0.0039941i,0.003609-0.00017731i,0.0012036-0.00046555i,0.0018921-0.0099842i,0.0031054-0.0010289i,0.0017769+0.0041334i,0.0035707+0.00065746i,0.0035471-0.0039552i,-0.0071528-0.0057609i,-0.0020621-0.0041855i,-0.001401-0.0044698i,-9.8475e-05-0.0059155i,-0.0094365-0.0096201i,-0.061533+0.015363i,-0.021532+0.0091127i,-0.012989-0.0075428i,-0.0069331+0.00077668i,-0.00017225+0.023785i,-0.0072601+0.011528i,-0.0066021+0.0074367i
-0.019434+0.014095i,-0.012867+0.048563i,-0.0040219+0.050254i,-0.0039085+0.01637i,-0.0041782-0.0023319i,0.021141+0.015349i,0.0061031+0.027993i,-0.012181+0.046239i,-0.0045359+0.023978i,-0.0060368+0.0019341i,-0.00067293+0.0014944i,0.0069067+0.0029132i,0.0032874+0.00026806i,0.0045707+0.0015227i,0.00356-0.00019877i,0.0082867+0.0047223i,0.016862+0.0080483i,0.0022256-0.00041738i,-0.0039615-0.0046619i,-0.0043664+0.00068038i,-0.0018606+0.00010824i,-0.003608-0.0043438i,-0.0037102-0.0011851i,-0.0064905+0.0079318i,-0.0013029+0.0041271i,0.00094338+0.0022414i,-0.0007679+0.0022333i,-0.0029922-0.00086927i,-0.0011006+0.0018225i,-0.001476+0.00036732i,0.0050517-0.0010097i,0.0010506-0.0016816i,0.00064805-0.0024705i,-1.7271e-06+0.0001806i,0.0029624-0.0014375i,-0.012357-1.3012e-05i,0.0023105+0.0028941i,0.00067421+0.0011153i,-0.00086962-0.0010347i,0.00058961-0.0029128i,-0.0019152-0.0011127i,-0.00013554-0.0018007i,-0.0024738+0.007186i,0.0011903+0.0026307i,-0.03615+0.0064645i,-0.056102-0.0067437i,-0.043278+0.037683i,-0.039263+0.022414i,-0.04368+0.044574i,-0.025187+0.01351i,0.00075461+0.035354i,-0.0086327+0.009968i,-0.0397-0.014984i,-0.060238-0.0092224i,-0.0077804+0.025163i,-0.0025327+0.0030728i,0.0039583-0.004237i,0.00068902-0.010203i,-0.00086376+0.010877i,-5.8434e-05+0.025443i,0.0024813+0.0018712i,0.0069012-0.0037992i,0.0018336+0.00053218i,0.0073238-0.0079678i,0.0087345+0.0041272i,0.0028281+0.0022232i,-0.0076771+0.0010602i,0.0050377+0.0065375i,0.0056439+0.0060194i,0.010838+0.0086008i,-0.0002747+0.00087874i,0.0034343-0.0058432i,0.0051468-0.0080772i,-0.00013899+0.00013061i,-0.030704-0.0018145i,-8.0364e-05-0.0082779i,-0.0023296-0.0020707i,0.0056286-0.00023945i,0.0010427-0.00035383i,-0.00035669-0.01215i,0.0019472-0.001799i,0.0034728+0.0030561i,0.0040128-0.00055243i,0.0039685-0.0045804i,-0.0087796-0.0024587i,-0.0043611-0.0022735i,-0.0040594-0.0027657i,-0.0021752-0.0061849i,-0.011092-0.0048531i,-0.05744+0.021137i,-0.020381+0.010336i,-0.013036-0.0084077i,-0.0074486+0.0016424i,0.0014375+0.02224i,-0.006782+0.012566i,-0.0052867+0.0066129i
-0.017703+0.015858i,-0.0036613+0.049944i,0.0062126+0.052483i,-0.0037428+0.016162i,-0.0059985+0.00073979i,0.023566+0.011336i,0.010135+0.024034i,-0.0038739+0.047459i,-1.9088e-05+0.023506i,-0.0056695+0.0036837i,0.0004345+0.0013452i,0.0072701-0.00088956i,0.0037892-9.7633e-05i,0.0044482+0.00065864i,0.0037279-0.00074304i,0.0083083+0.001142i,0.017095+0.0014853i,0.00096196-0.0015803i,-0.0054572-0.002989i,-0.0034689+0.0018043i,-0.00089694+3.8083e-05i,-0.004092-0.0032572i,-0.003555-0.00023074i,-0.0036057+0.0097546i,0.00060456+0.0043733i,0.0017397+0.0016126i,0.00015178+0.0025833i,-0.0034173+0.00084551i,-0.00040733+0.0018034i,-0.0012155+0.00067964i,0.0040153-0.0025883i,-2.6785e-05-0.0021517i,-0.0017739-0.00020617i,-8.8356e-05+2.2158e-05i,0.0016159-0.0020395i,-0.011633+0.0040812i,0.0028518+0.0019035i,0.0010656+0.00093174i,-0.0016769-0.00035355i,0.00034624-0.002584i,-0.0022423-0.0009903i,-0.00060113-0.0020764i,-0.0013748+0.0076412i,0.0021636+0.0025985i,-0.03525+0.012091i,-0.05981+0.0014629i,-0.036669+0.040714i,-0.031908+0.028213i,-0.030464+0.049685i,-0.024432+0.020351i,0.0074215+0.027437i,-0.0042681+0.0074862i,-0.039658-0.010928i,-0.058081+0.0012508i,-0.0024969+0.0264i,-0.0022054+0.0029734i,-0.00012899-0.003653i,-0.0047853-0.0097396i,0.0050476+0.010673i,0.0066708+0.024573i,0.00033494+0.0012345i,0.0042829-0.0078581i,0.0029798+0.0021096i,0.0027347-0.0095754i,0.0099845-0.0012963i,0.0045967+0.0016981i,-0.0068514+0.0045707i,0.009391+0.0063482i,0.0094471+0.0039336i,0.012533+0.003267i,0.00080581+0.0014764i,0.0016491-0.0066592i,-3.1262e-05-0.0089425i,0.0013453+0.0017613i,-0.028087+0.0094293i,-0.0021894-0.0080557i,-0.0017817-0.00030377i,0.0064595-0.0057856i,0.001438+1.4548e-05i,-0.0056013-0.012635i,0.00089051-0.0015658i,0.004278+0.0013181i,0.0038823-0.0014325i,0.0029287-0.0060378i,-0.0086012+0.002262i,-0.0043522+0.00092592i,-0.0052434+0.00020909i,-0.004668-0.006324i,-0.010703-0.00095532i,-0.053725+0.027032i,-0.019608+0.016175i,-0.015185-0.010732i,-0.0051614+0.003113i,0.0044049+0.021662i,-0.0063834+0.015403i,-0.0035014+0.0048285i
-0.015533+0.017071i,0.0052271+0.048715i,0.016595+0.050841i,-0.0026814+0.017168i,-0.0053819+0.0041314i,0.025524+0.0067003i,0.012758+0.019883i,0.0043984+0.045731i,0.0036765+0.021854i,-0.0044127+0.0050825i,0.0006273+0.0011418i,0.0053876-0.00354i,0.0037228-0.0014324i,0.0040962-4.2588e-05i,0.0034966-0.0015374i,0.0065235-0.00086784i,0.015628-0.0030814i,-2.3981e-05-0.0011572i,-0.0056221-0.00096071i,-0.001467+0.003636i,-0.00018757-0.00044289i,-0.0045553-0.0026795i,-0.002967+0.00049282i,0.00013972+0.010237i,0.0024163+0.0035046i,0.0019503+0.00098477i,0.0011625+0.0023106i,-0.0028744+0.0022796i,4.4829e-05+0.0014749i,-0.0011281+0.0010276i,0.0023719-0.003427i,-0.00092324-0.0018267i,-0.00059182-0.00055814i,-0.00031424+6.668e-05i,0.00061615-0.0022632i,-0.009562+0.0074504i,0.003058+0.00067681i,0.0011113+0.00027087i,-0.001768+0.0006922i,0.00017143-0.0027306i,-0.0024472-0.00018359i,-0.0012612-0.0026711i,6.7702e-05+0.0082283i,0.0031863+0.0019685i,-0.032778+0.01783i,-0.059439+0.01387i,-0.032331+0.042734i,-0.024703+0.031054i,-0.016351+0.051577i,-0.018399+0.028975i,0.0066833+0.019665i,-0.0019551+0.00069959i,-0.037524-0.0075189i,-0.052791+0.011778i,0.0050933+0.024931i,-0.0022781+0.0033451i,-0.0042431-0.0014248i,-0.0089513-0.0069021i,0.008701+0.006481i,0.010756+0.016592i,-0.0024034+0.0027975i,0.00025399-0.010894i,0.0052101+0.00052219i,-0.0019382-0.0085759i,0.0074113-0.0051738i,0.0058871-0.00048036i,-0.0050291+0.0072577i,0.013413+0.0016435i,0.010896-0.0015275i,0.011476-0.0033783i,0.0026754+0.0010733i,-0.00061032-0.0068526i,-0.0039393-0.0058114i,0.0035218+0.00050519i,-0.026534+0.01473i,-0.0038299-0.0072891i,-0.00046732+0.00078831i,0.0019464-0.0077073i,0.0020135+1.1766e-05i,-0.011019-0.0098908i,0.00093782-0.00091092i,0.0045343-0.00095885i,0.0028514-0.0024737i,0.0012988-0.0065598i,-0.0060898+0.0061294i,-0.0027506+0.0026188i,-0.0047421+0.0038551i,-0.008093-0.0053514i,-0.0097656+0.0015944i,-0.048171+0.034325i,-0.011192+0.020719i,-0.019428-0.010729i,-0.0027509+0.0015778i,0.0064043+0.020171i,-0.0034766+0.018365i,-0.0029261+0.0016007i
