-0.032616-0.039788i,-0.021135-0.01979i,-0.012796-0.035873i,-0.029611-0.019812i,-0.022365-0.0002712i,-0.013971-0.0057686i,-0.055276-0.059081i,-0.047146-0.017189i,-0.036346-0.014196i,0.012838+0.012298i,-0.0075585+0.0045067i,-0.019458+0.019216i,0.0021866+0.011331i,-0.0056417-0.0022853i,0.00017568+0.00145i,-0.0018676+0.031206i,0.025268+0.023276i,0.0022308-0.0024448i,-0.0022978-0.0073673i,0.0074292+0.0017385i,0.0023998+0.00096747i,0.00019336+0.0034338i,-0.00036851+0.00035477i,-0.038417-0.0096782i,0.0010628-0.0077761i,0.0015604+0.0021178i,0.0070721+0.00075228i,0.0017482+0.00075992i,0.0010813-0.00050571i,-0.00053356-0.0026103i,0.0014351-0.0024472i,-0.002143-0.0064194i,-0.00081111-0.0046903i,0.0028926-0.00072319i,0.0044382-0.0033756i,0.00010757+0.029409i,0.0041791-0.0036582i,0.0028531-0.0016173i,0.0084313-0.0019138i,-0.0071656-0.0042489i,-0.00018151+0.00084147i,0.0086231-0.00023714i,0.0045349-0.0025242i,-0.0015968+0.0080469i,-0.017505-0.0079817i,-0.018998+0.014792i,-0.0028385-0.061052i,-0.0051017-0.026863i,-0.02625-0.032903i,-0.010756-0.0271i,0.055367-0.020195i,0.017519-0.042529i,0.023434-0.04805i,0.0050863-0.053118i,0.026813-0.02124i,0.0083174+0.0061987i,0.025148-0.035207i,-0.0080104-0.0071382i,0.0038191-0.004625i,-0.0041086-0.0074594i,-0.0015781-0.033679i,-0.018814+0.029093i,0.0086743-0.011899i,-0.008943-0.0038953i,-0.0041818-0.0016752i,0.000734-0.013077i,-0.011377+0.0047216i,0.0023134+0.0101i,-0.0054993+0.026225i,0.0050941+0.0026432i,-0.0055927-0.0021273i,-0.0020782-0.0021832i,-0.013113-0.0089087i,-0.00050588-0.0040504i,-0.030691+0.0091785i,0.0013641-0.010815i,-0.0084567-0.00024404i,-0.0070021-0.0024432i,0.0051718+0.0010564i,-0.0082146-0.00010761i,0.0021157+0.00012563i,0.0033051+0.0076019i,0.0041171+0.00021096i,-0.0067481-0.012266i,0.0028013+0.0094794i,-0.015152+0.0035918i,0.0067956-0.00028218i,-0.022417-0.0013137i,-0.017354+0.0064379i,-0.0094562-0.066895i,0.0079462-0.012489i,-0.049304-0.023047i,-0.020723+0.00022323i,0.017309+0.011682i,-0.022936+0.015461i,-0.020511-0.0044703i
0.026397+0.036371i,0.014014+0.014741i,0.01749+0.025275i,0.0061099+0.019226i,0.0084462+0.0071426i,0.0045899-0.00094651i,0.015317+0.012271i,0.015194-0.0020645i,0.0080515-0.0088377i,0.0025174+0.0039867i,0.0018779-0.0026463i,0.00061165-0.0049277i,-0.0019573+0.00082106i,0.0012268-0.0014354i,0.0018931-0.0005803i,0.0054466-0.0024547i,0.0088856-0.0028343i,0.00019718+0.00017623i,-0.0047086-0.0004001i,-2.1094e-05+0.00060098i,-0.00084302-0.0010316i,-0.0026389-0.0012138i,-0.0015913+0.00090174i,0.003911+0.010221i,-0.001048+0.001325i,0.00032252+0.0018248i,0.0011249+0.00080784i,-0.001941+0.002761i,-0.00080588+0.00025054i,-0.0014538+0.00047313i,-0.0012627-0.0014396i,-0.0044731-5.8557e-05i,-0.00011709+0.00017712i,0.00017429+0.00045481i,-9.9708e-05-0.00073195i,-0.010153+0.0092947i,0.0015387-0.00051519i,0.00066299+0.0010272i,0.002856+0.0020618i,-0.00036006-0.00059749i,-0.00075337-0.00041713i,-0.00053284-0.0023641i,0.0010205+0.00023315i,-0.00098396+0.00086768i,0.020618+0.013067i,-0.023571+0.012021i,-0.011874+0.016994i,-0.022599+0.011464i,-0.0044357+0.038127i,-0.020241+0.020337i,0.0024181-0.004429i,-0.011492-0.016906i,-0.018421-0.00097618i,-0.0083667+0.013894i,0.018365+0.02005i,-0.00036394+0.0023931i,-0.0038916+0.00083989i,-0.012507-0.0043917i,0.011537+0.0013159i,0.01218+0.0095689i,-0.00026631+0.0057161i,-0.0049346-0.0072867i,0.0062765-0.0026581i,-0.0033413-0.004271i,0.0037176-0.0085205i,0.0088311-0.0030349i,-0.0015759+0.010655i,0.011888-0.005512i,0.0046698-0.007968i,0.002285-0.0091563i,0.0022935+0.0007806i,-0.0021794-0.0054818i,-0.0037234-0.0013794i,0.0025943-0.00016647i,-0.0029592+0.030009i,-0.0082862-0.0032157i,0.0001236+0.0010713i,-0.0016254-0.0075317i,0.0031296-0.0004358i,-0.016348-0.0069814i,-0.0011756-0.0037886i,0.0027093-0.0022769i,0.0031777-0.0013609i,-0.0021793-0.0075838i,6.3485e-05+0.0069701i,-6.7948e-06+0.0033067i,-0.0036577+0.0046511i,-0.0068492+0.0027585i,-0.0063065-0.0013133i,-0.0051681+0.028461i,-0.0022956+0.014623i,-0.028093-0.01036i,-0.0014466-0.0024708i,0.013948+0.018794i,0.00022157+0.017557i,-0.00077397-0.0047456i
0.032322+0.030312i,0.016531+0.010972i,0.021742+0.022045i,0.0094199+0.018854i,0.010471+0.0058517i,0.0047359-0.0023322i,0.015379+0.0085742i,0.014717-0.0044662i,0.0056815-0.010385i,0.003556+0.0026605i,0.0016296-0.0027399i,-0.0012425-0.0034642i,-0.0014586+0.0015112i,0.0009585-0.00043621i,0.001723-0.0008936i,0.0043101-0.0029044i,0.0073808-0.005566i,0.00057918+0.00013625i,-0.003594-0.00079898i,0.00031723+2.8122e-05i,-0.00093867-0.0012393i,-0.0028235-0.0005451i,-0.0012425+0.0010163i,0.0095032+0.0079508i,-0.00086295+0.0025931i,0.0012083+0.0015427i,0.0010466-6.1197e-05i,-0.00070916+0.003087i,-0.0010913+0.00068835i,-0.0012659+0.0011421i,-0.0019167-0.00081755i,-0.0019465+0.00085123i,-0.00031719+0.00010397i,0.00033214+0.00013471i,-0.00059261-0.00014155i,-0.0060956+0.010913i,0.00094617-0.00093045i,0.0010741+0.00098922i,0.0023509+0.00091341i,-0.0001518-0.00060082i,-0.0011186-0.00052324i,-0.00095848-0.0014298i,0.00059049+0.00037661i,-0.0014526+0.00093498i,0.023559+0.0096341i,-0.019202+0.015664i,-0.010987+0.01947i,-0.017714+0.013301i,0.0073328+0.034148i,-0.013474+0.019076i,-0.0043617-0.0078589i,-0.018984-0.018128i,-0.020198-0.0013431i,-0.0016296+0.010039i,0.020836+0.01331i,-0.00090717+0.002273i,-0.0026866+0.0045824i,-0.012695+3.7744e-05i,0.010183-0.0028813i,0.013864+0.0061197i,0.0026897+0.0081385i,-0.009202-0.0058988i,0.0024263-0.0045425i,-0.0035299-0.0020461i,-0.0013568-0.007928i,0.0068557-0.0057011i,0.0032871+0.0086289i,0.0070007-0.0082318i,0.0006284-0.0080481i,-0.0013761-0.0060385i,0.0037876-8.2128e-06i,-0.0034995-0.0046777i,-0.0021108+0.0011524i,0.0032552-0.000493i,0.011051+0.024611i,-0.01109-8.1164e-05i,0.00088666+0.00043464i,-0.0048117-0.0059313i,0.0037064-0.001711i,-0.017053+0.00067598i,-0.0016599-0.0030756i,0.0014869-0.0023042i,0.0031144-0.0027826i,-0.0041147-0.0055729i,0.0022565+0.0032823i,0.0012898+0.0025225i,-0.00080522+0.005986i,-0.004539+0.0049093i,-0.0070149-0.00022808i,0.00079209+0.024235i,0.00018475+0.015982i,-0.029179-0.0040528i,-0.0031347-0.0061172i,0.016875+0.015926i,0.003425+0.018428i,-0.0034096-0.0050301i
0.03627+0.02315i,0.017407+0.0062998i,0.026369+0.016317i,0.014113+0.016381i,0.012743+0.0038376i,0.0044278-0.0039892i,0.014786+0.0049544i,0.013783-0.0074036i,0.003561-0.010577i,0.0035451+0.0013351i,0.00081918-0.0033586i,-0.0014767-0.0016744i,-0.00079795+0.0016882i,0.0016548-0.00041238i,0.0015064-0.0011945i,0.0032554-0.0033107i,0.00442-0.0078724i,0.00058361-0.00027218i,-0.0027129+0.0015203i,9.4282e-06-0.00070167i,-0.0017937-0.0016478i,-0.0025923+9.6742e-05i,-0.00099253+0.0010961i,0.012191+0.0023131i,0.00053123+0.0032917i,0.0014126+0.00077529i,0.00048019-0.00045258i,0.00055138+0.0027345i,-0.00078312+0.0012961i,-0.00079609+0.001658i,-0.0022372+0.00023994i,-0.0019076+0.0018824i,-0.00028976+0.00021049i,0.00045073-0.00013135i,-0.00046893+0.00047387i,-0.0026131+0.011135i,0.00045528-0.00086633i,0.0014913+0.00039371i,0.00182+0.00038384i,-0.00028844-0.00067195i,-0.0015117-0.00012833i,-0.00090689-0.001335i,0.00074858+0.00062644i,-0.0018482+0.001584i,0.026865+0.0050776i,-0.014465+0.018152i,-0.0082266+0.022806i,-0.011975+0.012781i,0.01764+0.026844i,-0.0066289+0.01887i,-0.011748-0.0069757i,-0.025451-0.015677i,-0.019481+0.0021532i,0.0021982+0.0043623i,0.020936+0.0068665i,-0.0014193+0.0022436i,-0.0010623+0.0047398i,-0.012614+0.0031764i,0.0062123-0.0074677i,0.014455+0.0018958i,0.0063629+0.0081419i,-0.012204-0.0031903i,0.00044124-0.0032027i,-0.0033705-0.00016929i,-0.0038973-0.0053041i,0.0045599-0.0070196i,0.0059025+0.0074763i,0.0038969-0.0081462i,-0.0041991-0.0067171i,-0.0015679-0.0031422i,0.0043245-0.0023531i,-0.0059242-0.0037223i,-0.00012705+0.0010073i,0.0027249-0.0018885i,0.016824+0.015063i,-0.01142+0.0033558i,0.0014264-0.00016445i,-0.004388-0.0038318i,0.0039888-0.0037378i,-0.013699+0.0073328i,-0.0017631-0.0020305i,0.00053185-0.0023893i,0.0017393-0.0033972i,-0.0047128-0.0031404i,0.0012505+0.002171i,0.0019682+0.0015185i,0.0016051+0.0056672i,-0.0022351+0.0051277i,-0.0074937+0.0016034i,0.0031348+0.019798i,0.0072286+0.015261i,-0.028904+0.00045462i,-0.0059845-0.0084415i,0.019793+0.01063i,0.0079489+0.018992i,-0.0056786-0.0041633i
0.03838+0.016315i,0.016357+0.002807i,0.027917+0.0092608i,0.017256+0.011383i,0.014215+0.00061904i,0.0032422-0.0054562i,0.013435+0.0025223i,0.011899-0.0099814i,0.0021245-0.010876i,0.0030848+0.00078291i,-0.00016992-0.0026025i,-0.00088309-0.00086414i,-0.0005527+0.0017714i,0.0016383-0.00048128i,0.0010676-0.0014218i,0.0020321-0.0031523i,0.0011328-0.0074838i,0.00048066-0.00039078i,-0.0015134+0.0024203i,-0.0006617-0.00087584i,-0.0024514-0.00070317i,-0.0025098+0.00073163i,-0.00077454+0.0011776i,0.011123-0.003012i,0.0019902+0.0029826i,0.00091227+0.00057347i,0.00010218-0.00030594i,0.0011615+0.0020953i,-0.00022792+0.001352i,-0.0001216+0.0018941i,-0.0019211+0.0013765i,-0.00057606+0.002371i,-0.00030023+0.00022341i,0.00031288-0.00021985i,-0.00016193+0.00076306i,0.00099344+0.010653i,0.00022615-0.0008852i,0.0012943-0.00039614i,0.0015172+0.00038358i,-0.00063208-0.0004758i,-0.00149+0.00031412i,-0.0014968-0.0014526i,0.0010234+0.00073553i,-0.0017836+0.002804i,0.028753-0.0018179i,-0.0091569+0.01958i,-0.0033691+0.025608i,-0.0097619+0.0098532i,0.025437+0.014911i,0.000157+0.014771i,-0.018358-0.00212i,-0.032068-0.010079i,-0.020103+0.016975i,0.0023148-0.0019626i,0.019542+0.0001413i,-0.00168+0.0031873i,0.00017686+0.0062501i,-0.011888+0.0070929i,-0.00017034-0.0076217i,0.013868-0.0029986i,0.0098766+0.0060672i,-0.014129+0.0011799i,-0.00055937-0.0025434i,-0.0024449+0.0012028i,-0.0049678-0.0018874i,0.0026627-0.007748i,0.0084988+0.0037511i,0.0015984-0.0082024i,-0.0067434-0.000944i,-0.00067314-0.0018981i,0.0028379-0.0045885i,-0.0064248+0.00027121i,0.0010374+0.0005965i,0.0017601-0.0026996i,0.016437+0.0071218i,-0.0090129+0.0068288i,0.0017151-0.0011822i,-0.0042897-0.0020042i,0.002032-0.0062498i,-0.0080532+0.010297i,-0.0013617-0.0016546i,-0.00018756-0.0015628i,0.00054237-0.0034887i,-0.0042046-0.0022336i,0.00094674+0.0021498i,0.001723+0.00038151i,0.0041084+0.0047488i,-0.00052445+0.0039038i,-0.0076212+0.0034015i,0.0043736+0.017898i,0.015328+0.0085995i,-0.026714+0.0054994i,-0.010983-0.0093315i,0.018758+0.0050389i,0.012777+0.017279i,-0.0059143-0.0030678i
0.039996+0.0093564i,0.015866+0.00078761i,0.027934+0.0035473i,0.018508+0.0060528i,0.014466-0.002771i,0.0018961-0.0063221i,0.012341+0.0013692i,0.0096876-0.011903i,0.0007778-0.011394i,0.0029144+0.00031622i,-1.8505e-05-0.0022658i,-0.00033856-0.00076555i,-0.00029085+0.0021325i,0.0016546-0.00088871i,0.0006681-0.0013495i,0.0015053-0.002371i,-0.00048089-0.006411i,0.00024143-0.00039416i,-0.0004731+0.0022162i,-0.0012698-0.0006386i,-0.0024798-5.4894e-05i,-0.0018713+0.0014541i,-0.00049535+0.0013292i,0.0082261-0.0063496i,0.0031965+0.0021228i,0.00020409+0.00011111i,-0.00014631-0.00011262i,0.0015144+0.0015256i,8.319e-05+0.0012991i,0.0007608+0.0017881i,-0.0010889+0.0020767i,-0.00046703+0.0019905i,-0.00045263+0.00019659i,0.00027206-6.0901e-05i,0.00036521+0.0009552i,0.0040293+0.00912i,-0.00020126-0.00079132i,0.00078864-0.00070783i,0.0016838+0.00027509i,-0.00064231-0.00015563i,-0.0014631+0.0005154i,-0.0024448-0.0014501i,0.0011403+0.0003757i,-0.0010377+0.0032718i,0.027671-0.0089772i,-0.0032602+0.019578i,0.0032909+0.025985i,-0.009323+0.0093527i,0.026044+0.002241i,0.0027058+0.0092306i,-0.020699+0.0062448i,-0.035076-0.00053919i,-0.022854+0.019612i,-0.0012084-0.0065697i,0.015064-0.0045357i,-0.00097688+0.0041546i,0.0036678+0.0060937i,-0.0093536+0.010497i,-0.0035636-0.0042711i,0.010644-0.0085489i,0.012536+0.002416i,-0.015869+0.0069431i,-0.00098108-0.00073564i,-0.0013993+0.0018425i,-0.0031615+0.00041602i,-0.00067086-0.0073421i,0.0084594+0.00047071i,-0.00088741-0.0082185i,-0.004223+0.0033513i,0.00024378-0.0020498i,0.00065234-0.0057793i,-0.0044409+0.0025999i,0.0020238-0.00039457i,0.0010958-0.0027631i,0.015737+0.0017804i,-0.0046474+0.0089695i,0.0012328-0.0022705i,-0.0033562-0.0015271i,-0.00074362-0.0067726i,-0.0036017+0.010338i,-0.0012937-0.0024978i,-0.00013899-0.00031459i,0.00012923-0.0027844i,-0.0048155+0.00038519i,0.0016687+0.0021981i,0.00081517-0.00015538i,0.0049839+0.0018094i,-0.00068509+0.0022181i,-0.0066876+0.0056762i,0.0066218+0.016903i,0.017357-0.0037877i,-0.022195+0.0066166i,-0.015912-0.0073711i,0.017432+0.00079481i,0.016588+0.012457i,-0.0066404-0.003224i
0.040364+0.0020303i,0.015915-0.0015784i,0.027684-0.0020974i,0.018826+0.00069967i,0.014248-0.0060114i,0.00044157-0.0069083i,0.012449+0.00054543i,0.0072412-0.013425i,-0.0007782-0.012098i,0.0023172-0.00016866i,-0.00046592-0.0025112i,-4.4257e-05-0.00077522i,0.00048701+0.0026421i,0.0014322-0.0010258i,0.00050251-0.0013203i,0.0017858-0.0017771i,-0.0012837-0.0061897i,0.00025894-0.00041356i,0.00018321+0.0018159i,-0.0015813-0.0001392i,-0.0020546+0.0005543i,-0.00096239+0.0015363i,-0.00015437+0.0013898i,0.0046621-0.0076898i,0.0041549+0.00074302i,0.000478-0.00025315i,-0.00020161+2.4371e-05i,0.0016402+0.00097454i,0.00043121+0.0012117i,0.0013404+0.0011927i,-2.4903e-05+0.0023124i,-4.2885e-05+0.0027513i,-0.00050041+0.00060079i,0.0003728-8.5182e-05i,0.00070427+0.00065254i,0.0058111+0.0070442i,-0.00046486-0.00042924i,0.00043498-0.00072789i,0.0015173-2.9555e-05i,-0.00045642+6.394e-05i,-0.0012859+0.00091809i,-0.0032584-0.00023919i,0.0011347+0.00026118i,-0.0007045+0.0039974i,0.024877-0.015352i,0.0020904+0.017516i,0.00912+0.024203i,-0.0080289+0.010015i,0.023101-0.0081421i,0.0023087+0.005462i,-0.017982+0.014822i,-0.033047+0.0097625i,-0.016992+0.025398i,-0.0061766-0.0071632i,0.010969-0.0062337i,0.00024889+0.0045069i,0.005827+0.0037719i,-0.0056252+0.013024i,-0.0046545-0.0015393i,0.0045299-0.012822i,0.012466-0.0027325i,-0.010972+0.013415i,4.3523e-05+0.00035964i,-0.00023081+0.0018695i,-0.0015512+0.00078266i,-0.0022756-0.0051768i,0.0072154-0.0019036i,-0.0025191-0.0072757i,-0.00045311+0.0042094i,0.00033524-0.0031754i,-0.0018143-0.0052649i,-0.002928+0.0031465i,0.0018528-0.0022158i,0.0008683-0.0029042i,0.012374+0.0021248i,4.4797e-06+0.008821i,0.00023172-0.0024291i,-0.0036305-0.00098101i,-0.0035638-0.0058307i,-0.00031426+0.009725i,-0.0014353-0.00043155i,0.0011951-0.00010863i,-0.00014648-0.0032879i,-0.0022412+0.0017323i,0.0023621+0.00074067i,3.1896e-05+0.00031591i,0.0080888-0.0022276i,-0.0018847+0.0014888i,-0.0044766+0.00713i,0.0091402+0.015207i,0.011205-0.013818i,-0.020518+0.0037001i,-0.020012-0.0024707i,0.014006-0.004165i,0.017565+0.0073085i,-0.0072987-0.0024141i
0.039403-0.005054i,0.015194-0.0044079i,0.025399-0.0086239i,0.016945-0.0053818i,0.013375-0.0095907i,-0.0012946-0.0070096i,0.013338-0.00087316i,0.0045375-0.014727i,-0.0027661-0.012336i,0.0017413+0.00024367i,-0.0013881-0.0020834i,-0.00014362-0.0014214i,0.0014406+0.0025457i,0.001166-0.0012579i,0.00032804-0.001278i,0.0022482-0.0018399i,-0.0027459-0.0059378i,-1.154e-05-0.00057325i,0.0006849+0.0012665i,-0.0018303+0.00045008i,-0.0018634+0.00072377i,-0.00029544+0.0010764i,0.00016014+0.0013356i,0.0030372-0.0077773i,0.0039959-0.0015451i,0.0004447-0.00081367i,-0.00054381+0.00020531i,0.0016319+0.00056721i,0.00084404+0.00090617i,0.0015234+0.00049808i,0.0010778+0.0020948i,0.0010141+0.0029872i,-0.00051309+0.0010234i,0.00037244-0.00015847i,0.00076198+0.00024452i,0.0067181+0.0053922i,-0.00065398-6.1304e-05i,3.5223e-05-0.00059156i,0.00179-0.0002808i,-0.00017564+9.279e-05i,-0.0011074+0.0014485i,-0.003047+0.00063353i,0.0011269+0.00023074i,0.00072227+0.0053567i,0.020594-0.020679i,0.0060828+0.013964i,0.014237+0.020677i,-0.0054207+0.010913i,0.017681-0.016377i,0.00094426+0.0036956i,-0.012004+0.020081i,-0.025912+0.017275i,-0.0071672+0.028657i,-0.0097447-0.004227i,0.0077855-0.0065053i,0.0014634+0.0041353i,0.0057941+0.0006529i,-0.00085448+0.01381i,-0.0052474+0.00088561i,-0.004031-0.012496i,0.009878-0.0069826i,-0.0063085+0.014278i,0.0013759-0.00017675i,0.00053723+0.001276i,-0.0010407+0.00028296i,-0.0024209-0.0036886i,0.0055829-0.0028841i,-0.0036301-0.0067085i,0.0015094+0.0030099i,-0.00079542-0.004684i,-0.0035945-0.0039973i,-0.0011318+0.0036748i,0.00037504-0.0034105i,0.00030056-0.0034859i,0.023881-0.010502i,0.0033083+0.0064741i,-0.00021442-0.0024056i,-0.0030993-0.00068886i,-0.0053228-0.0042232i,0.0019237+0.0083229i,-0.00068543-0.0013727i,0.0019639-0.00086586i,-0.0011666-0.0032615i,-0.00068767+0.0010737i,0.002832+0.0013581i,-1.946e-05+0.0014272i,0.0059612-0.00088126i,-0.0029826+0.0020084i,-0.002421+0.0073383i,0.011926+0.013899i,0.0022804-0.019624i,-0.023874+0.001721i,-0.020854+0.0041762i,0.0076252-0.0061584i,0.017539+0.0023145i,-0.0069051-0.0021807i
0.037412-0.011718i,0.014525-0.0064269i,0.020995-0.012891i,0.012494-0.0096894i,0.011271-0.013i,-0.0027544-0.0065639i,0.014345-0.0030271i,0.0015617-0.015321i,-0.0046379-0.012438i,0.0021395+0.00092603i,-0.0017432-0.00097501i,-0.00097561-0.0016206i,0.002297+0.0021803i,0.00082901-0.0012935i,0.00017541-0.0012262i,0.0024963-0.0020684i,-0.0045256-0.0048219i,-0.00021729-0.00039966i,0.0008562+0.0006419i,-0.0016345+0.0012939i,-0.0020537+0.0011857i,-0.00039996+0.00045861i,0.00045204+0.001272i,-0.0045318-0.00028475i,0.0025396-0.0029572i,4.569e-05-0.00076951i,-0.00044612+0.00060317i,0.0015593+0.00030522i,0.00089554+0.00040167i,0.0014977-3.9494e-05i,0.0019379+0.0013921i,0.002068+0.0023294i,-3.8866e-05+0.0016128i,0.00031787-7.9025e-05i,0.00070195+0.00029656i,0.0072616+0.0036856i,-0.00070061+0.00035719i,-0.00020543-0.00035226i,0.0019309-0.00083212i,0.00013626+2.2491e-05i,-0.00040443+0.0019203i,-0.0028486+0.0015346i,0.0011558+0.00015741i,0.0029643+0.004495i,0.015106-0.024624i,0.0084325+0.0097167i,0.017572+0.016213i,-0.0021509+0.010538i,0.010481-0.020575i,-0.00029825+0.0036824i,-0.0052522+0.022357i,-0.01818+0.020123i,0.0031568+0.02788i,-0.01075+0.00048562i,0.0059832-0.0064688i,0.0027415+0.0035391i,0.0045523-0.0012282i,0.0043906+0.01278i,-0.0043749+0.0040266i,-0.010536-0.0070752i,0.0062292-0.0091428i,-0.0027002+0.014629i,0.0012492-0.0017066i,0.00081874+0.00077114i,-0.0011665+0.00027776i,-0.0021817-0.0025257i,0.0046168-0.0036906i,-0.0054772-0.0058778i,0.0022541+0.0014934i,-0.0037542-0.0050168i,-0.0044464-0.0021736i,0.0010218+0.0027289i,-0.00029446-0.0037193i,-0.00085933-0.003985i,0.009195-0.018175i,0.0046652+0.0038709i,-0.00083005-0.0025671i,-0.0037231-0.00047293i,-0.0065084-0.0017915i,0.0031788+0.0072238i,-0.0015226-0.0025759i,0.0024042-0.0018387i,-0.0057018-0.0027483i,-7.8244e-05+0.00013948i,0.0035194+0.00070408i,0.00088336+0.0019648i,0.0037747-0.0019727i,-0.0035445+0.003292i,-0.00088116+0.0067776i,0.01621+0.011922i,-0.0086024-0.021161i,-0.027879+0.0038513i,-0.017807+0.0099382i,0.0032675-0.0036459i,0.015123-0.0032954i,-0.006908-0.0033301i
0.034341-0.017963i,0.014073-0.0091765i,0.017173-0.015196i,0.0081669-0.010932i,0.0083728-0.015766i,-0.0037346-0.0058374i,0.015376-0.0063361i,-0.0014189-0.015284i,-0.0068526-0.012215i,0.0031138+0.00073137i,-0.0012304-0.00023394i,-0.0016624-0.00084894i,0.0028745+0.0012302i,0.00052858-0.0013475i,9.072e-05-0.001197i,0.0027765-0.0023638i,-0.0055779-0.0030692i,-9.6452e-05-0.00036221i,0.0006639+8.319e-05i,-0.001003+0.0017581i,-0.0015171+0.0017933i,-0.00061922+0.00038466i,0.00077115+0.0011191i,-0.0053838-0.00085554i,0.0010209-0.0036096i,-0.00020096-0.00057541i,-0.00014782+0.00065493i,0.0016158-9.8936e-05i,0.00068933+0.0003284i,0.0013092-0.0005395i,0.0024243+0.00045266i,0.0025211+0.0015553i,0.00082335+0.0015293i,0.00053153-7.0748e-05i,0.0010646+0.00045631i,0.007238+0.0017509i,-0.00035066+0.0011939i,-0.00022272-0.00014573i,0.0016348-0.0015802i,0.00050266-0.00024545i,0.00036811+0.0018436i,-0.0017627+0.0032684i,0.0013755-6.2298e-05i,0.003523+0.0036558i,0.0091064-0.026729i,0.0087708+0.0054262i,0.019657+0.01186i,0.00038936+0.0087881i,0.004491-0.022122i,-0.00014978+0.0057434i,0.0016001+0.022577i,-0.011294+0.021121i,0.011733+0.023888i,-0.0080276+0.004777i,0.0045046-0.0070277i,0.0039538+0.0019787i,0.0036784-0.0024187i,0.0086159+0.0091021i,-0.0016993+0.005304i,-0.012369-0.00035537i,0.0023588-0.009841i,0.0006093+0.0139i,0.00062366-0.002308i,0.00044287+0.00033565i,-0.0011802+0.00073344i,-0.0019679-0.0020861i,0.0034489-0.0033565i,-0.0068043-0.0036244i,0.0023159+0.00044776i,-0.0063765-0.0025319i,-0.0039513-0.00036216i,0.0016262+0.00080557i,-0.0011129-0.0040584i,-0.0022297-0.0034181i,0.00058396-0.017161i,0.0052644+0.0014646i,-0.0018692-0.0023926i,-0.0038329+0.00087306i,-0.0058117+0.00092486i,0.0049687+0.0063512i,-0.0035047-0.0027165i,0.0021312-0.0034317i,-0.0012463-0.0027284i,-0.00019693-0.0011039i,0.0042374-2.019e-05i,0.0016966+0.0018785i,0.0021372-0.0016005i,-0.0033759+0.0047704i,0.00015284+0.0061573i,0.020232+0.0075431i,-0.018776-0.017222i,-0.030646+0.0079261i,-0.013022+0.012217i,0.0023006-0.0016313i,0.009246-0.0059767i,-0.0092089-0.0039203i
0.030021-0.023462i,0.012718-0.012427i,0.014022-0.017242i,0.0049969-0.010919i,0.0048303-0.017814i,-0.0045782-0.0051456i,0.015258-0.011388i,-0.0042357-0.014678i,-0.0092981-0.011424i,0.0038696-0.00042312i,-0.00058775-0.00014061i,-0.0018147+0.00026172i,0.0029558+0.00019913i,0.00030764-0.0010679i,-7.1379e-05-0.0012902i,0.0027982-0.0030904i,-0.0062565-0.0013008i,-8.8375e-05-0.00046907i,0.00046512-0.00011782i,-0.00029349+0.0018719i,-0.001064+0.0022078i,-0.00077897+0.00053178i,0.00099866+0.00079191i,-0.0044371+0.0018318i,-0.00056127-0.0037512i,-0.00036197-0.00035268i,5.2537e-05+0.00057206i,0.0012788-0.00062063i,0.00075483+0.00028599i,0.00085041-0.00096993i,0.0026306-0.00058965i,0.0030182+0.00080564i,0.0014396+0.0011638i,0.00063394-0.0004639i,0.0016217+0.00014912i,0.0066477-0.00043615i,-0.00011513+0.0020385i,-0.00015118+7.7242e-05i,0.00071586-0.0018329i,0.00073179-0.00067759i,0.00087083+0.0016385i,4.8048e-05+0.0034489i,0.0014816-0.00040199i,0.0039351+0.0035801i,0.0034534-0.027343i,0.0073577+0.0026552i,0.020432+0.0077343i,0.001905+0.0079624i,-0.0018059-0.023472i,0.0028109+0.0080029i,0.0078326+0.02027i,-0.0040129+0.019993i,0.018288+0.017815i,-0.0031443+0.0068982i,0.0028612-0.0074523i,0.0039968-0.00093627i,0.0027487-0.0038115i,0.0095919+0.0039632i,-7.0754e-05+0.0047115i,-0.011409+0.0063477i,-0.0017096-0.0089593i,0.0036272+0.011589i,-0.0026807-0.003986i,-9.5091e-05+0.00069148i,-0.00084027+0.0012771i,-0.0014668-0.0021086i,0.003613-0.0022019i,-0.006172-0.00076491i,0.0023372+0.00047104i,-0.0064845+0.00059422i,-0.0030313+0.00048742i,0.0012657-0.00026532i,-0.0031138-0.0042952i,-0.0031962-0.0022285i,-0.005498-0.01494i,0.0048648-0.0010956i,-0.0028119-0.0015646i,-0.0027385+0.001886i,-0.0042879+0.0024078i,0.0069334+0.0047769i,-0.0049129-0.0010374i,0.00073054-0.0049014i,-0.002696-0.0021176i,-0.0013347-0.0017251i,0.0047937-0.0016987i,0.0025605+0.001747i,0.0018986-0.0010723i,-0.0012387+0.0060828i,0.00066827+0.0051475i,0.023099+0.0011799i,-0.023796-0.0088476i,-0.032481+0.013975i,-0.008904+0.012603i,0.0015469+6.5811e-05i,0.0041626-0.0017228i,-0.011153-0.0028416i
