-0.025718-0.0053689i,-0.021448-0.0080079i,-0.012446-0.013689i,-0.035207-0.0080608i,-0.02721+0.0014053i,-0.035986-0.0030786i,-0.068725-0.03663i,-0.033559-0.015316i,-0.02302+0.0029381i,0.005826+0.0065209i,-0.0056127+0.0077193i,-0.0085959+0.018158i,0.0059185+0.0080773i,-0.001447+0.0032216i,0.0041249+0.0035897i,0.0055452+0.025099i,0.023327+0.020226i,0.0013459-0.0004397i,0.001309-0.0044138i,0.0092792+7.3197e-05i,0.0055771-0.00062573i,0.002151+0.0012058i,0.0014608-0.00090261i,-0.024284+0.00035939i,-0.0045117-0.0040357i,-0.00024447+0.0032729i,0.0048676-0.0042555i,-0.0016559-0.0004934i,-0.00012626+0.0010692i,-0.0018165-0.0015247i,-0.0034312-0.00046161i,-0.0067752-0.0088585i,-0.0052317-0.0076715i,-0.00046555+0.00034951i,-2.5982e-05-0.0023336i,0.0009813+0.022319i,0.0028315-0.0038204i,0.00066305-0.0042049i,0.0032118-0.0019525i,-0.0032453-0.0026218i,0.00067477+0.00015808i,0.0079257-0.0022122i,0.0028903-0.0019737i,-0.00031894+0.0028966i,-0.014163+0.015403i,-0.027139+0.054087i,-0.0056123-0.037743i,-0.014953-0.018897i,-0.04029-0.016617i,-0.027097-0.012794i,0.036953-0.012186i,0.0064749-0.030293i,0.013326-0.037993i,-0.0080806-0.029575i,0.024631-0.023186i,0.013299+0.0072991i,0.028633-0.036139i,-0.0016412-0.0040074i,0.0055677-0.0093067i,-0.00064393-0.0060137i,0.00037282-0.034918i,-0.013443+0.028724i,0.0086431-0.011965i,-0.0088431-0.0045418i,-0.002484-0.0017689i,0.00032634-0.015837i,-0.0079971+0.0057341i,0.0044487+0.0070009i,-0.0013153+0.028964i,0.0028429+0.0013568i,-0.00717-0.0045225i,-0.0038202-0.0063158i,-0.013846-0.010012i,-0.0020535-0.0057025i,-0.03441+0.0062471i,-0.0049159-0.0085171i,-0.01292-0.0010562i,-0.010255-0.0056334i,0.0016282-0.0011848i,-0.013807+0.001839i,-0.0020303-0.00062779i,0.0057753+0.0059406i,0.0036991-0.0049182i,-0.013621-0.014053i,0.007441+0.0082397i,-0.016792+0.0053042i,0.0048466+0.00018257i,-0.019469-0.0034054i,-0.016574-0.0048142i,-0.014172-0.036644i,0.020175-0.010336i,-0.039233-0.024466i,-0.009063+0.0057757i,0.017817+0.014849i,-0.022962+0.016961i,-0.0040959-0.0040062i
0.0060955-0.010135i,0.011327+0.0024385i,0.0080275+0.0035762i,0.01455-0.0035267i,0.018569-0.0014185i,0.016328-0.013343i,0.016373-0.0047701i,0.012839-0.0017762i,0.0018582-0.0090713i,-0.002895+0.0037819i,-0.00045667-6.8316e-05i,-0.0014327-0.00022636i,-0.0011203+0.004111i,-0.0018037+0.0027286i,0.00035126+0.0025099i,0.00089726-0.00074415i,0.0031277-0.0021038i,0.001085-0.0011138i,-8.9841e-05-0.00073668i,-0.0002084-0.00026005i,0.00049748-0.0025954i,-0.001374-0.001222i,-0.00088661-0.00052931i,0.0037856+0.0040456i,-0.0013676+0.00063114i,-0.0011586+0.0010668i,-0.0027098+0.00031231i,-0.002238-0.00011143i,-0.0028612-0.0012029i,-0.0022718-2.1368e-06i,0.0016909-0.0015227i,0.00098082+0.00094801i,0.0012689-0.0001354i,0.0014165-0.00063268i,0.0011345-0.00090681i,-0.0099149+0.0063167i,-0.0012052-0.00042944i,-0.00078559-4.832e-06i,-0.0023935-0.00035003i,0.0022473-0.0030425i,0.0004467-0.00057543i,0.00086428-0.001189i,-0.0011009+0.002877i,0.0015539+0.00095854i,0.00034468-0.012837i,-0.026364-0.0094975i,-0.0031181-0.0056879i,-0.0070243+0.0021602i,0.017235+0.021469i,0.0012146+0.0052483i,0.012846-0.014133i,-0.010878-0.027432i,-0.0040524-0.012959i,0.0070582-0.0083829i,0.018375+0.018059i,0.0022491+0.0015995i,-0.0010606+0.00014293i,-0.0062543-0.00061303i,0.010601-0.0029974i,0.013379+0.007882i,0.0027164+0.0042835i,-0.0050161-0.0072962i,0.0062594-0.0032472i,-0.0037834-0.0069811i,0.0030267-0.011753i,0.0063387-0.0062349i,-0.00070554+0.0072347i,0.010083-0.0084344i,0.0047248-0.0079442i,0.0011605-0.0063428i,-0.0023639-0.0017942i,-0.006347-0.0070661i,-0.0084966-0.00097271i,0.00012672-0.001501i,-0.0083877+0.028289i,-0.0091119-0.0022449i,0.00076181+0.0030147i,-0.003318-0.0049273i,0.00045527+0.00059452i,-0.01617+0.00078289i,-0.0030201+0.0019817i,-0.0012762-0.0017474i,-0.0036697-0.00014313i,-0.0057894-0.0034873i,-0.0015378+0.0054407i,-0.0022275+0.002348i,-0.0059277+0.0064909i,-0.005735-0.00018497i,-0.002997-0.0019256i,0.0076519-0.0022267i,-0.0054361+0.017798i,-0.028357-0.0023145i,-0.010226-0.0034393i,0.011994+0.016706i,-0.0019684+0.017268i,-0.0067312-0.0046167i
0.0046216-0.011626i,0.012006-0.0015477i,0.0086052+0.0023837i,0.013288-0.0050811i,0.018323-0.0045124i,0.013813-0.015978i,0.013691-0.0078135i,0.012189-0.0039332i,0.00016284-0.0095219i,-0.0016022+0.0040049i,-0.00017873+0.00034363i,-0.001656+0.0010821i,9.1038e-05+0.0042381i,-0.00064632+0.0032572i,0.00093038+0.0024248i,0.00053817-0.00028451i,0.0018326-0.0026937i,0.0011895-0.0011964i,-0.00018783-0.001449i,0.00014654-0.00072859i,-0.00014817-0.0026415i,-0.0015987-0.00082957i,-0.00092937-0.00062077i,0.0058707+0.0020199i,-0.0015144+0.0017062i,-0.00054581+0.0015014i,-0.0026666+0.0011864i,-0.0023826+0.00079745i,-0.0036639+0.00029315i,-0.0022106+0.0011968i,0.00087121-0.0019108i,0.00092396-0.00014917i,0.0006836-0.00061349i,0.00086387-0.0011016i,0.00063119-0.00079116i,-0.0071577+0.0089573i,-0.0017383+0.00023825i,-0.00092996+0.00064588i,-0.0024372+0.00077849i,0.00127-0.0033362i,0.00049932-0.00079921i,0.00032833-0.0012473i,-0.00046911+0.0030969i,0.0011913+0.0010607i,-0.0011658-0.011938i,-0.024374-0.0059959i,-0.0046964-0.0025904i,-0.0040575+0.00029505i,0.026118+0.014762i,0.0051568+0.0027414i,0.0062745-0.0171i,-0.019218-0.02723i,-0.0089437-0.014198i,0.010192-0.01533i,0.019973+0.010901i,0.00099852+0.00042767i,-0.00045883+0.0025199i,-0.0058443+0.0013158i,0.0077611-0.0065437i,0.014657+0.0037931i,0.0052363+0.005338i,-0.0091024-0.0055692i,0.0027309-0.0047727i,-0.0048534-0.0047038i,-0.002687-0.01052i,0.0037053-0.0078448i,0.0028422+0.0055136i,0.005232-0.010223i,0.00044218-0.0076379i,-0.0020427-0.0035i,-0.0016468-0.00096302i,-0.0079448-0.0046793i,-0.0061896+0.0031768i,0.0002852-0.0013122i,0.0056116+0.027078i,-0.0097988+0.00066352i,0.0014331+0.0015231i,-0.0055195-0.0026081i,0.00097678+5.27e-05i,-0.01395+0.0080907i,-0.0018406+0.003213i,-0.0018821-0.00015376i,-0.0023874+0.00077159i,-0.0065056-0.0014461i,-8.4144e-05+0.0026695i,-0.00099114+0.0021414i,-0.0018822+0.0083624i,-0.0043879+0.0017406i,-0.0042646-0.0015594i,0.0083807-0.0083019i,-0.0016122+0.020052i,-0.028626+0.003184i,-0.011815-0.0048429i,0.014082+0.014102i,0.00064318+0.018753i,-0.0090798-0.00394i
0.0021626-0.012693i,0.010167-0.0061063i,0.0096083+0.00027372i,0.012539-0.0067909i,0.017885-0.0076588i,0.010794-0.018597i,0.010497-0.010397i,0.011322-0.0061155i,-0.0014804-0.0090968i,-0.00093809+0.0040817i,1.0974e-05+4.4208e-05i,-0.0010401+0.0021399i,0.001198+0.0037547i,0.00044871+0.0028529i,0.0015104+0.0021573i,0.00039545+9.0431e-05i,0.00058674-0.0026639i,0.0011557-0.0017858i,-0.00080376-0.0016449i,-0.00020556-0.0014649i,-0.001059-0.002692i,-0.0014294-0.00035617i,-0.001244-0.00067604i,0.0059962-0.00103i,-0.00061154+0.0025364i,-0.00018387+0.0016004i,-0.0024496+0.0025138i,-0.0020087+0.0017752i,-0.0034057+0.0022946i,-0.0016001+0.0021799i,4.756e-05-0.0018858i,-7.194e-05-1.7052e-05i,0.0002883-0.00062285i,0.00023395-0.0012441i,0.00047552-0.00066708i,-0.0039618+0.010522i,-0.0018183+0.0014326i,-0.00051278+0.0010191i,-0.0019529+0.0020269i,0.00026538-0.0035162i,0.00049806-0.0011885i,0.00016814-0.001211i,0.00019037+0.0033156i,0.0015397+0.0015004i,-0.001768-0.010924i,-0.022821-0.0019343i,-0.0030212+0.0011672i,-0.001735-0.0026056i,0.033445+0.0043707i,0.0083385+0.00087756i,-0.00021268-0.017179i,-0.026155-0.023891i,-0.013311-0.011774i,0.0089901-0.023741i,0.018788+0.0045879i,-0.00070314+0.00025644i,-0.00061461+0.0019098i,-0.0059657+0.002576i,0.0025487-0.0097425i,0.014689-0.00090508i,0.0076282+0.0043571i,-0.01195-0.0021614i,0.0010571-0.0039305i,-0.0055204-0.0021454i,-0.0055769-0.0072612i,0.0010201-0.0077413i,0.0049905+0.0045735i,0.0021098-0.0097941i,-0.0028733-0.0055166i,-0.0018715-0.00063704i,-0.0017939-0.0013048i,-0.0098636-0.0013574i,-0.0031926+0.004003i,-0.00056087-0.0017491i,0.015983+0.01996i,-0.0095398+0.004772i,0.0018541+0.00083242i,-0.0043294-4.619e-05i,0.0013785-0.0011307i,-0.0078537+0.013019i,9.1009e-05+0.0037919i,-0.0021362+0.00041513i,-0.0020575+0.0016278i,-0.0067751+0.0017983i,-0.00087856+0.0026702i,-0.00029087+0.0015999i,0.0017242+0.0077871i,-0.003161+0.0014902i,-0.0056221-7.3161e-05i,0.0055635-0.013421i,0.0078249+0.019017i,-0.026988+0.0065616i,-0.013841-0.0054349i,0.016694+0.0095522i,0.0052837+0.020124i,-0.010475-0.0023847i
-0.00053197-0.012667i,0.0064071-0.0080626i,0.0092922-0.0023846i,0.011364-0.0088588i,0.016487-0.011034i,0.0069046-0.020305i,0.0068908-0.011575i,0.0099109-0.0081459i,-0.0025429-0.0086249i,-0.00030766+0.0043986i,-0.00020809+2.0386e-05i,-2.885e-05+0.0025375i,0.0016707+0.0031096i,0.00082487+0.002536i,0.0019202+0.0017348i,0.00034837+0.00052435i,-0.00037642-0.002052i,0.00084158-0.0022645i,-0.00096752-0.0015048i,-0.0010773-0.0016672i,-0.0017882-0.002108i,-0.0013291-0.00022804i,-0.0016649-0.00042249i,0.0045712-0.0032862i,0.00050029+0.0026475i,0.0002859+0.0018666i,-0.001109+0.0037096i,-0.0013209+0.0024081i,-0.0020181+0.0036361i,-0.00056421+0.002748i,-0.00065361-0.0015453i,6.9736e-05+0.00054872i,8.6358e-06-0.00057668i,-0.00042494-0.0011124i,0.00024491-0.00064093i,-0.0005563+0.01112i,-0.0010063+0.0024578i,-0.00024258+0.0010889i,-0.00099566+0.0028756i,-0.0008528-0.0034755i,4.1271e-05-0.0015652i,-5.5867e-06-0.0013564i,0.0010591+0.0034502i,0.0021141+0.0016352i,-0.0017318-0.010978i,-0.018594+0.0019708i,0.00073592+0.0031682i,-0.0028112-0.0064573i,0.036275-0.010041i,0.010685-0.0037256i,-0.0060055-0.014146i,-0.032572-0.017726i,-0.015709-0.006526i,0.0030529-0.030637i,0.016734-0.00044725i,-0.0016293+0.0015789i,-0.00067549+0.0044274i,-0.0054927+0.0045864i,-0.0037876-0.008138i,0.013048-0.0058696i,0.0097395+0.0019237i,-0.01301+0.00252i,-0.00037885-0.0036906i,-0.0046071+0.0001792i,-0.0067124-0.0032953i,-0.0010499-0.0075181i,0.0062489+0.0014612i,-0.00053721-0.0092991i,-0.004089-0.0017827i,-0.00066716+0.00092044i,-0.0023675-0.00092364i,-0.009279+0.0028954i,-0.00090637+0.0043501i,-0.0013957-0.0015767i,0.021235+0.0097811i,-0.0066814+0.0091757i,0.0019266-0.00032162i,-0.0031811+0.0015904i,0.00034609-0.0021988i,-0.0011115+0.013348i,0.0020872+0.0029914i,-0.0020015+0.0020899i,-0.0011609+0.0027132i,-0.0042277+0.0049722i,-0.00055322+0.0033429i,-0.00035846+0.0011026i,0.0050606+0.0064366i,-0.0032752+0.00095189i,-0.0062239+0.0020259i,0.0018816-0.014919i,0.017453+0.0098818i,-0.023589+0.010703i,-0.017273-0.0044019i,0.015581+0.0049822i,0.010821+0.018946i,-0.0099716-0.0011439i
-0.0025288-0.011921i,0.0040002-0.0078944i,0.008239-0.0042654i,0.0099697-0.010733i,0.01451-0.013948i,0.003121-0.021187i,0.0038686-0.011409i,0.008169-0.0096452i,-0.0034635-0.0080523i,0.00062678+0.00456i,-0.00042258+0.00014471i,0.00090231+0.002401i,0.0018708+0.0028284i,0.0011105+0.0022986i,0.002219+0.0013711i,0.00072094+0.0011372i,-0.00071873-0.0012585i,0.00019809-0.0027608i,-0.0015316-0.0017211i,-0.0019065-0.0013126i,-0.0022459-0.0016764i,-0.0012521-6.3564e-05i,-0.0018896+9.288e-05i,0.002553-0.0045004i,0.0014422+0.0023859i,0.0010599+0.0018854i,0.00043646+0.0039585i,-0.00052168+0.0028512i,-0.00033807+0.004204i,0.00063559+0.0028609i,-0.00096562-0.0010439i,0.00038887+0.00074322i,-0.00034697-0.00035783i,-0.00096811-0.00045519i,0.0001663-0.00038907i,0.0027776+0.010832i,4.3547e-05+0.002982i,-5.5748e-05+0.0013161i,0.00035279+0.00329i,-0.001733-0.0030224i,-0.00040951-0.0017759i,-0.00043139-0.0015012i,0.0020229+0.0031359i,0.0025575+0.0011673i,-0.0025929-0.011549i,-0.013463+0.0028704i,0.0055809+0.0026237i,-0.0051275-0.0070539i,0.032018-0.023466i,0.010226-0.0086338i,-0.0084739-0.0092107i,-0.035384-0.0089177i,-0.015552-6.4889e-05i,-0.0056844-0.033068i,0.013057-0.0035671i,-0.0012047+0.0028729i,0.0021965+0.0050452i,-0.0042031+0.0061048i,-0.006687-0.0037806i,0.0091688-0.010703i,0.010652-0.0017556i,-0.011915+0.0068637i,-0.0010435-0.0020714i,-0.003259+0.0011881i,-0.0053172-0.00067084i,-0.0038588-0.0060891i,0.0055971-0.00066942i,-0.0029631-0.0078001i,-0.0028059+0.0010612i,0.0011772+0.0011584i,-0.0026473-0.00022574i,-0.006455+0.0059308i,0.0017618+0.0033373i,-0.0018095-0.00031535i,0.021147-0.00036631i,-0.0013693+0.010796i,0.001257-0.0010744i,-0.0014823+0.0016372i,-0.00076394-0.0017969i,0.0034692+0.011029i,0.0028255+0.0016816i,-0.00039347+0.0040565i,0.00086691+0.0033691i,-0.00043828+0.0053724i,0.0008851+0.0037398i,-0.0011216+0.0013155i,0.0066579+0.0036487i,-0.0041754+0.00088231i,-0.0055505+0.0047668i,-0.00037348-0.014867i,0.018642-0.0046813i,-0.017912+0.010893i,-0.020115-0.0015608i,0.01522+0.0013726i,0.015274+0.014306i,-0.010651-0.0011852i
-0.0040971-0.01099i,0.0028646-0.0078815i,0.0074625-0.0057272i,0.0083672-0.012719i,0.012187-0.016566i,-0.00098104-0.021507i,0.0019397-0.010624i,0.0064215-0.010731i,-0.0040511-0.0076067i,0.0013869+0.0043911i,-0.00043783+0.00048726i,0.0017429+0.0021175i,0.002383+0.002747i,0.0014602+0.0022165i,0.0025645+0.00085257i,0.0015972+0.0015593i,-0.0006358-0.00079018i,-0.00075817-0.0030794i,-0.0024527-0.0014415i,-0.0025145-0.000606i,-0.0026212-0.0011546i,-0.0010812-6.4761e-06i,-0.001906+0.00068908i,0.00018186-0.0048509i,0.0023562+0.0017632i,0.0018267+0.0014765i,0.0019547+0.0035209i,0.00056841+0.0031793i,0.0013461+0.0040702i,0.0017663+0.002402i,-0.0011277-0.00062093i,0.00087568+0.0007293i,-0.00041931+0.00013676i,-0.0009013+0.00031095i,0.00024905-0.00038763i,0.0057294+0.0095066i,0.0013708+0.0028534i,0.00048475+0.0015531i,0.0017155+0.0028903i,-0.0023579-0.0024114i,-0.0010853-0.0017778i,-0.00097278-0.0014784i,0.0027638+0.0026079i,0.0028929+0.00071272i,-0.0036834-0.012124i,-0.0093987+0.001446i,0.0094088-0.00081603i,-0.0066755-0.0062163i,0.024359-0.033675i,0.0077762-0.012077i,-0.007974-0.0046256i,-0.033841+0.0004206i,-0.010738+0.0065914i,-0.013723-0.030831i,0.009775-0.0048859i,-0.00015343+0.0035158i,0.0041168+0.003634i,-0.0026383+0.0075498i,-0.0071746-0.00030757i,0.002973-0.013745i,0.0088927-0.0061458i,-0.0096005+0.0097279i,-0.00034239-0.0012853i,-0.0023056+0.0010691i,-0.0039786+0.00020886i,-0.0048696-0.0032448i,0.0042693-0.0017035i,-0.004303-0.005803i,-0.00059314+0.0018518i,0.0025746-0.00026472i,-0.0025619+0.00079695i,-0.0034943+0.0069906i,0.0024938+0.0014254i,-0.0010906+0.00068281i,0.017258-0.0081907i,0.0032658+0.009821i,0.00070119-0.00058761i,-0.00075559+0.0015323i,-0.001334-0.00066438i,0.0065924+0.0080236i,0.0037296+0.00071162i,0.0027096+0.0040063i,0.0025697+0.0021327i,0.0026239+0.0041531i,0.0018842+0.0035262i,-0.0012168+0.0025748i,0.0067704+0.0013623i,-0.0053035+0.0015751i,-0.003279+0.0064512i,-0.0018998-0.015413i,0.011146-0.015385i,-0.015149+0.0069316i,-0.022738+0.0028626i,0.012673-0.0036649i,0.016683+0.0094105i,-0.011914+0.00028256i
-0.0054784-0.0096749i,0.0014672-0.0080927i,0.0061709-0.0079347i,0.0058791-0.014831i,0.0092831-0.018991i,-0.0053597-0.020746i,0.0008064-0.01001i,0.0046571-0.011764i,-0.0046346-0.0071849i,0.0020429+0.0045586i,-0.00049112+0.00071276i,0.0021395+0.0012324i,0.003005+0.002384i,0.0018173+0.0020257i,0.0027018+0.00025541i,0.0025578+0.0012722i,-0.00068388-0.00056315i,-0.0020235-0.0030513i,-0.0029874-0.00055763i,-0.0029789+0.00038577i,-0.0030646-0.00052928i,-0.0010289-0.0001727i,-0.0017586+0.0012776i,-0.0020617-0.0041165i,0.0029611+0.00038431i,0.0022768+0.0008124i,0.0028818+0.002707i,0.0018928+0.002973i,0.0029871+0.0032182i,0.0025824+0.0014641i,-0.0011176-0.00021041i,0.001102+0.00061019i,-0.00026703+0.00061305i,-0.00044059+0.0008636i,0.0001735-0.0006021i,0.0080878+0.0071855i,0.0024394+0.0020779i,0.0011221+0.0013208i,0.0028417+0.00196i,-0.0026932-0.0017446i,-0.0018429-0.0013775i,-0.0014037-0.0011856i,0.0035671+0.0017798i,0.0030023+0.00015933i,-0.0053387-0.012438i,-0.0068433-0.0011522i,0.010944-0.0053565i,-0.0063436-0.0043873i,0.014213-0.0404i,0.0046079-0.013829i,-0.0060824-0.002527i,-0.028631+0.0068043i,-0.0026754+0.009057i,-0.019684-0.02577i,0.0072689-0.0050983i,0.00096583+0.0033835i,0.0043578+0.0015084i,-0.00012493+0.0080333i,-0.0071121+0.0028114i,-0.0047944-0.012731i,0.0054275-0.0084662i,-0.0069435+0.012199i,0.00025395-0.0020604i,-0.002094+0.0009988i,-0.0036505+0.00029336i,-0.0043662-0.0010722i,0.003333-0.001866i,-0.0049801-0.0044101i,0.00061125+0.0012062i,0.0023937-0.0023858i,-0.0021734+0.0017407i,-0.00015716+0.0070989i,0.0021596+8.0896e-05i,-0.00039276+0.00043934i,0.011254-0.012628i,0.0067886+0.0072491i,0.0012061-0.00045149i,0.00034167+0.00080756i,-0.00069819-1.591e-05i,0.0079498+0.0048011i,0.0045261-0.0015203i,0.0046601+0.0023142i,0.0030622+0.00082188i,0.0041575+0.0018577i,0.0036286+0.0032207i,-0.00017361+0.0037735i,0.0064165-0.00054867i,-0.0059196+0.003436i,-0.00095858+0.0065134i,-0.0032159-0.015365i,0.00065012-0.021766i,-0.017751+0.0036111i,-0.022346+0.008607i,0.0061771-0.0058963i,0.017554+0.005058i,-0.011584+0.0017038i
-0.0059332-0.0082852i,0.000966-0.0075994i,0.0038682-0.009251i,0.0024206-0.016174i,0.0057119-0.020779i,-0.0090582-0.018628i,0.00032664-0.0096857i,0.002713-0.012489i,-0.0051911-0.0070075i,0.0034126+0.0047102i,-0.00038022+0.0013339i,0.0021441+0.00067625i,0.0036119+0.0018028i,0.0022976+0.0018559i,0.0027219-0.00035609i,0.0031693+0.00079736i,-0.00097057-0.0002637i,-0.0032621-0.0022295i,-0.0030437+0.00036704i,-0.002823+0.0016505i,-0.003252+0.00044903i,-0.0015187-0.00030863i,-0.0013675+0.0018302i,-0.0037318-0.0024169i,0.002567-0.00093315i,0.0024483-4.9948e-06i,0.0038978+0.001493i,0.0029996+0.0021388i,0.0039705+0.0016177i,0.0029326+0.00040154i,-0.00099076+0.00012692i,0.0013188+0.00014809i,0.00028175+0.00092448i,0.00019353+0.0010042i,-0.00012386-0.00045308i,0.0094539+0.0042211i,0.0030441+0.00090006i,0.0015694+0.00094294i,0.0034508+0.00058452i,-0.0029664-0.00097237i,-0.002267-0.00058786i,-0.0017771-0.0008521i,0.0038752+0.00055343i,0.0029796-0.00043818i,-0.0071691-0.012304i,-0.0060055-0.0046165i,0.010026-0.009657i,-0.0045367-0.0040413i,0.0035515-0.042594i,0.0011578-0.014079i,-0.0046156-0.0014533i,-0.023373+0.0094531i,0.0054087+0.0069688i,-0.022203-0.019252i,0.0060114-0.0053146i,0.0020555+0.0025175i,0.0037785+0.00032167i,0.0027624+0.0073502i,-0.0054733+0.0061624i,-0.010401-0.0074111i,0.0018349-0.0087013i,-0.0033113+0.013495i,-0.00076029-0.0030124i,-0.0020151+0.0013859i,-0.0037415+0.00093831i,-0.0032783+0.00020984i,0.0023984-0.0021538i,-0.005752-0.0027849i,0.0012026+0.00030752i,0.00020294-0.0037069i,-0.0010266+0.0024922i,0.0027923+0.0054458i,0.0023251-0.00077104i,-0.00023165+0.00027922i,0.0048269-0.014101i,0.0088225+0.0035641i,0.0013361-0.0013062i,3.3403e-05-9.5527e-05i,4.3331e-05+0.00011296i,0.0080352+0.0018176i,0.0034247-0.0044222i,0.00597+0.0002223i,0.0035644-0.00025415i,0.0047929-0.00068218i,0.004703+0.0016587i,0.0014801+0.0041075i,0.0051762-0.0021339i,-0.0055126+0.0060213i,0.00092565+0.0055781i,-0.0038688-0.015173i,-0.012094-0.022657i,-0.021736+0.004117i,-0.018819+0.013731i,0.0017488-0.0033176i,0.016365-0.00023429i,-0.011212+0.0017296i
-0.005851-0.0077062i,0.0010283-0.0084488i,0.0018133-0.0094283i,-0.0010333-0.016125i,0.0020068-0.021772i,-0.011642-0.016174i,0.00019012-0.010256i,0.00068186-0.012966i,-0.0059502-0.0068012i,0.0050305+0.0039038i,0.00027741+0.0018018i,0.0020764+0.00044739i,0.0041425+0.00082674i,0.0028493+0.0013673i,0.002599-0.00098996i,0.0038142+0.00035889i,-0.0010304+0.00030109i,-0.0037982-0.0010355i,-0.0029719+0.001101i,-0.0020754+0.0025447i,-0.0031197+0.0012984i,-0.0020073+0.0002351i,-0.00072924+0.0022182i,-0.0045059-8.5481e-05i,0.0018517-0.0016382i,0.0022909-0.00084201i,0.0041881-0.00017352i,0.0037371+0.00086657i,0.0040115+0.00010696i,0.0029103-0.00070772i,-0.00066583+0.00044683i,0.0010247-0.00027459i,0.00099069+0.00072142i,0.00081636+0.00085279i,-0.00015228-0.00014891i,0.0093535+0.0011729i,0.0030358-0.00035891i,0.0020004+0.0003917i,0.0033238-0.00090184i,-0.0028541-3.5849e-06i,-0.0022121+0.0002065i,-0.0020835-0.00036552i,0.0035846-0.00067241i,0.0028241-0.0010642i,-0.0091195-0.011771i,-0.0082167-0.0076295i,0.0075776-0.012716i,-0.0036825-0.0052138i,-0.0055953-0.041843i,-0.0011124-0.012125i,-0.002934-0.00066483i,-0.019036+0.01122i,0.010406+0.0019352i,-0.021337-0.013562i,0.0047364-0.0062183i,0.0025729+0.00082224i,0.003685-0.00073282i,0.005115+0.0051954i,-0.0023007+0.0072616i,-0.011933-0.0012711i,-0.0013796-0.0078688i,0.00049702+0.01306i,-0.002593-0.002978i,-0.0022906+0.0022i,-0.0034977+0.0019853i,-0.0023804+0.00098346i,0.0017573-0.0012521i,-0.0058009-0.0007296i,0.0010611-0.0004804i,-0.0016235-0.0029511i,0.00019519+0.002434i,0.0039942+0.0028913i,0.0024572-0.002042i,4.6425e-05+0.00040649i,-0.00057999-0.012979i,0.0091477-0.00063821i,0.00075162-0.001905i,-0.00027453+0.00014764i,0.00088937-0.00030332i,0.0074102-0.00028893i,0.00065389-0.0059039i,0.0060959-0.0027484i,0.0032979-0.0020611i,0.0038394-0.0034434i,0.0051332+3.7603e-05i,0.0028787+0.0035146i,0.0034623-0.0024292i,-0.0036481+0.0076643i,0.0019072+0.0041794i,-0.0041789-0.015722i,-0.023385-0.017186i,-0.024836+0.0068994i,-0.013733+0.015323i,0.0011002-0.0010391i,0.013061-0.0039271i,-0.012798+0.002056i
-0.0064526-0.0074932i,0.00010811-0.010113i,0.00041009-0.0092774i,-0.0040487-0.015206i,-0.0019021-0.022246i,-0.01394-0.013695i,-0.00061886-0.011975i,-0.0014835-0.013178i,-0.0069715-0.0064537i,0.006185+0.0025178i,0.0011729+0.0018158i,0.0021517+0.00036839i,0.004225-0.00039919i,0.0033146+0.00068835i,0.0022562-0.0016541i,0.0043298-0.00041036i,-0.00084576+0.00076675i,-0.004006+0.00013097i,-0.0025951+0.0020073i,-0.0011467+0.0030615i,-0.0027875+0.0022954i,-0.002063+0.0010584i,-0.00014683+0.0023175i,-0.0039516+0.0023324i,0.0011242-0.0020126i,0.0018528-0.0014959i,0.0037126-0.0017989i,0.0037965-0.0006721i,0.0036715-0.0012403i,0.002423-0.00178i,-0.00021454+0.00050737i,0.00079485-0.00029998i,0.0013901+0.00016296i,0.001316+0.00024734i,9.3469e-05-4.7548e-05i,0.0084714-0.0013579i,0.0027311-0.0014445i,0.00222-0.00045262i,0.0025336-0.00217i,-0.0023247+0.00081675i,-0.0019931+0.00097197i,-0.0022041+0.00028352i,0.0028653-0.0014887i,0.002524-0.0013465i,-0.011111-0.010932i,-0.011749-0.0076588i,0.0049441-0.014215i,-0.0038946-0.0054313i,-0.013973-0.04016i,-0.0011039-0.010013i,-0.0010747-0.00095057i,-0.014067+0.011984i,0.013804-0.0044992i,-0.018629-0.010186i,0.0031563-0.0068808i,0.0015403-0.001503i,0.0031661-0.0021144i,0.0053991+0.0022617i,-0.00029649+0.0067839i,-0.01096+0.0043958i,-0.0040413-0.0059641i,0.0033392+0.010851i,-0.0042199-0.0016937i,-0.001888+0.0036451i,-0.0028066+0.0029446i,-0.00097655+0.0010975i,0.0026856+0.00017884i,-0.0047388+0.00056906i,0.00076432-0.00038124i,-0.0023657-0.0019601i,0.0012203+0.001913i,0.0039069+0.00095358i,0.0006866-0.0033029i,0.00053155+0.00021014i,-0.0047911-0.010681i,0.0077973-0.0041258i,9.2021e-05-0.0020132i,0.00037469+9.3017e-05i,0.00089436-0.0012324i,0.0068783-0.0020408i,-0.00195-0.0053236i,0.0044732-0.0057148i,0.0019367-0.0031609i,0.0014745-0.00472i,0.0049169-0.0019994i,0.0040966+0.0025369i,0.0029255-0.0021519i,-0.00097689+0.0080863i,0.001927+0.002524i,-0.0048195-0.017488i,-0.028371-0.0071157i,-0.027235+0.011504i,-0.0097096+0.015376i,0.00034128+0.00057263i,0.0095416-0.0051204i,-0.013682+0.0038129i
