-0.023262-0.018912i,-0.032294-0.033198i,-0.022356-0.01961i,-0.03236-0.020332i,-0.02402+0.0041083i,-0.028689-0.018111i,-0.057006-0.045564i,-0.041038-0.043336i,-0.02951-0.023401i,0.0054574+0.0058267i,-0.00331+0.0063326i,-0.010978+0.011096i,0.0039015+0.0068731i,-0.0038174-0.0028917i,0.0029101+0.0015189i,0.0024806+0.027312i,0.026595+0.033223i,8.3521e-05+0.00025432i,-0.002817-0.0030334i,0.0075688+0.0038709i,0.002292+0.00063369i,-0.00013067+0.0025311i,-0.00047731+0.00029644i,-0.032042-0.00039878i,-0.0031334-0.0049664i,8.9827e-05+0.0024322i,0.0039828-0.00074566i,0.0010359-0.00032003i,-0.00068162-0.00062261i,-0.00097534-0.001933i,-0.0022487-0.00061712i,-0.0039571-0.0037055i,-0.0028506-0.0055212i,0.00046916-0.0012964i,0.0008467-0.0031855i,-0.0016126+0.026014i,0.0020128-0.0032138i,0.0022484-0.0040053i,0.0044675-0.0021801i,-0.006542-0.001168i,0.00085056+0.0012519i,0.010411-0.0003138i,-0.0016571+6.1485e-05i,-0.0029071+0.0016824i,-0.0091561-0.0025159i,-0.018688+0.02136i,-0.0083626-0.08639i,-0.0022609-0.061165i,-0.021407-0.053971i,-0.011342-0.045883i,0.053933-0.026916i,0.023633-0.067233i,0.041135-0.05467i,0.01873-0.039469i,0.02605-0.019698i,0.012295+0.011889i,0.025495-0.029188i,-0.011372-0.0012115i,-0.0014384-0.001131i,-0.0081297-0.0017328i,-0.0046242-0.029058i,-0.020782+0.025887i,0.0077713-0.0093195i,-0.010551-0.0033207i,-0.0027308-0.0018152i,-0.00065764-0.014646i,-0.0084644+0.0055845i,0.0059671+0.010832i,-0.0097947+0.030299i,0.0066447+0.0077147i,-0.0033521-0.0016917i,-0.0022426-0.0013261i,-0.01321-0.0057757i,0.00064657-0.0046931i,-0.033073+0.0027775i,0.0034609-0.0085723i,-0.0071676-0.0020896i,-0.0053286-0.0030526i,0.0069772+0.0015474i,-0.010342+0.00040548i,0.0023756-0.0003157i,0.0060461+0.0080049i,0.0054641+0.00084867i,-0.0079217-0.010184i,0.0026967+0.0079136i,-0.019513+0.0076006i,0.0032544+0.0057613i,-0.020895-0.0092214i,-0.027312-0.0052949i,0.0095408-0.061474i,0.018971-0.01454i,-0.050993-0.028428i,-0.021732+0.0034589i,0.018999+0.010359i,-0.027131+0.011554i,-0.012706-0.0077676i
0.0057314+0.0048427i,0.036953+0.014901i,0.019828-0.0043501i,0.01304+0.0021403i,0.0086641-0.001804i,0.01601-0.0073244i,0.012317+0.014061i,0.01924+0.01951i,0.0018831-0.0031393i,0.0012338+0.00069345i,0.0024064-0.0011681i,0.0011111-0.0037861i,0.00011313-0.0012302i,0.0022556-8.5532e-05i,0.0052493-0.0012362i,0.0056023-0.00015295i,0.0062489-0.0051668i,5.8254e-05-0.0010031i,-0.0021205-5.5268e-06i,0.00046336+0.00076594i,0.00010251-0.00018185i,-0.0021453-0.00049836i,-0.0014661-8.9355e-05i,0.0063469+0.0077394i,-0.00063887+0.00019429i,0.00033783+0.00081164i,0.00092118+0.00095515i,-7.2232e-05+0.0012824i,-0.00030421-0.00039993i,-0.0012207+0.0001161i,0.00053333-0.0011578i,-0.00058512+0.00030983i,0.00019044+0.00077137i,-7.3286e-05+0.00061428i,-0.00022921-0.00098967i,-0.0090551+0.0066394i,0.00056772+0.00031942i,-0.00043932+3.9234e-05i,-0.00040887+0.0016202i,-0.00015699-0.0030449i,-0.00061617+0.00019682i,-0.00059823-2.2815e-05i,0.00095376+0.0012911i,0.0033962-0.0023877i,0.00091125+0.0032415i,-0.049883+0.0093761i,-0.0034953+0.029569i,-0.013628+0.041205i,-0.0085242+0.065002i,-0.017281+0.044234i,-0.0056297+0.018927i,-0.0079228+0.012715i,-0.046901+0.002052i,-0.024949-0.0077031i,0.015052+0.026037i,0.00051843+0.0053886i,-0.0075152+0.0016847i,-0.013859-0.0017972i,0.003734-0.00030756i,0.0054988+0.012513i,-0.0065502+0.0063675i,-0.0053747-0.0069874i,0.0056989-0.0027397i,-0.0065632-0.005237i,0.0039085-0.0067181i,0.0040509-0.0020598i,-0.0025339+0.010464i,0.011615-0.0047192i,0.0063363-0.00523i,0.0053348-0.0083077i,0.0030617+0.00089191i,-0.0018647-0.0058137i,-0.0033774-0.0012613i,0.0021981-0.0019061i,-0.010649+0.030971i,-0.004297-0.0054195i,0.0032652+0.00016019i,-0.00059767-0.006836i,0.0033681-0.0016483i,-0.013486-0.0060467i,0.00084406+0.00081643i,0.0042086-0.0018529i,0.0027281-0.0011912i,0.0013073-0.005639i,-0.0025792+0.005755i,-0.00033407+0.0061726i,-0.0046938+0.006947i,-0.0049022+0.0022604i,-0.0057714-5.1883e-05i,-0.023441+0.019458i,-0.0088371+0.014243i,-0.022271-0.011505i,-0.0093537-0.010465i,0.008913+0.020074i,-0.00035626+0.020048i,-0.0090132-0.003323i
0.0060386+0.0027976i,0.038559+0.0072993i,0.018776-0.0080466i,0.013653+0.00077186i,0.0094873-0.0033251i,0.014521-0.010507i,0.012876+0.011103i,0.021672+0.015504i,0.0005393-0.003704i,0.0015002+0.00016259i,0.0022926-0.0015366i,-0.00041907-0.0025418i,-9.0183e-05-0.00068756i,0.0021242-0.00015342i,0.004509-0.002383i,0.0048409-0.00072857i,0.0037148-0.0060155i,8.7675e-05-0.0008756i,-0.0022759+0.00024267i,0.00092594+0.00016599i,-6.0658e-05-0.00056877i,-0.0022202+4.7221e-06i,-0.0014731+9.0067e-05i,0.0099434+0.0044632i,-0.00098633+0.0010436i,0.00089971+0.00048666i,0.0010461+0.00034515i,0.00048981+0.0011198i,-0.00084498+0.00013261i,-0.0011768+0.00058433i,-0.00012284-0.0012172i,-0.00067045+1.9354e-08i,0.00024097+0.00057062i,0.00024553+0.00056516i,-0.000734-6.799e-06i,-0.0063697+0.0087556i,0.00034949+1.8861e-05i,-0.00034818+0.00039047i,0.00020037+0.0014069i,-0.0010909-0.0024272i,-0.000472+3.6106e-05i,-0.0006531+0.00030274i,0.00089943+0.0011619i,0.0023032-0.0025407i,0.0020599+0.0030396i,-0.044731+0.017304i,-0.00057554+0.03058i,-0.0048684+0.041446i,0.0077494+0.06171i,-0.0062054+0.043503i,-0.0081481+0.015269i,-0.011692+0.010364i,-0.049395+0.0067064i,-0.020983-0.0092885i,0.02111+0.020282i,0.00043485+0.0051172i,-0.0062081+0.0069437i,-0.013346+0.0028569i,0.0022133-0.0019921i,0.0083521+0.01165i,-0.0025238+0.010975i,-0.009361-0.004926i,0.0025028-0.0043532i,-0.0067226-0.0017765i,-0.00072084-0.0066736i,0.0025453-0.003848i,0.0025175+0.0083415i,0.0076977-0.0079491i,0.0021982-0.0065292i,0.0011243-0.00566i,0.0042602-0.00012968i,-0.0030275-0.0045976i,-0.0016935+0.0007941i,0.0017295-0.0019237i,0.005537+0.031271i,-0.005899-0.0043674i,0.0036077-0.0017529i,-0.0037453-0.0057661i,0.0034937-0.0025423i,-0.013734+0.00045609i,0.001666+0.0012935i,0.0030987-0.002254i,0.0027914-0.002305i,-8.8708e-05-0.0056826i,-0.00052342+0.0034175i,0.0022334+0.004916i,-0.0010425+0.0081099i,-0.0038894+0.0044775i,-0.0064767+0.00092716i,-0.018281+0.018235i,-0.0066538+0.016442i,-0.025442-0.0062609i,-0.012719-0.012698i,0.01186+0.019691i,0.0037402+0.021613i,-0.011373-0.0030478i
0.0056659+0.0013134i,0.038274-0.0010365i,0.017381-0.012474i,0.015018-0.0020826i,0.01036-0.0055839i,0.012192-0.013652i,0.012649+0.0083171i,0.023485+0.011063i,-0.00051108-0.00351i,0.0012191-0.00035264i,0.0018283-0.0024723i,-0.00044492-0.001197i,-0.00010989-0.00066241i,0.0021242-0.00049639i,0.0035243-0.0031775i,0.0040262-0.0010713i,0.0015567-0.006046i,-0.00013667-0.0010368i,-0.0023047+0.0011368i,0.00076893-0.00076145i,-0.00072497-0.00086869i,-0.0020158+0.00063208i,-0.0015828+0.00035638i,0.010374-0.0005851i,-0.00029508+0.001533i,0.00085966-0.0001192i,0.00078257-5.3892e-05i,0.0009365+0.00060135i,-0.00055977+0.00064245i,-0.00096186+0.0010028i,-0.00074196-0.0009392i,-0.0011813+0.00057731i,0.00045876+0.00051898i,0.00044615+0.00034105i,-0.00027723+0.00068668i,-0.0033652+0.010029i,0.00012054+0.0001162i,-9.9531e-05+0.00039924i,0.00048998+0.0010812i,-0.0018326-0.0015059i,-0.00043749-6.8112e-05i,-0.00043137+0.00047974i,0.0010385+0.0013612i,0.0017884-0.0026306i,0.0038132+0.0020498i,-0.038831+0.023621i,0.003965+0.031528i,0.0038448+0.038263i,0.02283+0.053295i,0.0036794+0.042448i,-0.011554+0.014632i,-0.014677+0.011249i,-0.050271+0.014701i,-0.01978-0.012481i,0.024258+0.012018i,0.00063202+0.0050936i,-0.0036834+0.0087362i,-0.012453+0.0060829i,-0.00021346-0.0037595i,0.011256+0.0092278i,0.0029158+0.012043i,-0.011792-0.0017166i,0.00057544-0.0030948i,-0.0059207+0.0010919i,-0.0029323-0.0042618i,0.00062029-0.0037911i,0.0049475+0.0071879i,0.0047819-0.0086688i,-0.0016818-0.0052393i,0.00071803-0.0030831i,0.0045168-0.0024576i,-0.0050218-0.0031706i,-0.00050817+0.00049701i,0.00078822-0.0021224i,0.0187+0.023945i,-0.0076881-0.0021032i,0.0030032-0.0031431i,-0.0035111-0.0039815i,0.003725-0.0041804i,-0.010779+0.0059852i,0.0034952+0.00093075i,0.001944-0.0024913i,0.0017091-0.0026902i,-0.0019208-0.0047847i,-0.0011933+0.0028005i,0.0034325+0.0028942i,0.0024086+0.0080834i,-0.0024562+0.0051318i,-0.0070638+0.0028452i,-0.015665+0.016635i,-0.00022093+0.017258i,-0.026015-0.001476i,-0.016795-0.012938i,0.016781+0.016823i,0.0091774+0.022106i,-0.013484-0.0013709i
0.0050504+0.00043693i,0.035071-0.0079967i,0.013965-0.016722i,0.014934-0.0062531i,0.010074-0.008731i,0.0088897-0.015845i,0.012216+0.0066851i,0.02396+0.0065361i,-0.0010625-0.0033251i,0.00068484-0.0003456i,0.00072526-0.002686i,-0.00010937-0.000658i,-0.00055723-0.00038865i,0.0018197-0.00071967i,0.0023054-0.0036121i,0.0034813-0.00094166i,-0.0001642-0.0051962i,-0.00036394-0.00096888i,-0.0013526+0.0019403i,4.644e-05-0.0011452i,-0.0011894-0.00038486i,-0.0015842+0.0013014i,-0.0015171+0.00085667i,0.0081654-0.0043612i,0.00033151+0.0014513i,0.0005453-0.00026571i,0.00066786-0.00011112i,0.00079763+5.8009e-05i,-0.00014674+0.00063714i,-0.00056765+0.0014455i,-0.0011569-0.00033367i,-0.00067747+0.0012858i,0.00059344+0.00020566i,0.000396+7.3713e-05i,0.00027288+0.00075964i,-3.7055e-05+0.010196i,0.00016698+0.0001646i,-7.3586e-05+0.00027317i,0.00056442+0.00093825i,-0.0019665-0.0005106i,-0.00056096-3.7764e-05i,-0.00026329+0.0004537i,0.0015027+0.0014062i,0.0013201-0.002694i,0.0052721-7.4306e-05i,-0.031468+0.028475i,0.0095273+0.031344i,0.0088457+0.034347i,0.034739+0.040014i,0.013472+0.037137i,-0.015275+0.017176i,-0.018093+0.014459i,-0.048239+0.023636i,-0.021662-0.015752i,0.024686+0.0031105i,0.0012765+0.0055226i,-0.0010003+0.011291i,-0.010818+0.0096293i,-0.0043964-0.0027239i,0.014003+0.0047277i,0.0083571+0.01035i,-0.012782+0.0025286i,-0.0001879-0.0024502i,-0.0041778+0.0027738i,-0.0036553-0.0013178i,-0.00032828-0.003339i,0.0070467+0.0037821i,0.002019-0.0089697i,-0.003842-0.0018411i,0.0013139-0.0019363i,0.0031394-0.0045388i,-0.0056202-0.00024024i,0.00030519+0.00091579i,0.00035413-0.0018781i,0.02632+0.011997i,-0.0078211+0.0014726i,0.0021454-0.0044907i,-0.0037325-0.0027432i,0.0021112-0.0063367i,-0.0058349+0.0081157i,0.0046258-0.0011195i,0.0011422-0.0018186i,0.0010039-0.0023677i,-0.0025687-0.0030709i,-0.001442+0.0034036i,0.0033026+0.00092748i,0.0058351+0.0066477i,-0.0010943+0.0048525i,-0.0071745+0.0052329i,-0.013924+0.017576i,0.0088289+0.012467i,-0.024501+0.0037482i,-0.021927-0.011068i,0.018805+0.012091i,0.015231+0.020068i,-0.013507+0.00038682i
0.0049226-3.4289e-05i,0.031785-0.012727i,0.0097513-0.019371i,0.01363-0.010293i,0.0085557-0.011754i,0.005668-0.017066i,0.012214+0.0058649i,0.023806+0.0025826i,-0.0010308-0.0030639i,0.00026196-0.00014877i,-0.00030202-0.0023823i,0.00028387-0.00059035i,-0.00067274+0.00025717i,0.0014731-0.00092743i,0.0011661-0.0034941i,0.0035497-0.00061151i,-0.00099232-0.0040384i,-0.00079189-0.00083603i,-0.00048613+0.0018772i,-0.00060513-0.0010094i,-0.001282+0.00010286i,-0.00085468+0.0016769i,-0.0011874+0.001372i,0.0052344-0.0065403i,0.00075667+0.0011756i,0.00037263-0.00029313i,0.00055064-0.00031485i,0.00046236-0.00011822i,-3.029e-05+0.00063232i,0.00015833+0.0016447i,-0.0010829+0.00024184i,-2.3848e-05+0.0014397i,0.00052771-0.00010599i,0.00037104+0.0001818i,0.00079679+0.0006377i,0.0028906+0.0094299i,7.0655e-05+0.00028286i,-0.0002034+0.00033656i,0.00092+0.00084673i,-0.0017441+0.00023196i,-0.00066742-0.00013342i,-0.00014861+0.00040273i,0.0019089+0.00097701i,0.00057599-0.0030318i,0.0052719-0.0029344i,-0.023016+0.031011i,0.016082+0.029559i,0.014172+0.031984i,0.039242+0.024411i,0.01915+0.030113i,-0.016251+0.023344i,-0.018857+0.021892i,-0.043904+0.033233i,-0.026553-0.016585i,0.020509-0.0040979i,0.0026239+0.0057515i,0.004265+0.011353i,-0.0079044+0.01256i,-0.0059057+0.00081702i,0.01412-0.0018708i,0.012479+0.0064401i,-0.012029+0.0066723i,-0.00049853-0.00090595i,-0.0025495+0.0035754i,-0.001943+0.0005951i,-0.0020291-0.0022866i,0.0070192+0.0009375i,-0.00079698-0.0083446i,-0.0034028+0.0016217i,0.0025606-0.0022575i,0.0010917-0.0055188i,-0.0039902+0.0016541i,0.0017672+0.00048245i,0.00023465-0.0014539i,0.027277-0.00075262i,-0.0055726+0.0042969i,0.00054565-0.0053487i,-0.003473-0.0022516i,-0.00033973-0.006997i,-0.0019145+0.0077318i,0.0040586-0.0031841i,0.0013577-0.00087179i,0.0012747-0.001895i,-0.0018288-0.0023181i,6.3436e-05+0.004499i,0.0019149-0.0002727i,0.0074783+0.0033184i,-0.00057939+0.0035526i,-0.0054783+0.007924i,-0.010695+0.018706i,0.01191+0.0012124i,-0.020051+0.0056412i,-0.026408-0.0078913i,0.019891+0.0070491i,0.02003+0.01397i,-0.01418+0.00092859i
0.0050143-0.00093406i,0.028817-0.017125i,0.0058287-0.020998i,0.011308-0.014188i,0.0063842-0.014158i,0.0022879-0.017879i,0.013374+0.0051249i,0.023383-0.0012728i,-0.00079184-0.0035475i,-0.00019929+0.00021824i,-0.00076984-0.0016941i,0.00047455-0.00062874i,-0.00022763+0.00088804i,0.0011288-0.00090142i,0.00038353-0.003192i,0.0042329-0.00066657i,-0.001224-0.0034383i,-0.00085918-0.00047911i,0.0001606+0.0016633i,-0.0010078-0.00067391i,-0.00096117+0.00043866i,7.9692e-05+0.0015343i,-0.00059515+0.0016508i,0.001845-0.0073258i,0.0012359+0.00085041i,0.0002227-0.00036638i,0.00041859-0.00052177i,0.00032724-0.0001771i,0.00019447+0.00065188i,0.0007839+0.0012994i,-0.00079989+0.00057941i,0.00063944+0.0012577i,0.00034041-0.00015059i,0.00055777+1.1981e-05i,0.00099757-2.8625e-05i,0.0048884+0.0077784i,0.0001889+0.00035211i,-6.3019e-05+0.00055515i,0.00096539+0.00042753i,-0.0012175+0.0006727i,-0.00090786+2.0352e-05i,-3.6943e-05+0.00026568i,0.0021859+0.00057891i,-0.00026026-0.0028084i,0.0044626-0.0055274i,-0.015345+0.030825i,0.021896+0.025333i,0.020022+0.028194i,0.039113+0.01055i,0.022214+0.023433i,-0.013026+0.030266i,-0.01455+0.030234i,-0.035301+0.043053i,-0.031649-0.013643i,0.015542-0.0077139i,0.0040147+0.004921i,0.0078626+0.0087588i,-0.0039923+0.014772i,-0.0051427+0.0035436i,0.010531-0.008334i,0.013813+0.00039932i,-0.010032+0.0094121i,0.00049043-4.3546e-05i,-0.00065956+0.0033869i,-0.00041076+0.00055466i,-0.0021429-2.7805e-05i,0.0057362-0.00093654i,-0.003058-0.0064322i,-0.0010778+0.0037374i,0.0027354-0.0041338i,-0.0011365-0.0051604i,-0.0028043+0.0018974i,0.0021904-0.00092276i,0.00093605-0.0013724i,0.02265-0.01178i,-0.0025968+0.0053418i,-0.0011899-0.0049569i,-0.0036718-0.0014649i,-0.0029114-0.0064508i,0.00059174+0.0065712i,0.0032692-0.0046348i,0.0023577-0.0012589i,0.0013591-0.0029136i,-0.0012897-0.0026369i,0.0016162+0.0046027i,0.00069213+0.00010523i,0.0070073+0.00073876i,-0.0012166+0.0026224i,-0.0022806+0.0095492i,-0.0072697+0.018489i,0.0076829-0.008006i,-0.017544+0.0031651i,-0.031065-0.0021693i,0.018378+0.00052569i,0.020859+0.007434i,-0.015145+0.002631i
0.0049394-0.0018092i,0.024957-0.02147i,0.0013304-0.022627i,0.0072847-0.017897i,0.0036366-0.01638i,-0.0013747-0.017709i,0.015321+0.0033592i,0.022357-0.0051902i,-0.0010447-0.0042036i,-0.00033167+0.0011338i,-0.0011828-0.0011809i,0.00051371-0.0012542i,0.00032423+0.0010185i,0.00078517-0.00082165i,-0.00021164-0.0027615i,0.0048855-0.0015198i,-0.0016227-0.003097i,-0.00109-0.00030064i,0.00082493+0.0012367i,-0.0014426-0.00017685i,-0.00096036+0.00049325i,0.00061184+0.00090387i,-8.35e-05+0.001674i,-0.0015246-0.0066354i,0.0013645-0.00020175i,-1.0687e-05-0.00021823i,-0.00014329-0.0006236i,0.00015826-0.00016861i,0.00059909+0.00043664i,0.0010455+0.0007794i,-0.00033052+0.00075562i,0.00084689+0.00097254i,0.00014621-8.5548e-05i,0.00049894-0.00022064i,0.00057615-0.0007492i,0.0061339+0.0060385i,0.00031685+0.00034282i,3.268e-05+0.0005249i,0.00099308+0.00021582i,-0.00047798+0.00075521i,-0.0010175+0.00042368i,-5.3285e-06+0.00021493i,0.0023445-0.00014288i,-0.00099569-0.0023256i,0.0026338-0.00782i,-0.0090492+0.029094i,0.026001+0.019702i,0.025255+0.023039i,0.034916-0.00094331i,0.023384+0.018124i,-0.0064823+0.034663i,-0.0046936+0.035298i,-0.022582+0.048445i,-0.035453-0.0080243i,0.010699-0.0091614i,0.0048696+0.0035073i,0.0095534+0.0049578i,0.0005507+0.014992i,-0.004252+0.0052752i,0.0029219-0.010876i,0.011524-0.0048924i,-0.0076426+0.011638i,0.0015539-0.00088209i,0.00056017+0.002472i,3.054e-05-0.00014756i,-0.00045141+0.0013489i,0.0045993-0.0012636i,-0.0038756-0.0046535i,0.0017365+0.0037566i,0.0013186-0.006215i,-0.0026047-0.0040008i,-0.0018238+0.0022192i,0.0013813-0.0024561i,0.0010287-0.0023554i,0.014368-0.018027i,-3.3005e-05+0.0049748i,-0.0022172-0.0041421i,-0.00323-0.0010252i,-0.0047185-0.0052774i,0.0021215+0.0051438i,0.0018624-0.0064818i,0.0026657-0.0023i,0.00023768-0.0037204i,-0.002067-0.0032075i,0.0036686+0.0043045i,0.00041649+0.0013972i,0.0064516-0.0010329i,-0.0021189+0.002776i,0.00076411+0.0089449i,-0.0040022+0.018437i,0.00075318-0.013921i,-0.019866+0.00023826i,-0.032267+0.0057582i,0.012576-0.0037812i,0.020664+0.0019857i,-0.01434+0.0045077i
0.0049718-0.0028802i,0.020849-0.024362i,-0.0040353-0.022747i,0.0017183-0.019662i,-6.0498e-05-0.017756i,-0.0043195-0.016532i,0.017229+0.00031816i,0.02061-0.0086965i,-0.0012192-0.0051302i,0.00042555+0.0021268i,-0.00139-0.00027669i,-0.00033678-0.0015726i,0.00089154+0.001024i,0.0007368-0.00057823i,-0.00045585-0.002338i,0.0049974-0.0025558i,-0.0025898-0.0025005i,-0.001195+0.00018478i,0.0010815+0.00046895i,-0.0014435+0.00072591i,-0.00083258+0.00085587i,0.00054525+0.00011872i,0.00039406+0.001613i,-0.0038383-0.0044339i,0.00045786-0.00071687i,-4.8406e-05-6.2729e-05i,-0.00043673-0.00035498i,6.1058e-05-5.2584e-05i,0.00057943-4.9974e-05i,0.0010871+0.00042846i,2.567e-05+0.00067643i,0.0009574+0.00061127i,0.0001697+1.4142e-05i,0.00029242-0.00032479i,-0.00013521-0.00051436i,0.0068169+0.0040653i,0.00048292+0.00023662i,7.4738e-05+0.00061512i,0.0010954+7.134e-06i,0.00021932+0.00037044i,-0.00083795+0.00091812i,0.0001345+0.00021848i,0.0019461-0.0009874i,-0.001371-0.0014973i,0.00031523-0.0092365i,-0.0041119+0.026295i,0.028215+0.014025i,0.029705+0.016458i,0.028953-0.0086626i,0.02363+0.013918i,0.0011389+0.036606i,0.0052902+0.034926i,-0.0093828+0.049161i,-0.036149-0.0010905i,0.0075665-0.0092342i,0.0055812+0.0020999i,0.0092412+0.0015839i,0.0051154+0.013458i,-0.0025958+0.0070126i,-0.0035816-0.0082801i,0.0079391-0.0074143i,-0.0046132+0.013417i,0.0012352-0.002764i,0.00074943+0.0014572i,-0.00021988-0.00020069i,0.0015974+0.0012054i,0.0040036-0.00166i,-0.0046866-0.0030696i,0.0035121+0.0022401i,-0.0020042-0.0070819i,-0.0032503-0.0025048i,-0.00032555+0.0017844i,0.00053233-0.0031349i,0.00040397-0.0034808i,0.0057814-0.019704i,0.0015976+0.0038481i,-0.0029482-0.0034861i,-0.0039655-0.00077901i,-0.0061622-0.0034408i,0.0026325+0.0038877i,-0.00091541-0.0077827i,0.0027022-0.0034997i,-0.00071406-0.0032701i,-0.0027683-0.0029366i,0.0050155+0.0030846i,0.0010972+0.0022852i,0.0048817-0.0026365i,-0.0023041+0.0037422i,0.0028967+0.0073205i,0.00042715+0.018271i,-0.0090157-0.016576i,-0.023937+0.00036091i,-0.029695+0.013391i,0.0075572-0.0033752i,0.0181-0.0036593i,-0.01323+0.0044357i
0.0047761-0.0045234i,0.01693-0.027159i,-0.0086125-0.021063i,-0.0033037-0.019048i,-0.0038399-0.018081i,-0.0064875-0.015365i,0.018329-0.0039853i,0.018568-0.011833i,-0.0019117-0.0063392i,0.0017837+0.0022035i,-0.00087482+0.00044054i,-0.0010311-0.00095768i,0.0014233+0.00049379i,0.00079127-0.00055011i,-0.00060235-0.0021029i,0.0048618-0.0035343i,-0.0030111-0.0013158i,-0.00079396+0.00039267i,0.00082852-0.00018661i,-0.0009137+0.0012545i,-0.00055935+0.0010006i,0.00012724-0.00024666i,0.00086388+0.0013675i,-0.0048543-0.0016627i,-0.00016865-0.00033927i,-2.6295e-05+5.4043e-06i,-0.00052756-0.00017508i,7.5748e-05+1.1626e-05i,0.00020659-5.2261e-05i,0.0010521-4.3745e-05i,0.00037415+0.00047609i,0.00080652+0.00041122i,0.00028626-2.2916e-07i,0.00027784-0.00019618i,-0.0003026+5.1709e-05i,0.0068206+0.0022696i,0.00041506+0.00017404i,0.00039617+0.00072234i,0.001151-0.00045109i,0.00049511-0.00020147i,-0.00035907+0.0010961i,0.00020033+2.6889e-05i,0.0011321-0.001492i,-0.0014746-0.00078933i,-0.0024554-0.0099734i,-0.0013372+0.023061i,0.029307+0.0089089i,0.031893+0.00834i,0.022515-0.013919i,0.023708+0.011863i,0.0090704+0.036307i,0.013823+0.032249i,0.0020436+0.045934i,-0.034627+0.0055376i,0.0048982-0.0094712i,0.0061354-1.2063e-05i,0.0088484-0.00091271i,0.0088585+0.010107i,0.00015035+0.0073637i,-0.0067531-0.0038457i,0.0040345-0.0083358i,-0.0004985+0.013522i,-0.00066813-0.0036673i,-2.5741e-05+0.0013585i,-0.00032703-6.3075e-05i,0.002669-1.1544e-05i,0.0034093-0.0012746i,-0.0046893-0.001154i,0.0039485+0.00038933i,-0.0048652-0.0052335i,-0.0029273-0.0012499i,0.00010913+0.00056752i,-0.0003399-0.0039008i,-0.00091335-0.0038378i,-0.0014929-0.018121i,0.00292+0.0023392i,-0.0039115-0.0025909i,-0.0041459+0.00086178i,-0.0064973-0.0011052i,0.0031875+0.0031706i,-0.0045397-0.0072583i,0.002109-0.0051179i,-0.0013555-0.0031695i,-0.0032738-0.0029908i,0.0061629+0.0018535i,0.0020885+0.002552i,0.0030857-0.0025381i,-0.0018904+0.0045845i,0.0041508+0.0053458i,0.0054003+0.015863i,-0.019505-0.013764i,-0.027857+0.0032353i,-0.025175+0.017477i,0.0052228-0.002464i,0.013288-0.0068151i,-0.014592+0.0049559i
0.0037368-0.0060858i,0.01253-0.029862i,-0.012101-0.018828i,-0.0073275-0.017353i,-0.0076028-0.0176i,-0.0086973-0.014266i,0.017937-0.0093963i,0.016019-0.0147i,-0.0037196-0.0074838i,0.0028897+0.0016137i,-0.00016971+0.00068315i,-0.0012197-6.669e-06i,0.001452-0.00016091i,0.0008729-0.00064196i,-0.00088063-0.0019994i,0.004381-0.004649i,-0.0029983-0.00016199i,-0.00055558+0.00028948i,0.00050061-0.00041434i,-0.00030953+0.0014285i,-0.00030126+0.0011098i,-0.00020035-0.00026388i,0.0011607+0.00091325i,-0.0044297+0.0010174i,-0.00015149+0.00013976i,7.3246e-07+7.8786e-05i,-0.00055252+6.7092e-05i,8.7932e-05+4.4665e-05i,0.00018406+8.5686e-05i,0.00070344-0.00046189i,0.00053957+0.00012383i,0.00088446+0.00049974i,0.00030785-7.8617e-05i,0.00033426-0.00046468i,-3.7555e-05+0.00043978i,0.0066134+0.00089778i,0.0005251+4.4233e-05i,0.00073607+0.00061541i,0.00062498-0.00081801i,0.00069552-0.00063061i,0.00013234+0.001174i,0.00011647-1.3533e-05i,0.0002398-0.0013162i,-0.0013598+0.00024946i,-0.005191-0.0095377i,-0.00048807+0.021244i,0.029869+0.0040261i,0.031043+0.0017814i,0.015483-0.017431i,0.026155+0.010678i,0.016632+0.033455i,0.022207+0.027271i,0.011676+0.039847i,-0.030355+0.011172i,0.0023994-0.0092408i,0.0052048-0.0031538i,0.00821-0.0038047i,0.010143+0.0054773i,0.0018846+0.0063317i,-0.0077536+0.0012403i,0.00034659-0.0076377i,0.0025411+0.011292i,-0.0027517-0.0029026i,-0.00025793+0.0021211i,-0.00036105+0.00019875i,0.0031916-0.0016635i,0.0041417-0.00025122i,-0.0035523+3.0016e-05i,0.003844-0.00025252i,-0.0056868-0.0029076i,-0.0022411-0.00061846i,-0.00025232+0.00018415i,-0.0024913-0.0042846i,-0.0021615-0.0031663i,-0.0072972-0.015161i,0.0033667+0.00019695i,-0.0045515-0.0012103i,-0.0029698+0.0019031i,-0.0061309+0.00069741i,0.0039966+0.0023757i,-0.0071858-0.0047614i,0.00013774-0.0065581i,-0.0023969-0.0026732i,-0.0048028-0.0023494i,0.0069201-0.00067688i,0.0033865+0.0025248i,0.0027882-0.0022657i,-0.00058033+0.0057941i,0.004099+0.0031455i,0.0092124+0.011683i,-0.025073-0.0053242i,-0.030969+0.0088361i,-0.020646+0.021296i,0.0032545-0.00085911i,0.0092121-0.0068551i,-0.014828+0.0069863i
