-0.0014305-0.042039i,0.0002574-0.047042i,-0.0074584-0.047992i,-0.029763-0.023329i,-0.02286+0.010622i,-0.03647-0.033608i,-0.062954-0.058977i,-0.019024-0.070679i,-0.027417-0.054987i,-0.0007527+0.017223i,-0.010095+0.011988i,-0.014405+0.013538i,0.0023201+0.014522i,-0.0027889-0.0018038i,0.0017965+0.0061605i,0.00013393+0.034041i,0.021842+0.047874i,0.0011177-0.00061696i,-0.0037642-0.0095645i,0.0085269+0.004388i,0.001484+0.0011673i,-0.0010179+0.0036951i,-2.33e-05-0.00056361i,-0.036431-0.010399i,-0.0028298-0.0076525i,-0.0011087+0.0046071i,0.0023487-0.0008692i,-0.00015311+0.00036286i,0.0008288-0.00064313i,-1.2832e-05-0.0020857i,-0.0017874-0.0054018i,-0.002889-0.006653i,-0.0015622-0.0068576i,0.0034402-9.0826e-05i,0.0032792-0.0016641i,-0.0050908+0.039135i,0.0070635-0.0045882i,0.0032397-0.00078916i,0.0049331-0.00015989i,-0.016411-0.001731i,-0.00095511-0.00016753i,0.010813-0.001454i,0.0041688+0.0024404i,-0.0041125+0.0018197i,0.00014111+0.008352i,-0.005713+0.018204i,0.026766-0.081614i,0.00014112-0.054691i,-0.022789-0.04379i,-0.019318-0.037587i,0.06297-0.016079i,0.03073-0.057633i,0.039197-0.043839i,0.033829-0.051656i,0.01983-0.016577i,0.0073044+0.012362i,0.023913-0.033994i,-0.0086733-0.0053149i,0.003197-0.001316i,-0.0028859-0.0056032i,0.0056024-0.031811i,-0.025335+0.030094i,0.0089018-0.01018i,-0.012734-0.0023503i,-0.0047061-0.0018007i,0.00065466-0.014547i,-0.010952+0.0051765i,0.0031669+0.0068133i,-0.0148+0.031779i,0.0054205+0.0069984i,-0.0062185-0.0018971i,-0.0010782-0.002658i,-0.011762-0.0072475i,0.00037191-0.0035825i,-0.035331+0.0044588i,0.0014799-0.012934i,-0.0094793-0.0028457i,-0.0066693-0.0035772i,0.0064261+0.0021581i,-0.0090868+0.0022163i,1.6487e-07+0.0017737i,0.0061033+0.010611i,0.0046709+0.00078675i,-0.0093472-0.009928i,0.0016491+0.0080664i,-0.019708+0.0046399i,0.0067152+0.0032052i,-0.027771-0.0089944i,-0.035958-0.0020745i,0.026687-0.078894i,0.014482-0.0087853i,-0.042013-0.028464i,-0.023867-0.0064548i,0.017193+0.012365i,-0.026726+0.010867i,-0.012461-0.0096881i
-0.016128+0.026131i,-0.00051572+0.057412i,0.032503+0.039459i,0.003655+0.012767i,-0.0023715+0.0052036i,0.031654-0.0059354i,0.010505+0.016305i,0.010821+0.049718i,0.0061651+0.018667i,-0.0012152+0.010589i,-0.00029527+0.001266i,0.002263-0.0046935i,0.0023746-0.0022216i,0.0031653-0.0013312i,0.0038193-0.0013006i,0.0067382+0.00053322i,0.010344-0.0057012i,-0.0013351+8.1223e-05i,-0.0045618+0.00098228i,-1.1095e-05+0.0025042i,-0.0013216-0.00015003i,-0.0045839-0.0012912i,-0.0024951+0.00056946i,0.006266+0.0086591i,0.0032907+0.002827i,0.0021433+0.0010113i,0.0016623+0.0014368i,-0.0010951+0.0033124i,7.7315e-05+0.00092893i,-0.0010644+0.0012329i,0.0015336-0.0034323i,-0.00095384-0.0011138i,-0.0013232-0.00054139i,0.00016005+0.00018562i,-0.00033027-0.0019855i,-0.0095639+0.01246i,0.0026529-0.00052136i,0.00056858-0.00059786i,-0.00061624+0.0023932i,-0.0009839-0.0037975i,-0.0016145-0.00037308i,-0.0029873-0.0027138i,0.00051078+0.0056422i,0.0041883+0.0024931i,-0.033738+0.014115i,-0.07509+0.016078i,-0.044175+0.0386i,-0.020413+0.035485i,-0.0024366+0.050159i,-0.0091206+0.029818i,0.010466+0.0088625i,-0.0076351-0.0084316i,-0.035163-0.005233i,-0.044157+0.013364i,0.008109+0.022004i,-0.003026+0.0042804i,-0.0035525+0.0033314i,-0.013765-0.0027248i,0.0096646+0.0018376i,0.011437+0.015258i,-0.0040036+0.0095004i,-0.0066097-0.0114i,0.0066029-0.0039708i,-0.0064382-0.0043957i,0.0037734-0.0079169i,0.0059639-0.0022838i,-0.00062269+0.0099711i,0.013817-0.0050047i,0.0081324-0.0071847i,0.0053346-0.0070926i,0.0035472-0.0008272i,-0.0026579-0.0070329i,-0.004457-0.0020172i,0.0023588-0.00087131i,-0.0083915+0.037708i,-0.005627-0.0054485i,0.0011657+0.00065888i,-0.00037948-0.0084549i,0.0036289-0.0012092i,-0.013724-0.004584i,0.0012113-0.00026926i,0.0039606-0.0038305i,0.0024994-0.0018642i,0.00046092-0.0060493i,-0.00018687+0.006206i,-0.00028397+0.0040145i,-0.0032348+0.0053042i,-0.011575-0.00078934i,-0.0093717+0.0020503i,-0.035623+0.039527i,-0.0086488+0.016366i,-0.022607-0.0032084i,-0.00035797-0.00076421i,0.010548+0.020928i,-0.0018309+0.020012i,-0.0056596-0.00097278i
-0.01228+0.02541i,0.0082923+0.054565i,0.039106+0.033217i,0.0061979+0.013156i,0.0013367+0.0060896i,0.030108-0.012748i,0.011672+0.013451i,0.01853+0.046324i,0.0090669+0.016908i,-0.00014624+0.010219i,0.0007298+0.0016324i,-0.00013093-0.0035595i,0.0014432-0.0021284i,0.0026669-0.0010958i,0.003287-0.0019261i,0.0062928-0.00036225i,0.0077725-0.0074795i,-0.00050211+0.00046588i,-0.0044448+0.0014344i,0.0011528+0.0015666i,-0.0013845-0.00014897i,-0.004714+4.712e-05i,-0.0023035+0.00071939i,0.010452+0.0044541i,0.0035071+0.0027554i,0.0028915-5.9299e-05i,0.0018969+0.00055861i,0.00010573+0.0034765i,-4.8469e-05+0.0011076i,-0.00060784+0.0017033i,-0.00027273-0.0036055i,-0.0015242-0.0012563i,-0.0018758-0.00011925i,0.00022276+2.0258e-05i,-0.0010531-0.00067045i,-0.0045597+0.013897i,0.0016781-0.0013707i,0.00045328-0.00045812i,0.00070987+0.0022292i,-0.0016813-0.0028245i,-0.001468-0.00010667i,-0.0045395-0.0025086i,0.0017018+0.0055051i,0.0035149+0.0019084i,-0.028946+0.020731i,-0.067908+0.028315i,-0.040107+0.046315i,-0.012659+0.037437i,0.010931+0.045616i,0.00039059+0.026096i,0.0054676+0.0016426i,-0.014663-0.011906i,-0.037429-0.0045559i,-0.035041+0.014851i,0.013451+0.018032i,-0.0029034+0.0047416i,-0.0020376+0.0063701i,-0.013921+0.002872i,0.0081706-0.0018129i,0.014898+0.011872i,0.00079307+0.013919i,-0.012033-0.0093328i,0.0019251-0.0050232i,-0.005854-0.0013508i,-0.0010242-0.0073491i,0.0041863-0.0045385i,0.0037284+0.0074627i,0.0091498-0.0086305i,0.0026931-0.0085142i,0.001752-0.005622i,0.0042376-0.0021801i,-0.0040339-0.0055522i,-0.0027748+0.00092557i,0.0029965-0.0012287i,0.0092915+0.035468i,-0.0071049-0.0036463i,0.002008-0.0011044i,-0.0043004-0.0071235i,0.0039428-0.0023833i,-0.013291+0.001632i,0.0015608+9.567e-05i,0.002042-0.0035576i,0.0027527-0.0030664i,-0.0010641-0.0059397i,0.0014308+0.0027012i,0.0014135+0.0034945i,-0.00023279+0.0062836i,-0.010317+0.0031622i,-0.009114+0.0038378i,-0.027587+0.04025i,-0.0064905+0.01953i,-0.024627-0.00054909i,-0.0013812-0.00533i,0.013191+0.019533i,0.0025084+0.022148i,-0.0079599-0.00079248i
-0.0099789+0.025371i,0.015382+0.05014i,0.044488+0.024799i,0.010443+0.010922i,0.0060691+0.0048459i,0.026782-0.019431i,0.011993+0.010454i,0.025957+0.041608i,0.01197+0.015108i,0.0017728+0.010566i,0.0014232+0.0009063i,-0.00064687-0.0015838i,0.00059087-0.0023486i,0.0026032-0.0014965i,0.0026713-0.0024405i,0.0057039-0.0012021i,0.0053682-0.0090556i,-0.00024817+0.00017284i,-0.0043262+0.003542i,0.001295+0.00013376i,-0.0018754-0.00015642i,-0.0041262+0.0013904i,-0.002374+0.0009953i,0.010706-0.001369i,0.0050757+0.001282i,0.0022871-0.0013959i,0.001799-0.0001491i,0.0015244+0.0026826i,0.00038205+0.0013111i,-0.00024696+0.0019064i,-0.0018575-0.0027402i,-0.0022667-3.2183e-05i,-0.0016378+0.0001204i,3.605e-05-0.00021609i,-0.0006808+0.00030266i,-0.00066639+0.013939i,0.00083711-0.0014218i,0.00035246-0.00062525i,0.0013874+0.0014528i,-0.0022776-0.0021026i,-0.0014634+0.00010374i,-0.0076252-0.00077829i,0.0028415+0.0053198i,0.0037344+0.0019612i,-0.021417+0.024755i,-0.059497+0.038499i,-0.031963+0.053887i,-0.003943+0.036907i,0.022678+0.036895i,0.00828+0.033657i,-0.0015311-0.0009889i,-0.021675-0.011022i,-0.040591-0.00084062i,-0.028029+0.012686i,0.016371+0.011883i,-0.0025712+0.0052277i,-0.00075083+0.0064532i,-0.01296+0.0069273i,0.0048175-0.005798i,0.017739+0.0073199i,0.0071343+0.014197i,-0.015673-0.005423i,0.00035101-0.0028218i,-0.0050254+0.0015514i,-0.0030687-0.0050463i,0.0017692-0.0052007i,0.0055404+0.0061578i,0.0056694-0.0094041i,-0.0021161-0.0074507i,0.0011244-0.0038639i,0.0034065-0.0049322i,-0.0073722-0.0036749i,-0.00073018+0.0010713i,0.0020689-0.0026243i,0.022137+0.025056i,-0.008545-0.00083557i,0.0020233-0.0021756i,-0.0044716-0.0045092i,0.004409-0.0042605i,-0.0096595+0.006464i,0.0028756+4.4494e-05i,0.0005942-0.0041559i,0.0013411-0.0035682i,-0.0032037-0.0045999i,0.0002194+0.0020831i,0.0027016+0.0023131i,0.0031318+0.0057798i,-0.0084729+0.0054919i,-0.0087197+0.0063223i,-0.021147+0.039658i,0.0012538+0.021684i,-0.02402+0.0034556i,-0.003866-0.0092003i,0.018292+0.016072i,0.0084312+0.02364i,-0.0099186+0.0010498i
-0.0075472+0.025972i,0.020104+0.046006i,0.047338+0.014483i,0.012719+0.0061552i,0.009463+0.00081773i,0.0215-0.024672i,0.011739+0.0084305i,0.031543+0.035108i,0.014899+0.011981i,0.0043413+0.0091129i,0.0016005+0.00051311i,1.2424e-05-0.00070279i,-0.00079492-0.0016072i,0.0018699-0.001559i,0.0018067-0.0028993i,0.0050831-0.0016777i,0.0019462-0.0091485i,0.0001794+0.00022377i,-0.0021154+0.0053423i,0.00058777-0.00062543i,-0.0020968+0.00080474i,-0.0034498+0.0024687i,-0.0022309+0.0016212i,0.0077883-0.0054489i,0.0047535-0.00077296i,0.0012269-0.0017185i,0.001424-0.00065128i,0.0019179+0.0016803i,0.00097464+0.00079616i,0.00031551+0.0022813i,-0.002726-0.0011611i,-0.0017354+0.0010977i,-0.0011122+0.00040635i,-0.00026244-0.00014757i,-0.00023532+0.00060507i,0.0030573+0.013121i,0.00036783-0.001467i,-1.799e-05-0.00075206i,0.0014641+0.001014i,-0.0026667-0.0012685i,-0.0014971+0.00054105i,-0.0046681-0.0037455i,0.0043677+0.0047969i,0.0042188+0.0017483i,-0.01369+0.024297i,-0.048428+0.046634i,-0.022371+0.059395i,0.0022718+0.033909i,0.03089+0.023767i,0.013301+0.021058i,-0.0089964+0.0014085i,-0.029049-0.0064768i,-0.042747+0.0053805i,-0.024806+0.0086564i,0.017561+0.0052666i,-0.0019425+0.0067416i,0.00058704+0.0086744i,-0.010349+0.010977i,-0.00082656-0.0055207i,0.019233+0.00020125i,0.012957+0.01137i,-0.018135-0.00042726i,-0.00019283-0.0020798i,-0.0027609+0.0029122i,-0.0040566-0.0020457i,-3.2492e-05-0.0048291i,0.0072901+0.0028106i,0.0024019-0.0096117i,-0.0051737-0.0025108i,0.0013275-0.0031246i,0.00077632-0.0064894i,-0.0085498-0.00011042i,0.0006266+0.0013127i,0.00099285-0.0028953i,0.030465+0.011449i,-0.0081449+0.0033436i,0.0017641-0.0037657i,-0.0044767-0.0026461i,0.0029402-0.0070421i,-0.0048197+0.0078873i,0.0038548-0.00161i,-0.0009087-0.0031362i,0.00060012-0.0033593i,-0.003545-0.0022406i,-0.00013632+0.0025462i,0.0029356+0.00033985i,0.0057396+0.0040027i,-0.0065242+0.0067143i,-0.0077893+0.0087692i,-0.016034+0.040179i,0.012937+0.017268i,-0.021717+0.0080756i,-0.0094633-0.011368i,0.020145+0.010468i,0.015287+0.021733i,-0.0091028+0.0029827i
-0.0040216+0.026669i,0.025278+0.043339i,0.047173+0.0054246i,0.013254+0.0014577i,0.010019-0.0043802i,0.015829-0.02828i,0.011756+0.007429i,0.035671+0.028563i,0.016768+0.0081938i,0.0054227+0.0066044i,0.001258+0.0004315i,0.00094634-0.00071294i,-0.0012398+7.6271e-05i,0.0014296-0.001542i,0.00087745-0.0027345i,0.0047421-0.001862i,-0.00037221-0.0078196i,0.0001645+0.00018958i,-0.0010192+0.0054437i,-0.00021697-0.00074516i,-0.0017558+0.0013705i,-0.0020885+0.0032734i,-0.0016997+0.0022791i,0.0038934-0.0075049i,0.0034532-0.0023394i,0.00063485-0.0017961i,0.00094201-0.00093301i,0.0018074+0.0009486i,0.00093827+0.00024523i,0.0013781+0.0021758i,-0.0023855+0.00017243i,-0.00092382+0.0014769i,-0.00047917+0.00065854i,-0.00022657+0.00022223i,0.00030373+0.00071942i,0.0060576+0.011314i,-0.00019561-0.0012513i,-0.00041485-0.00055657i,0.0017682+0.00079795i,-0.0024706-0.00045194i,-0.0012649+0.0006971i,-0.0079421-0.0030244i,0.0054121+0.0034267i,0.0042379+0.00064281i,-0.0098249+0.022593i,-0.036079+0.051247i,-0.0096389+0.063042i,0.0076759+0.031673i,0.032085+0.009872i,0.015664+0.01319i,-0.012676+0.0085858i,-0.033609+0.0032018i,-0.044676+0.014833i,-0.026062+0.0053996i,0.014768-0.00056117i,0.00024078+0.0077174i,0.0048552+0.0087338i,-0.006203+0.013584i,-0.0033196-0.0022258i,0.016843-0.0080175i,0.017505+0.006195i,-0.018532+0.0054806i,-9.7618e-06-0.00053993i,-0.00096622+0.0030025i,-0.0025677-0.0001508i,-0.0024711-0.0035329i,0.0067508+0.00064212i,-0.00063327-0.0086546i,-0.0040164+0.0012514i,0.0017009-0.0035058i,-0.0019074-0.0065681i,-0.0055147+0.0021887i,0.0025206+0.00026151i,0.00058923-0.0025271i,0.031179-0.003264i,-0.0049798+0.0060565i,8.584e-05-0.0049575i,-0.0036477-0.0019099i,0.00020602-0.0080947i,-0.0013306+0.0071262i,0.0032848-0.0031851i,-0.0013251-0.0012719i,0.00032697-0.0027569i,-0.0023396-0.0010892i,0.00077234+0.0032225i,0.001645-0.00096069i,0.0059594-0.0013316i,-0.0047947+0.0069975i,-0.0050591+0.011481i,-0.010067+0.040697i,0.019144+0.0041382i,-0.016781+0.0090234i,-0.016545-0.010624i,0.020753+0.0051755i,0.021274+0.015467i,-0.0090271+0.002972i
-6.5144e-05+0.026405i,0.031252+0.039619i,0.046869-0.0033491i,0.012831-0.0033099i,0.0091629-0.0085409i,0.0095441-0.030787i,0.012917+0.0067013i,0.038782+0.021793i,0.017657+0.0038653i,0.0061844+0.0057991i,0.0017602+0.00043621i,0.0014707-0.00082099i,-0.00010902+0.0013724i,0.0011273-0.0013854i,0.0003434-0.0024724i,0.0047524-0.0020348i,-0.0014687-0.0068838i,0.0006498-5.2306e-05i,8.0192e-05+0.0049324i,-0.0007471-0.00048826i,-0.0010593+0.0016772i,-0.00057049+0.0031853i,-0.00087925+0.0025824i,-0.00097001-0.0077243i,0.0025453-0.0031609i,-0.00012513-0.0018494i,0.00042897-0.0010318i,0.0018803+0.00047862i,0.00075887-8.7268e-06i,0.0019481+0.0012536i,-0.0018356+0.00099319i,-0.00023411+0.0015969i,0.0001449+0.00076594i,-5.9695e-06+0.00023785i,0.0004885+0.00013896i,0.0076852+0.0085305i,-0.00051859-0.0010216i,-0.00053012-0.00018465i,0.0016193-3.2165e-06i,-0.0020147-3.315e-05i,-0.0012652+0.00086103i,-0.0037398-0.00026902i,0.0060073+0.0022146i,0.0040317+0.00020909i,-0.0070511+0.021128i,-0.02439+0.051917i,0.0040109+0.061608i,0.013068+0.02902i,0.029148-0.0019472i,0.015274+0.007496i,-0.010736+0.016735i,-0.03217+0.015221i,-0.040974+0.028629i,-0.029414+0.0059759i,0.010637-0.0029411i,0.0027179+0.0073534i,0.0077522+0.0062295i,-0.0014667+0.015012i,-0.0036534+0.00022057i,0.010264-0.01502i,0.018538-0.0015902i,-0.016619+0.010476i,0.001217-0.00032132i,0.00022512+0.0020674i,-0.00096502+4.2705e-05i,-0.0028035-0.00075776i,0.0056731-0.00081551i,-0.002484-0.0072252i,-0.0010794+0.003419i,0.0013096-0.0046016i,-0.0041716-0.00492i,-0.0034686+0.002401i,0.0027382-0.0019279i,0.00089105-0.002391i,0.024143-0.015765i,-0.0014546+0.0066842i,-0.0021393-0.0046641i,-0.0034827-0.0012114i,-0.0029957-0.0076834i,0.00067688+0.0060858i,0.0031616-0.004834i,6.0532e-05-0.00051681i,-5.9047e-05-0.0036744i,-0.00090494-0.0013561i,0.0014411+0.0033303i,0.00016847-0.00048888i,0.004804+0.0005404i,-0.0038454+0.0066961i,-0.00085537+0.012428i,-0.0038936+0.040382i,0.015331-0.0080321i,-0.014361+0.0058238i,-0.023496-0.0052537i,0.01892-0.0016044i,0.022738+0.0078974i,-0.009403+0.0043944i
0.0040046+0.025702i,0.036668+0.034453i,0.043831-0.012947i,0.010114-0.0086076i,0.0072501-0.01294i,0.0027736-0.031534i,0.01488+0.004914i,0.040934+0.01456i,0.017035-2.1616e-05i,0.0071426+0.0050144i,0.0019631+0.00016335i,0.0017366-0.0019543i,0.0010475+0.0014825i,0.00085457-0.0013651i,-1.8727e-05-0.0021323i,0.0047317-0.0026437i,-0.002872-0.006269i,0.00029151-0.00061261i,0.0015274+0.0039741i,-0.0013518+4.8352e-05i,-0.00086681+0.0015871i,0.00053513+0.0022211i,-0.00021209+0.0026501i,-0.0051685-0.004731i,0.00092083-0.0046851i,-0.00080818-0.001212i,-0.00020595-0.0010646i,0.0017668-6.0863e-05i,0.00078924-0.00013941i,0.0019516+0.00028009i,-0.00097107+0.0014689i,0.00031491+0.0018665i,2.2788e-05+0.0008933i,-2.4677e-05+0.00034034i,7.1032e-05-0.00027691i,0.0074401+0.0048257i,-0.00083551-0.00058296i,-0.00058185+1.622e-05i,0.001338-0.00029623i,-0.0014486+7.3028e-05i,-0.001138+0.0012682i,-0.0019358+1.6605e-05i,0.006307+0.00090524i,0.0038345-0.0002903i,-0.0047758+0.020167i,-0.014393+0.05072i,0.015743+0.055952i,0.018514+0.025509i,0.022946-0.01066i,0.013978+0.0038879i,-0.0047984+0.02199i,-0.023925+0.025017i,-0.029211+0.039452i,-0.032246+0.010562i,0.007219-0.0033375i,0.0046845+0.0059354i,0.0085386+0.0027567i,0.0035414+0.014097i,-0.0036864+0.002191i,-0.00030761-0.016601i,0.015363-0.008061i,-0.013415+0.014074i,0.0019533-0.0017612i,0.0007978+0.0014888i,-0.00056364-0.00070417i,-0.0012214+0.0010805i,0.0047813-0.001128i,-0.0032905-0.0063252i,0.0016051+0.0032533i,3.1913e-05-0.0058821i,-0.005281-0.00267i,-0.0019192+0.0029013i,0.0014818-0.0036355i,0.00073814-0.0033717i,0.013813-0.021412i,0.0011925+0.0061027i,-0.0034287-0.0034226i,-0.0030453-0.001136i,-0.0053397-0.0062397i,0.0018409+0.0047572i,0.0013134-0.0070448i,0.00094329-0.00112i,-0.0012013-0.0032154i,-0.0010808-0.0025266i,0.0035239+0.0039803i,-0.00010958+0.00089082i,0.0049463-0.0014376i,-0.0034785+0.0071117i,0.0023599+0.010603i,0.0026059+0.039388i,0.0077586-0.015933i,-0.016963+0.0026743i,-0.025459+0.0033793i,0.013062-0.0059352i,0.022728+0.0015791i,-0.0078046+0.0052416i
0.0082768+0.023612i,0.041788+0.029084i,0.03863-0.020285i,0.0047781-0.011753i,0.0034304-0.016389i,-0.0033311-0.030538i,0.016869+0.0020418i,0.041593+0.0071409i,0.016194-0.003554i,0.0085031+0.0039072i,0.0022692+0.00013729i,0.0006866-0.003248i,0.0021226+0.0011518i,0.00072308-0.0012161i,-8.6938e-05-0.0019409i,0.0044449-0.0032607i,-0.0047278-0.004631i,-8.4925e-05-0.00065524i,0.0023948+0.0024209i,-0.0012848+0.0011917i,-0.00052184+0.0018692i,0.00046407+0.00095881i,0.00052396+0.0026198i,-0.0053817+0.00042057i,-0.0019055-0.0041459i,-0.0010085-0.00061306i,-0.00063619-0.00072784i,0.0014309-0.00043363i,0.00064932-0.0006711i,0.0016593-0.0003545i,-0.0001002+0.0014255i,0.00097443+0.001606i,0.00043339+0.0011608i,-0.0001888+0.00045031i,-0.00014181+0.00018643i,0.0064813+0.0023579i,-0.00084818-9.0517e-05i,-0.00045592+0.00033406i,0.0011222-0.00056904i,-0.0010968-0.0001292i,-0.00070494+0.0017614i,-0.0011766+0.0002291i,0.0063779-0.00060582i,0.003442-0.0006667i,-0.0023621+0.019288i,-0.0055108+0.047706i,0.023883+0.048429i,0.023882+0.020448i,0.015774-0.015267i,0.01242+0.0018025i,0.0024295+0.024036i,-0.013681+0.02869i,-0.013617+0.044115i,-0.032043+0.017427i,0.0055712-0.0026394i,0.0061359+0.0038136i,0.0078784+0.00013901i,0.0080695+0.011514i,-0.0027113+0.0046165i,-0.0091788-0.011959i,0.010243-0.011837i,-0.0096913+0.017114i,0.00082238-0.0031608i,0.0006672+0.00080569i,-0.0011657-0.00077256i,0.0012006+0.0015071i,0.0043181-0.0015361i,-0.0046638-0.0048527i,0.0034913+0.001634i,-0.0026685-0.0063314i,-0.0049599-0.00039752i,-4.1809e-05+0.0024286i,0.00047313-0.0044513i,-0.00014345-0.0042023i,0.004509-0.022382i,0.0033019+0.0046872i,-0.0040398-0.0023378i,-0.0038446-0.0011315i,-0.0070261-0.0036896i,0.0020642+0.0038944i,-0.0013944-0.0083309i,0.0012808-0.0020231i,-0.0016901-0.0025041i,-0.0016945-0.0027307i,0.0048359+0.0027182i,0.00060619+0.0018146i,0.0034911-0.0025316i,-0.0028164+0.0078391i,0.0042302+0.0087618i,0.0096929+0.037455i,-0.0028684-0.020459i,-0.021047+0.0031254i,-0.022543+0.01156i,0.0071744-0.005499i,0.02007-0.0057454i,-0.0062269+0.0037857i
0.011616+0.020235i,0.046543+0.021869i,0.033069-0.025511i,9.247e-05-0.011346i,-0.0011368-0.018287i,-0.0082851-0.028909i,0.018179-0.0023265i,0.041202+0.00035349i,0.014553-0.0064923i,0.0098384+0.0019073i,0.0029743-0.0003561i,-0.00084648-0.0031137i,0.0028121-0.0001606i,0.00078663-0.001292i,-0.00028842-0.0018939i,0.0042771-0.0036782i,-0.0049906-0.0024863i,-0.00041018-0.00095274i,0.0022047+0.00096318i,-0.00048367+0.0017613i,0.00026686+0.0018883i,-4.5392e-06+0.000506i,0.0012566+0.0022964i,-0.002079+0.0025027i,-0.0030462-0.0020846i,-0.0010266-0.00012999i,-0.00076982-0.000387i,0.0010603-0.00067271i,4.3432e-05-0.00049756i,0.0011268-0.00098193i,0.00064977+0.0010343i,0.0013083+0.0011738i,0.0010685+0.0011238i,0.00025163+0.00061647i,0.00036032+0.00047381i,0.0060545+1.5673e-05i,-0.00086268+0.00047809i,-0.00019967+0.00051129i,0.0007567-0.00091414i,-0.00089744-0.0003981i,5.5792e-05+0.0018369i,-0.00062848+0.0013637i,0.0059036-0.0019283i,0.0029585-0.00096852i,-0.0004273+0.018726i,0.00074873+0.043313i,0.029444+0.041232i,0.027247+0.013554i,0.0096329-0.01681i,0.011825+0.001847i,0.010033+0.023558i,-0.004295+0.029799i,0.00070546+0.04269i,-0.028214+0.024699i,0.0049027-0.0027564i,0.0066058+0.000799i,0.0074036-0.0020757i,0.011149+0.0070739i,-0.00039371+0.0051419i,-0.013311-0.0046486i,0.0047283-0.013217i,-0.004282+0.018419i,0.000147-0.0031205i,0.00016769+0.00098889i,-0.0015684-0.00020316i,0.0026342+0.0001519i,0.0041313-0.0012287i,-0.0052637-0.0026544i,0.0036943-0.00028967i,-0.0052703-0.0045748i,-0.0031535+0.0011879i,0.00053002+0.00098849i,-0.00082784-0.0050919i,-0.0015052-0.0042803i,-0.0037303-0.019935i,0.0049728+0.0022211i,-0.0049349-0.001071i,-0.0043257+0.00060248i,-0.0073053-0.00056874i,0.0026095+0.0036926i,-0.0052214-0.0082586i,0.00091702-0.0032759i,-0.0020542-0.0022722i,-0.0024689-0.0034027i,0.0058049+0.0015632i,0.0016416+0.0017862i,0.0022174-0.0021018i,-0.0019062+0.0084042i,0.0056768+0.0066886i,0.016799+0.033259i,-0.014979-0.018689i,-0.024613+0.0058269i,-0.017078+0.015773i,0.0044546-0.0039468i,0.014005-0.010244i,-0.0077186+0.0026097i
0.013184+0.016948i,0.049519+0.013373i,0.027599-0.030029i,-0.0027696-0.0099915i,-0.0059178-0.018621i,-0.013197-0.026963i,0.017846-0.00786i,0.039782-0.0064382i,0.012522-0.0092925i,0.010411-0.00062325i,0.003402-0.0016277i,-0.0018461-0.0021847i,0.0023734-0.0014616i,0.00066568-0.0014574i,-0.00072101-0.0019336i,0.0041066-0.0043616i,-0.0046575-0.0010401i,-0.0010725-0.0010748i,0.0019071+0.00017609i,0.0002988+0.0018394i,0.00048473+0.0016571i,-0.00039551+0.00059429i,0.0016557+0.0016992i,-0.0011578+0.0011007i,-0.0027064-0.00019133i,-0.0009303+0.00041632i,-0.00082689-0.00010255i,0.00042665-0.00051842i,-0.00014709-0.00015691i,0.000302-0.0010775i,0.0010636+0.00045453i,0.0016623+0.00084138i,0.0013999+0.00051045i,0.00060982+0.0002226i,0.0010269+0.00013447i,0.0053615-0.0011762i,-0.00035599+0.00086878i,6.0667e-05+0.00061434i,-3.4568e-05-0.00091561i,-0.00075006-0.00065945i,0.00070304+0.0017212i,0.00020925+0.001562i,0.0055715-0.003437i,0.0026894-0.00032402i,0.0017774+0.017953i,0.004867+0.040034i,0.033801+0.034139i,0.028173+0.0074495i,0.0041287-0.017855i,0.013771+0.0019708i,0.016973+0.01999i,0.0061121+0.027698i,0.013874+0.036191i,-0.020582+0.030177i,0.0040736-0.0033097i,0.0051082-0.002703i,0.0063309-0.004351i,0.011011+0.0016915i,0.00070132+0.0044815i,-0.013826+0.0033769i,-0.00090703-0.012348i,-9.3758e-05+0.016421i,-0.0020521-0.0033301i,3.8645e-05+0.0017855i,-0.0015997+0.00040328i,0.0033845-0.0014228i,0.0049428-0.0010656i,-0.0042963-0.00097887i,0.0034769-0.00075429i,-0.0063006-0.002071i,-0.0014765+0.00093341i,0.00016982+0.00039728i,-0.0034029-0.0052299i,-0.0029238-0.0033719i,-0.010257-0.015999i,0.0050149-0.00067726i,-0.0051546+0.000833i,-0.0032229+0.0020194i,-0.0064414+0.0015419i,0.0038176+0.0032874i,-0.0084929-0.0055641i,-0.0004913-0.0045424i,-0.0027505-0.0017503i,-0.0042994-0.0031116i,0.0068577-0.00063614i,0.0024171+0.0018302i,0.0022623-0.0017324i,7.0255e-05+0.0093791i,0.0057239+0.0044801i,0.022779+0.026946i,-0.021931-0.010142i,-0.027421+0.011219i,-0.010838+0.017797i,0.0025035-0.0021051i,0.007509-0.0092198i,-0.0085009+0.0028422i
