-0.023006-0.018615i,-0.032441-0.033184i,-0.022306-0.01958i,-0.032741-0.020567i,-0.023782+0.0042493i,-0.028768-0.017641i,-0.058086-0.04418i,-0.040207-0.041477i,-0.031465-0.017998i,0.0049261+0.0046319i,-0.0039263+0.0065331i,-0.011234+0.010786i,0.0040954+0.0066005i,-0.0039834-0.0028277i,0.0028727+0.0017172i,0.0042136+0.028034i,0.019609+0.021001i,-7.4765e-05+2.7171e-05i,-0.0031308-0.0027004i,0.008369+0.0043084i,0.0018278+0.00051227i,-0.00022098+0.0023898i,-0.00056898+0.000413i,-0.031149-0.0024933i,-0.0039205-0.0050825i,-0.00020514+0.0022381i,0.0046977-0.0014891i,0.00063749-0.00020831i,-0.00046337-0.00060081i,-0.0013524-0.001862i,-0.0023493-0.00073367i,-0.0039438-0.0038854i,-0.0019658-0.0049076i,0.00037692-0.0012302i,0.00028244-0.0027635i,-0.0030826+0.024302i,0.0018361-0.0031606i,0.0022302-0.003959i,0.0038179-0.0023854i,-0.0079837-0.00084866i,0.00055701+0.0011298i,0.022883-0.021835i,-0.0027526+0.00013225i,-0.003272+0.0013668i,-0.0091052-0.0035038i,-0.019196+0.021867i,-0.0075944-0.086599i,-0.001618-0.060396i,-0.021818-0.053713i,-0.010727-0.045502i,0.054527-0.025889i,0.024694-0.067644i,0.040715-0.052452i,0.019448-0.039617i,0.025855-0.01985i,0.012165+0.011815i,0.025618-0.02841i,-0.010789-0.003625i,-0.0009318-0.0012949i,-0.0073724-0.0019915i,-0.0053821-0.028834i,-0.021306+0.026383i,0.0074339-0.0091673i,-0.011585-0.0029566i,-0.0023816-0.0017501i,-0.00090981-0.014984i,-0.0080201+0.0047692i,0.0052961+0.010613i,-0.009809+0.030953i,0.0064889+0.0074674i,-0.0038435-0.001461i,-0.0024474-0.0016764i,-0.012633-0.0066646i,0.00042262-0.0039536i,-0.032434+0.002662i,0.0034237-0.0088472i,-0.0077848-0.0015464i,-0.0049566-0.0028285i,0.0068563+0.002177i,-0.010086+0.00082045i,0.002527-0.00028373i,0.006518+0.0075832i,0.0056795+0.0011503i,-0.0082225-0.0098205i,0.002858+0.0080302i,-0.02041+0.0076167i,0.0029995+0.0060063i,-0.021567-0.0084832i,-0.027553-0.0051264i,0.010695-0.060722i,0.018666-0.015141i,-0.051661-0.028702i,-0.023993+0.0033941i,0.019061+0.010589i,-0.026968+0.011477i,-0.012067-0.0079941i
0.0058551+0.0050192i,0.036757+0.014329i,0.019639-0.0045984i,0.012813+0.0021262i,0.0085037-0.001781i,0.015734-0.0074363i,0.012499+0.014423i,0.01902+0.022217i,0.0012094-0.0026096i,0.0012506+0.00099003i,0.0023633-0.0013595i,0.00099674-0.003919i,9.157e-05-0.0011946i,0.0021142-0.0001015i,0.0051533-0.0011942i,0.0059034+0.00030213i,0.0043921-0.0046643i,9.4647e-05-0.00098264i,-0.002225-0.00029087i,0.00061411+0.0010791i,9.7685e-05-0.0001457i,-0.0022504-0.00054925i,-0.0015162-6.1004e-05i,0.0061063+0.0074285i,-0.00058597+0.00022238i,0.00031172+0.00082008i,0.00098744+0.00099438i,-9.7545e-05+0.0012088i,-0.000395-0.00027934i,-0.0012531-2.8214e-05i,0.00084061-0.0011011i,-0.00047148+0.00037138i,0.00021035+0.00070632i,-9.6435e-05+0.00047564i,-0.00042374-0.0009972i,-0.0085576+0.0082532i,0.00055724+0.00030309i,-0.0005022+4.1584e-05i,-0.00024006+0.0015674i,0.00066844-0.0026686i,-0.00040018+0.00039653i,-0.00042271-0.00030939i,0.00070527+0.0015543i,0.0028954-0.002135i,0.00018152+0.0027351i,-0.05005+0.0090169i,-0.0039356+0.029185i,-0.014174+0.041135i,-0.0091815+0.064637i,-0.01765+0.044191i,-0.0057158+0.019287i,-0.0084495+0.013873i,-0.04427+0.0039096i,-0.023853-0.0076348i,0.015472+0.025659i,0.0003439+0.0053768i,-0.0077658+0.0014145i,-0.014403-0.0016469i,0.0038824-0.00030146i,0.00797+0.013662i,-0.0056611+0.0060765i,-0.0043822-0.0074113i,0.0061177-0.0025659i,-0.006487-0.0053565i,0.0040091-0.0067193i,0.0040703-0.00221i,-0.0023153+0.01021i,0.011081-0.0057575i,0.0061861-0.0046144i,0.0059393-0.0087039i,0.002955+0.0006337i,-0.0017317-0.0063472i,-0.0037514-0.0015163i,0.0022102-0.001772i,-0.0088324+0.026926i,-0.0040562-0.0055161i,0.0034072+9.0619e-05i,-0.00015646-0.0074608i,0.0030866-0.0017763i,-0.013135-0.0057236i,0.0010243+0.00093072i,0.0040317-0.0015954i,0.0026029-0.0010006i,0.0013194-0.0055169i,-0.0022422+0.0055999i,-0.00034412+0.0058243i,-0.0049676+0.0067854i,-0.0049063+0.002864i,-0.0054799-0.00010002i,-0.024223+0.019554i,-0.0088686+0.014654i,-0.022504-0.011967i,-0.0087244-0.0098381i,0.0086818+0.020074i,-0.00054376+0.020428i,-0.0086832-0.0038327i
0.0063105+0.0029123i,0.03817+0.0068713i,0.018271-0.0083428i,0.01347+0.00097102i,0.0092963-0.0031739i,0.014219-0.010609i,0.013272+0.011351i,0.02253+0.017446i,0.00052152-0.0030255i,0.0016517+0.0004034i,0.0021686-0.0016811i,-0.00067979-0.0026567i,-9.9216e-05-0.00067456i,0.0020139-0.00010786i,0.0044861-0.0023346i,0.0052968-0.00040898i,0.0027364-0.0044825i,0.00017727-0.00092517i,-0.0023538-3.7465e-05i,0.00089547+0.00024194i,-5.9464e-06-0.00054154i,-0.0022383+2.7097e-05i,-0.0015015+0.00012774i,0.0096588+0.0042205i,-0.00099797+0.0010361i,0.00088266+0.00050298i,0.0010718+0.00039479i,0.00047168+0.0010559i,-0.000769+0.00024886i,-0.001318+0.00048482i,-0.00016008-0.0016055i,-0.00061166+1.2075e-05i,0.00027985+0.00046837i,0.00023166+0.00042882i,-0.00075106+2.0972e-05i,-0.0064629+0.011004i,0.00032751+5.2628e-05i,-0.00036697+0.00036962i,0.00031658+0.0011089i,-0.00030359-0.0029232i,-0.00022396+0.00024057i,-0.00056926-2.8325e-05i,0.0009468+0.0013643i,0.0021196-0.0023104i,0.0013998+0.0027622i,-0.044811+0.017002i,-0.0011054+0.03023i,-0.0053811+0.041402i,0.0073235+0.061751i,-0.0060104+0.043612i,-0.0079093+0.015275i,-0.011529+0.011234i,-0.046218+0.0063363i,-0.019905-0.0093931i,0.021096+0.019972i,0.00038086+0.0051653i,-0.0067138+0.0069115i,-0.013503+0.00309i,0.0023208-0.0020362i,0.010417+0.0114i,-0.0021098+0.010743i,-0.0085492-0.0060515i,0.002731-0.0045352i,-0.0065912-0.0018698i,-0.00062903-0.0066861i,0.0026229-0.003956i,0.0024697+0.0080788i,0.0069259-0.0083807i,0.0030253-0.0062047i,0.00076279-0.0059292i,0.004073-0.00019551i,-0.0028663-0.0048544i,-0.002124+0.0009674i,0.0020699-0.0019888i,0.0033352+0.032273i,-0.0057476-0.0044772i,0.0037055-0.0018836i,-0.0040717-0.0064456i,0.0032017-0.002385i,-0.013343+0.00035647i,0.001858+0.00097182i,0.0030654-0.0018546i,0.0029928-0.0021959i,-0.00012232-0.0056786i,-0.00033405+0.0030426i,0.001885+0.0046982i,-0.0014214+0.0080722i,-0.0034091+0.0048264i,-0.0062831+0.00060783i,-0.018593+0.018512i,-0.006509+0.01697i,-0.025464-0.006068i,-0.012255-0.012793i,0.011777+0.019709i,0.0034825+0.02189i,-0.011323-0.0035938i
0.0058836+0.0012638i,0.037835-0.0014374i,0.016819-0.012487i,0.014994-0.0018564i,0.010267-0.0053904i,0.011851-0.013685i,0.013255+0.0083679i,0.025313+0.011844i,0.00012572-0.002875i,0.0013328-0.0002937i,0.0017281-0.0024951i,-0.00063937-0.0011181i,-8.1098e-05-0.00065109i,0.002093-0.00049793i,0.0035135-0.003169i,0.0046532-0.0011172i,0.0017619-0.0045106i,-8.2771e-05-0.0011146i,-0.0024199+0.00097172i,0.00078017-0.00064002i,-0.00067609-0.00089565i,-0.001963+0.00065125i,-0.0015785+0.00038924i,0.010434-0.00072628i,-0.00032399+0.0013771i,0.00086179-0.0001156i,0.00082435-5.9713e-06i,0.00085068+0.00052537i,-0.00046877+0.00065101i,-0.0010677+0.0010236i,-0.00086704-0.001111i,-0.001189+0.00063201i,0.00049016+0.00038316i,0.00034045+0.00026375i,-0.00029381+0.00064704i,-0.00083231+0.009033i,0.00018518+0.00015258i,-8.0807e-05+0.00032556i,0.00051247+0.00087546i,-0.0022426-0.0019896i,-0.000227+7.8791e-05i,-0.00047443+0.00027837i,0.00109+0.0012774i,0.0016569-0.0023834i,0.0033414+0.0019644i,-0.038882+0.023381i,0.0033425+0.031419i,0.0034602+0.038427i,0.022248+0.053232i,0.0037852+0.04247i,-0.011651+0.014253i,-0.014123+0.011763i,-0.048073+0.012199i,-0.018772-0.012938i,0.024038+0.011981i,0.00064191+0.00506i,-0.0040545+0.0088703i,-0.012852+0.0064595i,-0.00014259-0.0039164i,0.01273+0.0082963i,0.0032942+0.011626i,-0.011872-0.0032002i,0.00076285-0.0031828i,-0.0058302+0.00092088i,-0.0029379-0.0042577i,0.0007225-0.0038835i,0.004881+0.0070496i,0.0042152-0.0085943i,-0.0016378-0.0048675i,0.00042715-0.0029338i,0.0045815-0.0023552i,-0.0051913-0.0032303i,-0.0006407+0.0006807i,0.00088795-0.0024844i,0.01939+0.024876i,-0.0076635-0.0023608i,0.0030676-0.003157i,-0.0039421-0.0043954i,0.0035098-0.0041176i,-0.010516+0.005734i,0.0033375+0.00061075i,0.0019814-0.0024175i,0.002074-0.0028395i,-0.0019331-0.0047402i,-0.0012518+0.0028105i,0.0031457+0.0031381i,0.0022211+0.0078419i,-0.0019264+0.0050318i,-0.0070979+0.0024665i,-0.015798+0.01679i,0.00016692+0.017854i,-0.025933-0.0017156i,-0.016429-0.013477i,0.016869+0.016757i,0.0087586+0.022665i,-0.013618-0.0016745i
0.0052256+0.00024838i,0.034545-0.008318i,0.013475-0.01655i,0.014967-0.006178i,0.01011-0.0085868i,0.0084082-0.015765i,0.012879+0.006445i,0.025863+0.0057822i,4.1799e-05-0.0030905i,0.00077788-0.00038791i,0.00082154-0.0025099i,-0.00012831-0.00054874i,-0.00052015-0.0003616i,0.0017875-0.00071652i,0.0022873-0.0035769i,0.0039451-0.0013297i,0.00059986-0.0043272i,-0.00032444-0.0010618i,-0.0014351+0.0019426i,7.6644e-05-0.0010665i,-0.0012287-0.00037359i,-0.0015198+0.0013543i,-0.0015071+0.00086089i,0.0081427-0.0046992i,0.00022909+0.0012851i,0.00054226-0.00025348i,0.00064114-8.5777e-05i,0.00072855+5.0133e-05i,-9.8337e-05+0.00062957i,-0.00065577+0.0014741i,-0.0013013-0.00042935i,-0.00073727+0.0011358i,0.00062753+0.00010926i,0.00032055+6.7529e-05i,0.00018796+0.00070415i,0.002015+0.0074563i,0.00025392+0.00020187i,-8.3909e-05+0.0001884i,0.00053466+0.00084392i,-0.0020787-0.00063561i,-0.00031543+8.6252e-05i,-0.00034227+0.00035887i,0.0013137+0.001191i,0.0011292-0.0018874i,0.0050258-0.00013222i,-0.031576+0.028083i,0.0088855+0.031513i,0.0087118+0.034329i,0.034151+0.040347i,0.013215+0.037201i,-0.015692+0.0168i,-0.017376+0.014389i,-0.047834+0.020706i,-0.020697-0.016223i,0.024801+0.0040706i,0.0012382+0.0053929i,-0.0012613+0.011636i,-0.010928+0.009768i,-0.0044471-0.0029587i,0.014782+0.0032121i,0.0082972+0.0098248i,-0.013859+0.0014377i,-0.00016486-0.0026438i,-0.0040774+0.0025793i,-0.0036875-0.0012485i,-0.0001824-0.0033642i,0.0069687+0.003662i,0.0016137-0.0091241i,-0.0031497-0.0016047i,0.0012949-0.0018781i,0.003294-0.0043802i,-0.0054111+0.00051142i,0.00029998+0.00093363i,0.00024544-0.0020566i,0.02646+0.012166i,-0.0079405+0.0012679i,0.0021833-0.0044814i,-0.004079-0.0024396i,0.0019434-0.0064219i,-0.0059237+0.0079996i,0.0044663-0.0012012i,0.0010605-0.0020439i,0.0011501-0.0029693i,-0.0023046-0.0028503i,-0.0013157+0.0036099i,0.0033848+0.0012388i,0.0053019+0.0066128i,-0.00084289+0.0045136i,-0.0071947+0.0050287i,-0.014123+0.01768i,0.0093002+0.01274i,-0.024711+0.0030887i,-0.022022-0.01185i,0.018761+0.011905i,0.015378+0.021011i,-0.013068-0.00012175i
0.0050162-0.00033131i,0.031192-0.013003i,0.0095442-0.019142i,0.013623-0.010223i,0.0085685-0.011673i,0.0052166-0.01688i,0.012712+0.0053158i,0.024611+0.00094097i,-8.3996e-05-0.0033786i,0.00033782-0.00018191i,-0.0003652-0.0025367i,0.00030819-0.0005186i,-0.00065102+0.00027145i,0.0015254-0.00095711i,0.0011754-0.0034265i,0.0037055-0.0012868i,-0.00018901-0.003684i,-0.0007759-0.00091868i,-0.00054019+0.0019038i,-0.00057809-0.00095157i,-0.0012964+0.00010034i,-0.00072602+0.0017272i,-0.0011749+0.0013663i,0.0047379-0.0066739i,0.00057627+0.0011299i,0.00037191-0.00032543i,0.00048646-0.00028297i,0.00045196-0.00013348i,2.2396e-06+0.0005948i,6.9642e-05+0.0016952i,-0.0012504+0.00020225i,-0.00023989+0.0013468i,0.00047647-0.00020235i,0.00032502+0.00020247i,0.00072143+0.00060409i,0.0013846+0.0058615i,0.00018405+0.00023597i,-0.00023009+0.0002554i,0.00086334+0.00074916i,-0.0016851+0.00023701i,-0.00055629+6.2809e-06i,-0.00019213+0.00033528i,0.0016133+0.00079613i,0.0011059-0.00093762i,0.0052302-0.0030456i,-0.023332+0.030488i,0.01552+0.02987i,0.013989+0.031642i,0.039099+0.024875i,0.019082+0.030227i,-0.016647+0.022865i,-0.018014+0.021004i,-0.044965+0.030464i,-0.025715-0.017323i,0.021339-0.0037759i,0.0025714+0.0055773i,0.0041835+0.01154i,-0.0081273+0.012566i,-0.0060571+0.00070356i,0.013543-0.0033057i,0.01222+0.0062351i,-0.013599+0.0065805i,-0.00047554-0.0011662i,-0.0022661+0.0031688i,-0.0021083+0.0006534i,-0.0018619-0.0023753i,0.0068934+0.00069135i,-0.00066429-0.0085888i,-0.0027662+0.0011619i,0.0027223-0.0023467i,0.0012351-0.0055622i,-0.003937+0.0019233i,0.0015909+0.00034086i,0.00018882-0.0015044i,0.027115-0.00015085i,-0.0058063+0.0042468i,0.0005803-0.0052684i,-0.0033411-0.0017026i,-0.00049877-0.0070783i,-0.002059+0.0076774i,0.0042837-0.0035708i,0.00099873-0.00095545i,0.0010112-0.0026911i,-0.0014292-0.0021963i,0.0004535+0.0045953i,0.0021008+4.6542e-05i,0.0072478+0.0028655i,-0.00060841+0.0033598i,-0.005544+0.007752i,-0.010864+0.018773i,0.012308+0.00096298i,-0.020651+0.0051636i,-0.027162-0.0084028i,0.019872+0.0069914i,0.020627+0.014362i,-0.013525-0.0001591i
0.0049893-0.0012927i,0.028288-0.017321i,0.0056704-0.020757i,0.011326-0.014103i,0.0064429-0.014105i,0.0019164-0.017615i,0.013541+0.004406i,0.023248-0.0030444i,-0.00023992-0.0040701i,-0.00014901+0.00015783i,-0.00087167-0.0017248i,0.0004945-0.00055001i,-0.0002058+0.00093006i,0.0011379-0.0010093i,0.00043511-0.003102i,0.0039547-0.0012813i,-0.00057252-0.0033317i,-0.00085529-0.00057464i,8.3939e-05+0.0016983i,-0.00095481-0.00055001i,-0.00094006+0.00038819i,0.00021269+0.0014904i,-0.00058495+0.0016627i,0.0013548-0.0070357i,0.0010598+0.00090559i,0.00019847-0.00038353i,0.00033286-0.00045284i,0.00029879-0.00021005i,0.00020271+0.00055434i,0.00071953+0.0013705i,-0.00095415+0.00063118i,0.00026834+0.0013565i,0.0001997-0.00022804i,0.00052794+1.0284e-05i,0.00090218-4.2376e-05i,0.0038176+0.0067818i,0.00026933+0.00025721i,-0.00011111+0.0004604i,0.0008849+0.00039485i,-0.0011777+0.00054386i,-0.00092916+0.00037882i,-6.1345e-05+0.00021866i,0.0017762+0.00051211i,-0.0016051-0.0057553i,0.0045419-0.005624i,-0.015921+0.03048i,0.021646+0.025737i,0.019596+0.027759i,0.039132+0.010616i,0.022187+0.023476i,-0.013566+0.029727i,-0.014313+0.028728i,-0.038017+0.040956i,-0.030908-0.014595i,0.015944-0.0079738i,0.0039862+0.0046859i,0.0079172+0.008942i,-0.0041466+0.01489i,-0.0053182+0.0034782i,0.0093205-0.0089704i,0.013665+0.00070164i,-0.011488+0.010514i,0.0003533-0.00032932i,-0.0011777+0.0027863i,-0.00052569+0.00070785i,-0.0020993+3.3921e-05i,0.0054502-0.00089571i,-0.0026998-0.0064717i,-0.00099964+0.0031269i,0.0028748-0.0043692i,-0.0010844-0.005136i,-0.0027071+0.0020976i,0.0020876-0.00088914i,0.00078949-0.0014204i,0.022619-0.010248i,-0.0027615+0.0055724i,-0.0011886-0.0050371i,-0.00326-0.0011113i,-0.0029181-0.0065072i,0.00046866+0.0065237i,0.0030091-0.00499i,0.0020224-0.0010786i,0.00077458-0.00312i,-0.00097123-0.0025964i,0.0021023+0.0042963i,0.00089839+0.00021901i,0.0070931+0.001708i,-0.0010953+0.00261i,-0.0023871+0.0092911i,-0.0073052+0.018567i,0.0073802-0.0083871i,-0.018171+0.002816i,-0.03205-0.0018795i,0.018281+0.00018008i,0.021428+0.0076569i,-0.014721+0.0013729i
0.0047821-0.0021077i,0.024521-0.021656i,0.0013744-0.022297i,0.0072841-0.017915i,0.0037572-0.016374i,-0.0016395-0.01744i,0.015178+0.0025863i,0.021397-0.0063994i,-0.00078453-0.0047255i,-0.00028025+0.0011638i,-0.0011239-0.0012189i,0.000517-0.0012391i,0.00036274+0.0010187i,0.00076731-0.00088766i,-9.8345e-05-0.0026949i,0.004233-0.0019204i,-0.0010714-0.0032172i,-0.0011398-0.00039594i,0.0007116+0.0012675i,-0.0013348-6.2765e-05i,-0.00093411+0.00043747i,0.00066711+0.00084995i,-7.2717e-05+0.0016523i,-0.0019049-0.0062213i,0.0011075+3.5102e-05i,-4.4604e-05-0.00020553i,-0.00016479-0.00068875i,9.357e-05-0.00012141i,0.00049842+0.00034246i,0.0010126+0.00083514i,-0.00041797+0.00082291i,0.00097153+0.0021246i,-8.0264e-06-3.2106e-05i,0.00045507-0.00020507i,0.00043327-0.00069512i,0.0047854+0.0064039i,0.00032154+0.00021552i,-2.5734e-05+0.00053938i,0.00095681+0.00021904i,-0.00051288+0.00060774i,-0.00057619+0.00067418i,-9.6412e-07+0.00022721i,0.0019379+6.5795e-05i,-0.0011255-0.0027203i,0.002565-0.0080972i,-0.0098492+0.028991i,0.025868+0.019955i,0.024785+0.022627i,0.034921-0.00094959i,0.023256+0.018266i,-0.0072537+0.034348i,-0.0053219+0.033849i,-0.025732+0.048227i,-0.034954-0.0092541i,0.010676-0.0093823i,0.0048097+0.0032933i,0.0096146+0.0049507i,0.00060519+0.015048i,-0.0044487+0.0050866i,0.0017122-0.011003i,0.011477-0.0045876i,-0.007564+0.012803i,0.0014874-0.0011464i,0.0026315+0.0048653i,-0.00011086-9.6185e-05i,-0.00031763+0.0014544i,0.0044888-0.00089874i,-0.0035568-0.0046789i,0.0014096+0.0033744i,0.0012512-0.0065112i,-0.0024654-0.0039895i,-0.0017357+0.0023283i,0.001572-0.0022676i,0.00091459-0.0022293i,0.014547-0.017571i,4.2893e-05+0.0052383i,-0.0022333-0.0041965i,-0.0028252-0.00096659i,-0.004729-0.0053843i,0.0019063+0.0053591i,0.0017352-0.0064301i,0.0026145-0.002092i,-0.00021671-0.0033712i,-0.0018652-0.0034004i,0.0030212+0.0048405i,0.0005426+0.0011918i,0.006496-0.0012521i,-0.0019418+0.0027374i,0.0005772+0.0088653i,-0.0039284+0.018313i,0.00043859-0.013848i,-0.0203+0.00020256i,-0.032718+0.0069016i,0.012463-0.0038711i,0.020891+0.0016001i,-0.014416+0.0038202i
0.0048035-0.0030408i,0.020318-0.024395i,-0.0038411-0.022496i,0.0016309-0.019665i,5.0914e-05-0.017786i,-0.0045428-0.016307i,0.016713-0.00029333i,0.01934-0.0092643i,-0.0012735-0.0055564i,0.00064746+0.0021846i,-0.0013642-0.00037446i,-0.00038634-0.0015354i,0.00084491+0.00097983i,0.00071069-0.00060782i,-0.00032154-0.0023616i,0.004108-0.0026116i,-0.0021441-0.0028661i,-0.0013229+0.00012116i,0.00095769+0.00049314i,-0.0013469+0.00082699i,-0.00080902+0.00078882i,0.00055316+0.00013178i,0.00035943+0.0015743i,-0.0052714-0.0039087i,0.0001997-0.00013117i,-7.9008e-05-3.6396e-05i,-0.0005445+0.00045759i,5.1416e-05+2.8976e-05i,0.0004619-4.629e-05i,0.0010326+0.00046142i,-4.9509e-06+0.00075262i,0.00035678+0.00062616i,6.8446e-05+0.000104i,0.0003437-0.00027038i,-0.00023405-0.00042833i,0.0063906+0.0050075i,0.00040409+0.0001489i,9.894e-05+0.00066392i,0.0010771-4.1115e-05i,8.2469e-05+0.00029622i,-0.00097619+0.00040775i,0.00014947+0.00011169i,0.0017379-0.00059166i,-0.0013882-0.0016716i,-0.00016061-0.0093332i,-0.0048258+0.026412i,0.028088+0.014279i,0.029148+0.016237i,0.028968-0.0087166i,0.023453+0.01406i,0.0003848+0.036712i,0.0040513+0.033987i,-0.011902+0.050385i,-0.035738-0.0018817i,0.0074751-0.0091456i,0.0054473+0.0019369i,0.0093158+0.0014755i,0.0052222+0.013372i,-0.0029051+0.0069943i,-0.0048663-0.0080153i,0.0078859-0.0071216i,-0.0039602+0.013787i,0.00094852-0.0030504i,0.0012544+0.0018374i,-0.00031831-0.00017444i,0.0015389+0.0013383i,0.0041621-0.0013356i,-0.0039952-0.0031543i,0.0031347+0.0021426i,-0.0020726-0.007339i,-0.0031647-0.0025793i,-0.00024081+0.0017875i,0.0010002-0.0032233i,0.00040354-0.0033789i,0.0056689-0.019188i,0.0018321+0.0039823i,-0.0028693-0.0036112i,-0.0037225-0.00094895i,-0.0060211-0.0034939i,0.0027116+0.0042081i,-0.0010107-0.0077408i,0.002623-0.0033515i,-0.00094878-0.0029374i,-0.0027374-0.0032176i,0.0047813+0.0036475i,0.0010299+0.0019673i,0.0051457-0.00265i,-0.0022808+0.0037026i,0.0028372+0.0074239i,0.000218+0.018019i,-0.0089984-0.016534i,-0.024254+0.00056541i,-0.029532+0.014707i,0.0074625-0.0034054i,0.017978-0.0041196i,-0.013136+0.0042021i
0.0045967-0.0045901i,0.01642-0.026948i,-0.0083978-0.020946i,-0.003391-0.018969i,-0.0037945-0.018131i,-0.0066516-0.015103i,0.01757-0.0043013i,0.017306-0.011766i,-0.0021344-0.0063954i,0.0021216+0.0022306i,-0.00091197+0.00039141i,-0.0010607-0.00089989i,0.00137+0.00056878i,0.00075779-0.0005863i,-0.000511-0.0021437i,0.0040257-0.0031772i,-0.0028496-0.0017654i,-0.00095047+0.00043531i,0.00073728-7.9201e-05i,-0.00079637+0.0012532i,-0.00059286+0.0011225i,0.00014209-0.00023437i,0.00080923+0.001353i,-0.0061974-0.0015885i,-2.8896e-05-9.8285e-05i,-4.0981e-05+3.0665e-05i,-0.00042243+5.2052e-05i,7.2705e-05+7.1721e-05i,0.00019632-2.6416e-05i,0.001034-5.1767e-06i,0.0003619+0.00053449i,0.00055923+0.00043984i,0.00020295+0.00011279i,0.00038506-0.00020758i,-0.00031651+0.00010339i,0.0072718+0.003052i,0.00035201+8.2818e-05i,0.00042655+0.00069072i,0.0011477-0.0005203i,0.00034996-0.00014039i,-0.00043825+0.00028379i,0.00016949-9.9346e-05i,0.001274-0.0010528i,-0.0015674-0.00089739i,-0.0029472-0.0098928i,-0.0019181+0.023278i,0.029238+0.0089641i,0.031094+0.0083745i,0.022496-0.014147i,0.023579+0.012024i,0.0086081+0.036558i,0.012447+0.03208i,0.0002467+0.047999i,-0.034116+0.0049836i,0.0047233-0.009472i,0.0059168-3.3274e-05i,0.0089677-0.001118i,0.0089563+0.010131i,-4.2142e-05+0.0074655i,-0.0079716-0.0029904i,0.004154-0.0082121i,-0.00017226+0.013965i,-0.0010693-0.0035235i,-0.00053725+0.0017295i,-0.00026618+0.00013454i,0.0026703+0.00023302i,0.0038487-0.0010191i,-0.0041285-0.0015417i,0.003628+0.00058476i,-0.0051011-0.0053612i,-0.0031683-0.0017922i,0.00016812+0.00049603i,5.2857e-05-0.004095i,-0.00090996-0.003794i,-0.0011625-0.01755i,0.0031562+0.0023056i,-0.0039486-0.0027679i,-0.0041276+0.00057197i,-0.0065269-0.0012308i,0.0034116+0.0032569i,-0.0044555-0.0072033i,0.0022024-0.0049649i,-0.0013539-0.0028325i,-0.0033138-0.0033194i,0.0062481+0.0021893i,0.0016873+0.0021745i,0.0033452-0.0027951i,-0.0020755+0.0045239i,0.004025+0.0053716i,0.0051295+0.015856i,-0.019699-0.014012i,-0.028044+0.0035238i,-0.024694+0.01835i,0.0052436-0.0022186i,0.012629-0.0075431i,-0.014202+0.0046703i
0.0035458-0.006069i,0.012099-0.029521i,-0.012014-0.018755i,-0.0073675-0.017217i,-0.0075185-0.017621i,-0.0088131-0.01394i,0.017137-0.0093433i,0.015235-0.014268i,-0.0036953-0.0072165i,0.0032067+0.0017492i,-0.00023743+0.00068755i,-0.0012079+6.0847e-05i,0.0014814-0.00015701i,0.00083147-0.0006295i,-0.00082924-0.0020238i,0.0038284-0.0039901i,-0.003091-0.00068061i,-0.00063083+0.00032345i,0.00054823-0.00029251i,-0.00029175+0.0013746i,-0.00039438+0.0011082i,-0.00023911-0.00027314i,0.0011008+0.0009384i,-0.0043959+0.0015236i,-0.00010892+9.1818e-05i,1.5816e-05+0.00012094i,-0.00047742+0.00021689i,8.5282e-05+9.5728e-05i,0.00022355+4.149e-05i,0.00066868-0.00041579i,0.00052146+0.00013699i,0.00073088+0.00057267i,0.00032126+5.9071e-06i,0.00034356-0.00051426i,-3.5178e-05+0.00040194i,0.0073177+0.00121i,0.00043802+2.6711e-05i,0.00076198+0.00054572i,0.00051235-0.0008437i,0.00064681-0.00048683i,-8.2694e-05+0.00020508i,7.089e-05-0.00014542i,0.00047147-0.0010217i,-0.0015504+0.00018445i,-0.0057146-0.0094036i,-0.0010307+0.02164i,0.029724+0.0038459i,0.030352+0.0023065i,0.015312-0.017689i,0.026074+0.01088i,0.016035+0.033978i,0.020766+0.027774i,0.01141+0.042308i,-0.029318+0.010733i,0.0021574-0.0091555i,0.00511-0.002998i,0.0082685-0.0041676i,0.010254+0.0055972i,0.0017407+0.0064845i,-0.0081769+0.0025018i,0.00024276-0.0075308i,0.0025021+0.011824i,-0.0029059-0.002769i,-0.0010467+0.0022282i,-0.00015503+0.0003568i,0.0032401-0.0015671i,0.0046845-0.00031281i,-0.003367-0.0004542i,0.0037387+0.00012537i,-0.0060811-0.0027772i,-0.0024826-0.00028527i,-0.00026693+9.4818e-05i,-0.0021807-0.0047691i,-0.0022322-0.0031114i,-0.0067735-0.014926i,0.0034805+2.1611e-05i,-0.0046502-0.0013944i,-0.0031162+0.0016743i,-0.0060651+0.00080917i,0.0040826+0.0025424i,-0.0068881-0.0048768i,0.00041337-0.0066738i,-0.0022374-0.0023661i,-0.0050947-0.0026775i,0.0072934-0.00050452i,0.0026558+0.0024715i,0.0028079-0.0025882i,-0.00071726+0.0056922i,0.0041711+0.0032129i,0.0090015+0.011715i,-0.025254-0.0054774i,-0.031028+0.0091173i,-0.019851+0.021753i,0.0032998-0.00046845i,0.0088576-0.0066176i,-0.014561+0.006297i
