-0.023931-0.037817i,-0.011469-0.050017i,-0.018054-0.044956i,-0.03091-0.035748i,-0.030036-0.016375i,-0.050598-0.027481i,-0.056127-0.026818i,-0.04375-0.036424i,-0.03093-0.035209i,0.0087217+0.01139i,-0.005719+0.015066i,-0.0044938+0.014289i,0.010062+0.020578i,0.00077009+0.0042457i,0.0033396+0.0034041i,0.0069332+0.018985i,0.023002+0.035349i,-0.0026895-0.0016577i,-0.0052063-0.0056238i,0.0059396+0.0010542i,-0.00035911-0.00070554i,-0.00051888+0.0011968i,0.00025662-0.00019869i,-0.027624-0.0028138i,-0.0023838-0.0060549i,0.00092154+0.0047401i,0.0027808+0.00034894i,-0.00036716+0.000715i,0.00066748-0.00030289i,-0.00099427-0.0029372i,-0.0017548-0.0057559i,-0.0044064-0.004557i,-0.0024408-0.0043575i,0.0025132-0.00021802i,0.0021339-0.0031154i,-0.0020606+0.027333i,0.0011654-0.0032121i,0.0026631+0.0010448i,0.0053245+0.00077302i,-0.010553-0.003596i,-0.0037484+0.00021369i,0.0053148-0.00046092i,0.0057731-0.00037854i,-0.003961+0.0049396i,0.0015306-0.0087804i,-0.012154+0.017389i,0.035623-0.091195i,0.012086-0.069854i,-0.016037-0.059898i,-0.015795-0.055367i,0.039762-0.046461i,0.017126-0.06233i,0.033365-0.055511i,0.030275-0.059307i,0.015985-0.013701i,0.0046673+0.016303i,0.016025-0.025988i,-0.011579+0.0052904i,-6.4724e-05+0.0052514i,-0.0054565-0.0014459i,-0.002785-0.029297i,-0.024021+0.030909i,0.0095308-0.010902i,-0.013754-0.0030518i,-6.0651e-05-0.0047864i,-0.00097312-0.016044i,-0.0071721+0.0043082i,0.004865+0.0062124i,-0.0078991+0.031189i,0.0049034+0.0063063i,-0.0049866-0.00064043i,-0.0032401-0.00054226i,-0.012867-0.0075378i,-0.00090641-0.0043119i,-0.02657-0.018668i,-0.00024288-0.0098655i,-0.0092211-0.0010104i,-0.0068013-0.0026286i,0.0080047+0.0029591i,-0.0079309+0.0012061i,0.00026654+0.00060121i,0.0062175+0.0097341i,0.0047216+0.0019271i,-0.0090602-0.0085204i,0.0028393+0.0082692i,-0.02027+0.0056965i,0.0090817+0.00079738i,-0.029304-0.0037119i,-0.041852+0.0031553i,0.01896-0.095576i,-0.0024825-0.012461i,-0.053375-0.022761i,-0.024887+4.5509e-06i,0.01803+0.011184i,-0.024846+0.012646i,-0.017781-0.013613i
0.016042+0.0079703i,0.040251+0.023031i,0.040084+0.0016271i,0.032382-0.0019988i,0.040982-0.0083592i,0.0063666-0.03322i,0.00023686-0.016497i,0.020565-0.020312i,0.018127-0.0028851i,0.00284-0.00021459i,0.0042452-0.0018616i,0.0066566-0.0011127i,0.0048885-0.0016734i,0.0035196-0.0029944i,-0.0021663-0.0020242i,0.0018574-0.0036347i,-0.0012825-0.0064817i,-0.0014518+0.00031276i,-0.00028923+0.0019864i,-0.0015817-6.3738e-05i,-0.0013185+0.0017857i,0.0013413+0.0028424i,-0.000267+0.0021754i,0.0023866-0.0054518i,0.0012138-0.00081664i,-0.00027869-0.0016369i,0.00017505-0.0010715i,0.00029714-0.0031478i,1.8683e-05+4.7948e-05i,0.0012838+0.00072043i,-0.00057967+0.0033361i,0.00029947+0.0018247i,0.00089814+0.00047975i,0.00088938+0.0012125i,0.00064793+0.00025578i,0.006172+0.0037897i,7.1069e-05-0.00043632i,-0.00077317-0.0010156i,0.0015077+5.7767e-05i,-0.0018886+0.00030897i,-0.00034911+0.00061998i,-0.00046602+0.001926i,0.0030189+1.8087e-05i,0.0076138-0.0036092i,0.016976+0.022385i,-0.011159+0.069229i,-0.0042524+0.066104i,0.012044+0.060926i,0.032043+0.027161i,0.031421+0.025911i,0.013364+0.030448i,-0.016156+0.010087i,-0.0257+0.040349i,-0.025717+0.017653i,0.012092+0.0022523i,0.0010219+0.011631i,0.0046634+0.0098792i,-0.005682+0.01241i,-0.0046448+0.0040912i,0.0089291-0.007778i,0.014371-0.0030343i,-0.016448+0.011228i,-0.0015882-0.00058389i,-0.0013121+0.0014399i,-0.0016658+0.00047112i,-0.0033998+0.0014182i,0.0054274-0.00082018i,-0.0019879-0.0049i,-3.6097e-05+0.0041734i,0.0025395-0.0031809i,-0.0029195-0.0045884i,-0.0024095+0.0021118i,0.0024997-0.0011318i,0.0014504-0.0028554i,0.017069-0.0065609i,-0.0017209+0.0052642i,-0.0019285-0.0055535i,-0.0024395-0.0012962i,-0.0033613-0.0053187i,0.0015704+0.0065092i,0.0022833-0.0036256i,0.0023009-0.0016697i,0.00097309-0.0028769i,-0.00076392-0.0029078i,0.0022762+0.0026103i,0.00086501+0.00027931i,0.005502+0.0019962i,-0.0020681+0.009337i,-0.0055162+0.01881i,0.0041781+0.05522i,0.0069159-0.018079i,-0.024353+0.0012967i,-0.028623-0.0034013i,0.017194-0.00016609i,0.020955+0.0099305i,-0.0074495-0.00039039i
0.017326+0.005129i,0.042392+0.01631i,0.038923-0.0065939i,0.029928-0.0097438i,0.039014-0.017271i,-0.00018918-0.033083i,-0.0020245-0.015613i,0.016291-0.023888i,0.016936-0.0067035i,0.0023138+0.00013154i,0.0036215-0.0026458i,0.0063349-0.0031087i,0.0047585-0.0028941i,0.0022666-0.0035133i,-0.0023996-0.001073i,0.0015003-0.0032713i,-0.0029267-0.0057739i,-0.0015768+0.00064323i,0.00037729+0.0017896i,-0.0018622+0.00069523i,-0.00092889+0.0019906i,0.0023022+0.0017857i,0.00031617+0.0021674i,-0.0004632-0.0051214i,0.00088732-0.0014229i,-0.0008239-0.001049i,-0.00036141-0.0011499i,-0.00025633-0.0011646i,0.0001972+0.00013278i,0.0012375+0.00012537i,0.0009719+0.0031512i,0.00087541+0.0014774i,0.00079066+0.00014157i,0.0013285+0.00083437i,0.0004286-0.00023346i,0.0071575+0.0017829i,-0.00011377-0.00033575i,-0.0011005-0.00068425i,0.0014139-0.00031907i,-0.0015836+0.00039859i,-0.00024978+0.00064227i,0.00021902+0.0017817i,0.0032138-0.00078158i,0.0062888-0.0057497i,0.01888+0.01758i,0.0019478+0.065843i,0.0078967+0.061929i,0.021399+0.056956i,0.030554+0.016987i,0.033136+0.019048i,0.019179+0.030525i,-0.0097032+0.015607i,-0.012614+0.04628i,-0.025851+0.020717i,0.0099165+0.00079528i,0.0042248+0.010265i,0.00693+0.0067913i,-0.0018698+0.012965i,-0.0040707+0.005634i,0.0024499-0.0099251i,0.010932-0.0078311i,-0.012962+0.015094i,-0.00061328-0.0016539i,-0.00085561+0.00054322i,-0.0011877+0.00034037i,-0.00096183+0.0030288i,0.0042766-0.0011012i,-0.0023764-0.0041338i,0.0021914+0.0034177i,0.0011325-0.0049435i,-0.0043363-0.0031627i,-0.0011151+0.0023321i,0.0018116-0.0025459i,0.00099514-0.0037215i,0.011663-0.011235i,0.0003842+0.0049182i,-0.0032962-0.0041846i,-0.002322-0.0014162i,-0.0045651-0.0039289i,0.0032131+0.0049656i,0.0012717-0.0050627i,0.002866-0.0029801i,-0.00021032-0.0036904i,-0.0017928-0.0033728i,0.00291+0.0013559i,0.00087745+0.0018124i,0.0056013-0.0030894i,-0.0010032+0.0092528i,0.00067623+0.018172i,0.011996+0.053233i,-0.0017355-0.023515i,-0.026555-0.00025659i,-0.0309+0.0051374i,0.01183-0.0043539i,0.02064+0.0047545i,-0.0068511+0.00061601i
0.018346+0.0014935i,0.044162+0.010337i,0.035412-0.013405i,0.024773-0.015504i,0.034315-0.025497i,-0.0059903-0.031296i,-0.0036853-0.014547i,0.011242-0.026117i,0.015231-0.010288i,0.0027546+0.00060829i,0.0030412-0.0028243i,0.0048391-0.0048281i,0.0041056-0.0039977i,0.0011644-0.0034441i,-0.0021811-0.00016141i,0.0012218-0.0029121i,-0.0047993-0.0040036i,-0.0014963+0.0012149i,0.00075483+0.0010367i,-0.0015761+0.0018266i,-0.00034784+0.0022752i,0.0024056+0.00047299i,0.00092412+0.0020194i,-0.0025232-0.0033584i,-0.00024198-0.0015752i,-0.00089149-0.00054693i,-0.00082595-0.00097114i,-0.00060378-0.0006189i,0.00025169-8.902e-05i,0.0010442-0.00036679i,0.0022476+0.0022037i,0.0013693+0.0011062i,0.0006923-7.1241e-05i,0.0013602-0.0015131i,7.6649e-05-6.4418e-06i,0.0065406-8.4506e-05i,-0.00020307-0.00018378i,-0.0013629-0.0002665i,0.0011552-0.00059244i,-0.0013392+0.00071016i,-0.00014519+0.00072221i,0.00067606+0.001439i,0.0027819-0.0017854i,0.0036474-0.0064665i,0.019564+0.013284i,0.013481+0.059482i,0.01648+0.05644i,0.030212+0.05166i,0.02748+0.0099036i,0.033689+0.012827i,0.025058+0.027896i,-0.0025591+0.016356i,0.00089223+0.046496i,-0.023823+0.025233i,0.0091621+0.0002361i,0.0068963+0.0078886i,0.0075254+0.0039339i,0.0016724+0.012429i,-0.002631+0.0075899i,-0.0034917-0.0079027i,0.0065506-0.0096146i,-0.0082824+0.018101i,-0.0020185-0.0023453i,-0.0014382+0.00033887i,-0.001128+0.00046708i,0.0016966+0.0026558i,0.0036674-0.0015843i,-0.0031357-0.0033587i,0.0038878+0.001945i,-0.0016117-0.0055658i,-0.0046978-0.0010247i,3.7423e-05+0.0016501i,0.0010821-0.0034052i,-0.00010038-0.0047859i,0.0059102-0.01327i,0.0020904+0.0040657i,-0.0042625-0.0033966i,-0.0031598-0.0014649i,-0.0052732-0.0021659i,0.0036866+0.0035182i,-0.00067511-0.0063068i,0.0027176-0.0046583i,-0.0013011-0.0031536i,-0.0023594-0.0029548i,0.0030891+0.0013479i,0.0019189+0.0025739i,0.0030805-0.0024979i,0.00030714+0.0092335i,0.0056455+0.014985i,0.020613+0.050515i,-0.012196-0.025437i,-0.030175+0.0012617i,-0.027573+0.013649i,0.0067273-0.0038029i,0.018432+4.7611e-05i,-0.0059646-0.00064874i
0.018227-0.0027168i,0.045683+0.0031051i,0.031463-0.018593i,0.019546-0.01855i,0.028173-0.031852i,-0.01048-0.02893i,-0.0047931-0.013993i,0.0065644-0.027238i,0.012807-0.013616i,0.0036589+0.00027362i,0.0029422-0.0032072i,0.0030185-0.0054608i,0.003048-0.0051949i,0.0004699-0.0032837i,-0.0016609+0.00043697i,0.0012339-0.0025603i,-0.0051941-0.0016658i,-0.00082143+0.0014431i,0.00050939+0.00047271i,-0.00079383+0.0023322i,0.00040408+0.0023145i,0.0020021-0.00040929i,0.0015606+0.0016444i,-0.0032429-0.00090737i,-0.00079178-0.0010805i,-0.00088266-0.00018087i,-0.0011027-0.00068255i,-0.00057771-4.3948e-05i,2.7182e-05-2.0006e-05i,0.00063191-0.00075261i,0.0030197+0.00072148i,0.0013913+0.00057396i,0.00073615-0.00024522i,0.00094539+0.00015608i,0.0002454+0.00027174i,0.0083445-0.0010198i,-0.00016333+7.8536e-05i,-0.0014678+0.00032343i,0.00079854-0.00088211i,-0.00080364+0.0010345i,7.63e-06+0.00065318i,0.00084929+0.00087455i,0.0019515-0.0022973i,0.001353-0.0060994i,0.019776+0.0093313i,0.021074+0.051126i,0.023453+0.051244i,0.037978+0.044163i,0.024112+0.0047336i,0.033276+0.008421i,0.029846+0.023995i,0.0034563+0.015404i,0.012997+0.042445i,-0.019069+0.029911i,0.0088852-0.0013609i,0.0084367+0.0042949i,0.0077723+0.0014806i,0.0051403+0.010645i,0.00026349+0.0080638i,-0.0066751-0.0040391i,0.0023253-0.0099846i,-0.0025729+0.018862i,-0.0030759-0.0018095i,-0.0025074+0.0016985i,-0.00097299+0.00067606i,0.003073+0.0012859i,0.003063-0.0010927i,-0.0034767-0.0022288i,0.0044347-0.00030989i,-0.0040118-0.0041359i,-0.0035912+0.00055365i,0.00044353+0.00058552i,0.0001092-0.0041865i,-0.0020252-0.0048569i,0.00092121-0.012799i,0.0036046+0.0023471i,-0.0054525-0.0020893i,-0.0036908-0.0002i,-0.0053483-0.0003087i,0.0043847+0.0026817i,-0.0036216-0.0064174i,0.0018725-0.0064933i,-0.0019606-0.0027425i,-0.0027331-0.0031804i,0.0041431+0.00078927i,0.0030773+0.0022743i,0.0021572-0.0016695i,0.001681+0.0086128i,0.0078681+0.010746i,0.029427+0.045521i,-0.023559-0.022592i,-0.03316+0.0046773i,-0.021676+0.01846i,0.0045901-0.0024409i,0.015952-0.0021997i,-0.0081075-0.001513i
0.016792-0.0066395i,0.045667-0.0047216i,0.02725-0.023064i,0.015017-0.020316i,0.021262-0.036609i,-0.014793-0.026293i,-0.0062063-0.014432i,0.0017792-0.027973i,0.0096378-0.015985i,0.004197-0.00056111i,0.0026726-0.0041261i,0.0013615-0.0054545i,0.0012372-0.0059777i,-0.00014649-0.0031984i,-0.0012965+0.00055534i,0.0014357-0.0026177i,-0.0045234+0.00030434i,-0.0005677+0.0010719i,0.00041129+0.00034959i,6.5761e-06+0.0024588i,0.001071+0.002177i,0.0015078-0.00088593i,0.0018984+0.00098534i,-0.0024758+0.0011561i,-0.00086844-0.00050522i,-0.00077432+0.00021889i,-0.0011848-0.00032198i,-0.00076113+0.00026269i,4.6081e-05+6.254e-05i,4.18e-05-0.00084142i,0.0028769-0.00072058i,0.0014576+0.00022224i,0.00066376-0.0004618i,0.0011097-0.00055609i,0.00055942+0.00034672i,0.011033-0.0051085i,-2.7003e-05+9.3098e-05i,-0.0013157+0.00069694i,6.7632e-05-0.00093265i,-3.9099e-05+0.00093809i,-1.5221e-05+0.00078504i,0.00081711+0.00056644i,0.0011195-0.0023427i,-1.5472e-05-0.0046232i,0.019564+0.0060637i,0.02528+0.044179i,0.029963+0.045861i,0.042712+0.036163i,0.020205+0.00041021i,0.034286+0.0048546i,0.034124+0.018861i,0.0095651+0.012427i,0.023365+0.034862i,-0.011948+0.032893i,0.0081845-0.0031501i,0.0078667-0.00017651i,0.0076825-0.0010867i,0.0074506+0.0073515i,0.002068+0.0071621i,-0.0078014+0.00066447i,-0.0015841-0.0086786i,0.0016566+0.015652i,-0.0039748-0.00052721i,-0.0018394+0.0038837i,-0.00081094+0.00091879i,0.0041294-0.00078509i,0.0039463+0.00028496i,-0.0032034-0.0012227i,0.0040247-0.0012973i,-0.0049057-0.0020805i,-0.0019916+0.00041285i,0.00016017+0.00015002i,-0.0018999-0.0048431i,-0.0037096-0.003596i,-0.0032488-0.011535i,0.0039238+0.00013557i,-0.0059893-0.0001456i,-0.0030132+0.0010115i,-0.0046212+0.0013026i,0.0056832+0.001783i,-0.0060058-0.0046572i,-0.00077833-0.0080242i,-0.0026677-0.0020898i,-0.0045022-0.0033199i,0.0051256-0.0007107i,0.0043621+0.0021328i,0.0025947-0.0012808i,0.0032691+0.0085238i,0.0073988+0.0071936i,0.037171+0.037696i,-0.030876-0.013571i,-0.036339+0.010796i,-0.015827+0.020577i,0.0024862-0.00042057i,0.014658-0.0048198i,-0.0096623-0.00062057i
0.014249-0.0096347i,0.043745-0.012491i,0.022541-0.026949i,0.010891-0.021666i,0.013546-0.040213i,-0.018475-0.022685i,-0.0087936-0.014558i,-0.003335-0.027621i,0.0060617-0.017263i,0.0041087-0.00155i,0.0015896-0.0049521i,-4.4919e-05-0.0051878i,-0.00090215-0.0058628i,-0.0010707-0.0028967i,-0.0011354+0.00089314i,0.0012645-0.002874i,-0.0035813+0.0017021i,-0.00044077+0.0013907i,0.00019426+0.0003362i,0.00068071+0.002225i,0.0015644+0.0018356i,0.0010874-0.0010426i,0.001928+0.0004136i,-0.00081835+0.0021985i,-0.00080317+9.9659e-05i,-0.00055388+0.0004798i,-0.0015466+0.00016014i,-0.00037308+0.00060328i,1.3373e-05+5.6747e-05i,-0.00029934-0.00025324i,0.0023051-0.0019368i,0.0013847-0.00016547i,0.00036268-0.00069936i,0.0006675-0.00099714i,0.00096459+0.0002426i,0.0034122-0.0045839i,-5.5994e-05+8.8759e-05i,-0.0012021+0.00027831i,-0.00030212-0.0002834i,0.00033664+0.00047236i,0.00031274+0.00091943i,0.00090043+0.00036727i,0.00053087-0.0023512i,-0.00024933-0.003261i,0.019325+0.0034293i,0.029454+0.039224i,0.035566+0.039866i,0.047099+0.029304i,0.015502-0.00094487i,0.035911-0.00012768i,0.037535+0.012651i,0.013725+0.0069938i,0.029695+0.023954i,-0.0032985+0.033099i,0.0066328-0.0048221i,0.0048139-0.003349i,0.0066022-0.0037789i,0.0078415+0.0038256i,0.0037453+0.0065698i,-0.0062591+0.0049781i,-0.004192-0.0058792i,0.0039991+0.013297i,-0.0037121+0.00070773i,0.00020448+0.0055191i,-0.00046851+0.001373i,0.002812-0.0032254i,0.0067583-0.00091806i,-0.002972-0.00089208i,0.0043075-0.0020512i,-0.0056435-1.7892e-05i,-0.0014199+0.00029791i,0.00039254-7.0087e-06i,-0.0045964-0.0028373i,-0.0044926-0.0019226i,-0.0068965-0.0092666i,0.0032949-0.0018145i,-0.0049597+0.0016843i,-0.0017574+0.0011212i,-0.0036762+0.0025208i,0.006962-0.00010715i,-0.0074356-0.0016903i,-0.0040416-0.0075958i,-0.0027535-0.001124i,-0.0061217-0.0011372i,0.0042696-0.00319i,0.0060732+0.00073097i,0.0027346-0.001593i,0.0048537+0.0078744i,0.0065006+0.0053687i,0.042323+0.027725i,-0.032249-0.0048688i,-0.036361+0.018333i,-0.010009+0.020315i,0.0020224+0.0028361i,0.0088736-0.0068556i,-0.010908-0.00010391i
0.011754-0.01159i,0.040765-0.019648i,0.017232-0.029997i,0.0069458-0.022139i,0.0052242-0.04182i,-0.020949-0.019039i,-0.011613-0.01359i,-0.0078847-0.026084i,0.0030766-0.017628i,0.0037732-0.0025508i,0.00028691-0.0053674i,-0.0011884-0.0045617i,-0.0026984-0.0047557i,-0.0016018-0.0021892i,-0.0006894+0.0011592i,0.00097362-0.0030052i,-0.0024565+0.0027196i,-0.00026963+0.0011614i,0.00012369+0.0003059i,0.001258+0.0019125i,0.0021367+0.0013503i,0.00091397-0.0012083i,0.0018972-0.00021089i,0.0011137+0.0021817i,-0.00060901+0.00037515i,-0.00021152+0.00046518i,-0.0011182+0.0010535i,-0.0003176+0.00060587i,0.00017327-8.9134e-05i,-6.9227e-05+0.00013288i,0.001298-0.0027833i,0.0013759-0.00052918i,0.00018902-0.00071994i,0.00012602-0.0010657i,0.0013649-0.00014597i,0.0035759-0.003226i,-1.2979e-05+0.00030344i,0.0081529+0.0034536i,4.75e-05+3.6825e-05i,0.00043257-7.3701e-05i,0.00057211+0.00071268i,0.00099789+4.6373e-06i,-0.0001849-0.0021629i,0.00030802-0.0027851i,0.019519+0.00066875i,0.034681+0.03427i,0.040318+0.033357i,0.051866+0.020774i,0.01264-0.00028735i,0.03642-0.0061837i,0.039601+0.0056214i,0.015088+0.0012294i,0.030734+0.012935i,0.0041566+0.030082i,0.0048952-0.0054233i,0.00073571-0.0039613i,0.0043375-0.0063454i,0.0069072+0.0010953i,0.0054242+0.0049877i,-0.0032831+0.0073906i,-0.004577-0.0024823i,0.0058797+0.011453i,-0.0037176+0.0015954i,0.0032381+0.0061644i,0.00032616+0.0015955i,0.00058147-0.0035536i,0.0073357-0.0047813i,-0.0032966-0.00029757i,0.00409-0.0034419i,-0.0050405+0.0026249i,-0.0016436-6.2735e-05i,6.0916e-05-0.00063333i,-0.0046212+0.00015145i,-0.0042811-0.0005447i,-0.0085058-0.0060248i,0.0018408-0.0027364i,-0.00372+0.0026466i,-0.0016995+0.00079171i,-0.0025716+0.0036317i,0.0073859-0.0030831i,-0.0071215+0.0017083i,-0.0065134-0.0060766i,-0.0023936-0.00064987i,-0.0055213+0.00097371i,0.0018082-0.0041412i,0.006108-0.0023127i,0.0027353-0.0016819i,0.0066434+0.0062077i,0.0059591+0.0046141i,0.043286+0.017754i,-0.031458+0.0020879i,-0.034099+0.026112i,-0.0061369+0.018249i,0.0037903+0.005339i,0.0064622-0.0061984i,-0.012735+0.0017259i
0.0097636-0.013226i,0.036091-0.026322i,0.011541-0.031845i,0.0036047-0.021943i,-0.0031715-0.04188i,-0.022873-0.015362i,-0.01418-0.012083i,-0.011512-0.024063i,5.6194e-05-0.01774i,0.0030658-0.0032513i,-0.0013874-0.0052649i,-0.0020082-0.0036749i,-0.003728-0.0031532i,-0.0018743-0.0015273i,-0.00037911+0.001148i,0.00067921-0.0032216i,-0.000986+0.003118i,-0.00040602+0.0013583i,0.00012229+0.00053063i,0.0016906+0.0012387i,0.0026469+0.00063548i,0.00054201-0.0015758i,0.0016484-0.00082323i,0.0024334+0.0013597i,-0.00026087+0.00050819i,1.0062e-05+0.00028775i,-0.00046315+0.0013098i,-0.00029989+0.0008049i,0.00037668+2.4231e-05i,0.00011819+0.00023493i,0.00017636-0.0030623i,0.001205-0.0011294i,-8.4773e-05-0.00072605i,-0.00031536-0.00088964i,0.0015047-0.0010643i,0.0036927-0.0036535i,0.0003061+0.00031542i,0.0021513+0.002362i,0.0002016-0.00017527i,0.00021921-0.00045798i,0.0007542+0.00037307i,0.00081742-0.00058195i,-0.0006138-0.001709i,0.00027853-0.0031895i,0.01936-0.0024931i,0.040656+0.027804i,0.044508+0.02606i,0.053925+0.01084i,0.011473+0.00080832i,0.036198-0.01261i,0.03978-0.0010066i,0.015384-0.0036276i,0.028602+0.0048038i,0.0095901+0.026839i,0.002548-0.0053435i,-0.0023914-0.0018814i,0.00059676-0.0079235i,0.0052283-0.00068495i,0.0057892+0.003005i,-2.0785e-05+0.0081211i,-0.0035698-0.00061724i,0.0071022+0.0084597i,-0.0034126+0.0036859i,0.0059615+0.0050729i,0.00097915+0.0011994i,-0.0010756-0.0027288i,0.0057609-0.0073689i,-0.0031504+0.00045465i,0.0037609-0.0043063i,-0.0025526+0.0040962i,-0.0022587-8.3972e-06i,-0.0004072-0.00065584i,-0.0033168+0.0019675i,-0.0033873+0.00058659i,-0.0095909-0.002741i,0.00092044-0.0033411i,-0.002276+0.0032588i,-0.001774+0.0011167i,-0.00071131+0.0036073i,0.0061916-0.0062442i,-0.005354+0.0039368i,-0.0078098-0.0030365i,-0.002341-0.00061836i,-0.0046619+0.0023347i,0.0003287-0.0037197i,0.0044888-0.0042771i,0.0029733-0.0021398i,0.0068762+0.0028078i,0.0055741+0.0043069i,0.043559+0.01018i,-0.028247+0.0077559i,-0.028614+0.033154i,-0.0043169+0.016132i,0.0068256+0.0057491i,0.0040106-0.0051452i,-0.012979+0.0043554i
0.0076111-0.015139i,0.030302-0.031432i,0.006126-0.032915i,0.00095806-0.021892i,-0.01129-0.039704i,-0.024195-0.011539i,-0.016639-0.0099391i,-0.014869-0.021762i,-0.002541-0.017076i,0.0022584-0.0038033i,-0.0029028-0.0041033i,-0.0022949-0.0029166i,-0.0040154-0.0015338i,-0.001996-0.0010116i,-5.8961e-05+0.0013729i,0.00019335-0.0033935i,0.00018303+0.0027275i,-0.00013012+0.002028i,0.00045526+0.00071892i,0.0019194+0.00041662i,0.0028292-0.00039744i,-0.00014203-0.0016791i,0.0011696-0.0012634i,0.0027273-0.00044615i,0.00041266+0.0010481i,-9.7171e-05+0.00012782i,6.9875e-05+0.0013294i,7.7969e-05+0.00097706i,0.00042029-0.00017842i,0.00028053+0.00022895i,-0.00089029-0.0028684i,0.00073345-0.001428i,-0.00029905-0.00063173i,-0.00055026-0.00066996i,0.00081756-0.00198i,0.003198-0.0046529i,0.000528+3.3416e-05i,0.0018722+0.0011156i,0.00022675-0.00041803i,-0.00015568-0.00077829i,0.00074542+0.00034333i,0.00034501-0.00061402i,-0.00090283-0.0012407i,-0.00019408-0.0031473i,0.018874-0.0055456i,0.045241+0.018553i,0.047691+0.018035i,0.053576+0.0015282i,0.012119+0.0023367i,0.034384-0.019901i,0.039227-0.0074887i,0.014724-0.0087114i,0.026107-0.0011281i,0.014952+0.022735i,0.00069092-0.0047408i,-0.0035159+0.0010937i,-0.0038789-0.0079021i,0.0037005-0.0015796i,0.0055798+0.0016712i,0.0025894+0.0078105i,-0.0023209+0.00061496i,0.0066743+0.0054949i,-0.00094934+0.0055352i,0.008065+0.0025394i,0.0016173+0.0009637i,-0.0019149-0.0014432i,0.0035768-0.0094233i,-0.0028457+0.00093462i,0.0029257-0.0056066i,-0.00043453+0.0035613i,-0.0027958+0.00035509i,-0.00055255-0.00050749i,-0.0018103+0.0032673i,-0.0025129+0.0010461i,-0.0090462+0.00093755i,-0.00048339-0.0038706i,-0.00076085+0.0031378i,-0.0015286+0.0011516i,0.00056807+0.0027986i,0.0037307-0.0092836i,-0.0028837+0.0051268i,-0.0075254-8.6981e-05i,-0.0025797-0.00042263i,-0.0039951+0.0035478i,-0.00065802-0.0029803i,0.0029812-0.0048086i,0.0030044-0.0032227i,0.0053441+0.0013418i,0.0059131+0.0040295i,0.04285+0.0024207i,-0.0248+0.0097321i,-0.020996+0.037509i,-0.0025816+0.015441i,0.0087485+0.0049968i,0.0033569-0.0032103i,-0.012053+0.0063104i
0.0046624-0.016877i,0.024029-0.034959i,0.00058885-0.033102i,-0.0021477-0.022068i,-0.017844-0.036211i,-0.025065-0.0078585i,-0.018502-0.0069293i,-0.01754-0.019077i,-0.0046823-0.016473i,0.0011469-0.003944i,-0.0034308-0.0025759i,-0.0026752-0.0023075i,-0.0036489-0.00019334i,-0.0022842-0.00033935i,0.00060676+0.0015343i,-0.00055378-0.0033654i,0.00062664+0.0024615i,0.00093393+0.0023924i,0.00072475+0.00048821i,0.0016354-0.00035367i,0.0023414-0.0014271i,-0.00068435-0.0015868i,0.00077938-0.0014404i,0.001747-0.0019025i,0.0008501+8.4934e-05i,-0.00025077+0.00012754i,0.00055289+0.0012635i,0.00043933+0.00085518i,0.00029124-0.00042129i,0.00036358+0.00010745i,-0.0017579-0.0023401i,0.00035085-0.0015366i,-0.00063253-0.00051563i,-0.00068071-0.00034485i,-0.00051438-0.0020725i,0.0022058-0.0056087i,0.00043352-0.00027417i,0.0017343-9.5353e-06i,0.00031184-0.00059392i,-0.00066576-0.00079808i,0.0011536+0.0007859i,8.4291e-05-0.00039456i,-0.00099068-0.00075663i,-0.00059518-0.002927i,0.018332-0.0090374i,0.046629+0.008158i,0.04918+0.0094944i,0.052316-0.0075676i,0.014958+0.0033897i,0.03051-0.026945i,0.037352-0.013828i,0.012281-0.013422i,0.022487-0.0051461i,0.019494+0.017033i,-4.6365e-05-0.0045583i,-0.0029314+0.004344i,-0.0085258-0.0053391i,0.0020118-0.0020509i,0.0052424+0.00063643i,0.0045843+0.0065329i,-0.0011552+0.00078753i,0.0053187+0.0042046i,0.0022693+0.0044387i,0.009276-0.001278i,0.002261+0.00022735i,-0.0018677+0.00017032i,0.00011679-0.011643i,-0.0028338+0.0017317i,0.0016624-0.00667i,0.00010448+0.0030697i,-0.0030602+0.0012523i,-0.00065929-0.00046517i,0.0011669+0.0037549i,-0.0019685+0.00070255i,-0.0066737+0.0035065i,-0.002406-0.0036811i,0.00023495+0.0022358i,-0.0012614+0.0013055i,0.00098174+0.001533i,-0.00011343-0.01142i,-0.00037076+0.0049819i,-0.0060311+0.0014195i,-0.0024909+5.4469e-05i,-0.0025589+0.0057351i,-0.0014042-0.0020385i,0.0013343-0.005065i,0.0020995-0.0041561i,0.0041495+0.00068492i,0.0067447+0.0032846i,0.040951-0.0043244i,-0.024866+0.0098532i,-0.013506+0.038023i,6.8997e-05+0.01389i,0.010824+0.0029337i,0.0041086-0.0021193i,-0.010578+0.0080777i
