-0.024385-0.040867i,-0.0098712-0.048595i,-0.016628-0.045964i,-0.030639-0.035767i,-0.029677-0.016669i,-0.050404-0.028403i,-0.058189-0.026479i,-0.044372-0.038926i,-0.028769-0.036819i,0.0066785+0.013571i,-0.0049689+0.015306i,-0.0055022+0.014663i,0.0095745+0.021865i,0.00031688+0.0045002i,0.0034544+0.0032913i,0.0062712+0.017929i,0.027001+0.039548i,-0.0022165-0.00063315i,-0.0040769-0.0063755i,0.0083581+0.0017089i,-7.4058e-05-0.00081391i,-0.00083072+0.0014838i,0.00027107-0.00048785i,-0.030797-0.0024941i,-0.0012608-0.0057812i,0.0018697+0.0048255i,0.0038147-0.00037339i,-0.00033206+0.0006342i,0.00049886-0.00069592i,-0.00024688-0.0025471i,-0.0018289-0.0060667i,-0.0041027-0.0042752i,-0.0021811-0.0051705i,0.0021492-0.00089783i,0.0024047-0.0029764i,0.0021444+0.026061i,0.0022823-0.0030442i,0.0029084+0.00016025i,0.0061628+0.001042i,-0.010341-0.0031658i,-0.0023817+0.00098223i,0.0070788+0.0016363i,0.0046762+0.00091017i,-0.0041422+0.0062502i,0.00081003-0.0081869i,-0.012026+0.017541i,0.036725-0.091016i,0.012512-0.069927i,-0.015462-0.059887i,-0.016534-0.055696i,0.039764-0.046327i,0.017527-0.062426i,0.034156-0.056115i,0.030281-0.06098i,0.015746-0.013083i,0.0043835+0.016605i,0.016805-0.026058i,-0.011406+0.0056241i,-0.00053811+0.0052923i,-0.005252-0.0010478i,-0.0024992-0.029288i,-0.023865+0.031956i,0.010563-0.011062i,-0.012938-0.0027428i,-0.00027971-0.0049682i,-0.0011405-0.01634i,-0.0076251+0.0046318i,0.0052728+0.0064719i,-0.008518+0.031507i,0.0046545+0.005828i,-0.0050234-0.00055973i,-0.0030221-0.000442i,-0.01229-0.0074407i,-0.00062847-0.0042857i,-0.030136+0.0062929i,9.791e-06-0.0098797i,-0.0093279-0.0020534i,-0.0065577-0.0026726i,0.0068881+0.0030659i,-0.007549+0.0013798i,-5.605e-05+0.00060374i,0.0058558+0.010994i,0.0042357+0.001017i,-0.009616-0.010213i,0.0029528+0.0083809i,-0.021073+0.0066186i,0.0082772+0.00093739i,-0.029807-0.0042639i,-0.042855+0.0022974i,0.020019-0.09679i,-0.0016176-0.012244i,-0.052908-0.021574i,-0.023013+0.00079522i,0.018419+0.011145i,-0.024618+0.012914i,-0.018953-0.013346i
0.0061878+0.019234i,0.014351+0.051752i,0.024245+0.036037i,0.017051+0.027681i,0.024559+0.027666i,0.033047-0.01405i,0.018001-0.0087093i,0.029552+0.0063925i,0.012057+0.013978i,0.002912+0.0058766i,0.004526+0.0026693i,0.0043635+0.0032105i,0.0060513+0.002812i,0.0050377+0.0035899i,0.0031493-0.0033718i,0.0081732-0.0013986i,0.0091182-0.0049871i,-0.0014646-0.0018497i,-0.0032666+0.0012065i,4.1241e-05+0.0015383i,-0.0010473-0.0002399i,-0.0029107+0.0012233i,-0.0017861+0.0011163i,0.0047848+0.007867i,0.0014565+0.0011804i,0.00174+0.00045107i,0.0019035+0.0012388i,0.0010268+0.0014105i,0.00071892+0.00013424i,-0.0006981+0.00063868i,-0.00077124-0.0028482i,-0.00096483-0.00057328i,-0.0012058+0.0010301i,-0.0011034+0.0002484i,-0.00052093-0.0019377i,-0.0066871+0.0074762i,0.001376+0.00035918i,0.0012659-0.00045748i,-0.00089583+0.0025338i,1.1815e-05-0.0035817i,-0.0015552+0.0003032i,-0.0017303-0.00049599i,0.002516+0.00086699i,0.0063342+0.0045495i,-0.014898+0.033026i,-0.081127+0.035461i,-0.051831+0.037851i,-0.037534+0.059455i,-0.018687+0.072772i,-0.0090108+0.051459i,0.0098569+0.037028i,0.0030143-0.0017863i,-0.036724+0.0092987i,-0.046127+0.019853i,0.0015274+0.024385i,-0.008214+0.0025036i,-0.010566-0.00071062i,-0.013732-0.0023162i,0.0023661+0.00036828i,0.0062222+0.0099539i,-0.002127+0.0084245i,-0.0080141-0.012295i,0.0053723-0.0071727i,-0.0065461-0.0068804i,0.0020492-0.0062737i,0.0036338-0.0042097i,-0.0018942+0.010596i,0.0093903-0.0040833i,0.0052181-0.0061778i,0.003711-0.0058753i,0.0031628-0.00052374i,-0.001269-0.0044847i,-0.0036625-0.00062112i,0.0024093-0.0004172i,-0.0087698+0.025385i,-0.0038066-0.0036595i,0.0020141+0.00043704i,0.00022655-0.0065096i,0.002568-0.0014511i,-0.015301-0.0038437i,0.00064121+0.00010779i,0.0053282-0.0029549i,0.0030599-0.0011483i,0.00064607-0.0048565i,-0.0010429+0.0058833i,-0.0012121+0.006664i,-0.0030004+0.0046862i,-0.01249+0.0018257i,-0.01438-0.0015422i,-0.039964+0.058134i,0.00037045+0.0050716i,-0.025197-0.017282i,-0.0069979-0.0074163i,0.010208+0.01955i,-0.0024358+0.022673i,-0.00078545-0.00087742i
0.008208+0.016146i,0.022468+0.046832i,0.030088+0.031671i,0.021998+0.025502i,0.030475+0.0236i,0.029856-0.019923i,0.015202-0.01217i,0.030177+0.00095894i,0.014016+0.011101i,0.0046902+0.0045496i,0.0051747+0.0015448i,0.00413+0.0029824i,0.0061536+0.0016104i,0.0056439+0.0023325i,0.0020454-0.0039332i,0.0067921-0.0029067i,0.0064486-0.0068998i,-0.0012744-0.0015462i,-0.0026533+0.0013602i,0.00078864+0.00073238i,-0.0013023-0.00029242i,-0.0024915+0.0018699i,-0.0013947+0.0010831i,0.0083604+0.0051775i,0.0014718+0.0012592i,0.0021326-0.00032088i,0.0020489+0.000187i,0.0015092+0.0008914i,0.00027187-2.5163e-05i,-0.00067617+0.00082894i,-0.0018035-0.0020328i,-0.001357-0.00061419i,-0.00087879+0.0013161i,-0.00090542+0.00065201i,-0.0014014-0.00074219i,-0.0039587+0.0088156i,0.0011377-0.0002814i,0.0009157-0.00079831i,0.0003155+0.0023038i,-0.0011318-0.0030571i,-0.0013352+0.00052813i,-0.0019622+6.5706e-05i,0.0021828+0.00073018i,0.0067963+0.003711i,-0.0085779+0.034908i,-0.0692+0.049257i,-0.047835+0.046795i,-0.027516+0.063427i,-0.0026234+0.070067i,0.0017599+0.049568i,0.01062+0.031153i,-0.0026232-0.0061752i,-0.038037+0.011635i,-0.037345+0.021959i,0.0074297+0.022319i,-0.0084589+0.0048763i,-0.0096774+0.0049417i,-0.013251+0.0019413i,0.0013506-0.0009389i,0.0079159+0.0091863i,0.0021635+0.011412i,-0.014084-0.0097039i,0.00099572-0.0077214i,-0.0063132-0.0031294i,-0.0014476-0.0059703i,0.0012568-0.0055041i,0.0028504+0.0083439i,0.0061219-0.0064763i,0.0007111-0.0066651i,0.00092382-0.003915i,0.0039649-0.0016401i,-0.0023769-0.0037354i,-0.0014611+0.0014421i,0.0026076-0.0006525i,0.0043934+0.025401i,-0.0047201-0.0030025i,0.0026214-0.0016333i,-0.0030381-0.00601i,0.0030199-0.0022463i,-0.014491+0.0031227i,0.0010111+0.00059132i,0.0035782-0.0028075i,0.0030607-0.002521i,-0.000606-0.0047661i,0.00078291+0.0030029i,0.0017691+0.0057525i,-0.000208+0.0057509i,-0.011254+0.005693i,-0.015377+0.0015453i,-0.028747+0.059262i,0.00053557+0.0059854i,-0.029029-0.011753i,-0.0096247-0.0099805i,0.012977+0.01796i,0.0021084+0.024657i,-0.0032223-0.00192i
0.0092245+0.01394i,0.028578+0.040205i,0.035885+0.024764i,0.027811+0.020695i,0.036328+0.017839i,0.02528-0.025428i,0.011648-0.015222i,0.030006-0.004925i,0.015648+0.0082841i,0.0053263+0.0028264i,0.0051424-0.00021465i,0.0048586+0.0029039i,0.0059909-1.5171e-05i,0.0060223+0.00062875i,0.000789-0.0040783i,0.0051908-0.003896i,0.0038254-0.0077796i,-0.0017563-0.0015368i,-0.0024377+0.0018907i,0.00066282-0.00040951i,-0.0018482-0.00020174i,-0.0018258+0.0024032i,-0.0012778+0.0011079i,0.009019+0.00081841i,0.0022603+0.00068637i,0.0015371-0.0011272i,0.0016814-0.00062558i,0.0019602+7.1807e-06i,0.00018757+0.00011477i,-0.00057179+0.0011519i,-0.0024107-0.00089521i,-0.0019824+0.00036356i,-0.00025469+0.0016149i,-0.00051805+0.00096287i,-0.0012196+0.00040892i,-0.0011646+0.0093418i,0.00072421-0.00044942i,0.00050615-0.0011309i,0.00092297+0.0015134i,-0.0021111-0.0023375i,-0.0011392+0.00069457i,-0.0017935+0.00058458i,0.0021549+0.0010642i,0.0077901+0.0023265i,-0.00064138+0.035179i,-0.056437+0.059687i,-0.039471+0.055097i,-0.016313+0.064357i,0.011827+0.063308i,0.011544+0.047597i,0.010097+0.027863i,-0.008051-0.0069217i,-0.038584+0.016889i,-0.029947+0.021188i,0.012136+0.017858i,-0.0078832+0.006959i,-0.0075582+0.0080474i,-0.01219+0.0049219i,-0.00058711-0.0027342i,0.010099+0.0071675i,0.0072235+0.010903i,-0.017768-0.0046118i,-0.0012273-0.0053493i,-0.0054303-0.00031752i,-0.0032499-0.0039279i,-0.0012187-0.004805i,0.0051426+0.0070594i,0.0038354-0.0068157i,-0.0030831-0.0044847i,0.00079752-0.0020237i,0.0036209-0.004127i,-0.0040345-0.0026703i,-0.00015677+0.0008672i,0.0022804-0.0012578i,0.014782+0.019136i,-0.0061619-0.0013482i,0.0023209-0.0029161i,-0.003289-0.003953i,0.0032626-0.0037253i,-0.010069+0.0083702i,0.002244+0.00052166i,0.0022034-0.0033672i,0.0016737-0.0029263i,-0.0021964-0.0039231i,0.00047104+0.0022516i,0.0036304+0.0036433i,0.0025861+0.0053441i,-0.0092515+0.0081582i,-0.015585+0.0058753i,-0.019796+0.058925i,0.0043767+0.0061238i,-0.030667-0.005899i,-0.013008-0.011285i,0.016707+0.01443i,0.0082795+0.025384i,-0.0053458-0.0011986i
0.0098697+0.012416i,0.031888+0.034069i,0.03862+0.016684i,0.031534+0.013428i,0.040335+0.0096455i,0.019211-0.029412i,0.0073875-0.016867i,0.028101-0.01073i,0.016896+0.0051351i,0.0053234+0.0016337i,0.0043731-0.00076494i,0.0057089+0.0019116i,0.0050698-0.000952i,0.0055174-0.00099716i,-0.00055016-0.0038636i,0.0035881-0.0042242i,0.0010959-0.0073027i,-0.00204-0.0009719i,-0.00129+0.002327i,-0.00013417-0.00093017i,-0.0021579+0.00063126i,-0.001101+0.0029191i,-0.0011933+0.0013452i,0.0076172-0.0025276i,0.0021262-0.0002387i,0.00081551-0.0011711i,0.0011384-0.00094949i,0.0014437-0.0010097i,0.00026162-1.9744e-05i,-0.00011876+0.0015816i,-0.0025366+0.00051631i,-0.0014474+0.0014131i,0.00042377+0.0013672i,-0.00022703+0.00099248i,-0.00065062+0.0011242i,0.0018136+0.0089758i,0.00050074-0.00060227i,-4.0761e-05-0.0013193i,0.00097075+0.0013738i,-0.0025542-0.001435i,-0.00093123+0.00098674i,-0.0015176+0.00087358i,0.0026315+0.0011459i,0.0084518+0.00043659i,0.0064794+0.032253i,-0.041134+0.067261i,-0.03016+0.061015i,-0.0074052+0.063888i,0.023986+0.052291i,0.021378+0.041689i,0.0089931+0.026734i,-0.014517-0.0049845i,-0.037366+0.023945i,-0.025552+0.018447i,0.015306+0.011886i,-0.0060944+0.0096138i,-0.0042852+0.011497i,-0.010724+0.0077327i,-0.004426-0.0016919i,0.012154+0.0036433i,0.011722+0.0079817i,-0.01938+0.0016811i,-0.0023269-0.0038368i,-0.0035965+0.0012325i,-0.0038782-0.0015246i,-0.0026898-0.0034795i,0.0072795+0.0035921i,0.0016045-0.0069299i,-0.0045292-0.00015648i,0.0016513-0.0013116i,0.0012905-0.0058445i,-0.004671-0.00051584i,0.00087293+0.0010278i,0.0021488-0.0017503i,0.020486+0.0093262i,-0.0063542+0.0016536i,0.001873-0.0044205i,-0.0032887-0.0025162i,0.0017718-0.0059384i,-0.0044964+0.0096479i,0.0032255-0.00081295i,0.0010923-0.0026463i,0.00082555-0.0027618i,-0.0023339-0.0023949i,0.00041479+0.0021581i,0.0037153+0.0012695i,0.0048387+0.0042375i,-0.0066454+0.0097547i,-0.014574+0.010408i,-0.011762+0.059229i,0.011118+0.0018701i,-0.029332+8.852e-05i,-0.018458-0.01081i,0.017576+0.0093914i,0.015131+0.023285i,-0.0053795-0.00048833i
0.01126+0.011289i,0.035083+0.029148i,0.039788+0.0095915i,0.032875+0.0059914i,0.041762+0.0008301i,0.013228-0.031845i,0.0033313-0.016814i,0.02517-0.015588i,0.017644+0.0017287i,0.005211+0.00060762i,0.0039086-0.0011247i,0.0063039+0.0005996i,0.0045531-0.0012409i,0.0046147-0.002182i,-0.0016229-0.0029768i,0.0023303-0.0038502i,-0.00071328-0.0062931i,-0.0024039-0.00034612i,-0.00066241+0.0020543i,-0.00092913-0.00078958i,-0.0019645+0.0013249i,0.0001031+0.0031806i,-0.00097562+0.0017602i,0.0054126-0.0047074i,0.0015515-0.00069092i,0.00051404-0.0011233i,0.00070208-0.0011085i,0.00054005-0.0012333i,8.669e-05-3.1514e-05i,0.00077916+0.0016289i,-0.0017671+0.0015601i,-0.00062189+0.0019018i,0.0008198+0.00091277i,0.0001905+0.001236i,0.00013566+0.0013137i,0.0042599+0.007608i,0.00012628-0.00057109i,-0.000677-0.0011763i,0.0015497+0.0010952i,-0.002757-0.00044772i,-0.00057587+0.00092157i,-0.0012489+0.0011333i,0.0032727+0.00080277i,0.0079812-0.0018557i,0.011303+0.027635i,-0.024975+0.069873i,-0.018431+0.065732i,0.0021864+0.063466i,0.029861+0.039151i,0.027623+0.034022i,0.0096278+0.028197i,-0.018422+0.0020546i,-0.033837+0.033182i,-0.024465+0.016083i,0.01439+0.0059226i,-0.0028159+0.011672i,0.00099734+0.011773i,-0.0086241+0.010218i,-0.0055373+0.0016962i,0.012351-0.0017024i,0.014634+0.0031632i,-0.01866+0.0078625i,-0.0023698-0.0018061i,-0.0024722+0.0016272i,-0.0027406+0.00014222i,-0.0040039-0.001219i,0.0070557+0.00055842i,-0.0003527-0.0065109i,-0.0028835+0.0033196i,0.0028405-0.0021419i,-0.0012916-0.0060311i,-0.0036647+0.0011031i,0.00216+0.00025574i,0.0017699-0.0023258i,0.020905-0.00042949i,-0.0042296+0.0040978i,0.00015917-0.0056778i,-0.0026539-0.0020321i,-0.00064001-0.0066968i,-0.00051946+0.0086824i,0.0027571-0.0024924i,0.0011464-0.0013274i,0.00069662-0.0021327i,-0.0014442-0.0018013i,0.00090424+0.0026078i,0.002308-0.00028859i,0.005631+0.0017343i,-0.0042224+0.0098474i,-0.010888+0.015027i,-0.0033383+0.058678i,0.013165-0.0092037i,-0.025636+0.0023402i,-0.02381-0.0082024i,0.017746+0.0051477i,0.02045+0.017207i,-0.0064083-0.00077999i
0.013057+0.0095399i,0.038589+0.02377i,0.040665+0.0022604i,0.032896-0.001571i,0.041602-0.0077115i,0.0069196-0.033402i,0.00042837-0.016018i,0.021711-0.019766i,0.017986-0.0021174i,0.0046711-0.00039752i,0.0039771-0.001458i,0.0065243-0.00077722i,0.00486-0.0016767i,0.0035399-0.0029729i,-0.0021531-0.0020906i,0.0017402-0.0032224i,-0.0016703-0.0056201i,-0.0021794+0.00034564i,-0.00024495+0.0019679i,-0.0013802-0.00029478i,-0.0013297+0.0018579i,0.0014028+0.0027098i,-0.00040393+0.0020757i,0.0024868-0.0057631i,0.0013115-0.00088572i,0.00017049-0.0011667i,0.00028081-0.0012091i,2.6274e-05-0.001116i,6.5472e-06+0.00010746i,0.001351+0.0010291i,-0.00084341+0.0019554i,0.00028665+0.0019203i,0.000958+0.00056976i,0.00074332+0.00097358i,0.0006822+0.00070259i,0.0056946+0.0057105i,-2.3728e-05-0.00035272i,-0.0010068-0.00066755i,0.0015958+0.00044378i,-0.0024548+0.00030336i,-0.00039065+0.00090586i,-0.00095234+0.0011557i,0.0037385+0.00025289i,0.0068752-0.0036051i,0.014488+0.022967i,-0.0105+0.068179i,-0.0048802+0.066198i,0.012178+0.06116i,0.031741+0.027323i,0.031424+0.02626i,0.012867+0.030287i,-0.017191+0.010971i,-0.025114+0.042737i,-0.025454+0.016901i,0.012435+0.0027679i,0.0012037+0.011805i,0.0047344+0.0097971i,-0.0056784+0.012469i,-0.0046106+0.0041137i,0.0095215-0.0072571i,0.01462-0.0029875i,-0.015655+0.01255i,-0.0014673-0.00085401i,-0.0014017+0.0014686i,-0.0016345+0.00039945i,-0.0032991+0.0015165i,0.0056123-0.0014146i,-0.0017814-0.0052516i,0.00035622+0.0045764i,0.0026367-0.003927i,-0.0034624-0.0045289i,-0.0026808+0.0017459i,0.0023583-0.0012079i,0.0017473-0.0026014i,0.017173-0.0085767i,-0.0017374+0.0048193i,-0.0019915-0.0053663i,-0.0028236-0.0016823i,-0.0030536-0.0060642i,0.0018029+0.0069691i,0.0023247-0.0035921i,0.0025791-0.001554i,0.00086347-0.0029397i,-0.00076154-0.0024595i,0.0017941+0.0027214i,0.00079114+0.00023146i,0.0050903+0.00022898i,-0.0026838+0.0093585i,-0.0050857+0.017053i,0.0051493+0.056943i,0.0073119-0.01858i,-0.023945+0.00087022i,-0.028718-0.0024902i,0.016056-0.00036494i,0.022004+0.010473i,-0.0073517+0.00023396i
0.014922+0.0073014i,0.041127+0.017546i,0.039426-0.0061237i,0.030398-0.0094811i,0.039767-0.016725i,0.00019317-0.033334i,-0.0015753-0.01516i,0.017566-0.023412i,0.017041-0.0059963i,0.0040558-0.00060788i,0.0035806-0.002007i,0.0063984-0.002797i,0.0047508-0.0028951i,0.0023604-0.0034603i,-0.0024562-0.0010837i,0.0016276-0.0029045i,-0.0028245-0.0049682i,-0.0022323+0.00091639i,0.0004779+0.001688i,-0.0018613+0.00033111i,-0.00091926+0.0020251i,0.0021845+0.0016983i,0.00015212+0.0021555i,-0.00058623-0.0053159i,0.00085241-0.0016265i,-0.00024476-0.00087644i,-0.00026637-0.0012134i,-0.00034811-0.00086014i,0.00025167+0.00023399i,0.0014003+0.00040961i,0.0002294+0.0019156i,0.00091314+0.0017434i,0.00090992+0.00018155i,0.0010316+0.00058472i,0.00058292-5.2849e-05i,0.0063785+0.0038455i,-0.00019146-0.00018613i,-0.0011509-0.00029693i,0.0015664+8.5426e-05i,-0.0019335+0.00073519i,-0.00023379+0.00095751i,-0.00058505+0.0011812i,0.0040469-0.00094416i,0.0054061-0.0048522i,0.016303+0.018689i,0.0019236+0.064431i,0.0071793+0.062389i,0.021697+0.057247i,0.030355+0.017262i,0.033344+0.019433i,0.018742+0.030481i,-0.010041+0.016944i,-0.011745+0.047541i,-0.025401+0.020429i,0.010752+0.0010037i,0.0044955+0.010197i,0.0068214+0.0066779i,-0.0019688+0.013309i,-0.0039315+0.0055647i,0.0031129-0.0097234i,0.011088-0.0078796i,-0.011694+0.01605i,-0.00078524-0.0013437i,-0.00094527+0.00090035i,-0.0012819+0.00025578i,-0.00096428+0.0028868i,0.0043212-0.0015853i,-0.0023956-0.0044305i,0.0032411+0.0035974i,0.0011895-0.0056093i,-0.0045304-0.0026553i,-0.0014497+0.0022121i,0.0015201-0.0025768i,0.001328-0.0036475i,0.011153-0.013092i,0.00028464+0.0045181i,-0.0033641-0.0043456i,-0.00259-0.0013095i,-0.0047131-0.0048621i,0.0031743+0.0052438i,0.001586-0.005146i,0.003015-0.0032602i,-0.00013414-0.0035731i,-0.0015966-0.0030861i,0.0029969+0.0027068i,0.00077881+0.0017999i,0.0046599-0.00089697i,-0.0017251+0.0092733i,-4.1969e-05+0.016233i,0.013473+0.054777i,-0.0013429-0.023824i,-0.026506-0.00054988i,-0.030065+0.0056907i,0.010619-0.0038034i,0.022517+0.0046073i,-0.0065234+0.00084216i
0.016526+0.0040776i,0.043226+0.011725i,0.035896-0.013084i,0.025155-0.01541i,0.035154-0.025049i,-0.005652-0.031571i,-0.003076-0.014388i,0.012709-0.025888i,0.015689-0.0095363i,0.0042411-0.00057302i,0.0032553-0.0022155i,0.0050761-0.0046548i,0.0040999-0.0039951i,0.0013073-0.0034466i,-0.0022221-0.00012927i,0.0015118-0.0027188i,-0.0043418-0.0035129i,-0.0018507+0.0017828i,0.00080173+0.0009995i,-0.0017647+0.0015016i,-0.00032743+0.0023537i,0.0022803+0.00044439i,0.00076166+0.0021244i,-0.0026452-0.0034661i,-0.00053186-0.0015919i,-0.00034483-0.00056686i,-0.00069085-0.00093426i,-0.00063796-0.00049674i,0.00032159-8.8432e-05i,0.0013212-4.6679e-05i,0.0010368+0.0013902i,0.001405+0.0011707i,0.00089743-7.1912e-05i,0.0011009+0.00017924i,0.00015677-4.1633e-06i,0.0064515+0.0019397i,-0.00020233+1.8383e-05i,-0.0012623+0.00017721i,0.0014511-0.0002105i,-0.0012991+0.0009461i,8.3789e-06+0.0010921i,-0.00034043+0.0011593i,0.0035362-0.0023508i,0.0036928-0.0052571i,0.017295+0.014769i,0.012839+0.058395i,0.016045+0.057012i,0.030559+0.051761i,0.027399+0.01015i,0.033842+0.013066i,0.024774+0.028051i,-0.0022879+0.017624i,0.002439+0.047093i,-0.023296+0.024979i,0.009932-0.00016508i,0.0070269+0.0077799i,0.0071637+0.0038188i,0.0020416+0.012722i,-0.0024753+0.0074593i,-0.0026304-0.0079584i,0.0067391-0.0097135i,-0.007026+0.018146i,-0.0012492-0.0022907i,-0.0012942+0.00084079i,-0.0012144+0.00049347i,0.0015511+0.0026398i,0.0035546-0.001921i,-0.0034039-0.0036491i,0.0046376+0.0013195i,-0.0017056-0.0062655i,-0.0044873-0.00076268i,-4.5386e-05+0.0016428i,0.00093544-0.0032366i,0.0001121-0.0049703i,0.0049974-0.014255i,0.0019164+0.0036581i,-0.0043061-0.0033233i,-0.0032966-0.0013171i,-0.0060637-0.0030616i,0.0034351+0.0039457i,-0.00045831-0.0066097i,0.0027705-0.0049924i,-0.0010923-0.0031899i,-0.0021803-0.0028331i,0.0037129+0.0021332i,0.0019485+0.0026955i,0.00347-0.001733i,-0.00047377+0.0097047i,0.0039073+0.013905i,0.02245+0.051239i,-0.011979-0.025633i,-0.030406+0.0011332i,-0.027262+0.013479i,0.0061952-0.0033279i,0.020495-0.0016073i,-0.0058526-0.00064299i
0.017238+1.5499e-05i,0.045027+0.0045823i,0.031976-0.018288i,0.019831-0.018437i,0.029102-0.031584i,-0.010269-0.029285i,-0.0041601-0.014144i,0.0079783-0.027433i,0.013546-0.013029i,0.0046317-0.0013577i,0.0033425-0.0027735i,0.0032557-0.0053992i,0.0029973-0.0052576i,0.00053581-0.0032503i,-0.0017209+0.00044239i,0.0015409-0.0025231i,-0.0047366-0.0015607i,-0.0010797+0.0018766i,0.00055+0.0003985i,-0.00099592+0.0021886i,0.00037977+0.0023187i,0.0019085-0.00038954i,0.0014136+0.0017738i,-0.0036266-0.00097249i,-0.0010563-0.00081306i,-0.00038284-0.0004002i,-0.00096385-0.00064462i,-0.0006387-0.00012595i,2.9783e-05-2.9289e-05i,0.0010105-0.00056401i,0.0016222+0.0005917i,0.0014824+0.00063327i,0.0009006-0.0003122i,0.0012066-0.00011465i,8.4485e-05+0.00027833i,0.0058691+0.00036331i,-0.00014179+0.00022947i,-0.0011166+0.00070891i,0.0012396-0.00078923i,-0.00070399+0.0010788i,0.00042637+0.00094797i,-0.00015638+0.001108i,0.0024082-0.0032733i,0.0021017-0.0050937i,0.017708+0.01106i,0.020175+0.050321i,0.023053+0.051735i,0.038047+0.044116i,0.02408+0.0048853i,0.033448+0.0087429i,0.030037+0.024182i,0.0042276+0.016376i,0.014547+0.041889i,-0.018804+0.029545i,0.0093115-0.0016579i,0.0085701+0.0044079i,0.0073971+0.0016855i,0.0056532+0.010516i,0.00027932+0.0079951i,-0.005849-0.0044986i,0.0024462-0.0099617i,-0.0017258+0.018081i,-0.0026166-0.0023137i,-0.0020775+0.001855i,-0.001039+0.00072673i,0.0031599+0.001159i,0.0028165-0.001099i,-0.003878-0.002176i,0.0046001-0.00091331i,-0.0043179-0.0048495i,-0.0033902+0.0006183i,0.00029739+0.00052468i,0.00011428-0.0040935i,-0.0018968-0.0051007i,-9.5375e-05-0.013356i,0.0031782+0.002056i,-0.0055171-0.0018318i,-0.0038939+7.9323e-05i,-0.0061743-0.0005082i,0.0039657+0.0033672i,-0.0035861-0.0065507i,0.0014912-0.0069159i,-0.0016883-0.0028718i,-0.0027846-0.0029872i,0.0046924+0.0016117i,0.0032712+0.0025263i,0.0024825-0.0012848i,0.0010966+0.0096035i,0.0064523+0.010763i,0.031143+0.04518i,-0.023106-0.0225i,-0.033641+0.0048468i,-0.021873+0.018001i,0.0041649-0.0019615i,0.015862-0.0055179i,-0.0080506-0.0014232i
0.016479-0.0039752i,0.045317-0.0032946i,0.027888-0.022786i,0.01535-0.020149i,0.022136-0.036658i,-0.014729-0.026787i,-0.0055846-0.014811i,0.0031536-0.028351i,0.010483-0.015974i,0.0045671-0.0023589i,0.0031556-0.0038435i,0.0015497-0.0054874i,0.0011916-0.0059714i,-0.00010427-0.0031224i,-0.0013617+0.00055707i,0.0016717-0.0026469i,-0.004277+0.00014186i,-0.00060962+0.0017231i,0.00033322+0.00024486i,-0.0001675+0.0023985i,0.00098409+0.0021222i,0.0014418-0.00080556i,0.0018591+0.0011166i,-0.0029205+0.0014287i,-0.00093418-0.00023124i,-0.00041723-0.00016418i,-0.0011113-0.00033509i,-0.00057933+4.5299e-05i,6.4456e-05+0.00010774i,0.00042041-0.00081285i,0.0017441-0.00040485i,0.001541+0.00026032i,0.00072367-0.00057242i,0.0010745-0.00075089i,0.00031663+0.00052853i,0.0052272-0.00067228i,7.9349e-05+0.00025638i,-0.00070722+0.0011883i,0.00046717-0.00090863i,-5.1099e-06+0.00088509i,0.00070311+0.00082594i,-2.2134e-05+0.0011626i,0.00098758-0.0034i,0.0010615-0.0042697i,0.017716+0.008411i,0.024203+0.043867i,0.029666+0.046392i,0.0428+0.036523i,0.020164+0.00057579i,0.034632+0.0051789i,0.034424+0.01898i,0.010633+0.012744i,0.024249+0.033312i,-0.011908+0.03266i,0.0083597-0.0032045i,0.0081267-0.00024609i,0.0075915-0.00084429i,0.0074297+0.0070071i,0.0020961+0.0071774i,-0.0072337-0.00010726i,-0.0013211-0.0086805i,0.0022041+0.015537i,-0.0039049-0.0010824i,-0.0017614+0.0038971i,-0.00089371+0.00097677i,0.0039407-0.00098357i,0.0038317+0.00033092i,-0.0033764-0.00090211i,0.004007-0.0017196i,-0.0054054-0.0027186i,-0.0022927+0.0010418i,1.014e-05+0.00018635i,-0.0021045-0.0047796i,-0.0035713-0.0038865i,-0.0042872-0.011899i,0.0034293+4.1476e-05i,-0.0057906+0.00025053i,-0.0030053+0.0012252i,-0.0053021+0.0014401i,0.0050491+0.0026768i,-0.0059691-0.0045532i,-0.0011922-0.0081899i,-0.0025331-0.0023574i,-0.0043275-0.0026283i,0.0058998-0.00036716i,0.0048419+0.0021512i,0.0028283-0.0010523i,0.0031481+0.0096101i,0.0067841+0.0073414i,0.038431+0.0372i,-0.030248-0.013563i,-0.036496+0.011016i,-0.016126+0.020822i,0.0024678-0.00022686i,0.011751-0.0062401i,-0.0095421-0.00066075i
