-0.030422-0.039594i,-0.022383-0.018909i,-0.013588-0.035354i,-0.029971-0.020022i,-0.022148-5.2095e-05i,-0.013749-0.0056342i,-0.055704-0.058376i,-0.046861-0.016822i,-0.038033-0.014131i,0.010777+0.011568i,-0.0079953+0.0051577i,-0.019309+0.019004i,0.002591+0.011417i,-0.0062225-0.0030929i,0.00015097+0.0012642i,-0.001319+0.030381i,0.027846+0.027811i,0.0023243-0.0022212i,-0.0025722-0.0066173i,0.0078078+0.002577i,0.0027908+0.00078047i,0.00021676+0.0037927i,-0.00031643+0.00028556i,-0.037202-0.011448i,-0.00014209-0.0079075i,0.0012936+0.0021721i,0.0063399+0.0015264i,0.0019818+0.0005742i,0.0011569-0.00041748i,-0.0006252-0.0024859i,0.00145-0.0025705i,-0.0025307-0.0055563i,-0.00038088-0.0048165i,0.0028482-0.00085899i,0.004397-0.002742i,0.0023114+0.030753i,0.0037628-0.0032819i,0.0029917-0.0016037i,0.0081432-0.0013086i,-0.0053795-0.0023809i,-0.00018864+0.0011054i,0.0092665-5.0001e-05i,0.0043233-0.0027619i,-0.001363+0.0087053i,-0.017618-0.0071192i,-0.018618+0.013774i,-0.0046371-0.060935i,-0.0052957-0.026986i,-0.026619-0.032644i,-0.011173-0.026889i,0.054504-0.021003i,0.016477-0.043213i,0.021682-0.049984i,0.0047883-0.056496i,0.025344-0.021072i,0.0083274+0.0059879i,0.024573-0.034892i,-0.0082593-0.006533i,0.0038796-0.0047117i,-0.0039903-0.0071961i,-0.002882-0.032656i,-0.018438+0.029805i,0.0082702-0.012547i,-0.0090351-0.0038954i,-0.00416-0.0014101i,0.00061802-0.013059i,-0.011154+0.0047806i,0.0028306+0.010142i,-0.0054369+0.026699i,0.0049171+0.0024974i,-0.0052903-0.0018008i,-0.0022427-0.0022235i,-0.012767-0.0073445i,-0.00047124-0.004151i,-0.035762+0.0014556i,0.00095231-0.0109i,-0.008235+0.00033481i,-0.0067074-0.0022615i,0.0054775+0.0013445i,-0.0083465-0.00053795i,0.0023371-0.00033002i,0.0036647+0.007165i,0.0041203+0.000532i,-0.0085639-0.012923i,0.0030669+0.0091132i,-0.015188+0.0050741i,0.0069965+0.00028215i,-0.022406+0.00097984i,-0.016734+0.0051881i,-0.0083533-0.064786i,0.0075785-0.012375i,-0.049898-0.022467i,-0.021283+0.001586i,0.017547+0.011336i,-0.022891+0.014428i,-0.019657-0.0049427i
0.030451+0.03265i,0.013448+0.014979i,0.01717+0.02449i,0.0064143+0.019249i,0.008325+0.0068853i,0.0045683-0.00098487i,0.015244+0.011876i,0.015568-0.0023551i,0.0074243-0.0083059i,0.0010676+0.0033882i,0.002255-0.0024203i,0.00043111-0.0052325i,-0.0017853+0.00078143i,0.0011694-0.0014167i,0.0019067-0.00058471i,0.0053131-0.0026272i,0.0055258-0.0074763i,0.00027105+0.00051537i,-0.0036666+0.00054993i,-1.2731e-05+0.00064161i,-0.00077514-0.0012094i,-0.0025794-0.0010473i,-0.0015806+0.00082195i,0.0062118+0.0095899i,-0.0010679+0.001775i,0.00079298+0.0016826i,0.0011376+0.0009283i,-0.0017806+0.0027013i,-0.0011186+0.00017989i,-0.0011645+0.00050075i,-0.0010841-0.0011439i,-0.0017498-0.000915i,-0.00013502+0.00033011i,0.00059337+0.00062444i,-1.074e-05-0.00083568i,-0.0091835+0.010397i,0.0016672+3.1419e-05i,0.00070831+0.00084995i,0.0010854+0.0024348i,0.00095963-0.0012825i,-0.00014379-0.00047962i,-0.0010827-0.00038646i,-1.8535e-05+0.0015347i,0.0003922+0.0014805i,0.019667+0.013925i,-0.022521+0.013909i,-0.011021+0.017294i,-0.022048+0.011628i,-0.0037612+0.037876i,-0.01957+0.018013i,0.0026539-0.0039767i,-0.011793-0.016276i,-0.019334+0.0015027i,-0.0063499+0.016397i,0.017403+0.020797i,-0.0003151+0.0022566i,-0.0039794+0.0010643i,-0.012656-0.0043903i,0.011384+0.0011696i,0.012672+0.0099418i,-0.0005151+0.0056889i,-0.0050635-0.0069252i,0.0064425-0.0028736i,-0.0031339-0.0041677i,0.0034953-0.0083691i,0.0088184-0.003009i,-0.0011704+0.010437i,0.01239-0.006491i,0.0037287-0.0073935i,0.0031891-0.0081207i,0.002411+0.00060972i,-0.002318-0.0057892i,-0.0033071-0.001518i,0.0025015-0.00010911i,-0.0084768+0.036354i,-0.0069195-0.0055219i,0.0002732+0.0011093i,-0.0012562-0.0071556i,0.0032441-0.00047354i,-0.017717-0.0064289i,-0.0019697-0.0033283i,0.0028233-0.0021022i,0.0032782-0.0014722i,-0.0030221-0.0073298i,0.00011704+0.0071842i,0.00027954+0.0032527i,-0.0032435+0.00427i,-0.0072058+0.0016419i,-0.0063576-0.00013047i,-0.0086268+0.024654i,-0.0015568+0.014848i,-0.026292-0.010289i,-0.0011835-0.0029886i,0.014096+0.01738i,-0.0008506+0.018628i,-0.00089834-0.004774i
0.035072+0.025734i,0.016185+0.011365i,0.021275+0.021493i,0.00965+0.018796i,0.010268+0.0056742i,0.0047012-0.0023691i,0.015226+0.0082115i,0.014975-0.0048751i,0.0052933-0.009635i,0.0019586+0.0026752i,0.0020573-0.0026657i,-0.001452-0.0035454i,-0.0012669+0.0014574i,0.00097037-0.0003339i,0.0017533-0.00090036i,0.0041246-0.0029707i,0.0028754-0.0078825i,0.00079982+0.00045804i,-0.0032734+0.0010191i,0.00028431+8.1968e-05i,-0.00093854-0.0013552i,-0.0026787-0.00043695i,-0.001235+0.00096437i,0.011253+0.006277i,-0.00080634+0.0027974i,0.0016298+0.0011201i,0.0011075+2.5745e-05i,-0.00060769+0.0029457i,-0.0015539+0.00068266i,-0.0010027+0.0010694i,-0.0015438-0.00048343i,-0.0021626-0.0007461i,-0.00026558+0.00021436i,0.00069177+0.00037053i,-0.00069379+4.8988e-05i,-0.0050753+0.012162i,0.001244-0.00059708i,0.00099864+0.00072355i,0.0016229+0.0016424i,0.0004826-0.0012153i,-0.00029271-0.00068335i,-0.0013403+5.6965e-06i,0.00011636+0.0017344i,0.00016202+0.0017411i,0.022838+0.010616i,-0.017779+0.017018i,-0.0098514+0.019933i,-0.017243+0.013104i,0.0079344+0.034023i,-0.012121+0.01795i,-0.0038625-0.0074463i,-0.019075-0.017177i,-0.021517+0.0019933i,0.00011779+0.011403i,0.021153+0.013569i,-0.00076755+0.0021741i,-0.0026819+0.004688i,-0.01254+0.00021369i,0.0099362-0.0030034i,0.014164+0.0062126i,0.0023975+0.0082273i,-0.0089808-0.005562i,0.0022032-0.0047215i,-0.0033517-0.0021097i,-0.0014954-0.0076628i,0.0068413-0.005614i,0.0035327+0.0082614i,0.007389-0.0091572i,-0.0007458-0.0071863i,-0.00078415-0.005567i,0.0036527-0.00021229i,-0.0037338-0.0048377i,-0.0018972+0.00080471i,0.003265-0.00052762i,0.010197+0.034243i,-0.0085662-0.003506i,0.0010508+0.00036919i,-0.0042051-0.0056218i,0.003862-0.0018405i,-0.01802+0.0019988i,-0.0023718-0.0022834i,0.001626-0.0021762i,0.003222-0.0029214i,-0.0049837-0.0054857i,0.0023138+0.0034431i,0.0015476+0.0024542i,-0.00048782+0.0058292i,-0.0055392+0.0042216i,-0.0069371+0.00094507i,-0.0029932+0.021719i,0.0010729+0.015853i,-0.028418-0.004205i,-0.0029716-0.006868i,0.01645+0.014723i,0.0028854+0.019778i,-0.0033524-0.0048717i
0.037794+0.01821i,0.017242+0.0066855i,0.025809+0.016201i,0.014398+0.016064i,0.012522+0.0038134i,0.0043673-0.0040519i,0.014586+0.0046421i,0.014008-0.0077702i,0.0033636-0.0098173i,0.0021005+0.0019577i,0.0014028-0.0035607i,-0.0016471-0.0015587i,-0.00065646+0.001515i,0.0017515-0.00034505i,0.001503-0.0012028i,0.003109-0.0033189i,0.00054576-0.0077145i,0.00084497-4.5945e-05i,-0.0028905+0.0019156i,3.3612e-05-0.00060383i,-0.0018599-0.0016741i,-0.0023545+0.00016912i,-0.0010087+0.0010641i,0.012406+0.00020976i,0.00043355+0.0032842i,0.0017419+0.00016567i,0.00057994-0.00037891i,0.00059581+0.0026097i,-0.001232+0.0015158i,-0.0005581+0.0014899i,-0.0016839+0.00037238i,-0.0030057+0.00063254i,-0.00022927+0.00029438i,0.00069274+7.1996e-05i,-0.00054406+0.00093766i,-0.0011077+0.01241i,0.00075148-0.00066027i,0.0012021+0.00017379i,0.0016475+0.00099859i,1.7598e-05-0.0012343i,-0.00066836-0.00087829i,-0.0012843+0.00030572i,0.00038072+0.0021478i,0.0006295+0.0021263i,0.02632+0.0062856i,-0.013089+0.018973i,-0.0066052+0.023027i,-0.011833+0.012558i,0.0183+0.026527i,-0.0057635+0.018008i,-0.011148-0.0066399i,-0.025511-0.014587i,-0.022931+0.0054997i,0.0031578+0.0046035i,0.021416+0.0057861i,-0.001272+0.0021191i,-0.0011456+0.0047577i,-0.012281+0.0033706i,0.0060087-0.0074981i,0.014808+0.0017585i,0.0061343+0.0082287i,-0.011855-0.0026767i,0.00029309-0.0030773i,-0.0032428-0.00038541i,-0.0039972-0.0049635i,0.0045815-0.0068079i,0.0061339+0.0071147i,0.0043008-0.008851i,-0.0042177-0.0045851i,-0.0011275-0.0026276i,0.0040675-0.0023661i,-0.0060434-0.0030429i,-0.00012265+0.00079276i,0.0025722-0.0019417i,0.023474+0.023486i,-0.0099498+0.00016415i,0.0015642-0.00027994i,-0.0041511-0.003717i,0.0040132-0.0037885i,-0.013573+0.0089684i,-0.002184-0.0012846i,0.00066889-0.0023188i,0.0017444-0.0036476i,-0.0063927-0.0029052i,0.0014831+0.0023925i,0.0021644+0.0013444i,0.0023687+0.0055478i,-0.0033205+0.0048204i,-0.0071426+0.002794i,-0.00075924+0.017971i,0.0078587+0.015117i,-0.02815+0.00036763i,-0.0060402-0.0093523i,0.018994+0.0097511i,0.0078918+0.020362i,-0.0053342-0.0038139i
0.038457+0.011213i,0.016375+0.0031904i,0.02756+0.0094226i,0.017415+0.01095i,0.014039+0.00065469i,0.0031766-0.0055104i,0.0132+0.0022405i,0.012049-0.010442i,0.0020753-0.010091i,0.002042+0.0017493i,0.00011506-0.0034578i,-0.00087314-0.00063119i,-0.00050549+0.0015973i,0.0016998-0.00051176i,0.0010614-0.0014267i,0.0019154-0.0031018i,-0.0013383-0.0064436i,0.00081067-0.00021176i,-0.0015343+0.0026445i,-0.00060048-0.00078961i,-0.0025166-0.00069474i,-0.0022377+0.00066807i,-0.00078916+0.0011792i,0.010403-0.0047076i,0.0016275+0.00308i,0.0013669-0.00037576i,0.00019712-0.00021692i,0.0011104+0.002003i,-0.00046648+0.0017037i,5.1188e-05+0.0016376i,-0.0013587+0.0012556i,-0.0022781+0.0022083i,-0.00017083+0.00032523i,0.00049098-0.00012576i,-2.1746e-05+0.0013105i,0.0025231+0.011522i,0.00056411-0.00071478i,0.0010058-0.00040288i,0.0014539+0.00075213i,-0.00057791-0.0010163i,-0.001186-0.00071427i,-0.0014052+0.00055531i,0.0010105+0.0024406i,0.0012655+0.0021398i,0.028589-0.00035273i,-0.0078314+0.020191i,-0.0017725+0.025125i,-0.0096332+0.0098048i,0.025922+0.014771i,0.00053766+0.014148i,-0.017528-0.0019085i,-0.031771-0.0089685i,-0.022548+0.010292i,0.0016674-0.0018661i,0.019597-0.0010539i,-0.001522+0.002942i,8.0283e-05+0.0064106i,-0.011329+0.0072304i,-0.00014265-0.0075342i,0.01404-0.0032968i,0.0096503+0.0061608i,-0.013119+0.0016273i,-0.00066334-0.0022185i,-0.0024622+0.00090359i,-0.0049161-0.0015354i,0.0025264-0.0075139i,0.0085438+0.0036518i,0.002001-0.0087687i,-0.0052212-0.00035307i,-9.0333e-05-0.0015789i,0.0027211-0.004457i,-0.00635+0.00033066i,0.0008994+0.00051511i,0.0016399-0.0027307i,0.029221+0.0089867i,-0.0087985+0.0047257i,0.0017389-0.0013083i,-0.0042153-0.0019853i,0.0022163-0.0061002i,-0.007513+0.011233i,-0.0016234-0.00076745i,6.0266e-06-0.0016009i,0.00045257-0.0036511i,-0.0057803+0.00012406i,0.0013909+0.0021971i,0.0018852+0.0002367i,0.0048196+0.004288i,-0.0014617+0.0039504i,-0.0069546+0.0045128i,0.00040378+0.01681i,0.015842+0.0080915i,-0.026104+0.0049262i,-0.01129-0.010028i,0.017882+0.0046347i,0.013475+0.018395i,-0.0054039-0.0028052i
0.038697+0.0049215i,0.016041+0.0010161i,0.027571+0.0037386i,0.018607+0.0057298i,0.014302-0.0027446i,0.0018171-0.0063645i,0.012108+0.0011386i,0.0096466-0.012436i,0.00089601-0.010644i,0.0022291+0.001485i,-0.00082152-0.0028637i,-0.00021323-0.00060668i,-0.0003134+0.0019664i,0.0017506-0.00088663i,0.00064672-0.0013576i,0.0013932-0.0023397i,-0.0021945-0.0052166i,0.0006163-0.00033623i,-0.00041299+0.0022975i,-0.0011374-0.00055555i,-0.0025837+1.5992e-05i,-0.0017299+0.0012552i,-0.00049697+0.0013439i,0.0068552-0.0076522i,0.0025995+0.0025118i,0.0010684-0.00071966i,-1.8436e-05-7.7981e-06i,0.0013796+0.0014417i,-9.9976e-06+0.001672i,0.00080384+0.0014885i,-0.00057234+0.0017674i,-0.0012492+0.0030148i,-0.00024023+0.0002688i,0.00035603+3.3489e-05i,0.00064782+0.0014809i,0.0052458+0.0098767i,0.00023742-0.00079184i,0.00057392-0.00068623i,0.0015884+0.00055181i,-0.00076038-0.00052825i,-0.0014682-0.00045053i,-0.0014177+0.001003i,0.0018084+0.0022623i,0.0014707+0.0016431i,0.028004-0.0075805i,-0.0020947+0.019845i,0.0045619+0.025441i,-0.0091036+0.0092027i,0.026845+0.0017931i,0.0029277+0.0087366i,-0.019852+0.0061319i,-0.034502+0.00036422i,-0.020406+0.016313i,-0.002869-0.005541i,0.014856-0.0056251i,-0.00088759+0.0038852i,0.0036395+0.0062651i,-0.0087185+0.010526i,-0.0034156-0.0042749i,0.010831-0.0088178i,0.012249+0.0023017i,-0.013057+0.0061357i,-0.00087475-0.00049653i,-0.0014972+0.0015605i,-0.0031305+0.00058532i,-0.00060734-0.0071276i,0.0084894+0.000363i,-0.00038731-0.0080983i,-0.003425+0.0027752i,0.00079862-0.0018273i,0.00068205-0.0054448i,-0.0047503+0.0026993i,0.0019094-0.00036883i,0.00097713-0.0027159i,0.027735-0.0042036i,-0.0048855+0.0075407i,0.0011815-0.0023467i,-0.0033042-0.0015923i,-0.00034438-0.0067475i,-0.0030645+0.010982i,-0.0015347-0.00046672i,-7.3114e-06-0.00043965i,0.00010788-0.003076i,-0.0036818+0.001857i,0.0019259+0.0019343i,0.00094485-0.00028644i,0.005694+0.0015859i,-0.0014106+0.0024558i,-0.0058268+0.0065344i,0.0026911+0.016493i,0.017202-0.004206i,-0.022175+0.0061493i,-0.016301-0.0079269i,0.016722+0.0007551i,0.017559+0.01279i,-0.0061014-0.0029452i
0.038228-0.0014905i,0.016124-0.0015504i,0.02739-0.001745i,0.018868+0.00035492i,0.014103-0.0059353i,0.00028702-0.0069304i,0.012233+0.00034293i,0.0070839-0.013871i,-0.0005128-0.01136i,0.0021349+0.0010984i,-0.0010305-0.002097i,0.00010404-0.00074782i,0.00037701+0.0024292i,0.0015415-0.0010732i,0.00047083-0.0013407i,0.0016623-0.001716i,-0.0026845-0.0048216i,0.00064481-0.00050872i,0.00021762+0.0017559i,-0.0014609-8.3663e-05i,-0.0021586+0.00066478i,-0.00093604+0.0013177i,-0.00013502+0.0013996i,0.0025742-0.0088722i,0.0035643+0.0015828i,0.0006896-0.0010099i,-6.4033e-05+6.5711e-05i,0.0014899+0.00096735i,0.00047048+0.0016408i,0.0012936+0.00091241i,0.00030555+0.0018094i,6.3544e-05+0.0033618i,-0.00031304+0.00056429i,0.00053629+3.0138e-05i,0.0011439+0.0010244i,0.0069591+0.0078204i,-9.0048e-05-0.00068545i,0.00019732-0.00067432i,0.0015558+0.0002447i,-0.00053963-0.00015286i,-0.0018099+1.0931e-05i,-0.0011844+0.0012562i,0.0024589+0.0019221i,0.0016193+0.0014155i,0.025661-0.014207i,0.0030008+0.017691i,0.010599+0.023084i,-0.0080424+0.009806i,0.023658-0.0090007i,0.0024305+0.0050598i,-0.017169+0.014358i,-0.032125+0.010538i,-0.014727+0.022671i,-0.0078327-0.0050095i,0.010341-0.0069745i,0.00023332+0.004255i,0.0057805+0.0040156i,-0.0052717+0.01323i,-0.0045573-0.0015332i,0.0046229-0.013078i,0.012172-0.002957i,-0.011203+0.0097188i,0.00019896+0.00052685i,-0.00040557+0.0015754i,-0.0015312+0.00087669i,-0.0023313-0.0051968i,0.0071382-0.0019408i,-0.0019156-0.0067157i,-0.00063814+0.003741i,0.00099536-0.0031179i,-0.0014574-0.0050151i,-0.0029986+0.003548i,0.0017253-0.00196i,0.00075107-0.0027678i,0.021284-0.014318i,-0.00098962+0.0078177i,0.00024682-0.0024805i,-0.0035889-0.0010762i,-0.0030914-0.0061366i,0.0002801+0.010167i,-0.00088234-7.2859e-05i,0.0012103-0.00031854i,-0.00020646-0.0036281i,-0.0017039+0.0019157i,0.0020231+0.0016061i,0.00020115+0.0002026i,0.0050309-0.00015331i,-0.0022538+0.0016477i,-0.0035925+0.007759i,0.0053862+0.015369i,0.010967-0.013874i,-0.020612+0.0036738i,-0.020471-0.0030583i,0.013521-0.0039713i,0.018239+0.0072278i,-0.0067975-0.0021252i
0.036581-0.0076683i,0.015377-0.004513i,0.025339-0.0082946i,0.016912-0.0056552i,0.013257-0.0095201i,-0.001439-0.006962i,0.013119-0.0010668i,0.0042745-0.015149i,-0.0024277-0.011632i,0.0019136+0.0014148i,-0.0013867-0.0017659i,-5.4765e-05-0.0014981i,0.0012051+0.0023872i,0.0012505-0.0013522i,0.00025146-0.0012905i,0.0021626-0.0017893i,-0.0037668-0.0042982i,0.00021444-0.00085569i,0.00063005+0.0011497i,-0.0016547+0.00050306i,-0.0020746+0.00091429i,-0.00032857+0.00090259i,0.00018036+0.0013477i,-0.0016138-0.0080839i,0.0039781-0.00019067i,0.00013453-0.0010295i,-0.00045896+0.00025323i,0.0015041+0.00057602i,0.0011087+0.0013557i,0.0013919+0.00024299i,0.0011643+0.0014841i,0.0012133+0.0033101i,-0.00026668+0.00089455i,0.00060925-1.428e-05i,0.0011976+0.00031637i,0.0080706+0.0058696i,-0.00032463-0.00053978i,-0.00017997-0.00057053i,0.0017816-2.1071e-06i,-0.0001786-0.00010319i,-0.0018916+0.00078408i,-0.00092701+0.00168i,0.0031194+0.001212i,0.0015915+0.0012559i,0.021682-0.019928i,0.0070159+0.014172i,0.015071+0.01912i,-0.0055265+0.010917i,0.017561-0.016889i,0.0011117+0.0034735i,-0.011405+0.019502i,-0.025064+0.017704i,-0.0057149+0.025672i,-0.010767-0.0013775i,0.0068615-0.0068787i,0.001365+0.0039623i,0.0059016+0.00085948i,-0.00066976+0.013884i,-0.0051031+0.00080296i,-0.0040083-0.01261i,0.0096226-0.0071289i,-0.0083279+0.012528i,0.0016699-0.00031505i,0.00030908+0.0011721i,-0.0010148+0.00033097i,-0.0024866-0.0035445i,0.005635-0.0027178i,-0.002931-0.005811i,0.0012437+0.00326i,-0.00016435-0.0049041i,-0.0030627-0.0038078i,-0.0010367+0.0040029i,0.00043497-0.0031185i,0.00027401-0.0033425i,0.012406-0.019553i,0.0020503+0.0065515i,-0.00026981-0.0024592i,-0.0030198-0.00082013i,-0.004926-0.0047353i,0.002664+0.0086964i,-0.00010043-0.00085246i,0.0018509-0.0010737i,-0.0013471-0.003477i,-0.00065709+0.0013098i,0.0030017+0.0015494i,0.000225+0.0012371i,0.0044688-0.0013725i,-0.0032464+0.0019603i,-0.0015363+0.0078063i,0.0080577+0.014347i,0.0023627-0.019336i,-0.023701+0.0020693i,-0.021404+0.0034752i,0.007385-0.0059045i,0.017983+0.0024157i,-0.0064937-0.0020593i
0.034206-0.013152i,0.014676-0.0065914i,0.021179-0.012801i,0.012379-0.0098074i,0.011153-0.012985i,-0.0028514-0.0064667i,0.014109-0.0032116i,0.0011366-0.015674i,-0.0041451-0.011746i,0.0026473+0.0018732i,-0.0016952-0.00089769i,-0.0009619-0.0016698i,0.001985+0.0020894i,0.00084796-0.0014231i,0.00011511-0.0012099i,0.0024067-0.002017i,-0.0050551-0.0029066i,-0.00014656-0.00070404i,0.00071233+0.00057027i,-0.0014753+0.0012692i,-0.0017348+0.0015706i,-0.00050257+0.00032993i,0.00047835+0.001261i,-0.0046009-0.0053133i,0.0031223-0.0016805i,-0.00026621-0.00083551i,-0.00041607+0.00066867i,0.0014426+0.00033401i,0.0012956+0.00067115i,0.0012396-0.00022727i,0.0017588+0.00081438i,0.0023257+0.0026419i,0.00014635+0.0012635i,0.00061699-0.00010369i,0.0008541+0.00042648i,0.0087135+0.0036755i,-0.00045963-0.00035917i,-0.00040315-0.00026591i,0.0018603-0.00053013i,0.0001196-0.00011385i,-0.0014957+0.0016094i,-0.00029535+0.0019496i,0.003329+0.00011894i,0.0016299+0.0012407i,0.016281-0.024303i,0.0095565+0.0098769i,0.017858+0.014811i,-0.0020845+0.010591i,0.01039-0.02104i,-4.542e-05+0.0034282i,-0.0048359+0.02164i,-0.01734+0.020341i,0.0038592+0.024659i,-0.010689+0.0034656i,0.005197-0.00649i,0.0026033+0.0033271i,0.0046884-0.0011134i,0.004283+0.01268i,-0.0043775+0.0039228i,-0.010476-0.0071238i,0.00591-0.0092481i,-0.0045734+0.014382i,0.0012262-0.0021257i,0.00066549+0.00065852i,-0.0010291+0.00028229i,-0.0020658-0.0024842i,0.0046612-0.0035824i,-0.004238-0.0047812i,0.0024847+0.0019435i,-0.0033897-0.0054681i,-0.0037516-0.0021273i,0.0012098+0.0029632i,-0.00030184-0.0034674i,-0.00082803-0.0038084i,0.0036125-0.020179i,0.0039498+0.0044906i,-0.00085301-0.0025692i,-0.0036187-0.00055371i,-0.0061806-0.0025536i,0.0041532+0.0073037i,-0.00060245-0.0020744i,0.0022185-0.002081i,-0.0019181-0.0026734i,-5.7944e-05+0.00058477i,0.0035468+0.00074624i,0.0010508+0.0016792i,0.0030503-0.0023622i,-0.0040489+0.0030451i,0.00012759+0.0071494i,0.012093+0.013121i,-0.0083463-0.021123i,-0.027422+0.0040086i,-0.018758+0.0093704i,0.0031984-0.0035548i,0.015565-0.0024109i,-0.0067746-0.0032869i
0.03134-0.018429i,0.014195-0.0094371i,0.017396-0.015387i,0.0079671-0.010892i,0.0082219-0.015712i,-0.0038328-0.0057456i,0.015082-0.0064985i,-0.0019348-0.015501i,-0.0062212-0.011601i,0.0037029+0.0014203i,-0.0012186-0.00020435i,-0.0016661-0.00088313i,0.0025832+0.0013107i,0.0005189-0.0014476i,3.8222e-05-0.0011492i,0.0026853-0.002322i,-0.0055957-0.0011101i,-0.00016431-0.00077883i,0.00051388+7.4064e-05i,-0.00092903+0.0016664i,-0.0012158+0.0017807i,-0.00071732+0.00030226i,0.00079893+0.001092i,-0.0058677-0.0016042i,0.0020695-0.0023749i,-0.00049897-0.00057456i,-8.1661e-05+0.00071461i,0.0015193-3.3506e-05i,0.0010292+0.00050559i,0.00099815-0.00058824i,0.0020791+2.7415e-05i,0.0029069+0.0017489i,0.00080378+0.0011967i,0.00074123-0.00018916i,0.0011364+0.00087212i,0.0085417+0.0015376i,-0.00066623-7.6567e-05i,-0.00038129+2.6038e-05i,0.0016899-0.0011966i,0.00058478-0.00029261i,-0.00072209+0.0020685i,0.0003815+0.0019281i,0.0030584-0.00091931i,0.0017749+0.0012956i,0.010139-0.026768i,0.0099259+0.0053988i,0.019435+0.010621i,0.00052203+0.0089012i,0.0039152-0.022641i,2.2603e-05+0.005439i,0.0017904+0.021696i,-0.01055+0.021129i,0.011455+0.020394i,-0.0070805+0.0071711i,0.0038217-0.0069465i,0.0037157+0.0018395i,0.0038596-0.0024658i,0.0083943+0.0090948i,-0.0018128+0.0051882i,-0.01233-0.000417i,0.0020859-0.0098433i,-0.00060214+0.014271i,-0.00030059-0.0030554i,0.00018203+0.00029524i,-0.00099887+0.00065558i,-0.0018602-0.0021065i,0.003505-0.0033251i,-0.0050271-0.002891i,0.0028159+0.00071808i,-0.0061175-0.0029143i,-0.003328-0.00060237i,0.0018937+0.00086142i,-0.00095797-0.0038059i,-0.0021831-0.0032083i,-0.0035375-0.017874i,0.0050347+0.0019833i,-0.0017934-0.0024776i,-0.0037229+0.00089665i,-0.0059544+2.2293e-05i,0.0054551+0.0061197i,-0.0023253-0.0025364i,0.0018372-0.003552i,-0.0023323-0.0023406i,-2.6523e-05-0.00068941i,0.0042061+8.802e-05i,0.0018746+0.0015559i,0.0016587-0.0018677i,-0.0043021+0.0045628i,0.0013883+0.0062174i,0.016254+0.0096102i,-0.018416-0.017212i,-0.030067+0.0077184i,-0.013978+0.011943i,0.0020832-0.0015553i,0.011409-0.0049597i,-0.0092827-0.0035934i
0.027274-0.023296i,0.012819-0.01274i,0.014162-0.017492i,0.004815-0.01084i,0.0046722-0.017663i,-0.0046557-0.0050477i,0.01492-0.01145i,-0.0048084-0.014725i,-0.0084688-0.010895i,0.0044227+0.00042028i,-0.00061232-0.00012547i,-0.0017902+0.00020649i,0.0026922+0.00040225i,0.00022533-0.0011579i,-0.00010356-0.001227i,0.0027466-0.003058i,-0.0055875+0.00072724i,-0.00036062-0.00103i,0.00032578-0.00011826i,-0.00036151+0.0018132i,-0.00076351+0.002129i,-0.00089056+0.00046701i,0.001016+0.00076877i,-0.0048477+0.0018191i,0.0012384-0.0026018i,-0.00064103-0.00024366i,0.00014294+0.00056349i,0.0012591-0.00051071i,0.0011309+0.0004085i,0.00057796-0.00087233i,0.0021306-0.00083315i,0.0034288+0.00082328i,0.0013094+0.00089179i,0.00073032-0.00062309i,0.0019824+0.00070927i,0.0081657-0.00019423i,-0.00053517+0.0003332i,-0.00026359+0.0003032i,0.00098609-0.0015965i,0.00093644-0.00072455i,3.8745e-05+0.002309i,0.00093117+0.0017113i,0.0023815-0.0015207i,0.0020225+0.0016015i,0.0043666-0.027537i,0.0087031+0.0024999i,0.020138+0.0068694i,0.0021515+0.0079676i,-0.0022657-0.023708i,0.0029296+0.0076819i,0.00787+0.019419i,-0.0034864+0.019911i,0.0171+0.013865i,-0.0016479+0.0085437i,0.0023583-0.0072099i,0.0037245-0.00079626i,0.0027201-0.0040168i,0.0094167+0.0040537i,-0.00017469+0.0046676i,-0.011379+0.0063704i,-0.0017916-0.0087514i,0.0028403+0.01208i,-0.0023286-0.0024941i,-0.000355+0.00080724i,-0.00068296+0.0011049i,-0.0014581-0.0020885i,0.0036036-0.0021673i,-0.0044414-0.001359i,0.0030181+0.00041478i,-0.0064491+0.00021093i,-0.0024364+0.00018827i,0.0014855-0.00036808i,-0.0029047-0.004146i,-0.0030829-0.0020891i,-0.0091514-0.014474i,0.0048105-0.0006889i,-0.002692-0.0017218i,-0.0026259+0.0019679i,-0.0047509+0.0018234i,0.0071404+0.0047932i,-0.003734-0.0012115i,0.0005418-0.00483i,-0.0031481-0.001579i,-0.0010744-0.0013683i,0.0048567-0.0015977i,0.0026463+0.0012589i,0.0015926-0.0012779i,-0.0026915+0.0063358i,0.0019569+0.0049757i,0.0193+0.004033i,-0.02341-0.0089808i,-0.031827+0.013468i,-0.0098029+0.01265i,0.0011639+0.00021456i,0.0080053-0.0048926i,-0.011181-0.0024345i
