-0.024533-0.0043651i,-0.021323-0.0073287i,-0.012508-0.013157i,-0.035129-0.0072312i,-0.026976+0.0020327i,-0.03526-0.0022113i,-0.066403-0.038059i,-0.032427-0.014385i,-0.021031+0.0025539i,0.0062297+0.0062498i,-0.0048173+0.0072835i,-0.0086243+0.017918i,0.0058138+0.008147i,-0.0010993+0.0034395i,0.0041988+0.0037998i,0.004454+0.025402i,0.022073+0.019532i,0.0012659-0.00067729i,0.0010755-0.0044781i,0.0087304+0.00021102i,0.0050561-0.00035088i,0.00208+0.0015104i,0.0012427-0.00058172i,-0.024034-0.001817i,-0.0048804-0.0040489i,-0.00037819+0.0032503i,0.0043165-0.0042593i,-0.0019701-0.00042004i,-0.0003146+0.0012237i,-0.0020474-0.0013839i,-0.0037757-0.00026749i,-0.0071401-0.0084887i,-0.0051747-0.0073685i,-0.00070821+0.00025872i,-0.00027051-0.0022834i,0.00059086+0.021469i,0.0026307-0.0040156i,0.00065843-0.0044152i,0.0029652-0.0019497i,-0.0029006-0.003191i,0.0010598-0.00015098i,0.0080479-0.0020998i,0.0031553-0.0023809i,0.00012969+0.002728i,-0.01333+0.015547i,-0.025922+0.053558i,-0.0059046-0.03719i,-0.015182-0.018543i,-0.039829-0.016083i,-0.027062-0.012438i,0.036484-0.011949i,0.0059475-0.029864i,0.012573-0.038112i,-0.0084929-0.029507i,0.025264-0.023098i,0.013357+0.0071449i,0.027803-0.03559i,-0.001723-0.0042553i,0.0061953-0.0090218i,-0.00081346-0.0058248i,-0.00012742-0.035666i,-0.013455+0.028972i,0.0088125-0.011587i,-0.0086391-0.0048183i,-0.0026199-0.0020805i,-0.00015915-0.015872i,-0.0077328+0.0058396i,0.0042869+0.0062531i,-0.0012585+0.029041i,0.0024652+0.00085225i,-0.0072113-0.0043887i,-0.0039629-0.0065409i,-0.014907-0.0099692i,-0.0023248-0.0058825i,-0.034212+0.0062251i,-0.0050404-0.0087304i,-0.012916-0.00099706i,-0.010268-0.0057931i,0.0019354-0.0015963i,-0.014057+0.0021374i,-0.0017839-0.00069221i,0.0055795+0.0057572i,0.004017-0.0052155i,-0.013996-0.014552i,0.0075804+0.0080719i,-0.015996+0.0051509i,0.0050983-0.00032395i,-0.019197-0.0027494i,-0.016271-0.0041911i,-0.015245-0.03519i,0.020231-0.01015i,-0.039467-0.024646i,-0.010494+0.0047592i,0.017796+0.015107i,-0.022378+0.017019i,-0.0044635-0.0041889i
0.0068823-0.010318i,0.010998+0.00116i,0.0075203+0.003666i,0.014625-0.0036962i,0.018594-0.0021005i,0.015852-0.013763i,0.016221-0.0054135i,0.012707-0.0018741i,0.001394-0.0091729i,-0.0027588+0.0029326i,-0.0011277-0.00010914i,-0.0013054+0.00034149i,-0.0007524+0.0040119i,-0.0015683+0.002527i,0.00061216+0.002311i,0.0009043-2.9494e-05i,0.002822-0.0016286i,0.00049585-0.001624i,-0.00053447-0.00038323i,8.2881e-05+4.2752e-05i,0.00090406-0.0025965i,-0.0010548-0.001358i,-0.00051695-0.00048507i,0.003199+0.0047032i,-0.0020388+0.00084537i,-0.0013862+0.0017025i,-0.0022432+0.00062807i,-0.0018078+0.00016163i,-0.0024273-0.00079949i,-0.0021295+0.00065097i,0.0011664-0.00099221i,0.00028805+0.001546i,0.0012303+0.00040891i,0.0013359-7.3917e-05i,0.00086147-0.00038084i,-0.011001+0.0066087i,-0.0018902-0.00032914i,-0.0013158+0.00040998i,-0.0031408-7.6854e-05i,0.0014738-0.0032134i,-5.0036e-05-0.0013036i,0.00036143-0.001631i,-0.001176+0.0018114i,0.0025107+0.00021508i,0.0013583-0.013215i,-0.024281-0.0085471i,-0.0023406-0.0060802i,-0.0071945+0.0015922i,0.017427+0.021315i,0.0015839+0.0047077i,0.012898-0.01372i,-0.011951-0.027115i,-0.0043031-0.012668i,0.00731-0.0084195i,0.018173+0.017805i,0.001875+0.0014797i,-0.00071725+0.00032113i,-0.0059224-0.00089216i,0.010664-0.0032834i,0.013718+0.0087795i,0.0026615+0.0048923i,-0.0051589-0.007014i,0.0063664-0.0035495i,-0.0041186-0.0064862i,0.0029709-0.011237i,0.0066364-0.006371i,-0.00049654+0.0076098i,0.0098638-0.0082288i,0.00403-0.0081771i,0.00076908-0.0067581i,-0.0028371-0.0014045i,-0.0062037-0.0065515i,-0.0083969-0.00057716i,-0.00029282-0.0012262i,-0.0087675+0.027868i,-0.0096521-0.002913i,0.00032093+0.0032843i,-0.0037534-0.0047243i,0.00024836+0.00077119i,-0.016575+0.00086502i,-0.0030739+0.0015469i,-0.0016849-0.0020597i,-0.0039317-0.0004428i,-0.0060521-0.0038738i,-0.0012998+0.0050486i,-0.0016419+0.002116i,-0.0051193+0.006165i,-0.0056695+0.00062709i,-0.0025953-0.001393i,0.0071273-0.0016867i,-0.0053727+0.018942i,-0.0283-0.0021488i,-0.010871-0.0031109i,0.01232+0.016329i,-0.0021501+0.017102i,-0.007059-0.004502i
0.0052822-0.011977i,0.011305-0.00251i,0.0082512+0.0026099i,0.013346-0.0053866i,0.018215-0.0052167i,0.013208-0.016311i,0.01338-0.0084608i,0.012037-0.0039551i,-0.00041179-0.0095948i,-0.0017095+0.003175i,-0.00074329+0.0005448i,-0.0013406+0.0015135i,0.00038784+0.004002i,-0.00057666+0.0030295i,0.0011065+0.0021435i,0.00075704+0.00041857i,0.0018275-0.0022145i,0.00044043-0.0015836i,-0.0005794-0.00089009i,0.00051668-0.00054556i,0.00015897-0.0028305i,-0.0013454-0.0011049i,-0.0005616-0.00072592i,0.0055742+0.0029827i,-0.0020492+0.0021597i,-0.00050412+0.0021753i,-0.0022076+0.0013359i,-0.0018658+0.00094906i,-0.003111+0.00048988i,-0.0018609+0.0017575i,0.00056345-0.0011616i,0.00054093+0.00057211i,0.00090395-7.1874e-05i,0.00098976-0.00054618i,0.00052235-0.00020895i,-0.0080084+0.00968i,-0.0023267+0.00049894i,-0.0012827+0.0011876i,-0.0030853+0.0012714i,0.00042912-0.0032489i,-0.00024838-0.0013574i,-0.00029541-0.0015678i,-0.00086566+0.0021357i,0.0018925+3.1029e-05i,-0.00038652-0.012617i,-0.022049-0.0056074i,-0.0039964-0.0032533i,-0.0045761-2.3293e-05i,0.026339+0.014231i,0.0052863+0.0021937i,0.006629-0.016724i,-0.019826-0.026338i,-0.0091016-0.013584i,0.010304-0.015521i,0.020058+0.011312i,0.0003878+0.00047753i,-0.00040159+0.0026793i,-0.0058295+0.0010612i,0.007749-0.0068851i,0.015278+0.0042611i,0.0055068+0.0055881i,-0.0090326-0.0053601i,0.0026489-0.0051405i,-0.0049976-0.0041709i,-0.0025644-0.010038i,0.0036839-0.0079232i,0.0031831+0.0056255i,0.0049873-0.0099416i,-0.00026726-0.0074685i,-0.0027879-0.0038519i,-0.001983-0.00035137i,-0.0076115-0.0043777i,-0.0057717+0.0032322i,0.00022109-0.0006612i,0.0051623+0.026897i,-0.010673+0.00051364i,0.0011202+0.0019942i,-0.005976-0.0023781i,0.00067831+0.00040913i,-0.014395+0.0082994i,-0.0021758+0.0027408i,-0.0022823-0.00047033i,-0.0027162+0.00055037i,-0.0067562-0.00138i,0.00018433+0.0024791i,-0.00055587+0.0017593i,-0.0012852+0.0076353i,-0.0039321+0.0022343i,-0.0037185-0.0013087i,0.0080484-0.0079309i,-0.0014413+0.020742i,-0.02858+0.0034105i,-0.011944-0.0044947i,0.014482+0.014093i,0.00069247+0.018661i,-0.0091673-0.0036367i
0.0027139-0.013096i,0.0093425-0.0066717i,0.0092756+0.00058031i,0.012506-0.0071826i,0.017538-0.0083749i,0.010075-0.018731i,0.010068-0.011027i,0.01123-0.0061213i,-0.0021694-0.0090151i,-0.0011962+0.0032756i,-0.00036763+0.0004198i,-0.00060822+0.0024107i,0.0013617+0.0034495i,0.00043702+0.0026679i,0.0016061+0.0018627i,0.00089165+0.00068577i,0.00064562-0.0024163i,0.00029085-0.001936i,-0.00099367-0.00095531i,0.00019014-0.0014708i,-0.00081946-0.002989i,-0.0013202-0.00076539i,-0.00092368-0.00091139i,0.0061042+2.8721e-05i,-0.00098153+0.0031625i,0.00014503+0.0022406i,-0.0018785+0.0024357i,-0.0014425+0.0016666i,-0.0028233+0.0022417i,-0.0010297+0.0026429i,3.7002e-05-0.0010123i,-8.9206e-05+0.0008131i,0.00063758-0.00017101i,0.00052456-0.00077704i,0.00053982-2.7053e-05i,-0.0044428+0.011528i,-0.0022424+0.0019005i,-0.00069086+0.0016524i,-0.0023822+0.0026862i,-0.00055338-0.0031656i,-0.00042946-0.0014462i,-0.00066252-0.0014369i,-0.00047632+0.0025627i,0.0018767+0.00036868i,-0.0012586-0.011753i,-0.020572-0.0021218i,-0.0026873+0.00053278i,-0.0022156-0.002534i,0.033162+0.0036607i,0.0081695+0.00038041i,0.0002915-0.016967i,-0.026249-0.022842i,-0.01305-0.011136i,0.0087439-0.023945i,0.019554+0.004604i,-0.0012423+0.00057931i,-0.00036703+0.0020868i,-0.005886+0.002311i,0.0024359-0.010012i,0.015311-0.00074969i,0.007934+0.0042587i,-0.011704-0.0018956i,0.00086961-0.0040064i,-0.0054097-0.0015966i,-0.0052555-0.0068612i,0.00098381-0.0078333i,0.0052388+0.0044304i,0.0018062-0.0094128i,-0.0031481-0.0051227i,-0.0026435-0.00043985i,-0.0017343-0.00053134i,-0.0094978-0.0011349i,-0.0028349+0.0041246i,-0.0003265-0.0012367i,0.015449+0.01986i,-0.010161+0.0048922i,0.0016176+0.0012716i,-0.0048323+0.00022374i,0.0011513-0.00051016i,-0.0079664+0.01342i,-0.00047148+0.0039145i,-0.0025003+0.00043819i,-0.002419+0.00173i,-0.006957+0.0017331i,-0.00043383+0.0023265i,-0.00013096+0.0012511i,0.0021063+0.0071479i,-0.0029554+0.0017845i,-0.0051763+0.00012315i,0.0051883-0.012959i,0.0079679+0.019532i,-0.026566+0.0070477i,-0.013631-0.005168i,0.017232+0.009384i,0.0054425+0.01977i,-0.0105-0.0022181i
5.1393e-05-0.013146i,0.0056929-0.0084739i,0.0091156-0.002015i,0.011168-0.0093029i,0.015917-0.011565i,0.0061987-0.020187i,0.0062998-0.012082i,0.0098343-0.0081556i,-0.0033451-0.0083177i,-0.00078295+0.003707i,-0.00047626+0.00036555i,0.00047854+0.0025676i,0.0016881+0.0027439i,0.00080144+0.0023677i,0.0018714+0.0014317i,0.0010252+0.00089474i,-0.00043983-0.0017511i,-0.00010989-0.002105i,-0.00097434-0.00088229i,-0.00077429-0.0018531i,-0.0017174-0.0024984i,-0.0013974-0.00054253i,-0.0014456-0.0007803i,0.0051437-0.0023057i,0.00034635+0.0034206i,0.00086555+0.0023353i,-0.00061126+0.0033966i,-0.00087834+0.0021509i,-0.0014677+0.0033991i,0.00019281+0.0029173i,-0.0002876-0.00072646i,0.00039842+0.0013047i,0.00046453-0.00026652i,-2.6055e-06-0.00076958i,0.00058391-4.7927e-05i,-0.00055801+0.012121i,-0.0012025+0.0029993i,-0.0001935+0.0017444i,-0.001174+0.0036083i,-0.0015554-0.0028452i,-0.00094495-0.0015022i,-0.00088425-0.0012893i,0.00019029+0.0029459i,0.002051+0.00043126i,-0.001502-0.011873i,-0.016814+0.00085369i,0.00091353+0.0026351i,-0.0031105-0.0060459i,0.035732-0.010384i,0.010361-0.0041171i,-0.0055356-0.014088i,-0.032178-0.016577i,-0.015297-0.0062521i,0.0027673-0.030437i,0.01737-0.00085176i,-0.0019193+0.0019295i,-0.00056967+0.0040697i,-0.0054846+0.0041782i,-0.0040116-0.008364i,0.013711-0.0061852i,0.0098042+0.0017091i,-0.012339+0.0023621i,-0.00046714-0.0039634i,-0.0044292+0.00053986i,-0.006274-0.003156i,-0.0011235-0.0075855i,0.0063408+0.0012184i,-0.00068566-0.0087464i,-0.0040709-0.0014677i,-0.0012594+0.001358i,-0.0021623-0.00032861i,-0.0089856+0.0031158i,-0.00031283+0.0045007i,-0.0011669-0.0012312i,0.020547+0.009811i,-0.0072082+0.0094228i,0.0018423+0.00027674i,-0.003528+0.0020367i,0.00040605-0.0017487i,-0.0011646+0.013466i,0.0018442+0.0032527i,-0.0021174+0.0022093i,-0.0012965+0.0029299i,-0.0044767+0.0049162i,-0.00034488+0.0028109i,-0.00033747+0.0008479i,0.0049287+0.0058666i,-0.0030339+0.0011496i,-0.0060433+0.0024881i,0.0015255-0.014335i,0.017929+0.010077i,-0.023305+0.010807i,-0.016995-0.0043307i,0.015765+0.0046073i,0.010515+0.018462i,-0.01013-0.00079946i
-0.0020658-0.01265i,0.0032056-0.0082594i,0.0081939-0.0039077i,0.0097096-0.011092i,0.013864-0.01427i,0.0024827-0.0209i,0.0032107-0.011786i,0.0080813-0.0095867i,-0.0041885-0.0075276i,-1.6562e-05+0.0040116i,-0.000731+0.00052782i,0.0013651+0.0022402i,0.0017509+0.0024702i,0.0010306+0.002129i,0.0020451+0.0011193i,0.0014686+0.0012378i,-0.00069193-0.00091592i,-0.00069975-0.0022634i,-0.001323-0.0010935i,-0.0017066-0.0015961i,-0.0023086-0.0020155i,-0.0013918-0.00030252i,-0.0018741-0.00032535i,0.0034579-0.0037633i,0.0016355+0.0031624i,0.0018061+0.0021078i,0.00082015+0.0035866i,-0.00019172+0.0025185i,9.9423e-05+0.0037891i,0.0014058+0.0026901i,-0.00027939-0.00044676i,0.00092793+0.001328i,0.00020099-0.0003044i,-0.00041639-0.00025916i,0.00073333+1.5523e-05i,0.0031114+0.011704i,9.5636e-05+0.0035117i,0.00024735+0.0018946i,0.0004148+0.0040265i,-0.0022018-0.0021684i,-0.0013768-0.0014415i,-0.0012883-0.0011648i,0.0010659+0.0029252i,0.002063-4.6648e-05i,-0.0026814-0.012525i,-0.012346+0.0014995i,0.0054674+0.0019727i,-0.0052504-0.0065944i,0.031646-0.023502i,0.0097486-0.0086759i,-0.0080562-0.0093171i,-0.034528-0.00774i,-0.015032-0.00024607i,-0.005733-0.032571i,0.013417-0.0041778i,-0.0012782+0.0032401i,0.0021004+0.0047072i,-0.0043195+0.0058347i,-0.006759-0.0040633i,0.0095511-0.011477i,0.010524-0.0018044i,-0.011631+0.0062576i,-0.0013713-0.0023841i,-0.0029623+0.0015496i,-0.0049574-0.00083399i,-0.0039343-0.0060334i,0.0056702-0.00074504i,-0.0027725-0.0073143i,-0.0029049+0.0010859i,0.00072431+0.0016955i,-0.0021631+0.00027519i,-0.0060454+0.0059503i,0.0022102+0.0033698i,-0.0015517-0.00010934i,0.020483+0.00011346i,-0.0017712+0.011198i,0.0013642-0.00049903i,-0.0015364+0.0022551i,-0.00066321-0.001529i,0.0031615+0.011236i,0.0026621+0.0020601i,-0.00054691+0.0041761i,0.00082761+0.0035133i,-0.00043267+0.0055815i,0.00068499+0.0032296i,-0.0011429+0.00096893i,0.0064298+0.003242i,-0.0038279+0.0010211i,-0.0047582+0.0051083i,-0.00047094-0.014217i,0.018751-0.0047752i,-0.018116+0.010689i,-0.019841-0.0017681i,0.015077+0.0013192i,0.014946+0.014097i,-0.010648-0.00076423i
-0.0037954-0.011927i,0.0019899-0.0080605i,0.0075494-0.0054219i,0.0080669-0.013062i,0.011489-0.016709i,-0.0015065-0.021088i,0.0011746-0.010881i,0.0063699-0.010677i,-0.0046307-0.0068335i,0.00066482+0.0040207i,-0.00069863+0.0011175i,0.002085+0.0018295i,0.0021235+0.0024769i,0.0013144+0.0020792i,0.0023056+0.00070262i,0.0023367+0.0013842i,-0.00050924-0.00049962i,-0.0014707-0.0022361i,-0.0019996-0.00089258i,-0.0024293-0.00097287i,-0.0027537-0.0014342i,-0.0013063-0.00016171i,-0.0020559+0.00030422i,0.0013326-0.0044829i,0.0028452+0.002406i,0.0026411+0.0013622i,0.0021814+0.0030858i,0.00078019+0.0027423i,0.0015841+0.0035262i,0.0024214+0.0019544i,-0.00021894-0.00033972i,0.0016314+0.0011215i,9.1632e-06+4.2913e-05i,-0.00025949+0.00029133i,0.00095737-0.00024413i,0.0063105+0.010171i,0.0016202+0.0034499i,0.00099532+0.0019861i,0.0020078+0.0036136i,-0.002491-0.0014652i,-0.0019606-0.0011911i,-0.0017781-0.00095306i,0.001797+0.0026623i,0.0020559-0.0003313i,-0.0040777-0.01303i,-0.0087953+0.00015421i,0.0090546-0.001203i,-0.0063844-0.0057102i,0.024113-0.033706i,0.0073316-0.011932i,-0.0076107-0.0050103i,-0.032433+0.0009824i,-0.010467+0.0062355i,-0.013312-0.030378i,0.010015-0.0055097i,-8.9862e-05+0.0038263i,0.0038431+0.0034005i,-0.0027784+0.0073962i,-0.0073626-0.00055195i,0.0027904-0.014476i,0.0087716-0.005976i,-0.0098098+0.0090598i,-0.00069049-0.0013778i,-0.0019299+0.0013864i,-0.0038147-0.00010817i,-0.0049303-0.0031897i,0.0042958-0.0019997i,-0.0038466-0.0055025i,-0.00071394+0.0018604i,0.0022905+0.00032956i,-0.0018917+0.00098003i,-0.0031943+0.0068134i,0.0028412+0.0012706i,-0.00068206+0.00076579i,0.016837-0.0074459i,0.003155+0.010333i,0.00099006-0.00013584i,-0.00064075+0.0019569i,-0.00134-0.00033702i,0.0062825+0.0085681i,0.003505+0.0010925i,0.0023573+0.0040691i,0.002333+0.0021294i,0.0028136+0.0041292i,0.0015206+0.0031074i,-0.0013068+0.0022515i,0.0065303+0.0010392i,-0.0050794+0.0016011i,-0.0023212+0.0064242i,-0.0018252-0.014703i,0.011128-0.015181i,-0.015832+0.0069184i,-0.022541+0.0025568i,0.012815-0.0034328i,0.016605+0.0092721i,-0.011745+0.00044862i
-0.0054757-0.010807i,0.00059119-0.0082209i,0.0062707-0.0077287i,0.0055073-0.015082i,0.008619-0.018916i,-0.0057463-0.020191i,2.4386e-06-0.010104i,0.004652-0.011764i,-0.0049912-0.0062488i,0.0012227+0.0044448i,-0.00049899+0.0014826i,0.0023585+0.00085088i,0.0026416+0.002252i,0.0016396+0.001954i,0.0024328+0.00023455i,0.0032357+0.00080158i,-0.00054195-0.00027776i,-0.0023954-0.0018967i,-0.0022983-0.00024714i,-0.0030329-2.6634e-05i,-0.0032942-0.00077106i,-0.0012601-0.00022498i,-0.0020344+0.00097427i,-0.00085361-0.0042119i,0.0036705+0.00084975i,0.0029896+0.00034315i,0.0030572+0.0021996i,0.0019078+0.0024287i,0.0030369+0.0026173i,0.0030263+0.00080373i,-0.00011492-0.00034055i,0.0019859+0.00063341i,9.6925e-05+0.00038284i,0.00015917+0.00058017i,0.00093233-0.00072468i,0.008823+0.0076235i,0.0028687+0.0026078i,0.0017011+0.0016025i,0.0034081+0.0025774i,-0.002527-0.00080334i,-0.0024759-0.00052656i,-0.0020161-0.00039882i,0.0025908+0.0021318i,0.0018426-0.00059264i,-0.0059957-0.013276i,-0.0067248-0.0023489i,0.010495-0.0054526i,-0.0058679-0.0040828i,0.014026-0.040448i,0.0043168-0.013605i,-0.0059877-0.0029179i,-0.027276+0.0065818i,-0.0024856+0.0085719i,-0.019153-0.02559i,0.007392-0.0057282i,0.0010597+0.0036328i,0.0038989+0.0014687i,-0.00032743+0.0080205i,-0.0073085+0.0026257i,-0.0051263-0.013128i,0.0053359-0.008069i,-0.0073116+0.011664i,-6.2515e-05-0.0021812i,-0.0016439+0.001191i,-0.0036304+4.4638e-06i,-0.0043341-0.0011503i,0.0031986-0.0021825i,-0.0045109-0.0044329i,0.00056875+0.0012427i,0.0024915-0.0018421i,-0.0015369+0.0016614i,-5.8533e-05+0.0068575i,0.0022962-5.5613e-05i,1.9499e-05+0.00034448i,0.011217-0.011787i,0.0069019+0.0077033i,0.0015496-0.00028327i,0.00050727+0.0010881i,-0.00045267+0.00040732i,0.0079948+0.0053662i,0.0044181-0.0010765i,0.0043488+0.0026055i,0.0027928+0.001063i,0.0041612+0.0016672i,0.0031608+0.0028395i,-0.000205+0.0035725i,0.00627-0.00078587i,-0.005702+0.0035872i,-6.5338e-05+0.0062753i,-0.0029921-0.014565i,0.001107-0.021403i,-0.018313+0.0036745i,-0.022455+0.0083291i,0.0063681-0.0060968i,0.017353+0.0047279i,-0.011464+0.0017649i
-0.0063144-0.0094979i,-0.0001303-0.0076141i,0.0040707-0.0090501i,0.0020041-0.016265i,0.0051878-0.020501i,-0.0092924-0.018103i,-0.00057474-0.0095574i,0.0027171-0.012506i,-0.0052702-0.005992i,0.0025536+0.004899i,-0.00016506+0.0020671i,0.002206+0.00023635i,0.0032245+0.0018306i,0.0021314+0.001842i,0.0024348-0.000291i,0.0036079+4.5133e-05i,-0.00066014+0.00012713i,-0.0031895-0.00095245i,-0.0022085+0.00036423i,-0.0030553+0.001295i,-0.0035918+0.00031716i,-0.0017316-0.00030049i,-0.0017345+0.0016566i,-0.0026246-0.0029469i,0.0034404-0.00073412i,0.0028818-0.00074879i,0.0038393+0.0009428i,0.0027639+0.0016536i,0.0038114+0.0010545i,0.0030533-0.00042499i,-7.9714e-05-0.00043859i,0.0021451-0.00020522i,0.00059335+0.00051654i,0.00071707+0.00050584i,0.00056591-0.00087499i,0.010262+0.0043484i,0.003632+0.0012992i,0.0022198+0.0010663i,0.0042169+0.00097439i,-0.0024472-9.6136e-05i,-0.0026641+0.00043615i,-0.0019967+0.0002166i,0.0030425+0.0011944i,0.0016246-0.00084761i,-0.0081072-0.013052i,-0.0061424-0.0055829i,0.0097981-0.0095592i,-0.0040638-0.0039041i,0.0032008-0.042543i,0.0011072-0.013777i,-0.0046667-0.001834i,-0.022384+0.0088468i,0.0052633+0.0063924i,-0.021679-0.019331i,0.0059194-0.0057797i,0.0021806+0.00276i,0.0032134+0.0003954i,0.0025081+0.0074261i,-0.0056814+0.006057i,-0.010597-0.0077666i,0.0018721-0.0083567i,-0.0037377+0.013075i,-0.0011369-0.0033261i,-0.0015818+0.0013084i,-0.0038316+0.00070212i,-0.0033227+0.00015102i,0.0020449-0.0022537i,-0.005324-0.0030122i,0.0010553+0.0003328i,0.00031622-0.0033912i,-0.00055976+0.0021997i,0.0027796+0.0051413i,0.0023444-0.00085858i,0.00016367+4.211e-05i,0.0052179-0.013304i,0.0089451+0.0040115i,0.0017272-0.0011874i,0.00026915+7.8501e-05i,0.00060507+0.00027494i,0.0081058+0.002364i,0.0033886-0.0040504i,0.0058122+0.0005154i,0.0034946+1.7864e-05i,0.0044328-0.0006224i,0.0040909+0.0014909i,0.0015702+0.0038306i,0.0049083-0.0022949i,-0.0047648+0.0060665i,0.0017617+0.0050188i,-0.0035325-0.014403i,-0.011301-0.022637i,-0.022142+0.0041088i,-0.019135+0.013498i,0.0015825-0.0036812i,0.01602-0.00039589i,-0.010961+0.002036i
-0.0067345-0.0087891i,-0.00028374-0.0079343i,0.0021076-0.0093417i,-0.0015101-0.016058i,0.0016661-0.021407i,-0.011815-0.015694i,-0.00067492-0.0098885i,0.00069634-0.013064i,-0.0057121-0.0057971i,0.0042521+0.0043429i,0.00073334+0.0024996i,0.0020205+1.3971e-05i,0.0037896+0.0010279i,0.0026318+0.0014201i,0.0023527-0.00083789i,0.0038584-0.00052876i,-0.00049824+0.00047246i,-0.0032505+0.00013704i,-0.0021469+0.00080281i,-0.0024248+0.002331i,-0.0034816+0.001365i,-0.0022294+0.00025762i,-0.0011515+0.0022021i,-0.0036928-0.00098895i,0.0027473-0.0017377i,0.0024269-0.00171i,0.0039032-0.00071024i,0.0033092+0.00050256i,0.0036382-0.0003805i,0.0026855-0.0014849i,-7.2574e-05-0.00042792i,0.0017072-0.00090174i,0.0010864+0.00014335i,0.0011181+0.00016254i,0.0003307-0.00082297i,0.010215+0.0010314i,0.0037826-0.0002126i,0.0026858+0.00027077i,0.004202-0.00077964i,-0.002046+0.00063263i,-0.002228+0.0013742i,-0.001893+0.00069252i,0.0029664+0.00024343i,0.0014276-0.0010022i,-0.010325-0.012246i,-0.0083092-0.0083615i,0.0075896-0.012629i,-0.0030964-0.0051307i,-0.0058499-0.041642i,-0.0010667-0.011888i,-0.0030813-0.00099143i,-0.01845+0.01028i,0.010068+0.0015028i,-0.021008-0.013667i,0.0045533-0.006663i,0.0026747+0.0011806i,0.0033839-0.00047652i,0.0048824+0.0054176i,-0.0024464+0.0073159i,-0.012237-0.0016154i,-0.0011429-0.0077195i,-9.1027e-05+0.012882i,-0.00302-0.0030049i,-0.0018217+0.0019489i,-0.0036172+0.0017603i,-0.0024963+0.00094052i,0.0016147-0.0012521i,-0.0056085-0.0010698i,0.00076512-0.0003485i,-0.0015977-0.0025733i,0.00059834+0.0020824i,0.0039139+0.0026613i,0.0023765-0.0020719i,0.00039657+0.00018502i,3.8369e-05-0.012398i,0.0094301-0.00018629i,0.0011662-0.0019036i,1.2141e-06+0.00010927i,0.0012249-0.00048983i,0.0077219+0.00014283i,0.00060101-0.0055514i,0.0061029-0.0025029i,0.0032704-0.0020037i,0.0035926-0.0031308i,0.0045376+0.00025646i,0.0028768+0.0031402i,0.0032133-0.0024498i,-0.0028867+0.0073738i,0.002486+0.0032737i,-0.0036179-0.015057i,-0.022611-0.017172i,-0.025334+0.0071617i,-0.014074+0.015184i,0.00073349-0.001275i,0.012777-0.0039337i,-0.012208+0.002353i
-0.0076817-0.0082131i,-0.00090473-0.0090061i,0.00068319-0.0093861i,-0.0045091-0.014933i,-0.0021161-0.021884i,-0.013993-0.013163i,-0.0013914-0.011394i,-0.0014913-0.013362i,-0.0064216-0.0055156i,0.0055334+0.003167i,0.0019469+0.002318i,0.0019373-6.2359e-05i,0.0039807-5.8425e-05i,0.0031082+0.00088743i,0.0021152-0.0014181i,0.003966-0.0012588i,-0.00026667+0.00070679i,-0.0030551+0.0010645i,-0.001926+0.0014351i,-0.0015336+0.0030117i,-0.0030864+0.0025074i,-0.0022508+0.001184i,-0.0005079+0.0024467i,-0.0036206+0.0012069i,0.0019664-0.0023865i,0.0016488-0.0023853i,0.0032308-0.0022062i,0.0032277-0.00086098i,0.0031429-0.0015506i,0.0019521-0.0024166i,6.3103e-06-0.00054154i,0.0012541-0.0011032i,0.0012095-0.00037558i,0.0013262-0.00053706i,0.00027111-0.00083615i,0.0092713-0.0018166i,0.0034651-0.0016034i,0.0028341-0.00079839i,0.0034382-0.0023808i,-0.0013344+0.0011642i,-0.0015337+0.002133i,-0.0016668+0.0011708i,0.0025694-0.00041432i,0.0012422-0.00079415i,-0.012468-0.01093i,-0.011962-0.0084434i,0.0049613-0.014093i,-0.0033358-0.0055776i,-0.014188-0.0399i,-0.0010113-0.0099208i,-0.0012993-0.001244i,-0.013942+0.010866i,0.013103-0.0047709i,-0.01833-0.010266i,0.0028288-0.0072845i,0.0017174-0.0010489i,0.0031226-0.0018828i,0.0052686+0.0024567i,-0.0003825+0.0068884i,-0.011368+0.0041588i,-0.0038439-0.0059927i,0.0027647+0.010977i,-0.004649-0.0013295i,-0.0014544+0.0031538i,-0.0030117+0.0028747i,-0.0011355+0.0011524i,0.00239+2.7009e-05i,-0.0047305+0.00037676i,0.00072912-7.2079e-05i,-0.0021962-0.0014509i,0.0015301+0.001485i,0.0038692+0.00080376i,0.00080511-0.0034097i,0.00075722-5.5406e-05i,-0.0040767-0.010495i,0.0082223-0.0038647i,0.00048559-0.0022662i,0.00051907-8.6565e-05i,0.0010022-0.0014872i,0.0073333-0.0019418i,-0.0017885-0.0050096i,0.0046307-0.0054851i,0.0017496-0.0029964i,0.0012394-0.0043086i,0.0046852-0.0014986i,0.0038447+0.002193i,0.0026332-0.002344i,-0.00049813+0.0078232i,0.0020312+0.0015432i,-0.0043038-0.016942i,-0.027318-0.0073229i,-0.027509+0.012005i,-0.010041+0.015319i,-2.5136e-05+0.00045159i,0.0093927-0.0050839i,-0.013037+0.0039672i
