-0.026325-0.0041392i,-0.022631+0.002227i,-0.017229-0.0083568i,-0.029546-0.013599i,-0.028856+0.0031378i,-0.03929-0.0042163i,-0.061159-0.02786i,-0.034614-0.015244i,-0.032051-0.0044506i,0.007468+0.003586i,-0.0029868+0.0069495i,-0.0049176+0.013663i,0.0035133+0.0092836i,-0.00096056+0.003881i,0.005018+0.0044116i,0.004151+0.026439i,0.019155+0.018001i,0.0010424-0.00091338i,0.00057509-0.0074479i,0.0065709-0.0012064i,0.0053483-0.0020336i,0.0070847+0.0020382i,0.00076301-0.00010742i,-0.024826+0.0030591i,-0.0061566-0.0037031i,-0.0019994+0.0033911i,6.3449e-05-0.00045918i,-5.2398e-05+0.00062594i,-0.0010983+0.00065145i,-0.002443-0.0034453i,-0.0040238-0.001682i,-0.0054468-0.006247i,0.00247-0.00031694i,-0.00051537-0.00027939i,0.0015444-0.0025132i,-0.0037425+0.018338i,0.0018274-0.0025036i,0.00037561-0.0025646i,0.0042157-0.0022015i,-0.0014003-0.004029i,0.00079541+0.00041254i,0.0061182+0.0018757i,0.0064643-0.0019126i,-0.00098272+0.0021624i,-0.014912+0.016738i,-0.032645+0.054418i,-0.0026704-0.036352i,-0.01455-0.018548i,-0.03745-0.018575i,-0.028505-0.015169i,0.038308-0.007632i,0.0085067-0.031623i,0.015796-0.040397i,-0.010396-0.031031i,0.025546-0.021519i,0.013925+0.0081352i,0.03347-0.036914i,-0.0021593-0.0048347i,0.0074401-0.008444i,0.0005684-0.0050012i,0.005134-0.036279i,-0.014959+0.030709i,0.0080061-0.01213i,-0.0076789-0.0053205i,-0.0025421-0.0019762i,0.00055166-0.015443i,-0.0088718+0.0057602i,0.0036212+0.0062424i,-0.0033504+0.027881i,0.002039+4.9022e-05i,-0.0064777-0.0050808i,-0.0028236-0.0062745i,-0.012875-0.011379i,-0.002714-0.0061674i,-0.041652+0.029069i,-0.005215-0.0085963i,-0.013234-0.0020076i,-0.0064785-0.0088477i,0.0011744-0.0018707i,-0.012696+0.0017978i,-0.0015231-0.00016766i,0.0054852+0.0065011i,0.0035823-0.0051862i,-0.0040908-0.015182i,0.0082346+0.0093486i,-0.015923+0.0036782i,0.0051942-0.00053731i,-0.020255-0.0025267i,-0.018092-0.0037868i,-0.018668-0.034372i,0.02078-0.0077562i,-0.038664-0.024434i,-0.010858+0.0038684i,0.017998+0.017039i,-0.021807+0.017097i,-0.0041126-0.0040236i
0.0068866-0.0093038i,0.010638-0.0097802i,0.0089446-0.0024724i,0.011044+0.0028803i,0.016001-0.0040975i,0.01221-0.016511i,0.020549-0.0038655i,0.01225+0.0024063i,0.0042403-0.010399i,-0.00022186+0.0022094i,-0.001387-0.00014501i,-0.0023404-0.00015169i,-0.0014863+0.0035403i,-0.0020401+0.002214i,0.0034359+0.0022901i,0.0016276-2.6874e-05i,0.0030819-0.0028779i,0.0035421-0.001438i,0.00013925-0.0015779i,-0.00025857-0.0002977i,0.00011828-0.0022189i,-0.0017401-0.001921i,-0.0018582-2.466e-05i,0.0038272+0.0073495i,-0.0020626-8.3192e-05i,-0.0021106+0.0020095i,-0.0022547+0.00029174i,-0.0025268+0.00033228i,-0.0014132-0.0017778i,-0.0030958+0.00082039i,-0.0012676-0.0010422i,0.00064941+0.00057488i,0.00059163-0.00081451i,0.0026273+0.00013539i,0.0006434+0.00017507i,-0.0089118+0.0039962i,-0.0010425-0.00092557i,-0.00091218+0.00040404i,-0.0016888-7.3035e-05i,0.0012942-8.0325e-05i,0.0005836-0.00012378i,0.00089376-0.000919i,-0.0013455+0.00064496i,0.0060799-0.00016784i,-0.002348-0.014341i,-0.033168-0.0022873i,-0.0034859-0.0083031i,-0.0074739+0.0035365i,0.011394+0.031708i,0.0018083+0.0042837i,0.013433-0.017657i,-0.011913-0.030219i,-0.0054676-0.011274i,0.0090558-0.0066905i,0.018534+0.019469i,0.0029193+0.0026448i,-0.00077296-0.00013565i,-0.005759-0.00068811i,0.012016-0.0020864i,0.013794+0.010111i,0.003146+0.0060812i,-0.0039039-0.0076954i,0.0060168-0.0024505i,-0.0046525-0.0071908i,0.0025846-0.010747i,0.0068636-0.0069063i,-0.0010799+0.0076193i,0.010808-0.007492i,0.0074672-0.0094752i,0.0019498-0.0055402i,-0.0031745-0.0020556i,-0.0056118-0.0070384i,-0.0069858-0.0049077i,-0.0010174-0.002169i,0.0054088+0.029661i,-0.011435+0.00044059i,-6.5534e-05+0.0025945i,-0.011196-0.0013811i,6.2601e-05+0.00086852i,-0.014675+0.0016488i,-0.0023449+0.00066175i,-0.0018937-0.0024642i,-0.0035375-0.00079879i,-0.0046218-0.0051078i,-0.0033572+0.006497i,-0.0018488+0.0027927i,-0.0059927+0.0064482i,-0.0071383-0.00064173i,-0.0031936-0.0016642i,0.0098319-0.0035981i,-0.0060231+0.018571i,-0.028002-0.0033776i,-0.010835-0.0013283i,0.012196+0.016688i,-0.0023954+0.016861i,-0.0078518-0.0057791i
0.005537-0.011082i,0.008948-0.011707i,0.0086342-0.0036056i,0.01109+0.0017936i,0.015802-0.0067126i,0.0089455-0.018433i,0.018018-0.0075069i,0.012257+0.00029989i,0.0019518-0.011253i,0.00041677+0.0024388i,-0.0010127+0.00069769i,-0.0028004+0.0011312i,-0.00021708+0.0039444i,-0.0011985+0.0030906i,0.0034404-5.1445e-05i,0.0010918+0.0004238i,0.0012148-0.0032286i,0.0016365-0.0021704i,-0.0010465-0.0018474i,8.3806e-06-0.00077784i,-0.00038485-0.0024007i,-0.002376-0.0014435i,-0.0017365-7.0549e-05i,0.0075287+0.0055336i,-0.0023862+0.001293i,-0.00082107+0.0026952i,-0.0022141+0.0011587i,-0.0023018+0.0012086i,-0.0027553-0.00095867i,-0.0026943+0.0023445i,-0.0076694-0.0037421i,0.00018882-0.0001393i,6.4202e-05-0.00088176i,0.0010689-0.0009436i,0.00032441+0.00098943i,-0.0069925+0.0066994i,-0.0017123-0.00030841i,-0.00086685+0.00087051i,-0.0019849+0.00071658i,0.0014156-0.00093728i,0.00057925-0.00023658i,0.00055065-0.0014065i,-0.0014925+0.00070718i,0.0047744-0.00085553i,-0.0036768-0.013512i,-0.030379+0.00084723i,-0.0058069-0.0054595i,-0.0036322+0.0020721i,0.021536+0.02162i,0.0054621+0.0017238i,0.0060982-0.020817i,-0.020573-0.029994i,-0.0097592-0.012673i,0.012496-0.013931i,0.023378+0.013549i,0.0008494+0.00068996i,-7.8785e-05+0.0024478i,-0.0052349+0.0011083i,0.0092811-0.006302i,0.015502+0.0059502i,0.006639+0.0067485i,-0.0082966-0.0070415i,0.0028238-0.0042512i,-0.0057699-0.0046605i,-0.0026997-0.0093828i,0.0034274-0.0083318i,0.0029653+0.0058625i,0.0058339-0.0095385i,0.0040419-0.010008i,-0.00065754-0.0039178i,-0.0023347-0.00076377i,-0.0069722-0.0051257i,-0.0094765-0.0013142i,-0.00062632-0.0014111i,0.017568+0.022534i,-0.012565+0.0082399i,0.00068873+0.0012067i,-0.013975+0.0024834i,0.0006821+0.00041369i,-0.012423+0.0079235i,-0.0013138+0.0016457i,-0.0023508-0.00037518i,-0.0026377+0.00028573i,-0.0050731-0.0028669i,-0.00028566+0.0040885i,-0.00046225+0.0022299i,-0.0016622+0.0080984i,-0.0049715+0.0020622i,-0.004465-0.0012165i,0.010146-0.010371i,-0.0023452+0.020865i,-0.028815+0.0022469i,-0.011314-0.0027966i,0.014045+0.014261i,0.00035675+0.018613i,-0.010424-0.0046207i
0.0031071-0.012405i,0.0063317-0.014082i,0.0083146-0.0053919i,0.011712-3.7243e-05i,0.015514-0.0097197i,0.0052526-0.02003i,0.014983-0.010631i,0.011842-0.0018409i,-0.0004783-0.010818i,0.0011973+0.002028i,-0.00054268+0.00065174i,-0.0024365+0.0024378i,0.00079653+0.0035216i,-0.00017431+0.0032258i,0.0016139-0.00064512i,0.00084973+0.00093796i,-0.00024876-0.0026376i,0.0011508-0.0026654i,-0.0014231-0.0014089i,-0.00044417-0.0014944i,-0.0013736-0.0026253i,-0.0023984-0.00050235i,-0.0019495-7.3198e-05i,0.0091026+0.0012923i,-0.0016432+0.0022932i,0.00011994+0.0026568i,-0.0019037+0.0022852i,-0.0017282+0.0020186i,-0.0033027+0.00077533i,-0.0016612+0.0035681i,0.0010291-0.0013962i,-0.0004677+0.0010353i,-0.00029613-0.0006483i,0.00069817-0.00081617i,0.0009908+0.0020026i,-0.0043029+0.0087017i,-0.0018857+0.00077827i,-0.00049896+0.0012608i,-0.0017424+0.0018368i,0.00089506-0.0018289i,0.00073739-0.00032696i,5.5722e-06-0.0015441i,-0.001955+0.001347i,0.0043488-0.00091215i,-0.0041674-0.012711i,-0.030438+0.0046211i,-0.0056552+0.0017468i,-0.00045815-0.00096576i,0.032555+0.0095015i,0.0084811-0.00019403i,-0.0015044-0.020793i,-0.028454-0.026093i,-0.013864-0.010617i,0.011146-0.022884i,0.018061+0.00075603i,-0.0011233+0.00035518i,-0.0001998+0.0016529i,-0.0053558+0.0020724i,0.004131-0.010122i,0.016296+0.00075693i,0.0095754+0.0050629i,-0.0126-0.0038365i,0.0012026-0.0034015i,-0.0064119-0.0015858i,-0.0050625-0.0063003i,0.00074632-0.008283i,0.0052739+0.0048846i,0.0024106-0.0091008i,-0.0019831-0.010362i,-0.002447-0.0018618i,-0.0022156-0.00098739i,-0.0090617-0.0026773i,-0.0059826+0.0032173i,-0.0013616-0.0016651i,0.025067+0.013225i,-0.0087909+0.015299i,0.00089022+0.00075315i,-0.0086843+0.00078514i,0.001212-0.00076755i,-0.0065168+0.012137i,-0.00014746+0.002312i,-0.0025964+0.00068621i,-0.0022503+0.0014003i,-0.0039756-0.00067321i,-0.0015123+0.0033977i,0.0001036+0.0014009i,0.0017825+0.0075771i,-0.0031831+0.001731i,-0.0055238+0.00064818i,0.0066151-0.015996i,0.0075821+0.020052i,-0.027242+0.0064745i,-0.012463-0.0038618i,0.016743+0.0097383i,0.0049461+0.02027i,-0.012053-0.0026591i
0.00044535-0.012585i,0.0025641-0.014991i,0.0071116-0.0070882i,0.011825-0.0026351i,0.014114-0.013176i,0.0010473-0.020572i,0.011474-0.01254i,0.01093-0.0037131i,-0.0018797-0.010028i,0.001123+0.0016701i,-0.00050858+0.00066152i,-0.0015385+0.0035355i,0.0012024+0.0031396i,0.00040119+0.0033046i,0.001104+0.00031338i,0.0005523+0.001588i,-0.0010667-0.0014472i,0.00047985-0.003339i,-0.0011722-0.0011176i,-0.0014575-0.0015529i,-0.0021786-0.0020241i,-0.0023116+2.8692e-05i,-0.0023077+0.00027161i,0.0082719-0.0027004i,-0.00082437+0.0028955i,0.00099065+0.0026341i,-0.0008251+0.0032505i,-0.00098691+0.0025568i,-0.0025846+0.0022819i,-3.6535e-05+0.0041238i,-0.00011664-0.00078538i,0.00094936+0.00189i,-0.00049341-0.00041639i,0.0001519-0.0008501i,0.0018615+0.0021342i,-0.0011027+0.0095562i,-0.0013134+0.0017199i,-6.6687e-05+0.0013761i,-0.00091478+0.0026648i,-4.1326e-05-0.0020029i,0.0008792-0.00079343i,-0.00040578-0.0015553i,-0.0020104+0.0024069i,0.0038925-0.00099519i,-0.0043599-0.013215i,-0.028999-0.0011276i,-0.00054988+0.0022132i,-0.00093333-0.0054036i,0.036668-0.006555i,0.010732-0.0052284i,-0.0084447-0.017123i,-0.035481-0.01915i,-0.016458-0.0054413i,0.0051057-0.030033i,0.016387-0.0018738i,-0.001933+0.0022461i,-0.00041718+0.0039175i,-0.0050157+0.0037981i,-0.0027757-0.0091392i,0.015446-0.0053928i,0.011868+0.0019032i,-0.013892+0.0020485i,0.00029796-0.0034641i,-0.0051736+0.0010142i,-0.0058653-0.0028137i,-0.0015531-0.0079619i,0.0067245+0.0014584i,-0.00075483-0.0080938i,-0.0055969-0.0047217i,-0.002256+0.00095701i,-0.0028789-0.00056043i,-0.0093066+0.001388i,-0.003323+0.0052099i,-0.002156-0.0012304i,0.028285+0.0021264i,-0.0048917+0.019606i,0.0011917-6.1454e-05i,-0.0061865+0.0020867i,0.0002132-0.0019849i,-0.00058529+0.011903i,0.0016351+0.0018736i,-0.0018486+0.0027206i,-0.0013085+0.0025226i,-0.00063708+0.0017584i,0.00084705+0.0065184i,-0.00035399+0.00058656i,0.0052566+0.0061939i,-0.0028654+0.00073119i,-0.0062154+0.0030197i,0.0021547-0.017517i,0.018205+0.010764i,-0.023815+0.011045i,-0.01534-0.0034949i,0.015634+0.0051133i,0.010313+0.019368i,-0.011553-0.0012724i
-0.0016395-0.012127i,-0.00069121-0.014311i,0.005534-0.0081639i,0.011347-0.0052797i,0.011742-0.016291i,-0.0027836-0.020233i,0.0082933-0.013191i,0.0098883-0.0050406i,-0.0026787-0.0094384i,0.0009364+0.0016385i,-0.00061427+0.00079174i,-9.1739e-05+0.0042i,0.001611+0.0032061i,0.00097673+0.0033606i,0.0017052+0.0006251i,5.7896e-05+0.0029341i,-0.00090854-0.00049464i,-0.0007537-0.0034185i,-0.00147-0.0013261i,-0.0022677-0.00092776i,-0.0028775-0.0015567i,-0.0020818+0.00047444i,-0.0024474+0.00096864i,0.0060047-0.0057079i,0.00025871+0.0032444i,0.0020253+0.0022156i,0.00054234+0.003562i,-0.00012402+0.0028774i,-0.0014358+0.0032528i,0.0017303+0.0039297i,-0.00035467-0.00031898i,0.0024717+0.0018169i,-0.00073932-5.096e-05i,-0.00013994-0.00040437i,0.0031697+0.0028659i,0.0019199+0.0094508i,-0.00052056+0.0022699i,0.00032151+0.0014597i,0.00024025+0.0030663i,-0.00065799-0.0018691i,0.00068532-0.0013539i,-0.0008571-0.0014836i,-0.0013156+0.0032364i,0.0034363-0.001513i,-0.0060769-0.013966i,-0.013204+0.00058711i,0.0041623+0.0017288i,-0.0031624-0.0067642i,0.03287-0.021547i,0.0098967-0.010199i,-0.011429-0.011215i,-0.038921-0.0094639i,-0.015944+0.0011512i,-0.0036346-0.03248i,0.012859-0.0045383i,-0.0009702+0.0037218i,0.0023689+0.004274i,-0.0039428+0.005301i,-0.0061692-0.0048787i,0.011593-0.011879i,0.01246-0.0025835i,-0.012488+0.0064017i,-0.00049001-0.0025515i,-0.00329+0.0021829i,-0.0045364-0.00074136i,-0.0045453-0.0064215i,0.0059803-0.0011658i,-0.0035642-0.0059312i,-0.0043367-0.00027689i,-0.00035408+0.0025749i,-0.002901+0.00021417i,-0.0068548+0.0047965i,-0.00019605+0.0051448i,-0.0024103+0.00022912i,0.025504-0.009439i,5.9495e-05+0.022247i,0.00065494-0.00073043i,-0.0041067+0.002471i,-0.0010261-0.0014558i,0.0034616+0.0099579i,0.0023114+0.00093552i,0.0002656+0.0046142i,0.00072413+0.0030272i,0.0026044+0.0028102i,0.0022686+0.0027847i,-0.0017399+0.00082761i,0.006685+0.0026776i,-0.0038125+0.00038237i,-0.0048649+0.0057037i,-0.00070947-0.017638i,0.019798-0.0045293i,-0.017875+0.011304i,-0.018151-0.0016245i,0.015151+0.0017938i,0.015159+0.014963i,-0.012443-0.0015203i
-0.0033569-0.01141i,-0.0029723-0.0131i,0.0041858-0.0089066i,0.01044-0.0081887i,0.0089639-0.018894i,-0.006508-0.019322i,0.005855-0.013241i,0.0091612-0.0060103i,-0.0033157-0.0092574i,0.0012028+0.0017503i,-0.00052626+0.0011186i,0.0015427+0.004118i,0.0025814+0.0032746i,0.0017841+0.003454i,0.0021842+0.00030506i,-0.00072971+0.011414i,-0.00030754-0.0001342i,-0.0018401-0.0032262i,-0.0021345-0.0011828i,-0.0026692+2.3028e-05i,-0.0036471-0.00079182i,-0.0017068+0.00073907i,-0.0022533+0.0017393i,0.0025463-0.0076154i,0.0016403+0.0031154i,0.0028069+0.0013475i,0.001947+0.0032293i,0.00093257+0.0029898i,-9.0439e-05+0.0036475i,0.0031264+0.0029353i,-0.00028528-3.4419e-05i,0.0048932+0.0021893i,-0.00068603+0.0010095i,-7.7553e-05-0.00010304i,0.0063416+0.0029369i,0.0046434+0.0083841i,0.0005575+0.0024625i,0.00086959+0.0014429i,0.001377+0.002867i,-0.0011462-0.0015103i,0.00016915-0.0018333i,-0.0012879-0.0012584i,-0.00031975+0.0039983i,0.0032263-0.0016401i,-0.0080715-0.014192i,-0.0086745+0.0018336i,0.0079947-0.0014093i,-0.0049395-0.0063864i,0.025091-0.032594i,0.0071834-0.013727i,-0.010974-0.0057457i,-0.037395+0.0005251i,-0.010743+0.0079454i,-0.011003-0.03013i,0.0097321-0.0056752i,0.00058062+0.0041731i,0.0038355+0.0028925i,-0.0025894+0.0067102i,-0.0071466-0.0013883i,0.0045365-0.01591i,0.0098825-0.0077048i,-0.010356+0.0090636i,-0.00027742-0.0017743i,-0.0017795+0.0018933i,-0.0035148-9.0733e-05i,-0.0054652-0.0033304i,0.0043105-0.0024603i,-0.0068022-0.0018574i,-0.0014616+0.0014181i,0.0023022+0.001853i,-0.002663+0.0012447i,-0.0041731+0.0060226i,0.0010615+0.003249i,-0.0013264+0.0014808i,0.017832-0.0156i,0.010084+0.043334i,-1.3924e-06-0.00030732i,-0.002953+0.0024009i,-0.0014948-0.00011085i,0.0064226+0.0073166i,0.0031196-9.6541e-05i,0.003724+0.0039689i,0.0020072+0.0019393i,0.004993+0.0021498i,0.0023095+0.0024709i,-0.0022173+0.0025848i,0.0053391+0.00019442i,-0.0050953+0.00092098i,-0.0023085+0.0069048i,-0.0033985-0.018387i,0.012229-0.016213i,-0.015313+0.0067597i,-0.021007+0.0021864i,0.01289-0.002919i,0.017076+0.0095986i,-0.01384-0.0003744i
-0.0048702-0.010279i,-0.0050336-0.011974i,0.0026254-0.0099025i,0.0081087-0.011419i,0.0055619-0.02127i,-0.010017-0.017433i,0.0039897-0.013321i,0.008511-0.0073345i,-0.0042503-0.0090745i,0.0013001+0.0017148i,-0.00044452+0.0012877i,0.0029298+0.003086i,0.0035833+0.0027693i,0.0026988+0.0032484i,0.0023452-0.00015956i,0.016591+0.010993i,-0.00015763-0.00021943i,-0.0032011-0.0027282i,-0.0025175-0.00062682i,-0.0027674+0.0010958i,-0.0042098+0.0010196i,-0.001399+0.0006523i,-0.0018395+0.0024585i,-0.0012231-0.007945i,0.0028225+0.0020515i,0.0030737+0.00031156i,0.003102+0.0023573i,0.0020661+0.0026142i,0.0015455+0.003467i,0.0039649+0.001472i,-6.1621e-05+7.7778e-05i,0.0056584+0.0040738i,-0.0008876-0.00087224i,8.4408e-05+3.9493e-05i,0.015025+0.01015i,0.0068249+0.0064293i,0.0015633+0.001978i,0.0013819+0.0010871i,0.0026018+0.0021901i,-0.0013971-0.00091698i,-0.00050568-0.0019772i,-0.0015963-0.00076275i,0.0010444+0.0043051i,0.0027562-0.0019815i,-0.010469-0.013767i,-0.0063316+0.00038379i,0.0096178-0.0056635i,-0.0052432-0.0050069i,0.014413-0.039639i,0.0037417-0.015688i,-0.0089914-0.0029788i,-0.032039+0.0064307i,-0.0020388+0.010065i,-0.016452-0.025528i,0.0074075-0.0059559i,0.0020197+0.0035663i,0.0037562+0.0011215i,-0.00054864+0.0073212i,-0.0075287+0.0019889i,-0.0045086-0.015226i,0.0054256-0.0098974i,-0.0078972+0.011155i,0.00038296-0.0025939i,-0.0013526+0.0012693i,-0.0033161-4.0839e-05i,-0.0047987-0.0011642i,0.0029278-0.0026171i,-0.018515-0.0023603i,0.00032673+0.00061798i,0.003575-0.00073463i,-0.0021351+0.0022356i,-0.0011851+0.0064896i,0.00087869+0.0022255i,-0.00028947+0.0011564i,0.010597-0.017011i,0.0092002-0.013406i,0.00025715+0.00019207i,-0.0014086+0.0021572i,-0.00069423+0.0005317i,0.0077346+0.0041154i,0.0035461-0.0022449i,0.0055143+0.0014986i,0.0025665+0.0010587i,0.0055123+0.00019789i,0.0035616+0.00228i,-0.00083934+0.0043631i,0.0051695+3.1878e-05i,-0.0058848+0.0025757i,-0.00017377+0.0065615i,-0.0065747-0.017456i,0.00076729-0.022565i,-0.018538+0.0032431i,-0.021026+0.007338i,0.006844-0.0054349i,0.017706+0.0046217i,-0.013505+0.00084541i
-0.0055012-0.0089804i,-0.0066083-0.010026i,0.00053002-0.010275i,0.0043575-0.013364i,0.0013677-0.022886i,-0.012649-0.014918i,0.0024763-0.013316i,0.0076833-0.0088503i,-0.0050413-0.0090809i,0.0016851+0.0020458i,-0.00030571+0.0017949i,0.0035499+0.0018779i,0.0045051+0.0018773i,0.0037903+0.0027662i,0.0024352-0.00067829i,0.010077+0.0050585i,-0.00058138-0.00013405i,-0.0043782-0.0013837i,-0.0025484-3.9274e-05i,-0.0021985+0.0023329i,-0.0027547+0.0023596i,-0.0018188+0.0004602i,-0.0011051+0.0030581i,-0.0049884-0.0063237i,0.0031386+0.00075998i,0.0029455-0.00079731i,0.0040215+0.0010585i,0.0029202+0.0017826i,0.0028591+0.0023719i,0.0041907-0.00010101i,0.00014338-4.5994e-05i,0.0039205+0.0037711i,-0.00043147+0.00035197i,0.00024371-6.8278e-08i,-0.0062362+0.0046561i,0.0080819+0.0037322i,0.0021645+0.0011464i,0.0017398+0.00062399i,0.0033368+0.00091255i,-0.0013887-0.00033471i,-0.0013412-0.0018537i,-0.0016952-0.00027115i,0.0024301+0.0036395i,0.0022311-0.002261i,-0.012649-0.01255i,-0.0050637-0.0027218i,0.009004-0.0097346i,-0.0042117-0.0045486i,0.0031502-0.041602i,-0.00027273-0.016175i,-0.0073397-0.0012622i,-0.025144+0.007718i,0.0063416+0.0072971i,-0.018444-0.019858i,0.005947-0.0061002i,0.0032145+0.0019253i,0.0031021+0.00024107i,0.0020154+0.007042i,-0.0061978+0.00572i,-0.011278-0.0097088i,0.0012614-0.0096369i,-0.0049616+0.012602i,-0.00071102-0.0038803i,-0.0013273+0.0012224i,-0.0034468+0.00054295i,-0.0036441+0.00040838i,0.0016564-0.0025798i,-0.014076-0.010281i,0.00084156-0.00037483i,0.001889-0.0033668i,-0.00083273+0.0029604i,0.0020312+0.0053332i,0.0010267+0.0025048i,0.00019206+0.00073665i,0.0044119-0.016365i,0.010238-0.0049555i,0.0004344+0.00062424i,-0.00044188+0.0001972i,0.0003524+0.00062439i,0.0075053+0.0014023i,0.0020831-0.0046689i,0.0064397-0.00085113i,0.0033631+0.00012993i,0.0056217-0.0021561i,0.0043425+0.0011235i,0.0011216+0.004845i,0.0045839-0.0018459i,-0.0059131+0.0046647i,0.0015508+0.0053406i,-0.0069618-0.014303i,-0.012179-0.022884i,-0.022868+0.0038917i,-0.018103+0.012143i,0.0020319-0.0034246i,0.015645-0.00031627i,-0.013048+0.00079607i
-0.0055685-0.008374i,-0.0071253-0.0082295i,-0.0011893-0.0099021i,0.00068913-0.013463i,-0.0031079-0.023535i,-0.014432-0.01241i,0.0013746-0.013775i,0.006461-0.010447i,-0.0062159-0.0089768i,0.002467+0.0018745i,0.0003372+0.002302i,0.0036762+0.00082901i,0.0050892+0.00041576i,0.0047239+0.0016976i,0.0023702-0.0012649i,0.0076828+0.0044959i,-0.00056035+0.00042669i,-0.0043812+0.00022559i,-0.0026792+0.00050184i,-0.0011575+0.0029044i,-0.0020427+0.002653i,-0.0022751+0.001217i,-0.00014607+0.0032681i,-0.0075398-0.0032355i,0.0030047-0.00034004i,0.0024703-0.0017781i,0.0042936-0.00064864i,0.0034304+0.00070503i,0.0032326+0.0011134i,0.0038193-0.0016665i,0.00023702-8.1195e-05i,0.002762+0.0018281i,9.3175e-05+0.00062042i,0.00026577-1.7349e-05i,-0.0010748+0.0031364i,0.0079568+0.00096974i,0.0023365+0.00021486i,0.0019903+3.4579e-05i,0.0032581-0.0004566i,-0.0011708+0.000165i,-0.0019661-0.0011536i,-0.0017332+0.00015997i,0.003108+0.0025635i,0.0016327-0.002532i,-0.014425-0.010837i,-0.0070132-0.0057882i,0.0067677-0.012851i,-0.0037916-0.0052473i,-0.0061434-0.040137i,-0.0035725-0.014252i,-0.0051451-5.8246e-05i,-0.019962+0.008891i,0.011162+0.001091i,-0.017841-0.015058i,0.0048272-0.0071418i,0.0029743-0.00028737i,0.0032237-0.00059624i,0.0043282+0.0053157i,-0.0029655+0.007303i,-0.01372-0.0029514i,-0.00215-0.0082488i,-0.001449+0.012874i,-0.003026-0.0039766i,-0.0017122+0.0019154i,-0.0033191+0.0015054i,-0.0026547+0.0010735i,0.0010768-0.0013038i,-0.0099341-0.0065961i,0.00024944-0.0013953i,-0.00037136-0.003071i,0.00073969+0.0027815i,0.0035796+0.0032108i,0.0027481+0.0014593i,0.00053311+0.00078177i,-0.00029136-0.014172i,0.009175-0.008784i,0.0011575+4.15e-05i,0.0001954+0.00018747i,0.0012276-3.5087e-05i,0.007265-0.00049598i,-0.00088261-0.0057206i,0.0063224-0.0041339i,0.0033576-0.0016905i,0.004386-0.0053783i,0.0047881-2.6248e-05i,0.0028431+0.0045503i,0.0030037-0.0024054i,-0.0049308+0.0061034i,0.0024352+0.0037265i,-0.0054901-0.015223i,-0.023168-0.016683i,-0.02586+0.0071049i,-0.013945+0.013543i,0.00085919-0.0011823i,0.012988-0.0022529i,-0.014757+0.0012667i
-0.0061836-0.0082183i,-0.0072929-0.0071329i,-0.0024233-0.0094121i,-0.0021768-0.012591i,-0.0078086-0.023301i,-0.016176-0.0098868i,-0.00017682-0.015141i,0.0046612-0.011924i,-0.0077797-0.0085249i,0.0031474+0.001341i,0.0013081+0.0023234i,0.003519-6.0287e-05i,0.0049508-0.0011846i,0.0053169+0.00029959i,0.002083-0.0017994i,0.0062875+0.002403i,-0.00021707+0.00088261i,-0.0040696+0.0014154i,-0.0025252+0.0014151i,-0.00014941+0.0030652i,-0.0013343+0.0032049i,-0.0019234+0.0023968i,0.00067593+0.003079i,-0.0077087-6.9725e-05i,0.0025874-0.0012169i,0.0016358-0.0024363i,0.0038193-0.0023574i,0.0034332-0.0005915i,0.0032988-4.1301e-05i,0.0027851-0.0029553i,0.00043671-0.00016729i,0.0021407+0.0010024i,0.0004811+0.00038918i,0.00049208-5.3624e-05i,0.00057885+0.0017852i,0.007133-0.0012682i,0.0022163-0.00063978i,0.0020032-0.0007022i,0.0026771-0.0015422i,-0.00078679+0.00063905i,-0.0022883-0.00027628i,-0.0016944+0.0006216i,0.0033995+0.0018439i,0.0010096-0.0021116i,-0.01591-0.0091584i,-0.010688-0.0058818i,0.0039449-0.014407i,-0.0041263-0.0050567i,-0.013815-0.037464i,-0.0053767-0.011522i,-0.0029191-0.00028488i,-0.01448+0.0099366i,0.013429-0.0057548i,-0.015457-0.012676i,0.0036162-0.0078466i,0.0011198-0.0025069i,0.0029468-0.0018509i,0.0047504+0.002782i,-0.00084902+0.0069963i,-0.013455+0.0037049i,-0.0047322-0.0058993i,0.0016908+0.011197i,-0.0052054-0.0021002i,-0.0014158+0.0032623i,-0.0027912+0.0024565i,-0.0012784+0.0017083i,0.0019141+0.00058381i,-0.010966-0.0037555i,-0.00012457-0.0010289i,-0.0012282-0.0022186i,0.0018208+0.0019581i,0.0039559+0.0011024i,0.0025398-0.00092932i,0.0011149+0.00045636i,-0.0045427-0.011915i,0.004582-0.012051i,0.00041365-0.00047834i,0.0007672-0.00010053i,0.0011688-0.0011206i,0.0067949-0.0028132i,-0.0033808-0.0046222i,0.0041025-0.0072516i,0.0022148-0.0027427i,0.00093408-0.0068623i,0.0051701-0.0016902i,0.0047191+0.0035223i,0.0023158-0.0022907i,-0.0036314+0.0068813i,0.0019323+0.0021381i,-0.0061668-0.017364i,-0.027558-0.0070037i,-0.027855+0.01223i,-0.010656+0.01415i,-2.4014e-05+0.00050778i,0.010688-0.0062831i,-0.015794+0.0032944i
