-0.024699-0.004878i,-0.023791+0.0017322i,-0.017089-0.0070928i,-0.029754-0.013309i,-0.02809+0.0027111i,-0.0396-0.0065214i,-0.06439-0.034701i,-0.033604-0.018097i,-0.030064-0.0040778i,0.0057053+0.0036215i,-0.0043844+0.0074456i,-0.0060869+0.013431i,0.0056603+0.011023i,-0.0030025+0.0032555i,0.0043036+0.003891i,0.0035686+0.026253i,0.024275+0.02514i,0.00097704-0.0011351i,0.00056095-0.0054979i,0.0064404-0.00091969i,0.0052603+0.00089633i,0.0024853+0.0012372i,0.0013544-0.00074273i,-0.033479-0.0032765i,-0.0048201-0.0066103i,-0.00099446+0.0030251i,0.0029887-0.002729i,-0.00047355+0.00059129i,-0.00081542+0.00099898i,-0.0016072-0.0029598i,-0.0042095-0.0019015i,-0.0073614-0.0077504i,-0.0051008-0.0028485i,-5.5362e-05+4.3973e-05i,0.0019516-0.0031235i,0.00064816+0.024157i,0.0014072-0.0032638i,0.00020358-0.0022856i,0.0049738-0.002644i,-0.0030019-0.0013844i,0.00074647+0.00030443i,0.0066932-0.0021248i,0.0032502-0.0019113i,-0.00059147+0.0029476i,-0.013362+0.016425i,-0.029497+0.056209i,-0.0020959-0.037595i,-0.013597-0.01632i,-0.034889-0.014579i,-0.027254-0.015135i,0.044302-0.0058005i,0.0087768-0.03295i,0.014929-0.040764i,-0.0095134-0.029829i,0.025186-0.023016i,0.012043+0.0064066i,0.028576-0.032621i,-0.002741-0.0045376i,0.0064959-0.0083909i,-0.001733-0.0061646i,0.0038902-0.037135i,-0.013348+0.030186i,0.0070136-0.011674i,-0.010244-0.0050102i,-0.0026209-0.0015431i,0.00054154-0.01433i,-0.0079642+0.0056451i,0.0041708+0.0075658i,-0.0023951+0.029654i,0.0012839+0.00039723i,-0.0074183-0.0053425i,-0.0027456-0.0061391i,-0.014236-0.0095922i,-0.0020385-0.0064866i,-0.036005+0.0054432i,-0.0046813-0.0095734i,-0.013402-0.0026207i,-0.010592-0.0060012i,0.0014779-0.0014146i,-0.013501+0.0013323i,-0.0017812+0.00023018i,0.006076+0.0070747i,0.0038605-0.0049739i,-0.013402-0.012215i,0.008253+0.008896i,-0.017347+0.0049979i,0.0051983-0.0003084i,-0.019134-0.0030528i,-0.018291-0.004439i,-0.016205-0.033891i,0.020686-0.0098216i,-0.037711-0.023883i,-0.0089214+0.0043869i,0.018081+0.015663i,-0.022831+0.016917i,-0.0028287-0.0047006i
0.0065242-0.0095052i,0.0094211-0.0082777i,0.0089266-0.0027092i,0.011427+0.0036879i,0.015916-0.0026697i,0.0132-0.015845i,0.018417-0.0010603i,0.013263+0.0031846i,0.0042821-0.0078239i,-0.0021101+0.0021183i,-0.0010548+0.0006457i,-0.0024405-0.00028476i,-0.00078764+0.0033459i,-0.0017751+0.0023715i,0.0013864+0.0022569i,0.0020971-0.0012015i,0.0022671-0.0020217i,0.0006876-0.0015257i,0.00039387-0.00045337i,-0.00016712-0.00050785i,0.00039311-0.0019425i,-0.0020369-0.00095738i,-0.0017859-0.0002919i,0.0074659+0.0062357i,-0.0022647+0.00028016i,-0.0011648+0.0018718i,-0.0019624+0.00051679i,-0.002467+0.00036863i,-0.0019306-0.0016755i,-0.003323+0.00076096i,0.0013956-0.001643i,0.00077671+0.0007309i,0.0010038-0.00093579i,0.001225+0.00037171i,0.00088489+0.00028619i,-0.0108+0.0066889i,-0.0020052-0.00011502i,-0.0013275+0.00018531i,-0.0022328+0.00044922i,0.0016377-0.0019214i,0.00054546-0.00034887i,0.00024061-0.00095848i,-0.0020601+0.0022693i,0.0037737+0.00030109i,-0.0021077-0.014344i,-0.030251-0.0062987i,-0.004901-0.0084794i,-0.0070035+0.0035176i,0.015681+0.022028i,-0.0015869+0.005798i,0.011672-0.021288i,-0.0093897-0.030574i,-0.0048417-0.014486i,0.0077278-0.007594i,0.018578+0.017677i,0.0022144+0.0018221i,-0.00044543+0.00025348i,-0.0066733-0.00054525i,0.012149-0.002033i,0.013555+0.0089962i,0.0015183+0.0053568i,-0.0054344-0.0073182i,0.0057317-0.0025568i,-0.0044018-0.0067538i,0.0035078-0.01211i,0.0073061-0.0060529i,-0.00072284+0.0071491i,0.011936-0.0083094i,0.0059451-0.0085383i,0.0012729-0.0069248i,-0.0025498-0.0016784i,-0.0064554-0.0071725i,-0.0082246-0.0011608i,-0.00032384-0.0018811i,-0.0083104+0.030598i,-0.01027-0.0038624i,0.00073538+0.0030702i,-0.0032456-0.0050544i,0.0004432+0.0010333i,-0.016427+0.00093822i,-0.0032846+0.0017326i,-0.00091501-0.0029595i,-0.0036718-0.0010856i,-0.0053059-0.0030618i,-0.0012462+0.0045109i,-0.0020916+0.002458i,-0.0057254+0.0065326i,-0.0055848+0.00047995i,-0.0030633-0.0019912i,0.0076305-0.0026848i,-0.004449+0.018297i,-0.027683-0.0031854i,-0.011103-0.0025168i,0.011234+0.016341i,-0.0022705+0.017188i,-0.0070966-0.0062278i
0.0053093-0.011215i,0.008168-0.010142i,0.0085464-0.0038598i,0.011448+0.0024451i,0.01605-0.0053818i,0.009959-0.01808i,0.016529-0.0045764i,0.013328+0.00090252i,0.0028646-0.0087118i,-0.0013442+0.0025063i,-0.00036783+0.0010727i,-0.0029366+0.0011106i,0.0002727+0.0034376i,-0.00079787+0.0031588i,0.0018167+0.0019583i,0.0014159-0.00084184i,0.0010562-0.0021711i,0.00075843-0.0015301i,0.00031181-0.0013134i,2.3185e-05-0.00091706i,2.7843e-05-0.0022211i,-0.0019939-0.00043668i,-0.0016763-0.0002636i,0.010487+0.0022195i,-0.0027022+0.0018276i,-0.00010049+0.002233i,-0.0018456+0.001247i,-0.0022991+0.0014036i,-0.0031652-0.00056888i,-0.0029162+0.0024166i,0.00043392-0.001811i,0.00069243-0.00023012i,0.00032957-0.0011927i,0.0011644-0.00011178i,0.00075532+0.00051021i,-0.0079582+0.0095446i,-0.00226+0.00069813i,-0.0013503+0.00087191i,-0.0021764+0.0012848i,0.00098508-0.00219i,0.00069957-0.00060687i,-0.00018164-0.00092302i,-0.0015988+0.0027437i,0.0030195-8.8724e-05i,-0.0032963-0.013337i,-0.027701-0.0024276i,-0.0069261-0.0047484i,-0.0034683+0.0018894i,0.024245+0.015245i,0.0029627+0.0037911i,0.0025218-0.024401i,-0.019194-0.031276i,-0.010507-0.015653i,0.010931-0.014357i,0.020549+0.010255i,0.001119+0.00059522i,-6.3508e-05+0.0023554i,-0.0059642+0.0015818i,0.009359-0.0062431i,0.015176+0.0056134i,0.0047709+0.0074739i,-0.0097273-0.0052912i,0.0023871-0.0045278i,-0.0053389-0.0044083i,-0.0025965-0.011089i,0.0041838-0.0079301i,0.0030261+0.0052843i,0.0067684-0.010544i,0.0011027-0.0087148i,-0.0026743-0.0042493i,-0.001297-0.00078335i,-0.008039-0.0048318i,-0.0060785+0.0026677i,7.5037e-05-0.0013305i,0.0071112+0.028997i,-0.011969-0.00010918i,0.0013444+0.0012393i,-0.005623-0.003013i,0.0010803+0.00032191i,-0.01445+0.0082597i,-0.0021128+0.0032087i,-0.0019357-0.0013317i,-0.0028518+0.0001889i,-0.0058288-0.0010633i,-0.00011915+0.0020914i,-0.00080895+0.0021301i,-0.0017604+0.0082478i,-0.0038143+0.0023083i,-0.0043266-0.0016166i,0.008515-0.008904i,-0.0011334+0.020128i,-0.028077+0.0021248i,-0.012242-0.0036564i,0.013292+0.014359i,0.00041937+0.01884i,-0.0096433-0.0053424i
0.0029703-0.012696i,0.0059439-0.012504i,0.0082636-0.0055981i,0.012172+0.00028226i,0.016109-0.0085195i,0.0063419-0.020017i,0.013986-0.0079181i,0.01311-0.0015467i,0.0013471-0.008642i,-0.00086267+0.0026188i,-8.47e-05+0.0006235i,-0.0024375+0.0025796i,0.001011+0.0029043i,0.00026402+0.0030598i,0.0022069+0.0015767i,0.0010252-0.00046881i,0.00035049-0.0017909i,0.00064516-0.0020102i,-0.00042539-0.001476i,-0.00036781-0.0015768i,-0.00089282-0.0024867i,-0.0016329-4.6238e-05i,-0.0018831-0.00023438i,0.01008-0.003214i,-0.0017368+0.0031479i,0.00057059+0.0020641i,-0.0015295+0.0021991i,-0.0016813+0.0023253i,-0.0034262+0.0013696i,-0.0018131+0.0037379i,-0.00039021-0.0014592i,-0.00029528-2.686e-05i,-0.00027052-0.00097418i,0.00091353-0.00049001i,0.00097857+0.00078293i,-0.0046721+0.011415i,-0.0020672+0.0020432i,-0.00087534+0.0014462i,-0.001815+0.0023351i,0.00022172-0.0023842i,0.0007927-0.0010872i,-0.00036755-0.00079848i,-0.0010532+0.0033193i,0.0029025-0.00013618i,-0.0035016-0.012503i,-0.025493+0.0021273i,-0.0054289-0.00017083i,-0.00078881-0.001068i,0.031235+0.0055124i,0.0068004+0.0021934i,-0.0064277-0.02334i,-0.027557-0.027895i,-0.015237-0.012571i,0.0096359-0.022815i,0.019252+0.0034314i,-0.00059572+0.00043494i,-0.00036349+0.0015766i,-0.0059433+0.0028964i,0.0040428-0.010045i,0.01586+0.00092025i,0.0084673+0.0066226i,-0.012354-0.0015527i,0.00058583-0.0036745i,-0.0059239-0.0016907i,-0.0057436-0.0077615i,0.001369-0.0079591i,0.0050705+0.00446i,0.0033789-0.010523i,-0.0029932-0.0065334i,-0.0026667-0.00032245i,-0.0013973-0.001554i,-0.0099842-0.0015012i,-0.0034021+0.0036689i,-0.00075385-0.0019115i,0.018216+0.020555i,-0.011717+0.0052663i,0.0015305+0.00057499i,-0.0047754-0.00036531i,0.0014074-0.00094094i,-0.0078827+0.01344i,-2.0394e-05+0.0040382i,-0.002697-0.00060744i,-0.0025832+0.001318i,-0.0057603+0.0017593i,-0.0010293+0.0024169i,-0.00026859+0.0015501i,0.0018185+0.0078473i,-0.0025041+0.0018306i,-0.0057416-3.3448e-05i,0.0054208-0.014073i,0.0079527+0.018577i,-0.026577+0.0060936i,-0.013707-0.0039793i,0.016021+0.010132i,0.005288+0.020557i,-0.011464-0.0037624i
0.00020176-0.013053i,0.0025488-0.013404i,0.0071401-0.0073921i,0.012011-0.0027085i,0.015002-0.012445i,0.0020127-0.0209i,0.01066-0.0098934i,0.012259-0.0038456i,0.00047013-0.0087513i,-0.0004725+0.0028456i,-0.00032592+0.00065546i,-0.0012587+0.0034132i,0.0011606+0.0025808i,0.0007537+0.0030255i,0.0024223+0.0011008i,0.00077524+8.0688e-05i,-0.00012368-0.0012702i,0.00031849-0.0022923i,-0.00051029-0.0013456i,-0.0012712-0.001707i,-0.0016059-0.0020311i,-0.0015757+1.8748e-06i,-0.0021981+0.00013229i,0.0068154-0.0069494i,-0.00031961+0.0036592i,0.0011757+0.001962i,-0.00046879+0.00302i,-0.00076967+0.0028164i,-0.002413+0.0028301i,-0.00011372+0.0043591i,-0.00087638-0.00090098i,-4.4341e-05+0.00066701i,-0.00054592-0.00062736i,0.00046373-0.00077574i,0.0013304+0.00059786i,-0.00087915+0.012188i,-0.00089723+0.0030954i,-0.00028851+0.0016394i,-0.00087743+0.0031222i,-0.00059549-0.0023603i,0.00035514-0.001636i,-0.00044991-0.000762i,-0.00023352+0.0038237i,0.0028586-9.9261e-05i,-0.0034655-0.013077i,-0.020439+0.0061579i,-0.0015866+0.0023133i,-0.0012687-0.0049773i,0.034115-0.007727i,0.0098339-0.0029485i,-0.014066-0.018237i,-0.035386-0.021172i,-0.017836-0.0068875i,0.0041206-0.029697i,0.016823-0.0017336i,-0.001268+0.0017195i,-0.00067384+0.0037136i,-0.0052776+0.0048876i,-0.0029098-0.0088669i,0.015126-0.0045961i,0.011612+0.0035156i,-0.013164+0.0033345i,-0.00067619-0.0034054i,-0.004829+0.00088044i,-0.0070028-0.0033215i,-0.00079233-0.0078426i,0.0063593+0.0011169i,0.00044532-0.010472i,-0.0044458-0.0021387i,-0.001184+0.0013394i,-0.0024728-0.0013365i,-0.0096085+0.0026912i,-0.0013225+0.0042572i,-0.0017435-0.0017742i,0.023306+0.0092648i,-0.008155+0.010649i,0.0018627-0.00046765i,-0.0037103+0.0013023i,0.00049556-0.00195i,-0.0010858+0.013313i,0.0024903+0.0028791i,-0.0028539+0.0018931i,-0.0019138+0.0028291i,-0.0036183+0.0040915i,-0.00042198+0.0033036i,-0.0003305+0.00089329i,0.0051844+0.0063551i,-0.0024104+0.00071719i,-0.0066705+0.0025232i,0.0013759-0.015218i,0.01772+0.0093597i,-0.023455+0.010331i,-0.016501-0.002956i,0.015363+0.0054472i,0.010841+0.019301i,-0.011023-0.0023901i
-0.002065-0.012595i,-0.00031374-0.012827i,0.0056219-0.0085613i,0.011227-0.0053799i,0.012611-0.015874i,-0.0019711-0.020802i,0.0076654-0.010463i,0.011082-0.0056419i,-0.00027586-0.0089407i,8.9762e-05+0.0029794i,-0.00040936+0.00087583i,3.1648e-05+0.0036975i,0.0013806+0.0027461i,0.001258+0.0029715i,0.0025816+0.00073453i,0.0011204+0.00087674i,-0.00012943-0.00083074i,-0.00037257-0.0025905i,-0.00079519-0.0016666i,-0.0021275-0.0012621i,-0.0021797-0.0017364i,-0.0015309+0.00025281i,-0.0023019+0.00080657i,0.002772-0.0084055i,0.0010137+0.0036619i,0.0019193+0.001599i,0.00075798+0.0031655i,0.00024012+0.0029966i,-0.001084+0.0036617i,0.0017539+0.0042225i,-0.00085601-0.00038766i,0.0003393+0.00080395i,-0.0006982-0.0002732i,-5.806e-05-0.00049064i,0.0016922+0.00046268i,0.0027812+0.011868i,0.00047116+0.0033204i,0.00022019+0.0016987i,0.00046661+0.003567i,-0.0012613-0.002042i,-0.00019391-0.0018824i,-0.0006457-0.00079544i,0.00085269+0.0039319i,0.002727-0.00056687i,-0.0048305-0.014028i,-0.014373+0.0068762i,0.0034958+0.0020952i,-0.0032612-0.0061646i,0.030586-0.020571i,0.0093525-0.008133i,-0.017269-0.010706i,-0.039529-0.011053i,-0.017858+0.00029979i,-0.0042675-0.032319i,0.01269-0.0049515i,-0.00065998+0.0028903i,0.0018256+0.0045481i,-0.0038727+0.0064232i,-0.0061652-0.004439i,0.011358-0.010754i,0.012978-0.0009723i,-0.011694+0.0076718i,-0.0013392-0.0019007i,-0.002914+0.0018437i,-0.0052322-0.00064253i,-0.0039086-0.006623i,0.0056233-0.0010261i,-0.0023312-0.0093633i,-0.0030405+0.0009151i,0.00074942+0.0017599i,-0.0027325-0.00041485i,-0.006932+0.0059135i,0.0012495+0.0038328i,-0.0022102-0.00045385i,0.022822-0.0015605i,-0.0016883+0.012489i,0.0010201-0.001612i,-0.0020987+0.0016721i,-0.00065012-0.0019702i,0.0032855+0.011178i,0.003074+0.0013113i,-0.0010305+0.0043756i,0.00036345+0.0037502i,-0.00045489+0.0046575i,0.00087008+0.0036043i,-0.0012394+0.00092572i,0.0068997+0.0036331i,-0.0035138+0.00052318i,-0.0053987+0.0054644i,-0.00083279-0.014972i,0.018619-0.0048651i,-0.01788+0.010745i,-0.018884-0.00075386i,0.014987+0.0020698i,0.015354+0.014555i,-0.012026-0.0023705i
-0.0039782-0.011761i,-0.0022742-0.011799i,0.0042446-0.009385i,0.010178-0.0082109i,0.0097762-0.018643i,-0.0059838-0.020159i,0.0056065-0.01026i,0.0098916-0.0071547i,-0.0010509-0.0095357i,0.00060417+0.002923i,-0.00022014+0.0011673i,0.0013024+0.0035692i,0.002226+0.002916i,0.0019649+0.0029943i,0.0028216+0.00024837i,0.0021666+0.00144i,0.00013054-0.00082584i,-0.0012422-0.0026908i,-0.0015652-0.0017748i,-0.0027164-0.0004417i,-0.0027481-0.0012682i,-0.0012882+0.00035945i,-0.0021004+0.0015258i,-0.0013993-0.0080359i,0.0024789+0.0032055i,0.0025444+0.00087453i,0.0019947+0.002815i,0.0013606+0.0029228i,0.00040075+0.0038987i,0.0032922+0.003205i,-0.00074964-0.00010553i,0.00078444+0.00086931i,-0.00068021+0.00020514i,-9.5018e-05-9.6485e-05i,0.0019753-9.6635e-05i,0.0059782+0.010483i,0.0018238+0.0029909i,0.00086181+0.001675i,0.0017849+0.0033645i,-0.0016851-0.0015462i,-0.00088221-0.0018964i,-0.00095448-0.00078216i,0.001924+0.0037499i,0.0025128-0.00071347i,-0.0066216-0.014646i,-0.0096845+0.0050488i,0.0074885-0.0012447i,-0.0048807-0.0060592i,0.023536-0.03038i,0.0068724-0.011603i,-0.016338-0.0034202i,-0.038307+0.00040393i,-0.012865+0.0078551i,-0.012096-0.030362i,0.0089887-0.0059203i,0.00027418+0.0033581i,0.0035662+0.0032787i,-0.0021916+0.0078348i,-0.0069566-0.0010064i,0.0044707-0.015211i,0.011331-0.0065293i,-0.009088+0.010093i,-0.00080815-0.00067379i,-0.0016177+0.0014926i,-0.0038878+0.00011307i,-0.0051991-0.0036042i,0.0043281-0.002255i,-0.0043373-0.0072627i,-0.00071896+0.0016588i,0.00269+0.00051256i,-0.0027095+0.00053341i,-0.0038445+0.007124i,0.0025002+0.0019513i,-0.0014728+0.00083272i,0.018277-0.009869i,0.0037287+0.011503i,6.3712e-05-0.00096867i,-0.0013046+0.0019834i,-0.0015676-0.00085159i,0.0066176+0.0083899i,0.0037263+0.00018676i,0.0026036+0.0043325i,0.0021942+0.0025566i,0.002285+0.003747i,0.0016891+0.0032621i,-0.001545+0.0024382i,0.0070077+0.0010455i,-0.0048812+0.0012696i,-0.0028405+0.006797i,-0.0024659-0.015265i,0.011559-0.015122i,-0.015312+0.0065742i,-0.021531+0.0031691i,0.012715-0.0028509i,0.016892+0.0094604i,-0.013287-0.00075991i
-0.0056157-0.010441i,-0.0039629-0.010915i,0.0025772-0.010468i,0.0077508-0.011274i,0.0063233-0.021206i,-0.0099542-0.018364i,0.0043083-0.010207i,0.0086708-0.0086852i,-0.0022703-0.0099728i,0.00092745+0.0030316i,-0.00018229+0.0013668i,0.0024093+0.0027176i,0.0031192+0.0025496i,0.0027338+0.0027202i,0.0029189-0.0002545i,0.0033843+0.0010461i,-4.2208e-05-0.0010514i,-0.0023829-0.0024108i,-0.0022767-0.0014004i,-0.0030441+0.0006199i,-0.0034449-0.00048077i,-0.0011792+0.00024077i,-0.0017033+0.0021637i,-0.0048191-0.0059713i,0.0036933+0.0016427i,0.0027309-9.3956e-05i,0.002952+0.0019293i,0.002512+0.0023506i,0.0020903+0.0034876i,0.0042371+0.0016319i,-0.00048334+5.3518e-05i,0.0011911+0.00072678i,-0.00039224+0.00055151i,8.9548e-05+0.00017448i,0.0018024-0.00088881i,0.0085644+0.0080853i,0.0029047+0.0020122i,0.0014623+0.0012887i,0.0031747+0.0025251i,-0.0018672-0.0010099i,-0.0016406-0.0015623i,-0.0011895-0.00048252i,0.00309+0.0030908i,0.0023389-0.00086995i,-0.00899-0.01471i,-0.0067859+0.0023754i,0.0089343-0.0056697i,-0.0052046-0.0046558i,0.014249-0.036705i,0.0037333-0.013424i,-0.012939+0.00058133i,-0.032042+0.0084398i,-0.0039311+0.010939i,-0.017869-0.025562i,0.0062216-0.0057297i,0.0012947+0.0031711i,0.0037606+0.0012651i,0.00043058+0.0082966i,-0.0071548+0.0022985i,-0.0049842-0.014485i,0.0071434-0.009799i,-0.0065474+0.011963i,0.00018477-0.0011721i,-0.0013852+0.0008823i,-0.00369+0.00019024i,-0.0047008-0.0012034i,0.0031307-0.0026553i,-0.0054394-0.0057939i,0.00070681+0.0011086i,0.0031481-0.0019898i,-0.0024995+0.0016073i,-0.00045057+0.0075523i,0.0021989+0.00035354i,-0.00057332+0.00068152i,0.01131-0.014578i,0.008071+0.0084693i,0.00046543-0.00063143i,0.00024654+0.0014083i,-0.0010377-1.102e-05i,0.0080652+0.0050711i,0.0040282-0.0020863i,0.0046214+0.0026314i,0.0027074+0.0011938i,0.0036456+0.0016855i,0.0032753+0.0029755i,-0.0002683+0.0039657i,0.0064987-0.00096625i,-0.0055702+0.0029962i,-0.0006273+0.0065506i,-0.003794-0.014905i,0.0018147-0.021665i,-0.018169+0.0031534i,-0.021305+0.0086687i,0.0064831-0.0056523i,0.017768+0.0047031i,-0.012924+0.00056356i
-0.0062549-0.0089177i,-0.0051987-0.0092568i,0.00031586-0.010802i,0.0039923-0.013026i,0.0019665-0.023004i,-0.013014-0.015647i,0.0035041-0.010173i,0.007151-0.010042i,-0.0035742-0.010516i,0.001628+0.0032781i,0.00015932+0.0019257i,0.0028802+0.0018084i,0.0039787+0.001848i,0.0036474+0.0022264i,0.0029542-0.00090842i,0.0041704+0.00028824i,-0.000778-0.001058i,-0.003378-0.0014322i,-0.0027015-0.0007695i,-0.0027728+0.0020047i,-0.0036239+0.0007781i,-0.0016084+9.3421e-05i,-0.0010071+0.002712i,-0.0068225-0.0025501i,0.0036617-5.3723e-05i,0.0024935-0.0011106i,0.0036319+0.00065751i,0.0033149+0.001251i,0.0033087+0.0020972i,0.0044453-8.5922e-05i,-0.00027281-4.3479e-06i,0.0014991+0.00011997i,3.7753e-05+0.00068224i,0.00042824+0.00018489i,0.0012349-0.0010767i,0.010111+0.004853i,0.0034246+0.00061498i,0.001868+0.00074677i,0.0041068+0.0011085i,-0.0019259-0.00039219i,-0.0021444-0.00081192i,-0.001268-0.00016906i,0.0037829+0.0018403i,0.0022079-0.0012093i,-0.011372-0.014066i,-0.005242-0.001659i,0.0081075-0.0097854i,-0.0039886-0.004161i,0.0042848-0.039023i,0.00038258-0.013666i,-0.0098785+0.0026175i,-0.025342+0.011711i,0.0049967+0.0089311i,-0.019941-0.019492i,0.0049739-0.0053444i,0.0023761+0.002129i,0.0030462+0.00026733i,0.0034827+0.0073795i,-0.0055947+0.0057945i,-0.011569-0.0083784i,0.0025092-0.010214i,-0.0033805+0.013352i,-0.00032792-0.0022681i,-0.0015912+0.0008146i,-0.0037559+0.00083683i,-0.0034957+0.00035593i,0.0019204-0.0028706i,-0.0064906-0.004134i,0.0015553+1.4336e-05i,0.00090265-0.0040341i,-0.001277+0.0024864i,0.0027601+0.005904i,0.002292-0.00053609i,-0.00015793+0.00043064i,0.0041146-0.015641i,0.010434+0.0038479i,0.00050249-0.001225i,0.00022707+0.00035277i,-8.984e-05+0.0004035i,0.0080131+0.0022315i,0.0026978-0.0045822i,0.0061971+0.0004991i,0.0032156+0.00025524i,0.0041674-0.00062948i,0.0042542+0.0014448i,0.0015404+0.0041772i,0.0049312-0.0025965i,-0.0053234+0.0054099i,0.0012724+0.0052903i,-0.0039492-0.014536i,-0.01051-0.023054i,-0.022168+0.0035565i,-0.017977+0.013569i,0.0015947-0.0033195i,0.016064-0.0008284i,-0.012528+0.00050298i
-0.0063032-0.0081676i,-0.0055427-0.0079535i,-0.0015331-0.010274i,0.00050897-0.0129i,-0.0026977-0.023618i,-0.014976-0.012807i,0.0033083-0.010909i,0.0054608-0.011215i,-0.0054088-0.010639i,0.0026422+0.0030534i,0.0010602+0.0021268i,0.0030074+0.0011045i,0.0045758+0.00057528i,0.0043602+0.0011952i,0.0027747-0.0016517i,0.0048147-0.00053994i,-0.0012365-0.00048396i,-0.003594-0.00024759i,-0.0029668-7.1096e-05i,-0.0018491+0.0029354i,-0.0033719+0.0018931i,-0.0019936+0.00073752i,-8.2045e-05+0.0029213i,-0.0068843+0.0012576i,0.0030695-0.0011685i,0.0019189-0.0018569i,0.0036559-0.00091839i,0.0035338-0.00014239i,0.0034876+0.00078747i,0.0040275-0.0017865i,-6.0937e-05+3.3591e-05i,0.0011536-0.00040065i,0.00047299+0.00054948i,0.00073001+4.5113e-05i,0.0009084-0.0010057i,0.01003+0.0015809i,0.0031486-0.00079649i,0.0021189+7.9654e-05i,0.0041093-0.00048611i,-0.0016194+0.00027792i,-0.0021239-4.6925e-05i,-0.0013454+0.00013654i,0.0038123+0.00048847i,0.0018414-0.0015981i,-0.013705-0.012876i,-0.0075069-0.0052872i,0.0056051-0.012563i,-0.0035073-0.0049493i,-0.0041197-0.038425i,-0.0018687-0.011591i,-0.0066102+0.0038643i,-0.019797+0.0136i,0.010769+0.003574i,-0.019285-0.014294i,0.0037198-0.0057701i,0.0027292+0.00040662i,0.0030526-0.00040129i,0.0057293+0.0049154i,-0.0024144+0.0070219i,-0.01325-0.0013124i,-0.0011834-0.0089443i,0.00065253+0.012922i,-0.0018639-0.0026149i,-0.0022037+0.0016535i,-0.003643+0.0018773i,-0.0025018+0.0011102i,0.0010588-0.0016685i,-0.0069853-0.0017627i,0.0010017-0.0013186i,-0.0011722-0.0032494i,0.00016168+0.0023917i,0.0041368+0.003218i,0.0023732-0.0018214i,4.8101e-05+0.00053222i,-0.0016113-0.013894i,0.010415-0.0010353i,-0.0002336-0.0013663i,0.00010156+0.00059102i,0.00098842+0.00015418i,0.0077015+0.00016586i,-0.00039898-0.0058126i,0.0063499-0.0028871i,0.003186-0.0014474i,0.0034971-0.0030391i,0.0044452+4.4056e-05i,0.0029782+0.0036583i,0.0030014-0.002684i,-0.0038688+0.0071337i,0.0020698+0.0036249i,-0.0038061-0.015594i,-0.022068-0.018077i,-0.02527+0.0064296i,-0.013205+0.014809i,0.00051742-0.00064453i,0.012458-0.0041672i,-0.014508+0.00068006i
-0.0069612-0.0078545i,-0.0057083-0.0073103i,-0.0028752-0.0096041i,-0.0021465-0.011983i,-0.0074994-0.023284i,-0.016643-0.0099822i,0.0026422-0.013072i,0.0034466-0.012187i,-0.0075849-0.010193i,0.003537+0.0024643i,0.0020019+0.0017537i,0.0030126+0.00047326i,0.0045166-0.0008447i,0.0046971-1.4581e-05i,0.0023032-0.0023301i,0.0051511-0.0017691i,-0.0012938+0.00021417i,-0.0034844+0.00078482i,-0.003005+0.00084446i,-0.00072309+0.0033824i,-0.0027204+0.0030923i,-0.0018281+0.0016329i,0.00072469+0.0026996i,-0.0050582+0.004365i,0.0024276-0.0019317i,0.0011703-0.0023297i,0.003054-0.0023221i,0.0030942-0.0014158i,0.0034253-0.0003962i,0.0029096-0.0032501i,0.00017457-0.00016376i,0.0009557-0.0004203i,0.00075898+0.00023736i,0.00091493-0.00042246i,0.00094904-0.001077i,0.0091552-0.001054i,0.0025585-0.0017323i,0.0021211-0.00071434i,0.0034404-0.0019264i,-0.0010079+0.00078872i,-0.0019682+0.00061823i,-0.0013356+0.00056348i,0.0032706-0.00055551i,0.0013759-0.0014066i,-0.015898-0.011242i,-0.011408-0.0055596i,0.0029212-0.013559i,-0.0037852-0.0048372i,-0.01183-0.037279i,-0.0015061-0.0094113i,-0.0032759+0.0033711i,-0.013455+0.014095i,0.014526-0.0036598i,-0.016694-0.011513i,0.0024547-0.006096i,0.0015669-0.0020163i,0.0028462-0.0015789i,0.0058368+0.0018548i,-0.00055209+0.0064817i,-0.012042+0.0051534i,-0.0040062-0.0069421i,0.0034432+0.010454i,-0.0036794-0.0014841i,-0.0021227+0.0033934i,-0.003053+0.0031275i,-0.0010604+0.0012696i,0.0020417+0.00021744i,-0.0061015+9.8904e-05i,0.00044036-0.0011682i,-0.0020475-0.0022633i,0.0011402+0.0017075i,0.0041587+0.0011716i,0.0006857-0.0032088i,0.00046172+0.00040196i,-0.0061828-0.011013i,0.0084996-0.0047788i,-0.00064261-0.0010098i,0.00086681+0.00044033i,0.0012668-0.00092825i,0.0071878-0.0019881i,-0.0030361-0.0048259i,0.004606-0.0059336i,0.0020235-0.0024465i,0.0015276-0.0043829i,0.0044459-0.0017466i,0.0043799+0.0027986i,0.0024026-0.0023496i,-0.0013605+0.0076325i,0.001477+0.0020482i,-0.0046979-0.017743i,-0.027776-0.0085698i,-0.027442+0.011286i,-0.0094452+0.01513i,-1.4457e-05+0.0010428i,0.0089517-0.0049844i,-0.015957+0.0026928i
