-0.026527-0.042928i,-0.020723-0.022599i,-0.011591-0.038045i,-0.030042-0.021781i,-0.024373-0.0019146i,-0.013299-0.00403i,-0.052846-0.054592i,-0.047504-0.017609i,-0.03812-0.015773i,0.010249+0.014388i,-0.0090218+0.0058121i,-0.020382+0.019293i,0.0021571+0.012316i,-0.0040095-0.002669i,0.00093366+0.0009123i,-0.00038526+0.028821i,0.026092+0.026554i,0.0030255-0.0020271i,-0.0021221-0.0067889i,0.0079456+0.0028879i,0.0028159+0.00093668i,4.2154e-05+0.0035629i,-0.00043838+5.0773e-05i,-0.03553-0.010577i,0.00037383-0.0078904i,0.001545+0.0024158i,0.006012+0.0012209i,0.002173+0.00042827i,0.0013198-0.00054092i,-5.5321e-05-0.0026378i,0.0018128-0.0021532i,-0.0024531-0.0056171i,-0.00038196-0.0046315i,0.0032396-0.00057976i,0.0050464-0.0027993i,0.002855+0.029619i,0.0041189-0.0034989i,0.0032017-0.0016957i,0.0087889-0.00072061i,-0.0050707-0.0023055i,-0.00036227+0.00098192i,0.010423+0.0008185i,0.0045381-0.0017132i,-0.0030393+0.0089172i,-0.016263-0.0080583i,-0.017953+0.017094i,0.001328-0.062602i,-0.0037093-0.027321i,-0.025298-0.034431i,-0.0099659-0.026858i,0.053018-0.023245i,0.017243-0.043654i,0.025424-0.047809i,0.0095608-0.054024i,0.028291-0.019337i,0.0086829+0.0064856i,0.027614-0.033401i,-0.0080041-0.0063846i,0.0028594-0.0040601i,-0.0051142-0.0069162i,-0.001297-0.033848i,-0.020732+0.029392i,0.0092444-0.011801i,-0.0093824-0.0040765i,-0.0041282-0.0017433i,0.00073751-0.013108i,-0.011077+0.0039205i,0.0024964+0.010662i,-0.0060721+0.027172i,0.0047426+0.0027443i,-0.005386-0.001808i,-0.0018822-0.0023276i,-0.012961-0.0078057i,-4.8102e-05-0.0046309i,-0.036162-0.0013061i,0.0014738-0.011044i,-0.0087453-0.00021813i,-0.0069619-0.002738i,0.005439+0.001296i,-0.0080505-0.00094684i,0.0021146+8.5533e-05i,0.0039646+0.0072271i,0.0045958+0.0006571i,-0.0073281-0.013616i,0.0026961+0.0096871i,-0.015227+0.0045312i,0.0073488+0.00059399i,-0.023044-0.0011848i,-0.01845+0.0049706i,-0.0029227-0.065675i,0.0082855-0.012816i,-0.046998-0.02553i,-0.020153-0.0013559i,0.016539+0.012974i,-0.02433+0.014317i,-0.019476-0.0065368i
0.024188+0.038478i,0.014262+0.019181i,0.016692+0.026998i,0.0071979+0.02065i,0.010232+0.0071214i,0.0054588-0.0014835i,0.020753+0.011953i,0.017554-0.0029052i,0.0083798-0.0069011i,0.0023572+0.0041492i,0.0022156-0.0027145i,0.0012337-0.0052754i,-0.0023872+0.00062645i,0.00057425-0.0010897i,0.0021725-0.00039905i,0.0043669-0.0021535i,0.0053778-0.0061447i,-0.00026094+0.00040147i,-0.0041517+0.00087713i,0.00010564+0.00062743i,-0.00048303-0.00091999i,-0.0023704-0.00070026i,-0.0017472+0.00088881i,0.0050745+0.0092016i,-0.0014271+0.0015345i,0.00062587+0.001943i,0.0011208+0.00076868i,-0.0017492+0.0027277i,-0.00091867+0.0002057i,-0.0014547+0.00040987i,-0.0013787-0.0017172i,-0.0016984-0.0014628i,-0.00020636+0.00022599i,0.00069149+0.00053509i,-0.00019138-0.0011049i,-0.0084155+0.0094323i,0.0017832+0.00011781i,0.00066303+0.0011813i,0.0005926+0.002556i,0.00081857-0.0011968i,-8.2738e-05-0.00085049i,-0.00074261-0.0010456i,0.00037064+0.0016072i,0.00037346+0.001736i,0.01603+0.019608i,-0.027891+0.014165i,-0.015833+0.016177i,-0.024307+0.010603i,-0.0054285+0.039681i,-0.021766+0.01841i,-1.0324e-05-0.0011606i,-0.012527-0.016257i,-0.021285-0.0022644i,-0.0086637+0.013849i,0.018199+0.023576i,-0.00049326+0.0026075i,-0.0041672+0.0012323i,-0.012522-0.0045985i,0.011329+0.0012403i,0.010888+0.009985i,-0.0015875+0.0059116i,-0.0052857-0.0085494i,0.0067071-0.0030635i,-0.0033527-0.0040295i,0.0040654-0.008871i,0.0088623-0.0028328i,-0.0015894+0.01079i,0.013154-0.0056632i,0.003698-0.0087727i,0.0034852-0.0091951i,0.0022709+0.00064493i,-0.0022556-0.0061577i,-0.0038559-0.0013612i,0.0024466-8.5331e-06i,-0.011137+0.037378i,-0.0073954-0.0059013i,0.00012253+0.0011109i,-0.00082401-0.0074009i,0.0034884-0.00036709i,-0.018797-0.008706i,-0.0018494-0.0040757i,0.0028911-0.0025436i,0.0035362-0.0017745i,-0.0027538-0.0085653i,-0.00026078+0.0074186i,0.00034332+0.0035358i,-0.0036403+0.004922i,-0.0077864+0.0010291i,-0.0067403-0.0014972i,-0.0092139+0.0235i,-0.0026107+0.014723i,-0.026282-0.010873i,-0.0025341-0.002698i,0.013739+0.019561i,-0.00090093+0.019323i,-0.00047195-0.0046313i
0.029947+0.032338i,0.017514+0.015183i,0.021304+0.024116i,0.010737+0.020065i,0.01207+0.005671i,0.0055354-0.0028368i,0.02099+0.0075786i,0.01665-0.0058589i,0.0065786-0.0087189i,0.0033567+0.0029418i,0.0020849-0.0028368i,-0.0008097-0.0038131i,-0.0018904+0.0014599i,0.00030029-0.00010964i,0.0020662-0.00083011i,0.0034089-0.0022974i,0.0032945-0.0066068i,0.0002332+0.00047642i,-0.0036346+0.0014753i,0.00044416+6.2247e-05i,-0.00063231-0.0011544i,-0.0023613-0.00032571i,-0.0013936+0.0010825i,0.0095476+0.0061406i,-0.0013517+0.0028186i,0.001573+0.0014573i,0.00098887-8.0508e-05i,-0.00053691+0.0029323i,-0.0013594+0.0006413i,-0.0012735+0.0011341i,-0.0020855-0.00092827i,-0.0023414-0.0012224i,-0.00035568+0.00010262i,0.00079076+0.00026187i,-0.0010201-0.0001575i,-0.0047831+0.011142i,0.0014239-0.00058889i,0.0010344+0.001064i,0.0012504+0.0019265i,0.00034094-0.0010896i,-0.00025128-0.0011681i,-0.0013657-0.00069022i,0.0004044+0.0016882i,0.0002397+0.0021447i,0.020472+0.016991i,-0.022881+0.018181i,-0.014909+0.019673i,-0.019391+0.012515i,0.0069474+0.035901i,-0.01416+0.018909i,-0.0061244-0.0037666i,-0.020313-0.016609i,-0.024727-0.0012817i,-0.0015673+0.0089752i,0.022755+0.015928i,-0.00092072+0.0025166i,-0.0027646+0.0050791i,-0.012554-1.7433e-05i,0.0098627-0.0030482i,0.012943+0.0072452i,0.0020554+0.0088446i,-0.0098095-0.0069101i,0.0023112-0.0050189i,-0.0034365-0.0019721i,-0.0013486-0.0082133i,0.0070555-0.0056625i,0.0032774+0.0087828i,0.0082386-0.0088533i,-0.0016035-0.0081751i,-0.00087832-0.0064425i,0.0036846-0.00024024i,-0.0038294-0.0052833i,-0.0022461+0.0011348i,0.0031652-0.00035796i,0.0085817+0.036339i,-0.0091861-0.0035002i,0.00093595+0.00045368i,-0.0040191-0.005953i,0.0040626-0.0018065i,-0.020181+0.00027239i,-0.0024856-0.002879i,0.0015034-0.0026151i,0.0034925-0.0034559i,-0.0049882-0.0070368i,0.0020162+0.003826i,0.0017+0.0026458i,-0.00045676+0.0067175i,-0.0061463+0.0038439i,-0.0075413-0.00024625i,-0.0038055+0.020414i,-6.4481e-05+0.016069i,-0.028604-0.0046297i,-0.0038819-0.0060646i,0.016705+0.016929i,0.0028736+0.020588i,-0.0030212-0.0050666i
0.033975+0.025505i,0.018882+0.010015i,0.026428+0.018691i,0.015556+0.017261i,0.014139+0.0036617i,0.0052375-0.0044709i,0.020495+0.0031789i,0.015276-0.0090506i,0.0045823-0.0093682i,0.0034704+0.0018105i,0.0014865-0.0037785i,-0.0011705-0.002039i,-0.0012671+0.0016716i,0.0011385+0.00013947i,0.0018376-0.0012744i,0.0026477-0.0023895i,0.0014965-0.006879i,0.00032914-1.886e-05i,-0.0030489+0.0024537i,0.00019539-0.00071169i,-0.001403-0.0015243i,-0.0021975+0.00011437i,-0.0010977+0.0011991i,0.010726+0.00074252i,-0.00011332+0.0035093i,0.0018104+0.00048363i,0.00045848-0.00049121i,0.00053785+0.0025943i,-0.0011771+0.0014077i,-0.00084659+0.0016921i,-0.0023787+0.00025094i,-0.0033936+0.00021804i,-0.00037704+0.00024627i,0.00070993-4.6644e-05i,-0.00094158+0.00091155i,-0.0011731+0.011453i,0.00095409-0.00070484i,0.0014139+0.00053623i,0.0014163+0.0014775i,-0.00015567-0.00095357i,-0.00079597-0.0013715i,-0.0017092-0.00031782i,0.00062128+0.0021014i,0.00076917+0.0025569i,0.025241+0.012758i,-0.017722+0.02114i,-0.011556+0.02366i,-0.013764+0.012159i,0.018038+0.028174i,-0.0073393+0.019307i,-0.012458-0.0023897i,-0.026754-0.013437i,-0.026854+0.0031497i,0.0015554+0.0014887i,0.023444+0.0074015i,-0.0012981+0.0025125i,-0.0011161+0.0050123i,-0.01248+0.0029636i,0.0060169-0.0073984i,0.014218+0.0032401i,0.0062778+0.0087343i,-0.012908-0.0034379i,0.00013677-0.0034412i,-0.0033316-0.00026673i,-0.0040091-0.00533i,0.0046614-0.0070025i,0.0059806+0.0077166i,0.0049984-0.009091i,-0.0053751-0.0048615i,-0.0013264-0.0031666i,0.0039511-0.0025393i,-0.0062839-0.0034306i,-0.00019833+0.0010435i,0.0025457-0.0017157i,0.023236+0.026068i,-0.010236+8.462e-05i,0.001514-0.00023957i,-0.0038328-0.0039725i,0.0042654-0.0040568i,-0.015939+0.0085368i,-0.0026002-0.0016551i,0.00038494-0.0026578i,0.0016449-0.0041888i,-0.0070865-0.0043096i,0.0014858+0.0026968i,0.0023594+0.0014285i,0.0028031+0.0063139i,-0.0041099+0.0047286i,-0.0080315+0.0019038i,-0.0015235+0.01645i,0.0071192+0.015778i,-0.028346+0.00019649i,-0.0062322-0.008323i,0.020051+0.011909i,0.0082337+0.020973i,-0.0051397-0.0042945i
0.036098+0.01874i,0.018224+0.0060904i,0.028603+0.011579i,0.018766+0.011998i,0.015569+0.00047847i,0.0041063-0.0059544i,0.019119-0.00024851i,0.012956-0.011794i,0.0031287-0.0099481i,0.0031964+0.0012767i,5.5896e-05-0.0036435i,-0.0006724-0.001188i,-0.0010267+0.0018332i,0.001372+2.4993e-06i,0.0013501-0.0016143i,0.0018597-0.0021577i,-0.00027149-0.006178i,0.00027584-7.5912e-05i,-0.0014582+0.0031183i,-0.00050305-0.00096907i,-0.0020612-0.00072924i,-0.0021536+0.00055696i,-0.00083049+0.0013052i,0.0088289-0.0035285i,0.0011471+0.0034864i,0.0015168-0.00013159i,3.8083e-05-0.00037064i,0.0011102+0.0018906i,-0.00049736+0.0015666i,-0.00013998+0.0019793i,-0.0020671+0.0014805i,-0.0028353+0.0019438i,-0.00024295+0.00029948i,0.00039076-0.00026584i,-0.00037281+0.0014415i,0.0022119+0.010697i,0.00074303-0.00076388i,0.0012749-0.00010126i,0.0014557+0.0013502i,-0.00065395-0.00066874i,-0.0015353-0.0011527i,-0.002042-3.1983e-05i,0.0012554+0.0024289i,0.001478+0.0025331i,0.02866+0.0059947i,-0.011572+0.023141i,-0.0064558+0.026664i,-0.011499+0.0095959i,0.026082+0.016001i,-0.00061506+0.015538i,-0.017672+0.0025268i,-0.032967-0.0071649i,-0.026997+0.0093424i,-8.8136e-05-0.0056218i,0.021797-0.00036408i,-0.0014133+0.0033794i,-4.0249e-05+0.0068252i,-0.011811+0.0068607i,-0.00017209-0.0074797i,0.014469-0.0016071i,0.010185+0.0064646i,-0.014373+0.0014317i,-0.0009733-0.0025066i,-0.0023527+0.0011391i,-0.0050832-0.0017478i,0.0025316-0.0077692i,0.008663+0.004123i,0.0023549-0.0094015i,-0.0059405+0.00024357i,-0.0002355-0.0019419i,0.0024996-0.0046098i,-0.0068592-6.2578e-05i,0.00081987+0.00072183i,0.001918-0.0024269i,0.030267+0.01118i,-0.0091332+0.004647i,0.0016632-0.0013619i,-0.0040312-0.002637i,0.0024648-0.0064211i,-0.0094313+0.011609i,-0.0021619-0.00096847i,-0.00039673-0.0017462i,0.00042054-0.0038356i,-0.0069743-0.00076745i,0.001536+0.0022461i,0.0020218+0.0001759i,0.0056403+0.004863i,-0.0020005+0.0042118i,-0.0080125+0.0039728i,-0.00067751+0.015196i,0.015875+0.0090217i,-0.026142+0.0050312i,-0.011032-0.0094755i,0.019595+0.0061608i,0.01382+0.018822i,-0.0054635-0.0033179i
0.037659+0.012578i,0.018226+0.0036606i,0.02884+0.0055732i,0.020077+0.0065195i,0.015907-0.0029745i,0.0028073-0.0069396i,0.01767-0.0025911i,0.010323-0.013658i,0.0017845-0.010519i,0.0031546+0.00081108i,-0.00097538-0.0028932i,-0.00023121-0.0011371i,-0.00080014+0.0022546i,0.0014569-0.00037455i,0.00086275-0.0016672i,0.0016592-0.0015365i,-0.0011764-0.0054194i,0.00013716+2.9657e-05i,-0.00026429+0.0027125i,-0.0011331-0.00075521i,-0.0022701-6.6564e-05i,-0.0017633+0.0011775i,-0.00052922+0.0014386i,0.0058311-0.0059865i,0.0022603+0.003101i,0.0013075-0.00052103i,-0.00026163-0.0001708i,0.0013962+0.0012984i,-6.5845e-05+0.0015857i,0.00077153+0.0019273i,-0.0011121+0.0022984i,-0.0018462+0.0029482i,-0.00031268+0.00030294i,0.0001898-7.4275e-06i,0.00039619+0.0016787i,0.0048106+0.0091826i,0.00032098-0.00081263i,0.00090631-0.00049087i,0.0017112+0.0010772i,-0.00071452-0.00016343i,-0.0019327-0.00074603i,-0.0023856+0.00057935i,0.0020901+0.0022526i,0.001651+0.001941i,0.029127-0.0013656i,-0.0048492+0.023147i,0.00047581+0.027784i,-0.010744+0.0091914i,0.027044+0.002475i,0.0020069+0.010416i,-0.019008+0.010408i,-0.03528+0.0029012i,-0.025249+0.016487i,-0.005235-0.0097313i,0.016491-0.0058618i,-0.00066912+0.0043453i,0.0038773+0.006798i,-0.0093472+0.010363i,-0.0035005-0.0041984i,0.012084-0.0078362i,0.012932+0.0025059i,-0.01391+0.0063935i,-0.0011904-0.0005073i,-0.0011804+0.0017078i,-0.0032151+0.00058473i,-0.00066382-0.0075303i,0.0088016+0.00053774i,-0.00063354-0.0087391i,-0.0036215+0.0034688i,0.00056757-0.0022053i,0.00029755-0.0054323i,-0.0052207+0.0026071i,0.0021411-0.0001899i,0.0013832-0.0025372i,0.029502-0.0030471i,-0.0052303+0.0074423i,0.00091055-0.0023473i,-0.0035896-0.0021614i,-0.00018623-0.0073548i,-0.0045785+0.011528i,-0.0020625-0.00038588i,-0.00019821-0.00039776i,0.00026813-0.0031181i,-0.0048511+0.0014477i,0.0019534+0.0020005i,0.0010067-0.00040433i,0.0068492+0.0015636i,-0.0014546+0.0025052i,-0.0069819+0.0065076i,0.0010422+0.014862i,0.018128-0.0037528i,-0.021735+0.0061502i,-0.016055-0.007701i,0.01871+0.0016035i,0.017786+0.013317i,-0.0063852-0.0033234i
0.038571+0.0061169i,0.018612+0.00070612i,0.028938-0.00028226i,0.020447+0.00098721i,0.01577-0.0062371i,0.0013202-0.0077089i,0.016896-0.0043564i,0.0076428-0.01507i,0.00031362-0.011311i,0.0028217+0.00030999i,-0.0010993-0.0020834i,-6.8433e-05-0.0011524i,-8.0795e-05+0.0028489i,0.0014068-0.00064093i,0.00054647-0.0016846i,0.002134-0.001107i,-0.0018884-0.0052591i,0.00035787-2.4132e-05i,0.00044627+0.002086i,-0.0014942-0.00028684i,-0.001882+0.00061991i,-0.0010681+0.0013885i,-0.00016044+0.001502i,0.0022498-0.0070981i,0.0034647+0.0022904i,0.0010187-0.00091368i,-0.00034177+4.5e-05i,0.0015293+0.00080978i,0.00039905+0.0015721i,0.00141+0.0013141i,6.8921e-05+0.0025534i,-0.00047148+0.0035666i,-0.0003251+0.00058321i,0.00036343+5.1609e-05i,0.0010246+0.0013153i,0.006379+0.0072022i,3.5482e-06-0.0006609i,0.00058812-0.00057225i,0.0016956+0.00062593i,-0.00036297+0.00013299i,-0.0023585-0.00010146i,-0.0023539+0.0012038i,0.0028098+0.0017999i,0.0017667+0.0017566i,0.027764-0.0083436i,0.0011617+0.021091i,0.0071747+0.025727i,-0.0096839+0.0099015i,0.02383-0.0085387i,0.001874+0.0068119i,-0.015551+0.018238i,-0.031808+0.013569i,-0.018779+0.024352i,-0.011369-0.0087596i,0.01139-0.0073879i,0.00065754+0.004676i,0.0064128+0.0042722i,-0.0057189+0.01321i,-0.0044766-0.0014136i,0.0059674-0.012982i,0.012933-0.0032317i,-0.011892+0.0099417i,-9.4217e-05+0.00059145i,-0.00012941+0.0016073i,-0.0015999+0.00095287i,-0.0025632-0.0055759i,0.0073001-0.0019604i,-0.0025091-0.0068211i,-0.000402+0.0044857i,0.00071274-0.00345i,-0.0017934-0.0048316i,-0.0033866+0.0035147i,0.0020582-0.0019634i,0.0011284-0.0027736i,0.023231-0.014286i,-0.0012276+0.007843i,-0.00011104-0.0022721i,-0.003905-0.0011388i,-0.0032805-0.0067517i,-0.0010583+0.010886i,-0.0013977+0.00012513i,0.0010814-0.000309i,-0.00014771-0.0038655i,-0.0026089+0.0019688i,0.0020259+0.0017724i,0.00014916+0.00015725i,0.0059186-0.00069701i,-0.0023649+0.0014098i,-0.0046322+0.0080845i,0.0033466+0.014071i,0.012165-0.013926i,-0.01986+0.0031327i,-0.020727-0.0033652i,0.015585-0.0037953i,0.018476+0.0077122i,-0.00734-0.0023979i
0.038348-0.00043913i,0.018112-0.0026924i,0.026844-0.0073716i,0.018642-0.005341i,0.015035-0.0099477i,-0.00045771-0.0079739i,0.016534-0.0064239i,0.0047459-0.016338i,-0.0015529-0.011681i,0.0024415+0.00055021i,-0.0014368-0.0017091i,-0.00025107-0.0017965i,0.00084444+0.0029026i,0.0011906-0.0010236i,0.0001744-0.0016099i,0.0027091-0.001418i,-0.0033005-0.0050507i,7.5505e-05-0.00029476i,0.00096399+0.0013573i,-0.0017904+0.00027046i,-0.001722+0.00083485i,-0.00042937+0.0011683i,0.00016893+0.0014485i,-0.0012465-0.0063781i,0.0041418+0.00044139i,0.00051165-0.0011021i,-0.00060506+0.00027627i,0.0014797+0.00043723i,0.001032+0.0012817i,0.0016628+0.00058313i,0.0012334+0.0022906i,0.00077136+0.0036702i,-0.00027357+0.0008953i,0.00044209+1.7644e-05i,0.0012475+0.00067067i,0.0073271+0.0052664i,-0.00026414-0.00055822i,0.00019941-0.00066311i,0.0019133+0.00029139i,9.26e-05+0.00012745i,-0.0024328+0.00083416i,-0.0019433+0.0018925i,0.0034922+0.00084955i,0.0018005+0.0016515i,0.024856-0.014689i,0.0059451+0.017467i,0.012156+0.021959i,-0.007045+0.011352i,0.017663-0.016709i,0.0008857+0.0051452i,-0.009154+0.022576i,-0.023686+0.020284i,-0.0087011+0.027903i,-0.015334-0.0042194i,0.00774-0.0072031i,0.0018916+0.0041837i,0.0064919+0.00080729i,-0.00098585+0.013962i,-0.0049426+0.000966i,-0.0030647-0.01294i,0.0098261-0.0074879i,-0.0091221+0.012714i,0.0014651-0.00021344i,0.00057815+0.0011306i,-0.0011299+0.00034016i,-0.0028705-0.0037564i,0.0058243-0.0028429i,-0.0032343-0.0057858i,0.0018254+0.0035105i,-0.00036882-0.0052198i,-0.0033019-0.003513i,-0.0013051+0.0041886i,0.00070874-0.0032945i,0.00061466-0.0035616i,0.013746-0.020154i,0.0019687+0.0065553i,-0.00052954-0.0021629i,-0.0032096-0.0008843i,-0.005361-0.0050558i,0.0016037+0.0097667i,-0.00046907-0.00053699i,0.0017092-0.001057i,-0.0016145-0.0039162i,-0.0013908+0.0014518i,0.0031128+0.0016161i,0.00023779+0.001281i,0.0049937-0.0020689i,-0.003659+0.0014774i,-0.0024938+0.0081802i,0.00611+0.013628i,0.0035547-0.020164i,-0.023371+0.00077237i,-0.022327+0.0030457i,0.0091864-0.0066371i,0.018371+0.0028747i,-0.0070624-0.0022206i
0.037184-0.0067294i,0.017729-0.0051767i,0.02255-0.012109i,0.014097-0.0099782i,0.013063-0.01356i,-0.0020396-0.007687i,0.016228-0.0087683i,0.0015559-0.016856i,-0.0032324-0.011981i,0.0028942+0.00099144i,-0.0016461-0.00077589i,-0.0012043-0.0018625i,0.0017282+0.0026405i,0.00076819-0.0011743i,-0.00010974-0.0014391i,0.0028819-0.0020131i,-0.0050845-0.0038477i,-0.00013217-0.00018699i,0.0010464+0.00061028i,-0.001694+0.0010751i,-0.0014574+0.0013825i,-0.0003973+0.00069868i,0.00047994+0.0013787i,-0.0037638-0.0040337i,0.0034892-0.001201i,6.2848e-05-0.0010369i,-0.00049249+0.00071205i,0.0013966+0.0001971i,0.0012774+0.00062303i,0.0016248-7.9248e-06i,0.0021396+0.0015111i,0.0020595+0.0031522i,0.00012169+0.0012603i,0.00050751-5.6602e-05i,0.0010749+0.00073283i,0.0077571+0.0032333i,-0.00046976-0.00041963i,-0.0001322-0.00048958i,0.0021542-0.00022621i,0.00045085+2.0967e-05i,-0.0020264+0.0017647i,-0.0012214+0.0024332i,0.003546-0.00039747i,0.0019823+0.0016451i,0.020398-0.01985i,0.0090114+0.012795i,0.015273+0.017787i,-0.0033009+0.011161i,0.010328-0.020959i,-1.3937e-06+0.0051348i,-0.0023442+0.024051i,-0.015416+0.022172i,0.0020226+0.026894i,-0.015491+0.0015992i,0.0061393-0.0067705i,0.0030141+0.0032917i,0.0051403-0.0013296i,0.0041093+0.012682i,-0.0041206+0.003858i,-0.0096447-0.007513i,0.0057348-0.0094i,-0.0054443+0.014731i,0.0011757-0.0020444i,0.00094204+0.00056502i,-0.0012056+0.00027593i,-0.0023992-0.002507i,0.0046873-0.0036026i,-0.0043044-0.0047358i,0.0030136+0.0017857i,-0.0038162-0.0058253i,-0.0037934-0.0017783i,0.0011394+0.0031194i,-0.0003161-0.0037718i,-0.00052762-0.004041i,0.0044229-0.021068i,0.0038469+0.0045963i,-0.0010887-0.0021392i,-0.0040613-0.00062044i,-0.0065691-0.0025378i,0.0032745+0.0084632i,-0.00081173-0.0017733i,0.0020747-0.0020328i,-0.0024088-0.0028315i,-0.00053434+0.00074613i,0.0035552+0.00066281i,0.0011388+0.0018179i,0.003185-0.0030218i,-0.0045583+0.0026201i,-0.00075572+0.0075605i,0.010325+0.012741i,-0.0076491-0.022296i,-0.027452+0.002557i,-0.020136+0.0094123i,0.0043471-0.0046645i,0.016134-0.0020069i,-0.0072536-0.0034846i
0.035078-0.012947i,0.017414-0.0086716i,0.018758-0.014841i,0.0094966-0.011427i,0.010281-0.016549i,-0.0032529-0.0071581i,0.016064-0.01188i,-0.0015583-0.016738i,-0.0052123-0.012063i,0.0037875+0.00059248i,-0.0010224-0.00011568i,-0.0018849-0.00095085i,0.0024692+0.0019241i,0.00039866-0.0011563i,-0.00023726-0.0012691i,0.002916-0.002523i,-0.0061362-0.001933i,3.0517e-05-0.00035431i,0.00081168-1.2055e-05i,-0.0011682+0.0015839i,-0.00098374+0.001544i,-0.00051602+0.00064051i,0.00085079+0.00124i,-0.0046323-0.00090962i,0.0026184-0.0020676i,-0.000235-0.00086074i,-0.00012158+0.00081348i,0.001391-9.8552e-05i,0.0010334+0.00045908i,0.0014575-0.00055171i,0.002711+0.00053173i,0.0028463+0.0022875i,0.00077074+0.0012222i,0.00070462-0.00010793i,0.0014375+0.00099274i,0.0074682+0.0014542i,-0.00073778-9.9585e-05i,-0.0002333-0.00028527i,0.0019188-0.0010314i,0.00091275-0.00027684i,-0.0012262+0.0023374i,-0.00041738+0.002705i,0.0029426-0.0014251i,0.0021695+0.0017729i,0.01511-0.023279i,0.0096491+0.0080928i,0.017153+0.013878i,-0.00039733+0.0094626i,0.0039359-0.022563i,0.00031346+0.0070388i,0.0042008+0.023611i,-0.008232+0.02202i,0.010248+0.022107i,-0.012318+0.0066581i,0.0048627-0.0073423i,0.0039142+0.0016324i,0.0041784-0.0027468i,0.0082513+0.0089973i,-0.001671+0.0050288i,-0.011773-0.0010003i,0.0019189-0.0097707i,-0.00092652+0.014805i,-0.00046168-0.0029346i,0.00034682+0.00011331i,-0.0012122+0.00070911i,-0.0021787-0.0019514i,0.0034447-0.0034393i,-0.0050529-0.0029774i,0.0027587+0.00029872i,-0.0067751-0.0031185i,-0.0032445-0.00026085i,0.0018666+0.001096i,-0.0013071-0.0039659i,-0.002051-0.003723i,-0.0031456-0.018822i,0.0050911+0.0021546i,-0.0018548-0.0018408i,-0.0042248+0.001047i,-0.0061884+0.00026171i,0.0050169+0.0075046i,-0.0024572-0.0022812i,0.0017242-0.0034652i,-0.0028696-0.0023614i,-0.00042493-0.00055118i,0.0041017+1.8147e-05i,0.0020548+0.001758i,0.0014601-0.0024126i,-0.0049614+0.0040675i,0.00048835+0.0067658i,0.014978+0.0094872i,-0.018415-0.01877i,-0.030507+0.0062599i,-0.015196+0.012512i,0.0027783-0.0028674i,0.012039-0.0048671i,-0.0098636-0.0038226i
0.031556-0.018739i,0.015977-0.012666i,0.015485-0.017128i,0.0061724-0.0116i,0.0068039-0.018859i,-0.0043972-0.0065806i,0.015068-0.016276i,-0.0045281-0.01614i,-0.0076228-0.011627i,0.0043772-0.00036812i,-0.00031588-0.00021323i,-0.0020302+0.00024857i,0.0027052+0.0010482i,0.00020175-0.00082468i,-0.00035624-0.0012264i,0.002642-0.0032903i,-0.006345+0.0002322i,-0.00011393-0.00068503i,0.00052829-0.00025002i,-0.00056065+0.0017932i,-0.00059298+0.0017756i,-0.00059169+0.00076581i,0.0011329+0.0008918i,-0.0037088+0.001888i,0.0017914-0.0025492i,-0.00049397-0.00060091i,0.00017278+0.00066555i,0.0011146-0.0004412i,0.0011437+0.00037836i,0.0010024-0.0010509i,0.002885-0.00059728i,0.0035819+0.0014002i,0.001273+0.00092557i,0.0008049-0.00056373i,0.0022936+0.0007784i,0.0071128+3.1172e-05i,-0.00060244+0.00035432i,-0.00023685-4.4388e-05i,0.001256-0.0015292i,0.0012184-0.00079748i,-0.00043438+0.0027677i,0.00056629+0.00276i,0.002106-0.0019456i,0.0027219+0.0020601i,0.0097079-0.025288i,0.0086483+0.0050292i,0.018395+0.010409i,0.0012683+0.0085037i,-0.0022714-0.023683i,0.0034583+0.0090187i,0.010173+0.020876i,-0.0011484+0.019935i,0.016342+0.015096i,-0.0068746+0.0093841i,0.0033295-0.0078665i,0.0036118-0.0010687i,0.0030856-0.0043164i,0.009337+0.0040262i,-0.00017711+0.0044725i,-0.011163+0.0055352i,-0.0018263-0.0089738i,0.0025386+0.012211i,-0.0024945-0.0024324i,-0.00028875+0.00075856i,-0.00091758+0.0012311i,-0.0017479-0.0018283i,0.0034111-0.0019609i,-0.0044188-0.0015039i,0.0025025+0.00044552i,-0.0070732+0.00035772i,-0.002241+0.00040791i,0.0015183-0.00010373i,-0.0034021-0.004029i,-0.0031776-0.0026228i,-0.0091752-0.015274i,0.005063-0.00044372i,-0.0024077-0.0011198i,-0.0029507+0.0021996i,-0.0048493+0.0021019i,0.0070332+0.0063553i,-0.0039273-0.00095853i,0.0003397-0.0047126i,-0.0036742-0.0016073i,-0.0015623-0.0011821i,0.0047795-0.0017663i,0.002947+0.0013889i,0.0012041-0.001587i,-0.00377+0.0060276i,0.0012207+0.0056915i,0.018618+0.0040241i,-0.024258-0.010216i,-0.032886+0.012319i,-0.010785+0.013558i,0.0014842-0.0010579i,0.0086195-0.0049816i,-0.011828-0.0026277i
