-0.0083464-0.039863i,-0.011916-0.043401i,0.0031411-0.046397i,-0.026977-0.027079i,-0.020924+0.013753i,-0.032797-0.032856i,-0.05983-0.061531i,-0.023175-0.072337i,-0.038482-0.056338i,-0.00072581+0.015735i,-0.006506+0.010738i,-0.014944+0.01423i,0.0010706+0.015098i,-0.0040421-0.0034341i,0.00011408+0.006706i,0.00032965+0.039874i,0.01555+0.052278i,0.00058328-0.0001665i,-0.0050251-0.0083748i,0.0098874+0.0068225i,0.0012877+0.00077311i,-0.00099623+0.0036032i,0.00015122-0.0014345i,-0.035946-0.0098171i,-0.0020546-0.0070688i,-7.565e-05+0.0048801i,0.0042147-0.0015087i,-0.00017496+0.00080798i,-0.0001926-0.0011478i,-0.00010633-0.0027924i,-0.00094729-0.0063035i,-0.0022485-0.0037582i,-0.001568-0.0086252i,0.0029437-0.00073798i,0.0031405-0.0028945i,-0.0027779+0.031949i,0.0065502-0.0041416i,0.0038635-0.0024141i,0.0048778-0.00030228i,-0.031112+0.018351i,-0.0002156+4.6901e-05i,0.014862-0.0066354i,0.0062153-0.00076573i,-0.0033585+0.0039238i,0.0030618+0.0022735i,-0.0025715+0.008901i,0.015085-0.089207i,-0.0061492-0.046482i,-0.024355-0.039354i,-0.018987-0.042144i,0.06289-0.014631i,0.027876-0.060793i,0.038422-0.045118i,0.030246-0.05588i,0.019514-0.015737i,0.0081039+0.0095419i,0.026133-0.031399i,-0.0067807-0.0045221i,0.0026591-0.0023567i,-0.0050372-0.0065185i,0.0019825-0.032381i,-0.023821+0.03057i,0.0074755-0.009438i,-0.011904-0.001529i,-0.0049248-0.0010843i,-0.00074262-0.013673i,-0.010119+0.004523i,0.0032083+0.0077369i,-0.010871+0.032391i,0.0053732+0.0076725i,-0.0059059-0.0015652i,-0.0019591-0.0022336i,-0.0099002-0.0080622i,0.00018316-0.0038059i,-0.043605+0.0063093i,0.0023401-0.012844i,-0.0088054-0.0025139i,-0.0062517-0.0025531i,0.0064853+0.0017787i,-0.0094889+0.0019098i,0.00092196+0.00065307i,0.0067678+0.0092773i,0.0038573+0.00083821i,-0.0089935-0.0095278i,0.0025651+0.0085515i,-0.020667+0.0071396i,0.0063136+0.0033914i,-0.029187-0.0082443i,-0.034633+0.0020535i,0.030999-0.073712i,0.012646-0.010923i,-0.042241-0.026458i,-0.023898-0.0037211i,0.017572+0.012433i,-0.027044+0.012165i,-0.011422-0.0084935i
-0.013794+0.018356i,0.012696+0.047217i,0.02692+0.047085i,-0.00033803+0.017495i,-0.0022795+0.0077001i,0.027053+0.0022892i,0.013095+0.017702i,0.010976+0.046322i,0.0059551+0.020529i,-0.0018616+0.0069669i,0.00094117+0.0014995i,0.0030152-0.0044051i,0.0026588-0.0026654i,0.0034758-0.00055347i,0.0032382-0.0023529i,0.0050679-0.00096155i,0.012639-0.0067634i,-0.00046731-0.00056736i,-0.0048946+0.00054186i,0.0002716+0.0026535i,-0.00040523-0.0010972i,-0.0050544-0.0017977i,-0.0025393+0.00068425i,0.0055092+0.012771i,0.0028111+0.0016206i,0.0022578+0.00067386i,0.0019002+0.0016615i,-0.001523+0.0031606i,-0.00038388+0.0007802i,-0.0010746+0.0013627i,0.0009496-0.0039773i,-0.00057142-0.0010836i,-0.00072037-0.0007545i,1.3149e-05+0.00058549i,-0.00084282-0.0017364i,-0.0068535+0.0099138i,0.002705-8.9083e-05i,0.0010387-6.9446e-05i,-0.0011419+0.0013983i,-0.001143-0.0023632i,-0.0022013+0.00065301i,-0.0033757-0.0026757i,0.0035385+0.0085311i,0.0026902+0.00083603i,-0.028893+0.027838i,-0.056004+0.025564i,-0.029687+0.047365i,-0.018863+0.031822i,-0.0044776+0.050002i,-0.0077894+0.032345i,0.0091789+0.011123i,-0.0059105-0.0070376i,-0.037256-0.007184i,-0.043659+0.016942i,0.0090172+0.020451i,-0.0017334+0.0031445i,-0.0052551+0.0021568i,-0.012149-0.0031339i,0.0093037+0.0018388i,0.012967+0.015327i,-0.0027628+0.0084739i,-0.0058237-0.011555i,0.004635-0.0027601i,-0.0048137-0.0045538i,0.0041089-0.0076083i,0.0051288-0.0026398i,-0.00072776+0.009815i,0.012601-0.0046222i,0.0076093-0.006589i,0.0055117-0.0065538i,0.0033692-0.00050985i,-0.0030962-0.0060524i,-0.0036729-0.0017551i,0.0031006-0.0012658i,-0.01203+0.040154i,-0.0055355-0.0048853i,0.0014736+0.00070898i,-0.00064897-0.0078503i,0.0031655-0.0010874i,-0.013992-0.0047772i,0.0012568-0.00054958i,0.0032601-0.0029499i,0.0020124-0.0017514i,0.00019066-0.0065916i,-0.001097+0.0061678i,-0.00063506+0.0030733i,-0.0029834+0.0064789i,-0.012082-0.0016445i,-0.0090123+0.0029514i,-0.039957+0.039333i,-0.0074868+0.016774i,-0.022051-0.010064i,-0.00038275-0.0010849i,0.0096747+0.019767i,-0.0010877+0.019435i,-0.0059519-0.00056041i
-0.011713+0.018298i,0.019427+0.042819i,0.035271+0.041328i,0.0036682+0.019502i,0.0016668+0.0079347i,0.027041-0.0035889i,0.014366+0.014343i,0.019224+0.041828i,0.0086998+0.01882i,6.5071e-05+0.0063945i,0.0015961+0.0014567i,0.0003152-0.0033399i,0.0014118-0.0024567i,0.0033092-0.00071125i,0.002483-0.0028604i,0.0042987-0.0010323i,0.0092211-0.0090497i,0.00015059-0.00020315i,-0.0045368+0.0012658i,0.00096752+0.0015595i,-0.00093169-0.0013521i,-0.005571-0.00041108i,-0.0022955+0.00082818i,0.013017+0.0088481i,0.0026739+0.0017594i,0.0026799-0.00037651i,0.002147+0.00068346i,-0.00016958+0.0034092i,-0.00048702+0.0013951i,-0.00065615+0.001592i,-0.00064483-0.0037291i,-0.00121-0.001138i,-0.0014361-0.00086014i,0.0002571+0.00019399i,-0.0013747-0.00025604i,-0.002994+0.010513i,0.0023367-0.0010029i,0.0010813-0.00017482i,-0.00047745+0.0018297i,-0.0012594-0.0014857i,-0.0018947+0.00091127i,-0.0044685+0.0037224i,0.0055333+0.0067247i,0.0022757+0.00050364i,-0.0213+0.032353i,-0.048067+0.03402i,-0.02325+0.051664i,-0.01184+0.033487i,0.0088428+0.04608i,0.0023013+0.028783i,0.0044915+0.004303i,-0.012566-0.010854i,-0.040736-0.0059608i,-0.034727+0.01793i,0.013739+0.01716i,-0.0022499+0.0033947i,-0.0041765+0.0061509i,-0.011861+0.0016514i,0.0081802-0.0015702i,0.015297+0.011718i,0.0016147+0.01215i,-0.011492-0.010259i,0.001455-0.0032395i,-0.0044551-0.0017284i,-0.00044676-0.0076731i,0.0032589-0.0045236i,0.0037983+0.007375i,0.0082947-0.008171i,0.0033432-0.0084188i,0.0019106-0.0051792i,0.0042937-0.0016126i,-0.0043408-0.0046356i,-0.0019046+0.00080268i,0.0032075-0.0018053i,0.0061824+0.035742i,-0.0069945-0.0039367i,0.0020928-0.00097619i,-0.0046601-0.0065397i,0.0035612-0.0017886i,-0.013243+0.0018693i,0.0015069-0.0004582i,0.0020578-0.0028117i,0.0018868-0.0027635i,-0.002011-0.0066533i,0.0011953+0.0029678i,0.00060371+0.002762i,0.0010276+0.0078721i,-0.011086+0.0028064i,-0.0088579+0.0044847i,-0.031857+0.040866i,-0.0044489+0.019146i,-0.025716-0.00012079i,-0.0013509-0.0053867i,0.012539+0.018636i,0.0025461+0.021343i,-0.0084771-0.00028845i
-0.010397+0.018782i,0.024779+0.037657i,0.043222+0.032532i,0.010677+0.018423i,0.0061472+0.006413i,0.025503-0.0096985i,0.014817+0.010912i,0.026499+0.035858i,0.012022+0.017392i,0.0014128+0.005817i,0.0019544+0.00088901i,-0.00019539-0.0012405i,0.00028484-0.0025753i,0.0032974-0.0012274i,0.0016762-0.0030186i,0.0035649-0.0011706i,0.0058597-0.010106i,0.00023927-0.00073254i,-0.003822+0.0022352i,0.00094187+0.00028726i,-0.0018739-0.0015862i,-0.0049942+0.0014955i,-0.0024534+0.0010847i,0.015247+0.00042447i,0.003531+0.00075077i,0.0020589-0.0015011i,0.001996-8.5994e-05i,0.001305+0.00303i,0.00041726+0.0016128i,-0.00029031+0.0019392i,-0.0022252-0.002816i,-0.0019368-0.00011533i,-0.0021293-0.0029353i,4.9765e-05-6.5018e-05i,-0.000704+0.00060222i,0.000171+0.0099149i,0.001721-0.0014657i,0.00099839-0.00073235i,0.00033396+0.0014317i,-0.0013814-0.0010177i,-0.0016208+0.0013138i,-0.0024356+0.0017755i,0.0065906+0.0054567i,0.0022883+0.00031688i,-0.012216+0.033751i,-0.039463+0.040809i,-0.015428+0.055384i,-0.0042592+0.032273i,0.020507+0.037634i,0.0060305+0.027484i,-0.0019516+0.0013541i,-0.019421-0.0099596i,-0.043588-0.00095713i,-0.028307+0.015877i,0.016577+0.011522i,-0.0023626+0.0039i,-0.0024256+0.0075263i,-0.01137+0.0052542i,0.005125-0.0056457i,0.017539+0.0074052i,0.0068924+0.012472i,-0.016078-0.006484i,0.00063367-0.0017885i,-0.0038137+0.00038939i,-0.0030444-0.0055506i,0.0011476-0.0045381i,0.005853+0.0060941i,0.0048098-0.0087019i,-0.0014925-0.0082439i,0.0012929-0.003523i,0.0039354-0.0041754i,-0.0076839-0.0026726i,-0.00018078+0.00056951i,0.0021146-0.0028294i,0.019946+0.028008i,-0.0091105-0.0017728i,0.0018823-0.0019237i,-0.0044672-0.003981i,0.0040125-0.0037626i,-0.0095643+0.0067645i,0.0025135-0.00077035i,0.00053191-0.0037437i,0.00083453-0.0026814i,-0.0045111-0.0044416i,0.00023688+0.0021323i,0.0019491+0.0019265i,0.0049314+0.0068915i,-0.0092225+0.0052908i,-0.0080058+0.0068891i,-0.025504+0.041012i,0.0029146+0.020125i,-0.024238+0.0044181i,-0.0038227-0.0091579i,0.016917+0.015449i,0.008587+0.022652i,-0.010198+0.0018201i
-0.0088569+0.019837i,0.028306+0.032629i,0.047495+0.021616i,0.016191+0.013042i,0.0094805+0.0024808i,0.022055-0.014698i,0.014537+0.0084578i,0.030966+0.028083i,0.015748+0.014399i,0.0023057+0.0052938i,0.0026416+2.6031e-05i,0.00045335-0.00023895i,-0.0012993-0.0014699i,0.002813-0.0016486i,0.00088189-0.0030786i,0.0031085-0.00079036i,0.0023333-0.010004i,0.00014027-0.00062604i,-0.00068515+0.0036789i,0.00012557-0.00034394i,-0.0026927-0.00060389i,-0.0040742+0.003158i,-0.0022632+0.0017538i,0.011685-0.0066428i,0.0032424-0.00053541i,0.0010694-0.0018164i,0.0015714-0.00063191i,0.0019261+0.0018484i,0.0010155+0.00098047i,0.0004508+0.0023139i,-0.0030608-0.001171i,-0.0017974+0.0007796i,0.0004085+0.00019047i,-9.9971e-05+9.504e-05i,-9.3182e-05+0.00077283i,0.0027651+0.0083197i,0.0012134-0.0019507i,0.00029278-0.0011347i,0.00034197+0.001394i,-0.0014734-0.00071029i,-0.00116+0.0016423i,-0.0017691+0.0019879i,0.0073214+0.0035071i,0.0023367+0.00013952i,-0.0039677+0.031058i,-0.029145+0.045587i,-0.006716+0.058479i,0.0005766+0.029931i,0.028324+0.025507i,0.016323+0.021411i,-0.0094134+0.0030397i,-0.026634-0.0061727i,-0.045603+0.006372i,-0.0249+0.01241i,0.017814+0.0048137i,-0.0021015+0.0052472i,7.371e-05+0.00971i,-0.0093252+0.0086106i,-0.00073139-0.0057164i,0.019364+0.0011339i,0.012218+0.01001i,-0.01888-0.001252i,0.00037026-0.0016138i,-0.0026153+0.0016397i,-0.003936-0.0020964i,-0.00022222-0.0042581i,0.0074177+0.0028233i,0.0018744-0.0088153i,-0.0051284-0.0033358i,0.0017485-0.0028019i,0.0019353-0.0059603i,-0.0066391+0.00020134i,0.00082908+0.00049053i,0.0010937-0.003117i,0.027717+0.014368i,-0.0090792+0.0030369i,0.0015395-0.0030421i,-0.0043219-0.0019885i,0.0024698-0.006275i,-0.0050093+0.0079706i,0.0030494-0.0022091i,-0.00092197-0.0023468i,0.00026753-0.0028099i,-0.0042745-0.0013509i,-0.00022411+0.002695i,0.0020613+0.00045143i,0.0075988+0.0042885i,-0.0072391+0.0066365i,-0.006688+0.009006i,-0.020043+0.042633i,0.013358+0.015223i,-0.021401+0.0079194i,-0.0099653-0.011088i,0.018788+0.010714i,0.015528+0.020534i,-0.009161+0.0031421i
-0.0064697+0.021112i,0.031802+0.028436i,0.048622+0.011328i,0.018652+0.0063043i,0.01013-0.0025487i,0.018387-0.018406i,0.014391+0.0070723i,0.033363+0.020969i,0.018782+0.010014i,0.0032069+0.0041775i,0.0019232+6.9957e-05i,0.0015343-0.00029622i,-0.0015019+0.00064318i,0.0022634-0.0020981i,0.00019788-0.0025612i,0.0033391-0.0003189i,-9.1855e-05-0.0085729i,-0.00014591-0.00068957i,-0.00085804+0.0043889i,-0.00062094-0.00022532i,-0.0028599+0.00040716i,-0.0023874+0.0040989i,-0.0015781+0.0023358i,0.0057838-0.011161i,0.0025952-0.001359i,0.0004389-0.0018694i,0.0010768-0.0010504i,0.002009+0.00079156i,0.00086905+0.00043657i,0.0016028+0.0021407i,-0.0027379+0.00026527i,-0.0012627+0.0013637i,-0.00045265+0.00081447i,0.00030732+0.00060012i,0.00056616+0.00070839i,0.0044805+0.0067296i,0.00032702-0.0021755i,-0.00028486-0.00080522i,0.0010541+0.0015283i,-0.0012865-0.00040232i,-0.0008147+0.0015077i,-0.00099483+0.0028079i,0.0079334+0.00032972i,0.0020817-0.00045742i,0.00041687+0.027597i,-0.018158+0.047104i,0.0051023+0.059193i,0.0052005+0.028413i,0.030549+0.013091i,0.019222+0.013494i,-0.012841+0.010157i,-0.031219+0.0030117i,-0.04628+0.016151i,-0.025573+0.0099133i,0.01475-0.00095333i,-0.00048997+0.0063144i,0.0047293+0.0092206i,-0.0068941+0.011804i,-0.0032605-0.0022913i,0.017495-0.0072239i,0.016095+0.0049961i,-0.020032+0.0051311i,0.00032359-0.00055366i,-0.0012767+0.0024038i,-0.0024372-0.00019644i,-0.0022498-0.0029618i,0.0069675+0.00022078i,-0.00079456-0.0086273i,-0.0041279+0.0010423i,0.0024854-0.0034626i,-0.00058726-0.0065413i,-0.0039278+0.0020858i,0.0021245-0.00026312i,0.00036826-0.0024728i,0.029555+0.0003785i,-0.0055693+0.0060433i,0.000317-0.004076i,-0.003431-0.0014269i,-0.00016038-0.0072787i,-0.0017856+0.0072699i,0.002029-0.0035753i,-0.00097345-0.00072626i,0.00022516-0.0022467i,-0.0021405-0.00051186i,0.0011717+0.0033402i,0.00094987-0.0006158i,0.0092272-0.0010532i,-0.0055988+0.0068184i,-0.0044576+0.011203i,-0.013564+0.043737i,0.018141+0.0025544i,-0.017076+0.0092406i,-0.016405-0.00975i,0.01976+0.0055884i,0.021053+0.014145i,-0.0094791+0.0029841i
-0.0037326+0.021504i,0.035485+0.023501i,0.048689+0.0017971i,0.01916-0.0005875i,0.0095469-0.0065742i,0.014134-0.021534i,0.015517+0.0060084i,0.03432+0.014269i,0.020679+0.004368i,0.0036185+0.0038527i,0.0022061-2.8341e-05i,0.0022232-0.00070784i,3.2193e-05+0.0021433i,0.0018391-0.0021285i,-6.7118e-05-0.0022196i,0.0039497-0.00011728i,-0.001351-0.0075523i,0.00019276-0.00080785i,-0.00017432+0.0040296i,-0.00092068+0.00020961i,-0.0022754+0.0012225i,-0.00034002+0.0039094i,-0.00084408+0.0024518i,-0.0022606-0.011571i,0.0021176-0.001917i,-0.00037831-0.0018204i,0.00054351-0.0012236i,0.0017297+0.00024947i,0.00073065+0.00023884i,0.0023349+0.0011461i,-0.0022044+0.0011541i,-0.00059392+0.0019131i,-0.00019728+0.0011588i,0.00085592+2.2898e-05i,0.00070072-7.6143e-06i,0.005403+0.0049394i,-0.00056628-0.0019796i,-0.00038905-0.00036865i,0.0013396+0.00068413i,-0.0011497-0.00030651i,-0.00073082+0.0016457i,-2.2019e-05+0.0012665i,0.0053928-0.0020409i,0.0015835-0.00039369i,0.0039943+0.024045i,-0.0081969+0.045551i,0.016881+0.055341i,0.0099948+0.026303i,0.029334+0.001831i,0.019299+0.0070886i,-0.010854+0.017934i,-0.030125+0.014981i,-0.041657+0.02882i,-0.027942+0.011164i,0.011124-0.0034469i,0.0016459+0.0061908i,0.0074362+0.0067298i,-0.0021077+0.015086i,-0.0034427-8.1217e-07i,0.011378-0.014287i,0.016555-0.0021427i,-0.01783+0.010857i,0.0013516-0.00036364i,0.00031752+0.0020556i,-0.0010479+6.7122e-05i,-0.0023322-0.00036288i,0.0055471-0.0012647i,-0.0022269-0.0072619i,-0.0013256+0.003253i,0.0018428-0.0048456i,-0.0029764-0.0056431i,-0.0024717+0.0023846i,0.0021757-0.0018702i,0.00063887-0.0019922i,0.024927-0.013052i,-0.0019849+0.0062778i,-0.0013821-0.0039178i,-0.0033637-0.00099523i,-0.003175-0.0066562i,0.00032919+0.0061662i,0.0064708-0.0058387i,0.00026952-2.2201e-05i,0.00050578-0.003322i,-0.0010124-0.0012281i,0.0034767+0.0053371i,-0.00032387-0.0001799i,0.0043544-0.0019099i,-0.0047574+0.0067774i,-0.00066509+0.012384i,-0.0065324+0.043952i,0.014423-0.008792i,-0.0139+0.0064189i,-0.022159-0.0043735i,0.018256-0.00097498i,0.022329+0.0072942i,-0.010234+0.0042743i
-0.00073018+0.021757i,0.038179+0.017631i,0.046627-0.0085097i,0.016601-0.0083396i,0.0080272-0.010851i,0.0092893-0.023557i,0.017432+0.0039471i,0.034396+0.0080917i,0.020043-0.001277i,0.0041812+0.0037918i,0.0021121-0.00063191i,0.0026423-0.0020993i,0.001702+0.0021085i,0.0013434-0.0021124i,-0.00027565-0.0019665i,0.0047316-0.00069877i,-0.0027383-0.0068957i,-0.00038637-0.0012326i,0.00089386+0.0034457i,-0.0012181+0.00080495i,-0.0019792+0.0014322i,0.00099321+0.0026893i,-0.00040316+0.0023858i,-0.010186-0.0046649i,0.00098178-0.0033601i,-0.0011179-0.0012522i,-0.0001343-0.0012727i,0.0014-5.2059e-05i,0.00084525-1.4402e-06i,0.0023934+1.8728e-05i,-0.0012726+0.0017635i,0.00010263+0.0020813i,0.00039152+0.0014846i,0.0010893-0.0003151i,0.00011926-0.00036493i,0.0054493+0.0034061i,-0.0015436-0.001333i,-0.00038332-0.00016737i,0.0011438+0.00022219i,-0.000857-0.00038346i,-0.00025897+0.0019294i,-0.0001062+0.0018131i,0.0019296-0.0010321i,0.0012901-0.00026569i,0.0062564+0.020982i,3.5319e-05+0.042499i,0.025945+0.048591i,0.014745+0.02347i,0.024579-0.0072746i,0.017806+0.0026691i,-0.0051155+0.022798i,-0.021694+0.024473i,-0.030153+0.038399i,-0.029318+0.015673i,0.0080866-0.0042523i,0.0033314+0.005099i,0.0084995+0.0034797i,0.0031446+0.014037i,-0.0039506+0.0017268i,0.0011984-0.016579i,0.013343-0.0077177i,-0.013958+0.01469i,0.001891-0.0015781i,0.00068493+0.0013445i,-0.00069114-0.0006073i,-0.00069279+0.0009807i,0.0044998-0.0013885i,-0.0029086-0.0063079i,0.0014476+0.0033492i,0.00017756-0.0060647i,-0.0047156-0.0038585i,-0.0012476+0.0027662i,0.001128-0.0031585i,0.00082523-0.0026882i,0.015623-0.020266i,0.00064496+0.0056804i,-0.0025848-0.0032197i,-0.0027136-0.0006989i,-0.0052172-0.005481i,0.0014753+0.005023i,0.0024351-0.0069337i,0.0011551-0.0004475i,-0.0012528-0.0035713i,-0.0012458-0.002109i,0.0049035+0.0044705i,-0.0008125+0.00087841i,0.0040352-0.0020208i,-0.0043067+0.0077868i,0.003152+0.011163i,0.00058782+0.043273i,0.0065413-0.016597i,-0.015908+0.0028362i,-0.023877+0.0033796i,0.012536-0.0056313i,0.022398+0.0016193i,-0.0085106+0.0053394i
0.0024464+0.021181i,0.040345+0.011901i,0.041916-0.016803i,0.01044-0.01346i,0.004561-0.014449i,0.0046174-0.024207i,0.019383+0.00060621i,0.033477+0.0022785i,0.018167-0.0065258i,0.0055084+0.0036438i,0.001857-0.00065556i,0.0013145-0.0035083i,0.0030656+0.0013806i,0.00096529-0.0021504i,-0.00022252-0.0019799i,0.0051795-0.0015381i,-0.0046492-0.0052886i,-0.00092505-0.00091979i,0.0016774+0.002442i,-0.00093087+0.0018467i,-0.0015872+0.0020188i,0.00089194+0.0012924i,6.0152e-05+0.0024388i,-0.0047353+0.0054183i,-0.0013006-0.0030758i,-0.0014126-0.00047395i,-0.00069267-0.0010389i,0.0013536-0.00033222i,0.00047998-0.00048936i,0.0019209-0.00085245i,-0.00024595+0.0018424i,0.00086492+0.0017669i,0.0012156+0.00085186i,0.00036798+0.0016143i,-6.9417e-05+0.00013903i,0.0053546+0.0020692i,-0.0020381-0.0005663i,-0.00040511+0.00016834i,0.0010067+0.0001654i,-0.00060655-0.00077398i,0.00053432+0.0020774i,0.00056666+0.0017964i,0.0024853+0.0041502i,0.0010886+5.1689e-05i,0.0081107+0.017832i,0.0068712+0.038037i,0.032325+0.041201i,0.01951+0.019384i,0.018507-0.012765i,0.015843-0.00025033i,0.0016774+0.024846i,-0.01135+0.02748i,-0.016343+0.042563i,-0.02745+0.021428i,0.0063672-0.0043245i,0.0045833+0.0034769i,0.008042+0.00073168i,0.0073331+0.011646i,-0.0031342+0.0042872i,-0.0078795-0.012513i,0.0085537-0.010928i,-0.0098293+0.017145i,0.00097779-0.00296i,0.00088342+0.00095909i,-0.00092387-0.00053392i,0.0011406+0.0011541i,0.0041138-0.0018696i,-0.0045353-0.004697i,0.0034469+0.0018707i,-0.0026834-0.0064019i,-0.0050948-0.0014352i,0.00022039+0.0020036i,0.0002593-0.0036362i,0.00026136-0.0039712i,0.0060592-0.022292i,0.0027472+0.0045467i,-0.0032073-0.0023297i,-0.0034633-0.000823i,-0.0065243-0.0032371i,0.0019748+0.0039912i,-0.00067678-0.0085801i,0.0019029-0.0011294i,-0.0020176-0.0021699i,-0.0016056-0.0024942i,0.005861+0.0027621i,-0.0005067+0.0019345i,0.0029547-0.0029032i,-0.0033199+0.0091663i,0.0054256+0.0088004i,0.0084554+0.041547i,-0.0042537-0.02016i,-0.020071+0.0025649i,-0.021167+0.010756i,0.007221-0.0055456i,0.019912-0.005309i,-0.0066038+0.0040193i
0.0052884+0.019744i,0.041957+0.0050052i,0.036613-0.022859i,0.0045414-0.014312i,0.00037795-0.016425i,0.00074849-0.024421i,0.020538-0.0042797i,0.032309-0.0028127i,0.014947-0.010487i,0.0068432+0.0019378i,0.0023098-0.00078396i,-0.00029005-0.003394i,0.0035731-0.0004234i,0.00062818-0.0021526i,-0.00045497-0.0021831i,0.0055964-0.0024097i,-0.0052508-0.0028079i,-0.00089074-0.00095313i,0.0017472+0.0013758i,2.4396e-05+0.0021881i,-0.0012277+0.002788i,0.00037617+0.00039434i,0.00062398+0.0022823i,0.0010997+0.0031644i,-0.0024177-0.0015376i,-0.0013431+0.00018869i,-0.00093587-0.0005963i,0.0011869-0.00084996i,-3.8757e-05-0.00027127i,0.0011316-0.0014062i,0.00063614+0.0015118i,0.0013518+0.0013438i,0.0013526+0.00056266i,0.00059697+0.00044196i,0.00048709+0.00047002i,0.0051669+0.00077345i,-0.0022353+0.00060713i,-0.00016889+0.00034781i,0.00099016-0.00018192i,-0.00053854-0.0010691i,0.0012857+0.0016662i,0.00075048+0.001415i,0.009167+0.0039711i,0.00099017+0.0003129i,0.0090977+0.0151i,0.011226+0.0327i,0.037199+0.033752i,0.022847+0.013575i,0.01247-0.015632i,0.014325-0.00058033i,0.0090243+0.024821i,-0.002041+0.028371i,-0.0031187+0.04119i,-0.023454+0.027074i,0.0051336-0.0050244i,0.0054227+0.001243i,0.007567-0.0013402i,0.010385+0.0073021i,-0.0007104+0.005243i,-0.012295-0.0058294i,0.0034431-0.012025i,-0.0047914+0.018436i,-0.00058312-0.0027602i,0.00042828+0.0008977i,-0.001208-1.2368e-05i,0.0022264+0.00011644i,0.0037299-0.0015859i,-0.0050995-0.0025297i,0.0037563+0.00022981i,-0.0051765-0.0046214i,-0.0041065+0.00079491i,0.00033453+0.00074448i,-0.00062141-0.004265i,-0.0012485-0.0043438i,-0.0021122-0.020757i,0.0044097+0.0021451i,-0.003937-0.0014301i,-0.0040279+0.00049773i,-0.0064889-0.00035738i,0.0026392+0.0039051i,-0.0050815-0.0082319i,0.0023144-0.0026301i,-0.0018776-0.0018489i,-0.0024214-0.003029i,0.0065386+0.0014813i,0.0004163+0.0028337i,0.0017298-0.0023764i,-0.001302+0.0096449i,0.0064675+0.0063754i,0.016235+0.037691i,-0.015732-0.017973i,-0.023716+0.005i,-0.015936+0.014358i,0.0044861-0.00438i,0.013941-0.0095886i,-0.0077989+0.0030497i
0.0073579+0.018134i,0.042107-0.0023144i,0.031438-0.028186i,0.00053446-0.013531i,-0.0038947-0.01708i,-0.0035378-0.02453i,0.019881-0.010306i,0.03069-0.0081514i,0.011143-0.013032i,0.0073576+0.00035717i,0.0025902-0.0017428i,-0.0014321-0.0025274i,0.0030161-0.0019303i,0.00031583-0.0019835i,-0.0011341-0.0023902i,0.0058476-0.0037323i,-0.0050048-0.00089935i,-0.0012838-0.0011827i,0.0015823+0.00073704i,0.00089709+0.0020665i,0.00041046+0.0017604i,-0.00043785+0.00031142i,0.00099847+0.0019893i,0.00026244+0.00026136i,-0.0021717-8.3975e-05i,-0.0011506+0.00076242i,-0.00095496-0.00017226i,0.0008716-0.0012184i,-6.9557e-05-6.024e-05i,7.4673e-05-0.0015401i,0.0012608+0.00087514i,0.0017443+0.00085464i,0.0016768+0.00021242i,0.00078711-0.00030612i,0.001111+0.00011997i,0.004662-0.00031651i,-0.0017051+0.0017556i,0.00010007+0.00038752i,0.00035411-0.00043583i,-0.00045097-0.0015305i,0.0017339+0.0011601i,0.00091747+0.0013294i,0.011172-0.0042657i,0.0012206+0.0010056i,0.0096429+0.012751i,0.013548+0.028756i,0.0406+0.026051i,0.023837+0.0085301i,0.0062447-0.017438i,0.015911-1.5581e-05i,0.015872+0.021832i,0.0081199+0.026113i,0.0088743+0.035255i,-0.016024+0.031335i,0.0036842-0.0056022i,0.0046026-0.0017983i,0.0067477-0.0037096i,0.010657+0.0022313i,0.00066749+0.0046028i,-0.01327+0.0018605i,-0.0018121-0.010953i,-0.00023648+0.016823i,-0.0014567-0.0029726i,0.00028212+0.0013818i,-0.0012217+0.00054498i,0.002941-0.001299i,0.0043775-0.00082948i,-0.0042431-0.00097089i,0.0038855-0.00044725i,-0.0061638-0.0021077i,-0.0012571+0.00088737i,-7.1896e-06+0.00039321i,-0.0030419-0.0045841i,-0.0026319-0.0038013i,-0.009256-0.017263i,0.0044374-0.00064736i,-0.0042232+0.00016042i,-0.002999+0.0016183i,-0.0055591+0.0017894i,0.0041118+0.0036309i,-0.0078287-0.0051798i,0.0010801-0.0044353i,-0.002445-0.0015928i,-0.0045029-0.002338i,0.0071582-0.00093688i,0.0023673+0.0031963i,0.0022744-0.0019217i,0.00092068+0.010114i,0.0067381+0.0037655i,0.0231+0.031763i,-0.022373-0.0094725i,-0.026301+0.0099148i,-0.010552+0.015974i,0.0021541-0.0025512i,0.007957-0.010135i,-0.0084799+0.0034228i
