-0.031514-0.040998i,-0.021841-0.018825i,-0.012565-0.035743i,-0.029858-0.020232i,-0.022156-0.00016279i,-0.013508-0.0059079i,-0.055421-0.058458i,-0.047132-0.017399i,-0.037662-0.013809i,0.0095799+0.012366i,-0.0077374+0.0056158i,-0.019998+0.019006i,0.0025292+0.011591i,-0.0063243-0.0033039i,0.00020988+0.0012391i,-0.0019389+0.030321i,0.027249+0.027612i,0.0024266-0.0013118i,-0.0018553-0.0065181i,0.0079641+0.0026875i,0.0031188+0.0010264i,0.00025722+0.003919i,-0.00027812+0.00020018i,-0.037569-0.011675i,-0.0002613-0.0074648i,0.0014882+0.002371i,0.0059348+0.0019825i,0.0019298+0.00044387i,0.0010807-0.00054428i,-0.00041263-0.002447i,0.0014093-0.0025942i,-0.0024789-0.0055257i,-0.00025668-0.0047342i,0.003015-0.00083476i,0.0045765-0.0026481i,0.002095+0.030299i,0.0039069-0.00341i,0.0029761-0.0016123i,0.0083074-0.0010673i,-0.0050433-0.0020252i,-0.00014605+0.0010979i,0.0091945+0.00039255i,0.0043681-0.0020236i,-0.0017647+0.008227i,-0.018386-0.0081191i,-0.019194+0.015793i,-0.0019621-0.060781i,-0.0046329-0.027201i,-0.026303-0.032599i,-0.010766-0.026759i,0.055406-0.020142i,0.016781-0.042705i,0.022976-0.048672i,0.0056956-0.055258i,0.026652-0.020542i,0.0084397+0.0060787i,0.02547-0.034331i,-0.0080265-0.0062941i,0.0036694-0.0050466i,-0.0049459-0.0068756i,-0.0013526-0.033327i,-0.018654+0.029844i,0.0085544-0.011606i,-0.0089865-0.0038379i,-0.0042313-0.0011854i,0.0011052-0.012747i,-0.011133+0.0046458i,0.002695+0.010053i,-0.0059575+0.026883i,0.0050982+0.002438i,-0.005323-0.0020594i,-0.0019411-0.0020414i,-0.012238-0.0071841i,-0.00048032-0.0043302i,-0.036472+0.0012211i,0.0011043-0.010911i,-0.0082415-8.681e-05i,-0.0066202-0.0023172i,0.0053375+0.001262i,-0.0085533-0.0004681i,0.0018615+8.1026e-06i,0.0040104+0.0069745i,0.004588+0.00039064i,-0.0084179-0.012928i,0.0028179+0.0093001i,-0.015498+0.0050794i,0.0066009+0.00038736i,-0.022628-0.00054933i,-0.018269+0.0052053i,-0.0069334-0.066052i,0.0090966-0.012788i,-0.049055-0.023303i,-0.020898+0.00027129i,0.017543+0.011804i,-0.023468+0.014543i,-0.018832-0.0056647i
0.028275+0.029556i,0.014312+0.016006i,0.016921+0.024907i,0.0061437+0.01937i,0.0082668+0.0072039i,0.004497-0.00088999i,0.015017+0.011369i,0.015984-0.0023755i,0.0078088-0.007731i,0.00099384+0.0050765i,0.002207-0.0025975i,0.00038899-0.0051851i,-0.0017637+0.00074705i,0.0013224-0.0014493i,0.0018879-0.00064804i,0.0051235-0.0029025i,0.0051131-0.0067045i,0.0005962+0.00038953i,-0.0033496+0.00036032i,-8.3836e-05+0.00069934i,-0.00090549-0.0010958i,-0.0025733-0.0010464i,-0.0015769+0.00078397i,0.0065748+0.0097263i,-0.00015328+0.0020639i,0.00097979+0.0014713i,0.0011192+0.0010738i,-0.0018861+0.0026928i,-0.0010159+0.00022437i,-0.0010932+0.00062915i,-0.00056235-0.0010759i,-0.0015036-0.00095598i,-8.9038e-05+0.00031091i,0.00054697+0.00064988i,0.00022882-0.00089943i,-0.0088504+0.01026i,0.0015564+0.00022443i,0.00070701+0.00079441i,0.00095404+0.0024102i,0.00095731-0.0014013i,-0.00014502-0.0005067i,-0.00083554-3.0181e-05i,-0.00012309+0.0011038i,2.2103e-05+0.00070577i,0.020621+0.012148i,-0.024094+0.012457i,-0.012196+0.016077i,-0.023243+0.011095i,-0.0042355+0.038204i,-0.02065+0.01759i,0.0017282-0.0056651i,-0.012114-0.018545i,-0.01915-0.00082939i,-0.0065906+0.014881i,0.017321+0.022199i,-0.00033477+0.0023408i,-0.0038996+0.00061546i,-0.01262-0.0046785i,0.011442+0.0013242i,0.011069+0.010045i,-0.0011644+0.0059448i,-0.0055259-0.0077018i,0.0064886-0.0025081i,-0.0030761-0.0044084i,0.0037309-0.0083525i,0.009009-0.0025742i,-0.0014958+0.010618i,0.012891-0.0056199i,0.0034261-0.0074196i,0.0035258-0.0081288i,0.0024077+0.00059378i,-0.0022754-0.005876i,-0.0034996-0.0014113i,0.0026671-0.00034275i,-0.0092185+0.036526i,-0.0070949-0.0058439i,0.00044623+0.0012202i,-0.0012076-0.0070376i,0.0032674-0.00017276i,-0.017809-0.0062891i,-0.0017434-0.0028611i,0.0030791-0.0022235i,0.0036107-0.0014398i,-0.0033365-0.0072675i,-0.00024526+0.0076395i,3.0681e-05+0.0033067i,-0.0036368+0.0044357i,-0.0071949+0.0011967i,-0.0060352-0.0008699i,-0.0076187+0.027043i,-0.0023566+0.0147i,-0.026914-0.010375i,-0.0019245-0.0028585i,0.013608+0.017733i,-0.0007046+0.019015i,-0.00080087-0.0044268i
0.032141+0.023612i,0.017116+0.011972i,0.021116+0.021967i,0.0095661+0.018992i,0.010293+0.005952i,0.0046437-0.0023101i,0.014884+0.0078643i,0.015277-0.0051222i,0.0059265-0.0094476i,0.0025248+0.0042052i,0.0018886-0.0027157i,-0.0015119-0.0033891i,-0.0012593+0.0014138i,0.00096637-0.00043462i,0.001717-0.00095956i,0.0037716-0.0029898i,0.0029477-0.0070824i,0.0010423+0.00022826i,-0.0031052+0.00066594i,0.00029544+0.00019601i,-0.0010138-0.0012175i,-0.0026268-0.00054226i,-0.0012483+0.00092235i,0.011575+0.0059919i,0.00012512+0.0027435i,0.0017305+0.00089738i,0.0010553+0.00026195i,-0.00062624+0.0029517i,-0.0014325+0.00065551i,-0.00084967+0.0011333i,-0.0010541-0.00063738i,-0.0020211-0.00080456i,-0.00020316+0.00017137i,0.00065873+0.0003993i,-0.00064131-6.6032e-05i,-0.0050274+0.01195i,0.0012193-0.00044547i,0.00091949+0.00066118i,0.0014377+0.0016196i,0.00036936-0.0013237i,-0.00026032-0.0007468i,-0.0010058+0.00026828i,-0.00017508+0.0013271i,-0.00024888+0.001117i,0.023362+0.0086131i,-0.019493+0.015694i,-0.011152+0.018921i,-0.018257+0.013064i,0.0076138+0.034374i,-0.01306+0.017894i,-0.0053751-0.0085837i,-0.02042-0.019178i,-0.022118-0.00063333i,9.6423e-06+0.0099013i,0.02175+0.015036i,-0.00088511+0.0022079i,-0.0027892+0.0045032i,-0.012665-0.00023343i,0.0099321-0.0030271i,0.013012+0.0073076i,0.0023611+0.0088836i,-0.0099188-0.0055641i,0.0025432-0.0043563i,-0.0034998-0.002281i,-0.0014994-0.00796i,0.0072507-0.0053255i,0.0034663+0.0086093i,0.0080453-0.00881i,-0.0012429-0.0071838i,-0.00049522-0.0055804i,0.0037057-0.0001235i,-0.0038304-0.0052246i,-0.0018749+0.0010157i,0.00327-0.00077157i,0.0097483+0.034838i,-0.0088977-0.0036512i,0.0013233+0.00031064i,-0.0041673-0.0055816i,0.0039985-0.0017749i,-0.018334+0.0022315i,-0.0020428-0.0020833i,0.001684-0.0023014i,0.0035609-0.003038i,-0.0051859-0.0053333i,0.0021417+0.003828i,0.0013773+0.0026063i,-0.00081448+0.0059685i,-0.0054474+0.0038928i,-0.0067007+0.00013175i,-0.0015054+0.023614i,0.00016732+0.016076i,-0.028938-0.0040177i,-0.0036271-0.0062977i,0.016111+0.015487i,0.0029462+0.020018i,-0.0032096-0.004737i
0.034531+0.017167i,0.018233+0.0069207i,0.025741+0.016708i,0.014233+0.016397i,0.012544+0.0039804i,0.0043427-0.0039987i,0.014077+0.004502i,0.01406-0.0081447i,0.0039889-0.010112i,0.0030732+0.0031633i,0.0013291-0.0035958i,-0.0016383-0.0014246i,-0.00065571+0.0014267i,0.00171-0.00034828i,0.0014471-0.0012244i,0.0027297-0.0031073i,0.0011027-0.007203i,0.0010235-0.00026894i,-0.0028842+0.0015431i,8.3438e-05-0.00052485i,-0.0018151-0.0015906i,-0.0024591-3.0486e-05i,-0.0010241+0.0010403i,0.012422-0.00029244i,0.0012476+0.002923i,0.0017383-5.6631e-05i,0.00054603-0.000118i,0.00055639+0.0025827i,-0.001131+0.0014885i,-0.00038961+0.0014672i,-0.0012912+2.6718e-05i,-0.0030187+0.0006458i,-0.00021199+0.00020947i,0.0006652+9.5069e-05i,-0.00049798+0.00077513i,-0.0010138+0.012356i,0.00081721-0.00054332i,0.0011148+0.000158i,0.0014118+0.0010135i,-0.00022899-0.001295i,-0.00066581-0.00097284i,-0.00089694+0.00043614i,-4.7979e-05+0.0018547i,0.00012103+0.0015393i,0.026316+0.0039207i,-0.014813+0.018113i,-0.0080705+0.0223i,-0.01248+0.01261i,0.01824+0.026882i,-0.0062895+0.017964i,-0.012603-0.0074138i,-0.027526-0.015967i,-0.024395+0.0032226i,0.0030116+0.0031292i,0.022434+0.0066339i,-0.0013574+0.0022418i,-0.0012441+0.0047097i,-0.012632+0.0029536i,0.0061928-0.0073787i,0.014116+0.0034319i,0.0065908+0.0085807i,-0.01252-0.0020653i,0.00068651-0.0029619i,-0.0035255-0.00048373i,-0.0040874-0.0051768i,0.0049839-0.0067113i,0.0061851+0.0075212i,0.0049504-0.0089168i,-0.0047656-0.0041774i,-0.00070633-0.0026919i,0.0042588-0.0024867i,-0.0063169-0.0033381i,0.00010536+0.00091699i,0.0027306-0.0020695i,0.023468+0.02417i,-0.010045+0.00018678i,0.001699-0.00053364i,-0.0037945-0.0037218i,0.0042474-0.0037129i,-0.013729+0.0093499i,-0.0017379-0.0011274i,0.00067769-0.0023243i,0.0019773-0.0037381i,-0.0065803-0.0027243i,0.0015294+0.0027501i,0.0020914+0.0014554i,0.002055+0.0057194i,-0.0035148+0.0044758i,-0.0071821+0.0017627i,0.0013381+0.019592i,0.0073211+0.01551i,-0.028397+0.00043286i,-0.0062988-0.0086281i,0.019088+0.010607i,0.0080593+0.020376i,-0.0051239-0.0040537i
0.035304+0.011164i,0.017156+0.0031081i,0.027544+0.0099024i,0.017392+0.011416i,0.014078+0.00082469i,0.003155-0.0054619i,0.012708+0.0023293i,0.011865-0.010726i,0.002347-0.010615i,0.003233+0.0025038i,8.2982e-05-0.0035611i,-0.00082725-0.00045534i,-0.00051624+0.0015368i,0.0017294-0.00046874i,0.0010336-0.0013984i,0.0017043-0.0027311i,-0.00076783-0.0064219i,0.00088235-0.0004744i,-0.0017234+0.0022523i,-0.00051304-0.00071643i,-0.0024655-0.00066076i,-0.0024094+0.0005141i,-0.00081558+0.0011777i,0.0099848-0.0050887i,0.0021888+0.0024428i,0.0012428-0.00055803i,0.00010731-5.3581e-05i,0.0010675+0.001957i,-0.00040881+0.0016205i,0.0001739+0.0015453i,-0.0011542+0.00074362i,-0.0023229+0.0022459i,-0.00012297+0.0002243i,0.00048839-0.00011253i,7.5764e-05+0.0011675i,0.0026867+0.011487i,0.00068849-0.000652i,0.00092889-0.00039369i,0.0013638+0.00086055i,-0.00074911-0.00084036i,-0.0012899-0.00077749i,-0.0010175+0.00057547i,0.00054139+0.0023236i,0.00062061+0.0016139i,0.027703-0.0025552i,-0.0094035+0.019703i,-0.003303+0.024697i,-0.010287+0.0097166i,0.02599+0.014977i,0.00014086+0.014086i,-0.019028-0.0022975i,-0.034192-0.0094713i,-0.024507+0.0085177i,0.0018456-0.0034292i,0.020592-0.00063866i,-0.0016523+0.0030839i,-0.00010347+0.0065186i,-0.011886+0.0069873i,-0.00014198-0.0075444i,0.014256-0.0014821i,0.010183+0.006134i,-0.013339+0.0024405i,-0.00035504-0.0023199i,-0.0026586+0.00094769i,-0.0049601-0.0015848i,0.0027907-0.0074673i,0.0088543+0.0038889i,0.0024199-0.0091028i,-0.0052974+0.00046238i,0.00040655-0.0015891i,0.0028348-0.004653i,-0.0067837+0.0001075i,0.0010616+0.00049972i,0.0018447-0.0026251i,0.029764+0.0096033i,-0.0087758+0.0047312i,0.0017397-0.0016688i,-0.0040178-0.0023599i,0.0026527-0.0062072i,-0.0074257+0.011571i,-0.0011875-0.00077271i,-2.9036e-05-0.0015596i,0.00057106-0.0037682i,-0.0060656+0.00050125i,0.0014688+0.0024248i,0.0017938+0.00029706i,0.0046247+0.004701i,-0.0017079+0.0038539i,-0.0074238+0.0034959i,0.0025326+0.017848i,0.015506+0.0087238i,-0.026216+0.0053368i,-0.011255-0.0095425i,0.018334+0.0053035i,0.013356+0.018357i,-0.0055265-0.0031907i
0.035812+0.00568i,0.016577+0.00080366i,0.02767+0.0041167i,0.018722+0.0061315i,0.014415-0.0026106i,0.0018335-0.0063121i,0.011786+0.0014249i,0.0093119-0.012525i,0.00080717-0.011074i,0.0035136+0.0017506i,-0.00090645-0.0028541i,-7.5933e-05-0.00046233i,-0.00032196+0.0019201i,0.0018187-0.00079349i,0.00065694-0.001334i,0.00145-0.0018121i,-0.0018037-0.0053832i,0.00051639-0.00053263i,-0.00074118+0.0020771i,-0.0010399-0.00051036i,-0.0025602-1.637e-05i,-0.0018912+0.0011678i,-0.00052485+0.001344i,0.006363-0.0077591i,0.00286+0.0016877i,0.00086333-0.00078845i,-0.0001097+5.2481e-05i,0.001381+0.00145i,-4.5109e-06+0.001615i,0.00084571+0.0013676i,-0.00060499+0.001216i,-0.0011802+0.0030281i,-0.00021943+0.00021695i,0.00034744+8.2896e-05i,0.00078766+0.001291i,0.0054179+0.0097731i,0.00033283-0.00070744i,0.00048465-0.00068418i,0.0016678+0.0006619i,-0.00080795-0.00029288i,-0.0016202-0.00044119i,-0.0010163+0.00086425i,0.0013571+0.0023532i,0.00064133+0.0013194i,0.026703-0.0094376i,-0.0034326+0.019528i,0.003009+0.025284i,-0.0097211+0.0094053i,0.02689+0.0017814i,0.0026161+0.0087717i,-0.021239+0.0061363i,-0.036862+0.0010976i,-0.02226+0.015331i,-0.0030433-0.0074111i,0.015856-0.0054746i,-0.0009909+0.0041198i,0.0036008+0.0064657i,-0.0093436+0.010602i,-0.0034335-0.0042785i,0.011914-0.0076832i,0.012775+0.0021093i,-0.012922+0.0069731i,-0.00075153-0.00068269i,-0.001599+0.0016342i,-0.0030668+0.00063155i,-0.00031396-0.0071386i,0.0089399+0.00037291i,-0.00039888-0.0086072i,-0.0030441+0.0034193i,0.0014407-0.0020037i,0.00057101-0.0055995i,-0.0049258+0.0027651i,0.0021088-0.00040845i,0.001208-0.0026842i,0.028475-0.0040221i,-0.0048305+0.0074014i,0.00097614-0.0026718i,-0.0036285-0.0019155i,-6.0263e-05-0.0070664i,-0.0028997+0.011185i,-0.00115-0.00059526i,6.8586e-05-0.00036329i,0.00024675-0.0031343i,-0.0037918+0.0022738i,0.0020623+0.0021695i,0.00091967-0.00018515i,0.0058657+0.0020559i,-0.001469+0.0022914i,-0.0064938+0.0058732i,0.0048519+0.017089i,0.017196-0.0039164i,-0.021804+0.0064502i,-0.016263-0.007827i,0.017249+0.0013017i,0.017595+0.012905i,-0.0064519-0.003266i
0.035826-1.3545e-05i,0.016535-0.0018322i,0.027576-0.0014698i,0.019052+0.00070763i,0.014244-0.0058649i,0.00033241-0.0068833i,0.012142+0.00061965i,0.00685-0.013771i,-0.00087013-0.01151i,0.0032781+0.00095578i,-0.0010793-0.0020142i,0.00031218-0.00067914i,0.00033583+0.0023569i,0.0016615-0.00097593i,0.00046561-0.0012949i,0.0020543-0.0011878i,-0.0025751-0.0050444i,0.00050552-0.0006145i,-0.00015033+0.0016914i,-0.0013273-0.00011573i,-0.0020926+0.00057659i,-0.0010939+0.0013352i,-0.00017951+0.0014051i,0.002204-0.0086191i,0.0035376+0.00073245i,0.00049714-0.00097348i,-0.00019207+8.8571e-05i,0.0015364+0.00094985i,0.00043281+0.0015963i,0.0012601+0.0007671i,3.9592e-05+0.0013265i,0.00019199+0.003314i,-0.00028325+0.0005002i,0.00050738+6.4283e-05i,0.0012418+0.00083934i,0.0071537+0.0076649i,4.0031e-05-0.0005864i,0.00014902-0.00062711i,0.0016105+0.00031049i,-0.00045715+5.2302e-05i,-0.0019357+0.00012155i,-0.00091791+0.0011192i,0.0021461+0.0020793i,0.00073165+0.0013111i,0.02399-0.015553i,0.0017823+0.017507i,0.009193+0.023184i,-0.008469+0.010126i,0.02369-0.0091535i,0.0022053+0.0049453i,-0.018429+0.014952i,-0.033848+0.0123i,-0.016499+0.02238i,-0.0085968-0.006586i,0.011384-0.0072751i,0.00028135+0.0044384i,0.0059498+0.0039868i,-0.0055279+0.01355i,-0.0045083-0.0014876i,0.0058875-0.012968i,0.012621-0.0035124i,-0.010611+0.010185i,0.0003584+0.00020871i,-0.00048095+0.0016879i,-0.001409+0.00079339i,-0.0021067-0.0052531i,0.007478-0.0021014i,-0.0022332-0.0067905i,-3.7973e-05+0.0041713i,0.0016504-0.0034265i,-0.0015842-0.005072i,-0.0031197+0.0035448i,0.0018817-0.0021521i,0.00096314-0.0027296i,0.021995-0.014617i,-0.0009478+0.0077293i,-9.9811e-05-0.002774i,-0.003965-0.0010298i,-0.0030379-0.0065096i,0.00057026+0.010218i,-0.00041575-0.00043372i,0.0013673-0.00020935i,-4.3211e-05-0.0038495i,-0.0012606+0.0024087i,0.0021456+0.0018458i,0.00026312+0.00025685i,0.0053588+0.00013515i,-0.0024516+0.0013056i,-0.0043568+0.0073705i,0.0076666+0.015605i,0.01115-0.01363i,-0.020102+0.0035442i,-0.020709-0.003149i,0.014156-0.003782i,0.018141+0.0072693i,-0.0071529-0.0023952i
0.034835-0.0057948i,0.015663-0.0047349i,0.025524-0.0081048i,0.017107-0.0054171i,0.013406-0.0094985i,-0.0013619-0.0069137i,0.013152-0.00080679i,0.0041144-0.014894i,-0.0027362-0.011533i,0.0028968+0.00095209i,-0.0013852-0.0016722i,0.00017695-0.0015887i,0.0011408+0.002336i,0.0014162-0.0013172i,0.00025527-0.001216i,0.0028675-0.0015734i,-0.0037394-0.0045408i,8.98e-05-0.00086374i,0.00029744+0.0012191i,-0.0015831+0.00037983i,-0.0020633+0.00079914i,-0.00039008+0.0010156i,0.00013048+0.001365i,-0.001818-0.0075809i,0.0036449-0.00099668i,-2.5712e-06-0.00093072i,-0.00055121+0.00023682i,0.0014836+0.0005609i,0.0010533+0.0013615i,0.0012761+0.00012062i,0.00072895+0.0011574i,0.0012998+0.003166i,-0.00023508+0.00078883i,0.00061715+2.5738e-06i,0.0012727+0.00021544i,0.0082769+0.005623i,-0.00013027-0.00044909i,-0.00015649-0.00055217i,0.0018727+0.00014326i,-7.2985e-05+4.6539e-05i,-0.0019404+0.00089635i,-0.00063924+0.0015394i,0.0028925+0.0013697i,0.00074414+0.0014262i,0.019852-0.020802i,0.0058514+0.014223i,0.013688+0.01944i,-0.0058387+0.011067i,0.01747-0.017253i,0.00083569+0.0033362i,-0.012193+0.020042i,-0.025623+0.019491i,-0.0070308+0.025792i,-0.011709-0.0025129i,0.0076806-0.007418i,0.0015025+0.0040681i,0.0060979+0.00084631i,-0.00067362+0.01437i,-0.0050258+0.00088151i,-0.0032733-0.013103i,0.0095406-0.0078029i,-0.007776+0.012295i,0.0018212-0.00084415i,0.00031701+0.0013155i,-0.0010708+0.00024979i,-0.0023392-0.0036674i,0.005728-0.002971i,-0.0030989-0.0057052i,0.0022703+0.0035393i,0.00033508-0.0054239i,-0.0031572-0.0038725i,-0.0010716+0.0042762i,0.00052498-0.0032093i,0.00038615-0.0033434i,0.012659-0.020149i,0.0021671+0.0063633i,-0.00074142-0.0025788i,-0.0032795-0.00072642i,-0.0050202-0.0049847i,0.0031301+0.0085074i,0.00031907-0.0014045i,0.0019603-0.0010809i,-0.0013811-0.0038422i,2.9653e-05+0.0012282i,0.0034728+0.0018431i,0.00014942+0.0012574i,0.0046774-0.0012168i,-0.003601+0.0014648i,-0.0022736+0.007465i,0.010424+0.014363i,0.0026964-0.019476i,-0.02339+0.0015092i,-0.021873+0.0033874i,0.0078235-0.0059145i,0.017959+0.0026504i,-0.0069695-0.0021703i
0.033066-0.011122i,0.014808-0.0067397i,0.021383-0.012661i,0.012551-0.0096304i,0.011289-0.01296i,-0.002739-0.0064361i,0.014258-0.003009i,0.0011361-0.015318i,-0.0044093-0.01137i,0.0034127+0.0010633i,-0.0016528-0.00082366i,-0.00081879-0.0018097i,0.0019392+0.0020747i,0.00097939-0.0014677i,0.00012863-0.0011443i,0.0031384-0.0021906i,-0.0052281-0.0031519i,-0.00025847-0.00065555i,0.00045749+0.00070779i,-0.001457+0.0011529i,-0.001787+0.0014972i,-0.00045225+0.00044411i,0.00043401+0.0013043i,-0.0043742-0.0048491i,0.0024769-0.0022687i,-0.00034213-0.00069936i,-0.00049951+0.00062084i,0.0014094+0.00030345i,0.0012885+0.00063645i,0.001073-0.00033683i,0.0012295+0.00070876i,0.002405+0.0024195i,0.00015525+0.0011473i,0.00062442-0.00012202i,0.00089441+0.00030709i,0.0087032+0.0033275i,-0.00023099-0.00031031i,-0.00039499-0.00030124i,0.0020604-0.00036923i,0.00031376-2.9149e-05i,-0.001533+0.0017081i,-0.0001284+0.0016981i,0.0031103+0.00025167i,0.00084452+0.0016701i,0.014413-0.024641i,0.008439+0.0099392i,0.01654+0.015267i,-0.0024155+0.010698i,0.010206-0.021506i,-0.00051399+0.0034674i,-0.0055418+0.022197i,-0.017202+0.021625i,0.0032106+0.024729i,-0.011604+0.0021847i,0.0058391-0.0070481i,0.0026615+0.0033034i,0.0049205-0.0010934i,0.0044983+0.012991i,-0.0043472+0.0037982i,-0.010132-0.0079133i,0.0055121-0.0095028i,-0.0045261+0.013846i,0.0011858-0.0027816i,0.00073316+0.00082601i,-0.0012057+0.00031908i,-0.0019755-0.0025794i,0.0046212-0.003795i,-0.0043435-0.0047276i,0.0035138+0.001563i,-0.0032219-0.0061477i,-0.0038948-0.0020959i,0.0013684+0.0031779i,-0.00038721-0.003557i,-0.00077044-0.0039078i,0.0034733-0.02075i,0.0038076+0.0042133i,-0.0013302-0.002519i,-0.0040067-0.0004383i,-0.0063035-0.0026643i,0.0044497+0.0068634i,-0.00030898-0.0026792i,0.0023098-0.0021678i,-0.0022099-0.0028906i,0.00055032+0.00018093i,0.0039185+0.00065634i,0.00089264+0.0018487i,0.003355-0.0021938i,-0.0043917+0.002591i,-0.00060705+0.006938i,0.014451+0.01255i,-0.0081808-0.021236i,-0.027604+0.0037024i,-0.019403+0.0094043i,0.0033384-0.0036074i,0.015643-0.0020524i,-0.007306-0.0032163i
0.03068-0.016336i,0.014266-0.009532i,0.01766-0.015313i,0.0081463-0.010776i,0.0083387-0.015723i,-0.003742-0.0057503i,0.015334-0.0064834i,-0.0017594-0.015161i,-0.0061735-0.011162i,0.0041211+0.00048708i,-0.0011743-0.00012871i,-0.0015869-0.0010305i,0.0025643+0.0012852i,0.0005526-0.0015361i,6.9673e-05-0.0011061i,0.0032667-0.0027484i,-0.005872-0.0011679i,-0.00020131-0.00072656i,0.00037361+0.00028073i,-0.00097314+0.0015666i,-0.0013284+0.0016771i,-0.00066524+0.00037937i,0.00078918+0.0011381i,-0.0053046-0.0013751i,0.0013116-0.0025968i,-0.00049608-0.00040196i,-0.00010851+0.00076795i,0.0014533-3.1429e-05i,0.00098353+0.00045904i,0.00080507-0.00065411i,0.0015523+0.00016487i,0.0027945+0.001513i,0.00076377+0.0011284i,0.00072925-0.00018616i,0.0010828+0.00071923i,0.0083246+0.0012159i,-0.00042082-4.3064e-05i,-0.00039584-7.9068e-06i,0.0018412-0.0010734i,0.00072215-0.00036248i,-0.0007183+0.0021486i,0.00038856+0.0015888i,0.0027604-0.00072277i,0.0010598+0.0019525i,0.0085212-0.026836i,0.008811+0.0054419i,0.018221+0.011286i,0.00015376+0.0089034i,0.0035775-0.023126i,-0.0004304+0.0055131i,0.0012674+0.022426i,-0.010057+0.021894i,0.011047+0.020042i,-0.0085711+0.006122i,0.0044849-0.0075082i,0.0036978+0.0017305i,0.0041611-0.0024775i,0.0086503+0.0092986i,-0.0018124+0.0050245i,-0.012287-0.0011905i,0.0017998-0.0097237i,-0.00079468+0.013912i,-0.00066329-0.0035634i,0.00026673+0.00041396i,-0.001145+0.00081595i,-0.0017436-0.0022726i,0.0032528-0.0034583i,-0.0050563-0.0029075i,0.003372-0.00015236i,-0.0062448-0.0036761i,-0.0034619-0.0005033i,0.0020899+0.0010579i,-0.0011596-0.0037136i,-0.0022889-0.0035414i,-0.0038817-0.018248i,0.0048706+0.0018391i,-0.0021232-0.0022047i,-0.0040097+0.001173i,-0.0060601-2.2557e-05i,0.0057721+0.0057062i,-0.0021265-0.0032383i,0.0019111-0.0036914i,-0.0026062-0.0023824i,0.00029383-0.0012604i,0.0042418+4.2499e-05i,0.0018534+0.0018012i,0.0020707-0.0017491i,-0.0047095+0.0039385i,0.00065939+0.0061596i,0.018827+0.0085384i,-0.018483-0.017588i,-0.030333+0.0075246i,-0.014516+0.012312i,0.0022475-0.0015547i,0.011686-0.0048267i,-0.0097856-0.0035069i
0.027145-0.021156i,0.012826-0.01275i,0.01433-0.017455i,0.0049857-0.010726i,0.0047673-0.017701i,-0.0046155-0.0050458i,0.015116-0.011689i,-0.0044459-0.014508i,-0.008255-0.010544i,0.004532-0.00045318i,-0.00054232-0.00017653i,-0.0017885+9.3688e-05i,0.0026641+0.00033598i,0.00023489-0.001286i,-5.4379e-05-0.0011755i,0.0030192-0.0036545i,-0.0057952+0.00079494i,-0.00036949-0.00091778i,0.00019203+0.00012961i,-0.00043387+0.0017471i,-0.0008954+0.0020391i,-0.00082989+0.00049549i,0.0010297+0.00076998i,-0.0042351+0.0016217i,0.00044555-0.0025182i,-0.00053674-8.3765e-05i,0.00014709+0.00068752i,0.0012306-0.00048896i,0.0010858+0.00041309i,0.00039164-0.0008937i,0.0016714-0.00051348i,0.0031364+0.00074047i,0.0012388+0.0008762i,0.00073656-0.00062252i,0.0018401+0.00060722i,0.0078287-0.00043295i,-0.00028687+0.00026991i,-0.00028007+0.00031323i,0.001113-0.0014207i,0.00098751-0.00081286i,6.8142e-05+0.0023702i,0.00084755+0.0014799i,0.0020627-0.0012077i,0.0015407+0.0024066i,0.0027499-0.027388i,0.0074126+0.0026379i,0.019143+0.0077445i,0.0016505+0.0079272i,-0.0027806-0.024016i,0.0025492+0.0078154i,0.0075193+0.020112i,-0.0029717+0.02007i,0.016465+0.013184i,-0.0033874+0.0078559i,0.0028991-0.008001i,0.0036511-0.00094315i,0.0031499-0.0041218i,0.0097118+0.0041214i,-0.00022854+0.0044876i,-0.01171+0.0056195i,-0.0018799-0.0086653i,0.0025171+0.011686i,-0.0026599-0.0027716i,-0.00026075+0.00093067i,-0.00074084+0.0013468i,-0.0014495-0.0023821i,0.0032478-0.002122i,-0.0044883-0.0014507i,0.0031392-0.00038884i,-0.0069009-0.00043708i,-0.0024562+0.00028004i,0.0016019-0.00032096i,-0.0030069-0.0038056i,-0.0033403-0.0023085i,-0.0095699-0.014688i,0.0046236-0.00078655i,-0.0027424-0.0014541i,-0.0026887+0.0022108i,-0.0048201+0.0016941i,0.007327+0.0043043i,-0.0038839-0.0020701i,0.00045895-0.0049652i,-0.0033646-0.001521i,-0.0010224-0.0018895i,0.0048927-0.0016864i,0.0027431+0.0015299i,0.0020264-0.0013449i,-0.0035072+0.0058431i,0.0011144+0.0050286i,0.02188+0.0024496i,-0.023871-0.0091317i,-0.032205+0.013269i,-0.010025+0.013219i,0.001232+0.00016866i,0.008117-0.0048406i,-0.011681-0.0021972i
