-0.023487-0.039134i,-0.0097747-0.050591i,-0.017954-0.046442i,-0.031414-0.035688i,-0.029972-0.017417i,-0.051482-0.029i,-0.061528-0.025407i,-0.046026-0.038973i,-0.030231-0.037852i,0.0077353+0.012704i,-0.0056736+0.015666i,-0.0049604+0.015269i,0.01035+0.022016i,-0.00012575+0.0053989i,0.0036447+0.0034422i,0.0075456+0.018581i,0.028347+0.040144i,-0.003222-0.0013096i,-0.004714-0.0063346i,0.00774+0.0015821i,-0.00030118-0.00098093i,-0.00089788+0.0016228i,0.00016142-0.00026869i,-0.031662-0.0015065i,-0.0019908-0.0058961i,0.0016298+0.0045639i,0.003958-0.00025528i,-0.00045148+0.00060541i,0.00062984-0.00062297i,-0.00083703-0.0028878i,-0.0019386-0.006294i,-0.004775-0.0047037i,-0.0023635-0.0054253i,0.002298-0.00066895i,0.0021963-0.0031772i,0.0026953+0.027168i,0.0015443-0.0033394i,0.0024972+0.00068312i,0.0061254+0.00088392i,-0.0116-0.0032689i,-0.0034153+0.00040057i,0.0063923+0.00067232i,0.0051265+2.1284e-05i,-0.0037973+0.0048683i,0.0027093-0.0093217i,-0.011366+0.016892i,0.034806-0.092209i,0.01208-0.071807i,-0.015942-0.060831i,-0.017568-0.056364i,0.03595-0.049653i,0.016047-0.064776i,0.034586-0.056813i,0.031439-0.060733i,0.01455-0.0135i,0.0042313+0.016972i,0.015329-0.026955i,-0.011048+0.006638i,-0.00049807+0.0058996i,-0.004899-0.00021501i,-0.0031637-0.027707i,-0.023902+0.031703i,0.010252-0.011305i,-0.012876-0.002719i,3.5551e-05-0.005199i,-0.0013717-0.01557i,-0.0075105+0.0047115i,0.0052517+0.0059439i,-0.0078874+0.030966i,0.0053461+0.0056129i,-0.0051014-0.00045023i,-0.0029645-0.00021848i,-0.012295-0.0072446i,-0.00033345-0.0043699i,-0.028529+0.0069476i,0.0002615-0.0097115i,-0.0092263-0.0015934i,-0.0069247-0.0024108i,0.0069133+0.0026363i,-0.0076399+0.001208i,-7.552e-05+5.4379e-05i,0.0063175+0.010562i,0.0040048+0.0017087i,-0.0098191-0.010183i,0.0033359+0.0080497i,-0.021751+0.0063223i,0.0085041+0.00028646i,-0.029744-0.0028354i,-0.042482+0.0036774i,0.019388-0.097575i,-0.0021501-0.012078i,-0.054623-0.021705i,-0.024586+0.0015856i,0.01839+0.010565i,-0.024797+0.013373i,-0.019321-0.01288i
0.0076827+0.021961i,0.013307+0.052934i,0.025097+0.036482i,0.01826+0.028367i,0.025857+0.028483i,0.034668-0.014981i,0.019168-0.0084141i,0.030883+0.0074112i,0.012178+0.014461i,0.0028901+0.0045664i,0.0050281+0.002892i,0.0043099+0.003512i,0.0062855+0.0029984i,0.0050278+0.0040058i,0.0032074-0.0035363i,0.0086652-0.0016575i,0.0089156-0.0052531i,-0.0018087-0.0013672i,-0.0033454+0.0011259i,5.0758e-05+0.0012877i,-0.0011067-0.00026145i,-0.0028856+0.0014601i,-0.0018882+0.0011329i,0.0049152+0.0076483i,0.0015942+0.0010649i,0.0023656+0.00060171i,0.0018415+0.0012984i,0.0011116+0.0015377i,0.00067065+0.00028013i,-0.00042186+0.0010048i,-0.0022537-0.003271i,-0.00084098-0.00055782i,-0.0012666+0.00084326i,-0.0011784+0.00019064i,-0.0008122-0.0022118i,-0.0065357+0.0081938i,0.0014675+0.00043983i,0.0014381-0.00051443i,-0.00055731+0.0024566i,-0.0003545-0.0036088i,-0.0013047+0.00048394i,-0.0023474-0.00041992i,0.0024217+0.0006929i,0.007274+0.0040611i,-0.01549+0.035549i,-0.080277+0.036102i,-0.051498+0.040873i,-0.036214+0.061871i,-0.018425+0.073514i,-0.006748+0.051732i,0.012806+0.040526i,0.0047213+0.0013041i,-0.037215+0.011416i,-0.046436+0.02102i,0.0012182+0.024077i,-0.0084406+0.0018789i,-0.010986-0.00059416i,-0.013609-0.001949i,0.0019105+0.00059088i,0.0064606+0.0098341i,-0.0019569+0.0082883i,-0.0069333-0.011724i,0.0048584-0.0069772i,-0.0066503-0.0069129i,0.0018303-0.0061191i,0.0034914-0.0043037i,-0.001634+0.010007i,0.0087324-0.0042863i,0.0050416-0.0061033i,0.0026803-0.0060305i,0.0029663-0.00021991i,-0.0011203-0.004472i,-0.0036786-0.00081961i,0.0027362-0.00017037i,-0.009128+0.023747i,-0.0041581-0.0038273i,0.0018056+0.00023948i,-3.5611e-05-0.0064659i,0.002646-0.001778i,-0.015706-0.0036446i,0.00052698+5.7225e-05i,0.0053773-0.0028865i,0.0032818-0.0010786i,0.0002394-0.0045084i,-3.9011e-05+0.0051204i,-0.0011186+0.0061591i,-0.0030343+0.0040916i,-0.012388+0.0024081i,-0.014999-0.00216i,-0.038371+0.05819i,0.0003198+0.0039411i,-0.024765-0.017522i,-0.0061817-0.0074103i,0.010041+0.020052i,-0.0022733+0.022328i,-0.00035293-0.0012005i
0.010385+0.018182i,0.021825+0.048333i,0.030734+0.031947i,0.02345+0.025863i,0.031898+0.024124i,0.031137-0.021094i,0.016374-0.012043i,0.031766+0.0016722i,0.014319+0.011651i,0.0042997+0.0032865i,0.0057114+0.0017014i,0.0043094+0.00332i,0.0063555+0.0017957i,0.0058478+0.0027009i,0.0020528-0.0041149i,0.0071248-0.003329i,0.0061585-0.006969i,-0.0013943-0.0010951i,-0.0028285+0.0012759i,0.00063757+0.0004807i,-0.0013828-0.00027733i,-0.0025113+0.0021762i,-0.0015197+0.0011998i,0.0084023+0.0047888i,0.0015317+0.0010946i,0.0027608-0.00043309i,0.0020435+0.00022404i,0.0015802+0.00094954i,0.00030734+0.00013238i,-0.00027293+0.0010317i,-0.0033063-0.0018815i,-0.0013125-0.00057608i,-0.00096909+0.0011892i,-0.00092597+0.00062693i,-0.0016714-0.00079302i,-0.0036039+0.0092951i,0.0012232-0.00014842i,0.0010541-0.00086807i,0.00050574+0.0020043i,-0.0014882-0.0029863i,-0.0011476+0.00050701i,-0.0025592+0.00023036i,0.0020866+0.00059425i,0.007554+0.0029079i,-0.0086435+0.037363i,-0.069029+0.050112i,-0.04672+0.049655i,-0.02596+0.065494i,-0.0022634+0.070944i,0.0040706+0.049514i,0.014287+0.034116i,-3.5179e-05-0.00333i,-0.037731+0.013836i,-0.037604+0.022905i,0.0068239+0.021899i,-0.0090268+0.0046492i,-0.010217+0.0051488i,-0.013242+0.0021208i,0.00093698-0.00074922i,0.007905+0.0087437i,0.0020256+0.011149i,-0.012876-0.00988i,0.00046638-0.007244i,-0.0063564-0.0030326i,-0.0014208-0.0056812i,0.0012596-0.0056011i,0.0028979+0.0079934i,0.0055213-0.0063725i,0.00075358-0.006601i,6.4321e-05-0.0037883i,0.0038563-0.0012591i,-0.0023324-0.0038036i,-0.0015264+0.0014592i,0.0029976-0.00067851i,0.0032567+0.024251i,-0.0051548-0.0030117i,0.0023036-0.0015497i,-0.0031282-0.0057359i,0.0029204-0.0024535i,-0.014746+0.0032905i,0.00093876+0.00037051i,0.0036689-0.0029947i,0.0033303-0.0024593i,-0.0010416-0.0043891i,0.0016697+0.0024646i,0.0018038+0.0052478i,-0.00048921+0.0052819i,-0.011171+0.0062874i,-0.016473+0.0014215i,-0.02757+0.058788i,0.00035762+0.0046714i,-0.02844-0.011887i,-0.0087865-0.010258i,0.012915+0.018428i,0.0021936+0.024527i,-0.002891-0.0023376i
0.011672+0.015259i,0.028224+0.041809i,0.036532+0.025062i,0.029077+0.020713i,0.037772+0.01817i,0.026219-0.026827i,0.012826-0.015329i,0.031776-0.0046028i,0.016041+0.0089032i,0.0045956+0.0017902i,0.005678-0.00022571i,0.0051862+0.0030697i,0.0062932+0.00018637i,0.0063137+0.00084563i,0.00079765-0.0042785i,0.0053876-0.0043933i,0.0036517-0.0075876i,-0.0016904-0.0011097i,-0.0025265+0.0019111i,0.00044289-0.0006197i,-0.0019289-0.00012228i,-0.0017592+0.002667i,-0.0013494+0.0012611i,0.0089853+0.00047093i,0.0023233+0.00058118i,0.0020457-0.0015312i,0.0016433-0.00065582i,0.0019422+7.7493e-06i,0.00028947+0.00022058i,-0.00014999+0.0011774i,-0.0037312-0.0002065i,-0.0018811+0.00039988i,-0.00035425+0.0015592i,-0.00061926+0.000902i,-0.0012811+0.00040795i,-0.00079383+0.0097282i,0.00089195-0.00033053i,0.00062039-0.0012664i,0.00096202+0.0014499i,-0.0024012-0.0021721i,-0.0010607+0.00058582i,-0.0023648+0.0010215i,0.0020124+0.00090196i,0.0082603+0.0013945i,-0.0003566+0.037649i,-0.056216+0.061068i,-0.037985+0.05732i,-0.014557+0.066034i,0.012225+0.064131i,0.013634+0.047194i,0.014513+0.030141i,-0.0049002-0.0046345i,-0.037777+0.018889i,-0.030764+0.021782i,0.011474+0.017773i,-0.0081813+0.007163i,-0.0078359+0.0082225i,-0.012146+0.0049833i,-0.00089322-0.0024109i,0.0098393+0.0067702i,0.0068575+0.010801i,-0.017034-0.0054443i,-0.0013333-0.0048505i,-0.0053373-0.00022238i,-0.0030504-0.0037528i,-0.0012812-0.0047921i,0.0050608+0.0066572i,0.0033669-0.0065881i,-0.0029223-0.0046771i,0.00013506-0.001823i,0.0036156-0.0037346i,-0.0039489-0.0025831i,7.0853e-06+0.0010424i,0.002352-0.0014266i,0.013185+0.018752i,-0.006432-0.0011069i,0.0021819-0.0027344i,-0.0034589-0.0037339i,0.0031377-0.0039774i,-0.010362+0.0084993i,0.0019216+0.00033931i,0.0021163-0.0036671i,0.0019144-0.0029723i,-0.0021445-0.0032362i,0.0011552+0.0016486i,0.0035823+0.0033716i,0.0023869+0.0053572i,-0.0090654+0.0088595i,-0.016559+0.0060366i,-0.019163+0.058226i,0.0038378+0.0050332i,-0.030187-0.0067806i,-0.012329-0.011938i,0.016886+0.014763i,0.0082526+0.025225i,-0.0050777-0.001418i
0.012506+0.013053i,0.031879+0.035733i,0.03931+0.016966i,0.032653+0.013341i,0.04175+0.0097792i,0.019759-0.030933i,0.0085774-0.017189i,0.029891-0.010906i,0.017478+0.0056465i,0.0042938+0.00084066i,0.0048049-0.0010132i,0.0060688+0.0019897i,0.0055109-0.00094244i,0.0058261-0.00089713i,-0.00053454-0.0040637i,0.0036257-0.004732i,0.0012241-0.0072709i,-0.0018281-0.00053461i,-0.0013514+0.0023168i,-0.00040055-0.0009867i,-0.0022347+0.00075399i,-0.001009+0.0030944i,-0.0011665+0.0015079i,0.0074332-0.0028964i,0.002179-0.00041474i,0.0010981-0.0017356i,0.00115-0.00091429i,0.0014062-0.00098056i,0.00037588+2.7178e-05i,0.0001886+0.0013496i,-0.0034139+0.0016673i,-0.0013305+0.0013577i,0.00034903+0.0013537i,-0.00030549+0.00099262i,-0.00069667+0.0010643i,0.002213+0.0092379i,0.0007173-0.00063054i,1.9126e-07-0.0014793i,0.0011091+0.0011666i,-0.002803-0.0012377i,-0.00096674+0.00087745i,-0.0018562+0.0014287i,0.0025147+0.00097218i,0.0086025-0.00054062i,0.0071732+0.034641i,-0.040775+0.068594i,-0.028594+0.062782i,-0.0056393+0.065309i,0.024454+0.053257i,0.0233+0.041099i,0.013897+0.027984i,-0.010833-0.0033594i,-0.036148+0.025601i,-0.026408+0.019391i,0.014573+0.012113i,-0.0062609+0.0099626i,-0.0045187+0.011524i,-0.010575+0.0078483i,-0.0044743-0.0012805i,0.01167+0.0034228i,0.011265+0.0079859i,-0.019279+0.00065371i,-0.0019568-0.0037621i,-0.0033075+0.0011526i,-0.0036726-0.0015479i,-0.0027146-0.0033696i,0.0070581+0.0033324i,0.00143-0.0065763i,-0.0045728-0.00049062i,0.0010681-0.0010143i,0.0015686-0.0055541i,-0.0043285-0.00050817i,0.00090083+0.00084817i,0.0021631-0.0019378i,0.018834+0.0098241i,-0.0064774+0.0019374i,0.0016679-0.004162i,-0.0035199-0.0021469i,0.0015126-0.0059468i,-0.0047143+0.0098793i,0.0029286-0.00071945i,0.00091107-0.0028001i,0.00083483-0.0028723i,-0.0019421-0.0020962i,0.0006752+0.0013626i,0.003633+0.0010564i,0.0048822+0.0041592i,-0.0062272+0.010269i,-0.01524+0.010799i,-0.011596+0.058767i,0.010418+0.0010521i,-0.029449-0.0009927i,-0.018016-0.011718i,0.017903+0.0097499i,0.015229+0.023265i,-0.0051639-0.00068403i
0.01394+0.011172i,0.035556+0.030921i,0.040658+0.0097665i,0.033973+0.0056648i,0.043134+0.00083595i,0.013458-0.033317i,0.004357-0.017381i,0.026852-0.016174i,0.018329+0.0020965i,0.0039407+0.00016568i,0.0042475-0.0014614i,0.0066424+0.0006121i,0.0049807-0.0014073i,0.0049104-0.002193i,-0.0016851-0.0032045i,0.0021694-0.0043323i,-0.00057311-0.0063527i,-0.0020246+3.7347e-05i,-0.00082569+0.0020484i,-0.0011671-0.0007249i,-0.0019462+0.0014987i,0.00019722+0.0032682i,-0.00088478+0.0019157i,0.0050714-0.0050481i,0.0014844-0.00096584i,0.00048145-0.0017879i,0.00073907-0.0010879i,0.00063502-0.0012304i,0.00015482-1.7719e-05i,0.00097192+0.0012728i,-0.0021128+0.0028886i,-0.00060797+0.0018027i,0.00077346+0.00090175i,0.00015519+0.001216i,0.00011066+0.0013264i,0.0047438+0.0077812i,0.00024082-0.00069409i,-0.00064809-0.001331i,0.0015741+0.00073367i,-0.002953-0.00032602i,-0.00064972+0.00092595i,-0.0013301+0.0017634i,0.0030178+0.00058046i,0.007786-0.00284i,0.012367+0.030054i,-0.024168+0.071329i,-0.016796+0.067164i,0.0040725+0.064715i,0.030321+0.040268i,0.02943+0.033316i,0.014589+0.028521i,-0.014688+0.0025022i,-0.032272+0.034311i,-0.025174+0.017663i,0.013938+0.0064864i,-0.0029348+0.01203i,0.00092186+0.011997i,-0.008415+0.010115i,-0.0053293+0.002024i,0.011927-0.0017142i,0.014117+0.0032604i,-0.019203+0.0071062i,-0.00223-0.0020449i,-0.0022466+0.0015111i,-0.0026644+4.1569e-05i,-0.0039425-0.0010909i,0.0067525+0.00050704i,-0.00041177-0.0061278i,-0.0031271+0.0030338i,0.0024354-0.0015808i,-0.0010114-0.0058549i,-0.0034516+0.00098877i,0.0019235+0.00012073i,0.00176-0.0024122i,0.019575+0.00084938i,-0.0043024+0.0044319i,0.00012551-0.0052486i,-0.0025854-0.0017073i,-0.00074171-0.0063597i,-0.00074094+0.0089254i,0.0025942-0.0021799i,0.00090895-0.0015722i,0.00063379-0.0021633i,-0.0011454-0.0016615i,0.00088513+0.0018343i,0.0022794-0.00048814i,0.0054311+0.0014295i,-0.0037782+0.0101i,-0.011103+0.015511i,-0.0029813+0.058294i,0.01254-0.0095524i,-0.026054+0.0014559i,-0.023792-0.0088144i,0.018003+0.0051245i,0.020449+0.016927i,-0.0060945-0.0010926i
0.015525+0.0086655i,0.039504+0.025343i,0.041597+0.0023439i,0.033776-0.0020146i,0.042976-0.007871i,0.0068991-0.034781i,0.0013313-0.016713i,0.023156-0.020666i,0.018689-0.0019557i,0.0033197-0.00043304i,0.0041281-0.0018147i,0.0068724-0.0008905i,0.0051171-0.0020063i,0.00386-0.0031045i,-0.0022806-0.0022841i,0.0014156-0.0036222i,-0.0015364-0.0057758i,-0.0016394+0.00041286i,-0.00041133+0.0020183i,-0.0015608-0.0001678i,-0.0013281+0.0019783i,0.0014951+0.002732i,-0.00024672+0.0021967i,0.0021613-0.0059189i,0.0011139-0.0010741i,-0.00016882-0.0017404i,0.00031308-0.0012508i,8.7016e-06-0.0011475i,3.8498e-05+0.00011313i,0.0014078+0.0006519i,-0.00061516+0.0033271i,0.00017041+0.0018911i,0.00087614+0.00059024i,0.00071786+0.0010157i,0.00064981+0.00080987i,0.0061945+0.0057077i,2.1648e-05-0.00049746i,-0.0010324-0.00086583i,0.0015062+7.303e-05i,-0.0027076+0.00043666i,-0.00051356+0.0009901i,-0.00070047+0.0018154i,0.0033767+0.00010082i,0.0064699-0.0043952i,0.016201+0.02529i,-0.0091346+0.069283i,-0.0030178+0.067524i,0.014151+0.062245i,0.03241+0.02846i,0.033144+0.025232i,0.017575+0.029651i,-0.013973+0.010472i,-0.023609+0.043542i,-0.025915+0.018391i,0.012103+0.0032562i,0.0011939+0.01227i,0.0048137+0.010043i,-0.0056151+0.012259i,-0.0043351+0.004185i,0.0092935-0.0069681i,0.014159-0.0027858i,-0.01665+0.012233i,-0.0016047-0.00096332i,-0.0012664+0.0011607i,-0.0017+0.00040771i,-0.0032988+0.0015449i,0.0053817-0.0011323i,-0.001676-0.0049622i,0.00017614+0.0044195i,0.0024959-0.0033916i,-0.003158-0.0045613i,-0.0025385+0.0016087i,0.0023177-0.0012414i,0.0016678-0.0026949i,0.016588-0.0069388i,-0.001633+0.0052107i,-0.0019436-0.0050194i,-0.0025127-0.0015061i,-0.0030031-0.0056677i,0.001778+0.0073536i,0.0022569-0.0031833i,0.0021157-0.001639i,0.00068111-0.0028802i,-0.00063623-0.0022987i,0.0014477+0.0019215i,0.00062333+0.00015058i,0.0047238+7.3304e-05i,-0.0021493+0.0095972i,-0.005202+0.017754i,0.0053862+0.056547i,0.0067372-0.019059i,-0.024334+0.0003412i,-0.029039-0.0026344i,0.01592-0.00029376i,0.022081+0.010276i,-0.0070158-3.6224e-05i
0.016924+0.0058588i,0.042266+0.018806i,0.040449-0.0062252i,0.031165-0.0099809i,0.041142-0.017141i,-7.3199e-05-0.03462i,-0.00079608-0.016086i,0.018732-0.024547i,0.01772-0.0060451i,0.0027351-7.6348e-05i,0.0035723-0.0024477i,0.006626-0.0030404i,0.0048641-0.0032626i,0.0025679-0.0036803i,-0.0026123-0.0012385i,0.0012068-0.0031785i,-0.002634-0.005126i,-0.0017184+0.00084773i,0.00033343+0.0018417i,-0.0019651+0.00052823i,-0.00087778+0.0021382i,0.0022803+0.0016869i,0.00034274+0.0021919i,-0.00096647-0.0053563i,0.00057834-0.0017566i,-0.00081422-0.0012494i,-0.0002493-0.0012623i,-0.00034707-0.0008544i,0.00024519+0.0002062i,0.0012631+9.3577e-06i,0.00099389+0.0030524i,0.0008192+0.0017159i,0.00088322+0.00026491i,0.0010121+0.00065926i,0.00063231+3.165e-05i,0.0068739+0.003715i,-0.00016636-0.00042644i,-0.0012504-0.00050729i,0.0013346-0.00024136i,-0.0021226+0.00091195i,-0.00028508+0.00113i,-8.4161e-05+0.0017202i,0.0036767-0.00091702i,0.0047014-0.0054161i,0.018598+0.020545i,0.0032825+0.064954i,0.0091568+0.063449i,0.023718+0.058055i,0.031326+0.018373i,0.034823+0.01815i,0.023121+0.029125i,-0.0074759+0.015985i,-0.010491+0.0482i,-0.025561+0.022246i,0.010573+0.001538i,0.0045965+0.010442i,0.0070869+0.0068895i,-0.0019728+0.0131i,-0.0035936+0.0055337i,0.0032137-0.0094931i,0.011036-0.0075121i,-0.012667+0.016023i,-0.00083183-0.0014337i,-0.00096619+0.0004794i,-0.0013203+0.00029355i,-0.00099027+0.0029241i,0.0041481-0.0012322i,-0.0024123-0.0041659i,0.002897+0.0036029i,0.0011395-0.0049728i,-0.0042081-0.0028433i,-0.0013276+0.0021546i,0.0015878-0.0026233i,0.00121-0.0036735i,0.011235-0.011617i,0.00057963+0.0047805i,-0.003097-0.0040831i,-0.0022531-0.0013399i,-0.0047433-0.004565i,0.0034105+0.0056508i,0.0014764-0.0047251i,0.002551-0.0029225i,-0.00022939-0.0033243i,-0.0014061-0.0029535i,0.0026034+0.0019241i,0.00069596+0.0019854i,0.0042004-0.00085006i,-0.00082045+0.0094381i,0.00017353+0.01672i,0.013734+0.054326i,-0.0021941-0.024247i,-0.026896-0.0010053i,-0.030366+0.0056237i,0.010669-0.0036448i,0.022579+0.0042599i,-0.0062338+0.0005336i
0.01806+0.0020691i,0.044622+0.012746i,0.036848-0.013234i,0.025908-0.015925i,0.036411-0.025724i,-0.0061125-0.03271i,-0.0024912-0.015539i,0.013603-0.027172i,0.016301-0.0096784i,0.0031651+0.00034555i,0.0030952-0.0025629i,0.005142-0.004877i,0.0040763-0.0043907i,0.00152-0.0036465i,-0.0024115-0.00021004i,0.0010448-0.0028303i,-0.0042925-0.0038605i,-0.001401+0.0015113i,0.00069063+0.0011581i,-0.0018232+0.0018027i,-0.00026996+0.0024311i,0.002311+0.00048423i,0.00094191+0.0020975i,-0.002971-0.0033731i,-0.0007794-0.0016014i,-0.0010005-0.00067929i,-0.00071348-0.00097794i,-0.00057868-0.00048409i,0.00029909-9.3229e-05i,0.0010101-0.00033771i,0.0021699+0.002168i,0.0013543+0.0011696i,0.00090864-5.3717e-06i,0.0011111+0.00026246i,0.00016433+1.841e-05i,0.0069269+0.0016812i,-0.00025976-0.00023521i,-0.0014361+3.7589e-05i,0.0011384-0.00053755i,-0.0014136+0.0011613i,2.922e-05+0.0013122i,0.0003669+0.001445i,0.0032354-0.0022259i,0.0028144-0.0054637i,0.019942+0.015878i,0.013629+0.058581i,0.018059+0.057811i,0.032654+0.052313i,0.028667+0.011196i,0.035075+0.011502i,0.028584+0.026024i,-0.00020772+0.016467i,0.0035355+0.047528i,-0.022308+0.026914i,0.0099168+0.00038972i,0.0070446+0.0078564i,0.0075488+0.0039761i,0.0018501+0.012582i,-0.0021681+0.0074729i,-0.0024753-0.0078706i,0.0067994-0.0095815i,-0.007698+0.018643i,-0.0014924-0.0024285i,-0.0016283+0.00047837i,-0.0012483+0.00051888i,0.001553+0.002735i,0.0034824-0.0016317i,-0.003352-0.0034144i,0.0042937+0.0015837i,-0.0016272-0.0055301i,-0.0041967-0.0011109i,3.6378e-05+0.0015757i,0.0010076-0.0032189i,7.3503e-05-0.0047445i,0.0056182-0.013055i,0.0022147+0.0038222i,-0.0040683-0.0031839i,-0.002998-0.0013606i,-0.0060069-0.0026885i,0.0040338+0.0041741i,-0.00054667-0.0061912i,0.0024809-0.0045376i,-0.0010054-0.0029528i,-0.0021736-0.0028739i,0.0033065+0.0014963i,0.0018799+0.0024437i,0.0029755-0.0016198i,0.00052149+0.0093393i,0.0042073+0.014315i,0.022909+0.050802i,-0.012961-0.025808i,-0.030805+0.001181i,-0.02735+0.013782i,0.0063824-0.0030238i,0.02043-0.0021124i,-0.0057494-0.0010071i
0.017986-0.002414i,0.046648+0.0051953i,0.03296-0.018483i,0.020483-0.019017i,0.030175-0.032409i,-0.010854-0.030252i,-0.0039211-0.015407i,0.0086144-0.028756i,0.01418-0.013249i,0.0038923-8.394e-05i,0.0031613-0.0030473i,0.0032523-0.0056455i,0.0028385-0.0055558i,0.00066577-0.0035308i,-0.0019608+0.00041572i,0.0011098-0.0024919i,-0.0049487-0.0016855i,-0.00075495+0.0014719i,0.00056535+0.00058958i,-0.00091837+0.0024437i,0.00048309+0.0023822i,0.0019639-0.00036298i,0.0015495+0.0017365i,-0.0037434-0.00083528i,-0.0012339-0.00072543i,-0.00098849-0.00029044i,-0.00098352-0.00069793i,-0.00060529-0.0001703i,5.5072e-05-4.3167e-05i,0.00069474-0.00061588i,0.002969+0.00087149i,0.0014531+0.00068973i,0.00093046-0.0002559i,0.0012629-2.7583e-05i,0.00011408+0.00038696i,0.0062477-2.2285e-05i,-0.000249+7.7626e-05i,-0.0013031+0.00065042i,0.00091543-0.0009544i,-0.00074029+0.0012589i,0.00053537+0.0011212i,0.00066016+0.0011923i,0.0021421-0.0030388i,0.0012925-0.0050832i,0.020423+0.011549i,0.020698+0.050823i,0.025162+0.052326i,0.040036+0.044284i,0.025542+0.0056106i,0.03425+0.0069785i,0.033214+0.021772i,0.0059278+0.01503i,0.015586+0.042234i,-0.017488+0.030704i,0.0093684-0.0013002i,0.0085055+0.0044301i,0.0078524+0.0016841i,0.005362+0.010505i,0.00061176+0.0078466i,-0.0057028-0.0045268i,0.0023523-0.010045i,-0.0018079+0.018763i,-0.003015-0.0019468i,-0.0025726+0.0016909i,-0.0010587+0.00079374i,0.0031737+0.0012486i,0.0029995-0.00089403i,-0.0039356-0.0020329i,0.004438-0.00056194i,-0.0039883-0.0039893i,-0.0033098+0.00016235i,0.00029974+0.00047554i,0.00032518-0.0040392i,-0.0017382-0.0047251i,0.0009334-0.012631i,0.0035522+0.0021653i,-0.0052457-0.00188i,-0.003584-9.994e-05i,-0.0061177-0.00032139i,0.0045457+0.0034006i,-0.0035227-0.0061851i,0.0016861-0.0063794i,-0.001428-0.002724i,-0.0027977-0.0028176i,0.0044579+0.001074i,0.0029467+0.0023023i,0.0019218-0.0009087i,0.0015739+0.0089977i,0.0068371+0.010972i,0.031681+0.044565i,-0.02421-0.022103i,-0.033683+0.0050397i,-0.021705+0.018275i,0.004351-0.0018246i,0.015468-0.0060484i,-0.0080408-0.0017009i
0.016349-0.0063619i,0.046923-0.0032733i,0.028879-0.023215i,0.015911-0.020821i,0.023106-0.037602i,-0.015429-0.027603i,-0.0056695-0.016027i,0.0035309-0.029744i,0.011168-0.016257i,0.0043504-0.0010096i,0.0029244-0.0040653i,0.0014949-0.0057503i,0.00096786-0.0061516i,-0.00010926-0.0033843i,-0.0015998+0.00065502i,0.0014165-0.0025086i,-0.0045698+0.00016015i,-0.00048075+0.0013058i,0.00043919+0.0004026i,-3.8634e-05+0.0025783i,0.0011027+0.0021273i,0.0015102-0.00080124i,0.0019665+0.0010489i,-0.0028852+0.0016212i,-0.001037-9.8949e-05i,-0.00087759+0.00017356i,-0.0011967-0.00034886i,-0.00064161-1.7285e-06i,8.4298e-05+3.6384e-05i,8.1371e-05-0.00080569i,0.0030742-0.00060001i,0.0015833+0.00031232i,0.00080277-0.00052623i,0.0011557-0.00070885i,0.00043733+0.00063417i,0.0054113-0.0011474i,1.4517e-05+0.00010108i,-0.00091458+0.0012128i,0.0001683-0.0010201i,9.3873e-05+0.0010657i,0.00091205+0.00087722i,0.00079036+0.00087234i,0.00093556-0.0030534i,0.00020082-0.0040376i,0.020335+0.0081461i,0.024931+0.044473i,0.031758+0.046686i,0.044651+0.036481i,0.021694+0.0010265i,0.034987+0.0033596i,0.037092+0.016263i,0.012078+0.011408i,0.02515+0.03375i,-0.010745+0.033365i,0.0083221-0.0029353i,0.0081031-0.00011765i,0.0077465-0.0011204i,0.0072991+0.0072317i,0.0022748+0.0069697i,-0.0071624-0.00015764i,-0.0015113-0.0085574i,0.0026387+0.015685i,-0.003792-0.00051236i,-0.0022334+0.0038538i,-0.00090501+0.001059i,0.003959-0.00094005i,0.0040231+0.00027785i,-0.0033782-0.00080697i,0.0040549-0.0013623i,-0.004882-0.0020764i,-0.002416+0.00070333i,-4.051e-06+0.00022094i,-0.0018471-0.0048084i,-0.0031759-0.0036145i,-0.0030618-0.011724i,0.0038094+4.6824e-05i,-0.0055908+4.7572e-05i,-0.002906+0.0010446i,-0.0053478+0.0014301i,0.0057809+0.0026577i,-0.0057984-0.004219i,-0.00086302-0.0078092i,-0.0022703-0.0023857i,-0.0043671-0.0024566i,0.005585-0.000916i,0.0043907+0.0023565i,0.0026697-0.00041141i,0.0032983+0.0091032i,0.0069708+0.0075232i,0.038559+0.036204i,-0.031286-0.012896i,-0.036498+0.011032i,-0.015814+0.020818i,0.0029222-9.6334e-05i,0.011253-0.0062889i,-0.0096874-0.00097321i
