-0.0082605-0.039577i,-0.012717-0.043523i,0.00033081-0.04609i,-0.027068-0.027586i,-0.020335+0.014155i,-0.033514-0.030731i,-0.060424-0.059062i,-0.022237-0.071545i,-0.038101-0.054863i,0.0019968+0.014569i,-0.0075353+0.010525i,-0.014552+0.013487i,0.0022492+0.015986i,-0.0036978-0.0032942i,0.00066624+0.0064959i,0.001091+0.037757i,0.020329+0.057577i,0.00093224-0.00034476i,-0.0054655-0.0083273i,0.008498+0.003996i,0.0016118+0.0010979i,-0.00069133+0.0038251i,7.9961e-05-0.0011598i,-0.034931-0.0091589i,-0.0031219-0.0072848i,-0.00044738+0.0045277i,0.0052278-0.00082508i,0.0001491+0.00078811i,1.4498e-05-0.001134i,-0.00026594-0.0026499i,-0.0012859-0.0052968i,-0.0024493-0.0041512i,-0.0006525-0.0078097i,0.0032619-0.0012024i,0.0030912-0.0027436i,-0.0010103+0.034407i,0.0061595-0.0045145i,0.0033696-0.0019374i,0.004792-0.00044793i,-0.026887-0.0008797i,-0.00012206+0.00016177i,0.0079555+0.00043542i,0.0061676-0.00032523i,-0.0032762+0.0038431i,0.0027259+0.0017529i,-0.0030495+0.0073154i,0.012912-0.088511i,-0.0077122-0.048018i,-0.02477-0.039174i,-0.02094-0.041528i,0.061584-0.01962i,0.025922-0.063031i,0.038095-0.045524i,0.028944-0.05704i,0.01856-0.016211i,0.0086429+0.009602i,0.023979-0.030615i,-0.0079525-0.0043545i,0.0024938-0.0027574i,-0.00482-0.0059554i,0.00081626-0.032409i,-0.02405+0.031101i,0.0079378-0.010573i,-0.011102-0.0011509i,-0.0052327-0.0011323i,-0.001705-0.013706i,-0.010297+0.0044898i,0.0037899+0.0080948i,-0.0082514+0.030996i,0.0055926+0.0073311i,-0.0050456-0.0013964i,-0.0021268-0.0020117i,-0.010989-0.0075305i,0.00059541-0.0036869i,-0.035879+0.0021272i,0.0018381-0.01298i,-0.0088434-0.0017638i,-0.0064197-0.0027297i,0.0064859+0.0015747i,-0.0091671+0.0016516i,0.0013287+0.00079685i,0.0050799+0.0087559i,0.0046355+0.00027681i,-0.0089436-0.0088353i,0.0028337+0.0088513i,-0.017595+0.0052804i,0.0070884+0.002855i,-0.029513-0.0078296i,-0.034042+0.0035133i,0.023923-0.078431i,0.01195-0.010646i,-0.044617-0.026449i,-0.023311-0.0036326i,0.018263+0.01204i,-0.027159+0.012825i,-0.011622-0.0085353i
-0.013584+0.018436i,0.012744+0.046363i,0.026284+0.044756i,-0.00011111+0.017713i,-0.0019766+0.0065666i,0.026726+0.00075961i,0.01437+0.016314i,0.013587+0.045379i,0.0067202+0.018882i,-0.0032248+0.0064633i,0.00096771+0.0013758i,0.0026668-0.0042505i,0.0027475-0.0024888i,0.0034598-0.00061399i,0.003169-0.0020823i,0.0051052-0.001156i,0.011877-0.0060149i,-0.00060194-0.00047911i,-0.0050204+0.00018789i,-7.491e-05+0.0026576i,-0.00048439-0.0009661i,-0.0050972-0.0015479i,-0.0024836+0.00073502i,0.0053901+0.01098i,0.0025583+0.0019038i,0.0021723+0.0005789i,0.0018722+0.0015472i,-0.0014219+0.0034229i,-0.00034824+0.00077769i,-0.00087239+0.0013075i,0.00095912-0.0038642i,-0.00091309-0.0011603i,-0.00080852-0.00054746i,-0.00014978+0.00065956i,-0.00080024-0.001679i,-0.0058608+0.0091682i,0.0030801-0.00044013i,0.00096628+0.00015939i,-0.00080415+0.001996i,-0.00062643-0.002569i,-0.0022434+0.00052225i,-0.0022143-0.002384i,0.0023201+0.0085323i,0.0031701+0.00081866i,-0.028912+0.024153i,-0.054259+0.02651i,-0.029085+0.048638i,-0.016913+0.032307i,-0.0032435+0.049616i,-0.0071526+0.033203i,0.0090616+0.010911i,-0.0052479-0.0064255i,-0.038271-0.0069395i,-0.042766+0.017525i,0.010325+0.019151i,-0.0017859+0.0028794i,-0.0052846+0.0024187i,-0.011471-0.002941i,0.0095818+0.0014253i,0.012668+0.013911i,-0.0031223+0.0084299i,-0.0061927-0.012005i,0.0051802-0.0027927i,-0.0046721-0.0041717i,0.0036176-0.0075343i,0.0049711-0.0022625i,-0.0010346+0.0098566i,0.012079-0.0046441i,0.0076236-0.006868i,0.0051556-0.0073254i,0.0031917-0.00052142i,-0.0032286-0.0064354i,-0.0034534-0.0014252i,0.0029731-0.0010774i,-0.016632+0.037145i,-0.0056306-0.0054118i,0.0014338+0.0006857i,-0.0010851-0.0075195i,0.003113-0.00090089i,-0.013738-0.0045618i,0.0010782-0.00065292i,0.0032403-0.0031704i,0.0022566-0.0022191i,0.00038619-0.005939i,-0.00089027+0.0063248i,-0.00049483+0.003054i,-0.0026482+0.005423i,-0.01118-0.0012795i,-0.0088314+0.0025533i,-0.038806+0.040549i,-0.0070656+0.016354i,-0.023396-0.0072085i,-0.00018896-0.0016668i,0.0098632+0.019497i,-0.00090951+0.019411i,-0.0060641-0.00062523i
-0.011459+0.018194i,0.01928+0.042255i,0.034069+0.039136i,0.0036591+0.019536i,0.0016554+0.0068515i,0.02647-0.0049169i,0.015474+0.012844i,0.021297+0.040748i,0.008874+0.017082i,-0.00071742+0.0062947i,0.0017519+0.0013985i,0.00031487-0.0032261i,0.0013708-0.0024801i,0.0031479-0.00065637i,0.0025379-0.0026021i,0.004184-0.0012004i,0.0089136-0.0082041i,6.5814e-05-0.00013101i,-0.0048198+0.00086244i,0.00092011+0.0015269i,-0.00094684-0.0012662i,-0.0051373-0.0001732i,-0.0022817+0.00084293i,0.011288+0.0078202i,0.0023318+0.0022188i,0.0025724-0.0004436i,0.0020927+0.00057142i,-0.00018725+0.0036658i,-0.00054388+0.0012819i,-0.00047327+0.0016227i,-0.00084396-0.0037571i,-0.001468-0.0010836i,-0.0015087-0.000324i,0.00025225+0.00034739i,-0.0012683-0.0003397i,-0.0023365+0.009737i,0.0023652-0.0012473i,0.00099575-6.8988e-05i,0.00016534+0.0017804i,-0.0010642-0.0018454i,-0.0018795+0.00078136i,-0.0057162+0.0003473i,0.0045128+0.0078468i,0.0026247+0.00043899i,-0.022898+0.028894i,-0.046373+0.034737i,-0.022392+0.053307i,-0.010083+0.033643i,0.0096908+0.045369i,0.0025458+0.03198i,0.0048066+0.0044976i,-0.012071-0.010081i,-0.042064-0.004902i,-0.034036+0.018737i,0.01391+0.015493i,-0.0023131+0.0033563i,-0.0039605+0.0062381i,-0.011587+0.0018809i,0.0080761-0.0019202i,0.014716+0.011095i,0.0011557+0.012297i,-0.011726-0.010069i,0.0021603-0.003713i,-0.0043991-0.0015432i,-0.0010015-0.0069558i,0.0034477-0.0041739i,0.0035671+0.0076931i,0.0083946-0.0079448i,0.00325-0.0086359i,0.0019282-0.0055719i,0.0039609-0.0016176i,-0.0047996-0.004767i,-0.001687+0.00058668i,0.0030906-0.0017632i,0.008318+0.036967i,-0.0071597-0.0040992i,0.0019217-0.00097519i,-0.0040252-0.0061417i,0.0037005-0.0018817i,-0.013562+0.0015889i,0.0014567-0.00017009i,0.001703-0.0029068i,0.0020861-0.0033821i,-0.0013446-0.005564i,0.0011806+0.0031249i,0.00094524+0.0025862i,0.00037079+0.00651i,-0.010792+0.0025295i,-0.0084588+0.0040718i,-0.03051+0.041827i,-0.0040708+0.018959i,-0.024628-0.00040147i,-0.0014507-0.0059457i,0.012613+0.018527i,0.0030048+0.021302i,-0.0080921-0.00049655i
-0.010151+0.018596i,0.024706+0.037089i,0.04173+0.031589i,0.010768+0.017731i,0.0059257+0.0055241i,0.024745-0.010722i,0.015638+0.009217i,0.027875+0.034249i,0.01171+0.016011i,0.00059167+0.0059476i,0.0022416+0.00038567i,-0.0001724-0.0013436i,9.5358e-05-0.0023661i,0.0032099-0.0010707i,0.0018765-0.0028331i,0.0032955-0.0011976i,0.0060519-0.0097516i,8.447e-05-0.00058539i,-0.0043384+0.0024568i,0.00083411+0.00032431i,-0.0019317-0.001369i,-0.0049158+0.0014356i,-0.0023228+0.0010313i,0.013044+0.0011806i,0.0036098+0.0012806i,0.0019334-0.0015727i,0.00189-0.00018073i,0.001535+0.002932i,0.00027225+0.0016473i,-0.00013039+0.0018033i,-0.0023788-0.0027869i,-0.0020614-9.2267e-05i,-0.0017938+0.00012259i,0.00016284+1.7885e-05i,-0.00068255+0.00051911i,0.00041996+0.009071i,0.0017136-0.001727i,0.00076724-0.00067646i,0.00051363+0.0011887i,-0.0015673-0.0013248i,-0.001743+0.00097935i,-0.0037077+0.0011623i,0.0066029+0.007087i,0.0025481+0.00022553i,-0.014976+0.031387i,-0.037741+0.041059i,-0.01333+0.056407i,-0.0027293+0.032345i,0.020839+0.036999i,0.017434+0.023577i,-0.0013655+0.0020939i,-0.018763-0.0090192i,-0.04537+0.00042575i,-0.026998+0.016921i,0.015997+0.010172i,-0.0023698+0.0040751i,-0.0023251+0.0074596i,-0.010607+0.0055871i,0.0050111-0.005417i,0.017469+0.0069492i,0.0068137+0.012592i,-0.01584-0.0060638i,0.00084913-0.0025181i,-0.0036758+0.00032637i,-0.0030031-0.0046519i,0.0010874-0.0046509i,0.0054506+0.0062586i,0.0053305-0.0086833i,-0.0025405-0.0078183i,0.00097515-0.0038222i,0.0036926-0.0040253i,-0.0065434-0.0020972i,-0.00041267+0.00054719i,0.0017779-0.0027248i,0.020313+0.026107i,-0.0089879-0.0012126i,0.0017538-0.0018552i,-0.0040329-0.003967i,0.0040929-0.0037764i,-0.010015+0.0065572i,0.0025621-0.00036374i,0.00041378-0.0031659i,0.00052424-0.0035081i,-0.002991-0.0045421i,0.0002187+0.0023377i,0.0020405+0.0015441i,0.0028955+0.0057841i,-0.0095383+0.0050408i,-0.0079383+0.0063611i,-0.024376+0.042101i,0.0035092+0.019678i,-0.023592+0.0037302i,-0.0041731-0.009031i,0.017004+0.015053i,0.0092995+0.02237i,-0.0095815+0.0011669i
-0.0087205+0.019557i,0.028056+0.031957i,0.046171+0.021234i,0.015906+0.01198i,0.0091412+0.0016694i,0.021319-0.015541i,0.015051+0.0067533i,0.031815+0.027113i,0.014938+0.013183i,0.002167+0.0059166i,0.0017651+0.00011389i,0.00051354-0.00048595i,-0.0012137-0.001276i,0.0027686-0.0015123i,0.00094824-0.0030478i,0.0028975-0.00066624i,0.0022227-0.0096226i,0.00025248-0.00056461i,-0.0011426+0.0042953i,0.00015613-0.00022114i,-0.0026738-0.00039304i,-0.0040294+0.0030949i,-0.0021703+0.0016616i,0.01054-0.0050164i,0.0035168-0.00014426i,0.00087593-0.0018312i,0.0015269-0.00065662i,0.0020431+0.0015673i,0.0010022+0.00094577i,0.00048926+0.0021164i,-0.0032296-0.0010922i,-0.0017607+0.00094904i,-0.00088887+0.00090712i,-7.0668e-05+0.00015318i,-0.00020399+0.00071373i,0.0026108+0.0082214i,0.0010169-0.0020631i,0.00029802-0.00096721i,0.0005402+0.0010889i,-0.0018037-0.00086594i,-0.0013454+0.0013361i,-0.002198+0.0023949i,0.0085421+0.0053487i,0.0025596+2.6991e-05i,-0.0071383+0.030199i,-0.027707+0.045246i,-0.0042269+0.05823i,0.0019256+0.029951i,0.028686+0.025407i,0.017049+0.018591i,-0.0079427+0.0042412i,-0.025689-0.0048443i,-0.047667+0.0083022i,-0.023279+0.013126i,0.017384+0.004218i,-0.0017616+0.0051426i,0.0002912+0.0098031i,-0.0088128+0.0084999i,-0.00049795-0.0057099i,0.018941+0.00040771i,0.012233+0.010113i,-0.018528-0.00059959i,0.00015666-0.0019015i,-0.0025964+0.0013737i,-0.0038418-0.0018243i,-0.00022898-0.0042224i,0.0076729+0.0030111i,0.0021989-0.0091662i,-0.0055264-0.0024973i,0.0014404-0.0027593i,0.0017088-0.0059043i,-0.006208+0.00060061i,0.00070128+0.00079677i,0.00099224-0.0026426i,0.028682+0.01356i,-0.0085091+0.0033197i,0.0015285-0.0030531i,-0.0041152-0.0023678i,0.0023636-0.0061628i,-0.0051528+0.0080432i,0.0032008-0.001774i,-0.0010081-0.0021929i,-0.00034756-0.0028613i,-0.0038596-0.0022278i,-0.00019348+0.0027593i,0.002047+0.00018134i,0.005228+0.0052525i,-0.0075237+0.0065936i,-0.0070287+0.0083874i,-0.018638+0.043576i,0.013393+0.01408i,-0.021256+0.0079023i,-0.0097747-0.010478i,0.01854+0.010329i,0.016016+0.019768i,-0.0089387+0.0024582i
-0.0064623+0.020706i,0.031408+0.027846i,0.047972+0.011536i,0.018068+0.0056068i,0.0094547-0.0031777i,0.017601-0.019156i,0.014652+0.0054657i,0.034099+0.020055i,0.017619+0.0096022i,0.0037469+0.004925i,0.0017095+0.00028201i,0.0013911-0.00050093i,-0.0014815+0.00060866i,0.0021761-0.00183i,0.0001641-0.0026475i,0.0031205-0.00014245i,-5.8665e-05-0.0082271i,1.2574e-05-0.0007083i,-0.0015611+0.0044541i,-0.0005074-0.00012935i,-0.0027094+0.00056797i,-0.0022175+0.0038936i,-0.0015662+0.002286i,0.0058558-0.0081042i,0.002899-0.0013217i,0.00022707-0.0018731i,0.0010519-0.0010098i,0.0018672+0.00050156i,0.00081601+0.00038555i,0.0015794+0.0019278i,-0.0028235+0.00032789i,-0.0010687+0.0014037i,-0.00057154+0.0010546i,0.00019713+0.00080727i,0.0005107+0.00072463i,0.0043648+0.007025i,9.5239e-05-0.0019363i,-0.00029395-0.0009386i,0.0010671+0.0010099i,-0.0018823-0.00031121i,-0.00097968+0.0013161i,-0.0013193+0.0027142i,0.0095762+0.0020145i,0.0022172-0.00056468i,-0.0022609+0.02774i,-0.017088+0.046737i,0.0073522+0.058673i,0.0064729+0.028161i,0.03102+0.012856i,0.019723+0.012065i,-0.010821+0.011015i,-0.0298+0.0045878i,-0.047447+0.019417i,-0.023917+0.01026i,0.014617-0.0014583i,-0.00014909+0.0061236i,0.0047106+0.0092966i,-0.0065135+0.011013i,-0.0033465-0.0024454i,0.016951-0.0071125i,0.016235+0.0048386i,-0.01919+0.005821i,0.00032755-0.0005158i,-0.0012935+0.0020193i,-0.002481+8.3432e-05i,-0.0021762-0.003059i,0.0072041-4.9485e-06i,-0.00068981-0.0086531i,-0.0041227+0.001725i,0.0022871-0.0034271i,-0.00082192-0.0065465i,-0.0041221+0.0022268i,0.0019312-9.0242e-05i,0.00059097-0.0022917i,0.030524-0.00044347i,-0.0048792+0.00604i,0.00020217-0.0039643i,-0.0034986-0.0018898i,-0.00019734-0.0069832i,-0.0015849+0.0073434i,0.0020988-0.0031774i,-0.0010828-0.00036622i,-0.00020545-0.0019309i,-0.0023431-0.00088689i,0.0011585+0.0031379i,0.00095984-0.0008128i,0.009694+0.0032856i,-0.0060923+0.0068237i,-0.004675+0.010635i,-0.011801+0.044456i,0.017229+0.0016773i,-0.016918+0.0089687i,-0.015812-0.0088116i,0.019888+0.005359i,0.020604+0.013107i,-0.0091734+0.0024606i
-0.0037576+0.021086i,0.035123+0.023023i,0.048645+0.0020265i,0.01881-0.00084316i,0.0086966-0.0068682i,0.013281-0.022189i,0.015471+0.0042617i,0.035107+0.013799i,0.019862+0.004452i,0.0041175+0.0036978i,0.0022419+0.0002278i,0.0019268-0.00079842i,9.1735e-08+0.0020727i,0.0018218-0.0018875i,-0.00017177-0.0023484i,0.0039314+0.00013632i,-0.0011628-0.0074203i,0.00017574-0.00088709i,-0.00070267+0.0040664i,-0.00083156+0.00031804i,-0.0021865+0.001207i,-0.00038394+0.0037145i,-0.00078757+0.002412i,-0.00020341-0.009444i,0.0024047-0.0018844i,-0.00057748-0.0017497i,0.00052487-0.0012173i,0.001666+0.00014307i,0.00067327+0.00024871i,0.0021769+0.00094889i,-0.0022218+0.0012057i,-0.00030717+0.001883i,-0.00032782+0.0012687i,0.00083433+0.00020334i,0.00072387+4.4134e-05i,0.0052938+0.0049874i,-0.00054691-0.0017109i,-0.00050166-0.00046463i,0.0011273+0.00036524i,-0.0014362-0.00012238i,-0.00086366+0.0015816i,-0.00085211+0.0023725i,0.0085336-0.00049947i,0.0016432-0.00056824i,0.0017148+0.02489i,-0.0072216+0.045241i,0.018836+0.054305i,0.011107+0.026049i,0.029434+0.0017712i,0.019736+0.0057363i,-0.0085006+0.018343i,-0.028057+0.016019i,-0.041108+0.032631i,-0.026501+0.011053i,0.01065-0.0040909i,0.0016799+0.0058986i,0.0077123+0.0068152i,-0.0024803+0.013311i,-0.0037382+5.3995e-05i,0.011242-0.01397i,0.016707-0.0021989i,-0.016793+0.010728i,0.0013848-0.00028041i,-0.00016673+0.0017088i,-0.00085224+0.00031583i,-0.0024161-0.00060841i,0.0057888-0.0014806i,-0.0025973-0.0073527i,-0.0012688+0.0037511i,0.0016887-0.0048299i,-0.0032468-0.0053308i,-0.0027546+0.0024539i,0.0020044-0.0016996i,0.00079702-0.002001i,0.024433-0.013231i,-0.0016602+0.0063215i,-0.001412-0.003661i,-0.003471-0.0011107i,-0.0029142-0.0065521i,0.00043272+0.0060966i,0.0025901-0.0058519i,0.00025933+0.00023576i,0.00055123-0.0025689i,-0.0011939-0.0012123i,0.0031654+0.0033473i,-0.00024395-0.00025207i,0.0061938-0.0019951i,-0.005259+0.0072689i,-0.0013391+0.011533i,-0.0048918+0.043955i,0.013153-0.0085948i,-0.014016+0.0064749i,-0.021013-0.0034566i,0.018188-0.0014159i,0.02125+0.0064448i,-0.0095708+0.0039892i
-0.00088187+0.021339i,0.037967+0.017022i,0.046703-0.0081627i,0.016331-0.0086548i,0.0071691-0.01083i,0.0083104-0.024103i,0.017007+0.0022102i,0.035553+0.0074642i,0.019454-0.00098608i,0.0045069+0.0032342i,0.0023658-0.00038423i,0.002268-0.0020695i,0.0015077+0.002049i,0.0013372-0.0019893i,-0.0004441-0.001997i,0.0049745-0.00033747i,-0.0026489-0.0068176i,-0.00044798-0.0012246i,0.00069797+0.0035241i,-0.0010421+0.00088877i,-0.0019512+0.0014407i,0.00081325+0.0026515i,-0.00034074+0.0023159i,-0.0087664-0.0057486i,0.0014653-0.0033363i,-0.001187-0.0011282i,-0.00016097-0.0012172i,0.0016538-0.00012541i,0.00088342+2.6909e-06i,0.0020851-9.4567e-05i,-0.0012138+0.0018307i,0.00032245+0.0019817i,7.7163e-05+0.0014199i,0.00091924-4.014e-05i,0.00022737-0.00042509i,0.0056838+0.0030848i,-0.0011488-0.0013396i,-0.00052303-0.00026718i,0.0010082+5.5609e-05i,-0.00084243-0.00026342i,-0.00050157+0.0019379i,-0.00023497+0.002571i,0.0067656-0.0019882i,0.0013436-0.00041903i,0.0045975+0.02208i,0.00091076+0.04201i,0.027613+0.047205i,0.016004+0.023137i,0.024799-0.0069913i,0.018226+0.0013337i,-0.0023499+0.02262i,-0.019226+0.024934i,-0.028339+0.041152i,-0.027828+0.015397i,0.0071518-0.0046567i,0.0031944+0.0048699i,0.0087789+0.0032412i,0.0023384+0.013054i,-0.0039555+0.0018297i,0.0013685-0.016624i,0.013177-0.0079815i,-0.013753+0.014556i,0.0021054-0.0015962i,0.00075049+0.0014366i,-0.00048799-0.00040416i,-0.00094229+0.00067068i,0.0046778-0.0018227i,-0.003445-0.0063888i,0.001624+0.0036191i,5.1718e-05-0.006238i,-0.0044387-0.0034885i,-0.0013524+0.0027762i,0.00091612-0.0031484i,0.0010299-0.0027391i,0.014719-0.019723i,0.00089785+0.0058408i,-0.0022879-0.0029291i,-0.0029142-0.00087589i,-0.0050049-0.0053418i,0.0015666+0.0048435i,0.0018435-0.0062806i,0.0012404-0.00029546i,-0.00059363-0.0033031i,-0.0014308-0.0020288i,0.0039304+0.0036295i,-0.00056757+0.0009804i,0.0050197-0.0024913i,-0.0044504+0.0079255i,0.0016903+0.011041i,0.002079+0.043196i,0.0061287-0.015508i,-0.015774+0.0031062i,-0.022482+0.0033681i,0.012629-0.0057875i,0.021113+0.00084285i,-0.0079284+0.0050958i
0.0022497+0.020781i,0.039898+0.011288i,0.042181-0.016976i,0.010197-0.013546i,0.003794-0.014131i,0.003609-0.02455i,0.018612-0.00096226i,0.034657+0.001869i,0.017823-0.0061392i,0.0052863+0.002749i,0.0021637-0.00063099i,0.0011329-0.0033598i,0.0028414+0.0014028i,0.00087159-0.0019798i,-0.00039016-0.0019279i,0.0055648-0.0012375i,-0.004801-0.0051504i,-0.00098461-0.00087391i,0.0015497+0.0023912i,-0.00066249+0.0017758i,-0.0015454+0.0020216i,0.00085613+0.0012175i,6.7658e-05+0.0024009i,-0.0052122+0.0042682i,-0.0009459-0.003322i,-0.0013659-0.00038952i,-0.00065909-0.0009121i,0.0014584-0.00037154i,0.00053356-0.00057655i,0.001632-0.00077404i,-0.00013604+0.0018548i,0.00096202+0.0016708i,0.00073419+0.0013532i,0.00047105+0.0010275i,-7.0145e-05+7.0315e-05i,0.0055088+0.0013527i,-0.00189-0.00051466i,-0.00046575-1.9349e-06i,0.0009748-6.7174e-05i,-0.00052607-0.00066149i,0.00018765+0.0023032i,0.00049899+0.0024332i,0.0051054-0.00073764i,0.0012324-0.0001945i,0.0069989+0.019007i,0.0074519+0.037573i,0.033167+0.03951i,0.020947+0.01888i,0.018813-0.012341i,0.016044-0.0013199i,0.0042642+0.023895i,-0.0088908+0.0274i,-0.013923+0.044329i,-0.026176+0.020704i,0.0054405-0.0042127i,0.0043384+0.0034536i,0.0081876+0.00036108i,0.0065419+0.010695i,-0.0032123+0.0041004i,-0.0078134-0.012551i,0.0084758-0.010962i,-0.0091056+0.01755i,0.0014847-0.0032443i,0.00094162+0.00062243i,-0.00097089-0.00043714i,0.00093153+0.00092103i,0.0042934-0.0022182i,-0.0047109-0.0047995i,0.0035892+0.002006i,-0.0029501-0.0063904i,-0.0047721-0.0017077i,0.00019168+0.0018736i,0.000123-0.0037612i,0.00036725-0.0039061i,0.0058637-0.021398i,0.0029027+0.0044684i,-0.002766-0.0024712i,-0.0035713-0.00079272i,-0.0064833-0.0033014i,0.0019964+0.0039609i,-0.00095972-0.0077792i,0.0019145-0.0013327i,-0.0015353-0.0025227i,-0.0017827-0.0022233i,0.0050853+0.0027516i,-9.947e-05+0.0017874i,0.0033819-0.0032896i,-0.0035076+0.0091812i,0.004311+0.0094521i,0.0099371+0.041301i,-0.0040954-0.019353i,-0.019641+0.0028565i,-0.020288+0.010326i,0.0073607-0.0058253i,0.017989-0.0053327i,-0.0063308+0.0037258i
0.0050582+0.019371i,0.041361+0.0047416i,0.036485-0.023182i,0.0043217-0.014356i,-0.00026309-0.015982i,-0.00038535-0.024514i,0.019499-0.0056386i,0.033644-0.003508i,0.014919-0.009923i,0.0061385+0.0016271i,0.0025097-0.00093815i,-0.00032298-0.0032004i,0.0035138-0.00027536i,0.00059626-0.0019664i,-0.00060522-0.0020604i,0.0059372-0.0022732i,-0.0052522-0.0028193i,-0.0010638-0.0009029i,0.0015497+0.0013202i,0.00018102+0.001988i,-0.00080122+0.0023943i,0.00045407+0.00045419i,0.00071338+0.0023111i,-2.7461e-05+0.002431i,-0.0021574-0.0019165i,-0.0013008+0.0002355i,-0.00093685-0.00052454i,0.0010949-0.00077152i,-9.3274e-05-0.00032569i,0.00096438-0.0013375i,0.00077379+0.0014087i,0.0014281+0.0012554i,0.0013146+0.0010551i,0.00055409+0.00016604i,0.00046889+0.00058877i,0.0050025-1.8206e-05i,-0.002221+0.00049797i,-0.00028719+0.00026819i,0.00083882-0.00046234i,-0.00044275-0.0011284i,0.0010775+0.0020873i,0.0009563+0.0019476i,0.0064173-0.00016504i,0.0012128-9.7194e-05i,0.0081977+0.016231i,0.011816+0.032273i,0.037242+0.032323i,0.0241+0.012603i,0.013118-0.015479i,0.014495-0.0015139i,0.011244+0.023083i,0.00042618+0.027369i,-0.00048977+0.041828i,-0.022532+0.026431i,0.0042903-0.004635i,0.0051072+0.0014382i,0.0075164-0.0018847i,0.0096401+0.0070863i,-0.00083935+0.0049767i,-0.012045-0.0056275i,0.0032314-0.012147i,-0.0037137+0.018065i,-0.00064356-0.0039166i,0.00032673+0.00053303i,-0.0012016-0.00010638i,0.0020362+4.6906e-05i,0.0035916-0.0019265i,-0.0053678-0.0024226i,0.0037945-8.0128e-05i,-0.0053273-0.0046209i,-0.004204-0.00046713i,0.00041437+0.00056828i,-0.0008448-0.0043548i,-0.0011968-0.0043733i,-0.0021825-0.020087i,0.0043563+0.0021389i,-0.0037869-0.0015134i,-0.0038135+0.00076665i,-0.0066604-0.00046615i,0.0027389+0.0036177i,-0.004739-0.0076435i,0.0021014-0.002739i,-0.0018727-0.0022495i,-0.0023307-0.0027324i,0.0065454+0.0010767i,0.00051628+0.0021214i,0.0019436-0.0024523i,-0.0016382+0.0098221i,0.0062239+0.0072207i,0.017429+0.03698i,-0.015469-0.017142i,-0.022952+0.0050324i,-0.015117+0.013881i,0.0043872-0.004793i,0.012609-0.0082468i,-0.0076744+0.0027239i
0.0070992+0.017844i,0.041621-0.0024462i,0.03093-0.028149i,0.00034758-0.013666i,-0.0043216-0.016526i,-0.0046063-0.024298i,0.018627-0.011508i,0.03194-0.008945i,0.011324-0.013055i,0.006732+0.00021506i,0.0027493-0.0019957i,-0.0013616-0.0024314i,0.0028228-0.0018138i,0.00034994-0.0018863i,-0.0012202-0.0021868i,0.0061488-0.0036212i,-0.0050694-0.00093589i,-0.0014178-0.00092653i,0.0015166+0.00080396i,0.00088296+0.0018076i,0.00014073+0.0020279i,-0.00021948+0.00028999i,0.0011286+0.0019095i,-0.00086097+0.0012204i,-0.0022245-0.00037903i,-0.0010316+0.00085371i,-0.0010419-0.0001294i,0.0010018-0.00087903i,-0.00017119-3.0404e-05i,-3.1228e-05-0.0013897i,0.0012417+0.00075085i,0.0017841+0.00082329i,0.0016439+0.00034975i,0.0006215-0.00043856i,0.0011776+0.00029928i,0.0044447-0.00098561i,-0.0017552+0.0012622i,8.2453e-06+0.00041801i,9.3067e-05-0.00060107i,-0.00047821-0.0016763i,0.0017825+0.0016377i,0.0013384+0.0015467i,0.0089494-0.0042157i,0.0012775+0.00049764i,0.0089153+0.014064i,0.0142+0.028113i,0.040349+0.02495i,0.024725+0.007365i,0.0069099-0.017367i,0.015954-0.0011213i,0.017704+0.019579i,0.010154+0.024122i,0.010874+0.03548i,-0.015123+0.030793i,0.0029916-0.0050763i,0.0044333-0.0015886i,0.0064892-0.0041529i,0.010082+0.0022311i,0.00048219+0.0044436i,-0.012908+0.0016277i,-0.00185-0.01092i,0.00046426+0.016139i,-0.0023329-0.002842i,8.5764e-05+0.0012389i,-0.0012+0.00027491i,0.0028203-0.0013848i,0.0042891-0.0011296i,-0.0043113-0.00059945i,0.0035899-0.00065735i,-0.0062182-0.0021428i,-0.0028167+0.0014548i,-3.4733e-05+0.00028315i,-0.0032579-0.0048686i,-0.0026946-0.0035857i,-0.0091665-0.016702i,0.0043163-0.00049989i,-0.0042131-0.00019732i,-0.0024485+0.0018188i,-0.0057647+0.00161i,0.0040505+0.0031457i,-0.007567-0.0050712i,0.00090273-0.0043668i,-0.0026134-0.0017349i,-0.0041037-0.0023401i,0.0067447-0.001781i,0.0015442+0.0029099i,0.0021452-0.0020521i,0.00076176+0.010515i,0.0066651+0.0044179i,0.023556+0.030762i,-0.021849-0.0090751i,-0.025706+0.0097183i,-0.010279+0.015129i,0.0017127-0.0026807i,0.0087279-0.008139i,-0.0085739+0.0033151i
