-0.028842-0.042866i,-0.022137-0.022157i,-0.013593-0.037534i,-0.029514-0.021824i,-0.023367-0.0017163i,-0.01464-0.0062098i,-0.054397-0.06055i,-0.048191-0.018782i,-0.036743-0.012688i,0.012086+0.01257i,-0.0084636+0.0052324i,-0.019677+0.019083i,0.0023279+0.012598i,-0.0055819-0.0028503i,0.00039826+0.001368i,-0.0023044+0.031778i,0.028594+0.026095i,0.0026294-0.0025476i,-0.0025204-0.0072398i,0.0078886+0.0027104i,0.0025958+0.00099501i,-0.0008646+0.0042115i,-0.00034122+0.00015507i,-0.037267-0.014133i,-0.00022284-0.0083968i,0.00142+0.0023361i,0.0067335+0.00084704i,0.0020858+0.00037841i,0.0012243-0.00052107i,-0.00047697-0.0028609i,0.0015929-0.0025129i,-0.0025586-0.0063403i,-0.001082-0.0047477i,0.003194-0.00065775i,0.0046219-0.0035536i,0.0021482+0.031865i,0.0042541-0.0037658i,0.0030434-0.0015696i,0.0087897-0.0012778i,-0.0055564-0.0024487i,-0.00033862+0.00082882i,0.0098306+0.00022625i,0.0048663-0.0021152i,-0.0023523+0.0087764i,-0.017422-0.0095394i,-0.018123+0.014164i,-0.0023525-0.062914i,-0.0046958-0.026861i,-0.025517-0.0333i,-0.010336-0.027621i,0.054339-0.020952i,0.017361-0.042941i,0.024054-0.047818i,0.0046605-0.054548i,0.02691-0.021029i,0.0082102+0.0062769i,0.025525-0.033001i,-0.008333-0.0063998i,0.0032792-0.0042271i,-0.0048864-0.0073466i,-0.0017692-0.033123i,-0.019081+0.029102i,0.0090206-0.012102i,-0.0092259-0.0038988i,-0.0041109-0.0018405i,0.00096548-0.012714i,-0.010962+0.0042452i,0.0023968+0.010197i,-0.0048415+0.026249i,0.0048981+0.0025676i,-0.005597-0.0018524i,-0.0020636-0.0022324i,-0.012379-0.0073537i,-0.00057899-0.0044406i,-0.034273+0.0051036i,0.00098426-0.010866i,-0.0084444+5.4126e-05i,-0.0068895-0.0023163i,0.0050658+0.0015925i,-0.0079605-0.00044037i,0.0020648+0.0001877i,0.0046866+0.0074283i,0.0042022+0.0005916i,-0.0080801-0.011735i,0.0033044+0.0099204i,-0.013806+0.0038933i,0.0071328-0.00052705i,-0.022505-0.00086093i,-0.017771+0.0069397i,-0.012016-0.06889i,0.0072544-0.012164i,-0.049603-0.023464i,-0.020777-0.00046464i,0.017218+0.01213i,-0.02332+0.015025i,-0.020861-0.006501i
0.026217+0.04129i,0.015092+0.016889i,0.018265+0.026586i,0.006612+0.021121i,0.009288+0.0082516i,0.0053075-0.00063717i,0.016696+0.014061i,0.016664-0.001856i,0.008677-0.0067426i,0.002798+0.0042821i,0.0021341-0.0028345i,0.0009518-0.0049162i,-0.002204+0.00066355i,0.001256-0.0016621i,0.0020851-0.00058001i,0.0051074-0.0028459i,0.0062002-0.0050921i,-5.7584e-06+0.00031083i,-0.0042029+0.00022366i,2.3683e-05+0.00064553i,-0.00083954-0.001113i,-0.0024979-0.001097i,-0.0017186+0.00098503i,0.0058881+0.011424i,-0.0011025+0.001208i,0.00061051+0.0018524i,0.0012597+0.00080805i,-0.0018218+0.0026168i,-0.00090902+0.00026547i,-0.0015704+0.00043482i,-0.0017162-0.0016152i,-0.0034948+9.6643e-05i,-0.00024771+9.7321e-05i,0.00032566+0.00055885i,-0.00019016-0.00095175i,-0.0097326+0.0089504i,0.0016903-0.00041807i,0.00075477+0.001191i,0.0020888+0.0022963i,0.00025165-0.00056565i,-0.00037128-0.00065394i,-0.0011372-0.001789i,0.00085674+0.0010027i,-0.00077255+0.0015243i,0.019878+0.016039i,-0.023515+0.013795i,-0.013479+0.018953i,-0.022454+0.011331i,-0.0051038+0.038491i,-0.021183+0.024757i,0.0017673-0.0031183i,-0.010876-0.017333i,-0.018636-0.0017499i,-0.0086192+0.013367i,0.018407+0.019542i,-0.00062612+0.0023863i,-0.0039289+0.00095541i,-0.012371-0.0044827i,0.011436+0.0013776i,0.011104+0.0098099i,-0.0013326+0.0059659i,-0.0055488-0.0083128i,0.0064169-0.0028781i,-0.0034546-0.004064i,0.003823-0.0083774i,0.0087395-0.0027307i,-0.001759+0.010947i,0.012326-0.0050897i,0.0040103-0.008993i,0.0024983-0.0092755i,0.0023382+0.00080205i,-0.0024592-0.0056747i,-0.004001-0.0017264i,0.0026073-4.546e-05i,-0.0082378+0.032443i,-0.0073682-0.0045185i,7.5676e-05+0.0012231i,-0.00099368-0.0072372i,0.003494-0.00027282i,-0.016727-0.0073525i,-0.0016835-0.0041934i,0.0028291-0.0023601i,0.0032331-0.0015899i,-0.002029-0.0071616i,0.00019368+0.0073676i,0.00026892+0.0034283i,-0.0040616+0.0038715i,-0.00777+0.0036701i,-0.0066359-0.0012418i,-0.0059979+0.030295i,-0.0019407+0.014201i,-0.027118-0.011652i,-0.0018597-0.0027165i,0.013614+0.018818i,0.00047885+0.01819i,-0.00039625-0.0052142i
0.032922+0.035041i,0.017904+0.012986i,0.022825+0.023364i,0.010191+0.020581i,0.011494+0.0067885i,0.0055495-0.0021296i,0.017131+0.010203i,0.016001-0.0048391i,0.0069718-0.0085642i,0.0039272+0.0029953i,0.001874-0.0029543i,-0.00098317-0.0035485i,-0.0017379+0.0017347i,0.00092501-0.00055652i,0.0019267-0.00091338i,0.0038017-0.0030754i,0.0047175-0.0057896i,0.00037968+0.00032226i,-0.0033643+0.0011553i,0.00030952-8.34e-06i,-0.0009344-0.0013369i,-0.0025495-0.00063078i,-0.0013751+0.0011387i,0.011701+0.0079618i,-0.0010666+0.0024818i,0.0015006+0.0013746i,0.0010765-0.00012182i,-0.00063653+0.0029927i,-0.0012633+0.00077977i,-0.001377+0.0011926i,-0.0022836-0.00073385i,-0.0024071+0.00019684i,-0.00044255+2.8969e-05i,0.00052293+0.00020384i,-0.00084826-0.00026385i,-0.0058327+0.010785i,0.0011073-0.00092779i,0.0011176+0.0010235i,0.0019891+0.0013335i,0.00020123-0.00071219i,-0.00070362-0.0009771i,-0.0014219-0.0012687i,0.00077702+0.0010834i,-0.0010454+0.00182i,0.023355+0.012769i,-0.019016+0.017267i,-0.011873+0.021932i,-0.017609+0.01325i,0.0066355+0.03476i,-0.014985+0.020485i,-0.0050955-0.0063853i,-0.018827-0.018484i,-0.020016-0.0017794i,-0.0022024+0.01026i,0.020652+0.012571i,-0.00093636+0.0023279i,-0.0027714+0.0047096i,-0.012428-2.0813e-06i,0.010019-0.0028001i,0.013232+0.0070457i,0.0021672+0.0088937i,-0.010216-0.0069047i,0.0023976-0.0047657i,-0.0035946-0.0019659i,-0.0014459-0.0076985i,0.0069891-0.0056299i,0.0031515+0.0088425i,0.0075772-0.008241i,-0.0015218-0.0094109i,-0.0012689-0.0063545i,0.0039535-4.9778e-05i,-0.0037491-0.0047109i,-0.0023494+0.00091198i,0.0033057-0.00044864i,0.0083811+0.030202i,-0.0095536-0.0017624i,0.00091689+0.00056234i,-0.0040112-0.0059395i,0.003928-0.0018566i,-0.018087+0.00049678i,-0.0024166-0.003194i,0.0015581-0.0023973i,0.0032187-0.0031594i,-0.0033701-0.0054723i,0.0022036+0.0035101i,0.0015595+0.0026046i,-0.0015164+0.0058056i,-0.0050842+0.00587i,-0.0073136-9.9735e-05i,0.00026089+0.026421i,0.00046932+0.015259i,-0.029343-0.0047486i,-0.0038201-0.0060507i,0.016448+0.016179i,0.0039649+0.019146i,-0.0030456-0.0055737i
0.037614+0.027617i,0.019016+0.0079909i,0.027596+0.017694i,0.015232+0.017982i,0.013893+0.0045539i,0.0053011-0.0039319i,0.016855+0.0062777i,0.014712-0.0079988i,0.0051262-0.0094059i,0.0040216+0.0016404i,0.0011059-0.003722i,-0.0013201-0.0018489i,-0.00087762+0.0018463i,0.0016441-0.00043192i,0.0017029-0.0012647i,0.0027395-0.0031401i,0.0029371-0.0068534i,0.00043705-9.8586e-05i,-0.0030873+0.0025711i,-1.8242e-05-0.00071111i,-0.0017566-0.0017591i,-0.0024829-8.0196e-05i,-0.0010946+0.0012294i,0.013774+0.0014043i,0.00015054+0.00321i,0.0018138+0.00047529i,0.0004627-0.00050323i,0.00042308+0.0026835i,-0.00096357+0.0015476i,-0.00090681+0.001772i,-0.0025063+0.00044512i,-0.0025783+0.0014554i,-0.00048897+0.00015751i,0.0005897-0.00012803i,-0.00076628+0.0005454i,-0.0023249+0.011067i,0.00060529-0.00097413i,0.0014646+0.00047684i,0.0017896+0.00078384i,-0.00016256-0.00079064i,-0.0012216-0.00088623i,-0.0014944-0.0014024i,0.0009414+0.0013334i,-0.00092081+0.0024567i,0.027122+0.0081448i,-0.014232+0.01962i,-0.0084114+0.024938i,-0.011985+0.012996i,0.017106+0.027416i,-0.007598+0.01993i,-0.012254-0.0051995i,-0.025788-0.015846i,-0.017512+0.0012442i,0.0016549+0.0049609i,0.02079+0.0061966i,-0.0013876+0.0022455i,-0.00096758+0.0048757i,-0.012397+0.0028298i,0.0061478-0.0072774i,0.014234+0.0029265i,0.0063679+0.0087616i,-0.013852-0.0037378i,0.00023269-0.0031901i,-0.0034506-0.00015274i,-0.003906-0.0050137i,0.0048391-0.0069403i,0.0061222+0.0075778i,0.0044591-0.0084923i,-0.0067899-0.0050804i,-0.0016004-0.0032865i,0.00442-0.0025394i,-0.0064163-0.0025608i,-0.00022063+0.00092196i,0.0027509-0.0018377i,0.020306+0.022114i,-0.01049+0.0015007i,0.0014861-3.5335e-05i,-0.0039706-0.0039733i,0.0039589-0.0039791i,-0.014167+0.0079966i,-0.0024979-0.0018262i,0.00056887-0.0025275i,0.0016124-0.0038643i,-0.0043354-0.004006i,0.0013193+0.0024922i,0.0021838+0.0015141i,0.0012085+0.0060722i,-0.0024823+0.0059254i,-0.0077291+0.0018275i,0.003109+0.021789i,0.0073253+0.014682i,-0.028807-1.1189e-05i,-0.0065537-0.0083418i,0.019532+0.011153i,0.0088775+0.0193i,-0.0053232-0.0047325i
0.040258+0.020322i,0.018139+0.0041356i,0.029511+0.010486i,0.018671+0.01274i,0.015439+0.0011652i,0.0041205-0.0055177i,0.015707+0.0035418i,0.01248-0.010776i,0.0036869-0.010231i,0.0036923+0.00083178i,-4.6221e-05-0.0031671i,-0.00085791-0.00095711i,-0.00066668+0.0019249i,0.0017174-0.00051647i,0.0012392-0.0015652i,0.0017443-0.0027438i,0.00055888-0.0065112i,0.00041664-0.00022564i,-0.0014821+0.0031561i,-0.00072057-0.00087681i,-0.0025187-0.00081631i,-0.0024777+0.00053818i,-0.00083137+0.0013437i,0.012192-0.0041702i,0.0014792+0.0031424i,0.0017992-6.7654e-05i,2.7908e-05-0.00032543i,0.0010249+0.0020766i,-0.00030889+0.0015867i,-0.00016999+0.002042i,-0.0020691+0.001674i,-0.0013244+0.002141i,-0.00043008+0.0002359i,0.00039097-0.00026279i,-0.00040197+0.00097751i,0.00056682+0.011077i,0.00029266-0.00098465i,0.0013389-0.0002445i,0.0015479+0.00069909i,-0.00066821-0.00056058i,-0.0015909-0.00045705i,-0.0020867-0.0012187i,0.0013689+0.0014926i,-0.00053288+0.0031735i,0.029515+0.0012957i,-0.0088461+0.021087i,-0.0035938+0.027426i,-0.0096426+0.010431i,0.024764+0.015923i,-0.00037831+0.015888i,-0.018345-0.00017771i,-0.032534-0.0098483i,-0.010876+0.022983i,0.0023582-0.00065722i,0.019882-0.00064683i,-0.0015968+0.0032063i,8.8768e-05+0.0064389i,-0.011949+0.0067669i,-3.3952e-05-0.0072859i,0.014279-0.001829i,0.010177+0.0065238i,-0.016745+0.0012529i,-0.00080515-0.0023781i,-0.002415+0.0011971i,-0.0048491-0.0017558i,0.0025829-0.007892i,0.0087349+0.0038774i,0.0018601-0.008814i,-0.0061812+0.0010105i,-0.00067235-0.002003i,0.0028361-0.0047923i,-0.0067833+0.00064154i,0.00077975+0.00059971i,0.0018267-0.0026486i,0.02731+0.010925i,-0.0086079+0.0057808i,0.0017913-0.0011433i,-0.0041343-0.0024341i,0.0021165-0.0062555i,-0.0082148+0.010823i,-0.0020116-0.0011875i,-0.00021322-0.0017432i,0.00024413-0.0035713i,-0.0047879-0.0028954i,0.0014151+0.002375i,0.0019766+0.0002931i,0.0038586+0.0055032i,-0.00052748+0.0044186i,-0.0078339+0.0037151i,0.0046397+0.019648i,0.015417+0.0078013i,-0.026324+0.0048331i,-0.011688-0.009041i,0.019024+0.0055526i,0.013787+0.016946i,-0.005662-0.0036278i
0.04246+0.013278i,0.017843+0.0018128i,0.02952+0.0043735i,0.020172+0.0071443i,0.015746-0.0024223i,0.0028047-0.0065526i,0.014866+0.0019548i,0.0099062-0.012568i,0.0021679-0.011037i,0.003474+0.0001915i,-0.00053562-0.0026152i,-0.00037288-0.00082369i,-0.0003879+0.0023615i,0.0016803-0.00089007i,0.00077229-0.0015193i,0.0014743-0.0019146i,-0.00048689-0.0055879i,0.00021657-0.00023566i,-0.00028975+0.0027047i,-0.0013193-0.00055929i,-0.0026215-1.3573e-05i,-0.002009+0.0012693i,-0.00051768+0.0014799i,0.0089223-0.0080148i,0.0025876+0.0025945i,0.0015359-7.2274e-05i,-0.00026162-0.00011341i,0.0013987+0.0015627i,6.4813e-05+0.0015716i,0.0007822+0.0019781i,-0.0010776+0.0024057i,-0.00086112+0.0022455i,-0.0005059+0.00042171i,0.00028716-3.9391e-05i,0.00019685+0.001213i,0.0031287+0.0094605i,-0.00010565-0.00085791i,0.00085188-0.00064559i,0.0016629+0.00055834i,-0.00070893-0.00012885i,-0.0017201-0.00013715i,-0.0034491-0.0012233i,0.0018711+0.0011906i,1.3517e-05+0.0030984i,0.029039-0.0059126i,-0.002676+0.020913i,0.0032464+0.02849i,-0.0087647+0.009778i,0.025753+0.003066i,0.0025176+0.010291i,-0.020303+0.0081804i,-0.035534+0.00015526i,-0.023882+0.026604i,-0.00021653-0.0050487i,0.015285-0.005724i,-0.00075668+0.0041403i,0.003732+0.0063498i,-0.0094394+0.010154i,-0.0033857-0.0040518i,0.011848-0.0079513i,0.012919+0.0026302i,-0.018399+0.0097538i,-0.0010984-0.0005013i,-0.0012272+0.0018136i,-0.0031003+0.00041276i,-0.00064919-0.0074734i,0.0088956+0.00032915i,-0.00078686-0.0084477i,-0.0029458+0.0038921i,9.807e-05-0.0021274i,0.00057251-0.0056968i,-0.004609+0.0029429i,0.0021947-0.00018183i,0.0012167-0.0026816i,0.027201-0.0048736i,-0.0044394+0.0080236i,0.0012113-0.0022113i,-0.0034732-0.0018212i,-0.00071587-0.0069645i,-0.0038032+0.010728i,-0.0029183-0.0015511i,-0.00012899-0.00036892i,-9.523e-05-0.0027514i,-0.0054657-0.00016827i,0.0021387+0.0026667i,0.001017-0.00029386i,0.0045038+0.0036082i,-0.00062134+0.0025451i,-0.0068885+0.0060651i,0.0070139+0.01851i,0.01692-0.00448i,-0.022153+0.0056974i,-0.016558-0.0068934i,0.018007+0.00094169i,0.01729+0.011759i,-0.0063362-0.0035646i
0.043571+0.0056478i,0.017973-0.00099265i,0.029279-0.0014457i,0.020653+0.0014578i,0.015581-0.0058165i,0.0012651-0.0073432i,0.015092+0.00071123i,0.0074449-0.0139i,0.00039639-0.011917i,0.0029456-0.00041869i,-0.00066505-0.0021762i,-0.00013201-0.00083455i,0.00046826+0.0028573i,0.0015362-0.0010329i,0.00055859-0.0014534i,0.0020705-0.0013092i,-0.0011309-0.0055267i,0.00029632-0.0002421i,0.00038387+0.002059i,-0.0015585-8.8626e-06i,-0.0021928+0.00063572i,-0.0011828+0.0015057i,-0.00012188+0.0015267i,0.005141-0.010112i,0.00362+0.0015899i,0.0011381-0.00047487i,-0.00034568+3.6815e-05i,0.0015853+0.0010363i,0.00051737+0.0015177i,0.0014559+0.0013554i,0.00011694+0.002611i,3.9454e-05+0.0027392i,-0.00040132+0.00067264i,0.00043909-3.9255e-05i,0.0007173+0.00098305i,0.0042965+0.0075118i,-0.00035874-0.0005545i,0.00048706-0.0006677i,0.0015821+0.00012667i,-0.00046736+0.00014002i,-0.0018827+0.00041715i,-0.0038937+0.00089221i,0.0022032+0.0008672i,0.00038688+0.0033205i,0.026889-0.012534i,0.0026921+0.018793i,0.010188+0.025994i,-0.0076658+0.010321i,0.022417-0.006996i,0.0022585+0.0064287i,-0.017171+0.0166i,-0.032814+0.011071i,-0.018645+0.031431i,-0.0045049-0.0056017i,0.010573-0.0072426i,0.00043122+0.0044022i,0.0060614+0.0039108i,-0.0056988+0.012735i,-0.0043928-0.0013416i,0.0058662-0.013068i,0.012999-0.0029365i,-0.010025+0.016689i,-2.6816e-05+0.00059935i,-9.6862e-05+0.0015945i,-0.0015499+0.00078332i,-0.0024318-0.0054976i,0.0074145-0.0022011i,-0.0026528-0.0072688i,0.00075929+0.0039879i,0.00025977-0.0032212i,-0.0015951-0.005273i,-0.0028995+0.0034035i,0.0020046-0.0021677i,0.0009089-0.0028852i,0.017295-0.01524i,-0.00038842+0.0079553i,0.00026626-0.0022748i,-0.0037422-0.00093047i,-0.0036107-0.0060527i,-0.00052295+0.010098i,-0.0011022-2.4294e-06i,0.0011812-0.00026354i,-0.00066101-0.0028654i,-0.0029835+0.0020476i,0.0047165-0.00010355i,0.00018772+0.00024827i,0.0016391-0.0021547i,-0.0018759+0.0016806i,-0.004669+0.0075762i,0.0098073+0.016684i,0.010842-0.013779i,-0.020567+0.0028322i,-0.020828-0.0019193i,0.014674-0.0040818i,0.017697+0.0062606i,-0.0072875-0.0026779i
0.043041-0.002148i,0.01723-0.0042433i,0.026985-0.0082988i,0.018915-0.0050239i,0.014723-0.0096271i,-0.00055468-0.007598i,0.015987-0.0011686i,0.0046829-0.01512i,-0.0017438-0.012243i,0.002235-0.00024108i,-0.0012446-0.0019612i,-0.00022844-0.0014511i,0.0013598+0.0027711i,0.0013076-0.0013864i,0.00031631-0.0014022i,0.002786-0.0015436i,-0.0024198-0.0054931i,1.0306e-05-0.00045799i,0.00085105+0.001359i,-0.0017371+0.00058628i,-0.0020241+0.0008577i,-0.00047297+0.0011988i,0.00020976+0.0014404i,0.005024-0.00923i,0.0039823-0.0004428i,0.00053646-0.0008601i,-0.00067343+0.00025075i,0.0015698+0.00060639i,0.0011173+0.0011778i,0.0017189+0.00057757i,0.0012563+0.0022818i,0.00097031+0.0028678i,-0.00038132+0.0009501i,0.00046755-0.000115i,0.00090918+0.00052689i,0.0053509+0.0057789i,-0.00055059-0.00029016i,9.1721e-05-0.00072254i,0.0017378-0.0001858i,-7.16e-05+0.00019127i,-0.0017593+0.0011956i,-0.003076+0.0013221i,0.0025583+0.00030114i,0.00089331+0.0041129i,0.023283-0.018363i,0.006896+0.01529i,0.014963+0.021769i,-0.0050334+0.011396i,0.017179-0.013387i,0.001168+0.0046348i,-0.010761+0.021512i,-0.025214+0.018499i,-0.0083343+0.033936i,-0.0078048-0.003145i,0.0069248-0.0070153i,0.0014745+0.0041239i,0.0059582+0.00059376i,-0.00091065+0.013313i,-0.0049967+0.00098749i,-0.0032705-0.013107i,0.010237-0.0072399i,-0.0046723+0.015389i,0.0015042-0.00012983i,0.00051847+0.0012636i,-0.001086+0.00019319i,-0.0027203-0.0037081i,0.0058998-0.0031303i,-0.003837-0.0065723i,0.0021672+0.0025046i,-0.00073414-0.0047944i,-0.0034631-0.0040323i,-0.0011159+0.0038293i,0.00054114-0.0033478i,0.00037895-0.0036093i,0.011825-0.013672i,0.0025537+0.0063715i,-0.00018445-0.0023606i,-0.003032-0.00069661i,-0.0053529-0.0042676i,0.0018899+0.0089312i,-0.00052435-0.00092551i,0.0018823-0.00093749i,-0.0014457-0.0020279i,-0.001111+0.0013688i,0.0028166+0.0004957i,0.00018572+0.0012697i,0.0045487-0.0027083i,-0.0032064+0.0022071i,-0.002659+0.0077958i,0.012745+0.015023i,0.0025475-0.019283i,-0.02409+0.00098184i,-0.021127+0.0048699i,0.0083035-0.0064076i,0.017073+0.0013397i,-0.0068805-0.0025328i
0.041277-0.0093343i,0.016507-0.0065172i,0.022686-0.012947i,0.014286-0.0097754i,0.012639-0.013272i,-0.0021856-0.0072777i,0.016897-0.0037695i,0.0016357-0.015662i,-0.0037295-0.01241i,0.0024114+0.00033214i,-0.0016456-0.0010563i,-0.0011009-0.0015866i,0.0022131+0.002388i,0.00084868-0.0014749i,0.00012189-0.0013323i,0.0030813-0.0021746i,-0.0042557-0.0046862i,-0.00023463-0.00029626i,0.00094964+0.000669i,-0.0015312+0.0013862i,-0.0018548+0.001405i,-0.00046618+0.00061729i,0.00052254+0.0013549i,-0.0007561-0.0033089i,0.0029677-0.0019631i,0.00011106-0.00083722i,-0.0005783+0.00072537i,0.0015256+0.00038544i,0.0012904+0.00045543i,0.0016389-2.9471e-05i,0.0021224+0.0014589i,0.0020134+0.0024982i,5.0175e-05+0.0013734i,0.00045684-0.0001197i,0.00081235+0.00061426i,0.0058902+0.0039553i,-0.00065534+0.00015118i,-0.00020111-0.00048436i,0.0018839-0.0006378i,0.00027578+0.0001136i,-0.001192+0.0019046i,-0.0026382+0.0018187i,0.002623-0.00044609i,0.0027255+0.0041135i,0.018291-0.022952i,0.0096324+0.010924i,0.017816+0.017344i,-0.0015547+0.010929i,0.012185-0.018051i,9.4573e-05+0.0045601i,-0.0039557+0.023399i,-0.016874+0.021032i,0.0025198+0.032887i,-0.0083784+0.00099799i,0.0052494-0.0066259i,0.0026038+0.0035434i,0.0045959-0.0013615i,0.0037161+0.012301i,-0.0041632+0.0040468i,-0.0099435-0.0075229i,0.0061997-0.0092966i,-0.0016051+0.014702i,0.0014622-0.0017055i,0.00097374+0.00067237i,-0.0012579+0.00014617i,-0.0023229-0.0024832i,0.0046098-0.0038826i,-0.0052622-0.0056722i,0.002791+0.00090101i,-0.0038683-0.0051401i,-0.0042421-0.0021951i,0.0009865+0.0027358i,-0.0003787-0.0037015i,-0.00080616-0.0041493i,0.0056072-0.016751i,0.0042938+0.0043903i,-0.0008159-0.0024792i,-0.0037278-0.00041021i,-0.0060953-0.0017318i,0.0034841+0.007634i,-0.0012031-0.0021471i,0.0022484-0.0020251i,-0.00090172+0.00089717i,-0.00017637+0.00048445i,0.0032707+8.3647e-05i,0.00096149+0.0017315i,0.0033354-0.0030168i,-0.0039474+0.0038405i,-0.0010503+0.0072011i,0.016887+0.012907i,-0.0080598-0.02108i,-0.028253+0.0032087i,-0.017657+0.010584i,0.0037821-0.0042318i,0.013918-0.0039028i,-0.006937-0.0036892i
0.038472-0.016276i,0.015966-0.0095463i,0.018781-0.015615i,0.0097698-0.011349i,0.0096877-0.016304i,-0.0033566-0.0066761i,0.017743-0.0075809i,-0.0012954-0.015574i,-0.0058806-0.012234i,0.0032449+0.0002138i,-0.0011442-0.00027901i,-0.0017336-0.0007936i,0.0029434+0.0015997i,0.00043782-0.0014701i,3.3454e-05-0.0012855i,0.0031958-0.0027288i,-0.0053755-0.0031332i,-0.00011592-0.00029709i,0.00073092+7.8981e-05i,-0.00091523+0.0018109i,-0.0014081+0.0016316i,-0.00061339+0.00055204i,0.00088273+0.0011868i,-0.0042647-0.0013809i,0.0018087-0.0026525i,-0.00017066-0.00070588i,-0.00021794+0.00080813i,0.001646-5.681e-06i,0.0010041+0.00034641i,0.0014516-0.0006012i,0.0026048+0.00046164i,0.0026583+0.00177i,0.00077292+0.0013708i,0.00063338-0.00014292i,0.0012243+0.00083952i,0.0063659+0.0017417i,-0.00041259+0.00077558i,-0.00026444-0.00025915i,0.0015484-0.0013167i,0.00065847-0.00017025i,-0.00038829+0.0021244i,-0.0012556+0.003809i,0.0023454-0.0011372i,0.0034602+0.0033347i,0.012637-0.025763i,0.010153+0.0063237i,0.01928+0.013349i,0.001055+0.0090485i,0.0059315-0.02128i,0.0002136+0.0064934i,0.002822+0.02324i,-0.009673+0.021338i,0.011303+0.02867i,-0.0060526+0.0047742i,0.0038351-0.0069909i,0.003733+0.0020439i,0.0036663-0.0026512i,0.0077542+0.0089336i,-0.0016439+0.0052243i,-0.012098-0.00080882i,0.0023164-0.0098135i,0.0012962+0.013736i,0.0011772-0.0026277i,0.00050627+0.00022236i,-0.0013899+0.00067088i,-0.0019984-0.0019205i,0.0033722-0.0035803i,-0.0066594-0.003816i,0.0022844-0.00017015i,-0.0064755-0.002558i,-0.0038372-0.00048823i,0.0015719+0.00092661i,-0.0013356-0.0039802i,-0.0022956-0.0037089i,-0.00077423-0.016124i,0.0052109+0.0019682i,-0.001739-0.0023219i,-0.0038167+0.0010586i,-0.0054379+0.00079429i,0.0051256+0.0064959i,-0.0030698-0.0024742i,0.0018891-0.0034523i,-0.0034568-0.0040133i,-9.6931e-05-0.00087569i,0.0038731-0.00040098i,0.0016427+0.0016382i,0.0019718-0.0022293i,-0.0037237+0.0058477i,7.9568e-05+0.0065113i,0.021235+0.0086524i,-0.01828-0.01747i,-0.031039+0.0073305i,-0.012547+0.012584i,0.0023986-0.0022113i,0.0083081-0.0055546i,-0.0093129-0.0042157i
0.034117-0.022593i,0.014474-0.013162i,0.015441-0.017842i,0.0063923-0.011641i,0.006041-0.0186i,-0.0044167-0.0060217i,0.017393-0.012903i,-0.0041498-0.014985i,-0.0083722-0.011528i,0.0040805-0.00078416i,-0.00051498-0.00022448i,-0.0018523+0.00026212i,0.0032346+0.00045575i,0.00019953-0.0011213i,-0.00013028-0.0013852i,0.0029544-0.0035962i,-0.0058299-0.0013696i,-0.00021256-0.00044102i,0.000481-0.00014413i,-0.0002721+0.0019096i,-0.0010389+0.0020257i,-0.00073302+0.00065923i,0.0011377+0.00085019i,-0.0041712+0.0015031i,0.0007046-0.0029546i,-0.00039794-0.00051312i,5.9988e-05+0.00065488i,0.001341-0.00050675i,0.0011363+0.00027502i,0.00094213-0.0010693i,0.0027676-0.00061921i,0.0032278+0.00096557i,0.0013368+0.0010165i,0.00071587-0.00054617i,0.001989+0.00059603i,0.0058906+9.6572e-05i,0.00036703+0.001405i,-0.00022177-3.7861e-05i,0.0008088-0.0016638i,0.00090206-0.00060715i,0.00028309+0.0022274i,0.00084354+0.0032465i,0.001811-0.0016969i,0.0042014+0.0032068i,0.0070811-0.027191i,0.0088936+0.0033361i,0.02034+0.0098123i,0.0025776+0.0080608i,-0.00051269-0.022877i,0.003218+0.0087366i,0.0090316+0.020666i,-0.0023723+0.019666i,0.017492+0.022154i,-0.0017177+0.0065846i,0.0023789-0.0074291i,0.0037506-0.00054871i,0.0025517-0.0041033i,0.0088323+0.0042187i,-0.00012059+0.0046278i,-0.011452+0.0059973i,-0.0015066-0.0090783i,0.0037524+0.011552i,-0.0032376-0.0036115i,-0.00012888+0.00071322i,-0.001052+0.0013004i,-0.00153-0.0018926i,0.0034068-0.0022575i,-0.0063736-0.0011792i,0.0020484+7.5586e-05i,-0.006575+0.00066105i,-0.0029059+0.00024899i,0.0012296-0.00014592i,-0.0035019-0.0040594i,-0.0034231-0.0025002i,-0.0060472-0.014105i,0.0050796-0.00063257i,-0.0025538-0.0016431i,-0.0025878+0.0019774i,-0.0040153+0.0022847i,0.0069034+0.0051229i,-0.0045591-0.00088565i,0.00052937-0.0047429i,-0.0037441-0.0022969i,-0.0012235-0.0016799i,0.0044472-0.0021171i,0.0023275+0.0016415i,0.0018195-0.0016679i,-0.0012042+0.0072653i,0.00070722+0.0055889i,0.024294+0.0022014i,-0.023737-0.0092239i,-0.033079+0.013751i,-0.008297+0.012615i,0.0013329-0.00027445i,0.004056-0.0016033i,-0.011272-0.0031939i
