-0.0239-0.017539i,-0.032412-0.031991i,-0.022055-0.019566i,-0.032578-0.020265i,-0.023926+0.0042769i,-0.028842-0.017344i,-0.058432-0.043591i,-0.041564-0.040636i,-0.030219-0.02354i,0.0053493+0.0058549i,-0.0034721+0.0066926i,-0.011163+0.010799i,0.0040138+0.0068147i,-0.0038404-0.0028548i,0.0028323+0.0015975i,0.0038891+0.028268i,0.026434+0.032266i,4.5733e-05+0.00035611i,-0.0029203-0.0027455i,0.0074437+0.0039629i,0.0022768+0.00062077i,-6.8164e-05+0.0026028i,-0.00057585+0.00041812i,-0.03224-0.00048102i,-0.0031285-0.0048499i,7.9641e-06+0.0026181i,0.0040462-0.0011259i,0.00059664-0.00040949i,-0.00041953-0.00049717i,-0.0010189-0.001932i,-0.0019895-0.00068319i,-0.003828-0.0034809i,-0.0032017-0.0049072i,0.00023298-0.0012733i,0.00034822-0.0029892i,-0.0013296+0.025099i,0.0021969-0.0028266i,0.0022804-0.0039576i,0.0043383-0.0025222i,-0.006544-0.0018705i,0.00084064+0.0014528i,0.010059-0.0005188i,-0.0014901-0.00018781i,-0.0034487+0.0017706i,-0.0092083-0.0022221i,-0.019057+0.021964i,-0.0079287-0.086054i,-0.0025137-0.06069i,-0.0212-0.052949i,-0.010783-0.04547i,0.05406-0.025603i,0.024462-0.067063i,0.041427-0.053888i,0.018735-0.03826i,0.025973-0.019661i,0.011953+0.011784i,0.02553-0.029631i,-0.011365-0.0011469i,-0.00071584-0.00097373i,-0.0072335-0.0014169i,-0.0050356-0.029002i,-0.020531+0.026989i,0.0072765-0.0094988i,-0.010553-0.0032976i,-0.0024498-0.0018781i,-0.00062681-0.014604i,-0.0080433+0.0049876i,0.0056408+0.010146i,-0.010602+0.030941i,0.0068203+0.0076087i,-0.0035811-0.0018511i,-0.0021224-0.0015773i,-0.012194-0.0057215i,0.00017316-0.0039025i,-0.032968+0.0031872i,0.0034405-0.0091399i,-0.0071965-0.0018076i,-0.0052248-0.0028006i,0.0066772+0.001673i,-0.010581+0.00058252i,0.0022315-0.00017062i,0.0057252+0.0075585i,0.0057749+0.001003i,-0.0078411-0.0098515i,0.0023665+0.008136i,-0.019439+0.0075564i,0.0035273+0.0057039i,-0.02088-0.0086635i,-0.027185-0.0047333i,0.0098037-0.060923i,0.018549-0.014677i,-0.050967-0.029228i,-0.024253+0.0019746i,0.01898+0.010715i,-0.027543+0.012026i,-0.012971-0.0080093i
0.006039+0.0049854i,0.036424+0.014182i,0.019392-0.0043207i,0.013402+0.0023469i,0.0084718-0.0020301i,0.015787-0.0075442i,0.012139+0.01428i,0.018224+0.019767i,0.00083984-0.0029043i,0.0011926+0.00079055i,0.0023351-0.001343i,0.0013743-0.0040019i,7.5928e-05-0.0012397i,0.0020966-0.0001048i,0.0051205-0.0012321i,0.0058215+0.00073886i,0.0057081-0.0052769i,0.00014303-0.0010084i,-0.0021962-5.5575e-05i,0.00046932+0.00072435i,0.00016828-0.00021446i,-0.0022127-0.00049181i,-0.0015484-0.00011201i,0.0060998+0.0076197i,-0.00073407+0.00032639i,0.00040033+0.00082537i,0.0010667+0.0010239i,-2.9718e-05+0.0012698i,-0.00048973-0.00025567i,-0.0011438-3.7011e-05i,0.00049846-0.0010792i,-0.000547+0.00046571i,0.00017528+0.00068363i,1.3963e-05+0.00059451i,-0.00042538-0.0010887i,-0.0089297+0.0068679i,0.00063821+0.0002925i,-0.00051503-6.4183e-06i,-0.00043091+0.0014806i,-0.00039288-0.0028423i,-0.00079928+8.7525e-05i,-0.00040665-0.00013798i,0.0004308+0.001228i,0.0034146-0.0020799i,0.00046489+0.0027467i,-0.050164+0.0080675i,-0.003448+0.028796i,-0.01409+0.040592i,-0.009255+0.06564i,-0.016752+0.044434i,-0.006019+0.019637i,-0.0090125+0.013923i,-0.04681+0.0048611i,-0.024678-0.0078006i,0.015617+0.025764i,0.000568+0.0054093i,-0.0069258+0.002102i,-0.013932-0.0023709i,0.0038196-0.00029248i,0.0072176+0.014569i,-0.0058648+0.0065554i,-0.0049773-0.0061956i,0.0055578-0.0028968i,-0.0066169-0.0054083i,0.0034954-0.0067247i,0.0042826-0.0021408i,-0.0023277+0.010051i,0.011545-0.0055773i,0.0060306-0.0047127i,0.0053313-0.0083794i,0.003034+0.00073213i,-0.0020423-0.0061277i,-0.0035171-0.0016154i,0.001975-0.0018764i,-0.010296+0.031411i,-0.0043262-0.005244i,0.0032643+7.2718e-05i,-0.00013039-0.0071037i,0.0032536-0.0020051i,-0.013107-0.0059028i,0.00088108+0.00091149i,0.0037905-0.0016985i,0.0024198-0.00094166i,0.0014859-0.0052791i,-0.0020416+0.0056241i,-0.00011277+0.0057541i,-0.0053904+0.0071907i,-0.0048809+0.0020181i,-0.005386+9.6561e-05i,-0.023827+0.018936i,-0.0088507+0.014083i,-0.021987-0.01149i,-0.0089935-0.0092947i,0.0082962+0.021081i,-0.00043148+0.019898i,-0.0085637-0.0035727i
0.0064648+0.0028957i,0.037865+0.0065647i,0.018253-0.0079227i,0.014047+0.00071174i,0.0091789-0.0034158i,0.01425-0.010687i,0.012995+0.011344i,0.021097+0.016153i,-8.9756e-05-0.0029647i,0.0014525+0.00021928i,0.0021719-0.0016158i,-0.00035138-0.002863i,-8.3575e-05-0.00066739i,0.0020539-0.00012857i,0.0044206-0.0023146i,0.0054328-2.0974e-05i,0.0031595-0.0057371i,0.00016641-0.00090858i,-0.0023079+0.00026311i,0.00091901+0.0001397i,3.95e-05-0.00056611i,-0.0022488+0.0001223i,-0.001538+0.00012351i,0.0096612+0.0043755i,-0.00095589+0.0011384i,0.00097324+0.00049179i,0.0011502+0.00032888i,0.00051224+0.0010562i,-0.00085701+0.00031864i,-0.0011805+0.0004626i,-0.0001166-0.0011255i,-0.00049363+7.8493e-05i,0.00021873+0.00056103i,0.00026379+0.00047535i,-0.00081648+4.0567e-05i,-0.0060171+0.0088391i,0.0003056+2.5426e-05i,-0.00035891+0.00041474i,0.00017661+0.0012548i,-0.0011475-0.0021044i,-0.00061923+0.00013488i,-0.00043792+0.00019716i,0.00059006+0.0013271i,0.0024068-0.0023289i,0.0016514+0.0028385i,-0.045209+0.016429i,-0.00060231+0.029866i,-0.0056498+0.040939i,0.0077944+0.06265i,-0.0057517+0.043486i,-0.0080543+0.016023i,-0.011898+0.011761i,-0.047617+0.0088466i,-0.020855-0.0096318i,0.021158+0.01936i,0.00061402+0.0051412i,-0.0058423+0.0069245i,-0.0137+0.0024425i,0.0022857-0.0020622i,0.010514+0.012249i,-0.0019225+0.010668i,-0.0084027-0.00454i,0.0022209-0.0043987i,-0.0065721-0.002017i,-0.00089625-0.0064666i,0.0025925-0.0038649i,0.0023655+0.0079701i,0.0072071-0.0083557i,0.002334-0.005932i,0.00084487-0.0058697i,0.0041094-0.00021215i,-0.0032557-0.0049235i,-0.0020595+0.00069592i,0.0019638-0.0018618i,0.0058756+0.031478i,-0.0056604-0.0044654i,0.0036275-0.0017475i,-0.0034952-0.0062498i,0.0030384-0.0027959i,-0.013404+0.0005033i,0.0018262+0.0011481i,0.0029545-0.0018661i,0.0028247-0.0020111i,0.00013401-0.0057657i,-0.00048158+0.0029267i,0.0018906+0.0044453i,-0.0012873+0.0088718i,-0.0036586+0.0042223i,-0.0061534+0.0007274i,-0.018504+0.017973i,-0.0067343+0.016426i,-0.025109-0.006474i,-0.011774-0.012005i,0.011752+0.020469i,0.0032246+0.021438i,-0.011315-0.0034624i
0.0060547+0.0012342i,0.037273-0.0015966i,0.016881-0.012209i,0.015232-0.0023738i,0.010051-0.0055463i,0.011887-0.013787i,0.013097+0.0084967i,0.023495+0.011779i,-0.00053326-0.0024993i,0.0011203-0.00029416i,0.0016757-0.0025009i,-0.00062005-0.0014967i,-5.5889e-05-0.00067027i,0.0020639-0.00057061i,0.0034726-0.0031302i,0.0048843-0.00086553i,0.0012645-0.0054469i,-0.00010531-0.0011214i,-0.0022968+0.0011543i,0.00074814-0.00074394i,-0.00063055-0.00092794i,-0.0019759+0.00069934i,-0.0016009+0.00043315i,0.010146-0.000554i,-0.00020093+0.0015143i,0.0008779-0.00013811i,0.00086701-7.1079e-05i,0.00092971+0.00052551i,-0.00050389+0.00072722i,-0.0010515+0.00089965i,-0.00068184-0.00089101i,-0.0010514+0.00053228i,0.00044689+0.00047028i,0.00036704+0.00025109i,-0.00027723+0.00066828i,-0.0029473+0.0097921i,0.00014056+0.00012952i,-6.614e-05+0.00037886i,0.00048958+0.00095207i,-0.001684-0.0012534i,-0.00050854+0.00010072i,-0.00020536+0.00040221i,0.00096582+0.0014723i,0.0019104-0.0023879i,0.0035853+0.0018772i,-0.039003+0.023065i,0.0039053+0.030776i,0.0029565+0.038272i,0.023104+0.05388i,0.0039093+0.042295i,-0.011129+0.015185i,-0.014236+0.012308i,-0.047448+0.015121i,-0.019871-0.012892i,0.02369+0.011461i,0.00079982+0.0049388i,-0.0036196+0.0086588i,-0.013088+0.0060722i,-8.7786e-05-0.0038919i,0.013251+0.0089169i,0.0031276+0.011495i,-0.010849-0.002002i,0.0002766-0.0030261i,-0.0059194+0.00074215i,-0.002935-0.0040337i,0.00069413-0.0037797i,0.0048115+0.0071141i,0.0041928-0.0088084i,-0.0013308-0.004693i,0.00052017-0.0031206i,0.0044297-0.0024661i,-0.0052409-0.0035041i,-0.00079217+0.00058476i,0.0010225-0.0023595i,0.018947+0.023979i,-0.0074247-0.0023981i,0.0031226-0.0031348i,-0.0038352-0.0042662i,0.0032465-0.004125i,-0.010496+0.0058571i,0.0034517+0.00055927i,0.0021078-0.0023797i,0.001868-0.0024137i,-0.0019492-0.0051265i,-0.0013627+0.0027788i,0.0027988+0.0028649i,0.0025631+0.0085416i,-0.0022824+0.004793i,-0.0068976+0.0025123i,-0.016109+0.016431i,-0.00030506+0.017492i,-0.026011-0.0020602i,-0.015634-0.013161i,0.016976+0.017308i,0.0086791+0.022286i,-0.013712-0.001522i
0.0053506+0.00020297i,0.034036-0.0082071i,0.013512-0.016396i,0.014941-0.0065912i,0.0098331-0.0086524i,0.0085317-0.015923i,0.012863+0.0065416i,0.024363+0.0069161i,-0.00043094-0.0025444i,0.0006081-0.00024582i,0.00059702-0.0026937i,-0.00034582-0.00074028i,-0.00048999-0.00042348i,0.0016951-0.0007777i,0.0022749-0.0035842i,0.0042667-0.0012047i,-4.9324e-05-0.0045682i,-0.00034727-0.0010743i,-0.0013572+0.0019215i,4.9323e-05-0.0010832i,-0.0011657-0.00040437i,-0.0016015+0.0013998i,-0.0014934+0.0009194i,0.008078-0.0042458i,0.00040683+0.0013975i,0.00048179-0.00028209i,0.00067313-0.0001545i,0.00073467+2.5704e-05i,-7.6525e-05+0.00067838i,-0.00071429+0.0014262i,-0.0010714-0.00035364i,-0.00061874+0.0011594i,0.0006164+0.00014167i,0.00029278+8.6338e-05i,0.00025343+0.00066593i,0.00015377+0.0098257i,0.0002727+0.0002066i,-6.5218e-05+0.00021916i,0.00054832+0.00086235i,-0.0016914-0.00043099i,-0.00048839+0.00013723i,-0.00010646+0.00038419i,0.0014509+0.0013482i,0.0015003-0.0024128i,0.0051055-0.00034375i,-0.031619+0.027935i,0.0091644+0.030685i,0.0083566+0.034847i,0.03535+0.040401i,0.013509+0.037024i,-0.01459+0.017386i,-0.01729+0.015166i,-0.045586+0.022322i,-0.02183-0.015964i,0.024218+0.0030703i,0.001176+0.0051421i,-0.00064725+0.011239i,-0.011142+0.0099038i,-0.0043739-0.0030202i,0.015574+0.0036029i,0.0081313+0.0097225i,-0.012366+0.0017475i,-0.00057843-0.0022637i,-0.0041767+0.0025614i,-0.0035204-0.0012368i,-0.00025618-0.0033638i,0.0068701+0.0038138i,0.001301-0.0087435i,-0.0032831-0.0015361i,0.0014324-0.0018667i,0.0031258-0.0043611i,-0.0058644-0.00030598i,0.00034849+0.00092751i,0.00052095-0.0021891i,0.026304+0.011958i,-0.007867+0.0011879i,0.0022051-0.0045261i,-0.0042828-0.0025426i,0.001848-0.0063292i,-0.005965+0.0081085i,0.0046246-0.0015165i,0.0012598-0.0020066i,0.0011874-0.0025235i,-0.0027353-0.0033763i,-0.0013751+0.0037491i,0.0029071+0.0011899i,0.006021+0.0066737i,-0.0011691+0.0045266i,-0.0068913+0.0048043i,-0.01441+0.017381i,0.0084908+0.012738i,-0.024586+0.0031072i,-0.021215-0.012012i,0.019143+0.01238i,0.01501+0.020447i,-0.0134+0.00049431i
0.005147-0.00045986i,0.03077-0.012789i,0.0094113-0.018878i,0.013444-0.010614i,0.0082866-0.011647i,0.0053173-0.017047i,0.012767+0.0053205i,0.024279+0.0025487i,-0.00016725-0.0029615i,0.00020837-7.1478e-05i,-0.00039372-0.0023133i,9.1324e-06-0.0005505i,-0.00067934+0.00022765i,0.0014009-0.00097456i,0.0011731-0.0034546i,0.0040861-0.0012525i,-0.00070875-0.0037255i,-0.00078902-0.00093726i,-0.00050372+0.0018078i,-0.00058897-0.00095529i,-0.0012661+8.8018e-05i,-0.00079085+0.0017559i,-0.0011375+0.0014264i,0.0051752-0.0064043i,0.0007908+0.0010806i,0.00030614-0.00026518i,0.00050259-0.00037083i,0.00042732-0.00011872i,6.6982e-05+0.00061036i,1.4918e-05+0.0016971i,-0.0010447+0.00022484i,-3.3275e-05+0.0013022i,0.000492-0.00016964i,0.00030272+0.00023896i,0.00073448+0.00058438i,0.0028425+0.0090309i,0.00018592+0.00018351i,-0.00019399+0.00025664i,0.00091568+0.00074961i,-0.0014062+0.00011647i,-0.00048739-3.9178e-05i,-1.0278e-05+0.00036348i,0.0017746+0.00086806i,0.00082897-0.0026957i,0.0050956-0.0032124i,-0.023267+0.030478i,0.015569+0.028942i,0.014277+0.032326i,0.040104+0.024309i,0.019087+0.02996i,-0.015448+0.023079i,-0.017515+0.021852i,-0.042625+0.030486i,-0.026677-0.016795i,0.020041-0.0042126i,0.0023194+0.0052825i,0.0045145+0.010838i,-0.0078717+0.012729i,-0.0060418+0.00065584i,0.014475-0.0034236i,0.011975+0.0061483i,-0.012272+0.0058057i,-0.00067234-0.00049697i,-0.0025861+0.0033982i,-0.0018259+0.00060718i,-0.002007-0.0022601i,0.0069031+0.00099541i,-0.0012042-0.0076933i,-0.0027128+0.0014806i,0.0028563-0.0024507i,0.0012059-0.0053741i,-0.0039785+0.0018014i,0.0017434+0.0001957i,0.00035074-0.0016514i,0.027055-0.00085342i,-0.005788+0.0043351i,0.00045809-0.0052871i,-0.0036247-0.0016004i,-0.00053261-0.0069911i,-0.0021902+0.007924i,0.0038725-0.0037613i,0.0014224-0.0010937i,0.0013772-0.002173i,-0.0018901-0.0024638i,0.00025499+0.0046118i,0.0017994+2.7965e-05i,0.0076732+0.0031587i,-0.00074866+0.0035333i,-0.0055842+0.0074541i,-0.01126+0.018513i,0.011557+0.0017291i,-0.020435+0.0051435i,-0.026301-0.0091792i,0.020461+0.0070805i,0.020027+0.0143i,-0.013902+0.00084918i
0.0050634-0.0014446i,0.027835-0.017013i,0.0056559-0.020457i,0.010973-0.014406i,0.0061895-0.014012i,0.0019471-0.017746i,0.013659+0.0042859i,0.02378-0.0015651i,-0.00022731-0.0038979i,-0.00025823+0.00029562i,-0.00083107-0.0016454i,0.00026194-0.0003861i,-0.00024606+0.00090193i,0.0010523-0.00099325i,0.00038559-0.0031629i,0.0042805-0.0015323i,-0.00094417-0.0033128i,-0.00084144-0.00060224i,0.00010759+0.0016541i,-0.00096712-0.00058744i,-0.00096778+0.00038182i,0.00018177+0.0015149i,-0.00054484+0.0016764i,0.0018751-0.007237i,0.0011995+0.00071356i,0.00018484-0.00032325i,0.00030304-0.00050097i,0.00029173-0.00016816i,0.00028382+0.00053274i,0.00067413+0.0013998i,-0.00078278+0.00058398i,0.00048493+0.0011766i,0.00025528-0.00023951i,0.00051676+4.6177e-05i,0.00097064-5.7889e-05i,0.0046773+0.0074238i,0.00023168+0.00017867i,-9.6377e-05+0.00042586i,0.00094406+0.00037396i,-0.00097534+0.00044466i,-0.00076571-2.9252e-05i,0.00012723+0.00021987i,0.0018953+0.00050643i,8.2273e-05-0.002473i,0.0042899-0.0058527i,-0.015532+0.030467i,0.02141+0.024899i,0.020126+0.028112i,0.039722+0.009787i,0.022112+0.023343i,-0.012439+0.029764i,-0.013327+0.029293i,-0.035875+0.040044i,-0.031724-0.013922i,0.014844-0.007765i,0.0034916+0.0046258i,0.0079423+0.0082395i,-0.0038141+0.014787i,-0.0052658+0.0034853i,0.009813-0.0094742i,0.013334+0.00050687i,-0.010678+0.0088268i,0.00072761+0.00028536i,-0.00081648+0.0033381i,-0.0003515+0.00055924i,-0.002156+0.00013773i,0.0056679-0.00071135i,-0.0028709-0.0057878i,-0.00054312+0.0031303i,0.0027441-0.0042761i,-0.0010024-0.0051718i,-0.002604+0.001959i,0.0020579-0.0012285i,0.00086654-0.0014951i,0.022324-0.011608i,-0.0027494+0.0054622i,-0.0012003-0.0048469i,-0.0033639-0.0010149i,-0.0029288-0.0064134i,0.00059068+0.0068941i,0.0028544-0.0050746i,0.0022262-0.001358i,0.0013635-0.003124i,-0.0016382-0.0028688i,0.0015435+0.0047169i,0.00060882+0.0004434i,0.0071013+0.00058234i,-0.0010773+0.0027767i,-0.0027147+0.0091986i,-0.0078308+0.01847i,0.0076496-0.0072728i,-0.018073+0.0029752i,-0.031719-0.0032467i,0.019083+4.054e-05i,0.020967+0.0077695i,-0.015029+0.0025113i
0.0047602-0.0022847i,0.02404-0.021107i,0.0013722-0.022238i,0.0068591-0.017913i,0.0034545-0.016243i,-0.0016449-0.017542i,0.01523+0.0024343i,0.022609-0.0057156i,-0.00082388-0.0046325i,-0.00037967+0.0012228i,-0.0011977-0.0012085i,0.00048738-0.00092731i,0.00031212+0.0010454i,0.00065986-0.00087456i,-0.0001776-0.002706i,0.0043942-0.0023182i,-0.001324-0.0031298i,-0.0010832-0.00044723i,0.00080567+0.0012559i,-0.0013691-0.0001213i,-0.0010088+0.00043572i,0.00067383+0.00080708i,-3.6607e-05+0.0016663i,-0.0014629-0.0065758i,0.0012156-0.00029989i,-4.513e-05-0.00019649i,-0.00019781-0.00053471i,0.00012826-0.00010383i,0.00053369+0.00026324i,0.0010047+0.00086559i,-0.00034331+0.00071579i,0.00068174+0.00095961i,2.8473e-05-0.00014268i,0.00046924-0.00014352i,0.00052413-0.00079647i,0.0058561+0.0058497i,0.0002809+0.00018828i,-5.5908e-05+0.00045302i,0.00099073+0.00019419i,-0.00039984+0.00050766i,-0.00095437+0.00034297i,0.00010536+0.00018257i,0.0020262-1.1079e-05i,-0.00054731-0.0020847i,0.0023348-0.008187i,-0.0090266+0.028796i,0.025399+0.019418i,0.025263+0.022729i,0.035184-0.0019313i,0.023174+0.01809i,-0.0062169+0.033983i,-0.0043497+0.033771i,-0.024574+0.046425i,-0.03552-0.0084596i,0.0099595-0.0088307i,0.0043201+0.0035859i,0.0094231+0.0043811i,0.00068829+0.014959i,-0.0043181+0.0050702i,0.0019257-0.011383i,0.01127-0.0045242i,-0.0084145+0.011529i,0.0019595-0.0010503i,0.00038228+0.002597i,-2.3548e-05-0.00023392i,-0.00022795+0.0015768i,0.0045013-0.00093816i,-0.0033954-0.0043838i,0.0016584+0.0030194i,0.0012254-0.0060964i,-0.0024914-0.0040357i,-0.0016828+0.0021964i,0.0013544-0.002475i,0.00084966-0.0022101i,0.014058-0.017707i,-4.9039e-05+0.0050715i,-0.0021788-0.0041022i,-0.0029011-0.00088447i,-0.0044945-0.005319i,0.0022956+0.0054i,0.001412-0.0065199i,0.0024013-0.002203i,3.5262e-05-0.0037658i,-0.0024543-0.0032088i,0.0036185+0.0044557i,0.00046502+0.0014595i,0.0063641-0.0013255i,-0.0018811+0.002809i,0.00039112+0.0088638i,-0.004405+0.018567i,0.0010285-0.013463i,-0.020272+0.00045517i,-0.03318+0.0053479i,0.012768-0.0045519i,0.020942+0.0022466i,-0.014416+0.0044987i
0.0047164-0.00321i,0.020031-0.023838i,-0.0039944-0.022465i,0.0013604-0.019466i,-0.0002015-0.017588i,-0.0045738-0.016373i,0.016748-0.00052586i,0.020511-0.0093714i,-0.0013098-0.0055587i,0.00041451+0.0022631i,-0.0014457-0.00032136i,-0.00021669-0.0012972i,0.00087748+0.0010926i,0.00063112-0.00057531i,-0.0004148-0.0022915i,0.0041316-0.0029465i,-0.0023771-0.0027403i,-0.0012015+6.2358e-05i,0.001067+0.00046693i,-0.0013526+0.00073852i,-0.00089044+0.00082552i,0.00051875+0.00010175i,0.00040866+0.0015684i,-0.003806-0.004331i,0.00035385-0.00065613i,-8.4549e-05-4.8922e-05i,-0.00046088-0.0003137i,4.0078e-05-7.4737e-06i,0.00041283-6.8912e-05i,0.0010888+0.00043538i,-1.2919e-05+0.00066016i,0.0008479+0.00063631i,6.4566e-05+2.7003e-05i,0.00033465-0.0001904i,-0.00022824-0.00052903i,0.0065454+0.0040866i,0.00035283+0.0001384i,5.0918e-06+0.00063924i,0.0010715+1.1879e-05i,0.00014236+0.00018016i,-0.00081128+0.00086017i,0.00016333+0.00014732i,0.001732-0.00062004i,-0.00095509-0.0014497i,-0.00023707-0.0093556i,-0.0041326+0.025675i,0.027573+0.013946i,0.029547+0.016121i,0.028815-0.0096757i,0.023379+0.01401i,0.0010309+0.035916i,0.0048785+0.033476i,-0.011946+0.048401i,-0.036383-0.0014517i,0.0070732-0.008687i,0.0051598+0.002364i,0.008926+0.001045i,0.0053712+0.013367i,-0.0028196+0.0068493i,-0.0047038-0.0085571i,0.0078839-0.0071437i,-0.0052526+0.013588i,0.0014659-0.0030283i,0.00060636+0.001816i,-0.00027817-0.00034281i,0.0016993+0.0013143i,0.004017-0.0012715i,-0.0042142-0.0030142i,0.0031013+0.001675i,-0.00194-0.0068967i,-0.0030525-0.0024918i,-0.00022395+0.0017769i,0.00075363-0.0031768i,0.00037683-0.0032777i,0.0056626-0.019381i,0.0015911+0.0039198i,-0.0029205-0.0035329i,-0.0035764-0.00087656i,-0.0058044-0.003711i,0.0029084+0.0040947i,-0.0010456-0.0075521i,0.0025068-0.0032334i,-0.0010634-0.0032164i,-0.0030127-0.0027355i,0.0049339+0.0033937i,0.001176+0.0020782i,0.0045661-0.0027748i,-0.0022245+0.0038953i,0.00259+0.0072907i,0.00018797+0.018283i,-0.0085702-0.016445i,-0.024157+0.00097953i,-0.030453+0.013689i,0.0072909-0.0039342i,0.0185-0.0036897i,-0.013099+0.0046417i
0.0045105-0.004791i,0.016231-0.026526i,-0.0086008-0.020798i,-0.0035762-0.01876i,-0.0038984-0.017866i,-0.0067123-0.015106i,0.017526-0.0046429i,0.018107-0.012381i,-0.0023319-0.0065196i,0.0018276+0.0023544i,-0.00099808+0.00044708i,-0.00086473-0.00084285i,0.0014531+0.00057725i,0.00073115-0.00050938i,-0.00058117-0.0020581i,0.0039003-0.003456i,-0.003035-0.0016075i,-0.00081418+0.00032291i,0.00080756-0.00013259i,-0.00085503+0.0012119i,-0.00055349+0.00093416i,0.00013674-0.00025437i,0.00080945+0.001325i,-0.0047521-0.0015771i,-0.00018179-0.00030884i,-3.5753e-05+2.421e-05i,-0.00052236-0.00016174i,4.7064e-05+5.5575e-05i,0.00013037+1.8607e-05i,0.0010445-8.8631e-05i,0.00032449+0.00051146i,0.00071305+0.00044392i,0.00019853+3.1494e-05i,0.00040725-0.00016247i,-0.0003573+7.9293e-05i,0.0066378+0.0023564i,0.00025757+9.7942e-05i,0.00037199+0.00075043i,0.0011101-0.00047855i,0.00034813-0.00026194i,-0.00033834+0.0010621i,0.0001927-4.4082e-05i,0.001204-0.001078i,-0.0011258-0.00089154i,-0.002958-0.0097737i,-0.0015934+0.022347i,0.028818+0.0088816i,0.031477+0.0080804i,0.021913-0.01465i,0.023538+0.011969i,0.0087886+0.035892i,0.012949+0.0312i,-0.00036409+0.046629i,-0.034758+0.0054693i,0.0047233-0.0088356i,0.0060135+0.00041939i,0.0081868-0.0012609i,0.0090845+0.0099936i,5.6119e-06+0.0073874i,-0.0080769-0.0037149i,0.0040787-0.0080769i,-0.00082667+0.01397i,-0.00054976-0.003883i,9.3037e-06+0.0016714i,-0.00037524-8.9287e-05i,0.0026616+0.00015944i,0.0035724-0.00090062i,-0.0041696-0.0012746i,0.0033952+0.00016982i,-0.0046593-0.0051864i,-0.0027113-0.0014184i,0.00021583+0.00049082i,-0.00010953-0.0039315i,-0.00086517-0.0036306i,-0.001445-0.017949i,0.0029597+0.0023745i,-0.0038598-0.0026981i,-0.003856+0.00054592i,-0.0064778-0.0015037i,0.0034521+0.0032204i,-0.0044159-0.0070153i,0.0021122-0.0046894i,-0.0015605-0.0027808i,-0.0032996-0.0027882i,0.0061878+0.002103i,0.0020293+0.0022246i,0.0028455-0.0024896i,-0.0017838+0.0047339i,0.0037181+0.0053358i,0.0051362+0.015948i,-0.019055-0.014096i,-0.027801+0.0036757i,-0.025255+0.018185i,0.0048518-0.0025917i,0.013504-0.0071642i,-0.01436+0.0051217i
0.0033926-0.0062932i,0.011989-0.029106i,-0.012094-0.018573i,-0.0074969-0.016939i,-0.007567-0.017389i,-0.0089008-0.013926i,0.016945-0.0097019i,0.015465-0.01498i,-0.0040982-0.0072161i,0.0030009+0.0017607i,-0.0003245+0.00072831i,-0.0010602+1.3719e-05i,0.0015238-0.00013595i,0.00082772-0.00057833i,-0.00085063-0.0019627i,0.003585-0.0041483i,-0.003205-0.00034506i,-0.00058198+0.00026751i,0.00057027-0.0003964i,-0.00029311+0.0013909i,-0.000298+0.0010239i,-0.00021798-0.00028076i,0.0010707+0.00092628i,-0.0042924+0.0010598i,-0.0001357+0.00015873i,-1.0267e-05+0.00010308i,-0.00054627+9.916e-05i,9.5943e-05+7.5004e-05i,0.00018805+0.00013314i,0.0006669-0.00043113i,0.00050003+0.00015488i,0.00079307+0.00052053i,0.00024659-1.3266e-05i,0.0004147-0.00047434i,-5.1831e-05+0.00042679i,0.0065425+0.0009983i,0.0003648+0.00011397i,0.00075285+0.00063809i,0.00057637-0.00081296i,0.00054309-0.00055799i,0.00013766+0.0011506i,0.00010301-0.00014117i,0.00047237-0.0010406i,-0.0011294-5.6851e-07i,-0.0055122-0.0092944i,-0.00081231+0.020729i,0.029465+0.0040605i,0.030573+0.0016093i,0.014643-0.017676i,0.026049+0.010829i,0.016172+0.033291i,0.020887+0.02676i,0.010514+0.041458i,-0.030141+0.011151i,0.0025889-0.0086222i,0.0053942-0.0027752i,0.0074531-0.0037694i,0.010209+0.0054504i,0.0018469+0.0063526i,-0.008812+0.0020445i,0.00034352-0.0075637i,0.0024466+0.011569i,-0.0026956-0.0030607i,-0.00015149+0.0024621i,-0.00036758+0.00020522i,0.0031714-0.0015052i,0.0044232-0.00015682i,-0.0031369-0.00033315i,0.0033343-8.3562e-05i,-0.0056904-0.0029103i,-0.0021497-0.00093388i,-0.0002678+8.2012e-05i,-0.0021606-0.0043536i,-0.0021066-0.0030444i,-0.0071789-0.015106i,0.0034185+0.00014882i,-0.0043738-0.0014055i,-0.0029191+0.0015608i,-0.0062372+0.00063545i,0.0040995+0.002535i,-0.0068684-0.0045769i,0.00022013-0.006195i,-0.0024263-0.0023584i,-0.0047659-0.0023172i,0.0071251-0.00036389i,0.0030449+0.0022338i,0.0025449-0.0020573i,-0.00061744+0.0056259i,0.0040319+0.0031638i,0.0090573+0.011661i,-0.024813-0.0058817i,-0.03091+0.0090227i,-0.020122+0.021768i,0.0028765-0.00050624i,0.0091776-0.0071507i,-0.014529+0.0069999i
