-0.022786-0.039626i,-0.010081-0.048832i,-0.017276-0.045644i,-0.030762-0.035951i,-0.029609-0.017521i,-0.051072-0.028722i,-0.059943-0.026031i,-0.045352-0.039273i,-0.029411-0.037251i,0.0075304+0.011941i,-0.0058975+0.01596i,-0.0048928+0.014814i,0.0097091+0.022067i,-6.4872e-05+0.0051616i,0.0035127+0.0031502i,0.0068357+0.018148i,0.027805+0.040191i,-0.002551-0.001069i,-0.0040804-0.0064581i,0.008382+0.0010516i,-4.722e-05-0.000836i,-0.00082515+0.0015146i,0.00021643-0.00027688i,-0.030856-0.002293i,-0.00131-0.0057637i,0.0018343+0.0047928i,0.0038217-0.00021577i,-0.00049443+0.0005819i,0.00064857-0.00053001i,-0.00060632-0.002756i,-0.0011836-0.0065593i,-0.0043366-0.0044173i,-0.0021848-0.005033i,0.00229-0.00082952i,0.0023789-0.0029218i,0.0026109+0.026913i,0.0016911-0.0031081i,0.0026324+0.00060083i,0.0056548+0.0013058i,-0.010412-0.0035369i,-0.0032321+0.00075795i,0.0068882+0.00085525i,0.0053585+0.00012122i,-0.0041579+0.0052712i,0.0019739-0.0085744i,-0.012935+0.019221i,0.036226-0.091304i,0.012869-0.071058i,-0.015612-0.060189i,-0.017241-0.055655i,0.038028-0.047859i,0.01664-0.063591i,0.034801-0.055787i,0.031812-0.059292i,0.015715-0.01391i,0.0043478+0.016788i,0.016275-0.026279i,-0.011664+0.0066205i,-0.00045843+0.0060258i,-0.0057617-0.00076001i,-0.0027867-0.028276i,-0.024362+0.031291i,0.0099925-0.011517i,-0.013387-0.0031087i,8.1747e-05-0.004906i,-0.0013235-0.015944i,-0.0075309+0.0048598i,0.005158+0.0060747i,-0.0083783+0.031094i,0.0060305+0.0055682i,-0.0051154-0.0010907i,-0.0030041-0.00035363i,-0.011985-0.0071396i,-0.00083583-0.0043678i,-0.030058+0.0064679i,0.0012854-0.010729i,-0.0091785-0.0020124i,-0.0069576-0.0026899i,0.0068965+0.0028926i,-0.0079839+0.001308i,0.00015659+0.00047959i,0.0060913+0.010991i,0.0036449+0.0014122i,-0.0097996-0.0095314i,0.0032342+0.008277i,-0.02147+0.0060643i,0.0088565+0.00017576i,-0.029346-0.0037472i,-0.042453+0.0028417i,0.019996-0.097389i,-0.0021864-0.013686i,-0.053132-0.021859i,-0.022874+0.0010706i,0.018637+0.010197i,-0.024548+0.012962i,-0.01896-0.012724i
0.0068889+0.020709i,0.012956+0.053i,0.024441+0.036578i,0.017495+0.028242i,0.025223+0.028458i,0.033921-0.014436i,0.018723-0.0085808i,0.030303+0.0069872i,0.012206+0.014043i,0.0019072+0.0049281i,0.0047225+0.0029758i,0.0044441+0.0035165i,0.0061841+0.002894i,0.0050283+0.0039133i,0.003198-0.0034376i,0.0083631-0.0016503i,0.0088905-0.0051549i,-0.001331-0.0015971i,-0.003078+0.0011547i,9.3247e-05+0.0012132i,-0.0011107-0.00022625i,-0.0029203+0.0014007i,-0.001854+0.0010177i,0.0050742+0.0077652i,0.0015292+0.0011219i,0.0026201+0.00068444i,0.0018119+0.0012177i,0.0011649+0.0013909i,0.00070921+0.00023097i,-0.00027202+0.0010429i,-0.0018529-0.0029113i,-0.00062751-0.00057875i,-0.0011631+0.00082664i,-0.0011327+0.000292i,-0.00058137-0.0018029i,-0.0066361+0.0079419i,0.0013701+0.00055592i,0.001299-0.00049998i,-0.00079504+0.0024862i,-0.00016582-0.0036302i,-0.0013144+0.0002899i,-0.0024269-0.0005854i,0.0021875+0.00071987i,0.0068204+0.0042163i,-0.015801+0.034947i,-0.082143+0.035108i,-0.051691+0.038414i,-0.037116+0.060924i,-0.018892+0.073313i,-0.0079711+0.051712i,0.011067+0.03864i,0.0040057-0.00029164i,-0.037358+0.0092636i,-0.045425+0.019351i,0.0013759+0.024554i,-0.0084091+0.0026083i,-0.011009-0.00042961i,-0.01342-0.0022666i,0.0021133+0.00058022i,0.0058804+0.0095591i,-0.0020448+0.0081096i,-0.0078984-0.012738i,0.0055479-0.0068304i,-0.006522-0.007016i,0.0019679-0.006278i,0.0035394-0.0040378i,-0.0019941+0.010119i,0.0090368-0.0041886i,0.0052216-0.0062177i,0.0029251-0.0059125i,0.0028683-0.00046679i,-0.0012939-0.0044428i,-0.0034626-0.0010033i,0.0027306-0.000315i,-0.0094648+0.02476i,-0.00429-0.0035961i,0.0020447+0.00026696i,-0.00015776-0.0065131i,0.0026749-0.001379i,-0.015868-0.0036269i,0.00057473-0.00017884i,0.0048741-0.0034615i,0.00266-0.0015474i,-6.5187e-05-0.0045543i,-0.0003598+0.0064753i,-0.00081942+0.0057335i,-0.0032779+0.0036983i,-0.012816+0.0022321i,-0.013145-0.00071665i,-0.039303+0.054798i,0.00074044+0.0046781i,-0.024986-0.017302i,-0.0068568-0.0073599i,0.0103+0.019684i,-0.0023391+0.022629i,-0.00014329-0.0004101i
0.0092612+0.017354i,0.021505+0.048357i,0.030348+0.032128i,0.022561+0.025832i,0.031335+0.024216i,0.030576-0.020446i,0.015839-0.012193i,0.031103+0.0013233i,0.01422+0.011018i,0.0034486+0.0039388i,0.0055416+0.0018541i,0.0043494+0.0031516i,0.0062701+0.0016216i,0.0057301+0.0025532i,0.0020553-0.0040196i,0.0068829-0.0031872i,0.006043-0.0069031i,-0.0010881-0.0013114i,-0.002535+0.0011022i,0.00068831+0.00044747i,-0.0012625-0.00024049i,-0.0024415+0.0020119i,-0.001498+0.0010518i,0.0085917+0.0049606i,0.0014652+0.0012766i,0.0029965-0.00048243i,0.0020234+0.0001399i,0.0015327+0.00084107i,0.0002997+6.8189e-05i,-8.792e-05+0.0009831i,-0.0028591-0.0016641i,-0.0012385-0.00068021i,-0.00091222+0.0011729i,-0.00085642+0.00068314i,-0.0014805-0.00059747i,-0.0037863+0.0091135i,0.0012163-5.156e-05i,0.00096573-0.00079851i,0.00040074+0.0023331i,-0.001416-0.0031415i,-0.00117+0.00043318i,-0.0024399+0.00026105i,0.0018257+0.0008076i,0.0073326+0.0029469i,-0.0089482+0.03688i,-0.070242+0.049453i,-0.04753+0.047444i,-0.02694+0.064618i,-0.0025041+0.070679i,0.0028079+0.049662i,0.012073+0.032575i,-0.0014499-0.0050654i,-0.038426+0.012142i,-0.03708+0.0212i,0.0072532+0.022478i,-0.0085445+0.0049778i,-0.010097+0.0051525i,-0.013168+0.0018353i,0.00092595-0.00081151i,0.0078264+0.0090151i,0.0019925+0.011073i,-0.013815-0.0098585i,0.00096424-0.00755i,-0.0062703-0.003116i,-0.0013349-0.0059649i,0.0013834-0.0053005i,0.0028877+0.0081534i,0.005857-0.006435i,0.00070659-0.0066831i,7.4826e-05-0.0036379i,0.0036951-0.0014481i,-0.00241-0.0037704i,-0.0015065+0.001074i,0.0028185-0.00082303i,0.0034282+0.025074i,-0.0051367-0.0027952i,0.0025281-0.0018185i,-0.0031758-0.0055669i,0.0030873-0.0024302i,-0.014895+0.0034824i,0.00095042+0.00033419i,0.0030223-0.0028084i,0.0026889-0.0023709i,-0.00098183-0.004265i,0.0017653+0.0030363i,0.0015218+0.0047469i,-0.00084108+0.005321i,-0.011017+0.0063921i,-0.014331+0.0017343i,-0.028441+0.055887i,0.00079285+0.0052165i,-0.02894-0.011788i,-0.0094372-0.010157i,0.01303+0.018283i,0.0018767+0.02442i,-0.0022221-0.0016529i
0.010507+0.014805i,0.02804+0.041938i,0.03607+0.025273i,0.028396+0.020932i,0.037246+0.018308i,0.025851-0.026119i,0.012197-0.015263i,0.031019-0.004842i,0.015757+0.0080921i,0.0039258+0.0026945i,0.0054515-0.00021263i,0.0051533+0.0029058i,0.0061916-5.2563e-05i,0.0061247+0.00081479i,0.0007587-0.0042348i,0.0051889-0.0041896i,0.0035563-0.0075926i,-0.0015523-0.0013929i,-0.0025401+0.0016516i,0.00047732-0.00058846i,-0.0018594-0.00022051i,-0.0017476+0.0025488i,-0.0013852+0.0011464i,0.0091391+0.00051644i,0.002215+0.00077068i,0.0021545-0.0016477i,0.0015556-0.00062613i,0.0018991+5.1265e-05i,0.00022983+0.00016452i,-3.6238e-05+0.001034i,-0.003245-0.00013806i,-0.0019357+0.00035533i,-0.00026263+0.0015274i,-0.0005079+0.00094526i,-0.001137+0.00046765i,-0.0010285+0.0096508i,0.00089985-0.00030255i,0.00060258-0.0011445i,0.0011083+0.0017627i,-0.0024746-0.002316i,-0.0010812+0.00051395i,-0.0020881+0.00093639i,0.0018596+0.0012346i,0.0079435+0.0013072i,-0.00079113+0.037127i,-0.057044+0.06021i,-0.039246+0.055696i,-0.015681+0.065336i,0.011937+0.063637i,0.012545+0.047547i,0.011839+0.029062i,-0.0070595-0.005892i,-0.038822+0.017568i,-0.030134+0.020428i,0.012238+0.018114i,-0.0080096+0.0070673i,-0.0078593+0.0081784i,-0.012248+0.0048762i,-0.0010035-0.0024529i,0.010003+0.0070631i,0.0068156+0.010923i,-0.017419-0.0049463i,-0.0012015-0.0052457i,-0.0052549-0.00021357i,-0.0031283-0.0040898i,-0.0011309-0.004737i,0.0054059+0.0068021i,0.0037261-0.006717i,-0.0030348-0.0046146i,0.00028561-0.0014319i,0.0035083-0.0039556i,-0.0039579-0.0026266i,-6.462e-05+0.00050687i,0.0023707-0.0014386i,0.013815+0.01951i,-0.0063088-0.0011409i,0.002229-0.0029293i,-0.0032712-0.0034905i,0.0033148-0.0038275i,-0.010474+0.0088835i,0.0019052+0.0003725i,0.0021059-0.0032358i,0.001509-0.0026671i,-0.0022139-0.0034189i,0.0011471+0.0019992i,0.0029191+0.0031131i,0.0019096+0.0052265i,-0.008669+0.0085736i,-0.014327+0.0053876i,-0.020325+0.055202i,0.0044002+0.0051204i,-0.030261-0.006175i,-0.012887-0.011678i,0.016978+0.014688i,0.0080991+0.025625i,-0.0042699-0.0014078i
0.011392+0.012783i,0.031926+0.035822i,0.038916+0.0172i,0.032184+0.013551i,0.04131+0.009955i,0.019535-0.030194i,0.0079791-0.016953i,0.029053-0.010878i,0.016903+0.0049097i,0.0039638+0.0019755i,0.0045386-0.00095525i,0.0059139+0.0019773i,0.0053248-0.0010931i,0.0056695-0.00087138i,-0.00058426-0.0039808i,0.0035023-0.0044597i,0.00097044-0.0071633i,-0.001857-0.00072321i,-0.0015651+0.0023214i,-0.00038839-0.00094488i,-0.0021976+0.0007125i,-0.0010019+0.0030505i,-0.0012658+0.0014805i,0.0076269-0.0028452i,0.0021861-0.00013783i,0.0010438-0.0018495i,0.001039-0.0008453i,0.0014245-0.00095335i,0.00027387-1.622e-05i,0.00026287+0.0012437i,-0.0029344+0.0015352i,-0.0014099+0.0013515i,0.00036718+0.0013616i,-0.00020571+0.00097181i,-0.00067826+0.0010217i,0.002053+0.0093279i,0.00064434-0.00060017i,3.9676e-05-0.0013908i,0.0011942+0.0013164i,-0.0028492-0.0013545i,-0.00102+0.00077539i,-0.0016495+0.0013903i,0.0024792+0.0013792i,0.0082388-0.00062505i,0.0068429+0.034347i,-0.041586+0.067741i,-0.029994+0.061532i,-0.0066715+0.064757i,0.02402+0.052962i,0.022232+0.041581i,0.010983+0.027457i,-0.013349-0.0042048i,-0.037373+0.024828i,-0.025843+0.017798i,0.015584+0.012117i,-0.0063993+0.009907i,-0.004427+0.011615i,-0.010696+0.0076936i,-0.0044965-0.0012957i,0.011877+0.0037916i,0.011256+0.0079322i,-0.019255+0.0012694i,-0.0020819-0.0040488i,-0.0031245+0.0010705i,-0.0037912-0.0016396i,-0.0026336-0.0033631i,0.0072141+0.0031792i,0.0016515-0.0068495i,-0.0045545-0.00043769i,0.001381-0.00070873i,0.0013685-0.0057402i,-0.0044335-0.00048081i,0.00067366+0.00058874i,0.0021991-0.0019224i,0.020003+0.010077i,-0.0064382+0.0020395i,0.0017074-0.0042366i,-0.0032037-0.002223i,0.0018717-0.0059478i,-0.0047156+0.010421i,0.003138-0.00061131i,0.0010871-0.0024511i,0.0006769-0.0024238i,-0.0021621-0.0017729i,0.00088883+0.0015898i,0.0030473+0.0012526i,0.0040927+0.0040351i,-0.0059227+0.0098085i,-0.013629+0.008863i,-0.013148+0.055904i,0.010415+0.00081574i,-0.029403-0.00078962i,-0.018388-0.011371i,0.017752+0.0094405i,0.01525+0.023591i,-0.004876-0.0010233i
0.012822+0.011228i,0.035635+0.030758i,0.040288+0.010054i,0.033652+0.005912i,0.042706+0.00097797i,0.013373-0.032621i,0.0039585-0.017014i,0.026009-0.015831i,0.017572+0.001601i,0.0041176+0.001297i,0.0040251-0.0012616i,0.0065467+0.0006602i,0.0047335-0.001389i,0.0048099-0.002211i,-0.0016092-0.0031028i,0.0021468-0.0039676i,-0.00067421-0.0061316i,-0.0022304-5.4954e-05i,-0.00088062+0.0021673i,-0.0011379-0.00072074i,-0.0019338+0.0014354i,0.00023763+0.0032566i,-0.0009719+0.0019288i,0.0053048-0.0049745i,0.0016456-0.0006839i,0.00038471-0.0017865i,0.00069507-0.0010106i,0.0006195-0.0012114i,8.5906e-05-5.0996e-06i,0.00096523+0.0011752i,-0.001774+0.0026861i,-0.00064805+0.0018528i,0.00074479+0.001016i,0.00018014+0.0012112i,0.00012223+0.0013306i,0.0046264+0.0078843i,0.00019689-0.00063774i,-0.00059679-0.0012899i,0.001682+0.00090334i,-0.002996-0.00031391i,-0.00072534+0.00080144i,-0.0011301+0.0016004i,0.0032007+0.00091629i,0.0074564-0.0028938i,0.01217+0.029675i,-0.025071+0.070218i,-0.018305+0.066265i,0.0028794+0.064301i,0.030118+0.039917i,0.028451+0.033798i,0.011635+0.028593i,-0.017131+0.0023078i,-0.033414+0.033969i,-0.024986+0.015842i,0.014762+0.0060759i,-0.0029539+0.011999i,0.0010738+0.01189i,-0.0086176+0.010126i,-0.0054248+0.0018732i,0.01227-0.0013205i,0.014088+0.0033303i,-0.018404+0.007186i,-0.0024676-0.0021719i,-0.0021814+0.0012826i,-0.0026926+8.8608e-05i,-0.0039614-0.001093i,0.0069527+0.00050237i,-0.00034813-0.0064801i,-0.0030806+0.0028773i,0.0027049-0.0014729i,-0.0012683-0.0058422i,-0.0035101+0.0010111i,0.0019524-6.6573e-05i,0.0017508-0.0023932i,0.020524+0.00042293i,-0.0040615+0.0044443i,0.00015341-0.0054321i,-0.0025719-0.0018958i,-0.00064459-0.0066613i,-0.00051962+0.0092884i,0.003099-0.0022344i,0.0013029-0.0012667i,0.00083428-0.0017595i,-0.00092103-0.0013586i,0.0010922+0.0018027i,0.001997+0.00016391i,0.0047828+0.002103i,-0.0033624+0.009633i,-0.011183+0.013379i,-0.0049263+0.055814i,0.0118-0.0095723i,-0.026033+0.0015904i,-0.023901-0.0086052i,0.017758+0.0051379i,0.020602+0.017388i,-0.0060562-0.0012635i
0.014482+0.0090461i,0.039453+0.025005i,0.041311+0.002729i,0.033506-0.0017895i,0.04252-0.0076509i,0.0068776-0.034148i,0.0010278-0.016296i,0.022444-0.020046i,0.017902-0.0022178i,0.0038456+0.00058183i,0.0039963-0.0015989i,0.0067926-0.00081953i,0.0049447-0.0018697i,0.0037616-0.0030893i,-0.0022043-0.0022388i,0.0015958-0.0032642i,-0.0014429-0.0055053i,-0.0018861+0.00056163i,-0.0003273+0.0021624i,-0.0015638-0.00013925i,-0.001331+0.0019163i,0.0014824+0.0026894i,-0.00033666+0.0022264i,0.0022896-0.0059496i,0.0013663-0.00095889i,-0.00026479-0.0016293i,0.00031336-0.0011653i,5.0234e-05-0.0011404i,2.3878e-05+0.00013545i,0.0013814+0.00059559i,-0.00039323+0.0030727i,0.0001996+0.0018952i,0.00091616+0.00068853i,0.00068579+0.00099425i,0.00065697+0.00077632i,0.006132+0.0058242i,1.0737e-05-0.00046904i,-0.00098091-0.00079909i,0.0014954+0.00020694i,-0.0026804+0.00052206i,-0.00057601+0.00096207i,-0.0005251+0.0015488i,0.0036525+0.00023689i,0.0060135-0.0041733i,0.015889+0.024654i,-0.010422+0.06824i,-0.0044786+0.06693i,0.012973+0.062142i,0.032225+0.027925i,0.032213+0.025948i,0.014934+0.03022i,-0.016152+0.010936i,-0.024541+0.043366i,-0.025794+0.016517i,0.012662+0.0026448i,0.0011989+0.01195i,0.0048233+0.009873i,-0.0057086+0.012368i,-0.0046058+0.0041491i,0.0098452-0.0067851i,0.014419-0.0026398i,-0.015935+0.011709i,-0.0017758-0.0009323i,-0.001192+0.0010839i,-0.0017035+0.00043642i,-0.0030801+0.0016312i,0.0056443-0.0012978i,-0.0018857-0.0053069i,0.00012049+0.0045232i,0.0027835-0.0032159i,-0.0032047-0.0045261i,-0.0026522+0.0018052i,0.0022844-0.0012345i,0.0015646-0.0026149i,0.017271-0.0075404i,-0.0014588+0.0049561i,-0.0020495-0.0052033i,-0.0027321-0.0017109i,-0.0032341-0.005803i,0.0021207+0.0074821i,0.0026548-0.0034338i,0.002739-0.0016167i,0.0011778-0.002813i,-0.00039758-0.00238i,0.0012581+0.0017742i,0.00097282+0.00073861i,0.0048726+0.00094425i,-0.0017804+0.0087909i,-0.0062239+0.015998i,0.0029411+0.054319i,0.0062127-0.018123i,-0.024189+0.00047094i,-0.028848-0.0026254i,0.016167-0.0001859i,0.022168+0.010855i,-0.0072378-0.0002393i
0.01606+0.0064533i,0.042072+0.018526i,0.040206-0.0057737i,0.03093-0.0097076i,0.040707-0.016785i,1.1064e-05-0.034031i,-0.00099607-0.01559i,0.018212-0.023759i,0.017029-0.0060079i,0.0035849+0.00055237i,0.0034944-0.0022005i,0.0065648-0.0028992i,0.00476-0.0030712i,0.0024917-0.0036103i,-0.0025957-0.0012226i,0.0014771-0.0029239i,-0.0025167-0.0049073i,-0.0018728+0.00093555i,0.00045288+0.0019266i,-0.0019538+0.00064771i,-0.0008905+0.0020794i,0.002237+0.0016923i,0.00025131+0.0022607i,-0.00085349-0.005416i,0.00083157-0.0017547i,-0.00080625-0.0010675i,-0.00025976-0.0011795i,-0.00030904-0.00087137i,0.00027201+0.00021132i,0.0012419-4.6996e-06i,0.0011447+0.0027856i,0.00082199+0.001714i,0.00091437+0.00035148i,0.00099737+0.00065883i,0.00058931+9.2141e-05i,0.006863+0.003831i,-0.00017952-0.00034278i,-0.0011929-0.00045197i,0.0012909-0.00013922i,-0.0020265+0.0010333i,-0.00031521+0.0010883i,-0.00011848+0.001345i,0.0038714-0.00095549i,0.0043844-0.0049242i,0.018022+0.01995i,0.0019705+0.064233i,0.007728+0.06294i,0.022708+0.058101i,0.030938+0.017748i,0.034082+0.018935i,0.020733+0.030044i,-0.0090366+0.01697i,-0.011112+0.047733i,-0.02593+0.020042i,0.010596+0.00082314i,0.0044921+0.010193i,0.0069296+0.0068034i,-0.0019583+0.013219i,-0.0037167+0.0056974i,0.0034664-0.0095186i,0.011215-0.0076328i,-0.012586+0.015413i,-0.00085561-0.0012195i,-0.00099427+0.00049458i,-0.0013202+0.00035478i,-0.00086455+0.0029486i,0.0042282-0.0014417i,-0.0026376-0.0043347i,0.0031221+0.0035699i,0.0015043-0.0050287i,-0.0042194-0.0028607i,-0.0013135+0.0023031i,0.0016644-0.0025701i,0.001209-0.0034996i,0.011626-0.01221i,0.00060959+0.0045326i,-0.0033191-0.0040982i,-0.002516-0.0014925i,-0.0047554-0.0045002i,0.0036315+0.0055752i,0.001667-0.0050449i,0.0030564-0.0032526i,-2.8644e-07-0.0036161i,-0.0014156-0.0031873i,0.0020839+0.0020378i,0.0010995+0.0020514i,0.0047379-0.00045953i,-0.0011813+0.0084121i,-0.001435+0.015838i,0.010799+0.052804i,-0.0021395-0.023182i,-0.02659-0.00087759i,-0.030187+0.0056208i,0.010812-0.0038117i,0.022708+0.0048778i,-0.0067695+0.0004204i
0.017363+0.0029517i,0.04435+0.012385i,0.03685-0.012851i,0.025672-0.015605i,0.036077-0.025272i,-0.005942-0.032134i,-0.0025413-0.015023i,0.013225-0.026338i,0.015729-0.0095189i,0.0041249+0.0005638i,0.0031667-0.0023314i,0.0050956-0.0047869i,0.004038-0.0041535i,0.0013914-0.003595i,-0.0023893-0.00020971i,0.0013672-0.0027101i,-0.0041301-0.0036268i,-0.0015265+0.0016419i,0.00083467+0.0012051i,-0.0016133+0.0018137i,-0.00029102+0.0023943i,0.0023414+0.000515i,0.00089185+0.0021654i,-0.0029295-0.0033503i,-0.00054478-0.0017539i,-0.00087236-0.00055935i,-0.00067507-0.00094944i,-0.00059919-0.0005729i,0.00036427-0.00010752i,0.0010599-0.00031123i,0.0022125+0.0018559i,0.001401+0.0011963i,0.00086944+8.2157e-05i,0.0010958+0.00022687i,0.00021499+0.00015433i,0.0068973+0.0017955i,-0.00023597-0.00018937i,-0.0014031+4.6818e-05i,0.0010599-0.00038919i,-0.0012802+0.0012322i,-1.9325e-06+0.0012499i,8.0139e-05+0.0010786i,0.0032863-0.0022601i,0.0027794-0.0049431i,0.019386+0.015534i,0.012477+0.057735i,0.016422+0.05743i,0.031646+0.052372i,0.028104+0.010564i,0.034432+0.012338i,0.026636+0.027265i,-0.0010499+0.01738i,0.0028123+0.046784i,-0.023826+0.024852i,0.0095725-0.0001914i,0.006982+0.0077443i,0.0074502+0.0040065i,0.0020273+0.012688i,-0.0021524+0.0073781i,-0.0023646-0.0079411i,0.0067512-0.0097838i,-0.0078717+0.017961i,-0.001235-0.0022726i,-0.0016293+0.00074493i,-0.0011906+0.0005207i,0.001616+0.002778i,0.0034654-0.0016404i,-0.0035472-0.0034255i,0.0045837+0.0014838i,-0.0013815-0.0059108i,-0.0042559-0.0010443i,4.4936e-05+0.001703i,0.0010353-0.003257i,0.00011558-0.0047502i,0.0057185-0.013888i,0.0021954+0.0036952i,-0.0041585-0.0031686i,-0.0032956-0.001409i,-0.0061813-0.0027278i,0.0039701+0.0040694i,-0.00021075-0.0064192i,0.0027107-0.0047031i,-0.00096615-0.0032553i,-0.0021276-0.0029325i,0.0028123+0.0018342i,0.0022174+0.0028032i,0.003681-0.0015708i,-0.00032362+0.0087617i,0.0022331+0.014519i,0.019849+0.050005i,-0.012325-0.025041i,-0.030671+0.00089834i,-0.027241+0.013726i,0.006289-0.003017i,0.020572-0.001669i,-0.0063484-0.00063658i
0.017589-0.001307i,0.04622+0.0048429i,0.033019-0.018294i,0.02034-0.018685i,0.029992-0.031957i,-0.010554-0.029751i,-0.0038151-0.014899i,0.0084027-0.027916i,0.013687-0.013046i,0.0048192-0.00025764i,0.0032453-0.0028807i,0.0032433-0.0055743i,0.0028839-0.00537i,0.00058743-0.0034362i,-0.0019064+0.00037615i,0.0014017-0.0024974i,-0.0047397-0.0016214i,-0.00079032+0.0016408i,0.00069357+0.00059042i,-0.00073397+0.0023231i,0.00041485+0.0023182i,0.0019659-0.00040036i,0.0015556+0.0017801i,-0.003691-0.00068649i,-0.0012333-0.00090548i,-0.00078244-0.00025625i,-0.00096492-0.00066092i,-0.00067386-0.0002476i,7.332e-05-5.3014e-05i,0.00077127-0.00066268i,0.0029118+0.00058087i,0.0014793+0.00062839i,0.00085041-0.00021843i,0.0011868-2.5288e-05i,0.00024644+0.00045911i,0.0062345+9.0518e-05i,-0.00019224+5.0069e-05i,-0.0013385+0.00068612i,0.00089289-0.00074218i,-0.00063351+0.0013684i,0.00046899+0.0011129i,0.00014614+0.00081991i,0.0021735-0.0030593i,0.0013636-0.0045577i,0.019912+0.01117i,0.019313+0.049994i,0.02353+0.052177i,0.039089+0.044457i,0.024825+0.0051377i,0.033943+0.0079012i,0.03165+0.023154i,0.0054282+0.01597i,0.014701+0.041596i,-0.019173+0.029569i,0.0089002-0.00162i,0.0085947+0.0043856i,0.0077561+0.0017216i,0.0055027+0.010481i,0.00047524+0.0076777i,-0.0056128-0.0045902i,0.0023352-0.0097957i,-0.0023427+0.017968i,-0.0027812-0.0022294i,-0.00246+0.0018916i,-0.00098209+0.00075835i,0.003211+0.0012578i,0.002897-0.00086652i,-0.0039123-0.0019982i,0.0047439-0.0006709i,-0.0038347-0.0046026i,-0.0033694+0.00026362i,0.00029562+0.00059013i,0.00020222-0.004047i,-0.001822-0.0049558i,0.0005383-0.013355i,0.0035235+0.0020037i,-0.0052322-0.001928i,-0.0038379+3.8008e-05i,-0.0061901-0.00013919i,0.0044639+0.003364i,-0.0035302-0.0066266i,0.0016304-0.0066617i,-0.001619-0.0030148i,-0.0027214-0.0030725i,0.0041517+0.001361i,0.003654+0.0025853i,0.0026039-0.0011964i,0.00087588+0.0090314i,0.0051962+0.012368i,0.02865+0.044398i,-0.023357-0.021955i,-0.03371+0.0047486i,-0.021647+0.018231i,0.004791-0.0015728i,0.015867-0.0055698i,-0.0083796-0.0011534i
0.016294-0.0054329i,0.046365-0.0034116i,0.028763-0.023068i,0.015763-0.020444i,0.022973-0.037137i,-0.015051-0.027246i,-0.0055191-0.015544i,0.0035213-0.028947i,0.010688-0.016067i,0.0050471-0.0013846i,0.0030331-0.0038613i,0.0015138-0.0056242i,0.0011074-0.0060994i,-8.6531e-05-0.0032826i,-0.0015853+0.00058661i,0.0015936-0.0026311i,-0.0044077+0.00022717i,-0.0003587+0.0014097i,0.0005704+0.00037509i,5.7361e-05+0.0024329i,0.00098195+0.0021129i,0.0014444-0.00081646i,0.0019572+0.0010624i,-0.0028006+0.0016745i,-0.0011552-0.00016962i,-0.00071291+7.9111e-05i,-0.0011243-0.0003392i,-0.00069807-2.8492e-05i,9.6554e-05+6.9821e-05i,0.00017855-0.00080586i,0.0029551-0.00091282i,0.0015712+0.0002265i,0.00075347-0.00051759i,0.0011141-0.00064667i,0.0005078+0.00060256i,0.0054769-0.0010717i,4.1472e-05+8.053e-05i,-0.00089565+0.0012935i,0.00034664-0.00065914i,0.00016592+0.0011131i,0.00081774+0.00098959i,0.00015163+0.00087037i,0.00092248-0.0030503i,0.00051217-0.0034521i,0.019562+0.0076417i,0.023513+0.04403i,0.03023+0.04675i,0.04377+0.036663i,0.020825+0.00081386i,0.034931+0.0043564i,0.035836+0.017805i,0.011519+0.012197i,0.024314+0.032888i,-0.012202+0.03269i,0.0080236-0.0030937i,0.0080693-0.00029535i,0.0078494-0.00096067i,0.0073564+0.0071593i,0.0021255+0.0069187i,-0.0070802-0.00021583i,-0.0013858-0.0084106i,0.0014089+0.015584i,-0.0039072-0.00079863i,-0.0019207+0.0038673i,-0.0008752+0.0010296i,0.003995-0.00090559i,0.0038589+0.00042883i,-0.0033421-0.0007493i,0.0043584-0.0015627i,-0.0049209-0.0027462i,-0.0023821+0.0006277i,-1.3125e-05+0.00026327i,-0.002039-0.0045672i,-0.003416-0.0038208i,-0.0037177-0.012019i,0.00369-1.958e-05i,-0.0056019+5.3658e-06i,-0.0029071+0.0011876i,-0.0052981+0.0016679i,0.0055618+0.0026402i,-0.0062528-0.0045998i,-0.0010792-0.0081101i,-0.0026192-0.0024995i,-0.004365-0.0027677i,0.0052166-0.0007328i,0.005177+0.0020191i,0.0029996-0.0011579i,0.0028782+0.0092331i,0.0064529+0.0092705i,0.035894+0.036661i,-0.030216-0.013177i,-0.036556+0.010888i,-0.015818+0.020838i,0.0032432-0.00028933i,0.011711-0.0064245i,-0.0096824-0.00020098i
