-0.024272-0.039038i,-0.012383-0.048844i,-0.017913-0.044291i,-0.030543-0.034924i,-0.030468-0.015748i,-0.050134-0.026745i,-0.057281-0.02567i,-0.04533-0.037005i,-0.029038-0.036644i,0.0076673+0.01269i,-0.0048136+0.015135i,-0.0043564+0.014164i,0.0099777+0.021541i,0.00083796+0.0043654i,0.0032563+0.0031815i,0.0059473+0.01792i,0.026337+0.038016i,-0.0021775-0.00050046i,-0.0040604-0.0062802i,0.0078787+0.0016304i,-0.00018034-0.00091088i,-0.00091327+0.0012831i,3.2193e-05-0.00031726i,-0.030103-0.002988i,-0.0013576-0.0054585i,0.0018936+0.0044251i,0.0038196-0.00017765i,-0.00045934+0.00047575i,0.00048777-0.0004653i,-0.00038838-0.0025035i,-0.0014959-0.0058909i,-0.0046046-0.0040195i,-0.0019283-0.0046947i,0.0020187-0.00083722i,0.0021071-0.0029131i,0.0029202+0.025444i,0.0017782-0.0027908i,0.0028991+0.00061628i,0.006174+0.001142i,-0.0099233-0.0041275i,-0.0032067+0.00056334i,0.0066853+0.0013019i,0.0057786-1.2917e-05i,-0.0040301+0.0056774i,0.0005574-0.0084457i,-0.011444+0.017959i,0.03599-0.090498i,0.01152-0.070098i,-0.016247-0.059582i,-0.016709-0.055184i,0.038238-0.04578i,0.017344-0.062098i,0.034134-0.055086i,0.029678-0.059667i,0.016814-0.013895i,0.0049034+0.016547i,0.016675-0.025779i,-0.011255+0.0059311i,-0.00046947+0.0057431i,-0.0050491-0.0015784i,-0.0020156-0.02955i,-0.024009+0.031372i,0.010935-0.011369i,-0.013279-0.0026268i,-4.5636e-05-0.0048149i,-0.0011449-0.015947i,-0.0068431+0.0047311i,0.005295+0.0066844i,-0.0090779+0.030687i,0.0050396+0.0060303i,-0.0050537-0.00061629i,-0.00321-0.00085266i,-0.012601-0.0073919i,-0.0012827-0.0048108i,-0.030455+0.0066418i,0.00016158-0.010172i,-0.0097033-0.0021279i,-0.0065816-0.0029595i,0.0068143+0.002491i,-0.0075703+0.0011529i,-0.00017489+0.00034382i,0.0058267+0.010752i,0.0042783+0.0017086i,-0.0097073-0.0096601i,0.003159+0.008077i,-0.021571+0.0063254i,0.0076086+0.00037552i,-0.029084-0.0043546i,-0.042321+0.0026543i,0.019201-0.097089i,-0.00031051-0.012384i,-0.052445-0.021868i,-0.022398-0.0012752i,0.017912+0.011196i,-0.024974+0.013558i,-0.018503-0.01341i
0.0076326+0.019579i,0.015848+0.050576i,0.024611+0.034544i,0.017086+0.026727i,0.024449+0.026074i,0.031765-0.014556i,0.017091-0.0093878i,0.028997+0.0050634i,0.012022+0.012507i,0.0024579+0.0049738i,0.0047944+0.0025815i,0.0043211+0.0032105i,0.0059373+0.0028072i,0.0050809+0.0033838i,0.002989-0.0033579i,0.0077247-0.0012387i,0.0087078-0.0048451i,-0.0010787-0.0014931i,-0.0031646+0.0012836i,-6.0543e-05+0.0014561i,-0.0011297-0.00020901i,-0.0026665+0.0012239i,-0.0018356+0.0009045i,0.0047627+0.0078759i,0.001508+0.0011062i,0.0022674+0.00039367i,0.0018454+0.0011464i,0.00094898+0.0014013i,0.00069663+6.8027e-05i,-0.0001149+0.00081844i,-0.0016175-0.0022908i,-0.00082844-0.00045871i,-0.0011379+0.00081788i,-0.0011053+0.00021599i,-0.00053724-0.0019876i,-0.0069134+0.0074324i,0.0014427+0.00032269i,0.001244-0.00051409i,-0.00092517+0.0025257i,-0.00024532-0.0036132i,-0.0014263+0.00031294i,-0.0019208-0.0004327i,0.0018798+0.0012294i,0.0065068+0.0043422i,-0.013663+0.033639i,-0.08186+0.034256i,-0.050912+0.037949i,-0.036638+0.059508i,-0.018275+0.072695i,-0.0084372+0.050968i,0.009831+0.036634i,0.002286-0.0028194i,-0.037817+0.0098401i,-0.044323+0.019506i,0.001794+0.024094i,-0.0078204+0.0025031i,-0.010408-0.00087811i,-0.013439-0.0025874i,0.0023748+0.00067198i,0.005552+0.011055i,-0.002416+0.0084591i,-0.007457-0.011338i,0.0049559-0.0069625i,-0.0065239-0.0069982i,0.0020266-0.006199i,0.0039624-0.0041629i,-0.0018121+0.010062i,0.010147-0.0042805i,0.0048138-0.0062332i,0.0028989-0.0059545i,0.0030786-0.00051225i,-0.0012798-0.0045453i,-0.0036973-0.00079457i,0.0023689-0.00055122i,-0.0091033+0.025474i,-0.0041764-0.0034062i,0.0021049+0.00032098i,0.00021961-0.0067081i,0.0025478-0.0015306i,-0.015317-0.0035507i,0.00054922+0.00013128i,0.0051788-0.0030758i,0.0028596-0.0013949i,0.00021661-0.0046286i,-0.00066749+0.005839i,-0.00080149+0.0060934i,-0.0029362+0.0048007i,-0.012271+0.001888i,-0.014767-0.0015641i,-0.039687+0.055692i,0.0021777+0.0036118i,-0.024689-0.016958i,-0.0080264-0.0065878i,0.0088156+0.019759i,-0.0023049+0.022708i,-0.00076094-0.00047023i
0.0099259+0.016339i,0.023793+0.045494i,0.030149+0.030097i,0.021789+0.024505i,0.030109+0.022026i,0.028511-0.020147i,0.014248-0.012537i,0.029368-0.00015762i,0.013601+0.0098622i,0.0039361+0.0038392i,0.0053455+0.001531i,0.0041388+0.0030164i,0.0061757+0.0016811i,0.0055521+0.0020829i,0.0018535-0.0038288i,0.0064742-0.0026251i,0.0062601-0.0062997i,-0.00095486-0.0013803i,-0.002561+0.0013699i,0.00059859+0.0007794i,-0.0013101-0.00019549i,-0.0022842+0.0018366i,-0.0014846+0.00097591i,0.0082312+0.0051344i,0.0015036+0.0010833i,0.0024708-0.0005742i,0.0019687+0.00011688i,0.001516+0.00086641i,0.00026434-4.1804e-05i,-1.9635e-05+0.00076851i,-0.0024249-0.0011912i,-0.0011887-0.00057193i,-0.00088703+0.0011536i,-0.00085629+0.00062251i,-0.0015301-0.00067794i,-0.0040161+0.0088753i,0.0011025-0.00021551i,0.00086432-0.00085431i,0.00025568+0.0023613i,-0.0013817-0.0030283i,-0.0012597+0.0005015i,-0.0020349+0.00023618i,0.0018067+0.0012058i,0.0070318+0.0030429i,-0.0073186+0.035212i,-0.070374+0.048921i,-0.046719+0.046643i,-0.026479+0.063202i,-0.0021931+0.069988i,0.0022624+0.048921i,0.01076+0.030992i,-0.0036239-0.0067208i,-0.038661+0.012703i,-0.035728+0.020901i,0.0077264+0.022267i,-0.0079355+0.0048996i,-0.0097944+0.0048337i,-0.013029+0.0015581i,0.0014037-0.00073107i,0.0081358+0.010296i,0.0021358+0.011497i,-0.012875-0.0091065i,0.00054956-0.0075568i,-0.0062924-0.0032186i,-0.0013736-0.0059056i,0.0015745-0.0055643i,0.002791+0.0078238i,0.0064518-0.0070931i,0.00041456-0.0064433i,0.00023197-0.0035845i,0.0037792-0.0015176i,-0.0024273-0.003835i,-0.0017671+0.0012902i,0.002496-0.00045193i,0.0042045+0.025558i,-0.0049035-0.0026452i,0.0027478-0.0017807i,-0.0029604-0.0059395i,0.0028031-0.002504i,-0.014363+0.0032121i,0.00096974+0.00044452i,0.0030477-0.0029781i,0.0025966-0.0023986i,-0.00083187-0.0044613i,0.0015181+0.0030138i,0.0019835+0.0050351i,-0.00036021+0.0057574i,-0.010851+0.0058755i,-0.015605+0.0017615i,-0.028979+0.057072i,0.00094133+0.0037201i,-0.02843-0.011547i,-0.0099789-0.009119i,0.011643+0.01912i,0.002077+0.0246i,-0.0028614-0.0017577i
0.011101+0.013593i,0.029785+0.038767i,0.035633+0.023339i,0.027348+0.019965i,0.035591+0.016436i,0.023975-0.02538i,0.01077-0.015291i,0.028967-0.0057295i,0.014908+0.0073692i,0.0043454+0.0024752i,0.0051703-0.00016333i,0.0049556+0.0028878i,0.0061296+3.3127e-05i,0.0058088+0.00035814i,0.00065946-0.0039457i,0.0050442-0.0035861i,0.0038131-0.0072782i,-0.0014212-0.0013853i,-0.002286+0.0017091i,0.00054948-0.00028677i,-0.0018141-0.00015747i,-0.0015849+0.0023708i,-0.0014064+0.0010396i,0.0089106+0.00082825i,0.0021123+0.00050199i,0.0017763-0.0015126i,0.0015487-0.00063111i,0.0019366-8.7108e-05i,0.00015812+9.249e-05i,-2.9861e-05+0.0009279i,-0.0026257+0.00013372i,-0.0018246+0.00026449i,-0.00023164+0.0015049i,-0.00054639+0.00082759i,-0.0011377+0.00051789i,-0.001118+0.0093733i,0.000807-0.00032561i,0.00046266-0.0011232i,0.00096127+0.0015747i,-0.0022706-0.0022047i,-0.0011204+0.00067658i,-0.0017613+0.00081331i,0.0020693+0.0014735i,0.0076223+0.0015928i,0.00035294+0.035108i,-0.057574+0.059726i,-0.038608+0.05476i,-0.015316+0.063967i,0.012185+0.062875i,0.011945+0.04685i,0.010539+0.02761i,-0.0090247-0.0068145i,-0.038184+0.01883i,-0.029152+0.019735i,0.012636+0.01748i,-0.0073392+0.0068455i,-0.007232+0.0079525i,-0.012323+0.0045262i,-0.00057815-0.0025419i,0.010776+0.0079897i,0.007459+0.011041i,-0.016721-0.0047717i,-0.0017135-0.0051276i,-0.0053748-0.00012856i,-0.0031985-0.0039608i,-0.00098384-0.0049536i,0.0050767+0.0066669i,0.0036321-0.0075958i,-0.0031581-0.0043195i,0.00048229-0.0015537i,0.0033777-0.0040231i,-0.0040527-0.0027903i,-0.00041178+0.0011007i,0.0023866-0.0011352i,0.014877+0.019489i,-0.0060649-0.0010408i,0.0023278-0.0029181i,-0.0032544-0.0040964i,0.0029972-0.0039177i,-0.010053+0.0085217i,0.0022467+0.00045881i,0.0020327-0.0032293i,0.0015112-0.002637i,-0.0019023-0.0035804i,0.00087175+0.0019148i,0.0034089+0.0031018i,0.0025333+0.005505i,-0.0088458+0.0081539i,-0.015601+0.0059354i,-0.020529+0.056857i,0.003792+0.0041705i,-0.030115-0.0061288i,-0.012892-0.010446i,0.016519+0.016182i,0.0081253+0.025299i,-0.0051178-0.0013181i
0.011681+0.011527i,0.032932+0.032379i,0.038124+0.015268i,0.031193+0.01294i,0.039352+0.0085007i,0.018009-0.02912i,0.0067102-0.01676i,0.027072-0.011114i,0.016049+0.0045837i,0.0042936+0.0015276i,0.0043935-0.00093686i,0.0058315+0.0020036i,0.0052426-0.0010263i,0.0052038-0.0011866i,-0.00062988-0.0037561i,0.0036385-0.0038904i,0.001218-0.0071886i,-0.0016925-0.00090769i,-0.0014227+0.0021396i,-0.00025835-0.00076312i,-0.0020937+0.00062746i,-0.0009695+0.0028394i,-0.0013308+0.0013577i,0.0073829-0.0025329i,0.0019812-0.00028759i,0.00087849-0.0015781i,0.0010239-0.0009015i,0.0013328-0.0010753i,0.00018065-5.2798e-06i,0.00011771+0.0011628i,-0.0021803+0.0014855i,-0.0014002+0.0013115i,0.0004262+0.0012933i,-0.00032346+0.00094362i,-0.00059204+0.001008i,0.0018359+0.0089391i,0.0006245-0.00056201i,-6.6914e-05-0.0013025i,0.0010923+0.0012709i,-0.0027489-0.0012879i,-0.00091555+0.001007i,-0.0014429+0.0012085i,0.0027654+0.0013805i,0.0078919-0.00011551i,0.0074411+0.032169i,-0.042178+0.067673i,-0.029253+0.060629i,-0.0062995+0.063079i,0.024049+0.05182i,0.021595+0.041015i,0.009484+0.026083i,-0.015137-0.0044687i,-0.035773+0.025379i,-0.025087+0.017124i,0.015433+0.011185i,-0.0058522+0.0096309i,-0.0041286+0.011037i,-0.010955+0.0075893i,-0.0041785-0.0016738i,0.013311+0.004015i,0.012061+0.0080738i,-0.018756+0.00090514i,-0.0024077-0.0036751i,-0.0035402+0.0012543i,-0.0038634-0.0015122i,-0.0025064-0.0034555i,0.0071431+0.0034462i,0.001123-0.0074423i,-0.004618-0.00014642i,0.0014935-0.00082368i,0.0012533-0.0056442i,-0.004621-0.00056966i,0.00087421+0.0012491i,0.0022339-0.0018357i,0.020614+0.0096899i,-0.006191+0.0018724i,0.0017561-0.0043647i,-0.0036047-0.0025978i,0.0014536-0.0059819i,-0.0045412+0.0098259i,0.0033765-0.00085749i,0.0011938-0.0024027i,0.00084188-0.0024926i,-0.0021114-0.0021369i,0.00038+0.0017284i,0.0032163+0.0010831i,0.0047996+0.0041505i,-0.0062725+0.0096219i,-0.014131+0.010412i,-0.012877+0.05745i,0.0095396+0.00034758i,-0.029267-0.00032641i,-0.01788-0.010599i,0.018137+0.010767i,0.015047+0.023533i,-0.0052095-0.00060702i
0.012864+0.010041i,0.035899+0.027311i,0.039123+0.008254i,0.032566+0.0054847i,0.040607-2.7545e-05i,0.012137-0.031376i,0.0028051-0.016664i,0.024217-0.015734i,0.017159+0.0016619i,0.0042377+0.00074154i,0.0038457-0.0012312i,0.0064657+0.00065619i,0.0046424-0.0013227i,0.0043137-0.0022815i,-0.0016704-0.0029069i,0.0025233-0.0035883i,-0.00042743-0.0062681i,-0.0021307-0.0003808i,-0.0007618+0.0019684i,-0.00099588-0.00061771i,-0.0018956+0.0013159i,0.00017266+0.00315i,-0.0010514+0.0018615i,0.0051397-0.0046578i,0.0014491-0.00070801i,0.00039486-0.0014714i,0.00063491-0.0010348i,0.00056319-0.0012322i,3.6901e-05+2.6039e-05i,0.00069432+0.0012604i,-0.0010719+0.0022383i,-0.00064108+0.00179i,0.0007903+0.00091094i,0.00013924+0.0012292i,0.00012661+0.0013067i,0.0042506+0.0075597i,0.0002029-0.0005829i,-0.00069869-0.00115i,0.0015385+0.0010294i,-0.0028698-0.0002578i,-0.00050438+0.0010308i,-0.00096471+0.0015078i,0.0033808+0.00069097i,0.0073223-0.0021373i,0.012321+0.028004i,-0.025387+0.070783i,-0.017369+0.065053i,0.0028673+0.062429i,0.02989+0.038876i,0.02778+0.03336i,0.010033+0.027449i,-0.018466+0.002633i,-0.031545+0.033099i,-0.024634+0.015008i,0.014001+0.0054691i,-0.002505+0.011665i,0.00098838+0.011475i,-0.0087534+0.010248i,-0.0055424+0.0016312i,0.013418-0.0019687i,0.014872+0.0030365i,-0.018352+0.0070637i,-0.0025668-0.0017093i,-0.0024628+0.001677i,-0.0026802+0.00014933i,-0.003741-0.001402i,0.0070961+0.00047637i,-0.0010167-0.0065807i,-0.0029316+0.0032644i,0.0027878-0.0015429i,-0.001309-0.005763i,-0.0035793+0.0011202i,0.0022553+0.00011502i,0.0018495-0.0022562i,0.02108-3.3569e-05i,-0.0040773+0.0041853i,7.9265e-05-0.005501i,-0.0029419-0.0017793i,-0.00083809-0.0064226i,-0.00060219+0.0088066i,0.0030231-0.0025332i,0.0014902-0.0012499i,0.00098532-0.0021695i,-0.0011452-0.0016649i,0.00081881+0.0020965i,0.0019194-4.5061e-05i,0.0055756+0.0016518i,-0.0039618+0.0095299i,-0.010688+0.014789i,-0.0042672+0.057147i,0.011046-0.0094664i,-0.025822+0.0022851i,-0.023138-0.0083149i,0.018667+0.0060719i,0.02058+0.017163i,-0.0061929-0.0010049i
0.014337+0.0078781i,0.038914+0.021796i,0.039707+0.0011375i,0.032601-0.0020911i,0.040412-0.0083448i,0.0059745-0.032725i,1.3116e-05-0.015901i,0.020868-0.019742i,0.017839-0.0022387i,0.0038046+2.809e-05i,0.0038497-0.001488i,0.0066862-0.00084431i,0.0048434-0.0018169i,0.0033056-0.0029858i,-0.002183-0.002048i,0.0020388-0.0031441i,-0.0014067-0.0055786i,-0.002002+0.00026497i,-0.00031485+0.0019275i,-0.0013868-0.00013468i,-0.0012886+0.0018264i,0.0014829+0.0026795i,-0.00036031+0.0021989i,0.0023719-0.0055035i,0.0012298-0.00093325i,-5.5982e-05-0.0014456i,0.00023203-0.0011379i,3.67e-05-0.0011403i,4.5493e-05+0.00016379i,0.0011368+0.00079727i,7.2873e-05+0.0023132i,0.00021351+0.0018552i,0.00095273+0.00060173i,0.00080202+0.00096634i,0.00081556+0.00076731i,0.0056262+0.0056081i,9.3525e-07-0.00042835i,-0.001026-0.00068102i,0.0015228+0.00041799i,-0.0024637+0.0004502i,-0.00023856+0.00091029i,-0.00041211+0.0014762i,0.0036901-0.00011031i,0.0062285-0.0036639i,0.015954+0.023331i,-0.01019+0.069301i,-0.003872+0.06515i,0.012478+0.060356i,0.031934+0.026926i,0.03141+0.025481i,0.013236+0.029353i,-0.016732+0.011078i,-0.023286+0.041253i,-0.025679+0.016017i,0.01193+0.002623i,0.001442+0.011595i,0.0046629+0.0096733i,-0.0057244+0.012471i,-0.0047751+0.0040477i,0.010146-0.0079554i,0.014547-0.0032055i,-0.015833+0.011632i,-0.0016502-0.0005645i,-0.0013523+0.0015453i,-0.0015771+0.00042018i,-0.0031738+0.0014078i,0.0054414-0.0013501i,-0.0023679-0.0048104i,0.00042412+0.0045849i,0.0028212-0.0032886i,-0.0032662-0.0044531i,-0.0025611+0.0017282i,0.002341-0.0014725i,0.001751-0.0025992i,0.017413-0.0082095i,-0.0015278+0.0048686i,-0.0020366-0.0051209i,-0.0028427-0.0013171i,-0.0031005-0.0058275i,0.001848+0.0071422i,0.0024602-0.0036413i,0.0028548-0.0019646i,0.0010247-0.0031601i,-0.00057187-0.0022366i,0.0011409+0.0021959i,0.00084579+0.00066851i,0.005029+3.0375e-05i,-0.0026264+0.0089761i,-0.0049515+0.01689i,0.003959+0.055573i,0.0054884-0.017702i,-0.02411+0.00096799i,-0.028164-0.0029103i,0.017243+0.00017041i,0.022204+0.010322i,-0.0072619-0.00012585i
0.015615+0.0054379i,0.041002+0.015676i,0.03835-0.0069311i,0.030047-0.01002i,0.038538-0.017188i,-0.00052249-0.032509i,-0.0020439-0.015094i,0.016814-0.023323i,0.017084-0.0062981i,0.0034238+3.9857e-05i,0.003531-0.0020669i,0.0064485-0.0029457i,0.0045556-0.0029706i,0.0021782-0.0034467i,-0.0024446-0.00106i,0.0018595-0.0030781i,-0.0026781-0.0049751i,-0.0020715+0.00075696i,0.00039951+0.0016996i,-0.0018118+0.00048437i,-0.00087191+0.0019822i,0.0023037+0.0016506i,0.00026065+0.0022242i,-0.00048034-0.0051124i,0.00073722-0.0016612i,-0.00057221-0.0010529i,-0.0003094-0.0011233i,-0.00031336-0.00087639i,0.0002874+0.0001858i,0.0010991+0.0002643i,0.0012431+0.0018917i,0.00083927+0.0016649i,0.00089745+0.00021706i,0.0010633+0.00053745i,0.00076725-6.5758e-05i,0.0062347+0.0038041i,-0.00013168-0.00030523i,-0.0011804-0.0003276i,0.0015028+4.5875e-05i,-0.0019538+0.00086851i,-0.00011879+0.00090005i,-6.6258e-05+0.0012346i,0.0037228-0.0011751i,0.0046531-0.0046933i,0.018017+0.018634i,0.0026048+0.065107i,0.0078567+0.061252i,0.021866+0.056563i,0.030319+0.016813i,0.033095+0.018787i,0.018867+0.029351i,-0.0095293+0.016448i,-0.011134+0.045271i,-0.025949+0.019595i,0.010045+0.0010219i,0.0045798+0.0097987i,0.0068291+0.0067327i,-0.0019628+0.01327i,-0.0039989+0.0054832i,0.0031585-0.01061i,0.0109-0.0078839i,-0.01231+0.015547i,-0.00079878-0.00096015i,-0.0010043+0.00096989i,-0.0012463+0.00023674i,-0.00077242+0.0027766i,0.0040761-0.001354i,-0.0025469-0.0036739i,0.0032924+0.0034671i,0.0016599-0.0050881i,-0.0043133-0.00274i,-0.0014237+0.002237i,0.0014219-0.0027204i,0.0013402-0.0036916i,0.011382-0.012771i,0.00063444+0.0044906i,-0.0032375-0.004072i,-0.0023478-0.0011329i,-0.0047093-0.0046035i,0.0034397+0.0054298i,0.0014273-0.0050536i,0.0029796-0.0036255i,-0.0001956-0.0038099i,-0.0014849-0.0030676i,0.0023282+0.0025076i,0.00089895+0.0019732i,0.0045831-0.0010501i,-0.0017876+0.0091086i,-1.7391e-05+0.015947i,0.012104+0.053487i,-0.0021923-0.022486i,-0.026856-0.00029392i,-0.029954+0.0050347i,0.011893-0.0040937i,0.02237+0.004542i,-0.0066991+0.00058162i
0.016746+0.0022534i,0.042809+0.0099291i,0.034756-0.013531i,0.024688-0.015902i,0.033965-0.025353i,-0.0061448-0.030639i,-0.0035941-0.014283i,0.01201-0.025775i,0.015628-0.010148i,0.0038314+0.00012688i,0.0031898-0.0023043i,0.0049259-0.0047626i,0.0038444-0.0039446i,0.0011554-0.0033563i,-0.002165-0.00014412i,0.0015227-0.0029632i,-0.0041865-0.0034762i,-0.0017917+0.0015266i,0.00077911+0.0010786i,-0.0016595+0.0015955i,-0.00030249+0.0022929i,0.0023501+0.00038681i,0.00089746+0.0020935i,-0.0025322-0.0033929i,-0.00053088-0.0015532i,-0.00072878-0.00060259i,-0.00070513-0.00085344i,-0.00059236-0.0004855i,0.000321-8.4941e-05i,0.0010492-0.00010903i,0.0019761+0.0010264i,0.0013218+0.0011807i,0.00082542-4.0068e-05i,0.0011274+0.00020464i,0.00019248-4.5548e-05i,0.0063247+0.0019992i,-0.0001503-0.00013546i,-0.0013107+0.00013448i,0.0013803-0.00020441i,-0.0013598+0.0011404i,5.7459e-05+0.0009983i,9.9843e-05+0.0010383i,0.0031678-0.0022215i,0.0030071-0.004929i,0.019134+0.014256i,0.013624+0.058635i,0.016381+0.055737i,0.03059+0.051167i,0.02719+0.009835i,0.033533+0.012462i,0.024592+0.026883i,-0.0022144+0.016781i,0.0017144+0.044819i,-0.023778+0.024218i,0.0091008+0.00012732i,0.0069056+0.007367i,0.0073689+0.0039106i,0.0020364+0.012626i,-0.0025571+0.0073801i,-0.0030667-0.008655i,0.0064802-0.009697i,-0.0074924+0.018129i,-0.0011814-0.0019985i,-0.0014743+0.0007703i,-0.0012202+0.00040178i,0.0016246+0.0025115i,0.0035406-0.0014835i,-0.0030591-0.0028961i,0.0045698+0.0012781i,-0.0010772-0.0061004i,-0.0043465-0.00089151i,3.6358e-05+0.0018463i,0.00094811-0.0034682i,0.00011761-0.0047871i,0.0052141-0.014109i,0.0021938+0.0035249i,-0.0041544-0.0032927i,-0.0030862-0.0012448i,-0.0059853-0.0028443i,0.0036425+0.0038649i,-0.00068047-0.0063275i,0.0022552-0.0051141i,-0.0012396-0.003175i,-0.0023188-0.0029111i,0.0033415+0.0019583i,0.0019686+0.0025589i,0.003313-0.0018908i,-0.00040852+0.0096119i,0.0036159+0.013746i,0.02129+0.050441i,-0.012397-0.024431i,-0.030431+0.001448i,-0.027503+0.012998i,0.0066443-0.003859i,0.020479-0.0015432i,-0.006252-0.0005551i
0.016994-0.0016929i,0.044294+0.0029918i,0.030815-0.018483i,0.019222-0.018852i,0.027857-0.031743i,-0.010611-0.028317i,-0.0047334-0.013891i,0.0072047-0.027373i,0.013281-0.013728i,0.0044371-0.00059522i,0.0031725-0.0028366i,0.0031195-0.0054317i,0.0028052-0.0050581i,0.00043569-0.0031584i,-0.0016653+0.00042002i,0.001337-0.0027245i,-0.0044419-0.0013205i,-0.0011334+0.0016886i,0.00066086+0.00045712i,-0.0008091+0.0021659i,0.00039639+0.0022477i,0.0019587-0.00042383i,0.0015296+0.0016949i,-0.0034298-0.00093626i,-0.0010438-0.000814i,-0.00076277-0.00027842i,-0.0009568-0.00056396i,-0.00059748-0.00012953i,2.1256e-05-7.2339e-06i,0.00077002-0.00051276i,0.0022927-6.5547e-05i,0.0014032+0.00066379i,0.00081749-0.00028699i,0.0012566-9.9892e-05i,0.00013271+0.00034622i,0.0057954+0.00045044i,-0.00020906+0.00010609i,-0.0011619+0.00074722i,0.0011936-0.00068231i,-0.00069884+0.0012813i,0.00040714+0.00088267i,0.00013364+0.00073877i,0.0021865-0.0029175i,0.0015473-0.0048037i,0.019284+0.010321i,0.021199+0.050324i,0.023112+0.050568i,0.037946+0.043599i,0.023973+0.0048249i,0.033109+0.0081393i,0.029558+0.023219i,0.0037971+0.0155i,0.013041+0.040337i,-0.019654+0.02907i,0.0086455-0.0011461i,0.0083178+0.0040071i,0.0075398+0.0016345i,0.0054652+0.010427i,0.00017206+0.0079603i,-0.0066495-0.0049479i,0.0021637-0.0099913i,-0.0016177+0.018183i,-0.0024966-0.0019489i,-0.0022427+0.0018803i,-0.0010441+0.00069678i,0.0031282+0.0010779i,0.0029424-0.000775i,-0.00333-0.0018064i,0.0044293-0.00083199i,-0.0037523-0.0047685i,-0.0033931+0.00039936i,0.00051166+0.00068342i,-8.3362e-06-0.0042754i,-0.0016993-0.0049219i,0.00021491-0.013294i,0.0035411+0.0018641i,-0.0053693-0.0019058i,-0.0035686-1.6125e-05i,-0.0060219-0.00023406i,0.0042122+0.0032355i,-0.0037284-0.0061522i,0.0010935-0.0066946i,-0.0017753-0.0028719i,-0.0029695-0.0028041i,0.0043272+0.0013684i,0.0032964+0.0023421i,0.0021631-0.0013101i,0.0010948+0.0094061i,0.005815+0.010908i,0.030179+0.044455i,-0.023043-0.021361i,-0.033596+0.0051484i,-0.022337+0.017668i,0.0043189-0.0021831i,0.015873-0.0056453i,-0.0084584-0.001275i
0.015821-0.0055704i,0.044324-0.0047062i,0.026808-0.022731i,0.014649-0.0204i,0.0209-0.036543i,-0.014842-0.025774i,-0.0062133-0.014336i,0.0022985-0.028244i,0.0098544-0.016637i,0.0046219-0.0016086i,0.0029689-0.0038361i,0.0014653-0.0054364i,0.001083-0.005738i,-0.00019277-0.0029715i,-0.0013225+0.00058574i,0.0013816-0.0026787i,-0.0040662+0.00033643i,-0.00066407+0.0016157i,0.0003794+0.00026982i,3.8651e-05+0.0022953i,0.00098329+0.0020612i,0.0015282-0.00086582i,0.001895+0.0010093i,-0.0028137+0.0014063i,-0.00091101-0.00016179i,-0.00071334+8.1471e-05i,-0.001095-0.00024749i,-0.00056304+6.2256e-05i,9.4637e-05+0.00012624i,0.00023714-0.00071611i,0.0021089-0.0011979i,0.0015273+0.00034394i,0.00065252-0.00052122i,0.0011477-0.0007686i,0.00036692+0.00055522i,0.0052523-0.00058109i,-1.3577e-05+0.00022533i,-0.00071016+0.001206i,0.00049546-0.00088564i,0.00011542+0.001013i,0.00064488+0.00077036i,7.7943e-05+0.00071851i,0.0010875-0.0029793i,0.00054419-0.0039148i,0.019146+0.0070392i,0.025224+0.043322i,0.029454+0.045293i,0.042597+0.035976i,0.020158+0.00054866i,0.034221+0.0046824i,0.033816+0.018191i,0.0096841+0.012161i,0.022424+0.032966i,-0.012436+0.032576i,0.0080442-0.0026691i,0.0077726-0.00040147i,0.0076264-0.00093536i,0.0073324+0.0070621i,0.0020288+0.0071637i,-0.0081137-5.9474e-05i,-0.0015722-0.0085189i,0.0023185+0.015288i,-0.0035602-0.00086418i,-0.0019532+0.0037963i,-0.00091222+0.0010192i,0.0038334-0.00084102i,0.0039676+0.0005908i,-0.0029162-0.00089956i,0.0038489-0.0014801i,-0.0049295-0.002755i,-0.0023633+0.00072871i,0.00020968+0.0001529i,-0.0020381-0.0048267i,-0.0035269-0.0037861i,-0.0039233-0.011995i,0.0038182-0.00021426i,-0.0056748+0.00012683i,-0.0028839+0.0011427i,-0.0052867+0.0013865i,0.0053041+0.0025855i,-0.0059956-0.0041268i,-0.0013284-0.0079403i,-0.0026164-0.0022679i,-0.0042519-0.0023102i,0.0053503-0.00057998i,0.0046613+0.0019039i,0.0025485-0.00089556i,0.0031164+0.009405i,0.0062633+0.0081634i,0.037244+0.036502i,-0.029817-0.013035i,-0.035997+0.011033i,-0.016714+0.020634i,0.0025982-0.00035147i,0.011695-0.0063031i,-0.0099303-0.0002727i
