-0.026138-0.019356i,-0.032528-0.033203i,-0.022306-0.020068i,-0.032393-0.020754i,-0.02411+0.0038722i,-0.028817-0.018044i,-0.055484-0.047721i,-0.041128-0.044764i,-0.029452-0.023803i,0.0055094+0.0061011i,-0.0030985+0.0066225i,-0.010915+0.011212i,0.0040126+0.0069316i,-0.0035868-0.0027479i,0.0030444+0.0016999i,0.0015722+0.028181i,0.025431+0.031717i,-0.00044155-2.3631e-05i,-0.0028334-0.0028853i,0.0076572+0.0038574i,0.0019828+0.00056102i,-6.6956e-05+0.002553i,-0.00051981+0.00016111i,-0.03171-0.0014143i,-0.0031059-0.0048287i,4.0503e-05+0.0025008i,0.0037231-0.0008825i,0.00098181-0.00028533i,-0.00062185-0.00043398i,-0.00068872-0.002072i,-0.0020476-0.00064628i,-0.0041457-0.0038549i,-0.0029518-0.0051809i,0.0004777-0.0012604i,0.00083158-0.0031402i,-0.0014989+0.025626i,0.0019984-0.0030268i,0.0023015-0.0040409i,0.0043251-0.0023571i,-0.0052827-0.0020486i,0.0010666+0.0015251i,0.010577-0.00020934i,-0.00025882+0.00048275i,-0.0037268+0.0020858i,-0.0083287-0.00068574i,-0.019346+0.020888i,-0.0081029-0.087491i,-0.0025402-0.061488i,-0.020955-0.054073i,-0.011662-0.045846i,0.053036-0.027693i,0.023745-0.067509i,0.040726-0.055002i,0.018237-0.038276i,0.026815-0.019275i,0.012124+0.01197i,0.025381-0.028629i,-0.011483-0.00067937i,-0.0014629-0.00072352i,-0.0086474-0.0016161i,-0.0050789-0.029754i,-0.020503+0.026562i,0.0075159-0.0095449i,-0.010695-0.003312i,-0.0028603-0.0019841i,-0.00047112-0.014738i,-0.008292+0.0051797i,0.0062446+0.010771i,-0.010017+0.030422i,0.0061205+0.0076186i,-0.0034331-0.0015208i,-0.0023595-0.0014834i,-0.01286-0.0057269i,0.00062199-0.0045468i,-0.03294+0.0028747i,0.0032518-0.0085124i,-0.007392-0.0020224i,-0.0054882-0.0031015i,0.0070287+0.0018222i,-0.010426+0.00065594i,0.0023311-0.00013881i,0.0059324+0.0077869i,0.0055852+0.0010357i,-0.0077149-0.010487i,0.0027178+0.0080724i,-0.019105+0.0077879i,0.0035074+0.005329i,-0.021724-0.0095098i,-0.028083-0.0041358i,0.0091997-0.063089i,0.018628-0.014882i,-0.05041-0.028565i,-0.02139+0.0016288i,0.01866+0.010455i,-0.026765+0.011896i,-0.013129-0.0073143i
0.0048947+0.0050926i,0.037719+0.015582i,0.020211-0.0043641i,0.013401+0.0021859i,0.0088176-0.0017504i,0.016026-0.0074355i,0.012004+0.014234i,0.018618+0.020074i,0.0014361-0.0025781i,0.0013026+0.00056169i,0.0023779-0.0013055i,0.0012583-0.0039178i,0.00012492-0.0012834i,0.0022336-0.00016904i,0.005314-0.0012048i,0.0052336+0.00066183i,0.0059412-0.0053631i,0.00012578-0.0010002i,-0.002354+9.4264e-05i,0.00049212+0.00075296i,0.00015562-0.00018749i,-0.0021418-0.00053031i,-0.0015455-0.00011715i,0.0064715+0.0077287i,-0.00080116+0.00031815i,0.00037477+0.00079542i,0.00097857+0.0010318i,-3.8211e-05+0.0012963i,-0.0003946-0.00034763i,-0.0011666+0.00012716i,0.00044021-0.0011024i,-0.00080893+0.00028869i,0.00022674+0.00067832i,-2.7816e-05+0.00064682i,-9.4488e-05-0.0010391i,-0.0091498+0.0068256i,0.00056329+0.00026796i,-0.00055179+6.5868e-06i,-0.00049773+0.0016719i,-0.00033228-0.0031453i,-0.00076778-9.726e-06i,-0.00056087-0.0001033i,0.00064595+0.001256i,0.0034164-0.0020823i,0.00010486+0.0036114i,-0.050422+0.0095832i,-0.0033694+0.03024i,-0.0134+0.041405i,-0.0080868+0.064977i,-0.017209+0.044423i,-0.0065924+0.019317i,-0.0086379+0.013117i,-0.048717+0.0029339i,-0.024938-0.0076475i,0.015462+0.025339i,0.00049166+0.005478i,-0.0073758+0.0015983i,-0.013819-0.0018801i,0.003668-0.00031916i,0.0058246+0.014088i,-0.0062766+0.007088i,-0.0056439-0.0067455i,0.0054036-0.003052i,-0.006556-0.0051772i,0.0037921-0.0066372i,0.0042805-0.0022427i,-0.0022869+0.010366i,0.011862-0.0052777i,0.0058882-0.0049045i,0.0051188-0.0080971i,0.0030843+0.00088339i,-0.001955-0.0059336i,-0.0033211-0.0014602i,0.0020402-0.0017701i,-0.010682+0.031211i,-0.0042764-0.0052719i,0.0033173+0.00019566i,-0.00017048-0.0068277i,0.0033636-0.001477i,-0.013649-0.0059788i,0.00099238+0.00094261i,0.0039493-0.0017349i,0.0027846-0.0013594i,0.001528-0.0058431i,-0.002268+0.005548i,-0.00017547+0.005894i,-0.0049528+0.0074166i,-0.005206+0.0023378i,-0.0054071+0.00054864i,-0.023596+0.018716i,-0.008629+0.013498i,-0.021931-0.011559i,-0.0093479-0.0090034i,0.0085247+0.020785i,-3.6119e-05+0.019752i,-0.0094807-0.0031473i
0.0053477+0.0032338i,0.039365+0.007812i,0.019141-0.0080949i,0.01396+0.00068237i,0.0095866-0.0032675i,0.014514-0.010621i,0.012779+0.011511i,0.021165+0.016306i,0.00024186-0.0029226i,0.0014623+2.5492e-05i,0.0022294-0.0016197i,-0.00035306-0.0027671i,-6.1846e-05-0.00073653i,0.0020691-0.00013774i,0.0045795-0.002312i,0.0048937+0.00017955i,0.0034677-0.005891i,0.00014957-0.00090331i,-0.0024121+0.00035032i,0.00094785+0.00016759i,-2.9622e-06-0.00058158i,-0.0021872+3.5258e-05i,-0.0015502+0.00012201i,0.0099968+0.0045398i,-0.00094287+0.0012035i,0.00090967+0.00050942i,0.0010947+0.00037059i,0.00051351+0.0011229i,-0.00080486+0.00020451i,-0.0011799+0.00055992i,-0.00020172-0.0011207i,-0.00082263+3.8051e-05i,0.00021087+0.00053784i,0.00029811+0.00055746i,-0.00068256-0.00010359i,-0.0062475+0.0088956i,0.00026869-2.6212e-05i,-0.00045708+0.00046864i,0.00018224+0.0015i,-0.001283-0.0023927i,-0.0006765-5.0047e-05i,-0.00070491+0.00027558i,0.00068586+0.0013091i,0.0023831-0.0022845i,0.0014086+0.0035689i,-0.045193+0.017748i,-0.00028683+0.03113i,-0.0046838+0.041711i,0.0080763+0.06169i,-0.0060988+0.043645i,-0.008788+0.016145i,-0.01214+0.011157i,-0.050583+0.007943i,-0.020753-0.0093322i,0.021026+0.019498i,0.00051547+0.0051604i,-0.0062959+0.006918i,-0.013338+0.0026772i,0.002322-0.0018985i,0.0095482+0.012475i,-0.00187+0.011445i,-0.0094294-0.0045816i,0.0022311-0.0044682i,-0.0065933-0.0016734i,-0.0007358-0.0064839i,0.002598-0.0040971i,0.0025541+0.0080042i,0.0074552-0.008495i,0.0020618-0.00604i,0.00085223-0.0055317i,0.0041791-0.00013955i,-0.0031332-0.0046485i,-0.0018104+0.00070677i,0.0017138-0.0016066i,0.0056695+0.031429i,-0.0057439-0.0043538i,0.0036854-0.0017676i,-0.0034018-0.0059763i,0.0035619-0.0024219i,-0.013878+0.00060731i,0.00194+0.0013094i,0.0028325-0.0019394i,0.002776-0.0024915i,-2.5197e-06-0.0059923i,-0.00050477+0.0030325i,0.0022176+0.004674i,-0.00091562+0.0088312i,-0.0041972+0.0047399i,-0.0059086+0.0011775i,-0.018666+0.017643i,-0.0069166+0.015973i,-0.025025-0.0061916i,-0.011628-0.011627i,0.011838+0.020184i,0.0037837+0.021441i,-0.011809-0.0029769i
0.0050711+0.0017786i,0.039072-0.00061319i,0.017708-0.012577i,0.015186-0.0022106i,0.010504-0.0055349i,0.01214-0.013777i,0.012872+0.0087956i,0.023264+0.011966i,-0.00044637-0.00255i,0.0011526-0.0005033i,0.0018095-0.0025121i,-0.00050074-0.0013548i,-9.0469e-05-0.00069862i,0.0020603-0.00050464i,0.0036512-0.003144i,0.0045195-0.00027937i,0.0014037-0.0059165i,-9.5566e-05-0.0011019i,-0.0022883+0.0012351i,0.00078193-0.00075472i,-0.00068217-0.00091573i,-0.0019353+0.00058553i,-0.0016371+0.00043412i,0.010434-0.00045164i,-0.00018706+0.0016149i,0.00086496-0.00012378i,0.00086482-1.0127e-05i,0.00098846+0.00057026i,-0.00048504+0.00067058i,-0.001026+0.0010207i,-0.00074773-0.00082156i,-0.0012528+0.0006037i,0.00044988+0.00045443i,0.00044493+0.00029008i,-0.00022159+0.00068082i,-0.0031716+0.0099834i,9.6359e-05+0.00015068i,-0.00014019+0.00049198i,0.00048553+0.0011497i,-0.0018903-0.0014522i,-0.00063072-4.2804e-05i,-0.0004286+0.0004748i,0.00099668+0.0015993i,0.0019449-0.0024142i,0.0034661+0.0027238i,-0.039157+0.024205i,0.004382+0.031951i,0.0040947+0.038713i,0.023061+0.05325i,0.0037362+0.042525i,-0.011744+0.015699i,-0.014845+0.012198i,-0.050445+0.015893i,-0.019559-0.012784i,0.023733+0.011594i,0.00076383+0.0050666i,-0.003773+0.008935i,-0.012673+0.0059153i,-3.1335e-05-0.0037965i,0.012569+0.0093281i,0.0037369+0.012049i,-0.011888-0.0014327i,0.00022012-0.003171i,-0.0056348+0.00096998i,-0.0028426-0.0041327i,0.00049664-0.0039006i,0.0048232+0.0069824i,0.0043065-0.0090029i,-0.0015965-0.0047101i,0.00048996-0.0028703i,0.0044068-0.0023882i,-0.0050568-0.0031999i,-0.00057188+0.00059998i,0.0010746-0.0019572i,0.018936+0.023878i,-0.0076218-0.0022638i,0.0031465-0.0031591i,-0.0035775-0.0042672i,0.0038893-0.0041202i,-0.010731+0.0061517i,0.0036301+0.00086233i,0.0019047-0.0022674i,0.0014738-0.0027278i,-0.0020525-0.0050576i,-0.0011755+0.0026603i,0.0032347+0.0027182i,0.0030527+0.0084831i,-0.0024254+0.0055778i,-0.0066596+0.0029117i,-0.016334+0.016339i,-0.00067086+0.017171i,-0.02577-0.0014346i,-0.015025-0.012733i,0.017252+0.017203i,0.0091357+0.02212i,-0.014037-0.0012776i
0.0045983+0.00097301i,0.03591-0.0076855i,0.014315-0.016914i,0.015011-0.0064678i,0.010233-0.0088228i,0.0088096-0.01591i,0.012705+0.0069507i,0.023991+0.0073851i,-0.00050008-0.0024746i,0.0005742-0.00047035i,0.00067072-0.0027676i,-0.00012878-0.00075345i,-0.00055437-0.00042776i,0.0017434-0.00070972i,0.0024003-0.0036435i,0.0041977-0.00051952i,-0.00028986-0.0049799i,-0.00035683-0.00098473i,-0.0012431+0.0019578i,4.873e-05-0.0011505i,-0.0011859-0.00036568i,-0.0016478+0.0011766i,-0.001533+0.00094781i,0.0083573-0.0041786i,0.00041489+0.0014353i,0.0005235-0.00028113i,0.00073844-0.00013123i,0.00078006-1.7834e-05i,-9.1911e-05+0.00063553i,-0.00061313+0.0015226i,-0.0010754-0.00024059i,-0.00072864+0.0013073i,0.00056538+0.00016116i,0.00035906+7.8982e-05i,0.00032013+0.00073043i,7.2509e-05+0.010011i,0.00018428+0.00021103i,-9.4149e-05+0.00035495i,0.00050281+0.00098658i,-0.0020424-0.00051487i,-0.00063033+6.277e-05i,-0.00029986+0.0004403i,0.0015729+0.0015937i,0.0015123-0.0024475i,0.0052051+0.00041748i,-0.031651+0.029135i,0.0099952+0.031616i,0.0093536+0.03465i,0.034754+0.039825i,0.013489+0.037255i,-0.014998+0.018208i,-0.01784+0.015611i,-0.048032+0.024203i,-0.021509-0.016147i,0.024323+0.0031924i,0.001305+0.0053967i,-0.00084111+0.011512i,-0.011034+0.0096845i,-0.0042936-0.002868i,0.015135+0.0042923i,0.0090168+0.0099226i,-0.012662+0.0027693i,-0.0005021-0.0023801i,-0.0040385+0.00259i,-0.0035977-0.0013272i,-0.00047052-0.0033437i,0.006863+0.0037484i,0.0013987-0.0090216i,-0.0035064-0.0015266i,0.0014898-0.0017559i,0.0030592-0.0044099i,-0.0056257-0.00028991i,0.00037755+0.00093449i,0.00059969-0.0019448i,0.026334+0.01171i,-0.0078995+0.0012509i,0.0022144-0.0045657i,-0.0040883-0.0027908i,0.0022042-0.0064317i,-0.0058021+0.0083495i,0.0047618-0.0011566i,0.0011839-0.0017621i,0.00099983-0.0023775i,-0.0029231-0.0032567i,-0.0013101+0.0033022i,0.0030324+0.00093894i,0.0063787+0.006513i,-0.00091624+0.0053207i,-0.0068253+0.0052995i,-0.014521+0.017441i,0.0083616+0.012637i,-0.024259+0.0036689i,-0.020307-0.012119i,0.019279+0.01192i,0.015251+0.0202i,-0.013608+0.00071474i
0.0046588+0.00058605i,0.032662-0.012578i,0.010085-0.019598i,0.013564-0.010397i,0.0086557-0.011903i,0.0056154-0.017101i,0.012777+0.0058555i,0.023987+0.0033446i,-0.00015376-0.0026903i,0.00014216-0.00024037i,-0.0003793-0.0024182i,0.00023306-0.00062379i,-0.00070382+0.00026228i,0.0014829-0.00090648i,0.0012377-0.0035354i,0.0043502-0.00061431i,-0.00099495-0.0038383i,-0.00080348-0.00083769i,-0.00042706+0.0018571i,-0.00062495-0.00099222i,-0.0012808+7.4374e-05i,-0.00094848+0.0017128i,-0.0011505+0.0014329i,0.0053687-0.0063857i,0.00077419+0.0011004i,0.00032913-0.00026696i,0.00056945-0.00035407i,0.00044128-0.0001208i,4.4416e-05+0.00062091i,0.00012813+0.0016812i,-0.0009868+0.00026785i,-9.8068e-05+0.0014733i,0.00047444-0.0001035i,0.00038687+0.00023748i,0.00076124+0.00061382i,0.0028781+0.0091721i,0.00010584+0.00029365i,-0.00019294+0.00042849i,0.00088372+0.00092368i,-0.0018088+0.00028425i,-0.00062597-4.4011e-05i,-0.00021085+0.0004475i,0.0021157+0.0011036i,0.00075679-0.0027943i,0.0053632-0.002567i,-0.022921+0.031724i,0.016463+0.029678i,0.014781+0.032029i,0.039235+0.024433i,0.019076+0.030218i,-0.015562+0.024137i,-0.017888+0.022797i,-0.043804+0.033322i,-0.026461-0.016999i,0.020222-0.0040386i,0.0025222+0.0056156i,0.0043803+0.011425i,-0.0078793+0.012597i,-0.0058455+0.00082237i,0.014644-0.0028069i,0.012723+0.0057313i,-0.011946+0.0065122i,-0.00062571-0.00059226i,-0.0023818+0.0034289i,-0.0019293+0.00055004i,-0.0021069-0.0021842i,0.0071626+0.00094854i,-0.0013825-0.007949i,-0.002966+0.0017832i,0.0027348-0.002234i,0.0010724-0.0054211i,-0.0040316+0.0015997i,0.0018326+0.00039377i,0.0002432-0.0017022i,0.0271-0.00097272i,-0.005626+0.0042438i,0.00047908-0.0053775i,-0.0036426-0.0019839i,-0.00041664-0.007046i,-0.0018087+0.0079142i,0.0040545-0.0033897i,0.0013665-0.00098224i,0.0013149-0.0019713i,-0.0021002-0.0023018i,-6.6786e-05+0.0042914i,0.0018257-0.00011554i,0.0077241+0.0028566i,-0.00028365+0.0039779i,-0.0050691+0.008012i,-0.011216+0.018519i,0.01164+0.0015981i,-0.020102+0.0054247i,-0.025726-0.0095524i,0.020361+0.0066873i,0.019965+0.014113i,-0.01411+0.0010465i
0.0049197-0.00028368i,0.029761-0.017094i,0.0061886-0.021246i,0.011256-0.014241i,0.0064517-0.01427i,0.0022329-0.01792i,0.013888+0.0047685i,0.023711-0.00054518i,-3.5796e-05-0.003649i,-0.00028757+0.00017251i,-0.00079793-0.0016727i,0.00043651-0.00061618i,-0.00020033+0.00090786i,0.0011128-0.00094707i,0.00043937-0.0032251i,0.0048937-0.0011032i,-0.0012269-0.0034073i,-0.00088453-0.00042119i,0.00014913+0.0016455i,-0.00099443-0.0006462i,-0.001007+0.00044424i,5.7468e-05+0.0015647i,-0.00053685+0.0016725i,0.0020666-0.0070668i,0.001226+0.00084093i,0.00021715-0.00031878i,0.00034908-0.00053145i,0.00029126-0.00015754i,0.00030687+0.0005966i,0.00077716+0.0013721i,-0.00070669+0.00057281i,0.00054517+0.0013228i,0.00029077-0.00017392i,0.00059622-2.5781e-07i,0.0010031+1.0087e-05i,0.0047735+0.0075579i,0.00021227+0.00037238i,-2.1559e-05+0.0005751i,0.00099623+0.0005053i,-0.0011586+0.00074073i,-0.00080095+5.4761e-06i,-3.6984e-05+0.00032787i,0.0023926+0.00052872i,2.9957e-05-0.0025932i,0.0045721-0.0053012i,-0.015028+0.031386i,0.022138+0.025342i,0.020587+0.027988i,0.039153+0.010592i,0.022139+0.02355i,-0.012038+0.030676i,-0.01296+0.030482i,-0.035534+0.042701i,-0.031696-0.014175i,0.015246-0.0074103i,0.0039128+0.0049287i,0.0079929+0.0086672i,-0.0038655+0.014764i,-0.0049911+0.0035351i,0.010177-0.0093291i,0.013548-0.00018452i,-0.010156+0.0092933i,0.00065533+0.00012388i,-0.00067524+0.0032751i,-0.00038363+0.00048413i,-0.0021641+8.3633e-05i,0.0057737-0.0011022i,-0.0030923-0.0056467i,-0.0005702+0.0034431i,0.0027822-0.0041616i,-0.0011316-0.0050952i,-0.0027858+0.0019097i,0.0022002-0.0011266i,0.00079175-0.0014841i,0.02246-0.011739i,-0.0026715+0.0053048i,-0.0012655-0.0049023i,-0.0036301-0.0012098i,-0.0030101-0.0063794i,0.00069871+0.006659i,0.0030518-0.004785i,0.0022924-0.0014187i,0.0014052-0.0030191i,-0.0013941-0.0026318i,0.0013682+0.0045006i,0.00074811+0.00022781i,0.0069764+0.00016401i,-0.00080293+0.0030063i,-0.0020371+0.009468i,-0.0077139+0.018582i,0.0075449-0.0075811i,-0.017864+0.0028117i,-0.031466-0.0037947i,0.018602+3.2236e-05i,0.02083+0.0076217i,-0.01503+0.0026299i
0.0050361-0.00118i,0.025923-0.021668i,0.0016241-0.023022i,0.0072849-0.017928i,0.00372-0.016529i,-0.0014143-0.017743i,0.015526+0.0028228i,0.022903-0.0045806i,-0.00055449-0.0045226i,-0.00037853+0.0010938i,-0.001179-0.0012248i,0.00049996-0.0011829i,0.00031242+0.0010315i,0.0007373-0.00082698i,-0.00016133-0.0027982i,0.0052171-0.0022134i,-0.0017291-0.0031113i,-0.0010753-0.00024238i,0.00087296+0.001241i,-0.0014325-0.00016057i,-0.00098392+0.00056735i,0.00057988+0.00088987i,-2.6649e-05+0.0016786i,-0.0011694-0.0065009i,0.0013164-0.00023885i,-9.9309e-06-0.00019776i,-0.00018195-0.00057694i,0.00014398-0.00012841i,0.00062061+0.00029515i,0.0010958+0.00087002i,-0.00026393+0.00071108i,0.00082307+0.0010689i,8.1829e-05-0.00012351i,0.00048831-0.00024654i,0.00060202-0.00071578i,0.0059539+0.005885i,0.00035513+0.00036022i,3.5735e-05+0.0005059i,0.0010588+0.00027031i,-0.00041431+0.00071712i,-0.00098722+0.00031059i,-5.0203e-06+0.00022391i,0.0024742-0.00021513i,-0.00064783-0.002182i,0.0027632-0.0077374i,-0.0087498+0.029401i,0.026114+0.019784i,0.025718+0.02277i,0.03489-0.00090886i,0.023324+0.018259i,-0.005596+0.034658i,-0.0032993+0.034552i,-0.023281+0.048339i,-0.035877-0.0084493i,0.010581-0.0087255i,0.0048082+0.0035474i,0.0094638+0.0046727i,0.00056091+0.014984i,-0.0042473+0.0051391i,0.0021139-0.011439i,0.011011-0.005027i,-0.0078096+0.011595i,0.0017532-0.00093145i,0.00043247+0.0024532i,5.2163e-06-0.00020709i,-0.00036954+0.0014352i,0.0045365-0.0014996i,-0.0032819-0.0040971i,0.0018921+0.0032626i,0.0013901-0.0061189i,-0.0025874-0.0039238i,-0.0017766+0.0022353i,0.0013616-0.0025024i,0.00089311-0.0023477i,0.014193-0.017884i,-6.3695e-05+0.004936i,-0.0022377-0.0040398i,-0.0031031-0.00092678i,-0.0047548-0.0052887i,0.0021515+0.0052003i,0.0016585-0.0064665i,0.0025722-0.0025021i,0.00014201-0.0038493i,-0.0020296-0.0032577i,0.0034735+0.0043781i,0.00051264+0.0013638i,0.006205-0.0014818i,-0.0015584+0.0030426i,0.00089479+0.0089062i,-0.0042081+0.018839i,0.00084847-0.013739i,-0.020356+0.00015452i,-0.033638+0.0047415i,0.012563-0.0042585i,0.020711+0.0020767i,-0.014375+0.0045658i
0.00525-0.0022907i,0.021776-0.024828i,-0.0039091-0.023164i,0.0017912-0.019695i,2.3803e-05-0.017934i,-0.0043744-0.016577i,0.01709-0.00012i,0.021203-0.0082774i,-0.0010162-0.0055257i,0.00035692+0.0020839i,-0.0014452-0.00034642i,-0.00029812-0.0015641i,0.00089312+0.0010621i,0.00076959-0.00053567i,-0.00045322-0.0024022i,0.0048906-0.0032889i,-0.0026979-0.0023393i,-0.001165+0.00021054i,0.0011193+0.00045135i,-0.0014204+0.00071609i,-0.00079065+0.00091762i,0.00047843+0.00013168i,0.00045232+0.0015692i,-0.0035693-0.0044997i,0.00042726-0.00068904i,-2.5815e-05-5.0377e-05i,-0.00045312-0.00032686i,3.6947e-05-9.9133e-06i,0.00048307-0.00012887i,0.0011879+0.00045197i,7.3417e-05+0.00059104i,0.00098012+0.00073541i,6.0169e-05+1.9703e-05i,0.00029849-0.00025538i,-0.00016543-0.00052711i,0.0066279+0.0040535i,0.00046636+0.00023397i,5.1832e-05+0.00066313i,0.0011855+3.7793e-05i,0.00017409+0.00031463i,-0.00090873+0.00082795i,7.7757e-05+0.00025301i,0.0020264-0.0010438i,-0.0010925-0.0014668i,0.00022665-0.0093077i,-0.00397+0.026444i,0.028254+0.014239i,0.030011+0.016139i,0.028925-0.0086265i,0.023696+0.014105i,0.0018448+0.036339i,0.0060773+0.033778i,-0.010271+0.049604i,-0.036822-0.0011959i,0.0076127-0.0087551i,0.0054747+0.0021468i,0.008962+0.0013298i,0.0051716+0.013471i,-0.0027595+0.0070573i,-0.0044335-0.0084615i,0.0075316-0.0071501i,-0.0045914+0.013344i,0.0014024-0.0028555i,0.00061485+0.0015316i,-0.00016394-0.00030432i,0.0016191+0.0011904i,0.0039468-0.0017591i,-0.0038951-0.0029969i,0.0033464+0.0018914i,-0.0017596-0.0069718i,-0.0031873-0.0024362i,-0.00020298+0.0017922i,0.00058719-0.0031461i,0.0003193-0.0033507i,0.0056512-0.019369i,0.0015845+0.0038586i,-0.0029256-0.00341i,-0.0036961-0.00070877i,-0.0062061-0.0034792i,0.0026064+0.0038691i,-0.00096826-0.0076957i,0.002559-0.0036035i,-0.00089006-0.0033049i,-0.0027555-0.0031072i,0.0048001+0.0031916i,0.0012167+0.0021899i,0.0044359-0.002837i,-0.0017607+0.0037667i,0.0031004+0.0073023i,0.00069852+0.01851i,-0.0090108-0.016718i,-0.024296+0.00070128i,-0.031599+0.013396i,0.0071737-0.0036031i,0.018289-0.0035469i,-0.013152+0.0048053i
0.0051797-0.0040483i,0.017685-0.027883i,-0.0086137-0.021437i,-0.0033106-0.019111i,-0.003746-0.018232i,-0.0065583-0.015399i,0.018039-0.0041893i,0.019122-0.011524i,-0.0019965-0.0066454i,0.0017209+0.0022068i,-0.00098615+0.00041341i,-0.0010281-0.00098255i,0.0014607+0.00053906i,0.00088143-0.00053688i,-0.00060944-0.0021311i,0.0044158-0.0040966i,-0.0029853-0.0011552i,-0.00077346+0.00040409i,0.00082179-0.00015189i,-0.00090242+0.0012392i,-0.0004864+0.00098993i,0.00013016-0.00019449i,0.00086823+0.0012833i,-0.0047367-0.0018246i,-0.00015291-0.00032064i,1.2942e-05-8.0983e-06i,-0.00051668-0.00013806i,8.8548e-05+6.2334e-05i,0.00014932-3.8432e-05i,0.0011195-8.7202e-05i,0.00035759+0.00039209i,0.00089161+0.0005209i,0.00020787+3.9063e-05i,0.00035684-0.00018668i,-0.00035761+8.4374e-05i,0.006673+0.002328i,0.00041054+0.00021161i,0.00040269+0.00081009i,0.0011831-0.00041624i,0.00046917-0.0001644i,-0.00048926+0.0010765i,0.00015293+6.3527e-05i,0.0012684-0.0016151i,-0.001303-0.00082766i,-0.0026506-0.009898i,-0.0013158+0.023157i,0.029421+0.0092035i,0.031927+0.008056i,0.022447-0.013782i,0.023867+0.012032i,0.0095282+0.035956i,0.013932+0.031028i,0.0014898+0.04699i,-0.035192+0.0060349i,0.0051298-0.0090784i,0.006043+0.00015584i,0.0084213-0.00095393i,0.008926+0.010071i,2.326e-05+0.0075125i,-0.007612-0.0037853i,0.0038723-0.0078911i,-0.00062538+0.013447i,-0.00047667-0.0036145i,-1.4517e-07+0.0014749i,-0.00034507-0.00015406i,0.0026439+1.8036e-05i,0.0034548-0.0013014i,-0.0040443-0.0014779i,0.0036681+0.00027558i,-0.0047042-0.0052107i,-0.0027934-0.001214i,0.00021888+0.00048726i,-0.0003552-0.0037523i,-0.00095981-0.0036671i,-0.0013622-0.017727i,0.0029755+0.0023021i,-0.0038162-0.0025447i,-0.0038135+0.00069423i,-0.0064932-0.001063i,0.0031305+0.0030724i,-0.0044082-0.0072159i,0.0019467-0.0050406i,-0.0014964-0.0030401i,-0.0032667-0.0030183i,0.0059295+0.0020575i,0.0022438+0.0023214i,0.0027534-0.0024471i,-0.0015033+0.0043345i,0.0043648+0.0051319i,0.0056222+0.015954i,-0.019495-0.013983i,-0.028043+0.0035419i,-0.026497+0.018695i,0.0049007-0.0022772i,0.013496-0.007015i,-0.0145+0.0052299i
0.004204-0.0057429i,0.013045-0.030671i,-0.012213-0.019182i,-0.0073572-0.017414i,-0.0075329-0.017737i,-0.0087813-0.014246i,0.017663-0.0094339i,0.016647-0.014514i,-0.0038251-0.0074744i,0.0028911+0.0016305i,-0.00029762+0.00069784i,-0.001224-6.0889e-05i,0.0014764-0.00016251i,0.00088312-0.00064012i,-0.00090672-0.0020142i,0.0037384-0.0049466i,-0.0028883-3.7909e-05i,-0.00055533+0.00031104i,0.00059061-0.00037354i,-0.00031575+0.0014279i,-0.00028005+0.0010912i,-0.00018678-0.00026003i,0.0010714+0.00085855i,-0.004349+0.00083782i,-0.00012923+0.00018025i,4.4498e-05+3.3589e-05i,-0.0005238+7.3946e-05i,8.9554e-05+4.1176e-05i,0.00018796+6.4157e-05i,0.00071611-0.00047387i,0.00048617+5.7857e-05i,0.00098862+0.00051399i,0.00024411-1.931e-05i,0.00038622-0.00048893i,-5.8271e-05+0.00048974i,0.0065088+0.00099837i,0.00053762+0.00015325i,0.00079532+0.00070511i,0.00072936-0.00076135i,0.00071493-0.00060171i,2.32e-05+0.0012086i,9.4523e-05-6.2295e-06i,0.00030735-0.0015107i,-0.0012434+0.00013936i,-0.0053713-0.0093716i,-0.00062779+0.021307i,0.030178+0.0042816i,0.030917+0.0016389i,0.015515-0.017221i,0.026428+0.010712i,0.0168+0.033124i,0.021722+0.026267i,0.011771+0.041147i,-0.030486+0.011804i,0.002732-0.0090614i,0.0052131-0.002866i,0.0078391-0.0035408i,0.010136+0.0054446i,0.0017659+0.0064434i,-0.0084521+0.0016459i,0.00049697-0.0072185i,0.0023324+0.011317i,-0.0024519-0.0029546i,-0.00015448+0.0022827i,-0.00036847+0.00013899i,0.0031808-0.0015459i,0.004092-0.00033233i,-0.0031522-0.00043738i,0.0036128-0.00021006i,-0.0055504-0.0029994i,-0.0021358-0.00071647i,-0.00020017+3.8142e-05i,-0.0023222-0.0041112i,-0.0021482-0.0029804i,-0.0071026-0.014973i,0.0033159-3.2018e-05i,-0.0043796-0.0012425i,-0.0029571+0.0016665i,-0.0060082+0.00073052i,0.0038212+0.0024504i,-0.006892-0.004738i,0.00019166-0.0064547i,-0.0024342-0.0025127i,-0.0047702-0.0023567i,0.007007-0.00033033i,0.0033806+0.0023516i,0.0025312-0.0020233i,-0.00040693+0.0054263i,0.0041586+0.0028465i,0.0094042+0.011788i,-0.025271-0.0055101i,-0.031148+0.0090928i,-0.020748+0.022702i,0.0031986-0.00058708i,0.0092865-0.0071692i,-0.014761+0.0073183i
