-0.023886-0.038727i,-0.011991-0.04891i,-0.017735-0.044605i,-0.031231-0.03533i,-0.030052-0.016719i,-0.050482-0.027463i,-0.056579-0.026924i,-0.043746-0.036984i,-0.029647-0.036488i,0.0076691+0.01287i,-0.0046556+0.015263i,-0.0046331+0.014105i,0.010034+0.021281i,0.00054866+0.0043176i,0.0035209+0.0030686i,0.0064422+0.01847i,0.025657+0.038458i,-0.0027313-0.00067777i,-0.0042555-0.0058563i,0.0079291+0.0015538i,-0.00031285-0.00060197i,-0.0010439+0.0014076i,0.0001265-0.00017038i,-0.029943-0.0038183i,-0.0013858-0.0055553i,0.0018619+0.0047389i,0.0036676-4.164e-05i,-0.00055746+0.00039577i,0.000455-0.00060827i,-0.00022377-0.0026464i,-0.0016317-0.0063505i,-0.0044288-0.0040622i,-0.0016823-0.0048604i,0.0022382-0.00081215i,0.0024235-0.002877i,0.0026696+0.02564i,0.0017979-0.0027848i,0.0028922+0.00074919i,0.0060011+0.0011027i,-0.010036-0.0039055i,-0.0032778+0.0007222i,0.006527+0.0015425i,0.0050186-0.00017221i,-0.0036823+0.005492i,0.0011483-0.0087827i,-0.011689+0.017163i,0.035841-0.090787i,0.012039-0.069732i,-0.015827-0.06009i,-0.01636-0.055529i,0.039632-0.046074i,0.017176-0.062513i,0.033682-0.05545i,0.030411-0.060049i,0.015634-0.01361i,0.0044786+0.016357i,0.016483-0.026309i,-0.011226+0.0058982i,-0.0001855+0.0055669i,-0.005087-0.0014403i,-0.002624-0.029289i,-0.023756+0.032227i,0.01012-0.011189i,-0.012924-0.0028053i,0.00010029-0.0049593i,-0.0010547-0.016062i,-0.0074808+0.0043554i,0.004735+0.0059707i,-0.0090437+0.031375i,0.0050652+0.0057026i,-0.0051271-0.00066474i,-0.0031104-0.00065094i,-0.012684-0.0076546i,-0.00099318-0.0043087i,-0.02988+0.0067546i,-0.00026542-0.0097406i,-0.0095185-0.0018365i,-0.0069718-0.0025549i,0.0070685+0.0027686i,-0.0083536+0.0019706i,-0.00026637+0.00064012i,0.0057062+0.010849i,0.0043144+0.0013527i,-0.0097334-0.010208i,0.0031658+0.0081087i,-0.021442+0.006292i,0.0083671+0.0005033i,-0.02895-0.0036758i,-0.041912+0.0020684i,0.020051-0.096304i,-0.0016486-0.012445i,-0.053108-0.022195i,-0.024629+0.00025511i,0.017707+0.011274i,-0.024963+0.013065i,-0.018977-0.013148i
0.0085604+0.021013i,0.015302+0.051768i,0.024318+0.034779i,0.017317+0.027048i,0.024767+0.02669i,0.032589-0.014531i,0.017713-0.0087799i,0.029175+0.0060475i,0.011952+0.013728i,0.0024227+0.0042585i,0.00489+0.0029719i,0.004143+0.0031612i,0.0059954+0.0029237i,0.0049929+0.0035204i,0.0030133-0.0033729i,0.0082075-0.0010999i,0.0086778-0.0048894i,-0.0016114-0.0013122i,-0.0031316+0.0013303i,-8.7208e-05+0.0011361i,-0.00095902-0.00021638i,-0.0027452+0.0013134i,-0.0018516+0.00088769i,0.0046821+0.0078825i,0.0016693+0.0013738i,0.0022841+0.00057238i,0.0018661+0.0012168i,0.0011337+0.0013668i,0.00063525+0.00016745i,-5.5903e-05+0.00089331i,-0.0017422-0.0017387i,-0.00072537-0.00059457i,-0.0011507+0.00086182i,-0.0010899+0.00027475i,-0.00068401-0.0019857i,-0.006456+0.0075873i,0.0013685+0.00044062i,0.0010983-0.00060802i,-0.00075449+0.0026005i,-0.00035857-0.0030514i,-0.0012129+0.00044884i,-0.0019244-0.00019591i,0.0021165+0.0011391i,0.00658+0.0036019i,-0.01388+0.0352i,-0.081119+0.035227i,-0.051523+0.03804i,-0.037154+0.059423i,-0.018662+0.072338i,-0.0086198+0.051529i,0.0098019+0.037561i,0.0027964-0.0014i,-0.035977+0.011274i,-0.045468+0.01979i,0.0016752+0.02436i,-0.0076808+0.0022602i,-0.010171-0.00077524i,-0.013683-0.0023209i,0.002366+0.00052724i,0.0073199+0.010645i,-0.0017173+0.0082673i,-0.0071038-0.011436i,0.0050806-0.0067087i,-0.006577-0.0067578i,0.0018879-0.0063667i,0.0037801-0.0043714i,-0.0017982+0.0098768i,0.0094487-0.0045508i,0.0048675-0.0055972i,0.00344-0.0055862i,0.0030011-0.00059231i,-0.0011581-0.0046561i,-0.0039316-0.00070356i,0.002513-0.00030296i,-0.0085082+0.025668i,-0.0037635-0.0030407i,0.0021135+0.00026165i,0.00013696-0.0067654i,0.0022955-0.0012195i,-0.015094-0.0033704i,0.0006904+0.00025817i,0.0049427-0.002803i,0.0030762-0.00089889i,0.00035767-0.0048642i,-0.00045807+0.0060784i,-0.0011724+0.006321i,-0.0027046+0.0045478i,-0.012228+0.0020765i,-0.014394-0.001903i,-0.040883+0.056777i,0.0007439+0.0053162i,-0.024637-0.01654i,-0.0059467-0.0063742i,0.0098834+0.019782i,-0.0023483+0.022733i,-0.00079017-0.00060044i
0.011111+0.017378i,0.023497+0.046798i,0.030062+0.030497i,0.022157+0.024825i,0.030484+0.022505i,0.029319-0.020312i,0.015073-0.01218i,0.02995+0.00060909i,0.014133+0.01112i,0.0036363+0.0031644i,0.0055773+0.0016133i,0.0040076+0.0030366i,0.0062509+0.0017461i,0.0055986+0.0022032i,0.0019209-0.003818i,0.0069776-0.0026285i,0.0064019-0.0064787i,-0.0012213-0.0010185i,-0.0024112+0.00136i,0.00045578+0.00047i,-0.001217-0.00029454i,-0.0024074+0.0018795i,-0.0015407+0.00094642i,0.0082261+0.0052266i,0.001604+0.0012201i,0.0026854-0.00042848i,0.0020093+0.00018225i,0.0016007+0.00082747i,0.00025723-2.5688e-05i,1.3987e-06+0.00084913i,-0.0022501-0.00064402i,-0.0012414-0.0006856i,-0.00085984+0.0012421i,-0.00084206+0.00065633i,-0.0014966-0.00064816i,-0.0036701+0.0087079i,0.0011259-0.0001439i,0.00075359-0.00085007i,0.00031396+0.0021168i,-0.0011399-0.0025035i,-0.0010101+0.00058768i,-0.0020624+0.00043757i,0.0019244+0.00093979i,0.0067828+0.0025867i,-0.0070821+0.03677i,-0.068995+0.049389i,-0.047373+0.046892i,-0.0273+0.063383i,-0.0028265+0.069925i,0.0022641+0.049514i,0.011005+0.03169i,-0.0026325-0.0056821i,-0.036322+0.012897i,-0.036734+0.021521i,0.0076567+0.022268i,-0.0080996+0.0047694i,-0.0096696+0.0047672i,-0.013319+0.0018333i,0.0013077-0.00076807i,0.0090569+0.0089207i,0.0022702+0.011188i,-0.012628-0.0095747i,0.00077378-0.0072519i,-0.005998-0.0030899i,-0.0014661-0.0057882i,0.0012008-0.0056732i,0.0026871+0.007851i,0.0060962-0.0067517i,0.00098196-0.0061492i,0.00056868-0.0032304i,0.0038389-0.0015014i,-0.0023156-0.0040934i,-0.0017932+0.0016764i,0.002754-0.0005969i,0.0046974+0.025566i,-0.0043831-0.0026076i,0.0025653-0.0018467i,-0.0031229-0.0060836i,0.0028375-0.0019288i,-0.013903+0.0034233i,0.0011161+0.00039785i,0.0035657-0.0025043i,0.0030563-0.0022434i,-0.00090488-0.0048289i,0.0013523+0.0027017i,0.0016448+0.0054372i,0.0001477+0.0054929i,-0.011132+0.005681i,-0.015916+0.00092812i,-0.029748+0.058448i,0.0010072+0.0063597i,-0.02839-0.011359i,-0.00838-0.0098362i,0.012603+0.018287i,0.0018378+0.024395i,-0.003031-0.0019577i
0.012455+0.01442i,0.029766+0.040029i,0.035703+0.023499i,0.02786+0.019933i,0.036027+0.016749i,0.024707-0.025721i,0.011666-0.015302i,0.029796-0.0054712i,0.016161+0.0083107i,0.0039532+0.0019694i,0.0052324-0.00037344i,0.0048261+0.0028786i,0.006179+0.00010599i,0.005895+0.00052289i,0.00077228-0.0039683i,0.0054938-0.003764i,0.0042086-0.0076668i,-0.0015125-0.0010986i,-0.0022148+0.0018563i,0.00029748-0.00045967i,-0.0018063-0.00020073i,-0.0017257+0.0024249i,-0.0014954+0.0010712i,0.0090577+0.0009761i,0.0022494+0.00049497i,0.0019691-0.0014944i,0.0015823-0.0005959i,0.0019241-3.0206e-05i,0.00016704+0.00013116i,8.641e-05+0.001001i,-0.002306+0.00056729i,-0.0019884+0.00031122i,-0.00019361+0.0016063i,-0.00055331+0.00088215i,-0.0011859+0.00055888i,-0.00092918+0.0091227i,0.00084032-0.00033278i,0.00033675-0.0011183i,0.00080031+0.0015432i,-0.0019378-0.0020686i,-0.00084889+0.00065783i,-0.0016994+0.00106i,0.0018819+0.0012216i,0.0073988+0.0012898i,0.0013007+0.03678i,-0.055861+0.059365i,-0.039048+0.054881i,-0.015933+0.064401i,0.011708+0.063138i,0.011875+0.047356i,0.010726+0.02806i,-0.0078874-0.0063851i,-0.03638+0.0172i,-0.029922+0.020483i,0.012414+0.017682i,-0.0074367+0.0068941i,-0.007531+0.007934i,-0.012455+0.0049476i,-0.00051169-0.0025234i,0.010863+0.0064796i,0.007342+0.010663i,-0.016675-0.0053655i,-0.0011997-0.0050382i,-0.0054436-0.00040057i,-0.0030947-0.0039352i,-0.0013813-0.0047881i,0.0048735+0.0065956i,0.0035618-0.0070531i,-0.002695-0.0044299i,0.0010994-0.0013915i,0.0035079-0.0038155i,-0.0041758-0.0029616i,3.8143e-05+0.0012021i,0.0024123-0.001366i,0.015286+0.019243i,-0.0057581-0.001168i,0.0022509-0.0030529i,-0.0034077-0.0041087i,0.0032337-0.0035149i,-0.0096173+0.008599i,0.0021352+0.00037851i,0.0023988-0.0034082i,0.0017837-0.0026206i,-0.0025397-0.0037515i,0.00062476+0.0019224i,0.00347+0.0034956i,0.0025714+0.0050536i,-0.0092248+0.0082753i,-0.016409+0.0057395i,-0.021001+0.058269i,0.0048533+0.0062053i,-0.03015-0.0058344i,-0.011727-0.011781i,0.016611+0.014411i,0.0079903+0.02541i,-0.0052264-0.0011958i
0.013268+0.012021i,0.033119+0.033485i,0.038143+0.015472i,0.031474+0.012852i,0.039731+0.0087273i,0.018624-0.029569i,0.0074213-0.01713i,0.027715-0.011359i,0.017506+0.0048451i,0.0038408+0.0012309i,0.0042399-0.00079904i,0.0057082+0.0020035i,0.0052817-0.0009731i,0.00542-0.0010613i,-0.00054606-0.0038015i,0.0039108-0.0042536i,0.0014143-0.0074557i,-0.0016463-0.00065913i,-0.0012387+0.0022794i,-0.00040884-0.00079125i,-0.002164+0.0006054i,-0.00097969+0.0028936i,-0.0013778+0.0014363i,0.0077597-0.0025603i,0.0019851-0.00042587i,0.0010217-0.0016079i,0.0010415-0.00090208i,0.0013742-0.0010317i,0.00026764-2.7251e-06i,0.00039611+0.0010931i,-0.0017734+0.0017702i,-0.0014507+0.0013834i,0.00049344+0.0013207i,-0.00031911+0.00099546i,-0.00062944+0.0011461i,0.0018695+0.0087622i,0.00062218-0.00059344i,-0.00019339-0.0012483i,0.00089003+0.001259i,-0.0024538-0.0012041i,-0.00071761+0.00082106i,-0.0012706+0.0013185i,0.0025047+0.0012788i,0.0077821-0.00042268i,0.0087471+0.033266i,-0.041039+0.066385i,-0.029891+0.060715i,-0.0069243+0.063592i,0.023774+0.052211i,0.021498+0.041487i,0.0096382+0.02657i,-0.013847-0.0044162i,-0.035418+0.023001i,-0.025854+0.018403i,0.015504+0.011601i,-0.0058345+0.0096845i,-0.004246+0.011444i,-0.010893+0.0080345i,-0.0042501-0.001712i,0.012592+0.0027079i,0.011455+0.0076702i,-0.018826+0.00031542i,-0.0019633-0.0038788i,-0.0036738+0.0012456i,-0.0037589-0.0015987i,-0.0026215-0.0034126i,0.0069273+0.0032362i,0.0012804-0.0069631i,-0.0043853-0.00043866i,0.0020465-0.0010933i,0.0014255-0.0055912i,-0.0047365-0.00059183i,0.0013221+0.0010129i,0.0021849-0.0018887i,0.020961+0.0092204i,-0.0059818+0.0017821i,0.0016682-0.0044392i,-0.0036124-0.0022928i,0.0015865-0.0058314i,-0.004031+0.0096697i,0.0031518-0.00076466i,0.0013042-0.0028849i,0.0010593-0.0026066i,-0.0025183-0.0018726i,0.00033688+0.0020361i,0.0035323+0.0013217i,0.0047169+0.0040541i,-0.0065806+0.0098501i,-0.014806+0.010691i,-0.013369+0.058961i,0.0114+0.0016914i,-0.029313-0.0001255i,-0.0178-0.012086i,0.017041+0.00939i,0.015007+0.02363i,-0.0049578-0.00031364i
0.014602+0.010023i,0.036225+0.028229i,0.039153+0.0085771i,0.03282+0.0053767i,0.041019+0.00016207i,0.012645-0.031883i,0.0033382-0.017184i,0.024595-0.016123i,0.01824+0.0010955i,0.0036798+0.00059921i,0.0038714-0.0010643i,0.0064064+0.00074061i,0.004731-0.0013183i,0.0045086-0.0022536i,-0.0016099-0.0029139i,0.0025709-0.0040722i,-0.0004082-0.0066244i,-0.0019544-0.00019005i,-0.00060606+0.0020232i,-0.0010567-0.00054107i,-0.0019646+0.0012854i,0.00014813+0.0030968i,-0.0010551+0.0019415i,0.0054232-0.0048826i,0.0014159-0.00079875i,0.00052383-0.0015562i,0.00060391-0.0010421i,0.00050708-0.0011966i,9.4037e-05-3.1073e-05i,0.00085787+0.00099139i,-0.00056851+0.0023876i,-0.00062995+0.0018259i,0.00081669+0.00089499i,0.00016535+0.0012526i,0.00022892+0.0014034i,0.0042093+0.0074744i,0.00026019-0.00057581i,-0.00075674-0.0010645i,0.0014405+0.00092676i,-0.002571-0.00029318i,-0.00042239+0.00074708i,-0.00086821+0.001515i,0.0031728+0.00082145i,0.0070111-0.00253i,0.013779+0.028125i,-0.025111+0.069201i,-0.018249+0.065324i,0.0024615+0.063056i,0.029888+0.039292i,0.027772+0.033936i,0.010094+0.027965i,-0.017547+0.0018791i,-0.032632+0.031222i,-0.024696+0.016556i,0.014621+0.005821i,-0.00263+0.011722i,0.00092279+0.011626i,-0.0086543+0.010408i,-0.0055825+0.0014601i,0.012323-0.0027559i,0.014128+0.0030312i,-0.018992+0.0066585i,-0.0022271-0.0019657i,-0.0025547+0.001716i,-0.0028571+5.8164e-06i,-0.00399-0.0012842i,0.0064487+0.00059912i,-0.000644-0.0062425i,-0.0029903+0.0030678i,0.0031261-0.0020071i,-0.0010891-0.0058471i,-0.0036217+0.0011337i,0.0021757-0.0001134i,0.0018961-0.0024059i,0.021057-0.00057429i,-0.0038419+0.0040183i,9.2024e-05-0.0054802i,-0.0026215-0.0016177i,-0.00086912-0.0064434i,-0.00017951+0.0085212i,0.0027755-0.0022245i,0.0010295-0.0016163i,0.00099673-0.0023232i,-0.0010549-0.0013457i,0.0010835+0.0019701i,0.0022788+2.2399e-05i,0.0055494+0.0015608i,-0.0039775+0.0098969i,-0.010729+0.015306i,-0.0047911+0.058864i,0.013478-0.0092652i,-0.025623+0.0020773i,-0.023968-0.009352i,0.017596+0.0054674i,0.020664+0.017437i,-0.0056858-0.00094896i
0.015978+0.0073938i,0.039446+0.022577i,0.039983+0.0014689i,0.032627-0.0021919i,0.040827-0.008178i,0.006378-0.033319i,0.00028561-0.016487i,0.021024-0.02018i,0.018261-0.0028168i,0.0032403+4.4349e-05i,0.0040507-0.0014965i,0.0067391-0.00077409i,0.0049511-0.0018425i,0.0034727-0.0030559i,-0.0021213-0.0020764i,0.0017884-0.0035932i,-0.0016058-0.0060811i,-0.0018031+0.00031991i,-0.00026175+0.001859i,-0.0014131-8.5488e-05i,-0.0013211+0.0018396i,0.0014529+0.0026284i,-0.00039858+0.0022779i,0.002447-0.0058603i,0.0011941-0.0010614i,5.4586e-05-0.0016068i,0.00016162-0.0011511i,1.508e-05-0.0010665i,-2.6281e-05+0.00013655i,0.0011836+0.00052701i,0.00058979+0.0022623i,0.00018751+0.0018481i,0.00092662+0.00056982i,0.00074018+0.00096474i,0.00088156+0.00075407i,0.005577+0.0056584i,2.4675e-05-0.00044859i,-0.0010271-0.00061207i,0.001349+0.00033989i,-0.0023064+0.00031744i,-0.0002994+0.00066665i,-0.0004092+0.0013395i,0.0034883+0.00016875i,0.0059179-0.0039752i,0.017051+0.023024i,-0.010633+0.0677i,-0.0049189+0.065737i,0.012288+0.060965i,0.032+0.027308i,0.031554+0.026018i,0.013324+0.029848i,-0.016484+0.010294i,-0.025463+0.040673i,-0.025269+0.017205i,0.012716+0.0025372i,0.0014371+0.011825i,0.0045205+0.0097684i,-0.0056621+0.012503i,-0.0047589+0.0040201i,0.0090163-0.0081358i,0.014056-0.0028782i,-0.01647+0.01182i,-0.0014863-0.001031i,-0.0014493+0.0014856i,-0.0017665+0.00045168i,-0.0033085+0.0016288i,0.0053017-0.00097189i,-0.0017904-0.0048988i,0.00015143+0.0043455i,0.0031034-0.003976i,-0.0033123-0.004545i,-0.0025918+0.0017093i,0.0022112-0.0014333i,0.0017074-0.0027884i,0.017185-0.0085617i,-0.0014073+0.004652i,-0.0019805-0.005201i,-0.0025157-0.0014597i,-0.0031645-0.0058587i,0.0020726+0.0069246i,0.0023894-0.0032669i,0.0023351-0.001674i,0.00091782-0.0032538i,-0.000392-0.0021792i,0.0013141+0.0019769i,0.001236+0.00042125i,0.0049097-4.9623e-05i,-0.0023604+0.0092193i,-0.0050424+0.01729i,0.0040851+0.057191i,0.0075759-0.018939i,-0.024192+0.00072056i,-0.029567-0.0029638i,0.016187-0.00016685i,0.022255+0.010566i,-0.0069152-0.00022257i
0.017092+0.0044915i,0.041731+0.0162i,0.038646-0.0067018i,0.030062-0.0099721i,0.038962-0.017047i,-0.00026917-0.033169i,-0.0019595-0.015638i,0.016809-0.023733i,0.017115-0.006774i,0.0028777+0.00026972i,0.0036389-0.002176i,0.0065313-0.0029198i,0.0047027-0.0030378i,0.0022478-0.0035257i,-0.0024079-0.0011354i,0.0014381-0.0032338i,-0.0031617-0.0052911i,-0.0018386+0.00080829i,0.0003116+0.0016829i,-0.0018054+0.00058567i,-0.00087901+0.002008i,0.0023035+0.0015849i,0.00024268+0.002304i,-0.0005865-0.005429i,0.00061447-0.0017478i,-0.00054522-0.0012145i,-0.00036599-0.0011133i,-0.00037963-0.00083355i,0.00021574+0.0002628i,0.0010948-2.7217e-06i,0.0016174+0.0016695i,0.00081215+0.001699i,0.00083201+0.00019018i,0.00099715+0.00058492i,0.00079612-0.00010654i,0.0062617+0.0038493i,-0.00018501-0.00034176i,-0.0012217-0.00024313i,0.0013238+2.1805e-05i,-0.0019449+0.00071015i,-0.00027203+0.00069413i,3.9151e-06+0.0011552i,0.0037262-0.00078064i,0.0043154-0.0048536i,0.019024+0.018192i,0.001522+0.06387i,0.0072363+0.062183i,0.021944+0.056968i,0.030441+0.017082i,0.033289+0.019185i,0.018933+0.029867i,-0.0097991+0.015962i,-0.012872+0.046419i,-0.025332+0.020633i,0.01085+0.00057815i,0.0046103+0.0099802i,0.0067005+0.0069467i,-0.0019588+0.013261i,-0.0039255+0.0054703i,0.0024207-0.010221i,0.01077-0.0077158i,-0.012658+0.015694i,-0.00089286-0.0015539i,-0.00099719+0.00093855i,-0.0012792+0.00024375i,-0.00080445+0.0029783i,0.0041612-0.0012417i,-0.0022588-0.004145i,0.0028123+0.003605i,0.0014083-0.0058874i,-0.0044889-0.0026516i,-0.0014756+0.0022821i,0.0014468-0.0025729i,0.0011917-0.0036699i,0.011209-0.013018i,0.00056235+0.0042551i,-0.0032244-0.0041879i,-0.0022864-0.0013511i,-0.0047329-0.0048216i,0.00354+0.0051504i,0.0016002-0.0045976i,0.0028466-0.0032046i,-0.00019919-0.0036548i,-0.0013722-0.002953i,0.0022431+0.0022489i,0.0011254+0.0015079i,0.0043568-0.0011005i,-0.001519+0.0091867i,0.00020019+0.016612i,0.012383+0.054886i,-0.0013484-0.024346i,-0.02664-0.00046557i,-0.030988+0.0057075i,0.010864-0.003708i,0.022786+0.0046823i,-0.0065586+0.00064782i
0.017924+0.00093765i,0.043605+0.010284i,0.035141-0.013387i,0.02483-0.015808i,0.034364-0.025192i,-0.0060552-0.031304i,-0.0036714-0.014609i,0.011833-0.026054i,0.015393-0.010341i,0.0033434+0.0005339i,0.0032548-0.0024006i,0.0050951-0.0048024i,0.0040106-0.0041385i,0.0012028-0.0034561i,-0.0022192-0.00018526i,0.0011459-0.0028626i,-0.0047745-0.0033953i,-0.0015493+0.0015173i,0.00064007+0.0010768i,-0.0015637+0.0017449i,-0.00026351+0.0022675i,0.0023064+0.00035021i,0.00090939+0.0021986i,-0.0026934-0.00361i,-0.00068409-0.0015628i,-0.00072491-0.00073389i,-0.00073863-0.00086038i,-0.00060561-0.00047744i,0.00035069-4.5244e-05i,0.00087586-0.00039238i,0.0021925+0.0006911i,0.0013605+0.0011744i,0.00081993-4.0041e-05i,0.0011062+0.00019112i,0.00011506-0.00010031i,0.0063786+0.0020014i,-0.00024378-0.00014709i,-0.0013214+0.00028235i,0.0012929-0.00022001i,-0.001384+0.0011117i,-0.00014675+0.00089318i,0.00018226+0.00093902i,0.0033357-0.0019807i,0.0026896-0.0049094i,0.019862+0.01373i,0.011743+0.058295i,0.016321+0.056811i,0.03062+0.051373i,0.027445+0.01005i,0.033811+0.012852i,0.024731+0.027461i,-0.0025832+0.016631i,0.0010931+0.04681i,-0.023188+0.025147i,0.009911-0.00052501i,0.0069849+0.0075668i,0.0074059+0.0041666i,0.0019806+0.012592i,-0.0026341+0.0073285i,-0.0034446-0.0080652i,0.0064548-0.0096277i,-0.0076782+0.01818i,-0.0015028-0.0023765i,-0.0012739+0.00085894i,-0.0012947+0.00046122i,0.0017262+0.0026006i,0.003549-0.0016329i,-0.0030736-0.0033548i,0.0043199+0.0016115i,-0.0017226-0.006388i,-0.0044021-0.00080347i,6.1798e-05+0.0018146i,0.00091696-0.0031567i,0.00013902-0.0048068i,0.0050263-0.01427i,0.002084+0.0034074i,-0.0040988-0.0032247i,-0.0030686-0.0014685i,-0.006195-0.0030084i,0.0037153+0.0035871i,-0.00030092-0.0060744i,0.002573-0.0047834i,-0.0011321-0.0032277i,-0.0021436-0.002727i,0.0031336+0.0019915i,0.0017038+0.0022229i,0.0033103-0.0018934i,-7.3195e-05+0.0096277i,0.0041853+0.013989i,0.021409+0.051528i,-0.01202-0.026148i,-0.030384+0.0012348i,-0.028147+0.014069i,0.006218-0.0028845i,0.020742-0.0016406i,-0.0056862-0.00054177i
0.017747-0.0032561i,0.04507+0.0032213i,0.031255-0.018456i,0.019449-0.018796i,0.028352-0.031667i,-0.010588-0.028961i,-0.0047475-0.014047i,0.007035-0.027419i,0.013011-0.01357i,0.0041211-6.8275e-07i,0.0033049-0.0029164i,0.0031873-0.005593i,0.0028335-0.00529i,0.00048889-0.003264i,-0.0017379+0.00043638i,0.0011603-0.0024636i,-0.004924-0.0012488i,-0.00088098+0.0015784i,0.00050265+0.00048891i,-0.00069236+0.0023044i,0.00042032+0.002217i,0.0019635-0.00045373i,0.0015758+0.0017821i,-0.0036542-0.0010216i,-0.0011523-0.00078158i,-0.00073986-0.00042167i,-0.001003-0.00058003i,-0.00060687-0.00012202i,6.6456e-05-2.4387e-05i,0.00051971-0.00060552i,0.0023998-0.00044955i,0.0014528+0.00061186i,0.00080633-0.0002738i,0.001237-0.0001321i,1.5028e-05+0.00031161i,0.0058559+0.00037766i,-0.00025055+0.00011952i,-0.001078+0.00082893i,0.0011501-0.00067912i,-0.00065294+0.0012737i,0.00022581+0.00089445i,0.00020921+0.00062391i,0.0024228-0.0028407i,0.0012168-0.0044978i,0.020052+0.0096425i,0.019323+0.05107i,0.0235+0.051472i,0.037971+0.043788i,0.024226+0.0047565i,0.033371+0.0084776i,0.029776+0.023719i,0.0033897+0.015625i,0.013562+0.042431i,-0.018645+0.029497i,0.0090695-0.0021792i,0.0085691+0.0040681i,0.0077056+0.0016875i,0.0055944+0.010396i,5.111e-05+0.0080065i,-0.0066999-0.0041508i,0.0022546-0.0099216i,-0.0020566+0.01826i,-0.0030101-0.002104i,-0.001999+0.0019341i,-0.0010884+0.00078532i,0.0031233+0.0010815i,0.0030498-0.00094734i,-0.003438-0.0020522i,0.0044688-0.00040821i,-0.0040834-0.0050572i,-0.0033979+0.00047884i,0.00048223+0.00055888i,6.8156e-05-0.0040802i,-0.0017613-0.0049571i,-8.1338e-05-0.013356i,0.0034113+0.0017573i,-0.0052933-0.001906i,-0.0036811-0.00025944i,-0.0062048-0.00037836i,0.0041045+0.003126i,-0.0032658-0.0062528i,0.00156-0.0065341i,-0.0017201-0.0029663i,-0.0028592-0.0027956i,0.0043486+0.0013i,0.0028934+0.0021622i,0.0022007-0.0014366i,0.0015784+0.0093124i,0.0063669+0.010699i,0.030408+0.045668i,-0.023408-0.022828i,-0.033246+0.0051531i,-0.022169+0.019042i,0.0047068-0.0013266i,0.016026-0.0058868i,-0.0078351-0.0015383i
0.016109-0.0071996i,0.045098-0.0045228i,0.027213-0.02285i,0.014845-0.020413i,0.021394-0.03664i,-0.01492-0.026365i,-0.0061522-0.01448i,0.0022374-0.028216i,0.0098499-0.0161i,0.0045804-0.0009831i,0.0031019-0.0039107i,0.0013751-0.0056176i,0.0010341-0.0059082i,-0.00018001-0.0031131i,-0.0013951+0.00059136i,0.0014245-0.0024368i,-0.0042898+0.00055119i,-0.00053406+0.0014083i,0.00033823+0.00034843i,0.00012508+0.0023829i,0.0010154+0.0020794i,0.0014946-0.00088656i,0.0019651+0.0010676i,-0.0029195+0.0013692i,-0.0010621-9.0703e-05i,-0.0007481-5.7418e-05i,-0.0011047-0.00024463i,-0.00060051+2.9861e-06i,0.00010725+7.9804e-05i,7.5562e-05-0.0006516i,0.0020597-0.001584i,0.0014868+0.00026521i,0.00066745-0.00050232i,0.0011169-0.00075128i,0.00029365+0.00058466i,0.0052338-0.00066588i,-6.6832e-05+0.00022412i,-0.00061962+0.001248i,0.00056288-0.00080225i,0.00010926+0.00098719i,0.00054211+0.00083101i,9.066e-05+0.00057715i,0.0011912-0.0030025i,0.00043064-0.0034401i,0.019701+0.0065034i,0.023959+0.044678i,0.030077+0.045878i,0.042707+0.036259i,0.020191+0.00035427i,0.034399+0.0048807i,0.03409+0.01861i,0.0096017+0.012636i,0.023699+0.034449i,-0.01171+0.032513i,0.0077787-0.0035706i,0.008083-0.00046024i,0.0076485-0.00083002i,0.0074397+0.0069622i,0.0020124+0.0073515i,-0.007869+0.00069171i,-0.0015074-0.0085757i,0.0020895+0.015449i,-0.004059-0.00064051i,-0.0015666+0.0036631i,-0.00082651+0.001052i,0.0038495-0.00085811i,0.0042307+0.0002917i,-0.0030018-0.0010615i,0.0042918-0.0012894i,-0.0053632-0.0031677i,-0.0023484+0.00088412i,0.00010955+0.00012662i,-0.0019674-0.0047831i,-0.0034391-0.003737i,-0.0042149-0.011938i,0.0035624-0.00034708i,-0.0057381-1.6501e-05i,-0.0030385+0.00099784i,-0.0052961+0.001511i,0.0053158+0.002586i,-0.0055777-0.0043615i,-0.00080459-0.0080031i,-0.0026207-0.0023524i,-0.0044724-0.0024987i,0.0053545-0.00056135i,0.0042307+0.0021617i,0.0025513-0.0010767i,0.0033424+0.0092132i,0.0064494+0.007425i,0.037849+0.03756i,-0.03059-0.013646i,-0.035962+0.010973i,-0.015854+0.021644i,0.0029835+9.7509e-05i,0.01153-0.0064347i,-0.0094724-0.00084959i
