-0.024001-0.037592i,-0.012458-0.049964i,-0.018505-0.044544i,-0.031261-0.035712i,-0.029945-0.01606i,-0.050634-0.027243i,-0.057492-0.025438i,-0.044539-0.037459i,-0.031224-0.034673i,0.0083924+0.011403i,-0.0063817+0.015632i,-0.0045402+0.014028i,0.010113+0.021154i,0.00055788+0.0044547i,0.0033314+0.0034007i,0.0066748+0.017156i,0.019552+0.038479i,-0.0024842-0.0017214i,-0.0049204-0.0057073i,0.0073108+0.0021833i,-0.00010249-0.00090011i,-0.0012465+0.0010679i,3.2262e-05-0.00047627i,-0.029092-0.003089i,-0.0018801-0.006191i,0.0015042+0.0046105i,0.0031985-0.00010946i,-0.0002473+0.000674i,0.00066671-0.00036964i,-0.00067649-0.0027781i,-0.0016007-0.0057807i,-0.0047809-0.0045307i,-0.0022975-0.0045952i,0.0024594-0.00047412i,0.0017918-0.0030593i,-0.00042617+0.025929i,0.0014909-0.0030748i,0.0026301+0.00082323i,0.0055227+0.00097184i,-0.01089-0.0022706i,-0.0037289+0.00019637i,0.0055966-0.00076582i,0.0063127-0.00016913i,-0.0031116+0.0046286i,0.0019662-0.0093883i,-0.012013+0.017479i,0.035535-0.091135i,0.012115-0.070167i,-0.015909-0.059645i,-0.01635-0.055411i,0.039327-0.046375i,0.017185-0.062347i,0.034139-0.055799i,0.030692-0.059564i,0.01523-0.01371i,0.0046275+0.016544i,0.016161-0.026507i,-0.011233+0.0057336i,-0.00063524+0.0052657i,-0.0052071-0.0012204i,-0.0026093-0.029004i,-0.024506+0.030553i,0.010468-0.011447i,-0.012727-0.0016523i,2.0725e-05-0.0050773i,-0.001241-0.016185i,-0.0075742+0.0045647i,0.0049774+0.0062227i,-0.008082+0.030193i,0.0052989+0.0060342i,-0.0051932-0.00060867i,-0.003099-0.0004075i,-0.012286-0.0076087i,-0.00074943-0.0042863i,-0.028541+0.0064907i,3.6631e-05-0.010015i,-0.0095503-0.0015279i,-0.0062147-0.0023537i,0.0073141+0.0032377i,-0.007725+0.0013827i,-0.00022368+0.00079494i,0.006524+0.010316i,0.004132+0.0016345i,-0.0098092-0.0092742i,0.0032183+0.00817i,-0.019776+0.005835i,0.0084886+0.00075432i,-0.02899-0.0037139i,-0.041786+0.002026i,0.018225-0.096657i,-0.0020819-0.012113i,-0.053454-0.02193i,-0.023532-0.00023499i,0.017795+0.010827i,-0.025333+0.012959i,-0.018881-0.013236i
0.0085221+0.021663i,0.014517+0.051212i,0.024669+0.034476i,0.017286+0.027299i,0.024682+0.026906i,0.032429-0.014628i,0.017562-0.0090164i,0.029631+0.0052911i,0.012375+0.013527i,0.00297+0.0041104i,0.0049674+0.0027959i,0.0042489+0.0033617i,0.0060447+0.0027577i,0.0049673+0.003583i,0.0029516-0.0033734i,0.0081112-0.00148i,0.011675-0.0032177i,-0.001657-0.0010283i,-0.0033737+0.00069517i,4.0079e-05+0.0013171i,-0.0010544-0.00016072i,-0.002619+0.0010565i,-0.0018985+0.0010103i,0.0041894+0.0076168i,0.0013855+0.00078229i,0.002389+0.00048613i,0.0018583+0.0011382i,0.0012024+0.0013168i,0.00052816+0.00011487i,-0.00039525+0.00082429i,-0.0021881-0.0031997i,-0.00085397-0.00047692i,-0.0010577+0.00084635i,-0.0011491+0.0001912i,-0.00040639-0.0014378i,-0.0062784+0.0080504i,0.0012109+0.0002936i,0.0013684-0.00051221i,-0.00090109+0.0025639i,7.0212e-05-0.0034739i,-0.0010303+0.00045976i,-0.0018916-0.00043714i,0.0019233+0.00053485i,0.0056695+0.0059246i,-0.010506+0.03376i,-0.080623+0.035051i,-0.051907+0.038159i,-0.037012+0.059333i,-0.018583+0.072287i,-0.0087295+0.051424i,0.011715+0.037429i,0.0032982-0.0019766i,-0.036091+0.0090306i,-0.046754+0.018064i,0.0020221+0.023958i,-0.0081717+0.0022783i,-0.010607-0.00064374i,-0.014269-0.0022727i,0.0023719+0.00052049i,0.0059611+0.0097714i,-0.0018569+0.0085574i,-0.0056903-0.011971i,0.0058884-0.00684i,-0.0064387-0.0065525i,0.0020092-0.0064494i,0.0035744-0.0041094i,-0.0018727+0.010082i,0.0098948-0.0041087i,0.0052653-0.0049964i,0.0030519-0.0067726i,0.003118-0.00035646i,-0.001061-0.0045702i,-0.0035341-0.00066283i,0.0025697-0.00038193i,-0.015035+0.029608i,-0.0041919-0.0040998i,0.0021184+0.00039881i,9.077e-05-0.0060881i,0.0023726-0.0012762i,-0.013707-0.0026997i,0.00052581+5.3335e-05i,0.0054713-0.0031302i,0.0031583-0.0010952i,0.00079454-0.00427i,-0.00020397+0.0061418i,-0.0010362+0.006846i,-0.0028819+0.0040508i,-0.012219+0.0033429i,-0.014972-0.0021677i,-0.040219+0.057312i,0.00037502+0.005623i,-0.025247-0.01693i,-0.0066313-0.0051043i,0.0097141+0.020019i,-0.0015456+0.02238i,-0.00064233-0.00063517i
0.011122+0.017939i,0.022756+0.046644i,0.030057+0.030043i,0.022258+0.025014i,0.030472+0.022819i,0.029149-0.020299i,0.014722-0.012401i,0.02996-0.00020455i,0.014373+0.010494i,0.0041628+0.0028335i,0.0055229+0.0015785i,0.0042229+0.0031713i,0.0061283+0.0016094i,0.005622+0.0022822i,0.0018682-0.0038549i,0.006727-0.002956i,0.0096841-0.0072213i,-0.0011724-0.00082572i,-0.0029806+0.0006927i,0.0006777+0.00053156i,-0.0013233-0.000201i,-0.0023519+0.0016229i,-0.0015389+0.0010237i,0.007677+0.0053388i,0.0012673+0.00093667i,0.002735-0.00057764i,0.0019798+0.00013043i,0.0016859+0.00024598i,0.00022697+4.9522e-05i,-0.00030174+0.00091715i,-0.0032581-0.0016959i,-0.0012866-0.00049307i,-0.00075297+0.0011031i,-0.00093149+0.00063595i,-0.0010187-0.00052601i,-0.0034052+0.0094043i,0.00097003-0.0002826i,0.0010708-0.0009224i,0.00041196+0.002052i,-0.001093-0.0032401i,-0.00081042+0.00048755i,-0.0020378+1.9764e-05i,0.0015596+0.00049143i,0.0064578+0.0050208i,-0.0040344+0.034384i,-0.069022+0.048631i,-0.04763+0.047285i,-0.027159+0.063181i,-0.0027002+0.069685i,0.0020822+0.049479i,0.010597+0.03243i,-0.0025854-0.0063964i,-0.037251+0.010983i,-0.037965+0.020512i,0.0075724+0.021862i,-0.0085811+0.0050757i,-0.0097207+0.0050173i,-0.014013+0.0019417i,0.0013195-0.00082705i,0.0077022+0.0088809i,0.0024865+0.011527i,-0.011713-0.010313i,0.0012837-0.0079368i,-0.006049-0.002875i,-0.0015192-0.0060102i,0.001388-0.0053561i,0.0027532+0.0079893i,0.0063985-0.006641i,0.001907-0.0055185i,1.6037e-05-0.0042752i,0.0040381-0.001487i,-0.0024209-0.0036888i,-0.0015057+0.0013526i,0.0028986-0.00083966i,0.0052155+0.02598i,-0.0052837-0.0032315i,0.0027406-0.0017798i,-0.0027941-0.005594i,0.0027284-0.0021713i,-0.012899+0.0028593i,0.00085006+0.00051787i,0.0034423-0.0029997i,0.0032552-0.002486i,0.00013046-0.0038718i,0.0016168+0.0028078i,0.0022066+0.0055278i,-0.00047315+0.0050353i,-0.01064+0.0069582i,-0.016422+0.0012422i,-0.028952+0.058738i,0.001097+0.0063337i,-0.028979-0.011541i,-0.0093938-0.0098401i,0.012446+0.01864i,0.0026149+0.023879i,-0.0027838-0.0017631i
0.012447+0.014952i,0.029188+0.040256i,0.035266+0.023402i,0.028066+0.02007i,0.036109+0.017132i,0.024562-0.025635i,0.01111-0.015333i,0.029504-0.0061888i,0.015852+0.0075466i,0.0041798+0.0013637i,0.0054674-0.0001928i,0.005115+0.0028323i,0.0059597+2.4795e-05i,0.0060142+0.00055585i,0.00067138-0.0039654i,0.0051063-0.0039228i,0.0051037-0.0099353i,-0.0015248-0.00095262i,-0.0025814+0.0010766i,0.00049655-0.00051688i,-0.0017996-0.00011266i,-0.0018053+0.0022165i,-0.0014504+0.0011475i,0.0087509+0.00115i,0.0018395+0.00045412i,0.0019737-0.00164i,0.0015684-0.00060707i,0.0012258-0.00027783i,0.00015943+0.00016636i,-0.00011705+0.0010952i,-0.0037267-3.1779e-05i,-0.0019216+0.00044556i,-0.00012146+0.0014637i,-0.0004863+0.00094704i,-0.00083084+0.00021392i,-0.0002491+0.0096888i,0.00069413-0.00043487i,0.00055729-0.0012884i,0.00094995+0.0013814i,-0.0023931-0.0023712i,-0.00067839+0.00051059i,-0.0019886+0.00074886i,0.0013963+0.00090768i,0.0079546+0.0040393i,0.0033694+0.033411i,-0.056492+0.058851i,-0.039061+0.055516i,-0.01595+0.064204i,0.011615+0.06295i,0.011991+0.047501i,0.010002+0.028392i,-0.0081504-0.00691i,-0.037954+0.015926i,-0.03078+0.019827i,0.012138+0.017314i,-0.0077185+0.0072785i,-0.0074848+0.0080894i,-0.012818+0.0048002i,-0.00062627-0.002552i,0.0098187+0.0069858i,0.0074491+0.010869i,-0.016162-0.0059035i,-0.0011463-0.0056286i,-0.0051684-0.00016732i,-0.003251-0.0040644i,-0.0011791-0.004735i,0.0049637+0.0067899i,0.0037746-0.0071105i,-0.001411-0.0053597i,-6.8358e-05-0.0020025i,0.0037608-0.0040389i,-0.0045035-0.0024059i,2.38e-05+0.00090223i,0.002334-0.0016857i,0.015708+0.019301i,-0.0066955-0.0012767i,0.0023605-0.0028746i,-0.003159-0.0038251i,0.0030593-0.0037602i,-0.0091828+0.0076847i,0.0020627+0.00057353i,0.0022598-0.0034489i,0.0018633-0.0029984i,-0.00011646-0.0041619i,0.0008679+0.0018113i,0.0038726+0.0034524i,0.0018608+0.0049001i,-0.0082534+0.0089501i,-0.016856+0.0062186i,-0.020128+0.058226i,0.0051143+0.0060513i,-0.030598-0.0056769i,-0.01277-0.011014i,0.016296+0.014866i,0.0088415+0.024669i,-0.0047359-0.0013496i
0.013399+0.012535i,0.0328+0.033975i,0.037858+0.015658i,0.031544+0.012752i,0.040056+0.0089746i,0.018456-0.029491i,0.0068954-0.016937i,0.027224-0.011809i,0.016838+0.0043455i,0.0038326+0.0005614i,0.0046817-0.00090582i,0.0059151+0.001801i,0.0051046-0.00092697i,0.0054795-0.0010563i,-0.00058167-0.0037228i,0.0035124-0.0043148i,0.0010955-0.0086835i,-0.0016525-0.00053175i,-0.0013664+0.0018296i,-0.00035771-0.00094673i,-0.0021132+0.00068245i,-0.0011144+0.0027895i,-0.0012975+0.0014687i,0.007726-0.0021681i,0.0016673-0.00023383i,0.0009451-0.0017474i,0.0010244-0.0008958i,0.00094426-0.00087486i,0.00030248+1.7381e-05i,0.00023795+0.0013068i,-0.0034312+0.0017542i,-0.0013118+0.0014748i,0.00049071+0.0012078i,-0.00021918+0.0010293i,-0.00048699+0.00067209i,0.0026087+0.0089586i,0.00048064-0.00061297i,5.9982e-05-0.0013991i,0.0010044+0.0010045i,-0.0027768-0.0011845i,-0.00061739+0.00065869i,-0.0017311+0.0011198i,0.001941+0.0011299i,0.0094144+0.0024702i,0.0094677+0.029452i,-0.04165+0.066523i,-0.029619+0.06118i,-0.007004+0.063544i,0.023767+0.052355i,0.021807+0.041378i,0.008984+0.02688i,-0.014493-0.0049699i,-0.037502+0.022845i,-0.026446+0.017741i,0.015311+0.011529i,-0.0058311+0.0098343i,-0.004348+0.011525i,-0.010991+0.0075117i,-0.0043846-0.0015146i,0.011945+0.0037561i,0.011688+0.0078944i,-0.018418-0.00028089i,-0.0022236-0.0041121i,-0.0034596+0.0011795i,-0.0038842-0.0016049i,-0.0025574-0.003344i,0.007046+0.0034689i,0.0015004-0.0074775i,-0.0045168-0.0017354i,0.0010609-0.0010668i,0.0015378-0.0058072i,-0.0048307-0.00042829i,0.00085884+0.00083485i,0.0020531-0.0021232i,0.020721+0.0097574i,-0.0067929+0.0020868i,0.0018936-0.0042475i,-0.003334-0.0024081i,0.0013592-0.0059732i,-0.004185+0.0089171i,0.003166-0.00062466i,0.00092544-0.0029229i,0.00087843-0.0028183i,-0.0024688-0.0035469i,0.00057351+0.0018507i,0.0037807+0.0010437i,0.0039946+0.0040523i,-0.005511+0.010144i,-0.014957+0.010974i,-0.012313+0.058851i,0.011665+0.0013776i,-0.029296-6.9723e-05i,-0.018687-0.010796i,0.01701+0.010107i,0.015571+0.022275i,-0.0048324-0.00062613i
0.014722+0.010455i,0.036232+0.028817i,0.038991+0.0088314i,0.032765+0.0053754i,0.041383+0.00023439i,0.012491-0.031739i,0.0028586-0.01681i,0.024043-0.016383i,0.017384+0.0010133i,0.0034455+1.3475e-05i,0.0042421-0.0014174i,0.0064494+0.00043528i,0.0045455-0.0012212i,0.0046582-0.0022202i,-0.0015672-0.0028531i,0.0022715-0.0038649i,-0.00080207-0.0071782i,-0.0018415-6.2324e-05i,-0.00081586+0.0017864i,-0.0011606-0.00072282i,-0.0018531+0.0012966i,4.4821e-05+0.0030894i,-0.00098034+0.0019188i,0.005634-0.0044542i,0.0012453-0.00053209i,0.00038705-0.001735i,0.00060416-0.0010312i,0.00014319-0.00067249i,0.00011137-6.2044e-05i,0.000891+0.0012124i,-0.00209+0.0030027i,-0.00047891+0.0018235i,0.000812+0.0007875i,0.00020815+0.001306i,8.7865e-05+0.00082672i,0.0052484+0.0069817i,0.00016551-0.00057656i,-0.00047658-0.0013632i,0.0014021+0.00064126i,-0.0028059-8.2144e-05i,-0.00042004+0.00059755i,-0.001327+0.001524i,0.0026113+0.00085697i,0.0099995-0.00031554i,0.013187+0.024678i,-0.025635+0.069326i,-0.01793+0.065862i,0.0023192+0.06303i,0.029977+0.03926i,0.027946+0.03365i,0.0095667+0.028157i,-0.018266+0.0019051i,-0.034597+0.032349i,-0.025141+0.01571i,0.014618+0.0056913i,-0.0024101+0.011673i,0.00076007+0.011899i,-0.0086993+0.0099997i,-0.0054849+0.0018176i,0.012294-0.0016017i,0.014474+0.0030942i,-0.018593+0.0057527i,-0.0025844-0.0020116i,-0.0023383+0.0015559i,-0.0027304+9.5695e-05i,-0.0038821-0.0012803i,0.0068534+0.00068124i,-0.0006897-0.0068079i,-0.0038108+0.0025185i,0.0023495-0.0016992i,-0.0011793-0.0059597i,-0.003716+0.0011105i,0.0019156+0.00026841i,0.0017141-0.0024904i,0.020865+0.00011637i,-0.0044606+0.0045767i,0.00027137-0.0055087i,-0.0026094-0.0019684i,-0.0010745-0.0063889i,-0.00065959+0.0079282i,0.0032234-0.0023131i,0.00080329-0.001374i,0.00080554-0.0024293i,-0.00098191-0.002057i,0.0011801+0.0020836i,0.0021903-0.00037982i,0.0048874+0.0020151i,-0.0033808+0.0098259i,-0.010896+0.015439i,-0.0037541+0.058502i,0.013358-0.0097862i,-0.025827+0.0020112i,-0.024081-0.0078711i,0.017612+0.0058083i,0.02052+0.016027i,-0.0059007-0.001158i
0.016082+0.0078273i,0.039858+0.023059i,0.039883+0.0018305i,0.032616-0.0020972i,0.041163-0.0081983i,0.0062704-0.033132i,-1.3109e-05-0.015937i,0.02035-0.020223i,0.017354-0.0026176i,0.0028002-0.00042234i,0.004201-0.0018589i,0.0065907-0.0011038i,0.0047811-0.0016785i,0.0036263-0.0030148i,-0.0020447-0.0020077i,0.0016399-0.0032392i,-0.0018066-0.0063255i,-0.0015902+0.00034346i,-0.00041353+0.0018038i,-0.0015648-0.0001597i,-0.001327+0.0017763i,0.0013657+0.0027441i,-0.00028323+0.0022007i,0.0026978-0.0054289i,0.0010684-0.00070044i,-0.00020877-0.0016519i,0.00020252-0.0011808i,0.00034006-0.0020066i,-4.9734e-05+8.0997e-05i,0.0013176+0.00062375i,-0.00059335+0.0034031i,0.00035557+0.0018195i,0.00094142+0.00044965i,0.00080806+0.0011131i,0.00046011+0.00043007i,0.0063608+0.0039392i,2.2018e-05-0.00043595i,-0.00079316-0.00096925i,0.0012828+3.1017e-05i,-0.0023572+0.0005383i,-0.0003058+0.00058011i,-0.0008974+0.0015885i,0.0030424+0.0003448i,0.010176-0.0029838i,0.015628+0.020348i,-0.01138+0.068149i,-0.0041922+0.066246i,0.01224+0.06088i,0.03209+0.027319i,0.031653+0.025832i,0.012781+0.030015i,-0.017126+0.010892i,-0.02616+0.042516i,-0.025904+0.016114i,0.01254+0.0023426i,0.0014243+0.011575i,0.0046717+0.010005i,-0.0058316+0.012237i,-0.004573+0.0041239i,0.0097244-0.0073192i,0.014305-0.0030293i,-0.01669+0.010613i,-0.0017808-0.00081092i,-0.0011775+0.0013208i,-0.0016437+0.00044607i,-0.003265+0.0014704i,0.0055845-0.0010925i,-0.0019785-0.0053731i,-0.00046121+0.0048355i,0.0024297-0.0034075i,-0.0033555-0.0046922i,-0.0026084+0.0018018i,0.0023586-0.0010718i,0.0016522-0.0027204i,0.017131-0.008213i,-0.0018455+0.0054023i,-0.0019765-0.0053438i,-0.0027939-0.0017238i,-0.003277-0.0056764i,0.0015662+0.0065532i,0.0025026-0.0037928i,0.0025172-0.0014394i,0.00087884-0.0030667i,-0.00039346-0.0027861i,0.0017764+0.0022895i,0.0008259+0.00018669i,0.0046348+0.00079728i,-0.0019601+0.0091912i,-0.0050299+0.01745i,0.0049023+0.056489i,0.00705-0.01909i,-0.024009+0.00069516i,-0.029096-0.0020332i,0.016362+0.00019509i,0.021597+0.0097637i,-0.0070328-6.6272e-05i
0.017243+0.0049535i,0.042273+0.016498i,0.038806-0.006348i,0.030027-0.0098826i,0.03931-0.01719i,-0.00032763-0.032982i,-0.0020406-0.015025i,0.016284-0.023549i,0.016248-0.0061774i,0.0023103-8.7792e-05i,0.0036402-0.0025247i,0.0062593-0.0031425i,0.004615-0.0029068i,0.0024112-0.0035122i,-0.0023666-0.0010913i,0.0015317-0.0029127i,-0.0031395-0.00544i,-0.0016353+0.00070764i,0.00023418+0.0017191i,-0.0019706+0.00057632i,-0.00090924+0.001985i,0.0022798+0.0017193i,0.00030192+0.0021967i,-0.00021766-0.0052438i,0.00073196-0.0012657i,-0.0008359-0.0011403i,-0.00035006-0.0011294i,-0.00027113-0.0010259i,0.00016421+0.00027525i,0.0012077+2.6654e-05i,0.0010445+0.0030739i,0.00096936+0.0015415i,0.0008497+0.00013799i,0.0012703+0.00078058i,0.0003811-3.8523e-05i,0.0065663+0.0013328i,-0.00013287-0.00028221i,-0.0010514-0.00065856i,0.0011647-0.00024066i,-0.0018321+0.00088023i,-0.00019703+0.00059596i,-0.00032034+0.0017331i,0.0033764-0.0005346i,0.0090185-0.0066453i,0.017132+0.016237i,0.0010983+0.064828i,0.0080389+0.062126i,0.021937+0.056833i,0.030713+0.017288i,0.033532+0.018996i,0.018753+0.030242i,-0.0098568+0.016745i,-0.012411+0.047974i,-0.026374+0.019575i,0.010408+0.00046487i,0.0044015+0.0099804i,0.0069768+0.0068774i,-0.0021235+0.0131i,-0.0039846+0.0056282i,0.0031803-0.0097643i,0.010714-0.0078655i,-0.013339+0.014743i,-0.00090116-0.0011768i,-0.00088004+0.00058692i,-0.0012047+0.00036149i,-0.00091887+0.0027773i,0.0042711-0.0012984i,-0.0025456-0.004223i,0.0026027+0.0041318i,0.0012109-0.0051725i,-0.0044528-0.0027483i,-0.0013873+0.0021905i,0.0016576-0.0026147i,0.0011402-0.0036038i,0.011422-0.012484i,0.0004358+0.0051126i,-0.0033376-0.0041976i,-0.0025737-0.0013941i,-0.0047126-0.0044263i,0.0029375+0.0049832i,0.0016125-0.0053573i,0.0031501-0.0030438i,-0.00021586-0.003633i,-0.0015161-0.0034414i,0.0030888+0.0018296i,0.00061139+0.0018168i,0.0049123-0.0011442i,-0.00088141+0.0089781i,0.00023204+0.016794i,0.013042+0.054123i,-0.002012-0.024062i,-0.026487-0.00075963i,-0.030054+0.0062795i,0.011244-0.0035978i,0.021787+0.0040292i,-0.0064296+0.00059106i
0.018154+0.0013718i,0.044029+0.010363i,0.035506-0.013301i,0.024708-0.015702i,0.034678-0.025418i,-0.0060815-0.031124i,-0.0034999-0.014146i,0.011406-0.025892i,0.014766-0.0093003i,0.0026537+0.00043642i,0.0031093-0.0027154i,0.0047744-0.0047956i,0.0039637-0.0040119i,0.0013367-0.0034799i,-0.0021803-0.00014782i,0.0014141-0.0027073i,-0.0048036-0.0037458i,-0.0013234+0.0014156i,0.00061626+0.0011725i,-0.0017804+0.0017876i,-0.00032899+0.002291i,0.0023971+0.00044854i,0.00094684+0.002087i,-0.0022725-0.0035441i,-0.00025848-0.0013555i,-0.00094922-0.00055731i,-0.00075199-0.00090168i,-0.00051896-0.00061182i,0.00037384-1.1509e-06i,0.0009909-0.00034091i,0.002231+0.0020753i,0.0013839+0.0010218i,0.00078215-0.00011339i,0.00064998-0.0010578i,5.5293e-05+6.1058e-05i,0.0060231-0.0022111i,-0.0001478-0.00013003i,-0.0013055-0.00026058i,0.0010299-0.00049654i,-0.0011969+0.0010778i,-0.00013739+0.00064235i,0.00020222+0.0015359i,0.0031232-0.0016374i,0.0046528-0.0085982i,0.017819+0.012373i,0.012154+0.059177i,0.016724+0.056467i,0.030593+0.051196i,0.027777+0.010079i,0.033931+0.012589i,0.024558+0.027695i,-0.0021442+0.017301i,0.0020641+0.047474i,-0.024505+0.024276i,0.0093622-0.0002786i,0.0068976+0.0076732i,0.0074321+0.0039514i,0.0018601+0.012526i,-0.0024898+0.0075753i,-0.0026016-0.0079631i,0.0064573-0.0096797i,-0.0085085+0.017765i,-0.0015787-0.0021322i,-0.0013989+0.00046773i,-0.0011674+0.00053936i,0.0016342+0.0025115i,0.0036771-0.0015996i,-0.0033311-0.0032399i,0.0044414+0.0022631i,-0.001681-0.0058798i,-0.0043704-0.00076874i,-6.5395e-05+0.0016985i,0.00092248-0.0033557i,1.2348e-05-0.0047741i,0.0053913-0.013857i,0.0021463+0.0041736i,-0.0042203-0.0032789i,-0.0032778-0.0013218i,-0.0057066-0.0024784i,0.0033624+0.0036463i,-0.00057185-0.0066429i,0.0028891-0.0047638i,-0.0012011-0.0031393i,-0.0023173-0.0031879i,0.0036777+0.0013869i,0.0017502+0.0026421i,0.0033021-0.0019085i,0.00021293+0.009282i,0.0044489+0.014192i,0.021933+0.050691i,-0.012539-0.025519i,-0.030312+0.00097883i,-0.027426+0.013926i,0.006791-0.0031214i,0.018635-0.0018839i,-0.0058537-0.00082859i
0.017999-0.0028846i,0.045508+0.003185i,0.031533-0.01857i,0.019402-0.018626i,0.028497-0.031804i,-0.010552-0.028726i,-0.0045263-0.0138i,0.0067385-0.027202i,0.012783-0.012322i,0.0035058+0.00019365i,0.0029699-0.0031173i,0.0029539-0.0054213i,0.0029107-0.0051766i,0.00053932-0.003299i,-0.0016975+0.00045275i,0.0014377-0.0024978i,-0.0052081-0.0015077i,-0.00061132+0.0014389i,0.00052655+0.00061142i,-0.00085229+0.0023993i,0.00039741+0.0022587i,0.0019884-0.00043409i,0.0015608+0.0016819i,-0.0033521-0.0011968i,-0.00078447-0.00085621i,-0.00088433-0.00022351i,-0.0010175-0.0006386i,-0.00016649-0.00094205i,2.3354e-05-3.256e-05i,0.00062557-0.00073044i,0.0029165+0.00067313i,0.0013881+0.00052643i,0.0007813-0.00029324i,0.00091411-5.656e-06i,0.00014107+0.00028276i,0.0087634-0.003646i,-0.00011623+7.976e-05i,-0.0012875+0.00036154i,0.00074901-0.00087241i,-0.00055854+0.0011859i,-6.5684e-05+0.00057461i,0.00052521+0.0012046i,0.0023968-0.0023927i,0.0012465-0.0075669i,0.018001+0.0088123i,0.01997+0.051372i,0.023646+0.051151i,0.037902+0.043531i,0.024501+0.0046907i,0.033376+0.0082798i,0.029602+0.024052i,0.0042551+0.016006i,0.014404+0.042303i,-0.020146+0.028767i,0.0087149-0.0017398i,0.0084251+0.0044145i,0.0077621+0.0015999i,0.0054647+0.010449i,0.00028277+0.0080771i,-0.005893-0.0044492i,0.002241-0.010006i,-0.0029836+0.018138i,-0.0029941-0.0021819i,-0.0022331+0.0015807i,-0.00098793+0.00073127i,0.0031136+0.0010793i,0.0030209-0.00097572i,-0.0036044-0.0017871i,0.0047471-5.5144e-05i,-0.0041966-0.0042597i,-0.0031916+0.00053014i,0.00027981+0.0006588i,5.1875e-05-0.0041002i,-0.001917-0.0048617i,0.00047599-0.013304i,0.0036158+0.0024529i,-0.0054627-0.0018327i,-0.0037367+1.092e-05i,-0.0054897-0.0001488i,0.0040936+0.0029604i,-0.0036344-0.0065379i,0.0016929-0.0065598i,-0.0018296-0.0028172i,-0.0029394-0.0032814i,0.004631+0.00080427i,0.0030231+0.0022911i,0.0023883-0.0012713i,0.0016439+0.0090263i,0.0065686+0.011033i,0.030718+0.044676i,-0.023681-0.022308i,-0.033383+0.0047908i,-0.021498+0.018257i,0.0048855-0.0019865i,0.014374-0.0048149i,-0.0082385-0.001733i
0.016488-0.0068042i,0.045572-0.0047062i,0.027377-0.023087i,0.014932-0.020228i,0.0215-0.036671i,-0.014898-0.026215i,-0.0058886-0.014362i,0.0020711-0.027946i,0.010081-0.014984i,0.0040702-0.00060154i,0.0026922-0.0039163i,0.0013116-0.0054234i,0.0011762-0.0058813i,-0.00020562-0.0031689i,-0.0013261+0.00055734i,0.0016234-0.0027326i,-0.0047382+0.00041711i,-0.00033619+0.0010974i,0.00046294+0.00040561i,4.3953e-05+0.002532i,0.0010474+0.002081i,0.0014756-0.00086095i,0.0019006+0.0009878i,-0.0027803+0.0010235i,-0.00084724-0.00029025i,-0.0008183+0.000194i,-0.0010941-0.00024992i,-0.00070332+0.00021752i,8.1699e-06+0.00011374i,1.6684e-05-0.00081369i,0.0028353-0.00079221i,0.0014497+0.00023513i,0.00064569-0.00053626i,0.00098185-0.00055723i,0.0003721+0.00040349i,0.010948-0.001756i,3.4186e-05+0.00010646i,-0.00099077+0.00073505i,8.3652e-05-0.00084641i,0.00013017+0.00085297i,-8.3995e-05+0.00074838i,0.00070995+0.0010261i,0.0014221-0.0025878i,-0.00033707-0.0056043i,0.017732+0.006002i,0.024434+0.044859i,0.030067+0.045642i,0.042313+0.036294i,0.020436+0.0003565i,0.034458+0.0047444i,0.033839+0.018931i,0.010449+0.012466i,0.024286+0.033533i,-0.013468+0.032093i,0.0076228-0.0032347i,0.0080491-0.00011859i,0.007883-0.0011767i,0.0073809+0.0070175i,0.002108+0.0071651i,-0.007314+3.2583e-05i,-0.0016349-0.0086709i,0.0010426+0.015246i,-0.0041522-0.00089116i,-0.0020602+0.0036904i,-0.00080705+0.00096019i,0.0038458-0.00084166i,0.0038997+0.00045268i,-0.0030387-0.00067328i,0.0042644-0.001144i,-0.0049467-0.0021546i,-0.0017213+0.00026856i,3.0034e-05+0.00026707i,-0.002092-0.004836i,-0.00352-0.0037093i,-0.0036315-0.0121i,0.0039113+0.00026057i,-0.0058107+0.00024412i,-0.0028272+0.0011244i,-0.0047616+0.0013752i,0.0052917+0.0021489i,-0.006043-0.0044982i,-0.0010803-0.0079514i,-0.0026097-0.0021771i,-0.0047546-0.0031179i,0.0053724-0.0010633i,0.0043974+0.0022609i,0.0028039-0.0011106i,0.0038488+0.0091647i,0.0067549+0.0078613i,0.037858+0.036397i,-0.030831-0.013302i,-0.036183+0.010954i,-0.015757+0.020498i,0.0029837-0.00045861i,0.011033-0.003963i,-0.0098729-0.00089318i
