-0.025287-0.0047053i,-0.021215-0.0073494i,-0.012701-0.013182i,-0.034976-0.0078766i,-0.026888+0.0011196i,-0.036013-0.0028846i,-0.068323-0.036376i,-0.033392-0.015375i,-0.022943+0.0030533i,0.0063073+0.0065056i,-0.0052721+0.0075096i,-0.0081021+0.018188i,0.006181+0.0082035i,-0.00090653+0.0031968i,0.0044995+0.0034984i,0.0055517+0.025206i,0.023255+0.020268i,0.0014125-0.00052338i,0.0010054-0.0044241i,0.0090656+9.4474e-05i,0.0054051-0.00024667i,0.0025867+0.0013302i,0.0016227-0.00089285i,-0.024422+0.00011173i,-0.0047624-0.003902i,-0.00026443+0.0033855i,0.0052593-0.0041688i,-0.0015303-0.00038463i,-0.00010652+0.0011106i,-0.0018426-0.0014259i,-0.0036384-0.00023923i,-0.0067981-0.0083305i,-0.0050774-0.0073278i,-0.00044042+0.00033782i,7.1462e-05-0.0018702i,0.00056902+0.021943i,0.0027204-0.0039597i,0.00088759-0.0041573i,0.0032032-0.0018697i,-0.0031409-0.0024739i,0.0010246-2.0786e-05i,0.0081132-0.0020523i,0.0031656-0.0022626i,0.0002066+0.0029274i,-0.013595+0.015892i,-0.026012+0.053288i,-0.0062758-0.037267i,-0.015001-0.018726i,-0.040183-0.016316i,-0.027551-0.012491i,0.035349-0.011423i,0.0056114-0.030131i,0.012439-0.038383i,-0.008136-0.029485i,0.02479-0.023492i,0.013188+0.0070336i,0.028503-0.036006i,-0.0015679-0.0043132i,0.0057474-0.0094307i,-0.00066357-0.0062766i,-0.00014573-0.034822i,-0.013039+0.028669i,0.0084516-0.011535i,-0.0085653-0.0043368i,-0.0021758-0.0019228i,-0.00020196-0.01592i,-0.0079229+0.0060227i,0.003967+0.0067291i,-0.00073792+0.028345i,0.0026887+0.0012801i,-0.0071028-0.0042967i,-0.00377-0.0059122i,-0.014362-0.0097474i,-0.0020635-0.0057895i,-0.034235+0.0063541i,-0.0052125-0.0085209i,-0.012939-0.001248i,-0.01055-0.0056671i,0.0017919-0.0012676i,-0.013752+0.0021869i,-0.0017054-0.00044187i,0.0054392+0.0056383i,0.0033407-0.0051618i,-0.014692-0.014027i,0.0070702+0.0077446i,-0.016239+0.005096i,0.004868+0.00013647i,-0.019237-0.0028165i,-0.016045-0.0047445i,-0.0153-0.036088i,0.020699-0.01019i,-0.03912-0.02374i,-0.0093055+0.0058733i,0.017889+0.014727i,-0.022459+0.01722i,-0.0044177-0.004004i
0.0070597-0.010732i,0.010723+0.0018468i,0.008113+0.003532i,0.01493-0.0038208i,0.01853-0.0017251i,0.016144-0.013521i,0.016543-0.0052786i,0.013061-0.0017813i,0.0015399-0.0094592i,-0.0032268+0.0032196i,-0.00082877+0.00032818i,-0.0011541-0.00015068i,-0.0010175+0.0038622i,-0.0018684+0.0025154i,0.00028346+0.002226i,0.0012347-0.00068886i,0.0029385-0.0016891i,0.00046736-0.00099103i,2.8457e-05-0.00019477i,3.1546e-07-0.00036784i,0.00075319-0.0027685i,-0.001322-0.0015449i,-0.00068187-0.00070342i,0.0037886+0.0046729i,-0.0016109+0.0011645i,-0.0009421+0.0014958i,-0.0024073+0.00031141i,-0.0019457-0.00017265i,-0.0026434-0.0011852i,-0.0019451+0.0004302i,0.0017162-0.00093677i,0.0010109+0.0014149i,0.0015084-5.8473e-05i,0.0015455-0.0004026i,0.0012088-0.00044184i,-0.010153+0.0068503i,-0.0014341-2.6767e-05i,-0.00090313+0.00022597i,-0.002748+0.00018491i,0.0017275-0.0027119i,-0.00014094-0.00077752i,0.00031432-0.0013737i,-0.0013351+0.0022717i,0.0019374+0.00024818i,0.0014104-0.013399i,-0.024983-0.0090764i,-0.0024253-0.0058583i,-0.0071548+0.002459i,0.017457+0.021279i,0.0013659+0.0046925i,0.013557-0.013666i,-0.010611-0.027089i,-0.0042971-0.012957i,0.007265-0.0088023i,0.018504+0.018044i,0.002133+0.0013378i,-0.00098942+0.0004398i,-0.0059283-0.00045713i,0.010434-0.0031503i,0.013527+0.0078073i,0.002789+0.0046067i,-0.0052019-0.007037i,0.0066199-0.003083i,-0.0037203-0.0066458i,0.0030759-0.011546i,0.0062496-0.0062181i,-0.00051971+0.0072499i,0.010006-0.0081335i,0.0046236-0.0074749i,0.0012907-0.0063676i,-0.0023897-0.0015355i,-0.0062993-0.0065427i,-0.008446-0.00063545i,9.7115e-05-0.0012844i,-0.0080428+0.028039i,-0.0087515-0.0022092i,0.00079757+0.0032581i,-0.0033134-0.0046032i,0.00044133+0.00087589i,-0.016006+0.0014511i,-0.0029798+0.0024257i,-0.0014084-0.0015691i,-0.0039069+0.00031878i,-0.0056414-0.0030472i,-0.0017003+0.0051877i,-0.0023998+0.0022242i,-0.0057152+0.0065028i,-0.0058607+0.00011234i,-0.0030142-0.0021673i,0.0075064-0.0026156i,-0.0050268+0.018323i,-0.028202-0.0019179i,-0.010317-0.0037883i,0.012303+0.016219i,-0.0018049+0.016785i,-0.0070491-0.0052138i
0.005371-0.012394i,0.01128-0.0018685i,0.0087384+0.0024005i,0.013507-0.005511i,0.018225-0.0047441i,0.013615-0.016082i,0.013679-0.0083289i,0.012397-0.0039312i,-0.00029036-0.0097743i,-0.002055+0.0036028i,-0.00033444+0.00080886i,-0.0013434+0.0010525i,8.6037e-05+0.0039931i,-0.00079334+0.0031288i,0.00076073+0.0021876i,0.00083917-0.00036152i,0.0017935-0.0022525i,0.00059896-0.00091466i,6.0082e-05-0.00094084i,0.00028715-0.00088882i,3.9913e-06-0.0028925i,-0.0016671-0.0011402i,-0.00082892-0.00086179i,0.0061215+0.0026461i,-0.0015245+0.0023383i,-0.00015603+0.0018086i,-0.0024445+0.0011527i,-0.002081+0.00065583i,-0.003467+0.00023812i,-0.0017447+0.001476i,0.0011123-0.0013363i,0.0010761+0.00030287i,0.00093644-0.00062826i,0.0011106-0.00092462i,0.00083867-0.00040682i,-0.0071902+0.0095526i,-0.0018294+0.0006087i,-0.00096706+0.000883i,-0.0026141+0.0014506i,0.00085276-0.0028666i,-8.8552e-05-0.00084186i,-0.00024305-0.0012705i,-0.00087754+0.002552i,0.0013893+0.00034585i,-0.00032949-0.012761i,-0.022874-0.00593i,-0.0039367-0.0028634i,-0.0040011+0.00068603i,0.02621+0.014152i,0.0051474+0.0022666i,0.0071554-0.016911i,-0.018812-0.027006i,-0.0087958-0.01399i,0.010065-0.015747i,0.02006+0.011108i,0.00066929+0.00022013i,-0.00038319+0.0027875i,-0.0056024+0.0014646i,0.0075888-0.0066496i,0.014678+0.0037245i,0.0054542+0.0054547i,-0.0091445-0.0052411i,0.0031906-0.004949i,-0.0048839-0.0045261i,-0.0025122-0.01027i,0.0035456-0.0076909i,0.0028979+0.0055012i,0.0053479-0.0098811i,0.00043928-0.0073471i,-0.002003-0.0036337i,-0.0017522-0.00065218i,-0.0076672-0.0043061i,-0.0059418+0.003196i,0.0004738-0.0010878i,0.0057752+0.026889i,-0.0095969+0.00078649i,0.0015488+0.0017342i,-0.0056154-0.002605i,0.0010141+0.00039071i,-0.013676+0.0085943i,-0.0016364+0.0035057i,-0.0018435-5.8085e-05i,-0.0025837+0.0011923i,-0.0063773-0.00075538i,-0.00024823+0.0029846i,-0.0012361+0.0021694i,-0.0016004+0.0080758i,-0.0042121+0.0017956i,-0.0044649-0.0016723i,0.0083865-0.0086375i,-0.0011705+0.020041i,-0.0283+0.0036102i,-0.012017-0.005187i,0.014064+0.013825i,0.0008594+0.018126i,-0.0094365-0.0042919i
0.0027601-0.013571i,0.0094786-0.0061642i,0.0097515+0.00028164i,0.012603-0.0072324i,0.017713-0.0078228i,0.010583-0.01858i,0.010332-0.010835i,0.01154-0.0061337i,-0.0020358-0.0091623i,-0.0014702+0.0037579i,7.0682e-05+0.00054293i,-0.00072017+0.0020165i,0.0010979+0.0035395i,0.00028695+0.0028307i,0.0012657+0.0020566i,0.00062028-8.0129e-05i,0.00069289-0.0022342i,0.00064523-0.0013232i,-0.00044368-0.0012446i,-0.00015016-0.0017137i,-0.00097865-0.003015i,-0.0016045-0.00060914i,-0.001255-0.00094053i,0.0064446-0.00056327i,-0.00036432+0.0031682i,0.00031398+0.0017517i,-0.0021955+0.0024094i,-0.0017964+0.0014826i,-0.0032399+0.0021435i,-0.0010176+0.0022803i,0.00052123-0.001423i,0.00026402+0.0004718i,0.00046373-0.00073216i,0.00054674-0.0011849i,0.00076776-0.00030787i,-0.0037796+0.011118i,-0.0017147+0.0018021i,-0.00049423+0.0012682i,-0.0019708+0.0026633i,-4.5512e-05-0.0029575i,-0.00010373-0.0010482i,-0.00045118-0.0010857i,-0.00040609+0.0028927i,0.0015397+0.00069699i,-0.0012008-0.011895i,-0.021205-0.0023248i,-0.0025248+0.00079025i,-0.0015396-0.0022515i,0.03328+0.0038259i,0.0081282+0.00039698i,0.00074994-0.017173i,-0.025718-0.023703i,-0.013098-0.011814i,0.0086322-0.023819i,0.019036+0.0047608i,-0.0011344+0.00020913i,-0.00049269+0.0021342i,-0.0055865+0.0025493i,0.0023891-0.009767i,0.01462-0.00087376i,0.0077396+0.0043929i,-0.011678-0.0020129i,0.0015016-0.0042596i,-0.0053679-0.0019327i,-0.0052565-0.0071783i,0.00093593-0.0076209i,0.004911+0.0045547i,0.0022298-0.0095091i,-0.0029604-0.0054691i,-0.001783-0.00058608i,-0.0016536-0.00095695i,-0.0095963-0.0011925i,-0.0030534+0.0039306i,-0.00023991-0.0016602i,0.016157+0.019758i,-0.0091749+0.004853i,0.0019988+0.00093119i,-0.0043987+4.4579e-05i,0.0016325-0.00082757i,-0.0073494+0.013377i,0.00022798+0.0040896i,-0.0019692+0.00066146i,-0.0020651+0.0022188i,-0.0062616+0.002378i,-0.00079179+0.0029174i,-0.00058538+0.0018241i,0.0014967+0.0075559i,-0.0031546+0.0014348i,-0.0058622-4.1131e-05i,0.005405-0.01374i,0.0081755+0.018285i,-0.026544+0.0069477i,-0.014137-0.0056672i,0.016548+0.009547i,0.0053479+0.019516i,-0.010899-0.0027221i
-6.1047e-05-0.013597i,0.0058417-0.0079795i,0.009445-0.0024092i,0.011301-0.0093073i,0.01632-0.01109i,0.0067537-0.020194i,0.0066007-0.011906i,0.010157-0.0082363i,-0.0031476-0.0084789i,-0.00091101+0.0042437i,-7.961e-06+0.0004594i,0.0001888+0.002322i,0.0014553+0.002947i,0.0007033+0.002571i,0.0016983+0.0017778i,0.00047328+0.00027449i,-0.00028244-0.0016383i,0.00045701-0.001658i,-0.00054833-0.001346i,-0.0011714-0.0018909i,-0.0019046-0.0024159i,-0.0015761-0.00038094i,-0.0017785-0.00065122i,0.005182-0.0030654i,0.0010124+0.0031621i,0.00081906+0.001794i,-0.00094933+0.0034781i,-0.0012822+0.0020669i,-0.0019005+0.003409i,3.1832e-05+0.0025796i,1.7265e-05-0.0012905i,0.00065244+0.00080506i,7.2656e-05-0.00076086i,-0.00011433-0.001182i,0.00073421-0.00042824i,-0.00015828+0.011622i,-0.00076396+0.0027845i,-0.00012396+0.0013243i,-0.00077456+0.0035203i,-0.00094657-0.0028206i,-0.00051774-0.0012486i,-0.00057043-0.0010599i,0.00028777+0.0032034i,0.0019019+0.00078313i,-0.0014762-0.012024i,-0.017354+0.00082299i,0.0010354+0.0028769i,-0.0025979-0.0061243i,0.03592-0.010255i,0.010453-0.0040083i,-0.0050112-0.014404i,-0.032047-0.017629i,-0.015515-0.006597i,0.0028435-0.030371i,0.016984-0.00032119i,-0.0019614+0.0016372i,-0.00047994+0.0043121i,-0.005181+0.0043343i,-0.0038972-0.0081496i,0.013034-0.005786i,0.009914+0.0019836i,-0.012685+0.0025106i,-9.3949e-05-0.0042022i,-0.0045082+0.00011128i,-0.0063772-0.0033616i,-0.00098362-0.0073861i,0.0060408+0.0014441i,-0.00035995-0.0090703i,-0.0040539-0.0016869i,-0.00044299+0.00098358i,-0.0021863-0.0007617i,-0.0089831+0.0029724i,-0.00086094+0.0043719i,-0.0011715-0.0016185i,0.021136+0.0094147i,-0.0062197+0.0091611i,0.0020918-0.00015082i,-0.0031265+0.0016837i,0.00059164-0.0021155i,-0.00055046+0.013168i,0.00233+0.0030692i,-0.0016869+0.0023231i,-0.00093307+0.0031698i,-0.0036416+0.0051502i,-0.00044039+0.0035426i,-0.00057696+0.0013327i,0.0046337+0.0066296i,-0.0034195+0.00079942i,-0.0066255+0.0024004i,0.0015131-0.014773i,0.017385+0.0089398i,-0.023519+0.010657i,-0.01754-0.0044328i,0.015311+0.0052184i,0.010547+0.018373i,-0.010644-0.0014569i
-0.0023-0.012988i,0.0035302-0.0077434i,0.0084501-0.0043343i,0.0098012-0.011156i,0.014368-0.013932i,0.0030238-0.021036i,0.0035441-0.011643i,0.0083894-0.009731i,-0.0039757-0.0076993i,4.4722e-05+0.0045184i,-0.00015407+0.00052761i,0.0010002+0.0021709i,0.0015938+0.002764i,0.00096841+0.0023707i,0.002067+0.0015097i,0.00072057+0.00085676i,-0.00052139-0.00093298i,2.0048e-05-0.0020497i,-0.0010898-0.0016666i,-0.0021044-0.0014671i,-0.0024779-0.0018935i,-0.0015578-9.3217e-05i,-0.0021314-5.6773e-05i,0.0031776-0.0045229i,0.002132+0.0026614i,0.0015399+0.0016195i,0.00049494+0.0037052i,-0.00063701+0.0025593i,-0.00034224+0.0039413i,0.0011181+0.002462i,-0.0002051-0.0010924i,0.00096176+0.00073843i,-0.00034405-0.00061554i,-0.00067424-0.00063649i,0.00071919-0.00046497i,0.0033412+0.011096i,0.00040866+0.0031568i,0.00018292+0.0015099i,0.00082045+0.0037879i,-0.0016471-0.0023529i,-0.00087967-0.0012643i,-0.00088632-0.0010559i,0.0011737+0.0031782i,0.0021066+0.00034897i,-0.0026128-0.012639i,-0.012787+0.0016228i,0.0057237+0.002335i,-0.0047228-0.006718i,0.031861-0.023476i,0.0099583-0.0088322i,-0.0076041-0.0098312i,-0.034833-0.0089424i,-0.015214-0.00010716i,-0.0055365-0.032908i,0.013257-0.0036442i,-0.0015071+0.0029536i,0.0022466+0.0048526i,-0.0041263+0.0057011i,-0.0065875-0.0039305i,0.0091854-0.010597i,0.010869-0.0017393i,-0.01158+0.0068212i,-0.0010219-0.0026724i,-0.003187+0.001066i,-0.0051109-0.00080967i,-0.0037517-0.0059949i,0.0054106-0.0006607i,-0.0026494-0.0077771i,-0.0027074+0.00088348i,0.0012973+0.0011079i,-0.0024419-0.00016339i,-0.006204+0.0059478i,0.0017076+0.0034477i,-0.0015922-0.00051494i,0.020753-0.00037409i,-0.0010445+0.010576i,0.0014018-0.00092902i,-0.0014036+0.0015962i,-0.0005422-0.0018178i,0.0036892+0.010671i,0.0031718+0.0017667i,5.5985e-05+0.0040508i,0.0013355+0.0036124i,8.1757e-06+0.005287i,0.00102+0.0038699i,-0.0012778+0.0014545i,0.0064956+0.003958i,-0.0043669+0.001027i,-0.0054766+0.0052999i,-0.00048799-0.014508i,0.017805-0.0056443i,-0.018117+0.010652i,-0.020232-0.0016622i,0.015009+0.0019918i,0.014854+0.01388i,-0.0115-0.0012482i
-0.0041368-0.012126i,0.0025224-0.0076729i,0.0076161-0.0058794i,0.0080616-0.013091i,0.012116-0.016483i,-0.0009939-0.021371i,0.0016322-0.010693i,0.006559-0.010883i,-0.0044121-0.0070753i,0.0008048+0.0044936i,-0.0001635+0.00084279i,0.0017097+0.0019056i,0.0020967+0.0028215i,0.0013487+0.0023677i,0.002494+0.0010546i,0.001479+0.0012949i,-0.00030197-0.00056245i,-0.00070685-0.0022886i,-0.0020071-0.0015247i,-0.0027405-0.00069621i,-0.0028957-0.0012611i,-0.001376+0.00012803i,-0.0021926+0.0006522i,0.00070075-0.0051084i,0.0031223+0.0017679i,0.0021745+0.0010194i,0.0019174+0.003317i,0.0003573+0.0029639i,0.0012322+0.0038153i,0.0020163+0.001814i,-0.00043143-0.0010031i,0.0013869+0.0006313i,-0.00050285-7.9385e-05i,-0.00064157+1.4419e-05i,0.00072583-0.00070346i,0.0063736+0.0094844i,0.0018468+0.0029578i,0.00080872+0.001667i,0.0023348+0.0032257i,-0.0020223-0.0018076i,-0.0014219-0.0011197i,-0.0012871-0.0009342i,0.0019427+0.0029601i,0.0022007+7.7074e-05i,-0.0040222-0.01321i,-0.0091286+0.00029685i,0.009382-0.001049i,-0.006076-0.0061775i,0.024164-0.033733i,0.0074843-0.012169i,-0.0074567-0.0054446i,-0.033304+8.2184e-05i,-0.010533+0.006615i,-0.013731-0.0309i,0.009879-0.00495i,-0.0004401+0.0036922i,0.0039583+0.0034968i,-0.0027258+0.007157i,-0.007253-0.00054833i,0.0029832-0.013765i,0.0091098-0.006078i,-0.0093968+0.0099044i,-0.00047825-0.0018336i,-0.0022919+0.0011306i,-0.0039369-3.0753e-05i,-0.0046508-0.0033364i,0.0041947-0.0017397i,-0.0040516-0.005921i,-0.00050736+0.0015451i,0.0026628-0.00032089i,-0.0023872+0.00076673i,-0.0033405+0.0069688i,0.0024469+0.0015484i,-0.00096283+0.00049762i,0.017152-0.0080036i,0.0034659+0.0096091i,0.00091889-0.00072933i,-0.00078499+0.0014271i,-0.0010963-0.00076502i,0.0066431+0.0077426i,0.0041182+0.00063816i,0.0029168+0.0038727i,0.0029311+0.0021391i,0.0028482+0.0038223i,0.0021514+0.0035886i,-0.0013369+0.0027375i,0.0068679+0.0016121i,-0.0055238+0.0018373i,-0.0029592+0.0067307i,-0.0019479-0.015063i,0.010207-0.015687i,-0.015581+0.0067284i,-0.022813+0.002744i,0.012982-0.0031144i,0.016331+0.0091291i,-0.012658+0.00035725i
-0.0058186-0.010907i,0.0011493-0.0079702i,0.0062235-0.008128i,0.0055042-0.015072i,0.0092653-0.018866i,-0.0053215-0.020566i,0.00056448-0.0099855i,0.0047429-0.011974i,-0.0048233-0.0065695i,0.0014825+0.0048696i,-0.00012184+0.0010252i,0.002065+0.0010397i,0.0027914+0.0025655i,0.001749+0.0022376i,0.0027488+0.00050019i,0.0023633+0.0010861i,-0.00030463-0.00047852i,-0.0016894-0.0022526i,-0.0026053-0.00082568i,-0.0032209+0.00032253i,-0.0033928-0.00056684i,-0.0012352+0.00011691i,-0.0020396+0.0013502i,-0.0017307-0.004546i,0.0036754+0.00013819i,0.0024189+0.00020195i,0.0028126+0.0024711i,0.0015688+0.0028039i,0.0027798+0.0030193i,0.0025474+0.0008404i,-0.0006106-0.00087967i,0.0016228+0.00026953i,-0.00041711+0.00036968i,-0.00032408+0.00045421i,0.00051296-0.0010586i,0.0086235+0.0069246i,0.0029491+0.0020417i,0.001481+0.001336i,0.003586+0.0020694i,-0.0021783-0.001292i,-0.0019297-0.00060522i,-0.00156-0.00052797i,0.0028687+0.0023983i,0.0021187-0.00023578i,-0.0060315-0.013488i,-0.0069267-0.0019381i,0.010838-0.0054268i,-0.0058379-0.0045059i,0.014017-0.040377i,0.0043712-0.01385i,-0.0058685-0.0033103i,-0.028221+0.0063851i,-0.0026211+0.0090584i,-0.019757-0.025785i,0.0074337-0.0051038i,0.00069677+0.0036025i,0.0040853+0.0014734i,-0.00040151+0.0077151i,-0.007175+0.0026214i,-0.0047382-0.012726i,0.0055783-0.0083295i,-0.0065623+0.012142i,-4.5404e-05-0.0024491i,-0.001896+0.0011931i,-0.0036339+8.9794e-05i,-0.0043064-0.0012959i,0.0033352-0.0019359i,-0.0049022-0.0046239i,0.00060036+0.0010761i,0.0025803-0.0026189i,-0.0019205+0.0016152i,-3.5182e-05+0.0071147i,0.0020685+0.00014149i,-0.00036516+0.00018553i,0.011272-0.012633i,0.0070369+0.0070065i,0.0012414-0.00065378i,0.00032246+0.00074306i,-0.00051321-0.00022109i,0.0079674+0.0044333i,0.0048828-0.0017515i,0.0048397+0.0022934i,0.0033791+0.00083726i,0.0041972+0.0014116i,0.0036921+0.0029075i,-0.0001133+0.0040031i,0.0065713-0.00048467i,-0.0061169+0.0038294i,-0.00062298+0.006584i,-0.003542-0.014915i,-7.9782e-05-0.021701i,-0.018302+0.0033793i,-0.022399+0.0085335i,0.0067402-0.0058379i,0.017052+0.0048529i,-0.01231+0.0018926i
-0.0066768-0.0094701i,0.00051261-0.0074951i,0.0038258-0.0094589i,0.0020516-0.016217i,0.0057915-0.020626i,-0.0089343-0.018521i,0.00010241-0.0095918i,0.0027334-0.012724i,-0.0051466-0.0063823i,0.0029797+0.0051498i,4.9622e-05+0.0014865i,0.0019781+0.00049665i,0.0034941+0.0020497i,0.0023028+0.0020776i,0.0028752-0.00018283i,0.0029475+0.00070995i,-0.00058879-0.00033952i,-0.0026191-0.0015588i,-0.0027173-8.6634e-05i,-0.0030912+0.0017185i,-0.003594+0.00057044i,-0.0015639+2.7517e-05i,-0.0015965+0.0020266i,-0.0035925-0.0029014i,0.003151-0.0014193i,0.0023023-0.000647i,0.0036394+0.0013141i,0.002619+0.0021398i,0.0037014+0.001548i,0.0025699-0.00014136i,-0.00079144-0.00072269i,0.0016509-0.00044919i,8.015e-05+0.00072485i,0.00015581+0.00057781i,1.0628e-05-0.0010263i,0.0098244+0.003758i,0.0035364+0.00073089i,0.0019371+0.00080235i,0.0042193+0.00044885i,-0.002299-0.00069493i,-0.0021275+0.00020376i,-0.0016576-0.0001508i,0.0034178+0.0014052i,0.0020243-0.0004998i,-0.0082446-0.013226i,-0.0060466-0.0051662i,0.010123-0.0096489i,-0.0041677-0.0042486i,0.0032349-0.042534i,0.00098331-0.014064i,-0.0046457-0.0021938i,-0.023105+0.0088684i,0.0054436+0.0070439i,-0.022137-0.019265i,0.0062258-0.0053206i,0.0018926+0.0028795i,0.0035743+0.00040977i,0.0023665+0.0072082i,-0.0054773+0.0059667i,-0.010296-0.0075015i,0.001918-0.0086425i,-0.0032502+0.013363i,-0.0012021-0.0033372i,-0.0017376+0.0013859i,-0.0037288+0.00069007i,-0.0033051+5.3039e-05i,0.0022654-0.0021322i,-0.0056559-0.0029667i,0.001336+0.00037984i,0.00011789-0.0041619i,-0.00091409+0.0022494i,0.0029263+0.0054113i,0.0022184-0.0006114i,-0.00026124-4.1815e-05i,0.0048134-0.014154i,0.0088814+0.003137i,0.0013989-0.0014102i,5.9326e-05-0.00022381i,0.00020593-7.9192e-05i,0.007676+0.0014244i,0.0036724-0.0046087i,0.0061117+3.7598e-05i,0.0038302-0.00038276i,0.0044623-0.00093156i,0.0045868+0.0013723i,0.001684+0.0040818i,0.0053468-0.0022305i,-0.0055072+0.0063669i,0.0011738+0.0055821i,-0.0041701-0.014614i,-0.012425-0.022488i,-0.022258+0.0041284i,-0.018768+0.013522i,0.0020036-0.0037046i,0.015914-0.00022669i,-0.011814+0.0022284i
-0.0070121-0.0086578i,0.00044983-0.0081261i,0.0017532-0.0096147i,-0.0013392-0.016034i,0.0021548-0.021691i,-0.011501-0.016182i,4.0606e-05-0.010087i,0.00061664-0.013182i,-0.0057008-0.0062379i,0.0047565+0.0044493i,0.00070511+0.0018075i,0.0018759+0.00031015i,0.004137+0.0011123i,0.0028875+0.0015676i,0.0027802-0.00091825i,0.0035882+0.00041824i,-0.00062899-1.0373e-05i,-0.002954-0.0006539i,-0.0027996+0.00057226i,-0.0022876+0.0027383i,-0.0033773+0.0016086i,-0.0019431+0.00052071i,-0.0008774+0.0024889i,-0.0045766-0.00054996i,0.0022216-0.0022903i,0.0019086-0.0013756i,0.0038603-0.00024834i,0.0033994+0.0010444i,0.0037038+0.00015i,0.0023294-0.0010156i,-0.0008797-0.00040638i,0.0010614-0.00094451i,0.00071614+0.00058998i,0.00060717+0.00048178i,-0.00029196-0.00072175i,0.0096006+0.00056206i,0.003464-0.00071973i,0.0022762+0.0001133i,0.0039726-0.001334i,-0.0021612+2.5217e-05i,-0.0017632+0.00099082i,-0.001742+0.00026146i,0.0034172+0.00026813i,0.0018746-0.00073041i,-0.010501-0.012391i,-0.0083306-0.0080281i,0.0078012-0.012774i,-0.0034164-0.0053951i,-0.0058777-0.041697i,-0.0012552-0.012148i,-0.003198-0.0012858i,-0.019002+0.01059i,0.010474+0.002018i,-0.021355-0.013589i,0.004767-0.0063157i,0.0025399+0.0012592i,0.0036152-0.00054714i,0.0047204+0.005216i,-0.002385+0.0071644i,-0.011878-0.001439i,-0.0012962-0.0078918i,0.0005214+0.013125i,-0.0028974-0.0032033i,-0.0019894+0.0020795i,-0.0034926+0.0018424i,-0.002555+0.00086472i,0.0018351-0.0012064i,-0.0057391-0.00088663i,0.0011878-0.00065983i,-0.0021761-0.0033238i,0.00023279+0.0022624i,0.0039967+0.0028198i,0.0024412-0.0020069i,-6.4288e-05+0.00021686i,-0.00047596-0.013038i,0.0089297-0.00091921i,0.00080379-0.0021189i,-0.00026657+3.2498e-05i,0.00098063-0.0005221i,0.0070744-0.00057092i,0.00084537-0.0060641i,0.0061508-0.0029431i,0.0034387-0.0023127i,0.0035133-0.0035854i,0.005033-0.00012235i,0.0029217+0.0034527i,0.0036322-0.0026476i,-0.0036584+0.0079837i,0.0021675+0.0039307i,-0.0041671-0.015206i,-0.023426-0.01674i,-0.025197+0.0071104i,-0.013781+0.015089i,0.0009962-0.0013804i,0.012678-0.003823i,-0.013075+0.0027117i
-0.0078652-0.0080703i,-0.00034334-0.0094169i,0.00025793-0.0094889i,-0.0042591-0.015005i,-0.0017338-0.022275i,-0.013792-0.013737i,-0.0006324-0.011776i,-0.0016098-0.013409i,-0.0065486-0.0059786i,0.0060749+0.003149i,0.0015972+0.0016565i,0.0019143+0.00027403i,0.0043714-0.00013513i,0.0034514+0.0008932i,0.0024282-0.0016376i,0.0041473-0.0002877i,-0.00057547+0.00031694i,-0.0030606+0.00019093i,-0.0026806+0.0014572i,-0.0012437+0.0033322i,-0.00286+0.0026905i,-0.0019171+0.0013243i,-0.00013317+0.0026049i,-0.0042196+0.0019051i,0.0012521-0.0027655i,0.001263-0.0018502i,0.0033561-0.0017253i,0.0035621-0.00036141i,0.0033983-0.0010644i,0.0017866-0.0018486i,-0.0007748-0.00021552i,0.00060732-0.00090151i,0.0010611+0.00017605i,0.00096721-1.8026e-05i,-0.00027032-0.00048396i,0.0085067-0.0020806i,0.003007-0.001918i,0.0023836-0.00079496i,0.0030036-0.0027739i,-0.0016353+0.00062558i,-0.001261+0.0015782i,-0.0016541+0.00079406i,0.0029707-0.00052665i,0.0016231-0.00063323i,-0.012674-0.011113i,-0.011843-0.0080456i,0.0051497-0.014321i,-0.0037235-0.0056923i,-0.014157-0.039979i,-0.0012313-0.010014i,-0.001478-0.0013945i,-0.014213+0.011479i,0.013696-0.0044405i,-0.018607-0.010111i,0.003088-0.0070159i,0.0017263-0.0010191i,0.0033004-0.0018178i,0.0051256+0.0024318i,-0.000405+0.0068203i,-0.010983+0.0042187i,-0.0039757-0.0060788i,0.0033469+0.010866i,-0.0044896-0.0016156i,-0.0015736+0.0033535i,-0.0028341+0.0028908i,-0.0012616+0.0010666i,0.0026252+4.226e-05i,-0.0047455+0.00055875i,0.00078244-0.0005818i,-0.0029801-0.0019166i,0.0011972+0.0017976i,0.0038808+0.00090422i,0.00077387-0.0034532i,0.00032579+7.2755e-05i,-0.0047005-0.010879i,0.0075475-0.0042147i,0.00013516-0.0023282i,0.00026567+8.8649e-06i,0.00089276-0.0014799i,0.0066051-0.0023207i,-0.0018478-0.0056974i,0.0044367-0.0057383i,0.0018607-0.0032953i,0.0011186-0.0048322i,0.0049426-0.0019462i,0.0039924+0.0026333i,0.0030713-0.0025989i,-0.00090903+0.0085518i,0.0018942+0.0022018i,-0.0047423-0.016941i,-0.028165-0.0066847i,-0.027311+0.011941i,-0.009811+0.015271i,0.00018503+0.00031232i,0.0092967-0.0050196i,-0.013742+0.0046009i
