-0.033205-0.037626i,-0.021481-0.020494i,-0.013147-0.035735i,-0.030292-0.019724i,-0.021933+0.00040253i,-0.013697-0.0057209i,-0.055958-0.058378i,-0.047535-0.017052i,-0.039921-0.015384i,0.012333+0.011475i,-0.0075811+0.0049034i,-0.018945+0.019116i,0.002431+0.011061i,-0.0057283-0.0019417i,0.00012064+0.0013817i,-0.0016783+0.030792i,0.027501+0.023625i,0.0022327-0.0023228i,-0.0023669-0.0070047i,0.0069768+0.0019733i,0.0027945+0.0010345i,0.0007353+0.0047402i,-0.00030812+0.00020912i,-0.034577-0.0099841i,0.00041385-0.0078173i,0.0016108+0.0023311i,0.0068417+0.0011695i,0.0018169+0.00053502i,0.0010912-0.00036995i,-0.00053594-0.0026001i,0.0012553-0.0025547i,-0.0013213-0.0063261i,-0.00099789-0.0051107i,0.0029329-0.00072778i,0.0043853-0.002799i,0.00034205+0.029545i,0.0041797-0.0036434i,0.0029293-0.0016824i,0.0076264-0.0017608i,-0.0074056-0.0027113i,-0.00025275+0.0007797i,0.008104+6.193e-05i,0.0046442-0.0024093i,-0.0013006+0.0081827i,-0.017503-0.0075143i,-0.018431+0.015924i,-0.0039225-0.061584i,-0.0051665-0.027262i,-0.027176-0.031994i,-0.011487-0.026429i,0.055105-0.020959i,0.016537-0.043199i,0.022922-0.048422i,0.0044733-0.054174i,0.026631-0.021743i,0.0082832+0.0056965i,0.025859-0.034009i,-0.007311-0.0067084i,0.0037397-0.0051479i,-0.0049016-0.0072795i,-0.0012316-0.033108i,-0.017829+0.029984i,0.0088513-0.011765i,-0.0094275-0.0044394i,-0.0043384-0.0010867i,0.00091148-0.013176i,-0.011467+0.0043685i,0.002559+0.010234i,-0.0049534+0.026374i,0.0052661+0.00275i,-0.0056692-0.0019028i,-0.0020906-0.0021095i,-0.012631-0.0083907i,-0.00062248-0.0039979i,-0.028321+0.011421i,0.00078489-0.010886i,-0.008566-0.00056727i,-0.0069772-0.0025548i,0.0048927+0.0012347i,-0.0082309-0.00016855i,0.0022481+0.00036489i,0.0039667+0.0071908i,0.0043976+0.00049234i,-0.0075724-0.011192i,0.0030309+0.0093941i,-0.015359+0.0049457i,0.0070412-8.8316e-05i,-0.021996-0.00075094i,-0.017469+0.0064236i,-0.0059221-0.065615i,0.0077374-0.013423i,-0.049939-0.022409i,-0.021475+0.0010804i,0.01703+0.010868i,-0.023163+0.015465i,-0.018767-0.0041131i
0.027373+0.033763i,0.014451+0.015155i,0.018165+0.024417i,0.0072094+0.018641i,0.0085563+0.0071237i,0.0044281-0.0010169i,0.015468+0.01164i,0.015716-0.0019795i,0.0084158-0.0088493i,0.0021754+0.0039557i,0.001758-0.0026698i,0.00025692-0.0052418i,-0.0018027+0.00077928i,0.0012845-0.0015669i,0.0018353-0.00061507i,0.0055172-0.002612i,0.0061571-0.006309i,0.00018241+0.00018401i,-0.0048028-1.8612e-05i,-3.6336e-05+0.00054656i,-0.00086951-0.0010415i,-0.0026255-0.00096681i,-0.0015565+0.00082319i,0.0041312+0.0094748i,-0.00097458+0.0011807i,0.00049009+0.0015022i,0.0012524+0.00086849i,-0.0016776+0.0027325i,-0.00089887+0.00035122i,-0.0014436+0.00048437i,-0.0013581-0.0013951i,-0.0032201-0.00041695i,-0.00013409+0.00014456i,0.00027532+0.00030448i,-0.00011805-0.00083237i,-0.0096552+0.0087643i,0.0016488-0.00020641i,0.000739+0.0010282i,0.0025924+0.0024845i,0.00023036-0.0010851i,-0.00062422-0.00080567i,-0.00099981-0.0021374i,0.00088737+0.00087522i,-0.00075149+0.0011922i,0.020365+0.011954i,-0.023237+0.013737i,-0.011117+0.016521i,-0.022734+0.011755i,-0.0028574+0.037544i,-0.020596+0.013235i,0.0021525-0.004713i,-0.01199-0.017095i,-0.018674-0.00044144i,-0.0070848+0.014708i,0.017441+0.020556i,-0.00028311+0.0025381i,-0.0035394+0.0011634i,-0.012485-0.0044434i,0.011253+0.0010866i,0.012022+0.0098723i,-0.00048038+0.0054701i,-0.0050864-0.0073558i,0.005576-0.0028398i,-0.0033154-0.0040789i,0.0036405-0.0084242i,0.0088931-0.0030628i,-0.0014707+0.010456i,0.012147-0.0065852i,0.0041423-0.0078031i,0.0025818-0.0093824i,0.0022651+0.00081872i,-0.0020863-0.0052287i,-0.0038072-0.0015108i,0.0025604-0.00011211i,-0.0038316+0.03504i,-0.0087761-0.0060768i,9.7006e-05+0.001034i,-0.0019763-0.0072764i,0.0031288-0.00026377i,-0.016748-0.0059258i,-0.0011689-0.0036363i,0.0027078-0.0022856i,0.0034239-0.001578i,-0.0027922-0.007198i,-0.00013619+0.0068789i,6.5951e-05+0.0031326i,-0.0034798+0.0047952i,-0.0071261+0.0021254i,-0.0058887-0.0011343i,-0.004071+0.027561i,-0.0024862+0.01491i,-0.026727-0.013377i,-0.0014292-0.0027973i,0.013787+0.017872i,-0.00052456+0.018206i,-0.00095656-0.0041346i
0.032812+0.027536i,0.016964+0.011498i,0.02228+0.020896i,0.010189+0.01819i,0.010516+0.0059048i,0.0045385-0.0024027i,0.015298+0.007957i,0.015079-0.0047387i,0.0061397-0.010338i,0.0033545+0.0029159i,0.0014978-0.0027584i,-0.0016451-0.0034456i,-0.0012408+0.0011819i,0.00099239-0.0005017i,0.0016778-0.00087355i,0.0042626-0.0030442i,0.0039739-0.0069442i,0.00065007+8.7328e-05i,-0.0034612-0.00070483i,0.00032365+2.7047e-05i,-0.00093241-0.0012007i,-0.0027775-0.00040333i,-0.0012181+0.00093841i,0.0091997+0.0070664i,-0.00090815+0.0023331i,0.0012711+0.0011221i,0.0010519+1.7089e-06i,-0.00061501+0.0029516i,-0.0011739+0.00084059i,-0.0012551+0.0011355i,-0.001943-0.00072247i,-0.0024006-0.00041291i,-0.00027954+0.00011093i,0.00051828-1.1191e-05i,-0.00066487-0.00018321i,-0.006049+0.010445i,0.0011359-0.00078043i,0.00094761+0.00094571i,0.0024527+0.0010321i,1.5858e-05-0.0010278i,-0.0011275-0.00098709i,-0.00088366-0.0012652i,0.00068023+0.00083104i,-0.0010388+0.0014085i,0.022922+0.0086405i,-0.018296+0.016955i,-0.010191+0.019084i,-0.017759+0.013402i,0.0086364+0.033303i,-0.011882+0.015697i,-0.004616-0.0080314i,-0.0195-0.017845i,-0.021201-0.00014653i,-0.00056692+0.010225i,0.021398+0.013355i,-0.00090478+0.0021872i,-0.0021024+0.0046939i,-0.012594-0.00018921i,0.0099044-0.0030031i,0.013724+0.0063828i,0.0026365+0.0081121i,-0.0091119-0.0059491i,0.0020924-0.0040901i,-0.0034743-0.0019431i,-0.0013886-0.0079409i,0.0068305-0.0055464i,0.0032518+0.0085351i,0.0069919-0.0092024i,0.00062428-0.0081758i,-0.0014017-0.0062304i,0.0037002-3.8658e-05i,-0.0035929-0.0047242i,-0.0021497+0.0010048i,0.0031367-0.00064021i,0.012986+0.029986i,-0.009531-0.0044915i,0.00097575+0.00038636i,-0.0047895-0.0056064i,0.0038589-0.0017445i,-0.017157+0.0019302i,-0.0020289-0.0032152i,0.0013268-0.0021364i,0.0031741-0.0030105i,-0.0046744-0.0052978i,0.0021858+0.002915i,0.0012624+0.0025775i,5.1582e-05+0.0062198i,-0.0049775+0.0046274i,-0.0067025-0.00022495i,0.0015773+0.023682i,0.00023123+0.016328i,-0.029228-0.0053707i,-0.002926-0.0064551i,0.016288+0.015437i,0.003179+0.019395i,-0.0032657-0.0044376i
0.036163+0.020439i,0.018019+0.0067679i,0.026498+0.015341i,0.014603+0.015622i,0.012745+0.0039964i,0.0041886-0.0040981i,0.014471+0.0044229i,0.014027-0.0076708i,0.0041508-0.010647i,0.0034172+0.0015065i,0.00078195-0.003535i,-0.0017155-0.0015908i,-0.00077942+0.0014072i,0.0017694-0.00050699i,0.0014283-0.0011364i,0.0031408-0.0033316i,0.0018404-0.0074211i,0.0006185-0.00034156i,-0.002478+0.0015463i,6.198e-05-0.0006812i,-0.0017122-0.0016893i,-0.0024414+0.00026709i,-0.0010039+0.0010246i,0.010771+0.0014802i,0.00023895+0.0030066i,0.0014148+0.00023789i,0.00050167-0.00027146i,0.00056699+0.0026506i,-0.0007846+0.0014918i,-0.00077812+0.0016185i,-0.0021872+0.00030544i,-0.002718+0.0017319i,-0.00033822+0.00013165i,0.00054626-0.00021538i,-0.00059555+0.00055739i,-0.0028901+0.010732i,0.00063791-0.00080269i,0.0012812+0.00048841i,0.002021+0.00039407i,-0.00030978-0.0010769i,-0.0018995-0.00072103i,-0.00090744-0.00098237i,0.00085582+0.0010539i,-0.0011502+0.0020747i,0.026085+0.0041998i,-0.013345+0.018761i,-0.0070327+0.022431i,-0.012203+0.01277i,0.018826+0.025742i,-0.0055673+0.016846i,-0.011723-0.006961i,-0.026384-0.015394i,-0.02231+0.0042052i,0.0027232+0.0039557i,0.020799+0.0054317i,-0.0015257+0.0021741i,-0.00069366+0.0045906i,-0.012582+0.0032114i,0.0059683-0.0075683i,0.014372+0.0023392i,0.0060803+0.0080616i,-0.012373-0.002911i,0.00034627-0.0029067i,-0.0032954-0.00017473i,-0.0038248-0.0052555i,0.0047226-0.0066969i,0.0060974+0.0074456i,0.0040669-0.0089392i,-0.0052609-0.0071143i,-0.0014653-0.0031093i,0.0042187-0.0024811i,-0.0065817-0.0031356i,-0.00013685+0.00083166i,0.0027064-0.0019194i,0.025208+0.018505i,-0.010847-0.00098006i,0.0015391-0.00026413i,-0.0044187-0.0034089i,0.0041383-0.0037027i,-0.013223+0.0085217i,-0.0020755-0.0020999i,0.00051584-0.0021907i,0.0015677-0.0035646i,-0.0053616-0.0025576i,0.0011421+0.0018523i,0.0020307+0.0015421i,0.0029286+0.0050713i,-0.0026705+0.0050055i,-0.0073385+0.0015012i,0.0041262+0.019523i,0.0075604+0.015687i,-0.028501-1.139e-05i,-0.0054927-0.0088276i,0.019343+0.010528i,0.0079636+0.019752i,-0.0051943-0.0036801i
0.037569+0.013732i,0.017077+0.003173i,0.028046+0.0085261i,0.017436+0.010547i,0.014317+0.00083965i,0.0029771-0.0055455i,0.013009+0.0020938i,0.011971-0.010361i,0.0026957-0.011016i,0.002909+0.00087694i,-0.00049234-0.0030701i,-0.00097292-0.00069151i,-0.00061656+0.0015463i,0.0017431-0.00062801i,0.0010122-0.0012872i,0.0019132-0.003117i,-0.00020658-0.0066407i,0.00042027-0.00043071i,-0.0013657+0.0024755i,-0.00060557-0.00086105i,-0.0024525-0.00075669i,-0.0022922+0.00073384i,-0.00078977+0.0011312i,0.0094491-0.0035753i,0.0015178+0.002971i,0.0011568+3.7629e-05i,0.00014555-0.00014498i,0.0011325+0.0019502i,-0.00012892+0.0015509i,-0.00011937+0.0018331i,-0.0018395+0.0013882i,-0.0016665+0.0022991i,-0.00031124+0.00024193i,0.00035319-0.00033368i,-0.0001707+0.00089523i,0.00052147+0.010551i,0.00041949-0.00085472i,0.0012161-0.00027905i,0.0016912+0.0004743i,-0.00077357-0.00076909i,-0.0019511-6.9314e-05i,-0.0015208-0.0010555i,0.0012417+0.0011084i,-0.00067572+0.0029646i,0.027601-0.0023626i,-0.0081813+0.019904i,-0.0021268+0.024885i,-0.0098573+0.0098975i,0.02596+0.01392i,0.00060318+0.013474i,-0.018062-0.0021156i,-0.033018-0.0094496i,-0.023992+0.012078i,0.0021087-0.002389i,0.018699-0.00045797i,-0.001761+0.0032155i,0.00031879+0.005995i,-0.011944+0.0069954i,-0.00036605-0.007501i,0.013779-0.002397i,0.009569+0.0059569i,-0.014014+0.0011569i,-0.0008055-0.0021193i,-0.0025321+0.0011i,-0.0049107-0.0018036i,0.0026839-0.0076035i,0.0085365+0.0038195i,0.0024222-0.0087991i,-0.0065694+0.00029302i,-0.00042319-0.0018839i,0.0027638-0.0047046i,-0.0069208-0.00025166i,0.00087414+0.00050969i,0.0017693-0.0027332i,0.027078+0.0005117i,-0.0097503+0.0044773i,0.0017781-0.0012798i,-0.0041339-0.0017631i,0.0023844-0.0062838i,-0.0074217+0.010611i,-0.0016437-0.0015165i,-0.00014481-0.001509i,0.0004075-0.0036426i,-0.0047496-0.00085926i,0.00078611+0.0020358i,0.0017918+0.00031229i,0.004546+0.0038411i,-0.00085149+0.0039544i,-0.0073889+0.0033638i,0.0050634+0.017673i,0.01576+0.0087048i,-0.025942+0.0049964i,-0.010427-0.010256i,0.018475+0.0047926i,0.012786+0.018072i,-0.0054946-0.0026228i
0.038616+0.0073825i,0.01665+0.0010075i,0.027791+0.0026905i,0.018483+0.005457i,0.014593-0.0026605i,0.0016348-0.0063666i,0.011901+0.0010996i,0.0094821-0.012429i,0.0013882-0.011556i,0.0028131+0.00044056i,-0.00058498-0.0020088i,-0.00037223-0.00063339i,-0.00039005+0.0019391i,0.0017348-0.0010218i,0.00068662-0.0012063i,0.0014209-0.0022719i,-0.0012128-0.0056248i,0.00021061-0.00040416i,-0.00035898+0.0022921i,-0.0011739-0.00058474i,-0.0025266-6.1904e-05i,-0.0018247+0.0013211i,-0.00050797+0.0012771i,0.0065151-0.0067225i,0.0026753+0.002481i,0.00025219-0.00091488i,-0.00010541-5.0861e-05i,0.0013896+0.001374i,0.00024898+0.0014994i,0.00070918+0.001769i,-0.0010224+0.0021222i,-0.0012073+0.0026225i,-0.000479+0.00035i,0.00029993-5.2968e-05i,0.00046729+0.0010582i,0.0033886+0.0088778i,3.7836e-05-0.00083501i,0.00071091-0.00058972i,0.0018904+0.00023209i,-0.00082832-0.00026004i,-0.0020797+0.00026737i,-0.0020656-0.00065601i,0.0014894+0.00067074i,1.2205e-06+0.0030677i,0.026477-0.0093183i,-0.0024632+0.019415i,0.0042896+0.024929i,-0.0094061+0.0093566i,0.026925+0.0011007i,0.0028567+0.0083583i,-0.020289+0.0060426i,-0.035646+0.00042675i,-0.022718+0.016451i,-0.001827-0.0065391i,0.014419-0.0048437i,-0.0011181+0.0041827i,0.0036574+0.0058568i,-0.0094945+0.010306i,-0.0035271-0.0041905i,0.010951-0.0080523i,0.012181+0.0021645i,-0.015294+0.0061746i,-0.00096696-0.00038938i,-0.0014146+0.0017298i,-0.0031832+0.00045221i,-0.00049297-0.0071329i,0.0087472+0.00041133i,0.00038863-0.0090164i,-0.0032546+0.0032318i,0.00048902-0.0020569i,0.00045808-0.0057287i,-0.0044272+0.0022361i,0.0020827-0.00035239i,0.00097386-0.0027316i,0.019984-0.010018i,-0.005788+0.0077896i,0.001222-0.0023743i,-0.0033096-0.0015049i,-0.0005304-0.0071038i,-0.0031438+0.010205i,-0.0016154-0.0017482i,-5.9245e-05-0.00034611i,4.6352e-05-0.0031351i,-0.0041003+0.00083777i,0.0014383+0.0022303i,0.0008285-0.00022385i,0.0052866+0.0011499i,-0.0010265+0.0022264i,-0.0065293+0.0057289i,0.0074975+0.016832i,0.017331-0.0039435i,-0.021605+0.006203i,-0.015609-0.0085044i,0.01697+0.00070677i,0.017087+0.013114i,-0.0063273-0.0027751i
0.0385+0.00064361i,0.01683-0.0015354i,0.027256-0.0028216i,0.018731+0.00021708i,0.014433-0.005912i,0.00011057-0.0068762i,0.012099+0.00040562i,0.0069516-0.013839i,-0.00021846-0.012316i,0.0022487+3.2854e-05i,-0.00064992-0.0021306i,-1.4226e-05-0.00062931i,0.00042405+0.0024909i,0.0015235-0.0011049i,0.00056907-0.0012056i,0.0017283-0.0015623i,-0.002015-0.0055056i,0.00019877-0.00045029i,0.00026843+0.0018215i,-0.0014796-0.0001058i,-0.0020632+0.00048823i,-0.0010027+0.001457i,-0.00016718+0.0013317i,0.0032299-0.0076084i,0.0037247+0.0013646i,0.00023214-0.00083838i,-0.00024107+9.5968e-05i,0.0015239+0.00092112i,0.00066158+0.0013935i,0.0013003+0.0012182i,4.5285e-05+0.002376i,5.0382e-05+0.0031827i,-0.00042867+0.00073407i,0.00046033-6.4091e-05i,0.00087444+0.00071563i,0.0045618+0.006686i,-0.00030223-0.00056447i,0.00045415-0.00060055i,0.0017756-0.00010049i,-0.00054443+7.1482e-05i,-0.0020124+0.0010002i,-0.0024127-2.6269e-05i,0.0015242+0.00036121i,0.00040498+0.0034119i,0.02367-0.015342i,0.0025564+0.017024i,0.010105+0.022636i,-0.008295+0.0098109i,0.023651-0.01033i,0.0023169+0.0049164i,-0.01766+0.014434i,-0.033102+0.010985i,-0.01732+0.023124i,-0.0068463-0.006402i,0.01043-0.0063686i,7.0014e-05+0.0046295i,0.0056886+0.0034374i,-0.0055214+0.01285i,-0.0045334-0.0013799i,0.0050643-0.012603i,0.012212-0.0030049i,-0.011663+0.011966i,0.00014053+0.00035886i,-0.00041792+0.0017273i,-0.0015926+0.00081366i,-0.0023066-0.0051925i,0.0072623-0.0019837i,-0.0018748-0.0079309i,-0.00015+0.0039015i,0.00065211-0.0030798i,-0.0018029-0.0051877i,-0.0025805+0.0029926i,0.0022002-0.0021954i,0.0007235-0.0026774i,0.0073101-0.014923i,-0.0014353+0.008224i,0.00016241-0.0025985i,-0.0035456-0.00099509i,-0.0036-0.0063183i,2.6921e-05+0.0095152i,-0.0014233-0.0003146i,0.0012342-3.7827e-05i,-0.00046936-0.0039869i,-0.0021088+0.0018125i,0.0023452+0.0010478i,2.1836e-05+0.0003742i,0.0086957+0.0008041i,-0.0022301+0.0013219i,-0.0042852+0.0071764i,0.010285+0.015114i,0.011115-0.013777i,-0.019716+0.003417i,-0.020173-0.0040751i,0.013707-0.0039214i,0.017885+0.0076672i,-0.0071138-0.0020758i
0.037165-0.0061365i,0.016134-0.0045432i,0.024864-0.0091489i,0.01678-0.0057304i,0.013659-0.0095408i,-0.0015986-0.0068419i,0.013107-0.00093185i,0.0042121-0.014994i,-0.0022766-0.01261i,0.0015872+0.00031371i,-0.0013243-0.0017861i,-9.5731e-06-0.001399i,0.0013969+0.0023817i,0.0012504-0.0013452i,0.00035726-0.0012115i,0.0023833-0.001649i,-0.0033457-0.0051504i,-7.5911e-05-0.00055731i,0.00069897+0.0012331i,-0.0017171+0.00049143i,-0.0020531+0.00048559i,-0.00027869+0.0010356i,0.00012234+0.001272i,0.0012288-0.007002i,0.0039814-0.0007667i,0.00021885-0.00077581i,-0.0005113+0.00031205i,0.0015622+0.00055892i,0.001153+0.0010184i,0.00149+0.0005172i,0.0011644+0.0021189i,0.0014562+0.0032332i,-0.00039605+0.00096966i,0.00055905-0.00019559i,0.00092997+0.00030263i,0.0057731+0.0050586i,-0.0004844-0.00031352i,0.00014064-0.0006422i,0.0019223-0.00033137i,-0.00016474+0.00012398i,-0.0016502+0.0015859i,-0.0022822+0.00093628i,0.0015207+9.4175e-05i,0.0013092+0.0045175i,0.019543-0.020401i,0.0061773+0.013614i,0.014823+0.018847i,-0.0057655+0.0107i,0.01659-0.019232i,0.0010764+0.0033856i,-0.011416+0.019569i,-0.025874+0.018497i,-0.0078495+0.026693i,-0.010226-0.0032353i,0.0073787-0.0065171i,0.0013691+0.0044433i,0.0054151+0.00046032i,-0.00094585+0.013468i,-0.0051874+0.0011085i,-0.0035736-0.012335i,0.0096772-0.0072843i,-0.0077422+0.013703i,0.0013184-0.00042971i,0.00048258+0.0013433i,-0.0010695+0.00025397i,-0.0024041-0.0035494i,0.0056219-0.0027954i,-0.002958-0.0070345i,0.0016517+0.0029097i,-0.00052509-0.0047471i,-0.0034147-0.0040161i,-0.00081363+0.003584i,0.00072128-0.0033295i,0.00013323-0.0032219i,0.0087179-0.0077214i,0.0019046+0.0070434i,-0.00041784-0.0024745i,-0.0029933-0.00078811i,-0.0055655-0.0045581i,0.0025522+0.0081829i,-0.00064637-0.0014347i,0.0019155-0.00085512i,-0.0029251-0.0043513i,-0.00073972+0.0011048i,0.0031084+0.0017501i,7.4671e-05+0.0013969i,0.0050005-5.0478e-05i,-0.0035279+0.0016335i,-0.0021935+0.0071787i,0.013314+0.013195i,0.0022297-0.019562i,-0.022945+0.0015636i,-0.021816+0.0025978i,0.0077413-0.0057732i,0.017815+0.0023898i,-0.0067765-0.0019155i
0.035058-0.012121i,0.015342-0.0066907i,0.020756-0.013395i,0.0122-0.0098149i,0.011623-0.013146i,-0.0029396-0.0063102i,0.014192-0.0029984i,0.0011235-0.015543i,-0.004209-0.012618i,0.0019001+0.0010289i,-0.0015375-0.00089933i,-0.0009507-0.001699i,0.002145+0.0019667i,0.00083027-0.0013535i,0.0002318-0.0011835i,0.0027309-0.0020579i,-0.0049535-0.0038i,-0.00026792-0.00034811i,0.00082391+0.00061944i,-0.0015402+0.0013163i,-0.0023161+0.0014304i,-0.00041516+0.00043346i,0.00041462+0.0012265i,-0.0043441-0.0025131i,0.0028674-0.0023061i,-0.00010618-0.00075338i,-0.00044436+0.00065946i,0.0015339+0.00029068i,0.001191+0.00037177i,0.0014356-4.7402e-05i,0.002003+0.0013741i,0.0023467+0.0024001i,8.5418e-05+0.001376i,0.00051332-0.00023553i,0.00085774+0.00030624i,0.0062917+0.0036457i,-0.00059642-2.8163e-05i,-0.00014815-0.00046241i,0.0020132-0.00088899i,0.00022137+7.1056e-05i,-0.0010401+0.0022457i,-0.0019464+0.0014581i,0.0015499-0.00010213i,0.0029519+0.0036133i,0.014158-0.024102i,0.0083654+0.0095979i,0.017489+0.014345i,-0.0025233+0.010443i,0.0074272-0.021939i,-0.00013714+0.0035191i,-0.0049441+0.021527i,-0.017468+0.021469i,0.0027545+0.026485i,-0.010649+0.00133i,0.0059093-0.0065686i,0.0029019+0.003557i,0.0041843-0.0010434i,0.0040445+0.012579i,-0.0042144+0.0042148i,-0.010123-0.0072115i,0.0059142-0.0093534i,-0.0035938+0.014573i,0.00089477-0.001871i,0.00082902+0.00085816i,-0.0011726+0.00023312i,-0.0021374-0.0024667i,0.0045312-0.003571i,-0.0047858-0.0061944i,0.0024924+0.001482i,-0.0036891-0.0053058i,-0.0042698-0.0021434i,0.0010529+0.0027177i,-0.00011294-0.0036706i,-0.00090526-0.0037044i,0.0052309-0.012883i,0.0040555+0.0049172i,-0.0010112-0.0024455i,-0.003693-0.00062287i,-0.0066879-0.0020459i,0.0040438+0.0068146i,-0.0014811-0.0025605i,0.0024132-0.0019574i,-0.0089596-0.0070443i,8.8448e-06+0.00022469i,0.0039935+0.00081753i,0.0007565+0.0017412i,0.0036205-0.0015095i,-0.0045712+0.0030279i,-0.0007076+0.0065169i,0.017318+0.010556i,-0.0086053-0.020895i,-0.026949+0.0035119i,-0.019869+0.0090094i,0.0037237-0.0035381i,0.014608-0.003156i,-0.0069225-0.0031061i
0.03222-0.01778i,0.014785-0.0095808i,0.017023-0.015858i,0.0078539-0.010839i,0.0086635-0.016069i,-0.0038611-0.0055905i,0.015294-0.0063647i,-0.0018927-0.015311i,-0.0063316-0.012471i,0.00266+0.0010026i,-0.0011353-0.00024577i,-0.0017154-0.00089575i,0.0026646+0.0010763i,0.00051127-0.0013632i,0.00013495-0.0011813i,0.0029802-0.0024569i,-0.0058993-0.0018676i,-0.00010296-0.00028824i,0.00065059+7.3019e-05i,-0.00091922+0.0017493i,-0.0014722+0.0019184i,-0.00065364+0.00035113i,0.00076404+0.0010489i,-0.0054492-0.00091911i,0.0014328-0.0029713i,-0.00029692-0.00058766i,-0.00010277+0.00070691i,0.001557-7.8808e-05i,0.00093761+0.00022586i,0.0012618-0.00051339i,0.0024754+0.00044014i,0.0028213+0.0015478i,0.00080643+0.0013051i,0.0006034-0.0002597i,0.0012105+0.00047066i,0.0068724+0.0017341i,-0.00054314+0.00054931i,-0.00019682-0.00024018i,0.0016039-0.0017306i,0.00064825-0.00021195i,-0.00014201+0.0024413i,-0.0013222+0.0026423i,0.0016238-0.00041058i,0.0031161+0.0030526i,0.0083954-0.026091i,0.0085969+0.005395i,0.019341+0.0098139i,-3.8533e-08+0.0087545i,0.002-0.022615i,6.5077e-06+0.0054546i,0.0017431+0.021669i,-0.010422+0.022158i,0.010989+0.021567i,-0.0078708+0.0054968i,0.0045349-0.0072781i,0.0038966+0.0017173i,0.0035444-0.0021083i,0.0085433+0.0092338i,-0.001602+0.0051856i,-0.012038-0.00055132i,0.0020162-0.0098969i,0.00051504+0.01383i,0.00018-0.0018441i,0.00048554+0.00046389i,-0.0011889+0.00077666i,-0.001942-0.0019324i,0.0033778-0.0032393i,-0.0057107-0.0046331i,0.0024691+0.00022282i,-0.0064954-0.0027759i,-0.0039844-0.00031502i,0.0016647+0.00094345i,-0.0010323-0.0038808i,-0.0021474-0.0032325i,-0.00017734-0.013787i,0.0052894+0.0022769i,-0.0018747-0.0023853i,-0.0037347+0.00085088i,-0.0059857+0.00081782i,0.0053402+0.0059475i,-0.0034646-0.002735i,0.0020965-0.0035979i,-0.00051658-0.0022703i,-0.00013543-0.0010532i,0.0045523-5.4772e-05i,0.0014245+0.0015695i,0.0021402-0.0016122i,-0.0048437+0.0049403i,0.00021734+0.0057401i,0.021705+0.0058092i,-0.018668-0.017163i,-0.029544+0.0073716i,-0.014564+0.012139i,0.002736-0.0015961i,0.0091935-0.0047915i,-0.009392-0.0036379i
0.028182-0.023107i,0.013329-0.01287i,0.013886-0.017877i,0.0047654-0.010754i,0.0049375-0.018211i,-0.004645-0.0049034i,0.015166-0.011494i,-0.0046217-0.014571i,-0.008779-0.011726i,0.0031788+0.00093552i,-0.00058209-0.0001541i,-0.0018587+0.00024623i,0.0026855+0.00020224i,0.00023914-0.0010991i,-3.0732e-05-0.0012654i,0.0028511-0.0033129i,-0.0060856+0.00010259i,-5.1487e-05-0.00033446i,0.00044706-0.00012378i,-0.0003242+0.0018644i,-0.00076392+0.0022237i,-0.00085376+0.00047045i,0.00098504+0.00071864i,-0.0044316+0.0018274i,0.00013656-0.0032249i,-0.00042088-0.00032077i,6.9575e-05+0.00062394i,0.0012977-0.00053463i,0.0010061+0.00013033i,0.00081524-0.00096933i,0.0026191-0.00066923i,0.0032378+0.00071125i,0.0013577+0.00099466i,0.00060467-0.00061862i,0.001832+0.00019536i,0.0061019-0.00040031i,-0.00020529+0.0013026i,-0.00018472-1.9333e-05i,0.00062546-0.0019266i,0.00094647-0.00071682i,0.00066877+0.002372i,9.12e-05+0.0027832i,0.0015901-0.00081251i,0.0036195+0.0031208i,0.0030413-0.026434i,0.0072775+0.0028872i,0.019959+0.0059693i,0.0015655+0.0078508i,-0.0033805-0.0235i,0.0030972+0.0075211i,0.0078582+0.01925i,-0.0034775+0.02068i,0.016504+0.015002i,-0.0028324+0.0074608i,0.002843-0.0077483i,0.0037816-0.0011207i,0.0027735-0.0034634i,0.0093666+0.0040547i,-9.7113e-05+0.0047413i,-0.011208+0.0058786i,-0.0020059-0.008808i,0.0034995+0.011656i,-0.0015173-0.0044022i,2.0234e-05+0.00071684i,-0.00073049+0.0013333i,-0.0014633-0.0021871i,0.0032388-0.0021812i,-0.0061846-0.002237i,0.0023906+0.00035272i,-0.0070233+0.00058081i,-0.0029825+0.0005214i,0.0013062-0.000183i,-0.0029462-0.0038631i,-0.003043-0.0022944i,-0.0053775-0.011968i,0.0052012-0.00050106i,-0.0027175-0.0016269i,-0.0026257+0.0019214i,-0.0043796+0.0023545i,0.0072053+0.0047893i,-0.0050912-0.0010811i,0.00067212-0.004751i,-0.0021412-0.0018526i,-0.0014191-0.0015631i,0.0048926-0.0019732i,0.0019505+0.0016384i,0.0018449-0.0013197i,-0.0028223+0.007195i,0.00063451+0.0047258i,0.024333-0.0019955i,-0.023704-0.0088138i,-0.03141+0.013025i,-0.010053+0.013007i,0.0017586+0.00010372i,0.0065324-0.0029612i,-0.011427-0.0025205i
