-0.026732-0.043768i,-0.020484-0.023072i,-0.012039-0.038181i,-0.029573-0.021442i,-0.024397-0.0019276i,-0.013442-0.0039903i,-0.052349-0.054297i,-0.047338-0.017324i,-0.037376-0.012952i,0.01121+0.014193i,-0.0088827+0.0052554i,-0.020203+0.019536i,0.0013985+0.012159i,-0.004255-0.002116i,0.00088472+0.0010272i,-8.2226e-05+0.029059i,0.024229+0.024636i,0.0026444-0.0021996i,-0.0021331-0.0073079i,0.0082477+0.0028293i,0.0025173+0.00093871i,1.6023e-05+0.0032699i,-0.00050073+6.5719e-05i,-0.033836-0.0093455i,0.00050338-0.0081267i,0.001658+0.0023608i,0.0063952+0.00054843i,0.0021424+0.00059849i,0.0012291-0.00028684i,-0.00038634-0.0027144i,0.0015247-0.0021103i,-0.0019957-0.0061395i,-0.00068563-0.004672i,0.0032694-0.000461i,0.0050897-0.0028026i,0.0018796+0.029519i,0.0042636-0.003577i,0.0032102-0.0017269i,0.0085239-0.00075114i,-0.007234-0.0026344i,-0.00040796+0.00071269i,0.010241+0.00086814i,0.0050934-0.0018151i,-0.0029072+0.0086571i,-0.0163-0.0092147i,-0.018247+0.016607i,0.0015154-0.062772i,-0.003758-0.02716i,-0.025457-0.034427i,-0.0099283-0.02685i,0.052936-0.023117i,0.017203-0.043751i,0.02608-0.046579i,0.0085764-0.053501i,0.028252-0.019028i,0.0088626+0.0065476i,0.027669-0.032634i,-0.0081722-0.0062515i,0.0028603-0.0041531i,-0.0048792-0.0069604i,-0.00092331-0.033351i,-0.020252+0.029287i,0.0097154-0.011936i,-0.0092224-0.0040122i,-0.0041311-0.0017667i,0.00081621-0.013006i,-0.011158+0.0041464i,0.0023686+0.010606i,-0.0061674+0.026482i,0.0050843+0.0029218i,-0.0055825-0.002i,-0.0018591-0.0021511i,-0.013156-0.0086612i,-0.00019957-0.0044629i,-0.035349+5.1237e-05i,0.0019437-0.010999i,-0.0088491-0.00050366i,-0.0072886-0.0024987i,0.00497+0.0012319i,-0.0084357-0.00066052i,0.0020988+0.00013888i,0.0039841+0.0080052i,0.0043158+0.00057013i,-0.0070708-0.012875i,0.0028511+0.0097895i,-0.016184+0.0047287i,0.006937+0.0003748i,-0.022671-0.0021234i,-0.018763+0.0061164i,-0.0048134-0.067795i,0.008398-0.012035i,-0.046985-0.02561i,-0.020404-0.0015324i,0.016502+0.012891i,-0.024452+0.014326i,-0.020261-0.00581i
0.023236+0.039949i,0.01477+0.018715i,0.017034+0.026889i,0.0066294+0.020496i,0.010419+0.0067724i,0.0055053-0.0014511i,0.020544+0.012177i,0.017091-0.0032252i,0.0089591-0.0063274i,0.0028262+0.0040184i,0.0023266-0.0029084i,0.0012779-0.0050002i,-0.0025002+0.00098496i,0.00061579-0.0010094i,0.0021591-0.00034022i,0.0043524-0.0021357i,0.0062578-0.0051656i,-0.00034119+0.00014218i,-0.0040125+0.0012003i,-1.988e-05+0.00063575i,-0.00056322-0.0008152i,-0.002418-0.00078368i,-0.001787+0.00094487i,0.0033195+0.0087255i,-0.0014808+0.0011316i,0.00054868+0.001922i,0.0010533+0.00065829i,-0.0015592+0.0025773i,-0.00095227+0.00027938i,-0.0015658+0.0002615i,-0.00151-0.0019315i,-0.0023729-0.00074209i,-0.00026666+0.00010531i,0.00050355+0.00036866i,-0.00027656-0.0013301i,-0.0088111+0.008538i,0.0019323-6.9816e-05i,0.00060854+0.001211i,0.0012485+0.0027844i,0.00041164-0.0013609i,-0.00027019-0.00099555i,-0.001231-0.0010043i,0.00071368+0.0014315i,4.0392e-05+0.0017158i,0.017294+0.018847i,-0.027473+0.014044i,-0.01543+0.016203i,-0.024712+0.010895i,-0.0054467+0.039249i,-0.024605+0.022367i,3.2461e-05-0.0010165i,-0.01187-0.016273i,-0.020235-0.0027461i,-0.007776+0.013437i,0.018826+0.024317i,-0.00030847+0.0026509i,-0.0040853+0.00087086i,-0.012517-0.0047906i,0.011315+0.001219i,0.010817+0.010184i,-0.0016035+0.0058945i,-0.005181-0.0084765i,0.0066423-0.0027423i,-0.0034702-0.0039939i,0.0041125-0.0086523i,0.0089542-0.0031417i,-0.0019271+0.010727i,0.013414-0.006267i,0.0036367-0.0086341i,0.0036274-0.0099339i,0.0021971+0.00075236i,-0.0021184-0.0060085i,-0.0037326-0.0011898i,0.0026312-3.446e-06i,-0.010837+0.038869i,-0.0069902-0.0066486i,0.00016422+0.0010863i,-0.0012818-0.0071986i,0.0036592-0.00020474i,-0.018529-0.0078985i,-0.0017093-0.0038373i,0.0029518-0.0026785i,0.0034168-0.0014993i,-0.0031694-0.0083809i,-0.00047393+0.0073858i,0.0004503+0.0035566i,-0.0036027+0.0048907i,-0.0081016+0.0010216i,-0.0065839-0.0011604i,-0.010094+0.02639i,-0.0028467+0.014778i,-0.027494-0.011102i,-0.0024637-0.0026176i,0.013612+0.019643i,-0.00077928+0.019334i,-0.00048629-0.0045432i
0.029325+0.034001i,0.017931+0.014667i,0.021662+0.023834i,0.010107+0.020014i,0.012149+0.0053297i,0.0055846-0.0028408i,0.020767+0.0078259i,0.016217-0.006257i,0.0072665-0.0082839i,0.0037991+0.002859i,0.0020194-0.0029886i,-0.0007059-0.0036741i,-0.0011548+0.0013442i,0.00044374-8.6531e-05i,0.0020599-0.00075328i,0.0033711-0.0023346i,0.0043222-0.006067i,0.00014072+0.00019389i,-0.0041129+0.0019365i,0.00037244+0.00010393i,-0.00065358-0.0011036i,-0.0023941-0.00031652i,-0.0014201+0.0011181i,0.007491+0.0067054i,-0.0015961+0.0024297i,0.0014837+0.0015634i,0.00088011-0.00015746i,-0.00054619+0.0028423i,-0.0013461+0.00077036i,-0.0014191+0.0010333i,-0.0022793-0.0010908i,-0.0021047-0.00063241i,-0.00046516+2.8488e-05i,0.00063071+4.9641e-05i,-0.0011068-0.00038639i,-0.0051948+0.010312i,0.001483-0.00076125i,0.00096491+0.0011646i,0.0017423+0.0018192i,4.4389e-05-0.0011374i,-0.00063083-0.0013684i,-0.001778-0.0024022i,0.00074297+0.0014764i,-0.0001771+0.002073i,0.021439+0.016017i,-0.022245+0.018095i,-0.014904+0.019269i,-0.019442+0.013189i,0.0066444+0.035707i,-0.014825+0.019144i,-0.0061395-0.0036562i,-0.019689-0.016857i,-0.022024-0.0019579i,-0.0011867+0.0089342i,0.023326+0.01619i,-0.00093587+0.0025761i,-0.0026335+0.0048496i,-0.012677-0.00043825i,0.0097865-0.0031177i,0.012905+0.0074658i,0.0020861+0.0088284i,-0.0095351-0.0071579i,0.0023476-0.0044566i,-0.0035577-0.0019799i,-0.0012025-0.0081292i,0.0070916-0.006081i,0.0029754+0.0088348i,0.0084214-0.0094411i,-0.0015922-0.0082008i,-0.00085149-0.0065294i,0.0037131-0.00014147i,-0.0033993-0.0053389i,-0.0021111+0.0012888i,0.003346-0.00031827i,0.0098234+0.037115i,-0.0087312-0.0047043i,0.00097564+0.00037071i,-0.0044623-0.0058213i,0.0041676-0.0016209i,-0.019398+0.00083376i,-0.0023586-0.0027619i,0.0015548-0.0026589i,0.0035356-0.0031636i,-0.005489-0.0067385i,0.0018467+0.0037485i,0.0018796+0.0026711i,-0.0003114+0.0067253i,-0.0062665+0.0041492i,-0.0072712-6.8228e-06i,-0.0042966+0.023475i,-0.00021929+0.016556i,-0.02891-0.0046771i,-0.0038048-0.0059585i,0.016619+0.017099i,0.0030225+0.020513i,-0.003005-0.0049272i
0.033606+0.027258i,0.019181+0.0094469i,0.026462+0.018218i,0.015123+0.017435i,0.014192+0.003394i,0.0052571-0.0044943i,0.020315+0.0034379i,0.014689-0.009356i,0.005335-0.009151i,0.0040176+0.001559i,0.0014285-0.0036832i,-0.0011093-0.0019847i,-0.0013264+0.0017093i,0.0011842+6.5998e-05i,0.0018599-0.0011731i,0.0025728-0.0024068i,0.0024109-0.0068505i,0.00016328-0.0002011i,-0.0034411+0.0023878i,0.00016076-0.00066726i,-0.0014007-0.0015014i,-0.0022037+9.5199e-05i,-0.0011138+0.0012357i,0.0091828+0.0020939i,-0.0004577+0.0033284i,0.0016053+0.00069523i,0.00035294-0.00055405i,0.00046237+0.0026072i,-0.0010399+0.0015422i,-0.001018+0.0016132i,-0.0026535+0.00019065i,-0.0028164+0.00076943i,-0.000488+0.0001683i,0.00065051-0.00024438i,-0.0010434+0.00064334i,-0.0020919+0.010611i,0.00093589-0.00086653i,0.0014981+0.00075536i,0.0016581+0.0012018i,-0.00039673-0.00092068i,-0.0012352-0.0014203i,-0.00062284-0.0019242i,0.00097161+0.0018089i,0.00019978+0.0025659i,0.025895+0.011539i,-0.016957+0.020829i,-0.012213+0.023502i,-0.01339+0.012718i,0.017783+0.02806i,-0.0077768+0.019525i,-0.012462-0.0022423i,-0.026245-0.013848i,-0.016093+0.0049128i,0.0017044+0.0024047i,0.02301+0.0066886i,-0.001505+0.0026355i,-0.0009293+0.0048235i,-0.01273+0.0025897i,0.0058732-0.0074407i,0.014294+0.0034956i,0.0062577+0.0086301i,-0.013067-0.0041998i,0.00052763-0.0030168i,-0.0035102-0.00012918i,-0.0039303-0.0054118i,0.0046333-0.0071998i,0.0058802+0.0077849i,0.0052898-0.0097573i,-0.0056414-0.0046225i,-0.0011711-0.0034153i,0.0040089-0.0025429i,-0.0052092-0.0038417i,-6.4873e-05+0.0011226i,0.0026901-0.0018009i,0.025491+0.026175i,-0.010444-0.0002585i,0.001464-0.00028455i,-0.0041141-0.0040407i,0.0044236-0.00385i,-0.015295+0.0084994i,-0.0023894-0.0016488i,0.00027645-0.0026741i,0.00195-0.0039949i,-0.0072005-0.0033281i,0.0012572+0.00263i,0.0024899+0.0013464i,0.0031737+0.0061564i,-0.0038175+0.0050269i,-0.0076914+0.0018587i,-0.0015344+0.019641i,0.0071709+0.016328i,-0.02824+0.00021725i,-0.0060464-0.0084032i,0.020143+0.011954i,0.0081913+0.020884i,-0.0051462-0.0040588i
0.036123+0.02068i,0.018357+0.005499i,0.028395+0.011215i,0.018571+0.012139i,0.015569+0.00022245i,0.0041282-0.0059643i,0.018983-1.414e-05i,0.012337-0.01185i,0.0038388-0.0099395i,0.003554+0.00075882i,0.00028216-0.0035699i,-0.00069208-0.0011308i,-0.0010367+0.0019686i,0.0013793-3.9918e-05i,0.0014336-0.0015184i,0.0017811-0.0021468i,0.00026469-0.0063821i,0.00013697-0.00026776i,-0.0017356+0.0031381i,-0.00050058-0.00090617i,-0.0019967-0.00071103i,-0.002251+0.00055216i,-0.00082377+0.0013362i,0.0080244-0.0022792i,0.00083313+0.0034963i,0.0013116+0.00035249i,-0.00010918-0.00037307i,0.001044+0.0019121i,-0.00036423+0.0016098i,-0.00033788+0.0019688i,-0.002345+0.0015691i,-0.0017268+0.0020634i,-0.00039917+0.00023346i,0.00031467-0.00038623i,-0.00055873+0.0012355i,0.0010933+0.0099268i,0.00068273-0.00092692i,0.0014725-3.1268e-05i,0.0015285+0.0011414i,-0.00081386-0.00057473i,-0.0018699-0.0010746i,-0.00098351-0.0015413i,0.001574+0.0020211i,0.00078447+0.002798i,0.028941+0.0046837i,-0.011118+0.022679i,-0.0069619+0.027267i,-0.011085+0.0098139i,0.025353+0.015918i,-0.00079391+0.015864i,-0.017754+0.0026445i,-0.032605-0.0075372i,-0.032054+0.017968i,0.00073017-0.003603i,0.020927+4.1433e-05i,-0.0014335+0.0036954i,-0.00010995+0.0065503i,-0.012038+0.0067395i,-0.00023127-0.0074858i,0.014482-0.0014655i,0.010174+0.0065502i,-0.014907+0.00074794i,-0.00064132-0.0024763i,-0.0023982+0.0013223i,-0.0050526-0.0018369i,0.0025385-0.0077969i,0.0087266+0.0041991i,0.0024351-0.010151i,-0.0058424+0.00069899i,-0.00038987-0.002174i,0.0025364-0.0046794i,-0.005747-7.1238e-05i,0.00093592+0.000873i,0.0018993-0.0025019i,0.033467+0.0097137i,-0.0090876+0.0044611i,0.0016641-0.0013453i,-0.0042774-0.0026137i,0.0025983-0.0064588i,-0.0090413+0.011259i,-0.0018918-0.0010205i,-0.00046595-0.0017249i,0.00069751-0.0038528i,-0.0061385-0.0007511i,0.0012451+0.0022803i,0.0020636+5.4891e-05i,0.005564+0.0044451i,-0.0016079+0.0043352i,-0.0077755+0.0037432i,-5.7598e-05+0.01833i,0.016123+0.0095335i,-0.025883+0.0051373i,-0.010769-0.0098573i,0.019609+0.0060996i,0.013765+0.018868i,-0.0054868-0.0030177i
0.038363+0.014355i,0.018144+0.0031624i,0.028454+0.005316i,0.02003+0.0065237i,0.0159-0.0031405i,0.0028348-0.0069544i,0.017548-0.0024131i,0.0097981-0.013523i,0.0024193-0.010627i,0.0032462+0.00021958i,-0.00078147-0.0031342i,-0.00025342-0.0010662i,-0.00073443+0.0023885i,0.0014603-0.00041504i,0.00095374-0.0016132i,0.0015757-0.0014955i,-0.00084336-0.0056602i,-3.1091e-05-0.00016063i,-0.00039243+0.0027724i,-0.0010966-0.00072622i,-0.0021561-7.8284e-05i,-0.0018603+0.0012613i,-0.00051781+0.0014423i,0.0054186-0.0046341i,0.002034+0.0032213i,0.0010444-0.00018286i,-0.00036749-0.00012752i,0.0013078+0.0013142i,4.8914e-05+0.0016459i,0.0005902+0.0019907i,-0.0013689+0.0024338i,-0.0011316+0.0025215i,-0.00046248+0.00019096i,0.00019091-8.6644e-05i,0.00023628+0.0015413i,0.0038767+0.008159i,0.00026173-0.0009327i,0.0010712-0.00043994i,0.0018015+0.00082985i,-0.00080681-5.2551e-05i,-0.0022151-0.00059903i,0.00062636-0.0019401i,0.0022619+0.0016631i,0.0010972+0.0024435i,0.029104-0.0025872i,-0.0044791+0.022707i,0.00036155+0.028221i,-0.010535+0.0093892i,0.026349+0.003118i,0.0021046+0.010593i,-0.019098+0.010596i,-0.03508+0.002448i,-0.028423+0.020012i,-0.003197-0.0073597i,0.016383-0.0049022i,-0.00057672+0.0044908i,0.0038196+0.0066938i,-0.0094123+0.010355i,-0.0035454-0.0042235i,0.012139-0.007759i,0.013024+0.0026485i,-0.015149+0.0057773i,-0.0010393-0.00063429i,-0.0011481+0.001859i,-0.0031695+0.0004749i,-0.00069764-0.0075491i,0.0088974+0.00057036i,-0.0007867-0.0097484i,-0.003042+0.0036676i,0.00041604-0.0022694i,0.00035241-0.0055694i,-0.0046738+0.002579i,0.0023011-4.0376e-05i,0.0013486-0.0025934i,0.032666-0.0075196i,-0.005476+0.0073415i,0.00093905-0.0024055i,-0.0036523-0.0021626i,-0.00031268-0.0073684i,-0.0042967+0.011017i,-0.0019122-0.00071948i,-0.00019883-0.00033861i,0.00052179-0.0032375i,-0.0046063+0.0014312i,0.0016449+0.0022967i,0.00092633-0.00046942i,0.0068647+0.0010973i,-0.0011545+0.0025583i,-0.0066868+0.0063108i,0.002133+0.017887i,0.018872-0.0035486i,-0.021251+0.0061034i,-0.016188-0.0082358i,0.01854+0.0015888i,0.01795+0.013439i,-0.0062827-0.0029744i
0.039613+0.0074546i,0.018474+0.00037613i,0.028445-0.0004392i,0.02046+0.00093023i,0.01574-0.0064256i,0.001353-0.0077081i,0.016827-0.0041562i,0.0072163-0.014835i,0.00088565-0.011498i,0.002675-0.00018571i,-0.0011273-0.0023326i,-9.7933e-05-0.0010913i,4.3937e-05+0.0029824i,0.001389-0.00065658i,0.00063364-0.0016582i,0.0020359-0.001034i,-0.0016857-0.0055421i,0.00014574-0.00017412i,0.00037679+0.0021159i,-0.0014524-0.00026538i,-0.0018147+0.00052199i,-0.0010871+0.0014778i,-0.00015588+0.0015058i,0.0021741-0.0052648i,0.0034497+0.0025139i,0.00080505-0.00069931i,-0.00040535+7.3711e-05i,0.0014373+0.00085012i,0.00056667+0.0015986i,0.0012554+0.0014308i,-0.00013436+0.0028137i,-0.0001394+0.0031697i,-0.00053346+0.00059861i,0.00035584-3.8992e-05i,0.00084963+0.0011958i,0.0053133+0.0057595i,-6.4787e-05-0.00075866i,0.00079679-0.00051178i,0.0017176+0.00034139i,-0.00042302+0.00022762i,-0.0025636+0.00013174i,-0.003726-0.0017782i,0.0027122+0.001137i,0.0013252+0.0024599i,0.027465-0.0094257i,0.0013901+0.020504i,0.0068816+0.02643i,-0.0093415+0.010148i,0.023427-0.0077819i,0.0019533+0.0069289i,-0.015591+0.018426i,-0.031656+0.013272i,-0.021428+0.027328i,-0.0080146-0.0068827i,0.011793-0.0069772i,0.00066408+0.0047558i,0.0063533+0.0040944i,-0.0055217+0.013184i,-0.0045166-0.0014851i,0.0060654-0.013098i,0.013052-0.0029457i,-0.01285+0.01088i,3.3484e-05+0.00037858i,4.1585e-05+0.0017401i,-0.0016164+0.00075991i,-0.0027207-0.0055715i,0.0072883-0.0019082i,-0.0026662-0.007788i,0.00012944+0.0040684i,0.00053154-0.003559i,-0.0018497-0.0049538i,-0.0032135+0.0033358i,0.0022278-0.0018783i,0.0010442-0.002859i,0.02156-0.023298i,-0.0014664+0.0080772i,-0.00012641-0.0022747i,-0.0039493-0.0011707i,-0.0033399-0.0067058i,-0.00088489+0.01041i,-0.001154-0.00015163i,0.0011308-0.00026543i,0.00037713-0.004415i,-0.0020538+0.001846i,0.0020331+0.000832i,0.00010292+0.00024499i,0.0085601+0.0019329i,-0.0022059+0.0014252i,-0.0042772+0.0076434i,0.0050295+0.016947i,0.012653-0.014678i,-0.019458+0.002879i,-0.020907-0.0039319i,0.015392-0.0036515i,0.018782+0.0077074i,-0.0071282-0.0021101i
0.039598+0.000547i,0.017851-0.0029981i,0.026472-0.0073186i,0.018652-0.0054429i,0.014955-0.010075i,-0.0004143-0.0079662i,0.016539-0.0063003i,0.0044128-0.015973i,-0.0010863-0.011965i,0.0022134+9.5062e-05i,-0.0015012-0.0018348i,-0.00029525-0.0017395i,0.00097115+0.0030744i,0.0011225-0.0010166i,0.00026445-0.0016169i,0.0026101-0.0013116i,-0.0031814-0.0053767i,-0.00017263-0.00035558i,0.00087991+0.0013635i,-0.0017629+0.00028005i,-0.0016863+0.00072816i,-0.00040978+0.0012299i,0.00016866+0.0014374i,-0.0025287-0.0036986i,0.0043941+0.00070221i,0.0004338-0.00093151i,-0.00061301+0.00032556i,0.0014334+0.00050785i,0.0012125+0.0012527i,0.0015467+0.00072402i,0.001133+0.0025932i,0.00096768+0.0034484i,-0.00044922+0.00099695i,0.00041687-7.0043e-05i,0.0010382+0.00064491i,0.0063672+0.0040043i,-0.00035874-0.00060036i,0.00039368-0.00069941i,0.0018517+6.071e-05i,5.9571e-05+0.0002143i,-0.0025144+0.0010931i,-0.0021259-1.5926e-05i,0.0030706+0.00029705i,0.0016047+0.0025646i,0.024402-0.015494i,0.0058383+0.016895i,0.012315+0.022867i,-0.0066698+0.011357i,0.017682-0.015811i,0.00096941+0.005232i,-0.0091781+0.022747i,-0.02361+0.020021i,-0.010816+0.030849i,-0.011424-0.0034424i,0.008144-0.0070348i,0.0019524+0.0042039i,0.006364+0.00078207i,-0.00072469+0.013897i,-0.0050033+0.00090467i,-0.0030556-0.013155i,0.010021-0.0071569i,-0.0092072+0.013631i,0.00141-0.00049151i,0.00065838+0.0011649i,-0.0011521+0.00031304i,-0.0029504-0.0036626i,0.0059079-0.0028002i,-0.0031446-0.0068612i,0.0021533+0.0027208i,-0.00056132-0.0053287i,-0.0034327-0.0035613i,-0.0013463+0.0040335i,0.00088039-0.0032906i,0.00047177-0.0036278i,0.0041854-0.016694i,0.0017609+0.0071032i,-0.00053457-0.0021228i,-0.0032333-0.00080972i,-0.0054213-0.0050959i,0.0016653+0.0091635i,-0.00037144-0.00092905i,0.0017645-0.0010712i,-0.0021108-0.0056063i,-0.0009241+0.00097335i,0.0028476+0.0016038i,0.00024654+0.0014023i,0.0048977-0.00052278i,-0.0036301+0.0015207i,-0.0022084+0.007658i,0.0083938+0.01606i,0.0035129-0.020882i,-0.023207+0.00047936i,-0.023187+0.0026769i,0.0090295-0.0063396i,0.018911+0.002696i,-0.0066923-0.0019201i
0.038618-0.0060592i,0.017337-0.0054014i,0.022232-0.012096i,0.014096-0.010033i,0.012942-0.013618i,-0.0019946-0.0077054i,0.016243-0.0086913i,0.0014236-0.01644i,-0.0029304-0.0123i,0.0024758+0.00047714i,-0.001776-0.00093417i,-0.001232-0.001763i,0.001982+0.0028176i,0.00069507-0.0010944i,-5.3514e-05-0.0014961i,0.0028073-0.0018579i,-0.0050024-0.0041652i,-0.00033418-0.00015743i,0.00099081+0.0006706i,-0.0016903+0.0011068i,-0.0014889+0.0012456i,-0.00036591+0.00074818i,0.00046372+0.0013738i,-0.0044011-0.0033138i,0.003765-0.001036i,4.2897e-05-0.00087173i,-0.00046182+0.00077163i,0.0013973+0.00026128i,0.001391+0.00053562i,0.0015666+0.00017417i,0.0021384+0.0018232i,0.0021823+0.0029379i,9.8987e-06+0.0014462i,0.00043188-0.00013353i,0.00096936+0.00076332i,0.0069516+0.0024392i,-0.00057038-0.00033928i,7.6566e-06-0.0005686i,0.0021632-0.00042179i,0.00042846+8.1599e-05i,-0.0020215+0.0020615i,-0.0014094+0.00084781i,0.0030083-0.00066337i,0.0021481+0.0025197i,0.019941-0.020388i,0.0087853+0.012455i,0.015539+0.018575i,-0.0030006+0.011135i,0.010789-0.02013i,0.0001036+0.0052208i,-0.0023826+0.024175i,-0.015312+0.021937i,0.00044024+0.030033i,-0.011873+0.0013943i,0.0065978-0.0064768i,0.0031134+0.0032416i,0.0050875-0.0013247i,0.0043106+0.012619i,-0.0041694+0.0038372i,-0.0097955-0.0076267i,0.005974-0.0090803i,-0.0053272+0.015464i,0.00084208-0.0021084i,0.00097976+0.00067293i,-0.0012135+0.00032472i,-0.0024501-0.0024629i,0.004762-0.0036169i,-0.004096-0.0059902i,0.0028099+0.00089366i,-0.0040936-0.0057512i,-0.0040113-0.0018051i,0.00099641+0.0030365i,-0.00021848-0.0037312i,-0.00062071-0.004107i,0.0024515-0.017508i,0.0039021+0.005013i,-0.0010568-0.0021818i,-0.0039901-0.00049845i,-0.0067222-0.0025117i,0.0031987+0.007875i,-0.0008502-0.0021659i,0.0021624-0.0020921i,-0.0080114-0.0040845i,-0.00031247+0.00018404i,0.0035564+0.00081247i,0.0012609+0.0018402i,0.0035135-0.002099i,-0.0045778+0.0027795i,-0.00060744+0.0070303i,0.012993+0.014458i,-0.0078052-0.022769i,-0.02762+0.0023753i,-0.020621+0.009863i,0.0042808-0.0044479i,0.016629-0.0023411i,-0.006865-0.0033112i
0.036552-0.012804i,0.016996-0.0087139i,0.018372-0.014772i,0.0095652-0.011499i,0.010112-0.016535i,-0.0032203-0.0072103i,0.016084-0.011805i,-0.001581-0.016335i,-0.0049826-0.012377i,0.0029351+0.00018843i,-0.0011962-0.0001794i,-0.0019044-0.00087636i,0.0027217+0.0020823i,0.00032481-0.0010559i,-0.00021944-0.001336i,0.0028829-0.0023472i,-0.0060495-0.0022717i,-0.00016686-0.00027642i,0.00080342+5.1106e-05i,-0.0011416+0.0016053i,-0.0011139+0.0015634i,-0.00045926+0.00064157i,0.00084036+0.0012403i,-0.0048118-0.00074991i,0.0028163-0.0019396i,-0.00020647-0.00078082i,-5.1821e-05+0.00078224i,0.0014374-5.2939e-05i,0.0011234+0.00039573i,0.0014855-0.00038085i,0.0027916+0.00078369i,0.0028334+0.0020638i,0.00072908+0.0014291i,0.00060756-0.00016771i,0.0014577+0.00099609i,0.00681+0.00099176i,-0.00068202+0.00013615i,-0.00011024-0.00041462i,0.0019386-0.0013116i,0.00086446-0.00024702i,-0.0011514+0.0026444i,-0.0020749+0.0019512i,0.0024898-0.0014053i,0.0025459+0.0024934i,0.014624-0.023657i,0.0094786+0.0077738i,0.01784+0.014634i,-0.00024771+0.0092834i,0.0045067-0.022227i,0.00043317+0.0070597i,0.0041074+0.023753i,-0.0080447+0.021829i,0.0091216+0.02557i,-0.0091638+0.005818i,0.0053972-0.0073239i,0.0039346+0.0014558i,0.0042214-0.0026774i,0.0085059+0.0088874i,-0.0017229+0.0050092i,-0.011942-0.0010395i,0.0021825-0.0095525i,-0.00077525+0.015242i,-0.00053824-0.002292i,0.00045208+0.00015458i,-0.0012246+0.00072283i,-0.0022648-0.0019344i,0.0035153-0.0034292i,-0.0051433-0.0042286i,0.0023156-0.0002807i,-0.0069473-0.0029528i,-0.0035724-0.00017404i,0.0016567+0.001069i,-0.0012438-0.0039608i,-0.0021094-0.0038234i,-0.0033214-0.016228i,0.0051657+0.0025045i,-0.0018686-0.0018681i,-0.004151+0.0010355i,-0.0062247+0.000511i,0.0049207+0.0071459i,-0.0027182-0.0026184i,0.0018062-0.0036412i,-0.0017846-0.0010572i,-0.00054021-0.0010427i,0.0041431+0.00024216i,0.0022391+0.0014077i,0.0019588-0.001953i,-0.0049521+0.0043961i,0.00042779+0.0062024i,0.017709+0.01091i,-0.018623-0.019135i,-0.030701+0.0062555i,-0.01523+0.012979i,0.0027943-0.0025183i,0.0124-0.0060169i,-0.0094544-0.0037906i
0.032784-0.018853i,0.015659-0.012598i,0.015165-0.016957i,0.0062101-0.011677i,0.0065708-0.018845i,-0.0043633-0.0066404i,0.015191-0.016205i,-0.0044677-0.015742i,-0.0074928-0.011933i,0.0031825+0.0006886i,-0.00045697-0.00012159i,-0.0019974+0.00031083i,0.002952+0.0011682i,0.00014241-0.00073537i,-0.00035337-0.0013104i,0.0026714-0.0031203i,-0.00629-0.00018588i,-0.00032551-0.000552i,0.00051635-0.00019545i,-0.00053571+0.0017868i,-0.00071873+0.0019011i,-0.00051478+0.00073932i,0.0011322+0.00089435i,-0.0037693+0.0019425i,0.0020316-0.0024426i,-0.00048774-0.00054992i,0.00017508+0.0005864i,0.0012433-0.00042801i,0.0012006+0.00027323i,0.001089-0.00093568i,0.0030837-0.00037098i,0.0034426+0.0011325i,0.0013309+0.0012481i,0.00064091-0.00056657i,0.0023212+0.00068303i,0.0064002-0.00046428i,-0.00029494+0.00060877i,-0.00015988-0.00021635i,0.0011098-0.0018222i,0.0011728-0.00077662i,-0.00030937+0.0030294i,-0.0005111+0.0029642i,0.0018076-0.0018664i,0.0032176+0.0026855i,0.0091972-0.025558i,0.0083872+0.0047622i,0.019151+0.010746i,0.0012525+0.0083718i,-0.0021558-0.023343i,0.0034557+0.0091003i,0.010111+0.02104i,-0.00097144+0.019779i,0.015533+0.019025i,-0.0042849+0.0081513i,0.003801-0.0080379i,0.0035719-0.0012031i,0.003134-0.0042188i,0.0093945+0.0038443i,-0.00019399+0.0044935i,-0.01144+0.0055835i,-0.0015633-0.0087571i,0.0026877+0.012775i,-0.0026777-0.0031701i,-0.00015817+0.00065699i,-0.00098015+0.0012687i,-0.0017714-0.0017298i,0.0036293-0.0020104i,-0.005083-0.0022423i,0.0020262+9.0078e-05i,-0.0071564+0.00047633i,-0.0025043+0.00047735i,0.001367-7.9236e-05i,-0.0032923-0.0040909i,-0.0032691-0.0026665i,-0.0085939-0.013305i,0.0052717-0.00022669i,-0.0024237-0.0011312i,-0.0028806+0.002188i,-0.004785+0.0021589i,0.007025+0.0060718i,-0.0042161-0.0011169i,0.00032022-0.0049966i,-0.0029042-0.0011704i,-0.001825-0.0015191i,0.0049117-0.001617i,0.0025939+0.00086618i,0.0016652-0.0015938i,-0.0034957+0.0066191i,0.00088859+0.0050664i,0.021732+0.0051217i,-0.024533-0.010431i,-0.033102+0.012359i,-0.010542+0.01394i,0.0016748-0.00078119i,0.0074713-0.0063746i,-0.011452-0.0027859i
