-0.023818-0.039793i,-0.0096559-0.049876i,-0.017262-0.045264i,-0.030789-0.036832i,-0.029486-0.017183i,-0.051022-0.028876i,-0.059124-0.026339i,-0.044868-0.038798i,-0.0301-0.036802i,0.0067808+0.011799i,-0.0062745+0.016651i,-0.0048251+0.014871i,0.010128+0.0212i,0.00049846+0.0050806i,0.0033109+0.0036666i,0.0073124+0.018458i,0.026205+0.040732i,-0.0027252-0.0016808i,-0.0047996-0.006445i,0.0068468+0.0015918i,-0.00011739-0.0010574i,-0.00071058+0.0013521i,0.00017397-0.00053781i,-0.028792-0.0016454i,-0.0025664-0.0054959i,0.0012547+0.0052478i,0.002746-0.00028455i,-0.00048661+0.00078122i,0.0006817-0.00042053i,-0.0007727-0.0026767i,-0.0016506-0.0063821i,-0.0049297-0.0046491i,-0.0023992-0.0044975i,0.0027582-0.00039362i,0.0020926-0.0025627i,-0.00085393+0.025561i,0.0014273-0.0034645i,0.0030087+0.00092858i,0.0052495+0.00093511i,-0.0098876-0.0024378i,-0.0036957+0.00019383i,0.0059575-0.00051456i,0.0052561+0.00030514i,-0.0034417+0.0064444i,0.0019432-0.0083113i,-0.01238+0.018606i,0.03545-0.091024i,0.012838-0.070433i,-0.015575-0.059983i,-0.016164-0.056327i,0.038445-0.047242i,0.015908-0.063041i,0.035-0.05563i,0.030642-0.059021i,0.014216-0.013022i,0.0038846+0.016914i,0.016872-0.026651i,-0.011428+0.0071022i,-0.00030089+0.0049931i,-0.0059728-0.00080024i,-0.0024037-0.028206i,-0.02408+0.032105i,0.009475-0.011342i,-0.014284-0.0022421i,0.00023843-0.0046885i,-0.0014764-0.016313i,-0.0080149+0.0043301i,0.0054183+0.0060571i,-0.0055856+0.030977i,0.0050895+0.0052967i,-0.0054631-0.00075994i,-0.0033419-0.00040503i,-0.011755-0.0078686i,-0.00083063-0.0042367i,-0.019414+0.016399i,0.00034946-0.010278i,-0.009413-0.0013411i,-0.0063867-0.0028422i,0.007061+0.0023627i,-0.0078686+0.00065656i,0.00026141+0.00048744i,0.005814+0.011476i,0.0035991+0.0013986i,-0.0083903-0.0098441i,0.0031148+0.0084625i,-0.019409+0.0053362i,0.0095429+0.00048596i,-0.028342-0.0031313i,-0.044884+0.0036621i,0.01929-0.094116i,-0.0013755-0.012907i,-0.052676-0.022202i,-0.023755+0.0002228i,0.017851+0.011165i,-0.024335+0.012866i,-0.019988-0.011228i
0.0082294+0.022003i,0.013617+0.052507i,0.024785+0.036141i,0.017779+0.02829i,0.025026+0.028181i,0.033924-0.014469i,0.018531-0.0085405i,0.030546+0.0067945i,0.011896+0.014185i,0.003358+0.0038334i,0.0051069+0.003043i,0.004428+0.0034143i,0.006158+0.0026207i,0.0049584+0.0039544i,0.0031856-0.0034203i,0.0083819-0.0014484i,0.010589-0.0038106i,-0.0015791-0.0014561i,-0.003891+0.001831i,-3.1467e-05+0.0011777i,-0.0010889-0.00022011i,-0.0027435+0.0013743i,-0.001839+0.0010361i,0.0044704+0.007889i,0.0012805+0.001217i,0.0024912+0.00038538i,0.0019714+0.0013948i,0.0010939+0.001218i,0.00076035+0.00012363i,-0.00048934+0.00088504i,-0.0021573-0.0026073i,-0.00081704-0.00050378i,-0.0013463+0.00081829i,-0.0010306+0.00024572i,-0.00042369-0.0015935i,-0.0068269+0.0071915i,0.001413+0.00024862i,0.0014446-0.00051602i,-0.0011977+0.0026332i,-0.00044198-0.0036283i,-0.0011264+0.00029279i,-0.0020753-0.00012969i,0.0020664+0.00071913i,0.0057098+0.005977i,-0.013397+0.032776i,-0.08095+0.035603i,-0.052292+0.038975i,-0.037563+0.060462i,-0.018703+0.073117i,-0.0084292+0.05119i,0.012393+0.035444i,0.0038445-0.00024428i,-0.037618+0.0091213i,-0.044933+0.018638i,0.00069651+0.024365i,-0.0080703+0.002565i,-0.010838-0.00039422i,-0.012842-0.0014246i,0.0019431+0.00057748i,0.0057046+0.0096903i,-0.0014949+0.0081157i,-0.0061871-0.011303i,0.0044844-0.0076618i,-0.0066107-0.007431i,0.0020557-0.0063805i,0.0034678-0.0044391i,-0.0018567+0.0097704i,0.0091437-0.0047598i,0.0055782-0.0044606i,0.0032532-0.0069226i,0.0027892-0.00031032i,-0.0019168-0.0044397i,-0.003019-0.00076497i,0.0027103-0.00043273i,-0.020069+0.041191i,-0.0038442-0.0048501i,0.0020884-0.00010048i,8.5062e-05-0.006396i,0.0026945-0.001508i,-0.0145-0.0027797i,0.00050224+2.8955e-05i,0.0061913-0.0029287i,0.0027532-0.00079905i,0.00068248-0.0042895i,0.0008315+0.0063389i,-0.0010337+0.0059537i,-0.0039076+0.003447i,-0.012066+0.0047193i,-0.015604-0.0041241i,-0.041029+0.057712i,0.00094175+0.0044185i,-0.024907-0.01726i,-0.0069991-0.007158i,0.0090157+0.020034i,-0.0013536+0.023592i,-0.00023961-0.001014i
0.010896+0.018211i,0.0219+0.047976i,0.030349+0.031556i,0.022832+0.025857i,0.031071+0.024073i,0.030597-0.020437i,0.01575-0.012115i,0.031282+0.0010437i,0.013909+0.011213i,0.0042713+0.0023904i,0.005958+0.0018845i,0.004359+0.0030729i,0.0061148+0.001555i,0.0057518+0.002581i,0.0020751-0.0039828i,0.0069152-0.0030483i,0.0082866-0.0067368i,-0.0013635-0.0012098i,-0.0035062+0.0020408i,0.00051528+0.00047834i,-0.0013346-0.0002305i,-0.0023632+0.0019152i,-0.001483+0.0010702i,0.0081405+0.0053591i,0.0013894+0.001391i,0.0027047-0.00068941i,0.0021982+0.000275i,0.001344+0.00079793i,0.00032056+1.6086e-05i,-0.00042318+0.0009671i,-0.0030712-0.0017209i,-0.0013537-0.00052558i,-0.0010627+0.00123i,-0.00076405+0.00061214i,-0.0012334-0.00066412i,-0.0045736+0.0088318i,0.0010516-0.00040581i,0.0010804-0.00072021i,0.00046277+0.0025338i,-0.0013546-0.0028503i,-0.0010765+0.00031552i,-0.0019803+0.00034044i,0.0017444+0.00067118i,0.0063034+0.0051892i,-0.0069519+0.033731i,-0.068931+0.049099i,-0.047639+0.048044i,-0.027337+0.064199i,-0.0030252+0.070225i,0.0025138+0.049146i,0.013975+0.0338i,-0.0010989-0.0048025i,-0.038429+0.011755i,-0.036974+0.020263i,0.0071675+0.022676i,-0.0081867+0.0047207i,-0.010082+0.0051814i,-0.012713+0.00073363i,0.00089426-0.00081987i,0.0075627+0.0087544i,0.0022319+0.010852i,-0.011633-0.0096146i,0.00012075-0.0073353i,-0.0064573-0.0032441i,-0.0015707-0.0060969i,0.0012351-0.0053741i,0.0029498+0.0077973i,0.0058508-0.0070174i,0.0019125-0.0062008i,-0.00016969-0.0040505i,0.0038018-0.0011886i,-0.0032132-0.0028882i,-0.0015482+0.00091733i,0.0026822-0.00084406i,0.010163+0.02252i,-0.0053634-0.0038469i,0.0022208-0.0021377i,-0.0025777-0.0054543i,0.0031419-0.0025085i,-0.013775+0.0033618i,0.0012591+0.00045058i,0.0038317-0.0025123i,0.0031991-0.0021485i,2.5699e-06-0.0041227i,0.0026238+0.0023496i,0.0010915+0.005139i,-0.0014874+0.0057494i,-0.0092546+0.0077454i,-0.018314-0.00011741i,-0.029918+0.059651i,0.0010041+0.0050035i,-0.028478-0.011662i,-0.0096362-0.010711i,0.011921+0.019008i,0.0036645+0.024901i,-0.0024604-0.0025811i
0.012085+0.015264i,0.028364+0.041494i,0.035915+0.024965i,0.028709+0.02082i,0.036974+0.018283i,0.025689-0.02617i,0.012174-0.015176i,0.031183-0.0052721i,0.015363+0.0083952i,0.004108+0.0010047i,0.0059109-0.00021363i,0.0051192+0.0027279i,0.0060677+3.9787e-05i,0.0061824+0.00077027i,0.0008449-0.0041558i,0.0051976-0.0040759i,0.0049646-0.0084729i,-0.0019328-0.0012769i,-0.0031626+0.001325i,0.00038422-0.00049964i,-0.0018502-7.7206e-05i,-0.0017649+0.0023948i,-0.0013677+0.0012061i,0.0092168+0.0010058i,0.0021777+0.00088956i,0.001749-0.0016303i,0.0018284-0.00057664i,0.0016866-6.3179e-05i,0.00024904+0.00014142i,-0.00024156+0.0012495i,-0.0035924-0.00021974i,-0.0019637+0.00051825i,-0.00030719+0.0016691i,-0.00051265+0.0008217i,-0.0010329+0.00034311i,-0.0021402+0.00997i,0.00059877-0.00050406i,0.00079768-0.0011062i,0.0011091+0.0015544i,-0.0021417-0.0022629i,-0.0010426+0.00041492i,-0.0018271+0.00086118i,0.0017909+0.0010576i,0.0077074+0.0041581i,0.00017672+0.033334i,-0.056389+0.059408i,-0.039235+0.056042i,-0.016018+0.065101i,0.011215+0.063613i,0.011984+0.047048i,0.013102+0.030083i,-0.0062545-0.0061982i,-0.038759+0.017354i,-0.030299+0.019327i,0.012039+0.017841i,-0.0079028+0.0069035i,-0.0078202+0.0082916i,-0.012409+0.0039683i,-0.0010673-0.0023836i,0.0095464+0.0069682i,0.0069874+0.010571i,-0.015463-0.0055258i,-0.0017973-0.0049848i,-0.0052829-0.00038238i,-0.0033237-0.003908i,-0.0010786-0.0048038i,0.0051202+0.006355i,0.0034598-0.0073614i,-0.0023951-0.0046822i,0.00012619-0.0017712i,0.0038206-0.003809i,-0.0056734-0.0018724i,-0.00026472+0.00060754i,0.00234-0.001376i,0.013744+0.018229i,-0.0073409-0.0013264i,0.002034-0.0030119i,-0.0028955-0.0037477i,0.0033057-0.0041441i,-0.0096526+0.0079073i,0.002217-0.00010185i,0.0023773-0.0034438i,0.0021554-0.002825i,-0.00055591-0.0040641i,0.0014744+0.0014358i,0.0030586+0.0039171i,0.0015822+0.0058397i,-0.0070655+0.0091866i,-0.018572+0.0059558i,-0.020682+0.059593i,0.0043002+0.0051443i,-0.029886-0.006449i,-0.013642-0.01231i,0.016378+0.015882i,0.0098887+0.024906i,-0.004673-0.0019682i
0.012777+0.012871i,0.031985+0.035313i,0.038824+0.016981i,0.032244+0.013347i,0.04112+0.010034i,0.019272-0.030039i,0.0079301-0.016899i,0.028984-0.011355i,0.016669+0.0052789i,0.0035007+0.00030947i,0.0049874-0.00117i,0.0058839+0.0018609i,0.0053139-0.00096942i,0.0057577-0.00097194i,-0.00044089-0.0040181i,0.0035451-0.0043495i,0.0014677-0.0080473i,-0.0021482-0.00045226i,-0.0018315+0.0016052i,-0.00043876-0.00085883i,-0.0020386+0.000763i,-0.0010581+0.0029917i,-0.0012127+0.0015077i,0.007817-0.0026803i,0.0021689-0.00012312i,0.00084959-0.0015623i,0.0012774-0.00097029i,0.0011121-0.00096586i,0.0003199-2.483e-05i,0.00012002+0.0014195i,-0.0034006+0.0016452i,-0.001357+0.0015074i,0.00058098+0.0014534i,-0.00032105+0.00098775i,-0.00054288+0.00086037i,0.00197+0.0096086i,0.00040775-0.0005581i,0.00017425-0.0013992i,0.0010977+0.0014107i,-0.0028247-0.0014063i,-0.001014+0.00061807i,-0.0015167+0.0012731i,0.0023092+0.0012203i,0.0093248+0.0025915i,0.0061259+0.030468i,-0.04138+0.066762i,-0.029869+0.061966i,-0.006973+0.064445i,0.023681+0.052987i,0.021349+0.04138i,0.011691+0.028958i,-0.012613-0.0047608i,-0.036949+0.024153i,-0.026325+0.017094i,0.015189+0.011766i,-0.0064043+0.0098066i,-0.0044402+0.01151i,-0.010587+0.0074539i,-0.0045897-0.0014804i,0.01166+0.0036829i,0.011169+0.0078839i,-0.018088-0.00034401i,-0.0024951-0.0036297i,-0.0034531+0.00099639i,-0.0037878-0.0015158i,-0.0025405-0.0035747i,0.0071474+0.0032996i,0.0010832-0.0076893i,-0.0033606-0.0011889i,0.0010972-0.00091602i,0.0016659-0.0055819i,-0.0056474-0.00063359i,0.00064441+0.0007063i,0.0023141-0.0020632i,0.019863+0.010403i,-0.0071613+0.0024591i,0.0015494-0.0044179i,-0.0031568-0.0023672i,0.0015008-0.0060752i,-0.0045907+0.0092813i,0.0027923-0.0012177i,0.0010076-0.0029774i,0.0012256-0.0026879i,-0.0022915-0.0034897i,0.0010978+0.0014209i,0.0037252+0.0017075i,0.0041611+0.0048295i,-0.0045309+0.0099311i,-0.016525+0.01169i,-0.012383+0.059948i,0.010475+0.00080627i,-0.029145-0.0004125i,-0.019688-0.012115i,0.017478+0.011005i,0.016858+0.021935i,-0.0049614-0.0012696i
0.014036+0.011063i,0.035603+0.030386i,0.040119+0.0099051i,0.03347+0.0057263i,0.042601+0.0011236i,0.013252-0.032276i,0.0038668-0.017001i,0.025685-0.01626i,0.017437+0.0019476i,0.0030976-5.9554e-05i,0.004336-0.0015901i,0.0065018+0.00050858i,0.0048088-0.001225i,0.0048413-0.0023348i,-0.0015719-0.0031836i,0.0022405-0.0039238i,-0.00041121-0.006909i,-0.0022987+0.00032898i,-0.0011216+0.001658i,-0.0011779-0.0006284i,-0.0018426+0.0013639i,0.00018468+0.0031968i,-0.00097457+0.0019388i,0.0055667-0.0048095i,0.0015856-0.00063054i,0.00032704-0.0016033i,0.00082883-0.0011301i,0.00015826-0.0012932i,0.00012175+1.495e-05i,0.00086075+0.0013644i,-0.002144+0.0028948i,-0.00036324+0.0019049i,0.00088454+0.001029i,5.5457e-05+0.0012874i,0.00015754+0.0010962i,0.0046136+0.0075073i,0.00012082-0.0005604i,-0.00047122-0.0011821i,0.0018235+0.0010748i,-0.0028421-0.00024645i,-0.0008114+0.00070394i,-0.0010355+0.0015372i,0.0029443+0.00076754i,0.010017-6.8437e-05i,0.010154+0.026659i,-0.025554+0.069533i,-0.017991+0.066572i,0.0027094+0.0642i,0.02968+0.039915i,0.027717+0.034094i,0.012236+0.029866i,-0.016752+0.0015362i,-0.033231+0.033015i,-0.025441+0.015318i,0.014082+0.0057463i,-0.0030857+0.011976i,0.00081887+0.011764i,-0.0086488+0.010178i,-0.005554+0.0018835i,0.012008-0.0014158i,0.01414+0.0034236i,-0.018361+0.0049683i,-0.002724-0.0016503i,-0.0023673+0.0014441i,-0.0026712-2.9088e-06i,-0.0040944-0.0013258i,0.0067506+0.00059061i,-0.0011937-0.0073595i,-0.0033353+0.002286i,0.0025126-0.0016101i,-0.00081337-0.0058836i,-0.003572+0.0014149i,0.0019763+0.00011497i,0.0017452-0.002607i,0.020895+3.1829e-05i,-0.0045464+0.0049096i,-0.00039214-0.0051972i,-0.0026879-0.0021099i,-0.0009378-0.0064085i,-0.00080062+0.0085417i,0.0022989-0.0024103i,0.00088586-0.0015873i,0.0013993-0.002485i,-0.0017026-0.0018828i,0.0015992+0.0013107i,0.0024083+0.00034895i,0.0050911+0.0022866i,-0.0022916+0.0093912i,-0.011983+0.016827i,-0.0035517+0.059459i,0.0119-0.009641i,-0.025684+0.0018472i,-0.026027-0.0081438i,0.018256+0.0065423i,0.021384+0.015195i,-0.0059619-0.0015993i
0.015506+0.008653i,0.039514+0.024808i,0.041201+0.002657i,0.033296-0.0017974i,0.042471-0.0075449i,0.0069402-0.033893i,0.00093226-0.01628i,0.022032-0.020353i,0.017618-0.0019618i,0.002548-0.00030462i,0.0041973-0.0019202i,0.0066938-0.0010037i,0.0050995-0.0017314i,0.0037106-0.0031492i,-0.0021571-0.0022492i,0.001614-0.003267i,-0.0013545-0.0062812i,-0.0017902+0.0007258i,-0.00067742+0.0018298i,-0.001432-4.2224e-05i,-0.0013223+0.0018437i,0.0014728+0.0027431i,-0.00034616+0.0022432i,0.0026297-0.00594i,0.0014186-0.00080649i,-0.00020983-0.0015325i,0.00038909-0.0012872i,9.0263e-05-0.0009601i,8.2163e-05+0.00013338i,0.0013191+0.00069282i,-0.00067121+0.0033797i,0.00040608+0.0018193i,0.0011245+0.00063568i,0.00066001+0.0010808i,0.00059023+0.00061683i,0.0053939+0.0043043i,-2.0637e-05-0.00040755i,-0.00072136-0.00090758i,0.00178+0.00010835i,-0.0024236+0.00043293i,-0.00068819+0.00080955i,-0.0005628+0.0016574i,0.0032983+0.0001712i,0.0103-0.0026998i,0.013419+0.023017i,-0.011243+0.067945i,-0.0041768+0.06672i,0.012746+0.061815i,0.031816+0.028197i,0.03171+0.026193i,0.01508+0.031418i,-0.016138+0.010258i,-0.024764+0.042279i,-0.026279+0.016017i,0.011956+0.0028345i,0.00097998+0.012053i,0.004656+0.0099315i,-0.0054953+0.012383i,-0.0046364+0.004111i,0.0096031-0.0067275i,0.014183-0.0025683i,-0.016986+0.0098631i,-0.0015724-0.00056083i,-0.00141+0.0012754i,-0.0016939+0.00038133i,-0.0032421+0.0015259i,0.0055659-0.0009844i,-0.0023584-0.0059607i,0.00012659+0.0042376i,0.0025762-0.0033951i,-0.0032264-0.0046628i,-0.0021666+0.0019159i,0.002472-0.0010336i,0.0015277-0.002864i,0.017266-0.0077867i,-0.0015997+0.0055714i,-0.0019176-0.0046392i,-0.0030251-0.0017145i,-0.0031576-0.0055015i,0.0016685+0.0069751i,0.0020607-0.0032044i,0.0022434-0.0016587i,0.0010336-0.003892i,-0.00080645-0.0024718i,0.0010743+0.001019i,0.0014587+0.00060263i,0.0051408+0.00097213i,-0.0010566+0.0083849i,-0.0053866+0.019418i,0.0055394+0.057944i,0.0062724-0.018212i,-0.024073+0.00061206i,-0.030561-0.00097987i,0.017035+0.00067685i,0.022174+0.0083262i,-0.0072539-0.00046021i
0.016814+0.0059442i,0.042213+0.018175i,0.040168-0.0057998i,0.030842-0.0097008i,0.040628-0.016732i,0.00016768-0.033809i,-0.0012133-0.01555i,0.017795-0.02388i,0.016521-0.005589i,0.0019979+0.00010467i,0.0035842-0.0025622i,0.0064525-0.0030423i,0.0049835-0.0029882i,0.0024721-0.0036062i,-0.0025386-0.0012146i,0.0014823-0.0029387i,-0.0025723-0.0056102i,-0.0017674+0.0010708i,0.00016991+0.0018533i,-0.0017618+0.00049141i,-0.00086746+0.0020001i,0.0023287+0.0017634i,0.00022482+0.0023141i,-0.00060795-0.0054862i,0.0010476-0.001811i,-0.00074383-0.0010559i,-0.00028191-0.0012942i,-0.00017517-0.00082643i,0.00034051+0.00017754i,0.0012521+1.7376e-05i,0.000984+0.0030504i,0.00083843+0.001592i,0.0010457+0.00017894i,0.001133+0.00072589i,0.00050223+5.0638e-05i,0.0064284+0.00068269i,-0.00014114-0.00031295i,-0.0009611-0.00084948i,0.0013458-0.00031446i,-0.0019149+0.00062058i,-0.00044135+0.0010141i,1.7683e-05+0.0016805i,0.0035772-0.00082158i,0.0093569-0.0071123i,0.015749+0.019398i,0.00078319+0.064717i,0.0076515+0.062753i,0.022624+0.057755i,0.030716+0.018171i,0.033479+0.019351i,0.020746+0.031295i,-0.0093955+0.016297i,-0.011622+0.046908i,-0.026485+0.0199i,0.010166+0.0011581i,0.0042919+0.010412i,0.0069514+0.0069107i,-0.0021589+0.013087i,-0.0038631+0.0056392i,0.0035156-0.0092634i,0.011132-0.0072245i,-0.013411+0.014266i,-0.00070487-0.001097i,-0.0011131+0.00087643i,-0.0012931+0.00031464i,-0.0010058+0.0029695i,0.0042446-0.0012114i,-0.0029783-0.004787i,0.0024877+0.0032977i,0.0011347-0.0049868i,-0.0043382-0.0028986i,-0.0010806+0.0019922i,0.0017608-0.0025899i,0.0012373-0.0038458i,0.011785-0.011613i,0.00071811+0.0050469i,-0.0028738-0.0039943i,-0.0027353-0.0013852i,-0.0046493-0.0041863i,0.0032148+0.0052067i,0.0015101-0.0045806i,0.0027103-0.0031115i,-0.0007133-0.0043303i,-0.0014022-0.0031711i,0.0018225+0.0021209i,0.0015084+0.0017186i,0.0045407-0.00083099i,-0.00066981+0.0078983i,0.0011314+0.018703i,0.014554+0.055093i,-0.0025239-0.023187i,-0.026684-0.00090584i,-0.031055+0.0081356i,0.011568-0.003435i,0.021909+0.0026663i,-0.0064732+0.00024915i
0.01796+0.0023419i,0.044176+0.012143i,0.036686-0.013038i,0.025611-0.015595i,0.036004-0.025285i,-0.0056944-0.031965i,-0.0027941-0.014861i,0.012664-0.026327i,0.015294-0.0085727i,0.0024409+0.00084557i,0.0030794-0.0027423i,0.0049891-0.0047929i,0.0042728-0.0041834i,0.0014032-0.0036268i,-0.0023217-0.00020769i,0.0013702-0.0027202i,-0.0044692-0.004364i,-0.0012345+0.0018631i,0.00062147+0.001197i,-0.0016771+0.0016266i,-0.00032105+0.0022743i,0.0024023+0.00048788i,0.00089252+0.0022161i,-0.0027809-0.003554i,-0.0004609-0.001911i,-0.0007999-0.00061825i,-0.00083823-0.0010037i,-0.00038918-0.00057037i,0.00037613-0.0001331i,0.0010155-0.00044051i,0.0021777+0.0021816i,0.0013031+0.0013602i,0.0008667-0.00011805i,0.0015608+0.00032835i,0.00019427+2.6084e-06i,0.0046854-0.0015887i,-0.00020191-0.00020807i,-0.0014753-0.00040693i,0.0010638-0.00041724i,-0.0014488+0.00093946i,-0.00016466+0.0011354i,0.00036274+0.0014149i,0.0030872-0.002022i,0.0040427-0.0085356i,0.017554+0.015367i,0.011768+0.059249i,0.016293+0.057401i,0.031413+0.052048i,0.028011+0.010928i,0.033986+0.012936i,0.026521+0.028246i,-0.0016142+0.017263i,0.0019191+0.045985i,-0.024289+0.024997i,0.0093767+0.0002537i,0.0069671+0.0078931i,0.0074375+0.003942i,0.0018803+0.012813i,-0.0023841+0.0074075i,-0.0022901-0.0078789i,0.0069411-0.0093635i,-0.0093622+0.016793i,-0.00084281-0.0021877i,-0.0014806+0.0011095i,-0.001154+0.00047723i,0.00155+0.0027694i,0.0036773-0.0015278i,-0.003783-0.0037227i,0.004016+0.0017191i,-0.0017133-0.0055786i,-0.0044023-0.00093472i,-6.9027e-05+0.0015682i,0.0011076-0.0032614i,-2.6855e-05-0.0049753i,0.0060174-0.013669i,0.0024231+0.0037999i,-0.0042474-0.0034601i,-0.003433-0.0012724i,-0.0057063-0.0025545i,0.0036386+0.0038782i,-0.00028825-0.0059049i,0.0026568-0.0045278i,-0.0017365-0.0033224i,-0.0018652-0.0032669i,0.002958+0.0020053i,0.001996+0.0020724i,0.0032426-0.0019475i,0.00021009+0.0079798i,0.0056848+0.015972i,0.02388+0.050817i,-0.012484-0.024726i,-0.030849+0.0011016i,-0.025667+0.016132i,0.0069703-0.0029293i,0.019065-0.0039638i,-0.0060138-0.0010944i
0.018104-0.0019652i,0.046026+0.0051571i,0.032568-0.018491i,0.020379-0.01866i,0.029844-0.031921i,-0.010234-0.029715i,-0.0040022-0.014667i,0.0077821-0.027671i,0.013626-0.011872i,0.003516+0.00074322i,0.0029201-0.0031812i,0.0031929-0.0055204i,0.0030128-0.0054592i,0.00055204-0.0035006i,-0.0018289+0.00040262i,0.0013395-0.0025615i,-0.0052217-0.0021464i,-0.00032504+0.0016193i,0.00053901+0.00065952i,-0.00086127+0.0022646i,0.00028677+0.0022327i,0.0019751-0.00037079i,0.0016003+0.001755i,-0.0036723-0.0010418i,-0.0010755-0.0010375i,-0.0008095-0.00037885i,-0.0011119-0.00053614i,-0.00023486-0.00075984i,4.7998e-05-5.1364e-05i,0.00059413-0.00074195i,0.0029722+0.00079605i,0.0015675+0.00080258i,0.00080517-0.00033633i,0.0010952-0.00020315i,0.00016557+0.0003039i,0.0031877-0.0040302i,-0.00019086-2.9353e-05i,-0.001432+0.00032687i,0.0009021-0.00073651i,-0.00072868+0.0011616i,0.00024355+0.00097461i,0.00057547+0.0011887i,0.0021199-0.0028667i,0.0011106-0.0069156i,0.018433+0.011363i,0.01952+0.051684i,0.023443+0.052283i,0.039126+0.044402i,0.024685+0.0054724i,0.033745+0.0084053i,0.031465+0.02419i,0.0049249+0.016015i,0.013291+0.041436i,-0.019522+0.029579i,0.0089382-0.0010624i,0.0084006+0.0045314i,0.0077356+0.0016425i,0.0055096+0.010599i,0.00043465+0.0078794i,-0.0056206-0.0045834i,0.00271-0.0098621i,-0.0038812+0.01793i,-0.0027581-0.0026906i,-0.0021646+0.002079i,-0.00099897+0.00068636i,0.0030186+0.0014159i,0.0030765-0.00099977i,-0.0041194-0.001947i,0.0046955-0.00011236i,-0.0039469-0.0040204i,-0.0032345+0.00073112i,0.00029871+0.0006014i,0.00028181-0.0041145i,-0.0020017-0.0049486i,0.00079674-0.013097i,0.0036708+0.0020287i,-0.0054592-0.0019594i,-0.0039763+2.5364e-05i,-0.0058938+8.1948e-06i,0.0039325+0.0030999i,-0.0034185-0.0059631i,0.0019469-0.0062206i,-0.0022001-0.0029786i,-0.0025484-0.0034648i,0.0040968+0.001465i,0.0025561+0.0022872i,0.0020604-0.0013484i,0.0011087+0.0077283i,0.0092164+0.01188i,0.032369+0.044098i,-0.023238-0.021822i,-0.033553+0.0047317i,-0.020099+0.018938i,0.0051106-0.0019147i,0.012738-0.0066224i,-0.008367-0.0018114i
0.016665-0.0061168i,0.046526-0.0028777i,0.028321-0.023106i,0.015932-0.020455i,0.022838-0.037015i,-0.01486-0.027242i,-0.0055796-0.015298i,0.0030308-0.028588i,0.010948-0.014792i,0.0044037-6.3384e-05i,0.0025331-0.0039782i,0.0014659-0.0056719i,0.0011209-0.0062221i,-0.00014442-0.0032937i,-0.0014847+0.00056317i,0.0015104-0.0027071i,-0.0049293-0.00011884i,-0.00011731+0.0010286i,0.00055765+0.00044238i,-5.8038e-05+0.0024302i,0.00091731+0.0021223i,0.0015015-0.00078097i,0.0020998+0.0010511i,-0.0030256+0.0014669i,-0.0010144-0.00032632i,-0.00079083+7.4377e-05i,-0.0011781-0.00022137i,-0.00078733-0.00019207i,8.0609e-05+7.8004e-05i,-3.0425e-05-0.0008258i,0.0029733-0.00064703i,0.0016719+0.00036059i,0.00063605-0.00058175i,0.001047-0.00061084i,0.00042213+0.00049655i,-0.0044855-0.0072254i,-2.1329e-05+1.5758e-05i,-0.0010361+0.00067972i,0.00023357-0.00080316i,7.2379e-06+0.00096511i,0.000338+0.00092039i,0.00069842+0.0010097i,0.00095626-0.0028232i,-0.00021633-0.0052064i,0.018542+0.0082059i,0.023981+0.045394i,0.03019+0.047033i,0.044118+0.036538i,0.020712+0.0010396i,0.034691+0.0047323i,0.03523+0.018812i,0.011335+0.012482i,0.022719+0.033675i,-0.012659+0.032529i,0.0082157-0.0026427i,0.0081621-1.0464e-05i,0.0076873-0.0010469i,0.0074841+0.0074694i,0.0022419+0.0068581i,-0.007018-0.00025403i,-0.0013062-0.008736i,0.00043607+0.016106i,-0.004029-0.0011936i,-0.0018798+0.0040282i,-0.00084361+0.00098136i,0.0039709-0.0007157i,0.0040677+0.00040056i,-0.0033793-0.0007472i,0.0043703-0.0010948i,-0.0047436-0.0019906i,-0.0014048+0.0011645i,3.0194e-05+0.00023773i,-0.0021025-0.0048965i,-0.0035644-0.0036256i,-0.0031827-0.011873i,0.0037993-9.105e-06i,-0.0057103+6.9607e-05i,-0.0030646+0.0011512i,-0.004807+0.0017782i,0.0049572+0.0025496i,-0.0055649-0.0040003i,-0.00047051-0.0078935i,-0.0027759-0.0021575i,-0.0046165-0.0033255i,0.0052999-0.00033469i,0.004317+0.0024305i,0.0024507-0.00098931i,0.0022287+0.007591i,0.0096909+0.0072907i,0.039323+0.035296i,-0.030549-0.013305i,-0.036472+0.01074i,-0.014804+0.02069i,0.0032807-0.00035847i,0.0088746-0.0041676i,-0.0097878-0.00083788i
