-0.031387-0.038876i,-0.021509-0.018739i,-0.013186-0.035436i,-0.02989-0.019752i,-0.022283+6.3209e-05i,-0.01369-0.005603i,-0.055244-0.058448i,-0.046745-0.017159i,-0.037967-0.014491i,0.011287+0.012006i,-0.0073864+0.0048085i,-0.019715+0.019081i,0.0024374+0.011467i,-0.0059866-0.0031947i,0.00024367+0.0013165i,-0.001527+0.030147i,0.027721+0.027928i,0.0026359-0.0022548i,-0.0020496-0.0068446i,0.0078648+0.0025242i,0.0025138+0.00098987i,0.00028655+0.0038212i,-0.00035025+0.00029082i,-0.037406-0.011963i,0.00015449-0.0076155i,0.0015176+0.0021019i,0.0063243+0.001477i,0.0019356+0.00061616i,0.0012133-0.00043469i,-0.00014417-0.0026802i,0.0017073-0.0024683i,-0.0025583-0.0057755i,-0.00056179-0.0047294i,0.0030021-0.00063978i,0.0048006-0.0028122i,0.0027221+0.029899i,0.0040153-0.0035065i,0.0029244-0.0016008i,0.0083266-0.0013254i,-0.0048763-0.0022861i,-6.2148e-05+0.0010613i,0.0095245+7.2577e-05i,0.0046095-0.0024612i,-0.00134+0.008973i,-0.018478-0.0066327i,-0.018593+0.015441i,-0.0033415-0.06071i,-0.005218-0.026824i,-0.026551-0.03278i,-0.010872-0.026879i,0.054897-0.020477i,0.016769-0.042617i,0.02237-0.049099i,0.005478-0.054957i,0.02637-0.021084i,0.0082004+0.0060381i,0.024865-0.033916i,-0.0080356-0.0066972i,0.0039729-0.0047748i,-0.0044687-0.0071811i,-0.0020383-0.03338i,-0.018152+0.029906i,0.0085985-0.011823i,-0.0091438-0.0040509i,-0.0042595-0.0016044i,0.00073302-0.013049i,-0.011144+0.0044944i,0.002355+0.010148i,-0.0049664+0.027226i,0.0050803+0.0024667i,-0.0052563-0.0019191i,-0.0022484-0.0021147i,-0.012996-0.0075384i,-0.00058343-0.0041232i,-0.03612+0.0014248i,0.0011437-0.01079i,-0.0082523+0.00011431i,-0.0067639-0.002283i,0.005315+0.0011947i,-0.0080032-0.00019042i,0.002245-0.00012544i,0.003758+0.0070848i,0.0043227+0.00035751i,-0.008337-0.013286i,0.0029629+0.0091316i,-0.015179+0.0047516i,0.0068288+1.8298e-05i,-0.022451+0.00043865i,-0.017541+0.0060584i,-0.0091382-0.066814i,0.0083398-0.013064i,-0.049359-0.022806i,-0.021479+0.0012125i,0.017371+0.01154i,-0.022987+0.01479i,-0.019491-0.0052427i
0.028901+0.0326i,0.01371+0.014701i,0.017286+0.024655i,0.0064282+0.018845i,0.0083772+0.0067967i,0.0045215-0.0010224i,0.015315+0.011655i,0.015657-0.0021256i,0.0079079-0.0081944i,0.0020743+0.0035176i,0.0021116-0.0024475i,0.00063395-0.0051077i,-0.0017928+0.00076384i,0.0012804-0.0014341i,0.0019353-0.00061811i,0.0054876-0.0023761i,0.0054466-0.0072475i,0.00025468+0.00041759i,-0.0039128+0.00062439i,0.00013271+0.00061246i,-0.00080405-0.0011845i,-0.0025979-0.0010817i,-0.0015563+0.00081535i,0.0057456+0.0096398i,-0.0012437+0.0014063i,0.0006557+0.0017104i,0.0012089+0.0009212i,-0.0018194+0.0027175i,-0.0010489+0.00017899i,-0.0013224+0.00060538i,-0.0013472-0.0013191i,-0.0018604-0.00085958i,-2.6938e-05+0.00028309i,0.0006119+0.00060868i,-0.00013287-0.00096675i,-0.00929+0.010031i,0.0015914+7.5904e-05i,0.00071465+0.00089089i,0.00087788+0.0023663i,0.00087742-0.0013522i,-6.6246e-05-0.00057843i,-0.00071553-0.00067613i,0.00020971+0.0015874i,-0.00014827+0.0017365i,0.019189+0.013443i,-0.023317+0.012023i,-0.011495+0.016548i,-0.022549+0.011542i,-0.003851+0.037798i,-0.019997+0.017713i,0.002433-0.0044324i,-0.011949-0.016601i,-0.018934+6.2107e-05i,-0.0063208+0.014843i,0.017558+0.021458i,-0.00042343+0.0023407i,-0.0036385+0.0008316i,-0.012576-0.0043927i,0.011495+0.0012821i,0.012735+0.0099786i,-0.00043656+0.0056035i,-0.0050248-0.0071715i,0.0061685-0.003104i,-0.0033143-0.0042289i,0.0037441-0.008351i,0.0088687-0.0028651i,-0.0012961+0.010554i,0.012342-0.0063746i,0.0033841-0.0077592i,0.0031606-0.0085456i,0.0022445+0.00069332i,-0.0022563-0.005735i,-0.0036125-0.0014768i,0.0025399-0.00016841i,-0.0089436+0.036042i,-0.0072399-0.0057276i,0.00016432+0.0010965i,-0.0014088-0.0070187i,0.0031008-0.00040501i,-0.018063-0.0069132i,-0.0017882-0.0037647i,0.0028556-0.0022192i,0.0032917-0.0013371i,-0.0030448-0.0078448i,-4.2208e-05+0.0071738i,5.014e-05+0.0033276i,-0.0030767+0.0043601i,-0.0072487+0.0011219i,-0.0066238-0.0014567i,-0.0051533+0.025732i,-0.0022999+0.014808i,-0.026508-0.01041i,-0.0013687-0.0025791i,0.014032+0.018292i,-0.000579+0.018418i,-0.00066279-0.0044571i
0.033607+0.026137i,0.016286+0.011045i,0.021432+0.021661i,0.0096315+0.018518i,0.010316+0.0055628i,0.0046429-0.0023688i,0.015303+0.008069i,0.015088-0.0046744i,0.005822-0.0096413i,0.0029173+0.0024585i,0.0019172-0.0026079i,-0.0012323-0.003524i,-0.0012704+0.0014329i,0.001039-0.00040645i,0.001769-0.00093648i,0.0043419-0.0027953i,0.0028971-0.00765i,0.00073288+0.00028888i,-0.0034653+0.0011815i,0.00041707+2.1893e-05i,-0.00096921-0.001373i,-0.0027348-0.00051644i,-0.0011993+0.00096195i,0.010765+0.0065381i,-0.0011143+0.0025343i,0.0015024+0.0012316i,0.0011186+7.8988e-06i,-0.00062481+0.0029713i,-0.0014873+0.00064966i,-0.0011167+0.0012173i,-0.0018803-0.00054891i,-0.0022657-0.00063103i,-0.00017041+0.00014196i,0.00073127+0.0003523i,-0.00087811-5.2514e-05i,-0.0053161+0.011829i,0.0012235-0.00055091i,0.00098355+0.00077155i,0.0014017+0.0015266i,0.00041343-0.0012608i,-0.00023375-0.00082149i,-0.0011083-0.00034003i,0.00033454+0.0016624i,-0.00032901+0.002103i,0.022054+0.010409i,-0.018968+0.015358i,-0.010512+0.019228i,-0.017645+0.013322i,0.0077515+0.03391i,-0.012493+0.017838i,-0.0042355-0.0077367i,-0.019355-0.017598i,-0.021495+0.00026408i,4.9564e-05+0.0098978i,0.021592+0.014387i,-0.00094206+0.0022247i,-0.0025254+0.0044442i,-0.012639+0.00016994i,0.010029-0.0029998i,0.014248+0.0062202i,0.0024672+0.0081569i,-0.0090086-0.0056528i,0.0019958-0.0047236i,-0.0035749-0.002096i,-0.0013837-0.0077733i,0.0069346-0.0054578i,0.0034368+0.0084895i,0.0072248-0.0090161i,-0.0011038-0.0074498i,-0.00098622-0.0058026i,0.0036478-1.7748e-05i,-0.0036376-0.0049147i,-0.0019379+0.00099425i,0.0031788-0.00050885i,0.0097566+0.034222i,-0.0089441-0.0035306i,0.00093192+0.00039705i,-0.0043698-0.0055537i,0.0038305-0.0016681i,-0.018747+0.0015948i,-0.002426-0.0027404i,0.0015633-0.0022951i,0.0033411-0.0029672i,-0.0053953-0.0060286i,0.0022544+0.0033658i,0.0013742+0.0025743i,-0.000219+0.0058377i,-0.005749+0.0038986i,-0.0074401-0.00021771i,0.00045533+0.021934i,0.0001613+0.016194i,-0.028614-0.0040982i,-0.002966-0.0065058i,0.016969+0.015601i,0.0029989+0.019639i,-0.0031806-0.0049199i
0.036591+0.018991i,0.017216+0.0063418i,0.025983+0.016331i,0.01426+0.015935i,0.012492+0.0036714i,0.0043281-0.0040192i,0.014572+0.0044773i,0.014182-0.0075577i,0.0038328-0.00998i,0.0029154+0.0014146i,0.0013896-0.0034798i,-0.0014349-0.0017111i,-0.00066393+0.0014874i,0.0017137-0.00044155i,0.0015002-0.0012448i,0.003378-0.0032458i,0.00059522-0.0075138i,0.00070546-0.00015148i,-0.003007+0.0020866i,0.00011536-0.000717i,-0.0018415-0.0016809i,-0.0024882+0.00014778i,-0.00096616+0.0010612i,0.01215+0.00060332i,8.7129e-05+0.0032068i,0.0016847+0.00033347i,0.00052421-0.00037955i,0.0005602+0.0026079i,-0.0011931+0.0014679i,-0.00060455+0.0016731i,-0.0020423+0.00047871i,-0.003102+0.0008496i,-0.00015686+0.0002181i,0.00071114-1.8506e-05i,-0.00068356+0.00097761i,-0.00142+0.012196i,0.00075871-0.0006237i,0.0012518+0.00023612i,0.0014169+0.0009575i,-7.3734e-05-0.0012367i,-0.00061559-0.0010268i,-0.0012099-0.00013421i,0.00060158+0.0019763i,0.00016533+0.0026174i,0.025626+0.0063241i,-0.014472+0.017739i,-0.0074362+0.022456i,-0.011924+0.012845i,0.018179+0.026522i,-0.0059791+0.017899i,-0.011478-0.0069874i,-0.025892-0.015076i,-0.023496+0.003722i,0.002903+0.0033211i,0.02208+0.0063468i,-0.0014548+0.0022386i,-0.0010907+0.0045705i,-0.012413+0.0031934i,0.006083-0.0074539i,0.014778+0.0017462i,0.0062326+0.0081244i,-0.011962-0.0026582i,0.00017066-0.0030597i,-0.0034548-0.00030331i,-0.0038827-0.0050212i,0.0046552-0.0066477i,0.0060513+0.0073591i,0.0041277-0.0086152i,-0.0045859-0.004692i,-0.0012482-0.0028785i,0.004203-0.0022815i,-0.0060678-0.0032055i,-3.8905e-05+0.00092565i,0.002713-0.0018253i,0.023211+0.023584i,-0.010323+0.00016622i,0.0014283-0.00015597i,-0.0040841-0.0036857i,0.0042663-0.0036133i,-0.014411+0.0089802i,-0.0023416-0.0017591i,0.00056623-0.0023866i,0.0018245-0.003755i,-0.007133-0.0031501i,0.0014427+0.0021774i,0.0019969+0.001491i,0.0025907+0.0054837i,-0.0035478+0.0046118i,-0.0079185+0.0017202i,0.002576+0.017774i,0.0073417+0.01544i,-0.028393+0.00052924i,-0.0059308-0.0091085i,0.019874+0.010255i,0.0079115+0.020251i,-0.0053917-0.0040674i
0.037598+0.012261i,0.016202+0.0028174i,0.027731+0.0094617i,0.017323+0.010982i,0.013944+0.00060296i,0.0031618-0.0054423i,0.013145+0.002045i,0.012246-0.010307i,0.0024702-0.010278i,0.0025957+0.00095564i,0.00012964-0.0034258i,-0.00076941-0.00083036i,-0.00052143+0.0015918i,0.0017095-0.00047835i,0.0010589-0.0014634i,0.0022079-0.003201i,-0.0012777-0.006248i,0.00060712-0.00028934i,-0.0016227+0.002792i,-0.0006063-0.00092141i,-0.0024629-0.00074682i,-0.0023355+0.00064961i,-0.00075203+0.0011504i,0.010347-0.0043702i,0.0013156+0.0032165i,0.0013636-0.00019723i,0.00014222-0.00018875i,0.0011103+0.0019778i,-0.00047187+0.0016632i,6.9273e-05+0.0018261i,-0.0016612+0.0014982i,-0.0022813+0.002413i,-0.00013237+0.00025985i,0.00043021-0.00019313i,-9.5276e-05+0.0014272i,0.0021881+0.011442i,0.00057537-0.00070644i,0.0010695-0.00035071i,0.0011893+0.00087345i,-0.00062602-0.00094075i,-0.0012162-0.00087109i,-0.0014587+0.00010393i,0.0012417+0.0021701i,0.00097396+0.0027146i,0.027869-5.4126e-05i,-0.0092421+0.019208i,-0.0026918+0.024739i,-0.0097063+0.0098337i,0.025787+0.014681i,0.00031412+0.014079i,-0.01799-0.0020953i,-0.032247-0.0093548i,-0.023506+0.0086216i,0.0015674-0.0031039i,0.020202-0.00090147i,-0.0016377+0.003153i,-3.847e-05+0.0062357i,-0.011594+0.0071322i,-0.00021518-0.0076372i,0.013927-0.0032933i,0.0096791+0.0060179i,-0.013308+0.0017641i,-0.00084032-0.0023647i,-0.0025792+0.0010755i,-0.0048601-0.0016029i,0.0025168-0.0073853i,0.0086698+0.0039008i,0.0020656-0.0083552i,-0.0055165-0.0001458i,-0.00034357-0.001657i,0.0028669-0.0044748i,-0.0065002+0.00017565i,0.0010497+0.0005804i,0.0018027-0.0026771i,0.029216+0.0091289i,-0.0090648+0.0047726i,0.0016907-0.0011878i,-0.004074-0.0020031i,0.0024726-0.0061331i,-0.0080463+0.011485i,-0.0020004-0.0010467i,-0.00012854-0.0016015i,0.00051398-0.0038469i,-0.0064317+0.00035648i,0.0011743+0.0020551i,0.0016967+0.00038648i,0.0050972+0.0042512i,-0.0016082+0.0037839i,-0.0079601+0.0036752i,0.003382+0.016088i,0.015387+0.0085051i,-0.026214+0.0053407i,-0.011128-0.010011i,0.018717+0.0047451i,0.013298+0.018477i,-0.0056625-0.0030036i
0.038163+0.0060448i,0.015699+0.00070824i,0.027699+0.0037189i,0.018592+0.0057802i,0.014214-0.0027368i,0.0018496-0.0062899i,0.011988+0.00092848i,0.0098572-0.012325i,0.001246-0.010829i,0.0024954+0.00060293i,-0.00088831-0.0028051i,-0.00013256-0.0007652i,-0.00031465+0.0019573i,0.0017757-0.00083486i,0.00063964-0.0013847i,0.0016073-0.0024837i,-0.0020387-0.0050576i,0.00039077-0.00030608i,-0.00044833+0.0025512i,-0.0012271-0.00064424i,-0.0025268-4.4693e-05i,-0.0018397+0.0012751i,-0.00049815+0.0013161i,0.006906-0.0073636i,0.0024159+0.002697i,0.0011243-0.00050252i,-9.57e-05+5.0172e-06i,0.0014328+0.0014325i,-4.6948e-05+0.0016546i,0.00089472+0.0016866i,-0.00075452+0.0021089i,-0.001167+0.0031701i,-0.00026375+0.00023727i,0.00028102+9.6589e-06i,0.00068048+0.0017159i,0.0049255+0.0098776i,0.00023468-0.0007713i,0.00065577-0.00064079i,0.0014678+0.0007685i,-0.00080623-0.00044844i,-0.0015883-0.00058284i,-0.001626+0.00056306i,0.0019379+0.0019073i,0.0013291+0.0022426i,0.02751-0.0071387i,-0.0035738+0.019062i,0.0035466+0.025229i,-0.0093154+0.0093304i,0.026681+0.0017307i,0.0027119+0.0088309i,-0.020295+0.0060451i,-0.035134+9.7135e-05i,-0.021842+0.015022i,-0.003-0.006881i,0.015262-0.0057355i,-0.00090863+0.0041246i,0.0035246+0.0061211i,-0.0089656+0.010505i,-0.0035547-0.0043818i,0.010715-0.0088467i,0.012431+0.0023056i,-0.013339+0.0061938i,-0.0011944-0.00055581i,-0.0015106+0.00179i,-0.0031019+0.00057618i,-0.00056082-0.0069511i,0.0087479+0.00053315i,-0.00013167-0.0078286i,-0.003614+0.0030398i,0.00064367-0.0018307i,0.00072152-0.0055284i,-0.0047644+0.0025853i,0.0020897-0.00036686i,0.0011104-0.0026869i,0.027657-0.0041301i,-0.0049829+0.007504i,0.0011279-0.0022389i,-0.0031983-0.0016163i,-0.00013926-0.0068577i,-0.0035323+0.011187i,-0.001854-0.00053222i,-7.3167e-05-0.00036054i,5.0632e-05-0.0032007i,-0.0040391+0.002187i,0.0016811+0.0018962i,0.00077978-0.00012849i,0.0061195+0.0014898i,-0.0015569+0.0021794i,-0.0070236+0.006059i,0.0053321+0.015269i,0.016997-0.0038359i,-0.022129+0.0064123i,-0.016301-0.0081155i,0.017319+0.00061688i,0.017476+0.012957i,-0.0065085-0.0031693i
0.038096-0.00024987i,0.015677-0.0016847i,0.02749-0.0018064i,0.018877+0.00043938i,0.014059-0.0059121i,0.00035021-0.0068757i,0.012102+0.00014536i,0.0073663-0.013839i,-0.00018925-0.011502i,0.0021377+0.00022511i,-0.0010449-0.0020038i,9.7914e-05-0.00091092i,0.00037554+0.0024145i,0.001547-0.0010107i,0.00045747-0.0013361i,0.0017625-0.0018483i,-0.0025407-0.0047676i,0.00044177-0.00041484i,0.00028649+0.0020018i,-0.0015569-0.00014853i,-0.0020659+0.0006249i,-0.0010262+0.0013609i,-0.00017087+0.0013953i,0.0027539-0.0086212i,0.0034762+0.0018168i,0.0008349-0.00082358i,-0.00013753+7.9861e-05i,0.0015627+0.0009441i,0.00042912+0.0016509i,0.0014534+0.0010602i,0.000271+0.002183i,0.00019438+0.0034676i,-0.00033998+0.00057562i,0.00045209+5.3747e-06i,0.0012622+0.0012573i,0.0066984+0.0079403i,-9.1556e-05-0.00062564i,0.00031081-0.00065373i,0.0015118+0.00049601i,-0.00055353-8.2238e-05i,-0.0019891-7.8304e-05i,-0.0015902+0.0010021i,0.0024436+0.0014755i,0.001651+0.0019978i,0.025335-0.013632i,0.0014724+0.017134i,0.0095778+0.023104i,-0.0080639+0.010066i,0.023467-0.0089903i,0.0022472+0.00517i,-0.01772+0.014439i,-0.032839+0.010433i,-0.016272+0.021997i,-0.008167-0.0063323i,0.010613-0.0072159i,0.00030642+0.0044082i,0.0056898+0.0037776i,-0.0053174+0.013322i,-0.0045834-0.0015423i,0.0045579-0.013029i,0.012395-0.0029321i,-0.011591+0.0099078i,-6.874e-05+0.000614i,-0.00032771+0.0017212i,-0.0015128+0.00088373i,-0.0022382-0.0050346i,0.0073443-0.0019205i,-0.0015989-0.0065418i,-0.0007218+0.0038911i,0.00071364-0.0031338i,-0.0014821-0.0051003i,-0.0030741+0.0033945i,0.0019194-0.0020739i,0.00087149-0.0027727i,0.021239-0.014167i,-0.0010162+0.007764i,0.00017004-0.0023905i,-0.0034638-0.0011024i,-0.0030616-0.0063249i,-0.00019948+0.010443i,-0.0012129-6.2691e-05i,0.0011987-0.00022245i,-0.00035033-0.0037666i,-0.0016221+0.0022766i,0.0018504+0.0016949i,0.00010394+0.00037727i,0.0052973-0.00042412i,-0.0025572+0.001342i,-0.0048986+0.0076519i,0.0076811+0.013725i,0.011012-0.013312i,-0.020418+0.003646i,-0.020859-0.0033561i,0.013895-0.0041888i,0.018166+0.007455i,-0.0073742-0.0024001i
0.036773-0.0065086i,0.014879-0.0045476i,0.025387-0.0083765i,0.016938-0.0055982i,0.013225-0.0095168i,-0.0013597-0.006956i,0.012899-0.0012486i,0.0045975-0.015151i,-0.0020984-0.011893i,0.0016731+0.00059008i,-0.0013875-0.0016677i,-0.00012889-0.0016166i,0.0011979+0.0023598i,0.0012762-0.0013136i,0.00024619-0.0012667i,0.002272-0.0019188i,-0.0035892-0.004332i,8.5616e-05-0.00063762i,0.0007948+0.0013424i,-0.0017851+0.00045323i,-0.0019739+0.00087125i,-0.00038862+0.00094133i,0.0001382+0.0013545i,-0.0014249-0.0079568i,0.0039725+4.1842e-05i,0.00036693-0.00093437i,-0.0005155+0.00027813i,0.0015326+0.00054611i,0.0010485+0.0013494i,0.0015892+0.00033235i,0.0012859+0.0018438i,0.0012905+0.0033641i,-0.00031439+0.00090355i,0.00050726-4.3633e-05i,0.0013954+0.00057412i,0.0079227+0.006046i,-0.00032568-0.00047062i,-4.2641e-05-0.0006011i,0.0017956+0.00028528i,-0.00020371+8.3201e-06i,-0.0021266+0.00074872i,-0.001364+0.0015849i,0.0029771+0.00077477i,0.0017895+0.0017984i,0.021517-0.019318i,0.0054896+0.013824i,0.01415+0.019337i,-0.0054209+0.011078i,0.017398-0.016924i,0.00091373+0.0035938i,-0.011852+0.019612i,-0.025688+0.017765i,-0.007235+0.025388i,-0.011336-0.0026567i,0.0070571-0.0071619i,0.0015392+0.004045i,0.0057655+0.00078887i,-0.00066909+0.014021i,-0.0051327+0.00087495i,-0.0041371-0.012589i,0.0097562-0.0070463i,-0.0085231+0.012795i,0.0014507-0.00031584i,0.00047511+0.0012848i,-0.001007+0.00024088i,-0.0023138-0.0034714i,0.0057362-0.0028174i,-0.0026023-0.0058973i,0.0012666+0.0034435i,-0.00044882-0.0048592i,-0.003123-0.0038934i,-0.0011776+0.0039965i,0.00044301-0.003194i,0.00031939-0.0033312i,0.012356-0.019435i,0.0020429+0.0064558i,-0.0002765-0.0023547i,-0.0029639-0.00086754i,-0.0049668-0.0047812i,0.0024645+0.0090032i,-0.00032253-0.00075145i,0.0018874-0.00099922i,-0.0015735-0.0035616i,-0.00040227+0.0013958i,0.0029851+0.0017514i,7.7453e-05+0.0013783i,0.0046124-0.0015908i,-0.0036605+0.0015232i,-0.0028061+0.0079429i,0.010014+0.01269i,0.0026349-0.01918i,-0.023611+0.001807i,-0.022053+0.0034296i,0.0075182-0.006302i,0.017968+0.002805i,-0.0071446-0.0020624i
0.034631-0.012137i,0.014175-0.0064247i,0.021228-0.012868i,0.012411-0.0098121i,0.011137-0.012953i,-0.0027923-0.0064813i,0.013843-0.0033122i,0.0014505-0.015732i,-0.0039258-0.012031i,0.0021766+0.0011804i,-0.0016588-0.00080225i,-0.001023-0.0017114i,0.0019669+0.0020749i,0.00088072-0.0013379i,9.2433e-05-0.0011883i,0.0024835-0.0021282i,-0.0049032-0.0029914i,-0.00017382-0.00045214i,0.00096385+0.00066786i,-0.001613+0.0012796i,-0.0016696+0.0014839i,-0.00051955+0.00036237i,0.00043863+0.0012762i,-0.0044227-0.0052762i,0.0031686-0.0014564i,-2.9062e-05-0.00084071i,-0.00044351+0.00068718i,0.0014526+0.00029254i,0.001253+0.00068043i,0.0014609-0.00022925i,0.0020067+0.0010883i,0.0024067+0.0026474i,9.0776e-05+0.0012756i,0.0005378-6.2166e-05i,0.0010871+0.00055322i,0.0085959+0.0038965i,-0.00042946-0.00030145i,-0.00029969-0.00034747i,0.0020207-0.00023474i,0.0002048-3.2891e-05i,-0.0017534+0.0016622i,-0.00078685+0.0020695i,0.0030589-0.00026791i,0.0019582+0.0017516i,0.016172-0.023564i,0.0079808+0.0096722i,0.017032+0.015148i,-0.0020579+0.010594i,0.010284-0.021102i,-0.00021545+0.0036843i,-0.00523+0.021892i,-0.017993+0.020557i,0.0025857+0.024994i,-0.011462+0.0021853i,0.0053064-0.0067796i,0.0027737+0.0033185i,0.0045297-0.0010917i,0.0043992+0.012782i,-0.0043421+0.0040706i,-0.01057-0.0070203i,0.0060882-0.0090219i,-0.0047888+0.014265i,0.0010091-0.0022866i,0.00089488+0.00078048i,-0.0010869+0.00025982i,-0.0019819-0.0024716i,0.0047617-0.0036218i,-0.0040646-0.0050022i,0.0024185+0.0020643i,-0.0037379-0.0053362i,-0.0038575-0.0021854i,0.0011348+0.0029996i,-0.00035924-0.003439i,-0.00079104-0.0038472i,0.0036051-0.019956i,0.0039724+0.0043984i,-0.00082059-0.002524i,-0.0036724-0.00067043i,-0.0062546-0.002555i,0.0039683+0.007612i,-0.00082215-0.0018834i,0.0022618-0.0019685i,-0.002212-0.0026249i,0.00016536+0.00047158i,0.0035933+0.00093099i,0.00090604+0.0019137i,0.0030924-0.0025232i,-0.0046668+0.0026561i,-0.0011352+0.0076695i,0.013808+0.010992i,-0.0082117-0.020878i,-0.027492+0.003802i,-0.019383+0.0095009i,0.0031505-0.0039224i,0.015737-0.0021115i,-0.0072887-0.0031252i
0.031912-0.017564i,0.0137-0.0090871i,0.017476-0.015443i,0.0080194-0.010935i,0.0082065-0.015704i,-0.0037999-0.0057762i,0.014829-0.0065072i,-0.0017014-0.015664i,-0.0060544-0.011939i,0.0031105+0.00098336i,-0.001169-0.00010603i,-0.0016791-0.00087182i,0.002595+0.0013026i,0.00052612-0.0013873i,8.4894e-06-0.0011227i,0.0027349-0.002378i,-0.0054904-0.0012951i,-9.4453e-05-0.00058001i,0.00078297+6.8985e-05i,-0.0010129+0.0017446i,-0.001228+0.0016759i,-0.00074229+0.00031527i,0.000764+0.0011175i,-0.0057711-0.0016212i,0.0021953-0.0021708i,-0.00025255-0.00065053i,-0.00012738+0.0007237i,0.0014891-3.4519e-05i,0.00098684+0.00051008i,0.0012069-0.00069467i,0.0024007+0.00018141i,0.0029341+0.0017217i,0.00076431+0.0012301i,0.00070102-0.00014427i,0.0013886+0.00088256i,0.0084577+0.0017654i,-0.00062374+1.1011e-05i,-0.00030873-0.00012847i,0.0018938-0.0010095i,0.00066524-0.00024328i,-0.00093586+0.0021759i,-0.00014056+0.0022542i,0.0026418-0.0011856i,0.0021807+0.0017408i,0.010288-0.026051i,0.008307+0.0053969i,0.018734+0.011094i,0.00048519+0.0087401i,0.0037804-0.022619i,-6.3402e-05+0.0056913i,0.0015229+0.022036i,-0.011105+0.021477i,0.010601+0.020984i,-0.0083344+0.0062389i,0.0039812-0.007185i,0.0037806+0.0017509i,0.0037386-0.0022681i,0.0085562+0.009108i,-0.0016585+0.0053027i,-0.012316-0.00026226i,0.0022696-0.0096309i,-0.00094029+0.014112i,-0.00063708-0.0031106i,0.00047736+0.00033739i,-0.0010321+0.00067554i,-0.0017421-0.0021393i,0.0035237-0.0034165i,-0.0049664-0.0032129i,0.0027477+0.00086821i,-0.0065056-0.0027205i,-0.0034509-0.00059718i,0.0018229+0.00099632i,-0.0010316-0.0036815i,-0.0021449-0.0032944i,-0.003559-0.017705i,0.0050768+0.001942i,-0.0017686-0.0024564i,-0.0038989+0.00081238i,-0.0060064+6.6151e-05i,0.0053493+0.0065565i,-0.0024951-0.002365i,0.0019676-0.0034558i,-0.0024943-0.0022266i,-0.00011679-0.0008638i,0.0042342+0.00021669i,0.0018974+0.0018576i,0.0016223-0.0018341i,-0.005107+0.004272i,0.00022923+0.0070025i,0.0178+0.007184i,-0.018324-0.01713i,-0.030165+0.0075966i,-0.014541+0.012322i,0.0020751-0.0017409i,0.011637-0.0049441i,-0.009733-0.0034204i
0.027994-0.022557i,0.012412-0.012271i,0.01419-0.017584i,0.0048406-0.010902i,0.004643-0.017687i,-0.0046289-0.0050984i,0.014714-0.011464i,-0.0046413-0.014956i,-0.0084599-0.011227i,0.0037865+0.00021698i,-0.00050716-4.9389e-05i,-0.0017816+0.00023358i,0.0026858+0.0003833i,0.0002618-0.001126i,-0.00011293-0.0011865i,0.0027216-0.0030977i,-0.0055789+0.00048961i,-0.00026127-0.00082958i,0.00052115-0.00018949i,-0.00037971+0.0018774i,-0.00081446+0.0020236i,-0.00089287+0.00047225i,0.00099761+0.00079411i,-0.0047862+0.0018026i,0.0013832-0.0024701i,-0.00042165-0.00043551i,7.8984e-05+0.00061721i,0.0012268-0.00052092i,0.001107+0.00043366i,0.00073036-0.001106i,0.0024707-0.00080793i,0.0033979+0.0008979i,0.0013297+0.00095217i,0.00070695-0.00059302i,0.0022061+0.00065264i,0.0081211+5.441e-05i,-0.0004506+0.00038594i,-0.00027605+0.00014465i,0.0011963-0.0014693i,0.0010382-0.00073021i,-0.00012078+0.0024778i,0.00054744+0.0022524i,0.0018522-0.0016798i,0.0025517+0.0019906i,0.0047002-0.026798i,0.0071039+0.0027285i,0.0196+0.0074046i,0.0019428+0.0077871i,-0.0023682-0.023656i,0.0029407+0.0078884i,0.0077122+0.019765i,-0.0038966+0.0204i,0.016551+0.014516i,-0.0030967+0.0079246i,0.0025313-0.0075267i,0.0037376-0.00089993i,0.0028339-0.0036582i,0.0095456+0.0040763i,-6.458e-05+0.0046459i,-0.011348+0.0064225i,-0.0015914-0.00863i,0.0024605+0.012021i,-0.0025759-0.0023712i,-0.00012896+0.00074291i,-0.00074597+0.0011544i,-0.001327-0.0022149i,0.0035025-0.0021638i,-0.0045345-0.0016565i,0.0030346+0.00062216i,-0.0068095+0.00060412i,-0.0025151+0.00024576i,0.00142-0.00021673i,-0.0029496-0.0039617i,-0.0030836-0.0022395i,-0.009099-0.01437i,0.0048116-0.00066814i,-0.0026176-0.0017367i,-0.0027587+0.0019215i,-0.004807+0.0018331i,0.0072601+0.0052472i,-0.0040252-0.0010858i,0.00065083-0.0048189i,-0.0032962-0.0014998i,-0.0013407-0.0013684i,0.0048543-0.0015062i,0.0027856+0.0014655i,0.0015807-0.0012773i,-0.0037731+0.0064109i,0.0010395+0.0059843i,0.020627+0.0013864i,-0.023606-0.0088687i,-0.03208+0.013463i,-0.010061+0.013227i,0.0012788+2.4118e-06i,0.0079936-0.0048765i,-0.011563-0.0021097i
