-0.0083064-0.039311i,-0.013182-0.042919i,0.00087993-0.045454i,-0.028035-0.027148i,-0.020136+0.014355i,-0.032967-0.030849i,-0.059969-0.059475i,-0.022818-0.072865i,-0.034268-0.050059i,0.0016362+0.014953i,-0.00676+0.0095723i,-0.014732+0.013738i,0.0016078+0.016255i,-0.0039423-0.003467i,0.00068006+0.0059542i,0.00054312+0.037007i,0.019874+0.058327i,0.0013482-0.00040301i,-0.0052463-0.008356i,0.008126+0.0045954i,0.0016214+0.0007708i,-0.00087553+0.0035871i,2.3126e-05-0.0014019i,-0.035316-0.0088022i,-0.0022491-0.0073552i,-0.00030691+0.0043769i,0.0048207+0.00016425i,0.00016366+0.0012255i,-0.00010788-0.00091473i,9.4538e-05-0.0028907i,-0.0011192-0.0056838i,-0.0023179-0.0038842i,-0.00056838-0.0079065i,0.00326-0.0011909i,0.0031735-0.0025049i,-0.00075439+0.033601i,0.0057927-0.0042684i,0.0035132-0.0022604i,0.0047513+0.00023424i,-0.013157-0.0036923i,-0.00014925+0.00032507i,0.010166-0.00084527i,0.0057853-2.0526e-05i,-0.0030114+0.0040174i,0.0028506+0.0024272i,-0.0034109+0.0075154i,0.012927-0.087308i,-0.006235-0.048356i,-0.024609-0.040452i,-0.020651-0.041728i,0.062228-0.018586i,0.026597-0.061671i,0.038385-0.04537i,0.029034-0.057223i,0.019315-0.014899i,0.008068+0.0097935i,0.024477-0.033975i,-0.0076174-0.0046603i,0.0024032-0.0032575i,-0.0049977-0.0062331i,0.0010764-0.031958i,-0.024324+0.031063i,0.0075984-0.0099697i,-0.010669-0.0013948i,-0.0051105-0.001025i,-0.0013515-0.013617i,-0.010225+0.0043273i,0.0039933+0.0078961i,-0.010444+0.030967i,0.0060414+0.007039i,-0.0051966-0.0012963i,-0.0016669-0.001678i,-0.011368-0.0073929i,0.00097613-0.0041987i,-0.034903+0.0051986i,0.0024641-0.012394i,-0.0090388-0.0021498i,-0.0064834-0.0025779i,0.0063785+0.0015225i,-0.0094716+0.0012161i,0.0011625+0.00045584i,0.0051307+0.0089241i,0.0044391+0.00043022i,-0.0092876-0.0096838i,0.0027716+0.0086407i,-0.019145+0.0065543i,0.0069815+0.0030221i,-0.028961-0.0077689i,-0.033895+0.0032469i,0.024124-0.078695i,0.012192-0.010486i,-0.04338-0.026566i,-0.022316-0.003328i,0.018402+0.012247i,-0.026527+0.012392i,-0.011427-0.0085772i
-0.013341+0.019112i,0.013285+0.045924i,0.026178+0.044504i,-0.00014745+0.017312i,-0.0023447+0.0067553i,0.026761+0.0010941i,0.014195+0.015971i,0.013458+0.043334i,0.0061136+0.019413i,-0.0022174+0.0055311i,0.0012613+0.0014714i,0.00257-0.0040374i,0.0023917-0.0026088i,0.0033981-0.00040954i,0.0032241-0.0023154i,0.0047295-0.0013356i,0.012963-0.0063915i,-0.00019908-0.00056107i,-0.0047807-0.0002361i,-0.00016782+0.0025037i,-0.00052738-0.0011071i,-0.0048726-0.001566i,-0.002346+0.0005654i,0.0044983+0.007911i,0.0024106+0.0014232i,0.0023233+0.00068086i,0.0019819+0.001553i,-0.0016019+0.0033715i,-0.00030623+0.00083896i,-0.0007141+0.0014371i,0.00070283-0.004097i,-0.0011576-0.0013105i,-0.00057795-0.00039467i,-8.3933e-05+0.00083961i,-0.00022415-0.0021768i,-0.0055551+0.009832i,0.0032632-3.6314e-06i,0.00094016+0.0001075i,-0.0006478+0.0025387i,4.4125e-05-0.002797i,-0.0020308+0.0004197i,-0.0025104-0.0018264i,0.00099721+0.0083454i,0.0037255+0.0011758i,-0.027584+0.020926i,-0.054638+0.025707i,-0.02852+0.046792i,-0.017891+0.03384i,-0.0044901+0.048771i,-0.0075139+0.032385i,0.0095266+0.010261i,-0.00485-0.0069309i,-0.038101-0.0081231i,-0.042221+0.01814i,0.0094381+0.021246i,-0.0015985+0.0026849i,-0.0061772+0.0016209i,-0.011375-0.0028686i,0.0098621+0.0012743i,0.011108+0.013462i,-0.0026571+0.0080478i,-0.0068364-0.012229i,0.0051194-0.0020813i,-0.0044051-0.0040943i,0.0043805-0.0074839i,0.005194-0.0023206i,-0.00087763+0.010033i,0.012368-0.0044075i,0.0072666-0.0068942i,0.0047033-0.0079629i,0.0033741-0.00044006i,-0.0031696-0.0063998i,-0.0036859-0.0014973i,0.0027965-0.001252i,-0.0126+0.035296i,-0.0055378-0.0047811i,0.0013521+0.00086997i,-0.00068213-0.0074542i,0.0031635-0.00071735i,-0.014354-0.0048076i,0.0012404-0.00084697i,0.0033941-0.0032629i,0.0027465-0.0023447i,-0.00051004-0.0063227i,-0.001168+0.0067444i,-0.00052266+0.0033317i,-0.0022825+0.0059283i,-0.01087-0.0017392i,-0.0086678+0.0027999i,-0.038443+0.039507i,-0.0068303+0.0159i,-0.022766-0.0050996i,-0.0009102-0.0016596i,0.0099006+0.019004i,-0.0010689+0.019865i,-0.0061515-0.00063277i
-0.011047+0.018948i,0.019925+0.041585i,0.033868+0.039297i,0.0039533+0.01945i,0.001529+0.0071018i,0.026557-0.0046469i,0.015124+0.012512i,0.020457+0.038849i,0.0083548+0.017484i,-0.0003778+0.005484i,0.0019565+0.0012907i,0.00028595-0.0028589i,0.0011099-0.00236i,0.0032372-0.00053388i,0.0024982-0.0028585i,0.0037692-0.0012281i,0.0095291-0.0090818i,0.00044121-0.00025608i,-0.0050138+0.00050366i,0.00088421+0.0015408i,-0.0010326-0.0012605i,-0.0052195-0.00029057i,-0.0022028+0.00060943i,0.0082563+0.0049737i,0.0022487+0.0015849i,0.0027799-0.00036757i,0.0021758+0.00052742i,-7.5036e-05+0.0036603i,-0.00059072+0.0014235i,-0.00034567+0.0016306i,-0.00099102-0.0038315i,-0.0017758-0.001115i,-0.001016-0.00026515i,0.00034472+0.00051451i,-0.0013188-0.00083703i,-0.0020326+0.010445i,0.0026789-0.0013047i,0.00098765-8.4816e-05i,0.00064465+0.0020785i,-0.00057358-0.002217i,-0.0016994+0.00055169i,-0.0030845-0.00077727i,0.0027191+0.0085614i,0.0032783+0.0006869i,-0.022859+0.025171i,-0.046784+0.034163i,-0.022456+0.051226i,-0.010291+0.035052i,0.008327+0.045338i,0.0020745+0.02981i,0.0045693+0.0039131i,-0.011894-0.01076i,-0.042574-0.0059949i,-0.032963+0.018971i,0.014455+0.017077i,-0.0023772+0.0031451i,-0.0050063+0.0061407i,-0.011412+0.0015926i,0.008232-0.0022069i,0.013722+0.011109i,0.0014374+0.011639i,-0.012525-0.0098837i,0.0025179-0.0031839i,-0.0041219-0.0018014i,-0.00054165-0.0074187i,0.0034386-0.004385i,0.0038297+0.0077108i,0.0084878-0.0076932i,0.0021773-0.0084791i,0.00089263-0.0053958i,0.0041691-0.0015634i,-0.0044806-0.0044894i,-0.0018516+0.00084059i,0.0027833-0.0017229i,0.0061287+0.035551i,-0.0069171-0.0036554i,0.0020595-0.00080312i,-0.0040862-0.0062153i,0.003834-0.0018005i,-0.013873+0.001885i,0.0012538-0.0004934i,0.0016063-0.003218i,0.0022879-0.0034984i,-0.002297-0.0055746i,0.0010284+0.0038949i,0.0011138+0.0027848i,0.0010643+0.0065965i,-0.010734+0.0021328i,-0.0084293+0.0041466i,-0.030363+0.040736i,-0.004134+0.018504i,-0.024652-0.00028821i,-0.0022855-0.0054685i,0.012426+0.018241i,0.0031497+0.021509i,-0.0081903-0.00028431i
-0.0094941+0.019266i,0.025193+0.03619i,0.041808+0.031472i,0.010955+0.01778i,0.0058294+0.0054864i,0.024876-0.010519i,0.015177+0.008957i,0.026589+0.032786i,0.011017+0.016425i,0.00067429+0.0050978i,0.0022447+0.00027571i,6.4003e-05-0.00094977i,4.6241e-05-0.002308i,0.0033033-0.0011012i,0.0016951-0.0030482i,0.0029625-0.0010176i,0.0059782-0.010739i,0.00049574-0.0008385i,-0.0050966+0.0022929i,0.00091384+0.00022671i,-0.0019457-0.0012977i,-0.0049997+0.0012715i,-0.0023765+0.00084818i,0.0088263+0.00035857i,0.0030234+0.00069334i,0.0021191-0.0016161i,0.0019828-0.00021274i,0.001507+0.0029942i,0.00031698+0.0016928i,5.9094e-05+0.0018709i,-0.0024754-0.0027836i,-0.0023914+0.00010003i,-0.0010196+0.00033192i,0.00036796+0.00015653i,-0.0010099+0.00049552i,0.0010121+0.010032i,0.0017293-0.0018034i,0.00085985-0.00061843i,0.00091634+0.0014166i,-0.0011852-0.0018274i,-0.00163+0.00074418i,-0.0031022+0.00033741i,0.0050729+0.0086722i,0.0031662+0.0001893i,-0.016477+0.028177i,-0.038049+0.040713i,-0.014329+0.055009i,-0.0023817+0.033195i,0.01985+0.037707i,0.010078+0.027073i,-0.0018257+0.0017298i,-0.018735-0.0098933i,-0.046366+0.00026916i,-0.025911+0.0162i,0.017303+0.010725i,-0.0025411+0.0040526i,-0.0027197+0.0078581i,-0.010963+0.0048719i,0.005053-0.0058244i,0.016207+0.0074169i,0.0067939+0.011826i,-0.0163-0.0053471i,0.0014237-0.0022583i,-0.0036952+0.00015939i,-0.0031819-0.0051117i,0.0012263-0.0045128i,0.0057908+0.0061254i,0.0056928-0.0086027i,-0.0026046-0.0067136i,0.00077694-0.0031999i,0.0039581-0.0040051i,-0.0059317-0.0024642i,-0.00027075+0.00048793i,0.0017822-0.0025506i,0.020949+0.026917i,-0.00867-0.00094128i,0.0019128-0.0019072i,-0.0038179-0.003899i,0.0042841-0.0038037i,-0.010098+0.0070105i,0.0023414-0.00035905i,-3.3665e-05-0.0032366i,0.00074371-0.0034418i,-0.0037622-0.0036804i,0.00059927+0.0027973i,0.0022183+0.0015327i,0.0038542+0.0054919i,-0.0093118+0.0047923i,-0.007938+0.0061626i,-0.024315+0.041056i,0.0031476+0.019626i,-0.023903+0.0041067i,-0.00482-0.0083345i,0.017048+0.01506i,0.0092283+0.022263i,-0.0094813+0.0013395i
-0.0078712+0.020056i,0.028345+0.031073i,0.046283+0.020909i,0.015791+0.012318i,0.0086761+0.0016283i,0.021428-0.015374i,0.014538+0.006538i,0.030278+0.025596i,0.014268+0.014048i,0.0015157+0.0049967i,0.0019498+7.2642e-05i,0.00086415-0.00024434i,-0.001346-0.0012008i,0.002866-0.0015743i,0.00079813-0.0031513i,0.0026759-0.00044701i,0.0020355-0.01032i,0.0004019-0.00092276i,-0.0033036+0.0038464i,0.00015845-0.00036985i,-0.002632-0.00035672i,-0.0043155+0.0028416i,-0.0022481+0.0015645i,0.0068987-0.0031551i,0.002675-0.00032373i,0.0010872-0.0019261i,0.0015586-0.00075425i,0.0020108+0.0017728i,0.00097303+0.0010461i,0.00075105+0.0020039i,-0.0032102-0.0010313i,-0.0019242+0.001271i,-0.00072661+0.00063367i,5.6341e-05+5.2767e-05i,-0.00018387+0.0010645i,0.0037557+0.0089301i,0.0010576-0.0021067i,0.00030416-0.00095361i,0.0010604+0.0012173i,-0.0015491-0.0013772i,-0.0013838+0.0011408i,-0.002796+0.001182i,0.0078154+0.0077017i,0.0031217-0.000291i,-0.0092253+0.02841i,-0.027619+0.045185i,-0.005114+0.057661i,0.0022058+0.029956i,0.028267+0.026256i,0.017262+0.020459i,-0.0086732+0.0040758i,-0.026163-0.0058527i,-0.048078+0.0089785i,-0.02269+0.012098i,0.017598+0.0036357i,-0.001836+0.0055288i,1.2561e-05+0.010068i,-0.009437+0.0084482i,-0.000512-0.0057101i,0.018235+0.0017964i,0.011992+0.0092881i,-0.018242+0.00034654i,0.00091165-0.0022881i,-0.0025325+0.0012713i,-0.0041238-0.0017426i,-0.00013457-0.0041428i,0.0075184+0.002866i,0.0027947-0.0092082i,-0.0050094-0.0022761i,0.0014508-0.0024692i,0.0018595-0.0060232i,-0.0058501+0.0003595i,0.00064705+0.00053935i,0.0010943-0.0026579i,0.029231+0.013127i,-0.0082826+0.0034031i,0.001521-0.0030878i,-0.0039417-0.0027052i,0.0027225-0.0062415i,-0.0050199+0.0085436i,0.0034512-0.0017048i,-0.0011911-0.0020233i,-3.6054e-05-0.0031223i,-0.0035453-0.0013127i,5.2315e-05+0.0028237i,0.0021516+9.3329e-05i,0.0062471+0.0035258i,-0.0075658+0.0062965i,-0.0070747+0.0083752i,-0.01872+0.042507i,0.013242+0.014314i,-0.021442+0.0081769i,-0.010092-0.0096413i,0.018602+0.010029i,0.015731+0.019918i,-0.0087738+0.0025569i
-0.0054794+0.021051i,0.031689+0.026866i,0.047747+0.011188i,0.01815+0.0060238i,0.0090459-0.0029761i,0.017663-0.018984i,0.014141+0.0053247i,0.032049+0.019237i,0.017265+0.010686i,0.0026651+0.0046212i,0.0018007+7.6346e-05i,0.0017164-0.00049791i,-0.0014409+0.00076164i,0.0024036-0.0020105i,8.1823e-06-0.0026868i,0.0030454+0.00019601i,-0.00052233-0.0086826i,-7.3019e-05-0.0010259i,-0.0016908+0.0039631i,-0.0005288-0.00028807i,-0.0027119+0.0005434i,-0.0026675+0.0040472i,-0.001611+0.002164i,0.0041362-0.0050272i,0.0022302-0.00099135i,0.00039613-0.0020291i,0.0010928-0.0011005i,0.00181+0.00089418i,0.00086218+0.00052315i,0.0017228+0.0016877i,-0.0027971+0.00034775i,-0.0011091+0.001949i,-0.00048702+0.00070541i,0.00011294+0.00072792i,0.00064398+0.0010815i,0.0059177+0.0072052i,0.00019278-0.0021486i,-0.00022992-0.00075453i,0.0016669+0.00097425i,-0.0017903-0.00082999i,-0.0011152+0.0012339i,-0.0022848+0.0019204i,0.010105+0.0052666i,0.0025443-0.0010459i,-0.0044057+0.026623i,-0.016588+0.046318i,0.0064459+0.057783i,0.0062232+0.028316i,0.030835+0.013481i,0.02026+0.012628i,-0.011645+0.010955i,-0.030724+0.0037932i,-0.047561+0.020354i,-0.023404+0.0091468i,0.013922-0.0014523i,3.148e-05+0.006469i,0.0047397+0.0095676i,-0.0065387+0.011284i,-0.0032242-0.00251i,0.017209-0.0058884i,0.015469+0.00433i,-0.018096+0.0062136i,0.00047509-0.0013482i,-0.0015762+0.0018869i,-0.0023599+0.00012751i,-0.0020274-0.0030453i,0.0073181+0.00019519i,-0.00014166-0.0087599i,-0.0039609+0.0016069i,0.0022838-0.0030345i,-0.00083104-0.0064624i,-0.0042427+0.0022301i,0.0017653-7.3908e-05i,0.0005764-0.0023133i,0.030033-0.0010584i,-0.0048462+0.0059321i,0.00024454-0.0040101i,-0.0034327-0.0020118i,0.00015978-0.0072115i,-0.001362+0.0076357i,0.0028576-0.0034249i,-0.001133-0.00029903i,-5.7212e-05-0.0023278i,-0.0018495-0.00032087i,0.0010109+0.0036089i,0.00095053-0.0008976i,0.006449+0.00057233i,-0.0060355+0.0065976i,-0.0047623+0.010867i,-0.012145+0.043512i,0.017599+0.0020628i,-0.016828+0.0090615i,-0.015786-0.0081079i,0.019429+0.0052652i,0.020598+0.013498i,-0.0092056+0.002533i
-0.0026947+0.021285i,0.035179+0.021863i,0.048167+0.0019139i,0.018777-0.00073712i,0.0084466-0.0066091i,0.013385-0.021958i,0.015015+0.0043059i,0.033109+0.013255i,0.019704+0.0059303i,0.0032981+0.0038678i,0.0022178+6.5855e-05i,0.0021788-0.00093031i,7.1147e-05+0.0020937i,0.0018834-0.0021762i,-0.00034031-0.0022855i,0.0039837+0.00042752i,-0.0014899-0.00749i,0.00012528-0.0010917i,-0.0005451+0.0038794i,-0.00092622+0.00013403i,-0.002111+0.0013131i,-0.00053961+0.0039773i,-0.00091272+0.002317i,0.00091168-0.0055197i,0.0019202-0.0014928i,-0.0004751-0.0019483i,0.0005317-0.0013016i,0.0016779+0.00043881i,0.00075571+0.00033i,0.0022193+0.00076996i,-0.0022062+0.0013026i,-0.00013542+0.0021795i,-0.00027769+0.0010412i,0.00078963+0.00045449i,0.0010055+0.00033615i,0.0069565+0.0049421i,-0.00052226-0.0019094i,-0.00031325-0.00034925i,0.0015156+0.00010902i,-0.001537-0.00053654i,-0.001019+0.0014796i,-0.0015476+0.0022997i,0.011305+0.00249i,0.0018018-0.0010925i,-0.00059904+0.02462i,-0.0068964+0.044464i,0.01777+0.05375i,0.01096+0.026504i,0.029467+0.0023192i,0.020107+0.0059494i,-0.009412+0.018609i,-0.029156+0.01598i,-0.040471+0.033247i,-0.026399+0.0097701i,0.0104-0.003545i,0.0020982+0.0060327i,0.0077586+0.0069241i,-0.0026645+0.013489i,-0.003658+1.2325e-05i,0.012233-0.013309i,0.015751-0.0024244i,-0.015642+0.010818i,0.0011041-0.00091771i,-0.00042148+0.0019868i,-0.00092677+0.00023398i,-0.0023787-0.00068198i,0.005978-0.0015955i,-0.0022749-0.0072393i,-0.0012205+0.0036311i,0.002089-0.0045409i,-0.0031561-0.005242i,-0.0027613+0.0026858i,0.0020718-0.0015905i,0.00087249-0.0019652i,0.024739-0.013191i,-0.0016884+0.0062671i,-0.0013432-0.0037909i,-0.0036285-0.0012794i,-0.002592-0.0068257i,0.00071581+0.0063452i,0.0023765-0.0043765i,0.00032856+0.00028618i,-5.6413e-05-0.0029292i,-0.00052362-0.0010761i,0.0023375+0.0037686i,-0.00038626-0.000366i,0.0053514-0.0010035i,-0.0053294+0.0068274i,-0.0011486+0.011844i,-0.0052705+0.043086i,0.013367-0.0087897i,-0.014009+0.0059709i,-0.020815-0.0034191i,0.017969-0.00104i,0.021302+0.0068303i,-0.009529+0.0042251i
0.00025525+0.021223i,0.037655+0.015932i,0.046366-0.0081307i,0.016252-0.0084025i,0.007023-0.010522i,0.0084819-0.02377i,0.016694+0.0023138i,0.03347+0.0074425i,0.020066+0.00064577i,0.0037748+0.0035606i,0.0023062-0.00052082i,0.0024029-0.0023388i,0.0015868+0.0020396i,0.0012682-0.0022444i,-0.00057027-0.0019304i,0.0051321-0.00025137i,-0.0028783-0.0067031i,-0.00051141-0.001444i,0.00084716+0.0033726i,-0.0011963+0.00076397i,-0.0017153+0.0014837i,0.00071613+0.0028487i,-0.00047331+0.002354i,-0.0020588-0.0045162i,0.0011279-0.0027823i,-0.0012543-0.0012935i,-0.00019544-0.0013046i,0.0015803+3.2589e-05i,0.0010144+5.0744e-05i,0.0020796-0.00020031i,-0.0011256+0.0019015i,0.00060365+0.002089i,-1.4453e-05+0.0012349i,0.00079839+0.00015742i,0.00065414-0.00042215i,0.007243+0.0030291i,-0.0012304-0.0014298i,-0.00035026-0.00020401i,0.0012826-0.00013879i,-0.0011172-0.00054898i,-0.00066395+0.0019069i,-0.0007844+0.0026145i,0.011775-0.0010041i,0.0012693-0.00079803i,0.0025063+0.022424i,0.0010047+0.04116i,0.026539+0.04686i,0.016097+0.023571i,0.02506-0.0066709i,0.018453+0.001524i,-0.0031986+0.022995i,-0.01997+0.02532i,-0.027232+0.04118i,-0.028325+0.014117i,0.0073516-0.0040916i,0.0035823+0.0047062i,0.0087677+0.0034192i,0.0020117+0.013456i,-0.0038655+0.0018376i,0.0021818-0.016298i,0.012475-0.0076238i,-0.01258+0.014171i,0.0015429-0.0018506i,0.00051544+0.0015485i,-0.00067566-0.00043484i,-0.00083273+0.00090828i,0.0045751-0.001789i,-0.0035198-0.0059348i,0.0016762+0.0034654i,0.00047905-0.0061172i,-0.0045337-0.0035091i,-0.0013093+0.0028098i,0.0010289-0.0030419i,0.0010501-0.002735i,0.015417-0.020111i,0.00083737+0.0056172i,-0.0022483-0.0030324i,-0.0031084-0.00078428i,-0.0047738-0.0054956i,0.0018338+0.0050193i,0.0015844-0.0061186i,0.0013325-0.00031928i,-0.0010059-0.0031583i,-0.00092592-0.0022649i,0.0040338+0.0033256i,-0.00074863+0.0010123i,0.0045527-0.0018677i,-0.0047549+0.0076825i,0.0022925+0.010929i,0.0014603+0.042296i,0.0060365-0.015774i,-0.016052+0.0026862i,-0.022388+0.0035326i,0.012547-0.0056437i,0.021051+0.0011451i,-0.0078991+0.0051179i
0.0033081+0.020438i,0.039519+0.010341i,0.041774-0.016684i,0.010171-0.013263i,0.003833-0.013737i,0.003836-0.024221i,0.018442-0.00082322i,0.032767+0.0020712i,0.019437-0.0046899i,0.0049353+0.0032931i,0.0021287-0.00065672i,0.0010491-0.003565i,0.0028706+0.0013703i,0.0007628-0.0021181i,-0.00048962-0.0018142i,0.0057343-0.0013998i,-0.0048275-0.0049266i,-0.0011535-0.0010762i,0.0016826+0.0022879i,-0.00086894+0.001722i,-0.0013075+0.0018848i,0.00088565+0.0013796i,3.3578e-05+0.0024646i,-0.0038277-0.0021778i,-0.00086147-0.0026091i,-0.0014851-0.00051177i,-0.00067565-0.00098044i,0.0013997-0.00019614i,0.00066843-0.00051766i,0.0015848-0.00087526i,2.3422e-05+0.0018566i,0.0012375+0.0016697i,0.00060665+0.0013065i,0.00070533+2.7215e-05i,3.6048e-05-8.0285e-05i,0.0071499+0.0011816i,-0.001614-0.00070367i,-0.00045046+0.00012568i,0.0012309-0.00030077i,-0.0008682-0.00089928i,-7.1085e-06+0.0022448i,5.3647e-05+0.0025502i,0.010454-0.0045194i,0.0011592-0.00034981i,0.005373+0.019894i,0.0073626+0.036566i,0.03237+0.039392i,0.021039+0.019059i,0.019213-0.012289i,0.016172-0.0012823i,0.0035839+0.024246i,-0.009327+0.028052i,-0.012728+0.04355i,-0.027194+0.02018i,0.0059143-0.0038799i,0.0045019+0.0030502i,0.0082029+0.00054379i,0.0067231+0.011372i,-0.0031129+0.0042032i,-0.0067721-0.012601i,0.0080327-0.010339i,-0.0088671+0.016768i,0.0010034-0.0031313i,0.00077354+0.00088269i,-0.0010522-0.00046847i,0.0011357+0.00098074i,0.0041318-0.0020621i,-0.0048655-0.0042785i,0.0035709+0.0017078i,-0.0024633-0.0062647i,-0.0048953-0.0014659i,0.00012562+0.0019626i,0.00024287-0.0037081i,0.0003933-0.0039253i,0.0057199-0.021873i,0.0027371+0.004246i,-0.0027779-0.0023974i,-0.003709-0.00054753i,-0.0064413-0.0033002i,0.0021995+0.004116i,-0.00093971-0.0077502i,0.0021284-0.0013809i,-0.0017005-0.0023911i,-0.0017449-0.0026597i,0.0049832+0.0021337i,-0.00011798+0.0020632i,0.0032132-0.0026321i,-0.0037192+0.00882i,0.0048346+0.0090063i,0.0091852+0.040607i,-0.0045014-0.01948i,-0.020088+0.0028273i,-0.020105+0.010105i,0.0071114-0.0054341i,0.018166-0.0048949i,-0.0063956+0.0037162i
0.0060295+0.018861i,0.040905+0.0036937i,0.036437-0.022822i,0.0045587-0.014117i,2.7696e-05-0.015656i,-6.9257e-05-0.024236i,0.019425-0.0054464i,0.03187-0.0028051i,0.017328-0.0096119i,0.0061761+0.0020201i,0.0024651-0.0010559i,-0.00047208-0.0032759i,0.0034449-0.00030774i,0.00041837-0.0019824i,-0.00062001-0.001957i,0.0059536-0.0025967i,-0.0052373-0.0026116i,-0.0012607-0.0010341i,0.0016524+0.001287i,2.0352e-05+0.002063i,-0.00079245+0.0021223i,0.00043217+0.00055761i,0.00060404+0.0023336i,-0.0042657+0.00085154i,-0.0017718-0.0012867i,-0.0014668+0.00014196i,-0.00091748-0.00057747i,0.0011671-0.00048322i,1.4868e-05-0.00036503i,0.00091096-0.0013283i,0.00093475+0.0013781i,0.0016659+0.0011461i,0.0012444+0.00099283i,0.00087142-1.7602e-05i,-3.6586e-06+0.00054597i,0.0064998-0.00047473i,-0.0017955+0.00021071i,-0.00018973+0.00040383i,0.0011916-0.00070696i,-0.00079576-0.0011764i,0.00082422+0.0021286i,0.00082906+0.0022095i,0.0079227-0.0070584i,0.0011301-8.6202e-05i,0.006875+0.017256i,0.011279+0.031412i,0.036562+0.032205i,0.024182+0.012673i,0.013448-0.015653i,0.014425-0.001477i,0.010553+0.023553i,0.00025763+0.027923i,0.00017442+0.04079i,-0.023283+0.025849i,0.0048929-0.0044894i,0.0049588+0.0010265i,0.00767-0.0017314i,0.010151+0.007499i,-0.00083596+0.0049432i,-0.01135-0.0062209i,0.0031697-0.011348i,-0.0041265+0.017725i,-0.00068786-0.0035935i,0.00020126+0.00082716i,-0.0012765-4.1397e-05i,0.0023075-4.7294e-05i,0.0035494-0.0017074i,-0.0053198-0.0020592i,0.0038186-0.00012843i,-0.004809-0.004599i,-0.0040543+0.00026799i,0.00039925+0.0006746i,-0.00077558-0.0044549i,-0.0011493-0.0042907i,-0.0025603-0.020055i,0.004121+0.0020866i,-0.0036509-0.0015076i,-0.0038252+0.001055i,-0.0066933-0.00054356i,0.0030409+0.0038677i,-0.0047476-0.0075391i,0.0022324-0.0029574i,-0.0019251-0.0020994i,-0.0027357-0.0030605i,0.0061552+0.00080758i,0.00085087+0.0025498i,0.0018261-0.0019944i,-0.0019704+0.0095106i,0.0063187+0.0064976i,0.016818+0.036446i,-0.01583-0.016907i,-0.023456+0.0052329i,-0.015179+0.013456i,0.0046421-0.0042866i,0.01301-0.0082386i,-0.0076962+0.0028621i
0.0079032+0.017115i,0.040844-0.0034037i,0.031108-0.027976i,0.0005819-0.01371i,-0.004027-0.016392i,-0.0043261-0.024128i,0.018688-0.011271i,0.030719-0.0080911i,0.013682-0.013769i,0.0067273+0.00032826i,0.0026485-0.0020411i,-0.0014936-0.0023645i,0.0028306-0.0018046i,0.00018709-0.0017984i,-0.0012038-0.0021307i,0.005962-0.0040424i,-0.0048825-0.00080684i,-0.0016897-0.0010304i,0.0015679+0.00076293i,0.0008302+0.0019595i,-0.00027777+0.0023208i,-0.00023472+0.00040497i,0.00099009+0.0020032i,-0.0030015+0.0034477i,-0.0015879+1.1017e-05i,-0.001232+0.00082835i,-0.0010429-0.00020043i,0.00078897-0.00051337i,-0.00015201-8.0002e-05i,-2.3502e-05-0.0014136i,0.0014653+0.00064504i,0.0019538+0.00054274i,0.0015314+0.00048221i,0.00091168-0.0006512i,0.00061442+0.00082777i,0.0056367-0.0017301i,-0.0014423+0.00097817i,0.0001591+0.00045013i,0.00032483-0.00093366i,-0.00079086-0.0015692i,0.0015762+0.0017676i,0.0013929+0.0017741i,0.0049218-0.0078694i,0.001354+0.00067943i,0.0078602+0.015323i,0.013523+0.027455i,0.039698+0.02501i,0.024798+0.0072588i,0.0072278-0.017775i,0.015716-0.00089403i,0.017106+0.020345i,0.010123+0.024587i,0.01129+0.03401i,-0.01639+0.030261i,0.003627-0.0050418i,0.0041698-0.0017866i,0.0066468-0.0040852i,0.010679+0.0023343i,0.00033899+0.0044598i,-0.012569+0.00096564i,-0.0014131-0.010368i,-8.8943e-05+0.016136i,-0.0023836-0.0028877i,6.4539e-05+0.001563i,-0.0012437+0.00048133i,0.0029317-0.0016163i,0.0041747-0.00068187i,-0.0041423-0.00031956i,0.0036188-0.00075745i,-0.0057272-0.002417i,-0.0028648+0.0010623i,7.7219e-05+0.00025198i,-0.0032262-0.0047219i,-0.002581-0.0036618i,-0.009167-0.016527i,0.0042212-0.00046135i,-0.003887-0.00013684i,-0.0025377+0.0020342i,-0.0059624+0.0015545i,0.0043659+0.0033022i,-0.0074167-0.0049017i,0.000934-0.0046154i,-0.0027168-0.0015681i,-0.0044609-0.0025142i,0.006756-0.0017217i,0.0022414+0.0028504i,0.002127-0.0016181i,0.00032651+0.010142i,0.0064575+0.0038119i,0.023274+0.030075i,-0.021915-0.0085508i,-0.026186+0.010128i,-0.01031+0.01495i,0.0022861-0.0026722i,0.0084546-0.0082015i,-0.0084163+0.0033364i
